Orthogroup	Capsella_rubella	Cardamine_amara
OG0000691	XP_006295593.1	evm.model.RL_6.2044
OG0000692	XP_023638965.1	evm.model.RL_7.488, evm.model.RL_7.487
OG0000692	XP_006293271.1	evm.model.RL_7.486
OG0000692	XP_006295699.1	evm.model.RL_6.2405
OG0000693	XP_006291153.1	evm.model.RL_7.784
OG0000693	XP_006295703.1	evm.model.RL_3.868
OG0000693	XP_006295598.1	evm.model.RL_6.2102
OG0000694	XP_006293928.2	evm.model.RL_6.362
OG0000696	XP_006298872.1	evm.model.RL_7.2006, evm.model.RL_1.1530
OG0000697	XP_006304379.1, XP_006303205.1	evm.model.RL_5.1919
OG0000700	XP_006293632.1	evm.model.RL_6.1019
OG0000700	XP_023640370.1	evm.model.RL_6.1017, evm.model.RL_6.1016
OG0000700	XP_006293635.2	evm.model.RL_6.1018
OG0000702	XP_006290355.1	evm.model.RL_7.2260, evm.model.RL_8.1025
OG0000703	XP_006288022.1	evm.model.RL_4.3162
OG0000703	XP_006293487.1	evm.model.RL_6.1743
OG0000703	XP_006291269.2	evm.model.RL_7.1093
OG0000704	XP_023646052.1	evm.model.RL_4.342
OG0000706	XP_006289510.1	evm.model.RL_4.1213
OG0000706	XP_006287660.1	evm.model.RL_4.1214
OG0000706	XP_006281825.1	evm.model.RL_8.2572
OG0000707	XP_023638981.1	evm.model.RL_7.1299
OG0000707	XP_023641464.1	evm.model.RL_3.80
OG0000708	XP_006307176.1	evm.model.RL_5.1022
OG0000708	XP_006307348.2, XP_006282354.2, XP_023634906.1, XP_006305371.2, XP_006295807.2, XP_006289989.2	evm.model.RL_5.1024
OG0000709	XP_006279909.1	evm.model.RL_4.320
OG0000711	XP_023640697.1, XP_023640696.1, XP_023640695.1	evm.model.RL_6.248
OG0000712	XP_023635091.1	evm.model.RL_1.617
OG0000712	XP_023635090.1	evm.model.RL_2.2781
OG0000714	XP_023637821.1	evm.model.RL_2.390, evm.model.RL_2.404
OG0000715	XP_006289150.1, XP_006289892.1, XP_006289945.1	evm.model.RL_8.536
OG0000716	XP_023634324.1	evm.model.RL_2.516, evm.model.RL_5.2311
OG0000717	XP_006303698.1	evm.model.RL_5.3632
OG0000718	XP_006299992.1	evm.model.RL_1.1085
OG0000718	XP_006300551.1	evm.model.RL_6.106, evm.model.RL_6.107
OG0000720	XP_023638630.1	evm.model.RL_7.102
OG0000720	XP_006288076.1	evm.model.RL_8.234
OG0000720	XP_006305161.1	evm.model.RL_5.127
OG0000721	XP_006286754.1	evm.model.RL_8.244
OG0000721	XP_006298540.1	evm.model.RL_1.1604
OG0000722	XP_006300549.1	evm.model.RL_3.1366
OG0000722	XP_006305584.1	evm.model.RL_5.1274
OG0000723	XP_006288188.2	evm.model.RL_4.1122, evm.model.RL_4.1074, evm.model.RL_4.361, evm.model.RL_4.1129
OG0000724	XP_023637789.1	evm.model.RL_7.832
OG0000725	XP_023633867.1	evm.model.RL_2.1973
OG0000726	XP_006299805.1, XP_006296438.1	evm.model.RL_6.2177
OG0000726	XP_006296480.1, XP_006296209.1	evm.model.RL_6.802
OG0000728	XP_006290128.2	evm.model.RL_4.1779
OG0000730	XP_006290597.1	evm.model.RL_7.2541
OG0000730	XP_006305938.1	evm.model.RL_5.1248, evm.model.RL_5.1247
OG0000732	XP_006280080.1	evm.model.RL_8.1761
OG0000732	XP_006285652.1	evm.model.RL_2.2132
OG0000732	XP_023638216.1	evm.model.RL_7.1103.2.687c84b8
OG0000734	XP_006288907.2, XP_006281256.2	evm.model.RL_8.2303
OG0000735	XP_006289584.1	evm.model.RL_2.980
OG0000735	XP_023633415.1	evm.model.RL_8.1684
OG0000736	XP_006288665.1	evm.model.RL_4.2552
OG0000736	XP_023640773.1	evm.model.RL_6.130
OG0000736	XP_023633770.1	evm.model.RL_2.3349
OG0000737	XP_006283543.1	evm.model.RL_2.3388
OG0000739	XP_006302117.1	evm.model.RL_2.503, evm.model.RL_3.955
OG0000741	XP_006297271.1	evm.model.RL_1.1256
OG0000741	XP_006280215.1	evm.model.RL_5.3928
OG0000743	XP_023640616.1	evm.model.RL_8.979
OG0000743	XP_023639606.1, XP_023638682.1	evm.model.RL_2.781, evm.model.RL_1.2672, evm.model.RL_8.980
OG0000744	XP_023643308.1	evm.model.RL_8.517
OG0000749	XP_006279157.2, XP_023641479.1, XP_023645504.1	evm.model.RL_5.1185
OG0000749	XP_006307078.1	evm.model.RL_5.3237
OG0000750	XP_006284975.1, XP_006286062.1	evm.model.RL_2.162
OG0000750	XP_006301484.2	evm.model.RL_2.1099, evm.model.RL_2.1098
OG0000751	XP_006288930.2, XP_023641891.1, XP_006298879.2	evm.model.RL_8.2493, evm.model.RL_1.918
OG0000752	XP_006289317.1	evm.model.RL_4.1230
OG0000752	XP_006288316.1	evm.model.RL_4.2510
OG0000753	XP_006297615.1, XP_023642262.1	evm.model.RL_5.2360, evm.model.RL_5.2358
OG0000753	XP_006307405.1	evm.model.RL_5.2359
OG0000754	XP_006307408.2	evm.model.RL_5.2373, evm.model.RL_5.2372
OG0000754	XP_006280410.1	evm.model.RL_4.700, evm.model.RL_4.701
OG0000755	XP_023636527.1	evm.model.RL_8.421.1.687c8556
OG0000755	XP_006286514.2	evm.model.RL_8.420
OG0000756	XP_006286100.1	evm.model.RL_2.3091
OG0000756	XP_023637620.1	evm.model.RL_4.370
OG0000757	XP_006286404.1	evm.model.RL_4.3296, evm.model.RL_4.3292
OG0000757	XP_006295258.1	evm.model.RL_6.1822
OG0000758	XP_006302671.1	evm.model.RL_3.2393
OG0000758	XP_006294779.1	evm.model.RL_6.1303
OG0000758	XP_006304066.1	evm.model.RL_5.1446
OG0000759	XP_006294814.2	evm.model.RL_6.1095
OG0000759	XP_006303347.1	evm.model.RL_5.565
OG0000760	XP_006290286.1	evm.model.RL_7.751
OG0000761	XP_006298024.1	evm.model.RL_1.1932
OG0000762	XP_006296906.1	evm.model.RL_1.3166, evm.model.RL_1.3168, evm.model.RL_7.2018
OG0000762	XP_023641475.1	evm.model.RL_7.2015, evm.model.RL_1.3163
OG0000763	XP_006303234.1	evm.model.RL_5.3861
OG0000764	XP_006304572.1	evm.model.RL_5.1955
OG0000766	XP_023644557.1	evm.model.RL_5.3809
OG0000766	XP_023644564.1	evm.model.RL_5.3892
OG0000767	XP_023645827.1, XP_006285297.1, XP_023634744.1	evm.model.RL_5.1741, evm.model.RL_5.1740
OG0000768	XP_006289094.1	evm.model.RL_8.618
OG0000768	XP_023642307.1	evm.model.RL_8.2464, evm.model.RL_8.2467, evm.model.RL_8.2471, evm.model.RL_1.223
OG0000768	XP_023636111.1, XP_023637705.1	evm.model.RL_8.619
OG0000772	XP_006290910.2, XP_006290856.1	evm.model.RL_7.2185
OG0000773	XP_006303006.1	evm.model.RL_3.1350
OG0000773	XP_006291983.2	evm.model.RL_7.2149
OG0000774	XP_006283292.1	evm.model.RL_2.2148
OG0000775	XP_023637659.1	evm.model.RL_1.954
OG0000775	XP_023641095.1, XP_023641098.1	evm.model.RL_1.956, evm.model.RL_1.955
OG0000776	XP_006296009.1	evm.model.RL_6.2113
OG0000776	XP_006298124.1	evm.model.RL_1.1031, evm.model.RL_1.827
OG0000776	XP_006298147.1	evm.model.RL_4.2968
OG0000777	XP_006279715.1, XP_023634569.1	evm.model.RL_2.2228.3.687c86e5
OG0000777	XP_006304318.1	evm.model.RL_5.3891
OG0000778	XP_023636275.1	evm.model.RL_4.2290, evm.model.RL_4.2287, evm.model.RL_4.2288
OG0000778	XP_023636274.1	evm.model.RL_4.2286
OG0000779	XP_006285154.1	evm.model.RL_2.1735
OG0000779	XP_006288940.1	evm.model.RL_8.516
OG0000780	XP_006283562.1	evm.model.RL_2.3359
OG0000780	XP_006294036.1	evm.model.RL_6.126
OG0000780	XP_006287541.1	evm.model.RL_4.2560
OG0000781	XP_006295749.1	evm.model.RL_6.2507
OG0000781	XP_006294206.1	evm.model.RL_6.2506
OG0000781	XP_006296149.1	evm.model.RL_6.2508
OG0000783	XP_006287824.1	evm.model.RL_4.1517
OG0000783	XP_006292339.1	evm.model.RL_7.1993
OG0000784	XP_006279382.1, XP_023638513.1	evm.model.RL_7.1879
OG0000784	XP_006286553.2	evm.model.RL_4.1455
OG0000785	XP_006283125.1	evm.model.RL_2.2843
OG0000785	XP_006287084.1	evm.model.RL_4.3067
OG0000785	XP_006306805.1	evm.model.RL_5.2607_evm.model.RL_5.2609
OG0000786	XP_006292600.2	evm.model.RL_7.143
OG0000787	XP_006299142.2	evm.model.RL_1.1146
OG0000787	XP_006299895.2	evm.model.RL_1.3277
OG0000787	XP_006300139.1	evm.model.RL_1.1145
OG0000788	XP_006293136.1	evm.model.RL_7.1842
OG0000788	XP_006281631.1	evm.model.RL_8.2146
OG0000789	XP_006300324.1	evm.model.RL_3.2355
OG0000790	XP_023632693.1	evm.model.RL_5.3858
OG0000792	XP_006301322.1, XP_006300521.1, XP_006301963.1, XP_006300505.1, XP_006301714.2, XP_023643664.1, XP_023643836.1, XP_023644253.1, XP_006300486.2	evm.model.RL_3.899
OG0000792	XP_023642668.1	evm.model.RL_1.1945
OG0000793	XP_006302778.1	evm.model.RL_5.1940
OG0000794	XP_006293408.1, XP_006295457.1, XP_006295458.1, XP_006296224.2	evm.model.RL_6.924, evm.model.RL_6.923
OG0000796	XP_006295735.1, XP_006285262.2	evm.model.RL_2.1711, evm.model.RL_2.1714
OG0000798	XP_006282719.1	evm.model.RL_2.1291
OG0000799	XP_006304395.1, XP_006300072.1	evm.model.RL_5.3316
OG0000800	XP_006291432.2	evm.model.RL_7.2511
OG0000802	XP_006279647.1	evm.model.RL_4.207
OG0000802	XP_023645853.1	evm.model.RL_5.2945
OG0000802	XP_006283811.2	evm.model.RL_2.1394
OG0000803	XP_006283924.1	evm.model.RL_2.1531.1.687c86e3
OG0000803	XP_006286173.2	evm.model.RL_3.657
OG0000804	XP_006285146.1	evm.model.RL_6.1472
OG0000804	XP_023641941.1	evm.model.RL_1.191
OG0000805	XP_006284734.1	evm.model.RL_2.1032
OG0000806	XP_006295416.1	evm.model.RL_6.2562
OG0000807	XP_006299211.1	evm.model.RL_1.29
OG0000808	XP_006291434.1	evm.model.RL_7.1735
OG0000808	XP_006280756.1	evm.model.RL_8.2012
OG0000809	XP_006289980.1, XP_006304722.1	evm.model.RL_5.3297
OG0000809	XP_006302945.1	evm.model.RL_3.1324
OG0000812	XP_006294508.1	evm.model.RL_6.827
OG0000813	XP_023641321.1	evm.model.RL_1.1652
OG0000814	XP_023633432.1	evm.model.RL_8.2082
OG0000814	XP_006280584.2, XP_006281855.1	evm.model.RL_8.2083, evm.model.RL_8.862
OG0000818	XP_006290944.2	evm.model.RL_7.1461
OG0000818	XP_006285090.2	evm.model.RL_2.2289
OG0000818	XP_006302235.1	evm.model.RL_3.13
OG0000819	XP_023643542.1	evm.model.RL_1.966
OG0000819	XP_006291912.2	evm.model.RL_7.744
OG0000821	XP_006281639.1	evm.model.RL_8.1294
OG0000823	XP_006280739.1	evm.model.RL_4.73
OG0000823	XP_006285507.1	evm.model.RL_2.1303
OG0000824	XP_023637312.1, XP_023632741.1	evm.model.RL_5.2647
OG0000825	XP_006290834.1	evm.model.RL_7.212
OG0000825	XP_023636148.1	evm.model.RL_2.223
OG0000825	XP_006293934.1	evm.model.RL_6.2770
OG0000826	XP_006281780.1	evm.model.RL_4.393
OG0000827	XP_006281555.1	evm.model.RL_8.1586
OG0000827	XP_006283364.1	evm.model.RL_2.2823
OG0000827	XP_006286440.1	evm.model.RL_4.3372
OG0000829	XP_006297655.2	evm.model.RL_1.267
OG0000829	XP_006290244.2, XP_006289628.1	evm.model.RL_4.1889, evm.model.RL_4.1890
OG0000830	XP_006285382.1	evm.model.RL_2.3475
OG0000830	XP_006302195.1	evm.model.RL_3.2014
OG0000831	XP_006307164.1	evm.model.RL_5.3686, evm.model.RL_2.166
OG0000832	XP_023633375.1	evm.model.RL_4.1932
OG0000833	XP_023641451.1, XP_006290552.2, XP_023643855.1	evm.model.RL_1.1403, evm.model.RL_1.3124, evm.model.RL_1.2735
OG0000834	XP_006297119.1	evm.model.RL_1.1773
OG0000834	XP_006306519.1	evm.model.RL_5.2125
OG0000835	XP_006297697.1	evm.model.RL_1.1819
OG0000835	XP_006307519.1	evm.model.RL_5.2067
OG0000836	XP_006291450.1	evm.model.RL_7.641
OG0000837	XP_006304633.2	evm.model.RL_5.1028
OG0000841	XP_023637595.1	evm.model.RL_3.847
OG0000842	XP_006290942.1, XP_006293008.1, XP_006290952.1	evm.model.RL_7.2394
OG0000843	XP_023643987.1, XP_006302158.1, XP_006302157.1	evm.model.RL_3.927, evm.model.RL_3.937
OG0000844	XP_006297818.1	evm.model.RL_1.867
OG0000844	XP_006287869.1	evm.model.RL_4.3252
OG0000845	XP_023634563.1	evm.model.RL_2.2005, evm.model.RL_8.1161
OG0000845	XP_006292150.1	evm.model.RL_7.1523
OG0000846	XP_006283731.1, XP_006283703.1	evm.model.RL_2.2840_evm.model.RL_2.2841
OG0000847	XP_006280038.1	evm.model.RL_8.2540
OG0000848	XP_023643093.1, XP_006304319.1	evm.model.RL_2.602.1.687c86e1, evm.model.RL_5.66.1.687c88a9
OG0000849	XP_006295248.1	evm.model.RL_6.2812
OG0000849	XP_006289211.1	evm.model.RL_8.147
OG0000849	XP_006292049.1	evm.model.RL_7.178
OG0000850	XP_006290877.1	evm.model.RL_7.242
OG0000850	XP_023640992.1	evm.model.RL_6.2730
OG0000850	XP_006292854.2	evm.model.RL_7.243
OG0000850	XP_023638970.1	evm.model.RL_7.240
OG0000851	XP_006293621.1	evm.model.RL_6.2305
OG0000851	XP_023639107.1	evm.model.RL_7.620
OG0000852	XP_006288892.1, XP_006288894.1	evm.model.RL_4.1630
OG0000853	XP_006289716.1	evm.model.RL_8.338
OG0000854	XP_006294768.1, XP_006294728.1	evm.model.RL_6.936
OG0000854	XP_006304051.1	evm.model.RL_5.648
OG0000855	XP_006290269.1	evm.model.RL_7.1584
OG0000855	XP_006282309.1	evm.model.RL_8.2339
OG0000857	XP_006279456.2	evm.model.RL_7.2100
OG0000859	XP_023638966.1	evm.model.RL_6.2674
OG0000859	XP_023640433.1	evm.model.RL_6.2671
OG0000860	XP_023644434.1	evm.model.RL_2.1168, evm.model.RL_4.1448
OG0000861	XP_023645676.1	evm.model.RL_5.250
OG0000863	XP_006286067.1, XP_006282638.2	evm.model.RL_2.1036
OG0000863	XP_006286275.2	evm.model.RL_2.475, evm.model.RL_2.476
OG0000868	XP_006289281.1	evm.model.RL_4.2884
OG0000868	XP_006299059.1	evm.model.RL_1.1099.1.687c87ec
OG0000869	XP_006281126.1	evm.model.RL_4.74
OG0000869	XP_006284546.1	evm.model.RL_2.1304
OG0000870	XP_006305203.1	evm.model.RL_5.3073
OG0000870	XP_006295883.1	evm.model.RL_6.1464, evm.model.RL_5.3407, evm.model.RL_6.1463
OG0000871	XP_006298337.1	evm.model.RL_1.168
OG0000871	XP_023635790.1	evm.model.RL_4.2035
OG0000871	XP_023633657.1	evm.model.RL_2.373
OG0000872	XP_006293730.1	evm.model.RL_6.1343
OG0000872	XP_006285915.1	evm.model.RL_2.1058
OG0000873	XP_006298754.1	evm.model.RL_1.341
OG0000875	XP_006304979.1	evm.model.RL_5.516
OG0000877	XP_006295437.1	evm.model.RL_6.2672, evm.model.RL_6.2619, evm.model.RL_6.2620
OG0000879	XP_023634865.1, XP_023632862.1, XP_006305137.1	evm.model.RL_5.517
OG0000881	XP_023633487.1	evm.model.RL_8.657, evm.model.RL_4.147
OG0000881	XP_023636037.1, XP_023633355.1, XP_023633330.1	evm.model.RL_6.567
OG0000883	XP_006298355.1	evm.model.RL_1.401, evm.model.RL_2.2995
OG0000884	XP_006302663.2	evm.model.RL_3.1214
OG0000884	XP_006304090.1	evm.model.RL_5.3223
OG0000885	XP_006305630.1	evm.model.RL_5.3520.2.687c88c3
OG0000885	XP_023634905.1	evm.model.RL_2.2318.1.687c86e5
OG0000886	XP_006304983.1	evm.model.RL_5.2304
OG0000886	XP_006280580.1	evm.model.RL_4.585, evm.model.RL_4.584
OG0000887	XP_023640582.1	evm.model.RL_6.2864
OG0000887	XP_006294813.1	evm.model.RL_6.2862
OG0000888	XP_006291524.1	evm.model.RL_7.511
OG0000888	XP_006294640.1	evm.model.RL_6.2372
OG0000889	XP_023639240.1	evm.model.RL_7.825
OG0000889	XP_006291808.2	evm.model.RL_7.1733
OG0000890	XP_006291869.1	evm.model.RL_7.1019
OG0000890	XP_006294877.1	evm.model.RL_6.1835
OG0000891	XP_023644408.1	evm.model.RL_5.3522
OG0000891	XP_006305040.1	evm.model.RL_5.3521
OG0000892	XP_006286799.1, XP_006289143.2	evm.model.RL_4.1191
OG0000893	XP_006287518.1	evm.model.RL_4.1312, evm.model.RL_4.1319, evm.model.RL_4.1316, evm.model.RL_7.1624, evm.model.RL_5.2193, evm.model.RL_4.1314, evm.model.RL_4.1320, evm.model.RL_4.1317, evm.model.RL_7.1622
OG0000894	XP_006299848.1	evm.model.RL_1.3195
OG0000895	XP_006299203.1	evm.model.RL_1.2442, evm.model.RL_1.2443, evm.model.RL_1.2440, evm.model.RL_1.2441
OG0000897	XP_006290774.1, XP_006290772.1	evm.model.RL_7.630, evm.model.RL_7.986.1.687c84b7
OG0000897	XP_006293895.1	evm.model.RL_6.1893
OG0000898	XP_006307054.1	evm.model.RL_5.1876
OG0000900	XP_006305077.1	evm.model.RL_5.1195
OG0000900	XP_023632871.1	evm.model.RL_5.1196
OG0000901	XP_006284782.1	evm.model.RL_2.1203
OG0000902	XP_006286608.2	evm.model.RL_4.3002
OG0000902	XP_023642347.1	evm.model.RL_1.998
OG0000903	XP_006291585.1	evm.model.RL_7.1829
OG0000904	XP_006288531.1	evm.model.RL_4.2543
OG0000904	XP_006284414.1	evm.model.RL_2.2680
OG0000905	XP_006286676.1	evm.model.RL_4.2551
OG0000905	XP_023637298.1	evm.model.RL_8.2581
OG0000906	XP_006279612.2	evm.model.RL_8.2576.2.687c8562
OG0000906	XP_006287756.1	evm.model.RL_4.2580
OG0000907	XP_006284941.1	evm.model.RL_2.1418
OG0000907	XP_006281481.1	evm.model.RL_4.240
OG0000908	XP_023634469.1	evm.model.RL_2.3408
OG0000908	XP_006298883.1	evm.model.RL_1.481
OG0000908	XP_023640556.1	evm.model.RL_6.74
OG0000909	XP_006307167.1	evm.model.RL_5.3381.1.687c88c2
OG0000909	XP_006283494.1	evm.model.RL_2.844
OG0000909	XP_006287553.1	evm.model.RL_4.2021
OG0000910	XP_006282242.2	evm.model.RL_8.2090
OG0000910	XP_006282152.2	evm.model.RL_8.2089
OG0000911	XP_006280565.1	evm.model.RL_8.2788
OG0000912	XP_006289774.1	evm.model.RL_8.279
OG0000912	XP_006303539.2	evm.model.RL_5.154
OG0000914	XP_006296996.1	evm.model.RL_1.312
OG0000915	XP_006291235.2	evm.model.RL_7.1095
OG0000915	XP_006296027.1	evm.model.RL_6.1737
OG0000916	XP_023632877.1	evm.model.RL_5.1292
OG0000917	XP_006307305.1	evm.model.RL_5.1164
OG0000918	XP_006281945.1, XP_006279816.1, XP_006279831.1, XP_006282404.2	evm.model.RL_4.390.3.687c86ce
OG0000919	XP_006301536.1, XP_006301672.1, XP_006289307.1	evm.model.RL_1.1647
OG0000920	XP_006304606.2	evm.model.RL_5.3860
OG0000921	XP_006305974.1	evm.model.RL_5.2063
OG0000921	XP_006305961.1	evm.model.RL_5.2064
OG0000923	XP_023634803.1, XP_006281341.2	evm.model.RL_8.1096, evm.model.RL_8.1098, evm.model.RL_8.1154
OG0000923	XP_006281954.1	evm.model.RL_8.1095
OG0000924	XP_023635267.1	evm.model.RL_2.3157
OG0000924	XP_006301757.1	evm.model.RL_3.688
OG0000924	XP_006299600.1	evm.model.RL_1.2997
OG0000930	XP_006299812.1	evm.model.RL_1.3153
OG0000930	XP_006284736.1	evm.model.RL_2.2456
OG0000931	XP_023642709.1, XP_006306581.1	evm.model.RL_1.762
OG0000931	XP_006299090.1	evm.model.RL_1.1022
OG0000932	XP_006294898.2	evm.model.RL_6.1855
OG0000932	XP_006298557.1	evm.model.RL_1.1104
OG0000933	XP_006281622.1	evm.model.RL_8.1331
OG0000934	XP_006285604.2	evm.model.RL_2.1501
OG0000934	XP_023634110.1	evm.model.RL_2.1503
OG0000935	XP_006289871.1	evm.model.RL_8.408
OG0000935	XP_006284072.1	evm.model.RL_2.1623
OG0000936	XP_023635390.1	evm.model.RL_2.1661
OG0000936	XP_023635044.1	evm.model.RL_2.1663
OG0000937	XP_006283170.1	evm.model.RL_8.883
OG0000938	XP_006285909.1	evm.model.RL_2.3376
OG0000938	XP_006283415.1	evm.model.RL_2.3377
OG0000939	XP_006300379.1	evm.model.RL_3.281
OG0000939	XP_006293578.1	evm.model.RL_2.3425, evm.model.RL_6.46
OG0000940	XP_006296904.1	evm.model.RL_1.2529
OG0000940	XP_006285963.1	evm.model.RL_1.2530
OG0000941	XP_006283156.1	evm.model.RL_2.925
OG0000941	XP_006297004.1	evm.model.RL_1.2269
OG0000941	XP_006303716.1	evm.model.RL_5.413.1.687c88ac
OG0000942	XP_023635639.1, XP_006296742.2	evm.model.RL_2.952
OG0000943	XP_006298640.1	evm.model.RL_1.485, evm.model.RL_4.1067
OG0000945	XP_006289373.1	evm.model.RL_4.1934
OG0000946	XP_023637181.1	evm.model.RL_4.3392
OG0000946	XP_006287188.1	evm.model.RL_4.3394
OG0000946	XP_006287180.2	evm.model.RL_4.3393
OG0000947	XP_006288007.1	evm.model.RL_4.2073
OG0000947	XP_006298006.1	evm.model.RL_1.134
OG0000950	XP_006286818.2	evm.model.RL_4.1087
OG0000950	XP_006296924.1	evm.model.RL_1.511
OG0000951	XP_006282307.2, XP_006282240.1	evm.model.RL_4.105
OG0000952	XP_006296094.1	evm.model.RL_6.2492
OG0000953	XP_006290339.1	evm.model.RL_7.1379
OG0000953	XP_006293039.1	evm.model.RL_7.1371
OG0000954	XP_006297656.1	evm.model.RL_1.1843
OG0000954	XP_006297986.1	evm.model.RL_1.1844
OG0000956	XP_023633374.1	evm.model.RL_5.2612
OG0000958	XP_023644196.1	evm.model.RL_3.347
OG0000961	XP_023644077.1, XP_006301477.1, XP_006301442.1	evm.model.RL_3.1024, evm.model.RL_3.1027
OG0000962	XP_006285394.1	evm.model.RL_2.225
OG0000962	XP_006292778.2	evm.model.RL_7.2182
OG0000963	XP_006288994.1	evm.model.RL_4.3303
OG0000963	XP_006298898.1	evm.model.RL_1.847
OG0000964	XP_006279961.1, XP_023639014.1	evm.model.RL_8.1045
OG0000965	XP_006299034.1, XP_023642724.1, XP_006299795.1	evm.model.RL_1.1272
OG0000965	XP_006286029.1	evm.model.RL_2.1483
OG0000966	XP_006285098.2	evm.model.RL_2.1504
OG0000966	XP_023634111.1	evm.model.RL_2.1500
OG0000967	XP_006305051.1	evm.model.RL_5.2441
OG0000967	XP_006305055.1	evm.model.RL_5.3543
OG0000968	XP_006286127.2	evm.model.RL_2.433
OG0000968	XP_006285157.1	evm.model.RL_2.434
OG0000969	XP_023633533.1	evm.model.RL_4.406
OG0000970	XP_006282161.1	evm.model.RL_8.2730
OG0000970	XP_023639144.1	evm.model.RL_2.611
OG0000970	XP_006291526.2	evm.model.RL_6.92
OG0000972	XP_006289570.1	evm.model.RL_4.1104
OG0000972	XP_006299234.1	evm.model.RL_1.518
OG0000973	XP_006297810.1	evm.model.RL_1.554
OG0000974	XP_006294504.1	evm.model.RL_6.1729
OG0000975	XP_006305010.1	evm.model.RL_5.1807
OG0000975	XP_006305110.1	evm.model.RL_5.1808
OG0000977	XP_006290760.1	evm.model.RL_7.1667_evm.model.RL_7.1668_evm.model.RL_7.1669
OG0000978	XP_023638704.1	evm.model.RL_7.1795, evm.model.RL_7.1794
OG0000979	XP_006305983.2, XP_006282844.1, XP_023635227.1, XP_006285022.1	evm.model.RL_4.534
OG0000980	XP_006294165.1	evm.model.RL_6.1784, evm.model.RL_6.1720
OG0000980	XP_023635290.1	evm.model.RL_2.2453
OG0000981	XP_006305973.2	evm.model.RL_2.1783
OG0000981	XP_006284924.2	evm.model.RL_2.1712
OG0000986	XP_006283471.1, XP_006290941.1	evm.model.RL_2.2624
OG0000988	XP_006287730.1	evm.model.RL_4.2964
OG0000988	XP_006299809.1, XP_006300172.1, XP_006297530.1	evm.model.RL_1.1035
OG0000989	XP_006280947.1	evm.model.RL_8.1304.1.687c855b
OG0000989	XP_023640224.1	evm.model.RL_4.652
OG0000990	XP_006281294.2	evm.model.RL_2.1364
OG0000990	XP_006284743.1, XP_023634670.1	evm.model.RL_4.178
OG0000991	XP_023633196.1	evm.model.RL_5.2650
OG0000991	XP_006307307.1, XP_006307336.1, XP_023645573.1	evm.model.RL_5.2648
OG0000992	XP_006295928.1	evm.model.RL_6.83
OG0000992	XP_006286179.1	evm.model.RL_2.3399
OG0000993	XP_006296719.1	evm.model.RL_1.2435, evm.model.RL_2.253
OG0000994	XP_006294181.1	evm.model.RL_6.1111
OG0000994	XP_006294185.1	evm.model.RL_6.1110
OG0000995	XP_023639670.1	evm.model.RL_6.1248
OG0000995	XP_006306480.1	evm.model.RL_7.480
OG0000996	XP_006305151.1	evm.model.RL_5.522
OG0000997	XP_023641458.1	evm.model.RL_1.332, evm.model.RL_5.1192
OG0000998	XP_006294843.1	evm.model.RL_6.2077
OG0000998	XP_006291698.1	evm.model.RL_7.810
OG0001000	XP_006299982.2, XP_006299980.1, XP_006297560.1, XP_006297587.1	evm.model.RL_1.2864
OG0001000	XP_006289485.2	evm.model.RL_4.2147
OG0001001	XP_023637103.1, XP_023636612.1, XP_006289252.2, XP_023635916.1	evm.model.RL_4.1155
OG0001001	XP_023635778.1	evm.model.RL_4.1156, evm.model.RL_4.1157
OG0001002	XP_006298063.2	evm.model.RL_1.1244
OG0001002	XP_023644511.1, XP_006301562.1, XP_006305841.2	evm.model.RL_5.3947
OG0001003	XP_006305690.1	evm.model.RL_5.3722
OG0001008	XP_006284235.2	evm.model.RL_2.2446
OG0001008	XP_006284398.1	evm.model.RL_2.2445
OG0001009	XP_006283709.1	evm.model.RL_2.2489, evm.model.RL_2.2488
OG0001009	XP_006283725.1	evm.model.RL_2.2487
OG0001010	XP_006305269.1	evm.model.RL_5.2768
OG0001010	XP_006294716.2	evm.model.RL_6.1643
OG0001011	XP_006305386.1, XP_006305387.1	evm.model.RL_5.2750
OG0001011	XP_006285396.1	evm.model.RL_2.869
OG0001012	XP_006302815.1	evm.model.RL_3.631
OG0001012	XP_006305565.2	evm.model.RL_5.817
OG0001013	XP_006302633.1	evm.model.RL_3.861
OG0001013	XP_023642897.1, XP_023642888.1, XP_023642896.1, XP_006301529.2, XP_023644270.1	evm.model.RL_3.895
OG0001015	XP_006284136.1	evm.model.RL_2.2077
OG0001015	XP_023637905.1	evm.model.RL_8.1347
OG0001016	XP_006288623.1	evm.model.RL_4.2475
OG0001017	XP_006281940.2	evm.model.RL_8.2647
OG0001018	XP_023636975.1	evm.model.RL_4.2690
OG0001018	XP_006289672.1, XP_006281581.1	evm.model.RL_4.1363
OG0001019	XP_006284309.1	evm.model.RL_2.1315
OG0001019	XP_023637498.1	evm.model.RL_4.90.4.687c86cd
OG0001020	XP_006284352.2	evm.model.RL_2.1342
OG0001020	XP_006281036.1	evm.model.RL_4.140
OG0001021	XP_006292102.1	evm.model.RL_7.69
OG0001021	XP_006295295.1	evm.model.RL_6.2938
OG0001022	XP_023639220.1	evm.model.RL_7.133
OG0001023	XP_006289316.1	evm.model.RL_4.1424
OG0001024	XP_006295649.1	evm.model.RL_6.1242
OG0001025	XP_006305508.1	evm.model.RL_5.529
OG0001025	XP_023639350.1	evm.model.RL_6.1155
