Orthogroup	Cochlearia_excelsa	Rorippa_islandica
OG0001631	g11134	Roisl.0012s0058.1.p
OG0001631	g50432	Roisl.0213s0036.1.p
OG0001632	g32357, g50489	Roisl.0213s0117.1.p
OG0001633	g403	Roisl.0080s0078.1.p
OG0001634	g9911, g429	Roisl.0080s0132.1.p
OG0001635	g2686, g19435	Roisl.0046s0801.1.p
OG0001636	g10022	Roisl.0046s0141.1.p, Roisl.0046s0891.1.p
OG0001637	g29122	Roisl.0210s1671.1.p
OG0001638	g692, g41413, g28962	Roisl.0210s1722.1.p
OG0001640	g23680	Roisl.0022s0329.1.p
OG0001640	g39370	Roisl.0080s0784.1.p
OG0001641	g1002, g39381	Roisl.0080s0815.1.p
OG0001641	g23672, g46994	Roisl.0022s0349.1.p
OG0001642	g991, g28499, g26849	Roisl.0080s0833.1.p, Roisl.0080s0834.1.p
OG0001643	g23640	Roisl.0022s0396.1.p
OG0001643	g28469	Roisl.0052s0025.1.p
OG0001644	g7362	Roisl.0074s0834.1.p
OG0001645	g45445	Roisl.0042s0053.1.p
OG0001646	g13112	Roisl.0042s0105.1.p
OG0001646	g7392	Roisl.0074s0887.1.p
OG0001647	g2082	Roisl.0026s0180.1.p
OG0001647	g29804	Roisl.0030s0128.1.p
OG0001648	g46660, g16826, g10503	Roisl.0009s0153.1.p
OG0001649	g16811	Roisl.0009s0138.1.p
OG0001649	g10515	Roisl.0011s0508.1.p
OG0001650	g46645	Roisl.0009s0087.1.p
OG0001650	g40798	Roisl.0010s0205.1.p
OG0001651	g49963	Roisl.0007s0511.1.p
OG0001651	g44314	Roisl.0115s0163.1.p
OG0001652	g46520	Roisl.0115s0194.1.p
OG0001652	g14331	Roisl.0002s0074.1.p, Roisl.0210s1626.1.p
OG0001653	g49971	Roisl.0007s0489.1.p
OG0001653	g44330	Roisl.0115s0203.1.p
OG0001654	g32551	Roisl.0213s0483.1.p, Roisl.0213s0490.1.p
OG0001654	g50619	Roisl.0213s0486.1.p, Roisl.0213s0460.1.p, Roisl.0213s0487.1.p, Roisl.0213s0491.1.p
OG0001655	g45079	Roisl.0022s0048.1.p
OG0001656	g46276	Roisl.0004s0243.1.p
OG0001656	g31952	Roisl.0007s0045.1.p
OG0001657	g23001	Roisl.0001s0157.1.p
OG0001657	g14031	Roisl.0066s0200.1.p
OG0001658	g13994	Roisl.0066s0136.1.p
OG0001658	g22958, g47950, g18243	Roisl.0001s0227.1.p
OG0001659	g27974	Roisl.0007s0806.1.p
OG0001659	g7287	Roisl.0074s0732.1.p
OG0001660	g12185	Roisl.0006s0459.1.p
OG0001660	g7167	Roisl.0074s0532.1.p
OG0001661	g12141	Roisl.0006s0373.1.p
OG0001662	g51559	Roisl.0028s1024.1.p
OG0001662	g19243	Roisl.0046s1215.1.p
OG0001664	g51590	Roisl.0054s0028.1.p
OG0001664	g2390	Roisl.0046s1270.1.p
OG0001666	g24500	Roisl.0002s0251.1.p
OG0001666	g11803	Roisl.0115s0628.1.p
OG0001667	g24419	Roisl.0002s0101.1.p
OG0001667	g7002	Roisl.0074s0288.1.p
OG0001668	g12074, g6999	Roisl.0074s0277.1.p
OG0001668	g24406	Roisl.0002s0088.1.p
OG0001669	g17613	Roisl.0002s0082.1.p
OG0001669	g24402	Roisl.0002s0081.1.p
OG0001670	g46114, g44551	Roisl.0004s0503.1.p
OG0001670	g44550	Roisl.0004s0502.1.p
OG0001671	g10411	Roisl.0025s0081.1.p
OG0001672	g31416, g49856	Roisl.0021s0385.1.p
OG0001673	g10595	Roisl.0011s0369.1.p
OG0001673	g31458	Roisl.0021s0441.1.p
OG0001674	g13343	Roisl.0028s0021.1.p
OG0001674	g6796	Roisl.0006s0050.1.p
OG0001675	g36438	Roisl.0006s0088.1.p, Roisl.0115s0309.1.p
OG0001677	g36534	Roisl.0006s0257.1.p
OG0001679	g54272	Roisl.0006s0333.1.p
OG0001679	g36582	Roisl.0074s0389.1.p
OG0001681	g24248	Roisl.0091s0569.1.p
OG0001681	g40683	Roisl.0005s0066.1.p
OG0001682	g40685	Roisl.0005s0065.1.p
OG0001683	g6125	Roisl.0066s0312.1.p
OG0001683	g18224	Roisl.0001s0104.1.p
OG0001684	g6122	Roisl.0066s0285.1.p
OG0001684	g18225	Roisl.0001s0110.1.p
OG0001685	g40431	Roisl.0082s0194.1.p
OG0001685	g17308	Roisl.0091s0107.1.p
OG0001686	g23971	Roisl.0091s0109.1.p
OG0001686	g40432, g45153	Roisl.0082s0197.1.p, Roisl.0082s0238.1.p
OG0001687	g23985	Roisl.0091s0144.1.p
OG0001687	g25579	Roisl.0082s0233.1.p
OG0001688	g6402	Roisl.0001s0542.1.p
OG0001688	g41024	Roisl.0214s0599.1.p
OG0001689	g27908	Roisl.0210s2093.1.p
OG0001690	g18755	Roisl.0018s0441.1.p
OG0001690	g37772	Roisl.0067s0012.1.p, Roisl.0213s0181.1.p
OG0001691	g1743	Roisl.0018s0421.1.p
OG0001691	g37744	Roisl.0067s0054.1.p
OG0001692	g1751	Roisl.0018s0403.1.p
OG0001692	g37758	Roisl.0115s0401.1.p, Roisl.0067s0039.1.p
OG0001693	g50807	Roisl.0035s0041.1.p
OG0001693	g1779	Roisl.0018s0339.1.p
OG0001694	g50741	Roisl.0213s0795.1.p, Roisl.0213s0851.1.p, Roisl.0017s0354.1.p
OG0001695	g11186	Roisl.0018s0140.1.p
OG0001695	g37565	Roisl.0028s0108.1.p
OG0001696	g18839	Roisl.0018s0139.1.p
OG0001697	g38208	Roisl.0028s0288.1.p
OG0001697	g2018	Roisl.0018s0050.1.p
OG0001698	g37465	Roisl.0028s0332.1.p
OG0001698	g52084, g18928	Roisl.0026s0007.1.p
OG0001699	g52051	Roisl.0028s0391.1.p
OG0001699	g2127	Roisl.0026s0108.1.p
OG0001700	g2068, g2069	Roisl.0026s0201.1.p, Roisl.0026s0202.1.p
OG0001701	g19148	Roisl.0046s1439.1.p
OG0001702	g39221, g19663	Roisl.0184s0088.1.p, Roisl.0210s0858.1.p
OG0001704	g42706	Roisl.0041s0055.1.p
OG0001704	g42720, g42742	Roisl.0041s0038.1.p
OG0001705	g40429	Roisl.0082s0187.1.p
OG0001705	g51840	Roisl.0017s0379.1.p
OG0001706	g22697	Roisl.0115s0670.1.p
OG0001706	g38524	Roisl.0082s0112.1.p
OG0001707	g40234	Roisl.0032s0053.1.p
OG0001707	g27911	Roisl.0210s2112.1.p
OG0001708	g40283	Roisl.0020s0067.1.p
OG0001708	g50257	Roisl.0191s0117.1.p
OG0001709	g40310	Roisl.0020s0132.1.p
OG0001709	g27799, g50682	Roisl.0040s0108.1.p
OG0001710	g12517	Roisl.0039s0127.1.p
OG0001710	g4853	Roisl.0046s0320.1.p
OG0001711	g10153	Roisl.0046s0421.1.p
OG0001711	g7716	Roisl.0039s0035.1.p
OG0001712	g12838	Roisl.0039s0024.1.p
OG0001712	g10154	Roisl.0046s0435.1.p
OG0001714	g12739	Roisl.0016s0099.1.p
OG0001714	g12702	Roisl.0016s0100.1.p
OG0001715	g12652	Roisl.0016s0258.1.p
OG0001716	g31130	Roisl.0091s1151.1.p
OG0001716	g7754	Roisl.0016s0393.1.p
OG0001717	g13267, g12076	Roisl.0074s0283.1.p
OG0001719	g7655	Roisl.0079s0008.1.p
OG0001719	g29074	Roisl.0210s1600.1.p
OG0001720	g7649	Roisl.0079s0018.1.p, Roisl.0019s0122.1.p
OG0001720	g29064	Roisl.0210s1571.1.p
OG0001721	g12486	Roisl.0079s0024.1.p
OG0001721	g7646	Roisl.0079s0027.1.p
OG0001722	g7629, g12940	Roisl.0079s0056.1.p, Roisl.0079s0055.1.p
OG0001723	g7614, g12462	Roisl.0079s0087.1.p
OG0001723	g10228	Roisl.0036s0026.1.p
OG0001724	g40223	Roisl.0184s0024.1.p
OG0001724	g12392	Roisl.0079s0340.1.p
OG0001725	g7376	Roisl.0074s0858.1.p
OG0001726	g12024	Roisl.0074s0139.1.p
OG0001726	g36338	Roisl.0013s0090.1.p
OG0001727	g6885, g12013	Roisl.0074s0100.1.p
OG0001728	g17071, g47651	Roisl.0022s0467.1.p
OG0001728	g895	Roisl.0031s0050.1.p
OG0001729	g2473	Roisl.0046s1092.1.p, Roisl.0046s1093.1.p
OG0001730	g30743	Roisl.0210s0096.1.p
OG0001730	g25397	Roisl.0191s0543.1.p
OG0001731	g39470	Roisl.0191s0547.1.p
OG0001731	g30744	Roisl.0210s0100.1.p
OG0001732	g25440	Roisl.0191s0597.1.p
OG0001732	g49363	Roisl.0210s0167.1.p
OG0001733	g30788	Roisl.0210s0197.1.p
OG0001734	g41073	Roisl.0214s0774.1.p
OG0001734	g31218	Roisl.0021s0021.1.p
OG0001735	g40990	Roisl.0214s0537.1.p
OG0001735	g49760	Roisl.0021s0172.1.p
OG0001736	g44158, g40971	Roisl.0209s0727.1.p
OG0001736	g31302	Roisl.0021s0193.1.p
OG0001737	g45501	Roisl.0213s0294.1.p
OG0001737	g49790	Roisl.0021s0280.1.p
OG0001738	g40899	Roisl.0209s0547.1.p
OG0001738	g49805	Roisl.0021s0301.1.p
OG0001739	g25244	Roisl.0021s0406.1.p
OG0001739	g31433	Roisl.0021s0405.1.p
OG0001741	g22801	Roisl.0001s0426.1.p
OG0001741	g45919, g44655	Roisl.0046s0335.1.p
OG0001742	g45863	Roisl.0019s0478.1.p
OG0001742	g50292	Roisl.0191s0175.1.p
OG0001743	g32089, g27562	Roisl.0191s0214.1.p
OG0001743	g45845	Roisl.0019s0503.1.p
OG0001744	g40965	Roisl.0209s0690.1.p
OG0001745	g22737	Roisl.0001s0491.1.p, Roisl.0046s0619.1.p
OG0001746	g38492	Roisl.0046s0596.1.p
OG0001746	g22776	Roisl.0001s0450.1.p
OG0001747	g47992	Roisl.0001s0388.1.p
OG0001747	g38452	Roisl.0046s0521.1.p
OG0001748	g11943	Roisl.0115s0311.1.p
OG0001748	g36441	Roisl.0006s0091.1.p
OG0001749	g14109	Roisl.0066s0325.1.p
OG0001749	g47894, g23048	Roisl.0001s0082.1.p
OG0001750	g47787	Roisl.0003s0177.1.p
OG0001751	g23360	Roisl.0003s0114.1.p
OG0001752	g32088	Roisl.0191s0218.1.p
OG0001753	g45519	Roisl.0016s0395.1.p
OG0001754	g6142, g14214	Roisl.0053s0145.1.p, Roisl.0045s0002.1.p, Roisl.0053s0144.1.p
OG0001755	g3073	Roisl.0027s0092.1.p
OG0001755	g3074	Roisl.0027s0091.1.p
OG0001756	g24467	Roisl.0002s0197.1.p, Roisl.0002s0196.1.p, Roisl.0002s0195.1.p
OG0001763	g4013, g3928	Roisl.0016s0285.1.p
OG0001763	g4988	Roisl.0210s1454.1.p
OG0001764	g7840	Roisl.0016s0227.1.p
OG0001765	g7857	Roisl.0210s1341.1.p
OG0001765	g12673	Roisl.0016s0209.1.p
OG0001766	g5051	Roisl.0210s1333.1.p
OG0001767	g27152	Roisl.0021s0212.1.p
OG0001767	g31315	Roisl.0021s0221.1.p
OG0001768	g45844	Roisl.0019s0504.1.p
OG0001768	g5156	Roisl.0210s1189.1.p
OG0001769	g12720	Roisl.0016s0042.1.p
OG0001769	g5191	Roisl.0210s1139.1.p
OG0001770	g44294	Roisl.0115s0099.1.p
OG0001771	g4558	Roisl.0082s0429.1.p
OG0001771	g32530	Roisl.0213s0440.1.p
OG0001772	g45544	Roisl.0210s0772.1.p
OG0001772	g143	Roisl.0024s0458.1.p
OG0001773	g9717	Roisl.0024s0432.1.p
OG0001773	g45537	Roisl.0210s0760.1.p
OG0001774	g9928, g440	Roisl.0080s0159.1.p
OG0001775	g29618	Roisl.0210s0504.1.p
OG0001775	g9891	Roisl.0080s0094.1.p
OG0001776	g49410	Roisl.0210s0263.1.p
OG0001776	g45212	Roisl.0082s0381.1.p
OG0001777	g49567	Roisl.0091s1028.1.p
OG0001777	g51123	Roisl.0082s0696.1.p
OG0001778	g40021	Roisl.0082s0727.1.p
OG0001778	g31061	Roisl.0091s1015.1.p
OG0001779	g51175, g27007	Roisl.0091s1008.1.p
OG0001780	g49559	Roisl.0091s0970.1.p
OG0001780	g39937	Roisl.0033s0033.1.p
OG0001781	g49535	Roisl.0091s0886.1.p
OG0001781	g37904	Roisl.0033s0117.1.p
OG0001782	g51334, g39752	Roisl.0028s0714.1.p, Roisl.0028s0715.1.p
OG0001783	g39682	Roisl.0012s0228.1.p
OG0001783	g30843	Roisl.0210s0325.1.p
OG0001784	g17176	Roisl.0022s0168.1.p
OG0001784	g41165	Roisl.0210s0228.1.p
OG0001784	g1333	Roisl.0189s0227.1.p
OG0001785	g28356	Roisl.0189s0167.1.p
OG0001785	g47545	Roisl.0022s0193.1.p
OG0001786	g47546, g17164	Roisl.0022s0195.1.p
OG0001787	g11140	Roisl.0214s0273.1.p
OG0001787	g37045	Roisl.0179s0010.1.p
OG0001788	g18427	Roisl.0214s0258.1.p
OG0001789	g50534	Roisl.0213s0299.1.p
OG0001789	g37099	Roisl.0028s0875.1.p
OG0001790	g298	Roisl.0024s0222.1.p
OG0001792	g18616, g18625, g18624	Roisl.0024s0159.1.p, Roisl.0024s0158.1.p
OG0001793	g32261	Roisl.0015s0090.1.p
OG0001793	g27631	Roisl.0015s0091.1.p
OG0001795	g6701	Roisl.0115s0418.1.p
OG0001796	g3318	Roisl.0037s0042.1.p
OG0001797	g3302	Roisl.0037s0028.1.p
OG0001797	g28880	Roisl.0210s1882.1.p
OG0001798	g2990	Roisl.0020s0157.1.p
OG0001798	g11561, g847	Roisl.0080s0228.1.p
OG0001799	g28776	Roisl.0080s0280.1.p, Roisl.0080s0284.1.p
OG0001800	g28704	Roisl.0209s0388.1.p
OG0001801	g28560	Roisl.0080s0580.1.p
OG0001802	g28533	Roisl.0080s0743.1.p
OG0001802	g17128	Roisl.0022s0321.1.p
OG0001803	g7353	Roisl.0074s0827.1.p
OG0001804	g45429	Roisl.0042s0102.1.p, Roisl.0066s0023.1.p
OG0001805	g12369	Roisl.0074s0961.1.p
OG0001806	g13076, g13080	Roisl.0074s0998.1.p
OG0001806	g29802	Roisl.0030s0145.1.p
OG0001807	g5703	Roisl.0030s0141.1.p
OG0001807	g13074	Roisl.0074s0999.1.p
OG0001808	g5751	Roisl.0030s0038.1.p
OG0001809	g10501	Roisl.0011s0524.1.p
OG0001809	g16827	Roisl.0009s0154.1.p
OG0001810	g18249	Roisl.0001s0255.1.p
OG0001811	g27363	Roisl.0007s0416.1.p
OG0001811	g46453	Roisl.0004s0049.1.p
OG0001812	g45051, g31977, g44377	Roisl.0004s0202.1.p
OG0001812	g50179	Roisl.0049s0038.1.p
OG0001813	g44384	Roisl.0004s0208.1.p, Roisl.0007s0006.1.p
OG0001814	g31966	Roisl.0007s0020.1.p
OG0001815	g44414	Roisl.0004s0284.1.p
OG0001815	g31916	Roisl.0007s0101.1.p
OG0001818	g50085	Roisl.0007s0192.1.p
OG0001819	g22996	Roisl.0066s0188.1.p, Roisl.0001s0169.1.p
OG0001820	g18238	Roisl.0001s0226.1.p
OG0001821	g51583	Roisl.0054s0019.1.p
OG0001821	g2393	Roisl.0046s1267.1.p
OG0001822	g10564	Roisl.0011s0426.1.p
OG0001822	g37186	Roisl.0017s0016.1.p
OG0001823	g31938, g31933, g31925, g31926	Roisl.0002s0121.1.p
OG0001824	g44581	Roisl.0019s0187.1.p
OG0001824	g27389	Roisl.0007s0357.1.p
OG0001826	g44533	Roisl.0004s0467.1.p
OG0001826	g31800	Roisl.0007s0263.1.p
OG0001827	g23497	Roisl.0044s0066.1.p
OG0001827	g13812	Roisl.0214s0385.1.p
OG0001828	g50346	Roisl.0191s0336.1.p
OG0001828	g44755	Roisl.0019s0584.1.p
OG0001829	g10953	Roisl.0005s0201.1.p
OG0001830	g40559	Roisl.0005s0305.1.p
OG0001830	g17445	Roisl.0091s0394.1.p
OG0001831	g16675, g16677	Roisl.0198s0048.1.p, Roisl.0091s0987.1.p, Roisl.0091s1012.1.p, Roisl.0091s1010.1.p
OG0001832	g6680	Roisl.0115s0470.1.p
OG0001832	g54225, g36517	Roisl.0006s0225.1.p
OG0001833	g12099	Roisl.0074s0332.1.p
OG0001834	g41224	Roisl.0031s0005.1.p, Roisl.0031s0004.1.p
OG0001835	g9620, g22660	Roisl.0091s0531.1.p
OG0001836	g27006	Roisl.0091s1007.1.p
OG0001837	g6159, g13696	Roisl.0045s0061.1.p
OG0001838	g6106	Roisl.0066s0232.1.p
OG0001838	g47914, g23015	Roisl.0001s0139.1.p
OG0001839	g23872	Roisl.0008s0189.1.p
OG0001839	g40347	Roisl.0213s0628.1.p
OG0001840	g23932	Roisl.0091s0031.1.p
OG0001840	g40389	Roisl.0213s0526.1.p
OG0001842	g26905	Roisl.0210s0264.1.p
OG0001842	g47342	Roisl.0091s0255.1.p
OG0001843	g40473, g25537	Roisl.0082s0302.1.p
OG0001844	g40459	Roisl.0082s0260.1.p
OG0001844	g24003	Roisl.0091s0174.1.p
OG0001845	g27021	Roisl.0091s1094.1.p
OG0001845	g19011, g27366	Roisl.0009s0210.1.p
OG0001846	g18999	Roisl.0026s0185.1.p
OG0001846	g38158	Roisl.0028s0485.1.p
OG0001847	g37746	Roisl.0067s0053.1.p
OG0001847	g18738	Roisl.0018s0420.1.p
OG0001848	g1777	Roisl.0018s0340.1.p
OG0001849	g1900	Roisl.0018s0186.1.p
OG0001849	g37588	Roisl.0028s0068.1.p
OG0001850	g18836	Roisl.0018s0143.1.p
OG0001850	g37566	Roisl.0028s0105.1.p
OG0001851	g18842	Roisl.0018s0130.1.p
OG0001852	g18860	Roisl.0018s0120.1.p
OG0001852	g37540	Roisl.0028s0155.1.p
OG0001853	g1946	Roisl.0018s0110.1.p
OG0001854	g11200	Roisl.0018s0081.1.p
OG0001855	g37375	Roisl.0028s0528.1.p
OG0001856	g38133	Roisl.0017s0355.1.p
OG0001856	g19073	Roisl.0046s1551.1.p
OG0001857	g19136, g2270	Roisl.0046s1461.1.p, Roisl.0046s1462.1.p
OG0001858	g2364	Roisl.0046s1308.1.p
OG0001858	g51626	Roisl.0017s0046.1.p
OG0001859	g47970	Roisl.0001s0275.1.p
OG0001859	g6013	Roisl.0066s0074.1.p
OG0001860	g47975	Roisl.0001s0300.1.p
OG0001860	g5998	Roisl.0066s0040.1.p
OG0001861	g11052	Roisl.0209s0032.1.p
OG0001862	g25637, g25647, g25634, g25644, g25646	Roisl.0209s0250.1.p, Roisl.0082s0149.1.p
OG0001863	g25590	Roisl.0082s0213.1.p
OG0001864	g50913	Roisl.0046s0552.1.p
OG0001864	g22804	Roisl.0001s0411.1.p
OG0001865	g35903, g27954	Roisl.0072s0003.1.p
OG0001865	g40222	Roisl.0184s0023.1.p
OG0001866	g49701, g31215	Roisl.0021s0018.1.p
OG0001866	g12988	Roisl.0079s0215.1.p
OG0001868	g44049	Roisl.0014s0111.1.p, Roisl.0014s0116.1.p, Roisl.0191s0444.1.p, Roisl.0214s0667.1.p, Roisl.0214s0760.1.p, Roisl.0214s0728.1.p, Roisl.0214s0721.1.p, Roisl.0214s0725.1.p, Roisl.0214s0664.1.p
OG0001869	g39849	Roisl.0007s0036.1.p
OG0001871	g7863	Roisl.0016s0191.1.p
OG0001872	g12504	Roisl.0039s0158.1.p
OG0001872	g6516	Roisl.0053s0326.1.p
OG0001873	g49901	Roisl.0007s0756.1.p
OG0001873	g1534	Roisl.0011s0215.1.p
OG0001874	g38322	Roisl.0012s0374.1.p, Roisl.0189s0082.1.p
OG0001874	g16917, g35238	Roisl.0003s0281.1.p
OG0001875	g46697	Roisl.0009s0317.1.p
OG0001875	g10375	Roisl.0188s0076.1.p
OG0001876	g16892	Roisl.0070s0007.1.p
OG0001876	g46699	Roisl.0070s0008.1.p
OG0001877	g46749	Roisl.0046s0023.1.p
OG0001877	g44939	Roisl.0024s0088.1.p
OG0001878	g45274	Roisl.0191s0471.1.p
OG0001878	g30736	Roisl.0210s0076.1.p
OG0001879	g49736	Roisl.0021s0137.1.p
OG0001879	g47567	Roisl.0022s0251.1.p
OG0001880	g31272	Roisl.0021s0144.1.p
OG0001880	g41003	Roisl.0214s0563.1.p
OG0001881	g49799	Roisl.0021s0290.1.p
OG0001881	g44224, g40913	Roisl.0209s0564.1.p
OG0001882	g31351	Roisl.0021s0295.1.p
OG0001882	g44231	Roisl.0209s0556.1.p
OG0001883	g40856	Roisl.0010s0125.1.p
OG0001883	g31400	Roisl.0021s0362.1.p
OG0001884	g10625	Roisl.0011s0323.1.p
OG0001884	g31439	Roisl.0021s0420.1.p
OG0001885	g10715	Roisl.0011s0146.1.p
OG0001885	g49908	Roisl.0007s0694.1.p
OG0001886	g36367	Roisl.0013s0062.1.p
OG0001888	g18004	Roisl.0019s0266.1.p
OG0001888	g49996	Roisl.0007s0399.1.p
OG0001889	g31709	Roisl.0007s0383.1.p
OG0001890	g1521	Roisl.0011s0140.1.p
OG0001891	g45827	Roisl.0019s0524.1.p
OG0001891	g32076, g50322	Roisl.0191s0268.1.p
OG0001892	g22794	Roisl.0001s0431.1.p
OG0001892	g22795	Roisl.0001s0430.1.p
OG0001893	g51050	Roisl.0023s0106.1.p
OG0001893	g23271	Roisl.0003s0262.1.p
OG0001894	g6189	Roisl.0047s0035.1.p
OG0001894	g23149	Roisl.0008s0335.1.p
OG0001895	g47780	Roisl.0003s0149.1.p
OG0001895	g50991	Roisl.0018s0227.1.p
OG0001896	g38382	Roisl.0051s0015.1.p
OG0001896	g23335	Roisl.0003s0147.1.p
OG0001897	g23368	Roisl.0003s0104.1.p
OG0001897	g38394	Roisl.0021s0619.1.p
OG0001898	g48892, g42364, g22064, g42914, g38839	Roisl.0041s0058.1.p, Roisl.0022s0005.1.p
OG0001899	g3726	Roisl.0063s0012.1.p, Roisl.0020s0187.1.p, Roisl.0179s0092.1.p, Roisl.0214s0892.1.p, Roisl.0214s0893.1.p, Roisl.0014s0057.1.p
OG0001900	g16877	Roisl.0009s0287.1.p
OG0001900	g10398	Roisl.0188s0105.1.p
OG0001902	g51355, g51354	Roisl.0080s0217.1.p, Roisl.0214s0123.1.p, Roisl.0210s1986.1.p, Roisl.0015s0052.1.p
OG0001907	g24949, g26638, g4187, g34433, g42608, g41957, g53892, g35155, g34738, g16511, g43833, g42034, g32868, g24948, g35919, g41902, g42035, g24999, g24859, g43619, g3289, g35920, g35863, g42077, g26822, g24791, g3018, g4093, g32869, g37819, g32915, g3670, g26820, g53880, g28226, g53891, g3028, g24860, g14329, g24792, g4094, g25949, g3017, g3468, g11576	Roisl.0047s0022.1.p
OG0001910	g16983	Roisl.0003s0067.1.p
OG0001910	g38402	Roisl.0021s0583.1.p
OG0001911	g38398	Roisl.0021s0594.1.p
OG0001911	g47753	Roisl.0003s0081.1.p
OG0001912	g29194	Roisl.0210s1338.1.p
OG0001912	g7859	Roisl.0016s0204.1.p
OG0001913	g12970	Roisl.0016s0381.1.p
OG0001913	g7592	Roisl.0079s0136.1.p
OG0001914	g12751	Roisl.0016s0162.1.p
OG0001914	g5082	Roisl.0210s1279.1.p
OG0001915	g29351	Roisl.0210s1044.1.p
OG0001916	g647	Roisl.0210s1660.1.p
OG0001916	g45590, g29398	Roisl.0210s0955.1.p
OG0001917	g644, g41423	Roisl.0210s1670.1.p
OG0001918	g10034	Roisl.0046s0174.1.p
OG0001918	g29482	Roisl.0210s0789.1.p
OG0001919	g566	Roisl.0046s0165.1.p
OG0001919	g29490	Roisl.0210s0779.1.p
OG0001920	g165	Roisl.0024s0411.1.p, Roisl.0210s0719.1.p, Roisl.0210s0718.1.p
OG0001921	g45525	Roisl.0210s0715.1.p
OG0001921	g29526	Roisl.0091s0533.1.p, Roisl.0080s0814.1.p, Roisl.0052s0020.1.p
OG0001922	g50914	Roisl.0046s0556.1.p
OG0001922	g29551	Roisl.0210s0678.1.p
OG0001923	g9776	Roisl.0024s0306.1.p
OG0001924	g9917	Roisl.0080s0136.1.p
OG0001925	g31023	Roisl.0091s0943.1.p
OG0001925	g39903	Roisl.0082s0773.1.p
OG0001926	g39899	Roisl.0033s0085.1.p
OG0001926	g31021	Roisl.0091s0941.1.p
OG0001927	g26969	Roisl.0091s0889.1.p
OG0001927	g39863	Roisl.0033s0125.1.p
OG0001929	g39755, g51330	Roisl.0028s0705.1.p
OG0001930	g11067	Roisl.0012s0232.1.p
OG0001930	g26911	Roisl.0210s0320.1.p
OG0001931	g47547, g23762	Roisl.0022s0197.1.p
OG0001932	g32311, g32310, g32309	Roisl.0035s0092.1.p, Roisl.0035s0093.1.p
OG0001933	g51363, g37066	Roisl.0028s0749.1.p, Roisl.0028s0750.1.p, Roisl.0213s0065.1.p
OG0001934	g27758	Roisl.0213s0381.1.p
OG0001934	g37120	Roisl.0028s0917.1.p
OG0001935	g32619	Roisl.0209s0175.1.p
OG0001936	g38001	Roisl.0028s0951.1.p
OG0001937	g2593	Roisl.0046s0949.1.p
OG0001937	g9668	Roisl.0024s0541.1.p
OG0001938	g7121, g12153	Roisl.0074s0460.1.p
OG0001938	g13231	Roisl.0080s0183.1.p
OG0001939	g2683	Roisl.0046s0809.1.p
OG0001940	g16919	Roisl.0023s0107.1.p, Roisl.0003s0265.1.p
OG0001941	g41404	Roisl.0210s1757.1.p
OG0001941	g714	Roisl.0080s0380.1.p
OG0001942	g3075	Roisl.0027s0090.1.p
OG0001942	g41343	Roisl.0210s1952.1.p
OG0001943	g41329	Roisl.0080s0218.1.p
OG0001943	g2995	Roisl.0019s0078.1.p
OG0001945	g41008	Roisl.0214s0580.1.p
OG0001945	g44142	Roisl.0214s0550.1.p
OG0001946	g1184	Roisl.0080s0451.1.p
OG0001946	g28726	Roisl.0210s0447.1.p
OG0001947	g17882	Roisl.0080s0545.1.p, Roisl.0022s0233.1.p
OG0001948	g23732	Roisl.0022s0236.1.p
OG0001949	g14053	Roisl.0066s0250.1.p
OG0001951	g23695	Roisl.0022s0307.1.p
OG0001952	g982	Roisl.0080s0847.1.p
OG0001952	g23662	Roisl.0022s0367.1.p
OG0001953	g969	Roisl.0080s0873.1.p
OG0001953	g23654	Roisl.0022s0383.1.p
OG0001954	g7316	Roisl.0074s0779.1.p
OG0001954	g29651	Roisl.0210s0431.1.p
OG0001955	g29671, g5592	Roisl.0042s0006.1.p
OG0001955	g12306, g7348	Roisl.0074s0818.1.p
OG0001956	g29764	Roisl.0030s0209.1.p
OG0001957	g45358, g5726	Roisl.0030s0073.1.p
OG0001958	g29838, g5743	Roisl.0030s0048.1.p
OG0001959	g7522, g47835	Roisl.0003s0343.1.p
OG0001960	g10491	Roisl.0028s0378.1.p, Roisl.0011s0533.1.p
OG0001961	g31617	Roisl.0007s0559.1.p
OG0001961	g13599	Roisl.0115s0091.1.p
OG0001962	g46547	Roisl.0115s0132.1.p
OG0001963	g31630	Roisl.0007s0531.1.p
OG0001964	g27338	Roisl.0007s0504.1.p
OG0001965	g31957, g50161	Roisl.0007s0037.1.p
OG0001965	g46287	Roisl.0004s0235.1.p
OG0001966	g47931	Roisl.0001s0179.1.p
OG0001967	g31942, g27463	Roisl.0007s0077.1.p
OG0001967	g13625	Roisl.0004s0262.1.p
OG0001968	g46240	Roisl.0004s0304.1.p
OG0001968	g18521	Roisl.0046s0346.1.p, Roisl.0046s0347.1.p
OG0001969	g6112	Roisl.0066s0216.1.p
OG0001969	g23012	Roisl.0001s0142.1.p
OG0001970	g22997	Roisl.0001s0168.1.p
OG0001971	g6048	Roisl.0066s0162.1.p, Roisl.0001s0204.1.p
OG0001972	g22963	Roisl.0001s0217.1.p
OG0001973	g12206	Roisl.0074s0576.1.p
OG0001973	g54343	Roisl.0006s0496.1.p
OG0001974	g7132	Roisl.0074s0471.1.p
OG0001974	g36619	Roisl.0006s0401.1.p
OG0001975	g19213, g2387	Roisl.0046s1275.1.p
OG0001975	g51592	Roisl.0054s0033.1.p
