Orthogroup	Cochlearia_excelsa	Arabidopsis_thaliana
OG0002990	g32490	AT1G30720.1
OG0002991	g32620	AT2G35340.1
OG0002992	g19372, g9672, g86	AT5G67360.1
OG0002994	g104	AT5G67500.1
OG0002996	g810	AT5G22780.1, AT5G22770.1
OG0002997	g28811	AT5G60270.1
OG0002999	g39281, g28682	AT5G58050.1, AT5G58170.1
OG0003000	g1055	AT5G56170.1
OG0003001	g30994	AT1G06350.1
OG0003002	g986	AT5G54970.1
OG0003002	g47612	AT4G26960.1
OG0003003	g17107	AT4G26990.1
OG0003004	g31203, g49620	AT1G09620.1
OG0003005	g5588	AT5G06730.1
OG0003006	g39607	AT4G02770.1
OG0003007	g12799, g36097	AT3G04100.1
OG0003008	g18989	AT3G02370.2
OG0003009	g29848, g5781	AT5G02730.1
OG0003009	g13057	AT3G09590.1
OG0003010	g14376	AT5G41130.3, AT5G41120.3
OG0003011	g27510	AT1G22050.1
OG0003011	g46394	AT1G77870.1
OG0003013	g46371	AT1G77540.1
OG0003014	g22983	AT4G35630.1
OG0003015	g22982	AT4G35640.1
OG0003015	g6053	AT2G17640.1
OG0003018	g17884	AT4G13190.1
OG0003019	g52014	AT4G13770.1
OG0003020	g17813, g47020	AT4G13890.1, AT4G13930.1
OG0003021	g46105	AT1G73890.1
OG0003022	g44804	AT1G68750.1
OG0003023	g23495	AT4G29180.2
OG0003024	g31971	AT1G21170.2
OG0003025	g10438	AT3G28150.1
OG0003025	g16854	AT5G40180.1
OG0003026	g10433	AT3G28200.1, AT5G40150.1
OG0003027	g18395, g16730	AT5G45490.1, AT5G45440.1
OG0003028	g6788	AT3G19590.1
OG0003028	g54153	AT1G49910.1
OG0003029	g28048	AT1G50740.1
OG0003030	g36389	AT1G49340.1
OG0003032	g12097	AT3G16175.1
OG0003032	g28015	AT1G52191.1
OG0003033	g51705	AT2G38185.4, AT2G38195.1, AT2G38220.1
OG0003034	g33	AT5G49560.1
OG0003034	g2526	AT3G50850.1
OG0003037	g40467	AT4G05190.1, AT4G21270.1
OG0003040	g18823	AT3G60415.1
OG0003041	g18857, g1932	AT3G60130.1
OG0003042	g52111	AT2G43150.1
OG0003043	g11216	AT3G58100.2
OG0003044	g2343	AT3G53540.2
OG0003045	g12769, g7829	AT3G03260.1
OG0003047	g44902	AT1G67440.2
OG0003048	g32258	AT1G67530.1, AT1G24330.1
OG0003049	g41604	AT1G67870.1
OG0003050	g18127	AT5G36230.2
OG0003051	g23819	AT4G24805.1
OG0003052	g18331	AT4G38790.1
OG0003054	g47341	AT4G20330.1, AT4G21010.1
OG0003055	g41438	AT5G19110.2
OG0003057	g4855	AT5G26730.1
OG0003058	g7739	AT3G04830.1
OG0003058	g10163	AT5G28220.1
OG0003060	g37596	AT2G45330.1
OG0003060	g52245	AT5G23600.1
OG0003061	g52138	AT2G43880.1
OG0003062	g37525	AT2G43860.1
OG0003063	g38169	AT5G24640.1, AT2G41730.1
OG0003064	g12572	AT3G05190.1
OG0003065	g12869, g7702	AT3G05530.1
OG0003066	g12532	AT3G05730.1
OG0003068	g7537	AT3G08770.2, AT5G01870.1
OG0003069	g12345, g7407	AT3G30540.1, AT3G10900.1, AT3G10890.1
OG0003071	g13249	AT3G16030.6
OG0003072	g12022	AT1G48605.1
OG0003073	g36364	AT1G48760.1
OG0003074	g44980, g46774	AT5G37800.1
OG0003075	g41451	AT5G18860.1
OG0003076	g26866	AT1G01750.2
OG0003077	g25165	AT1G01640.1
OG0003078	g26899, g30790, g49389	AT1G02790.1
OG0003079	g30819	AT1G03360.1
OG0003080	g30996	AT1G06390.1
OG0003081	g31281	AT1G10850.1
OG0003082	g10776	AT1G14900.1
OG0003083	g49927	AT1G14980.1
OG0003084	g31602	AT1G15460.1
OG0003085	g31785	AT1G18500.1
OG0003086	g17972	AT1G76210.1, AT1G20520.1
OG0003089	g31968, g50167	AT1G21140.1, AT3G43630.1, AT3G43660.1
OG0003092	g11044, g40499	AT5G44600.1, AT5G44590.1
OG0003093	g47968	AT4G36500.1
OG0003094	g47899	AT4G34920.1
OG0003095	g47897	AT4G34890.1
OG0003096	g23287	AT4G32090.1
OG0003097	g27582	AT1G69670.1
OG0003097	g32139	AT1G26830.1
OG0003098	g39504	AT4G01450.2
OG0003101	g6023	AT2G18190.1, AT2G18193.1
OG0003103	g51119	AT2G28970.1
OG0003104	g39905	AT5G61412.1
OG0003116	g47749, g23394	AT4G30480.2
OG0003118	g29211	AT5G15980.1
OG0003118	g7869	AT3G02490.1
OG0003119	g45675	AT5G14930.2
OG0003121	g18630	AT2G32870.1, AT2G32880.1
OG0003122	g17178	AT4G00130.1, AT4G25210.1
OG0003123	g36247	AT1G47578.1
OG0003123	g47765	AT4G31050.1
OG0003124	g51412	AT2G34040.1, AT3G19515.2, AT1G29030.1
OG0003125	g31237	AT1G10155.1
OG0003127	g2547	AT3G50650.1
OG0003127	g46	AT5G66770.1
OG0003128	g46818	AT5G22480.1
OG0003129	g287	AT5G63570.1
OG0003129	g2697	AT3G48730.1
OG0003130	g18617	AT5G63030.1
OG0003131	g406	AT5G61650.1
OG0003132	g520	AT5G24060.2
OG0003133	g44174	AT1G61380.1
OG0003134	g11823	AT3G22320.1
OG0003136	g801	AT5G22520.1, AT5G22530.1
OG0003136	g14404	AT5G22545.1
OG0003138	g41219	AT5G52300.1
OG0003139	g47563	AT4G25890.1
OG0003140	g27508, g32018	AT1G21970.1
OG0003141	g12061	AT3G17010.1
OG0003143	g45241	AT4G02510.1
OG0003144	g19113	AT3G55220.1, AT3G55200.1
OG0003145	g29777	AT5G04680.1, AT5G04700.1
OG0003146	g5686	AT5G04460.1
OG0003147	g16821	AT5G40780.1
OG0003148	g16792	AT5G41260.1
OG0003148	g40781	AT1G63500.1
OG0003149	g36636	AT1G79920.1, AT1G79930.1
OG0003150	g44280	AT1G80280.1
OG0003150	g49943	AT1G15490.1
OG0003151	g49967	AT1G79500.1, AT1G16340.4
OG0003152	g44322	AT1G79450.1, AT1G16360.2
OG0003153	g46482	AT1G78860.1, AT1G78850.1
OG0003155	g46317, g17964	AT1G76770.1
OG0003156	g31897	AT3G25940.1
OG0003157	g44474	AT1G75230.2
OG0003157	g31854	AT1G19480.1
OG0003158	g7129	AT3G15010.1
OG0003159	g38026, g51569	AT2G36100.1
OG0003160	g37164	AT2G36380.1, AT1G66950.1
OG0003161	g27831, g27821	AT5G07640.1
OG0003162	g47011	AT4G13710.1, AT3G24230.1
OG0003163	g24504, g24502	AT4G14723.1
OG0003163	g11801	AT3G22820.1
OG0003164	g13391	AT3G21465.2
OG0003164	g24445	AT4G15640.1
OG0003165	g31770	AT1G18350.1
OG0003165	g46063	AT1G73500.1
OG0003166	g31758, g50035	AT1G18260.1
OG0003167	g10453	AT3G27880.1
OG0003168	g10367	AT3G29180.1
OG0003169	g16837	AT5G40540.1
OG0003169	g1625	AT3G27560.1
OG0003172	g45058	AT1G65630.1
OG0003173	g19112	AT4G07675.1, AT1G49700.1
OG0003175	g36183	AT1G45170.1
OG0003176	g17533, g24258	AT4G17510.1
OG0003177	g1336, g41160	AT5G51270.1
OG0003178	g1497, g27273	AT1G14490.2
OG0003179	g47162	AT4G16480.1
OG0003180	g51503	AT2G35170.1
OG0003181	g2512	AT5G66410.1, AT3G50960.1
OG0003182	g1908	AT3G60500.1
OG0003182	g18818	AT3G12990.1
OG0003185	g1782	AT3G62050.1
OG0003186	g36352, g19376	AT3G45220.1
OG0003187	g19045	AT3G56060.1
OG0003189	g38121	AT2G39230.1
OG0003189	g2258	AT3G54980.1
OG0003190	g51645	AT2G37520.1
OG0003192	g6032	AT2G17980.1
OG0003193	g19017	AT3G56680.1
OG0003194	g6279, g51761	AT2G39210.1
OG0003195	g18263	AT4G37160.1
OG0003196	g51034	AT2G25170.3
OG0003196	g23296	AT4G31900.1
OG0003197	g25691	AT4G11650.1
OG0003198	g10144	AT5G27520.1
OG0003199	g17044	AT2G20610.1
OG0003200	g12814	AT3G04690.1
OG0003200	g10174	AT5G28680.1
OG0003201	g12855, g7711	AT3G05280.1, AT5G27490.1
OG0003202	g4897	AT5G18960.1
OG0003202	g12925	AT3G06250.1
OG0003203	g12448, g12957	AT3G07220.1
OG0003206	g12268, g7280	AT3G12830.1
OG0003207	g7166	AT3G14320.1
OG0003208	g11997	AT3G18650.1
OG0003210	g46767	AT5G37930.1
OG0003211	g49461	AT1G50920.1
OG0003212	g26997	AT1G07135.1
OG0003213	g49687	AT1G08440.1, AT1G08430.1
OG0003214	g44107	AT1G60030.1, AT1G10540.1
OG0003215	g49846	AT1G12740.2
OG0003216	g17193	AT4G31520.1
OG0003216	g31435	AT1G13160.1
OG0003217	g10734	AT2G02061.1
OG0003218	g49995, g31692	AT1G17280.4
OG0003219	g27523, g50249	AT1G22590.2
OG0003220	g45973	AT1G72000.1
OG0003220	g27525	AT1G22650.1
OG0003222	g50270	AT1G22920.1
OG0003223	g40987	AT1G60986.1, AT1G60987.1, AT1G60985.1
OG0003224	g1730	AT1G59700.1
OG0003226	g54028, g28110	AT1G47980.1
OG0003227	g18203	AT2G14880.1, AT4G34290.1
OG0003228	g23159, g24361	AT5G26130.1, AT4G33710.1
OG0003229	g50351	AT1G26730.1, AT1G35350.1
OG0003230	g23620	AT4G27630.3
OG0003230	g45116	AT1G64990.1
OG0003231	g10652	AT2G03740.1
OG0003233	g22936, g18251	AT4G36350.1, AT1G56360.1
OG0003234	g27407	AT1G18486.1
OG0003236	g36930	AT2G22510.1
OG0003236	g22784, g18297	AT4G38080.1
OG0003237	g10316	AT3G30530.1
OG0003239	g2981	AT3G45420.1
OG0003239	g2985	AT3G45410.1
OG0003246	g2867	AT3G46670.1
OG0003247	g2823, g19542	AT1G35860.1
OG0003248	g19489, g50663, g2762	AT3G48090.1, AT3G48080.1
OG0003249	g10940, g4628, g40634	AT5G46550.1
OG0003250	g5133	AT5G15140.1
OG0003251	g29326, g45635	AT5G14040.1
OG0003252	g29416	AT5G12000.1
OG0003253	g47272	AT4G18440.1, AT1G36280.1
OG0003254	g29508	AT5G10240.1
OG0003255	g5422	AT5G10220.1
OG0003256	g29515, g29517, g5427	AT5G10140.1
OG0003257	g5449	AT5G09650.1
OG0003258	g9772	AT5G64310.1
OG0003259	g29714	AT5G05710.1
OG0003261	g39904, g51218	AT2G30570.1
OG0003262	g51277	AT2G31945.1
OG0003263	g28081	AT1G49290.1
OG0003264	g39760	AT2G32980.1
OG0003265	g18126	AT4G10320.1
OG0003266	g32127	AT1G27000.1
OG0003267	g32462	AT1G30420.1
OG0003268	g18599	AT5G61720.1
OG0003269	g256	AT5G64070.1
OG0003270	g431	AT5G61220.1
OG0003271	g9972	AT5G23540.1
OG0003273	g41334	AT3G45000.1
OG0003274	g13960	AT2G18340.1
OG0003276	g1186, g28725	AT5G58460.1, AT5G37060.1
OG0003277	g23689, g47586	AT4G26550.1
OG0003278	g11372	AT3G49680.1
OG0003279	g2612, g11376	AT3G49660.1
OG0003280	g47315	AT5G03500.6
OG0003281	g5799	AT1G12350.1, AT5G02080.5
OG0003282	g50284	AT1G23280.1
OG0003283	g18613	AT1G37150.9
OG0003285	g17456	AT4G18910.1
OG0003286	g24115, g17405	AT4G19690.2
OG0003287	g46427	AT1G22260.1, AT1G22275.1
OG0003289	g17708, g24495	AT4G14880.1
OG0003290	g13411	AT3G22220.1
OG0003292	g32130	AT1G26870.1
OG0003295	g24190	AT4G18372.1
OG0003297	g311	AT5G63225.1, AT5G63230.1
OG0003298	g17406	AT4G19610.1
OG0003299	g28328	AT5G51300.1
OG0003300	g18459, g26657	AT5G42270.1
OG0003300	g36500	AT1G50250.1
OG0003301	g2478, g19314	AT5G66080.1
OG0003302	g1840	AT3G61570.1
OG0003302	g37648	AT2G46180.1
OG0003303	g38098	AT2G38620.2
OG0003303	g2307	AT3G54180.1
OG0003306	g10280	AT5G48300.1
OG0003308	g5991	AT2G18740.1
OG0003309	g36701	AT1G55205.2
OG0003309	g54334	AT3G13674.1
OG0003310	g40210	AT4G08310.1
OG0003311	g37720	AT2G47240.1
OG0003312	g37538	AT2G44270.1
OG0003313	g23068	AT4G34630.1
OG0003314	g7718, g12574	AT3G05100.1
OG0003316	g29079	AT5G18980.1
OG0003317	g10240	AT5G48660.1
OG0003319	g6990	AT3G16830.1
OG0003320	g6849	AT3G18880.1
OG0003321	g47664	AT4G28365.1
OG0003321	g23556	AT4G32490.1
OG0003322	g10315	AT5G38790.1, AT3G30580.1
OG0003323	g4714	AT3G22231.1, AT3G22235.1
OG0003323	g11831, g11832	AT3G22240.1
OG0003324	g16988	AT4G30170.1
OG0003324	g47731	AT2G18980.1
OG0003325	g4661	AT5G49470.2
OG0003326	g2459	AT3G51770.2
OG0003328	g45260	AT4G01010.1
OG0003328	g30748	AT1G01340.2
OG0003329	g16974	AT4G30640.1
OG0003330	g27003	AT1G07300.3
OG0003331	g31135	AT1G08730.1
OG0003332	g27267	AT1G14410.1
OG0003332	g10700	AT2G02740.1
OG0003333	g49953	AT1G15860.3
OG0003334	g31837	AT1G19320.1
OG0003335	g50136, g31919	AT1G20450.1
OG0003335	g27458	AT1G20440.1
OG0003336	g50263	AT1G22880.1
OG0003336	g44654	AT1G71380.1
OG0003337	g32062	AT1G23190.1
OG0003338	g32074	AT1G24190.3
OG0003340	g40704	AT4G17310.1
OG0003341	g11043	AT4G12330.1
OG0003341	g32557, g32567, g32566, g32576, g32556, g40502	AT5G44620.1
OG0003342	g46829	AT1G65820.3
OG0003343	g47696	AT4G29460.1, AT4G29470.1
OG0003345	g46647	AT5G41370.1, AT5G41360.1
OG0003346	g19737, g19690, g19772, g19724	ATCG01230.1
OG0003346	g20245, g30286, g20213, g30304	AT2G07675.1
OG0003347	g22984, g47925	AT4G35600.2
OG0003349	g47871	AT4G34180.1
OG0003350	g16924	AT4G32330.1
OG0003351	g44618	AT1G72125.1, AT1G72120.1
OG0003352	g45248	AT4G01370.1
OG0003352	g39489	AT1G01560.2
OG0003353	g23630, g17083	AT4G27500.1
OG0003355	g53489, g17886, g53458	AT5G42530.1, AT1G31580.1
OG0003356	g50439	AT1G61470.1, AT1G27890.1, AT1G27820.1
OG0003360	g46976	AT2G15260.1, AT4G13490.1
OG0003362	g54235	AT1G51840.1
OG0003367	g12240	AT2G25297.2, AT3G13433.1
OG0003373	g50440	AT1G27940.1
OG0003374	g50664	AT1G32780.1
OG0003375	g13348, g27395	AT5G50960.1
OG0003376	g13581	AT2G05840.1
OG0003377	g5050	AT5G16330.1
OG0003378	g29198	AT5G16230.1
OG0003381	g29402, g5320	AT5G12210.1
OG0003381	g5321	AT3G12070.1
OG0003382	g44070	AT1G70910.1, AT1G57730.1
OG0003383	g5402	AT5G10745.1
OG0003384	g38477	AT4G37608.1
OG0003385	g29596	AT5G08180.1
OG0003386	g5533	AT5G07740.2
OG0003387	g23810	AT4G24940.1
OG0003388	g28264	AT5G50400.1
OG0003388	g23814	AT4G24890.1
OG0003389	g40156	AT2G32560.1, AT2G26850.1
OG0003390	g51191	AT2G30210.1
OG0003391	g39733	AT5G43340.1, AT4G08895.1
OG0003391	g11118	AT4G08878.1
OG0003392	g11073, g11068, g11074	AT5G44120.3
OG0003393	g50548	AT1G30620.1
OG0003394	g32478	AT2G34840.1
OG0003395	g19387	AT3G49760.1
OG0003396	g9752, g214	AT5G64650.1, AT5G09770.1
OG0003397	g9767	AT4G33580.2
OG0003398	g314, g9822, g15977	AT5G63170.1
OG0003399	g326	AT5G62950.1, AT3G28956.10
OG0003400	g330	AT3G48040.1
OG0003402	g41382, g28910	AT5G20920.1
OG0003404	g1207	AT5G58640.1, AT3G47300.1
OG0003405	g1079	AT5G56680.1, AT1G70980.1
OG0003406	g1069	AT5G47880.1
OG0003408	g5657	AT5G04940.1
OG0003410	g13038	AT5G02120.1
OG0003411	g7529	AT3G08880.1
OG0003412	g13005	AT3G08850.1, AT5G01770.1
OG0003414	g46489	AT1G78920.1, AT1G16780.1
OG0003415	g18307, g17604	AT4G39160.2
OG0003416	g46286	AT1G76520.1, AT1G76530.1
OG0003417	g54313	AT1G55670.1
OG0003418	g13214	AT3G14410.1, AT1G53660.3
OG0003419	g36631, g11532	AT1G53440.1, AT1G53430.1
OG0003420	g37173	AT2G36540.1
OG0003421	g11751	AT3G23670.1
OG0003421	g17770	AT4G14150.1
OG0003422	g22848	AT4G37270.1
OG0003423	g46089	AT1G73700.1
OG0003424	g16518	AT3G28490.1
OG0003424	g10412	AT3G28480.2
OG0003425	g50350	AT1G69485.1
OG0003425	g32148	AT1G26740.1
OG0003426	g10951	AT5G46190.2, AT4G18375.2
OG0003427	g36522	AT1G51760.1
OG0003428	g28030	AT1G51770.1
OG0003428	g6677	AT3G21310.1
OG0003429	g5877	AT2G20770.1
OG0003430	g10379	AT3G29010.1
OG0003431	g24165	AT4G18680.1, AT4G18690.1
OG0003432	g19228	AT3G52630.1
OG0003433	g19347, g19348	AT3G50740.1
OG0003434	g1334	AT5G51370.2, AT5G51380.1
OG0003435	g28327	AT5G51230.1
OG0003437	g11022	AT5G35830.1, AT3G54070.1
OG0003438	g24054, g17378	AT5G44500.1, AT4G20440.1
OG0003440	g23980	AT4G21895.1
OG0003441	g38127, g874	AT1G34570.1, AT3G15750.1
OG0003442	g18844, g18855	AT3G60150.1, AT2G44525.1
OG0003443	g1991	AT2G42650.1, AT3G58660.1
OG0003445	g11257	AT3G57010.1
OG0003447	g13571	AT2G05160.1
OG0003448	g11725, g13495	AT3G24350.2
OG0003449	g22910, g18256	AT4G36690.1
OG0003450	g50896	AT2G22420.1
OG0003452	g40272	AT4G09760.1
OG0003453	g39241, g28052	AT2G47430.1
OG0003454	g37723	AT2G47370.1, AT5G28660.1, AT2G16760.1
OG0003455	g52277, g37628, g38246	AT2G45760.1
OG0003456	g16296, g52194	AT2G44790.1
OG0003457	g52144	AT2G43945.1, AT3G59870.1
OG0003461	g12936, g12481	AT3G66656.1
OG0003462	g12411	AT3G09035.1, AT3G09190.1
OG0003463	g7379	AT2G02765.1
OG0003464	g12300, g7344	AT3G11930.3
OG0003465	g7223, g12236	AT1G55290.1
OG0003466	g12221, g7217	AT3G13710.1, AT3G13720.1
OG0003468	g47503	AT4G24340.1, AT4G24350.1
OG0003469	g47760	AT4G30870.1
OG0003470	g49651, g31150	AT1G08930.1
OG0003471	g31099	AT1G08050.1
OG0003472	g27083, g31185	AT1G09520.1
OG0003473	g31228	AT1G09950.1
OG0003475	g40869	AT1G62950.1
OG0003475	g27189	AT1G12460.1
OG0003476	g31415	AT1G12910.1
OG0003476	g10557	AT3G26640.1
OG0003477	g49911	AT1G14650.1
OG0003481	g40726	AT5G47770.1, AT4G17190.1
OG0003482	g6979	AT2G18790.1
OG0003482	g24364, g24373	AT4G16250.1
OG0003483	g1620, g10486	AT2G46290.1, AT2G46280.1, AT5G57650.1
OG0003484	g18366	AT4G38420.1, AT4G28090.1
OG0003485	g47991	AT4G37560.1
OG0003486	g47935	AT4G35785.2
OG0003487	g18213, g23071	AT4G34600.1
OG0003488	g50978	AT2G24240.1
OG0003494	g36723	AT1G55600.1
OG0003495	g10243	AT1G65050.1, AT1G65150.1, AT1G65370.1
OG0003496	g28368, g45479, g13335	AT1G66855.1, AT4G16165.1, AT1G66870.2, AT1G66852.1
OG0003497	g18039	AT1G67270.1, AT1G67780.1
OG0003500	g11213	AT3G25510.1, AT3G44400.1, AT3G44630.3, AT3G44670.1, AT3G44480.3
OG0003501	g10000	AT5G24180.1, AT5G24220.1, AT5G24190.1
OG0003502	g889	AT5G52730.1, AT5G52720.2, AT5G52670.1
OG0003503	g37250	AT2G03932.1, AT2G03931.1, AT2G03936.1, AT2G03933.1, AT2G03937.2, AT2G03913.1, AT2G03955.1, AT2G34123.1
OG0003504	g6526	AT3G23480.2, AT3G23470.2
OG0003505	g50514	AT1G29570.1
OG0003506	g25024	AT4G08263.1
OG0003512	g38265	AT2G26560.1
OG0003515	g5080	AT5G15870.1, AT1G18310.1
OG0003516	g29444	AT5G11470.1
OG0003517	g6776	AT3G19770.1
OG0003518	g5492	AT5G08535.1, AT3G52350.1
OG0003519	g29612, g423	AT5G61410.1
OG0003520	g45484	AT5G07630.1
OG0003521	g40121	AT2G27285.1, AT1G55928.1, AT2G27280.1
OG0003522	g37804	AT2G27680.1
OG0003523	g37834, g40042	AT2G28340.1
OG0003525	g51207	AT2G30410.1
OG0003527	g51247, g26965	AT2G31400.1
OG0003529	g51297	AT2G32260.1
OG0003530	g39715	AT1G04230.1, AT5G43720.1
OG0003531	g32411	AT1G29730.2
OG0003532	g32494	AT1G30800.1
OG0003533	g65	AT5G67100.1
OG0003535	g9714	AT5G65440.3
OG0003537	g396	AT5G61820.1
OG0003538	g10074	AT5G25757.1, AT5G25754.1
OG0003540	g826, g827	AT5G22980.1
OG0003541	g28823	AT5G60500.1, AT5G60510.1
OG0003542	g46093	AT1G73790.1
OG0003543	g28743	AT5G59490.1
OG0003544	g39238	AT5G59380.1
OG0003545	g1158, g28697	AT5G58290.1
OG0003546	g39290, g1138, g28659	AT5G57800.1
OG0003547	g1067	AT5G56330.1
OG0003547	g31100	AT1G08065.1
OG0003548	g28524, g1026	AT5G55630.1
OG0003549	g45477	AT5G07210.1, AT2G27070.1
OG0003550	g5615	AT5G05970.2
OG0003551	g29741, g5645	AT5G05170.1
OG0003552	g45357	AT4G08800.1
OG0003552	g5957	AT2G19470.1
OG0003553	g11485, g24218	AT3G28410.1, AT5G02700.1
OG0003554	g10485	AT3G27460.4
OG0003555	g44346	AT1G78990.1, AT1G32910.1
OG0003556	g32033, g50243	AT1G22410.1
OG0003557	g6113	AT2G17265.1
OG0003558	g36409	AT1G49770.1
OG0003559	g17721	AT4G14380.1
OG0003562	g24418	AT4G15802.1
OG0003563	g32816	AT1G73260.1
OG0003564	g50059	AT1G18950.2
OG0003566	g44756	AT1G69523.1
OG0003567	g18399	AT5G45650.1
OG0003568	g37050	AT5G42930.1, AT1G56630.1
OG0003569	g46077	AT1G73610.1
OG0003571	g47353	AT4G20860.1
OG0003572	g17401	AT4G19770.1, AT4G19800.1, AT4G19740.1
OG0003573	g47167, g2656, g2670, g24337	AT4G16515.2
OG0003574	g18474	AT3G51970.1
OG0003575	g18747	AT2G47870.1
OG0003577	g37710	AT2G47060.4
OG0003578	g11165, g1834	AT5G05620.1, AT3G61650.1
OG0003579	g18714	AT3G60740.1
OG0003580	g18953	AT3G56150.1
OG0003581	g2038	AT3G58110.1
OG0003582	g18977	AT3G57690.1
OG0003582	g52017	AT2G41905.1
OG0003583	g2234	AT3G55120.1
OG0003584	g2367	AT3G53270.1
OG0003585	g928	AT5G53620.1
OG0003586	g46760	AT5G38110.1
OG0003587	g2173	AT3G56030.1
OG0003589	g2464	AT3G51650.1, AT3G51640.1
OG0003590	g51666	AT2G37770.2
OG0003591	g5728	AT5G03490.1
OG0003592	g38289	AT2G26270.1, AT3G43930.1
OG0003593	g32731, g50730	AT1G34020.1
OG0003594	g40362	AT4G11370.1, AT4G11360.1
OG0003595	g10107	AT5G26710.1
OG0003597	g30854	AT1G04120.1
OG0003598	g54158, g27619, g18122	AT2G21920.1, AT1G43171.1, AT1G50220.1, AT5G54067.1
OG0003599	g41477	AT5G18250.1
OG0003600	g35909, g46251, g1821	AT3G06220.1, AT3G06160.2
OG0003601	g12274	AT3G12630.1
OG0003602	g12139	AT3G15490.1
OG0003603	g7042	AT3G16110.1
OG0003604	g38390	AT2G24280.1
OG0003605	g6715	AT3G20600.1, AT3G20590.1
OG0003606	g11900	AT3G20650.1
OG0003607	g13469	AT3G23450.1
OG0003608	g13463	AT4G14360.1, AT3G23300.1
OG0003609	g10737	AT2G02010.2, AT2G02000.1
OG0003610	g1681	AT1G54520.1
OG0003611	g43903	AT1G54850.1
OG0003612	g19254	AT3G52430.1
OG0003613	g49312	AT1G23020.2
OG0003613	g49315	AT1G01590.1
OG0003614	g49394	AT1G02920.1, AT1G02930.1
OG0003616	g30975	AT1G06120.1, AT1G06090.1
OG0003617	g30992	AT1G06290.1
OG0003619	g49722	AT1G10095.1
OG0003620	g41045	AT1G59820.1
OG0003622	g31300	AT1G11120.1
OG0003625	g27347	AT1G79100.1
OG0003627	g27467	AT1G20720.2
OG0003628	g40510, g40511	AT5G44720.1
OG0003629	g18199, g23123	AT3G42050.1
OG0003630	g23211	AT4G33010.1, AT2G26080.1
OG0003631	g47856	AT4G33790.1
OG0003632	g23283, g16931	AT4G32175.1
OG0003633	g32075	AT1G24180.1
OG0003634	g45270	AT4G00600.1
OG0003636	g40017	AT2G29125.1
OG0003638	g12463	AT3G06985.1, AT3G07005.1
OG0003639	g1392	AT5G50480.1
OG0003641	g27770	AT1G32020.1
OG0003641	g11015	AT2G27505.1
OG0003645	g23972	AT4G22115.1
OG0003647	g19705	ATCG00490.1
OG0003656	g2715	AT3G48430.1
OG0003657	g19498	AT3G47833.1, AT5G62575.2
OG0003660	g47422	AT4G22410.1
OG0003661	g29421	AT5G11920.1
OG0003662	g29433	AT5G11630.1
OG0003664	g29552	AT5G09640.1
OG0003665	g13107, g7412	AT3G10780.1
OG0003666	g37895, g5558	AT2G30260.1
OG0003668	g23752	AT4G25570.2
OG0003669	g27671	AT4G14600.1, AT1G29060.1
OG0003670	g9974	AT5G23580.1
OG0003671	g554, g18567	AT5G24660.1, AT5G24655.1
OG0003672	g614, g14925, g18555	AT5G25770.3
OG0003673	g745	AT5G21010.1
OG0003673	g41378	AT3G43700.1
OG0003674	g11469	AT3G44220.1
OG0003675	g41324, g28818, g848	AT5G60400.3
OG0003676	g28788	AT1G75335.1
OG0003676	g41313	AT5G60030.1
OG0003678	g28556	AT5G56350.1, AT4G26390.1
OG0003679	g1019	AT5G55560.1
OG0003680	g19394	AT3G49570.1
OG0003681	g11389	AT3G48690.1, AT3G48700.1
OG0003682	g35875	AT5G08600.2
OG0003682	g25467	AT4G02400.1
OG0003683	g45292	AT5G01290.1
OG0003684	g10479	AT3G27520.1
OG0003685	g31081	AT1G07830.1
OG0003686	g16761	AT5G41990.1
OG0003686	g40740	AT1G64630.1
OG0003687	g46167	AT1G54475.1
OG0003688	g44289	AT5G51280.1, AT4G33370.1
OG0003692	g54373, g27977	AT1G56070.1
OG0003694	g26795, g1414	AT5G50200.1
OG0003695	g24444, g17645	AT4G15630.1, AT4G15620.1
OG0003696	g23547, g17039	AT4G28510.1
OG0003697	g23521	AT4G28860.1
OG0003698	g10439	AT3G28140.1
OG0003699	g25394	AT4G01150.1
OG0003700	g40606, g10950	AT5G46210.1
OG0003701	g13291	AT3G17700.1
OG0003702	g37513	AT2G43600.2
OG0003704	g28054	AT1G50500.2
OG0003705	g37174	AT3G20400.1
OG0003706	g31558	AT1G14850.1
OG0003707	g54228	AT1G51710.1
OG0003708	g54247	AT2G14830.1
OG0003709	g37964	AT2G33670.1, AT1G42560.1
OG0003710	g51548	AT2G35810.1, AT2G35830.2, AT2G35820.2
OG0003711	g2250, g50609, g27924	AT3G54900.1
OG0003712	g9636	AT5G66620.1
OG0003713	g36017	AT3G62300.2
OG0003714	g1809	AT2G46620.1
OG0003715	g1866	AT4G07940.1, AT3G61370.1
OG0003718	g2185	AT3G55780.1
OG0003719	g51811, g37331	AT2G39770.1, AT3G55590.1
OG0003720	g45748	AT5G17320.1, AT1G34650.1
OG0003721	g27618	AT1G24510.1
OG0003722	g13953	AT2G18510.1
OG0003723	g23107	AT3G25580.1, AT2G18990.1
OG0003724	g5981	AT2G19060.1, AT2G19050.1
OG0003725	g13925, g53828, g5975	AT2G19110.1
OG0003726	g16999	AT4G29840.1
OG0003727	g46828	AT5G37190.1, AT4G00930.1
OG0003730	g10129	AT5G27760.1
OG0003732	g37583	AT1G65681.1, AT2G45110.1
OG0003733	g37527	AT2G44065.1
