Orthogroup	Rorippa_islandica	Raphanus_sativus
OG0001000	Roisl.0046s1231.1.p	XP_018441409.1, XP_018436908.1, XP_018463246.1, XP_018478513.1, XP_018492365.1, XP_018481032.1, XP_018474609.1
OG0001001	Roisl.0054s0018.1.p	XP_018474988.1, XP_018440892.1, XP_018482905.1
OG0001001	Roisl.0046s1264.1.p	XP_018491813.1, XP_018481282.1, XP_018464832.1
OG0001002	Roisl.0053s0402.1.p	XP_018491929.1, XP_018435490.1, XP_018441443.1
OG0001002	Roisl.0075s0214.1.p, Roisl.0075s0213.1.p	XP_018469701.1, XP_018463513.1, XP_018466238.1
OG0001003	Roisl.0032s0031.1.p	XP_018461820.1, XP_018481839.1
OG0001003	Roisl.0032s0029.1.p	XP_018458511.1, XP_018461817.1, XP_018460034.1
OG0001004	Roisl.0014s0043.1.p	XP_018466269.1, XP_018464195.1
OG0001005	Roisl.0005s0121.1.p	XP_018454684.1, XP_018482806.1, XP_018481735.1, XP_018466633.1
OG0001005	Roisl.0091s0538.1.p	XP_018458419.1, XP_018477844.1, XP_018447301.1
OG0001007	Roisl.0091s0216.1.p	XP_018484398.1, XP_018484404.1, XP_018447743.1, XP_018469997.1
OG0001007	Roisl.0082s0296.1.p	XP_018474698.1, XP_018454906.1
OG0001009	Roisl.0046s1533.1.p	XP_018478920.1
OG0001010	Roisl.0044s0087.1.p	XP_018450976.1, XP_018460080.1, XP_018470642.1, XP_018481658.1
OG0001010	Roisl.0214s0380.1.p	XP_018440303.1, XP_018464789.1
OG0001011	Roisl.0046s0326.1.p	XP_018482186.1, XP_018466337.1
OG0001011	Roisl.0039s0120.1.p	XP_018438290.1, XP_018486015.1, XP_018489908.1, XP_018490255.1
OG0001012	Roisl.0022s0433.1.p	XP_018468388.1, XP_018483819.1
OG0001012	Roisl.0052s0042.1.p	XP_018474188.1
OG0001013	Roisl.0210s1610.1.p	XP_018472197.1, XP_018476598.1, XP_018445540.1
OG0001015	Roisl.0214s0390.1.p	XP_018461406.1, XP_018437238.1
OG0001015	Roisl.0214s0392.1.p	XP_018450903.1, XP_018462726.1, XP_018450902.1, XP_018461385.1, XP_018462725.1
OG0001016	Roisl.0091s1204.1.p	XP_018434605.1, XP_018448981.1, XP_018448982.1
OG0001016	Roisl.0019s0001.1.p	XP_018457239.1, XP_018467266.1
OG0001017	Roisl.0191s0156.1.p	XP_018440847.1
OG0001017	Roisl.0019s0451.1.p	XP_018471636.1
OG0001018	Roisl.0001s0133.1.p	XP_018450275.1, XP_018450157.1, XP_018448473.1
OG0001019	Roisl.0010s0172.1.p	XP_018436469.1
OG0001021	Roisl.0024s0567.1.p	XP_018482416.1
OG0001021	Roisl.0024s0566.1.p, Roisl.0017s0327.1.p	XP_018481212.1, XP_018482658.1, XP_018481647.1, XP_018465668.1, XP_018450170.1
OG0001021	Roisl.0213s0750.1.p	XP_018436240.1, XP_018466528.1
OG0001031	Roisl.0210s1163.1.p	XP_018446070.1
OG0001031	Roisl.0214s0524.1.p, Roisl.0016s0059.1.p	XP_018453436.1
OG0001032	Roisl.0210s0827.1.p	XP_018475923.1, XP_018476395.1, XP_018442157.1, XP_018465326.1
OG0001032	Roisl.0046s0206.1.p	XP_018484641.1, XP_018461074.1
OG0001033	Roisl.0033s0031.1.p	XP_018437973.1, XP_018464018.1
OG0001033	Roisl.0033s0030.1.p	XP_018472987.1, XP_018439037.1
OG0001034	Roisl.0028s0618.1.p	XP_018436975.1, XP_018475297.1
OG0001034	Roisl.0091s0779.1.p	XP_018447601.1, XP_018486734.1
OG0001035	Roisl.0082s0145.1.p	XP_018468034.1, XP_018483322.1, XP_018459491.1, XP_018450680.1
OG0001036	Roisl.0213s0260.1.p, Roisl.0213s0261.1.p	XP_018474457.1, XP_018474473.1, XP_018474462.1, XP_018474446.1
OG0001037	Roisl.0046s0561.1.p	XP_018460813.1, XP_018483537.1
OG0001037	Roisl.0028s0932.1.p	XP_018433625.1
OG0001038	Roisl.0188s0112.1.p	XP_018438116.1, XP_018437667.1, XP_018467400.1, XP_018435658.1, XP_018456019.1
OG0001038	Roisl.0188s0111.1.p, Roisl.0006s0128.1.p, Roisl.0188s0110.1.p	XP_018479370.1
OG0001039	Roisl.0046s0086.1.p, Roisl.0046s0087.1.p	XP_018452101.1, XP_018439095.1
OG0001040	Roisl.0046s0613.1.p	XP_018438111.1
OG0001041	Roisl.0027s0063.1.p	XP_018475544.1
OG0001042	Roisl.0046s0810.1.p	XP_018472027.1, XP_018439344.1
OG0001042	Roisl.0012s0024.1.p	XP_018475841.1
OG0001044	Roisl.0074s0970.1.p	XP_018489983.1, XP_018489986.1
OG0001044	Roisl.0030s0168.1.p	XP_018475499.1, XP_018444409.1, XP_018469616.1
OG0001045	Roisl.0004s0147.1.p	XP_018455748.1, XP_018455739.1, XP_018468717.1
OG0001046	Roisl.0007s0031.1.p	XP_018449574.1
OG0001046	Roisl.0004s0229.1.p	XP_018444011.1, XP_018480528.1
OG0001047	Roisl.0007s0137.1.p	XP_018486203.1, XP_018486118.1, XP_018462561.1, XP_018438227.1, XP_018449747.1
OG0001047	Roisl.0004s0318.1.p	XP_018463602.1, XP_018463480.1, XP_018443036.1, XP_018461233.1
OG0001048	Roisl.0028s0342.1.p	XP_018444901.1, XP_018444903.1, XP_018444896.1, XP_018443459.1, XP_018443215.1, XP_018443451.1, XP_018443453.1
OG0001049	Roisl.0006s0460.1.p	XP_018492416.1, XP_018462131.1, XP_018487994.1
OG0001049	Roisl.0074s0533.1.p	XP_018489726.1
OG0001050	Roisl.0189s0084.1.p	XP_018442823.1, XP_018445009.1, XP_018486701.1
OG0001051	Roisl.0214s0218.1.p, Roisl.0214s0094.1.p, Roisl.0214s0092.1.p	XP_018464750.1
OG0001052	Roisl.0005s0248.1.p	XP_018452690.1
OG0001052	Roisl.0091s0454.1.p	XP_018447398.1, XP_018470535.1
OG0001053	Roisl.0074s0385.1.p	XP_018440645.1
OG0001054	Roisl.0066s0279.1.p	XP_018485796.1
OG0001054	Roisl.0001s0113.1.p	XP_018447407.1, XP_018459368.1
OG0001056	Roisl.0046s1540.1.p	XP_018487080.1, XP_018480621.1
OG0001056	Roisl.0017s0342.1.p	XP_018467520.1, XP_018477103.1, XP_018442069.1
OG0001057	Roisl.0009s0298.1.p, Roisl.0001s0526.1.p	XP_018466415.1, XP_018485528.1, XP_018457453.1
OG0001058	Roisl.0022s0375.1.p, Roisl.0057s0017.1.p	XP_018450913.1, XP_018484613.1, XP_018457205.1, XP_018450914.1
OG0001059	Roisl.0017s0068.1.p	XP_018478079.1, XP_018478096.1
OG0001059	Roisl.0074s0812.1.p	XP_018434853.1, XP_018460949.1, XP_018491054.1, XP_018464817.1
OG0001060	Roisl.0019s0262.1.p, Roisl.0083s0025.1.p	XP_018457835.1, XP_018457824.1, XP_018445527.1, XP_018445531.1, XP_018465795.1, XP_018444746.1
OG0001061	Roisl.0039s0121.1.p	XP_018490299.1
OG0001063	Roisl.0115s0536.1.p, Roisl.0053s0208.1.p, Roisl.0115s0532.1.p	XP_018491870.1, XP_018489475.1
OG0001064	Roisl.0024s0011.1.p, Roisl.0214s0889.1.p, Roisl.0214s0891.1.p	XP_018491141.1, XP_018444375.1, XP_018442946.1, XP_018468743.1
OG0001065	Roisl.0015s0022.1.p	XP_018456819.1
OG0001065	Roisl.0028s0054.1.p	XP_018476578.1
OG0001066	Roisl.0007s0738.1.p	XP_018486493.1, XP_018465711.1, XP_018451401.1
OG0001066	Roisl.0007s0739.1.p, Roisl.0007s0740.1.p	XP_018485503.1, XP_018451808.1
OG0001067	Roisl.0019s0472.1.p	XP_018468128.1, XP_018459399.1, XP_018470888.1
OG0001069	Roisl.0209s0645.1.p	XP_018434548.1
OG0001069	Roisl.0209s0644.1.p	XP_018437662.1
OG0001073	Roisl.0044s0052.1.p	XP_018467785.1
OG0001073	Roisl.0009s0250.1.p, Roisl.0030s0132.1.p	XP_018476293.1
OG0001077	Roisl.0091s0496.1.p	XP_018444697.1, XP_018444687.1
OG0001077	Roisl.0046s0025.1.p	XP_018435768.1
OG0001078	Roisl.0082s0361.1.p	XP_018474566.1, XP_018475111.1, XP_018453273.1
OG0001079	Roisl.0046s1437.1.p	XP_018489705.1, XP_018491682.1, XP_018451030.1
OG0001079	Roisl.0021s0323.1.p, Roisl.0046s1436.1.p	XP_018482832.1, XP_018464295.1
OG0001080	Roisl.0002s0152.1.p, Roisl.0002s0151.1.p	XP_018467666.1
OG0001081	Roisl.0004s0336.1.p	XP_018468161.1, XP_018444092.1
OG0001081	Roisl.0007s0150.1.p	XP_018438401.1
OG0001082	Roisl.0209s0472.1.p, Roisl.0209s0468.1.p	XP_018441219.1
OG0001085	Roisl.0053s0231.1.p	XP_018493492.1
OG0001086	Roisl.0075s0105.1.p	XP_018450869.1
OG0001086	Roisl.0053s0300.1.p	XP_018461835.1, XP_018432620.1, XP_018485458.1, XP_018439510.1, XP_018440611.1
OG0001087	Roisl.0074s0272.1.p	XP_018485683.1
OG0001088	Roisl.0046s0498.1.p	XP_018462625.1, XP_018438407.1
OG0001089	Roisl.0009s0258.1.p	XP_018463953.1, XP_018481548.1, XP_018479645.1, XP_018481538.1
OG0001089	Roisl.0025s0091.1.p	XP_018454110.1, XP_018454112.1, XP_018471069.1, XP_018453513.1, XP_018444516.1
OG0001090	Roisl.0011s0467.1.p	XP_018484847.1, XP_018435182.1, XP_018434309.1, XP_018437148.1, XP_018434984.1
OG0001091	Roisl.0019s0540.1.p	XP_018453257.1
OG0001091	Roisl.0019s0541.1.p	XP_018468924.1, XP_018443112.1, XP_018443115.1, XP_018453240.1
OG0001092	Roisl.0005s0359.1.p	XP_018479480.1
OG0001094	Roisl.0074s0378.1.p	XP_018433773.1
OG0001094	Roisl.0006s0317.1.p	XP_018479839.1, XP_018488511.1
OG0001095	Roisl.0091s0505.1.p	XP_018451567.1
OG0001095	Roisl.0091s0504.1.p	XP_018451568.1, XP_018477458.1
OG0001096	Roisl.0021s0001.1.p	XP_018483267.1, XP_018460016.1, XP_018447700.1, XP_018493380.1
OG0001096	Roisl.0214s0832.1.p	XP_018439413.1
OG0001097	Roisl.0018s0046.1.p	XP_018444080.1
OG0001098	Roisl.0017s0061.1.p	XP_018476986.1, XP_018435011.1, XP_018477761.1, XP_018477833.1
OG0001098	Roisl.0046s1323.1.p	XP_018485991.1, XP_018446474.1
OG0001099	Roisl.0053s0241.1.p, Roisl.0053s0240.1.p	XP_018435511.1
OG0001099	Roisl.0053s0218.1.p	XP_018492495.1
OG0001102	Roisl.0082s0225.1.p	XP_018466534.1
OG0001102	Roisl.0082s0224.1.p	XP_018456948.1
OG0001103	Roisl.0046s0331.1.p	XP_018483633.1, XP_018471045.1, XP_018456687.1
OG0001103	Roisl.0039s0119.1.p	XP_018441736.1, XP_018491755.1, XP_018432918.1, XP_018487109.1
OG0001104	Roisl.0039s0033.1.p	XP_018486113.1
OG0001104	Roisl.0039s0015.1.p	XP_018487417.1
OG0001105	Roisl.0079s0044.1.p	XP_018440174.1, XP_018440198.1
OG0001106	Roisl.0074s0969.1.p, Roisl.0074s0967.1.p	XP_018492857.1, XP_018439555.1, XP_018439554.1, XP_018439553.1, XP_018492855.1, XP_018432944.1, XP_018432962.1
OG0001107	Roisl.0013s0059.1.p	XP_018466256.1, XP_018485852.1, XP_018451606.1
OG0001107	Roisl.0074s0071.1.p	XP_018487035.1, XP_018488668.1
OG0001108	Roisl.0214s0741.1.p, Roisl.0021s0240.1.p	XP_018467736.1, XP_018438594.1
OG0001109	Roisl.0007s0646.1.p	XP_018437419.1, XP_018491044.1
OG0001109	Roisl.0007s0644.1.p	XP_018475108.1, XP_018436863.1
OG0001110	Roisl.0012s0251.1.p	XP_018475552.1
OG0001111	Roisl.0013s0117.1.p	XP_018449682.1, XP_018488851.1, XP_018482975.1
OG0001111	Roisl.0074s0185.1.p	XP_018489783.1, XP_018441422.1, XP_018490006.1, XP_018462281.1
OG0001112	Roisl.0091s0625.1.p	XP_018461576.1, XP_018483001.1, XP_018458064.1, XP_018463900.1, XP_018449812.1
OG0001112	Roisl.0001s0208.1.p	XP_018471730.1
OG0001113	Roisl.0016s0294.1.p	XP_018435271.1, XP_018435272.1
OG0001116	Roisl.0052s0048.1.p, Roisl.0184s0084.1.p	XP_018450143.1
OG0001116	Roisl.0184s0115.1.p	XP_018474184.1
OG0001118	Roisl.0213s0696.1.p, Roisl.0214s0307.1.p, Roisl.0029s0051.1.p, Roisl.0036s0008.1.p, Roisl.0046s0063.1.p, Roisl.0046s0061.1.p, Roisl.0209s0552.1.p, Roisl.0040s0060.1.p, Roisl.0006s0011.1.p, Roisl.0194s0076.1.p, Roisl.0082s0052.1.p, Roisl.0214s0253.1.p, Roisl.0029s0039.1.p, Roisl.0053s0012.1.p, Roisl.0083s0034.1.p, Roisl.0058s0039.1.p, Roisl.0029s0033.1.p, Roisl.0029s0010.1.p, Roisl.0066s0383.1.p, Roisl.0082s0068.1.p, Roisl.0188s0039.1.p, Roisl.0200s0026.1.p, Roisl.0029s0061.1.p, Roisl.0066s0294.1.p, Roisl.0111s0022.1.p, Roisl.0040s0037.1.p, Roisl.0209s0506.1.p, Roisl.0194s0007.1.p, Roisl.0210s2120.1.p, Roisl.0020s0140.1.p, Roisl.0210s2218.1.p, Roisl.0046s1130.1.p, Roisl.0019s0026.1.p, Roisl.0066s0283.1.p, Roisl.0215s0009.1.p, Roisl.0188s0037.1.p, Roisl.0188s0038.1.p, Roisl.0075s0021.1.p	XP_018479523.1
OG0001120	Roisl.0017s0426.1.p	XP_018438982.1
OG0001120	Roisl.0017s0427.1.p	XP_018475050.1, XP_018474136.1, XP_018438984.1
OG0001121	Roisl.0210s1037.1.p, Roisl.0210s1038.1.p	XP_018470782.1, XP_018445464.1, XP_018445550.1, XP_018470784.1, XP_018445463.1, XP_018445548.1, XP_018473369.1
OG0001122	Roisl.0024s0454.1.p	XP_018486819.1
OG0001122	Roisl.0210s0771.1.p	XP_018468375.1
OG0001122	Roisl.0024s0455.1.p	XP_018450810.1, XP_018450216.1
OG0001123	Roisl.0210s0762.1.p	XP_018446600.1, XP_018472105.1
OG0001123	Roisl.0024s0436.1.p	XP_018492299.1, XP_018492155.1, XP_018457790.1
OG0001124	Roisl.0082s0705.1.p, Roisl.0082s0709.1.p, Roisl.0082s0706.1.p	XP_018483598.1
OG0001125	Roisl.0028s0688.1.p	XP_018436331.1, XP_018481610.1, XP_018440853.1, XP_018440856.1, XP_018440854.1
OG0001126	Roisl.0013s0211.1.p	XP_018449550.1
OG0001127	Roisl.0213s0131.1.p, Roisl.0213s0132.1.p	XP_018489459.1, XP_018449551.1
OG0001128	Roisl.0019s0728.1.p	XP_018457592.1, XP_018468309.1, XP_018468422.1
OG0001128	Roisl.0079s0295.1.p	XP_018438577.1
OG0001128	Roisl.0050s0093.1.p	XP_018444828.1
OG0001129	Roisl.0213s0429.1.p	XP_018459283.1
OG0001129	Roisl.0028s0983.1.p, Roisl.0028s0982.1.p	XP_018482491.1, XP_018475583.1, XP_018436363.1
OG0001130	Roisl.0210s1674.1.p	XP_018472169.1, XP_018465176.1, XP_018442486.1
OG0001130	Roisl.0010s0077.1.p	XP_018455236.1, XP_018453076.1, XP_018456917.1
OG0001131	Roisl.0080s0817.1.p	XP_018470574.1, XP_018452071.1
OG0001132	Roisl.0074s0960.1.p	XP_018435238.1, XP_018440376.1
OG0001132	Roisl.0030s0182.1.p	XP_018471458.1, XP_018471457.1, XP_018446727.1, XP_018446697.1
OG0001133	Roisl.0030s0104.1.p	XP_018458412.1, XP_018458414.1, XP_018444845.1
OG0001133	Roisl.0030s0106.1.p	XP_018458411.1
OG0001133	Roisl.0024s0005.1.p, Roisl.0030s0105.1.p	XP_018443240.1
OG0001134	Roisl.0079s0341.1.p	XP_018487458.1
OG0001134	Roisl.0030s0049.1.p	XP_018476601.1, XP_018471714.1, XP_018445240.1
OG0001135	Roisl.0034s0097.1.p	XP_018443227.1
OG0001135	Roisl.0034s0095.1.p	XP_018467636.1
OG0001136	Roisl.0009s0033.1.p	XP_018460782.1, XP_018446319.1
OG0001138	Roisl.0115s0201.1.p	XP_018456700.1
OG0001138	Roisl.0115s0166.1.p, Roisl.0115s0165.1.p	XP_018433723.1
OG0001139	Roisl.0007s0444.1.p	XP_018438703.1, XP_018464071.1, XP_018467058.1
OG0001140	Roisl.0004s0224.1.p	XP_018443201.1, XP_018445856.1
OG0001140	Roisl.0004s0225.1.p	XP_018477760.1, XP_018480129.1, XP_018477759.1, XP_018445857.1
OG0001141	Roisl.0011s0115.1.p	XP_018462817.1
OG0001141	Roisl.0007s0683.1.p	XP_018462460.1, XP_018488197.1, XP_018451217.1
OG0001142	Roisl.0191s0151.1.p	XP_018490576.1
OG0001143	Roisl.0007s0175.1.p	XP_018449572.1
OG0001143	Roisl.0004s0370.1.p	XP_018472303.1
OG0001144	Roisl.0021s0544.1.p	XP_018451523.1, XP_018439320.1
OG0001144	Roisl.0074s0646.1.p	XP_018486503.1
OG0001145	Roisl.0007s0342.1.p	XP_018447351.1, XP_018447350.1, XP_018488466.1, XP_018432733.1
OG0001146	Roisl.0214s0470.1.p	XP_018440483.1
OG0001146	Roisl.0022s0529.1.p	XP_018444977.1, XP_018447047.1, XP_018477448.1
OG0001148	Roisl.0185s0076.1.p	XP_018441936.1, XP_018433113.1, XP_018483668.1, XP_018457768.1
OG0001148	Roisl.0213s0822.1.p	XP_018484726.1
OG0001149	Roisl.0005s0171.1.p	XP_018478159.1, XP_018455442.1, XP_018447749.1, XP_018457483.1, XP_018478359.1
OG0001150	Roisl.0018s0286.1.p	XP_018446193.1, XP_018490477.1, XP_018491007.1
OG0001150	Roisl.0035s0118.1.p	XP_018438034.1, XP_018438223.1, XP_018475250.1, XP_018475258.1, XP_018465208.1
OG0001151	Roisl.0028s0074.1.p	XP_018482059.1, XP_018465594.1, XP_018467285.1, XP_018474803.1
OG0001151	Roisl.0018s0177.1.p	XP_018485142.1, XP_018443593.1, XP_018489522.1
OG0001152	Roisl.0018s0068.1.p, Roisl.0028s0263.1.p	XP_018475530.1, XP_018441098.1, XP_018493147.1, XP_018459600.1, XP_018460708.1
OG0001153	Roisl.0046s1636.1.p	XP_018459226.1, XP_018462535.1, XP_018432719.1
OG0001153	Roisl.0028s0579.1.p	XP_018433749.1, XP_018463991.1
OG0001154	Roisl.0082s0120.1.p	XP_018438973.1
OG0001154	Roisl.0115s0674.1.p, Roisl.0115s0664.1.p	XP_018450459.1, XP_018451466.1, XP_018484232.1
OG0001157	Roisl.0035s0064.1.p	XP_018435060.1
OG0001157	Roisl.0035s0065.1.p	XP_018434439.1
OG0001157	Roisl.0188s0075.1.p	XP_018438022.1
OG0001158	Roisl.0209s0380.1.p	XP_018456356.1
OG0001158	Roisl.0209s0354.1.p	XP_018436149.1
OG0001159	Roisl.0005s0091.1.p	XP_018482314.1, XP_018464232.1, XP_018481836.1, XP_018444822.1
OG0001160	Roisl.0210s1527.1.p	XP_018444469.1, XP_018476775.1, XP_018461628.1, XP_018471678.1
OG0001160	Roisl.0016s0334.1.p	XP_018441868.1
OG0001161	Roisl.0021s0440.1.p, Roisl.0016s0353.1.p	XP_018439265.1, XP_018464558.1, XP_018451763.1, XP_018441244.1, XP_018432846.1
OG0001162	Roisl.0021s0314.1.p	XP_018486357.1, XP_018438328.1
OG0001162	Roisl.0010s0051.1.p	XP_018454447.1, XP_018461976.1
OG0001163	Roisl.0007s0726.1.p	XP_018471622.1
OG0001163	Roisl.0007s0725.1.p	XP_018471892.1, XP_018437618.1, XP_018437616.1
OG0001164	Roisl.0004s0133.1.p	XP_018456104.1
OG0001164	Roisl.0191s0018.1.p	XP_018447984.1, XP_018447904.1, XP_018447946.1, XP_018434826.1, XP_018449083.1
OG0001165	Roisl.0194s0011.1.p, Roisl.0179s0048.1.p	XP_018460666.1, XP_018479326.1, XP_018487643.1, XP_018460113.1, XP_018474079.1, XP_018474097.1, XP_018453582.1, XP_018436200.1, XP_018480061.1
OG0001166	Roisl.0074s0103.1.p	XP_018436815.1, XP_018490133.1
OG0001166	Roisl.0013s0076.1.p	XP_018490929.1
OG0001168	Roisl.0001s0070.1.p	XP_018478270.1
OG0001169	Roisl.0008s0281.1.p	XP_018470811.1, XP_018483752.1, XP_018459256.1
OG0001169	Roisl.0066s0440.1.p	XP_018490588.1, XP_018464566.1
OG0001170	Roisl.0030s0021.1.p	XP_018442479.1, XP_018444333.1
OG0001170	Roisl.0213s0626.1.p	XP_018458956.1, XP_018464695.1
OG0001171	Roisl.0046s0015.1.p, Roisl.0046s0016.1.p	XP_018479065.1
OG0001171	Roisl.0003s0015.1.p	XP_018463694.1, XP_018482286.1, XP_018479064.1, XP_018469668.1
OG0001174	Roisl.0213s0528.1.p	XP_018474794.1, XP_018452168.1
OG0001174	Roisl.0091s0029.1.p	XP_018478670.1, XP_018478611.1, XP_018471581.1
OG0001175	Roisl.0210s1276.1.p	XP_018474864.1, XP_018475126.1, XP_018442177.1
OG0001175	Roisl.0016s0157.1.p	XP_018437242.1, XP_018460307.1, XP_018460304.1, XP_018490821.1
OG0001176	Roisl.0016s0151.1.p	XP_018489743.1, XP_018441361.1, XP_018493378.1
OG0001176	Roisl.0210s1270.1.p	XP_018446813.1, XP_018476865.1
OG0001177	Roisl.0210s0942.1.p	XP_018445830.1, XP_018470895.1, XP_018474742.1
OG0001177	Roisl.0210s1653.1.p	XP_018442459.1, XP_018447814.1
OG0001178	Roisl.0210s0708.1.p	XP_018446855.1, XP_018468596.1
OG0001178	Roisl.0024s0374.1.p	XP_018439358.1, XP_018458200.1, XP_018491643.1, XP_018491637.1
OG0001179	Roisl.0024s0339.1.p	XP_018486330.1, XP_018486336.1, XP_018452445.1, XP_018437533.1
OG0001179	Roisl.0210s0681.1.p	XP_018468451.1
OG0001182	Roisl.0179s0013.1.p	XP_018486206.1
OG0001182	Roisl.0004s0349.1.p	XP_018446199.1
OG0001183	Roisl.0213s0187.1.p	XP_018451330.1, XP_018451299.1, XP_018436174.1
OG0001184	Roisl.0028s0978.1.p	XP_018482911.1, XP_018439777.1
OG0001184	Roisl.0213s0468.1.p	XP_018488855.1, XP_018479159.1
OG0001185	Roisl.0024s0479.1.p	XP_018489764.1, XP_018491200.1, XP_018489766.1, XP_018437909.1, XP_018457011.1, XP_018455239.1
OG0001185	Roisl.0046s0907.1.p	XP_018439133.1, XP_018481662.1, XP_018463653.1
OG0001186	Roisl.0210s2031.1.p	XP_018482064.1, XP_018462961.1, XP_018478164.1, XP_018454761.1, XP_018454750.1
OG0001186	Roisl.0046s0794.1.p	XP_018434134.1, XP_018493448.1
OG0001188	Roisl.0204s0159.1.p	XP_018487858.1, XP_018487857.1, XP_018435486.1, XP_018479323.1
OG0001189	Roisl.0210s1677.1.p	XP_018465831.1
OG0001189	Roisl.0019s0851.1.p	XP_018461640.1, XP_018445339.1
OG0001190	Roisl.0022s0419.1.p	XP_018444052.1
OG0001190	Roisl.0052s0037.1.p	XP_018468112.1, XP_018465018.1, XP_018448092.1, XP_018473294.1
OG0001191	Roisl.0022s0435.1.p, Roisl.0022s0450.1.p	XP_018470306.1
OG0001191	Roisl.0052s0043.1.p	XP_018476575.1
OG0001192	Roisl.0004s0277.1.p	XP_018470683.1, XP_018445322.1
OG0001192	Roisl.0007s0093.1.p, Roisl.0191s0030.1.p	XP_018463717.1
OG0001193	Roisl.0007s0782.1.p	XP_018451855.1, XP_018440054.1
OG0001193	Roisl.0074s0722.1.p	XP_018487273.1, XP_018486296.1, XP_018487338.1
OG0001194	Roisl.0004s0428.1.p	XP_018458497.1, XP_018445814.1, XP_018443067.1
OG0001194	Roisl.0007s0244.1.p, Roisl.0007s0223.1.p	XP_018447868.1, XP_018447660.1
OG0001195	Roisl.0213s0725.1.p	XP_018491374.1
OG0001196	Roisl.0210s1623.1.p, Roisl.0011s0501.1.p	XP_018436954.1
OG0001196	Roisl.0009s0136.1.p	XP_018478365.1, XP_018480847.1
OG0001198	Roisl.0019s0299.1.p	XP_018471894.1, XP_018460181.1
OG0001198	Roisl.0019s0306.1.p	XP_018454393.1, XP_018446248.1
OG0001199	Roisl.0091s0542.1.p	XP_018447495.1, XP_018468897.1, XP_018483857.1
OG0001199	Roisl.0005s0112.1.p	XP_018478656.1, XP_018452254.1
OG0001200	Roisl.0091s0589.1.p	XP_018468370.1, XP_018459246.1, XP_018468291.1
OG0001201	Roisl.0091s0098.1.p	XP_018450871.1, XP_018463146.1, XP_018450766.1
OG0001202	Roisl.0091s0668.1.p, Roisl.0091s0667.1.p	XP_018449094.1
OG0001202	Roisl.0091s0670.1.p	XP_018470827.1, XP_018468403.1
OG0001203	Roisl.0046s1067.1.p	XP_018450578.1, XP_018480373.1, XP_018440173.1, XP_018485038.1
OG0001203	Roisl.0024s0649.1.p	XP_018441256.1, XP_018437504.1
OG0001204	Roisl.0018s0242.1.p	XP_018491599.1, XP_018491670.1
OG0001204	Roisl.0035s0165.1.p	XP_018439974.1, XP_018479156.1, XP_018479124.1
OG0001205	Roisl.0028s0174.1.p	XP_018461829.1
OG0001205	Roisl.0018s0108.1.p	XP_018491108.1, XP_018491107.1, XP_018445552.1
OG0001206	Roisl.0018s0035.1.p	XP_018459989.1, XP_018442569.1, XP_018459988.1
OG0001207	Roisl.0026s0075.1.p	XP_018485834.1, XP_018477358.1, XP_018445261.1, XP_018445167.1
OG0001207	Roisl.0028s0377.1.p	XP_018474718.1, XP_018475040.1, XP_018435209.1
OG0001208	Roisl.0028s0417.1.p	XP_018472926.1
OG0001208	Roisl.0026s0084.1.p	XP_018443004.1, XP_018444960.1, XP_018477873.1, XP_018444961.1, XP_018486062.1
OG0001209	Roisl.0028s0401.1.p	XP_018478660.1, XP_018482622.1, XP_018433733.1
OG0001210	Roisl.0017s0060.1.p	XP_018439646.1, XP_018437500.1, XP_018474976.1
OG0001210	Roisl.0046s1322.1.p	XP_018486069.1, XP_018464954.1
OG0001211	Roisl.0044s0096.1.p	XP_018480592.1, XP_018448083.1, XP_018472445.1, XP_018470108.1, XP_018468571.1
OG0001211	Roisl.0214s0374.1.p, Roisl.0214s0173.1.p	XP_018433632.1, XP_018433617.1, XP_018466787.1, XP_018467197.1, XP_018434332.1
OG0001212	Roisl.0017s0404.1.p	XP_018464705.1, XP_018436401.1, XP_018436400.1
OG0001214	Roisl.0079s0064.1.p	XP_018492484.1, XP_018493554.1
OG0001214	Roisl.0198s0030.1.p	XP_018462135.1, XP_018434287.1, XP_018463316.1, XP_018478356.1, XP_018453171.1
OG0001215	Roisl.0191s0481.1.p	XP_018437201.1, XP_018437390.1, XP_018481231.1
OG0001216	Roisl.0074s0049.1.p	XP_018434145.1, XP_018491136.1
OG0001216	Roisl.0013s0019.1.p	XP_018447239.1, XP_018459861.1
OG0001217	Roisl.0022s0257.1.p, Roisl.0022s0256.1.p, Roisl.0022s0258.1.p	XP_018469187.1, XP_018482023.1, XP_018481475.1, XP_018479090.1
OG0001218	Roisl.0040s0084.1.p, Roisl.0040s0091.1.p	XP_018489696.1, XP_018489618.1, XP_018464669.1
OG0001218	Roisl.0020s0097.1.p, Roisl.0020s0101.1.p, Roisl.0020s0108.1.p, Roisl.0020s0096.1.p	XP_018439618.1
OG0001219	Roisl.0210s0622.1.p	XP_018436145.1, XP_018436142.1, XP_018446276.1, XP_018468567.1, XP_018468581.1
OG0001220	Roisl.0022s0088.1.p	XP_018492224.1
OG0001221	Roisl.0005s0032.1.p, Roisl.0064s0004.1.p	XP_018457008.1, XP_018455946.1
OG0001222	Roisl.0066s0135.1.p	XP_018490047.1, XP_018453378.1
OG0001222	Roisl.0001s0229.1.p	XP_018448120.1, XP_018459445.1, XP_018454959.1, XP_018480787.1
