Orthogroup	Rorippa_islandica	Eutrema_salsugineum
OG0002299	Roisl.0028s0474.1.p	XP_006411411.1
OG0002301	Roisl.0017s0407.1.p	XP_006411267.1
OG0002301	Roisl.0046s1596.1.p	XP_006403038.1
OG0002302	Roisl.0017s0324.1.p	XP_006411177.1
OG0002302	Roisl.0046s1521.1.p	XP_006403472.1
OG0002303	Roisl.0046s1497.1.p	XP_024013503.1
OG0002303	Roisl.0017s0300.1.p	XP_024004296.1
OG0002304	Roisl.0191s0282.1.p	XP_006416009.1
OG0002305	Roisl.0115s0739.1.p	XP_006411649.1
OG0002305	Roisl.0019s0761.1.p	XP_006391195.1
OG0002306	Roisl.0082s0174.1.p	XP_006396724.1
OG0002307	Roisl.0082s0121.1.p	XP_024014305.1
OG0002307	Roisl.0115s0675.1.p	XP_024005293.1
OG0002308	Roisl.0001s0465.1.p	XP_006411799.1
OG0002308	Roisl.0046s0602.1.p	XP_006404691.1
OG0002310	Roisl.0020s0138.1.p	XP_006397057.1
OG0002310	Roisl.0057s0002.1.p	XP_006397055.1
OG0002311	Roisl.0091s0243.1.p, Roisl.0015s0137.1.p, Roisl.0210s2212.1.p, Roisl.0091s0470.1.p, Roisl.0053s0013.1.p, Roisl.0058s0036.1.p, Roisl.0058s0035.1.p	XP_006402474.1
OG0002312	Roisl.0091s0575.1.p	XP_006414215.1
OG0002312	Roisl.0005s0056.1.p	XP_006398416.1
OG0002313	Roisl.0079s0062.1.p	XP_006407908.1
OG0002313	Roisl.0198s0032.1.p	XP_006395075.1
OG0002315	Roisl.0074s0178.1.p	XP_006406708.1
OG0002315	Roisl.0013s0114.1.p	XP_006393421.1
OG0002316	Roisl.0013s0107.1.p	XP_006393408.1
OG0002316	Roisl.0074s0161.1.p	XP_006406694.1
OG0002317	Roisl.0013s0100.1.p	XP_024006033.1
OG0002317	Roisl.0074s0152.1.p	XP_006406684.1
OG0002318	Roisl.0074s0099.1.p	XP_006406619.1
OG0002318	Roisl.0013s0073.1.p	XP_006393359.1
OG0002319	Roisl.0209s0333.1.p	XP_024009372.1
OG0002320	Roisl.0210s0053.1.p	XP_006418459.1, XP_006418458.1
OG0002321	Roisl.0210s0058.1.p	XP_024009079.1
OG0002321	Roisl.0191s0508.1.p	XP_006396266.1
OG0002322	Roisl.0191s0476.1.p	XP_006396244.2
OG0002322	Roisl.0210s0064.1.p	XP_006418447.1
OG0002323	Roisl.0210s0182.1.p	XP_006418332.1
OG0002324	Roisl.0091s1025.1.p, Roisl.0091s1022.1.p	XP_006417799.1, XP_024008212.1
OG0002325	Roisl.0091s1173.1.p	XP_024008309.1
OG0002326	Roisl.0021s0089.1.p	XP_006417476.1
OG0002326	Roisl.0214s0671.1.p	XP_006392245.1
OG0002327	Roisl.0011s0132.1.p	XP_006395802.1
OG0002327	Roisl.0007s0688.1.p, Roisl.0007s0689.1.p	XP_006417001.1
OG0002328	Roisl.0007s0513.1.p	XP_006416840.1
OG0002328	Roisl.0115s0158.1.p	XP_024011761.1
OG0002329	Roisl.0007s0503.1.p	XP_006416829.2
OG0002329	Roisl.0115s0177.1.p	XP_006389880.1
OG0002330	Roisl.0007s0381.1.p	XP_006416699.1
OG0002330	Roisl.0019s0229.1.p	XP_006390636.1
OG0002331	Roisl.0004s0517.1.p	XP_006390493.1
OG0002332	Roisl.0004s0443.1.p	XP_006390407.2, XP_006390411.1
OG0002333	Roisl.0019s0293.1.p	XP_024008892.1
OG0002333	Roisl.0191s0086.1.p	XP_006416190.1
OG0002334	Roisl.0191s0220.1.p	XP_006416048.1
OG0002334	Roisl.0019s0505.1.p	XP_006390900.1
OG0002335	Roisl.0191s0276.1.p	XP_006416011.1
OG0002335	Roisl.0019s0534.1.p	XP_006390935.1
OG0002336	Roisl.0209s0584.1.p	XP_006391912.1
OG0002336	Roisl.0209s0580.1.p	XP_006391911.1
OG0002337	Roisl.0214s0648.1.p	XP_006392213.1, XP_024015920.1
OG0002340	Roisl.0066s0329.1.p	XP_006409427.1
OG0002340	Roisl.0001s0077.1.p	XP_006412194.1
OG0002341	Roisl.0043s0025.1.p	XP_006412338.1
OG0002341	Roisl.0008s0303.1.p	XP_006412337.1
OG0002342	Roisl.0045s0060.1.p	XP_006409547.1
OG0002342	Roisl.0008s0357.1.p	XP_006412283.1
OG0002343	Roisl.0003s0173.1.p	XP_006412576.1
OG0002343	Roisl.0051s0046.1.p	XP_006404999.2
OG0002344	Roisl.0003s0172.1.p	XP_006412579.1
OG0002344	Roisl.0051s0044.1.p	XP_024014059.1
OG0002345	Roisl.0004s0011.1.p	XP_006404951.2
OG0002345	Roisl.0003s0118.1.p	XP_006412640.1
OG0002346	Roisl.0080s0780.1.p	XP_006401444.2
OG0002346	Roisl.0022s0327.1.p	XP_006413156.1
OG0002352	Roisl.0003s0052.1.p, Roisl.0003s0053.1.p	XP_024004438.1
OG0002353	Roisl.0210s1436.1.p	XP_006400276.1
OG0002353	Roisl.0016s0265.1.p	XP_006408319.1
OG0002354	Roisl.0210s1406.1.p	XP_006400243.1
OG0002354	Roisl.0016s0247.1.p	XP_006408340.1
OG0002355	Roisl.0210s1404.1.p, Roisl.0210s1405.1.p	XP_006400242.1
OG0002356	Roisl.0210s1366.1.p	XP_006400203.1
OG0002356	Roisl.0016s0224.1.p	XP_006408365.1
OG0002357	Roisl.0210s1292.1.p	XP_006400120.1, XP_024012530.1
OG0002357	Roisl.0030s0136.1.p	XP_006417752.1
OG0002358	Roisl.0016s0141.1.p	XP_006408441.1
OG0002358	Roisl.0210s1256.1.p	XP_006400080.1
OG0002359	Roisl.0210s1236.1.p	XP_006400052.1
OG0002359	Roisl.0016s0111.1.p	XP_006408464.1
OG0002360	Roisl.0210s0997.1.p	XP_006399795.1
OG0002360	Roisl.0015s0089.1.p	XP_006415786.1
OG0002361	Roisl.0046s0186.1.p	XP_006394759.1
OG0002361	Roisl.0210s0807.1.p	XP_006399588.1
OG0002362	Roisl.0024s0373.1.p	XP_006394104.1
OG0002362	Roisl.0210s0705.1.p	XP_006399478.1
OG0002363	Roisl.0024s0244.1.p	XP_006394252.1
OG0002364	Roisl.0210s2025.1.p	XP_024007398.1
OG0002364	Roisl.0210s0600.1.p	XP_006399348.1
OG0002365	Roisl.0210s0539.1.p, Roisl.0210s0535.1.p	XP_024012720.1, XP_006399283.1
OG0002366	Roisl.0082s0383.1.p	XP_024010056.1
OG0002367	Roisl.0209s0524.1.p, Roisl.0082s0710.1.p	XP_006409969.1
OG0002368	Roisl.0091s0767.1.p	XP_006418058.1
OG0002368	Roisl.0028s0631.1.p	XP_006410376.1
OG0002369	Roisl.0012s0145.1.p	XP_006403206.1
OG0002369	Roisl.0210s0359.1.p	XP_024008437.1
OG0002370	Roisl.0012s0197.1.p	XP_024013264.1
OG0002370	Roisl.0210s0350.1.p	XP_006418159.1
OG0002371	Roisl.0210s0314.1.p	XP_006418202.1
OG0002371	Roisl.0012s0244.1.p	XP_006403128.1
OG0002372	Roisl.0022s0219.1.p, Roisl.0022s0216.1.p	XP_006413282.1, XP_006413284.1
OG0002374	Roisl.0002s0080.1.p, Roisl.0002s0079.1.p	XP_024004781.1, XP_024004839.1
OG0002376	Roisl.0080s0154.1.p	XP_006394541.1
OG0002377	Roisl.0210s1834.1.p	XP_006400679.1
OG0002378	Roisl.0037s0027.1.p	XP_006404476.1
OG0002378	Roisl.0210s1885.1.p	XP_006400733.1
OG0002379	Roisl.0209s0389.1.p	XP_006418853.1
OG0002379	Roisl.0080s0370.1.p	XP_006400995.1
OG0002380	Roisl.0003s0163.1.p	XP_006412586.1
OG0002381	Roisl.0080s0793.1.p	XP_006401458.1
OG0002381	Roisl.0022s0334.1.p	XP_024005289.1
OG0002382	Roisl.0080s0877.1.p	XP_006401551.1
OG0002382	Roisl.0022s0386.1.p	XP_024004325.1
OG0002383	Roisl.0022s0405.1.p	XP_006413074.1
OG0002385	Roisl.0074s0870.1.p	XP_006407451.1
OG0002386	Roisl.0074s0959.1.p	XP_006407539.1
OG0002386	Roisl.0030s0191.1.p	XP_006398921.1
OG0002387	Roisl.0030s0135.1.p	XP_024011697.1
OG0002387	Roisl.0074s1005.1.p	XP_006407596.1
OG0002388	Roisl.0050s0077.1.p	XP_006391659.2, XP_006391656.1
OG0002389	Roisl.0007s0465.1.p	XP_006416789.1
OG0002390	Roisl.0004s0138.1.p	XP_006390072.1, XP_006416256.1
OG0002392	Roisl.0004s0264.1.p	XP_024011168.1
OG0002392	Roisl.0007s0080.1.p	XP_006416385.1
OG0002393	Roisl.0066s0185.1.p	XP_006409283.1
OG0002394	Roisl.0001s0233.1.p	XP_006412026.1
OG0002394	Roisl.0066s0129.1.p	XP_006409220.2
OG0002395	Roisl.0074s0694.1.p	XP_006407266.1
OG0002396	Roisl.0074s0608.1.p	XP_006407171.2
OG0002396	Roisl.0006s0520.1.p	XP_006392686.2
OG0002397	Roisl.0006s0499.1.p	XP_024006384.1
OG0002399	Roisl.0001s0055.1.p	XP_006412218.1
OG0002400	Roisl.0006s0372.1.p	XP_006392842.2
OG0002401	Roisl.0028s1054.1.p	XP_006410796.1
OG0002401	Roisl.0046s1247.1.p	XP_006403772.1
OG0002402	Roisl.0082s0030.1.p	XP_006414998.2
OG0002402	Roisl.0001s0534.1.p, Roisl.0001s0535.1.p	XP_024009669.1
OG0002403	Roisl.0053s0174.1.p	XP_006418678.1
OG0002404	Roisl.0075s0059.1.p	XP_024005878.1
OG0002405	Roisl.0075s0126.1.p	XP_006414822.1
OG0002405	Roisl.0075s0127.1.p	XP_006414820.1
OG0002406	Roisl.0002s0261.1.p, Roisl.0002s0263.1.p	XP_006414660.1, XP_024005667.1
OG0002407	Roisl.0002s0233.1.p	XP_006414622.1
OG0002407	Roisl.0115s0595.1.p	XP_006406166.1
OG0002408	Roisl.0007s0341.1.p	XP_006416657.1
OG0002408	Roisl.0019s0158.1.p	XP_006390574.1
OG0002409	Roisl.0019s0109.1.p	XP_006390525.1
OG0002409	Roisl.0007s0331.1.p	XP_006416645.1
OG0002410	Roisl.0004s0473.1.p	XP_006390440.1
OG0002411	Roisl.0007s0258.1.p	XP_006416573.1
OG0002411	Roisl.0004s0457.1.p	XP_006390427.1
OG0002412	Roisl.0007s0240.1.p	XP_024008808.1
OG0002412	Roisl.0004s0423.1.p	XP_006390392.1
OG0002413	Roisl.0019s0699.1.p, Roisl.0209s0297.1.p	XP_006391125.1
OG0002414	Roisl.0019s0688.1.p	XP_006391114.1
OG0002414	Roisl.0191s0415.1.p	XP_006415881.1
OG0002415	Roisl.0191s0400.1.p	XP_006415899.1
OG0002416	Roisl.0019s0682.1.p	XP_006391106.1
OG0002416	Roisl.0191s0401.1.p	XP_006415897.1
OG0002417	Roisl.0191s0379.1.p	XP_006415915.1
OG0002417	Roisl.0019s0604.1.p	XP_006391040.2
OG0002418	Roisl.0019s0647.1.p	XP_006391068.1
OG0002418	Roisl.0019s0610.1.p	XP_006391035.1
OG0002419	Roisl.0214s0450.1.p	XP_024016038.1
OG0002420	Roisl.0009s0096.1.p	XP_024014736.1
OG0002420	Roisl.0010s0188.1.p	XP_006405988.1
OG0002421	Roisl.0091s1208.1.p	XP_006417592.1
OG0002421	Roisl.0008s0031.1.p	XP_006392425.1
OG0002422	Roisl.0025s0031.1.p	XP_006395385.1
OG0002422	Roisl.0009s0220.1.p	XP_024014780.1
OG0002423	Roisl.0011s0464.1.p	XP_006395519.1
OG0002425	Roisl.0005s0237.1.p	XP_024010988.1
OG0002425	Roisl.0091s0466.1.p	XP_006414096.1
OG0002426	Roisl.0005s0310.1.p	XP_006398214.1
OG0002427	Roisl.0028s0791.1.p	XP_006410532.1
OG0002428	Roisl.0005s0021.1.p	XP_006398457.1
OG0002429	Roisl.0091s0599.1.p	XP_024004717.1
OG0002429	Roisl.0005s0039.1.p	XP_006398434.1
OG0002430	Roisl.0213s0571.1.p	XP_006396917.1
OG0002430	Roisl.0008s0144.1.p	XP_006413553.1
OG0002431	Roisl.0115s0672.1.p	XP_024005520.1
OG0002431	Roisl.0039s0085.1.p	XP_006408056.1
OG0002432	Roisl.0091s0039.1.p	XP_006413619.1
OG0002432	Roisl.0213s0516.1.p	XP_006396802.1
OG0002433	Roisl.0091s0001.1.p	XP_006413930.1
OG0002434	Roisl.0209s0241.1.p	XP_006396759.1
OG0002434	Roisl.0091s0064.1.p	XP_006413641.1
OG0002435	Roisl.0082s0159.1.p	XP_024009997.1
OG0002435	Roisl.0091s0079.1.p	XP_006413660.1
OG0002436	Roisl.0082s0168.1.p	XP_024010188.1
OG0002436	Roisl.0091s0092.1.p	XP_006413673.1
OG0002437	Roisl.0012s0340.1.p	XP_024010993.1
OG0002437	Roisl.0091s0304.1.p	XP_006413910.1
OG0002438	Roisl.0091s0242.1.p	XP_024005714.1
OG0002438	Roisl.0091s0244.1.p	XP_006413840.1
OG0002440	Roisl.0082s0300.1.p	XP_006396603.1
OG0002440	Roisl.0091s0218.1.p	XP_006413818.1
OG0002441	Roisl.0091s0178.1.p	XP_006413769.1
OG0002441	Roisl.0091s0177.1.p	XP_006413767.1
OG0002442	Roisl.0091s0165.1.p, Roisl.0091s0166.1.p	XP_006413751.1, XP_024004703.1
OG0002443	Roisl.0027s0112.1.p, Roisl.0018s0495.1.p	XP_024016495.1
OG0002445	Roisl.0214s0555.1.p, Roisl.0214s0540.1.p, Roisl.0214s0544.1.p	XP_006392097.1, XP_006392103.1
OG0002446	Roisl.0018s0233.1.p	XP_024012958.1
OG0002447	Roisl.0028s0237.1.p, Roisl.0028s0232.1.p	XP_024010820.1
OG0002448	Roisl.0214s0396.1.p, Roisl.0012s0006.1.p, Roisl.0013s0129.1.p	XP_024006186.1
OG0002448	Roisl.0204s0135.1.p	XP_024011018.1
OG0002449	Roisl.0026s0101.1.p	XP_006402831.1
OG0002449	Roisl.0006s0212.1.p	XP_006393033.1
OG0002450	Roisl.0028s0441.1.p	XP_006411445.1
OG0002450	Roisl.0026s0154.1.p	XP_006402878.1
OG0002451	Roisl.0026s0187.1.p	XP_006402913.1
OG0002452	Roisl.0026s0195.1.p	XP_024012969.1, XP_006402921.1
OG0002453	Roisl.0046s1405.1.p	XP_006391873.1, XP_006403599.1
OG0002453	Roisl.0017s0236.1.p	XP_006411092.1
OG0002454	Roisl.0046s1309.1.p	XP_006403703.1
OG0002454	Roisl.0017s0045.1.p	XP_006410886.1
OG0002455	Roisl.0046s1307.1.p	XP_024012059.1, XP_006398097.1, XP_006403705.1
OG0002456	Roisl.0046s1227.1.p	XP_006403794.1
OG0002457	Roisl.0001s0235.1.p	XP_006412025.1
OG0002457	Roisl.0066s0119.1.p	XP_006409212.1
OG0002458	Roisl.0066s0070.1.p	XP_006409162.1
OG0002458	Roisl.0001s0279.1.p	XP_006411983.1
OG0002459	Roisl.0066s0039.1.p	XP_006409129.1
OG0002459	Roisl.0001s0301.1.p	XP_006411959.1
OG0002460	Roisl.0003s0035.1.p	XP_006412728.1
OG0002461	Roisl.0044s0069.1.p	XP_024004490.1
OG0002461	Roisl.0214s0384.1.p	XP_006408900.1
OG0002462	Roisl.0028s0570.1.p, Roisl.0028s0569.1.p	XP_024003777.1
OG0002462	Roisl.0028s0568.1.p	XP_024003778.1
OG0002463	Roisl.0017s0200.1.p, Roisl.0017s0243.1.p	XP_006411051.1
OG0002464	Roisl.0091s0015.1.p	XP_006413590.1
OG0002464	Roisl.0213s0541.1.p	XP_006396852.1
OG0002465	Roisl.0001s0321.1.p	XP_006411939.1
OG0002465	Roisl.0006s0574.1.p	XP_006404837.1
OG0002466	Roisl.0193s0020.1.p	XP_024009041.1
OG0002466	Roisl.0193s0018.1.p, Roisl.0193s0019.1.p	XP_006415044.1
OG0002467	Roisl.0209s0212.1.p	XP_006396795.1
OG0002467	Roisl.0091s0047.1.p	XP_006413625.1
OG0002468	Roisl.0046s0301.1.p	XP_006394871.1
OG0002468	Roisl.0039s0135.1.p	XP_006408005.1
OG0002470	Roisl.0209s0267.1.p	XP_006397625.1
OG0002470	Roisl.0028s0142.1.p	XP_024010772.1
OG0002471	Roisl.0028s0152.1.p	XP_006397613.1
OG0002472	Roisl.0028s0260.1.p	XP_006397516.1
OG0002472	Roisl.0046s0076.1.p	XP_006394664.1
OG0002473	Roisl.0017s0351.1.p	XP_006395920.1
OG0002474	Roisl.0046s0476.1.p	XP_006395024.1
OG0002475	Roisl.0011s0045.1.p, Roisl.0039s0123.1.p	XP_024015230.1
OG0002475	Roisl.0039s0124.1.p	XP_024015539.1
OG0002476	Roisl.0079s0229.1.p	XP_006407747.1
OG0002476	Roisl.0079s0228.1.p	XP_006407748.1
OG0002477	Roisl.0034s0065.1.p	XP_006398619.1
OG0002477	Roisl.0079s0248.1.p	XP_006407734.1
OG0002478	Roisl.0042s0111.1.p	XP_024012250.1
OG0002479	Roisl.0074s0780.1.p	XP_006407354.1, XP_006415429.1
OG0002480	Roisl.0074s0582.1.p	XP_006407146.1
OG0002481	Roisl.0074s0562.1.p	XP_006407127.1
OG0002481	Roisl.0006s0485.1.p	XP_006392722.1
OG0002483	Roisl.0074s0246.1.p	XP_006406782.1
OG0002483	Roisl.0002s0038.1.p	XP_006414371.1
OG0002485	Roisl.0009s0301.1.p	XP_006405599.1
OG0002485	Roisl.0009s0302.1.p	XP_006405600.1
OG0002487	Roisl.0209s0021.1.p	XP_006391539.1
OG0002487	Roisl.0008s0113.1.p	XP_006405958.1
OG0002489	Roisl.0079s0009.1.p	XP_006407962.1
OG0002489	Roisl.0210s1592.1.p	XP_006400435.1
OG0002490	Roisl.0046s1084.1.p	XP_024013604.1
OG0002491	Roisl.0210s0171.1.p	XP_006418346.1
OG0002491	Roisl.0019s0427.1.p	XP_006390819.1
OG0002492	Roisl.0214s0753.1.p	XP_006392319.2
OG0002493	Roisl.0214s0802.1.p	XP_006392357.1
OG0002493	Roisl.0021s0029.1.p	XP_006417527.1
OG0002494	Roisl.0021s0090.1.p	XP_006417475.1
OG0002494	Roisl.0021s0091.1.p	XP_006417474.1
OG0002495	Roisl.0010s0137.1.p	XP_006391772.1
OG0002496	Roisl.0011s0441.1.p	XP_006395535.1
OG0002496	Roisl.0021s0383.1.p	XP_006417177.1
OG0002497	Roisl.0021s0450.1.p	XP_024008372.1
OG0002497	Roisl.0011s0308.1.p	XP_006395650.1
OG0002498	Roisl.0011s0214.1.p	XP_024007068.1
OG0002498	Roisl.0007s0755.1.p	XP_006417065.1
OG0002499	Roisl.0011s0151.1.p	XP_006395778.1
OG0002499	Roisl.0007s0701.1.p	XP_006417010.1
OG0002500	Roisl.0007s0665.1.p	XP_006416979.1
OG0002500	Roisl.0011s0087.1.p	XP_006395846.1
OG0002501	Roisl.0007s0566.1.p	XP_006416887.1
OG0002501	Roisl.0115s0083.1.p	XP_006389797.1
OG0002502	Roisl.0214s0219.1.p	XP_006402105.1
OG0002503	Roisl.0004s0078.1.p	XP_006390011.1
OG0002504	Roisl.0191s0178.1.p	XP_024008598.1
OG0002504	Roisl.0019s0482.1.p	XP_024010992.1
OG0002505	Roisl.0191s0194.1.p	XP_006416073.1
OG0002505	Roisl.0019s0493.1.p	XP_024009568.1
OG0002506	Roisl.0019s0519.1.p	XP_006390923.1
OG0002506	Roisl.0191s0266.1.p	XP_006416021.1
OG0002507	Roisl.0021s0234.1.p	XP_006417346.1
OG0002507	Roisl.0209s0649.1.p	XP_006391963.1
OG0002508	Roisl.0115s0729.1.p	XP_006411658.2
OG0002509	Roisl.0046s0617.1.p	XP_006404676.2
OG0002509	Roisl.0001s0490.1.p	XP_006411774.1
OG0002510	Roisl.0001s0393.1.p	XP_006411866.1
OG0002510	Roisl.0046s0532.1.p	XP_006404763.1
OG0002511	Roisl.0001s0368.1.p	XP_006411897.1
OG0002511	Roisl.0046s0503.1.p	XP_006404785.1
OG0002512	Roisl.0001s0349.1.p	XP_006411914.1
OG0002512	Roisl.0006s0593.1.p	XP_006404817.2
OG0002513	Roisl.0001s0126.1.p	XP_006412140.1
OG0002514	Roisl.0045s0088.1.p	XP_006412257.1, XP_006409565.1
OG0002515	Roisl.0003s0316.1.p	XP_006412427.1
OG0002515	Roisl.0036s0121.1.p	XP_006408826.1
OG0002516	Roisl.0023s0061.1.p	XP_006405153.1
OG0002516	Roisl.0003s0228.1.p	XP_006412512.1
OG0002517	Roisl.0003s0182.1.p, Roisl.0003s0178.1.p	XP_024004601.1
OG0002518	Roisl.0019s0510.1.p	XP_024010809.1
OG0002518	Roisl.0191s0233.1.p	XP_024008271.1
OG0002519	Roisl.0195s0002.1.p	XP_006397391.2, XP_024004569.1
OG0002521	Roisl.0052s0053.1.p, Roisl.0052s0055.1.p	XP_024012239.1, XP_006401606.1
OG0002522	Roisl.0082s0761.1.p	XP_006401823.2
OG0002523	Roisl.0032s0068.1.p, Roisl.0032s0069.1.p	XP_006397203.1
OG0002524	Roisl.0198s0040.1.p, Roisl.0198s0039.1.p, Roisl.0198s0035.1.p, Roisl.0198s0038.1.p, Roisl.0198s0034.1.p, Roisl.0198s0033.1.p, Roisl.0198s0037.1.p, Roisl.0198s0036.1.p	XP_006395074.2
OG0002530	Roisl.0003s0073.1.p	XP_024005318.1
OG0002530	Roisl.0021s0588.1.p	XP_006404897.1
OG0002531	Roisl.0115s0722.1.p	XP_006411668.1
OG0002532	Roisl.0209s0364.1.p	XP_006418878.1
OG0002533	Roisl.0046s0784.1.p	XP_006404234.1
OG0002533	Roisl.0024s0224.1.p	XP_006394274.1
OG0002534	Roisl.0046s0706.1.p, Roisl.0046s0702.1.p	XP_024013420.1, XP_006404317.1
OG0002535	Roisl.0011s0104.1.p	XP_006395825.1
OG0002535	Roisl.0007s0675.1.p	XP_006416990.1
OG0002536	Roisl.0210s1441.1.p	XP_006400283.1
OG0002537	Roisl.0004s0221.1.p	XP_006390164.1, XP_024011921.1
OG0002538	Roisl.0210s1335.1.p	XP_006400173.1, XP_006400174.1
OG0002539	Roisl.0210s1288.1.p	XP_006400116.1
OG0002540	Roisl.0210s1259.1.p	XP_024011867.1
OG0002540	Roisl.0016s0145.1.p	XP_006408436.1
OG0002541	Roisl.0210s1191.1.p	XP_024012286.1
OG0002541	Roisl.0016s0076.1.p	XP_006408502.1
OG0002542	Roisl.0210s1151.1.p	XP_024012023.1
OG0002542	Roisl.0016s0053.1.p	XP_006408527.1
OG0002543	Roisl.0046s1325.1.p	XP_024013778.1
OG0002543	Roisl.0017s0069.1.p	XP_006410910.1, XP_024003919.1
OG0002544	Roisl.0210s0922.1.p	XP_006399714.1
OG0002544	Roisl.0046s0291.1.p	XP_006394858.1
OG0002545	Roisl.0024s0321.1.p	XP_006394157.1
OG0002545	Roisl.0210s0666.1.p	XP_006399436.1
OG0002546	Roisl.0024s0266.1.p	XP_024007064.1
OG0002546	Roisl.0210s0628.1.p	XP_006399400.1
OG0002547	Roisl.0082s0377.1.p	XP_006396519.1
OG0002547	Roisl.0210s0271.1.p	XP_006418243.1
OG0002548	Roisl.0082s0334.1.p	XP_006396561.1
OG0002549	Roisl.0082s0662.1.p	XP_006409924.1
OG0002550	Roisl.0082s0760.1.p	XP_006410031.1
OG0002551	Roisl.0033s0098.1.p	XP_006410180.1
OG0002551	Roisl.0091s0932.1.p	XP_006417895.1
OG0002552	Roisl.0028s0630.1.p	XP_006410375.1
OG0002552	Roisl.0091s0768.1.p	XP_006418057.1
OG0002553	Roisl.0028s0718.1.p	XP_024016781.1
OG0002553	Roisl.0091s0700.1.p	XP_006418110.1
OG0002554	Roisl.0210s0349.1.p	XP_006418162.1
OG0002554	Roisl.0012s0200.1.p	XP_024013300.1
OG0002556	Roisl.0028s0752.1.p	XP_006410496.1
OG0002556	Roisl.0213s0069.1.p	XP_006415698.1
OG0002557	Roisl.0213s0089.1.p	XP_006415676.1
OG0002558	Roisl.0028s0969.1.p	XP_006410710.1
OG0002558	Roisl.0213s0514.1.p	XP_006415238.1
OG0002559	Roisl.0046s0989.1.p	XP_006404027.1
OG0002559	Roisl.0024s0580.1.p	XP_024007633.1
OG0002560	Roisl.0024s0431.1.p	XP_006394041.2
OG0002561	Roisl.0024s0351.1.p	XP_006394127.1
OG0002561	Roisl.0210s0690.1.p	XP_006399462.1
OG0002562	Roisl.0024s0227.1.p	XP_006394270.1
OG0002562	Roisl.0046s0786.1.p	XP_006404231.1
OG0002563	Roisl.0080s0005.1.p	XP_006394401.1
OG0002563	Roisl.0209s0453.1.p	XP_006404377.1
OG0002564	Roisl.0080s0039.1.p, Roisl.0066s0364.1.p	XP_006394434.1
OG0002564	Roisl.0210s0459.1.p	XP_006399204.1
OG0002565	Roisl.0210s0487.1.p	XP_006399229.1
OG0002565	Roisl.0080s0086.1.p	XP_006394484.1
OG0002566	Roisl.0046s0101.1.p	XP_006394685.1
OG0002566	Roisl.0046s0857.1.p	XP_006404160.1
OG0002567	Roisl.0020s0156.1.p	XP_006419043.1
OG0002567	Roisl.0080s0234.1.p	XP_006400855.1
OG0002568	Roisl.0080s0245.1.p	XP_006400868.1
OG0002568	Roisl.0209s0266.1.p	XP_024009599.1
OG0002569	Roisl.0080s0269.1.p	XP_006400890.1
OG0002569	Roisl.0209s0287.1.p	XP_006418993.1
OG0002570	Roisl.0209s0414.1.p	XP_006404418.1
OG0002571	Roisl.0007s0563.1.p	XP_006408414.1
OG0002571	Roisl.0080s0461.1.p	XP_006401097.2
OG0002572	Roisl.0002s0169.1.p	XP_024005121.1
OG0002573	Roisl.0053s0356.1.p	XP_006414731.1
OG0002574	Roisl.0080s0558.1.p	XP_006401205.1
OG0002574	Roisl.0022s0237.1.p	XP_006413264.1
OG0002575	Roisl.0080s0605.1.p	XP_006401253.1
OG0002575	Roisl.0022s0268.1.p	XP_006413232.1
OG0002576	Roisl.0080s0676.1.p, Roisl.0080s0675.1.p	XP_006401320.2, XP_006401318.1, XP_006401317.1
OG0002577	Roisl.0080s0790.1.p	XP_006401455.1
OG0002577	Roisl.0080s0792.1.p	XP_006401457.2
OG0002578	Roisl.0008s0001.1.p, Roisl.0066s0099.1.p, Roisl.0214s0063.1.p	XP_006403054.1, XP_024006337.1
OG0002579	Roisl.0191s0680.1.p	XP_006396438.1
OG0002579	Roisl.0191s0681.1.p	XP_006396439.1
OG0002580	Roisl.0210s0427.1.p	XP_006399167.1
OG0002580	Roisl.0074s0784.1.p	XP_006407358.1
OG0002581	Roisl.0042s0093.1.p	XP_006399033.1
OG0002581	Roisl.0026s0162.1.p	XP_006402887.1
OG0002582	Roisl.0074s0953.1.p	XP_006407531.1
OG0002582	Roisl.0030s0202.1.p	XP_006398930.1
OG0002583	Roisl.0030s0144.1.p	XP_006398872.1
OG0002584	Roisl.0079s0250.1.p	XP_006407732.1
OG0002584	Roisl.0034s0059.1.p	XP_024011703.1
OG0002585	Roisl.0011s0492.1.p	XP_006395492.1
OG0002585	Roisl.0009s0127.1.p	XP_006405407.1
OG0002586	Roisl.0007s0581.1.p	XP_006416900.1
OG0002586	Roisl.0115s0064.1.p	XP_006389776.2
OG0002587	Roisl.0115s0249.1.p, Roisl.0115s0247.1.p	XP_006389953.1
OG0002588	Roisl.0004s0236.1.p	XP_006390181.1
OG0002588	Roisl.0007s0039.1.p	XP_006416346.1
OG0002589	Roisl.0007s0052.1.p	XP_006416361.1
OG0002589	Roisl.0004s0250.1.p	XP_006390201.1
OG0002590	Roisl.0004s0265.1.p	XP_006390217.1
OG0002590	Roisl.0007s0081.1.p	XP_006416387.1
OG0002591	Roisl.0007s0100.1.p	XP_024009109.1
OG0002591	Roisl.0004s0283.1.p	XP_006390238.1
OG0002592	Roisl.0007s0110.1.p	XP_006416422.1
OG0002592	Roisl.0004s0295.1.p	XP_006390248.1
