Orthogroup	Rorippa_islandica	Conringia_planisiliqua
OG0000682	Roisl.0213s0726.1.p	CP4_g26841_DN1_SP0_c.t1, CP4_g25639_DN3_SP0_c.t1
OG0000683	Roisl.0188s0055.1.p	CP13_g19131_DN3_SP8_c.t1
OG0000683	Roisl.0016s0114.1.p	CP10_g42190_DN3_SP8_c.t1
OG0000683	Roisl.0070s0014.1.p	CP5_g1532_DN3_SP0_c.t1
OG0000684	Roisl.0028s0336.1.p	CP4_g24450_DN3_SP8_c.t1
OG0000684	Roisl.0026s0012.1.p, Roisl.0026s0011.1.p	CP3_g13482_DN3_SP0_c.t1
OG0000684	Roisl.0026s0010.1.p	CP3_g13481_DN3_SP7_c.t1
OG0000685	Roisl.0016s0178.1.p	CP10_g42243_DN3_SP2_c.t1
OG0000685	Roisl.0213s0816.1.p	CP5_g1608_DN3_SP6_c.t1
OG0000685	Roisl.0184s0105.1.p	CP8_g53350_DN3_SP3_c.t1
OG0000686	Roisl.0191s0298.1.p	CP7_g45338_DN3_SP2_c.t1
OG0000686	Roisl.0191s0299.1.p	CP7_g45337_DN3_SP1_c.t1
OG0000686	Roisl.0191s0302.1.p	CP7_g45336_DN3_SP2_c.t1
OG0000687	Roisl.0179s0090.1.p	CP1_g40927_DN3_SP1_c.t1, CP1_g40944_DN3_SP8_c.t1
OG0000687	Roisl.0179s0094.1.p, Roisl.0179s0093.1.p, Roisl.0179s0098.1.p	CP1_g40919_DN3_SP0_c.t1
OG0000690	Roisl.0008s0269.1.p	CP9_g28299_DN3_SP1_c.t1, CP5_g687_DN3_SP8_c.t1
OG0000690	Roisl.0027s0095.1.p	CP10_g43946_DN2_SP0_c.t1
OG0000690	Roisl.0210s1668.1.p	CP3_g15839_DN3_SP0_c.t1, CP3_g14851_DN3_SP0_c.t1
OG0000691	Roisl.0210s1281.1.p	CP11_g32387_DN3_SP0_c.t1
OG0000691	Roisl.0210s1283.1.p	CP11_g32386_DN3_SP0_c.t1
OG0000691	Roisl.0016s0165.1.p	CP10_g42234_DN3_SP0_c.t1
OG0000692	Roisl.0055s0052.1.p	CP9_g29304_DN2_SP0_c.t1
OG0000693	Roisl.0015s0182.1.p	CP5_g2246_DN3_SP0_c.t1
OG0000694	Roisl.0028s0638.1.p	CP4_g25523_DN3_SP0_c.t1, CP4_g25527_DN3_SP0_c.t1
OG0000695	Roisl.0002s0009.1.p	CP6_g7190_DN3_SP8_c.t1
OG0000695	Roisl.0028s0067.1.p	CP4_g24213_DN3_SP7_c.t1
OG0000696	Roisl.0046s0862.1.p	CP3_g14443_DN3_SP8_c.t1
OG0000696	Roisl.0050s0013.1.p	CP13_g19048_DN3_SP7_c.t1
OG0000696	Roisl.0022s0442.1.p	CP5_g1230_DN3_SP8_c.t1
OG0000697	Roisl.0080s0261.1.p	CP8_g54032_DN3_SP0_c.t1, CP8_g54031_DN3_SP0_c.t1
OG0000699	Roisl.0046s0635.1.p, Roisl.0046s0632.1.p, Roisl.0046s0634.1.p	CP16_g54835_DN3_SP0_c.t1
OG0000700	Roisl.0006s0172.1.p	CP1_g38008_DN3_SP0_c.t1
OG0000702	Roisl.0028s0440.1.p	CP4_g24544_DN3_SP8_c.t1
OG0000703	Roisl.0017s0372.1.p	CP4_g24737_DN3_SP8_c.t1
OG0000703	Roisl.0195s0010.1.p	CP4_g24736_DN3_SP3_c.t1
OG0000703	Roisl.0046s1567.1.p	CP3_g13773_DN3_SP8_c.t1
OG0000704	Roisl.0046s1365.1.p, Roisl.0011s0545.1.p, Roisl.0046s0387.1.p	CP3_g13971_DN3_SP7_c.t1
OG0000705	Roisl.0017s0389.1.p, Roisl.0017s0387.1.p	CP4_g24723_DN3_SP7_c.t1
OG0000705	Roisl.0042s0091.1.p	CP10_g42884_DN3_SP8_c.t1
OG0000706	Roisl.0035s0053.1.p	CP4_g24034_DN3_SP7_c.t1
OG0000706	Roisl.0191s0640.1.p	CP8_g54533_DN3_SP8_c.t1
OG0000706	Roisl.0210s0135.1.p	CP1_g36514_DN3_SP8_c.t1
OG0000707	Roisl.0028s0178.1.p	CP8_g52602_DN3_SP0_c.t1, CP4_g24316_DN3_SP8_c.t1
OG0000707	Roisl.0011s0019.1.p	CP13_g19690_DN3_SP7_c.t1
OG0000708	Roisl.0074s0300.1.p	CP12_g29995_DN3_SP1_c.t1
OG0000708	Roisl.0074s0297.1.p	CP12_g29999_DN3_SP0_c.t1
OG0000709	Roisl.0189s0016.1.p	CP15_g35687_DN2_SP0_c.t1
OG0000710	Roisl.0006s0575.1.p	CP16_g55002_DN3_SP0_c.t1
OG0000714	Roisl.0082s0573.1.p, Roisl.0082s0576.1.p	CP4_g25897_DN2_SP0_c.t1, CP4_g25929_DN2_SP0_c.t1, CP4_g25945_DN2_SP0_c.t1, CP4_g25930_DN2_SP0_c.t1
OG0000715	Roisl.0046s0866.1.p, Roisl.0046s0817.1.p	CP3_g14436_DN2_SP6_c.t1
OG0000716	Roisl.0021s0546.1.p	CP7_g46397_DN3_SP8_c.t1
OG0000716	Roisl.0074s0643.1.p	CP10_g43311_DN3_SP8_c.t1
OG0000716	Roisl.0080s0666.1.p	CP8_g53644_DN3_SP8_c.t1
OG0000717	Roisl.0007s0717.1.p	CP1_g37736_DN3_SP7_c.t1
OG0000717	Roisl.0191s0315.1.p	CP7_g45328_DN3_SP4_c.t1
OG0000717	Roisl.0019s0562.1.p	CP9_g28581_DN3_SP7_c.t1
OG0000719	Roisl.0189s0170.1.p	CP8_g53138_DN3_SP6_c.t1
OG0000719	Roisl.0189s0173.1.p	CP8_g53132_DN3_SP0_c.t1
OG0000719	Roisl.0189s0172.1.p	CP8_g53135_DN3_SP1_c.t1
OG0000720	Roisl.0018s0408.1.p, Roisl.0018s0409.1.p	CP3_g13128_DN3_SP0_c.t1, CP3_g13127_DN3_SP0_c.t1
OG0000722	Roisl.0015s0002.1.p	CP10_g42195_DN2_SP0_c.t1
OG0000723	Roisl.0011s0136.1.p	CP13_g19582_DN3_SP0_c.t1
OG0000726	Roisl.0019s0632.1.p	CP13_g20463_DN2_SP0_c.t1, CP6_g7428_DN2_SP0_c.t1
OG0000727	Roisl.0047s0064.1.p	CP1_g41279_DN1_SP0_c.t1
OG0000728	Roisl.0210s1453.1.p	CP11_g32217_DN3_SP0_c.t1
OG0000728	Roisl.0016s0284.1.p	CP10_g42341_DN3_SP0_c.t1
OG0000729	Roisl.0204s0076.1.p	CP4_g26086_DN3_SP0_c.t1
OG0000729	Roisl.0006s0586.1.p	CP3_g14439_DN3_SP0_c.t1
OG0000730	Roisl.0115s0127.1.p	CP9_g29629_DN2_SP0_c.t1
OG0000730	Roisl.0017s0440.1.p	CP4_g25542_DN3_SP0_c.t1
OG0000730	Roisl.0007s0540.1.p, Roisl.0019s0140.1.p	CP7_g46142_DN2_SP0_c.t1
OG0000732	Roisl.0046s0203.1.p, Roisl.0046s0202.1.p	CP2_g48432_DN3_SP8_c.t1
OG0000734	Roisl.0209s0440.1.p	CP3_g14670_DN2_SP5_c.t1
OG0000735	Roisl.0002s0048.1.p	CP8_g54129_DN1_SP0_c.t1
OG0000737	Roisl.0082s0419.1.p	CP11_g32048_DN3_SP8_c.t1
OG0000737	Roisl.0210s0233.1.p	CP1_g36771_DN3_SP0_c.t1
OG0000738	Roisl.0030s0093.1.p	CP11_g33519_DN3_SP7_c.t1
OG0000738	Roisl.0054s0024.1.p	CP4_g25093_DN3_SP7_c.t1
OG0000739	Roisl.0115s0123.1.p	CP1_g37683_DN3_SP0_c.t1
OG0000740	Roisl.0004s0064.1.p	CP9_g29470_DN3_SP8_c.t1
OG0000740	Roisl.0048s0038.1.p	CP7_g44419_DN3_SP8_c.t1
OG0000740	Roisl.0032s0084.1.p	CP20_g3901_DN3_SP5_c.t1
OG0000741	Roisl.0004s0475.1.p	CP9_g29068_DN3_SP4_c.t1
OG0000741	Roisl.0091s0974.1.p, Roisl.0046s1568.1.p	CP1_g36992_DN3_SP6_c.t1
OG0000743	Roisl.0028s0045.1.p, Roisl.0028s0044.1.p, Roisl.0028s0235.1.p, Roisl.0028s0099.1.p, Roisl.0010s0174.1.p	CP3_g13228_DN1_SP0_c.t1
OG0000744	Roisl.0018s0246.1.p	CP3_g13270_DN3_SP1_c.t1
OG0000744	Roisl.0035s0163.1.p	CP4_g24138_DN3_SP1_c.t1
OG0000745	Roisl.0044s0102.1.p	CP5_g1051_DN3_SP7_c.t1
OG0000745	Roisl.0022s0281.1.p	CP19_g18016_DN3_SP6_c.t1
OG0000745	Roisl.0214s0368.1.p	CP10_g43563_DN2_SP1_c.t1
OG0000746	Roisl.0028s0150.1.p	CP4_g24291_DN3_SP0_c.t1
OG0000746	Roisl.0028s0151.1.p	CP4_g24292_DN3_SP0_c.t1
OG0000749	Roisl.0036s0076.1.p	CP2_g48679_DN3_SP0_c.t1
OG0000749	Roisl.0021s0643.1.p, Roisl.0198s0009.1.p, Roisl.0036s0079.1.p	CP16_g54928_DN3_SP0_c.t1
OG0000750	Roisl.0044s0134.1.p, Roisl.0044s0130.1.p	CP5_g1015_DN2_SP0_c.t1
OG0000751	Roisl.0066s0374.1.p	CP13_g20464_DN3_SP0_c.t1
OG0000751	Roisl.0209s0695.1.p	CP7_g44149_DN2_SP0_c.t1
OG0000752	Roisl.0016s0144.1.p	CP10_g42213_DN1_SP5_c.t1
OG0000752	Roisl.0003s0213.1.p	CP5_g805_DN2_SP3_c.t1
OG0000761	Roisl.0185s0080.1.p	CP15_g34677_DN3_SP1_c.t1, CP3_g15366_DN3_SP7_c.t1
OG0000761	Roisl.0046s0837.1.p, Roisl.0046s0836.1.p, Roisl.0046s0835.1.p	CP3_g14467_DN3_SP6_c.t1
OG0000762	Roisl.0016s0275.1.p	CP10_g42334_DN3_SP0_c.t1
OG0000762	Roisl.0210s1445.1.p	CP11_g33505_DN2_SP0_c.t1
OG0000764	Roisl.0046s0614.1.p	CP16_g54849_DN3_SP8_c.t1
OG0000764	Roisl.0210s0733.1.p	CP11_g32912_DN3_SP8_c.t1
OG0000764	Roisl.0001s0487.1.p	CP5_g164_DN3_SP8_c.t1
OG0000765	Roisl.0017s0428.1.p	CP3_g13999_DN3_SP0_c.t1
OG0000765	Roisl.0002s0032.1.p	CP10_g43043_DN3_SP0_c.t1
OG0000766	Roisl.0210s1926.1.p	CP8_g54138_DN3_SP3_c.t1
OG0000766	Roisl.0027s0056.1.p	CP3_g15074_DN3_SP0_c.t1
OG0000767	Roisl.0210s0423.1.p, Roisl.0210s0421.1.p, Roisl.0210s0422.1.p, Roisl.0179s0009.1.p	CP11_g33280_DN3_SP2_c.t1
OG0000767	Roisl.0210s0419.1.p	CP11_g33279_DN3_SP1_c.t1
OG0000768	Roisl.0030s0167.1.p	CP11_g33454_DN3_SP1_c.t1
OG0000770	Roisl.0004s0292.1.p	CP9_g29245_DN3_SP8_c.t1
OG0000770	Roisl.0115s0745.1.p, Roisl.0063s0006.1.p	CP7_g45736_DN3_SP4_c.t1
OG0000771	Roisl.0024s0604.1.p	CP2_g47595_DN3_SP2_c.t1
OG0000771	Roisl.0046s1013.1.p, Roisl.0046s1014.1.p	CP3_g14314_DN3_SP0_c.t1, CP3_g14307_DN3_SP0_c.t1, CP5_g1853_DN3_SP0_c.t1
OG0000772	Roisl.0024s0056.1.p	CP9_g28230_DN3_SP0_c.t1
OG0000772	Roisl.0046s0039.1.p	CP5_g1672_DN3_SP1_c.t1
OG0000772	Roisl.0046s0040.1.p	CP5_g1657_DN1_SP0_c.t1, CP5_g1659_DN2_SP0_c.t1
OG0000774	Roisl.0022s0288.1.p	CP19_g18009_DN3_SP4_c.t1
OG0000775	Roisl.0007s0085.1.p	CP7_g45716_DN3_SP0_c.t1
OG0000775	Roisl.0007s0086.1.p	CP7_g45718_DN3_SP0_c.t1
OG0000776	Roisl.0007s0016.1.p, Roisl.0007s0014.1.p, Roisl.0007s0015.1.p	CP7_g45658_DN3_SP5_c.t1
OG0000781	Roisl.0082s0700.1.p, Roisl.0082s0698.1.p, Roisl.0082s0699.1.p	CP4_g25833_DN3_SP0_c.t1
OG0000782	Roisl.0075s0140.1.p, Roisl.0111s0011.1.p, Roisl.0209s0527.1.p	CP6_g7554_DN3_SP8_c.t1
OG0000782	Roisl.0091s0807.1.p	CP1_g36842_DN3_SP8_c.t1
OG0000784	Roisl.0028s0776.1.p, Roisl.0028s0775.1.p, Roisl.0028s0774.1.p	CP4_g25371_DN3_SP1_c.t1
OG0000784	Roisl.0213s0083.1.p	CP7_g45070_DN3_SP0_c.t1, CP7_g45069_DN3_SP2_c.t1
OG0000785	Roisl.0004s0070.1.p, Roisl.0004s0068.1.p, Roisl.0055s0024.1.p	CP11_g32006_DN3_SP1_c.t1
OG0000785	Roisl.0210s1965.1.p	CP2_g48232_DN3_SP2_c.t1
OG0000787	Roisl.0080s0622.1.p	CP8_g53676_DN3_SP6_c.t1
OG0000787	Roisl.0022s0273.1.p	CP19_g18025_DN3_SP5_c.t1
OG0000787	Roisl.0046s1256.1.p	CP3_g14078_DN3_SP3_c.t1
OG0000788	Roisl.0040s0064.1.p	CP1_g37668_DN3_SP0_c.t1
OG0000789	Roisl.0034s0146.1.p	CP11_g33632_DN3_SP3_c.t1
OG0000790	Roisl.0191s0465.1.p	CP7_g45199_DN3_SP3_c.t1
OG0000790	Roisl.0019s0763.1.p	CP9_g28369_DN3_SP5_c.t1
OG0000791	Roisl.0014s0062.1.p, Roisl.0007s0353.1.p	CP410_g51854_DN2_SP0_c.t1, CP9_g28140_DN3_SP0_c.t1, CP9_g28138_DN1_SP0_c.t1, CP410_g51852_DN1_SP0_p.t1, CP151_g11199_DN1_SP0_c.t1, CP282_g12911_DN2_SP0_c.t1, CP9_g28347_DN3_SP0_c.t1, CP151_g11200_DN2_SP0_c.t1, CP9_g28146_DN2_SP0_c.t1, CP9_g28143_DN1_SP0_c.t1, CP9_g28346_DN3_SP0_c.t1, CP151_g11197_DN2_SP0_c.t1, CP7_g45972_DN1_SP0_c.t1
OG0000793	Roisl.0074s0473.1.p	CP10_g43461_DN3_SP8_c.t1
OG0000793	Roisl.0006s0403.1.p	CP7_g46252_DN3_SP8_c.t1
OG0000793	Roisl.0028s0354.1.p	CP4_g24465_DN3_SP8_c.t1
OG0000794	Roisl.0025s0083.1.p	CP13_g19187_DN3_SP0_c.t1
OG0000795	Roisl.0188s0095.1.p	CP7_g45326_DN3_SP2_c.t1
OG0000796	Roisl.0011s0344.1.p	CP13_g19431_DN3_SP7_c.t1
OG0000796	Roisl.0021s0431.1.p	CP1_g37633_DN3_SP7_c.t1
OG0000796	Roisl.0191s0419.1.p	CP7_g45237_DN3_SP8_c.t1
OG0000797	Roisl.0209s0407.1.p	CP3_g14703_DN3_SP3_c.t1
OG0000797	Roisl.0209s0411.1.p	CP3_g14701_DN3_SP1_c.t1
OG0000797	Roisl.0209s0412.1.p	CP3_g14700_DN3_SP1_c.t1
OG0000797	Roisl.0209s0408.1.p	CP3_g14702_DN3_SP2_c.t1
OG0000798	Roisl.0091s0636.1.p	CP6_g7131_DN3_SP0_c.t1
OG0000798	Roisl.0091s0637.1.p	CP20_g4298_DN3_SP0_c.t1
OG0000799	Roisl.0006s0244.1.p	CP1_g37932_DN3_SP0_c.t1
OG0000799	Roisl.0006s0243.1.p, Roisl.0006s0242.1.p	CP1_g37934_DN3_SP0_c.t1
OG0000799	Roisl.0006s0241.1.p	CP1_g37935_DN3_SP1_c.t1
OG0000800	Roisl.0188s0124.1.p	CP6_g7275_DN3_SP0_c.t1
OG0000800	Roisl.0049s0009.1.p, Roisl.0049s0008.1.p	CP17_g4844_DN3_SP0_c.t1
OG0000801	Roisl.0018s0399.1.p	CP3_g13135_DN1_SP0_c.t1
OG0000801	Roisl.0210s0200.1.p	CP1_g36798_DN3_SP0_c.t1
OG0000801	Roisl.0191s0655.1.p	CP11_g32100_DN1_SP0_c.t1
OG0000803	Roisl.0028s0209.1.p, Roisl.0028s0208.1.p	CP4_g24344_DN3_SP3_c.t1
OG0000803	Roisl.0028s0207.1.p	CP4_g24343_DN3_SP2_c.t1
OG0000804	Roisl.0079s0283.1.p	CP10_g42891_DN3_SP4_c.t1, CP10_g42890_DN3_SP4_c.t1
OG0000805	Roisl.0074s0765.1.p	CP10_g43202_DN3_SP0_c.t1
OG0000808	Roisl.0031s0062.1.p, Roisl.0031s0064.1.p, Roisl.0204s0091.1.p, Roisl.0204s0093.1.p, Roisl.0204s0094.1.p	CP20_g3997_DN1_SP0_c.t1
OG0000809	Roisl.0046s0064.1.p, Roisl.0211s0002.1.p, Roisl.0083s0045.1.p, Roisl.0215s0005.1.p, Roisl.0209s0017.1.p, Roisl.0194s0078.1.p, Roisl.0188s0049.1.p, Roisl.0029s0090.1.p, Roisl.0054s0001.1.p, Roisl.0191s0644.1.p, Roisl.0049s0016.1.p, Roisl.0082s0457.1.p, Roisl.0204s0194.1.p, Roisl.0202s0004.1.p, Roisl.0211s0010.1.p, Roisl.0029s0093.1.p, Roisl.0029s0081.1.p, Roisl.0032s0107.1.p, Roisl.0094s0002.1.p, Roisl.0201s0001.1.p, Roisl.0194s0071.1.p, Roisl.0208s0005.1.p, Roisl.0083s0056.1.p, Roisl.0087s0004.1.p, Roisl.0082s0073.1.p, Roisl.0061s0027.1.p, Roisl.0195s0027.1.p, Roisl.0200s0007.1.p, Roisl.0191s0709.1.p, Roisl.0036s0125.1.p, Roisl.0040s0032.1.p, Roisl.0041s0015.1.p, Roisl.0211s0008.1.p, Roisl.0015s0197.1.p, Roisl.0204s0172.1.p, Roisl.0111s0038.1.p, Roisl.0014s0008.1.p, Roisl.0185s0039.1.p, Roisl.0188s0144.1.p, Roisl.0188s0141.1.p, Roisl.0209s0535.1.p, Roisl.0124s0001.1.p, Roisl.0023s0071.1.p	CP6_g8878_DN1_SP0_c.t1
OG0000812	Roisl.0022s0135.1.p	CP8_g52882_DN3_SP6_c.t1
OG0000812	Roisl.0046s0782.1.p	CP3_g14518_DN3_SP8_c.t1
OG0000813	Roisl.0209s0068.1.p	CP16_g55272_DN3_SP0_c.t1
OG0000815	Roisl.0023s0021.1.p	CP10_g42500_DN1_SP0_c.t1
OG0000816	Roisl.0022s0380.1.p	CP5_g1296_DN3_SP8_c.t1
OG0000816	Roisl.0006s0509.1.p	CP7_g46351_DN3_SP7_c.t1
OG0000818	Roisl.0034s0050.1.p	CP11_g33726_DN1_SP0_c.t1
OG0000818	Roisl.0034s0051.1.p	CP11_g33725_DN3_SP0_c.t1
OG0000819	Roisl.0009s0077.1.p	CP5_g1791_DN3_SP0_c.t1
OG0000820	Roisl.0011s0399.1.p	CP2_g49356_DN3_SP0_c.t1
OG0000822	Roisl.0091s0659.1.p	CP6_g7096_DN3_SP0_c.t1
OG0000823	Roisl.0018s0234.1.p, Roisl.0018s0232.1.p	CP3_g13286_DN2_SP0_c.t1
OG0000824	Roisl.0115s0331.1.p	CP12_g30367_DN3_SP0_c.t1
OG0000824	Roisl.0115s0332.1.p, Roisl.0047s0040.1.p	CP12_g30365_DN2_SP0_c.t1
OG0000824	Roisl.0006s0017.1.p	CP12_g30366_DN3_SP0_c.t1
OG0000825	Roisl.0045s0080.1.p	CP12_g30062_DN2_SP0_c.t1
OG0000827	Roisl.0214s0742.1.p	CP2_g49440_DN3_SP8_c.t1
OG0000827	Roisl.0021s0043.1.p	CP1_g37281_DN3_SP2_c.t1
OG0000828	Roisl.0019s0623.1.p	CP10_g43784_DN3_SP0_c.t1
OG0000829	Roisl.0194s0003.1.p, Roisl.0194s0001.1.p	CP9_g28029_DN3_SP0_c.t1, CP14_g22726_DN3_SP0_c.t1
OG0000832	Roisl.0082s0648.1.p	CP4_g25866_DN3_SP8_c.t1
OG0000832	Roisl.0209s0343.1.p	CP3_g14779_DN3_SP7_c.t1
OG0000832	Roisl.0080s0355.1.p	CP8_g53939_DN3_SP8_c.t1
OG0000833	Roisl.0082s0766.1.p	CP4_g25777_DN3_SP0_c.t1
OG0000834	Roisl.0191s0647.1.p	CP8_g54540_DN2_SP5_c.t1
OG0000834	Roisl.0210s0132.1.p	CP1_g36511_DN3_SP2_c.t1
OG0000834	Roisl.0210s0131.1.p	CP1_g36510_DN3_SP1_c.t1
OG0000835	Roisl.0017s0516.1.p	CP8_g53004_DN3_SP0_c.t1, CP4_g25605_DN3_SP0_c.t1
OG0000836	Roisl.0046s0277.1.p	CP2_g48493_DN3_SP1_c.t1, CP2_g48494_DN3_SP0_c.t1
OG0000839	Roisl.0030s0004.1.p	CP11_g33594_DN3_SP8_c.t1
OG0000839	Roisl.0079s0317.1.p	CP10_g42923_DN3_SP8_c.t1
OG0000840	Roisl.0006s0469.1.p	CP7_g46312_DN3_SP0_c.t1
OG0000841	Roisl.0189s0100.1.p, Roisl.0189s0096.1.p	CP26_g51254_DN3_SP0_c.t1
OG0000842	Roisl.0006s0029.1.p	CP1_g38142_DN3_SP0_c.t1
OG0000842	Roisl.0006s0030.1.p	CP1_g38141_DN2_SP0_c.t1
OG0000842	Roisl.0006s0031.1.p	CP1_g38140_DN2_SP0_c.t1
OG0000843	Roisl.0035s0071.1.p	CP4_g24050_DN3_SP0_c.t1
OG0000843	Roisl.0191s0575.1.p	CP8_g54555_DN2_SP0_c.t1
OG0000843	Roisl.0018s0320.1.p	CP3_g13200_DN1_SP0_c.t1
OG0000844	Roisl.0046s1638.1.p	CP3_g13712_DN3_SP8_c.t1
OG0000845	Roisl.0209s0110.1.p, Roisl.0209s0107.1.p, Roisl.0209s0108.1.p	CP7_g44576_DN3_SP4_c.t1, CP7_g44578_DN3_SP4_c.t1
OG0000847	Roisl.0210s0634.1.p, Roisl.0042s0034.1.p	CP11_g33220_DN3_SP0_c.t1, CP11_g33079_DN3_SP0_c.t1
OG0000848	Roisl.0066s0173.1.p	CP13_g20418_DN3_SP0_c.t1
OG0000849	Roisl.0041s0051.1.p, Roisl.0041s0050.1.p, Roisl.0043s0015.1.p, Roisl.0041s0037.1.p, Roisl.0214s0594.1.p, Roisl.0081s0004.1.p	CP8_g53930_DN2_SP0_c.t1
OG0000851	Roisl.0001s0522.1.p	CP5_g128_DN3_SP0_c.t1
OG0000851	Roisl.0046s0502.1.p	CP16_g54955_DN2_SP0_c.t1
OG0000851	Roisl.0115s0648.1.p	CP5_g1994_DN2_SP0_c.t1, CP5_g127_DN3_SP0_c.t1
OG0000852	Roisl.0210s1590.1.p	CP8_g54465_DN2_SP0_c.t1
OG0000852	Roisl.0082s0166.1.p	CP11_g31778_DN3_SP0_c.t1, CP11_g31799_DN3_SP0_c.t1
OG0000853	Roisl.0204s0138.1.p, Roisl.0037s0044.1.p, Roisl.0016s0315.1.p	CP2_g50295_DN1_SP0_c.t1, CP2_g49118_DN1_SP0_c.t1
OG0000857	Roisl.0027s0122.1.p	CP5_g2042_DN1_SP0_c.t1, CP5_g2010_DN1_SP0_c.t1
OG0000857	Roisl.0210s0837.1.p	CP11_g32809_DN1_SP0_c.t1
OG0000858	Roisl.0004s0351.1.p	CP9_g29180_DN3_SP0_c.t1
OG0000858	Roisl.0179s0016.1.p	CP1_g38668_DN3_SP7_c.t1
OG0000858	Roisl.0214s0270.1.p	CP13_g20432_DN3_SP8_c.t1
OG0000859	Roisl.0210s1766.1.p	CP8_g54282_DN3_SP2_c.t1
OG0000860	Roisl.0210s1962.1.p	CP8_g54104_DN2_SP0_c.t1
OG0000860	Roisl.0066s0052.1.p	CP10_g43664_DN1_SP0_c.t1
OG0000861	Roisl.0080s0191.1.p	CP8_g54100_DN3_SP8_c.t1
OG0000861	Roisl.0027s0106.1.p	CP3_g14931_DN3_SP8_c.t1
OG0000863	Roisl.0115s0175.1.p	CP9_g29591_DN3_SP8_c.t1
OG0000863	Roisl.0007s0803.1.p	CP7_g46471_DN3_SP3_c.t1
OG0000864	Roisl.0002s0182.1.p, Roisl.0002s0181.1.p	CP6_g7373_DN3_SP0_c.t1, CP6_g7374_DN3_SP0_c.t1
OG0000866	Roisl.0032s0052.1.p	CP3_g15009_DN3_SP0_c.t1
OG0000867	Roisl.0005s0054.1.p	CP13_g19770_DN3_SP0_c.t1
OG0000867	Roisl.0091s0579.1.p	CP6_g7080_DN3_SP0_c.t1
OG0000868	Roisl.0046s0951.1.p	CP3_g14365_DN3_SP8_c.t1
OG0000868	Roisl.0046s0955.1.p	CP3_g14362_DN3_SP0_c.t1
OG0000870	Roisl.0046s1628.1.p	CP3_g13723_DN3_SP7_c.t1
OG0000870	Roisl.0030s0193.1.p	CP11_g33425_DN3_SP3_c.t1
OG0000870	Roisl.0074s0957.1.p	CP10_g43023_DN3_SP8_c.t1
OG0000871	Roisl.0017s0090.1.p, Roisl.0017s0093.1.p	CP4_g24985_DN3_SP0_c.t1
OG0000871	Roisl.0046s1345.1.p	CP3_g13989_DN3_SP0_c.t1
OG0000872	Roisl.0012s0324.1.p	CP3_g14515_DN3_SP2_c.t1
OG0000872	Roisl.0028s0143.1.p	CP4_g24284_DN3_SP8_c.t1
OG0000873	Roisl.0210s1408.1.p, Roisl.0210s1912.1.p	CP10_g42630_DN3_SP0_c.t1
OG0000874	Roisl.0021s0444.1.p	CP1_g37648_DN3_SP0_c.t1
OG0000874	Roisl.0021s0445.1.p	CP1_g37650_DN3_SP0_c.t1
OG0000875	Roisl.0209s0117.1.p	CP7_g44583_DN3_SP6_c.t1
OG0000877	Roisl.0092s0001.1.p, Roisl.0214s0205.1.p, Roisl.0065s0021.1.p, Roisl.0214s0206.1.p, Roisl.0214s0208.1.p, Roisl.0095s0002.1.p, Roisl.0214s0210.1.p, Roisl.0065s0022.1.p, Roisl.0179s0001.1.p, Roisl.0092s0002.1.p, Roisl.0179s0002.1.p, Roisl.0214s0207.1.p	CP9_g28669_DN3_SP0_c.t1
OG0000882	Roisl.0021s0286.1.p	CP1_g37506_DN3_SP0_c.t1
OG0000882	Roisl.0213s0419.1.p	CP7_g44765_DN3_SP7_c.t1
OG0000884	Roisl.0012s0020.1.p, Roisl.0214s0110.1.p	CP8_g53451_DN3_SP0_c.t1, CP8_g53448_DN3_SP0_c.t1, CP8_g53057_DN2_SP0_c.t1, CP8_g53056_DN2_SP0_c.t1, CP8_g53090_DN3_SP0_c.t1
OG0000885	Roisl.0115s0573.1.p	CP6_g7411_DN2_SP0_c.t1, CP12_g30593_DN2_SP0_c.t1
OG0000886	Roisl.0035s0028.1.p	CP16_g55221_DN1_SP0_c.t1
OG0000888	Roisl.0091s0360.1.p	CP6_g6865_DN3_SP0_c.t1
OG0000889	Roisl.0091s0171.1.p	CP6_g6692_DN3_SP6_c.t1
OG0000889	Roisl.0091s0169.1.p, Roisl.0210s2068.1.p	CP6_g6690_DN2_SP2_c.t1
OG0000890	Roisl.0016s0363.1.p	CP10_g42416_DN3_SP0_c.t1
OG0000890	Roisl.0210s1544.1.p	CP8_g54502_DN3_SP0_c.t1
