Orthogroup	Rorippa_islandica	Arabidopsis_lyrata_Rawat
OG0002458	Roisl.0001s0279.1.p	AL7G14460
OG0002459	Roisl.0066s0039.1.p	AL3G51970
OG0002459	Roisl.0001s0301.1.p	AL7G14190
OG0002460	Roisl.0066s0018.1.p	AL3G53110
OG0002461	Roisl.0044s0069.1.p	AL7G23260
OG0002461	Roisl.0214s0384.1.p	AL3G48380
OG0002462	Roisl.0028s0570.1.p	AL4G38460
OG0002462	Roisl.0028s0568.1.p	AL4G38470
OG0002463	Roisl.0017s0243.1.p	AL4G35610, AL4G35600
OG0002464	Roisl.0091s0015.1.p	AL7G30520
OG0002464	Roisl.0213s0541.1.p	AL6G46510
OG0002465	Roisl.0001s0321.1.p	AL7G13880
OG0002465	Roisl.0006s0574.1.p	AL4G13510
OG0002466	Roisl.0193s0020.1.p	AL1G48560
OG0002466	Roisl.0193s0018.1.p, Roisl.0193s0019.1.p	AL1G48480
OG0002467	Roisl.0209s0212.1.p	AL6G47010
OG0002467	Roisl.0091s0047.1.p	AL7G30800
OG0002468	Roisl.0046s0301.1.p	AL6G38260
OG0002468	Roisl.0039s0135.1.p	AL3G16760
OG0002469	Roisl.0214s0448.1.p	AL3G53410
OG0002470	Roisl.0209s0267.1.p	AL4G43490
OG0002470	Roisl.0028s0142.1.p	AL4G43470
OG0002471	Roisl.0028s0152.1.p	AL4G43350
OG0002472	Roisl.0028s0260.1.p	AL4G42230
OG0002472	Roisl.0046s0076.1.p	AL6G35420
OG0002474	Roisl.0046s0476.1.p	AL3G14660
OG0002475	Roisl.0011s0045.1.p, Roisl.0039s0123.1.p	AL3G16640
OG0002475	Roisl.0039s0124.1.p	AL3G16650
OG0002476	Roisl.0079s0229.1.p	AL3G19730
OG0002476	Roisl.0079s0228.1.p	AL3G19720
OG0002477	Roisl.0034s0065.1.p	AL6G10730
OG0002477	Roisl.0079s0248.1.p	AL3G19910
OG0002478	Roisl.0074s0897.1.p	AL3G22640
OG0002478	Roisl.0042s0111.1.p	AL6G15440
OG0002479	Roisl.0074s0780.1.p	AL3G23900
OG0002481	Roisl.0074s0562.1.p	AL3G26330
OG0002481	Roisl.0006s0485.1.p	AL1G62780
OG0002483	Roisl.0074s0246.1.p	AL3G29960
OG0002483	Roisl.0002s0038.1.p	AL7G38770
OG0002484	Roisl.0002s0043.1.p	AL7G38820
OG0002484	Roisl.0074s0236.1.p	AL3G30030
OG0002485	Roisl.0009s0301.1.p	AL7G50570
OG0002485	Roisl.0009s0302.1.p	AL7G50580
OG0002486	Roisl.0024s0012.1.p	AL2G24180
OG0002486	Roisl.0064s0037.1.p	AL7G46640
OG0002487	Roisl.0209s0021.1.p	AL2G22800
OG0002487	Roisl.0008s0113.1.p	AL7G45600
OG0002489	Roisl.0079s0009.1.p	AL3G17240
OG0002489	Roisl.0210s1592.1.p	AL6G30150
OG0002491	Roisl.0210s0171.1.p	AL1G11760
OG0002491	Roisl.0019s0427.1.p	AL2G30540
OG0002492	Roisl.0214s0753.1.p	AL2G18190
OG0002492	Roisl.0021s0008.1.p	AL1G20260
OG0002493	Roisl.0214s0802.1.p	AL2G18560
OG0002493	Roisl.0021s0029.1.p	AL1G20440
OG0002494	Roisl.0021s0090.1.p	AL1G21100
OG0002494	Roisl.0021s0091.1.p	AL1G21110
OG0002495	Roisl.0010s0137.1.p	AL2G12330
OG0002496	Roisl.0011s0441.1.p	AL5G15490
OG0002496	Roisl.0021s0383.1.p	AL1G24540
OG0002497	Roisl.0021s0450.1.p	AL1G25320
OG0002498	Roisl.0011s0214.1.p	AL5G12920
OG0002498	Roisl.0007s0755.1.p	AL1G25860
OG0002499	Roisl.0011s0151.1.p	AL5G11780
OG0002500	Roisl.0007s0665.1.p	AL1G26730
OG0002500	Roisl.0011s0087.1.p	AL5G10960
OG0002501	Roisl.0007s0566.1.p	AL1G27800
OG0002502	Roisl.0007s0402.1.p	AL1G29520
OG0002502	Roisl.0214s0219.1.p	nbis-gene-1448, AL8G24650
OG0002503	Roisl.0004s0078.1.p	AL2G38520
OG0002504	Roisl.0191s0178.1.p	AL1G37170
OG0002504	Roisl.0019s0482.1.p	AL2G29900
OG0002505	Roisl.0191s0194.1.p	AL1G37310
OG0002505	Roisl.0019s0493.1.p	AL2G29810
OG0002506	Roisl.0019s0519.1.p	AL2G29410
OG0002506	Roisl.0191s0266.1.p	AL1G37980
OG0002507	Roisl.0021s0234.1.p	AL1G22670
OG0002507	Roisl.0209s0649.1.p	AL2G14320
OG0002508	Roisl.0063s0020.1.p	AL4G10150
OG0002508	Roisl.0115s0729.1.p	AL7G10570
OG0002509	Roisl.0046s0617.1.p	AL4G11690
OG0002509	Roisl.0001s0490.1.p	AL7G11990
OG0002510	Roisl.0001s0393.1.p	AL7G13130
OG0002510	Roisl.0046s0532.1.p	AL4G12600
OG0002511	Roisl.0001s0368.1.p	AL7G13440, AL2G17600
OG0002511	Roisl.0046s0503.1.p	AL4G13030
OG0002512	Roisl.0001s0349.1.p	AL7G13660
OG0002512	Roisl.0006s0593.1.p	AL4G13230
OG0002513	Roisl.0001s0126.1.p	AL7G16050
OG0002514	Roisl.0045s0088.1.p	AL3G47060
OG0002514	Roisl.0001s0016.1.p	AL7G17110
OG0002515	Roisl.0003s0316.1.p	AL7G18900
OG0002515	Roisl.0036s0121.1.p	AL4G17710, AL4G17830
OG0002516	Roisl.0023s0061.1.p	AL4G16660
OG0002516	Roisl.0003s0228.1.p	AL7G19740
OG0002517	Roisl.0003s0182.1.p, Roisl.0003s0178.1.p	AL7G20370
OG0002518	Roisl.0019s0510.1.p	AL2G29520
OG0002518	Roisl.0191s0233.1.p	AL1G37810
OG0002519	Roisl.0195s0002.1.p	AL7G25140, AL2G19630
OG0002521	Roisl.0052s0053.1.p, Roisl.0052s0055.1.p	nbis-gene-2130, nbis-gene-2129, AL4G16670
OG0002522	Roisl.0082s0761.1.p	AL5G21870, AL5G21590
OG0002523	Roisl.0032s0069.1.p	AL6G42850, AL6G42830, AL6G42820, AL6G42860
OG0002524	Roisl.0198s0040.1.p, Roisl.0198s0039.1.p, Roisl.0198s0035.1.p, Roisl.0198s0038.1.p, Roisl.0198s0034.1.p, Roisl.0198s0033.1.p, Roisl.0198s0037.1.p, Roisl.0198s0036.1.p	AL8G22930, AL8G22920
OG0002525	Roisl.0005s0336.1.p, Roisl.0012s0163.1.p	AL8G13700, AL8G14330
OG0002525	Roisl.0005s0337.1.p, Roisl.0005s0346.1.p	AL8G13720
OG0002526	Roisl.0059s0070.1.p	AL2G21840, AL2G21800, AL1G51280, AL9U12050, AL7G44060, nbis-gene-1033, nbis-gene-455, nbis-gene-181
OG0002530	Roisl.0003s0073.1.p	AL7G21520
OG0002530	Roisl.0021s0588.1.p	AL4G14070
OG0002531	Roisl.0115s0722.1.p	AL7G10640
OG0002532	Roisl.0080s0325.1.p	AL8G36040
OG0002532	Roisl.0209s0364.1.p	AL5G25510
OG0002533	Roisl.0046s0784.1.p	AL5G28040
OG0002533	Roisl.0024s0224.1.p	AL8G40530
OG0002534	Roisl.0046s0706.1.p, Roisl.0046s0702.1.p	AL5G27220, AL5G27230
OG0002535	Roisl.0011s0104.1.p	AL5G11150
OG0002536	Roisl.0016s0271.1.p	AL3G12970
OG0002537	Roisl.0004s0221.1.p	AL2G36830, AL2G36840
OG0002538	Roisl.0210s1335.1.p	AL6G27290
OG0002539	Roisl.0210s1288.1.p	AL6G26780
OG0002540	Roisl.0210s1259.1.p	AL6G26470
OG0002540	Roisl.0016s0145.1.p	AL3G11450
OG0002541	Roisl.0210s1191.1.p	AL6G25670
OG0002541	Roisl.0016s0076.1.p	AL3G10750
OG0002542	Roisl.0210s1151.1.p	AL6G25250
OG0002542	Roisl.0016s0053.1.p	AL3G10560
OG0002543	Roisl.0046s1325.1.p	AL5G34400
OG0002543	Roisl.0017s0069.1.p	AL4G33660
OG0002544	Roisl.0210s0922.1.p	AL6G22720
OG0002544	Roisl.0046s0291.1.p	AL6G38120
OG0002545	Roisl.0024s0321.1.p	AL8G41760
OG0002545	Roisl.0210s0666.1.p	nbis-gene-1496
OG0002546	Roisl.0024s0266.1.p	AL8G41110
OG0002546	Roisl.0210s0628.1.p	AL6G19650
OG0002547	Roisl.0082s0377.1.p	AL6G50000
OG0002547	Roisl.0210s0271.1.p	AL1G12860
OG0002548	Roisl.0210s0288.1.p	AL1G13030
OG0002548	Roisl.0082s0334.1.p	AL6G49580
OG0002549	Roisl.0082s0662.1.p	AL4G23420
OG0002550	Roisl.0082s0760.1.p	AL4G24450
OG0002550	Roisl.0091s0998.1.p	AL1G17420
OG0002551	Roisl.0033s0098.1.p	AL4G25730
OG0002551	Roisl.0091s0932.1.p	AL1G16680
OG0002552	Roisl.0028s0630.1.p	AL4G27820
OG0002552	Roisl.0091s0768.1.p	AL1G14930
OG0002553	Roisl.0028s0718.1.p	AL4G28870
OG0002553	Roisl.0091s0700.1.p	AL1G14280
OG0002554	Roisl.0210s0349.1.p	AL1G13740
OG0002554	Roisl.0012s0200.1.p	AL8G16200
OG0002555	Roisl.0012s0225.1.p	AL8G15950
OG0002556	Roisl.0028s0752.1.p	AL4G29200
OG0002556	Roisl.0213s0069.1.p	AL1G41630
OG0002557	Roisl.0028s0783.1.p	AL4G29510
OG0002557	Roisl.0213s0089.1.p	AL1G41840
OG0002558	Roisl.0028s0969.1.p	AL4G31570
OG0002558	Roisl.0213s0514.1.p	AL1G46340
OG0002559	Roisl.0046s0989.1.p	AL5G30640
OG0002559	Roisl.0024s0580.1.p	AL8G44520
OG0002560	Roisl.0024s0431.1.p	AL8G42950
OG0002561	Roisl.0024s0351.1.p	AL8G42080
OG0002561	Roisl.0210s0690.1.p	AL6G20210
OG0002562	Roisl.0024s0227.1.p	AL8G40560
OG0002562	Roisl.0046s0786.1.p	AL5G28070
OG0002563	Roisl.0080s0005.1.p	AL8G39240
OG0002563	Roisl.0209s0453.1.p	AL5G26680
OG0002564	Roisl.0080s0039.1.p, Roisl.0066s0364.1.p	AL8G38880
OG0002564	Roisl.0210s0459.1.p	AL6G17440
OG0002565	Roisl.0210s0487.1.p	AL6G17770
OG0002565	Roisl.0080s0086.1.p	AL8G38380
OG0002566	Roisl.0046s0101.1.p	AL6G35760
OG0002566	Roisl.0046s0857.1.p	AL5G29020
OG0002567	Roisl.0020s0156.1.p	AL5G23920
OG0002567	Roisl.0080s0234.1.p	AL8G36970
OG0002568	Roisl.0080s0245.1.p	AL8G36830
OG0002568	Roisl.0209s0266.1.p	AL5G24210
OG0002569	Roisl.0080s0269.1.p	AL8G36600
OG0002569	Roisl.0209s0287.1.p	AL5G24510
OG0002570	Roisl.0209s0414.1.p	AL5G26300
OG0002570	Roisl.0080s0402.1.p	AL3G40320, AL8G35200
OG0002571	Roisl.0007s0563.1.p	AL1G27830
OG0002571	Roisl.0080s0461.1.p	AL8G34440
OG0002572	Roisl.0002s0169.1.p	AL7G40190
OG0002573	Roisl.0053s0356.1.p	AL7G41900, AL3G37970
OG0002574	Roisl.0080s0558.1.p	AL8G33410
OG0002574	Roisl.0022s0237.1.p	AL7G27190
OG0002575	Roisl.0080s0605.1.p	AL8G32920
OG0002576	Roisl.0080s0676.1.p	AL8G32170
OG0002578	Roisl.0008s0001.1.p, Roisl.0066s0099.1.p, Roisl.0214s0063.1.p	AL7G43740
OG0002579	Roisl.0191s0680.1.p	AL6G50830
OG0002579	Roisl.0191s0681.1.p	AL6G50820
OG0002580	Roisl.0210s0427.1.p	AL6G17060
OG0002580	Roisl.0074s0784.1.p	AL3G23850
OG0002581	Roisl.0026s0162.1.p	AL5G38880
OG0002582	Roisl.0074s0953.1.p	AL3G22070
OG0002582	Roisl.0030s0202.1.p	AL6G14430
OG0002583	Roisl.0030s0144.1.p	AL6G13780
OG0002584	Roisl.0079s0250.1.p	AL3G19930
OG0002584	Roisl.0034s0059.1.p	AL6G10610
OG0002585	Roisl.0011s0492.1.p	AL5G16050
OG0002585	Roisl.0009s0127.1.p	AL7G48540
OG0002586	Roisl.0007s0581.1.p	AL1G27600
OG0002586	Roisl.0115s0064.1.p	AL2G41230
OG0002587	Roisl.0115s0249.1.p, Roisl.0115s0247.1.p	AL2G39250
OG0002588	Roisl.0004s0236.1.p	AL2G36670
OG0002588	Roisl.0007s0039.1.p	AL1G33960
OG0002589	Roisl.0007s0052.1.p	AL1G33820
OG0002589	Roisl.0004s0250.1.p	AL2G36510
OG0002590	Roisl.0004s0265.1.p	AL2G36340
OG0002590	Roisl.0007s0081.1.p	AL1G33470
OG0002591	Roisl.0007s0100.1.p	AL1G33170
OG0002591	Roisl.0004s0283.1.p	AL2G36140
OG0002592	Roisl.0007s0110.1.p	AL1G33040
OG0002592	Roisl.0004s0295.1.p	AL2G36010
OG0002593	Roisl.0036s0002.1.p, Roisl.0046s0368.1.p, Roisl.0046s0369.1.p, Roisl.0046s0370.1.p	AL6G39050
OG0002594	Roisl.0018s0352.1.p	AL5G44970
OG0002595	Roisl.0007s0781.1.p, Roisl.0009s0072.1.p, Roisl.0009s0052.1.p	AL6G52570, AL1G64370
OG0002596	Roisl.0006s0491.1.p	AL1G62850
OG0002596	Roisl.0074s0571.1.p	AL3G26250
OG0002597	Roisl.0006s0489.1.p	AL1G62830
OG0002597	Roisl.0074s0567.1.p	AL3G26290
OG0002598	Roisl.0006s0476.1.p, Roisl.0006s0473.1.p	AL1G62710
OG0002599	Roisl.0074s0535.1.p	AL3G26610, AL1G62560
OG0002600	Roisl.0046s1248.1.p	AL5G33530
OG0002600	Roisl.0028s1059.1.p	AL4G32410
OG0002601	Roisl.0053s0307.1.p	AL3G38630
OG0002601	Roisl.0075s0137.1.p	AL7G42280
OG0002602	Roisl.0002s0254.1.p	AL7G41200
OG0002602	Roisl.0115s0631.1.p	AL3G37130, AL166U10010
OG0002603	Roisl.0002s0145.1.p, Roisl.0002s0143.1.p	AL7G39960
OG0002604	Roisl.0004s0469.1.p	AL2G34210
OG0002605	Roisl.0191s0424.1.p	AL1G39850
OG0002605	Roisl.0019s0703.1.p	AL2G27430
OG0002606	Roisl.0019s0686.1.p	AL2G27590
OG0002606	Roisl.0191s0412.1.p	AL1G39750
OG0002607	Roisl.0028s0825.1.p	AL4G30140
OG0002607	Roisl.0053s0041.1.p	AL6G42110
OG0002608	Roisl.0012s0353.1.p	AL8G14610, AL8G14640
OG0002609	Roisl.0074s0017.1.p	AL3G32540
OG0002609	Roisl.0006s0028.1.p	AL1G57020
OG0002610	Roisl.0006s0073.1.p	AL1G57740
OG0002610	Roisl.0006s0070.1.p	AL1G57670
OG0002611	Roisl.0115s0381.1.p	AL3G34360
OG0002611	Roisl.0006s0145.1.p	AL1G58530
OG0002613	Roisl.0006s0359.1.p	AL1G61260
OG0002613	Roisl.0074s0410.1.p	AL3G28010
OG0002614	Roisl.0074s0411.1.p	AL3G28000
OG0002614	Roisl.0006s0360.1.p	AL1G61280
OG0002616	Roisl.0014s0013.1.p, Roisl.0208s0030.1.p	AL5G31330, AL113U10020
OG0002617	Roisl.0047s0048.1.p	AL3G46460
OG0002618	Roisl.0179s0004.1.p	AL3G52360
OG0002618	Roisl.0001s0054.1.p	AL7G16720
OG0002619	Roisl.0066s0317.1.p	AL3G49320
OG0002619	Roisl.0074s0285.1.p	AL3G29540
OG0002620	Roisl.0066s0278.1.p	AL3G49520
OG0002620	Roisl.0001s0114.1.p	AL7G16170
OG0002621	Roisl.0066s0267.1.p	AL3G49560
OG0002621	Roisl.0001s0119.1.p	AL7G16120
OG0002622	Roisl.0082s0153.1.p, Roisl.0082s0154.1.p	AL7G31160
OG0002623	Roisl.0213s0561.1.p, Roisl.0213s0564.1.p, Roisl.0213s0566.1.p, Roisl.0213s0563.1.p	AL6G45710
OG0002624	Roisl.0018s0448.1.p	AL5G45900
OG0002624	Roisl.0067s0002.1.p	AL4G47740
OG0002625	Roisl.0018s0263.1.p	AL5G43710
OG0002625	Roisl.0035s0153.1.p	AL4G45170
OG0002626	Roisl.0018s0092.1.p	AL5G41930
OG0002626	Roisl.0028s0206.1.p	AL4G42720
OG0002627	Roisl.0026s0093.1.p	AL5G39600
OG0002628	Roisl.0026s0111.1.p	AL5G39450
OG0002628	Roisl.0028s0390.1.p	AL4G40670
OG0002629	Roisl.0026s0161.1.p	AL5G38890
OG0002629	Roisl.0028s0459.1.p	AL4G39710
OG0002630	Roisl.0046s1617.1.p	AL5G37460
OG0002630	Roisl.0028s0594.1.p	AL4G38220
OG0002631	Roisl.0046s1513.1.p	AL5G36310
OG0002631	Roisl.0017s0313.1.p	AL4G36750
OG0002632	Roisl.0053s0336.1.p	AL3G38210
OG0002633	Roisl.0017s0142.1.p	AL4G34790
OG0002633	Roisl.0046s1369.1.p	AL5G34910
OG0002634	Roisl.0022s0443.1.p	AL7G24930
OG0002635	Roisl.0213s0744.1.p	AL3G42390
OG0002635	Roisl.0053s0070.1.p	AL7G44580
OG0002636	Roisl.0024s0110.1.p	AL2G25760
OG0002637	Roisl.0044s0098.1.p	AL7G22960
OG0002637	Roisl.0214s0373.1.p	AL3G48520
OG0002638	Roisl.0017s0330.1.p	AL4G36940
OG0002639	Roisl.0191s0462.1.p	AL4G18740, AL5G11470, AL1G40150
OG0002640	Roisl.0210s0123.1.p	AL1G11330
OG0002640	Roisl.0191s0577.1.p	AL6G52600
OG0002641	Roisl.0115s0711.1.p	AL2G17580, AL7G10790
OG0002642	Roisl.0115s0680.1.p	AL7G11120
OG0002642	Roisl.0082s0127.1.p	AL4G10730
OG0002643	Roisl.0020s0137.1.p	AL6G44520
OG0002643	Roisl.0209s0125.1.p	AL1G47350
OG0002644	Roisl.0209s0782.1.p	AL3G54170
OG0002644	Roisl.0022s0485.1.p	AL7G24470
OG0002645	Roisl.0018s0149.1.p	AL5G42590
OG0002645	Roisl.0028s0094.1.p	AL4G43990
OG0002646	Roisl.0028s0248.1.p	AL4G42370
OG0002647	Roisl.0210s1526.1.p	AL6G29380
OG0002647	Roisl.0016s0332.1.p	AL3G13810
OG0002648	Roisl.0079s0071.1.p	AL3G17950
OG0002648	Roisl.0198s0019.1.p	AL8G22720
OG0002649	Roisl.0079s0287.1.p	AL3G20430
OG0002649	Roisl.0034s0116.1.p	AL6G11320
OG0002650	Roisl.0079s0299.1.p	AL3G20600
OG0002650	Roisl.0079s0298.1.p	AL3G20590
OG0002651	Roisl.0074s0845.1.p	AL3G23180
OG0002651	Roisl.0042s0031.1.p	AL6G16330
OG0002652	Roisl.0074s0688.1.p	AL3G24830
OG0002652	Roisl.0074s0687.1.p	AL3G24840
OG0002653	Roisl.0013s0091.1.p	AL1G55230
OG0002653	Roisl.0074s0140.1.p	AL3G31140
OG0002654	Roisl.0046s0548.1.p	AL4G12410
OG0002654	Roisl.0001s0405.1.p	AL7G12920
OG0002655	Roisl.0188s0067.1.p	AL5G19000
OG0002655	Roisl.0070s0009.1.p	AL7G50800
OG0002656	Roisl.0075s0205.1.p	AL7G41590
OG0002656	Roisl.0053s0397.1.p	AL3G37490
OG0002657	Roisl.0053s0405.1.p	AL3G37380
OG0002657	Roisl.0075s0219.1.p	AL7G41480
OG0002658	Roisl.0115s0584.1.p	AL3G36610
OG0002658	Roisl.0115s0582.1.p	AL3G36580
OG0002660	Roisl.0064s0031.1.p	AL7G46560
OG0002660	Roisl.0055s0009.1.p	AL2G24000
OG0002661	Roisl.0046s0491.1.p	AL6G40930, AL6G40920
OG0002662	Roisl.0191s0628.1.p	AL6G51710
OG0002663	Roisl.0210s0236.1.p, Roisl.0214s0001.1.p	AL5G19010, AL1G12730
OG0002664	Roisl.0091s1033.1.p	AL1G17730
OG0002665	Roisl.0021s0002.1.p	AL1G20190
OG0002665	Roisl.0214s0829.1.p	AL1G67510
OG0002666	Roisl.0191s0239.1.p, Roisl.0021s0057.1.p	AL1G20780
OG0002666	Roisl.0214s0703.1.p	AL2G17680
OG0002667	Roisl.0214s0557.1.p	AL2G15720
OG0002667	Roisl.0021s0136.1.p	AL1G21630
OG0002668	Roisl.0021s0211.1.p	AL1G22410
OG0002669	Roisl.0021s0264.1.p	AL1G22960
OG0002670	Roisl.0021s0488.1.p	AL1G25690
OG0002670	Roisl.0011s0252.1.p	AL5G13240
OG0002672	Roisl.0007s0639.1.p	AL1G26970
OG0002673	Roisl.0007s0617.1.p	AL1G27260
OG0002673	Roisl.0007s0616.1.p	AL1G27220
OG0002674	Roisl.0007s0425.1.p	AL7G51010
OG0002674	Roisl.0004s0045.1.p	AL2G38910
OG0002675	Roisl.0007s0393.1.p	AL1G29610
OG0002677	Roisl.0028s0961.1.p	AL4G31480
OG0002677	Roisl.0115s0769.1.p	nbis-gene-1687
OG0002678	Roisl.0063s0028.1.p	AL4G10220
OG0002678	Roisl.0115s0724.1.p	AL7G10620
OG0002679	Roisl.0046s0605.1.p	AL7G12160
OG0002680	Roisl.0046s0535.1.p	nbis-gene-950, AL2G12800, AL4G12540
OG0002680	Roisl.0001s0396.1.p	AL7G13100
OG0002681	Roisl.0001s0061.1.p	AL7G16640
OG0002681	Roisl.0065s0006.1.p	AL3G52520
OG0002682	Roisl.0001s0048.1.p	AL7G16780
OG0002682	Roisl.0053s0148.1.p	AL3G52260
OG0002683	Roisl.0001s0019.1.p	AL7G17090
OG0002683	Roisl.0045s0090.1.p	AL3G47050
OG0002684	Roisl.0003s0271.1.p	AL7G19280
OG0002684	Roisl.0023s0111.1.p	AL4G17080
OG0002685	Roisl.0082s0516.1.p	AL4G18020
OG0002685	Roisl.0003s0329.1.p	AL7G18750
OG0002686	Roisl.0008s0318.1.p, Roisl.0046s0695.1.p	AL7G17740
OG0002687	Roisl.0047s0058.1.p	AL3G46390
OG0002687	Roisl.0008s0328.1.p	AL7G17640
OG0002688	Roisl.0023s0008.1.p	AL4G16210
OG0002688	Roisl.0003s0203.1.p	AL7G20100
OG0002689	Roisl.0038s0058.1.p	nbis-gene-2215
OG0002689	Roisl.0006s0049.1.p	nbis-gene-540
OG0002690	Roisl.0015s0086.1.p, Roisl.0015s0108.1.p	AL1G40840, AL1G40620
OG0002694	Roisl.0214s0660.1.p	AL2G17180, AL2G16970, AL2G16990
OG0002695	Roisl.0179s0064.1.p, Roisl.0179s0063.1.p, Roisl.0079s0185.1.p	AL3G26240, AL286U10020, AL3G19220
OG0002696	Roisl.0091s0536.1.p	AL6G46670, AL6G46710, AL6G46690, AL6G46680
OG0002696	Roisl.0082s0033.1.p	AL7G12560
OG0002697	Roisl.0046s0859.1.p	AL5G29040
OG0002697	Roisl.0046s0860.1.p	AL5G28960, AL5G29030
OG0002698	Roisl.0009s0025.1.p	AL7G47400
OG0002698	Roisl.0009s0038.1.p, Roisl.0009s0027.1.p, Roisl.0204s0028.1.p, Roisl.0017s0298.1.p	AL7G47410
OG0002698	Roisl.0009s0028.1.p	AL7G47390, AL7G47750
OG0002699	Roisl.0189s0181.1.p	AL8G26160
OG0002699	Roisl.0189s0180.1.p	AL604U10010, AL8G26170
OG0002700	Roisl.0189s0152.1.p	AL4G39720
OG0002705	Roisl.0022s0390.1.p	AL7G25540
OG0002705	Roisl.0052s0003.1.p	AL8G29840
OG0002706	Roisl.0210s1473.1.p	AL6G28840
OG0002708	Roisl.0210s1199.1.p	AL6G25760
OG0002708	Roisl.0016s0085.1.p	AL3G10880
OG0002710	Roisl.0210s0928.1.p	AL6G22820
OG0002711	Roisl.0210s0684.1.p	AL6G20140
OG0002711	Roisl.0024s0343.1.p	AL8G42020
OG0002712	Roisl.0046s0050.1.p	AL7G52750
OG0002712	Roisl.0046s0051.1.p	AL7G52760
OG0002713	Roisl.0017s0064.1.p	AL4G33610
OG0002713	Roisl.0210s0616.1.p	AL6G19370
OG0002714	Roisl.0080s0108.1.p	AL8G38150
OG0002714	Roisl.0210s0507.1.p	AL6G18000
OG0002715	Roisl.0204s0047.1.p	AL4G22800
OG0002715	Roisl.0091s1108.1.p	AL1G18670
OG0002716	Roisl.0204s0032.1.p, Roisl.0204s0031.1.p	AL4G22590, AL4G22580
OG0002717	Roisl.0017s0494.1.p	AL4G26920
OG0002717	Roisl.0091s0844.1.p	AL1G15740
OG0002718	Roisl.0210s0389.1.p	AL1G14170
OG0002718	Roisl.0028s0730.1.p	AL4G28980
OG0002719	Roisl.0030s0012.1.p	AL6G12230
OG0002719	Roisl.0012s0179.1.p, Roisl.0012s0156.1.p, Roisl.0012s0167.1.p, Roisl.0012s0161.1.p	AL8G16520, AL37U10030
OG0002720	Roisl.0022s0199.1.p, Roisl.0022s0198.1.p	AL7G27570, AL7G27580
OG0002721	Roisl.0013s0203.1.p	AL1G53740
OG0002721	Roisl.0055s0028.1.p	AL8G18490
OG0002723	Roisl.0028s0867.1.p	AL4G30570
OG0002723	Roisl.0213s0275.1.p	AL1G44020
OG0002724	Roisl.0213s0391.1.p	AL1G45650
OG0002724	Roisl.0028s0922.1.p	AL4G31090
OG0002725	Roisl.0018s0342.1.p	AL5G44840
OG0002726	Roisl.0046s0217.1.p	AL6G37090
OG0002727	Roisl.0208s0037.1.p	AL5G21270
OG0002727	Roisl.0210s1806.1.p	AL6G32340
OG0002728	Roisl.0019s0084.1.p	AL5G23750
OG0002728	Roisl.0080s0201.1.p	AL8G37270
OG0002729	Roisl.0209s0265.1.p	AL5G24200
OG0002729	Roisl.0080s0244.1.p	AL8G36840
OG0002730	Roisl.0002s0264.1.p	AL7G41310
OG0002731	Roisl.0080s0726.1.p	AL8G31620
OG0002731	Roisl.0022s0313.1.p	AL7G26370
OG0002732	Roisl.0046s0851.1.p	AL5G28930
OG0002733	Roisl.0210s0454.1.p	AL6G17400
OG0002733	Roisl.0080s0023.1.p	AL8G39050
OG0002734	Roisl.0042s0027.1.p	AL6G16380
OG0002734	Roisl.0074s0842.1.p	AL3G23210
OG0002735	Roisl.0028s0609.1.p	AL4G38080
OG0002735	Roisl.0042s0119.1.p	AL6G15360
OG0002736	Roisl.0042s0160.1.p	AL6G14670
OG0002736	Roisl.0074s0941.1.p	AL3G22180
OG0002737	Roisl.0030s0084.1.p	AL6G13120
OG0002738	Roisl.0022s0502.1.p	AL7G24320
OG0002738	Roisl.0214s0493.1.p	AL3G53790
OG0002740	Roisl.0079s0251.1.p	AL3G19940
OG0002740	Roisl.0034s0052.1.p	AL6G10520
OG0002741	Roisl.0007s0451.1.p	AL1G28990
OG0002741	Roisl.0115s0239.1.p	AL2G39310
OG0002742	Roisl.0066s0204.1.p	nbis-gene-890
OG0002743	Roisl.0022s0388.1.p	AL7G25560
OG0002743	Roisl.0052s0001.1.p	AL8G29870
OG0002744	Roisl.0074s0587.1.p	AL3G26080
OG0002744	Roisl.0006s0508.1.p	AL1G63040
OG0002745	Roisl.0006s0419.1.p	AL1G61960
OG0002745	Roisl.0074s0484.1.p	AL3G27140
OG0002746	Roisl.0074s0443.1.p	AL3G27620
OG0002746	Roisl.0006s0387.1.p	AL1G61540
OG0002747	Roisl.0037s0016.1.p	AL5G22490
OG0002747	Roisl.0003s0285.1.p	AL7G19120
OG0002748	Roisl.0076s0003.1.p	AL8G23640
OG0002748	Roisl.0022s0105.1.p	AL7G28600
OG0002749	Roisl.0075s0091.1.p	AL7G42740
OG0002750	Roisl.0209s0063.1.p	AL2G23570
OG0002751	Roisl.0058s0077.1.p	AL9U11050
OG0002751	Roisl.0002s0191.1.p	AL7G40350, AL7G40310
OG0002752	Roisl.0115s0517.1.p	AL3G35770
OG0002752	Roisl.0002s0166.1.p	AL7G40160
OG0002753	Roisl.0024s0031.1.p	AL2G24620
OG0002754	Roisl.0002s0092.1.p	AL7G39390
OG0002754	Roisl.0074s0284.1.p	AL3G29550
OG0002755	Roisl.0007s0316.1.p	AL1G30570
OG0002755	Roisl.0019s0115.1.p	AL2G33420
OG0002756	Roisl.0021s0408.1.p	AL1G24780, AL165U10010
