Orthogroup	Rorippa_islandica	Arabidopsis_thaliana
OG0003585	Roisl.0082s0099.1.p	AT5G53620.1
OG0003586	Roisl.0024s0038.1.p	AT5G38110.1
OG0003587	Roisl.0046s1603.1.p	AT3G56030.1
OG0003589	Roisl.0046s1114.1.p	AT3G51650.1, AT3G51640.1
OG0003590	Roisl.0017s0131.1.p, Roisl.0017s0130.1.p	AT2G37770.2
OG0003591	Roisl.0030s0071.1.p	AT5G03490.1
OG0003592	Roisl.0037s0066.1.p	AT3G43930.1
OG0003593	Roisl.0193s0014.1.p	AT1G34020.1
OG0003594	Roisl.0213s0570.1.p	AT4G11370.1, AT4G11360.1
OG0003595	Roisl.0046s0318.1.p	AT5G26710.1
OG0003596	Roisl.0046s0429.1.p	AT5G27220.1
OG0003597	Roisl.0210s0347.1.p	AT1G04120.1
OG0003598	Roisl.0046s0649.1.p	AT2G21920.1
OG0003599	Roisl.0210s1534.1.p	AT5G18250.1
OG0003599	Roisl.0016s0346.1.p	AT3G04040.1
OG0003600	Roisl.0039s0164.1.p	AT3G06160.2
OG0003601	Roisl.0074s0744.1.p	AT3G12630.1
OG0003602	Roisl.0046s0586.1.p	AT3G15490.1
OG0003603	Roisl.0074s0335.1.p	AT3G16110.1
OG0003603	Roisl.0006s0286.1.p	AT1G52260.1
OG0003604	Roisl.0004s0010.1.p	AT2G24280.1
OG0003605	Roisl.0115s0388.1.p, Roisl.0008s0175.1.p	AT3G20600.1, AT3G20590.1
OG0003606	Roisl.0115s0392.1.p	AT3G20650.1
OG0003607	Roisl.0053s0343.1.p	AT3G23450.1
OG0003607	Roisl.0075s0171.1.p	AT4G14301.1
OG0003608	Roisl.0053s0360.1.p	AT3G23300.1
OG0003609	Roisl.0011s0107.1.p	AT2G02000.1
OG0003610	Roisl.0194s0050.1.p	AT1G54520.1
OG0003611	Roisl.0071s0011.1.p	AT1G54850.1
OG0003612	Roisl.0046s1211.1.p, Roisl.0046s1210.1.p	AT3G52430.1
OG0003613	Roisl.0191s0138.1.p	AT1G23020.2
OG0003613	Roisl.0210s0078.1.p	AT1G01590.1
OG0003614	Roisl.0006s0556.1.p, Roisl.0210s0224.1.p	AT1G02920.1, AT1G02930.1
OG0003616	Roisl.0091s0877.1.p	AT1G06120.1, AT1G06090.1
OG0003617	Roisl.0091s0899.1.p	AT1G06290.1
OG0003617	Roisl.0091s0900.1.p	AT1G06310.1
OG0003618	Roisl.0091s1112.1.p	AT1G08310.2
OG0003619	Roisl.0082s0519.1.p, Roisl.0021s0062.1.p, Roisl.0021s0059.1.p	AT1G10095.1
OG0003620	Roisl.0214s0659.1.p	AT1G59820.1
OG0003621	Roisl.0021s0125.1.p	AT1G10586.1, AT1G10585.1
OG0003622	Roisl.0021s0188.1.p	AT1G11120.1
OG0003623	Roisl.0021s0311.1.p	AT1G12200.1
OG0003627	Roisl.0007s0059.1.p	AT1G20750.1
OG0003627	Roisl.0007s0061.1.p	AT1G20720.2
OG0003628	Roisl.0012s0333.1.p, Roisl.0012s0332.1.p	AT5G44720.1
OG0003629	Roisl.0001s0009.1.p	AT3G42050.1
OG0003630	Roisl.0003s0336.1.p	AT4G33010.1
OG0003630	Roisl.0082s0502.1.p	AT2G26080.1
OG0003631	Roisl.0008s0324.1.p	AT4G33790.1
OG0003632	Roisl.0023s0070.1.p	AT2G25355.1
OG0003632	Roisl.0003s0233.1.p	AT4G32175.1
OG0003633	Roisl.0191s0269.1.p	AT1G24180.1
OG0003634	Roisl.0191s0498.1.p	AT4G00620.1
OG0003634	Roisl.0001s0413.1.p	AT4G00600.1
OG0003635	Roisl.0091s0892.1.p	AT1G06225.1
OG0003635	Roisl.0033s0138.1.p	AT2G31081.1
OG0003636	Roisl.0082s0703.1.p	AT2G29125.1
OG0003636	Roisl.0091s1026.1.p	AT1G07490.1
OG0003638	Roisl.0019s0823.1.p, Roisl.0019s0825.1.p, Roisl.0079s0086.1.p, Roisl.0019s0824.1.p	AT3G07005.1
OG0003639	Roisl.0214s0236.1.p, Roisl.0214s0238.1.p, Roisl.0214s0239.1.p	AT5G50490.1, AT5G27910.1
OG0003639	Roisl.0214s0237.1.p, Roisl.0214s0235.1.p	AT5G50480.1
OG0003640	Roisl.0024s0239.1.p	AT5G63600.2
OG0003641	Roisl.0115s0248.1.p	AT1G32020.1
OG0003641	Roisl.0012s0362.1.p	AT2G27505.1
OG0003642	Roisl.0046s0880.1.p	AT3G49450.1
OG0003644	Roisl.0066s0275.1.p, Roisl.0213s0479.1.p	AT4G10870.1, AT4G10860.1, AT4G10880.1
OG0003645	Roisl.0091s0110.1.p	AT4G22115.1
OG0003645	Roisl.0091s0112.1.p	AT4G22105.1
OG0003646	Roisl.0189s0159.1.p, Roisl.0189s0158.1.p	AT5G52050.1
OG0003647	Roisl.0069s0029.1.p	AT2G07732.1
OG0003647	Roisl.0003s0304.1.p	ATCG00490.1
OG0003648	Roisl.0003s0350.1.p	AT4G33145.1
OG0003656	Roisl.0046s0764.1.p	AT3G48430.1
OG0003657	Roisl.0046s0689.1.p	AT3G47833.1
OG0003657	Roisl.0024s0126.1.p	AT5G62575.2
OG0003659	Roisl.0016s0130.1.p	AT3G02090.2
OG0003660	Roisl.0091s0084.1.p	AT4G22350.2, AT4G22285.1
OG0003661	Roisl.0210s0917.1.p	AT5G11920.1
OG0003662	Roisl.0210s0881.1.p	AT5G11630.1
OG0003664	Roisl.0210s0676.1.p, Roisl.0210s0675.1.p	AT5G09640.1
OG0003665	Roisl.0074s0935.1.p	AT3G10780.1
OG0003666	Roisl.0091s0961.1.p	AT1G06960.1
OG0003666	Roisl.0033s0041.1.p	AT2G30260.1
OG0003668	Roisl.0022s0205.1.p	AT4G25570.2
OG0003670	Roisl.0210s2024.1.p	AT5G23580.1
OG0003671	Roisl.0046s0145.1.p	AT5G24660.1, AT5G24655.1
OG0003672	Roisl.0046s0252.1.p	AT5G25770.3
OG0003673	Roisl.0210s1825.1.p	AT5G21010.1
OG0003674	Roisl.0037s0031.1.p	AT3G44220.1
OG0003674	Roisl.0210s1878.1.p	AT5G22200.1
OG0003675	Roisl.0080s0229.1.p	AT5G60400.3
OG0003676	Roisl.0004s0362.1.p	AT1G75335.1
OG0003676	Roisl.0080s0267.1.p	AT5G60030.1
OG0003677	Roisl.0028s0826.1.p, Roisl.0028s0827.1.p	AT2G34240.1, AT2G34220.2, AT2G34230.1
OG0003678	Roisl.0080s0691.1.p	AT5G56350.1, AT4G26390.1
OG0003679	Roisl.0080s0778.1.p	AT5G55560.1
OG0003680	Roisl.0046s0894.1.p	AT3G49580.1
OG0003680	Roisl.0046s0893.1.p	AT3G49570.1
OG0003681	Roisl.0046s0790.1.p	AT3G48690.1, AT3G48700.1
OG0003682	Roisl.0210s0612.1.p	AT5G08600.2
OG0003682	Roisl.0082s0440.1.p	AT4G02400.1
OG0003684	Roisl.0011s0549.1.p	AT3G27520.1
OG0003686	Roisl.0009s0011.1.p	AT5G41990.1
OG0003686	Roisl.0050s0015.1.p	AT1G64630.1
OG0003688	Roisl.0115s0085.1.p	AT5G51280.1
OG0003689	Roisl.0115s0089.1.p	AT1G80500.1
OG0003690	Roisl.0004s0112.1.p	AT1G77830.1
OG0003691	Roisl.0115s0546.1.p, Roisl.0004s0393.1.p, Roisl.0004s0395.1.p, Roisl.0004s0394.1.p	AT1G75040.1
OG0003692	Roisl.0007s0776.1.p	AT1G56070.1
OG0003693	Roisl.0006s0383.1.p	AT1G53130.1
OG0003694	Roisl.0214s0163.1.p	AT5G50200.1
OG0003695	Roisl.0002s0137.1.p	AT4G15630.1, AT4G15620.1
OG0003696	Roisl.0214s0468.1.p	AT2G20530.1
OG0003697	Roisl.0044s0035.1.p	AT4G28880.1
OG0003697	Roisl.0044s0034.1.p	AT4G28860.1
OG0003698	Roisl.0025s0044.1.p	AT3G28140.1
OG0003698	Roisl.0009s0233.1.p	AT5G40190.1
OG0003699	Roisl.0191s0537.1.p	AT4G01150.1
OG0003700	Roisl.0005s0197.1.p	AT5G46210.1
OG0003701	Roisl.0074s0170.1.p	AT3G17700.1
OG0003702	Roisl.0028s0241.1.p	AT2G43600.2
OG0003703	Roisl.0012s0365.1.p	AT5G44990.1
OG0003703	Roisl.0012s0370.1.p	AT5G45020.1
OG0003706	Roisl.0007s0649.1.p	AT1G14850.1
OG0003707	Roisl.0006s0227.1.p	AT1G51710.1
OG0003709	Roisl.0028s0765.1.p	AT2G33670.1
OG0003709	Roisl.0111s0001.1.p	AT1G42560.1
OG0003710	Roisl.0028s1007.1.p	AT2G35810.1, AT2G35830.2, AT2G35820.2
OG0003711	Roisl.0046s1479.1.p	AT3G54900.1
OG0003712	Roisl.0024s0617.1.p, Roisl.0024s0616.1.p	AT5G66620.1
OG0003713	Roisl.0018s0360.1.p	AT3G62300.2
OG0003714	Roisl.0035s0078.1.p	AT2G46620.1
OG0003715	Roisl.0213s0018.1.p, Roisl.0018s0258.1.p, Roisl.0002s0212.1.p	AT4G07940.1, AT3G61370.1
OG0003716	Roisl.0018s0226.1.p	AT3G61160.2
OG0003717	Roisl.0018s0033.1.p	AT3G59170.1, AT3G59160.1
OG0003718	Roisl.0046s1571.1.p	AT3G55780.1
OG0003719	Roisl.0017s0352.1.p	AT2G39770.1
OG0003720	Roisl.0210s1428.1.p	AT5G17320.1, AT1G34650.1
OG0003721	Roisl.0015s0069.1.p	AT1G24510.1, AT1G67760.1
OG0003722	Roisl.0066s0298.1.p, Roisl.0066s0047.1.p	AT2G18510.1
OG0003723	Roisl.0011s0316.1.p	AT3G25580.1, AT2G18990.1
OG0003724	Roisl.0066s0001.1.p	AT2G19060.1, AT2G19050.1
OG0003725	Roisl.0206s0033.1.p	AT2G19110.1
OG0003727	Roisl.0210s2222.1.p	AT5G37190.1, AT4G00930.1
OG0003728	Roisl.0021s0569.1.p	AT2G23190.1, AT2G23220.1
OG0003729	Roisl.0046s0310.1.p	AT5G26673.1, AT5G58412.1, AT5G26717.1, AT5G26692.1
OG0003730	Roisl.0039s0082.1.p	AT3G05550.1
OG0003730	Roisl.0046s0381.1.p	AT5G27760.1
OG0003731	Roisl.0028s0601.1.p	AT2G40360.1
OG0003732	Roisl.0028s0075.1.p	AT1G65681.1, AT2G45110.1
OG0003733	Roisl.0028s0183.1.p	AT2G44065.1
OG0003734	Roisl.0028s0195.1.p	AT2G43940.1
OG0003735	Roisl.0028s0215.1.p	AT2G43780.4
OG0003736	Roisl.0079s0012.1.p	AT3G06350.1
OG0003737	Roisl.0079s0152.1.p	AT3G07560.1
OG0003738	Roisl.0079s0204.1.p	AT3G08040.1
OG0003739	Roisl.0074s0559.1.p	AT3G14130.1
OG0003739	Roisl.0074s0558.1.p	AT3G14150.1
OG0003740	Roisl.0074s0510.1.p	AT3G29430.1, AT3G32040.1, AT3G14530.1, AT3G14550.1, AT3G14510.1
OG0003741	Roisl.0007s0606.1.p	AT1G15270.1
OG0003741	Roisl.0074s0342.1.p	AT3G16040.1
OG0003742	Roisl.0074s0124.1.p	AT3G18140.1
OG0003742	Roisl.0046s0636.1.p	AT2G22040.1
OG0003743	Roisl.0074s0075.1.p	AT3G18570.1
OG0003744	Roisl.0115s0529.1.p	AT3G21750.1
OG0003746	Roisl.0210s0253.1.p	AT1G03140.1
OG0003747	Roisl.0091s0827.1.p	AT1G05675.1, AT1G05680.1
OG0003749	Roisl.0115s0140.1.p	AT1G80890.1
OG0003749	Roisl.0007s0532.1.p	AT1G16000.1
OG0003750	Roisl.0007s0437.1.p, Roisl.0209s0730.1.p	AT1G16930.1, AT1G16945.1
OG0003751	Roisl.0007s0396.1.p	AT1G17340.1
OG0003752	Roisl.0019s0396.1.p, Roisl.0019s0395.1.p	AT1G71250.1
OG0003753	Roisl.0019s0464.1.p	AT1G70670.1
OG0003754	Roisl.0015s0162.1.p	AT5G35320.1
OG0003755	Roisl.0050s0039.1.p	AT1G64520.1, AT5G42040.1
OG0003756	Roisl.0091s0237.1.p	AT4G20980.1
OG0003757	Roisl.0013s0131.1.p, Roisl.0204s0137.1.p	AT1G48160.1
OG0003758	Roisl.0017s0489.1.p, Roisl.0013s0085.1.p	AT3G27740.1
OG0003759	Roisl.0013s0017.1.p	AT1G49320.1
OG0003760	Roisl.0115s0742.1.p	AT4G38540.1, AT5G05320.1
OG0003761	Roisl.0001s0507.1.p, Roisl.0210s2213.1.p	AT4G39630.1
OG0003762	Roisl.0001s0503.1.p	AT4G39670.1
OG0003763	Roisl.0046s0591.1.p	AT2G22475.1, AT4G40100.1
OG0003764	Roisl.0001s0283.1.p	AT4G36640.1
OG0003765	Roisl.0022s0244.1.p	AT4G25900.1
OG0003767	Roisl.0191s0518.1.p	AT4G01390.1, AT4G00780.1
OG0003768	Roisl.0022s0497.1.p	AT4G28240.1
OG0003769	Roisl.0213s0316.1.p	AT1G30545.2
OG0003770	Roisl.0080s0868.1.p	AT5G54720.1, AT3G52830.1, AT5G54710.2
OG0003772	Roisl.0209s0099.1.p	AT1G66180.1
OG0003772	Roisl.0064s0011.1.p	AT5G37540.1
OG0003776	Roisl.0002s0012.1.p	AT4G16500.1
OG0003777	Roisl.0002s0071.1.p, Roisl.0012s0114.1.p	AT4G15755.1
OG0003778	Roisl.0033s0136.1.p, Roisl.0033s0135.1.p	AT2G31083.2, AT2G31085.1
OG0003790	Roisl.0210s1429.1.p	AT5G17330.1
OG0003791	Roisl.0027s0029.1.p, Roisl.0209s0315.1.p	AT5G37130.1
OG0003792	Roisl.0210s1308.1.p	AT5G16100.2
OG0003793	Roisl.0014s0022.1.p, Roisl.0014s0021.1.p, Roisl.0210s1057.1.p	AT5G13620.1
OG0003794	Roisl.0210s0913.1.p	AT3G14390.1, AT5G11880.1
OG0003795	Roisl.0210s0787.1.p	AT5G10720.1
OG0003796	Roisl.0210s0686.1.p	AT5G09760.2
OG0003797	Roisl.0210s0582.1.p	AT5G08360.1
OG0003797	Roisl.0210s2004.1.p	AT5G23380.1
OG0003798	Roisl.0022s0126.1.p	AT4G24820.1
OG0003799	Roisl.0082s0571.1.p	AT2G28210.1
OG0003800	Roisl.0033s0107.1.p	AT2G31300.2
OG0003800	Roisl.0033s0165.1.p	AT2G30910.1
OG0003801	Roisl.0091s0837.1.p	AT1G05780.1
OG0003801	Roisl.0017s0487.1.p	AT2G31710.1
OG0003802	Roisl.0017s0453.1.p	AT2G31980.1
OG0003803	Roisl.0028s0743.1.p	AT2G33450.1
OG0003804	Roisl.0022s0166.1.p	AT5G51450.2, AT4G25230.1
OG0003805	Roisl.0009s0294.1.p	AT5G39800.1, AT5G40080.1
OG0003806	Roisl.0213s0439.1.p	AT1G31650.1
OG0003807	Roisl.0040s0065.1.p	AT1G33540.1
OG0003808	Roisl.0024s0550.1.p	AT5G67160.1
OG0003809	Roisl.0024s0250.1.p	AT5G63700.1
OG0003810	Roisl.0008s0017.1.p, Roisl.0024s0191.1.p	AT5G63150.1
OG0003811	Roisl.0024s0130.1.p	AT5G62620.1
OG0003812	Roisl.0082s0031.1.p	AT4G28360.1, AT1G52370.1
OG0003813	Roisl.0015s0012.1.p	AT4G01710.1
OG0003813	Roisl.0024s0420.1.p	AT5G65274.1
OG0003814	Roisl.0210s2009.1.p	AT5G23420.1
OG0003815	Roisl.0210s0870.1.p	AT5G11530.1
OG0003816	Roisl.0210s1869.1.p	AT5G22090.1
OG0003817	Roisl.0080s0200.1.p	AT5G60690.1
OG0003818	Roisl.0080s0495.1.p	AT5G58003.1
OG0003819	Roisl.0022s0311.1.p	AT4G26510.1
OG0003821	Roisl.0080s0830.1.p	AT5G55070.1
OG0003822	Roisl.0052s0017.1.p	AT5G54300.1
OG0003823	Roisl.0214s0039.1.p, Roisl.0210s0451.1.p	AT5G07160.1
OG0003824	Roisl.0042s0047.1.p	AT5G06160.1
OG0003826	Roisl.0020s0144.1.p, Roisl.0198s0022.1.p	AT5G49210.1
OG0003827	Roisl.0030s0165.1.p	AT5G04347.2
OG0003828	Roisl.0001s0241.1.p, Roisl.0001s0243.1.p	AT4G36150.1
OG0003830	Roisl.0115s0238.1.p, Roisl.0007s0452.1.p	AT1G78900.1
OG0003832	Roisl.0011s0304.1.p	AT2G04045.1
OG0003833	Roisl.0021s0515.1.p	AT1G55790.1
OG0003834	Roisl.0006s0513.1.p	AT1G29580.1, AT1G55080.1
OG0003835	Roisl.0010s0090.1.p	AT3G45750.1
OG0003835	Roisl.0010s0091.1.p	AT3G45760.1
OG0003836	Roisl.0209s0273.1.p	AT3G45650.2
OG0003837	Roisl.0074s0952.1.p, Roisl.0082s0046.1.p	AT4G12790.1
OG0003838	Roisl.0002s0165.1.p, Roisl.0053s0120.1.p	AT4G15417.2
OG0003839	Roisl.0002s0116.1.p, Roisl.0002s0115.1.p	AT2G05117.1, AT4G15735.1
OG0003839	Roisl.0002s0118.1.p	AT4G15733.1
OG0003840	Roisl.0007s0284.1.p	AT1G18510.1
OG0003841	Roisl.0019s0605.1.p	AT1G69250.1
OG0003842	Roisl.0019s0561.1.p	AT1G69750.1, AT1G66590.2
OG0003843	Roisl.0006s0107.1.p	AT1G50560.1, AT1G50520.1
OG0003844	Roisl.0115s0365.1.p	AT3G20410.1, AT1G50700.2
OG0003845	Roisl.0214s0018.1.p	AT2G24840.1
OG0003846	Roisl.0188s0079.1.p	AT3G29020.2
OG0003849	Roisl.0008s0179.1.p	AT4G23700.1
OG0003850	Roisl.0008s0141.1.p	AT4G23430.2
OG0003851	Roisl.0028s0006.1.p	AT3G19250.1
OG0003851	Roisl.0016s0005.1.p	AT3G19330.1
OG0003852	Roisl.0016s0051.1.p	AT3G01610.2
OG0003853	Roisl.0018s0298.1.p	AT2G25410.1
OG0003854	Roisl.0028s0055.1.p	AT1G48860.1, AT2G45300.1
OG0003855	Roisl.0018s0043.1.p	AT3G59280.1
OG0003856	Roisl.0026s0074.1.p	AT2G27340.2, AT3G58130.1
OG0003857	Roisl.0026s0089.1.p	AT3G57990.1
OG0003858	Roisl.0026s0090.1.p	AT3G57980.2
OG0003858	Roisl.0028s0402.1.p	AT2G42150.1
OG0003859	Roisl.0046s1382.1.p	AT3G54040.2
OG0003860	Roisl.0011s0040.1.p	AT5G50650.1, AT5G50550.1
OG0003861	Roisl.0202s0006.1.p	AT4G12700.1
OG0003862	Roisl.0053s0244.1.p	AT3G24340.1
OG0003865	Roisl.0017s0071.1.p	AT2G37300.2
OG0003866	Roisl.0017s0026.1.p	AT2G36900.1
OG0003867	Roisl.0046s0590.1.p	AT2G22480.1
OG0003868	Roisl.0179s0074.1.p	AT1G44170.1
OG0003869	Roisl.0040s0056.1.p	AT1G33760.1
OG0003870	Roisl.0210s1573.1.p	AT1G33680.1
OG0003870	Roisl.0020s0071.1.p	AT4G10070.1
OG0003871	Roisl.0010s0160.1.p	AT1G63310.1
OG0003872	Roisl.0213s0576.1.p	AT4G11420.1
OG0003873	Roisl.0214s0459.1.p, Roisl.0214s0466.1.p	AT2G20510.2
OG0003873	Roisl.0028s1035.1.p	AT2G36070.1
OG0003874	Roisl.0035s0052.1.p	AT2G46870.1
OG0003876	Roisl.0211s0013.1.p	AT1G54380.1
OG0003876	Roisl.0028s0366.1.p	AT2G42510.2
OG0003877	Roisl.0028s0423.1.p	AT2G41930.1
OG0003878	Roisl.0028s0469.1.p	AT2G41500.1, AT2G05720.1
OG0003879	Roisl.0210s1383.1.p	AT5G16790.1
OG0003879	Roisl.0016s0229.1.p	AT3G02950.1
OG0003880	Roisl.0079s0120.1.p	AT3G07270.1
OG0003881	Roisl.0079s0182.1.p	AT3G07810.2
OG0003882	Roisl.0074s0865.1.p	AT3G11420.1
OG0003883	Roisl.0066s0327.1.p	AT2G16530.3, AT1G72590.1
OG0003884	Roisl.0074s0377.1.p	AT3G15720.1
OG0003885	Roisl.0210s0141.1.p, Roisl.0210s0140.1.p	AT1G01010.1
OG0003886	Roisl.0189s0169.1.p	AT5G51960.1
OG0003887	Roisl.0046s1199.1.p	AT3G52300.1
OG0003889	Roisl.0091s0780.1.p	AT1G05280.1
OG0003890	Roisl.0027s0119.1.p	AT3G45180.1
OG0003891	Roisl.0091s1176.1.p	AT1G08920.2
OG0003892	Roisl.0091s1187.1.p	AT1G09040.1, AT1G09050.1
OG0003893	Roisl.0091s1222.1.p	AT1G09400.1
OG0003895	Roisl.0010s0117.1.p, Roisl.0021s0334.1.p	AT1G12440.1
OG0003896	Roisl.0007s0309.1.p	AT1G18280.1
OG0003897	Roisl.0007s0260.1.p	AT1G18710.1
OG0003898	Roisl.0007s0236.1.p	AT1G18970.1
OG0003899	Roisl.0007s0202.1.p, Roisl.0213s0166.1.p	AT1G19250.1
OG0003900	Roisl.0191s0631.1.p, Roisl.0012s0372.1.p	AT4G01590.1, AT4G35685.1
OG0003901	Roisl.0010s0042.1.p	AT1G62620.1, AT1G63370.1, AT1G62600.1
OG0003902	Roisl.0209s0745.1.p	AT1G61130.1
OG0003903	Roisl.0214s0783.1.p	AT1G58050.1
OG0003903	Roisl.0214s0782.1.p	AT1G58060.1
OG0003905	Roisl.0005s0015.1.p	AT5G47650.2
OG0003906	Roisl.0063s0009.1.p	AT2G20930.1
OG0003907	Roisl.0209s0415.1.p	AT3G47070.1
OG0003908	Roisl.0001s0273.1.p, Roisl.0001s0239.1.p	AT4G36550.1
OG0003909	Roisl.0001s0094.1.p	AT4G34880.2
OG0003910	Roisl.0001s0031.1.p	AT4G34330.1
OG0003910	Roisl.0001s0030.1.p	AT4G34320.1
OG0003911	Roisl.0003s0129.1.p	AT4G31130.1
OG0003912	Roisl.0191s0162.1.p	AT1G23220.1
OG0003913	Roisl.0022s0457.1.p	AT4G27880.1
OG0003914	Roisl.0038s0009.1.p	AT1G05615.1, AT2G24670.1
OG0003915	Roisl.0059s0012.1.p	ATCG00120.1
OG0003915	Roisl.0069s0002.1.p	AT2G07698.1
OG0003916	Roisl.0213s0130.1.p	AT1G28630.4
OG0003917	Roisl.0032s0064.1.p	AT4G09170.1
OG0003917	Roisl.0046s0057.1.p	AT1G35430.1
OG0003920	Roisl.0021s0590.1.p, Roisl.0046s0585.1.p	AT2G22520.1
OG0003922	Roisl.0184s0234.1.p, Roisl.0184s0242.1.p, Roisl.0184s0230.1.p	AT3G29575.1
OG0003923	Roisl.0209s0439.1.p	AT3G47360.1
OG0003925	Roisl.0080s0186.1.p	AT5G60830.1
OG0003925	Roisl.0210s0556.1.p	AT5G08141.1
OG0003926	Roisl.0080s0680.1.p	AT5G11370.1, AT5G56410.1, AT5G62970.1
OG0003927	Roisl.0210s1371.1.p	AT5G16700.1
OG0003929	Roisl.0214s0837.1.p	AT4G08780.1
OG0003930	Roisl.0012s0350.1.p	AT5G44830.1, AT5G44840.1
OG0003931	Roisl.0189s0226.1.p	AT5G51500.1, AT5G51490.1
OG0003941	Roisl.0210s1225.1.p	AT2G16930.1, AT5G15220.1
OG0003942	Roisl.0210s1126.1.p	AT5G14250.1
OG0003943	Roisl.0210s1070.1.p	AT5G13740.1
OG0003945	Roisl.0046s0284.1.p	AT5G26050.1
OG0003946	Roisl.0019s0569.1.p	AT1G69680.1
OG0003947	Roisl.0003s0212.1.p	AT4G31980.1
OG0003948	Roisl.0210s0843.1.p	AT5G11260.2
OG0003949	Roisl.0046s0405.1.p	AT5G27470.1
OG0003950	Roisl.0210s0569.1.p	AT5G08260.1
OG0003951	Roisl.0210s1979.1.p	AT5G23140.1
OG0003952	Roisl.0210s0558.1.p	AT5G08160.1
OG0003953	Roisl.0080s0103.1.p	AT5G61500.1
OG0003954	Roisl.0022s0128.1.p	AT4G24840.1
OG0003955	Roisl.0022s0113.1.p	AT4G24690.1
OG0003956	Roisl.0204s0060.1.p	AT2G27510.1
OG0003957	Roisl.0204s0055.1.p	AT2G27550.1
OG0003958	Roisl.0033s0026.1.p	AT2G30110.1
OG0003959	Roisl.0028s0739.1.p	AT2G33410.1
OG0003960	Roisl.0210s0360.1.p	AT1G04250.1
OG0003961	Roisl.0022s0156.1.p	AT4G25140.1
OG0003962	Roisl.0213s0212.1.p	AT1G29590.1, AT1G29550.1
OG0003964	Roisl.0046s1539.1.p	AT1G19080.1, AT3G55490.1
OG0003965	Roisl.0184s0079.1.p	AT1G56220.3
OG0003966	Roisl.0024s0451.1.p	AT5G65560.1
OG0003967	Roisl.0053s0048.1.p, Roisl.0024s0292.1.p	AT5G64120.1
OG0003968	Roisl.0024s0249.1.p	AT5G63690.1
OG0003970	Roisl.0080s0097.1.p	AT5G61550.2
OG0003972	Roisl.0080s0139.1.p	AT5G61190.5
OG0003973	Roisl.0080s0160.1.p	AT5G60990.1
OG0003974	Roisl.0210s2022.1.p	AT5G23535.1
OG0003975	Roisl.0046s0811.1.p	AT3G48880.1
OG0003977	Roisl.0046s0271.1.p	AT5G25930.1
OG0003978	Roisl.0021s0250.1.p	AT1G11680.1
OG0003979	Roisl.0080s0237.1.p	AT3G45320.1
OG0003980	Roisl.0080s0243.1.p	AT5G60250.1
OG0003981	Roisl.0011s0438.1.p	AT3G26620.1, AT3G26660.1
OG0003982	Roisl.0080s0394.1.p	AT5G58950.1
OG0003983	Roisl.0080s0409.1.p	AT5G58784.1
OG0003984	Roisl.0080s0437.1.p	AT5G58560.1
OG0003985	Roisl.0080s0548.1.p, Roisl.0080s0547.1.p	AT5G57540.1, AT5G57530.1
OG0003986	Roisl.0080s0703.1.p	AT5G56240.2
OG0003987	Roisl.0046s0824.1.p	AT3G49000.1
OG0003988	Roisl.0052s0016.1.p	AT5G54310.1
OG0003989	Roisl.0210s0436.1.p	AT5G07000.1, AT5G07010.1
OG0003990	Roisl.0031s0100.1.p	AT5G53270.1, AT5G53260.1
OG0003991	Roisl.0019s0208.1.p	AT5G35917.1, AT5G05260.2
OG0003993	Roisl.0030s0185.1.p	AT5G04590.1
OG0003994	Roisl.0016s0064.1.p, Roisl.0030s0059.1.p	AT5G03380.1
OG0003995	Roisl.0034s0135.1.p	AT5G02310.1
OG0003996	Roisl.0034s0134.1.p	AT5G02290.1
OG0003997	Roisl.0009s0118.1.p	AT3G56520.1, AT5G41090.1
OG0003998	Roisl.0074s0988.1.p	AT3G10370.1
OG0003999	Roisl.0115s0120.1.p	AT1G80740.1
OG0004000	Roisl.0004s0247.1.p	AT1G76430.1
OG0004001	Roisl.0004s0258.1.p	AT1G76340.1
OG0004002	Roisl.0004s0300.1.p	AT1G75920.1
OG0004004	Roisl.0006s0451.1.p	AT1G53720.1
OG0004004	Roisl.0007s0778.1.p	AT1G56085.1
OG0004005	Roisl.0007s0772.1.p	AT1G56040.1, AT1G56030.1
OG0004006	Roisl.0021s0507.1.p	AT1G55850.1
OG0004007	Roisl.0021s0549.1.p	AT5G51795.1, AT1G55460.1
OG0004008	Roisl.0006s0533.1.p	AT1G55240.1
OG0004008	Roisl.0006s0532.1.p	AT1G55230.1
OG0004009	Roisl.0179s0082.1.p	AT1G44100.1
OG0004010	Roisl.0006s0453.1.p	AT1G53780.2, AT1G53750.1
OG0004011	Roisl.0054s0013.1.p	AT2G36360.4
OG0004012	Roisl.0012s0226.1.p, Roisl.0031s0076.1.p	AT5G53045.1
OG0004013	Roisl.0075s0192.1.p	AT4G14420.1
OG0004014	Roisl.0002s0260.1.p	AT4G14713.1, AT4G14720.2
OG0004015	Roisl.0002s0111.1.p, Roisl.0002s0113.1.p	AT4G15740.1
OG0004016	Roisl.0019s0137.1.p, Roisl.0019s0136.1.p	AT1G73460.1, AT1G73450.1
OG0004017	Roisl.0004s0474.1.p	AT1G74300.1
OG0004018	Roisl.0194s0047.1.p	AT1G64010.2, AT1G62160.1
OG0004020	Roisl.0011s0515.1.p	AT3G27230.1
OG0004021	Roisl.0091s0155.1.p	AT4G21710.1
OG0004022	Roisl.0005s0297.1.p	AT5G45510.1
