Orthogroup	Rorippa_islandica	Arabidopsis_arenosa
OG0003686	Roisl.0050s0015.1.p	jg367
OG0003688	Roisl.0115s0085.1.p	jg1919, jg21789
OG0003689	Roisl.0115s0089.1.p	jg3717
OG0003689	Roisl.0006s0273.1.p	jg8187
OG0003690	Roisl.0046s0432.1.p	jg6696
OG0003691	Roisl.0115s0546.1.p, Roisl.0004s0393.1.p, Roisl.0004s0395.1.p, Roisl.0004s0394.1.p	jg3157, jg3155
OG0003692	Roisl.0007s0776.1.p	jg33796
OG0003693	Roisl.0006s0383.1.p	jg33516
OG0003693	Roisl.0074s0435.1.p	jg25555
OG0003694	Roisl.0214s0163.1.p	jg21674
OG0003695	Roisl.0002s0137.1.p	jg11140, jg11141
OG0003697	Roisl.0044s0035.1.p	jg9544
OG0003698	Roisl.0025s0044.1.p	jg13575
OG0003698	Roisl.0009s0233.1.p	jg12621
OG0003699	Roisl.0191s0537.1.p	jg8116
OG0003700	Roisl.0005s0197.1.p	jg20449
OG0003701	Roisl.0074s0170.1.p	jg25879, jg25877
OG0003702	Roisl.0028s0241.1.p	jg19700
OG0003703	Roisl.0012s0365.1.p	jg20627
OG0003704	Roisl.0006s0159.1.p	jg33247
OG0003706	Roisl.0007s0649.1.p	jg29970
OG0003707	Roisl.0006s0227.1.p	jg33330
OG0003709	Roisl.0028s0765.1.p	jg18465
OG0003709	Roisl.0111s0001.1.p	jg32474
OG0003710	Roisl.0028s1007.1.p	jg18716, jg18715
OG0003711	Roisl.0046s1479.1.p	jg15427
OG0003712	Roisl.0024s0617.1.p, Roisl.0024s0616.1.p	jg23730
OG0003713	Roisl.0018s0360.1.p	jg16300
OG0003714	Roisl.0035s0078.1.p	jg20068
OG0003715	Roisl.0213s0018.1.p, Roisl.0018s0258.1.p, Roisl.0002s0212.1.p	jg32488, jg16188
OG0003716	Roisl.0018s0226.1.p	jg16167
OG0003717	Roisl.0018s0033.1.p	jg15957, jg15956
OG0003718	Roisl.0066s0413.1.p	jg20332, jg31018
OG0003718	Roisl.0046s1571.1.p	jg15534
OG0003719	Roisl.0017s0352.1.p	jg19199
OG0003720	Roisl.0210s1428.1.p	jg5559, jg32141
OG0003721	Roisl.0015s0069.1.p	jg31225, jg31226
OG0003722	Roisl.0066s0298.1.p, Roisl.0066s0047.1.p	jg28012
OG0003723	Roisl.0011s0316.1.p	jg28081, jg13217
OG0003724	Roisl.0066s0001.1.p	jg28089, jg28088
OG0003725	Roisl.0206s0033.1.p	jg28093
OG0003727	Roisl.0210s2222.1.p	jg12145
OG0003728	Roisl.0021s0569.1.p	jg16770, jg16774, jg16775
OG0003730	Roisl.0046s0381.1.p	jg6615
OG0003731	Roisl.0066s0268.1.p	jg3959
OG0003731	Roisl.0028s0601.1.p	jg19292
OG0003732	Roisl.0028s0075.1.p	jg19897
OG0003733	Roisl.0028s0183.1.p	jg19752
OG0003734	Roisl.0028s0195.1.p	jg19742
OG0003735	Roisl.0028s0215.1.p	jg19725
OG0003736	Roisl.0079s0012.1.p	jg24569
OG0003737	Roisl.0079s0152.1.p	jg24711
OG0003738	Roisl.0079s0204.1.p	jg24762
OG0003739	Roisl.0074s0559.1.p	jg25421
OG0003739	Roisl.0074s0558.1.p	jg25422
OG0003740	Roisl.0074s0510.1.p	jg25464
OG0003742	Roisl.0074s0124.1.p	jg25933
OG0003742	Roisl.0046s0636.1.p	jg16629
OG0003743	Roisl.0074s0075.1.p	jg25988
OG0003744	Roisl.0115s0529.1.p	jg26377
OG0003747	Roisl.0091s0827.1.p	jg28912, jg28913
OG0003749	Roisl.0115s0140.1.p	jg3670
OG0003749	Roisl.0007s0532.1.p	jg30091
OG0003750	Roisl.0007s0437.1.p, Roisl.0209s0730.1.p	jg30216
OG0003751	Roisl.0007s0396.1.p	jg30258
OG0003752	Roisl.0019s0396.1.p, Roisl.0019s0395.1.p	jg2749
OG0003753	Roisl.0019s0464.1.p	jg2681
OG0003754	Roisl.0038s0017.1.p	jg27212
OG0003754	Roisl.0015s0162.1.p	jg11921
OG0003755	Roisl.0050s0039.1.p	jg378, jg12856
OG0003756	Roisl.0091s0237.1.p	jg10475
OG0003757	Roisl.0013s0131.1.p, Roisl.0204s0137.1.p	jg32892
OG0003758	Roisl.0017s0489.1.p, Roisl.0013s0085.1.p	jg25934, jg13532
OG0003759	Roisl.0013s0017.1.p	jg33036, jg33031
OG0003760	Roisl.0115s0742.1.p	jg8317, jg8318
OG0003761	Roisl.0001s0507.1.p, Roisl.0210s2213.1.p	jg8460, jg8453, jg8446, jg8433
OG0003762	Roisl.0001s0503.1.p	jg8463
OG0003763	Roisl.0046s0591.1.p	jg16674, jg8517
OG0003764	Roisl.0001s0283.1.p	jg8673
OG0003765	Roisl.0022s0244.1.p	jg9870
OG0003766	Roisl.0053s0026.1.p	jg2367, jg21441, jg21443, jg21442, jg7295
OG0003767	Roisl.0191s0518.1.p	jg8100, jg8162
OG0003768	Roisl.0022s0497.1.p	jg9612
OG0003769	Roisl.0213s0316.1.p	jg31612
OG0003770	Roisl.0080s0870.1.p	jg32077
OG0003771	Roisl.0011s0556.1.p, Roisl.0031s0001.1.p, Roisl.0080s0180.1.p, Roisl.0050s0112.1.p, Roisl.0091s0652.1.p, Roisl.0055s0057.1.p	jg24031, jg32173
OG0003772	Roisl.0209s0099.1.p	jg2058
OG0003772	Roisl.0064s0011.1.p	jg12205
OG0003774	Roisl.0033s0099.1.p	jg11337
OG0003775	Roisl.0204s0054.1.p	jg18845, jg18844, jg18851, jg18927
OG0003776	Roisl.0002s0012.1.p	jg10994
OG0003777	Roisl.0002s0071.1.p, Roisl.0012s0114.1.p	jg11119
OG0003791	Roisl.0027s0029.1.p, Roisl.0209s0315.1.p	jg5555
OG0003792	Roisl.0210s1308.1.p	jg5435
OG0003793	Roisl.0014s0022.1.p, Roisl.0014s0021.1.p, Roisl.0210s1057.1.p	jg5173
OG0003794	Roisl.0210s0913.1.p	jg25451, jg5026
OG0003795	Roisl.0210s0787.1.p	jg4901
OG0003796	Roisl.0210s0686.1.p	jg4790
OG0003797	Roisl.0210s0582.1.p	jg4684
OG0003797	Roisl.0210s2004.1.p	jg6186
OG0003798	Roisl.0022s0126.1.p	jg9989
OG0003800	Roisl.0033s0107.1.p, Roisl.0033s0165.1.p	jg18141
OG0003801	Roisl.0091s0837.1.p	jg28924
OG0003801	Roisl.0017s0487.1.p	jg18232
OG0003802	Roisl.0017s0453.1.p	jg18265
OG0003803	Roisl.0028s0743.1.p	jg18443
OG0003804	Roisl.0022s0166.1.p	jg21814, jg9946
OG0003805	Roisl.0009s0294.1.p	jg7217, jg12555
OG0003806	Roisl.0213s0439.1.p	jg31788
OG0003808	Roisl.0024s0550.1.p	jg23666
OG0003809	Roisl.0024s0250.1.p	jg23347
OG0003810	Roisl.0046s0755.1.p	jg14647
OG0003810	Roisl.0008s0017.1.p, Roisl.0024s0191.1.p	jg23286
OG0003811	Roisl.0024s0130.1.p	jg23214
OG0003812	Roisl.0082s0031.1.p	jg33427
OG0003812	Roisl.0022s0510.1.p	jg2245
OG0003813	Roisl.0015s0012.1.p	jg8245
OG0003813	Roisl.0024s0420.1.p	jg23539
OG0003814	Roisl.0210s2009.1.p	jg6192, jg5775
OG0003815	Roisl.0210s0870.1.p	jg4985
OG0003816	Roisl.0210s1869.1.p	jg6011
OG0003817	Roisl.0080s0200.1.p	jg23009
OG0003818	Roisl.0080s0495.1.p	jg22703
OG0003819	Roisl.0022s0311.1.p	jg9800
OG0003821	Roisl.0080s0830.1.p	jg22331
OG0003822	Roisl.0052s0017.1.p	jg22223
OG0003823	Roisl.0214s0039.1.p, Roisl.0210s0451.1.p	jg4543
OG0003824	Roisl.0042s0047.1.p	jg4378
OG0003826	Roisl.0020s0144.1.p, Roisl.0198s0022.1.p	jg21541
OG0003827	Roisl.0030s0165.1.p	jg4185
OG0003828	Roisl.0001s0241.1.p, Roisl.0001s0243.1.p	jg8714
OG0003830	Roisl.0007s0452.1.p	jg3574
OG0003832	Roisl.0011s0304.1.p	jg13206
OG0003833	Roisl.0021s0515.1.p	jg33757
OG0003834	Roisl.0006s0513.1.p	jg31487, jg31492, jg33665
OG0003835	Roisl.0010s0090.1.p	jg14351
OG0003836	Roisl.0209s0273.1.p	jg14339
OG0003837	Roisl.0074s0952.1.p, Roisl.0082s0046.1.p	jg11675
OG0003838	Roisl.0002s0165.1.p, Roisl.0053s0120.1.p	jg11174
OG0003839	Roisl.0002s0116.1.p, Roisl.0002s0115.1.p	jg11126
OG0003839	Roisl.0002s0118.1.p	jg11127
OG0003840	Roisl.0007s0284.1.p	jg30374
OG0003841	Roisl.0019s0605.1.p	jg2504
OG0003842	Roisl.0191s0314.1.p	jg31049
OG0003842	Roisl.0019s0561.1.p	jg2567
OG0003843	Roisl.0006s0107.1.p	jg33189, jg33191
OG0003844	Roisl.0115s0365.1.p	jg26198, jg33207
OG0003845	Roisl.0214s0018.1.p	jg17021
OG0003845	Roisl.0213s0174.1.p	jg17009
OG0003846	Roisl.0188s0079.1.p	jg13706
OG0003847	Roisl.0209s0614.1.p	jg733
OG0003849	Roisl.0008s0179.1.p	jg10125
OG0003850	Roisl.0008s0141.1.p	jg10160
OG0003851	Roisl.0028s0006.1.p	jg26062
OG0003852	Roisl.0016s0051.1.p	jg23934
OG0003852	Roisl.0007s0478.1.p	jg30140
OG0003853	Roisl.0018s0298.1.p	jg16235
OG0003854	Roisl.0028s0055.1.p	jg32970, jg19923
OG0003855	Roisl.0018s0043.1.p	jg15971
OG0003856	Roisl.0026s0074.1.p	jg15833
OG0003857	Roisl.0026s0089.1.p	jg15818
OG0003858	Roisl.0026s0090.1.p	jg15817
OG0003859	Roisl.0046s1382.1.p	jg15340
OG0003860	Roisl.0011s0040.1.p	jg21726
OG0003861	Roisl.0202s0006.1.p	jg11711
OG0003862	Roisl.0053s0244.1.p	jg26742
OG0003865	Roisl.0017s0071.1.p	jg18879
OG0003866	Roisl.0017s0026.1.p	jg18831
OG0003867	Roisl.0046s0590.1.p	jg16675
OG0003868	Roisl.0179s0074.1.p	jg2288, jg32606
OG0003869	Roisl.0040s0056.1.p	jg32035
OG0003870	Roisl.0210s1573.1.p	jg32023
OG0003870	Roisl.0020s0071.1.p	jg7343
OG0003871	Roisl.0010s0160.1.p	jg539
OG0003872	Roisl.0213s0576.1.p	jg7509
OG0003873	Roisl.0214s0459.1.p, Roisl.0214s0466.1.p	jg28270
OG0003873	Roisl.0028s1035.1.p	jg18739
OG0003874	Roisl.0035s0052.1.p	jg20092
OG0003876	Roisl.0211s0013.1.p	jg1585
OG0003876	Roisl.0028s0366.1.p	jg19567
OG0003877	Roisl.0028s0423.1.p	jg19489
OG0003878	Roisl.0028s0469.1.p	jg19436, jg27089
OG0003879	Roisl.0016s0229.1.p	jg24121
OG0003880	Roisl.0079s0120.1.p	jg24680
OG0003881	Roisl.0079s0182.1.p	jg24738
OG0003882	Roisl.0074s0865.1.p	jg25093
OG0003883	Roisl.0066s0327.1.p	jg27709, jg7825
OG0003884	Roisl.0074s0377.1.p	jg25617
OG0003885	Roisl.0210s0141.1.p, Roisl.0210s0140.1.p	jg28527
OG0003886	Roisl.0189s0169.1.p	jg22534, jg21879
OG0003887	Roisl.0046s1199.1.p	jg15139
OG0003889	Roisl.0091s0780.1.p	jg28863
OG0003890	Roisl.0041s0063.1.p, Roisl.0027s0119.1.p	jg14281
OG0003891	Roisl.0091s1176.1.p	jg29252
OG0003892	Roisl.0091s1187.1.p	jg29263, jg29262
OG0003893	Roisl.0091s1222.1.p	jg29302
OG0003894	Roisl.0091s1238.1.p	jg32982
OG0003895	Roisl.0010s0117.1.p, Roisl.0021s0334.1.p	jg29687
OG0003896	Roisl.0007s0309.1.p	jg30350
OG0003897	Roisl.0007s0260.1.p	jg30394
OG0003898	Roisl.0007s0236.1.p	jg30423
OG0003899	Roisl.0007s0202.1.p, Roisl.0213s0166.1.p	jg30452
OG0003900	Roisl.0191s0631.1.p, Roisl.0012s0372.1.p	jg8079
OG0003901	Roisl.0010s0042.1.p	jg660, jg652, jg656, jg662
OG0003902	Roisl.0209s0745.1.p	jg858
OG0003903	Roisl.0214s0783.1.p	jg1211
OG0003903	Roisl.0214s0782.1.p	jg1209
OG0003905	Roisl.0005s0015.1.p	jg20271
OG0003906	Roisl.0063s0009.1.p	jg16496, jg16499
OG0003907	Roisl.0209s0415.1.p	jg14505
OG0003908	Roisl.0001s0273.1.p, Roisl.0001s0239.1.p	jg8682
OG0003909	Roisl.0001s0094.1.p	jg8866
OG0003910	Roisl.0001s0031.1.p	jg8923
OG0003910	Roisl.0001s0030.1.p	jg8924
OG0003911	Roisl.0003s0129.1.p	jg9286
OG0003912	Roisl.0191s0162.1.p	jg30889
OG0003913	Roisl.0022s0457.1.p	jg9652
OG0003914	Roisl.0038s0009.1.p	jg16969
OG0003915	Roisl.0157s0001.1.p	jg28911
OG0003915	Roisl.0059s0012.1.p	jg28910
OG0003915	Roisl.0069s0002.1.p	jg259
OG0003916	Roisl.0213s0130.1.p	jg31391
OG0003917	Roisl.0032s0064.1.p	jg7242
OG0003917	Roisl.0046s0057.1.p	jg32212
OG0003920	Roisl.0209s0192.1.p, Roisl.0013s0174.1.p, Roisl.0021s0590.1.p, Roisl.0046s0585.1.p	jg16679
OG0003922	Roisl.0184s0234.1.p, Roisl.0184s0242.1.p, Roisl.0184s0230.1.p	jg13808
OG0003923	Roisl.0209s0439.1.p	jg14521
OG0003924	Roisl.0008s0024.1.p	jg4485
OG0003925	Roisl.0080s0186.1.p	jg23023
OG0003925	Roisl.0210s0556.1.p	jg4661
OG0003926	Roisl.0080s0680.1.p	jg22513, jg22512, jg23259, jg23340, jg23345
OG0003927	Roisl.0210s1371.1.p	jg5500
OG0003929	Roisl.0214s0837.1.p	jg7175
OG0003930	Roisl.0012s0350.1.p	jg20649
OG0003931	Roisl.0189s0226.1.p	jg21820
OG0003941	Roisl.0210s1225.1.p	jg5348
OG0003943	Roisl.0210s1070.1.p	jg5184, jg5207
OG0003945	Roisl.0046s0284.1.p	jg6497
OG0003946	Roisl.0019s0569.1.p	jg2560, jg27086
OG0003947	Roisl.0003s0212.1.p	jg9200
OG0003948	Roisl.0210s0843.1.p	jg4954
OG0003949	Roisl.0046s0405.1.p	jg6653
OG0003950	Roisl.0210s0569.1.p	jg4671
OG0003951	Roisl.0210s1979.1.p	jg6159
OG0003952	Roisl.0210s0558.1.p	jg4663
OG0003953	Roisl.0080s0103.1.p	jg23097
OG0003954	Roisl.0022s0128.1.p	jg9987
OG0003955	Roisl.0022s0113.1.p	jg10007
OG0003956	Roisl.0204s0060.1.p	jg17667
OG0003957	Roisl.0204s0055.1.p	jg17674
OG0003958	Roisl.0033s0026.1.p	jg18046
OG0003959	Roisl.0028s0739.1.p	jg18440
OG0003960	Roisl.0210s0360.1.p	jg28742
OG0003961	Roisl.0022s0156.1.p	jg9956
OG0003962	Roisl.0213s0212.1.p	jg31485, jg31488, jg31493
OG0003963	Roisl.0028s0818.1.p	jg8075, jg22196
OG0003964	Roisl.0046s1539.1.p	jg15487
OG0003965	Roisl.0184s0079.1.p	jg1448
OG0003966	Roisl.0024s0451.1.p	jg23569
OG0003967	Roisl.0053s0048.1.p, Roisl.0024s0292.1.p	jg23403
OG0003968	Roisl.0024s0249.1.p	jg23346
OG0003970	Roisl.0080s0097.1.p	jg23102
OG0003971	Roisl.0018s0318.1.p, Roisl.0184s0218.1.p	jg16861, jg1560
OG0003972	Roisl.0080s0139.1.p	jg23061, jg23063
OG0003973	Roisl.0080s0160.1.p	jg23043
OG0003974	Roisl.0210s2022.1.p	jg16943, jg6203
OG0003975	Roisl.0046s0811.1.p	jg14712
OG0003976	Roisl.0046s0247.1.p	jg6451
OG0003977	Roisl.0046s0271.1.p	jg6486
OG0003978	Roisl.0021s0250.1.p	jg29608
OG0003979	Roisl.0080s0237.1.p	jg22977, jg14300
OG0003980	Roisl.0080s0243.1.p	jg22969
OG0003981	Roisl.0011s0438.1.p	jg13351, jg13355
OG0003982	Roisl.0080s0394.1.p	jg22819
OG0003983	Roisl.0080s0409.1.p	jg22794
OG0003984	Roisl.0080s0437.1.p	jg22768
OG0003985	Roisl.0080s0548.1.p, Roisl.0080s0547.1.p	jg22653
OG0003986	Roisl.0080s0703.1.p	jg22473
OG0003987	Roisl.0046s0824.1.p	jg7191, jg14727
OG0003988	Roisl.0052s0016.1.p	jg22226, jg22224
OG0003989	Roisl.0210s0436.1.p	jg4526, jg4527
OG0003990	Roisl.0031s0100.1.p	jg22047, jg22046
OG0003991	Roisl.0019s0208.1.p	jg2592, jg4281
OG0003993	Roisl.0030s0185.1.p	jg4208
OG0003994	Roisl.0016s0064.1.p, Roisl.0030s0059.1.p	jg4076
OG0003995	Roisl.0034s0135.1.p	jg3966
OG0003996	Roisl.0034s0134.1.p	jg3964
OG0003997	Roisl.0009s0118.1.p	jg12729
OG0003998	Roisl.0074s0988.1.p	jg24971
OG0003999	Roisl.0209s0676.1.p	jg788
OG0003999	Roisl.0115s0120.1.p	jg3687
OG0004000	Roisl.0004s0247.1.p	jg3305
OG0004001	Roisl.0004s0258.1.p	jg3293
OG0004002	Roisl.0004s0300.1.p	jg3248
OG0004004	Roisl.0006s0451.1.p	jg33598
OG0004005	Roisl.0007s0772.1.p	jg33791, jg33793, jg33790, jg33789
OG0004006	Roisl.0021s0507.1.p	jg33764
OG0004007	Roisl.0021s0549.1.p	jg33702, jg33703, jg33701
OG0004008	Roisl.0006s0533.1.p	jg33684
OG0004008	Roisl.0006s0532.1.p	jg33683
OG0004009	Roisl.0179s0082.1.p	jg32601
OG0004010	Roisl.0006s0453.1.p	jg30250, jg33600
OG0004011	Roisl.0054s0013.1.p	jg18771
OG0004012	Roisl.0012s0226.1.p, Roisl.0031s0076.1.p	jg22028
OG0004013	Roisl.0075s0192.1.p	jg11329
OG0004014	Roisl.0002s0260.1.p	jg11287, jg11285
OG0004015	Roisl.0002s0111.1.p, Roisl.0002s0113.1.p	jg11124
OG0004016	Roisl.0019s0137.1.p, Roisl.0019s0136.1.p	jg2985, jg2984
OG0004017	Roisl.0004s0474.1.p	jg3083
OG0004018	Roisl.0194s0047.1.p	jg460, jg27475
OG0004020	Roisl.0011s0515.1.p	jg13449
OG0004021	Roisl.0091s0155.1.p	jg10388
OG0004022	Roisl.0005s0297.1.p	jg20535
OG0004023	Roisl.0115s0294.1.p	jg26129
OG0004024	Roisl.0115s0295.1.p	jg26130
OG0004024	Roisl.0006s0084.1.p	jg33157
OG0004025	Roisl.0028s0911.1.p	jg18614
OG0004026	Roisl.0028s0927.1.p	jg18628
OG0004027	Roisl.0005s0173.1.p	jg20426
OG0004028	Roisl.0007s0538.1.p	jg30085
OG0004029	Roisl.0091s0066.1.p	jg10275
OG0004029	Roisl.0209s0242.1.p	jg7648
OG0004030	Roisl.0082s0078.1.p	jg1912, jg32449, jg32458
OG0004031	Roisl.0191s0686.1.p	jg21616
OG0004032	Roisl.0091s0301.1.p	jg10563
OG0004033	Roisl.0012s0316.1.p, Roisl.0091s0278.1.p	jg10540
OG0004034	Roisl.0091s0163.1.p	jg10396
OG0004036	Roisl.0074s0127.1.p	jg25931
OG0004037	Roisl.0002s0020.1.p	jg11003
OG0004038	Roisl.0091s0654.1.p, Roisl.0091s0655.1.p	jg12326, jg10952
OG0004039	Roisl.0016s0077.1.p	jg21502, jg23956
OG0004040	Roisl.0023s0088.1.p	jg23739, jg17130
OG0004041	Roisl.0018s0411.1.p	jg16343
OG0004042	Roisl.0018s0314.1.p	jg16250
OG0004043	Roisl.0003s0334.1.p	jg9088
OG0004044	Roisl.0018s0265.1.p	jg26976, jg16200
OG0004045	Roisl.0018s0260.1.p	jg11134, jg16193
OG0004046	Roisl.0018s0069.1.p	jg16003
OG0004047	Roisl.0026s0157.1.p	jg15750
OG0004048	Roisl.0011s0024.1.p	jg12921
OG0004049	Roisl.0026s0189.1.p	jg15677
OG0004050	Roisl.0046s1667.1.p, Roisl.0046s1666.1.p	jg32133, jg32129
OG0004051	Roisl.0046s1398.1.p, Roisl.0046s1399.1.p	jg15360
OG0004052	Roisl.0046s1336.1.p	jg15291
OG0004053	Roisl.0046s1330.1.p	jg15284
OG0004054	Roisl.0053s0184.1.p, Roisl.0053s0183.1.p	jg26820
OG0004055	Roisl.0021s0520.1.p	jg33750
OG0004056	Roisl.0019s0311.1.p	jg2834
OG0004058	Roisl.0028s0584.1.p	jg19311
OG0004059	Roisl.0053s0202.1.p	jg26827, jg26795
OG0004059	Roisl.0053s0203.1.p	jg26797
OG0004060	Roisl.0051s0018.1.p	jg16928
OG0004061	Roisl.0022s0104.1.p	jg10019
OG0004062	Roisl.0013s0029.1.p	jg33017
OG0004063	Roisl.0193s0007.1.p	jg32068
OG0004064	Roisl.0020s0073.1.p, Roisl.0020s0075.1.p	jg7344
OG0004066	Roisl.0210s1650.1.p	jg5792
OG0004066	Roisl.0039s0140.1.p	jg24530
OG0004068	Roisl.0039s0026.1.p	jg24400
OG0004069	Roisl.0067s0078.1.p	jg20152
OG0004070	Roisl.0035s0094.1.p	jg20052
OG0004071	Roisl.0045s0075.1.p	jg27568, jg27569
OG0004072	Roisl.0028s0130.1.p	jg19814, jg19813
OG0004073	Roisl.0028s0231.1.p	jg19705
OG0004074	Roisl.0007s0423.1.p	jg30228
OG0004074	Roisl.0028s0386.1.p	jg19535
OG0004076	Roisl.0016s0244.1.p	jg24138
OG0004077	Roisl.0016s0277.1.p	jg24183
OG0004078	Roisl.0016s0336.1.p	jg5662, jg24258
OG0004079	Roisl.0016s0385.1.p	jg24320
OG0004081	Roisl.0039s0016.1.p	jg24388
OG0004082	Roisl.0039s0023.1.p	jg24395
OG0004083	Roisl.0039s0045.1.p	jg24421
OG0004084	Roisl.0039s0128.1.p	jg24518
OG0004085	Roisl.0039s0148.1.p	jg16606, jg24538
OG0004086	Roisl.0079s0122.1.p	jg24681
OG0004087	Roisl.0074s0718.1.p	jg25245
OG0004088	Roisl.0074s0644.1.p	jg25328
OG0004089	Roisl.0074s0546.1.p, Roisl.0074s0548.1.p	jg25432
OG0004090	Roisl.0074s0433.1.p	jg12085, jg12054, jg25561
OG0004091	Roisl.0074s0347.1.p	jg25643
OG0004092	Roisl.0074s0228.1.p	jg25800
OG0004093	Roisl.0074s0141.1.p	jg25916
OG0004094	Roisl.0115s0288.1.p	jg26122
OG0004095	Roisl.0036s0057.1.p, Roisl.0036s0078.1.p	jg21504, jg21535
OG0004096	Roisl.0184s0222.1.p	jg13788, jg13786
OG0004098	Roisl.0053s0328.1.p	jg26610
OG0004099	Roisl.0053s0349.1.p	jg26591
OG0004100	Roisl.0115s0637.1.p	jg26520
OG0004101	Roisl.0115s0636.1.p	jg26519
OG0004102	Roisl.0115s0502.1.p, Roisl.0115s0503.1.p, Roisl.0115s0501.1.p	jg26348
OG0004103	Roisl.0019s0599.1.p, Roisl.0019s0626.1.p	jg2498
OG0004104	Roisl.0198s0002.1.p	jg21592, jg21593
OG0004104	Roisl.0209s0677.1.p	jg14640
OG0004105	Roisl.0046s0493.1.p	jg6871
OG0004106	Roisl.0015s0042.1.p	jg8218
OG0004107	Roisl.0020s0180.1.p, Roisl.0210s0101.1.p	jg28490, jg33286
OG0004109	Roisl.0091s0901.1.p	jg28984
OG0004110	Roisl.0091s1061.1.p	jg29121, jg29138
OG0004111	Roisl.0089s0003.1.p	jg1469, jg29258
OG0004113	Roisl.0021s0183.1.p	jg29517
OG0004114	Roisl.0010s0115.1.p	jg604
OG0004114	Roisl.0021s0337.1.p	jg29690
OG0004115	Roisl.0007s0661.1.p	jg29960
OG0004116	Roisl.0007s0344.1.p	jg30311
OG0004117	Roisl.0007s0329.1.p	jg30330
OG0004118	Roisl.0019s0297.1.p	jg2846
OG0004119	Roisl.0076s0005.1.p	jg21621, jg21620
OG0004120	Roisl.0019s0369.1.p	jg2777
OG0004121	Roisl.0019s0507.1.p	jg30963
OG0004122	Roisl.0021s0363.1.p	jg29728
OG0004122	Roisl.0010s0128.1.p	jg576
OG0004124	Roisl.0050s0070.1.p	jg412
OG0004125	Roisl.0082s0304.1.p, Roisl.0012s0291.1.p, Roisl.0185s0023.1.p	jg7808, jg7816
OG0004126	Roisl.0012s0301.1.p	jg27613
OG0004127	Roisl.0037s0030.1.p	jg14139, jg14137
OG0004128	Roisl.0082s0262.1.p	jg7764
OG0004129	Roisl.0013s0130.1.p	jg32897
OG0004130	Roisl.0001s0378.1.p	jg8586
OG0004131	Roisl.0001s0252.1.p	jg8705
OG0004132	Roisl.0001s0213.1.p	jg8745
OG0004133	Roisl.0008s0322.1.p	jg8993
OG0004134	Roisl.0053s0296.1.p	jg26654
OG0004135	Roisl.0053s0276.1.p	jg26680
OG0004136	Roisl.0191s0494.1.p	jg8182
OG0004137	Roisl.0031s0045.1.p	jg21991
OG0004138	Roisl.0191s0264.1.p	jg30989
OG0004138	Roisl.0191s0263.1.p	jg30988
OG0004139	Roisl.0048s0001.1.p	jg14092, jg7316, jg12165, jg27198, jg32633, jg1318, jg17388, jg32425, jg14924, jg14341, jg32323, jg1179, jg13579, jg17245, jg1951, jg20609, jg17124, jg1473, jg27703, jg17364, jg32062, jg11548
OG0004141	Roisl.0194s0021.1.p, Roisl.0194s0009.1.p	jg1525, jg1529
OG0004142	Roisl.0066s0258.1.p	jg7263, jg26695
OG0004144	Roisl.0038s0048.1.p	jg27146, jg27142, jg27151
OG0004145	Roisl.0083s0023.1.p	jg27297, jg11890, jg13849, jg6933, jg6846, jg6926, jg6929, jg11807, jg8258, jg6930, jg6927, jg6924, jg6923, jg6931, jg27296, jg27295, jg6936, jg6937
OG0004146	Roisl.0082s0665.1.p, Roisl.0091s1036.1.p	jg17871
OG0004147	Roisl.0017s0443.1.p	jg18277
OG0004147	Roisl.0082s0731.1.p	jg14010
OG0004148	Roisl.0011s0023.1.p	jg12920
OG0004149	Roisl.0025s0010.1.p	jg13547, jg13600
OG0004150	Roisl.0006s0547.1.p, Roisl.0018s0202.1.p	jg16136
OG0004152	Roisl.0020s0001.1.p	jg7121
OG0004153	Roisl.0022s0392.1.p	jg9723
OG0004155	Roisl.0024s0200.1.p	jg23295
OG0004155	Roisl.0024s0201.1.p	jg23296
OG0004165	Roisl.0021s0575.1.p	jg16853
OG0004166	Roisl.0003s0064.1.p	jg9357
OG0004167	Roisl.0003s0070.1.p	jg9351
OG0004168	Roisl.0024s0196.1.p	jg23290
OG0004169	Roisl.0210s1432.1.p	jg5568
OG0004170	Roisl.0210s1388.1.p	jg5514
OG0004173	Roisl.0210s1298.1.p	jg5426
OG0004174	Roisl.0210s1219.1.p	jg5341
OG0004175	Roisl.0210s1213.1.p	jg5336
OG0004176	Roisl.0210s1203.1.p	jg5322, jg5324
OG0004177	Roisl.0191s0195.1.p	jg30928
OG0004178	Roisl.0210s1103.1.p	jg5217
OG0004179	Roisl.0016s0389.1.p, Roisl.0075s0115.1.p	jg21894, jg21895, jg21893
OG0004181	Roisl.0188s0071.1.p	jg13715
OG0004182	Roisl.0046s0181.1.p	jg6376
OG0004183	Roisl.0210s0643.1.p, Roisl.0063s0001.1.p	jg1325, jg1328, jg4751
OG0004184	Roisl.0210s0590.1.p	jg4693
OG0004185	Roisl.0210s0584.1.p	jg4467, jg4482, jg4686
OG0004186	Roisl.0022s0129.1.p	jg9986, jg723
OG0004187	Roisl.0010s0035.1.p	jg17473, jg17474
OG0004188	Roisl.0209s0514.1.p	jg17560
OG0004189	Roisl.0204s0113.1.p	jg17626
OG0004190	Roisl.0204s0066.1.p	jg17661, jg20921
OG0004191	Roisl.0082s0605.1.p, Roisl.0082s0608.1.p	jg17812
OG0004192	Roisl.0033s0054.1.p	jg18077
