Orthogroup	Rorippa_islandica	Cardamine_glauca
OG0001581	Roisl.0070s0013.1.p	Cg001G0363400
OG0001582	Roisl.0028s0621.1.p	Cg005G1609200
OG0001582	Roisl.0091s0774.1.p	Cg006G2213800
OG0001583	Roisl.0021s0173.1.p	Cg006G2153400
OG0001583	Roisl.0214s0536.1.p	Cg007G2299000
OG0001584	Roisl.0007s0647.1.p	Cg006G2114700
OG0001584	Roisl.0011s0068.1.p	Cg002G0690900
OG0001585	Roisl.0191s0089.1.p	Cg006G2041100
OG0001585	Roisl.0036s0100.1.p	Cg008G2903100, Cg008G2903000
OG0001585	Roisl.0191s0090.1.p	Cg006G2041000
OG0001586	Roisl.0011s0313.1.p	Cg002G0672400
OG0001587	Roisl.0191s0165.1.p	Cg006G2033400
OG0001587	Roisl.0019s0465.1.p	Cg007G2476900
OG0001588	Roisl.0050s0065.1.p	Cg007G2261800
OG0001588	Roisl.0009s0031.1.p	Cg001G0391100
OG0001589	Roisl.0025s0041.1.p	Cg002G0631700
OG0001589	Roisl.0025s0042.1.p	Cg002G0631900, Cg002G0631800
OG0001591	Roisl.0046s0597.1.p	Cg005G1764800
OG0001591	Roisl.0074s0517.1.p	Cg004G1206700
OG0001591	Roisl.0001s0455.1.p	Cg001G0019000
OG0001592	Roisl.0001s0002.1.p	Cg001G0060100
OG0001592	Roisl.0008s0366.1.p	Cg001G0060200
OG0001593	Roisl.0021s0448.1.p	Cg006G2128600
OG0001593	Roisl.0011s0319.1.p	Cg002G0672200
OG0001594	Roisl.0019s0502.1.p	Cg007G2473300
OG0001595	Roisl.0022s0056.1.p	Cg007G2403200
OG0001597	Roisl.0210s0963.1.p	Cg008G2691000
OG0001598	Roisl.0210s0542.1.p	Cg008G2651800
OG0001598	Roisl.0080s0151.1.p	Cg003G1001500
OG0001598	Roisl.0080s0150.1.p	Cg003G1001600
OG0001603	Roisl.0046s0767.1.p	Cg002G0543200
OG0001604	Roisl.0046s0728.1.p	Cg002G0545800
OG0001605	Roisl.0009s0200.1.p, Roisl.0009s0201.1.p	Cg001G0328100, Cg001G0343200, Cg001G0328800, Cg001G0343000, Cg001G0328500, Cg001G0329000
OG0001606	Roisl.0210s1416.1.p	Cg008G2735700
OG0001606	Roisl.0016s0251.1.p	Cg004G1093300
OG0001607	Roisl.0016s0240.1.p	Cg004G1092200
OG0001607	Roisl.0210s1394.1.p	Cg008G2733100
OG0001608	Roisl.0115s0389.1.p	Cg004G1273200
OG0001609	Roisl.0210s1305.1.p	Cg008G2725100
OG0001609	Roisl.0016s0185.1.p	Cg004G1086500
OG0001610	Roisl.0015s0097.1.p, Roisl.0015s0099.1.p	Cg006G2001800
OG0001611	Roisl.0210s0973.1.p	Cg008G2692000
OG0001611	Roisl.0210s1662.1.p	Cg008G2759700
OG0001612	Roisl.0210s1665.1.p	Cg008G2760000
OG0001612	Roisl.0210s0947.1.p	Cg008G2689100
OG0001613	Roisl.0210s0895.1.p	Cg008G2684400
OG0001613	Roisl.0046s0278.1.p	Cg008G2816500, Cg008G2816100
OG0001614	Roisl.0024s0387.1.p	Cg003G1044100
OG0001614	Roisl.0210s0745.1.p	Cg008G2669600
OG0001615	Roisl.0046s0609.1.p	Cg005G1766000
OG0001615	Roisl.0210s0744.1.p	Cg008G2669500
OG0001616	Roisl.0210s0683.1.p	Cg008G2663900
OG0001616	Roisl.0024s0340.1.p	Cg003G1037200
OG0001617	Roisl.0210s0632.1.p	Cg008G2659600
OG0001617	Roisl.0024s0262.1.p	Cg003G1029100
OG0001618	Roisl.0210s1974.1.p	Cg008G2788100
OG0001618	Roisl.0210s0562.1.p	Cg008G2653800
OG0001619	Roisl.0082s0366.1.p	Cg003G0869300, Cg003G0728500
OG0001619	Roisl.0210s0280.1.p	Cg006G2232200
OG0001620	Roisl.0091s1035.1.p	Cg006G2188400
OG0001620	Roisl.0082s0669.1.p	Cg005G1645200
OG0001621	Roisl.0033s0012.1.p	Cg005G1634000
OG0001621	Roisl.0091s0988.1.p	Cg006G2192800
OG0001622	Roisl.0091s0976.1.p	Cg006G2194100
OG0001622	Roisl.0033s0027.1.p	Cg005G1632200
OG0001623	Roisl.0033s0062.1.p	Cg005G1628100
OG0001623	Roisl.0091s0952.1.p	Cg006G2196900
OG0001624	Roisl.0033s0160.1.p	Cg005G1623800
OG0001624	Roisl.0091s0922.1.p	Cg006G2199700
OG0001625	Roisl.0017s0483.1.p	Cg005G1615300
OG0001625	Roisl.0091s0831.1.p	Cg006G2208600
OG0001626	Roisl.0091s0703.1.p	Cg005G1601100, Cg006G2220400
OG0001627	Roisl.0210s0388.1.p	Cg006G2221700
OG0001627	Roisl.0028s0731.1.p	Cg005G1599500
OG0001628	Roisl.0210s0342.1.p	Cg006G2226300
OG0001628	Roisl.0012s0206.1.p	Cg008G2937300
OG0001629	Roisl.0082s0319.1.p	Cg003G0865300, Cg003G0733100
OG0001629	Roisl.0210s0303.1.p	Cg006G2230400
OG0001630	Roisl.0022s0222.1.p	Cg001G0146200
OG0001630	Roisl.0031s0023.1.p	Cg003G0908900
OG0001631	Roisl.0012s0058.1.p	Cg008G2924800
OG0001631	Roisl.0213s0036.1.p	Cg006G1998500
OG0001632	Roisl.0028s0798.1.p	Cg005G1593200
OG0001632	Roisl.0213s0117.1.p	Cg006G1989700
OG0001633	Roisl.0080s0081.1.p	Cg003G1007700
OG0001633	Roisl.0080s0078.1.p	Cg003G1008000
OG0001634	Roisl.0080s0132.1.p	Cg003G1003100
OG0001634	Roisl.0007s0767.1.p	Cg006G2125100
OG0001635	Roisl.0046s0801.1.p	Cg002G0539900
OG0001636	Roisl.0046s0891.1.p	Cg002G0532600
OG0001637	Roisl.0210s1671.1.p	Cg008G2760700
OG0001638	Roisl.0210s1723.1.p	Cg007G2269200
OG0001638	Roisl.0210s1722.1.p	Cg008G2765200
OG0001639	Roisl.0080s0631.1.p	Cg003G0956900
OG0001640	Roisl.0022s0329.1.p	Cg001G0136200
OG0001640	Roisl.0080s0784.1.p	Cg003G0943500
OG0001641	Roisl.0080s0815.1.p	Cg003G0940400
OG0001642	Roisl.0080s0834.1.p	Cg003G0939000
OG0001643	Roisl.0022s0396.1.p	Cg001G0129800
OG0001643	Roisl.0052s0025.1.p	Cg003G0928000
OG0001644	Roisl.0074s0834.1.p	Cg004G1177200
OG0001645	Roisl.0074s0862.1.p	Cg004G1174300
OG0001645	Roisl.0042s0053.1.p	Cg008G2633100
OG0001646	Roisl.0042s0105.1.p	Cg008G2627800
OG0001646	Roisl.0074s0887.1.p	Cg004G1171900
OG0001647	Roisl.0026s0180.1.p	Cg002G0452600
OG0001647	Roisl.0030s0128.1.p	Cg008G2611900
OG0001648	Roisl.0009s0153.1.p	Cg001G0380100
OG0001648	Roisl.0011s0521.1.p	Cg002G0653100
OG0001649	Roisl.0009s0138.1.p	Cg001G0381500
OG0001649	Roisl.0011s0508.1.p	Cg002G0655200
OG0001650	Roisl.0009s0087.1.p	Cg001G0386800
OG0001650	Roisl.0010s0205.1.p	Cg007G2266000
OG0001651	Roisl.0007s0511.1.p	Cg006G2102000
OG0001651	Roisl.0115s0163.1.p	Cg007G2567200
OG0001652	Roisl.0115s0194.1.p	Cg007G2564600
OG0001652	Roisl.0115s0195.1.p	Cg007G2564500
OG0001653	Roisl.0007s0489.1.p	Cg006G2099800
OG0001653	Roisl.0115s0203.1.p	Cg007G2563700
OG0001654	Roisl.0213s0490.1.p	Cg006G1953100
OG0001654	Roisl.0213s0486.1.p	Cg006G1953300
OG0001654	Roisl.0213s0460.1.p, Roisl.0213s0487.1.p	Cg005G1646100
OG0001655	Roisl.0022s0048.1.p	Cg007G2402900
OG0001656	Roisl.0004s0243.1.p	Cg007G2536100
OG0001656	Roisl.0007s0045.1.p	Cg006G2057700
OG0001657	Roisl.0001s0157.1.p	Cg001G0046600
OG0001657	Roisl.0066s0200.1.p	Cg004G1409900
OG0001658	Roisl.0066s0136.1.p	Cg004G1414600
OG0001658	Roisl.0001s0227.1.p	Cg001G0039700
OG0001659	Roisl.0007s0806.1.p	Cg006G1780300
OG0001659	Roisl.0074s0732.1.p	Cg004G1186500
OG0001660	Roisl.0006s0459.1.p	Cg006G1796700
OG0001660	Roisl.0074s0532.1.p	Cg004G1205400
OG0001661	Roisl.0074s0428.1.p	Cg004G1216800
OG0001662	Roisl.0028s1024.1.p	Cg005G1573700
OG0001662	Roisl.0046s1215.1.p	Cg002G0503800
OG0001663	Roisl.0028s1061.1.p	Cg005G1570500
OG0001663	Roisl.0046s1249.1.p	Cg002G0500600
OG0001664	Roisl.0054s0028.1.p	Cg005G1568300
OG0001664	Roisl.0046s1270.1.p	Cg002G0497900
OG0001665	Roisl.0046s1271.1.p	Cg002G0497800
OG0001665	Roisl.0054s0029.1.p	Cg005G1568200
OG0001666	Roisl.0002s0251.1.p	Cg001G0261800
OG0001666	Roisl.0115s0628.1.p	Cg004G1294500
OG0001667	Roisl.0002s0101.1.p	Cg001G0247900
OG0001667	Roisl.0074s0288.1.p	Cg004G1230400
OG0001668	Roisl.0002s0088.1.p	Cg001G0246700
OG0001669	Roisl.0002s0082.1.p	Cg001G0246200
OG0001669	Roisl.0002s0081.1.p	Cg001G0246100
OG0001670	Roisl.0004s0503.1.p	Cg007G2511000
OG0001670	Roisl.0004s0502.1.p	Cg007G2511100
OG0001671	Roisl.0025s0081.1.p	Cg002G0636600
OG0001671	Roisl.0009s0249.1.p	Cg001G0371900
OG0001672	Roisl.0011s0437.1.p	Cg002G0661000
OG0001672	Roisl.0021s0385.1.p	Cg006G2134200
OG0001673	Roisl.0011s0369.1.p	Cg002G0667800
OG0001673	Roisl.0021s0441.1.p	Cg006G2129300
OG0001674	Roisl.0028s0021.1.p	Cg004G1261100
OG0001674	Roisl.0006s0050.1.p	Cg006G1833800
OG0001675	Roisl.0115s0309.1.p	Cg004G1265700
OG0001676	Roisl.0115s0439.1.p	Cg004G1277700
OG0001677	Roisl.0074s0295.1.p	Cg004G1229600
OG0001677	Roisl.0006s0257.1.p	Cg006G1815200
OG0001679	Roisl.0006s0333.1.p	Cg006G1807900
OG0001679	Roisl.0074s0389.1.p	Cg004G1220800
OG0001680	Roisl.0032s0003.1.p, Roisl.0032s0005.1.p, Roisl.0032s0004.1.p	Cg001G0343600, Cg001G0343700
OG0001681	Roisl.0091s0569.1.p	Cg001G0226500
OG0001681	Roisl.0005s0066.1.p	Cg008G2980600
OG0001682	Roisl.0005s0065.1.p	Cg008G2980700, Cg006G1920400
OG0001682	Roisl.0091s0571.1.p	Cg001G0226700
OG0001683	Roisl.0066s0312.1.p	Cg004G1401500
OG0001683	Roisl.0001s0104.1.p	Cg001G0051800
OG0001684	Roisl.0066s0285.1.p	Cg004G1402600
OG0001684	Roisl.0001s0110.1.p	Cg001G0051100
OG0001685	Roisl.0082s0194.1.p	Cg003G0744700
OG0001685	Roisl.0091s0107.1.p	Cg001G0182500
OG0001686	Roisl.0091s0109.1.p	Cg001G0182700
OG0001686	Roisl.0082s0197.1.p, Roisl.0082s0238.1.p	Cg003G0743800
OG0001687	Roisl.0091s0144.1.p	Cg001G0185700
OG0001687	Roisl.0082s0233.1.p	Cg003G0857800, Cg003G0739900
OG0001688	Roisl.0001s0542.1.p	Cg004G1323200
OG0001688	Roisl.0001s0540.1.p, Roisl.0001s0541.1.p	Cg004G1323600
OG0001689	Roisl.0210s2093.1.p	Cg006G1911400
OG0001689	Roisl.0060s0020.1.p	Cg003G0787000
OG0001690	Roisl.0018s0441.1.p	Cg002G0400500
OG0001690	Roisl.0067s0012.1.p, Roisl.0213s0181.1.p	Cg005G1449000
OG0001691	Roisl.0018s0421.1.p	Cg002G0402300
OG0001691	Roisl.0067s0054.1.p	Cg005G1452900
OG0001692	Roisl.0018s0403.1.p	Cg002G0403700
OG0001692	Roisl.0115s0401.1.p, Roisl.0067s0039.1.p	Cg005G1451400
OG0001693	Roisl.0035s0041.1.p	Cg005G1459200
OG0001693	Roisl.0018s0339.1.p	Cg002G0408800
OG0001694	Roisl.0213s0795.1.p	Cg001G0352500, Cg001G0352800, Cg001G0352700, Cg001G0352300, Cg001G0352400
OG0001694	Roisl.0213s0851.1.p	Cg001G0358200
OG0001694	Roisl.0017s0354.1.p	Cg005G1591500, Cg005G1534200
OG0001695	Roisl.0018s0140.1.p	Cg002G0425500
OG0001695	Roisl.0028s0108.1.p	Cg005G1482000
OG0001696	Roisl.0018s0139.1.p	Cg002G0425600
OG0001696	Roisl.0028s0120.1.p	Cg005G1482900
OG0001697	Roisl.0028s0288.1.p	Cg005G1497200
OG0001697	Roisl.0018s0050.1.p	Cg002G0433200
OG0001698	Roisl.0028s0332.1.p	Cg005G1501700
OG0001698	Roisl.0026s0007.1.p	Cg002G0437600
OG0001699	Roisl.0028s0391.1.p	Cg005G1507800
OG0001699	Roisl.0026s0108.1.p	Cg002G0446200
OG0001700	Roisl.0026s0201.1.p	Cg002G0454600
OG0001701	Roisl.0046s1439.1.p	Cg002G0481400
OG0001701	Roisl.0017s0250.1.p	Cg005G1543700
OG0001702	Roisl.0184s0088.1.p, Roisl.0210s0858.1.p, Roisl.0184s0086.1.p, Roisl.0184s0089.1.p	Cg003G0920900, Cg003G0920600
OG0001703	Roisl.0049s0001.1.p	Cg004G1330900
OG0001703	Roisl.0053s0058.1.p	Cg001G0313800
OG0001704	Roisl.0041s0055.1.p	Cg004G1358900
OG0001704	Roisl.0041s0038.1.p	Cg008G2913400
OG0001705	Roisl.0082s0187.1.p	Cg003G0745400, Cg003G0745300
OG0001705	Roisl.0017s0379.1.p	Cg005G1532400
OG0001706	Roisl.0115s0670.1.p	Cg001G0011100
OG0001706	Roisl.0082s0112.1.p	Cg005G1772200
OG0001707	Roisl.0032s0053.1.p	Cg003G0795200
OG0001707	Roisl.0210s2112.1.p	Cg006G1910600
OG0001708	Roisl.0020s0067.1.p	Cg003G0777100
OG0001708	Roisl.0191s0117.1.p	Cg006G2038200
OG0001709	Roisl.0020s0132.1.p	Cg003G0772200
OG0001709	Roisl.0040s0108.1.p	Cg006G1939800
OG0001710	Roisl.0046s0320.1.p	Cg008G2820900
OG0001711	Roisl.0046s0421.1.p	Cg008G2830100
OG0001711	Roisl.0039s0035.1.p	Cg004G1112800
OG0001712	Roisl.0039s0024.1.p	Cg004G1111200
OG0001712	Roisl.0046s0435.1.p	Cg008G2831300
OG0001713	Roisl.0028s0255.1.p, Roisl.0028s0256.1.p	Cg005G1494700
OG0001714	Roisl.0016s0099.1.p	Cg004G1079500
OG0001715	Roisl.0016s0259.1.p	Cg004G1094100
OG0001715	Roisl.0016s0258.1.p	Cg004G1094000
OG0001716	Roisl.0091s1151.1.p	Cg006G2177400
OG0001716	Roisl.0016s0393.1.p	Cg004G1105600
OG0001717	Roisl.0074s0283.1.p	Cg004G1231400
OG0001717	Roisl.0039s0080.1.p	Cg004G1117100
OG0001719	Roisl.0079s0008.1.p	Cg004G1126200
OG0001719	Roisl.0210s1600.1.p	Cg008G2753400
OG0001720	Roisl.0079s0018.1.p, Roisl.0019s0122.1.p	Cg004G1127300
OG0001720	Roisl.0210s1571.1.p	Cg008G2750300
OG0001721	Roisl.0079s0024.1.p	Cg004G1127900
OG0001721	Roisl.0079s0027.1.p	Cg004G1128100
OG0001722	Roisl.0079s0055.1.p	Cg004G1131300
OG0001723	Roisl.0079s0087.1.p	Cg004G1134100
OG0001723	Roisl.0036s0026.1.p	Cg008G2865800, Cg008G2850300
OG0001724	Roisl.0184s0024.1.p	Cg003G0802000
OG0001724	Roisl.0079s0340.1.p	Cg004G1157200
OG0001725	Roisl.0021s0574.1.p	Cg005G1750900
OG0001725	Roisl.0074s0858.1.p	Cg004G1174700
OG0001726	Roisl.0074s0139.1.p	Cg004G1245300
OG0001726	Roisl.0013s0090.1.p	Cg006G1847100
OG0001727	Roisl.0074s0100.1.p	Cg004G1248900
OG0001727	Roisl.0013s0074.1.p	Cg006G1845100
OG0001728	Roisl.0022s0467.1.p	Cg001G0123000
OG0001728	Roisl.0031s0050.1.p	Cg003G0911300
OG0001729	Roisl.0046s1092.1.p	Cg002G0514400
OG0001729	Roisl.0046s1093.1.p	Cg002G0514300
OG0001730	Roisl.0210s0096.1.p	Cg006G2248500
OG0001730	Roisl.0191s0543.1.p	Cg014G3047400, Cg003G0708200
OG0001731	Roisl.0210s0100.1.p	Cg006G2248100
OG0001732	Roisl.0191s0597.1.p	Cg003G0713100, Cg014G3042800
OG0001732	Roisl.0210s0167.1.p	Cg006G2242200
OG0001733	Roisl.0210s0197.1.p	Cg006G2239500
OG0001733	Roisl.0191s0658.1.p	Cg003G0718900, Cg014G3037100
OG0001734	Roisl.0214s0774.1.p	Cg007G2320700
OG0001734	Roisl.0021s0021.1.p	Cg006G2165700
OG0001735	Roisl.0214s0537.1.p	Cg007G2298900
OG0001735	Roisl.0021s0172.1.p	Cg006G2153500
OG0001736	Roisl.0209s0727.1.p	Cg007G2292100
OG0001736	Roisl.0021s0193.1.p	Cg006G2151400
OG0001737	Roisl.0213s0294.1.p	Cg006G1971100
OG0001737	Roisl.0021s0280.1.p	Cg006G2143500
OG0001738	Roisl.0021s0301.1.p	Cg006G2141800
OG0001739	Roisl.0021s0405.1.p	Cg006G2132500
OG0001740	Roisl.0191s0144.1.p	Cg006G2035500
OG0001740	Roisl.0019s0436.1.p	Cg007G2479700
OG0001741	Roisl.0001s0426.1.p	Cg001G0021700
OG0001741	Roisl.0046s0335.1.p	Cg008G2822400
OG0001742	Roisl.0019s0478.1.p	Cg007G2475500
OG0001742	Roisl.0191s0175.1.p	Cg006G2032600
OG0001743	Roisl.0191s0214.1.p	Cg006G2028200
OG0001743	Roisl.0019s0503.1.p	Cg007G2473200
OG0001745	Roisl.0001s0491.1.p	Cg001G0015700
OG0001745	Roisl.0046s0619.1.p	Cg005G1767000
OG0001746	Roisl.0046s0596.1.p	Cg005G1764700
OG0001746	Roisl.0001s0450.1.p	Cg001G0019400
OG0001747	Roisl.0001s0388.1.p	Cg001G0026000
OG0001747	Roisl.0046s0521.1.p	Cg005G1758700
OG0001748	Roisl.0006s0091.1.p	Cg006G1830000
OG0001749	Roisl.0066s0325.1.p	Cg004G1400800
OG0001749	Roisl.0001s0082.1.p	Cg001G0053400
OG0001750	Roisl.0003s0177.1.p	Cg001G0087300
OG0001750	Roisl.0209s0512.1.p	Cg005G1681200
OG0001751	Roisl.0003s0114.1.p	Cg001G0092900
OG0001751	Roisl.0191s0305.1.p	Cg006G2021300
OG0001752	Roisl.0191s0217.1.p	Cg006G2028000
OG0001752	Roisl.0191s0218.1.p	Cg006G2027900
OG0001752	Roisl.0191s0215.1.p	Cg006G2028100
OG0001754	Roisl.0053s0145.1.p	Cg004G1396600
OG0001754	Roisl.0045s0002.1.p, Roisl.0053s0144.1.p	Cg004G1396400
OG0001755	Roisl.0027s0091.1.p	Cg002G0580900, Cg002G0581000
OG0001756	Roisl.0002s0197.1.p, Roisl.0002s0196.1.p	Cg001G0256300
OG0001756	Roisl.0002s0195.1.p	Cg001G0256200
OG0001761	Roisl.0023s0099.1.p, Roisl.0210s0147.1.p, Roisl.0002s0231.1.p, Roisl.0066s0055.1.p, Roisl.0204s0064.1.p, Roisl.0087s0023.1.p, Roisl.0015s0009.1.p, Roisl.0005s0369.1.p, Roisl.0012s0078.1.p, Roisl.0012s0077.1.p, Roisl.0011s0429.1.p, Roisl.0005s0370.1.p, Roisl.0075s0227.1.p, Roisl.0022s0007.1.p, Roisl.0012s0076.1.p, Roisl.0209s0486.1.p, Roisl.0015s0010.1.p, Roisl.0011s0229.1.p, Roisl.0011s0428.1.p, Roisl.0041s0010.1.p, Roisl.0075s0226.1.p, Roisl.0179s0088.1.p, Roisl.0055s0050.1.p, Roisl.0195s0014.1.p, Roisl.0022s0008.1.p, Roisl.0210s0148.1.p, Roisl.0047s0069.1.p, Roisl.0023s0100.1.p, Roisl.0066s0053.1.p, Roisl.0002s0232.1.p, Roisl.0204s0065.1.p, Roisl.0036s0094.1.p, Roisl.0091s0389.1.p, Roisl.0046s0115.1.p, Roisl.0214s0571.1.p, Roisl.0040s0046.1.p, Roisl.0046s0114.1.p, Roisl.0091s0388.1.p, Roisl.0048s0011.1.p, Roisl.0060s0022.1.p, Roisl.0047s0073.1.p, Roisl.0020s0077.1.p, Roisl.0184s0226.1.p, Roisl.0045s0001.1.p, Roisl.0045s0042.1.p, Roisl.0011s0119.1.p	Cg006G1884100
OG0001763	Roisl.0016s0285.1.p	Cg004G1096700
OG0001763	Roisl.0210s1454.1.p	Cg008G2739300
OG0001764	Roisl.0210s1375.1.p	Cg008G2731300
OG0001764	Roisl.0016s0227.1.p	Cg004G1091200
OG0001765	Roisl.0210s1341.1.p	Cg008G2728500
OG0001765	Roisl.0016s0209.1.p	Cg004G1089300
OG0001766	Roisl.0210s1333.1.p	Cg008G2727700
OG0001767	Roisl.0021s0221.1.p	Cg006G2149000
OG0001768	Roisl.0019s0504.1.p	Cg007G2473100
OG0001768	Roisl.0210s1189.1.p	Cg008G2712700
OG0001769	Roisl.0210s1139.1.p	Cg008G2707800
OG0001770	Roisl.0115s0099.1.p	Cg007G2572400
OG0001770	Roisl.0210s1121.1.p	Cg008G2705900
OG0001771	Roisl.0082s0429.1.p	Cg003G0723000, Cg014G3031700
OG0001771	Roisl.0213s0440.1.p	Cg006G1957400
OG0001772	Roisl.0210s0772.1.p	Cg008G2672700
OG0001772	Roisl.0024s0458.1.p	Cg003G1048200
OG0001773	Roisl.0024s0432.1.p	Cg003G1046000
OG0001773	Roisl.0210s0760.1.p	Cg008G2671300
OG0001774	Roisl.0210s0544.1.p	Cg008G2652000
OG0001774	Roisl.0080s0159.1.p	Cg003G1000600
OG0001775	Roisl.0210s0504.1.p	Cg008G2648400
OG0001775	Roisl.0080s0094.1.p	Cg003G1006500
OG0001776	Roisl.0210s0263.1.p	Cg006G2234100
OG0001776	Roisl.0082s0381.1.p	Cg003G0727400, Cg003G0870500
OG0001777	Roisl.0091s1028.1.p	Cg006G2189200
OG0001777	Roisl.0082s0696.1.p	Cg005G1642800
OG0001778	Roisl.0082s0727.1.p	Cg005G1640400
OG0001778	Roisl.0091s1015.1.p	Cg006G2190500
OG0001779	Roisl.0082s0750.1.p	Cg005G1638000
OG0001779	Roisl.0091s1008.1.p	Cg006G2191000
OG0001780	Roisl.0091s0970.1.p	Cg006G2194900
OG0001780	Roisl.0033s0033.1.p	Cg005G1631500
OG0001781	Roisl.0091s0886.1.p	Cg006G2203300
OG0001781	Roisl.0033s0117.1.p	Cg005G1620200
OG0001782	Roisl.0028s0714.1.p, Roisl.0028s0715.1.p	Cg005G1601200
OG0001783	Roisl.0012s0228.1.p	Cg008G2940800
OG0001783	Roisl.0210s0325.1.p	Cg006G2228100
OG0001784	Roisl.0022s0168.1.p	Cg001G0151300
OG0001784	Roisl.0189s0227.1.p	Cg003G0896600
OG0001785	Roisl.0189s0167.1.p	Cg003G0902700
OG0001785	Roisl.0022s0193.1.p	Cg001G0149100
OG0001786	Roisl.0022s0195.1.p	Cg001G0148900
OG0001787	Roisl.0214s0273.1.p	Cg008G2923000
OG0001787	Roisl.0179s0010.1.p	Cg006G1871500
OG0001788	Roisl.0214s0258.1.p	Cg008G2924300
OG0001789	Roisl.0213s0299.1.p	Cg006G1970700
OG0001789	Roisl.0028s0875.1.p	Cg005G1586300
OG0001790	Roisl.0024s0222.1.p	Cg003G1025000
OG0001791	Roisl.0024s0169.1.p	Cg003G1020800
OG0001791	Roisl.0074s0829.1.p	Cg003G0787200
OG0001792	Roisl.0024s0159.1.p, Roisl.0024s0158.1.p	Cg003G1019700, Cg003G1019600
OG0001793	Roisl.0015s0090.1.p	Cg006G2002700
OG0001793	Roisl.0015s0091.1.p	Cg006G2002600
OG0001795	Roisl.0046s0286.1.p	Cg004G1276000, Cg004G1275900
OG0001796	Roisl.0037s0042.1.p	Cg002G0593400
OG0001796	Roisl.0210s1874.1.p	Cg008G2779200
OG0001797	Roisl.0037s0028.1.p	Cg002G0591800
OG0001797	Roisl.0210s1882.1.p	Cg008G2780000
OG0001798	Roisl.0020s0157.1.p	Cg002G0576100
OG0001798	Roisl.0080s0228.1.p	Cg003G0995100
OG0001799	Roisl.0080s0280.1.p, Roisl.0080s0284.1.p	Cg003G0989400, Cg003G0989500
OG0001800	Roisl.0209s0388.1.p	Cg002G0559100
OG0001800	Roisl.0080s0371.1.p	Cg003G0981600
OG0001802	Roisl.0080s0743.1.p	Cg003G0947600
OG0001802	Roisl.0022s0321.1.p	Cg001G0136900
OG0001803	Roisl.0074s0827.1.p	Cg004G1177700
OG0001803	Roisl.0042s0015.1.p	Cg008G2636800
OG0001804	Roisl.0042s0102.1.p	Cg008G2628400
OG0001804	Roisl.0066s0023.1.p	Cg004G1424000
OG0001805	Roisl.0074s0961.1.p	Cg004G1164600
OG0001805	Roisl.0030s0179.1.p	Cg008G2617300
OG0001806	Roisl.0074s0998.1.p	Cg004G1161800
OG0001806	Roisl.0030s0145.1.p	Cg008G2613100
OG0001807	Roisl.0030s0141.1.p	Cg008G2612700
OG0001807	Roisl.0074s0999.1.p	Cg004G1161600
OG0001808	Roisl.0079s0337.1.p	Cg004G1157000
OG0001808	Roisl.0030s0038.1.p	Cg008G2603200
OG0001809	Roisl.0011s0524.1.p	Cg002G0652800
OG0001809	Roisl.0009s0154.1.p	Cg001G0380000
OG0001810	Roisl.0001s0254.1.p	Cg001G0037600
OG0001810	Roisl.0001s0255.1.p	Cg001G0037500
OG0001811	Roisl.0007s0416.1.p	Cg006G2093200
OG0001811	Roisl.0004s0049.1.p	Cg007G2555600
OG0001812	Roisl.0004s0202.1.p	Cg007G2540300
OG0001812	Roisl.0049s0038.1.p	Cg006G2053800
OG0001813	Roisl.0004s0208.1.p	Cg007G2539500
OG0001813	Roisl.0007s0006.1.p	Cg006G2054900
OG0001814	Roisl.0004s0220.1.p	Cg007G2538200
OG0001814	Roisl.0007s0020.1.p	Cg006G2055800
OG0001815	Roisl.0004s0284.1.p	Cg007G2532000
OG0001815	Roisl.0007s0101.1.p	Cg006G2062800
OG0001816	Roisl.0019s0298.1.p	Cg007G2490800
OG0001817	Roisl.0213s0818.1.p	Cg001G0353900
OG0001817	Roisl.0032s0001.1.p	Cg001G0347000, Cg001G0347600
OG0001817	Roisl.0032s0002.1.p	Cg001G0347400, Cg001G0346000, Cg001G0345900, Cg001G0344200
OG0001818	Roisl.0007s0192.1.p	Cg006G2071700
OG0001819	Roisl.0066s0188.1.p	Cg004G1411500
OG0001819	Roisl.0001s0169.1.p	Cg001G0045900
OG0001820	Roisl.0001s0226.1.p	Cg001G0039800
OG0001820	Roisl.0066s0137.1.p	Cg004G1414500
OG0001821	Roisl.0054s0019.1.p	Cg005G1569100
OG0001821	Roisl.0046s1267.1.p	Cg002G0498300
OG0001822	Roisl.0011s0426.1.p	Cg002G0662100
OG0001822	Roisl.0017s0016.1.p	Cg005G1566000
OG0001824	Roisl.0019s0187.1.p	Cg007G2500300
OG0001824	Roisl.0007s0357.1.p	Cg006G2087600
OG0001826	Roisl.0004s0467.1.p	Cg007G2514100
OG0001826	Roisl.0007s0263.1.p	Cg006G2078500
OG0001827	Roisl.0044s0066.1.p	Cg001G0110300
OG0001827	Roisl.0214s0385.1.p	Cg004G1435900
OG0001828	Roisl.0191s0336.1.p	Cg006G2018700
OG0001828	Roisl.0019s0584.1.p	Cg007G2465400
OG0001829	Roisl.0091s0480.1.p	Cg001G0218100
OG0001829	Roisl.0005s0201.1.p	Cg008G2969600
OG0001830	Roisl.0005s0305.1.p	Cg008G2961200
OG0001830	Roisl.0091s0394.1.p	Cg001G0209100
OG0001831	Roisl.0198s0048.1.p	Cg008G2842100
OG0001831	Roisl.0091s1010.1.p	Cg006G2190800
