Orthogroup	Rorippa_islandica	Alyssum_gmelinii
OG0001850	Roisl.0028s0105.1.p	Ag003G0334100
OG0001851	Roisl.0018s0130.1.p	Ag031G3226600
OG0001852	Roisl.0018s0120.1.p	Ag031G3229200
OG0001852	Roisl.0028s0155.1.p	Ag003G0344900
OG0001853	Roisl.0028s0171.1.p	Ag003G0347600
OG0001853	Roisl.0018s0110.1.p	Ag031G3231700
OG0001854	Roisl.0018s0083.1.p	Ag039G4263600, Ag031G3236100
OG0001854	Roisl.0018s0081.1.p	Ag031G3236700
OG0001855	Roisl.0028s0528.1.p	Ag039G4189600
OG0001855	Roisl.0046s1670.1.p	Ag031G3316500
OG0001856	Roisl.0017s0355.1.p	Ag039G4227100
OG0001856	Roisl.0046s1551.1.p	Ag031G3340300
OG0001857	Roisl.0046s1461.1.p, Roisl.0046s1462.1.p	Ag031G3363200, Ag031G3363400
OG0001858	Roisl.0046s1308.1.p	Ag031G3392700
OG0001858	Roisl.0017s0046.1.p	Ag039G4322700
OG0001859	Roisl.0001s0275.1.p	Ag011G1097600
OG0001859	Roisl.0066s0074.1.p	Ag042G4388200
OG0001860	Roisl.0001s0300.1.p	Ag011G1093400
OG0001860	Roisl.0066s0040.1.p	Ag042G4393200
OG0001861	Roisl.0209s0032.1.p	Ag036G4099000
OG0001862	Roisl.0209s0250.1.p, Roisl.0082s0149.1.p	Ag066G5128800
OG0001863	Roisl.0082s0213.1.p	Ag066G5144400
OG0001864	Roisl.0046s0552.1.p	Ag015G2196500
OG0001864	Roisl.0001s0411.1.p	Ag011G1070400
OG0001865	Roisl.0072s0003.1.p	Ag015G2249700
OG0001866	Roisl.0021s0018.1.p	Ag034G3776600
OG0001866	Roisl.0079s0215.1.p	Ag015G2254800, Ag014G1881600
OG0001868	Roisl.0014s0111.1.p, Roisl.0014s0116.1.p, Roisl.0191s0444.1.p, Roisl.0214s0667.1.p, Roisl.0214s0760.1.p, Roisl.0214s0728.1.p, Roisl.0214s0721.1.p, Roisl.0214s0725.1.p, Roisl.0214s0664.1.p	Ag003G0391600
OG0001869	Roisl.0007s0036.1.p	Ag034G3992700
OG0001870	Roisl.0028s0456.1.p	Ag034G3804900
OG0001871	Roisl.0016s0191.1.p	Ag014G1785500
OG0001872	Roisl.0039s0158.1.p	Ag034G4056800, Ag014G1849900
OG0001872	Roisl.0053s0326.1.p	Ag064G5094900, Ag027G3009600
OG0001873	Roisl.0007s0756.1.p	Ag034G3852900
OG0001873	Roisl.0011s0215.1.p	Ag014G1893600
OG0001874	Roisl.0012s0374.1.p, Roisl.0189s0082.1.p	Ag011G1177900
OG0001874	Roisl.0003s0281.1.p	Ag014G2127800
OG0001875	Roisl.0009s0317.1.p	Ag061G5022000
OG0001876	Roisl.0070s0007.1.p	Ag061G5022800
OG0001877	Roisl.0046s0023.1.p, Roisl.0024s0088.1.p	Ag061G5033800
OG0001878	Roisl.0210s0076.1.p	Ag034G3657200
OG0001879	Roisl.0021s0137.1.p	Ag034G3792500
OG0001879	Roisl.0022s0251.1.p	Ag010G0991400
OG0001880	Roisl.0021s0144.1.p	Ag034G3793600
OG0001880	Roisl.0214s0563.1.p	Ag002G0227200
OG0001881	Roisl.0021s0290.1.p	Ag034G3818000
OG0001881	Roisl.0209s0564.1.p	Ag002G0181800
OG0001882	Roisl.0021s0295.1.p	Ag034G3818700
OG0001882	Roisl.0209s0556.1.p	Ag002G0180800
OG0001883	Roisl.0010s0125.1.p	Ag002G0158800
OG0001883	Roisl.0021s0362.1.p	Ag034G3829200
OG0001884	Roisl.0011s0323.1.p	Ag085G5419700
OG0001884	Roisl.0021s0420.1.p	Ag034G3840000
OG0001885	Roisl.0007s0694.1.p	Ag034G3864900
OG0001886	Roisl.0013s0062.1.p	Ag034G3882000
OG0001887	Roisl.0007s0555.1.p	Ag034G3890300, Ag034G3890500
OG0001888	Roisl.0019s0266.1.p	Ag018G2442600
OG0001888	Roisl.0007s0399.1.p	Ag034G3918300
OG0001889	Roisl.0007s0383.1.p	Ag034G3924100
OG0001890	Roisl.0011s0140.1.p	Ag034G3998100
OG0001891	Roisl.0019s0524.1.p	Ag034G4071200
OG0001891	Roisl.0191s0268.1.p	Ag018G2465500
OG0001892	Roisl.0001s0431.1.p	Ag011G1067100
OG0001892	Roisl.0001s0430.1.p	Ag011G1067200
OG0001893	Roisl.0023s0106.1.p	Ag011G1173900
OG0001894	Roisl.0008s0335.1.p	Ag011G1217000
OG0001895	Roisl.0003s0149.1.p	Ag011G1256900
OG0001896	Roisl.0003s0147.1.p	Ag011G1257600
OG0001897	Roisl.0003s0104.1.p, Roisl.0021s0619.1.p	Ag011G1268900
OG0001910	Roisl.0003s0067.1.p	Ag047G4545000, Ag046G4531400
OG0001911	Roisl.0003s0081.1.p	Ag047G4549400, Ag046G4536500
OG0001912	Roisl.0210s1338.1.p	Ag013G1389000
OG0001912	Roisl.0016s0204.1.p	Ag014G1790500
OG0001913	Roisl.0016s0381.1.p	Ag013G1400200, Ag007G0868300
OG0001913	Roisl.0079s0136.1.p	Ag014G1872800
OG0001914	Roisl.0016s0162.1.p	Ag014G1781200
OG0001914	Roisl.0210s1279.1.p	Ag013G1404700
OG0001915	Roisl.0210s1044.1.p	Ag013G1465800
OG0001915	Roisl.0079s0214.1.p	Ag014G1881500
OG0001916	Roisl.0210s1660.1.p	Ag004G0553500
OG0001916	Roisl.0210s0955.1.p	Ag013G1487100
OG0001917	Roisl.0210s0935.1.p	Ag013G1489900
OG0001917	Roisl.0210s1670.1.p	Ag004G0552500
OG0001918	Roisl.0046s0174.1.p	Ag013G1518800
OG0001919	Roisl.0046s0165.1.p	Ag004G0535200
OG0001919	Roisl.0210s0779.1.p	Ag013G1520500
OG0001920	Roisl.0024s0411.1.p	Ag004G0440700
OG0001920	Roisl.0210s0719.1.p, Roisl.0210s0718.1.p	Ag013G1531800
OG0001921	Roisl.0210s0715.1.p	Ag013G1532200
OG0001922	Roisl.0046s0556.1.p	Ag015G2196900
OG0001922	Roisl.0210s0678.1.p	Ag013G1541100
OG0001923	Roisl.0210s0650.1.p	Ag013G1545700
OG0001923	Roisl.0024s0306.1.p	Ag004G0455200
OG0001924	Roisl.0210s0528.1.p	Ag013G1563500
OG0001924	Roisl.0080s0136.1.p	Ag004G0501900
OG0001925	Roisl.0091s0943.1.p	Ag034G3730900
OG0001925	Roisl.0082s0773.1.p, Roisl.0033s0080.1.p	Ag013G1636900
OG0001926	Roisl.0033s0085.1.p	Ag013G1637300
OG0001926	Roisl.0091s0941.1.p	Ag034G3730700
OG0001927	Roisl.0091s0889.1.p	Ag034G3725200
OG0001927	Roisl.0033s0125.1.p	Ag013G1643300
OG0001928	Roisl.0047s0008.1.p	Ag013G1646500
OG0001929	Roisl.0091s0714.1.p	Ag034G3702700
OG0001929	Roisl.0028s0705.1.p	Ag013G1671900
OG0001930	Roisl.0012s0232.1.p	Ag013G1687900
OG0001930	Roisl.0210s0320.1.p	Ag034G3691000
OG0001931	Roisl.0022s0197.1.p	Ag013G1698000
OG0001932	Roisl.0035s0092.1.p	Ag003G0305100
OG0001932	Roisl.0035s0093.1.p	Ag003G0305200
OG0001933	Roisl.0028s0750.1.p, Roisl.0213s0065.1.p	Ag013G1716400
OG0001934	Roisl.0213s0381.1.p	Ag013G1754000
OG0001934	Roisl.0028s0917.1.p	Ag023G2831000
OG0001935	Roisl.0028s0955.1.p, Roisl.0209s0175.1.p	Ag013G1768600
OG0001936	Roisl.0028s0951.1.p	Ag023G2836600
OG0001936	Roisl.0209s0169.1.p	Ag013G1769100
OG0001937	Roisl.0024s0541.1.p	Ag004G0423600
OG0001938	Roisl.0074s0460.1.p	Ag014G2004700
OG0001938	Roisl.0080s0183.1.p	Ag004G0508100
OG0001939	Roisl.0210s2035.1.p	Ag052G4838700
OG0001939	Roisl.0046s0809.1.p	Ag004G0772500
OG0001940	Roisl.0046s0227.1.p	Ag011G1174600, Ag004G0544200
OG0001941	Roisl.0210s1757.1.p	Ag012G1306700
OG0001941	Roisl.0080s0380.1.p	Ag004G0566700
OG0001942	Roisl.0210s1952.1.p	Ag004G0605900
OG0001943	Roisl.0080s0218.1.p	Ag004G0615100
OG0001944	Roisl.0209s0342.1.p	Ag004G0639400
OG0001945	Roisl.0214s0580.1.p	Ag004G0653800
OG0001945	Roisl.0214s0550.1.p	Ag002G0225000
OG0001946	Roisl.0080s0451.1.p	Ag004G0666100
OG0001946	Roisl.0210s0447.1.p	Ag022G2668800
OG0001947	Roisl.0080s0545.1.p	Ag004G0686100
OG0001948	Roisl.0080s0553.1.p, Roisl.0022s0236.1.p	Ag004G0690100
OG0001949	Roisl.0066s0250.1.p	Ag004G0699400
OG0001950	Roisl.0213s0840.1.p	Ag061G5027500
OG0001951	Roisl.0080s0714.1.p	Ag004G0725400
OG0001952	Roisl.0080s0847.1.p	Ag004G0751800
OG0001953	Roisl.0080s0873.1.p	Ag004G0756800
OG0001953	Roisl.0022s0383.1.p	Ag010G1008700
OG0001954	Roisl.0074s0779.1.p	Ag014G1947400
OG0001954	Roisl.0210s0431.1.p	Ag022G2672900
OG0001955	Roisl.0042s0006.1.p	Ag022G2681400
OG0001955	Roisl.0074s0818.1.p	Ag014G1941100
OG0001956	Roisl.0030s0209.1.p	Ag022G2725500
OG0001957	Roisl.0074s1035.1.p	Ag014G1904500
OG0001957	Roisl.0030s0073.1.p	Ag022G2752700
OG0001958	Roisl.0030s0048.1.p	Ag022G2757100
OG0001958	Roisl.0079s0342.1.p	Ag014G1903100
OG0001960	Roisl.0028s0378.1.p, Roisl.0011s0533.1.p	Ag012G1307000
OG0001960	Roisl.0009s0166.1.p	Ag075G5284700
OG0001961	Roisl.0007s0559.1.p	Ag034G3889600
OG0001961	Roisl.0115s0091.1.p	Ag048G4568800
OG0001962	Roisl.0115s0132.1.p	Ag048G4578500, Ag048G4579500
OG0001962	Roisl.0007s0536.1.p, Roisl.0013s0233.1.p	Ag034G3895800
OG0001963	Roisl.0007s0531.1.p	Ag034G3897000
OG0001963	Roisl.0115s0141.1.p	Ag048G4580300
OG0001964	Roisl.0007s0504.1.p	Ag034G3900600
OG0001964	Roisl.0115s0176.1.p	Ag048G4585500
OG0001965	Roisl.0007s0037.1.p	Ag034G3992600
OG0001965	Roisl.0004s0235.1.p	Ag048G4659300
OG0001966	Roisl.0001s0179.1.p	Ag011G1121200, Ag048G4662500, Ag011G1119200
OG0001967	Roisl.0007s0077.1.p	Ag034G3984100
OG0001967	Roisl.0004s0262.1.p	Ag078G5365700, Ag048G4671900
OG0001968	Roisl.0004s0304.1.p	Ag048G4687300
OG0001968	Roisl.0046s0346.1.p, Roisl.0046s0347.1.p, Roisl.0004s0303.1.p	Ag048G4673700
OG0001969	Roisl.0066s0216.1.p	Ag040G4334600
OG0001969	Roisl.0001s0142.1.p	Ag011G1127000
OG0001970	Roisl.0066s0189.1.p	Ag040G4339700
OG0001970	Roisl.0001s0168.1.p	Ag011G1123200
OG0001971	Roisl.0066s0162.1.p	Ag040G4346900
OG0001972	Roisl.0066s0146.1.p	Ag040G4348800
OG0001972	Roisl.0001s0217.1.p	Ag011G1113300
OG0001973	Roisl.0074s0576.1.p	Ag014G1978600
OG0001973	Roisl.0006s0496.1.p	Ag032G3447000
OG0001974	Roisl.0074s0471.1.p	Ag014G2002400
OG0001974	Roisl.0006s0401.1.p	Ag032G3470500
OG0001975	Roisl.0054s0033.1.p	Ag054G4891800
OG0001977	Roisl.0075s0070.1.p	Ag007G0884800
OG0001977	Roisl.0053s0272.1.p	Ag064G5108600
OG0001978	Roisl.0075s0200.1.p	Ag007G0899700
OG0001978	Roisl.0016s0166.1.p	Ag014G1781900
OG0001979	Roisl.0075s0207.1.p	Ag007G0900200
OG0001979	Roisl.0053s0399.1.p	Ag027G3022700
OG0001980	Roisl.0002s0268.1.p	Ag007G0903700
OG0001980	Roisl.0115s0642.1.p	Ag027G3027400
OG0001981	Roisl.0074s0282.1.p	Ag014G2086100, Ag011G1192200, Ag011G1192000, Ag014G2038400
OG0001981	Roisl.0002s0090.1.p	Ag025G2900100, Ag007G0933900
OG0001982	Roisl.0046s1611.1.p	Ag078G5380900, Ag031G3328400
OG0001982	Roisl.0028s0607.1.p	Ag039G4209600
OG0001984	Roisl.0011s0444.1.p	Ag012G1321400
OG0001984	Roisl.0021s0381.1.p	Ag034G3833500
OG0001985	Roisl.0005s0292.1.p	Ag006G0826900
OG0001985	Roisl.0091s0404.1.p	Ag050G4761000
OG0001986	Roisl.0006s0035.1.p	Ag001G0008100
OG0001986	Roisl.0074s0006.1.p	Ag014G2115400
OG0001987	Roisl.0006s0154.1.p	Ag001G0049400
OG0001987	Roisl.0115s0385.1.p	Ag014G2162600
OG0001988	Roisl.0006s0215.1.p	Ag001G0061600
OG0001988	Roisl.0115s0455.1.p	Ag027G3065900, Ag014G2174900
OG0001989	Roisl.0074s0334.1.p	Ag014G2026700
OG0001989	Roisl.0006s0288.1.p	Ag001G0075300
OG0001991	Roisl.0011s0557.1.p, Roisl.0011s0558.1.p	Ag050G4775200
OG0001992	Roisl.0091s0541.1.p	Ag050G4790000
OG0001992	Roisl.0005s0115.1.p	Ag016G2309600
OG0001993	Roisl.0191s0638.1.p, Roisl.0018s0273.1.p	Ag019G2508100, Ag077G5324200
OG0001993	Roisl.0210s0139.1.p	Ag034G3664800
OG0001994	Roisl.0091s0028.1.p	Ag033G3508300
OG0001995	Roisl.0091s0090.1.p	Ag015G2237900, Ag033G3525000
OG0001997	Roisl.0082s0276.1.p	Ag016G2382200
OG0001997	Roisl.0091s0203.1.p	Ag033G3603900
OG0001998	Roisl.0018s0437.1.p	Ag031G3175300
OG0001998	Roisl.0067s0022.1.p	Ag003G0280000
OG0001999	Roisl.0028s0036.1.p	Ag003G0321700
OG0001999	Roisl.0018s0211.1.p	Ag031G3215100
OG0002000	Roisl.0028s0077.1.p	Ag003G0328000
OG0002000	Roisl.0018s0175.1.p	Ag031G3219900
OG0002001	Roisl.0028s0078.1.p	Ag003G0328100
OG0002002	Roisl.0018s0117.1.p	Ag031G3229900
OG0002002	Roisl.0028s0161.1.p	Ag003G0345400
OG0002003	Roisl.0021s0113.1.p	Ag034G3788700
OG0002003	Roisl.0026s0095.1.p	Ag031G3286500
OG0002004	Roisl.0028s0462.1.p	Ag003G0407700
OG0002004	Roisl.0026s0163.1.p	Ag031G3298800
OG0002005	Roisl.0022s0440.1.p	Ag010G1014600
OG0002005	Roisl.0031s0129.1.p	Ag020G2569000
OG0002006	Roisl.0058s0066.1.p	Ag039G4187600
OG0002007	Roisl.0017s0257.1.p	Ag039G4266200, Ag039G4266000
OG0002007	Roisl.0017s0256.1.p	Ag039G4265300
OG0002008	Roisl.0017s0220.1.p	Ag039G4278200, Ag039G4278100
OG0002009	Roisl.0046s1148.1.p	Ag017G2421600
OG0002009	Roisl.0017s0181.1.p	Ag039G4289300
OG0002010	Roisl.0051s0003.1.p	Ag016G2332600, Ag034G3989600, Ag039G4292900
OG0002011	Roisl.0063s0043.1.p	Ag015G2178200
OG0002011	Roisl.0115s0714.1.p	Ag011G1034800
OG0002013	Roisl.0039s0095.1.p	Ag014G1839600
OG0002013	Roisl.0046s0365.1.p	Ag038G4165600
OG0002014	Roisl.0067s0052.1.p	Ag003G0283300
OG0002015	Roisl.0067s0060.1.p	Ag003G0284400
OG0002016	Roisl.0074s0604.1.p	Ag003G0315400
OG0002016	Roisl.0080s0832.1.p	Ag014G1974200
OG0002017	Roisl.0028s0410.1.p	Ag003G0396900
OG0002018	Roisl.0039s0049.1.p	Ag014G1831600
OG0002018	Roisl.0071s0008.1.p	Ag002G0274600, Ag036G4123900
OG0002019	Roisl.0210s1591.1.p	Ag014G1853500
OG0002020	Roisl.0074s0225.1.p	Ag014G2049100
OG0002021	Roisl.0074s0216.1.p	Ag014G2051800
OG0002021	Roisl.0013s0145.1.p	Ag025G2921600
OG0002022	Roisl.0074s0199.1.p	Ag014G2058200
OG0002022	Roisl.0013s0127.1.p	Ag025G2926700
OG0002023	Roisl.0022s0084.1.p	Ag061G5024900
OG0002024	Roisl.0210s2210.1.p	Ag061G5042500
OG0002025	Roisl.0115s0578.1.p	Ag027G3040900
OG0002026	Roisl.0210s1572.1.p, Roisl.0210s1574.1.p	Ag060G5008200
OG0002027	Roisl.0191s0521.1.p	Ag019G2526100
OG0002027	Roisl.0210s0084.1.p	Ag034G3658500
OG0002028	Roisl.0191s0561.1.p	Ag019G2517500
OG0002028	Roisl.0210s0102.1.p	Ag034G3660700
OG0002029	Roisl.0210s0103.1.p	Ag034G3660800
OG0002030	Roisl.0210s0195.1.p	Ag034G3671900
OG0002030	Roisl.0191s0660.1.p	Ag019G2492500
OG0002031	Roisl.0091s0812.1.p	Ag034G3715900, Ag034G3715800, Ag034G3715700
OG0002031	Roisl.0091s0808.1.p	Ag034G3714800
OG0002032	Roisl.0008s0060.1.p	Ag002G0267000
OG0002032	Roisl.0091s1218.1.p	Ag034G3769200
OG0002033	Roisl.0021s0123.1.p	Ag034G3790500
OG0002033	Roisl.0214s0618.1.p	Ag002G0238000
OG0002034	Roisl.0021s0201.1.p	Ag034G3802400
OG0002035	Roisl.0021s0249.1.p	Ag034G3811700
OG0002035	Roisl.0209s0638.1.p	Ag002G0193700
OG0002036	Roisl.0010s0100.1.p	Ag002G0161000
OG0002036	Roisl.0021s0352.1.p	Ag034G3827400
OG0002037	Roisl.0021s0401.1.p	Ag034G3835700
OG0002038	Roisl.0007s0673.1.p	Ag034G3867900, Ag034G3868000
OG0002039	Roisl.0007s0570.1.p	Ag034G3887400
OG0002039	Roisl.0007s0571.1.p	Ag034G3887200
OG0002039	Roisl.0007s0569.1.p	Ag034G3886600, Ag034G3886700, Ag034G3887500
OG0002041	Roisl.0191s0161.1.p	Ag018G2453800
OG0002041	Roisl.0019s0458.1.p	Ag034G4056900
OG0002042	Roisl.0050s0068.1.p	Ag024G2881500
OG0002043	Roisl.0209s0298.1.p	Ag011G1028500, Ag018G2466000
OG0002044	Roisl.0001s0109.1.p, Roisl.0066s0307.1.p, Roisl.0066s0286.1.p	Ag011G1143400
OG0002045	Roisl.0003s0341.1.p	Ag011G1189600
OG0002046	Roisl.0033s0126.1.p, Roisl.0028s0649.1.p	Ag011G1247600
OG0002056	Roisl.0080s0408.1.p	Ag004G0658400
OG0002056	Roisl.0209s0431.1.p	Ag055G4908400
OG0002057	Roisl.0046s0719.1.p	Ag055G4927100
OG0002057	Roisl.0024s0162.1.p	Ag004G0476500
OG0002058	Roisl.0210s1525.1.p	Ag013G1340400
OG0002058	Roisl.0016s0331.1.p	Ag014G1811300
OG0002059	Roisl.0210s1522.1.p	Ag013G1340600
OG0002060	Roisl.0210s1514.1.p	Ag013G1341600
OG0002060	Roisl.0210s1502.1.p	Ag013G1342900
OG0002061	Roisl.0210s1446.1.p	Ag014G1801100, Ag013G1363100
OG0002062	Roisl.0210s1384.1.p	Ag013G1378400
OG0002062	Roisl.0016s0232.1.p	Ag014G1794500
OG0002063	Roisl.0016s0208.1.p	Ag014G1791000
OG0002063	Roisl.0210s1342.1.p	Ag013G1387800
OG0002064	Roisl.0210s1322.1.p	Ag013G1393400
OG0002064	Roisl.0016s0194.1.p	Ag014G1785900
OG0002065	Roisl.0016s0183.1.p	Ag014G1784700
OG0002065	Roisl.0210s1302.1.p	Ag013G1397800
OG0002066	Roisl.0016s0175.1.p	Ag014G1783600, Ag031G3238000
OG0002066	Roisl.0210s1291.1.p	Ag013G1402300
OG0002067	Roisl.0209s0202.1.p, Roisl.0210s1140.1.p	Ag013G1446500
OG0002067	Roisl.0016s0043.1.p	Ag031G3152600
OG0002068	Roisl.0210s1050.1.p	Ag013G1464300
OG0002068	Roisl.0074s0757.1.p	Ag014G1950300
OG0002069	Roisl.0210s0999.1.p, Roisl.0015s0088.1.p	Ag013G1477000
OG0002070	Roisl.0046s0268.1.p	Ag004G0548200
OG0002070	Roisl.0210s0887.1.p	Ag013G1498900
OG0002072	Roisl.0024s0363.1.p	Ag004G0448000
OG0002073	Roisl.0210s0661.1.p	Ag013G1544400
OG0002074	Roisl.0080s0131.1.p	Ag004G0501000
OG0002074	Roisl.0210s0524.1.p	Ag013G1564800
OG0002075	Roisl.0082s0367.1.p	Ag013G1572300
OG0002075	Roisl.0210s0274.1.p	Ag034G3682600
OG0002076	Roisl.0082s0542.1.p	Ag013G1599900
OG0002076	Roisl.0082s0543.1.p	Ag013G1600000
OG0002077	Roisl.0082s0588.1.p	Ag013G1604200
OG0002077	Roisl.0091s1083.1.p	Ag034G3750200
OG0002078	Roisl.0091s0806.1.p	Ag034G3714600, Ag034G3714500
OG0002078	Roisl.0017s0451.1.p	Ag013G1656600
OG0002079	Roisl.0091s0786.1.p	Ag034G3711600
OG0002079	Roisl.0017s0423.1.p	Ag013G1664700
OG0002080	Roisl.0210s0321.1.p	Ag034G3691100, Ag034G3691200
OG0002080	Roisl.0012s0231.1.p	Ag013G1687800
OG0002081	Roisl.0214s0315.1.p	Ag023G2798900
OG0002081	Roisl.0066s0333.1.p	Ag013G1706300
OG0002082	Roisl.0007s0712.1.p	Ag034G3862300
OG0002082	Roisl.0011s0173.1.p	Ag062G5052900
OG0002083	Roisl.0024s0597.1.p	Ag004G0417600
OG0002083	Roisl.0066s0062.1.p	Ag042G4390900
OG0002084	Roisl.0046s0934.1.p	Ag049G4723500
OG0002084	Roisl.0024s0521.1.p	Ag004G0426100
OG0002085	Roisl.0024s0379.1.p, Roisl.0024s0378.1.p	Ag004G0446300, Ag004G0446100, Ag004G0446400, Ag004G0446000
OG0002086	Roisl.0210s0473.1.p	Ag022G2657400
OG0002087	Roisl.0046s0892.1.p	Ag004G0759200
OG0002087	Roisl.0046s0144.1.p	Ag004G0533100
OG0002088	Roisl.0046s0153.1.p, Roisl.0046s0156.1.p, Roisl.0046s0155.1.p, Roisl.0046s0154.1.p, Roisl.0046s0150.1.p	Ag004G0534200, Ag004G0534400
OG0002089	Roisl.0087s0020.1.p	Ag012G1282200
OG0002089	Roisl.0210s1777.1.p	Ag004G0570700
OG0002090	Roisl.0210s1955.1.p, Roisl.0027s0096.1.p	Ag004G0606800
OG0002091	Roisl.0209s0335.1.p	Ag089G5447500
OG0002091	Roisl.0080s0304.1.p	Ag004G0636800
OG0002092	Roisl.0080s0585.1.p	Ag004G0695900
OG0002093	Roisl.0080s0613.1.p	Ag004G0704400
OG0002094	Roisl.0022s0299.1.p, Roisl.0080s0699.1.p	Ag004G0723800
OG0002095	Roisl.0080s0804.1.p	Ag004G0744100
OG0002096	Roisl.0080s0850.1.p	Ag004G0752200
OG0002096	Roisl.0022s0369.1.p	Ag010G1005300
OG0002097	Roisl.0082s0406.1.p	Ag022G2642400
OG0002097	Roisl.0210s0247.1.p	Ag034G3678000
OG0002098	Roisl.0001s0038.1.p	Ag022G2644200
OG0002099	Roisl.0074s0880.1.p	Ag014G1931300
OG0002099	Roisl.0042s0089.1.p	Ag022G2706700
OG0002100	Roisl.0034s0086.1.p	Ag022G2785000
OG0002100	Roisl.0079s0262.1.p	Ag014G1887600
OG0002101	Roisl.0016s0253.1.p	Ag014G1797000
OG0002101	Roisl.0034s0061.1.p, Roisl.0189s0104.1.p	Ag022G2788600
OG0002102	Roisl.0011s0510.1.p	Ag012G1310200
OG0002103	Roisl.0214s0654.1.p	Ag048G4558200
OG0002103	Roisl.0007s0613.1.p	Ag034G3880800
OG0002104	Roisl.0007s0560.1.p	Ag034G3888900
OG0002104	Roisl.0115s0088.1.p	Ag048G4568500
OG0002105	Roisl.0007s0515.1.p	Ag034G3899000
OG0002105	Roisl.0115s0156.1.p	Ag048G4582800
OG0002106	Roisl.0007s0491.1.p	Ag034G3902100
OG0002106	Roisl.0115s0200.1.p	Ag048G4590600
OG0002107	Roisl.0007s0488.1.p, Roisl.0115s0206.1.p	Ag048G4590900, Ag034G3902600
OG0002108	Roisl.0115s0209.1.p	Ag048G4591400
OG0002108	Roisl.0007s0485.1.p	Ag034G3902900
OG0002110	Roisl.0004s0191.1.p	Ag048G4648200
OG0002110	Roisl.0049s0048.1.p	Ag034G4002900
OG0002111	Roisl.0007s0021.1.p	Ag034G3995900
OG0002111	Roisl.0004s0222.1.p	Ag048G4654100
OG0002112	Roisl.0021s0532.1.p	Ag032G3429500
OG0002112	Roisl.0074s0655.1.p	Ag014G1964800
OG0002113	Roisl.0021s0542.1.p	Ag032G3430800
OG0002113	Roisl.0074s0650.1.p	Ag014G1965300
OG0002114	Roisl.0074s0632.1.p	Ag014G1968700
OG0002114	Roisl.0006s0541.1.p	Ag032G3437800
OG0002115	Roisl.0019s0805.1.p	Ag067G5190400
OG0002115	Roisl.0015s0079.1.p	Ag032G3474000
OG0002116	Roisl.0075s0099.1.p	Ag007G0888300
OG0002116	Roisl.0053s0298.1.p	Ag064G5102600
OG0002117	Roisl.0075s0183.1.p	Ag007G0897500
OG0002117	Roisl.0053s0363.1.p	Ag027G3015800
OG0002118	Roisl.0075s0201.1.p	Ag007G0899800
OG0002118	Roisl.0053s0394.1.p	Ag027G3021600
OG0002119	Roisl.0002s0201.1.p	Ag007G0915400
OG0002119	Roisl.0115s0561.1.p, Roisl.0115s0554.1.p	Ag027G3044900
OG0002120	Roisl.0189s0252.1.p	Ag007G0916100
OG0002120	Roisl.0022s0368.1.p, Roisl.0189s0251.1.p	Ag010G1005200
OG0002121	Roisl.0091s0519.1.p	Ag050G4782900
OG0002121	Roisl.0002s0168.1.p	Ag007G0918700
OG0002121	Roisl.0005s0147.1.p	Ag016G2292200
OG0002122	Roisl.0002s0142.1.p	Ag007G0922000
OG0002122	Roisl.0115s0499.1.p	Ag027G3058900
OG0002123	Roisl.0204s0166.1.p	Ag015G2185000
OG0002124	Roisl.0007s0375.1.p	Ag034G3925100
OG0002124	Roisl.0019s0220.1.p	Ag078G5326700
OG0002125	Roisl.0214s0386.1.p	Ag042G4431500
OG0002125	Roisl.0044s0063.1.p	Ag045G4522000
OG0002126	Roisl.0025s0102.1.p	Ag012G1291800
OG0002127	Roisl.0011s0516.1.p	Ag012G1309200, Ag012G1309100
OG0002128	Roisl.0005s0286.1.p	Ag006G0825000
OG0002128	Roisl.0091s0407.1.p	Ag050G4756900
OG0002129	Roisl.0006s0206.1.p	Ag001G0059600
OG0002129	Roisl.0115s0442.1.p	Ag014G2173000, Ag027G3068800
OG0002130	Roisl.0074s0380.1.p	Ag018G2468900, Ag014G2089600, Ag014G2019400
OG0002130	Roisl.0006s0322.1.p	Ag001G0082700
OG0002131	Roisl.0028s0878.1.p	Ag023G2823500
OG0002132	Roisl.0188s0084.1.p	Ag008G0954800, Ag031G3409600
OG0002133	Roisl.0008s0176.1.p, Roisl.0008s0177.1.p	Ag033G3487300, Ag077G5316300
OG0002134	Roisl.0001s0043.1.p	Ag011G1154300
OG0002134	Roisl.0045s0036.1.p	Ag044G4485800
OG0002135	Roisl.0066s0319.1.p	Ag044G4494500
OG0002136	Roisl.0213s0645.1.p	Ag033G3584900
OG0002137	Roisl.0008s0195.1.p, Roisl.0213s0640.1.p	Ag033G3482600, Ag052G4840700
OG0002138	Roisl.0003s0268.1.p	Ag011G1175000
OG0002138	Roisl.0023s0109.1.p	Ag033G3510000
OG0002140	Roisl.0075s0153.1.p	Ag011G1188000
OG0002141	Roisl.0091s0310.1.p	Ag033G3559500, Ag033G3560000
OG0002142	Roisl.0091s0272.1.p	Ag033G3581000
OG0002143	Roisl.0091s0223.1.p	Ag033G3598200
OG0002143	Roisl.0082s0305.1.p	Ag016G2376900
OG0002144	Roisl.0060s0010.1.p	Ag026G2982600, Ag028G3079400
OG0002144	Roisl.0210s2105.1.p	Ag015G2257700
OG0002145	Roisl.0067s0049.1.p	Ag003G0282900
