Orthogroup	Rorippa_islandica	Camelina_sativa
OG0000893	Roisl.0210s0853.1.p	XP_019090646.1, XP_010419694.1, XP_019097995.1
OG0000893	Roisl.0210s0856.1.p	XP_010491868.1, XP_019083770.1, XP_019097800.1
OG0000894	Roisl.0046s0515.1.p	XP_010429251.1, XP_010472306.1, XP_010417063.1
OG0000894	Roisl.0046s0943.1.p	XP_010515366.1, XP_010426530.1, XP_010503668.1
OG0000897	Roisl.0042s0002.1.p	XP_010423318.1, XP_010452599.1, XP_010491234.1
OG0000897	Roisl.0074s0815.1.p	XP_010464921.1, XP_010498224.1, XP_010486858.1
OG0000898	Roisl.0042s0126.1.p	XP_019089855.1, XP_019084502.1, XP_019097982.1
OG0000898	Roisl.0074s0926.1.p	XP_019096835.1, XP_019101139.1, XP_019092786.1
OG0000899	Roisl.0209s0666.1.p, Roisl.0004s0025.1.p	XP_010417472.1, XP_010472701.1, XP_010429696.1
OG0000899	Roisl.0004s0022.1.p	XP_010429695.1, XP_010417473.1, XP_010472700.1
OG0000900	Roisl.0006s0470.1.p	XP_019095007.1, XP_019099525.1, XP_019091182.1
OG0000901	Roisl.0016s0347.1.p	XP_010463877.1, XP_010485774.1
OG0000902	Roisl.0191s0445.1.p	XP_019091245.1, XP_010496996.1
OG0000903	Roisl.0044s0077.1.p	XP_010438316.1, XP_010433112.1, XP_010433111.1, XP_010447870.1, XP_010438315.1
OG0000903	Roisl.0044s0076.1.p	XP_010447874.1, XP_010438317.1, XP_010433115.1
OG0000904	Roisl.0074s0021.1.p	XP_010487839.1, XP_010507446.1, XP_019092700.1
OG0000904	Roisl.0006s0024.1.p	XP_010461802.1, XP_010479396.1, XP_010500505.1
OG0000905	Roisl.0091s0362.1.p	XP_010449342.1
OG0000905	Roisl.0091s0356.1.p	XP_010434398.1
OG0000905	Roisl.0091s0354.1.p	XP_019088674.1, XP_010434405.1, XP_010451365.2
OG0000906	Roisl.0008s0209.1.p	XP_010433827.2
OG0000906	Roisl.0008s0208.1.p	XP_010439103.1, XP_010433830.1, XP_019089370.1
OG0000907	Roisl.0016s0026.1.p	XP_010435678.2, XP_010496432.1, XP_010485352.1
OG0000907	Roisl.0028s0163.1.p	XP_010506342.1, XP_010512857.2, XP_010518022.1
OG0000908	Roisl.0026s0040.1.p	XP_010516501.1, XP_010504806.1, XP_010427757.1
OG0000908	Roisl.0028s0367.1.p	XP_010517775.1, XP_010506078.1
OG0000909	Roisl.0064s0024.1.p, Roisl.0064s0026.1.p	XP_010445570.1, XP_010451710.1, XP_010435600.2
OG0000910	Roisl.0017s0270.1.p	XP_010509086.1, XP_010517234.1, XP_010505560.2, XP_010505558.1, XP_010509090.1, XP_010517229.1, XP_010509088.1, XP_010505562.2
OG0000911	Roisl.0115s0660.1.p	XP_010437050.1, XP_010436203.1, XP_010450995.1
OG0000911	Roisl.0204s0156.1.p	XP_010472169.1, XP_010416930.1, XP_010429095.1, XP_010429097.1, XP_010416931.1
OG0000912	Roisl.0039s0089.1.p	XP_010455077.1, XP_010421566.1
OG0000912	Roisl.0046s0373.1.p	XP_010429374.1, XP_010464086.1, XP_010486014.1
OG0000913	Roisl.0213s0789.1.p	XP_019088791.1, XP_010450904.1
OG0000913	Roisl.0210s1303.1.p	XP_010420282.1, XP_010453757.1, XP_010492477.1
OG0000913	Roisl.0016s0184.1.p	XP_010463663.1, XP_010485561.1, XP_010498313.1
OG0000914	Roisl.0191s0546.1.p	XP_010427832.1, XP_010456210.1
OG0000914	Roisl.0082s0613.1.p	XP_019100747.1
OG0000914	Roisl.0210s0098.1.p, Roisl.0210s0099.1.p	XP_010457132.1
OG0000915	Roisl.0053s0068.1.p, Roisl.0210s0128.1.p	XP_010474697.1, XP_010457173.1, XP_010480662.1, XP_010495011.1, XP_010481285.1, XP_010441417.1
OG0000916	Roisl.0021s0419.1.p	XP_010495079.2
OG0000916	Roisl.0021s0380.1.p	XP_010480456.1, XP_010501445.1, XP_010462683.1
OG0000916	Roisl.0021s0418.1.p	XP_010462691.1, XP_010501456.1, XP_010476344.1
OG0000917	Roisl.0091s0111.1.p	XP_010448937.1
OG0000917	Roisl.0191s0076.1.p	XP_010477503.1, XP_010459997.1, XP_010498712.1
OG0000917	Roisl.0191s0075.1.p	XP_010459996.1, XP_010477502.1
OG0000920	Roisl.0091s0034.1.p, Roisl.0082s0138.1.p	XP_019087361.1
OG0000920	Roisl.0002s0097.1.p	XP_019089072.1, XP_010445213.2
OG0000920	Roisl.0011s0373.1.p	XP_010425262.1, XP_019100076.1
OG0000922	Roisl.0011s0513.1.p	XP_010490121.1, XP_010492056.1, XP_010513659.1, XP_010488591.1, XP_010510250.1, XP_010513748.1, XP_010468469.1
OG0000923	Roisl.0046s0711.1.p	XP_010503417.1, XP_010426267.1, XP_019102279.1
OG0000923	Roisl.0024s0138.1.p	XP_010483980.1, XP_010444119.1
OG0000924	Roisl.0058s0032.1.p	XP_010435266.1, XP_010440584.1, XP_010450207.1
OG0000924	Roisl.0191s0251.1.p	XP_010498927.1, XP_010460178.1, XP_010477728.1
OG0000924	Roisl.0210s1317.1.p	XP_010453775.1, XP_010420302.1, XP_019097801.1
OG0000925	Roisl.0046s0179.1.p	XP_019097607.1, XP_010454826.1
OG0000925	Roisl.0210s0791.1.p	XP_010422812.1, XP_010491753.1
OG0000926	Roisl.0003s0183.1.p, Roisl.0025s0011.1.p	XP_010447531.1, XP_010438012.1, XP_010432832.1
OG0000926	Roisl.0210s0753.1.p	XP_010453063.1, XP_010422849.1, XP_010491703.1
OG0000927	Roisl.0082s0762.1.p	XP_010414345.1, XP_019101426.1, XP_010469929.1
OG0000927	Roisl.0046s1580.1.p	XP_019101925.1, XP_010504458.1
OG0000927	Roisl.0042s0095.1.p	XP_010491108.1, XP_010423436.1, XP_010452479.1
OG0000928	Roisl.0033s0084.1.p	XP_010510326.1, XP_010469823.1, XP_010414239.1
OG0000928	Roisl.0091s0942.1.p	XP_010486562.1, XP_010475419.1, XP_010457824.1
OG0000929	Roisl.0091s0935.1.p	XP_010457811.1, XP_019098865.1
OG0000929	Roisl.0210s1483.1.p, Roisl.0033s0092.1.p	XP_010510290.1, XP_010414222.1, XP_010469804.1
OG0000930	Roisl.0210s1927.1.p, Roisl.0029s0005.1.p	XP_010454535.1
OG0000931	Roisl.0209s0345.1.p	XP_010503255.1, XP_010514967.1, XP_010426077.1
OG0000931	Roisl.0046s1527.1.p	XP_010427307.1, XP_010516106.1, XP_010504391.1
OG0000932	Roisl.0022s0475.1.p	XP_010433266.1, XP_010438509.1, XP_010448036.1
OG0000932	Roisl.0080s0515.1.p	XP_010483320.1
OG0000932	Roisl.0191s0077.1.p	XP_010459999.1, XP_010477504.1, XP_010498713.1
OG0000933	Roisl.0208s0021.1.p	XP_010443444.2
OG0000933	Roisl.0080s0543.1.p	XP_010443445.1
OG0000933	Roisl.0024s0562.1.p	XP_010482383.1
OG0000934	Roisl.0022s0240.1.p, Roisl.0022s0239.1.p	XP_010438826.1, XP_010433578.1, XP_010448359.1, XP_019086936.1
OG0000934	Roisl.0080s0578.1.p	XP_010483227.1, XP_010443403.1, XP_010451899.1
OG0000935	Roisl.0080s0791.1.p	XP_010443168.1, XP_010449590.1, XP_010482986.1, XP_010443169.1, XP_010443171.1, XP_010449601.1, XP_010482987.1, XP_010497945.1, XP_010482993.1, XP_010449664.1, XP_010443177.1
OG0000936	Roisl.0001s0194.1.p	XP_010436246.1, XP_010446885.1, XP_010437434.1
OG0000936	Roisl.0209s0620.1.p, Roisl.0001s0193.1.p, Roisl.0082s0118.1.p, Roisl.0082s0116.1.p, Roisl.0082s0117.1.p	XP_010480967.1, XP_019085859.1
OG0000938	Roisl.0004s0055.1.p	XP_010428965.1, XP_010472054.1
OG0000938	Roisl.0074s0519.1.p	XP_010465338.1, XP_010501892.1, XP_010487247.1
OG0000939	Roisl.0210s2133.1.p	XP_010500058.1, XP_010496064.1, XP_010461342.1
OG0000939	Roisl.0191s0053.1.p	XP_010459961.1, XP_010498683.1, XP_010477480.1
OG0000940	Roisl.0022s0458.1.p	XP_019088540.1, XP_010433295.1, XP_010438539.1, XP_010448066.1
OG0000940	Roisl.0213s0058.1.p	XP_019091527.1, XP_010478153.1
OG0000941	Roisl.0075s0175.1.p	XP_010466675.1, XP_010440491.2, XP_010435149.1, XP_010488396.1, XP_010421510.1, XP_010450059.1
OG0000942	Roisl.0003s0226.1.p, Roisl.0003s0227.1.p	XP_010437953.1, XP_010447438.1, XP_010432771.1
OG0000943	Roisl.0046s0967.1.p	XP_019085730.1
OG0000943	Roisl.0046s0964.1.p	XP_010503697.1, XP_010426573.1
OG0000943	Roisl.0046s0962.1.p, Roisl.0074s0154.1.p	XP_010503695.1, XP_010503699.1, XP_010426570.1, XP_010515389.1
OG0000943	Roisl.0046s0961.1.p	XP_010503698.1, XP_010426574.1
OG0000944	Roisl.0046s0898.1.p	XP_010507358.1, XP_019102297.1, XP_019099848.1, XP_010426486.2
OG0000944	Roisl.0046s0956.1.p	XP_010515381.1, XP_010503689.1, XP_019084825.1
OG0000945	Roisl.0071s0001.1.p	XP_010463492.1
OG0000945	Roisl.0200s0003.1.p, Roisl.0058s0121.1.p	XP_019086342.1
OG0000946	Roisl.0091s0928.1.p	XP_010486415.1, XP_019091435.1, XP_010475400.1
OG0000947	Roisl.0067s0030.1.p	XP_010507838.1, XP_010497805.1, XP_010518505.1, XP_010506828.1
OG0000947	Roisl.0018s0434.1.p	XP_010512694.1, XP_010413216.1, XP_010468902.1
OG0000948	Roisl.0026s0170.1.p	XP_010516338.1, XP_010504652.1, XP_010427593.1, XP_010427594.1
OG0000948	Roisl.0026s0169.1.p	XP_010516340.1
OG0000949	Roisl.0046s1519.1.p, Roisl.0037s0047.1.p, Roisl.0017s0322.1.p	XP_010427292.1
OG0000950	Roisl.0079s0059.1.p	XP_010486198.1, XP_010464259.1, XP_010444089.1
OG0000951	Roisl.0213s0683.1.p	XP_010446873.1, XP_010437416.1, XP_010432222.1
OG0000951	Roisl.0043s0010.1.p	XP_010440740.1, XP_010450391.1
OG0000951	Roisl.0213s0685.1.p	XP_010467089.1, XP_010488774.1, XP_019084404.1
OG0000952	Roisl.0091s1233.1.p	XP_010458237.1, XP_010490093.1, XP_010475788.1
OG0000952	Roisl.0091s0251.1.p, Roisl.0091s1232.1.p	XP_010475786.1, XP_010458234.1, XP_010490072.1
OG0000954	Roisl.0082s0193.1.p	XP_019084333.1, XP_019098169.1
OG0000955	Roisl.0021s0482.1.p	XP_010458840.1, XP_010476406.1, XP_010493976.1, XP_019084268.1
OG0000956	Roisl.0019s0520.1.p	XP_010512091.2
OG0000956	Roisl.0044s0054.1.p	XP_010447897.1, XP_010438357.2
OG0000957	Roisl.0001s0506.1.p	XP_010431938.1, XP_010437081.1, XP_010446517.1
OG0000957	Roisl.0001s0505.1.p	XP_019089345.1, XP_010431940.1, XP_019087979.1, XP_010446520.1
OG0000958	Roisl.0191s0389.1.p	XP_010434219.1, XP_019090209.1, XP_010421745.1, XP_019085687.1, XP_019084676.1, XP_010455260.1, XP_010436500.1
OG0000958	Roisl.0191s0388.1.p	XP_010460330.1, XP_019094448.1, XP_010499064.1
OG0000959	Roisl.0010s0198.1.p	XP_019093969.1, XP_019083693.1, XP_010418455.1, XP_010430526.1
OG0000959	Roisl.0050s0089.1.p	XP_010431726.1
OG0000959	Roisl.0010s0155.1.p	XP_010418348.1, XP_019093639.1, XP_019085681.1
OG0000960	Roisl.0006s0507.1.p	XP_010495484.1
OG0000962	Roisl.0011s0301.1.p, Roisl.0011s0295.1.p	XP_019099880.1, XP_019085819.1
OG0000962	Roisl.0011s0294.1.p	XP_010502413.1, XP_010425188.1
OG0000963	Roisl.0210s1187.1.p	XP_010492304.2, XP_010420136.2
OG0000963	Roisl.0066s0264.1.p	XP_010516020.2, XP_010489291.2, XP_010489287.1, XP_010516008.1, XP_010489475.1, XP_010467417.1, XP_010489288.1, XP_019083845.1
OG0000964	Roisl.0017s0485.1.p	XP_019082536.1, XP_010497335.1, XP_010473910.1, XP_010510143.1, XP_010418725.1, XP_010513149.1, XP_019093230.1
OG0000965	Roisl.0022s0211.1.p	XP_010433609.1, XP_010438848.1, XP_010448403.1
OG0000965	Roisl.0031s0007.1.p	XP_010442773.1, XP_010482608.1, XP_010444885.1
OG0000966	Roisl.0046s0825.1.p	XP_010503548.1, XP_010515238.1, XP_010426404.1
OG0000966	Roisl.0210s2057.1.p	XP_010421197.1, XP_019097774.1, XP_010454674.1
OG0000967	Roisl.0046s0229.1.p, Roisl.0046s0230.1.p	XP_010454875.1, XP_010493803.1, XP_010421396.1, XP_010421401.1, XP_010454877.1
OG0000968	Roisl.0080s0256.1.p	XP_010483655.1, XP_010443804.1, XP_010455588.1, XP_010455999.1
OG0000968	Roisl.0080s0255.1.p	XP_010456016.1, XP_010483657.1, XP_010455580.1
OG0000968	Roisl.0080s0254.1.p	XP_019095666.1
OG0000969	Roisl.0080s0455.1.p	XP_010483436.1, XP_010453676.1, XP_010443567.1
OG0000969	Roisl.0042s0131.1.p	XP_010452439.1, XP_010423480.1, XP_010491069.1
OG0000970	Roisl.0025s0002.1.p, Roisl.0011s0575.1.p	XP_010425563.1, XP_010502788.1, XP_010514494.1, XP_010514492.1
OG0000970	Roisl.0025s0001.1.p	XP_010425562.1
OG0000971	Roisl.0005s0222.1.p	XP_010441638.1, XP_010494770.1
OG0000971	Roisl.0005s0224.1.p	XP_010495745.1
OG0000972	Roisl.0006s0162.1.p	XP_010484958.1
OG0000973	Roisl.0091s0578.1.p	XP_010449599.1, XP_010434651.1, XP_010439989.1
OG0000973	Roisl.0005s0055.1.p	XP_010441488.1, XP_010494949.1, XP_010481349.1
OG0000974	Roisl.0079s0210.1.p	XP_010464461.1, XP_010461980.1
OG0000974	Roisl.0074s0895.1.p	XP_010486756.1, XP_010464809.1, XP_010488269.1
OG0000975	Roisl.0017s0147.1.p	XP_010517068.1, XP_010509262.1, XP_010505388.1
OG0000975	Roisl.0046s1373.1.p	XP_010504182.1, XP_010427058.1, XP_010515904.1, XP_010515905.1, XP_010504184.1, XP_010427059.1
OG0000976	Roisl.0189s0156.1.p	XP_019095617.1, XP_010473628.1, XP_010444369.1, XP_019095618.1, XP_010442730.1
OG0000976	Roisl.0055s0025.1.p	XP_010481968.1, XP_019087232.1, XP_010494207.1
OG0000978	Roisl.0001s0073.1.p	XP_010485869.1, XP_010419205.1, XP_010463973.1
OG0000979	Roisl.0210s1196.1.p, Roisl.0210s1253.1.p	XP_010462534.1
OG0000979	Roisl.0210s0330.1.p	XP_010501303.1, XP_010480332.2, XP_019094364.1
OG0000980	Roisl.0184s0239.1.p, Roisl.0184s0241.1.p, Roisl.0209s0560.1.p	XP_010425759.1, XP_010502978.1, XP_010425761.1, XP_010502982.1
OG0000982	Roisl.0007s0750.1.p	XP_010458875.1
OG0000982	Roisl.0007s0749.1.p	XP_010480468.1, XP_019090867.1
OG0000983	Roisl.0016s0189.1.p	XP_010463671.1, XP_010485569.1, XP_010498868.1
OG0000983	Roisl.0210s1311.1.p	XP_010492492.1, XP_010420293.1, XP_010453766.1
OG0000984	Roisl.0016s0148.1.p	XP_010463051.1, XP_010485464.1, XP_010463620.1
OG0000985	Roisl.0209s0504.1.p	XP_010417849.1, XP_010473094.1, XP_010510821.1
OG0000985	Roisl.0115s0405.1.p	XP_010488063.1, XP_010466283.1, XP_010509323.1
OG0000986	Roisl.0017s0506.1.p	XP_010469715.1, XP_010414116.1
OG0000987	Roisl.0189s0123.1.p	XP_010442763.1, XP_010482597.1, XP_010444761.1
OG0000987	Roisl.0022s0207.1.p	XP_010448409.1, XP_010438859.1, XP_010433613.1
OG0000988	Roisl.0082s0575.1.p	XP_010448286.1, XP_010433515.1, XP_010438770.1, XP_010448283.1
OG0000989	Roisl.0028s0458.1.p	XP_010505948.1, XP_010508696.1, XP_010517653.1
OG0000990	Roisl.0213s0368.1.p	XP_019095763.1
OG0000990	Roisl.0080s0141.1.p	XP_019087190.1, XP_010457018.1
OG0000990	Roisl.0080s0140.1.p	XP_019095673.1, XP_010446227.2, XP_019086951.1
OG0000991	Roisl.0082s0507.1.p, Roisl.0054s0005.1.p, Roisl.0053s0199.1.p, Roisl.0053s0137.1.p, Roisl.0194s0023.1.p, Roisl.0009s0253.1.p	XP_010436677.1, XP_010445338.1, XP_010467380.1, XP_019097867.1, XP_019099129.1, XP_019089512.1, XP_010489406.1
OG0000992	Roisl.0210s0414.1.p	XP_019097790.1, XP_019090268.1, XP_019084486.1
OG0000993	Roisl.0079s0296.1.p	XP_010472453.1, XP_010464586.1, XP_010486508.1
OG0000993	Roisl.0034s0139.1.p	XP_010423873.1, XP_010452072.1, XP_010490652.1
OG0000994	Roisl.0007s0552.1.p	XP_010476676.1, XP_010497407.1, XP_010459116.1
OG0000994	Roisl.0115s0105.1.p	XP_010429933.1, XP_010472902.1, XP_010419388.1
OG0000995	Roisl.0019s0732.1.p	XP_010511814.1, XP_010470769.1
OG0000996	Roisl.0209s0286.1.p	XP_019101867.1, XP_010507222.1, XP_010431031.1
OG0000997	Roisl.0066s0196.1.p	XP_010489374.1, XP_019092463.1, XP_010514996.1
OG0000997	Roisl.0191s0420.1.p	XP_010499104.1, XP_010460370.1, XP_010477920.1
OG0000998	Roisl.0066s0147.1.p	XP_010467572.1, XP_010413527.1, XP_019098804.1, XP_010490390.1
OG0000998	Roisl.0001s0214.1.p	XP_010437402.1, XP_010432212.1, XP_010446860.1
OG0000999	Roisl.0010s0157.1.p	XP_019089363.1
OG0000999	Roisl.0021s0551.1.p, Roisl.0021s0557.1.p	XP_010462392.1, XP_010481188.1
OG0000999	Roisl.0006s0079.1.p	XP_019094674.1
OG0001000	Roisl.0046s1231.1.p	XP_010509505.1, XP_010516825.1, XP_010426881.1, XP_010504006.1, XP_010515730.1
OG0001001	Roisl.0054s0018.1.p	XP_010516861.1, XP_010509475.1, XP_010505186.1
OG0001001	Roisl.0046s1264.1.p	XP_010515769.1, XP_010504040.1, XP_010426922.1
OG0001002	Roisl.0053s0402.1.p	XP_010488338.1, XP_010511996.1, XP_010466597.1
OG0001002	Roisl.0075s0214.1.p, Roisl.0075s0213.1.p	XP_010435107.1, XP_010440445.1, XP_010450022.1
OG0001003	Roisl.0032s0031.1.p	XP_010435691.1
OG0001003	Roisl.0032s0029.1.p	XP_010451721.1
OG0001004	Roisl.0014s0043.1.p	XP_010442266.1, XP_010493661.1, XP_010482092.1
OG0001005	Roisl.0005s0121.1.p	XP_010494852.1, XP_010441556.1, XP_010481423.1
OG0001005	Roisl.0091s0538.1.p	XP_010449541.1, XP_010439927.1, XP_010434604.1
OG0001006	Roisl.0066s0447.1.p, Roisl.0210s2077.1.p	XP_019102254.1, XP_010503213.1
OG0001007	Roisl.0091s0216.1.p	XP_010434225.1, XP_010439508.1, XP_010449110.1
OG0001007	Roisl.0082s0296.1.p	XP_010431492.1, XP_010422420.1, XP_010455859.1
OG0001008	Roisl.0037s0019.1.p	XP_010514771.1, XP_010503083.1, XP_010425848.1, XP_010503081.1, XP_010425847.1, XP_010514769.1, XP_010495899.1
OG0001009	Roisl.0046s1533.1.p	XP_010427314.1, XP_010504397.1, XP_010516112.1
OG0001010	Roisl.0044s0087.1.p	XP_010438310.1, XP_010447865.1, XP_010433106.1
OG0001010	Roisl.0214s0380.1.p	XP_010416663.1, XP_010495948.1, XP_010489131.1
OG0001011	Roisl.0046s0326.1.p	XP_019084663.1, XP_019084657.1, XP_019097711.1, XP_019090035.1, XP_019098728.1
OG0001011	Roisl.0039s0120.1.p	XP_010417898.1, XP_010486063.1, XP_010433011.1, XP_010464141.1
OG0001012	Roisl.0022s0433.1.p	XP_010448094.1, XP_010438569.1, XP_010433330.1
OG0001012	Roisl.0052s0042.1.p	XP_010485116.1, XP_010474417.1
OG0001013	Roisl.0210s1610.1.p	XP_010454160.1
OG0001014	Roisl.0002s0170.1.p	XP_019089394.1, XP_019087428.1, XP_019089408.1
OG0001014	Roisl.0091s0295.1.p	XP_010511939.1, XP_010466591.1
OG0001015	Roisl.0214s0390.1.p	XP_010467916.1
OG0001015	Roisl.0214s0392.1.p	XP_010467913.1, XP_010489122.1, XP_010416585.1
OG0001016	Roisl.0019s0001.1.p	XP_019101544.1, XP_010480241.1, XP_010414978.1, XP_010511274.1, XP_010511272.1, XP_010418940.1
OG0001017	Roisl.0191s0156.1.p	XP_010477606.1, XP_010498822.1, XP_010460098.1
OG0001017	Roisl.0019s0451.1.p	XP_010471078.1, XP_010427867.1, XP_010415766.1
OG0001018	Roisl.0001s0133.1.p	XP_010437507.1, XP_010432314.1, XP_010446964.1, XP_010446976.1
OG0001019	Roisl.0189s0135.1.p	XP_010431710.1
OG0001019	Roisl.0010s0172.1.p	XP_010507763.1, XP_010413078.1, XP_010474539.1, XP_010419416.1, XP_010489970.1, XP_010497145.1, XP_019101983.1, XP_010413074.1, XP_010507754.1
OG0001020	Roisl.0214s0803.1.p	XP_010418887.1, XP_010474058.1, XP_010418886.1, XP_010513504.1, XP_019085501.1, XP_010412565.1, XP_010418885.1, XP_019086727.1, XP_019082583.1, XP_010414686.1, XP_010431664.1, XP_010451399.1
OG0001021	Roisl.0024s0567.1.p	XP_010444706.1, XP_010484562.1
OG0001021	Roisl.0017s0327.1.p	XP_010489052.1, XP_010489053.1, XP_010425823.1
OG0001023	Roisl.0053s0308.1.p	XP_019084621.1
OG0001031	Roisl.0210s1163.1.p	XP_010420108.1, XP_010453588.1, XP_010492275.1
OG0001031	Roisl.0214s0524.1.p, Roisl.0016s0059.1.p	XP_010453672.1, XP_010492370.1, XP_010420192.1, XP_010505856.1
OG0001032	Roisl.0210s0827.1.p	XP_010456484.1, XP_010491804.1, XP_010419664.1
OG0001032	Roisl.0046s0206.1.p	XP_010493781.1, XP_010454851.1, XP_010421380.1
OG0001033	Roisl.0033s0031.1.p	XP_010510398.1, XP_010414297.1, XP_010469887.1, XP_010414299.1, XP_010510401.1
OG0001033	Roisl.0033s0030.1.p	XP_010414300.1, XP_010469889.1, XP_010510403.1
OG0001034	Roisl.0028s0618.1.p	XP_010414008.1, XP_010469606.1, XP_010510035.1
OG0001034	Roisl.0091s0779.1.p	XP_010484858.1, XP_010457609.1, XP_010475210.1
OG0001035	Roisl.0082s0145.1.p	XP_010429048.1, XP_010429041.1, XP_010416888.1
OG0001035	Roisl.0209s0624.1.p	XP_010430239.1, XP_010473418.1
OG0001036	Roisl.0213s0260.1.p, Roisl.0213s0261.1.p	XP_019095986.1, XP_010513574.1, XP_010513573.1, XP_019091102.1, XP_010480918.1, XP_010480919.1, XP_010480901.1, XP_010501794.1, XP_010463147.1, XP_010474126.1, XP_010418992.1, XP_010499514.1, XP_010478370.1, XP_010460774.1
OG0001037	Roisl.0046s0561.1.p	XP_010472267.1, XP_010417031.1, XP_010429206.1
OG0001037	Roisl.0028s0932.1.p	XP_010412879.1, XP_010505017.1, XP_010516686.1, XP_010509646.1
OG0001038	Roisl.0188s0112.1.p	XP_010514596.1, XP_010502879.1, XP_010425659.1
OG0001038	Roisl.0188s0111.1.p, Roisl.0006s0128.1.p, Roisl.0188s0110.1.p	XP_010425663.1, XP_019099622.1, XP_019100119.1, XP_010514600.1
OG0001039	Roisl.0046s0086.1.p, Roisl.0046s0087.1.p	XP_010421226.1, XP_010454706.1, XP_010493555.1
OG0001041	Roisl.0027s0063.1.p	XP_019092340.1, XP_010451010.1
OG0001042	Roisl.0046s0810.1.p	XP_010515218.1, XP_010503529.1, XP_010426385.1
OG0001042	Roisl.0012s0024.1.p	XP_019088042.1, XP_010442575.1, XP_010482409.1
OG0001043	Roisl.0030s0210.1.p, Roisl.0210s0885.1.p	XP_010423529.1, XP_010491014.1
OG0001044	Roisl.0074s0970.1.p	XP_010484714.1, XP_010486658.1, XP_010468099.1, XP_010468098.2
OG0001044	Roisl.0030s0168.1.p	XP_010423586.1, XP_010452334.1, XP_010490947.1
OG0001045	Roisl.0004s0147.1.p	XP_010416695.1, XP_010428829.1, XP_010471945.1
OG0001046	Roisl.0007s0031.1.p	XP_010459795.1, XP_010498556.2, XP_010477361.1
OG0001046	Roisl.0004s0229.1.p	XP_010416580.1, XP_010428724.1, XP_010471815.1
OG0001047	Roisl.0007s0137.1.p	XP_010477222.1, XP_010459677.1, XP_010498425.1
OG0001047	Roisl.0004s0318.1.p	XP_010428612.1, XP_010416471.1, XP_010471704.1
OG0001048	Roisl.0028s0342.1.p	XP_010508534.1, XP_010517814.1, XP_010508535.1, XP_010506111.1
OG0001049	Roisl.0006s0460.1.p	XP_010462290.1, XP_010501046.1, XP_010479962.1
OG0001050	Roisl.0189s0084.1.p	XP_010429565.1, XP_019083499.1, XP_010472575.1
OG0001051	Roisl.0214s0218.1.p, Roisl.0214s0094.1.p, Roisl.0214s0092.1.p	XP_010441508.1, XP_010482310.1, XP_010441498.2, XP_010482307.1, XP_010441452.1, XP_010482308.1
OG0001052	Roisl.0005s0248.1.p	XP_010441660.1, XP_010481521.1, XP_010494740.1
OG0001052	Roisl.0091s0454.1.p	XP_010496255.1, XP_010439832.1
OG0001053	Roisl.0074s0385.1.p	XP_010465537.1, XP_010503256.1, XP_010487394.1, XP_010421709.1
OG0001053	Roisl.0006s0329.1.p	XP_010479786.1, XP_010462119.1
OG0001054	Roisl.0066s0279.1.p	XP_010516149.1, XP_010489260.1, XP_010467405.1
OG0001054	Roisl.0001s0113.1.p	XP_010447005.1, XP_010432347.1, XP_010437532.1
OG0001055	Roisl.0213s0423.1.p	XP_019094238.1, XP_019094885.1, XP_019097970.1, XP_010463045.1, XP_019091514.1, XP_010501709.2, XP_010478889.1, XP_010424500.1, XP_019094353.1
OG0001056	Roisl.0046s1540.1.p	XP_010504408.1, XP_010516124.1, XP_010427324.1
OG0001056	Roisl.0017s0342.1.p	XP_010505648.1, XP_010517323.1, XP_010508990.1
OG0001057	Roisl.0009s0298.1.p, Roisl.0001s0526.1.p	XP_010441086.1, XP_010450776.1, XP_010435855.1, XP_010466965.1, XP_010488654.1, XP_010514215.1
OG0001058	Roisl.0022s0375.1.p, Roisl.0057s0017.1.p	XP_010442088.1, XP_010438658.1, XP_010433406.1, XP_010448177.1, XP_019097262.1, XP_010481915.1
OG0001058	Roisl.0214s0451.1.p	XP_010489035.1, XP_010467817.1
OG0001059	Roisl.0017s0068.1.p	XP_010509358.1
OG0001059	Roisl.0074s0812.1.p	XP_010498291.1
OG0001060	Roisl.0019s0262.1.p, Roisl.0083s0025.1.p	XP_010471264.1, XP_010415982.1, XP_010428118.2
OG0001061	Roisl.0082s0642.1.p	XP_010414491.2, XP_010513274.1
OG0001061	Roisl.0039s0121.1.p	XP_010518578.1, XP_019093733.1, XP_019093670.1, XP_019092504.1, XP_010486064.1
OG0001063	Roisl.0115s0536.1.p, Roisl.0053s0208.1.p, Roisl.0115s0532.1.p	XP_010490086.1
OG0001065	Roisl.0015s0022.1.p	XP_010426564.1, XP_010419541.1, XP_010456322.1
OG0001065	Roisl.0028s0054.1.p	XP_010508183.1, XP_010506472.1
OG0001066	Roisl.0007s0738.1.p	XP_019094205.1, XP_010495771.1, XP_010458894.1
OG0001066	Roisl.0007s0739.1.p, Roisl.0007s0740.1.p	XP_010495763.1, XP_010458888.1, XP_010476442.1
OG0001067	Roisl.0019s0472.1.p	XP_010415746.1, XP_010427840.1, XP_010471058.1
OG0001067	Roisl.0191s0168.1.p	XP_010460117.1, XP_010498837.1
OG0001069	Roisl.0209s0645.1.p	XP_010430204.1, XP_010473402.1, XP_010418157.1
OG0001069	Roisl.0209s0644.1.p	XP_010418158.1, XP_010430203.1
OG0001069	Roisl.0209s0646.1.p	XP_019083643.1, XP_019093851.1
