Orthogroup	Rorippa_islandica	Cardamine_hirsuta
OG0000530	Roisl.0031s0036.1.p	CARHR265710
OG0000531	Roisl.0046s0196.1.p	CARHR188310
OG0000531	Roisl.0046s0191.1.p	CARHR188350
OG0000533	Roisl.0025s0098.1.p, Roisl.0025s0096.1.p	CARHR286630
OG0000535	Roisl.0191s0126.1.p	CARHR023280
OG0000535	Roisl.0191s0125.1.p	CARHR023260
OG0000535	Roisl.0026s0078.1.p	CARHR168410, CARHR168430
OG0000535	Roisl.0026s0080.1.p	CARHR168400, CARHR168420
OG0000536	Roisl.0082s0169.1.p	CARHR215920, CARHR215900
OG0000537	Roisl.0079s0183.1.p	CARHR082530
OG0000537	Roisl.0014s0002.1.p	CARHR184200
OG0000537	Roisl.0079s0184.1.p	CARHR082540
OG0000538	Roisl.0080s0145.1.p, Roisl.0080s0144.1.p	CARHR274860, CARHR274880, CARHR274890
OG0000539	Roisl.0082s0722.1.p	CARHR122630, CARHR122640
OG0000540	Roisl.0033s0164.1.p, Roisl.0033s0128.1.p	CARHR124720
OG0000540	Roisl.0033s0127.1.p	CARHR124400, CARHR124580
OG0000540	Roisl.0033s0144.1.p	CARHR124730
OG0000542	Roisl.0021s0107.1.p	CARHR010580
OG0000542	Roisl.0214s0658.1.p	CARHR053260
OG0000542	Roisl.0191s0287.1.p	CARHR024780
OG0000542	Roisl.0019s0537.1.p	CARHR063060
OG0000543	Roisl.0012s0383.1.p	CARHR177550, CARHR177600
OG0000543	Roisl.0012s0151.1.p, Roisl.0012s0384.1.p	CARHR177540
OG0000543	Roisl.0012s0375.1.p	CARHR177670
OG0000543	Roisl.0012s0381.1.p, Roisl.0012s0149.1.p	CARHR177610, CARHR177580
OG0000543	Roisl.0012s0380.1.p	CARHR177590
OG0000544	Roisl.0091s0317.1.p	CARHR200550
OG0000544	Roisl.0091s0318.1.p	CARHR152800, CARHR226650, CARHR225340
OG0000546	Roisl.0074s1038.1.p, Roisl.0074s1039.1.p, Roisl.0019s0648.1.p	CARHR283630
OG0000546	Roisl.0115s0632.1.p	CARHR140230
OG0000547	Roisl.0028s0243.1.p, Roisl.0028s0242.1.p	CARHR138760
OG0000547	Roisl.0028s0244.1.p	CARHR138740
OG0000548	Roisl.0009s0293.1.p	CARHR001950
OG0000548	Roisl.0058s0080.1.p	CARHR217760
OG0000549	Roisl.0028s0670.1.p, Roisl.0012s0094.1.p	CARHR126770
OG0000549	Roisl.0028s0726.1.p, Roisl.0082s0653.1.p	CARHR127300
OG0000549	Roisl.0028s0697.1.p, Roisl.0028s0698.1.p	CARHR126970
OG0000552	Roisl.0027s0072.1.p	CARHR151270, CARHR151320, CARHR151300, CARHR151260, CARHR151280
OG0000553	Roisl.0053s0180.1.p	CARHR101180
OG0000554	Roisl.0019s0014.1.p	CARHR253710, CARHR253700
OG0000554	Roisl.0209s0248.1.p, Roisl.0209s0247.1.p	CARHR253730
OG0000554	Roisl.0209s0249.1.p	CARHR253720
OG0000555	Roisl.0002s0229.1.p, Roisl.0034s0057.1.p	CARHR221510
OG0000555	Roisl.0046s0976.1.p	CARHR159840
OG0000555	Roisl.0011s0527.1.p, Roisl.0209s0253.1.p	CARHR039930, CARHR148610
OG0000555	Roisl.0115s0459.1.p	CARHR097090
OG0000556	Roisl.0209s0587.1.p	CARHR049900
OG0000557	Roisl.0046s0526.1.p	CARHR292760, CARHR285920
OG0000557	Roisl.0046s0528.1.p, Roisl.0046s0527.1.p	CARHR257100, CARHR292750
OG0000561	Roisl.0022s0082.1.p	CARHR263090
OG0000561	Roisl.0184s0207.1.p	CARHR154070
OG0000561	Roisl.0210s1249.1.p	CARHR197820
OG0000562	Roisl.0210s1908.1.p	CARHR191090, CARHR155630
OG0000563	Roisl.0191s0181.1.p	CARHR124610, CARHR023850
OG0000564	Roisl.0041s0005.1.p	CARHR184330
OG0000564	Roisl.0018s0222.1.p	CARHR171400
OG0000564	Roisl.0035s0179.1.p	CARHR140950
OG0000565	Roisl.0021s0239.1.p	CARHR011880
OG0000565	Roisl.0021s0237.1.p	CARHR011870
OG0000566	Roisl.0194s0042.1.p	CARHR292650, CARHR181100, CARHR181080
OG0000567	Roisl.0002s0214.1.p, Roisl.0184s0059.1.p	CARHR221740
OG0000567	Roisl.0002s0213.1.p, Roisl.0002s0215.1.p	CARHR054030
OG0000567	Roisl.0011s0180.1.p	CARHR145790, CARHR145270
OG0000567	Roisl.0064s0009.1.p	CARHR215390
OG0000567	Roisl.0011s0181.1.p	CARHR146690
OG0000568	Roisl.0028s0167.1.p	CARHR139380
OG0000568	Roisl.0028s0165.1.p	CARHR139410
OG0000569	Roisl.0024s0542.1.p	CARHR280390
OG0000569	Roisl.0003s0146.1.p	CARHR239210
OG0000569	Roisl.0042s0112.1.p	CARHR207730
OG0000570	Roisl.0080s0358.1.p, Roisl.0080s0384.1.p, Roisl.0080s0393.1.p, Roisl.0080s0317.1.p	CARHR273100
OG0000571	Roisl.0046s1340.1.p	CARHR163670
OG0000571	Roisl.0058s0074.1.p	CARHR228310, CARHR254090, CARHR083760
OG0000572	Roisl.0066s0251.1.p	CARHR107280
OG0000572	Roisl.0075s0032.1.p	CARHR180450
OG0000573	Roisl.0082s0271.1.p	CARHR252430
OG0000573	Roisl.0082s0270.1.p	CARHR252440
OG0000573	Roisl.0082s0269.1.p	CARHR252450
OG0000579	Roisl.0016s0129.1.p	CARHR076040
OG0000579	Roisl.0210s0534.1.p, Roisl.0080s0143.1.p	CARHR274900
OG0000580	Roisl.0091s0880.1.p	CARHR005640
OG0000580	Roisl.0017s0511.1.p, Roisl.0033s0169.1.p	CARHR124950, CARHR214280
OG0000580	Roisl.0091s0881.1.p	CARHR005650
OG0000581	Roisl.0210s1781.1.p	CARHR192260
OG0000581	Roisl.0210s1761.1.p	CARHR192500
OG0000581	Roisl.0210s1780.1.p	CARHR192270
OG0000582	Roisl.0051s0051.1.p	CARHR117250
OG0000582	Roisl.0210s1906.1.p	CARHR191110
OG0000582	Roisl.0027s0016.1.p	CARHR151600
OG0000582	Roisl.0027s0018.1.p	CARHR151610
OG0000583	Roisl.0006s0423.1.p	CARHR043730
OG0000583	Roisl.0007s0430.1.p	CARHR017500
OG0000583	Roisl.0004s0039.1.p	CARHR072060
OG0000583	Roisl.0074s0487.1.p	CARHR089730
OG0000584	Roisl.0209s0687.1.p	CARHR050810
OG0000584	Roisl.0185s0030.1.p	CARHR035310
OG0000584	Roisl.0189s0023.1.p	CARHR181990
OG0000585	Roisl.0046s1656.1.p, Roisl.0046s1657.1.p	CARHR166660
OG0000588	Roisl.0082s0741.1.p	CARHR122770
OG0000588	Roisl.0082s0742.1.p	CARHR122810
OG0000588	Roisl.0082s0740.1.p	CARHR122760
OG0000588	Roisl.0082s0739.1.p	CARHR122750
OG0000589	Roisl.0080s0813.1.p	CARHR268550
OG0000589	Roisl.0210s1725.1.p, Roisl.0210s1724.1.p	CARHR192830
OG0000590	Roisl.0213s0856.1.p	CARHR263610, CARHR263330
OG0000590	Roisl.0213s0855.1.p, Roisl.0015s0159.1.p	CARHR263380, CARHR263360, CARHR263370
OG0000591	Roisl.0024s0074.1.p, Roisl.0024s0083.1.p, Roisl.0024s0081.1.p, Roisl.0024s0075.1.p	CARHR059300
OG0000591	Roisl.0022s0332.1.p	CARHR234300
OG0000591	Roisl.0080s0788.1.p	CARHR268790
OG0000592	Roisl.0004s0038.1.p	CARHR072070
OG0000592	Roisl.0007s0432.1.p	CARHR017490
OG0000592	Roisl.0022s0416.1.p	CARHR235230
OG0000593	Roisl.0004s0101.1.p	CARHR071420
OG0000593	Roisl.0074s0059.1.p	CARHR094130, CARHR034950
OG0000594	Roisl.0044s0091.1.p	CARHR237180, CARHR237160
OG0000595	Roisl.0214s0554.1.p, Roisl.0214s0541.1.p, Roisl.0214s0553.1.p, Roisl.0214s0556.1.p	CARHR051860
OG0000595	Roisl.0004s0494.1.p	CARHR067250
OG0000596	Roisl.0021s0621.1.p	CARHR117940
OG0000596	Roisl.0011s0347.1.p	CARHR146780
OG0000597	Roisl.0075s0161.1.p	CARHR220380
OG0000597	Roisl.0075s0162.1.p	CARHR152270, CARHR220390
OG0000597	Roisl.0075s0160.1.p	CARHR220370
OG0000598	Roisl.0001s0122.1.p	CARHR243420
OG0000598	Roisl.0001s0327.1.p	CARHR245210
OG0000599	Roisl.0082s0122.1.p, Roisl.0115s0676.1.p	CARHR112530, CARHR247520
OG0000600	Roisl.0039s0083.1.p	CARHR079960
OG0000600	Roisl.0210s0211.1.p	CARHR002150
OG0000600	Roisl.0046s0377.1.p	CARHR186280
OG0000601	Roisl.0214s0700.1.p	CARHR283890
OG0000601	Roisl.0028s0434.1.p	CARHR136930
OG0000602	Roisl.0079s0051.1.p	CARHR081240
OG0000602	Roisl.0079s0058.1.p	CARHR081300
OG0000602	Roisl.0003s0288.1.p	CARHR240650
OG0000603	Roisl.0022s0074.1.p	CARHR081900, CARHR221320
OG0000604	Roisl.0074s0188.1.p	CARHR283550
OG0000605	Roisl.0191s0532.1.p	CARHR249080
OG0000605	Roisl.0191s0617.1.p, Roisl.0191s0616.1.p	CARHR249940
OG0000606	Roisl.0012s0165.1.p	CARHR177030, CARHR177100
OG0000606	Roisl.0001s0240.1.p	CARHR244550
OG0000609	Roisl.0066s0238.1.p	CARHR293370
OG0000609	Roisl.0066s0237.1.p	CARHR293380
OG0000610	Roisl.0214s0041.1.p	CARHR117280
OG0000610	Roisl.0017s0157.1.p	CARHR116950
OG0000610	Roisl.0214s0036.1.p	CARHR118600
OG0000610	Roisl.0214s0032.1.p	CARHR116900
OG0000610	Roisl.0023s0026.1.p	CARHR118610
OG0000613	Roisl.0046s1299.1.p	CARHR163070
OG0000613	Roisl.0030s0055.1.p	CARHR272090
OG0000614	Roisl.0019s0388.1.p, Roisl.0019s0387.1.p, Roisl.0019s0386.1.p, Roisl.0019s0433.1.p, Roisl.0019s0392.1.p, Roisl.0019s0389.1.p, Roisl.0019s0429.1.p, Roisl.0019s0430.1.p, Roisl.0019s0432.1.p, Roisl.0019s0431.1.p	CARHR064250
OG0000615	Roisl.0214s0171.1.p	CARHR071980
OG0000616	Roisl.0007s0340.1.p	CARHR018530
OG0000617	Roisl.0042s0080.1.p	CARHR207350
OG0000617	Roisl.0042s0078.1.p	CARHR207330
OG0000617	Roisl.0042s0079.1.p	CARHR207340
OG0000618	Roisl.0034s0030.1.p	CARHR212110
OG0000618	Roisl.0064s0001.1.p, Roisl.0046s0639.1.p	CARHR258060, CARHR258070, CARHR113120, CARHR113130
OG0000618	Roisl.0074s0830.1.p	CARHR086290
OG0000619	Roisl.0007s0793.1.p, Roisl.0007s0790.1.p	CARHR045880
OG0000619	Roisl.0007s0784.1.p, Roisl.0007s0783.1.p, Roisl.0007s0785.1.p	CARHR045870
OG0000620	Roisl.0058s0005.1.p	CARHR218840
OG0000620	Roisl.0012s0322.1.p	CARHR178290
OG0000620	Roisl.0012s0320.1.p	CARHR178270
OG0000621	Roisl.0026s0122.1.p	CARHR167820
OG0000621	Roisl.0026s0123.1.p	CARHR167840
OG0000621	Roisl.0026s0125.1.p	CARHR167990
OG0000621	Roisl.0026s0120.1.p	CARHR167960
OG0000622	Roisl.0017s0057.1.p	CARHR131700
OG0000622	Roisl.0046s1320.1.p	CARHR163330
OG0000622	Roisl.0080s0204.1.p	CARHR274350
OG0000623	Roisl.0066s0116.1.p	CARHR108510
OG0000623	Roisl.0046s1070.1.p	CARHR160780
OG0000624	Roisl.0028s0220.1.p	CARHR099620
OG0000625	Roisl.0074s0657.1.p	CARHR087960
OG0000626	Roisl.0021s0404.1.p, Roisl.0057s0042.1.p	CARHR013440, CARHR013430
OG0000626	Roisl.0021s0403.1.p	CARHR013410, CARHR013420
OG0000626	Roisl.0003s0165.1.p	CARHR239390
OG0000627	Roisl.0214s0591.1.p	CARHR288930
OG0000627	Roisl.0214s0592.1.p	CARHR289000, CARHR288820
OG0000627	Roisl.0214s0593.1.p	CARHR052480, CARHR288790, CARHR288780, CARHR052490
OG0000628	Roisl.0008s0329.1.p	CARHR183040
OG0000633	Roisl.0191s0273.1.p, Roisl.0191s0272.1.p	CARHR024620
OG0000635	Roisl.0080s0192.1.p	CARHR274450
OG0000635	Roisl.0091s1091.1.p	CARHR007910
OG0000636	Roisl.0080s0288.1.p	CARHR273430
OG0000636	Roisl.0075s0076.1.p	CARHR219360, CARHR219410
OG0000636	Roisl.0021s0126.1.p	CARHR010760
OG0000637	Roisl.0209s0306.1.p	CARHR154420
OG0000637	Roisl.0080s0289.1.p	CARHR273420
OG0000637	Roisl.0046s1339.1.p	CARHR163540
OG0000638	Roisl.0080s0291.1.p	CARHR273400
OG0000638	Roisl.0209s0307.1.p	CARHR154430
OG0000638	Roisl.0209s0308.1.p	CARHR154440
OG0000639	Roisl.0018s0283.1.p	CARHR171910
OG0000639	Roisl.0191s0536.1.p	CARHR249120
OG0000639	Roisl.0035s0123.1.p	CARHR141530
OG0000640	Roisl.0053s0059.1.p	CARHR237070, CARHR237080
OG0000640	Roisl.0044s0082.1.p	CARHR237090, CARHR237060
OG0000640	Roisl.0044s0081.1.p	CARHR237050
OG0000641	Roisl.0080s0656.1.p	CARHR270290
OG0000641	Roisl.0044s0088.1.p	CARHR237140
OG0000641	Roisl.0214s0379.1.p	CARHR110200
OG0000642	Roisl.0035s0099.1.p, Roisl.0035s0103.1.p	CARHR107710
OG0000642	Roisl.0035s0104.1.p	CARHR141740
OG0000642	Roisl.0035s0100.1.p	CARHR141750
OG0000642	Roisl.0035s0105.1.p	CARHR141710
OG0000643	Roisl.0079s0323.1.p	CARHR210330
OG0000644	Roisl.0075s0147.1.p	CARHR220240, CARHR220250
OG0000644	Roisl.0009s0163.1.p	CARHR220260
OG0000645	Roisl.0091s1055.1.p	CARHR007570
OG0000645	Roisl.0091s1053.1.p, Roisl.0179s0017.1.p	CARHR007560
OG0000646	Roisl.0046s1319.1.p	CARHR163320
OG0000646	Roisl.0017s0056.1.p	CARHR131690
OG0000647	Roisl.0019s0720.1.p	CARHR061100
OG0000648	Roisl.0079s0272.1.p	CARHR083490
OG0000648	Roisl.0066s0274.1.p	CARHR107070, CARHR107060, CARHR107080, CARHR107090, CARHR107100, CARHR107050
OG0000649	Roisl.0007s0328.1.p	CARHR018660
OG0000649	Roisl.0013s0086.1.p	CARHR038260
OG0000649	Roisl.0074s0125.1.p	CARHR093430
OG0000650	Roisl.0074s0031.1.p	CARHR094440
OG0000650	Roisl.0008s0350.1.p	CARHR242100
OG0000652	Roisl.0210s1401.1.p	CARHR196180
OG0000653	Roisl.0022s0139.1.p	CARHR143010, CARHR232350
OG0000653	Roisl.0018s0422.1.p	CARHR173130
OG0000654	Roisl.0046s1612.1.p	CARHR166240, CARHR166160
OG0000655	Roisl.0028s0853.1.p	CARHR089580
OG0000655	Roisl.0213s0262.1.p	CARHR029430
OG0000656	Roisl.0011s0210.1.p	CARHR145570
OG0000656	Roisl.0007s0752.1.p	CARHR014420
OG0000656	Roisl.0007s0753.1.p	CARHR014410
OG0000657	Roisl.0046s0020.1.p	CARHR256250, CARHR146520
OG0000659	Roisl.0036s0067.1.p, Roisl.0005s0255.1.p, Roisl.0003s0207.1.p, Roisl.0006s0155.1.p, Roisl.0214s0268.1.p, Roisl.0027s0053.1.p, Roisl.0046s0193.1.p, Roisl.0017s0480.1.p, Roisl.0019s0597.1.p, Roisl.0074s0151.1.p, Roisl.0022s0027.1.p, Roisl.0080s0337.1.p, Roisl.0066s0395.1.p, Roisl.0064s0019.1.p, Roisl.0213s0191.1.p, Roisl.0011s0356.1.p, Roisl.0065s0013.1.p, Roisl.0213s0701.1.p, Roisl.0013s0149.1.p, Roisl.0006s0600.1.p, Roisl.0011s0318.1.p, Roisl.0191s0332.1.p, Roisl.0019s0814.1.p, Roisl.0080s0525.1.p, Roisl.0204s0117.1.p, Roisl.0008s0367.1.p, Roisl.0213s0028.1.p, Roisl.0044s0059.1.p, Roisl.0007s0261.1.p, Roisl.0033s0140.1.p, Roisl.0209s0211.1.p, Roisl.0189s0111.1.p, Roisl.0179s0041.1.p, Roisl.0191s0622.1.p, Roisl.0012s0134.1.p, Roisl.0047s0011.1.p, Roisl.0015s0129.1.p, Roisl.0206s0035.1.p, Roisl.0185s0007.1.p, Roisl.0074s0866.1.p, Roisl.0058s0012.1.p, Roisl.0210s1835.1.p, Roisl.0046s0997.1.p, Roisl.0038s0022.1.p, Roisl.0019s0305.1.p, Roisl.0191s0335.1.p, Roisl.0033s0017.1.p, Roisl.0006s0168.1.p, Roisl.0078s0006.1.p, Roisl.0025s0038.1.p, Roisl.0082s0259.1.p, Roisl.0209s0502.1.p, Roisl.0021s0475.1.p, Roisl.0198s0044.1.p, Roisl.0213s0609.1.p, Roisl.0007s0070.1.p, Roisl.0213s0436.1.p, Roisl.0011s0396.1.p	CARHR117400
OG0000660	Roisl.0080s0723.1.p	CARHR269450
OG0000660	Roisl.0075s0217.1.p	CARHR220840
OG0000660	Roisl.0080s0724.1.p	CARHR269440
OG0000661	Roisl.0067s0061.1.p	CARHR142960
OG0000661	Roisl.0210s0207.1.p	CARHR002110
OG0000661	Roisl.0082s0449.1.p	CARHR250520
OG0000662	Roisl.0191s0326.1.p, Roisl.0191s0325.1.p	CARHR024990
OG0000663	Roisl.0007s0281.1.p	CARHR019160
OG0000663	Roisl.0004s0499.1.p, Roisl.0004s0497.1.p	CARHR067220, CARHR067200
OG0000664	Roisl.0010s0182.1.p	CARHR047770
OG0000664	Roisl.0010s0184.1.p	CARHR047750
OG0000664	Roisl.0010s0180.1.p	CARHR047800
OG0000664	Roisl.0010s0179.1.p	CARHR047820
OG0000664	Roisl.0010s0178.1.p	CARHR047810
OG0000665	Roisl.0007s0608.1.p	CARHR042410
OG0000666	Roisl.0008s0164.1.p	CARHR230960
OG0000666	Roisl.0008s0167.1.p	CARHR230970
OG0000667	Roisl.0018s0200.1.p	CARHR171160
OG0000667	Roisl.0015s0021.1.p	CARHR248140
OG0000668	Roisl.0115s0346.1.p	CARHR095890
OG0000668	Roisl.0022s0015.1.p	CARHR056870, CARHR056890
OG0000668	Roisl.0022s0016.1.p	CARHR056880
OG0000669	Roisl.0193s0016.1.p	CARHR023140
OG0000669	Roisl.0053s0028.1.p	CARHR260800
OG0000670	Roisl.0011s0469.1.p, Roisl.0111s0034.1.p	CARHR147930
OG0000670	Roisl.0011s0470.1.p	CARHR147950, CARHR147940
OG0000671	Roisl.0209s0219.1.p, Roisl.0209s0220.1.p	CARHR254040, CARHR255750, CARHR254030, CARHR256630
OG0000672	Roisl.0213s0597.1.p	CARHR254820
OG0000673	Roisl.0091s0775.1.p	CARHR004720
OG0000673	Roisl.0091s0776.1.p	CARHR004710
OG0000674	Roisl.0074s0805.1.p	CARHR086550, CARHR179580
OG0000678	Roisl.0210s0619.1.p	CARHR204310
OG0000679	Roisl.0017s0441.1.p	CARHR125860
OG0000679	Roisl.0007s0539.1.p	CARHR016440
OG0000679	Roisl.0074s0713.1.p, Roisl.0115s0129.1.p	CARHR073680
OG0000680	Roisl.0028s0828.1.p	CARHR128340
OG0000680	Roisl.0001s0135.1.p	CARHR243530
OG0000680	Roisl.0115s0261.1.p	CARHR072260
OG0000680	Roisl.0213s0180.1.p	CARHR028630
OG0000681	Roisl.0115s0036.1.p	CARHR074490
OG0000681	Roisl.0074s0349.1.p	CARHR091110
OG0000681	Roisl.0006s0274.1.p	CARHR042500
OG0000682	Roisl.0028s0425.1.p	CARHR137020
OG0000682	Roisl.0213s0726.1.p	CARHR102980
OG0000683	Roisl.0188s0055.1.p	CARHR152320
OG0000683	Roisl.0016s0114.1.p	CARHR075950
OG0000684	Roisl.0028s0336.1.p	CARHR137870
OG0000684	Roisl.0026s0012.1.p	CARHR169120
OG0000684	Roisl.0026s0011.1.p	CARHR169130
OG0000684	Roisl.0026s0010.1.p	CARHR169140
OG0000685	Roisl.0016s0178.1.p	CARHR076460
OG0000685	Roisl.0213s0816.1.p	CARHR288730
OG0000685	Roisl.0184s0105.1.p	CARHR266960
OG0000686	Roisl.0191s0297.1.p	CARHR024890
OG0000686	Roisl.0191s0302.1.p	CARHR024900
OG0000687	Roisl.0179s0090.1.p	CARHR035720
OG0000687	Roisl.0179s0094.1.p, Roisl.0179s0093.1.p, Roisl.0179s0098.1.p	CARHR035730, CARHR053320
OG0000687	Roisl.0082s0297.1.p	CARHR252210
OG0000690	Roisl.0210s1668.1.p	CARHR193410
OG0000691	Roisl.0210s1281.1.p	CARHR197480
OG0000691	Roisl.0210s1283.1.p	CARHR197470
OG0000691	Roisl.0016s0165.1.p	CARHR076360
OG0000693	Roisl.0015s0182.1.p	CARHR217570
OG0000695	Roisl.0002s0009.1.p	CARHR222930
OG0000695	Roisl.0028s0067.1.p	CARHR140390
OG0000696	Roisl.0046s0862.1.p	CARHR158250
OG0000696	Roisl.0050s0013.1.p	CARHR046260
OG0000696	Roisl.0022s0442.1.p	CARHR235440
OG0000697	Roisl.0080s0261.1.p	CARHR259980, CARHR273710
OG0000697	Roisl.0080s0262.1.p	CARHR273700
OG0000698	Roisl.0080s0650.1.p	CARHR237200
OG0000698	Roisl.0044s0093.1.p	CARHR270360
OG0000699	Roisl.0046s0635.1.p, Roisl.0046s0632.1.p, Roisl.0046s0634.1.p	CARHR113180
OG0000700	Roisl.0006s0172.1.p	CARHR041140
OG0000700	Roisl.0006s0127.1.p	CARHR040730, CARHR040740
OG0000701	Roisl.0009s0219.1.p	CARHR261780
OG0000702	Roisl.0028s0440.1.p	CARHR136870
OG0000702	Roisl.0026s0146.1.p	CARHR167690
OG0000702	Roisl.0026s0148.1.p	CARHR167670
OG0000703	Roisl.0017s0372.1.p	CARHR134810
OG0000703	Roisl.0046s1567.1.p	CARHR165850
OG0000704	Roisl.0046s1365.1.p, Roisl.0011s0545.1.p	CARHR148820
OG0000704	Roisl.0046s0387.1.p	CARHR186220
OG0000705	Roisl.0017s0389.1.p, Roisl.0017s0387.1.p	CARHR134970
OG0000705	Roisl.0079s0276.1.p	CARHR083540
OG0000705	Roisl.0074s0882.1.p	CARHR085810
OG0000705	Roisl.0042s0091.1.p	CARHR207500
OG0000706	Roisl.0035s0053.1.p	CARHR142210
OG0000706	Roisl.0191s0640.1.p	CARHR250190
OG0000706	Roisl.0210s0135.1.p	CARHR001430
OG0000707	Roisl.0028s0178.1.p	CARHR139290
OG0000707	Roisl.0011s0019.1.p	CARHR143780
OG0000708	Roisl.0074s0300.1.p	CARHR091640
OG0000708	Roisl.0074s0301.1.p	CARHR091630
OG0000708	Roisl.0074s0297.1.p	CARHR091670
OG0000709	Roisl.0189s0016.1.p	CARHR289190, CARHR032540, CARHR260230
OG0000711	Roisl.0115s0468.1.p	CARHR117980, CARHR102320
OG0000711	Roisl.0012s0321.1.p	CARHR117990, CARHR135270, CARHR052870
OG0000711	Roisl.0111s0035.1.p	CARHR110540
OG0000714	Roisl.0082s0576.1.p	CARHR121140
OG0000715	Roisl.0046s0119.1.p	CARHR189010
OG0000715	Roisl.0046s0866.1.p, Roisl.0046s0817.1.p	CARHR158300
OG0000715	Roisl.0046s0120.1.p	CARHR189000
OG0000716	Roisl.0021s0546.1.p	CARHR045160
OG0000716	Roisl.0074s0643.1.p	CARHR088130
OG0000716	Roisl.0080s0666.1.p	CARHR270140
OG0000717	Roisl.0007s0717.1.p	CARHR014750
OG0000717	Roisl.0191s0315.1.p	CARHR025030
OG0000717	Roisl.0019s0562.1.p	CARHR062810
OG0000718	Roisl.0011s0393.1.p	CARHR147210
OG0000718	Roisl.0011s0391.1.p, Roisl.0011s0390.1.p	CARHR147190
OG0000718	Roisl.0013s0186.1.p, Roisl.0011s0392.1.p	CARHR147200
OG0000719	Roisl.0189s0170.1.p	CARHR264890
OG0000719	Roisl.0189s0173.1.p	CARHR264860
OG0000719	Roisl.0189s0172.1.p	CARHR264870
OG0000720	Roisl.0018s0408.1.p	CARHR173010
OG0000721	Roisl.0045s0032.1.p, Roisl.0045s0033.1.p	CARHR106100
OG0000721	Roisl.0021s0147.1.p	CARHR010940
OG0000721	Roisl.0021s0149.1.p	CARHR010960
OG0000721	Roisl.0021s0148.1.p	CARHR010950
OG0000721	Roisl.0028s0479.1.p	CARHR136530
OG0000722	Roisl.0015s0002.1.p	CARHR052960
OG0000722	Roisl.0016s0132.1.p	CARHR076060
OG0000723	Roisl.0011s0135.1.p	CARHR144900, CARHR144920
OG0000724	Roisl.0001s0319.1.p	CARHR245390
OG0000724	Roisl.0209s0019.1.p	CARHR215740, CARHR057480
OG0000724	Roisl.0034s0153.1.p	CARHR228230
OG0000725	Roisl.0082s0518.1.p	CARHR257200, CARHR095000
OG0000725	Roisl.0012s0014.1.p	CARHR257260
OG0000725	Roisl.0019s0005.1.p	CARHR050210
OG0000725	Roisl.0019s0010.1.p, Roisl.0209s0623.1.p, Roisl.0209s0622.1.p	CARHR050100
OG0000726	Roisl.0091s0574.1.p	CARHR061990
OG0000726	Roisl.0019s0632.1.p	CARHR062010
OG0000728	Roisl.0210s1453.1.p	CARHR195640, CARHR195650
OG0000728	Roisl.0016s0284.1.p	CARHR077500
OG0000729	Roisl.0204s0076.1.p	CARHR120010
OG0000730	Roisl.0115s0127.1.p	CARHR073700
OG0000730	Roisl.0017s0440.1.p	CARHR125870
OG0000730	Roisl.0007s0540.1.p, Roisl.0019s0140.1.p	CARHR016430
OG0000731	Roisl.0213s0231.1.p	CARHR029070
OG0000732	Roisl.0046s0203.1.p	CARHR188230
OG0000732	Roisl.0046s0202.1.p	CARHR188240
OG0000732	Roisl.0024s0376.1.p	CARHR032980
OG0000733	Roisl.0024s0294.1.p	CARHR084590, CARHR209410
OG0000734	Roisl.0209s0440.1.p	CARHR155990
OG0000735	Roisl.0210s1938.1.p	CARHR190780
OG0000735	Roisl.0002s0048.1.p	CARHR222570
OG0000736	Roisl.0080s0351.1.p, Roisl.0080s0352.1.p	CARHR285660, CARHR285680, CARHR285670
OG0000736	Roisl.0080s0350.1.p	CARHR285690
OG0000737	Roisl.0082s0419.1.p	CARHR250860
OG0000737	Roisl.0210s0233.1.p	CARHR041260, CARHR041250, CARHR002310
OG0000738	Roisl.0030s0093.1.p	CARHR209610
OG0000738	Roisl.0054s0024.1.p	CARHR130760
OG0000739	Roisl.0115s0125.1.p	CARHR073720
OG0000740	Roisl.0004s0064.1.p	CARHR071770
OG0000740	Roisl.0048s0038.1.p	CARHR034110
OG0000740	Roisl.0032s0084.1.p	CARHR260010
OG0000741	Roisl.0046s1568.1.p	CARHR165860
OG0000742	Roisl.0006s0261.1.p	CARHR042180
OG0000743	Roisl.0028s0099.1.p	CARHR140100
OG0000744	Roisl.0018s0246.1.p	CARHR171590
OG0000744	Roisl.0018s0247.1.p	CARHR171600
OG0000745	Roisl.0044s0102.1.p	CARHR237310
OG0000745	Roisl.0022s0281.1.p	CARHR233760
OG0000745	Roisl.0214s0368.1.p	CARHR110130
OG0000746	Roisl.0012s0123.1.p	CARHR180110
OG0000746	Roisl.0082s0584.1.p	CARHR121190
OG0000746	Roisl.0028s0151.1.p	CARHR139550
OG0000747	Roisl.0074s0266.1.p	CARHR092030
OG0000747	Roisl.0191s0674.1.p	CARHR250450
OG0000747	Roisl.0210s0204.1.p	CARHR002060
OG0000749	Roisl.0036s0076.1.p	CARHR287780
OG0000749	Roisl.0021s0643.1.p, Roisl.0198s0009.1.p, Roisl.0036s0079.1.p	CARHR182500
OG0000750	Roisl.0053s0295.1.p	CARHR272930
OG0000750	Roisl.0044s0134.1.p	CARHR289130
OG0000750	Roisl.0044s0130.1.p	CARHR237650
OG0000751	Roisl.0066s0374.1.p	CARHR050880
OG0000751	Roisl.0209s0696.1.p	CARHR050890
OG0000751	Roisl.0209s0697.1.p	CARHR050910
