Orthogroup	Rorippa_islandica	Arabidopsis_lyrata_NCBI
OG0002778	Roisl.0018s0067.1.p	XP_002878276.1
OG0002778	Roisl.0028s0266.1.p	XP_020884585.1
OG0002779	Roisl.0028s0559.1.p	XP_020883960.1
OG0002780	Roisl.0046s1492.1.p	XP_020881421.1
OG0002780	Roisl.0046s1493.1.p	XP_002876281.1
OG0002781	Roisl.0074s0540.1.p, Roisl.0074s0539.1.p	XP_002885026.2
OG0002782	Roisl.0017s0054.1.p	XP_020883328.1
OG0002782	Roisl.0046s1314.1.p	XP_002876203.1
OG0002783	Roisl.0046s1284.1.p	XP_002876187.1
OG0002784	Roisl.0213s0718.1.p	XP_002885794.1
OG0002784	Roisl.0053s0079.1.p	XP_020875293.1
OG0002785	Roisl.0053s0250.1.p	XP_002885634.1
OG0002786	Roisl.0066s0033.1.p, Roisl.0066s0031.1.p	XP_020889462.1
OG0002787	Roisl.0210s0326.1.p	XP_002889482.1
OG0002788	Roisl.0011s0094.1.p	XP_020882336.1
OG0002788	Roisl.0007s0667.1.p	XP_020867673.1
OG0002790	Roisl.0017s0314.1.p	XP_002879794.1
OG0002790	Roisl.0017s0315.1.p	XP_020883748.1
OG0002791	Roisl.0115s0690.1.p	XP_020872666.1
OG0002791	Roisl.0082s0140.1.p	XP_002880378.1
OG0002792	Roisl.0032s0074.1.p	XP_002874493.1
OG0002792	Roisl.0048s0042.1.p	XP_020868820.1
OG0002793	Roisl.0056s0032.1.p	XP_020868482.1
OG0002793	Roisl.0019s0337.1.p	XP_002887392.1
OG0002794	Roisl.0011s0118.1.p	XP_020880650.1
OG0002794	Roisl.0011s0117.1.p	XP_002875106.1
OG0002795	Roisl.0039s0116.1.p	XP_020887894.1
OG0002795	Roisl.0046s0337.1.p	XP_002872236.1
OG0002796	Roisl.0046s0457.1.p	XP_020876972.1
OG0002796	Roisl.0039s0053.1.p	XP_002884500.1
OG0002797	Roisl.0018s0087.1.p	XP_002876524.1
OG0002798	Roisl.0028s0254.1.p	XP_020883601.1
OG0002799	Roisl.0005s0064.1.p	XP_020885625.1
OG0002799	Roisl.0091s0572.1.p	XP_002868049.1
OG0002800	Roisl.0016s0358.1.p	XP_020886513.1, XP_020888587.1, XP_020887053.1, XP_020887038.1, XP_020887040.1
OG0002801	Roisl.0039s0018.1.p	XP_020886536.1
OG0002802	Roisl.0046s0433.1.p	XP_020876961.1
OG0002802	Roisl.0039s0022.1.p	XP_020886363.1
OG0002803	Roisl.0039s0163.1.p	XP_020886537.1
OG0002803	Roisl.0210s1619.1.p	XP_020878820.1
OG0002804	Roisl.0039s0166.1.p	XP_002882453.2
OG0002804	Roisl.0210s1613.1.p	XP_020878390.1
OG0002805	Roisl.0191s0588.1.p	XP_002872859.1
OG0002805	Roisl.0038s0005.1.p	XP_002883757.2
OG0002806	Roisl.0074s0429.1.p	XP_020886991.1
OG0002807	Roisl.0074s0249.1.p	XP_020889126.1
OG0002807	Roisl.0002s0053.1.p	XP_002868156.1
OG0002808	Roisl.0013s0057.1.p	XP_002894150.1
OG0002808	Roisl.0074s0073.1.p	XP_020887272.1
OG0002809	Roisl.0006s0150.1.p	XP_002864707.1, XP_020867446.1
OG0002810	Roisl.0053s0378.1.p	XP_020888971.1
OG0002810	Roisl.0075s0195.1.p	XP_002870312.2
OG0002811	Roisl.0021s0412.1.p	XP_002892730.1
OG0002811	Roisl.0021s0411.1.p	XP_020869282.1
OG0002812	Roisl.0021s0138.1.p	XP_020870806.1
OG0002812	Roisl.0214s0562.1.p	XP_002888124.1
OG0002813	Roisl.0021s0226.1.p	XP_002889871.1
OG0002814	Roisl.0021s0242.1.p	XP_020870937.1
OG0002814	Roisl.0209s0647.1.p	XP_020890209.1
OG0002815	Roisl.0189s0250.1.p, Roisl.0010s0071.1.p	XP_020890772.1
OG0002815	Roisl.0021s0318.1.p	XP_020867362.1
OG0002816	Roisl.0021s0330.1.p	XP_020868461.1
OG0002816	Roisl.0010s0085.1.p	XP_002888001.2
OG0002817	Roisl.0007s0400.1.p, Roisl.0019s0268.1.p	XP_020868553.1
OG0002818	Roisl.0019s0225.1.p	XP_002887447.1
OG0002818	Roisl.0007s0378.1.p	XP_002890230.1
OG0002819	Roisl.0019s0428.1.p, Roisl.0019s0434.1.p	XP_002888810.1
OG0002819	Roisl.0191s0141.1.p	XP_020869405.1
OG0002820	Roisl.0210s2089.1.p, Roisl.0210s2088.1.p	XP_002893883.1
OG0002820	Roisl.0001s0384.1.p, Roisl.0209s0592.1.p	XP_002877073.2
OG0002820	Roisl.0044s0050.1.p	XP_002867427.1
OG0002821	Roisl.0009s0063.1.p	XP_020872056.1
OG0002821	Roisl.0050s0078.1.p	XP_002887915.1
OG0002822	Roisl.0013s0018.1.p	XP_020866393.1, XP_002894168.1
OG0002823	Roisl.0001s0324.1.p	XP_020872106.1, XP_020872105.1
OG0002824	Roisl.0005s0351.1.p	XP_002865264.1
OG0002825	Roisl.0001s0189.1.p	XP_002869069.1
OG0002826	Roisl.0023s0094.1.p	XP_020884290.1
OG0002826	Roisl.0003s0259.1.p	XP_020874071.1
OG0002827	Roisl.0008s0316.1.p	XP_020872688.1
OG0002827	Roisl.0040s0003.1.p	XP_020888845.1
OG0002828	Roisl.0003s0189.1.p	XP_002869315.1
OG0002829	Roisl.0191s0635.1.p, Roisl.0191s0636.1.p	XP_020876994.1
OG0002830	Roisl.0006s0326.1.p	XP_002894396.2, XP_020866654.1, XP_002894395.1
OG0002831	Roisl.0010s0141.1.p, Roisl.0027s0007.1.p	XP_020885811.1, XP_002879672.1
OG0002832	Roisl.0074s0189.1.p	XP_002864048.1, XP_020866561.1, XP_020889159.1, XP_020871552.1
OG0002833	Roisl.0003s0014.1.p	XP_020875301.1
OG0002833	Roisl.0053s0350.1.p	XP_020872903.1, XP_020884697.1, XP_002869398.1
OG0002834	Roisl.0018s0255.1.p, Roisl.0018s0254.1.p	XP_020881568.1
OG0002835	Roisl.0188s0114.1.p	XP_002877131.1
OG0002836	Roisl.0209s0650.1.p	XP_002863542.2
OG0002836	Roisl.0001s0186.1.p	XP_002869071.1
OG0002836	Roisl.0001s0187.1.p	XP_020876248.1
OG0002837	Roisl.0031s0090.1.p	XP_002864227.1
OG0002837	Roisl.0022s0462.1.p	XP_002869531.1
OG0002839	Roisl.0210s1836.1.p, Roisl.0012s0135.1.p, Roisl.0020s0164.1.p, Roisl.0020s0177.1.p	XP_002875726.1, XP_002877339.1, XP_002868789.1
OG0002844	Roisl.0011s0186.1.p	XP_002875181.1
OG0002844	Roisl.0200s0021.1.p	XP_020877220.1
OG0002845	Roisl.0016s0282.1.p	XP_002884381.2
OG0002845	Roisl.0210s1450.1.p	XP_002873833.1
OG0002846	Roisl.0016s0011.1.p	XP_002882151.1
OG0002846	Roisl.0210s1106.1.p	XP_020877912.1
OG0002847	Roisl.0210s1091.1.p	XP_002871591.1
OG0002848	Roisl.0075s0054.1.p	XP_002875167.1, XP_002875147.1, XP_020875733.1
OG0002848	Roisl.0053s0252.1.p	XP_002885633.1
OG0002849	Roisl.0017s0326.1.p	XP_020881854.1
OG0002850	Roisl.0210s0846.1.p	XP_002873505.1
OG0002850	Roisl.0046s0213.1.p	XP_002874258.1
OG0002851	Roisl.0210s0836.1.p	XP_002873499.1
OG0002852	Roisl.0046s0577.1.p	XP_020866244.1
OG0002852	Roisl.0046s0341.1.p	XP_002872240.1
OG0002853	Roisl.0210s1997.1.p	XP_002872051.2
OG0002853	Roisl.0210s0579.1.p	XP_020877032.1
OG0002854	Roisl.0209s0491.1.p, Roisl.0046s0672.1.p	XP_020883136.1
OG0002855	Roisl.0204s0016.1.p	XP_002880966.1
OG0002856	Roisl.0033s0064.1.p	XP_002881111.1
OG0002856	Roisl.0091s0953.1.p	XP_020869368.1
OG0002857	Roisl.0091s0879.1.p	XP_020869886.1
OG0002858	Roisl.0028s0641.1.p	XP_002879399.1
OG0002858	Roisl.0091s0759.1.p	XP_020868787.1
OG0002859	Roisl.0091s0766.1.p	XP_002892269.1
OG0002859	Roisl.0028s0632.1.p	XP_020883155.1
OG0002860	Roisl.0028s0663.1.p	XP_002881240.1
OG0002860	Roisl.0091s0730.1.p	XP_020867334.1
OG0002861	Roisl.0028s0717.1.p	XP_002881269.1
OG0002861	Roisl.0091s0701.1.p	XP_020867463.1
OG0002862	Roisl.0091s1071.1.p	XP_020867784.1, XP_002868555.1, XP_020873082.1, XP_020879140.1
OG0002863	Roisl.0022s0217.1.p	XP_020873764.1
OG0002863	Roisl.0022s0220.1.p	XP_020873762.1
OG0002865	Roisl.0028s0979.1.p	XP_020883918.1
OG0002865	Roisl.0213s0450.1.p	XP_002893684.1
OG0002866	Roisl.0213s0470.1.p	XP_002890955.2
OG0002867	Roisl.0028s0974.1.p	XP_002862723.1, XP_020885695.1
OG0002868	Roisl.0024s0491.1.p	XP_020871060.1
OG0002868	Roisl.0046s0919.1.p	XP_020882136.1, XP_020866231.1
OG0002869	Roisl.0024s0468.1.p	XP_020885977.1
OG0002869	Roisl.0046s0904.1.p	XP_002875982.1
OG0002870	Roisl.0024s0247.1.p	XP_002864861.1
OG0002870	Roisl.0210s0609.1.p	XP_002871347.1
OG0002871	Roisl.0024s0211.1.p	XP_020885664.1
OG0002872	Roisl.0080s0080.1.p	XP_020878763.1
OG0002872	Roisl.0080s0079.1.p	XP_002866451.1
OG0002873	Roisl.0210s1842.1.p	XP_020877222.1
OG0002874	Roisl.0022s0337.1.p	XP_002867545.1
OG0002874	Roisl.0080s0806.1.p	XP_020884696.1
OG0002875	Roisl.0080s0803.1.p, Roisl.0048s0010.1.p	XP_020889874.1
OG0002875	Roisl.0022s0335.1.p	XP_002869595.1
OG0002876	Roisl.0046s0978.1.p	XP_020879858.1
OG0002877	Roisl.0010s0138.1.p	XP_020865784.1
OG0002878	Roisl.0011s0194.1.p, Roisl.0030s0190.1.p	XP_020880012.1, XP_020891752.1, XP_020879779.1, XP_020879307.1
OG0002879	Roisl.0030s0138.1.p	XP_020878431.1
OG0002879	Roisl.0074s1001.1.p	XP_020886428.1
OG0002880	Roisl.0009s0091.1.p	XP_020875136.1
OG0002880	Roisl.0010s0202.1.p	XP_002886384.1
OG0002881	Roisl.0012s0360.1.p	XP_002889304.2, XP_020885337.1
OG0002882	Roisl.0024s0028.1.p	XP_020865923.1, XP_020865712.1
OG0002883	Roisl.0004s0042.1.p	XP_020890440.1
OG0002883	Roisl.0007s0426.1.p	XP_020869601.1, XP_020872922.1
OG0002884	Roisl.0046s0914.1.p	XP_002877697.1
OG0002885	Roisl.0053s0407.1.p	XP_002883388.1
OG0002886	Roisl.0054s0042.1.p	XP_002881460.1
OG0002886	Roisl.0046s1288.1.p	XP_002877902.1
OG0002887	Roisl.0008s0254.1.p	XP_020873381.1
OG0002888	Roisl.0082s0048.1.p, Roisl.0082s0047.1.p	XP_020877035.1, XP_020875707.1
OG0002889	Roisl.0053s0197.1.p	XP_002885665.1
OG0002890	Roisl.0058s0025.1.p	XP_002863244.2
OG0002890	Roisl.0053s0242.1.p	XP_020887639.1
OG0002891	Roisl.0007s0041.1.p	XP_020870735.1
OG0002892	Roisl.0004s0458.1.p	XP_002887540.2
OG0002893	Roisl.0005s0293.1.p	XP_002865238.1
OG0002893	Roisl.0210s1769.1.p	XP_020878758.1
OG0002894	Roisl.0005s0164.1.p	XP_002863511.1
OG0002895	Roisl.0074s0388.1.p	XP_020887649.1
OG0002895	Roisl.0006s0332.1.p	XP_020867819.1
OG0002896	Roisl.0022s0214.1.p, Roisl.0022s0213.1.p	XP_020872491.1
OG0002897	Roisl.0045s0066.1.p, Roisl.0001s0001.1.p	XP_002883897.1, XP_002883898.1
OG0002898	Roisl.0005s0062.1.p	XP_020882725.1, XP_020868915.1
OG0002899	Roisl.0001s0080.1.p	XP_020872644.1
OG0002899	Roisl.0066s0326.1.p	XP_020888002.1
OG0002900	Roisl.0091s0017.1.p	XP_020873334.1
OG0002900	Roisl.0213s0540.1.p	XP_020876082.1
OG0002902	Roisl.0082s0223.1.p	XP_002874813.2
OG0002902	Roisl.0091s0132.1.p	XP_020873795.1
OG0002903	Roisl.0046s1068.1.p	XP_020881648.1
OG0002903	Roisl.0024s0650.1.p	XP_020887391.1
OG0002904	Roisl.0024s0665.1.p	XP_002865085.1
OG0002904	Roisl.0046s1075.1.p	XP_002876077.1
OG0002905	Roisl.0024s0677.1.p	XP_020882826.1
OG0002906	Roisl.0035s0011.1.p	XP_020884103.1
OG0002906	Roisl.0018s0361.1.p	XP_020882224.1, XP_020865875.1
OG0002907	Roisl.0018s0345.1.p	XP_020880316.1
OG0002907	Roisl.0035s0038.1.p	XP_020885129.1
OG0002908	Roisl.0018s0290.1.p	XP_002878399.1
OG0002908	Roisl.0035s0108.1.p	XP_020883468.1
OG0002909	Roisl.0035s0116.1.p	XP_020884379.1
OG0002910	Roisl.0018s0198.1.p	XP_002876580.1
OG0002911	Roisl.0028s0213.1.p	XP_002881932.2
OG0002913	Roisl.0046s1435.1.p	XP_020881276.1
OG0002914	Roisl.0031s0115.1.p	XP_002864242.1
OG0002914	Roisl.0022s0460.1.p	XP_002869532.1
OG0002915	Roisl.0015s0179.1.p, Roisl.0038s0030.1.p	XP_002885820.1
OG0002916	Roisl.0001s0265.1.p	XP_002867014.1
OG0002916	Roisl.0066s0094.1.p	XP_002886153.1
OG0002917	Roisl.0080s0565.1.p	XP_002864515.1
OG0002918	Roisl.0017s0134.1.p	XP_020882730.1, XP_020874149.1
OG0002919	Roisl.0210s1642.1.p	XP_020875819.1, XP_002871874.1
OG0002921	Roisl.0016s0260.1.p	XP_002884366.1
OG0002922	Roisl.0046s0422.1.p	XP_002874383.1
OG0002922	Roisl.0039s0034.1.p	XP_020886885.1
OG0002923	Roisl.0039s0104.1.p	XP_020873798.1, XP_020887212.1
OG0002923	Roisl.0046s0353.1.p	XP_002874333.1
OG0002924	Roisl.0079s0198.1.p	XP_020888164.1
OG0002924	Roisl.0074s0636.1.p	XP_020886125.1
OG0002925	Roisl.0079s0252.1.p	XP_020886940.1, XP_002884705.2
OG0002926	Roisl.0074s1027.1.p	XP_020888629.1
OG0002926	Roisl.0074s1026.1.p	XP_020888630.1, XP_020873842.1
OG0002927	Roisl.0213s0763.1.p, Roisl.0074s0663.1.p	XP_002882815.1
OG0002928	Roisl.0074s0466.1.p	XP_020887602.1
OG0002928	Roisl.0006s0398.1.p	XP_002894432.1
OG0002929	Roisl.0074s0344.1.p	XP_020887245.1
OG0002930	Roisl.0074s0368.1.p	XP_002882966.1
OG0002930	Roisl.0074s0369.1.p	XP_002882965.1
OG0002931	Roisl.0074s0131.1.p	XP_002883106.1
OG0002931	Roisl.0074s0130.1.p	XP_020886031.1
OG0002932	Roisl.0074s0119.1.p	XP_002883116.1
OG0002933	Roisl.0115s0362.1.p	XP_002883178.1
OG0002935	Roisl.0115s0530.1.p	XP_020886808.1
OG0002936	Roisl.0115s0523.1.p	XP_020887849.1
OG0002937	Roisl.0022s0033.1.p	XP_002888334.1
OG0002938	Roisl.0191s0469.1.p	XP_002875027.1
OG0002938	Roisl.0210s0077.1.p	XP_002892051.1
OG0002939	Roisl.0210s0165.1.p	XP_002892104.2
OG0002939	Roisl.0191s0620.1.p	XP_002872878.1
OG0002940	Roisl.0033s0124.1.p	XP_020884814.1, XP_002862788.1
OG0002940	Roisl.0091s0888.1.p	XP_002892326.1
OG0002941	Roisl.0007s0621.1.p	XP_002875059.2
OG0002942	Roisl.0007s0157.1.p	XP_020867738.1
OG0002943	Roisl.0010s0177.1.p	XP_020891082.1, XP_002887953.1
OG0002944	Roisl.0209s0747.1.p	XP_002888107.1
OG0002944	Roisl.0209s0749.1.p	XP_020890055.1
OG0002945	Roisl.0214s0799.1.p	XP_002886724.2, XP_002886725.2
OG0002946	Roisl.0046s0500.1.p	XP_020883239.1
OG0002947	Roisl.0091s0153.1.p	XP_020873318.1
OG0002947	Roisl.0082s0248.1.p	XP_020876380.1
OG0002948	Roisl.0115s0701.1.p	XP_002868877.1
OG0002949	Roisl.0115s0668.1.p	XP_020879697.1
OG0002949	Roisl.0115s0671.1.p	XP_002868894.1
OG0002950	Roisl.0001s0418.1.p	XP_020874760.1
OG0002950	Roisl.0046s0564.1.p	XP_020885449.1
OG0002951	Roisl.0001s0184.1.p	XP_002869073.1
OG0002951	Roisl.0066s0176.1.p	XP_002884074.1
OG0002952	Roisl.0003s0257.1.p	XP_020874072.1
OG0002952	Roisl.0023s0093.1.p	XP_002878861.1
OG0002953	Roisl.0027s0135.1.p	XP_002878962.1
OG0002953	Roisl.0008s0264.1.p	XP_002867193.1
OG0002954	Roisl.0023s0062.1.p	XP_020885558.1
OG0002954	Roisl.0003s0229.1.p	XP_020874369.1
OG0002955	Roisl.0003s0215.1.p	XP_020875710.1
OG0002955	Roisl.0023s0035.1.p	XP_020882816.1
OG0002956	Roisl.0053s0275.1.p	XP_002871852.1
OG0002957	Roisl.0191s0595.1.p	XP_020879476.1, XP_002872864.2
OG0002958	Roisl.0214s0491.1.p	XP_020889573.1
OG0002958	Roisl.0022s0506.1.p	XP_020875116.1
OG0002960	Roisl.0189s0217.1.p, Roisl.0057s0012.1.p, Roisl.0002s0189.1.p, Roisl.0046s0517.1.p, Roisl.0082s0103.1.p, Roisl.0213s0658.1.p, Roisl.0110s0001.1.p, Roisl.0210s2117.1.p, Roisl.0041s0039.1.p, Roisl.0210s2201.1.p	XP_020875338.1
OG0002961	Roisl.0007s0780.1.p	XP_020869866.1, XP_020866228.1
OG0002962	Roisl.0001s0435.1.p	XP_002866919.1
OG0002962	Roisl.0022s0009.1.p	XP_020890900.1
OG0002963	Roisl.0074s0248.1.p	XP_002885181.2, XP_020889234.1
OG0002963	Roisl.0074s0233.1.p	XP_002883041.2
OG0002964	Roisl.0017s0001.1.p	XP_002879625.1
OG0002964	Roisl.0115s0084.1.p, Roisl.0022s0010.1.p	XP_002880841.2
OG0002971	Roisl.0042s0121.1.p	XP_002871160.1
OG0002972	Roisl.0021s0572.1.p	XP_020885715.1
OG0002972	Roisl.0003s0058.1.p	XP_020874269.1
OG0002973	Roisl.0079s0159.1.p	XP_020883120.1, XP_002882538.2
OG0002975	Roisl.0214s0022.1.p	XP_020876191.1, XP_020877842.1, XP_020876888.1
OG0002976	Roisl.0210s1392.1.p	XP_020877367.1
OG0002976	Roisl.0016s0237.1.p	XP_002882268.1
OG0002977	Roisl.0210s1299.1.p	XP_002871699.1
OG0002978	Roisl.0016s0021.1.p	XP_002882160.1
OG0002978	Roisl.0210s1113.1.p	XP_002871602.1
OG0002979	Roisl.0191s0155.1.p	XP_020866673.1
OG0002979	Roisl.0210s1024.1.p	XP_020879165.1
OG0002980	Roisl.0209s0072.1.p, Roisl.0075s0209.1.p, Roisl.0046s0687.1.p, Roisl.0075s0210.1.p	XP_020875191.1
OG0002981	Roisl.0210s0752.1.p	XP_020878573.1
OG0002981	Roisl.0024s0418.1.p	XP_020869100.1
OG0002982	Roisl.0210s0693.1.p	XP_002873426.1
OG0002982	Roisl.0024s0354.1.p	XP_002866629.1
OG0002983	Roisl.0046s0329.1.p, Roisl.0008s0160.1.p	XP_020879014.1, XP_020873455.1
OG0002984	Roisl.0210s0585.1.p	XP_020876278.1
OG0002985	Roisl.0091s0986.1.p	XP_020869580.1
OG0002985	Roisl.0033s0013.1.p	XP_020882779.1
OG0002987	Roisl.0012s0224.1.p	XP_020889889.1
OG0002988	Roisl.0214s0308.1.p	XP_002863733.2
OG0002988	Roisl.0213s0027.1.p	XP_002890741.1
OG0002989	Roisl.0028s0885.1.p	XP_020885508.1
OG0002990	Roisl.0213s0335.1.p	XP_002890892.1
OG0002990	Roisl.0213s0334.1.p	XP_002890891.1
OG0002991	Roisl.0209s0173.1.p	XP_020868029.1
OG0002992	Roisl.0024s0527.1.p	XP_002865008.1
OG0002993	Roisl.0046s0935.1.p	XP_002877713.1
OG0002994	Roisl.0024s0510.1.p	XP_020885106.1
OG0002995	Roisl.0080s0173.1.p, Roisl.0080s0174.1.p, Roisl.0025s0008.1.p	XP_020865768.1
OG0002996	Roisl.0210s1934.1.p	XP_020877258.1, XP_020877261.1
OG0002997	Roisl.0080s0241.1.p, Roisl.0080s0242.1.p	XP_020882524.1
OG0002998	Roisl.0080s0410.1.p	XP_002866291.2
OG0002999	Roisl.0080s0489.1.p, Roisl.0080s0477.1.p	XP_002866246.1, XP_002866252.1
OG0003000	Roisl.0080s0711.1.p, Roisl.0080s0710.1.p	XP_002864439.1
OG0003001	Roisl.0091s0904.1.p	XP_002892337.2
OG0003002	Roisl.0080s0841.1.p	XP_020871299.1
OG0003003	Roisl.0022s0366.1.p	XP_002867530.1
OG0003003	Roisl.0080s0845.1.p	XP_020871689.1
OG0003004	Roisl.0006s0074.1.p, Roisl.0046s0102.1.p	XP_020868163.1, XP_020866759.1
OG0003005	Roisl.0210s0402.1.p	XP_020876280.1
OG0003005	Roisl.0210s0401.1.p	XP_020875896.1
OG0003006	Roisl.0210s0252.1.p	XP_002892148.1
OG0003006	Roisl.0082s0394.1.p	XP_020876705.1
OG0003007	Roisl.0019s0843.1.p, Roisl.0038s0025.1.p, Roisl.0082s0622.1.p, Roisl.0082s0621.1.p, Roisl.0082s0623.1.p	XP_002882329.2
OG0003008	Roisl.0026s0160.1.p	XP_002876413.1, XP_002882226.1
OG0003009	Roisl.0079s0314.1.p	XP_002882625.1
OG0003010	Roisl.0009s0112.1.p	XP_020873193.1
OG0003010	Roisl.0009s0115.1.p	XP_020873190.1
OG0003011	Roisl.0191s0038.1.p	XP_020867953.1
OG0003011	Roisl.0004s0107.1.p	XP_020891017.1
OG0003012	Roisl.0021s0623.1.p	XP_002886802.1, XP_002886803.1
OG0003013	Roisl.0004s0143.1.p	XP_002889146.2
OG0003013	Roisl.0191s0002.1.p	XP_002893182.1
OG0003014	Roisl.0001s0181.1.p	XP_020873087.1
OG0003014	Roisl.0066s0180.1.p	XP_002884072.1
OG0003015	Roisl.0001s0182.1.p	XP_020873088.1
OG0003015	Roisl.0066s0179.1.p	XP_020888027.1
OG0003016	Roisl.0184s0021.1.p	XP_020877459.1
OG0003017	Roisl.0053s0172.1.p	XP_002863175.1
OG0003018	Roisl.0053s0187.1.p	XP_002883561.1
OG0003019	Roisl.0075s0087.1.p, Roisl.0075s0088.1.p	XP_020874234.1
OG0003020	Roisl.0075s0104.1.p	XP_002868327.1
OG0003021	Roisl.0007s0294.1.p	XP_020866336.1
OG0003021	Roisl.0004s0518.1.p	XP_002888950.1
OG0003022	Roisl.0191s0403.1.p	XP_020866365.1
OG0003022	Roisl.0019s0678.1.p	XP_020865683.1
OG0003023	Roisl.0044s0068.1.p	XP_020874202.1
OG0003023	Roisl.0044s0100.1.p	XP_020873138.1
OG0003024	Roisl.0007s0007.1.p	XP_002890429.1
OG0003025	Roisl.0025s0045.1.p	XP_002877090.2
OG0003025	Roisl.0009s0234.1.p	XP_020875468.1
OG0003026	Roisl.0025s0048.1.p	XP_020882358.1
OG0003027	Roisl.0005s0299.1.p	XP_002865240.1
OG0003027	Roisl.0005s0304.1.p	XP_020871876.1
OG0003028	Roisl.0115s0267.1.p	XP_002883194.1
OG0003029	Roisl.0006s0137.1.p	XP_002891593.1
OG0003029	Roisl.0115s0378.1.p	XP_020889529.1
OG0003030	Roisl.0013s0015.1.p	XP_020866035.1
OG0003031	Roisl.0006s0220.1.p	XP_020868916.1
OG0003032	Roisl.0074s0328.1.p	XP_002882984.1
OG0003033	Roisl.0017s0183.1.p	XP_020884309.1, XP_020884311.1
OG0003034	Roisl.0024s0624.1.p	XP_002863997.1
OG0003034	Roisl.0046s1039.1.p	XP_020881883.1
OG0003035	Roisl.0091s0269.1.p	XP_020874745.1
OG0003037	Roisl.0082s0277.1.p	XP_020876367.1
OG0003037	Roisl.0091s0204.1.p	XP_002867856.1
OG0003038	Roisl.0027s0035.1.p	XP_020880272.1
OG0003039	Roisl.0018s0203.1.p	XP_002878349.1
OG0003039	Roisl.0028s0046.1.p	XP_002882009.1
OG0003040	Roisl.0018s0157.1.p, Roisl.0018s0156.1.p	XP_002876554.2
OG0003041	Roisl.0018s0123.1.p	XP_020882373.1
OG0003043	Roisl.0026s0077.1.p	XP_002878188.1
OG0003044	Roisl.0046s1332.1.p	XP_002877924.1
OG0003045	Roisl.0016s0261.1.p, Roisl.0213s0501.1.p	XP_020886110.1
OG0003046	Roisl.0209s0042.1.p	XP_002888461.1
OG0003047	Roisl.0019s0832.1.p	XP_002888597.2
OG0003048	Roisl.0019s0818.1.p	XP_002887128.1
OG0003049	Roisl.0019s0775.1.p	XP_002888632.1
OG0003050	Roisl.0022s0012.1.p	XP_020890920.1
OG0003050	Roisl.0053s0128.1.p	XP_002868460.1
OG0003051	Roisl.0015s0071.1.p	XP_020870685.1
OG0003051	Roisl.0022s0124.1.p	XP_020873678.1
OG0003052	Roisl.0063s0038.1.p	XP_002878537.1
OG0003052	Roisl.0115s0721.1.p	XP_020872801.1
OG0003054	Roisl.0091s0274.1.p	XP_020874256.1, XP_020875028.1
OG0003055	Roisl.0210s1630.1.p	XP_002873931.1
OG0003056	Roisl.0039s0141.1.p	XP_020887438.1
OG0003056	Roisl.0210s1647.1.p	XP_020878272.1
OG0003057	Roisl.0046s0316.1.p	XP_020876187.1
OG0003059	Roisl.0067s0066.1.p	XP_020884109.1
OG0003060	Roisl.0028s0051.1.p	XP_020882789.1
OG0003061	Roisl.0028s0200.1.p	XP_002880073.1
OG0003062	Roisl.0028s0205.1.p	XP_002881934.1
OG0003063	Roisl.0191s0409.1.p	XP_002879950.1
OG0003064	Roisl.0039s0042.1.p	XP_002882401.1
OG0003064	Roisl.0046s0411.1.p	XP_020876905.1
OG0003065	Roisl.0091s1192.1.p	XP_020866925.1
OG0003065	Roisl.0039s0079.1.p	XP_002882422.1
OG0003066	Roisl.0039s0107.1.p	XP_020886154.1
OG0003066	Roisl.0039s0108.1.p	XP_020888079.1
OG0003067	Roisl.0036s0082.1.p	XP_002863984.1
OG0003068	Roisl.0079s0235.1.p, Roisl.0079s0232.1.p	XP_020889525.1
OG0003068	Roisl.0034s0019.1.p	XP_002872988.1
OG0003069	Roisl.0074s0921.1.p	XP_020889003.1, XP_002884818.1
OG0003070	Roisl.0021s0540.1.p	XP_002891840.1
OG0003071	Roisl.0012s0211.1.p	XP_020889712.1
OG0003071	Roisl.0074s0343.1.p	XP_020887246.1
OG0003072	Roisl.0074s0136.1.p	XP_020886476.1
OG0003072	Roisl.0013s0089.1.p	XP_020868450.1
OG0003073	Roisl.0074s0102.1.p	XP_020886618.1
OG0003073	Roisl.0013s0075.1.p	XP_020868677.1
OG0003074	Roisl.0032s0033.1.p	XP_002868542.1
OG0003074	Roisl.0024s0019.1.p	XP_002887043.1
OG0003075	Roisl.0210s1599.1.p	XP_002871847.1
OG0003076	Roisl.0191s0503.1.p	XP_020878864.1
OG0003076	Roisl.0210s0057.1.p	XP_020870080.1
OG0003077	Roisl.0210s0071.1.p	XP_020866660.1
OG0003077	Roisl.0191s0473.1.p	XP_002872952.1
OG0003078	Roisl.0210s0205.1.p	XP_002892124.1
OG0003079	Roisl.0210s0273.1.p	XP_020870322.1
OG0003079	Roisl.0214s0776.1.p	XP_020866151.1
OG0003080	Roisl.0033s0152.1.p	XP_002881146.1
OG0003081	Roisl.0214s0579.1.p	XP_002886604.2
OG0003081	Roisl.0021s0160.1.p	XP_020869791.1
OG0003082	Roisl.0011s0058.1.p	XP_002875083.1
OG0003083	Roisl.0007s0635.1.p	XP_002892843.1
OG0003084	Roisl.0007s0584.1.p	XP_002892869.1
OG0003085	Roisl.0007s0285.1.p	XP_002890281.1
OG0003085	Roisl.0004s0500.1.p	XP_020891015.1
