Orthogroup	Rorippa_islandica	Capsella_rubella
OG0003177	Roisl.0189s0248.1.p, Roisl.0189s0247.1.p	XP_006279824.1
OG0003178	Roisl.0191s0684.1.p	XP_006282022.1
OG0003178	Roisl.0007s0695.1.p	XP_006303791.2
OG0003179	Roisl.0002s0014.1.p	XP_006282574.1
OG0003180	Roisl.0091s0633.1.p	XP_006283553.1
OG0003180	Roisl.0028s0933.1.p	XP_006294082.1
OG0003181	Roisl.0046s1050.1.p	XP_023638376.1
OG0003182	Roisl.0018s0168.1.p	XP_006291085.1
OG0003182	Roisl.0209s0316.1.p	XP_023638577.1
OG0003183	Roisl.0018s0089.1.p	XP_023637742.1
OG0003183	Roisl.0028s0210.1.p	XP_006295323.1
OG0003185	Roisl.0019s0079.1.p	XP_006292024.1
OG0003187	Roisl.0046s1606.1.p	XP_006292250.1
OG0003187	Roisl.0046s1607.1.p	XP_006293262.1, XP_006290809.1
OG0003188	Roisl.0046s1594.1.p	XP_006291562.1
OG0003189	Roisl.0017s0293.1.p	XP_006293664.1
OG0003189	Roisl.0046s1490.1.p	XP_006290589.1
OG0003190	Roisl.0046s1346.1.p	XP_006293244.1
OG0003190	Roisl.0017s0096.1.p	XP_006293678.1
OG0003192	Roisl.0066s0121.1.p	XP_006297219.1
OG0003193	Roisl.0046s1672.1.p	XP_006292703.1
OG0003193	Roisl.0028s0527.1.p	XP_006294497.1
OG0003194	Roisl.0002s0063.1.p, Roisl.0017s0291.1.p	XP_006285261.2, XP_006293868.1
OG0003195	Roisl.0001s0315.1.p	XP_006285189.1
OG0003196	Roisl.0023s0022.1.p	XP_006296174.1
OG0003197	Roisl.0213s0554.1.p	XP_006288543.1
OG0003198	Roisl.0046s0402.1.p	XP_006288229.1
OG0003198	Roisl.0039s0052.1.p	XP_006298155.1
OG0003199	Roisl.0022s0523.1.p, Roisl.0214s0485.1.p	XP_006297625.1
OG0003200	Roisl.0046s0481.1.p	XP_006289663.1
OG0003201	Roisl.0039s0051.1.p	XP_006298278.1
OG0003202	Roisl.0210s1606.1.p	XP_006286363.1
OG0003202	Roisl.0079s0004.1.p	XP_006297026.1
OG0003203	Roisl.0079s0113.1.p	XP_023642448.1, XP_006298156.1
OG0003206	Roisl.0074s0723.1.p	XP_006298805.1
OG0003207	Roisl.0074s0531.1.p	XP_023641299.1
OG0003208	Roisl.0074s0067.1.p	XP_006299790.2
OG0003210	Roisl.0032s0012.1.p	XP_006291420.1
OG0003211	Roisl.0091s0713.1.p	XP_006306939.1
OG0003212	Roisl.0091s0981.1.p, Roisl.0091s0980.1.p	XP_006305942.1
OG0003213	Roisl.0091s1129.1.p	XP_006306342.1
OG0003214	Roisl.0214s0630.1.p	XP_006300441.1
OG0003214	Roisl.0021s0120.1.p	XP_006305877.1
OG0003215	Roisl.0021s0364.1.p	XP_023633231.1
OG0003216	Roisl.0019s0243.1.p, Roisl.0004s0366.1.p	XP_006297017.1
OG0003216	Roisl.0021s0413.1.p	XP_006306785.2
OG0003217	Roisl.0011s0112.1.p	XP_006292904.2
OG0003217	Roisl.0007s0682.1.p	XP_006303175.1
OG0003218	Roisl.0214s0225.1.p	XP_023637252.1
OG0003218	Roisl.0007s0401.1.p	XP_006305567.1
OG0003220	Roisl.0019s0316.1.p	XP_023644007.1
OG0003220	Roisl.0191s0099.1.p	XP_006307658.2
OG0003221	Roisl.0191s0123.1.p	XP_023645478.1
OG0003222	Roisl.0019s0399.1.p	XP_006302454.1
OG0003222	Roisl.0191s0128.1.p	XP_006305189.1
OG0003223	Roisl.0214s0527.1.p	XP_006301557.1
OG0003223	Roisl.0214s0526.1.p	XP_006301215.1
OG0003224	Roisl.0214s0679.1.p	XP_006301803.2
OG0003224	Roisl.0214s0675.1.p	XP_006302642.2, XP_006279103.2
OG0003225	Roisl.0002s0077.1.p	XP_006284675.2
OG0003226	Roisl.0013s0152.1.p	XP_023646036.1
OG0003227	Roisl.0001s0028.1.p	XP_006298767.1, XP_023634012.1
OG0003228	Roisl.0008s0317.1.p	XP_006286103.1
OG0003229	Roisl.0191s0341.1.p	XP_023632920.1, XP_006305850.1
OG0003230	Roisl.0022s0426.1.p	XP_006283681.1
OG0003230	Roisl.0195s0011.1.p	XP_006302216.1
OG0003231	Roisl.0011s0287.1.p	XP_006292439.1
OG0003231	Roisl.0011s0276.1.p	XP_006291887.1
OG0003233	Roisl.0001s0256.1.p	XP_023635267.1
OG0003233	Roisl.0008s0004.1.p	XP_006301757.1
OG0003234	Roisl.0004s0506.1.p	XP_006282524.1
OG0003234	Roisl.0046s0222.1.p	XP_006286403.1
OG0003235	Roisl.0074s0262.1.p	XP_023639593.1
OG0003236	Roisl.0046s0587.1.p	XP_006296193.1
OG0003237	Roisl.0213s0821.1.p	XP_006284650.1
OG0003237	Roisl.0185s0049.1.p	XP_006291935.1
OG0003238	Roisl.0209s0539.1.p	XP_023644082.1
OG0003239	Roisl.0020s0145.1.p, Roisl.0020s0149.1.p, Roisl.0020s0146.1.p, Roisl.0020s0148.1.p	XP_023638749.1
OG0003241	Roisl.0214s0899.1.p	XP_023638907.1
OG0003246	Roisl.0209s0368.1.p, Roisl.0209s0367.1.p	XP_023639151.1, XP_006291120.1
OG0003247	Roisl.0209s0382.1.p	XP_006290594.2
OG0003247	Roisl.0080s0357.1.p	XP_006281878.1
OG0003248	Roisl.0046s0720.1.p	XP_006290744.1
OG0003249	Roisl.0005s0143.1.p	XP_023638643.1
OG0003250	Roisl.0210s1217.1.p	XP_006287626.1
OG0003251	Roisl.0016s0010.1.p	XP_023642404.1
OG0003251	Roisl.0210s1104.1.p	XP_006287937.1
OG0003252	Roisl.0046s0292.1.p	XP_023635779.1
OG0003253	Roisl.0091s0472.1.p	XP_006283539.1
OG0003254	Roisl.0024s0392.1.p	XP_023635550.1
OG0003254	Roisl.0210s0741.1.p	XP_006287293.2
OG0003255	Roisl.0210s0740.1.p	XP_006288251.1
OG0003255	Roisl.0210s0739.1.p	XP_006288241.1
OG0003256	Roisl.0210s0729.1.p	XP_023635899.1
OG0003257	Roisl.0210s0677.1.p	XP_006298216.1
OG0003257	Roisl.0024s0333.1.p	XP_006280875.1
OG0003258	Roisl.0024s0311.1.p	XP_023641456.1
OG0003259	Roisl.0082s0763.1.p	XP_006295188.1
OG0003260	Roisl.0033s0067.1.p	XP_006294053.1
OG0003261	Roisl.0033s0078.1.p	XP_006295756.1
OG0003262	Roisl.0091s0814.1.p	XP_006304341.1
OG0003263	Roisl.0013s0020.1.p	XP_006304698.1
OG0003264	Roisl.0028s0686.1.p	XP_006294710.1
OG0003265	Roisl.0058s0102.1.p	XP_023636161.1
OG0003265	Roisl.0053s0382.1.p	XP_023642614.1
OG0003266	Roisl.0191s0304.1.p	XP_006305441.1
OG0003267	Roisl.0213s0300.1.p	XP_006305999.1
OG0003268	Roisl.0040s0109.1.p, Roisl.0209s0102.1.p	XP_006282090.1
OG0003269	Roisl.0210s0641.1.p	XP_006286942.1
OG0003269	Roisl.0024s0287.1.p	XP_023635901.1
OG0003270	Roisl.0080s0135.1.p	XP_023637229.1, XP_006279517.1
OG0003272	Roisl.0019s0594.1.p	XP_023644297.1, XP_006300950.2
OG0003273	Roisl.0210s1957.1.p	XP_006288588.1
OG0003274	Roisl.0066s0072.1.p	XP_006285554.2
OG0003275	Roisl.0074s0691.1.p	XP_006296826.1
OG0003276	Roisl.0080s0447.1.p, Roisl.0080s0448.1.p	XP_006281504.1, XP_006282808.1
OG0003277	Roisl.0080s0732.1.p	XP_006281046.1
OG0003277	Roisl.0022s0314.1.p	XP_006282707.1
OG0003278	Roisl.0046s0905.1.p	XP_006291199.1
OG0003279	Roisl.0046s0903.1.p	XP_006291513.1
OG0003279	Roisl.0024s0467.1.p	XP_006279650.1
OG0003280	Roisl.0030s0040.1.p, Roisl.0006s0103.1.p	XP_006288612.2
OG0003281	Roisl.0021s0326.1.p, Roisl.0002s0033.1.p	XP_023645574.1
OG0003282	Roisl.0191s0167.1.p	XP_006304050.1
OG0003283	Roisl.0189s0069.1.p	XP_023640219.1, XP_023640065.1
OG0003284	Roisl.0115s0073.1.p	XP_006300989.1
OG0003285	Roisl.0091s0419.1.p	XP_006284229.1
OG0003286	Roisl.0091s0329.1.p	XP_006285709.1
OG0003287	Roisl.0191s0059.1.p, Roisl.0191s0061.1.p, Roisl.0191s0060.1.p	XP_023632718.1
OG0003289	Roisl.0002s0236.1.p	XP_006284124.1
OG0003291	Roisl.0010s0183.1.p	XP_006300350.1, XP_023642994.1
OG0003292	Roisl.0191s0321.1.p	XP_023632826.1
OG0003293	Roisl.0006s0250.1.p	XP_006306335.1
OG0003293	Roisl.0009s0084.1.p	XP_023634341.1
OG0003294	Roisl.0074s0400.1.p	XP_006298925.1
OG0003295	Roisl.0091s0483.1.p	XP_006285662.1
OG0003297	Roisl.0024s0199.1.p	XP_023633471.1
OG0003298	Roisl.0091s0340.1.p	XP_006283107.1
OG0003299	Roisl.0189s0245.1.p	XP_006280024.1
OG0003300	Roisl.0041s0061.1.p	XP_006279579.1
OG0003300	Roisl.0006s0083.1.p	XP_006306893.1
OG0003301	Roisl.0046s1087.1.p	XP_006291300.1
OG0003302	Roisl.0035s0133.1.p	XP_023639488.1
OG0003303	Roisl.0046s1396.1.p	XP_006293281.1
OG0003304	Roisl.0022s0384.1.p	XP_006285228.1
OG0003305	Roisl.0082s0011.1.p	XP_006283900.1, XP_006297868.1
OG0003306	Roisl.0053s0430.1.p, Roisl.0014s0025.1.p	XP_006280308.1
OG0003307	Roisl.0019s0784.1.p	XP_006301528.2
OG0003308	Roisl.0066s0027.1.p	XP_006298890.1
OG0003309	Roisl.0006s0528.1.p	XP_006303464.1
OG0003309	Roisl.0074s0620.1.p	XP_006300126.1
OG0003310	Roisl.0179s0044.1.p	XP_023646060.1
OG0003310	Roisl.0020s0038.1.p	XP_023636419.1
OG0003311	Roisl.0035s0013.1.p	XP_006293795.2
OG0003312	Roisl.0004s0276.1.p	XP_023643601.1
OG0003312	Roisl.0028s0162.1.p	XP_006294486.1
OG0003313	Roisl.0012s0002.1.p	XP_006299480.1
OG0003313	Roisl.0001s0069.1.p	XP_006284527.1
OG0003314	Roisl.0039s0032.1.p, Roisl.0046s0445.1.p	XP_006298097.1
OG0003315	Roisl.0046s0306.1.p	XP_006287408.1
OG0003316	Roisl.0210s1608.1.p	XP_006286442.1
OG0003317	Roisl.0014s0127.1.p	XP_006281079.1
OG0003318	Roisl.0074s0430.1.p	XP_006299904.1, XP_006303507.1
OG0003319	Roisl.0074s0261.1.p	XP_006299477.1
OG0003320	Roisl.0013s0008.1.p	XP_006304312.1
OG0003321	Roisl.0022s0513.1.p, Roisl.0044s0002.1.p	XP_006285806.1
OG0003321	Roisl.0003s0267.1.p	XP_006286223.1
OG0003322	Roisl.0213s0820.1.p	XP_006284765.1
OG0003323	Roisl.0115s0574.1.p	XP_006299050.1
OG0003324	Roisl.0003s0025.1.p	XP_006284105.1
OG0003324	Roisl.0011s0317.1.p	XP_006300101.1
OG0003325	Roisl.0019s0773.1.p	XP_006300621.1
OG0003325	Roisl.0036s0081.1.p	XP_006280141.2
OG0003326	Roisl.0046s1137.1.p	XP_023638176.1
OG0003327	Roisl.0210s0085.1.p	XP_023645035.1
OG0003327	Roisl.0191s0527.1.p	XP_006288162.2
OG0003328	Roisl.0191s0563.1.p	XP_006287167.1
OG0003328	Roisl.0210s0104.1.p	XP_006306882.1
OG0003329	Roisl.0003s0075.1.p	XP_006286007.1
OG0003330	Roisl.0091s1001.1.p	XP_006304695.2
OG0003330	Roisl.0082s0756.1.p	XP_023640037.1
OG0003331	Roisl.0091s1160.1.p	XP_006303742.1
OG0003332	Roisl.0007s0707.1.p	XP_006303274.1
OG0003332	Roisl.0011s0163.1.p	XP_006291681.1
OG0003333	Roisl.0007s0545.1.p	XP_023645173.1
OG0003334	Roisl.0007s0196.1.p	XP_023644977.1
OG0003335	Roisl.0007s0091.1.p	XP_006304111.1, XP_006304113.1
OG0003336	Roisl.0191s0121.1.p	XP_006304593.1
OG0003336	Roisl.0019s0376.1.p	XP_006301571.1
OG0003337	Roisl.0191s0158.1.p	XP_006307091.1
OG0003338	Roisl.0191s0270.1.p	XP_006304840.1
OG0003338	Roisl.0019s0528.1.p	XP_006300378.1
OG0003339	Roisl.0024s0613.1.p	XP_023645728.1
OG0003339	Roisl.0024s0614.1.p	XP_023641587.1
OG0003340	Roisl.0005s0035.1.p	XP_006284779.2, XP_023632843.1
OG0003342	Roisl.0209s0039.1.p	XP_006300565.1
OG0003342	Roisl.0210s2224.1.p	XP_023634714.1
OG0003343	Roisl.0044s0101.1.p	XP_006285671.2, XP_006284994.1
OG0003344	Roisl.0046s0578.1.p	XP_006292348.2, XP_006292848.1
OG0003345	Roisl.0009s0089.1.p	XP_023634036.1, XP_006283168.1
OG0003347	Roisl.0001s0178.1.p	XP_006283798.1
OG0003348	Roisl.0001s0176.1.p	XP_023635387.1
OG0003348	Roisl.0210s1698.1.p	XP_006284838.2, XP_023635515.1, XP_023635545.1
OG0003349	Roisl.0001s0011.1.p	XP_006284362.1
OG0003350	Roisl.0003s0248.1.p	XP_023634527.1
OG0003351	Roisl.0019s0300.1.p, Roisl.0019s0301.1.p	XP_023643260.1, XP_006302084.1
OG0003352	Roisl.0191s0519.1.p	XP_006290113.1
OG0003352	Roisl.0210s0082.1.p	XP_006305119.1
OG0003353	Roisl.0022s0411.1.p	XP_006283362.1
OG0003354	Roisl.0046s1193.1.p	XP_023632706.1
OG0003355	Roisl.0001s0550.1.p	XP_023634501.1
OG0003356	Roisl.0213s0046.1.p	XP_006304487.1
OG0003360	Roisl.0075s0074.1.p, Roisl.0075s0042.1.p	XP_023634473.1, XP_023634255.1
OG0003361	Roisl.0031s0027.1.p, Roisl.0031s0026.1.p	XP_023633388.1, XP_006296509.1, XP_023640367.1
OG0003363	Roisl.0025s0080.1.p	XP_023637568.1, XP_023639541.1, XP_023638919.1, XP_023638918.1, XP_023638735.1
OG0003363	Roisl.0209s0410.1.p, Roisl.0209s0409.1.p	XP_023638917.1
OG0003364	Roisl.0011s0494.1.p	XP_006292147.1
OG0003364	Roisl.0009s0129.1.p	XP_023635411.1
OG0003366	Roisl.0006s0449.1.p	XP_023645113.1
OG0003366	Roisl.0074s0526.1.p	XP_023641803.1
OG0003367	Roisl.0023s0056.1.p, Roisl.0023s0059.1.p, Roisl.0023s0055.1.p	XP_023639577.1, XP_023640903.1, XP_023640991.1
OG0003367	Roisl.0023s0057.1.p	XP_023642795.1
OG0003369	Roisl.0053s0168.1.p	XP_023641384.1
OG0003372	Roisl.0046s0713.1.p	XP_006291376.1
OG0003373	Roisl.0213s0051.1.p	XP_023632828.1
OG0003373	Roisl.0213s0060.1.p	XP_006306603.1
OG0003374	Roisl.0209s0147.1.p	XP_006305007.1
OG0003375	Roisl.0012s0019.1.p	XP_006280724.1
OG0003376	Roisl.0043s0017.1.p	XP_006282775.1
OG0003378	Roisl.0210s1321.1.p	XP_006287900.1
OG0003379	Roisl.0009s0097.1.p	XP_023635510.1, XP_006285910.1
OG0003381	Roisl.0210s0945.1.p	XP_023636286.1
OG0003382	Roisl.0214s0278.1.p	XP_006301885.1
OG0003383	Roisl.0046s0177.1.p	XP_006289020.1
OG0003384	Roisl.0001s0390.1.p	XP_006284847.1
OG0003385	Roisl.0210s0560.1.p	XP_006286595.1
OG0003386	Roisl.0210s0517.1.p	XP_023637696.1
OG0003387	Roisl.0214s0246.1.p	XP_006280825.1
OG0003387	Roisl.0022s0137.1.p	XP_006284118.1
OG0003388	Roisl.0022s0131.1.p	XP_006283344.1
OG0003389	Roisl.0028s0640.1.p	XP_006294453.1
OG0003389	Roisl.0010s0005.1.p	XP_006296486.1
OG0003390	Roisl.0091s0967.1.p	XP_006303628.1
OG0003390	Roisl.0033s0037.1.p	XP_006296399.1
OG0003391	Roisl.0012s0099.1.p	XP_006281582.1, XP_006286635.1
OG0003392	Roisl.0012s0229.1.p	XP_006281468.1, XP_006279075.1, XP_006282361.1
OG0003393	Roisl.0028s0898.1.p	XP_023640129.1
OG0003393	Roisl.0213s0325.1.p	XP_023645076.1
OG0003394	Roisl.0213s0326.1.p	XP_006294720.1, XP_006305469.1
OG0003395	Roisl.0024s0485.1.p	XP_006281700.1
OG0003395	Roisl.0046s0915.1.p	XP_006292387.1
OG0003396	Roisl.0024s0349.1.p, Roisl.0210s0687.1.p	XP_006281236.1, XP_006288819.1
OG0003397	Roisl.0008s0301.1.p	XP_006284186.1
OG0003398	Roisl.0024s0194.1.p	XP_006282047.1
OG0003399	Roisl.0024s0167.1.p	XP_006295190.1, XP_023644146.1
OG0003400	Roisl.0024s0157.1.p	XP_006291853.1
OG0003401	Roisl.0046s0070.1.p	XP_023636972.1
OG0003402	Roisl.0210s1816.1.p	XP_023635957.1
OG0003405	Roisl.0021s0073.1.p, Roisl.0091s1119.1.p, Roisl.0080s0649.1.p	XP_006280241.1
OG0003406	Roisl.0206s0006.1.p	XP_006279398.2
OG0003408	Roisl.0042s0158.1.p	XP_006289738.1
OG0003409	Roisl.0030s0078.1.p	XP_023637644.1
OG0003409	Roisl.0030s0077.1.p	XP_006289900.1
OG0003410	Roisl.0034s0118.1.p	XP_006288935.1
OG0003411	Roisl.0079s0244.1.p	XP_023642056.1
OG0003412	Roisl.0079s0240.1.p	XP_006299577.1
OG0003413	Roisl.0074s0772.1.p	XP_006297382.2
OG0003415	Roisl.0115s0682.1.p	XP_006283385.1
OG0003419	Roisl.0006s0418.1.p	XP_006304589.1, XP_006306238.1, XP_023645013.1
OG0003420	Roisl.0054s0030.1.p	XP_023640770.1
OG0003421	Roisl.0053s0317.1.p	XP_006296836.1
OG0003422	Roisl.0001s0354.1.p	XP_023633708.1
OG0003423	Roisl.0019s0108.1.p	XP_023641919.1
OG0003423	Roisl.0188s0020.1.p, Roisl.0179s0031.1.p	XP_006297558.1, XP_006300152.2
OG0003424	Roisl.0025s0079.1.p	XP_006290404.1
OG0003424	Roisl.0025s0075.1.p	XP_006291518.1
OG0003425	Roisl.0191s0340.1.p	XP_006305767.1
OG0003426	Roisl.0005s0199.1.p	XP_023640015.1
OG0003427	Roisl.0006s0232.1.p	XP_023645116.1
OG0003428	Roisl.0006s0233.1.p	XP_023645117.1
OG0003428	Roisl.0115s0476.1.p	XP_006299117.1
OG0003429	Roisl.0006s0357.1.p	XP_006303704.1
OG0003429	Roisl.0214s0501.1.p	XP_006299729.1
OG0003430	Roisl.0188s0080.1.p	XP_006293097.1
OG0003432	Roisl.0091s0456.1.p	XP_006282475.2
OG0003432	Roisl.0046s1235.1.p	XP_006292088.1
OG0003433	Roisl.0046s1015.1.p	XP_006293138.1
OG0003434	Roisl.0189s0240.1.p	XP_006280448.1
OG0003434	Roisl.0189s0238.1.p	XP_006281528.1
OG0003435	Roisl.0189s0253.1.p	XP_023639926.1
OG0003437	Roisl.0200s0013.1.p	XP_023635283.1
OG0003438	Roisl.0091s0263.1.p	XP_006284391.1
OG0003439	Roisl.0074s0929.1.p, Roisl.0074s0989.1.p	XP_023641255.1
OG0003440	Roisl.0091s0134.1.p	XP_006284492.1
OG0003441	Roisl.0056s0046.1.p	XP_006284570.1, XP_006303289.2
OG0003442	Roisl.0008s0090.1.p	XP_023637885.1
OG0003442	Roisl.0028s0134.1.p	XP_023639457.1
OG0003443	Roisl.0026s0020.1.p	XP_006296390.1, XP_006290420.1
OG0003444	Roisl.0026s0177.1.p	XP_006292110.1
OG0003445	Roisl.0026s0197.1.p, Roisl.0026s0198.1.p, Roisl.0012s0085.1.p, Roisl.0012s0084.1.p	XP_006291310.1, XP_006291314.1
OG0003446	Roisl.0006s0001.1.p, Roisl.0013s0030.1.p, Roisl.0013s0002.1.p	XP_006295954.1
OG0003447	Roisl.0213s0721.1.p	XP_023642208.1
OG0003447	Roisl.0046s1274.1.p	XP_006293001.1
OG0003448	Roisl.0053s0243.1.p	XP_006298053.1
OG0003449	Roisl.0001s0289.1.p	XP_023635345.1
OG0003450	Roisl.0001s0460.1.p	XP_006285054.1
OG0003452	Roisl.0184s0134.1.p	XP_006287803.2
OG0003453	Roisl.0067s0075.1.p	XP_006293429.1
OG0003454	Roisl.0067s0081.1.p	XP_006294557.1, XP_006298115.1
OG0003455	Roisl.0035s0170.1.p	XP_006295550.1
OG0003457	Roisl.0028s0194.1.p	XP_006295513.2
OG0003458	Roisl.0028s0197.1.p	XP_006294880.1, XP_023640711.1
OG0003459	Roisl.0210s1609.1.p	XP_006289567.1
OG0003461	Roisl.0046s0440.1.p, Roisl.0046s0439.1.p, Roisl.0046s0438.1.p, Roisl.0079s0049.1.p	XP_006296625.1
OG0003462	Roisl.0079s0263.1.p	XP_006296653.1
OG0003464	Roisl.0074s0813.1.p	XP_023641496.1
OG0003465	Roisl.0074s0627.1.p	XP_006299806.1
OG0003466	Roisl.0074s0614.1.p	XP_006299764.1, XP_006300164.1
OG0003467	Roisl.0074s0362.1.p, Roisl.0074s0363.1.p, Roisl.0045s0054.1.p	XP_006300242.1
OG0003468	Roisl.0008s0251.1.p	XP_006286134.2, XP_006286102.1
OG0003469	Roisl.0003s0099.1.p, Roisl.0003s0098.1.p	XP_023634629.1
OG0003471	Roisl.0091s1085.1.p, Roisl.0091s1084.1.p	XP_023645368.1
OG0003472	Roisl.0091s1234.1.p	XP_006303836.1
OG0003473	Roisl.0021s0044.1.p	XP_006303181.1
OG0003473	Roisl.0214s0738.1.p	XP_006301016.1
OG0003474	Roisl.0214s0694.1.p	XP_006300469.2
OG0003475	Roisl.0010s0116.1.p	XP_006300607.1
OG0003475	Roisl.0021s0336.1.p	XP_006303147.1
OG0003476	Roisl.0021s0384.1.p	XP_006304591.1
OG0003476	Roisl.0011s0440.1.p	XP_006291421.1
OG0003477	Roisl.0007s0677.1.p	XP_023632726.1
OG0003479	Roisl.0009s0245.1.p	XP_023635161.1, XP_023635162.1
OG0003481	Roisl.0005s0003.1.p	XP_006281527.1
OG0003481	Roisl.0091s0623.1.p	XP_023637622.1
OG0003482	Roisl.0074s0238.1.p	XP_006296857.1, XP_006283034.1
OG0003483	Roisl.0035s0120.1.p	XP_006294579.1
OG0003484	Roisl.0115s0754.1.p	XP_006283464.1
OG0003484	Roisl.0022s0481.1.p, Roisl.0022s0482.1.p	XP_023635359.1
OG0003485	Roisl.0001s0387.1.p	XP_023635598.1
OG0003486	Roisl.0001s0201.1.p	XP_023633687.1
OG0003487	Roisl.0065s0002.1.p	XP_006298822.2
OG0003487	Roisl.0001s0066.1.p	XP_006284859.1
OG0003488	Roisl.0004s0004.1.p	XP_006295476.1
OG0003489	Roisl.0191s0150.1.p	XP_006305730.1, XP_006305731.1
OG0003490	Roisl.0214s0223.1.p	XP_023632740.1
OG0003490	Roisl.0191s0152.1.p	XP_006304874.1
OG0003494	Roisl.0045s0073.1.p, Roisl.0066s0272.1.p, Roisl.0021s0533.1.p, Roisl.0036s0083.1.p, Roisl.0066s0271.1.p, Roisl.0045s0072.1.p, Roisl.0047s0021.1.p, Roisl.0045s0071.1.p	XP_023645943.1
OG0003495	Roisl.0008s0106.1.p	XP_006301904.2
OG0003496	Roisl.0024s0051.1.p, Roisl.0024s0052.1.p	XP_006300929.1, XP_006301393.1, XP_006300988.1, XP_006300969.1
OG0003497	Roisl.0195s0018.1.p, Roisl.0019s0855.1.p	XP_023643170.1, XP_023645946.1, XP_023643807.1, XP_006301976.1
OG0003498	Roisl.0046s0131.1.p	XP_023636519.1, XP_006281900.2, XP_023636517.1
OG0003500	Roisl.0027s0001.1.p, Roisl.0027s0031.1.p, Roisl.0027s0037.1.p, Roisl.0037s0002.1.p, Roisl.0027s0004.1.p	XP_023639287.1, XP_023639282.1, XP_023639283.1, XP_023633923.1, XP_023638888.1, XP_023638887.1, XP_006279381.2, XP_023638889.1, XP_006293289.2, XP_023633943.1, XP_023633862.1, XP_023638890.1, XP_006279368.2
OG0003502	Roisl.0031s0032.1.p	XP_023633389.1
OG0003503	Roisl.0016s0370.1.p, Roisl.0016s0373.1.p	XP_006292363.1, XP_023638035.1, XP_023639184.1, XP_006292866.1, XP_023639088.1
OG0003504	Roisl.0053s0342.1.p	XP_023641362.1
OG0003505	Roisl.0213s0213.1.p, Roisl.0213s0215.1.p	XP_023632921.1
OG0003512	Roisl.0036s0007.1.p, Roisl.0025s0078.1.p	XP_006291236.1, XP_023640292.1
OG0003513	Roisl.0209s0210.1.p, Roisl.0184s0205.1.p	XP_023636115.1
OG0003514	Roisl.0210s1393.1.p	XP_006289380.1
OG0003515	Roisl.0210s1286.1.p	XP_006287120.1
OG0003516	Roisl.0210s0864.1.p	XP_023637151.1
OG0003517	Roisl.0115s0290.1.p	XP_023642320.1
OG0003518	Roisl.0210s0605.1.p	XP_023638584.1
OG0003519	Roisl.0080s0114.1.p	XP_006280926.1
OG0003520	Roisl.0210s0506.1.p	XP_006289219.1
OG0003520	Roisl.0074s0997.1.p	XP_006297450.1
OG0003521	Roisl.0204s0110.1.p	XP_006294624.1
OG0003522	Roisl.0204s0035.1.p	XP_023639902.1, XP_023639889.1
OG0003523	Roisl.0082s0592.1.p	XP_006294728.1, XP_006294768.1
OG0003525	Roisl.0033s0060.1.p	XP_006295266.1
OG0003526	Roisl.0033s0166.1.p	XP_023643837.1, XP_023640194.1
OG0003527	Roisl.0017s0521.1.p	XP_006293642.1
OG0003528	Roisl.0017s0500.1.p	XP_023640266.1
OG0003529	Roisl.0017s0424.1.p	XP_006294604.1
OG0003530	Roisl.0210s0358.1.p	XP_006304378.2
OG0003530	Roisl.0012s0147.1.p	XP_023639403.1
OG0003531	Roisl.0213s0234.1.p	XP_023633107.1
OG0003532	Roisl.0213s0345.1.p	XP_006289817.1, XP_006306300.1
OG0003533	Roisl.0024s0556.1.p	XP_006282421.2
OG0003534	Roisl.0024s0532.1.p	XP_023633449.1
OG0003534	Roisl.0214s0298.1.p, Roisl.0214s0305.1.p	XP_006287510.2
OG0003535	Roisl.0024s0437.1.p	XP_023639731.1
OG0003536	Roisl.0080s0027.1.p, Roisl.0210s0456.1.p	XP_006281076.2
OG0003537	Roisl.0080s0070.1.p	XP_023640284.1, XP_006279767.1
OG0003538	Roisl.0046s0248.1.p	XP_006287441.2, XP_023637548.1
OG0003540	Roisl.0210s1960.1.p, Roisl.0210s1961.1.p, Roisl.0210s1958.1.p	XP_006289997.1
OG0003541	Roisl.0080s0222.1.p	XP_006279833.1
OG0003542	Roisl.0019s0097.1.p	XP_006300893.1
OG0003542	Roisl.0060s0016.1.p, Roisl.0060s0014.1.p	XP_006289010.1
OG0003543	Roisl.0080s0332.1.p	XP_006281623.1, XP_006281852.1
OG0003544	Roisl.0080s0344.1.p	XP_006280964.2
OG0003545	Roisl.0080s0466.1.p	XP_006279634.1
OG0003546	Roisl.0080s0517.1.p	XP_006279594.1
OG0003547	Roisl.0091s1087.1.p	XP_006304810.2
OG0003548	Roisl.0080s0770.1.p	XP_006280688.1
OG0003549	Roisl.0210s0458.1.p	XP_023634973.1, XP_023634260.1, XP_006289816.1
OG0003550	Roisl.0042s0065.1.p	XP_023635953.1
OG0003551	Roisl.0042s0149.1.p	XP_006289427.1
OG0003551	Roisl.0074s0925.1.p	XP_006296592.1
OG0003552	Roisl.0214s0346.1.p	XP_006286829.2, XP_006296706.1
OG0003554	Roisl.0011s0547.1.p	XP_023638535.1
OG0003554	Roisl.0009s0178.1.p	XP_023634132.1
OG0003555	Roisl.0115s0227.1.p	XP_006301720.1
OG0003556	Roisl.0004s0067.1.p, Roisl.0191s0072.1.p	XP_006307235.1
OG0003557	Roisl.0066s0215.1.p	XP_006297938.1
OG0003557	Roisl.0001s0143.1.p	XP_006285055.1
OG0003558	Roisl.0006s0042.1.p, Roisl.0006s0041.1.p	XP_006304908.2
