Orthogroup	Rorippa_islandica	Cochlearia_excelsa
OG0000469	Roisl.0005s0262.1.p, Roisl.0091s0439.1.p, Roisl.0026s0016.1.p	g1996, g10969, g40576, g47280, g17461
OG0000473	Roisl.0210s0003.1.p, Roisl.0021s0238.1.p	g49273
OG0000473	Roisl.0210s0001.1.p	g30720, g1438
OG0000473	Roisl.0017s0119.1.p	g51663
OG0000474	Roisl.0210s0365.1.p	g49450
OG0000474	Roisl.0012s0126.1.p	g39721
OG0000475	Roisl.0209s0658.1.p	g40945
OG0000476	Roisl.0046s0363.1.p, Roisl.0046s0342.1.p	g37782, g4812, g4800, g4814
OG0000477	Roisl.0024s0121.1.p	g353
OG0000477	Roisl.0007s0708.1.p	g27266
OG0000480	Roisl.0011s0125.1.p, Roisl.0209s0759.1.p	g40981
OG0000480	Roisl.0011s0123.1.p, Roisl.0011s0122.1.p	g10730
OG0000481	Roisl.0214s0733.1.p	g44045
OG0000481	Roisl.0021s0049.1.p	g27100
OG0000481	Roisl.0191s0249.1.p	g31232
OG0000483	Roisl.0046s0280.1.p	g10980, g10092, g10089
OG0000484	Roisl.0003s0037.1.p	g47741, g47742, g23417
OG0000485	Roisl.0008s0138.1.p	g23902
OG0000485	Roisl.0008s0137.1.p	g17267
OG0000486	Roisl.0189s0195.1.p, Roisl.0007s0254.1.p, Roisl.0189s0196.1.p, Roisl.0014s0064.1.p, Roisl.0007s0253.1.p, Roisl.0014s0065.1.p	g46992, g26157, g46989
OG0000491	Roisl.0046s0753.1.p	g19467
OG0000491	Roisl.0046s0746.1.p	g41553, g11391
OG0000492	Roisl.0046s1455.1.p	g19139, g11288
OG0000492	Roisl.0017s0263.1.p	g37303
OG0000493	Roisl.0009s0247.1.p	g16860
OG0000495	Roisl.0019s0280.1.p	g44613, g45954
OG0000495	Roisl.0019s0119.1.p	g53091
OG0000496	Roisl.0046s0680.1.p, Roisl.0046s0679.1.p, Roisl.0046s0681.1.p	g2743
OG0000496	Roisl.0046s0682.1.p	g2744
OG0000497	Roisl.0019s0222.1.p	g12212
OG0000497	Roisl.0074s0585.1.p, Roisl.0006s0506.1.p	g27989
OG0000498	Roisl.0066s0182.1.p	g6058
OG0000499	Roisl.0115s0361.1.p	g6741
OG0000499	Roisl.0115s0358.1.p	g6742
OG0000501	Roisl.0209s0136.1.p	g50671, g32646
OG0000501	Roisl.0209s0135.1.p, Roisl.0209s0134.1.p	g50679
OG0000502	Roisl.0022s0079.1.p	g46703, g46704
OG0000502	Roisl.0022s0080.1.p, Roisl.0022s0081.1.p	g37779
OG0000506	Roisl.0066s0207.1.p, Roisl.0017s0191.1.p, Roisl.0210s0444.1.p	g29645, g45471, g28728, g1183, g39280
OG0000509	Roisl.0082s0087.1.p, Roisl.0002s0006.1.p	g24336
OG0000509	Roisl.0002s0005.1.p, Roisl.0082s0088.1.p	g24334, g24335
OG0000510	Roisl.0009s0229.1.p	g46683, g46681
OG0000510	Roisl.0009s0230.1.p	g18100
OG0000511	Roisl.0052s0064.1.p	g36452
OG0000513	Roisl.0021s0084.1.p	g27109
OG0000516	Roisl.0019s0807.1.p	g44889, g42659, g42668, g4054, g53638, g3459, g26813
OG0000517	Roisl.0210s1410.1.p	g29147, g29148, g29150
OG0000518	Roisl.0031s0111.1.p	g28419
OG0000518	Roisl.0210s0966.1.p	g5308
OG0000519	Roisl.0214s0641.1.p	g8
OG0000520	Roisl.0021s0354.1.p	g27193
OG0000522	Roisl.0017s0312.1.p	g37317
OG0000522	Roisl.0079s0306.1.p	g13045
OG0000523	Roisl.0214s0048.1.p, Roisl.0214s0046.1.p	g51022, g51021
OG0000523	Roisl.0003s0184.1.p	g54031
OG0000524	Roisl.0213s0545.1.p, Roisl.0213s0546.1.p, Roisl.0213s0544.1.p	g45181, g45202
OG0000525	Roisl.0028s0267.1.p	g50869
OG0000526	Roisl.0210s1587.1.p, Roisl.0210s1584.1.p	g29070
OG0000526	Roisl.0210s1585.1.p	g29071
OG0000529	Roisl.0033s0038.1.p	g39933
OG0000529	Roisl.0033s0046.1.p	g51197, g37897
OG0000530	Roisl.0031s0035.1.p, Roisl.0031s0036.1.p	g41237, g890
OG0000533	Roisl.0025s0098.1.p, Roisl.0025s0096.1.p	g14003
OG0000534	Roisl.0111s0016.1.p, Roisl.0049s0033.1.p, Roisl.0040s0094.1.p, Roisl.0214s0167.1.p	g47088, g47089, g24489, g24488, g24484, g38274, g17931
OG0000535	Roisl.0026s0078.1.p, Roisl.0026s0080.1.p	g2040
OG0000536	Roisl.0210s2227.1.p	g46832
OG0000536	Roisl.0082s0169.1.p	g46831
OG0000537	Roisl.0079s0183.1.p	g12430
OG0000537	Roisl.0079s0184.1.p	g37940, g37932, g12429
OG0000539	Roisl.0082s0707.1.p	g51136
OG0000539	Roisl.0082s0722.1.p	g46875
OG0000540	Roisl.0033s0164.1.p, Roisl.0033s0128.1.p	g39867
OG0000542	Roisl.0021s0107.1.p	g31250
OG0000542	Roisl.0214s0658.1.p	g44098
OG0000542	Roisl.0191s0287.1.p, Roisl.0019s0537.1.p	g49727
OG0000543	Roisl.0012s0151.1.p, Roisl.0012s0384.1.p	g11013
OG0000543	Roisl.0012s0375.1.p	g18472
OG0000544	Roisl.0091s0317.1.p	g47326
OG0000544	Roisl.0091s0318.1.p	g36111, g47327
OG0000545	Roisl.0075s0138.1.p	g26718, g30027, g30017, g3550, g3652, g52610, g3586, g44459, g23480, g24027, g16401, g26649
OG0000546	Roisl.0074s1038.1.p, Roisl.0074s1039.1.p	g12390
OG0000547	Roisl.0028s0243.1.p, Roisl.0028s0242.1.p	g52123, g37511
OG0000548	Roisl.0009s0293.1.p	g36985
OG0000549	Roisl.0028s0726.1.p	g51324, g39784
OG0000549	Roisl.0028s0697.1.p, Roisl.0028s0698.1.p	g51327
OG0000553	Roisl.0053s0180.1.p	g11687
OG0000554	Roisl.0019s0014.1.p, Roisl.0209s0248.1.p, Roisl.0209s0247.1.p, Roisl.0209s0249.1.p	g14052, g40408, g25607, g25625, g25606, g25632, g25629, g25605, g25619, g25621
OG0000557	Roisl.0046s0526.1.p	g38464
OG0000557	Roisl.0046s0531.1.p	g28220
OG0000557	Roisl.0046s0528.1.p, Roisl.0046s0527.1.p	g50928, g50931, g50935, g50932
OG0000561	Roisl.0022s0082.1.p	g16898
OG0000561	Roisl.0210s1249.1.p	g45694
OG0000562	Roisl.0204s0059.1.p	g40099
OG0000562	Roisl.0210s1908.1.p	g797
OG0000563	Roisl.0033s0139.1.p, Roisl.0018s0354.1.p, Roisl.0191s0181.1.p	g24348, g2664, g37712, g50813
OG0000564	Roisl.0018s0222.1.p	g1879
OG0000564	Roisl.0035s0179.1.p	g52272
OG0000565	Roisl.0021s0239.1.p	g33057, g33090, g33065
OG0000565	Roisl.0021s0237.1.p	g27159
OG0000566	Roisl.0194s0042.1.p	g18132, g16748
OG0000567	Roisl.0002s0214.1.p, Roisl.0184s0059.1.p, Roisl.0002s0213.1.p, Roisl.0002s0215.1.p, Roisl.0011s0180.1.p, Roisl.0064s0009.1.p, Roisl.0011s0181.1.p	g32338
OG0000569	Roisl.0024s0542.1.p	g10717, g18677, g76
OG0000569	Roisl.0003s0146.1.p	g47779
OG0000572	Roisl.0075s0032.1.p	g18462
OG0000573	Roisl.0082s0270.1.p	g40463
OG0000573	Roisl.0082s0272.1.p, Roisl.0082s0269.1.p	g25545
OG0000579	Roisl.0016s0129.1.p	g7906
OG0000579	Roisl.0210s0534.1.p, Roisl.0080s0143.1.p	g433
OG0000580	Roisl.0091s0880.1.p	g39847
OG0000581	Roisl.0210s1782.1.p, Roisl.0210s1781.1.p	g41399
OG0000581	Roisl.0210s1780.1.p	g720
OG0000582	Roisl.0051s0051.1.p, Roisl.0210s1906.1.p	g17977
OG0000582	Roisl.0027s0016.1.p	g19605
OG0000583	Roisl.0006s0423.1.p	g36635
OG0000583	Roisl.0007s0430.1.p	g27359
OG0000583	Roisl.0004s0039.1.p	g46461
OG0000584	Roisl.0185s0030.1.p, Roisl.0189s0023.1.p	g44179
OG0000586	Roisl.0027s0133.1.p	g3220
OG0000587	Roisl.0007s0054.1.p	g44684, g44686
OG0000588	Roisl.0082s0741.1.p	g51164
OG0000588	Roisl.0082s0740.1.p	g37885
OG0000588	Roisl.0082s0735.1.p, Roisl.0082s0736.1.p, Roisl.0082s0739.1.p	g51163
OG0000589	Roisl.0080s0813.1.p	g39380
OG0000589	Roisl.0210s1725.1.p, Roisl.0210s1724.1.p	g28509
OG0000591	Roisl.0022s0332.1.p	g23678, g47594
OG0000592	Roisl.0004s0038.1.p	g46462
OG0000592	Roisl.0007s0432.1.p	g49988
OG0000592	Roisl.0022s0416.1.p	g23624
OG0000593	Roisl.0004s0101.1.p	g46398
OG0000593	Roisl.0074s0059.1.p	g13318, g11992
OG0000594	Roisl.0044s0091.1.p	g50705
OG0000595	Roisl.0214s0554.1.p, Roisl.0214s0541.1.p, Roisl.0214s0553.1.p, Roisl.0214s0556.1.p	g41726, g40992, g6247
OG0000595	Roisl.0004s0494.1.p	g17988
OG0000596	Roisl.0021s0621.1.p	g38393
OG0000597	Roisl.0075s0161.1.p, Roisl.0075s0162.1.p	g17740, g16321
OG0000597	Roisl.0075s0160.1.p	g24549
OG0000598	Roisl.0001s0122.1.p	g27801
OG0000598	Roisl.0053s0377.1.p, Roisl.0001s0121.1.p, Roisl.0001s0327.1.p	g7814
OG0000599	Roisl.0082s0122.1.p, Roisl.0115s0676.1.p	g18305
OG0000600	Roisl.0039s0083.1.p, Roisl.0210s0211.1.p	g12549
OG0000600	Roisl.0046s0377.1.p	g53288, g7700
OG0000601	Roisl.0214s0635.1.p, Roisl.0214s0700.1.p	g44058
OG0000601	Roisl.0028s0434.1.p, Roisl.0026s0144.1.p, Roisl.0021s0055.1.p	g37413
OG0000602	Roisl.0079s0058.1.p	g12937
OG0000604	Roisl.0074s0188.1.p	g28384
OG0000604	Roisl.0031s0030.1.p	g887, g41228
OG0000604	Roisl.0022s0225.1.p	g23738
OG0000605	Roisl.0191s0532.1.p	g39480
OG0000605	Roisl.0191s0617.1.p, Roisl.0191s0616.1.p	g25435
OG0000607	Roisl.0007s0067.1.p, Roisl.0007s0060.1.p, Roisl.0007s0232.1.p, Roisl.0007s0102.1.p	g50152
OG0000609	Roisl.0066s0238.1.p	g6101
OG0000610	Roisl.0051s0048.1.p	g50998
OG0000613	Roisl.0046s1299.1.p	g19206
OG0000613	Roisl.0079s0344.1.p	g12391, g7465, g13062
OG0000613	Roisl.0030s0055.1.p	g5741
OG0000614	Roisl.0019s0388.1.p, Roisl.0019s0387.1.p, Roisl.0019s0386.1.p, Roisl.0019s0433.1.p, Roisl.0019s0392.1.p, Roisl.0019s0389.1.p, Roisl.0019s0429.1.p, Roisl.0019s0430.1.p, Roisl.0019s0432.1.p, Roisl.0019s0431.1.p	g36969, g37007
OG0000615	Roisl.0214s0171.1.p	g25928
OG0000617	Roisl.0042s0080.1.p	g45438
OG0000617	Roisl.0042s0078.1.p, Roisl.0042s0079.1.p	g29704
OG0000618	Roisl.0034s0030.1.p	g5854
OG0000618	Roisl.0074s0830.1.p	g7358
OG0000619	Roisl.0007s0793.1.p, Roisl.0007s0790.1.p	g54384
OG0000620	Roisl.0012s0322.1.p	g40503, g46686
OG0000620	Roisl.0012s0320.1.p	g11041
OG0000621	Roisl.0026s0125.1.p, Roisl.0026s0120.1.p	g14112
OG0000623	Roisl.0001s0238.1.p	g22949, g47953, g18248
OG0000624	Roisl.0028s0220.1.p	g38222
OG0000625	Roisl.0074s0657.1.p	g13165, g7245
OG0000625	Roisl.0179s0118.1.p	g54314
OG0000626	Roisl.0021s0404.1.p, Roisl.0057s0042.1.p	g31431
OG0000626	Roisl.0003s0165.1.p	g23320
OG0000627	Roisl.0214s0591.1.p	g44133
OG0000628	Roisl.0008s0329.1.p	g23152
OG0000628	Roisl.0008s0330.1.p	g47857
OG0000633	Roisl.0066s0450.1.p	g50324
OG0000635	Roisl.0080s0192.1.p	g830
OG0000636	Roisl.0080s0288.1.p	g28768
OG0000636	Roisl.0075s0076.1.p	g49733, g14247
OG0000637	Roisl.0209s0306.1.p	g2921
OG0000637	Roisl.0046s1339.1.p	g19186
OG0000638	Roisl.0080s0291.1.p	g1289
OG0000638	Roisl.0209s0307.1.p, Roisl.0209s0308.1.p	g2922
OG0000639	Roisl.0018s0283.1.p	g1837
OG0000639	Roisl.0035s0123.1.p	g52299, g37652
OG0000640	Roisl.0044s0078.1.p, Roisl.0053s0059.1.p, Roisl.0044s0082.1.p, Roisl.0044s0081.1.p	g17009
OG0000641	Roisl.0044s0088.1.p	g13897, g23476, g17007
OG0000642	Roisl.0035s0099.1.p, Roisl.0035s0103.1.p, Roisl.0035s0104.1.p, Roisl.0213s0783.1.p, Roisl.0035s0100.1.p	g37665, g37664
OG0000642	Roisl.0035s0105.1.p	g38249
OG0000643	Roisl.0030s0014.1.p, Roisl.0079s0323.1.p	g7477, g12395, g29845
OG0000644	Roisl.0075s0147.1.p, Roisl.0009s0163.1.p, Roisl.0053s0117.1.p, Roisl.0053s0118.1.p	g17492
OG0000645	Roisl.0091s1055.1.p, Roisl.0091s1053.1.p, Roisl.0179s0017.1.p, Roisl.0198s0024.1.p	g34398
OG0000646	Roisl.0046s1319.1.p	g19197, g2358
OG0000646	Roisl.0017s0056.1.p	g38064
OG0000647	Roisl.0091s0870.1.p	g35170
OG0000647	Roisl.0019s0720.1.p	g26908
OG0000649	Roisl.0007s0328.1.p	g27399, g31749, g50029
OG0000649	Roisl.0074s0125.1.p	g6901
OG0000650	Roisl.0074s0031.1.p	g6843
OG0000650	Roisl.0008s0350.1.p	g23142
OG0000652	Roisl.0016s0243.1.p	g12661
OG0000652	Roisl.0210s1401.1.p	g5008, g5012
OG0000653	Roisl.0018s0422.1.p	g11148, g37743
OG0000655	Roisl.0074s0504.1.p, Roisl.0028s0853.1.p, Roisl.0213s0262.1.p	g32425
OG0000656	Roisl.0011s0210.1.p	g10673
OG0000656	Roisl.0007s0752.1.p, Roisl.0007s0753.1.p	g31492
OG0000657	Roisl.0046s0020.1.p	g12455
OG0000658	Roisl.0210s2000.1.p, Roisl.0210s2003.1.p, Roisl.0210s2002.1.p	g485, g484
OG0000660	Roisl.0080s0724.1.p	g28539
OG0000661	Roisl.0067s0061.1.p	g37733, g50833
OG0000661	Roisl.0210s0207.1.p	g30793
OG0000661	Roisl.0082s0449.1.p	g39558
OG0000663	Roisl.0007s0281.1.p	g27410
OG0000663	Roisl.0004s0499.1.p, Roisl.0004s0497.1.p	g46124, g44549
OG0000665	Roisl.0007s0608.1.p	g54257, g28014, g13252, g36560
OG0000669	Roisl.0193s0016.1.p, Roisl.0053s0028.1.p, Roisl.0191s0112.1.p	g32732, g40273
OG0000670	Roisl.0011s0469.1.p, Roisl.0111s0034.1.p	g1443
OG0000671	Roisl.0209s0219.1.p, Roisl.0209s0220.1.p	g25667
OG0000672	Roisl.0037s0040.1.p	g19546
OG0000673	Roisl.0091s0776.1.p	g30919, g30920
OG0000674	Roisl.0074s0805.1.p	g13131
OG0000677	Roisl.0215s0016.1.p	g16128, g15226, g42476, g34763, g33578, g30528, g30514, g48704, g21140, g30719, g34595, g29866, g21088, g15177, g42467, g42425, g21406, g30193, g4148, g3631, g33627, g15424, g26574, g26575, g38711, g38948, g34919, g42494, g43432, g42484, g14821, g21103, g21211, g26500, g49257, g21408, g16135, g53647, g39071, g43427, g43435, g15442, g48140, g48249, g26501, g38716, g7969, g33579, g38945, g34920, g34764, g43436, g35524, g43428, g3630, g30527, g48122, g15227, g42468, g48121, g22557, g22583, g9594, g35372, g21208, g35370
OG0000680	Roisl.0001s0135.1.p	g23019
OG0000680	Roisl.0115s0261.1.p	g37974
OG0000680	Roisl.0213s0180.1.p	g32394
OG0000681	Roisl.0006s0274.1.p	g36563, g54263
OG0000682	Roisl.0213s0726.1.p	g37077, g37094, g6394, g45137, g37420
OG0000683	Roisl.0188s0055.1.p	g10368
OG0000683	Roisl.0016s0114.1.p	g12697
OG0000684	Roisl.0026s0012.1.p, Roisl.0026s0011.1.p	g18931
OG0000684	Roisl.0026s0010.1.p	g18930, g1998
OG0000685	Roisl.0016s0178.1.p	g12753
OG0000685	Roisl.0213s0816.1.p	g46730, g18086
OG0000685	Roisl.0184s0105.1.p	g932
OG0000686	Roisl.0191s0297.1.p	g50336
OG0000687	Roisl.0179s0090.1.p	g53790
OG0000689	Roisl.0045s0035.1.p	g48909
OG0000690	Roisl.0008s0269.1.p, Roisl.0027s0095.1.p, Roisl.0210s1668.1.p	g18149, g23193
OG0000691	Roisl.0210s1281.1.p	g5081
OG0000691	Roisl.0016s0165.1.p	g7879, g6216
OG0000693	Roisl.0015s0182.1.p	g51261, g51258, g39834
OG0000694	Roisl.0028s0638.1.p	g39803
OG0000695	Roisl.0002s0009.1.p	g17578
OG0000695	Roisl.0028s0067.1.p	g18804
OG0000696	Roisl.0046s0862.1.p	g2629
OG0000696	Roisl.0050s0013.1.p	g40738
OG0000696	Roisl.0022s0442.1.p	g47643
OG0000697	Roisl.0080s0261.1.p	g860, g862
OG0000697	Roisl.0080s0262.1.p	g41317, g41316, g41315, g28789
OG0000699	Roisl.0046s0635.1.p, Roisl.0046s0632.1.p, Roisl.0046s0634.1.p	g51991
OG0000700	Roisl.0006s0172.1.p, Roisl.0006s0127.1.p	g28045, g28051
OG0000701	Roisl.0025s0026.1.p, Roisl.0009s0219.1.p	g53817
OG0000702	Roisl.0028s0440.1.p	g52005
OG0000702	Roisl.0026s0146.1.p	g2106
OG0000703	Roisl.0017s0372.1.p	g37337
OG0000703	Roisl.0046s1567.1.p	g19066, g19065
OG0000704	Roisl.0046s1365.1.p, Roisl.0011s0545.1.p, Roisl.0046s0387.1.p	g4789, g10133
OG0000705	Roisl.0017s0389.1.p, Roisl.0017s0387.1.p	g37342
OG0000705	Roisl.0042s0091.1.p	g13022, g7512
OG0000706	Roisl.0035s0053.1.p	g50800
OG0000706	Roisl.0191s0640.1.p	g45222
OG0000707	Roisl.0028s0178.1.p	g52160, g37530
OG0000707	Roisl.0011s0019.1.p	g10812
OG0000708	Roisl.0074s0300.1.p	g12089
OG0000708	Roisl.0074s0297.1.p	g12085, g12088, g12084, g12086, g12087, g12083
OG0000709	Roisl.0189s0016.1.p	g22655
OG0000711	Roisl.0012s0321.1.p	g44311
OG0000712	Roisl.0017s0095.1.p	g38594, g9183, g33980, g52784, g15487, g29901, g9362, g20031, g29880, g48446, g20079, g48474, g21273, g9365, g42337, g8466, g52770, g21032, g33886, g33997, g20934, g21061, g22529, g20619, g21265, g48494, g20633, g20584, g21597, g26571, g9613, g53338, g42460, g42716, g8339, g21224, g16180, g34871, g30211, g17843, g38863, g38781, g33985, g3810, g8305, g20722, g21897, g38661, g26554, g20685, g20954, g26721, g33996, g38752, g48529, g21050, g42456, g6482, g9432, g21812, g15382, g39166, g21711, g15399, g15340, g8886, g14967
OG0000713	Roisl.0214s0212.1.p, Roisl.0036s0111.1.p	g50114
OG0000714	Roisl.0082s0573.1.p, Roisl.0082s0576.1.p	g51082, g51084, g28179
OG0000716	Roisl.0021s0546.1.p	g36715
OG0000716	Roisl.0074s0643.1.p, Roisl.0080s0666.1.p	g54319
OG0000717	Roisl.0007s0717.1.p	g31518
OG0000717	Roisl.0019s0562.1.p	g45812
OG0000718	Roisl.0011s0393.1.p	g16643
OG0000719	Roisl.0189s0170.1.p	g1309
OG0000719	Roisl.0189s0173.1.p	g41199, g41183, g41184
OG0000719	Roisl.0189s0172.1.p	g1310
OG0000720	Roisl.0018s0408.1.p, Roisl.0018s0409.1.p	g18725, g18726, g18727, g18724
OG0000721	Roisl.0063s0036.1.p, Roisl.0045s0032.1.p, Roisl.0045s0033.1.p	g6096
OG0000723	Roisl.0011s0135.1.p	g1518, g1520
OG0000724	Roisl.0209s0019.1.p	g30842, g49434
OG0000726	Roisl.0091s0574.1.p	g4059
OG0000726	Roisl.0019s0632.1.p, Roisl.0008s0021.1.p	g44626
OG0000728	Roisl.0210s1453.1.p	g45753
OG0000729	Roisl.0204s0076.1.p	g53541
OG0000730	Roisl.0115s0127.1.p	g46550
OG0000730	Roisl.0017s0440.1.p	g39816
OG0000730	Roisl.0007s0540.1.p, Roisl.0019s0140.1.p	g31624
OG0000732	Roisl.0046s0203.1.p, Roisl.0046s0202.1.p	g587
OG0000732	Roisl.0024s0376.1.p	g9735
OG0000733	Roisl.0030s0111.1.p	g29815, g45374, g5711
OG0000736	Roisl.0080s0351.1.p, Roisl.0080s0352.1.p	g50687, g39240
OG0000737	Roisl.0082s0419.1.p	g39592
OG0000737	Roisl.0210s0233.1.p	g49396
OG0000738	Roisl.0030s0093.1.p	g29827
OG0000738	Roisl.0046s1268.1.p	g2392
OG0000740	Roisl.0004s0064.1.p	g46440
OG0000740	Roisl.0048s0038.1.p	g32883, g27873
OG0000740	Roisl.0032s0084.1.p	g40242
OG0000741	Roisl.0004s0475.1.p	g46133, g44537
OG0000743	Roisl.0010s0174.1.p	g37256
OG0000744	Roisl.0018s0247.1.p	g18713
OG0000745	Roisl.0044s0102.1.p	g47697
OG0000745	Roisl.0022s0281.1.p	g23710
OG0000746	Roisl.0012s0123.1.p	g18426
OG0000747	Roisl.0210s0204.1.p	g49388, g30789, g26898
OG0000749	Roisl.0036s0076.1.p	g10211
OG0000749	Roisl.0021s0643.1.p, Roisl.0198s0009.1.p, Roisl.0036s0079.1.p	g4581
OG0000750	Roisl.0053s0295.1.p, Roisl.0044s0133.1.p, Roisl.0075s0098.1.p, Roisl.0044s0134.1.p, Roisl.0044s0130.1.p	g23088, g23092
OG0000751	Roisl.0066s0374.1.p	g16954, g25974
OG0000761	Roisl.0185s0080.1.p	g14408, g6195
OG0000761	Roisl.0046s0837.1.p, Roisl.0046s0836.1.p, Roisl.0046s0835.1.p	g19417
OG0000762	Roisl.0016s0275.1.p	g12773
OG0000763	Roisl.0210s1032.1.p	g5274
OG0000763	Roisl.0210s1028.1.p	g29359
OG0000764	Roisl.0046s0614.1.p	g38506
OG0000764	Roisl.0210s0733.1.p	g29511
OG0000764	Roisl.0001s0487.1.p	g22739
OG0000766	Roisl.0210s1926.1.p	g28866, g807
OG0000766	Roisl.0027s0056.1.p	g3089
OG0000767	Roisl.0210s0423.1.p, Roisl.0210s0421.1.p, Roisl.0210s0422.1.p, Roisl.0179s0009.1.p	g5584
OG0000767	Roisl.0210s0419.1.p, Roisl.0210s0420.1.p	g5583, g1670
OG0000768	Roisl.0024s0637.1.p	g50704
OG0000770	Roisl.0115s0745.1.p, Roisl.0063s0006.1.p	g31913, g50129
OG0000771	Roisl.0024s0604.1.p	g19649
OG0000771	Roisl.0046s1013.1.p, Roisl.0046s1014.1.p	g11359, g19349
OG0000772	Roisl.0024s0056.1.p	g41820
OG0000772	Roisl.0046s0039.1.p, Roisl.0046s0040.1.p	g46750
OG0000774	Roisl.0022s0288.1.p	g47581
OG0000775	Roisl.0007s0086.1.p	g27461
OG0000777	Roisl.0016s0086.1.p	g36973
OG0000781	Roisl.0082s0702.1.p, Roisl.0082s0701.1.p	g37867, g37860, g37868
OG0000782	Roisl.0075s0140.1.p, Roisl.0111s0011.1.p, Roisl.0209s0527.1.p	g24567
OG0000782	Roisl.0091s0807.1.p	g49502
OG0000783	Roisl.0012s0033.1.p, Roisl.0028s0701.1.p, Roisl.0028s0669.1.p	g51317, g51340, g51316
OG0000784	Roisl.0213s0083.1.p	g50452, g50492
OG0000786	Roisl.0210s1743.1.p	g706
OG0000786	Roisl.0082s0160.1.p	g40413, g28951, g25653
OG0000787	Roisl.0080s0622.1.p	g1090
OG0000787	Roisl.0022s0273.1.p	g23718
OG0000787	Roisl.0046s1256.1.p	g11321
OG0000788	Roisl.0008s0271.1.p	g18150
OG0000788	Roisl.0030s0197.1.p	g29776
OG0000789	Roisl.0017s0107.1.p, Roisl.0046s1352.1.p	g37224
OG0000790	Roisl.0019s0762.1.p	g44868
OG0000790	Roisl.0191s0465.1.p	g32229
OG0000790	Roisl.0019s0763.1.p	g44869
OG0000791	Roisl.0014s0062.1.p, Roisl.0007s0353.1.p	g31729
OG0000793	Roisl.0074s0473.1.p	g12159
OG0000793	Roisl.0006s0403.1.p	g54285
OG0000793	Roisl.0028s0354.1.p	g52074
OG0000794	Roisl.0025s0083.1.p	g10410
OG0000795	Roisl.0191s0322.1.p, Roisl.0188s0095.1.p, Roisl.0019s0575.1.p	g44749
OG0000796	Roisl.0011s0344.1.p, Roisl.0021s0431.1.p	g10608
OG0000796	Roisl.0191s0419.1.p	g32196
OG0000797	Roisl.0209s0407.1.p	g2808
OG0000797	Roisl.0209s0411.1.p	g2807
OG0000799	Roisl.0006s0244.1.p	g36525
OG0000799	Roisl.0006s0241.1.p	g36524
OG0000800	Roisl.0188s0124.1.p	g17612
OG0000801	Roisl.0018s0399.1.p	g1754
OG0000801	Roisl.0191s0655.1.p	g39542
OG0000803	Roisl.0028s0209.1.p, Roisl.0028s0208.1.p	g38223, g37478
OG0000803	Roisl.0028s0207.1.p	g37524
OG0000804	Roisl.0079s0283.1.p	g7507, g2527
OG0000804	Roisl.0079s0282.1.p	g13025
OG0000809	Roisl.0083s0045.1.p, Roisl.0215s0005.1.p, Roisl.0209s0017.1.p, Roisl.0194s0078.1.p, Roisl.0188s0049.1.p, Roisl.0029s0090.1.p, Roisl.0054s0001.1.p, Roisl.0191s0644.1.p, Roisl.0049s0016.1.p	g15720
OG0000809	Roisl.0082s0457.1.p, Roisl.0204s0194.1.p, Roisl.0202s0004.1.p, Roisl.0211s0010.1.p, Roisl.0029s0093.1.p, Roisl.0029s0081.1.p, Roisl.0032s0107.1.p, Roisl.0094s0002.1.p, Roisl.0201s0001.1.p, Roisl.0194s0071.1.p, Roisl.0208s0005.1.p, Roisl.0083s0056.1.p, Roisl.0087s0004.1.p, Roisl.0082s0073.1.p, Roisl.0061s0027.1.p, Roisl.0195s0027.1.p, Roisl.0200s0007.1.p, Roisl.0191s0709.1.p, Roisl.0036s0125.1.p, Roisl.0040s0032.1.p, Roisl.0041s0015.1.p, Roisl.0211s0008.1.p, Roisl.0015s0197.1.p, Roisl.0204s0172.1.p, Roisl.0111s0038.1.p, Roisl.0014s0008.1.p, Roisl.0185s0039.1.p, Roisl.0188s0144.1.p, Roisl.0188s0141.1.p, Roisl.0209s0535.1.p	g15438
OG0000813	Roisl.0209s0068.1.p	g54336
OG0000814	Roisl.0021s0244.1.p	g27166
OG0000816	Roisl.0080s0862.1.p	g39401
OG0000817	Roisl.0042s0087.1.p	g29708
OG0000817	Roisl.0074s0877.1.p	g13113
OG0000818	Roisl.0034s0050.1.p	g5834
OG0000818	Roisl.0034s0051.1.p	g5833
OG0000821	Roisl.0204s0128.1.p	g51076
OG0000822	Roisl.0091s0659.1.p	g24320, g47203
OG0000823	Roisl.0018s0232.1.p	g24626, g6994
OG0000824	Roisl.0115s0331.1.p, Roisl.0115s0332.1.p, Roisl.0047s0040.1.p, Roisl.0006s0017.1.p	g11934
OG0000825	Roisl.0045s0080.1.p	g6958
OG0000826	Roisl.0091s0930.1.p	g31014
OG0000826	Roisl.0091s0929.1.p	g31013
OG0000827	Roisl.0214s0742.1.p	g41060
OG0000827	Roisl.0021s0043.1.p	g49716
OG0000828	Roisl.0191s0351.1.p	g50360, g27587
OG0000828	Roisl.0007s0763.1.p, Roisl.0019s0623.1.p	g32151
OG0000829	Roisl.0194s0003.1.p, Roisl.0194s0001.1.p	g11006
OG0000832	Roisl.0082s0648.1.p	g39999
OG0000832	Roisl.0209s0343.1.p	g2880
OG0000832	Roisl.0080s0355.1.p	g1260
OG0000833	Roisl.0082s0766.1.p	g46873
OG0000834	Roisl.0210s0132.1.p	g49354
