Orthogroup	Rorippa_islandica	Noccaea_praecox
OG0002373	Roisl.0214s0638.1.p	Np004G2000000, Np004G2000200
OG0002376	Roisl.0080s0154.1.p	Np001G0096300
OG0002376	Roisl.0080s0153.1.p	Np005G3167700, Np005G3167600
OG0002377	Roisl.0210s1834.1.p	Np003G1495100
OG0002378	Roisl.0037s0027.1.p	Np001G0439300
OG0002378	Roisl.0210s1885.1.p	Np003G1503000
OG0002379	Roisl.0209s0389.1.p	Np001G0466200
OG0002379	Roisl.0080s0370.1.p	Np003G1534900
OG0002380	Roisl.0003s0163.1.p	Np005G2717200, Np005G2736600
OG0002380	Roisl.0080s0596.1.p	Np003G1564700
OG0002381	Roisl.0080s0793.1.p	Np003G1600300
OG0002381	Roisl.0022s0334.1.p	Np005G2789000
OG0002382	Roisl.0080s0877.1.p	Np003G1633300
OG0002382	Roisl.0022s0386.1.p	Np005G2783500
OG0002383	Roisl.0022s0405.1.p	Np005G2779900
OG0002385	Roisl.0074s0870.1.p	Np007G4104600
OG0002386	Roisl.0074s0959.1.p	Np007G4116400
OG0002386	Roisl.0030s0191.1.p	Np003G1293000
OG0002387	Roisl.0030s0135.1.p	Np003G1285500
OG0002387	Roisl.0074s1005.1.p	Np007G4121100
OG0002388	Roisl.0009s0062.1.p	Np005G3197500
OG0002388	Roisl.0050s0077.1.p	Np002G1238800
OG0002389	Roisl.0115s0224.1.p	Np002G0727000
OG0002390	Roisl.0004s0138.1.p	Np002G0747200, Np004G2333100
OG0002391	Roisl.0049s0068.1.p	Np004G2337600
OG0002392	Roisl.0004s0264.1.p	Np002G0767100
OG0002392	Roisl.0007s0080.1.p	Np004G2349600
OG0002393	Roisl.0066s0185.1.p	Np007G3757300
OG0002394	Roisl.0001s0233.1.p	Np005G2676900
OG0002394	Roisl.0066s0129.1.p	Np007G3751900
OG0002395	Roisl.0074s0694.1.p	Np007G4081800
OG0002396	Roisl.0074s0608.1.p	Np007G4067200
OG0002396	Roisl.0006s0520.1.p	Np004G1915200
OG0002397	Roisl.0074s0579.1.p	Np007G4063500
OG0002397	Roisl.0006s0499.1.p	Np004G1917600
OG0002398	Roisl.0074s0464.1.p	Np007G4047800
OG0002399	Roisl.0065s0015.1.p	Np007G3774900
OG0002399	Roisl.0001s0055.1.p	Np005G2648700
OG0002400	Roisl.0006s0372.1.p	Np004G1936900
OG0002401	Roisl.0028s1054.1.p	Np006G3394600
OG0002401	Roisl.0046s1247.1.p	Np001G0549800
OG0002402	Roisl.0082s0030.1.p	Np005G3077100
OG0002402	Roisl.0001s0534.1.p, Roisl.0001s0535.1.p	Np007G3880500
OG0002403	Roisl.0058s0069.1.p	Np005G3082500
OG0002403	Roisl.0053s0174.1.p	Np007G3876200
OG0002404	Roisl.0075s0059.1.p	Np005G3093400
OG0002404	Roisl.0053s0256.1.p	Np007G3863100
OG0002405	Roisl.0075s0126.1.p	Np005G3063800
OG0002405	Roisl.0075s0127.1.p	Np005G3063700
OG0002406	Roisl.0002s0263.1.p	Np005G3044600
OG0002407	Roisl.0002s0233.1.p	Np005G3039300
OG0002407	Roisl.0115s0595.1.p	Np007G3832000
OG0002408	Roisl.0007s0341.1.p	Np004G2380700
OG0002408	Roisl.0019s0158.1.p	Np002G0813200
OG0002409	Roisl.0019s0109.1.p	Np002G0804400
OG0002409	Roisl.0007s0331.1.p	Np004G2378700
OG0002411	Roisl.0007s0258.1.p	Np004G2369900
OG0002412	Roisl.0007s0240.1.p	Np004G2367600
OG0002412	Roisl.0004s0423.1.p	Np002G0788800
OG0002413	Roisl.0019s0699.1.p, Roisl.0209s0297.1.p	Np002G0889200
OG0002414	Roisl.0191s0415.1.p	Np004G2090800
OG0002415	Roisl.0191s0400.1.p	Np004G2088700
OG0002416	Roisl.0019s0682.1.p	Np002G0887100
OG0002416	Roisl.0191s0401.1.p	Np004G2088900
OG0002417	Roisl.0191s0379.1.p	Np004G2252400
OG0002417	Roisl.0019s0604.1.p	Np002G0873600
OG0002418	Roisl.0019s0647.1.p	Np002G0876800, Np002G0966200
OG0002418	Roisl.0019s0610.1.p	Np002G0873000
OG0002419	Roisl.0214s0450.1.p	Np007G3720800
OG0002420	Roisl.0009s0096.1.p	Np005G3192400
OG0002420	Roisl.0010s0188.1.p	Np002G1228200
OG0002421	Roisl.0091s1208.1.p	Np004G2499100
OG0002421	Roisl.0008s0031.1.p	Np002G1084300
OG0002422	Roisl.0025s0031.1.p	Np001G0202000
OG0002423	Roisl.0011s0464.1.p	Np001G0219800
OG0002424	Roisl.0021s0230.1.p	Np004G2468600
OG0002425	Roisl.0091s0466.1.p	Np005G2915500
OG0002426	Roisl.0005s0310.1.p	Np001G0373100
OG0002427	Roisl.0028s0791.1.p	Np006G3433100
OG0002427	Roisl.0024s0062.1.p	Np002G1165300
OG0002428	Roisl.0005s0021.1.p	Np002G1245800, Np003G1841100, Np006G3227200
OG0002429	Roisl.0091s0599.1.p	Np005G2954200
OG0002430	Roisl.0213s0571.1.p	Np003G1804400
OG0002430	Roisl.0008s0144.1.p	Np005G2835300
OG0002431	Roisl.0115s0672.1.p	Np005G2613200
OG0002431	Roisl.0039s0085.1.p	Np007G4186100
OG0002432	Roisl.0091s0039.1.p	Np005G2847200
OG0002432	Roisl.0213s0516.1.p	Np003G1817700
OG0002433	Roisl.0091s0001.1.p	Np001G0350000, Np005G2842100
OG0002434	Roisl.0209s0241.1.p	Np003G1825300
OG0002434	Roisl.0091s0064.1.p	Np005G2850500
OG0002435	Roisl.0082s0159.1.p	Np003G1827200
OG0002436	Roisl.0082s0168.1.p	Np003G1828800
OG0002436	Roisl.0091s0092.1.p	Np005G2856400
OG0002437	Roisl.0012s0340.1.p	Np001G0389000
OG0002437	Roisl.0091s0304.1.p	Np005G2887600
OG0002438	Roisl.0091s0242.1.p	Np005G3118300
OG0002438	Roisl.0091s0244.1.p	Np005G2871400
OG0002440	Roisl.0082s0300.1.p	Np003G1848900
OG0002440	Roisl.0091s0218.1.p	Np005G2875000
OG0002441	Roisl.0091s0178.1.p	Np005G2869200
OG0002441	Roisl.0091s0177.1.p	Np005G2869100
OG0002442	Roisl.0091s0165.1.p, Roisl.0091s0166.1.p	Np005G2868000
OG0002443	Roisl.0027s0112.1.p, Roisl.0018s0495.1.p	Np005G3071500, Np004G1899900
OG0002445	Roisl.0214s0555.1.p, Roisl.0214s0540.1.p, Roisl.0214s0544.1.p	Np002G1169500, Np002G1170700
OG0002446	Roisl.0018s0233.1.p	Np001G0669500
OG0002446	Roisl.0035s0171.1.p	Np006G3237000
OG0002447	Roisl.0028s0237.1.p, Roisl.0028s0232.1.p	Np006G3266500
OG0002447	Roisl.0018s0073.1.p	Np001G0648800
OG0002448	Roisl.0214s0396.1.p, Roisl.0012s0006.1.p	Np002G0886900, Np002G0886800
OG0002448	Roisl.0013s0129.1.p	Np002G0885900, Np003G1833100, Np002G0879900, Np004G1998500
OG0002449	Roisl.0026s0101.1.p	Np001G0626800
OG0002449	Roisl.0006s0212.1.p	Np004G1954800
OG0002450	Roisl.0028s0441.1.p	Np006G3296600
OG0002450	Roisl.0026s0154.1.p	Np001G0620700
OG0002451	Roisl.0028s0488.1.p	Np006G3303700
OG0002451	Roisl.0026s0187.1.p	Np001G0616000
OG0002452	Roisl.0026s0196.1.p	Np001G0615200
OG0002453	Roisl.0046s1405.1.p	Np001G0573400
OG0002453	Roisl.0017s0236.1.p	Np006G3350100
OG0002454	Roisl.0046s1309.1.p	Np001G0561400
OG0002454	Roisl.0017s0045.1.p	Np006G3378800
OG0002455	Roisl.0046s1307.1.p	Np007G3908300, Np001G0561200
OG0002456	Roisl.0028s1034.1.p	Np001G0547100
OG0002457	Roisl.0001s0235.1.p	Np005G2677300
OG0002457	Roisl.0066s0119.1.p	Np007G3750900, Np001G0215000
OG0002458	Roisl.0066s0070.1.p	Np007G3746200
OG0002458	Roisl.0001s0279.1.p	Np005G2682700
OG0002459	Roisl.0066s0039.1.p	Np007G3742600
OG0002459	Roisl.0001s0301.1.p	Np005G2685100
OG0002460	Roisl.0003s0035.1.p	Np005G2735200
OG0002461	Roisl.0044s0069.1.p	Np005G2754200
OG0002461	Roisl.0214s0384.1.p	Np007G3727900
OG0002462	Roisl.0028s0570.1.p, Roisl.0028s0569.1.p	Np006G3313500
OG0002462	Roisl.0028s0568.1.p	Np006G3313400
OG0002464	Roisl.0091s0015.1.p	Np005G2844500
OG0002464	Roisl.0213s0541.1.p	Np003G1814500
OG0002465	Roisl.0001s0321.1.p	Np005G2687200
OG0002465	Roisl.0006s0574.1.p	Np006G3670700
OG0002466	Roisl.0193s0018.1.p, Roisl.0193s0019.1.p	Np004G2084000
OG0002467	Roisl.0209s0212.1.p	Np003G1820500, Np003G1818400
OG0002467	Roisl.0091s0047.1.p	Np005G2848100
OG0002468	Roisl.0046s0301.1.p	Np001G0138900
OG0002468	Roisl.0039s0135.1.p	Np007G4177900
OG0002470	Roisl.0028s0142.1.p	Np006G3256700
OG0002472	Roisl.0046s0076.1.p	Np006G3269500
OG0002473	Roisl.0017s0351.1.p	Np007G4224500
OG0002474	Roisl.0046s0476.1.p	Np001G0157500
OG0002476	Roisl.0079s0228.1.p	Np007G4143000
OG0002477	Roisl.0034s0065.1.p	Np003G1255200
OG0002477	Roisl.0079s0248.1.p	Np007G4140500
OG0002478	Roisl.0042s0111.1.p	Np004G1954200
OG0002479	Roisl.0074s0780.1.p	Np007G4091900, Np004G2144000, Np004G2058600
OG0002480	Roisl.0074s0582.1.p	Np007G4063800
OG0002481	Roisl.0074s0562.1.p	Np007G4060300
OG0002481	Roisl.0006s0485.1.p	Np004G1920300
OG0002483	Roisl.0074s0246.1.p	Np007G3918000
OG0002483	Roisl.0002s0038.1.p	Np005G3003700, Np005G3007100
OG0002484	Roisl.0002s0043.1.p	Np005G3072300, Np005G3072200
OG0002484	Roisl.0074s0236.1.p	Np007G3919000
OG0002485	Roisl.0009s0302.1.p	Np005G3159400
OG0002486	Roisl.0024s0012.1.p	Np002G0950400
OG0002487	Roisl.0209s0021.1.p	Np002G0975200
OG0002487	Roisl.0008s0113.1.p	Np005G3111400
OG0002489	Roisl.0210s1592.1.p	Np003G1466600
OG0002491	Roisl.0210s0171.1.p	Np004G2580600
OG0002491	Roisl.0019s0427.1.p	Np002G0843100
OG0002492	Roisl.0021s0008.1.p	Np004G2493800
OG0002493	Roisl.0021s0029.1.p	Np004G2492000
OG0002494	Roisl.0021s0090.1.p	Np004G2484800
OG0002494	Roisl.0021s0091.1.p	Np004G2484700
OG0002495	Roisl.0010s0137.1.p	Np002G1217900
OG0002496	Roisl.0011s0441.1.p	Np001G0222800
OG0002496	Roisl.0021s0383.1.p	Np004G2445900
OG0002497	Roisl.0021s0450.1.p	Np004G2434200
OG0002497	Roisl.0011s0308.1.p	Np001G0237500
OG0002498	Roisl.0011s0214.1.p	Np001G0247900
OG0002498	Roisl.0007s0755.1.p	Np004G2428200
OG0002499	Roisl.0011s0151.1.p	Np001G0253600
OG0002499	Roisl.0007s0701.1.p	Np004G2422600
OG0002500	Roisl.0007s0665.1.p	Np004G2417600
OG0002500	Roisl.0011s0087.1.p	Np001G0264900
OG0002501	Roisl.0007s0566.1.p	Np004G2406700
OG0002502	Roisl.0214s0219.1.p	Np003G1727800
OG0002504	Roisl.0191s0178.1.p	Np004G2303800
OG0002504	Roisl.0019s0482.1.p	Np002G0852100
OG0002505	Roisl.0191s0194.1.p	Np004G2301200
OG0002506	Roisl.0019s0519.1.p	Np002G0857500
OG0002506	Roisl.0191s0266.1.p	Np004G2287500
OG0002507	Roisl.0021s0234.1.p	Np004G2468200
OG0002507	Roisl.0209s0649.1.p	Np002G1187500
OG0002508	Roisl.0063s0020.1.p	Np006G3712100
OG0002508	Roisl.0115s0729.1.p	Np005G2605500
OG0002509	Roisl.0001s0490.1.p	Np005G2620000
OG0002510	Roisl.0001s0393.1.p	Np005G2695900
OG0002510	Roisl.0046s0532.1.p	Np006G3680300
OG0002511	Roisl.0001s0368.1.p	Np005G2693100
OG0002511	Roisl.0046s0503.1.p	Np006G3677300
OG0002512	Roisl.0001s0349.1.p	Np005G2689800
OG0002512	Roisl.0006s0593.1.p	Np006G3674800
OG0002513	Roisl.0001s0126.1.p	Np005G2660100
OG0002514	Roisl.0045s0088.1.p	Np005G2644700, Np007G3782900
OG0002515	Roisl.0003s0316.1.p	Np005G2629200
OG0002515	Roisl.0036s0121.1.p	Np006G3631700
OG0002516	Roisl.0023s0061.1.p	Np006G3641500
OG0002516	Roisl.0003s0228.1.p	Np005G2708300
OG0002518	Roisl.0019s0510.1.p	Np002G0856300
OG0002518	Roisl.0191s0233.1.p	Np004G2292000
OG0002519	Roisl.0195s0002.1.p	Np005G2775500, Np002G1004500
OG0002522	Roisl.0082s0761.1.p	Np001G0154000
OG0002523	Roisl.0032s0068.1.p	Np003G1763400, Np003G1763500
OG0002523	Roisl.0032s0069.1.p	Np003G1763600
OG0002525	Roisl.0005s0336.1.p, Roisl.0012s0163.1.p, Roisl.0005s0350.1.p, Roisl.0005s0337.1.p, Roisl.0005s0346.1.p	Np001G0379300
OG0002530	Roisl.0003s0073.1.p	Np005G2730800
OG0002530	Roisl.0021s0588.1.p	Np006G3664900
OG0002531	Roisl.0115s0722.1.p	Np005G2606200
OG0002532	Roisl.0209s0364.1.p	Np001G0463700
OG0002533	Roisl.0046s0784.1.p	Np001G0491900
OG0002533	Roisl.0024s0224.1.p	Np001G0059100
OG0002534	Roisl.0046s0706.1.p, Roisl.0046s0702.1.p	Np001G0478300, Np005G2960300
OG0002535	Roisl.0011s0104.1.p	Np001G0263000
OG0002535	Roisl.0007s0675.1.p	Np004G2418400
OG0002536	Roisl.0016s0271.1.p	Np007G4222400
OG0002536	Roisl.0210s1441.1.p	Np003G1447700
OG0002537	Roisl.0004s0221.1.p	Np002G0759900, Np003G1440200, Np003G1440100
OG0002538	Roisl.0210s1335.1.p	Np003G1434500
OG0002539	Roisl.0210s1288.1.p	Np003G1428700
OG0002540	Roisl.0210s1259.1.p	Np003G1425500
OG0002540	Roisl.0016s0145.1.p	Np007G4237600
OG0002541	Roisl.0210s1191.1.p	Np003G1417900
OG0002541	Roisl.0016s0076.1.p	Np007G4247100
OG0002542	Roisl.0210s1151.1.p	Np003G1414400
OG0002542	Roisl.0016s0053.1.p	Np007G4249100
OG0002543	Roisl.0046s1325.1.p	Np001G0563100
OG0002543	Roisl.0017s0069.1.p	Np006G3375900
OG0002544	Roisl.0210s0922.1.p	Np003G1386800
OG0002544	Roisl.0046s0291.1.p	Np001G0137100
OG0002545	Roisl.0024s0321.1.p	Np001G0045300
OG0002545	Roisl.0210s0666.1.p	Np003G1357800
OG0002546	Roisl.0024s0266.1.p	Np001G0052700
OG0002546	Roisl.0210s0628.1.p	Np003G1353700
OG0002547	Roisl.0082s0377.1.p	Np003G1858700
OG0002548	Roisl.0082s0334.1.p	Np003G1853500
OG0002549	Roisl.0082s0662.1.p	Np006G3600000
OG0002550	Roisl.0091s0998.1.p	Np004G2523100
OG0002551	Roisl.0033s0098.1.p	Np006G3539200
OG0002551	Roisl.0091s0932.1.p	Np004G2530700
OG0002552	Roisl.0028s0630.1.p	Np006G3568000
OG0002552	Roisl.0091s0768.1.p	Np004G2549300
OG0002553	Roisl.0028s0718.1.p	Np006G3578700
OG0002553	Roisl.0091s0700.1.p	Np004G2556800
OG0002554	Roisl.0210s0349.1.p	Np004G2561900
OG0002554	Roisl.0012s0200.1.p	Np001G0405900
OG0002555	Roisl.0012s0225.1.p	Np001G0403400
OG0002555	Roisl.0210s0328.1.p	Np004G2564300
OG0002556	Roisl.0028s0752.1.p, Roisl.0213s0069.1.p	Np004G2109300
OG0002557	Roisl.0213s0089.1.p	Np004G2111500
OG0002558	Roisl.0028s0969.1.p, Roisl.0213s0514.1.p	Np004G2197300
OG0002559	Roisl.0046s0989.1.p	Np001G0520000
OG0002559	Roisl.0024s0580.1.p	Np001G0014500
OG0002560	Roisl.0024s0431.1.p	Np001G0031300
OG0002561	Roisl.0210s0690.1.p	Np003G1360300
OG0002562	Roisl.0024s0227.1.p	Np001G0058800
OG0002562	Roisl.0046s0786.1.p	Np001G0492200
OG0002563	Roisl.0080s0005.1.p	Np001G0074000
OG0002564	Roisl.0080s0039.1.p, Roisl.0066s0364.1.p	Np001G0078400
OG0002564	Roisl.0210s0459.1.p	Np003G1330200
OG0002565	Roisl.0210s0487.1.p	Np003G1334100
OG0002565	Roisl.0080s0086.1.p	Np001G0088600
OG0002566	Roisl.0046s0101.1.p	Np001G0115300
OG0002566	Roisl.0046s0857.1.p	Np001G0502200
OG0002567	Roisl.0020s0156.1.p	Np001G0450300
OG0002567	Roisl.0080s0234.1.p	Np003G1519100
OG0002568	Roisl.0080s0245.1.p	Np003G1520300
OG0002568	Roisl.0209s0266.1.p	Np001G0452900
OG0002569	Roisl.0080s0269.1.p	Np003G1522800
OG0002569	Roisl.0209s0287.1.p	Np001G0455500
OG0002570	Roisl.0209s0414.1.p	Np001G0468600
OG0002571	Roisl.0007s0563.1.p	Np007G4233900
OG0002571	Roisl.0080s0461.1.p	Np003G1546500
OG0002572	Roisl.0002s0169.1.p	Np005G3031300
OG0002573	Roisl.0053s0356.1.p	Np007G3845400, Np005G3056400
OG0002574	Roisl.0080s0558.1.p	Np003G1559800
OG0002574	Roisl.0022s0237.1.p	Np005G2801300
OG0002575	Roisl.0080s0605.1.p	Np003G1565700
OG0002576	Roisl.0080s0676.1.p, Roisl.0080s0675.1.p	Np003G1576700
OG0002577	Roisl.0080s0790.1.p	Np003G1598700, Np003G1597100
OG0002577	Roisl.0080s0792.1.p	Np003G1597400, Np003G1598800
OG0002578	Roisl.0008s0001.1.p, Roisl.0066s0099.1.p, Roisl.0214s0063.1.p	Np002G0955600, Np005G3106400, Np006G3596900, Np005G3094700
OG0002579	Roisl.0191s0680.1.p	Np003G1868500
OG0002579	Roisl.0191s0681.1.p	Np003G1868400
OG0002580	Roisl.0210s0427.1.p	Np003G1326200
OG0002580	Roisl.0074s0784.1.p	Np007G4092600
OG0002581	Roisl.0042s0093.1.p	Np003G1307500
OG0002581	Roisl.0026s0162.1.p	Np001G0619500
OG0002582	Roisl.0074s0953.1.p	Np007G4115200
OG0002582	Roisl.0030s0202.1.p	Np003G1294200
OG0002583	Roisl.0030s0144.1.p	Np003G1286500
OG0002584	Roisl.0079s0250.1.p	Np007G4140300
OG0002584	Roisl.0034s0059.1.p	Np003G1254300
OG0002585	Roisl.0011s0492.1.p	Np001G0216400
OG0002585	Roisl.0009s0127.1.p	Np005G3186500
OG0002586	Roisl.0007s0581.1.p	Np004G2408300
OG0002586	Roisl.0115s0064.1.p	Np006G3607500
OG0002588	Roisl.0004s0236.1.p	Np002G0763200
OG0002588	Roisl.0007s0039.1.p	Np004G2345000
OG0002589	Roisl.0007s0052.1.p	Np004G2346600
OG0002589	Roisl.0004s0250.1.p	Np002G0764800
OG0002590	Roisl.0004s0265.1.p	Np002G0767200
OG0002590	Roisl.0007s0081.1.p	Np004G2349700
OG0002591	Roisl.0007s0100.1.p	Np004G2351800
OG0002591	Roisl.0004s0283.1.p	Np002G0769700
OG0002592	Roisl.0007s0110.1.p	Np004G2352800
OG0002592	Roisl.0004s0295.1.p	Np002G0771100
OG0002593	Roisl.0036s0002.1.p, Roisl.0046s0368.1.p, Roisl.0046s0369.1.p, Roisl.0046s0370.1.p	Np001G0146200
OG0002594	Roisl.0018s0352.1.p	Np001G0684700
OG0002595	Roisl.0007s0781.1.p, Roisl.0009s0072.1.p, Roisl.0009s0052.1.p	Np004G1902300
OG0002596	Roisl.0006s0491.1.p	Np004G1919300
OG0002596	Roisl.0074s0571.1.p	Np007G4061500
OG0002597	Roisl.0006s0489.1.p	Np004G1919700
OG0002597	Roisl.0074s0567.1.p	Np007G4060800
OG0002598	Roisl.0006s0476.1.p, Roisl.0006s0473.1.p	Np004G1921300, Np004G1921100
OG0002599	Roisl.0074s0535.1.p	Np004G1923300
OG0002600	Roisl.0046s1248.1.p	Np001G0549900
OG0002600	Roisl.0028s1059.1.p	Np006G3393500
OG0002601	Roisl.0053s0307.1.p	Np007G3854000
OG0002601	Roisl.0075s0137.1.p	Np005G3061900
OG0002602	Roisl.0002s0254.1.p	Np005G3044000
OG0002602	Roisl.0115s0631.1.p	Np007G3836400
OG0002603	Roisl.0002s0145.1.p, Roisl.0002s0143.1.p	Np005G3027100, Np005G3027600, Np005G3025400, Np005G3027200
OG0002604	Roisl.0004s0469.1.p	Np002G0793500
OG0002605	Roisl.0191s0424.1.p	Np004G2091500
OG0002605	Roisl.0019s0703.1.p	Np002G0890000
OG0002606	Roisl.0191s0412.1.p	Np004G2090300
OG0002607	Roisl.0028s0825.1.p	Np005G2861800
OG0002607	Roisl.0053s0041.1.p	Np003G1754600
OG0002608	Roisl.0012s0353.1.p	Np001G0387200
OG0002608	Roisl.0091s0313.1.p	Np005G2889200
OG0002609	Roisl.0074s0017.1.p	Np007G3958600
OG0002610	Roisl.0006s0070.1.p	Np004G1970000
OG0002611	Roisl.0006s0145.1.p	Np004G1962900
OG0002612	Roisl.0006s0356.1.p	Np004G1938600
OG0002613	Roisl.0006s0359.1.p	Np004G1938300
OG0002613	Roisl.0074s0410.1.p	Np007G4036800
OG0002614	Roisl.0074s0411.1.p	Np007G4036900
OG0002614	Roisl.0006s0360.1.p	Np004G1938200
OG0002616	Roisl.0014s0013.1.p, Roisl.0208s0030.1.p	Np001G0525800
OG0002618	Roisl.0179s0004.1.p	Np007G3775300
OG0002618	Roisl.0001s0054.1.p	Np005G2648600
OG0002619	Roisl.0066s0317.1.p, Roisl.0074s0285.1.p	Np007G3770600
OG0002620	Roisl.0066s0278.1.p	Np007G3768300
OG0002620	Roisl.0001s0114.1.p	Np005G2657200
OG0002621	Roisl.0001s0119.1.p	Np005G2658600
OG0002622	Roisl.0082s0153.1.p, Roisl.0082s0154.1.p	Np003G1826500, Np003G1826600
OG0002623	Roisl.0213s0561.1.p, Roisl.0213s0564.1.p, Roisl.0213s0566.1.p, Roisl.0213s0563.1.p	Np003G1803700
OG0002624	Roisl.0018s0448.1.p	Np001G0695100
OG0002624	Roisl.0067s0002.1.p	Np006G3203800
OG0002625	Roisl.0018s0263.1.p	Np001G0672600
OG0002625	Roisl.0035s0153.1.p	Np006G3234500
OG0002626	Roisl.0018s0092.1.p	Np001G0651000
OG0002626	Roisl.0028s0206.1.p	Np006G3263900
OG0002627	Roisl.0026s0093.1.p	Np001G0627500
OG0002628	Roisl.0026s0111.1.p	Np001G0626000
OG0002628	Roisl.0028s0390.1.p	Np006G3287700
OG0002629	Roisl.0028s0459.1.p	Np006G3299700
OG0002630	Roisl.0046s1617.1.p	Np001G0601500
OG0002630	Roisl.0028s0594.1.p	Np006G3317100
OG0002631	Roisl.0046s1513.1.p	Np001G0587900
OG0002631	Roisl.0017s0313.1.p	Np006G3338400
OG0002632	Roisl.0053s0336.1.p	Np007G3848300, Np007G3848400
OG0002633	Roisl.0017s0142.1.p	Np006G3365500
OG0002633	Roisl.0046s1369.1.p	Np001G0568300
OG0002634	Roisl.0022s0443.1.p	Np005G2773200
OG0002635	Roisl.0213s0744.1.p	Np007G3888400
OG0002635	Roisl.0053s0070.1.p	Np005G3104500
OG0002636	Roisl.0213s0802.1.p	Np005G3138700
OG0002636	Roisl.0024s0110.1.p	Np002G0925800
OG0002637	Roisl.0044s0098.1.p	Np005G2751200
OG0002637	Roisl.0214s0373.1.p	Np007G3729800
OG0002638	Roisl.0017s0330.1.p	Np006G3336400
OG0002639	Roisl.0191s0462.1.p	Np004G2096100
OG0002640	Roisl.0210s0123.1.p	Np004G2585700
OG0002640	Roisl.0191s0577.1.p	Np003G1882100
OG0002641	Roisl.0115s0711.1.p	Np006G3709200, Np005G3071200
OG0002642	Roisl.0115s0680.1.p	Np005G2612300
OG0002642	Roisl.0082s0127.1.p	Np006G3699200
OG0002644	Roisl.0209s0782.1.p	Np007G3715200
OG0002644	Roisl.0022s0485.1.p	Np005G2768200
OG0002645	Roisl.0018s0149.1.p	Np001G0660900
OG0002645	Roisl.0028s0094.1.p	Np006G3250500
OG0002646	Roisl.0028s0245.1.p	Np003G1538000, Np006G3267500
OG0002647	Roisl.0210s1526.1.p	Np003G1456900
OG0002647	Roisl.0016s0332.1.p	Np007G4213800
OG0002648	Roisl.0079s0071.1.p	Np007G4163900
OG0002649	Roisl.0079s0287.1.p	Np007G4135300
OG0002650	Roisl.0079s0299.1.p	Np007G4134400
OG0002651	Roisl.0074s0845.1.p	Np007G4101400
OG0002651	Roisl.0042s0031.1.p	Np003G1316800
OG0002652	Roisl.0074s0688.1.p	Np007G4080900
OG0002652	Roisl.0074s0687.1.p	Np007G4080800
OG0002653	Roisl.0013s0091.1.p	Np004G1992700
OG0002653	Roisl.0074s0140.1.p	Np007G3935400
OG0002654	Roisl.0046s0548.1.p	Np006G3682600, Np006G3682700
OG0002654	Roisl.0001s0405.1.p	Np005G2697400
OG0002655	Roisl.0188s0067.1.p	Np001G0191000
OG0002655	Roisl.0070s0009.1.p	Np005G3155800, Np005G3187100
OG0002657	Roisl.0075s0219.1.p	Np005G3046900
OG0002658	Roisl.0115s0584.1.p	Np007G3830500
OG0002658	Roisl.0115s0582.1.p	Np007G3830300
OG0002660	Roisl.0064s0031.1.p	Np005G3124500
OG0002660	Roisl.0055s0009.1.p	Np002G0957700
OG0002661	Roisl.0046s0491.1.p	Np001G0158700
OG0002662	Roisl.0191s0628.1.p, Roisl.0210s0159.1.p	Np003G1877400
OG0002663	Roisl.0210s0236.1.p, Roisl.0214s0001.1.p	Np004G2571800, Np002G1134500
OG0002664	Roisl.0091s1033.1.p	Np004G2519500
OG0002665	Roisl.0021s0002.1.p	Np004G2494700
OG0002665	Roisl.0214s0829.1.p	Np002G1122600
OG0002666	Roisl.0214s0703.1.p	Np002G1138900
OG0002667	Roisl.0214s0557.1.p	Np002G1166800
OG0002667	Roisl.0021s0136.1.p	Np004G2479900
OG0002668	Roisl.0021s0211.1.p	Np004G2471900
OG0002669	Roisl.0021s0264.1.p	Np004G2463500
OG0002671	Roisl.0019s0128.1.p, Roisl.0019s0129.1.p, Roisl.0007s0743.1.p	Np004G2427500
OG0002672	Roisl.0007s0639.1.p	Np004G2415200
OG0002673	Roisl.0007s0616.1.p	Np004G2412300
OG0002674	Roisl.0007s0425.1.p	Np004G2391600
OG0002675	Roisl.0019s0258.1.p	Np002G0825300
OG0002675	Roisl.0007s0393.1.p	Np004G2388000
OG0002677	Roisl.0115s0769.1.p	Np005G2925500
OG0002678	Roisl.0063s0028.1.p	Np006G3711300
OG0002678	Roisl.0115s0724.1.p	Np005G2606000
OG0002679	Roisl.0001s0473.1.p	Np005G2621600
OG0002679	Roisl.0046s0605.1.p	Np006G3690700
OG0002680	Roisl.0046s0535.1.p	Np006G3680800
OG0002680	Roisl.0001s0396.1.p	Np005G2696300
OG0002681	Roisl.0001s0061.1.p	Np005G2649200
OG0002681	Roisl.0065s0006.1.p	Np007G3774300, Np007G3774400
OG0002682	Roisl.0001s0048.1.p	Np005G2648000
OG0002682	Roisl.0053s0148.1.p	Np007G3776100
OG0002683	Roisl.0001s0019.1.p	Np005G2644900
OG0002683	Roisl.0045s0090.1.p	Np007G3783100
OG0002684	Roisl.0023s0111.1.p	Np006G3636800
OG0002685	Roisl.0082s0516.1.p	Np006G3631200
OG0002685	Roisl.0003s0329.1.p	Np005G2630800
OG0002686	Roisl.0008s0318.1.p, Roisl.0046s0695.1.p	Np005G2639500
OG0002687	Roisl.0047s0058.1.p	Np007G3791700
OG0002687	Roisl.0008s0328.1.p	Np005G2640400
OG0002688	Roisl.0023s0008.1.p	Np006G3645600
OG0002688	Roisl.0003s0203.1.p	Np005G2712400
