Orthogroup	Euclidium_syriacum	Erysimum_linariifolium
OG0003308	ESY15_g64738_DN2_SP0_c0.t1	El007G349280
OG0003309	ESY13_g56755_DN3_SP0_c0.t1	El007G349210, El003G159410
OG0003310	ESY5_g4375_DN3_SP0_c0.t1	El002G101120
OG0003310	ESY2_g36113_DN3_SP0_c0.t1	El004G231910
OG0003311	ESY5_g4355_DN3_SP0_c0.t1	El002G101280, El007G358180
OG0003312	ESY2_g35942_DN3_SP0_c0.t1	El004G225750
OG0003312	ESY5_g4215_DN3_SP0_c0.t1	El002G102490
OG0003313	ESY2_g34862_DN3_SP8_c0.t1	El004G226000
OG0003314	ESY2_g35006_DN2_SP0_c13.t1	El004G227300, El002G103100
OG0003315	ESY2_g34688_DN3_SP0_c0.t1	El004G229830
OG0003315	ESY5_g2546_DN3_SP0_c0.t1	El002G105550
OG0003316	ESY2_g35033_DN3_SP0_c0.t1	El001G045000, El002G107210, El002G107230
OG0003317	ESY5_g2264_DN3_SP0_c92.t1	El002G107700
OG0003318	ESY5_g2094_DN3_SP5_c0.t1, ESY2_g35588_DN3_SP0_c15.t1	El002G108610, El002G108600
OG0003319	ESY5_g1561_DN3_SP8_c0.t1, ESY16_g62349_DN3_SP0_c0.t1	El002G110790
OG0003319	ESY2_g35443_DN3_SP0_c0.t1	El002G110240, El002G110780
OG0003320	ESY13_g57570_DN3_SP0_c0.t1, ESY6_g47537_DN3_SP3_c0.t1, ESY8_g60779_DN3_SP6_c0.t1	El002G112390
OG0003321	ESY8_g59362_DN3_SP0_c0.t1	El006G315270
OG0003321	ESY4_g25050_DN3_SP2_c0.t1	El003G150870
OG0003322	ESY5_g3705_DN3_SP8_c0.t1	El001G057300, El002G095000
OG0003324	ESY7_g17487_DN3_SP1_c0.t1	El005G235890, El001G066340
OG0003325	ESY10_g15652_DN1_SP0_c0.t1, ESY6_g49830_DN3_SP0_c0.t1	El001G049040
OG0003326	ESY7_g18714_DN3_SP8_c0.t1	El001G075160, El001G075170
OG0003327	ESY7_g18864_DN3_SP8_c0.t1	El001G076510
OG0003328	ESY6_g50117_DN3_SP5_c0.t1	El001G056040, El001G018970
OG0003329	ESY21_g55175_DN3_SP0_c0.t1	El004G218380
OG0003330	ESY2_g35467_DN3_SP7_c0.t1	El004G221130
OG0003330	ESY3_g28806_DN3_SP0_c0.t1	El002G110070
OG0003331	ESY2_g35092_DN3_SP6_c0.t1	El004G230800
OG0003332	ESY2_g36000_DN1_SP0_c0.t1	El002G103760, El004G227770
OG0003333	ESY2_g34896_DN3_SP0_c0.t1	El004G226310
OG0003333	ESY5_g4205_DN3_SP0_c0.t1	El002G102580
OG0003334	ESY2_g36161_DN3_SP0_c0.t1, ESY2_g36158_DN1_SP0_c0.t1, ESY2_g36162_DN3_SP0_c0.t1, ESY2_g36164_DN3_SP0_c0.t1, ESY7_g18276_DN2_SP0_c0.t1	El004G232250, El004G232240
OG0003335	ESY2_g36822_DN3_SP8_c0.t1	El004G232300, El002G100810
OG0003336	ESY3_g30186_DN3_SP0_c0.t1, ESY12_g51957_DN3_SP0_c0.t1, ESY3_g30187_DN3_SP0_c0.t1, ESY3_g30185_DN3_SP0_c0.t1	El005G249240
OG0003337	ESY2_g38331_DN3_SP0_c0.t1	El005G254040, El002G131330
OG0003339	ESY2_g36927_DN1_SP0_c0.t1	El002G138400
OG0003339	ESY3_g30513_DN1_SP0_c0.t1	El005G251410
OG0003340	ESY1_g11703_DN3_SP0_c0.t1	El001G028800
OG0003341	ESY1_g11520_DN3_SP0_c0.t1, ESY1_g11518_DN2_SP0_c0.t1	El007G357950, El007G357940, El001G029610, El001G029630
OG0003342	ESY1_g11398_DN3_SP0_c0.t1	El001G030300
OG0003343	ESY1_g12418_DN3_SP8_c0.t1	El001G034400
OG0003344	ESY7_g16743_DN3_SP0_c0.t1, ESY2_g37168_DN1_SP0_c0.t1	El003G192710, El003G192690
OG0003345	ESY12_g50873_DN2_SP0_c0.t1, ESY1_g5741_DN2_SP0_c0.t1	El003G186560
OG0003347	ESY1_g11172_DN3_SP0_c0.t1	El001G023680
OG0003350	ESY4_g24966_DN3_SP0_c0.t1	El003G151280
OG0003351	ESY9_g43804_DN3_SP0_c0.t1	El003G162880, El003G162870
OG0003352	ESY7_g17315_DN3_SP0_c0.t1, ESY7_g17314_DN3_SP0_c0.t1, ESY7_g17313_DN3_SP0_c0.t1	El001G064800
OG0003356	ESY3_g31128_DN3_SP0_c0.t1	El005G245980
OG0003356	ESY3_g31119_DN3_SP0_c16.t1	El007G342120, El007G342110
OG0003359	ESY4_g25065_DN3_SP0_c0.t1	El003G150750
OG0003360	ESY8_g59336_DN3_SP0_c0.t1	El003G150530
OG0003361	ESY76_g38900_DN1_SP0_p0.t1	El051G375550
OG0003361	ESY32_g45740_DN2_SP1_c0.t1	El036G374370
OG0003362	ESY4_g25794_DN3_SP0_c0.t1	El003G148830
OG0003363	ESY4_g25699_DN3_SP4_c0.t1	El003G148180, El005G272520
OG0003364	ESY4_g25522_DN3_SP8_c5.t1	El003G147540
OG0003364	ESY4_g25890_DN3_SP0_c0.t1	El001G002690
OG0003365	ESY4_g25817_DN3_SP0_c0.t1, ESY4_g25821_DN3_SP0_c0.t1	El003G148920
OG0003366	ESY16_g61626_DN3_SP8_c0.t1	El003G170010, El006G295910
OG0003367	ESY10_g14468_DN3_SP0_c0.t1	El004G194920
OG0003367	ESY5_g2824_DN3_SP3_c0.t1	El002G098600
OG0003368	ESY1_g10629_DN3_SP0_c0.t1	El001G038000, El007G354790, El007G355260, El007G355020, El001G000920
OG0003369	ESY10_g14152_DN3_SP0_c0.t1	El001G038860
OG0003369	ESY8_g60507_DN3_SP0_c0.t1	El003G190160
OG0003370	ESY10_g14020_DN3_SP0_c0.t1	El001G039920
OG0003371	ESY8_g60282_DN3_SP8_c0.t1	El003G191530
OG0003371	ESY21_g55847_DN3_SP8_c0.t1	El001G042520
OG0003372	ESY2_g34545_DN3_SP2_c0.t1	El003G189590, El001G044520
OG0003373	ESY2_g35237_DN3_SP8_c0.t1	El003G186260, El004G215720
OG0003374	ESY2_g34354_DN3_SP6_c0.t1	El004G211560
OG0003374	ESY16_g62153_DN3_SP8_c0.t1	El003G156520
OG0003375	ESY2_g33403_DN3_SP4_c0.t1	El004G195510
OG0003375	ESY8_g60106_DN3_SP8_c0.t1	El003G192610
OG0003376	ESY13_g56265_DN3_SP0_c23.t1	El003G158550
OG0003378	ESY15_g65237_DN3_SP6_c19.t1	El003G160360, El003G183370
OG0003379	ESY6_g48011_DN3_SP0_c0.t1	El007G336930
OG0003379	ESY16_g61657_DN3_SP0_c0.t1, ESY16_g62419_DN3_SP0_c0.t1	El003G157630
OG0003380	ESY6_g48512_DN3_SP2_c0.t1	El007G333790
OG0003381	ESY4_g23900_DN3_SP0_c0.t1	El003G155880
OG0003381	ESY6_g48524_DN2_SP0_c0.t1	El007G333680
OG0003382	ESY6_g50564_DN3_SP8_c0.t1	El007G325270, El001G071760
OG0003383	ESY6_g49512_DN3_SP8_c8.t1	El007G329420
OG0003384	ESY9_g42792_DN3_SP8_c21.t1	El003G167200, El003G167380
OG0003385	ESY7_g16590_DN2_SP0_c0.t1	El007G361040
OG0003385	ESY9_g43311_DN2_SP0_c0.t1	El003G165370
OG0003387	ESY14_g19794_DN3_SP1_c0.t1	El002G120970, El001G008960
OG0003388	ESY4_g24058_DN2_SP0_c0.t1	El001G047160
OG0003389	ESY1_g5863_DN3_SP6_c0.t1	El006G297770, El002G114710
OG0003390	ESY4_g23652_DN3_SP6_c0.t1	El002G116720, El002G116730
OG0003391	ESY4_g26298_DN3_SP6_c0.t1	El003G145500
OG0003393	ESY8_g59691_DN3_SP1_c17.t1	El003G143790, El006G319740, El006G319770
OG0003394	ESY6_g49020_DN3_SP8_c0.t1	El001G058000
OG0003394	ESY17_g40201_DN3_SP4_c0.t1	El003G185220
OG0003395	ESY18_g63696_DN3_SP0_c0.t1	El003G165490
OG0003396	ESY18_g63651_DN3_SP0_c0.t1, ESY18_g63511_DN3_SP0_c0.t1	El001G007660
OG0003397	ESY9_g42861_DN3_SP5_c0.t1	El003G167140
OG0003397	ESY7_g16807_DN3_SP8_c0.t1	El007G363700
OG0003398	ESY17_g39558_DN3_SP4_c0.t1	El005G268910, El003G179280
OG0003399	ESY10_g14466_DN3_SP0_c0.t1, ESY8_g58513_DN3_SP0_c15.t1, ESY12_g51744_DN3_SP0_c0.t1	El003G176670
OG0003400	ESY27_g13527_DN3_SP8_c0.t1	El003G176190, El003G176290, El003G176240, El003G176230
OG0003401	ESY22_g40754_DN3_SP8_c0.t1	El003G174500
OG0003402	ESY2_g38873_DN3_SP0_c0.t1	El003G173010
OG0003404	ESY12_g51430_DN3_SP8_c0.t1	El006G280630, El006G280640
OG0003405	ESY1_g11897_DN3_SP8_c0.t1	El001G031410
OG0003406	ESY10_g14144_DN3_SP0_c0.t1	El001G039010, El001G038890
OG0003407	ESY7_g19646_DN3_SP0_c0.t1	El001G082030
OG0003407	ESY3_g30806_DN3_SP8_c0.t1	El005G243930
OG0003408	ESY6_g50420_DN2_SP0_c0.t1	El001G019700, El007G324180
OG0003409	ESY6_g50406_DN3_SP1_c0.t1	El007G323750, El001G020040
OG0003410	ESY5_g5496_DN3_SP3_c0.t1	El001G000990, El002G083300
OG0003411	ESY20_g13268_DN3_SP0_c5.t1	El001G003050
OG0003412	ESY20_g12680_DN3_SP0_c0.t1	El006G299760
OG0003412	ESY5_g4871_DN3_SP0_c0.t1	El002G087290
OG0003413	ESY8_g58604_DN3_SP6_c0.t1	El006G302090
OG0003414	ESY8_g58736_DN3_SP0_c0.t1	El006G303120
OG0003414	ESY7_g18865_DN3_SP0_c0.t1	El001G076520
OG0003415	ESY3_g32643_DN3_SP0_c0.t1	El005G235410
OG0003416	ESY7_g17333_DN3_SP7_c0.t1	El001G065100
OG0003416	ESY3_g32468_DN3_SP3_c0.t1	El005G236850
OG0003417	ESY3_g31798_DN3_SP8_c0.t1, ESY10_g15590_DN3_SP5_c0.t1	El005G240070
OG0003418	ESY3_g31786_DN3_SP8_c0.t1	El005G240170, El001G049520
OG0003419	ESY3_g31576_DN3_SP4_c0.t1	El005G241390
OG0003419	ESY7_g16926_DN3_SP8_c0.t1	El001G061510
OG0003421	ESY16_g62440_DN3_SP0_c0.t1	El004G216690
OG0003421	ESY9_g44365_DN3_SP7_c43.t1	El006G294390
OG0003423	ESY9_g45087_DN3_SP0_c0.t1	El006G292460
OG0003424	ESY9_g45359_DN3_SP6_c0.t1	El006G291570
OG0003424	ESY1_g10987_DN3_SP8_c0.t1	El001G024900
OG0003425	ESY5_g2925_DN3_SP7_c0.t1	El002G099540
OG0003426	ESY5_g4344_DN3_SP8_c31.t1	El007G343830, El002G101390
OG0003427	ESY5_g3897_DN2_SP0_c15.t1	El002G105280
OG0003427	ESY3_g30964_DN3_SP0_c0.t1	El005G244780
OG0003428	ESY5_g2549_DN3_SP0_c0.t1	El002G105510, El001G012130
OG0003429	ESY2_g34690_DN3_SP8_c0.t1	El002G105530, El004G229810
OG0003430	ESY2_g35497_DN3_SP2_c0.t1	El002G109630, El004G221470
OG0003431	ESY5_g1600_DN3_SP0_c0.t1	El002G110280
OG0003432	ESY5_g1076_DN3_SP6_c0.t1	El002G112120
OG0003433	ESY8_g59381_DN3_SP5_c0.t1	El006G315810
OG0003434	ESY4_g26474_DN3_SP0_c0.t1	El006G318780
OG0003435	ESY6_g48244_DN3_SP0_c0.t1	El007G335520
OG0003435	ESY5_g5507_DN3_SP0_c0.t1	El002G083140
OG0003436	ESY5_g3312_DN3_SP0_c0.t1	El002G092320
OG0003437	ESY3_g29341_DN3_SP6_c0.t1	El007G343160
OG0003437	ESY2_g34155_DN3_SP0_c0.t1	El003G148670, El004G230620
OG0003438	ESY3_g32606_DN3_SP0_c0.t1	El005G235730
OG0003438	ESY7_g17530_DN3_SP0_c0.t1	El001G066520
OG0003439	ESY7_g17158_DN3_SP7_c0.t1	El001G063430
OG0003439	ESY3_g32294_DN3_SP0_c0.t1	El005G237790
OG0003440	ESY2_g35022_DN3_SP5_c0.t1, ESY2_g35355_DN3_SP0_c0.t1, ESY7_g19168_DN3_SP0_c0.t1, ESY7_g17106_DN3_SP0_c0.t1	El001G062840
OG0003441	ESY6_g49391_DN3_SP0_c0.t1, ESY6_g49390_DN3_SP0_c0.t1	El007G328520, El007G328510
OG0003442	ESY6_g49800_DN3_SP8_c0.t1	El007G327750, El001G017570, El001G017600
OG0003443	ESY6_g50111_DN3_SP0_c0.t1	El001G018980, El001G055890
OG0003444	ESY1_g8991_DN3_SP0_c0.t1, ESY11_g53639_DN1_SP0_c0.t1, ESY11_g53638_DN3_SP0_c0.t1	El001G017620
OG0003445	ESY6_g48970_DN3_SP8_c0.t1	El001G057260, El001G013830
OG0003446	ESY2_g35627_DN2_SP0_c0.t1	El002G108310
OG0003447	ESY2_g35772_DN3_SP7_c0.t1	El002G107600, El004G224100
OG0003448	ESY2_g36693_DN3_SP2_c0.t1	El004G232960, El002G100350
OG0003449	ESY2_g33397_DN3_SP0_c0.t1, ESY20_g12703_DN3_SP0_c0.t1, ESY8_g58283_DN3_SP0_c0.t1, ESY2_g37005_DN3_SP0_c0.t1, ESY8_g58285_DN3_SP0_c0.t1, ESY20_g12705_DN3_SP0_c0.t1, ESY3_g30119_DN3_SP0_c0.t1	El005G248630
OG0003450	ESY2_g36286_DN3_SP0_c0.t1	El002G140380
OG0003450	ESY3_g30226_DN2_SP0_c0.t1	El005G249440
OG0003451	ESY3_g29761_DN3_SP1_c0.t1	El005G277360, El005G254630
OG0003452	ESY3_g29719_DN3_SP7_c0.t1	El005G255170
OG0003452	ESY3_g29720_DN3_SP0_c0.t1	El005G255160
OG0003453	ESY3_g29710_DN3_SP0_c0.t1, ESY3_g29708_DN3_SP0_c0.t1	El005G255330, El005G255340
OG0003455	ESY4_g25574_DN3_SP1_c0.t1	El003G147810, El005G273630
OG0003456	ESY2_g36984_DN3_SP0_c0.t1	El002G137880
OG0003456	ESY11_g54974_DN3_SP1_c0.t1	El005G279420
OG0003457	ESY1_g10810_DN2_SP0_c15.t1	El001G025860
OG0003457	ESY9_g45471_DN3_SP0_c11.t1	El006G290770
OG0003458	ESY1_g12103_DN3_SP7_c0.t1	El007G344080, El001G032230
OG0003460	ESY4_g26080_DN2_SP0_c0.t1	El002G125260
OG0003461	ESY5_g3578_DN3_SP0_c0.t1, ESY2_g33617_DN3_SP0_c0.t1, ESY5_g5265_DN3_SP0_c0.t1	El004G202110, El004G202100
OG0003462	ESY5_g3509_DN3_SP0_c0.t1, ESY5_g3508_DN2_SP0_c0.t1	El002G093610, El002G093600
OG0003463	ESY1_g11171_DN3_SP0_c0.t1	El002G099690
OG0003464	ESY1_g12237_DN3_SP0_c0.t1	El005G240720, El005G240710
OG0003465	ESY16_g61872_DN2_SP0_c0.t1	El004G212030, El004G212090, El004G212100
OG0003465	ESY16_g61874_DN3_SP0_c0.t1	El002G118880, El004G212120, El004G212050
OG0003467	ESY5_g3535_DN3_SP0_c0.t1	El007G335130, El003G144050
OG0003467	ESY6_g48299_DN3_SP0_c0.t1	El007G335140, El007G335120
OG0003481	ESY11_g54598_DN3_SP0_c0.t1	El005G277810
OG0003481	ESY4_g24433_DN3_SP0_c0.t1	El003G153340
OG0003482	ESY11_g54355_DN3_SP8_c0.t1	El003G152740
OG0003483	ESY4_g24806_DN3_SP0_c0.t1	El002G130270, El003G151890
OG0003484	ESY4_g25232_DN3_SP8_c0.t1	El003G150440
OG0003484	ESY8_g59332_DN3_SP7_c0.t1	El006G314380
OG0003485	ESY4_g25854_DN3_SP0_c0.t1	El003G149090
OG0003486	ESY2_g34400_DN3_SP0_c0.t1, ESY2_g34402_DN2_SP0_c0.t1	El004G219760
OG0003487	ESY5_g3190_DN3_SP8_c0.t1	El002G091490
OG0003487	ESY2_g34278_DN3_SP6_c0.t1	El004G210520
OG0003488	ESY2_g34132_DN2_SP0_c0.t1, ESY5_g3097_DN2_SP0_c0.t1	El004G205160, El004G205130
OG0003488	ESY2_g34138_DN1_SP0_c0.t1	El004G205190, El004G205180
OG0003489	ESY2_g34020_DN3_SP8_c0.t1	El004G201470
OG0003489	ESY5_g3495_DN3_SP0_c0.t1	El002G093520
OG0003490	ESY2_g33886_DN2_SP0_c0.t1	El004G199820
OG0003491	ESY21_g55869_DN3_SP8_c0.t1	El001G042430
OG0003491	ESY8_g60278_DN3_SP0_c0.t1	El003G191540
OG0003492	ESY2_g35300_DN3_SP2_c0.t1	El004G214550, El003G185040
OG0003493	ESY6_g49325_DN3_SP2_c0.t1	El005G245210
OG0003493	ESY7_g16710_DN3_SP0_c0.t1	El005G245190
OG0003494	ESY20_g13031_DN3_SP0_c0.t1	El007G345070, El002G098480
OG0003495	ESY6_g46129_DN3_SP0_c0.t1	El007G342800
OG0003496	ESY6_g46916_DN3_SP8_c0.t1	El007G340720
OG0003497	ESY6_g48420_DN3_SP4_c0.t1	El007G334410, El003G158560
OG0003498	ESY7_g18147_DN3_SP0_c0.t1	El001G070470
OG0003499	ESY7_g17893_DN3_SP8_c0.t1	El001G072390
OG0003499	ESY6_g50671_DN3_SP3_c0.t1	El007G325910
OG0003500	ESY7_g17823_DN3_SP0_c0.t1	El001G072720
OG0003500	ESY6_g50729_DN3_SP8_c0.t1	El007G326420
OG0003501	ESY7_g17820_DN3_SP0_c0.t1	El001G072750, El005G257310
OG0003502	ESY9_g42677_DN2_SP0_c9.t1	El003G164270, El003G183380
OG0003503	ESY23_g101_DN3_SP1_c0.t1	El003G161530
OG0003504	ESY14_g20145_DN3_SP8_c0.t1	El001G009720, El002G122210
OG0003506	ESY4_g23685_DN3_SP8_c0.t1	El006G296320, El002G117280
OG0003507	ESY4_g23762_DN2_SP0_c0.t1	El002G117390
OG0003508	ESY11_g54082_DN3_SP8_c0.t1	El005G275150
OG0003508	ESY4_g25324_DN3_SP0_c0.t1	El003G146620
OG0003509	ESY4_g26191_DN3_SP0_c0.t1	El005G276250, El005G276220, El005G276230, El003G145910
OG0003510	ESY8_g59596_DN3_SP1_c0.t1	El006G318720
OG0003510	ESY4_g26480_DN3_SP8_c0.t1	El003G144870
OG0003511	ESY8_g61294_DN3_SP0_c0.t1	El003G186510
OG0003512	ESY1_g6172_DN3_SP1_c0.t1	El007G358060
OG0003512	ESY4_g22137_DN3_SP0_c0.t1	El002G128740
OG0003513	ESY7_g16474_DN3_SP8_c0.t1	El001G004740
OG0003514	ESY4_g25688_DN3_SP0_c0.t1	El002G130760, El002G130710, El002G130700, El003G184850, El007G364920
OG0003515	ESY10_g14745_DN3_SP8_c0.t1	El007G366240, El005G271220, El003G169910
OG0003517	ESY3_g27330_DN3_SP0_c0.t1, ESY3_g27370_DN3_SP0_c0.t1	El003G179740, El003G179730
OG0003519	ESY16_g61760_DN3_SP0_c0.t1	El003G177320
OG0003519	ESY2_g37678_DN2_SP0_c0.t1	El005G267380
OG0003520	ESY3_g28485_DN3_SP6_c0.t1	El005G264720, El002G114090, El002G114040, El003G175140
OG0003521	ESY12_g51833_DN3_SP0_c0.t1	El003G192020
OG0003522	ESY10_g14559_DN3_SP0_c0.t1, ESY9_g45045_DN1_SP0_c0.t1	El006G283370, El002G131890
OG0003523	ESY1_g11513_DN3_SP0_c0.t1	El001G029650
OG0003524	ESY6_g49660_DN3_SP8_c0.t1	El001G018410, El007G326980
OG0003525	ESY7_g18012_DN3_SP7_c0.t1	El007G324940, El001G071640
OG0003526	ESY6_g50450_DN3_SP0_c0.t1	El007G324280
OG0003526	ESY1_g9740_DN3_SP0_c0.t1	El001G019590
OG0003527	ESY6_g50347_DN3_SP0_c0.t1	El007G323360, El007G349270
OG0003528	ESY8_g58677_DN3_SP8_c8.t1	El006G302530
OG0003528	ESY5_g4597_DN3_SP1_c8.t1	El002G089440
OG0003529	ESY6_g47965_DN3_SP0_c0.t1	El003G157350
OG0003529	ESY6_g47964_DN3_SP0_c0.t1	El007G337400
OG0003531	ESY3_g31601_DN3_SP8_c0.t1	El005G241110, El001G061060
OG0003532	ESY3_g31456_DN3_SP6_c20.t1	El005G242220
OG0003532	ESY15_g64395_DN3_SP0_c20.t1	El007G346820
OG0003533	ESY9_g45528_DN1_SP0_c0.t1	El004G199700, El006G290490
OG0003534	ESY1_g10808_DN3_SP5_c0.t1	El001G025870, El006G290740
OG0003535	ESY5_g5155_DN3_SP0_c0.t1, ESY16_g61737_DN3_SP0_c0.t1	El006G294190, El007G348640
OG0003537	ESY2_g34847_DN3_SP0_c0.t1	El004G225820
OG0003537	ESY5_g4230_DN3_SP8_c0.t1	El002G102370
OG0003538	ESY5_g4137_DN3_SP6_c0.t1	El002G103190
OG0003539	ESY5_g2250_DN3_SP6_c0.t1	El004G223850, El002G107760
OG0003540	ESY5_g2125_DN3_SP8_c0.t1	El002G108490
OG0003540	ESY2_g35598_DN3_SP7_c0.t1	El004G222400
OG0003541	ESY2_g35545_DN2_SP3_c0.t1	El002G109160, El004G221900
OG0003542	ESY2_g34503_DN2_SP0_c0.t1	El004G218770
OG0003543	ESY19_g41865_DN3_SP2_c0.t1	El004G218190
OG0003544	ESY5_g3438_DN3_SP0_c0.t1, ESY10_g15228_DN3_SP0_c0.t1, ESY10_g14769_DN3_SP0_c0.t1	El007G352480, El007G352430, El007G353270, El007G352510, El003G181370
OG0003545	ESY8_g59396_DN3_SP8_c0.t1	El006G306630, El001G049690
OG0003546	ESY8_g58392_DN3_SP0_c0.t1	El006G300360
OG0003546	ESY5_g4802_DN2_SP0_c0.t1, ESY5_g4799_DN3_SP0_c0.t1	El002G087790
OG0003547	ESY7_g17185_DN3_SP8_c10.t1	El001G063640
OG0003548	ESY3_g29492_DN3_SP0_c0.t1	El001G061630
OG0003549	ESY3_g31496_DN3_SP8_c0.t1	El005G241900, El007G345420
OG0003550	ESY15_g64472_DN3_SP3_c0.t1	El007G347660
OG0003550	ESY3_g31412_DN3_SP6_c0.t1	El005G242460
OG0003551	ESY6_g50036_DN3_SP0_c0.t1	El001G054820, El001G054990, El001G054900, El001G055020, El001G054950, El001G054830
OG0003552	ESY1_g8886_DN3_SP7_c0.t1	El001G017500
OG0003553	ESY6_g49778_DN3_SP8_c0.t1	El007G327590
OG0003553	ESY6_g49779_DN3_SP0_c0.t1	El004G204620
OG0003555	ESY1_g9278_DN3_SP0_c0.t1	El001G018300
OG0003556	ESY5_g2174_DN3_SP8_c0.t1	El002G108100
OG0003556	ESY2_g35658_DN3_SP7_c0.t1	El004G223140
OG0003557	ESY11_g54699_DN3_SP7_c10.t1	El004G226080
OG0003558	ESY2_g36817_DN3_SP8_c0.t1	El004G232340, El002G100760
OG0003559	ESY2_g36688_DN3_SP8_c0.t1	El004G233010, El002G100330
OG0003560	ESY3_g30411_DN3_SP8_c0.t1	El002G139250, El005G250730
OG0003561	ESY3_g30496_DN3_SP0_c0.t1	El005G251200
OG0003562	ESY2_g38441_DN3_SP6_c0.t1	El003G171700
OG0003562	ESY3_g29890_DN3_SP8_c0.t1	El005G253640
OG0003563	ESY2_g37693_DN3_SP6_c0.t1	El005G256290
OG0003564	ESY3_g29086_DN3_SP0_c0.t1	El005G259450, El002G136330
OG0003565	ESY49_g12651_DN3_SP1_c0.t1, ESY3_g28292_DN3_SP0_c0.t1	El003G175720, El005G265530, El005G265450
OG0003567	ESY11_g54345_DN2_SP0_c0.t1	El005G277090, El005G277100, El006G312470
OG0003568	ESY2_g33326_DN3_SP0_c0.t1	El001G077700
OG0003568	ESY17_g39488_DN3_SP6_c0.t1	El001G009050
OG0003569	ESY2_g36415_DN2_SP0_c0.t1, ESY2_g36414_DN3_SP0_c0.t1, ESY2_g36413_DN2_SP0_c0.t1, ESY2_g36416_DN3_SP0_c0.t1, ESY2_g36417_DN3_SP0_c0.t1	El002G141360
OG0003572	ESY2_g37979_DN3_SP0_c0.t1	El003G174520, El003G174510, El003G174530
OG0003573	ESY2_g33504_DN3_SP0_c0.t1	El006G293020, El004G196440
OG0003574	ESY7_g17128_DN3_SP0_c0.t1	El001G063100, El001G063090, El001G063110
OG0003575	ESY7_g16878_DN3_SP0_c0.t1, ESY7_g16879_DN3_SP0_c0.t1	El001G061150
OG0003576	ESY2_g34562_DN2_SP0_c0.t1	El002G090400
OG0003583	ESY4_g25976_DN3_SP0_c93.t1, ESY4_g25979_DN2_SP0_c93.t1	El007G357620, El003G154620
OG0003584	ESY34_g45726_DN3_SP0_c0.t1	El003G154180, El003G153460
OG0003585	ESY1_g10697_DN3_SP8_c0.t1	El003G182090, El003G183010, El001G026820
OG0003586	ESY4_g24640_DN3_SP2_c0.t1	El003G152580
OG0003586	ESY8_g59517_DN3_SP3_c0.t1	El006G317910
OG0003587	ESY4_g25081_DN3_SP4_c0.t1	El006G313900
OG0003588	ESY7_g19102_DN1_SP0_c30.t1	El001G078180
OG0003589	ESY4_g25726_DN3_SP0_c0.t1, ESY4_g25728_DN3_SP0_c0.t1	El003G148340
OG0003590	ESY11_g53995_DN3_SP0_c0.t1	El005G274530
OG0003591	ESY2_g34070_DN3_SP8_c0.t1	El004G202710
OG0003592	ESY2_g33892_DN3_SP0_c0.t1	El004G199930, El004G199960
OG0003593	ESY10_g14406_DN2_SP0_c0.t1	El001G037450, El003G182800
OG0003593	ESY10_g14404_DN3_SP0_c30.t1	El001G037510, El001G037470
OG0003594	ESY10_g14353_DN3_SP4_c0.t1	El001G037810, El002G098340
OG0003595	ESY21_g55406_DN3_SP0_c0.t1	El001G043690, El001G043680
OG0003596	ESY2_g35159_DN3_SP0_c0.t1	El003G187890, El001G046470
OG0003597	ESY5_g3852_DN3_SP6_c0.t1	El002G096260
OG0003597	ESY2_g33560_DN3_SP4_c0.t1	El004G196640
OG0003598	ESY3_g30874_DN3_SP0_c0.t1, ESY3_g30837_DN2_SP0_c0.t1	El005G244210, El005G247230, El005G244360
OG0003599	ESY3_g31176_DN3_SP0_c0.t1	El005G246300, El005G246290
OG0003600	ESY3_g31257_DN3_SP0_c0.t1	El001G037870, El005G247010
OG0003601	ESY10_g14994_DN3_SP0_c0.t1, ESY10_g14990_DN3_SP0_c0.t1	El005G248140
OG0003603	ESY4_g23825_DN3_SP8_c0.t1	El003G156160
OG0003603	ESY6_g47367_DN3_SP4_c0.t1	El007G339770
OG0003604	ESY16_g62169_DN3_SP0_c0.t1	El003G156650
OG0003605	ESY1_g10945_DN1_SP0_c0.t1	El001G034500
OG0003606	ESY16_g62504_DN3_SP6_c0.t1	El003G157880
OG0003606	ESY6_g48143_DN3_SP5_c0.t1	El007G336130
OG0003607	ESY16_g61640_DN3_SP0_c0.t1	El001G069600
OG0003609	ESY7_g17990_DN3_SP0_c0.t1	El001G071780
OG0003609	ESY7_g17992_DN3_SP0_c0.t1	El001G071770
OG0003610	ESY6_g50637_DN3_SP3_c0.t1	El007G325770, El001G072290
OG0003611	ESY9_g42643_DN1_SP0_c0.t1	El003G168280
OG0003612	ESY9_g42667_DN3_SP3_c0.t1	El003G168110
OG0003613	ESY5_g5102_DN3_SP0_c0.t1, ESY10_g15297_DN3_SP1_c0.t1	El001G051290
OG0003615	ESY4_g22931_DN3_SP3_c0.t1	El002G114610, El006G297820
OG0003616	ESY4_g26019_DN3_SP0_c0.t1	El003G146430
OG0003617	ESY14_g19992_DN3_SP1_c0.t1	El001G009770
OG0003618	ESY1_g11131_DN3_SP0_c0.t1	El001G023880
OG0003619	ESY3_g31155_DN2_SP0_c0.t1, ESY3_g31154_DN1_SP0_c0.t1	El005G246180
OG0003620	ESY7_g16624_DN3_SP0_c0.t1, ESY7_g16622_DN3_SP0_c0.t1	El007G361340, El007G361320
OG0003621	ESY7_g16661_DN3_SP6_c0.t1	El007G361550
