Orthogroup	Euclidium_syriacum	Brassica_napus
OG0001136	ESY10_g14967_DN3_SP0_c0.t1	XP_013693067.2, XP_013703268.1, XP_013661965.1, XP_013743291.1
OG0001137	ESY7_g16781_DN3_SP8_c0.t1	XP_013721661.1, XP_013656410.2, XP_013681701.2, XP_013674835.1, XP_013712839.1, XP_013723627.2
OG0001137	ESY9_g42929_DN3_SP8_c0.t1	XP_022562871.2, XP_048628575.1, XP_048629087.1, XP_013716072.2, XP_022565448.2, XP_013670307.2
OG0001138	ESY9_g43744_DN3_SP8_c0.t1	XP_013734010.2, XP_013672047.2
OG0001138	ESY7_g16133_DN3_SP0_c0.t1	XP_048624270.1
OG0001139	ESY4_g22582_DN3_SP8_c0.t1	XP_013685306.1, XP_013656965.1, XP_013662495.1, XP_013714849.1, XP_013653240.2, XP_013685412.2
OG0001139	ESY13_g57669_DN3_SP8_c0.t1	XP_013663214.1, XP_013721612.1, XP_048592637.1, XP_013662537.1, XP_013698259.1
OG0001140	ESY4_g26131_DN3_SP0_c0.t1	XP_022552925.2, XP_013643742.2, XP_013748988.2, XP_022562786.2, XP_048607219.1, XP_013675271.1, XP_013654948.2
OG0001140	ESY11_g54154_DN2_SP0_c0.t1	XP_048590978.1, XP_022553943.2, XP_013695417.2, XP_013659288.1
OG0001142	ESY3_g28811_DN3_SP8_c0.t1	XP_013749200.1, XP_048627822.1, XP_013691333.1
OG0001142	ESY22_g40864_DN3_SP2_c0.t1	XP_013655688.2, XP_048621909.1, XP_013664769.1, XP_013668465.1, XP_048628118.1, XP_013730400.1, XP_048636833.1, XP_048628250.1, XP_013703028.1
OG0001143	ESY1_g12117_DN3_SP0_c0.t1	XP_013691276.2, XP_048634264.1, XP_013651976.2, XP_022570762.2, XP_013712128.2
OG0001144	ESY1_g11979_DN3_SP7_c0.t1	XP_013708399.1, XP_013663819.1, XP_013742071.1, XP_048609629.1
OG0001144	ESY12_g52073_DN3_SP3_c0.t1	XP_048611238.1, XP_013725420.1, XP_013690952.2, XP_013752151.1
OG0001144	ESY12_g52081_DN3_SP1_c0.t1	XP_013688619.2, XP_013688641.1
OG0001145	ESY3_g31759_DN3_SP0_c0.t1	XP_013750723.1, XP_048636109.1
OG0001146	ESY7_g19145_DN3_SP0_c0.t1, ESY3_g31072_DN3_SP8_c0.t1	XP_013736105.1, XP_013684738.1
OG0001147	ESY6_g49863_DN3_SP8_c0.t1	XP_013676034.1, XP_013721995.1, XP_022549132.1, XP_013663181.1, XP_013695816.1, XP_013659343.1, XP_013664372.1, XP_048625902.1, XP_013690705.1, XP_013743854.2
OG0001148	ESY6_g50661_DN3_SP7_c0.t1	XP_013672893.1, XP_013643132.1, XP_048631277.1, XP_048595456.1, XP_013698733.1, XP_013721998.1, XP_048616631.1, XP_013675414.1
OG0001148	ESY7_g17897_DN3_SP2_c0.t1	XP_048602712.1
OG0001149	ESY1_g10120_DN3_SP0_c0.t1	XP_013718190.1, XP_013644370.1, XP_013737156.2, XP_013745556.2, XP_013655028.1, XP_048596999.1
OG0001149	ESY6_g50240_DN3_SP0_c0.t1	XP_048631530.1, XP_013702003.1, XP_013712904.1, XP_013653740.1
OG0001150	ESY7_g17356_DN3_SP3_c0.t1	XP_022567496.2, XP_048607936.1, XP_013651294.2, XP_013667606.2, XP_013667809.2
OG0001150	ESY3_g32474_DN3_SP0_c0.t1	XP_013659457.2, XP_022544178.1, XP_013659279.2, XP_048626823.1, XP_048614260.1, XP_048606003.1, XP_048632176.1
OG0001151	ESY3_g31435_DN2_SP0_c0.t1	XP_013681047.2, XP_013681024.1, XP_013644007.2, XP_013696345.1
OG0001151	ESY15_g64326_DN2_SP0_c0.t1	XP_013642754.2
OG0001152	ESY1_g10540_DN3_SP0_c0.t1	XP_048597140.1, XP_048620649.1, XP_022556880.1, XP_013746452.2
OG0001152	ESY12_g50941_DN3_SP0_c12.t1	XP_013692940.1, XP_013747863.1
OG0001153	ESY1_g10468_DN3_SP0_c0.t1	XP_013749987.1, XP_022553234.2, XP_013641545.3, XP_013714740.1, XP_013663257.2, XP_022546814.2, XP_048608463.1, XP_048631550.1, XP_013748445.1, XP_013748441.2, XP_013686493.2
OG0001154	ESY2_g35999_DN3_SP8_c0.t1	XP_013702819.1, XP_013649919.1, XP_013693172.2, XP_022568260.1, XP_013682543.2, XP_013648906.1
OG0001154	ESY5_g4064_DN3_SP8_c0.t1	XP_013664652.1, XP_013664439.1, XP_013697730.2, XP_013641887.1
OG0001155	ESY2_g34806_DN3_SP1_c0.t1	XP_013648767.1, XP_013721157.1, XP_022551929.2, XP_013693468.2, XP_048626309.1
OG0001155	ESY5_g3967_DN3_SP4_c0.t1	XP_022567113.1, XP_013737933.1, XP_022570964.1, XP_013729966.2, XP_013642027.2
OG0001156	ESY5_g2022_DN3_SP0_c0.t1	XP_013662867.2, XP_013693120.1, XP_022563735.1, XP_013711421.3
OG0001156	ESY2_g35551_DN3_SP1_c0.t1	XP_048616026.1, XP_013699250.1, XP_013713077.2
OG0001158	ESY2_g35604_DN3_SP2_c0.t1	XP_048592090.1, XP_048617281.1, XP_013701929.1, XP_013691126.2, XP_048604366.1, XP_013738219.1, XP_013698044.2, XP_013653341.2
OG0001159	ESY2_g34705_DN3_SP0_c0.t1	XP_013652107.1, XP_013652117.1, XP_013717859.1, XP_013723494.1
OG0001159	ESY2_g34706_DN3_SP0_c0.t1	XP_048604079.1, XP_013718816.2, XP_013717879.1, XP_013723503.1
OG0001160	ESY2_g36297_DN3_SP8_c0.t1	XP_013698901.1, XP_048636882.1, XP_013656427.1
OG0001160	ESY3_g30216_DN3_SP8_c0.t1	XP_013749805.1, XP_013737759.1
OG0001161	ESY3_g29113_DN3_SP8_c0.t1	XP_013639886.1, XP_013672499.2, XP_048635260.1, XP_013718116.2, XP_013693364.2
OG0001161	ESY2_g37239_DN3_SP8_c0.t1	XP_013723685.1, XP_013655550.1, XP_013700727.1, XP_013640747.2, XP_022575154.1, XP_048636954.1, XP_013726846.1
OG0001162	ESY2_g37737_DN3_SP0_c0.t1, ESY2_g37738_DN3_SP0_c0.t1	XP_013715930.2, XP_048621638.1, XP_048637938.1, XP_013701212.2, XP_048637936.1, XP_013701304.2
OG0001164	ESY3_g31633_DN1_SP0_c0.t1	XP_048624854.1, XP_022575937.2, XP_048628428.1
OG0001164	ESY6_g49349_DN2_SP0_c0.t1, ESY6_g49354_DN1_SP0_c0.t1	XP_048629747.1
OG0001165	ESY7_g18179_DN3_SP0_c0.t1	XP_013726219.2, XP_013661879.1
OG0001165	ESY11_g53372_DN3_SP0_c0.t1	XP_013668072.2, XP_048625244.1, XP_013691505.1, XP_013666108.1, XP_022573402.2
OG0001166	ESY8_g59772_DN3_SP0_c0.t1	XP_022557726.2
OG0001169	ESY4_g23805_DN3_SP0_c0.t1, ESY13_g56943_DN3_SP0_c0.t1, ESY5_g5008_DN3_SP0_c0.t1, ESY5_g5012_DN3_SP0_c0.t1, ESY5_g5009_DN3_SP0_c0.t1	XP_013669955.1, XP_013651313.2
OG0001169	ESY6_g47559_DN3_SP8_c0.t1	XP_013730827.1, XP_013680782.1, XP_022556794.2, XP_013733891.1, XP_013733524.1, XP_013730840.1, XP_048624709.1
OG0001170	ESY3_g31781_DN3_SP0_c0.t1	XP_048606068.1, XP_013679639.3
OG0001170	ESY10_g15570_DN3_SP8_c0.t1	XP_022561434.2
OG0001171	ESY2_g33921_DN3_SP0_c0.t1	XP_013711801.2, XP_013749135.2, XP_013749521.1, XP_013692326.1, XP_013675717.1, XP_013745385.1, XP_013749142.2, XP_013702044.1
OG0001171	ESY5_g3576_DN3_SP0_c0.t1	XP_013653131.1, XP_048638110.1
OG0001171	ESY5_g3575_DN3_SP0_c0.t1	XP_013657788.2, XP_048622835.1
OG0001172	ESY10_g14200_DN3_SP0_c0.t1	XP_013677482.2, XP_013718088.1, XP_013690939.1
OG0001172	ESY5_g2716_DN3_SP0_c0.t1	XP_013660255.1, XP_013710395.1, XP_013710396.1, XP_048596543.1, XP_013641363.2, XP_013676295.1, XP_013655241.1, XP_013675211.1
OG0001173	ESY3_g32393_DN3_SP0_c0.t1	XP_013686075.1, XP_013741362.2
OG0001173	ESY2_g33309_DN3_SP0_c13.t1	XP_022550888.2, XP_048595674.1, XP_013725724.1, XP_013656532.2, NP_001302940.1, XP_013741384.1
OG0001174	ESY3_g31148_DN3_SP5_c0.t1	XP_013648158.2, XP_013684718.1, XP_013730910.2, XP_013676500.1
OG0001174	ESY7_g18985_DN3_SP0_c0.t1	XP_048623244.1, XP_048623229.1, XP_022549190.2, XP_048598565.1, XP_048595706.1, XP_013715642.1
OG0001175	ESY6_g48167_DN2_SP1_c0.t1	XP_013682733.2, XP_013733429.2, XP_013680478.1, XP_048598836.1
OG0001175	ESY1_g11009_DN3_SP0_c0.t1	XP_048633030.1, XP_048619098.1
OG0001176	ESY6_g50500_DN3_SP8_c0.t1	XP_013738533.1, XP_013712215.1, XP_048606594.1, XP_013714596.1
OG0001176	ESY7_g18037_DN3_SP8_c0.t1	XP_048598390.1, XP_022554298.1, XP_013678765.1, XP_048626244.1
OG0001177	ESY7_g18615_DN3_SP0_c0.t1, ESY7_g18620_DN3_SP0_c0.t1	XP_048610942.1, XP_013744470.2, XP_048609788.1, XP_048626313.1, XP_013685365.2, XP_022553990.2, XP_048602680.1
OG0001178	ESY7_g18599_DN3_SP7_c0.t1	XP_013718916.2, XP_048602678.1, XP_048598476.1, XP_013746790.1
OG0001178	ESY6_g49529_DN3_SP1_c0.t1	XP_013736936.1, XP_013736937.2
OG0001179	ESY9_g42722_DN2_SP0_c16.t1	XP_048638437.1, XP_022567680.2
OG0001179	ESY1_g11646_DN3_SP0_c5.t1	XP_048632556.1, XP_022555370.1
OG0001180	ESY9_g43029_DN3_SP5_c0.t1	XP_013678605.1, XP_048607344.1, XP_013718530.1, XP_013672717.1, XP_013734223.2
OG0001180	ESY7_g16742_DN3_SP8_c0.t1	XP_013734076.1, XP_013677076.3, XP_013687423.1, XP_013681688.1
OG0001181	ESY9_g43583_DN3_SP8_c0.t1	XP_013642975.1, XP_022550362.1, XP_013685757.2, XP_013656136.2, XP_048622794.1, XP_048618956.1
OG0001181	ESY7_g16366_DN3_SP8_c0.t1	XP_013711517.1, XP_013661999.2, XP_022555047.2, XP_022571893.2
OG0001182	ESY6_g48241_DN3_SP3_c0.t1	XP_022558402.1, XP_048634399.1, XP_013734254.1, XP_013702865.2, XP_022574977.1, XP_022556523.1, XP_013748544.2
OG0001182	ESY11_g53782_DN3_SP6_c0.t1	XP_013652905.2, XP_013731868.1, XP_013693315.2, XP_013662646.1
OG0001183	ESY4_g26017_DN3_SP8_c0.t1	XP_022555770.1, XP_048607208.1, NP_001303099.1
OG0001183	ESY11_g54099_DN3_SP7_c0.t1	XP_013661430.1, NP_001302730.1, XP_013643361.2, XP_048607161.1, XP_048619550.1, XP_013749094.2
OG0001184	ESY1_g12371_DN1_SP0_c0.t1	XP_013741908.2, XP_013690723.2, XP_013711665.1, XP_013663914.1
OG0001184	ESY12_g51664_DN2_SP0_c0.t1	XP_013710491.2, XP_013747624.1, XP_013734850.2, XP_013734873.1, XP_048634793.1, XP_013717035.1
OG0001185	ESY1_g12333_DN3_SP0_c0.t1	XP_013708750.1, XP_013663898.2, XP_013648456.2, XP_048616217.1, XP_013699463.2
OG0001185	ESY12_g51718_DN3_SP0_c0.t1	XP_013710172.2, XP_013752005.2, XP_022554896.1
OG0001186	ESY1_g11099_DN3_SP2_c12.t1, ESY1_g11237_DN3_SP0_c15.t1, ESY4_g24926_DN3_SP0_c0.t1	XP_013733226.1, XP_013742108.1, XP_013724407.1, XP_013651993.1
OG0001187	ESY20_g13341_DN3_SP0_c0.t1	XP_022570767.2, XP_013674629.1, XP_013738993.1, XP_013679376.2
OG0001187	ESY5_g4847_DN3_SP5_c0.t1	XP_013644786.2, XP_013693136.1, XP_013716079.2
OG0001188	ESY7_g18752_DN3_SP8_c0.t1	XP_013715587.2, XP_013684200.2
OG0001189	ESY3_g32648_DN3_SP8_c0.t1	XP_048614744.1, XP_013730592.2, XP_013735627.2, XP_013684257.1
OG0001189	ESY7_g17617_DN3_SP6_c0.t1	XP_013727827.2, XP_013712913.1, XP_013667674.1, XP_013714820.1, XP_013662402.1
OG0001190	ESY3_g32155_DN3_SP8_c0.t1	XP_048601727.1, XP_013742281.2, XP_048636184.1, XP_048615149.1
OG0001190	ESY7_g17070_DN3_SP8_c0.t1	XP_013681846.1, XP_013729971.2, XP_013683140.2, XP_013687419.1, XP_013728815.1, XP_048602396.1
OG0001191	ESY10_g15576_DN3_SP8_c0.t1	XP_013703736.2, XP_013703851.1, XP_048631082.1, XP_022561422.2, XP_048601894.1, XP_048603950.1
OG0001191	ESY3_g31792_DN3_SP8_c0.t1	XP_048615411.1, XP_013750702.2, XP_048632227.1, XP_013681009.1
OG0001192	ESY2_g38407_DN3_SP8_c28.t1	XP_013738173.1, XP_048618826.1, XP_013711762.1, XP_013655761.1, XP_013702304.2, XP_013743907.1
OG0001193	ESY1_g10703_DN3_SP8_c0.t1	XP_022556650.1, XP_048633907.1, XP_013655906.2, NP_001302684.1
OG0001193	ESY9_g45606_DN3_SP8_c0.t1	XP_013747371.1, XP_013687687.1, XP_013691723.1, XP_013748326.2, XP_013716867.2, XP_013734576.1
OG0001194	ESY1_g10643_DN3_SP4_c0.t1	XP_013654752.1, XP_013659883.2
OG0001194	ESY3_g30755_DN3_SP8_c0.t1	NP_001302753.1, XP_048600785.1, XP_022559263.2, XP_013696905.1
OG0001195	ESY5_g4327_DN3_SP0_c0.t1	XP_013681531.1, XP_013651768.2, XP_022558545.2, XP_022543898.2
OG0001195	ESY2_g35819_DN3_SP0_c0.t1	XP_013701396.2, XP_013652355.1, XP_048613301.1, XP_048604537.1, XP_013701162.2, XP_048591781.1
OG0001196	ESY2_g35973_DN3_SP0_c0.t1	XP_022568249.1, XP_048613793.1
OG0001196	ESY5_g4081_DN3_SP8_c0.t1	XP_013741513.1, XP_013673016.1, XP_013641897.2, XP_013697541.1, XP_013664429.1
OG0001197	ESY1_g10930_DN3_SP0_c0.t1, ESY1_g10935_DN3_SP0_c0.t1	XP_048620590.1, XP_013711097.1
OG0001197	ESY1_g10934_DN1_SP0_c0.t1	XP_013727638.1, XP_013746523.1
OG0001198	ESY10_g15447_DN3_SP0_c0.t1	XP_048629343.1, XP_022558166.1, XP_048603970.1, XP_022571266.1, XP_048595337.1, XP_022547357.2, XP_013689744.1, XP_022569934.1, XP_048595338.1, XP_022571253.2, XP_048617884.1, XP_048591138.1
OG0001200	ESY6_g49287_DN2_SP0_c0.t1	XP_013674669.2, XP_013721912.1
OG0001200	ESY2_g36269_DN3_SP0_c0.t1	XP_048616691.1, XP_013701200.2
OG0001201	ESY6_g50149_DN3_SP8_c0.t1	XP_013661047.2, XP_013724616.2, XP_013643490.2, XP_022562921.1
OG0001201	ESY1_g9286_DN3_SP8_c0.t1	XP_013745025.1, XP_013672123.1, XP_013727059.2, XP_022543110.2, XP_013697267.2, XP_048607618.1
OG0001202	ESY1_g9878_DN3_SP6_c0.t1	XP_013686863.2, XP_013677900.1
OG0001202	ESY11_g54653_DN3_SP0_c0.t1	XP_048638543.1, XP_013713908.1, XP_048638538.1
OG0001203	ESY6_g49751_DN3_SP0_c0.t1	XP_048607660.1, NP_001303232.1, XP_048602382.1, XP_048604935.1, XP_013698556.1, XP_013643547.1, XP_013682758.1, XP_013699468.2
OG0001204	ESY16_g61715_DN3_SP0_c0.t1	XP_013744255.1, XP_048600550.1
OG0001204	ESY16_g61554_DN3_SP0_c0.t1, ESY16_g61555_DN3_SP0_c0.t1	XP_048629755.1, XP_048633610.1, XP_013691229.2, XP_013743644.2
OG0001205	ESY2_g36944_DN2_SP0_c0.t1	XP_013646326.1, XP_013752445.1, XP_048606539.1, XP_013654620.2
OG0001205	ESY3_g30538_DN3_SP0_c32.t1	XP_048595256.1, XP_048630558.1, XP_013678579.1, XP_048600893.1, XP_048632415.1, XP_013684841.1, XP_048628011.1, XP_013693056.2, XP_048612987.1
OG0001206	ESY8_g58353_DN3_SP0_c0.t1	XP_013725147.1, XP_048594910.1, XP_013749610.2, XP_022575379.2, XP_022575903.2, XP_013749608.2, XP_022575382.2, XP_048613523.1, XP_048613528.1
OG0001207	ESY2_g38408_DN3_SP5_c0.t1	XP_013743928.2, XP_013699138.1, XP_013738174.2, XP_013703861.1
OG0001207	ESY3_g29882_DN3_SP1_c0.t1	XP_048594784.1, XP_013690456.1, XP_013697565.2, XP_013749549.2, XP_013741039.1, XP_013653360.1
OG0001208	ESY2_g37729_DN3_SP8_c0.t1	XP_013731109.1, XP_013716037.1
OG0001208	ESY3_g29607_DN3_SP8_c0.t1	XP_048635589.1, XP_013744131.1, XP_013749372.1
OG0001209	ESY2_g37653_DN3_SP3_c0.t1	XP_013735870.2, XP_013720002.2
OG0001209	ESY3_g29496_DN3_SP8_c0.t1	XP_013692171.2
OG0001213	ESY19_g41933_DN3_SP0_c0.t1	XP_022565206.1, XP_022569826.1, XP_048615603.1, XP_048629913.1, XP_048591692.1, XP_048624074.1, XP_013650861.1, XP_048604657.1, XP_013668674.1, XP_013699776.1, XP_048634148.1, XP_013668668.1, XP_013717587.2
OG0001216	ESY3_g30767_DN1_SP0_c0.t1, ESY12_g50985_DN2_SP0_c0.t1, ESY12_g50880_DN1_SP0_c0.t1	XP_013647859.2, XP_048612696.1, XP_013647858.2, XP_013734494.2
OG0001217	ESY2_g33865_DN3_SP0_c8.t1	XP_013741274.1, XP_013730662.1, XP_013672744.1, XP_048629469.1, XP_048607000.1, XP_013674819.2
OG0001218	ESY3_g31896_DN2_SP0_c0.t1, ESY3_g31893_DN2_SP0_c0.t1, ESY3_g31897_DN2_SP0_c0.t1	XP_048636129.1, XP_013751924.1, XP_048615727.1, XP_013750671.1, XP_013750758.2
OG0001218	ESY3_g31812_DN2_SP0_c0.t1, ESY5_g4751_DN3_SP0_c0.t1, ESY3_g31839_DN2_SP0_c0.t1, ESY6_g49695_DN2_SP0_c0.t1, ESY6_g50265_DN2_SP0_c0.t1, ESY6_g50169_DN3_SP0_c0.t1	XP_013750737.1, XP_013750689.1
OG0001219	ESY1_g10690_DN3_SP0_c0.t1	XP_013654576.3, XP_048622245.1, XP_048592981.1, XP_048616776.1, XP_048591979.1, XP_048616773.1
OG0001223	ESY11_g53722_DN3_SP0_c0.t1	XP_013746579.1, XP_048593207.1, XP_013741205.1, XP_022572372.1
OG0001223	ESY4_g25677_DN3_SP0_c0.t1	XP_048627471.1, XP_013654859.1, XP_013729293.1, XP_013733119.1, XP_013741669.1, XP_013666335.1, XP_013740765.1
OG0001224	ESY5_g3265_DN3_SP6_c0.t1, ESY5_g3266_DN3_SP6_c0.t1	XP_013641023.2, XP_013657685.1
OG0001224	ESY2_g34211_DN3_SP1_c0.t1	XP_048595891.1, XP_013687715.1, XP_048601709.1, XP_048633130.1
OG0001225	ESY10_g13820_DN3_SP0_c25.t1, ESY10_g13889_DN3_SP0_c0.t1	XP_048591359.1, XP_013707440.2, XP_013642775.2, XP_013698360.1, XP_013642780.2, XP_048600580.1, XP_013698349.2, XP_013642776.2, XP_022562110.2
OG0001226	ESY11_g54186_DN2_SP0_c0.t1	XP_013711708.3, XP_022543572.2, XP_013697637.1, XP_048628336.1, XP_013677566.2
OG0001227	ESY3_g30963_DN3_SP7_c0.t1	XP_048611362.1, XP_048600033.1, XP_013750379.1, XP_022575578.2
OG0001227	ESY7_g19428_DN3_SP5_c0.t1	XP_013725115.1, XP_022554150.2, XP_013668304.1, XP_048598643.1, XP_013747653.1
OG0001229	ESY6_g48342_DN3_SP0_c0.t1, ESY6_g48332_DN3_SP0_c0.t1	XP_048608222.1, XP_048608237.1
OG0001230	ESY6_g49447_DN3_SP8_c0.t1	XP_048630214.1, XP_013678259.2, XP_048603218.1, XP_013718226.1, XP_022543196.2
OG0001230	ESY7_g18525_DN3_SP7_c0.t1	XP_048607796.1, XP_013725560.1, XP_013718987.2, XP_048603097.1
OG0001231	ESY6_g49433_DN3_SP3_c0.t1	XP_013718191.1, XP_048637822.1, XP_048630226.1, XP_048627940.1, XP_013675388.2, XP_048630224.1
OG0001231	ESY7_g18518_DN3_SP1_c24.t1	XP_048603102.1, XP_013718938.1, XP_013715453.2, XP_013647094.2, XP_013738647.2, XP_013722544.1
OG0001232	ESY4_g25387_DN3_SP0_c0.t1	XP_022549891.2, XP_048594701.1, XP_013719429.2, XP_013727168.2, XP_048605814.1, XP_048594702.1
OG0001233	ESY26_g42345_DN3_SP8_c0.t1	XP_013737968.1, XP_013671197.1, XP_022572572.2, XP_048618996.1
OG0001233	ESY18_g63088_DN3_SP5_c0.t1	XP_013662157.2, XP_022557075.1, XP_013740838.2, XP_013684121.2
OG0001234	ESY2_g36042_DN3_SP8_c0.t1	XP_013711791.1, XP_048617417.1
OG0001234	ESY4_g22239_DN2_SP6_c0.t1	XP_013751473.1, XP_048626466.1, XP_013693116.1, XP_048599178.1, XP_013669831.2
OG0001235	ESY11_g54018_DN3_SP6_c0.t1	XP_048593263.1, XP_013692840.1
OG0001235	ESY4_g25377_DN3_SP8_c0.t1	XP_022555761.2, XP_048606852.1, XP_013656458.2, XP_013643257.3, XP_022572815.1, XP_022550168.2, XP_013640000.2
OG0001236	ESY22_g41124_DN2_SP6_c0.t1	XP_048594591.1, XP_013655702.1, XP_048621777.1, XP_048621775.1
OG0001236	ESY20_g13337_DN3_SP0_c11.t1	XP_013675826.1, XP_013748682.2
OG0001237	ESY12_g51786_DN3_SP0_c0.t1	XP_013688259.1, XP_013749668.1, XP_013748219.2, XP_013748112.1
OG0001237	ESY1_g12281_DN3_SP0_c0.t1	XP_013644355.2, XP_022573554.1, XP_013712017.2, XP_013707984.2
OG0001238	ESY1_g12256_DN3_SP7_c0.t1	XP_013644351.2, XP_048634254.1, XP_048597305.1, XP_013712444.1, XP_048616202.1
OG0001239	ESY1_g11926_DN3_SP8_c0.t1	XP_013701632.2, XP_013648274.2, XP_013663828.2, XP_013710969.2
OG0001239	ESY12_g52118_DN3_SP8_c0.t1	XP_013725459.1, XP_022574262.2, XP_013692344.1, XP_013692292.2
OG0001240	ESY12_g52186_DN2_SP0_c0.t1	XP_013682135.2, XP_022573287.2, XP_022573286.2
OG0001240	ESY12_g52184_DN1_SP0_c0.t1	XP_013691489.1, XP_013725473.2
OG0001241	ESY12_g52192_DN3_SP5_c0.t1	XP_013656027.1
OG0001241	ESY12_g52193_DN3_SP5_c0.t1	XP_048631777.1, XP_013681275.2, XP_013690869.1, XP_013725450.2
OG0001242	ESY7_g19354_DN3_SP8_c0.t1	XP_013724971.2, XP_022554156.2, XP_048624336.1, XP_013720264.2, XP_013721509.2, XP_013699780.1
OG0001242	ESY3_g30993_DN3_SP7_c0.t1	XP_022559590.1, XP_048635979.1
OG0001243	ESY6_g49852_DN3_SP0_c0.t1	XP_013727551.2, XP_048599090.1, XP_013705573.1, XP_013668654.1, XP_048591938.1, XP_013701120.2, XP_013676033.1, XP_013721853.1
OG0001245	ESY1_g10083_DN3_SP0_c0.t1, ESY1_g10086_DN3_SP0_c0.t1	XP_013737181.1, XP_013737047.1
OG0001245	ESY6_g50257_DN3_SP2_c0.t1	XP_013651743.1, XP_013710093.1, XP_013652816.1, XP_013661310.2, XP_048631533.1, XP_048630030.1, XP_048603303.1
OG0001246	ESY5_g5386_DN3_SP8_c0.t1	XP_048627647.1, XP_048627073.1, XP_048627066.1, XP_013742474.1, XP_013688745.2
OG0001246	ESY20_g13124_DN3_SP8_c15.t1	XP_013722833.1, XP_013726356.2
OG0001247	ESY20_g13318_DN3_SP8_c0.t1	XP_013740796.1
OG0001247	ESY3_g30674_DN3_SP8_c0.t1	XP_013750594.1, XP_013697550.2, XP_013698632.1, XP_022553889.2
OG0001248	ESY8_g58814_DN3_SP6_c0.t1, ESY8_g58816_DN3_SP1_c0.t1, ESY8_g58818_DN3_SP0_c0.t1	XP_013742434.1, XP_013744232.1
OG0001249	ESY9_g45321_DN3_SP0_c0.t1, ESY9_g45323_DN3_SP0_c0.t1	XP_048611367.1, XP_048637071.1, XP_013707801.1, XP_013734680.2, XP_013701887.1, XP_013747463.2, XP_048632919.1, XP_048609450.1, XP_048636481.1
OG0001250	ESY7_g17443_DN3_SP8_c0.t1	XP_013728939.1, XP_013728245.1, XP_013662353.1, XP_048604526.1, XP_013720910.1, XP_013667759.2
OG0001250	ESY3_g32551_DN3_SP8_c0.t1	XP_013750965.1, XP_013735663.2, XP_013684216.2
OG0001251	ESY3_g32501_DN3_SP8_c0.t1	XP_013678402.2, XP_013675428.2, XP_013700368.1, XP_048601996.1
OG0001251	ESY7_g17404_DN3_SP8_c0.t1	XP_013729544.1, XP_013728439.2, XP_013720978.1, XP_013667793.2
OG0001252	ESY3_g32471_DN3_SP5_c0.t1	XP_013680619.1, XP_013661927.2, XP_013740870.2, XP_048606025.1, XP_013735703.2, XP_048606024.1, XP_048636235.1, XP_013678388.2, XP_048626824.1, XP_048601990.1, XP_048596695.1, XP_013735702.2, XP_048606023.1
OG0001253	ESY3_g31677_DN3_SP2_c0.t1	XP_048631384.1, XP_013675517.2, XP_013695028.2, XP_048636088.1, XP_048632235.1, XP_022572222.1
OG0001253	ESY10_g15458_DN3_SP0_c0.t1	XP_048595336.1, XP_022547975.2, XP_013643946.2, XP_022543423.2
OG0001254	ESY2_g37267_DN3_SP0_c0.t1	XP_048615625.1, XP_022561384.1, XP_048631127.1, XP_013714109.2, XP_013735818.1, XP_013685937.2
OG0001254	ESY9_g44057_DN3_SP7_c0.t1	XP_048634456.1, XP_013687519.1, XP_013734318.1, XP_013683603.1
OG0001255	ESY2_g36098_DN2_SP0_c0.t1	XP_013719084.2, XP_013700959.1, XP_048591696.1, XP_013674770.1, XP_022545009.1
OG0001255	ESY5_g4363_DN3_SP0_c0.t1	XP_013744559.1, XP_013641587.1, XP_013710130.1, XP_048629927.1, XP_013680652.1
OG0001256	ESY2_g35850_DN3_SP0_c0.t1	XP_013715067.1, XP_013649580.1, XP_013698660.2
OG0001256	ESY5_g4315_DN3_SP0_c0.t1	XP_013653850.1, XP_022564147.1, XP_048597608.1, XP_048621138.1, XP_048638361.1, XP_013744608.1
OG0001257	ESY2_g35898_DN3_SP8_c0.t1	XP_013649603.1, XP_013702526.1, XP_013695430.1, XP_013676606.1, XP_013699487.1, XP_013648839.1
OG0001257	ESY5_g4268_DN3_SP6_c0.t1	XP_013641744.2, XP_013723337.2, XP_048621127.1, XP_013664591.1
OG0001258	ESY5_g4150_DN3_SP0_c0.t1	XP_013660188.1, XP_013660241.1, XP_013728114.1, XP_013655212.1, XP_048638432.1, XP_013646701.1
OG0001258	ESY2_g34991_DN2_SP0_c0.t1	XP_048592212.1, XP_013652413.2
OG0001260	ESY14_g21060_DN3_SP0_c68.t1	XP_048638508.1, XP_048623502.1
OG0001260	ESY18_g63523_DN3_SP0_c0.t1	XP_013645608.2
OG0001261	ESY5_g2783_DN3_SP0_c0.t1	XP_013676217.2, XP_013664707.1, XP_013641276.2, XP_013727189.1
OG0001261	ESY10_g14334_DN3_SP0_c0.t1	XP_013734730.2, XP_048600076.1, XP_022571561.1, XP_013687346.1, XP_013664930.2, XP_013707278.2
OG0001262	ESY5_g2771_DN3_SP0_c0.t1	XP_013641288.2, XP_013727239.2
OG0001262	ESY5_g2774_DN3_SP0_c0.t1	XP_048621231.1, XP_013727232.2, XP_013641287.2
OG0001263	ESY5_g3784_DN3_SP3_c0.t1	XP_013711070.2, XP_013696822.2, XP_013671759.2, XP_048613987.1
OG0001263	ESY2_g33641_DN3_SP1_c0.t1	XP_048595642.1, XP_013733296.2
