Orthogroup	Euclidium_syriacum	Cardamine_amara
OG0003850	ESY4_g22419_DN3_SP4_c0.t1	evm.model.RL_5.2271, evm.model.RL_5.2273
OG0003852	ESY9_g43247_DN2_SP0_c0.t1, ESY4_g26110_DN3_SP0_c8.t1	evm.model.RL_2.3115.1.687c86e8
OG0003853	ESY4_g26539_DN3_SP1_c0.t1	evm.model.RL_2.3270_evm.model.RL_2.3271
OG0003854	ESY8_g61321_DN3_SP0_c0.t1	evm.model.RL_2.440
OG0003855	ESY19_g41669_DN3_SP0_c0.t1	evm.model.RL_8.907, evm.model.RL_5.2325
OG0003856	ESY1_g12037_DN3_SP0_c0.t1	evm.model.RL_5.2338
OG0003857	ESY10_g14773_DN3_SP0_c0.t1	evm.model.RL_7.1831, evm.model.RL_4.696, evm.model.RL_7.2009, evm.model.RL_5.2444, evm.model.RL_5.2164
OG0003858	ESY1_g6629_DN3_SP8_c0.t1	evm.model.RL_4.698, evm.model.RL_5.2017
OG0003859	ESY18_g63303_DN3_SP2_c0.t1	evm.model.RL_8.614, evm.model.RL_4.1158
OG0003860	ESY12_g52019_DN3_SP0_c5.t1	evm.model.RL_6.2720
OG0003861	ESY7_g16803_DN2_SP0_c0.t1	evm.model.RL_4.284.3.687c86cd
OG0003862	ESY10_g15133_DN3_SP0_c0.t1	evm.model.RL_4.205.1.687c86cd, evm.model.RL_2.1393.1.687c99f6
OG0003863	ESY10_g14758_DN3_SP3_c0.t1	evm.model.RL_4.19, evm.model.RL_4.22
OG0003864	ESY1_g12504_DN3_SP8_c0.t1	evm.model.RL_7.88
OG0003865	ESY1_g12374_DN3_SP0_c0.t1	evm.model.RL_7.183
OG0003865	ESY12_g51661_DN2_SP0_c0.t1	evm.model.RL_6.2806
OG0003866	ESY12_g51913_DN3_SP0_c0.t1	evm.model.RL_6.2664
OG0003867	ESY7_g18350_DN1_SP0_c0.t1, ESY10_g15636_DN1_SP0_c0.t1	evm.model.RL_4.3363, evm.model.RL_4.3367
OG0003868	ESY6_g48949_DN3_SP8_c0.t1	evm.model.RL_8.2137
OG0003868	ESY1_g7735_DN3_SP1_c0.t1	evm.model.RL_7.1828
OG0003869	ESY6_g48930_DN3_SP0_c0.t1	evm.model.RL_8.2119
OG0003871	ESY6_g48862_DN2_SP0_c0.t1	evm.model.RL_8.2077, evm.model.RL_3.1947
OG0003872	ESY20_g12968_DN3_SP2_c0.t1	evm.model.RL_8.83
OG0003873	ESY20_g13121_DN3_SP0_c0.t1	evm.model.RL_8.211
OG0003874	ESY20_g13297_DN3_SP0_c0.t1	evm.model.RL_8.297
OG0003875	ESY5_g5074_DN3_SP0_c0.t1	evm.model.RL_5.263
OG0003875	ESY8_g58136_DN3_SP0_c0.t1	evm.model.RL_5.707, evm.model.RL_5.776
OG0003876	ESY8_g58439_DN3_SP5_c0.t1	evm.model.RL_6.2015, evm.model.RL_6.1254
OG0003877	ESY16_g61726_DN1_SP0_c0.t1	evm.model.RL_2.2234
OG0003877	ESY16_g62295_DN3_SP0_c0.t1	evm.model.RL_2.2236
OG0003878	ESY3_g31546_DN3_SP3_c0.t1	evm.model.RL_1.569
OG0003879	ESY3_g31400_DN3_SP0_c0.t1	evm.model.RL_1.670
OG0003880	ESY10_g15055_DN3_SP0_c0.t1	evm.model.RL_2.137
OG0003881	ESY2_g36647_DN2_SP7_c0.t1	evm.model.RL_5.1453
OG0003882	ESY5_g4227_DN3_SP0_c0.t1	evm.model.RL_5.1652.1.687c88b6
OG0003883	ESY5_g3296_DN3_SP0_c26.t1	evm.model.RL_5.800, evm.model.RL_5.1630
OG0003884	ESY2_g35413_DN2_SP2_c0.t1	evm.model.RL_5.3309
OG0003885	ESY13_g56869_DN3_SP0_c0.t1	evm.model.RL_2.2007
OG0003885	ESY24_g32921_DN3_SP6_c0.t1	evm.model.RL_8.1172
OG0003886	ESY8_g59472_DN3_SP0_c0.t1	evm.model.RL_6.312
OG0003886	ESY4_g24763_DN3_SP0_c0.t1	evm.model.RL_2.2604
OG0003887	ESY5_g2855_DN3_SP8_c0.t1	evm.model.RL_5.1223, evm.model.RL_5.1337
OG0003890	ESY8_g58478_DN2_SP0_c0.t1, ESY5_g4731_DN3_SP1_c16.t1	evm.model.RL_6.1236
OG0003891	ESY7_g17396_DN2_SP0_c0.t1	evm.model.RL_4.2055
OG0003892	ESY3_g31552_DN3_SP0_c0.t1	evm.model.RL_1.564
OG0003893	ESY3_g32125_DN3_SP3_c0.t1	evm.model.RL_1.326
OG0003893	ESY7_g17064_DN3_SP6_c0.t1	evm.model.RL_4.1824
OG0003894	ESY10_g15573_DN3_SP6_c0.t1	evm.model.RL_4.1041
OG0003896	ESY10_g15898_DN3_SP7_c0.t1	evm.model.RL_4.928, evm.model.RL_3.1166
OG0003897	ESY7_g18834_DN3_SP0_c0.t1	evm.model.RL_4.2945
OG0003898	ESY7_g17272_DN3_SP0_c0.t1, ESY7_g18986_DN3_SP8_c0.t1	evm.model.RL_8.2460, evm.model.RL_4.3035
OG0003899	ESY6_g49936_DN3_SP3_c0.t1, ESY6_g49934_DN3_SP7_c0.t1	evm.model.RL_4.1174.1.687c86d2, evm.model.RL_4.1173.1.687c86d2
OG0003900	ESY1_g9721_DN3_SP5_c0.t1	evm.model.RL_8.2661, evm.model.RL_7.1429
OG0003901	ESY1_g8685_DN3_SP0_c0.t1	evm.model.RL_7.1599, evm.model.RL_3.888
OG0003902	ESY6_g48651_DN3_SP0_c0.t1	evm.model.RL_8.1966
OG0003903	ESY4_g26728_DN3_SP0_c0.t1	evm.model.RL_2.3374
OG0003904	ESY2_g34724_DN3_SP0_c0.t1, ESY2_g34725_DN3_SP0_c0.t1, ESY2_g34726_DN3_SP0_c0.t1	evm.model.RL_3.2062
OG0003905	ESY2_g34738_DN3_SP3_c0.t1	evm.model.RL_3.2054
OG0003906	ESY2_g34859_DN3_SP1_c0.t1	evm.model.RL_5.3417
OG0003907	ESY2_g34815_DN3_SP0_c0.t1	evm.model.RL_3.2002, evm.model.RL_3.2003
OG0003908	ESY2_g36821_DN3_SP8_c4.t1	evm.model.RL_3.2293, evm.model.RL_3.1477
OG0003909	ESY2_g36698_DN3_SP0_c0.t1	evm.model.RL_3.2342
OG0003911	ESY3_g30432_DN3_SP0_c0.t1	evm.model.RL_1.1376
OG0003912	ESY2_g36956_DN2_SP0_c0.t1	evm.model.RL_5.3773
OG0003913	ESY3_g30619_DN3_SP0_c0.t1	evm.model.RL_1.1498
OG0003914	ESY3_g30006_DN3_SP0_c0.t1	evm.model.RL_1.1533
OG0003915	ESY3_g29538_DN3_SP0_c0.t1, ESY3_g29539_DN2_SP0_c0.t1	evm.model.RL_1.1812
OG0003916	ESY3_g29373_DN3_SP8_c0.t1	evm.model.RL_1.1885
OG0003917	ESY9_g42739_DN3_SP0_c0.t1, ESY9_g42741_DN3_SP0_c0.t1, ESY3_g29259_DN3_SP0_c0.t1	evm.model.RL_1.1938, evm.model.RL_1.1937, evm.model.RL_7.2302
OG0003918	ESY3_g29202_DN2_SP0_c0.t1, ESY3_g29199_DN2_SP0_c0.t1, ESY3_g29205_DN3_SP0_c0.t1	evm.model.RL_1.1982
OG0003919	ESY3_g28982_DN3_SP0_c0.t1	evm.model.RL_1.2102
OG0003920	ESY18_g63063_DN3_SP0_c90.t1, ESY18_g63065_DN3_SP0_c90.t1, ESY18_g63064_DN3_SP0_c90.t1, ESY3_g32120_DN3_SP0_c26.t1, ESY3_g28877_DN3_SP0_c30.t1	evm.model.RL_1.2180
OG0003921	ESY11_g54622_DN3_SP8_c0.t1	evm.model.RL_1.3129
OG0003923	ESY2_g38329_DN3_SP8_c0.t1	evm.model.RL_5.2215
OG0003924	ESY1_g10245_DN3_SP8_c0.t1	evm.model.RL_7.1208, evm.model.RL_7.1212
OG0003925	ESY1_g10775_DN3_SP1_c0.t1, ESY1_g10774_DN3_SP8_c0.t1	evm.model.RL_7.851, evm.model.RL_7.839
OG0003926	ESY1_g12245_DN3_SP8_c0.t1	evm.model.RL_7.258
OG0003926	ESY12_g51824_DN2_SP0_c0.t1	evm.model.RL_6.2824
OG0003930	ESY5_g5503_DN3_SP0_c0.t1, ESY5_g2150_DN3_SP0_c0.t1	evm.model.RL_5.3462, evm.model.RL_8.2865
OG0003930	ESY5_g5502_DN2_SP0_c0.t1	evm.model.RL_5.3461
OG0003933	ESY2_g35101_DN3_SP0_c0.t1	evm.model.RL_7.2077
OG0003935	ESY7_g18507_DN3_SP0_c0.t1	evm.model.RL_4.2827
OG0003937	ESY6_g50395_DN3_SP0_c15.t1	evm.model.RL_8.2722
OG0003938	ESY9_g42462_DN3_SP0_c0.t1, ESY9_g42461_DN3_SP0_c0.t1	evm.model.RL_5.3451, evm.model.RL_1.3075, evm.model.RL_5.3410, evm.model.RL_5.3408
OG0003941	ESY1_g12194_DN3_SP0_c0.t1, ESY16_g62418_DN3_SP0_c0.t1, ESY6_g49268_DN3_SP0_c0.t1	evm.model.RL_1.2749
OG0003948	ESY4_g24471_DN3_SP0_c0.t1	evm.model.RL_2.2518
OG0003950	ESY16_g61777_DN3_SP8_c0.t1	evm.model.RL_5.2754
OG0003951	ESY16_g61458_DN2_SP0_c0.t1	evm.model.RL_2.1187
OG0003952	ESY2_g34228_DN2_SP5_c0.t1	evm.model.RL_5.139, evm.model.RL_3.710
OG0003954	ESY10_g14469_DN3_SP5_c0.t1	evm.model.RL_7.2611
OG0003955	ESY10_g14323_DN3_SP0_c0.t1	evm.model.RL_7.2561
OG0003956	ESY12_g51145_DN3_SP5_c30.t1	evm.model.RL_6.2772
OG0003957	ESY8_g60281_DN3_SP0_c0.t1	evm.model.RL_7.2262
OG0003958	ESY2_g35261_DN3_SP0_c8.t1	evm.model.RL_2.472, evm.model.RL_3.994
OG0003959	ESY12_g50975_DN3_SP0_c0.t1	evm.model.RL_6.2198
OG0003960	ESY7_g19069_DN3_SP6_c0.t1	evm.model.RL_4.3074
OG0003961	ESY3_g31180_DN2_SP0_c0.t1	evm.model.RL_1.1005
OG0003961	ESY7_g18941_DN3_SP0_c0.t1	evm.model.RL_4.3009
OG0003962	ESY3_g31248_DN3_SP0_c0.t1, ESY3_g31249_DN3_SP3_c15.t1	evm.model.RL_1.1048
OG0003963	ESY8_g59950_DN3_SP0_c0.t1	evm.model.RL_3.158
OG0003964	ESY9_g42850_DN2_SP0_c0.t1	evm.model.RL_2.1468
OG0003965	ESY6_g45818_DN3_SP0_c0.t1	evm.model.RL_8.1188
OG0003966	ESY6_g47057_DN3_SP7_c0.t1	evm.model.RL_8.1374, evm.model.RL_2.2311
OG0003967	ESY7_g18319_DN3_SP7_c0.t1	evm.model.RL_4.2365
OG0003968	ESY6_g49925_DN3_SP0_c0.t1	evm.model.RL_4.1166.2.687c86d2, evm.model.RL_4.2427
OG0003969	ESY7_g18189_DN3_SP0_c0.t1	evm.model.RL_4.2443
OG0003971	ESY7_g18712_DN3_SP1_c0.t1	evm.model.RL_4.2688
OG0003972	ESY7_g18573_DN3_SP0_c0.t1	evm.model.RL_1.936, evm.model.RL_4.2784.2.687c86db
OG0003973	ESY10_g14862_DN3_SP8_c0.t1	evm.model.RL_4.76.2.687c86cc
OG0003974	ESY1_g10438_DN3_SP0_c0.t1	evm.model.RL_7.1122
OG0003974	ESY9_g42705_DN3_SP1_c0.t1	evm.model.RL_2.1416
OG0003975	ESY9_g43360_DN3_SP0_c0.t1	evm.model.RL_2.1598, evm.model.RL_5.1369
OG0003976	ESY26_g42357_DN3_SP0_c0.t1	evm.model.RL_2.1804
OG0003977	ESY1_g11168_DN3_SP4_c0.t1, ESY2_g35427_DN3_SP0_c0.t1	evm.model.RL_7.1081
OG0003978	ESY11_g53771_DN3_SP8_c0.t1	evm.model.RL_5.3023
OG0003979	ESY9_g42841_DN3_SP0_c28.t1, ESY16_g61788_DN3_SP0_c20.t1, ESY16_g61786_DN3_SP0_c15.t1, ESY16_g61783_DN3_SP0_c16.t1, ESY16_g61785_DN3_SP0_c32.t1	evm.model.RL_5.2611
OG0003980	ESY4_g26251_DN3_SP0_c0.t1	evm.model.RL_2.3172
OG0003981	ESY4_g26284_DN3_SP0_c0.t1, ESY4_g26278_DN3_SP0_c0.t1, ESY4_g26279_DN2_SP0_c0.t1	evm.model.RL_2.3179
OG0003982	ESY4_g26526_DN3_SP8_c0.t1	evm.model.RL_2.3263
OG0003983	ESY8_g59690_DN3_SP8_c0.t1	evm.model.RL_6.149
OG0003984	ESY25_g62606_DN3_SP1_c0.t1	evm.model.RL_8.755
OG0003985	ESY7_g16340_DN3_SP7_c0.t1	evm.model.RL_1.2920, evm.model.RL_8.456
OG0003986	ESY7_g16817_DN3_SP0_c0.t1	evm.model.RL_4.263
OG0003987	ESY17_g39387_DN3_SP0_c0.t1	evm.model.RL_2.793
OG0003988	ESY22_g40530_DN3_SP0_c0.t1	evm.model.RL_2.958
OG0003989	ESY2_g38740_DN3_SP0_c0.t1	evm.model.RL_2.1091
OG0003992	ESY12_g51606_DN2_SP0_c0.t1	evm.model.RL_6.2829
OG0003993	ESY1_g12280_DN1_SP0_c0.t1, ESY1_g12008_DN3_SP0_c0.t1	evm.model.RL_7.234
OG0003994	ESY2_g35453_DN3_SP4_c0.t1	evm.model.RL_5.3330, evm.model.RL_3.1365, evm.model.RL_3.1367
OG0003995	ESY12_g51992_DN3_SP0_c0.t1	evm.model.RL_6.64, evm.model.RL_6.2531
OG0003996	ESY12_g52170_DN1_SP0_c0.t1	evm.model.RL_6.2502
OG0003998	ESY7_g19511_DN3_SP0_c0.t1	evm.model.RL_4.3306
OG0003999	ESY3_g31077_DN3_SP8_c0.t1	evm.model.RL_1.944
OG0004000	ESY6_g48911_DN2_SP0_c0.t1	evm.model.RL_8.2105
OG0004001	ESY6_g48723_DN3_SP0_c0.t1, ESY6_g48720_DN3_SP0_c0.t1	evm.model.RL_8.2020
OG0004002	ESY6_g49666_DN3_SP0_c0.t1	evm.model.RL_8.2420
OG0004003	ESY8_g59031_DN3_SP0_c0.t1, ESY6_g50636_DN3_SP0_c0.t1	evm.model.RL_6.838
OG0004004	ESY20_g13025_DN3_SP3_c0.t1	evm.model.RL_8.116
OG0004005	ESY8_g58493_DN3_SP5_c0.t1, ESY8_g58552_DN3_SP4_c0.t1	evm.model.RL_6.1226, evm.model.RL_6.1180
OG0004006	ESY8_g59021_DN3_SP8_c0.t1	evm.model.RL_6.845
OG0004007	ESY3_g31953_DN3_SP4_c0.t1, ESY3_g29758_DN3_SP0_c0.t1	evm.model.RL_1.388
OG0004007	ESY3_g31954_DN2_SP5_c0.t1	evm.model.RL_1.387
OG0004008	ESY3_g31830_DN3_SP0_c0.t1	evm.model.RL_1.426_evm.model.RL_1.427.1.687c9a63
OG0004010	ESY3_g30727_DN3_SP8_c0.t1	evm.model.RL_1.742
OG0004011	ESY12_g50840_DN3_SP0_c0.t1	evm.model.RL_6.2143
OG0004011	ESY1_g10613_DN3_SP0_c0.t1	evm.model.RL_7.760
OG0004012	ESY9_g45647_DN3_SP8_c0.t1	evm.model.RL_6.2107
OG0004013	ESY1_g10677_DN2_SP0_c0.t1	evm.model.RL_7.780, evm.model.RL_7.2003
OG0004014	ESY4_g24996_DN3_SP0_c0.t1, ESY4_g24994_DN2_SP0_c0.t1, ESY4_g25407_DN3_SP0_c0.t1	evm.model.RL_5.2405
OG0004015	ESY9_g45461_DN3_SP6_c0.t1	evm.model.RL_6.2033
OG0004016	ESY9_g45520_DN3_SP0_c0.t1	evm.model.RL_6.2054
OG0004017	ESY2_g36478_DN2_SP0_c0.t1, ESY1_g5976_DN2_SP0_c0.t1, ESY3_g28805_DN2_SP0_c0.t1	evm.model.RL_6.1852
OG0004018	ESY6_g50436_DN2_SP0_c0.t1	evm.model.RL_4.2588
OG0004019	ESY9_g45360_DN3_SP1_c0.t1	evm.model.RL_6.1971
OG0004021	ESY9_g45332_DN3_SP0_c0.t1	evm.model.RL_6.1958
OG0004022	ESY2_g35998_DN1_SP0_c0.t1	evm.model.RL_6.385, evm.model.RL_5.3001
OG0004023	ESY8_g61241_DN2_SP0_c0.t1	evm.model.RL_4.66
OG0004024	ESY5_g3047_DN3_SP0_c17.t1	evm.model.RL_2.890, evm.model.RL_2.887, evm.model.RL_2.889, evm.model.RL_6.1160, evm.model.RL_2.888, evm.model.RL_5.1491, evm.model.RL_5.1486
OG0004025	ESY2_g35595_DN3_SP0_c0.t1, ESY5_g2103_DN3_SP5_c0.t1	evm.model.RL_5.3441
OG0004026	ESY13_g56939_DN3_SP2_c0.t1	evm.model.RL_2.2002
OG0004027	ESY13_g56756_DN3_SP8_c0.t1	evm.model.RL_2.2037, evm.model.RL_8.1246
OG0004028	ESY13_g56606_DN3_SP3_c28.t1	evm.model.RL_2.2070, evm.model.RL_8.1324
OG0004029	ESY6_g47488_DN3_SP0_c0.t1, ESY6_g47484_DN3_SP0_c0.t1	evm.model.RL_8.1456, evm.model.RL_8.1455
OG0004030	ESY8_g59431_DN3_SP0_c0.t1	evm.model.RL_6.337
OG0004031	ESY9_g44056_DN3_SP0_c0.t1, ESY9_g44055_DN2_SP0_c0.t1	evm.model.RL_6.1672
OG0004032	ESY8_g59937_DN3_SP8_c0.t1	evm.model.RL_6.8, evm.model.RL_4.82
OG0004033	ESY5_g3775_DN3_SP7_c0.t1	evm.model.RL_5.1086
OG0004036	ESY2_g33711_DN3_SP0_c0.t1	evm.model.RL_4.746, evm.model.RL_5.2116
OG0004037	ESY5_g5281_DN3_SP0_c0.t1, ESY5_g5282_DN3_SP0_c0.t1	evm.model.RL_8.47
OG0004038	ESY7_g17374_DN3_SP0_c0.t1	evm.model.RL_4.2039
OG0004039	ESY10_g15298_DN2_SP0_c0.t1	evm.model.RL_4.1112
OG0004041	ESY6_g49546_DN3_SP0_c0.t1, ESY6_g49547_DN3_SP0_c0.t1	evm.model.RL_8.2190
OG0004042	ESY6_g48347_DN3_SP0_c0.t1	evm.model.RL_4.976
OG0004043	ESY15_g64348_DN3_SP0_c0.t1	evm.model.RL_7.1812, evm.model.RL_4.905
OG0004044	ESY7_g18956_DN3_SP8_c0.t1	evm.model.RL_4.3022
OG0004045	ESY6_g50012_DN3_SP0_c0.t1	evm.model.RL_4.1235, evm.model.RL_4.1236
OG0004046	ESY6_g50145_DN3_SP0_c0.t1	evm.model.RL_4.1359
OG0004046	ESY1_g9309_DN3_SP0_c0.t1	evm.model.RL_7.1502
OG0004047	ESY6_g50152_DN3_SP0_c0.t1	evm.model.RL_4.1365.2.687c86d3
OG0004048	ESY7_g18646_DN2_SP0_c0.t1	evm.model.RL_4.2735, evm.model.RL_8.2150
OG0004049	ESY6_g49483_DN3_SP3_c0.t1	evm.model.RL_8.2231
OG0004050	ESY6_g48986_DN3_SP1_c0.t1	evm.model.RL_7.1864, evm.model.RL_4.1441, evm.model.RL_4.1442
OG0004051	ESY6_g49052_DN3_SP0_c0.t1	evm.model.RL_7.1928, evm.model.RL_4.1500
OG0004052	ESY2_g35660_DN3_SP0_c0.t1	evm.model.RL_3.1533, evm.model.RL_3.1534
OG0004053	ESY2_g35026_DN3_SP5_c0.t1	evm.model.RL_3.2221
OG0004054	ESY3_g30126_DN3_SP0_c0.t1, ESY3_g30128_DN3_SP0_c0.t1	evm.model.RL_1.1188
OG0004055	ESY3_g30259_DN3_SP0_c0.t1	evm.model.RL_1.1287
OG0004056	ESY2_g38588_DN2_SP6_c0.t1	evm.model.RL_2.1120
OG0004057	ESY3_g29842_DN3_SP2_c0.t1	evm.model.RL_1.1637
OG0004058	ESY3_g29841_DN3_SP0_c0.t1	evm.model.RL_1.1638
OG0004060	ESY3_g29715_DN3_SP8_c0.t1	evm.model.RL_1.1726, evm.model.RL_6.109
OG0004061	ESY3_g29704_DN3_SP5_c0.t1	evm.model.RL_1.1731
OG0004062	ESY3_g29669_DN3_SP0_c9.t1	evm.model.RL_1.1760
OG0004063	ESY3_g29632_DN2_SP0_c0.t1	evm.model.RL_1.1781
OG0004064	ESY3_g29236_DN3_SP7_c0.t1	evm.model.RL_1.1960
OG0004065	ESY3_g29131_DN3_SP4_c0.t1	evm.model.RL_1.2029
OG0004066	ESY3_g28751_DN3_SP8_c0.t1	evm.model.RL_1.2142
OG0004067	ESY11_g54761_DN2_SP0_c0.t1, ESY11_g54760_DN2_SP0_c0.t1, ESY11_g52529_DN2_SP0_c0.t1, ESY20_g13246_DN3_SP0_c0.t1, ESY11_g52515_DN1_SP0_c0.t1, ESY2_g34346_DN3_SP0_c0.t1, ESY6_g50271_DN3_SP0_c14.t1	evm.model.RL_1.2332
OG0004068	ESY33_g12624_DN3_SP0_c0.t1, ESY9_g43696_DN3_SP8_c0.t1	evm.model.RL_1.2757
OG0004069	ESY2_g37725_DN2_SP0_c0.t1	evm.model.RL_5.2090
OG0004070	ESY3_g30511_DN3_SP8_c0.t1	evm.model.RL_1.1418
OG0004071	ESY1_g11778_DN3_SP0_c0.t1	evm.model.RL_7.674, evm.model.RL_1.2718
OG0004072	ESY1_g11616_DN2_SP0_c0.t1	evm.model.RL_7.592
OG0004072	ESY12_g51255_DN2_SP0_c0.t1	evm.model.RL_6.2317
OG0004073	ESY1_g11242_DN3_SP2_c0.t1	evm.model.RL_7.429
OG0004074	ESY8_g60115_DN3_SP0_c0.t1	evm.model.RL_2.129
OG0004075	ESY7_g16720_DN3_SP6_c0.t1	evm.model.RL_4.354, evm.model.RL_4.358
OG0004078	ESY16_g62191_DN3_SP0_c5.t1	evm.model.RL_2.2263
OG0004080	ESY10_g14190_DN3_SP0_c0.t1, ESY10_g14119_DN3_SP0_c0.t1	evm.model.RL_7.2483, evm.model.RL_7.2528, evm.model.RL_7.2471
OG0004081	ESY5_g3462_DN1_SP0_c0.t1	evm.model.RL_1.943, evm.model.RL_1.994, evm.model.RL_1.995
OG0004082	ESY8_g58464_DN3_SP0_c0.t1	evm.model.RL_8.183, evm.model.RL_8.182, evm.model.RL_8.198
OG0004083	ESY9_g43330_DN3_SP0_c0.t1	evm.model.RL_4.2072, evm.model.RL_3.985, evm.model.RL_3.1002
OG0004084	ESY10_g14029_DN1_SP0_c0.t1	evm.model.RL_7.2444
OG0004087	ESY2_g34685_DN1_SP0_c0.t1	evm.model.RL_8.1487
OG0004087	ESY8_g58355_DN2_SP0_c0.t1	evm.model.RL_6.1301
OG0004091	ESY4_g24630_DN1_SP0_c0.t1	evm.model.RL_2.2559
OG0004092	ESY4_g24647_DN3_SP1_c0.t1	evm.model.RL_2.2567
OG0004093	ESY4_g24778_DN3_SP0_c0.t1, ESY4_g25955_DN3_SP0_c8.t1	evm.model.RL_2.2598.1.687c86e6
OG0004094	ESY4_g25804_DN3_SP5_c0.t1	evm.model.RL_2.2891
OG0004095	ESY4_g25785_DN3_SP4_c0.t1	evm.model.RL_2.2900
OG0004096	ESY4_g25670_DN3_SP5_c0.t1	evm.model.RL_2.2954
OG0004097	ESY2_g34126_DN3_SP3_c2.t1	evm.model.RL_3.592
OG0004097	ESY2_g34128_DN3_SP0_c2.t1	evm.model.RL_3.594
OG0004098	ESY5_g3419_DN3_SP6_c0.t1	evm.model.RL_5.873
OG0004099	ESY10_g14644_DN3_SP0_c0.t1	evm.model.RL_7.2676
OG0004100	ESY21_g55253_DN2_SP0_c0.t1	evm.model.RL_7.2161
OG0004101	ESY6_g48052_DN3_SP0_c0.t1	evm.model.RL_8.1633
OG0004102	ESY2_g33254_DN3_SP0_c0.t1	evm.model.RL_3.15
OG0004102	ESY8_g59991_DN3_SP4_c0.t1	evm.model.RL_2.190
OG0004103	ESY3_g31307_DN3_SP0_c0.t1	evm.model.RL_1.1095
OG0004105	ESY6_g47843_DN3_SP4_c0.t1	evm.model.RL_8.1526
OG0004106	ESY6_g47930_DN3_SP8_c0.t1	evm.model.RL_8.1566
OG0004107	ESY12_g51937_DN3_SP0_c0.t1	evm.model.RL_1.3004
OG0004107	ESY12_g51936_DN3_SP0_c3.t1	evm.model.RL_6.2156
OG0004108	ESY6_g48179_DN3_SP0_c0.t1	evm.model.RL_8.1701.5.687c855d
OG0004109	ESY6_g49963_DN3_SP0_c0.t1	evm.model.RL_4.2462
OG0004111	ESY7_g18662_DN3_SP0_c0.t1	evm.model.RL_4.2724
OG0004112	ESY6_g49496_DN3_SP8_c0.t1	evm.model.RL_8.2226
OG0004113	ESY9_g42683_DN3_SP6_c0.t1	evm.model.RL_2.1411
OG0004114	ESY9_g42707_DN3_SP3_c0.t1	evm.model.RL_2.1414
OG0004115	ESY9_g42738_DN3_SP5_c0.t1	evm.model.RL_2.1436
OG0004118	ESY9_g43600_DN3_SP8_c0.t1	evm.model.RL_2.1678
OG0004119	ESY7_g18685_DN3_SP0_c0.t1	evm.model.RL_8.774
OG0004119	ESY7_g18686_DN3_SP0_c0.t1	evm.model.RL_8.775
OG0004120	ESY1_g9102_DN3_SP8_c0.t1, ESY9_g43420_DN3_SP0_c0.t1	evm.model.RL_2.1619
OG0004121	ESY14_g20918_DN3_SP3_c0.t1	evm.model.RL_5.2351
OG0004122	ESY4_g21902_DN3_SP8_c0.t1	evm.model.RL_2.1003, evm.model.RL_5.2369
OG0004123	ESY4_g23044_DN3_SP8_c0.t1	evm.model.RL_6.1501, evm.model.RL_5.3013
OG0004124	ESY16_g62071_DN3_SP0_c0.t1	evm.model.RL_5.2853
OG0004125	ESY4_g26294_DN2_SP8_c0.t1	evm.model.RL_2.3182
OG0004126	ESY2_g37205_DN3_SP0_c0.t1, ESY9_g44614_DN3_SP1_c0.t1	evm.model.RL_6.1785, evm.model.RL_8.1159
OG0004127	ESY4_g26543_DN3_SP0_c0.t1, ESY10_g15370_DN2_SP0_c0.t1	evm.model.RL_6.357
OG0004128	ESY4_g26923_DN3_SP1_c0.t1	evm.model.RL_2.3472
OG0004131	ESY11_g54994_DN2_SP0_c0.t1	evm.model.RL_1.3282
OG0004132	ESY1_g5995_DN3_SP8_c0.t1	evm.model.RL_6.1454, evm.model.RL_5.2394
OG0004133	ESY7_g18804_DN2_SP0_c0.t1	evm.model.RL_4.602
OG0004134	ESY1_g11680_DN3_SP8_c0.t1	evm.model.RL_4.665, evm.model.RL_5.2228
OG0004135	ESY18_g63901_DN3_SP8_c0.t1	evm.model.RL_2.1905, evm.model.RL_8.684
OG0004136	ESY18_g63045_DN3_SP0_c0.t1	evm.model.RL_8.569
OG0004137	ESY10_g14871_DN3_SP0_c0.t1	evm.model.RL_4.85
OG0004138	ESY22_g40699_DN3_SP0_c18.t1, ESY4_g24011_DN3_SP0_c9.t1, ESY4_g24012_DN2_SP0_c0.t1	evm.model.RL_2.974
OG0004139	ESY8_g60125_DN3_SP0_c0.t1	evm.model.RL_2.112
OG0004140	ESY12_g52216_DN3_SP0_c0.t1	evm.model.RL_6.2893
OG0004142	ESY12_g52109_DN2_SP1_c0.t1	evm.model.RL_6.2545
OG0004143	ESY12_g52190_DN3_SP8_c0.t1	evm.model.RL_6.2490
OG0004144	ESY12_g51551_DN3_SP0_c0.t1, ESY3_g31423_DN3_SP0_c0.t1, ESY3_g30976_DN3_SP0_c0.t1	evm.model.RL_6.2419
OG0004145	ESY12_g51563_DN3_SP0_c0.t1	evm.model.RL_6.2413
OG0004146	ESY1_g11416_DN3_SP8_c0.t1	evm.model.RL_7.504
OG0004147	ESY6_g49143_DN3_SP0_c0.t1	evm.model.RL_4.1555
OG0004148	ESY6_g49065_DN2_SP0_c0.t1	evm.model.RL_4.1514
OG0004149	ESY6_g48966_DN3_SP0_c0.t1	evm.model.RL_4.1426.1.687c86d3
OG0004150	ESY6_g48874_DN3_SP0_c0.t1	evm.model.RL_8.2087
OG0004152	ESY6_g50723_DN3_SP0_c0.t1	evm.model.RL_2.616, evm.model.RL_2.617, evm.model.RL_8.2491
