Orthogroup	Euclidium_syriacum	Alyssum_gmelinii
OG0001087	ESY4_g25570_DN3_SP8_c0.t1	Ag003G282330
OG0001088	ESY21_g55710_DN3_SP0_c0.t1, ESY5_g4945_DN3_SP0_c0.t1	Ag008G671230, Ag001G058180
OG0001089	ESY21_g55249_DN3_SP0_c0.t1	Ag008G678430
OG0001089	ESY1_g11026_DN3_SP0_c0.t1, ESY1_g11018_DN3_SP0_c0.t1	Ag008G728030, Ag004G349920
OG0001090	ESY1_g9450_DN3_SP0_c0.t1	Ag002G176920
OG0001090	ESY20_g12917_DN3_SP0_c0.t1, ESY20_g12918_DN3_SP0_c0.t1, ESY8_g58195_DN1_SP0_c0.t1, ESY20_g12916_DN3_SP0_c0.t1	Ag007G587410
OG0001091	ESY1_g9312_DN3_SP8_c0.t1, ESY7_g19325_DN3_SP0_c0.t1	Ag008G691170
OG0001091	ESY24_g33221_DN3_SP8_c0.t1	Ag008G677410
OG0001092	ESY7_g18449_DN2_SP0_c0.t1, ESY7_g18452_DN3_SP0_c0.t1	Ag006G505480
OG0001092	ESY7_g18448_DN3_SP0_c0.t1	Ag006G505510, Ag006G504320, Ag006G505500, Ag006G505530, Ag006G505570, Ag006G504330, Ag006G505520
OG0001093	ESY6_g49869_DN3_SP7_c10.t1	Ag008G719510
OG0001093	ESY7_g18316_DN3_SP7_c0.t1	Ag007G609150
OG0001094	ESY7_g17949_DN3_SP6_c0.t1	Ag007G604040
OG0001094	ESY6_g50533_DN3_SP7_c0.t1	Ag008G732610
OG0001095	ESY8_g59726_DN3_SP0_c0.t1, ESY8_g59725_DN3_SP0_c0.t1	Ag001G020780, Ag001G020940
OG0001096	ESY1_g11533_DN3_SP8_c0.t1	Ag001G086120
OG0001096	ESY12_g51269_DN3_SP8_c0.t1	Ag002G192900
OG0001098	ESY6_g50448_DN3_SP8_c0.t1	Ag008G733600
OG0001100	ESY5_g4833_DN3_SP2_c0.t1	Ag007G589140, Ag007G589200, Ag007G589130, Ag007G589190, Ag004G303930
OG0001101	ESY9_g43119_DN3_SP0_c0.t1, ESY7_g17576_DN3_SP0_c0.t1	Ag007G614670
OG0001101	ESY7_g18232_DN3_SP0_c0.t1, ESY8_g58759_DN3_SP0_c0.t1	Ag002G125370, Ag005G476370, Ag008G708680, Ag004G356080
OG0001102	ESY3_g32516_DN3_SP8_c0.t1	Ag005G489810
OG0001102	ESY7_g17411_DN3_SP8_c0.t1	Ag007G619710
OG0001103	ESY10_g15777_DN3_SP0_c0.t1	Ag007G638480
OG0001103	ESY3_g32011_DN3_SP0_c0.t1	Ag005G485510
OG0001104	ESY10_g15714_DN3_SP3_c0.t1	Ag007G637790, Ag005G484730
OG0001105	ESY2_g36607_DN3_SP1_c0.t1	Ag003G209360
OG0001105	ESY5_g2969_DN1_SP0_c0.t1, ESY2_g36608_DN3_SP0_c0.t1	Ag004G323900
OG0001106	ESY5_g4394_DN3_SP8_c0.t1	Ag004G325680
OG0001106	ESY2_g36826_DN3_SP4_c0.t1	Ag003G212520
OG0001107	ESY2_g35902_DN3_SP8_c0.t1	Ag004G328670, Ag003G236980
OG0001108	ESY2_g35000_DN3_SP7_c0.t1	Ag003G229540, Ag004G331110
OG0001109	ESY5_g2397_DN3_SP6_c4.t1	Ag003G217700, Ag003G217610, Ag003G217570, Ag004G337880
OG0001110	ESY16_g61752_DN3_SP0_c39.t1	Ag004G347160, Ag004G347010, Ag003G243550
OG0001111	ESY19_g42010_DN3_SP8_c14.t1	Ag004G355900
OG0001111	ESY5_g832_DN3_SP8_c0.t1, ESY6_g49402_DN3_SP3_c0.t1	Ag008G726950
OG0001112	ESY2_g33668_DN3_SP0_c7.t1	Ag002G130780
OG0001113	ESY7_g17840_DN3_SP0_c0.t1, ESY7_g18459_DN3_SP0_c0.t1, ESY7_g18458_DN3_SP0_c0.t1, ESY7_g18460_DN2_SP0_c0.t1, ESY16_g61688_DN3_SP0_c0.t1, ESY7_g17841_DN3_SP0_c0.t1	Ag006G505670
OG0001113	ESY7_g18457_DN3_SP0_c0.t1	Ag006G505620
OG0001114	ESY7_g18747_DN3_SP0_c0.t1, ESY7_g18746_DN3_SP0_c0.t1	Ag006G504590, Ag006G504580
OG0001115	ESY2_g35811_DN3_SP0_c0.t1	Ag003G239710
OG0001115	ESY5_g4335_DN2_SP0_c0.t1	Ag004G327150
OG0001116	ESY2_g37251_DN3_SP5_c0.t1	Ag001G010770
OG0001116	ESY3_g29121_DN3_SP8_c0.t1	Ag005G442620, Ag005G443770
OG0001117	ESY2_g38669_DN3_SP0_c0.t1	Ag001G032630, Ag001G032740
OG0001117	ESY4_g25762_DN3_SP0_c0.t1, ESY4_g25749_DN3_SP0_c0.t1, ESY4_g25754_DN3_SP0_c0.t1, ESY4_g25743_DN3_SP0_c0.t1	Ag001G032580, Ag001G032620
OG0001119	ESY7_g18151_DN2_SP0_c0.t1	Ag001G007860
OG0001120	ESY4_g26111_DN2_SP0_c0.t1	Ag003G286910
OG0001120	ESY11_g54129_DN3_SP0_c0.t1, ESY11_g54116_DN1_SP0_c0.t1	Ag005G414500
OG0001124	ESY11_g54556_DN3_SP5_c0.t1	Ag005G407270
OG0001124	ESY11_g54914_DN3_SP3_c0.t1	Ag005G403560
OG0001124	ESY16_g62325_DN3_SP7_c0.t1	Ag003G251080
OG0001125	ESY16_g61910_DN3_SP0_c0.t1	Ag007G579160
OG0001127	ESY5_g2823_DN3_SP1_c0.t1	Ag004G321030
OG0001127	ESY10_g14456_DN3_SP0_c14.t1	Ag003G225890
OG0001128	ESY5_g2668_DN1_SP0_c0.t1	Ag004G318380
OG0001129	ESY2_g34536_DN3_SP0_c0.t1	Ag006G514020
OG0001130	ESY2_g35157_DN3_SP8_c0.t1	Ag008G674550
OG0001130	ESY8_g59930_DN3_SP0_c0.t1, ESY8_g60963_DN3_SP0_c0.t1	Ag007G647640
OG0001131	ESY6_g48413_DN3_SP1_c0.t1	Ag008G702130
OG0001132	ESY7_g19407_DN3_SP8_c0.t1	Ag006G494530
OG0001132	ESY3_g30978_DN3_SP0_c0.t1	Ag005G476670
OG0001133	ESY16_g62392_DN3_SP8_c0.t1	Ag003G250820, Ag008G694900
OG0001134	ESY7_g17755_DN3_SP1_c0.t1, ESY7_g17754_DN1_SP7_c0.t1	Ag007G611750, Ag007G611740
OG0001135	ESY6_g50604_DN3_SP6_c0.t1	Ag008G731910
OG0001135	ESY7_g17939_DN3_SP0_c0.t1	Ag007G603720
OG0001136	ESY9_g42510_DN3_SP0_c0.t1	Ag006G576750
OG0001136	ESY10_g14967_DN3_SP0_c0.t1	Ag002G120100
OG0001137	ESY7_g16781_DN3_SP8_c0.t1	Ag002G103820
OG0001137	ESY9_g42929_DN3_SP8_c0.t1	Ag006G571520
OG0001138	ESY9_g43744_DN3_SP8_c0.t1	Ag006G553570
OG0001138	ESY3_g28684_DN3_SP3_c0.t1	Ag005G490060, Ag003G279670
OG0001138	ESY7_g16133_DN3_SP0_c0.t1	Ag002G140620
OG0001139	ESY4_g22582_DN3_SP8_c0.t1	Ag007G583870
OG0001139	ESY13_g57669_DN3_SP8_c0.t1	Ag004G374810
OG0001140	ESY4_g26131_DN3_SP0_c0.t1, ESY11_g54154_DN2_SP0_c0.t1	Ag003G287800
OG0001142	ESY3_g28811_DN3_SP8_c0.t1	Ag005G437730
OG0001142	ESY22_g40864_DN3_SP2_c0.t1	Ag001G035250
OG0001143	ESY1_g12117_DN3_SP0_c0.t1	Ag001G093220
OG0001144	ESY1_g11979_DN3_SP7_c0.t1	Ag001G092190
OG0001144	ESY12_g52081_DN3_SP1_c0.t1	Ag002G199410
OG0001145	ESY3_g31758_DN3_SP0_c0.t1	Ag005G483640, Ag005G483700, Ag005G483680, Ag005G483650, Ag005G483660
OG0001145	ESY3_g31759_DN3_SP0_c0.t1	Ag005G483750, Ag005G483770, Ag005G483830
OG0001146	ESY3_g31072_DN3_SP8_c0.t1	Ag005G475750
OG0001147	ESY6_g49863_DN3_SP8_c0.t1	Ag008G719450, Ag004G381030
OG0001148	ESY7_g17897_DN3_SP2_c0.t1	Ag002G105850, Ag007G603010
OG0001149	ESY1_g10120_DN3_SP0_c0.t1	Ag001G067640
OG0001149	ESY6_g50240_DN3_SP0_c0.t1	Ag001G099510
OG0001150	ESY7_g17356_DN3_SP3_c0.t1	Ag007G621120
OG0001150	ESY3_g32474_DN3_SP0_c0.t1	Ag005G489140
OG0001151	ESY3_g31435_DN2_SP0_c0.t1	Ag005G480860
OG0001152	ESY1_g10540_DN3_SP0_c0.t1	Ag001G081200
OG0001152	ESY12_g50941_DN3_SP0_c12.t1	Ag002G187340
OG0001153	ESY1_g10468_DN3_SP0_c0.t1	Ag001G069970, Ag002G166760
OG0001154	ESY2_g35999_DN3_SP8_c0.t1	Ag003G227190
OG0001154	ESY5_g4064_DN3_SP8_c0.t1	Ag004G332220
OG0001155	ESY2_g34806_DN3_SP1_c0.t1	Ag003G222900
OG0001155	ESY5_g3967_DN3_SP4_c0.t1	Ag004G333860
OG0001156	ESY5_g2022_DN3_SP0_c0.t1	Ag003G242280
OG0001156	ESY2_g35551_DN3_SP1_c0.t1	Ag004G345210
OG0001158	ESY2_g35604_DN3_SP2_c0.t1	Ag004G344270, Ag003G241390
OG0001159	ESY2_g34705_DN3_SP0_c0.t1	Ag003G219730
OG0001159	ESY2_g34706_DN3_SP0_c0.t1	Ag003G219740
OG0001160	ESY2_g36297_DN3_SP8_c0.t1	Ag001G001780
OG0001160	ESY3_g30216_DN3_SP8_c0.t1	Ag005G469170
OG0001160	ESY8_g58489_DN3_SP0_c0.t1	Ag005G469160
OG0001161	ESY3_g29113_DN3_SP8_c0.t1	Ag005G443670, Ag005G442360
OG0001161	ESY2_g37239_DN3_SP8_c0.t1	Ag001G010660
OG0001162	ESY2_g37737_DN3_SP0_c0.t1, ESY2_g37738_DN3_SP0_c0.t1	Ag001G021330, Ag001G021360
OG0001164	ESY6_g49349_DN2_SP0_c0.t1, ESY6_g49354_DN1_SP0_c0.t1	Ag008G727950, Ag008G727990, Ag008G728080, Ag006G510130
OG0001165	ESY7_g18179_DN3_SP0_c0.t1	Ag007G607380
OG0001165	ESY11_g53372_DN3_SP0_c0.t1	Ag007G607330, Ag007G607360
OG0001165	ESY7_g18175_DN3_SP0_c0.t1, ESY7_g18177_DN3_SP0_c0.t1, ESY7_g18176_DN3_SP0_c0.t1	Ag007G607340
OG0001166	ESY8_g59772_DN3_SP0_c0.t1	Ag008G722380
OG0001169	ESY6_g47559_DN3_SP8_c0.t1	Ag003G290250, Ag008G688460, Ag008G690000
OG0001170	ESY3_g31781_DN3_SP0_c0.t1	Ag005G484070
OG0001170	ESY10_g15570_DN3_SP8_c0.t1	Ag007G636930
OG0001171	ESY2_g33921_DN3_SP0_c0.t1	Ag004G373820
OG0001171	ESY5_g3576_DN3_SP0_c0.t1	Ag004G312950
OG0001172	ESY10_g14200_DN3_SP0_c0.t1	Ag008G662530
OG0001172	ESY5_g2716_DN3_SP0_c0.t1	Ag004G319120
OG0001173	ESY3_g32393_DN3_SP0_c0.t1	Ag007G619670
OG0001173	ESY2_g33309_DN3_SP0_c13.t1	Ag004G399590
OG0001174	ESY3_g31148_DN3_SP5_c0.t1	Ag005G474660
OG0001175	ESY6_g48167_DN2_SP1_c0.t1	Ag008G698260
OG0001176	ESY6_g50500_DN3_SP8_c0.t1	Ag008G733000
OG0001176	ESY7_g18037_DN3_SP8_c0.t1	Ag007G604920
OG0001177	ESY7_g18615_DN3_SP0_c0.t1, ESY7_g18620_DN3_SP0_c0.t1, ESY7_g18618_DN3_SP0_c0.t1	Ag007G600560
OG0001178	ESY7_g18599_DN3_SP7_c0.t1	Ag007G600270
OG0001178	ESY6_g49529_DN3_SP1_c0.t1	Ag008G725720, Ag008G725690, Ag008G725670, Ag008G725680
OG0001179	ESY9_g42722_DN2_SP0_c16.t1	Ag006G574110
OG0001180	ESY9_g43029_DN3_SP5_c0.t1	Ag006G570220
OG0001180	ESY7_g16742_DN3_SP8_c0.t1	Ag002G103040
OG0001181	ESY9_g43583_DN3_SP8_c0.t1	Ag006G566890
OG0001181	ESY7_g16366_DN3_SP8_c0.t1	Ag002G138060, Ag002G134550
OG0001182	ESY6_g48241_DN3_SP3_c0.t1	Ag002G160010
OG0001182	ESY11_g53782_DN3_SP6_c0.t1	Ag007G582580
OG0001183	ESY4_g26017_DN3_SP8_c0.t1	Ag003G286590
OG0001183	ESY11_g54099_DN3_SP7_c0.t1	Ag005G414160
OG0001184	ESY1_g12371_DN1_SP0_c0.t1	Ag001G095850
OG0001184	ESY12_g51664_DN2_SP0_c0.t1	Ag002G203750
OG0001185	ESY1_g12333_DN3_SP0_c0.t1	Ag001G095120
OG0001185	ESY12_g51718_DN3_SP0_c0.t1	Ag002G203300
OG0001186	ESY1_g11099_DN3_SP2_c12.t1, ESY1_g11237_DN3_SP0_c15.t1, ESY4_g24926_DN3_SP0_c0.t1	Ag001G090390, Ag001G090400
OG0001187	ESY20_g13341_DN3_SP0_c0.t1	Ag007G589410
OG0001187	ESY5_g4847_DN3_SP5_c0.t1	Ag004G303790
OG0001188	ESY7_g18752_DN3_SP8_c0.t1	Ag006G504540
OG0001188	ESY8_g58703_DN3_SP8_c0.t1	Ag001G003180, Ag007G593130
OG0001189	ESY3_g32648_DN3_SP8_c0.t1	Ag001G100580
OG0001189	ESY7_g17617_DN3_SP6_c0.t1	Ag007G614050
OG0001190	ESY3_g32155_DN3_SP8_c0.t1	Ag005G486330
OG0001190	ESY7_g17070_DN3_SP8_c0.t1	Ag007G631480
OG0001191	ESY10_g15576_DN3_SP8_c0.t1	Ag007G637060
OG0001191	ESY3_g31792_DN3_SP8_c0.t1	Ag005G484150
OG0001192	ESY2_g38407_DN3_SP8_c28.t1	Ag001G030940, Ag001G029590
OG0001193	ESY1_g10703_DN3_SP8_c0.t1	Ag001G079120
OG0001193	ESY9_g45606_DN3_SP8_c0.t1	Ag002G183840
OG0001194	ESY1_g10643_DN3_SP4_c0.t1	Ag001G080130
OG0001194	ESY3_g30755_DN3_SP8_c0.t1	Ag005G478840
OG0001195	ESY5_g4327_DN3_SP0_c0.t1	Ag004G327380
OG0001195	ESY2_g35819_DN3_SP0_c0.t1	Ag003G239510
OG0001196	ESY2_g35973_DN3_SP0_c0.t1	Ag003G227660
OG0001196	ESY5_g4081_DN3_SP8_c0.t1	Ag004G332040
OG0001197	ESY1_g10930_DN3_SP0_c0.t1, ESY1_g10935_DN3_SP0_c0.t1	Ag008G715480, Ag001G075470
OG0001198	ESY10_g15447_DN3_SP0_c0.t1	Ag003G225960, Ag003G226030, Ag003G225920, Ag003G226040, Ag007G636000
OG0001200	ESY6_g49287_DN2_SP0_c0.t1	Ag008G719020
OG0001200	ESY2_g36269_DN3_SP0_c0.t1	Ag001G002590, Ag001G002580
OG0001201	ESY6_g50149_DN3_SP8_c0.t1	Ag008G723680
OG0001201	ESY1_g9286_DN3_SP8_c0.t1	Ag008G690580
OG0001202	ESY1_g9878_DN3_SP6_c0.t1	Ag001G060360
OG0001203	ESY6_g49751_DN3_SP0_c0.t1	Ag001G083410
OG0001205	ESY3_g30538_DN3_SP0_c32.t1	Ag005G464330
OG0001207	ESY2_g38408_DN3_SP5_c0.t1	Ag001G029600, Ag001G030950
OG0001207	ESY3_g29882_DN3_SP1_c0.t1	Ag005G459790
OG0001208	ESY2_g37729_DN3_SP8_c0.t1	Ag001G021110
OG0001208	ESY3_g29607_DN3_SP8_c0.t1	Ag005G452970
OG0001209	ESY2_g37653_DN3_SP3_c0.t1	Ag001G019490, Ag001G018930
OG0001209	ESY3_g29496_DN3_SP8_c0.t1	Ag005G451020
OG0001210	ESY3_g29313_DN3_SP6_c0.t1	Ag005G447410
OG0001210	ESY2_g37476_DN3_SP8_c0.t1	Ag001G015230
OG0001213	ESY19_g41933_DN3_SP0_c0.t1	Ag007G617690, Ag001G021790, Ag006G521830, Ag004G378420
OG0001216	ESY12_g51018_DN1_SP0_c0.t1	Ag002G188570
OG0001216	ESY12_g51942_DN1_SP0_c0.t1	Ag002G116190, Ag002G116210, Ag002G116130, Ag002G188590, Ag002G188550, Ag002G195510, Ag005G402450, Ag003G283250, Ag002G191210, Ag002G188630
OG0001217	ESY2_g33865_DN3_SP0_c8.t1	Ag005G465520, Ag002G130160
OG0001218	ESY3_g31896_DN2_SP0_c0.t1, ESY3_g31893_DN2_SP0_c0.t1, ESY3_g31897_DN2_SP0_c0.t1	Ag005G484660
OG0001219	ESY1_g10690_DN3_SP0_c0.t1	Ag008G697600
OG0001223	ESY4_g25677_DN3_SP0_c0.t1	Ag003G273790
OG0001224	ESY5_g3265_DN3_SP6_c0.t1, ESY5_g3266_DN3_SP6_c0.t1	Ag004G309570
OG0001224	ESY2_g34211_DN3_SP1_c0.t1	Ag004G366390
OG0001225	ESY10_g13820_DN3_SP0_c25.t1, ESY10_g13889_DN3_SP0_c0.t1	Ag008G667510, Ag004G374180
OG0001226	ESY11_g54186_DN2_SP0_c0.t1	Ag002G117630
OG0001226	ESY11_g54185_DN2_SP0_c0.t1	Ag002G117640
OG0001227	ESY3_g30963_DN3_SP7_c0.t1	Ag005G476860
OG0001227	ESY7_g19428_DN3_SP5_c0.t1	Ag006G494080
OG0001230	ESY6_g49447_DN3_SP8_c0.t1	Ag008G726560
OG0001230	ESY7_g18525_DN3_SP7_c0.t1	Ag006G507850
OG0001231	ESY6_g49433_DN3_SP3_c0.t1	Ag008G726750
OG0001231	ESY7_g18518_DN3_SP1_c24.t1	Ag006G507570
OG0001232	ESY4_g25387_DN3_SP0_c0.t1	Ag006G572620
OG0001233	ESY26_g42345_DN3_SP8_c0.t1	Ag006G550770
OG0001233	ESY18_g63088_DN3_SP5_c0.t1	Ag003G263830, Ag003G263190, Ag008G694510, Ag002G143510
OG0001234	ESY2_g36042_DN3_SP8_c0.t1	Ag003G226160
OG0001234	ESY4_g22239_DN2_SP6_c0.t1	Ag007G584680
OG0001235	ESY11_g54018_DN3_SP6_c0.t1	Ag005G416000
OG0001235	ESY4_g25377_DN3_SP8_c0.t1	Ag003G285490
OG0001236	ESY22_g41124_DN2_SP6_c0.t1	Ag001G034230
OG0001236	ESY20_g13337_DN3_SP0_c11.t1	Ag007G589320
OG0001237	ESY12_g51786_DN3_SP0_c0.t1	Ag002G202710
OG0001237	ESY1_g12281_DN3_SP0_c0.t1	Ag001G094450
OG0001238	ESY12_g51802_DN3_SP8_c0.t1	Ag002G202580
OG0001238	ESY1_g12256_DN3_SP7_c0.t1	Ag001G094230
OG0001239	ESY1_g11926_DN3_SP8_c0.t1	Ag001G091800
OG0001239	ESY12_g52118_DN3_SP8_c0.t1	Ag002G198750
OG0001240	ESY12_g52186_DN2_SP0_c0.t1	Ag002G197810, Ag002G197830
OG0001240	ESY12_g52185_DN1_SP0_c0.t1	Ag002G197860
OG0001240	ESY12_g52184_DN1_SP0_c0.t1	Ag002G197900
OG0001241	ESY12_g52192_DN3_SP5_c0.t1	Ag002G197710
OG0001241	ESY20_g12796_DN3_SP0_c0.t1, ESY12_g52193_DN3_SP5_c0.t1	Ag002G197700, Ag002G197690
OG0001242	ESY7_g19354_DN3_SP8_c0.t1	Ag006G495160
OG0001242	ESY3_g30992_DN3_SP0_c0.t1	Ag005G476530
OG0001242	ESY3_g30993_DN3_SP7_c0.t1	Ag005G476520
OG0001243	ESY6_g49852_DN3_SP0_c0.t1	Ag008G719290, Ag004G356370, Ag008G719280
OG0001244	ESY6_g49212_DN3_SP4_c0.t1	Ag008G717950
OG0001245	ESY1_g10083_DN3_SP0_c0.t1, ESY1_g10086_DN3_SP0_c0.t1	Ag001G063060
OG0001245	ESY6_g50257_DN3_SP2_c0.t1	Ag004G353940, Ag001G099840
OG0001246	ESY20_g13124_DN3_SP8_c15.t1	Ag006G513920
OG0001247	ESY20_g13318_DN3_SP8_c0.t1	Ag007G599530
OG0001247	ESY3_g30674_DN3_SP8_c0.t1	Ag005G479440
OG0001248	ESY8_g58814_DN3_SP6_c0.t1, ESY8_g58816_DN3_SP1_c0.t1, ESY8_g58818_DN3_SP0_c0.t1	Ag007G594610, Ag007G594590
OG0001249	ESY9_g45321_DN3_SP0_c0.t1, ESY9_g45323_DN3_SP0_c0.t1	Ag008G725240, Ag002G176480, Ag002G176660
OG0001250	ESY7_g17443_DN3_SP8_c0.t1	Ag007G618640
OG0001250	ESY3_g32551_DN3_SP8_c0.t1	Ag005G490080
OG0001251	ESY3_g32501_DN3_SP8_c0.t1	Ag005G489640
OG0001251	ESY7_g17404_DN3_SP8_c0.t1	Ag007G619870
OG0001252	ESY3_g32471_DN3_SP5_c0.t1	Ag005G489110
OG0001253	ESY3_g31677_DN3_SP2_c0.t1	Ag005G483320
OG0001253	ESY10_g15458_DN3_SP0_c0.t1	Ag007G636010
OG0001254	ESY2_g37267_DN3_SP0_c0.t1	Ag001G011150
OG0001254	ESY9_g44057_DN3_SP7_c0.t1	Ag002G164800
OG0001255	ESY2_g36098_DN2_SP0_c0.t1	Ag003G214230
OG0001255	ESY5_g4363_DN3_SP0_c0.t1	Ag004G326380
OG0001256	ESY2_g35850_DN3_SP0_c0.t1	Ag003G238910
OG0001256	ESY5_g4315_DN3_SP0_c0.t1	Ag004G327570
OG0001257	ESY2_g35898_DN3_SP8_c0.t1	Ag003G237120
OG0001257	ESY5_g4268_DN3_SP6_c0.t1	Ag004G328540
OG0001258	ESY5_g4150_DN3_SP0_c0.t1	Ag004G331020
OG0001258	ESY2_g34991_DN2_SP0_c0.t1	Ag003G229650
OG0001260	ESY14_g21060_DN3_SP0_c68.t1	Ag012G741080, Ag003G246520
OG0001261	ESY5_g2783_DN3_SP0_c0.t1	Ag004G320170
OG0001261	ESY10_g14334_DN3_SP0_c0.t1	Ag008G661310
OG0001262	ESY5_g2771_DN3_SP0_c0.t1	Ag004G319930
OG0001262	ESY5_g2774_DN3_SP0_c0.t1	Ag004G320000, Ag004G319960, Ag004G319980, Ag004G319970, Ag004G319950
OG0001263	ESY5_g3784_DN3_SP3_c0.t1	Ag004G315430
OG0001264	ESY3_g30207_DN3_SP8_c0.t1	Ag005G469500
OG0001264	ESY2_g36313_DN2_SP8_c0.t1	Ag001G001400
OG0001265	ESY2_g37247_DN3_SP8_c0.t1	Ag001G010710
OG0001265	ESY3_g29119_DN3_SP6_c0.t1	Ag005G442590, Ag004G323700, Ag005G443740
OG0001267	ESY5_g3781_DN2_SP0_c0.t1, ESY5_g3776_DN3_SP0_c0.t1, ESY5_g3777_DN3_SP0_c0.t1	Ag002G127610, Ag002G127600, Ag002G127620, Ag002G127560, Ag002G127540, Ag002G127520
OG0001268	ESY5_g1425_DN3_SP0_c0.t1	Ag003G244910, Ag003G244900
OG0001274	ESY8_g59456_DN3_SP0_c0.t1	Ag006G524860
OG0001274	ESY4_g24804_DN3_SP8_c0.t1	Ag003G267830
OG0001275	ESY5_g3929_DN3_SP8_c0.t1	Ag004G334620
OG0001275	ESY4_g25476_DN3_SP8_c0.t1	Ag003G283500
OG0001276	ESY2_g33880_DN3_SP0_c0.t1	Ag004G374720
OG0001276	ESY5_g3601_DN3_SP0_c0.t1	Ag004G313130
OG0001278	ESY2_g33841_DN2_SP0_c0.t1, ESY2_g33844_DN3_SP0_c0.t1, ESY2_g33842_DN2_SP8_c0.t1	Ag008G670840
OG0001279	ESY7_g17514_DN3_SP8_c0.t1	Ag007G617160
OG0001279	ESY3_g32597_DN3_SP8_c16.t1	Ag005G490470
OG0001280	ESY2_g34558_DN3_SP0_c0.t1	Ag007G605820, Ag001G076190
OG0001280	ESY8_g60807_DN3_SP0_c0.t1	Ag005G473800
OG0001281	ESY8_g60050_DN3_SP0_c0.t1	Ag005G451920, Ag004G354800, Ag004G322220, Ag007G656770
OG0001282	ESY6_g48322_DN3_SP0_c0.t1	Ag008G700450
OG0001283	ESY1_g11771_DN3_SP8_c0.t1	Ag001G083190
OG0001283	ESY12_g51062_DN3_SP8_c0.t1	Ag002G189930
OG0001284	ESY15_g65225_DN3_SP8_c0.t1	Ag001G040840
OG0001284	ESY6_g49798_DN3_SP8_c0.t1	Ag008G728600
OG0001285	ESY6_g47868_DN3_SP0_c0.t1	Ag001G057310
OG0001286	ESY6_g47978_DN3_SP0_c0.t1	Ag008G694420, Ag008G694390
OG0001287	ESY6_g48005_DN3_SP8_c0.t1	Ag008G694960
OG0001288	ESY7_g18182_DN3_SP8_c0.t1	Ag007G607390
OG0001288	ESY6_g49958_DN3_SP8_c0.t1	Ag008G720640
OG0001289	ESY9_g42448_DN3_SP0_c0.t1	Ag006G577550
OG0001289	ESY10_g14855_DN2_SP0_c0.t1	Ag002G114270, Ag002G121960, Ag002G121970
OG0001290	ESY18_g63622_DN3_SP6_c0.t1	Ag002G146290
OG0001290	ESY23_g162_DN3_SP8_c0.t1	Ag006G546920, Ag006G542020
OG0001291	ESY23_g560_DN3_SP0_c0.t1, ESY23_g540_DN2_SP0_c0.t1	Ag006G540940
OG0001292	ESY8_g58712_DN3_SP0_c0.t1	Ag007G593410
OG0001292	ESY3_g32607_DN3_SP0_c0.t1	Ag005G490570
OG0001293	ESY1_g11259_DN3_SP0_c0.t1	Ag001G090280, Ag001G090160
OG0001294	ESY8_g59704_DN2_SP7_c18.t1	Ag006G522710
OG0001294	ESY4_g26684_DN2_SP8_c22.t1, ESY4_g26683_DN3_SP0_c17.t1	Ag003G293330
OG0001295	ESY9_g42909_DN3_SP0_c0.t1, ESY7_g19240_DN3_SP0_c0.t1, ESY2_g33672_DN3_SP0_c0.t1	Ag001G025870
OG0001295	ESY1_g11310_DN3_SP0_c0.t1	Ag003G226770
OG0001296	ESY8_g59656_DN2_SP0_c0.t1	Ag006G523450
OG0001296	ESY5_g4288_DN1_SP0_c0.t1, ESY11_g54982_DN3_SP0_c0.t1	Ag002G206170, Ag008G733080
OG0001297	ESY5_g4707_DN3_SP0_c0.t1	Ag002G138870, Ag002G138840, Ag002G138890
OG0001298	ESY3_g28803_DN3_SP3_c0.t1	Ag001G035220, Ag005G437770
OG0001299	ESY12_g51625_DN3_SP0_c0.t1	Ag002G204170
OG0001299	ESY12_g51632_DN3_SP0_c0.t1	Ag002G204160
OG0001300	ESY1_g11511_DN3_SP8_c0.t1	Ag001G086290
OG0001300	ESY12_g51313_DN3_SP0_c0.t1	Ag002G193700
OG0001301	ESY1_g11554_DN3_SP8_c0.t1	Ag001G085710
OG0001301	ESY12_g51294_DN3_SP0_c0.t1	Ag002G193350
OG0001302	ESY6_g50435_DN3_SP7_c4.t1	Ag008G733920
OG0001303	ESY11_g53285_DN3_SP0_c0.t1, ESY20_g13358_DN1_SP0_c0.t1	Ag006G519040
OG0001303	ESY5_g5554_DN1_SP0_c0.t1	Ag004G297490
OG0001304	ESY5_g4454_DN3_SP2_c0.t1	Ag004G307690
OG0001304	ESY8_g58919_DN3_SP1_c0.t1	Ag007G595610
OG0001305	ESY3_g31762_DN3_SP8_c0.t1	Ag005G483870
OG0001305	ESY10_g15507_DN3_SP0_c0.t1, ESY17_g39286_DN3_SP0_c0.t1, ESY3_g31769_DN3_SP0_c0.t1	Ag007G636670
OG0001306	ESY10_g15463_DN3_SP7_c0.t1	Ag007G636130
OG0001306	ESY3_g31680_DN3_SP8_c0.t1	Ag005G483370
OG0001308	ESY1_g10460_DN3_SP0_c0.t1	Ag001G069930
OG0001309	ESY9_g45150_DN3_SP8_c0.t1	Ag002G174770
OG0001309	ESY1_g11004_DN3_SP7_c0.t1	Ag001G074030
OG0001310	ESY5_g4397_DN3_SP8_c0.t1	Ag004G325640
OG0001310	ESY2_g36825_DN3_SP8_c0.t1	Ag003G212510
OG0001311	ESY10_g15686_DN3_SP0_c0.t1	Ag007G579540, Ag006G551840, Ag007G637700
