Orthogroup	Euclidium_syriacum	Odontarrhena_muralis
OG0003390	ESY4_g23652_DN3_SP6_c0.t1	Om007G290970
OG0003391	ESY4_g26298_DN3_SP6_c0.t1	Om002G085880, Om001G036650
OG0003393	ESY8_g59691_DN3_SP1_c17.t1	Om001G039320, Om004G153870
OG0003394	ESY6_g49020_DN3_SP8_c0.t1	Om006G243900
OG0003395	ESY18_g63696_DN3_SP0_c0.t1	Om008G350910, Om004G150600
OG0003396	ESY18_g63651_DN3_SP0_c0.t1, ESY18_g63511_DN3_SP0_c0.t1	Om008G351370, Om008G351360
OG0003397	ESY9_g42861_DN3_SP5_c0.t1	Om001G003380
OG0003397	ESY7_g16807_DN3_SP8_c0.t1	Om008G358480
OG0003398	ESY17_g39558_DN3_SP4_c0.t1	Om002G075240, Om003G104770
OG0003399	ESY15_g65978_DN3_SP0_c0.t1	Om003G103740
OG0003400	ESY27_g13527_DN3_SP8_c0.t1	Om003G103640
OG0003401	ESY22_g40754_DN3_SP8_c0.t1	Om008G355330, Om008G358230
OG0003402	ESY2_g38873_DN3_SP0_c0.t1	Om002G085790, Om002G085800, Om002G085780, Om002G085810, Om002G085820, Om001G032240, Om005G197950, Om003G101570, Om005G197940
OG0003404	ESY12_g51430_DN3_SP8_c0.t1	Om008G319740, Om008G319750
OG0003405	ESY1_g11897_DN3_SP8_c0.t1	Om003G124140, Om008G324470
OG0003406	ESY10_g14144_DN3_SP0_c0.t1	Om006G273650
OG0003407	ESY7_g19646_DN3_SP0_c0.t1	Om004G177090
OG0003407	ESY3_g30806_DN3_SP8_c0.t1	Om002G051230
OG0003408	ESY6_g50420_DN2_SP0_c0.t1	Om006G259790, Om006G231220
OG0003409	ESY6_g50406_DN3_SP1_c0.t1	Om006G259490, Om006G230800
OG0003410	ESY5_g5496_DN3_SP3_c0.t1	Om004G158050, Om005G178370
OG0003411	ESY20_g13268_DN3_SP0_c5.t1	Om004G159970
OG0003412	ESY20_g12680_DN3_SP0_c0.t1	Om007G279430
OG0003412	ESY5_g4871_DN3_SP0_c0.t1	Om005G182390
OG0003413	ESY5_g4628_DN3_SP0_c0.t1	Om005G184280
OG0003413	ESY8_g58604_DN3_SP6_c0.t1	Om007G281380
OG0003414	ESY8_g58736_DN3_SP0_c0.t1	Om007G282250
OG0003414	ESY7_g18865_DN3_SP0_c0.t1	Om004G171230
OG0003415	ESY3_g32643_DN3_SP0_c0.t1	Om002G042540
OG0003415	ESY7_g17600_DN3_SP0_c0.t1	Om007G301260
OG0003416	ESY7_g17333_DN3_SP7_c0.t1	Om007G298670
OG0003416	ESY3_g32468_DN3_SP3_c0.t1	Om003G119650, Om002G043940
OG0003417	ESY3_g31798_DN3_SP8_c0.t1, ESY10_g15590_DN3_SP5_c0.t1	Om002G047230
OG0003418	ESY3_g31786_DN3_SP8_c0.t1	Om002G047340
OG0003419	ESY3_g31576_DN3_SP4_c0.t1	Om002G048710
OG0003419	ESY7_g16926_DN3_SP8_c0.t1	Om007G295060
OG0003421	ESY16_g62440_DN3_SP0_c0.t1	Om001G034660
OG0003421	ESY9_g44365_DN3_SP7_c43.t1	Om008G337200
OG0003423	ESY9_g45087_DN3_SP0_c0.t1	Om008G334960, Om008G334980
OG0003424	ESY9_g45359_DN3_SP6_c0.t1	Om008G333400
OG0003424	ESY1_g10987_DN3_SP8_c0.t1	Om006G253960
OG0003425	ESY5_g2925_DN3_SP7_c0.t1	Om005G196190
OG0003426	ESY5_g4344_DN3_SP8_c31.t1	Om005G198410
OG0003427	ESY5_g3897_DN2_SP0_c15.t1	Om005G203080
OG0003427	ESY3_g30964_DN3_SP0_c0.t1	Om002G052220
OG0003428	ESY5_g2549_DN3_SP0_c0.t1	Om005G203350
OG0003429	ESY2_g34690_DN3_SP8_c0.t1	Om005G203370
OG0003430	ESY2_g35497_DN3_SP2_c0.t1	Om004G144790, Om005G208330
OG0003431	ESY5_g1600_DN3_SP0_c0.t1	Om004G145330
OG0003431	ESY2_g35438_DN3_SP0_c0.t1	Om005G209140
OG0003432	ESY5_g1076_DN3_SP6_c0.t1	Om004G147260
OG0003433	ESY4_g25021_DN3_SP0_c0.t1	Om001G028530
OG0003434	ESY4_g26474_DN3_SP0_c0.t1	Om007G283260
OG0003435	ESY5_g5507_DN3_SP0_c0.t1	Om004G154540, Om005G178210
OG0003436	ESY5_g3312_DN3_SP0_c0.t1	Om005G187670
OG0003437	ESY3_g29341_DN3_SP6_c0.t1	Om002G067280
OG0003437	ESY2_g34155_DN3_SP0_c0.t1	Om001G002880
OG0003438	ESY3_g32606_DN3_SP0_c0.t1	Om002G042870
OG0003438	ESY7_g17530_DN3_SP0_c0.t1	Om007G300500
OG0003439	ESY7_g17158_DN3_SP7_c0.t1	Om007G296980
OG0003439	ESY3_g32294_DN3_SP0_c0.t1	Om002G044990
OG0003440	ESY2_g35022_DN3_SP5_c0.t1, ESY2_g35355_DN3_SP0_c0.t1, ESY7_g19168_DN3_SP0_c0.t1, ESY7_g17106_DN3_SP0_c0.t1	Om007G296410, Om005G202040
OG0003441	ESY6_g49391_DN3_SP0_c0.t1, ESY6_g49390_DN3_SP0_c0.t1	Om006G235770
OG0003442	ESY6_g49800_DN3_SP8_c0.t1	Om006G234920
OG0003443	ESY6_g50111_DN3_SP0_c0.t1	Om006G260860, Om006G238660
OG0003444	ESY1_g8991_DN3_SP0_c0.t1, ESY11_g53639_DN1_SP0_c0.t1, ESY11_g53638_DN3_SP0_c0.t1	Om008G334660, Om006G263360
OG0003445	ESY6_g48970_DN3_SP8_c0.t1	Om006G244430
OG0003446	ESY2_g35627_DN2_SP0_c0.t1	Om005G206890
OG0003447	ESY2_g35772_DN3_SP7_c0.t1	Om005G205020, Om004G142950
OG0003448	ESY2_g36693_DN3_SP2_c0.t1	Om004G131730, Om005G197260
OG0003449	ESY2_g33397_DN3_SP0_c0.t1, ESY20_g12703_DN3_SP0_c0.t1, ESY8_g58283_DN3_SP0_c0.t1, ESY2_g37005_DN3_SP0_c0.t1, ESY8_g58285_DN3_SP0_c0.t1, ESY20_g12705_DN3_SP0_c0.t1, ESY3_g30119_DN3_SP0_c0.t1	Om002G056670
OG0003450	ESY2_g36286_DN3_SP0_c0.t1	Om003G090530
OG0003450	ESY3_g30226_DN2_SP0_c0.t1	Om002G057740
OG0003451	ESY3_g29761_DN3_SP1_c0.t1	Om002G064430, Om004G145120
OG0003452	ESY3_g29719_DN3_SP7_c0.t1	Om002G064840
OG0003453	ESY3_g29710_DN3_SP0_c0.t1, ESY3_g29708_DN3_SP0_c0.t1, ESY3_g29377_DN3_SP0_c0.t1	Om002G065060
OG0003455	ESY4_g25574_DN3_SP1_c0.t1	Om001G032960
OG0003456	ESY2_g36984_DN3_SP0_c0.t1	Om003G093800
OG0003457	ESY1_g10810_DN2_SP0_c15.t1	Om006G252560
OG0003457	ESY9_g45471_DN3_SP0_c11.t1	Om008G332240
OG0003458	ESY1_g12103_DN3_SP7_c0.t1	Om003G125470
OG0003460	ESY4_g26053_DN2_SP0_c0.t1, ESY4_g26080_DN2_SP0_c0.t1	Om001G040150
OG0003462	ESY5_g3509_DN3_SP0_c0.t1, ESY5_g3508_DN2_SP0_c0.t1	Om002G075060, Om005G189230, Om005G189220
OG0003463	ESY1_g11171_DN3_SP0_c0.t1	Om002G061680, Om001G020840, Om005G196400, Om005G196380, Om005G196320, Om005G196310, Om005G196330
OG0003464	ESY1_g12237_DN3_SP0_c0.t1	Om002G048040, Om002G048030, Om002G048020
OG0003465	ESY16_g61874_DN3_SP0_c0.t1	Om007G292330
OG0003467	ESY5_g3535_DN3_SP0_c0.t1	Om006G250190
OG0003467	ESY6_g48299_DN3_SP0_c0.t1	Om006G250180
OG0003481	ESY11_g54598_DN3_SP0_c0.t1	Om002G086920
OG0003481	ESY4_g24433_DN3_SP0_c0.t1	Om001G025000
OG0003483	ESY4_g24806_DN3_SP0_c0.t1	Om007G287140, Om001G027280
OG0003484	ESY4_g25232_DN3_SP8_c0.t1	Om001G029290
OG0003485	ESY4_g25854_DN3_SP0_c0.t1	Om006G233130, Om001G031050
OG0003486	ESY6_g49039_DN2_SP0_c0.t1	Om006G243690
OG0003487	ESY5_g3190_DN3_SP8_c0.t1	Om005G186770
OG0003488	ESY2_g34132_DN2_SP0_c0.t1, ESY5_g3097_DN2_SP0_c0.t1	Om006G259530
OG0003489	ESY2_g34020_DN3_SP8_c0.t1	Om005G220310
OG0003489	ESY5_g3495_DN3_SP0_c0.t1	Om005G189160
OG0003491	ESY8_g60278_DN3_SP0_c0.t1	Om007G317200, Om007G317130
OG0003492	ESY2_g35300_DN3_SP2_c0.t1	Om008G355190
OG0003493	ESY6_g49325_DN3_SP2_c0.t1	Om002G052780, Om005G223250
OG0003494	ESY20_g13031_DN3_SP0_c0.t1	Om001G008370
OG0003495	ESY6_g46129_DN3_SP0_c0.t1	Om003G112280
OG0003496	ESY6_g46916_DN3_SP8_c0.t1	Om003G113990
OG0003497	ESY6_g48420_DN3_SP4_c0.t1	Om006G249510
OG0003498	ESY7_g18147_DN3_SP0_c0.t1	Om004G164190
OG0003499	ESY7_g17893_DN3_SP8_c0.t1	Om004G166510
OG0003499	ESY6_g50671_DN3_SP3_c0.t1	Om006G232910
OG0003500	ESY6_g50729_DN3_SP8_c0.t1	Om006G233470
OG0003501	ESY7_g17820_DN3_SP0_c0.t1	Om004G166950, Om002G067190
OG0003502	ESY7_g16414_DN3_SP3_c0.t1	Om008G354670
OG0003502	ESY9_g42677_DN2_SP0_c9.t1	Om001G007600
OG0003503	ESY23_g101_DN3_SP1_c0.t1	Om001G010540
OG0003504	ESY14_g20145_DN3_SP8_c0.t1	Om001G012680
OG0003506	ESY4_g23685_DN3_SP8_c0.t1	Om008G339560, Om007G291290
OG0003507	ESY4_g23762_DN2_SP0_c0.t1	Om007G291380
OG0003508	ESY11_g54082_DN3_SP8_c0.t1	Om002G084300
OG0003509	ESY4_g26191_DN3_SP0_c0.t1	Om001G035990
OG0003510	ESY8_g59596_DN3_SP1_c0.t1	Om003G116770
OG0003510	ESY4_g26480_DN3_SP8_c0.t1	Om001G037930
OG0003511	ESY8_g61294_DN3_SP0_c0.t1	Om001G027950
OG0003512	ESY1_g6172_DN3_SP1_c0.t1	Om008G341560
OG0003513	ESY7_g16474_DN3_SP8_c0.t1	Om002G074850, Om008G355200
OG0003513	ESY9_g43457_DN3_SP4_c0.t1	Om001G007010
OG0003515	ESY10_g14745_DN3_SP8_c0.t1	Om005G212720, Om005G212670, Om007G302820
OG0003517	ESY3_g27330_DN3_SP0_c0.t1, ESY3_g27370_DN3_SP0_c0.t1	Om003G105180
OG0003519	ESY16_g61760_DN3_SP0_c0.t1	Om003G103990, Om007G303340
OG0003521	ESY12_g51833_DN3_SP0_c0.t1	Om008G321730
OG0003522	ESY10_g14559_DN3_SP0_c0.t1, ESY9_g45045_DN1_SP0_c0.t1	Om008G322600
OG0003523	ESY1_g11513_DN3_SP0_c0.t1	Om003G121530
OG0003523	ESY12_g51311_DN2_SP0_c0.t1	Om008G326770
OG0003524	ESY6_g49660_DN3_SP8_c0.t1	Om006G234080
OG0003525	ESY7_g18012_DN3_SP7_c0.t1	Om004G165620, Om006G231980
OG0003526	ESY1_g9740_DN3_SP0_c0.t1	Om006G260080
OG0003527	ESY6_g50347_DN3_SP0_c0.t1	Om002G062740
OG0003528	ESY8_g58677_DN3_SP8_c8.t1	Om007G281820
OG0003528	ESY5_g4597_DN3_SP1_c8.t1	Om005G184510
OG0003529	ESY6_g47964_DN3_SP0_c0.t1	Om003G116650
OG0003531	ESY3_g31601_DN3_SP8_c0.t1	Om007G294730
OG0003532	ESY3_g31456_DN3_SP6_c20.t1	Om002G049650
OG0003533	ESY9_g45528_DN1_SP0_c0.t1	Om008G331950
OG0003534	ESY1_g10808_DN3_SP5_c0.t1	Om006G252550
OG0003535	ESY5_g5155_DN3_SP0_c0.t1, ESY16_g61737_DN3_SP0_c0.t1	Om008G336980
OG0003537	ESY2_g34847_DN3_SP0_c0.t1	Om004G140970
OG0003537	ESY5_g4230_DN3_SP8_c0.t1	Om005G199800
OG0003538	ESY2_g35016_DN3_SP0_c0.t1	Om004G138490
OG0003538	ESY5_g4137_DN3_SP6_c0.t1	Om005G200830
OG0003539	ESY5_g2250_DN3_SP6_c0.t1	Om004G143220, Om005G205170
OG0003540	ESY5_g2125_DN3_SP8_c0.t1	Om004G143430
OG0003540	ESY2_g35598_DN3_SP7_c0.t1	Om005G207220
OG0003541	ESY2_g35545_DN2_SP3_c0.t1	Om005G207830
OG0003542	ESY2_g34503_DN2_SP0_c0.t1	Om005G211430, Om005G188760
OG0003543	ESY19_g41865_DN3_SP2_c0.t1	Om005G211980
OG0003544	ESY5_g3438_DN3_SP0_c0.t1, ESY10_g15228_DN3_SP0_c0.t1, ESY10_g14769_DN3_SP0_c0.t1	Om008G332550
OG0003545	ESY8_g59396_DN3_SP8_c0.t1	Om004G154630
OG0003546	ESY8_g58392_DN3_SP0_c0.t1	Om007G279910
OG0003546	ESY5_g4802_DN2_SP0_c0.t1, ESY5_g4799_DN3_SP0_c0.t1	Om005G182930
OG0003547	ESY7_g17185_DN3_SP8_c10.t1	Om007G297200
OG0003548	ESY3_g29492_DN3_SP0_c0.t1	Om007G295160
OG0003549	ESY3_g31496_DN3_SP8_c0.t1	Om002G049290
OG0003550	ESY3_g31412_DN3_SP6_c0.t1	Om002G049910, Om002G049900
OG0003551	ESY6_g50036_DN3_SP0_c0.t1	Om006G239340
OG0003552	ESY6_g49816_DN3_SP1_c0.t1	Om006G234980
OG0003552	ESY1_g8886_DN3_SP7_c0.t1	Om006G263550
OG0003553	ESY6_g49778_DN3_SP8_c0.t1	Om006G234740
OG0003553	ESY6_g49779_DN3_SP0_c0.t1	Om006G234760
OG0003555	ESY1_g9278_DN3_SP0_c0.t1	Om006G261680
OG0003556	ESY5_g2174_DN3_SP8_c0.t1	Om005G205540
OG0003557	ESY11_g54699_DN3_SP7_c10.t1	Om004G140730
OG0003557	ESY4_g25718_DN3_SP4_c10.t1	Om001G032370
OG0003558	ESY2_g36817_DN3_SP8_c0.t1	Om004G132420, Om005G197730
OG0003559	ESY2_g36688_DN3_SP8_c0.t1	Om004G131680
OG0003560	ESY3_g30411_DN3_SP8_c0.t1	Om003G092350, Om003G092380, Om002G059410
OG0003561	ESY3_g30496_DN3_SP0_c0.t1	Om002G059950, Om002G059930, Om002G059940
OG0003562	ESY3_g29890_DN3_SP8_c0.t1	Om002G063240, Om002G063230
OG0003563	ESY3_g29598_DN3_SP4_c0.t1	Om002G066100
OG0003564	ESY3_g29086_DN3_SP0_c0.t1	Om003G095480
OG0003565	ESY49_g12651_DN3_SP1_c0.t1, ESY3_g28292_DN3_SP0_c0.t1	Om002G072730
OG0003567	ESY11_g54345_DN2_SP0_c0.t1	Om002G086060
OG0003568	ESY2_g33326_DN3_SP0_c0.t1	Om007G289470
OG0003569	ESY2_g36415_DN2_SP0_c0.t1, ESY2_g36414_DN3_SP0_c0.t1, ESY2_g36413_DN2_SP0_c0.t1, ESY2_g36416_DN3_SP0_c0.t1, ESY2_g36417_DN3_SP0_c0.t1	Om003G089520
OG0003572	ESY2_g37979_DN3_SP0_c0.t1	Om003G102520
OG0003573	ESY2_g33504_DN3_SP0_c0.t1	Om004G172130, Om005G228000
OG0003574	ESY7_g17128_DN3_SP0_c0.t1	Om007G296550, Om007G296560
OG0003575	ESY7_g16878_DN3_SP0_c0.t1, ESY7_g16879_DN3_SP0_c0.t1	Om007G294800
OG0003583	ESY4_g25976_DN3_SP0_c93.t1, ESY4_g25979_DN2_SP0_c93.t1, ESY4_g25977_DN1_SP0_c94.t1	Om001G030410
OG0003584	ESY34_g45726_DN3_SP0_c0.t1	Om001G024470, Om001G024480
OG0003585	ESY1_g10697_DN3_SP8_c0.t1	Om006G251650
OG0003586	ESY4_g24640_DN3_SP2_c0.t1, ESY8_g59517_DN3_SP3_c0.t1	Om001G026260
OG0003587	ESY4_g25081_DN3_SP4_c0.t1	Om003G116620, Om001G014890, Om005G206400
OG0003588	ESY7_g19102_DN1_SP0_c30.t1	Om003G105560, Om003G105540, Om004G173010
OG0003588	ESY1_g8822_DN1_SP0_c0.t1	Om004G173020
OG0003589	ESY4_g25726_DN3_SP0_c0.t1, ESY4_g25728_DN3_SP0_c0.t1	Om001G032210, Om001G032230
OG0003590	ESY11_g53995_DN3_SP0_c0.t1	Om002G083820
OG0003591	ESY2_g34070_DN3_SP8_c0.t1	Om005G219620, Om005G188730
OG0003592	ESY2_g33892_DN3_SP0_c0.t1	Om005G222170
OG0003594	ESY10_g14353_DN3_SP4_c0.t1	Om005G194540
OG0003595	ESY21_g55406_DN3_SP0_c0.t1	Om006G270500
OG0003596	ESY2_g35159_DN3_SP0_c0.t1	Om007G315110
OG0003597	ESY5_g3852_DN3_SP6_c0.t1	Om005G192210
OG0003598	ESY3_g30874_DN3_SP0_c0.t1, ESY3_g30837_DN2_SP0_c0.t1	Om002G051510
OG0003599	ESY3_g31176_DN3_SP0_c0.t1	Om002G054110
OG0003600	ESY3_g30573_DN3_SP0_c0.t1	Om002G060630
OG0003600	ESY3_g31257_DN3_SP0_c0.t1	Om002G054900
OG0003601	ESY10_g14994_DN3_SP0_c0.t1, ESY10_g14990_DN3_SP0_c0.t1	Om007G312910, Om007G307700, Om007G318330
OG0003603	ESY4_g23825_DN3_SP8_c0.t1	Om001G021650
OG0003604	ESY16_g62169_DN3_SP0_c0.t1	Om001G020730
OG0003604	ESY6_g47527_DN3_SP0_c0.t1	Om003G115520
OG0003605	ESY1_g10945_DN1_SP0_c0.t1	Om003G127860
OG0003606	ESY6_g48143_DN3_SP5_c0.t1	Om003G118180
OG0003609	ESY7_g17990_DN3_SP0_c0.t1	Om004G165790
OG0003610	ESY6_g50637_DN3_SP3_c0.t1	Om006G232760
OG0003611	ESY9_g42643_DN1_SP0_c0.t1	Om001G002140
OG0003612	ESY9_g42667_DN3_SP3_c0.t1	Om001G002320
OG0003613	ESY5_g5102_DN3_SP0_c0.t1, ESY10_g15297_DN3_SP1_c0.t1	Om007G294430
OG0003615	ESY4_g22931_DN3_SP3_c0.t1	Om007G289150
OG0003616	ESY4_g26019_DN3_SP0_c0.t1	Om001G035230
OG0003617	ESY14_g19992_DN3_SP1_c0.t1	Om001G012940, Om008G345980
OG0003618	ESY1_g11131_DN3_SP0_c0.t1	Om003G100680, Om006G254910
OG0003619	ESY3_g31155_DN2_SP0_c0.t1, ESY3_g31154_DN1_SP0_c0.t1	Om002G053910, Om002G053930, Om002G053920
OG0003620	ESY7_g16624_DN3_SP0_c0.t1, ESY7_g16622_DN3_SP0_c0.t1	Om008G356460
OG0003621	ESY7_g16661_DN3_SP6_c0.t1	Om008G356730
OG0003621	ESY7_g16662_DN3_SP0_c0.t1	Om008G356740, Om008G356750, Om008G356780
OG0003622	ESY15_g65945_DN2_SP0_c0.t1	Om005G203660
OG0003624	ESY10_g14802_DN3_SP8_c0.t1	Om008G362570
OG0003625	ESY12_g52212_DN3_SP0_c0.t1	Om001G033190, Om008G319540
OG0003626	ESY12_g51412_DN3_SP1_c0.t1	Om008G319890
OG0003626	ESY1_g12431_DN3_SP0_c0.t1	Om003G127890
OG0003627	ESY12_g51816_DN1_SP0_c0.t1, ESY12_g51817_DN2_SP0_c0.t1, ESY12_g51818_DN3_SP0_c0.t1, ESY12_g51814_DN3_SP0_c0.t1	Om008G321620, Om008G321610
OG0003628	ESY1_g11988_DN3_SP7_c0.t1	Om003G124690
OG0003629	ESY12_g52091_DN3_SP0_c0.t1, ESY12_g52092_DN3_SP0_c0.t1	Om008G323580
OG0003630	ESY12_g52146_DN3_SP8_c0.t1	Om008G324260
OG0003631	ESY3_g30731_DN3_SP0_c0.t1	Om002G050720, Om006G242710
OG0003632	ESY5_g2830_DN3_SP0_c0.t1	Om005G195050
OG0003633	ESY6_g50311_DN2_SP0_c0.t1	Om006G229960
OG0003634	ESY1_g10016_DN3_SP0_c0.t1	Om006G258330
OG0003634	ESY6_g50314_DN3_SP0_c0.t1	Om006G229930
OG0003635	ESY1_g10149_DN3_SP8_c0.t1	Om006G257360
OG0003635	ESY6_g50748_DN3_SP1_c0.t1	Om006G229110
OG0003636	ESY20_g13002_DN3_SP8_c0.t1	Om004G157990
OG0003637	ESY20_g13241_DN3_SP5_c0.t1	Om004G159900
OG0003638	ESY20_g13310_DN3_SP0_c0.t1	Om004G160360
OG0003639	ESY8_g60620_DN2_SP0_c0.t1, ESY4_g26002_DN3_SP7_c0.t1	Om001G030260
OG0003640	ESY1_g10396_DN2_SP0_c0.t1, ESY3_g32639_DN3_SP0_c0.t1	Om002G042580
OG0003640	ESY7_g17593_DN2_SP0_c0.t1	Om007G301210
OG0003641	ESY3_g31837_DN3_SP4_c0.t1	Om002G047080
OG0003642	ESY10_g15483_DN3_SP8_c0.t1	Om007G293950
OG0003642	ESY15_g65444_DN3_SP0_c17.t1	Om002G047700
OG0003643	ESY1_g10706_DN3_SP0_c0.t1	Om006G251690
OG0003643	ESY9_g45603_DN3_SP8_c0.t1	Om008G331030
OG0003644	ESY2_g36490_DN3_SP6_c30.t1, ESY2_g36492_DN3_SP5_c29.t1	Om004G129730
OG0003645	ESY5_g3070_DN3_SP0_c0.t1	Om005G197560
OG0003646	ESY5_g4202_DN3_SP7_c0.t1	Om005G200080
OG0003647	ESY5_g2673_DN3_SP0_c0.t1	Om005G201190
OG0003648	ESY5_g2312_DN3_SP8_c0.t1	Om005G204870, Om004G133460
OG0003649	ESY1_g11476_DN3_SP0_c0.t1	Om005G211930
OG0003650	ESY11_g54194_DN2_SP0_c0.t1, ESY1_g11468_DN3_SP0_c0.t1	Om003G121960
OG0003651	ESY5_g2602_DN3_SP0_c0.t1	Om005G192850
OG0003652	ESY5_g4692_DN3_SP8_c0.t1	Om005G183760
OG0003652	ESY5_g4691_DN3_SP0_c0.t1	Om005G183770
OG0003653	ESY5_g4777_DN3_SP0_c0.t1	Om005G219580, Om005G183070
OG0003654	ESY5_g4780_DN3_SP0_c0.t1	Om005G183040
OG0003654	ESY5_g4782_DN3_SP0_c0.t1	Om005G183050
OG0003655	ESY7_g17240_DN3_SP7_c0.t1	Om007G297620
OG0003655	ESY3_g32386_DN3_SP3_c0.t1	Om002G044460
OG0003656	ESY7_g17187_DN3_SP0_c0.t1	Om006G255510, Om006G255500
OG0003657	ESY3_g30095_DN3_SP0_c0.t1	Om002G056410
OG0003658	ESY7_g19053_DN3_SP0_c0.t1	Om004G172620
OG0003659	ESY7_g18541_DN1_SP0_c0.t1	Om006G236430
OG0003660	ESY6_g48591_DN2_SP0_c0.t1	Om006G247730
OG0003661	ESY1_g10100_DN3_SP5_c0.t1	Om006G257750
OG0003662	ESY1_g8172_DN3_SP8_c0.t1, ESY6_g48699_DN3_SP0_c0.t1	Om006G266960
OG0003663	ESY2_g35439_DN3_SP8_c0.t1	Om005G209120
OG0003664	ESY6_g49587_DN3_SP0_c0.t1	Om006G237330, Om006G237340
OG0003665	ESY5_g4343_DN3_SP0_c0.t1	Om002G069060, Om004G142710
OG0003666	ESY2_g36584_DN3_SP8_c0.t1	Om004G130480, Om008G331540
OG0003667	ESY3_g30158_DN3_SP8_c0.t1	Om002G057060
OG0003668	ESY3_g30242_DN3_SP8_c0.t1	Om002G057900
OG0003668	ESY2_g36275_DN3_SP0_c23.t1	Om003G090650, Om003G093610
OG0003669	ESY2_g36245_DN2_SP1_c0.t1	Om003G091010
OG0003669	ESY3_g30292_DN3_SP0_c0.t1	Om002G058320
OG0003670	ESY3_g30342_DN3_SP1_c0.t1	Om002G058860, Om002G058850
OG0003671	ESY3_g30559_DN3_SP0_c0.t1, ESY3_g30576_DN3_SP0_c0.t1, ESY3_g30579_DN3_SP0_c0.t1	Om002G060590
OG0003672	ESY2_g38367_DN3_SP1_c0.t1	Om003G100190
OG0003673	ESY3_g28015_DN3_SP4_c0.t1	Om002G073850
OG0003674	ESY3_g27321_DN3_SP6_c15.t1, ESY15_g64695_DN3_SP6_c15.t1	Om002G075460
OG0003675	ESY5_g4429_DN3_SP0_c0.t1	Om003G118740, Om005G185970
OG0003676	ESY4_g25828_DN3_SP3_c94.t1	Om001G031360
OG0003677	ESY2_g36994_DN1_SP0_c0.t1	Om003G093880
OG0003678	ESY3_g29183_DN3_SP8_c0.t1	Om001G004200, Om002G068540
OG0003679	ESY1_g10363_DN3_SP8_c0.t1	Om006G256160
OG0003680	ESY1_g10388_DN3_SP0_c0.t1, ESY1_g10386_DN1_SP0_c0.t1	Om006G256000, Om006G255990
OG0003681	ESY9_g44847_DN3_SP4_c0.t1	Om006G254350, Om008G335440
OG0003682	ESY1_g10573_DN3_SP6_c12.t1	Om006G250850
OG0003683	ESY1_g12584_DN3_SP0_c0.t1	Om003G129290
OG0003685	ESY1_g10938_DN2_SP0_c0.t1	Om006G253190
OG0003685	ESY1_g10937_DN3_SP0_c0.t1	Om006G253180
OG0003686	ESY3_g31134_DN2_SP0_c0.t1, ESY11_g54613_DN3_SP0_c0.t1	Om004G135320
OG0003687	ESY2_g34061_DN3_SP0_c0.t1	Om005G219730
OG0003695	ESY4_g23984_DN2_SP0_c0.t1	Om001G022540
OG0003696	ESY4_g24526_DN3_SP4_c0.t1	Om001G025640
OG0003697	ESY4_g25730_DN3_SP8_c0.t1	Om001G032180
OG0003698	ESY4_g25521_DN3_SP0_c0.t1	Om001G033480
OG0003699	ESY9_g45523_DN3_SP0_c0.t1	Om008G331900
OG0003700	ESY16_g61484_DN3_SP0_c0.t1	Om007G275810
OG0003701	ESY19_g42206_DN3_SP1_c0.t1, ESY7_g17081_DN3_SP7_c0.t1, ESY10_g14472_DN3_SP0_c0.t1	Om001G008520
OG0003702	ESY10_g13834_DN3_SP1_c0.t1	Om006G272200
OG0003703	ESY2_g35221_DN3_SP8_c0.t1	Om005G213820
OG0003704	ESY2_g33646_DN3_SP0_c0.t1	Om005G224960
OG0003704	ESY2_g34378_DN3_SP0_c0.t1, ESY2_g33653_DN3_SP3_c0.t1	Om005G224950
OG0003705	ESY12_g51012_DN3_SP8_c0.t1	Om008G328960
OG0003707	ESY16_g61981_DN2_SP0_c0.t1, ESY3_g31251_DN3_SP0_c0.t1	Om003G110270
OG0003708	ESY6_g48071_DN3_SP0_c0.t1, ESY6_g48070_DN3_SP0_c0.t1	Om003G117660
OG0003709	ESY2_g35366_DN3_SP0_c0.t1	Om006G250330, Om001G006650
OG0003711	ESY9_g42453_DN3_SP7_c0.t1	Om008G344920, Om001G000370
OG0003712	ESY9_g43271_DN3_SP2_c0.t1	Om008G356470, Om001G005800
OG0003713	ESY7_g16557_DN3_SP0_c0.t1	Om008G355870
OG0003714	ESY9_g43761_DN3_SP8_c0.t1	Om001G009000, Om008G335490
OG0003716	ESY1_g11832_DN3_SP0_c0.t1	Om003G119580, Om007G306940
OG0003717	ESY20_g12999_DN3_SP0_c0.t1, ESY20_g13085_DN3_SP0_c15.t1, ESY20_g12995_DN3_SP0_c15.t1, ESY20_g13086_DN3_SP0_c16.t1, ESY20_g13083_DN3_SP0_c0.t1, ESY20_g12996_DN3_SP0_c0.t1	Om004G157330, Om004G157980, Om004G157960
OG0003718	ESY2_g37175_DN2_SP0_c0.t1	Om003G127810, Om003G095320
OG0003718	ESY11_g55000_DN3_SP0_c0.t1	Om005G188660
OG0003719	ESY3_g30098_DN3_SP0_c0.t1	Om004G175030, Om004G175100
OG0003720	ESY11_g52439_DN3_SP0_c0.t1	Om004G176050
OG0003721	ESY7_g18920_DN3_SP0_c0.t1	Om008G351440
OG0003722	ESY3_g27760_DN1_SP0_c0.t1	Om002G074490
OG0003723	ESY3_g28395_DN3_SP0_c0.t1	Om002G072390
