Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_hirsuta
OG0001004	XP_002863896.1	CARHR183770
OG0001005	XP_002863393.1	CARHR174790
OG0001005	XP_020875189.1	CARHR224630
OG0001007	XP_020875591.1	CARHR227740
OG0001007	XP_020876431.1	CARHR252220
OG0001008	XP_020881503.1, XP_020881502.1, XP_002875656.1	CARHR164570, CARHR059830, CARHR104570
OG0001009	XP_020880020.1	CARHR165450
OG0001010	XP_002869439.1	CARHR237130
OG0001010	XP_020886806.1	CARHR110230
OG0001011	XP_020879013.1	CARHR186860
OG0001011	XP_020887896.1	CARHR080310
OG0001012	XP_020872212.1	CARHR235390
OG0001012	XP_020871348.1	CARHR267350
OG0001013	XP_020876342.1	CARHR194000
OG0001013	XP_002884563.1	CARHR080710
OG0001015	XP_020887431.1	CARHR110370
OG0001016	XP_002892492.1, XP_020867893.1	CARHR009170
OG0001016	XP_002891952.1	CARHR289890
OG0001017	XP_020867431.1	CARHR023630
OG0001017	XP_020890198.1	CARHR064030
OG0001017	XP_020887829.1	CARHR133670, CARHR237900
OG0001021	XP_020865580.1	CARHR280680
OG0001021	XP_002865034.1	CARHR280660
OG0001021	XP_002884195.1	CARHR134380
OG0001029	XP_020885367.1, XP_020890739.1, XP_002888176.2, XP_002879040.2, XP_002892441.2, XP_020878895.1, XP_020886250.1, XP_020866273.1, XP_020866214.1, XP_020889807.1, XP_020871268.1, XP_020887738.1, XP_020878622.1, XP_020886778.1, XP_020880661.1, XP_020869212.1	CARHR119120
OG0001031	XP_020879023.1	CARHR198690
OG0001031	XP_002871663.2	CARHR075390
OG0001032	XP_020878282.1	CARHR202210
OG0001032	XP_020878049.1	CARHR188200
OG0001033	XP_002879256.2	CARHR123470
OG0001033	XP_020884862.1	CARHR123460
OG0001034	XP_020873161.1, XP_020885568.1	CARHR126160
OG0001034	XP_002892277.1	CARHR004740
OG0001035	XP_020884275.1, XP_020884273.1	CARHR112280
OG0001036	XP_002875741.1, XP_020867367.1	CARHR029460, CARHR029440
OG0001037	XP_002880456.1	CARHR114020
OG0001037	XP_002879534.1	CARHR129320
OG0001038	XP_002875472.1	CARHR151820, CARHR151810
OG0001039	XP_002874173.1, XP_002874174.1	CARHR189360
OG0001041	XP_020865736.1	CARHR269860
OG0001041	XP_020865763.1	CARHR269870
OG0001042	XP_020881726.1	CARHR041460, CARHR041450
OG0001042	XP_020880781.1	CARHR157680
OG0001042	XP_020871170.1	CARHR257340
OG0001043	XP_020876004.1	CARHR208240
OG0001043	XP_002873051.1	CARHR208130
OG0001044	XP_020886159.1	CARHR084980
OG0001044	XP_002871091.1	CARHR208920
OG0001045	XP_020891315.1	CARHR071030
OG0001046	XP_002890422.1	CARHR021480
OG0001046	XP_020865943.1	CARHR070160
OG0001047	XP_020866482.1	CARHR020460
OG0001047	XP_020891733.1	CARHR069170
OG0001049	XP_002891775.1	CARHR044170
OG0001050	XP_020876219.1	CARHR199060
OG0001050	XP_020884342.1	CARHR115600
OG0001051	XP_002864029.1	CARHR257930, CARHR258610
OG0001052	XP_002863445.1	CARHR176080
OG0001052	XP_002870034.1	CARHR225450
OG0001053	XP_020888464.1	CARHR090730
OG0001053	XP_002894400.1	CARHR042850
OG0001054	XP_002884017.1	CARHR107020
OG0001054	XP_002869111.1	CARHR243320
OG0001055	XP_020866131.1, XP_020868811.1	CARHR030850
OG0001056	XP_002878036.1	CARHR165550
OG0001056	XP_020884844.1	CARHR134530
OG0001057	XP_020887310.1, XP_002870764.1	CARHR262470, CARHR101860
OG0001057	XP_002876523.1	CARHR170130
OG0001058	XP_002867523.1	CARHR255990
OG0001058	XP_002884203.1	CARHR111000
OG0001059	XP_020885181.1	CARHR132320
OG0001059	XP_002884873.1	CARHR086480
OG0001060	XP_002888871.1	CARHR065280
OG0001061	XP_020884864.1	CARHR121810
OG0001061	XP_020889036.1	CARHR080320
OG0001063	XP_002885466.1, XP_002885467.1	CARHR097770
OG0001064	XP_002887030.1	CARHR058270
OG0001064	XP_002887035.1	CARHR058280
OG0001065	XP_002872971.1	CARHR248150
OG0001065	XP_002880171.1	CARHR140510
OG0001065	XP_002892033.1	CARHR000360
OG0001066	XP_002892789.1	CARHR014520
OG0001066	XP_002892788.2	CARHR014510
OG0001069	XP_020890207.1	CARHR050510
OG0001069	XP_020890210.1	CARHR050500
OG0001070	XP_020871272.1, XP_002862971.1, XP_020871269.1	CARHR178530
OG0001070	XP_002865347.1	CARHR178410
OG0001070	XP_002865345.2	CARHR178370
OG0001070	XP_002865346.1	CARHR178390
OG0001071	XP_002891483.1, XP_002891482.1, XP_002891481.1	CARHR039230, CARHR039220
OG0001072	XP_020869435.1, XP_002891133.2, XP_020866128.1, XP_020870831.1, XP_020870830.1, XP_020870022.1, XP_020879058.1	CARHR255540
OG0001073	XP_002869456.1	CARHR236770
OG0001073	XP_020877606.1, XP_020879308.1	CARHR180630, CARHR209190
OG0001076	XP_002871805.1, XP_002873867.1	CARHR194900
OG0001077	XP_020874378.1	CARHR225000, CARHR225010
OG0001078	XP_020876417.1	CARHR251450, CARHR251430
OG0001078	XP_020886829.1, XP_020876442.1	CARHR251480, CARHR251460, CARHR251490
OG0001079	XP_002876258.1	CARHR164450
OG0001079	XP_002885800.1	CARHR179800
OG0001079	XP_002883386.2, XP_002862507.2	CARHR179870, CARHR164440
OG0001080	XP_002868199.1	CARHR222270, CARHR222280
OG0001080	XP_020874432.1	CARHR222260
OG0001081	XP_020891247.1	CARHR068980
OG0001081	XP_002893072.1	CARHR020340
OG0001082	XP_020886455.1	CARHR109980
OG0001082	XP_020866853.1, XP_002877567.1	CARHR156190
OG0001082	XP_002877568.1	CARHR156250
OG0001083	XP_002884166.1	CARHR289380
OG0001084	XP_020875363.1	CARHR293290
OG0001085	XP_020874423.1	CARHR225530
OG0001085	XP_020887722.1	CARHR100560
OG0001085	XP_020876376.1	CARHR218880
OG0001086	XP_002870350.1	CARHR219830
OG0001086	XP_020886799.1	CARHR099810
OG0001087	XP_020889198.1	CARHR091970
OG0001088	XP_002880490.2	CARHR292830
OG0001088	XP_002880491.1	CARHR292850
OG0001089	XP_020882420.1, XP_020881935.1	CARHR286690
OG0001090	XP_020879816.1, XP_002875345.2	CARHR147910
OG0001091	XP_020869675.1	CARHR024740, CARHR024730
OG0001091	XP_002863104.1	CARHR063000
OG0001092	XP_002865272.1	CARHR177320
OG0001094	XP_020888772.1	CARHR090810
OG0001094	XP_020870777.1	CARHR042730
OG0001095	XP_002870063.2	CARHR224950
OG0001095	XP_002870062.1, XP_020874374.1	CARHR224960
OG0001096	XP_020868185.1	CARHR009610
OG0001096	XP_020868105.1	CARHR054460
OG0001097	XP_020881021.1	CARHR169710, CARHR169700, CARHR169690
OG0001097	XP_002878265.1	CARHR169720
OG0001098	XP_020883957.1	CARHR132370
OG0001098	XP_002877921.1	CARHR163360
OG0001099	XP_002885643.2	CARHR100490
OG0001099	XP_020886161.1	CARHR100720
OG0001101	XP_002881746.1	CARHR136020
OG0001102	XP_020876639.1	CARHR252790, CARHR252780
OG0001102	XP_002872707.1	CARHR252800
OG0001103	XP_020879590.1	CARHR186820
OG0001103	XP_020887892.1	CARHR080300
OG0001104	XP_002884491.1	CARHR217260
OG0001104	XP_020886533.1	CARHR079270
OG0001105	XP_020886821.1	CARHR081160
OG0001105	XP_020888622.1, XP_020888620.1	CARHR081170
OG0001106	XP_002882676.1, XP_020888554.1	CARHR084990, CARHR085000
OG0001107	XP_002891463.1	CARHR038910
OG0001107	XP_020887267.1	CARHR093990
OG0001109	XP_020875374.1, XP_002892834.1	CARHR015410
OG0001110	XP_002893102.1, XP_020869312.1, XP_020866831.1, XP_020870743.1, XP_020869061.1	CARHR020740
OG0001111	XP_020868404.1	CARHR037950
OG0001111	XP_002883069.1	CARHR092890
OG0001112	XP_020872770.1	CARHR223740
OG0001112	XP_020874262.1	CARHR244230
OG0001113	XP_020885849.1	CARHR098250, CARHR098240
OG0001115	XP_002863494.1	CARHR176870
OG0001116	XP_002866005.1, XP_020879363.1	CARHR267050, CARHR267040
OG0001120	XP_020883689.1	CARHR126030
OG0001120	XP_002881218.2	CARHR126020
OG0001121	XP_020879150.1, XP_002873612.1	CARHR200000, CARHR199990
OG0001122	XP_020871719.1	CARHR279560
OG0001122	XP_020871827.1	CARHR267030
OG0001123	XP_002873459.1	CARHR202840
OG0001123	XP_020890110.1	CARHR279410
OG0001124	XP_020885467.1, XP_002879203.1, XP_020885470.1, XP_002863049.2	CARHR007260, CARHR007240
OG0001127	XP_020868244.1	CARHR028110
OG0001128	XP_020865659.1	CARHR060990
OG0001128	XP_020887313.1	CARHR083770
OG0001129	XP_002891144.1	CARHR030970
OG0001129	XP_002879561.1	CARHR129830, CARHR129820
OG0001130	XP_002871893.1	CARHR193350
OG0001131	XP_020873834.1	CARHR234460
OG0001131	XP_002866079.1	CARHR268520
OG0001132	XP_020888983.1	CARHR085070
OG0001132	XP_002873155.1	CARHR208730
OG0001132	XP_020887783.1	CARHR085080
OG0001133	XP_020878253.1	CARHR209500
OG0001133	XP_020879296.1, XP_020878992.1	CARHR209480
OG0001134	XP_002882637.1	CARHR084260
OG0001134	XP_020878746.1	CARHR210050
OG0001135	XP_002887053.1	CARHR211440
OG0001135	XP_020878838.1	CARHR211460
OG0001136	XP_002870617.1	CARHR212800
OG0001136	XP_002863433.2, XP_002882809.1	CARHR087800
OG0001136	XP_020880064.1	CARHR160710
OG0001137	XP_020868205.1	CARHR042450
OG0001137	XP_002887803.1	CARHR073540
OG0001138	XP_020889897.1	CARHR072870
OG0001139	XP_002887758.1	CARHR072450
OG0001139	XP_002892926.1	CARHR017360
OG0001140	XP_020890682.1	CARHR070210
OG0001140	XP_002881678.1, XP_002889092.1	CARHR070200
OG0001141	XP_020881175.1	CARHR288910
OG0001141	XP_020869197.1	CARHR015080
OG0001142	XP_020866029.1	CARHR162090
OG0001142	XP_002887330.1	CARHR064070
OG0001143	XP_002893054.1	CARHR020120
OG0001143	XP_020889651.1	CARHR068610
OG0001144	XP_020866782.1	CARHR045200
OG0001144	XP_020888094.1	CARHR088100
OG0001145	XP_002888915.1	CARHR066240
OG0001145	XP_002892972.1	CARHR018490
OG0001146	XP_020887144.1	CARHR111100
OG0001146	XP_002869499.1	CARHR236250
OG0001148	XP_002877215.1	CARHR153490
OG0001148	XP_002870820.2	CARHR263850
OG0001149	XP_002865192.1	CARHR175330, CARHR224850
OG0001150	XP_020882405.1	CARHR171960
OG0001150	XP_020885626.1	CARHR141590
OG0001151	XP_020882791.1	CARHR140350
OG0001151	XP_002876568.1	CARHR170970
OG0001152	XP_002881905.1, XP_020879724.1	CARHR169940, CARHR138530
OG0001153	XP_002878078.1	CARHR153050, CARHR166470
OG0001153	XP_002879876.1	CARHR135630
OG0001154	XP_020885216.1	CARHR112550
OG0001154	XP_020872546.1	CARHR247480
OG0001156	XP_002882383.1	CARHR079200
OG0001156	XP_002874417.1	CARHR185000
OG0001157	XP_002882088.1	CARHR142100
OG0001157	XP_020885117.1	CARHR142070
OG0001157	XP_002882086.1	CARHR152160
OG0001158	XP_020879895.1	CARHR155060, CARHR155000, CARHR154980
OG0001159	XP_020869314.1	CARHR055710
OG0001160	XP_020876693.1	CARHR194870
OG0001160	XP_002884421.1	CARHR078070
OG0001161	XP_002882331.1	CARHR013790, CARHR078250
OG0001162	XP_002889923.1	CARHR012540
OG0001162	XP_002888009.1	CARHR049230
OG0001163	XP_020867063.1	CARHR014660
OG0001163	XP_020867059.1	CARHR014650
OG0001164	XP_020887562.1, XP_020891532.1	CARHR071160
OG0001164	XP_020869900.1	CARHR022270
OG0001165	XP_020884718.1	CARHR102580, CARHR292400, CARHR183530, CARHR293280, CARHR105950, CARHR215450, CARHR151370
OG0001166	XP_020886621.1	CARHR093640
OG0001166	XP_020866178.1, XP_020868678.1	CARHR038680
OG0001167	XP_002863285.1	CARHR218200
OG0001167	XP_020876978.1	CARHR151350
OG0001168	XP_002869133.1	CARHR242950
OG0001169	XP_020873068.1	CARHR241480
OG0001169	XP_002883811.1, XP_002883809.1	CARHR104720
OG0001170	XP_020876825.1	CARHR232130
OG0001170	XP_002872546.1	CARHR255500
OG0001171	XP_020875308.1	CARHR237970
OG0001174	XP_002874733.1	CARHR254350
OG0001174	XP_002869798.1	CARHR229950
OG0001175	XP_002873742.1	CARHR197530
OG0001175	XP_002884314.1	CARHR076290
OG0001176	XP_002884311.1	CARHR076220
OG0001176	XP_020876574.1	CARHR197590
OG0001177	XP_020878341.1	CARHR200940
OG0001177	XP_002873943.1	CARHR193600
OG0001178	XP_002871394.1	CARHR203370
OG0001178	XP_020886652.1	CARHR278860
OG0001179	XP_020890283.1	CARHR278530
OG0001179	XP_020877965.1	CARHR203690
OG0001180	XP_020885494.1, XP_002879340.1	CARHR125480, CARHR125450
OG0001181	XP_002885898.2	CARHR035880
OG0001181	XP_002883333.2	CARHR062000
OG0001182	XP_002863704.1	CARHR181030
OG0001182	XP_020890246.1	CARHR068840
OG0001183	XP_020868255.1	CARHR028700
OG0001184	XP_002881403.1	CARHR129780
OG0001184	XP_020870657.1	CARHR031220
OG0001185	XP_002866689.1	CARHR279800
OG0001185	XP_020881551.1	CARHR158770
OG0001186	XP_020881674.1	CARHR189890
OG0001186	XP_020880726.1	CARHR157480
OG0001187	XP_002888555.1, XP_002885462.1, XP_002883048.1, XP_020886649.1	CARHR030920
OG0001187	XP_002873935.1, XP_002873937.1	CARHR149470
OG0001188	XP_002884290.1	CARHR112790, CARHR112800
OG0001189	XP_020878088.1	CARHR193320
OG0001189	XP_020889717.1	CARHR059770
OG0001190	XP_002867495.1	CARHR235280
OG0001190	XP_002866018.1	CARHR267300
OG0001191	XP_002864307.1, XP_020871511.1	CARHR267360
OG0001192	XP_002889063.1	CARHR069710
OG0001192	XP_002893186.1	CARHR022200
OG0001193	XP_002894559.1	CARHR045860
OG0001193	XP_002882791.1	CARHR087380
OG0001194	XP_020891734.1	CARHR068010
OG0001195	XP_002885789.1	CARHR103000
OG0001196	XP_002870665.1	CARHR213480
OG0001197	XP_020886309.1	CARHR087580
OG0001197	XP_020886311.1	CARHR087590
OG0001199	XP_002870080.1	CARHR224590
OG0001199	XP_020871512.1	CARHR174710
OG0001200	XP_020874211.1	CARHR224080
OG0001200	XP_002868063.1	CARHR224100
OG0001201	XP_002867782.1	CARHR229120
OG0001201	XP_002884299.1	CARHR057210
OG0001202	XP_020874043.1	CARHR223340, CARHR223350
OG0001202	XP_020874045.1	CARHR223380, CARHR223370
OG0001203	XP_002877790.1	CARHR160760
OG0001203	XP_002866761.1	CARHR281430
OG0001204	XP_002878373.1	CARHR171560
OG0001204	XP_020883118.1	CARHR141090
OG0001205	XP_020882985.1	CARHR139330
OG0001205	XP_002876531.1	CARHR170290
OG0001206	XP_020880514.1	CARHR111990
OG0001207	XP_020880153.1	CARHR168470
OG0001207	XP_020884468.1	CARHR137430
OG0001208	XP_002881813.1	CARHR137100
OG0001208	XP_002876454.1	CARHR168360
OG0001209	XP_020879839.1	CARHR168230
OG0001209	XP_020884230.1	CARHR137230
OG0001210	XP_002881496.1	CARHR132380
OG0001210	XP_002877920.1	CARHR163350
OG0001211	XP_020875343.1	CARHR237230
OG0001211	XP_020886245.1	CARHR110180
OG0001212	XP_020883132.1	CARHR135110, CARHR135120
OG0001213	XP_020871322.1	CARHR079840
OG0001213	XP_020886546.1, XP_020888848.1, XP_020886545.1	CARHR079790, CARHR079820
OG0001214	XP_020889431.1	CARHR081370
OG0001214	XP_020866366.1	CARHR182320
OG0001215	XP_002882615.1	CARHR083720
OG0001215	XP_002889206.1	CARHR248300
OG0001216	XP_002883153.1	CARHR094230
OG0001216	XP_020869854.1, XP_020869205.1	CARHR039290
OG0001217	XP_002869634.1, XP_002869633.1	CARHR233520, CARHR233530
OG0001218	XP_002874615.1	CARHR032790
OG0001218	XP_002872503.1	CARHR256510
OG0001219	XP_020878501.1	CARHR035670, CARHR204280
OG0001220	XP_002869341.1	CARHR239090
OG0001220	XP_020872428.1	CARHR112510
OG0001221	XP_020871922.1	CARHR173870
OG0001222	XP_020887910.1	CARHR108380
OG0001222	XP_002867039.2	CARHR244440
OG0001223	XP_002893387.1	CARHR025280
OG0001225	XP_002869821.1	CARHR229410
OG0001231	XP_002882274.1	CARHR077130
OG0001231	XP_002871746.1	CARHR196150
OG0001232	XP_020878035.1	CARHR198420
OG0001232	XP_002889041.1	CARHR069150
OG0001233	XP_020884555.1, XP_020891048.1	CARHR049940
OG0001233	XP_020873615.1	CARHR234700
OG0001234	XP_002874240.1	CARHR188400
OG0001234	XP_002873480.1	CARHR202440
OG0001235	XP_020877269.1	CARHR204390
OG0001235	XP_002864862.1	CARHR277590
OG0001236	XP_020888763.1	CARHR082290
OG0001236	XP_020878329.1	CARHR251210
OG0001237	XP_020885348.1, XP_020873860.1	CARHR122520
OG0001237	XP_002873234.1	CARHR207170
OG0001238	XP_002886779.1	CARHR057170
OG0001238	XP_020890908.1, XP_020890909.1	CARHR056310
OG0001239	XP_020884431.1	CARHR127070, CARHR127020, CARHR127050
OG0001240	XP_020868344.1	CARHR004190
OG0001240	XP_020885723.1	CARHR126580
OG0001241	XP_002889525.1	CARHR004200, CARHR004210
OG0001241	XP_002879409.1	CARHR126620
OG0001242	XP_020866792.1	CARHR028220, CARHR028210
OG0001242	XP_020884233.1	CARHR128110
OG0001243	XP_002874414.2, XP_002865704.2	CARHR184970
OG0001243	XP_020876953.1	CARHR185660, CARHR185650, CARHR185640
OG0001244	XP_020879771.1	CARHR280030
OG0001244	XP_002877709.1	CARHR158950
OG0001245	XP_020869743.1, XP_020869759.1	CARHR277670
OG0001245	XP_020871483.1, XP_020869769.1, XP_020872362.1	CARHR277660
OG0001246	XP_020890875.1	CARHR059970
OG0001247	XP_002864755.1	CARHR275540
OG0001247	XP_002873305.1	CARHR205800
OG0001248	XP_020877377.1	CARHR191470
OG0001248	XP_002877319.1	CARHR152900
OG0001249	XP_020882218.1	CARHR272220
OG0001249	XP_002873295.1	CARHR206080
OG0001250	XP_002894649.1	CARHR055110
OG0001251	XP_002866017.1	CARHR267290
OG0001252	XP_020878256.1	CARHR250770
OG0001252	XP_020867327.1	CARHR002240
OG0001253	XP_020877407.1	CARHR251080
OG0001254	XP_020888858.1	CARHR084130
OG0001254	XP_020876824.1	CARHR210280
OG0001255	XP_020879561.1	CARHR210490
OG0001255	XP_020885883.1	CARHR084010
OG0001256	XP_020890451.1	CARHR072460
OG0001256	XP_002890191.1	CARHR017330
OG0001257	XP_020890173.1	CARHR070350
OG0001257	XP_020868898.1	CARHR021610
OG0001257	XP_020870275.1	CARHR021620
OG0001258	XP_020889650.1	CARHR068630
OG0001258	XP_020889649.1	CARHR068620
OG0001259	XP_002889016.1	CARHR068550
OG0001259	XP_020867723.1	CARHR020030
OG0001260	XP_020888615.1	CARHR107550
OG0001260	XP_020875128.1	CARHR243760
OG0001261	XP_002886126.2	CARHR107970
OG0001262	XP_002891844.1	CARHR045270
OG0001262	XP_002884964.1	CARHR088000
OG0001263	XP_002879601.1	CARHR130610
OG0001264	XP_002863206.1	CARHR218190
OG0001264	XP_002882532.1	CARHR082140
OG0001265	XP_002885514.1	CARHR098490
OG0001265	XP_020874326.1	CARHR221350
OG0001266	XP_020869698.1	CARHR019470
OG0001266	XP_020889791.1	CARHR067950
OG0001267	XP_002867393.1, XP_020872233.1	CARHR237560, CARHR237550
OG0001267	XP_020872341.1	CARHR237540
OG0001268	XP_002888691.1	CARHR061770
OG0001268	XP_002888690.2	CARHR061760
OG0001269	XP_020871883.1, XP_002862806.1, XP_020872928.1, XP_020887557.1	CARHR177010, CARHR177150
OG0001269	XP_020871066.1	CARHR177230
OG0001270	XP_002891569.1	CARHR040390
OG0001271	XP_020869528.1, XP_020869526.1, XP_002891573.1	CARHR040410
OG0001271	XP_020888588.1	CARHR095530
OG0001272	XP_020867110.1	CARHR040420
OG0001272	XP_020888584.1	CARHR095540
OG0001273	XP_002874678.1	CARHR255360
OG0001273	XP_002869770.1	CARHR231000
OG0001274	XP_002889494.1	CARHR003510
OG0001275	XP_002886353.1	CARHR290110
OG0001276	XP_002869856.1	CARHR228740
OG0001276	XP_020878717.1, XP_002874812.1	CARHR252820
OG0001277	XP_020876375.1	CARHR252660
OG0001277	XP_020873301.1	CARHR228490
OG0001278	XP_020885384.1	CARHR141180
OG0001278	XP_020881555.1	CARHR171720
OG0001279	XP_020881272.1	CARHR170250
OG0001279	XP_020884277.1	CARHR181850, CARHR139260
OG0001280	XP_020884457.1	CARHR137600
OG0001280	XP_020880497.1	CARHR168910
OG0001282	XP_020879837.1	CARHR168200
OG0001282	XP_020884223.1	CARHR137270
OG0001283	XP_020887499.1	CARHR082830
OG0001283	XP_002876343.1	CARHR166020
OG0001284	XP_020880280.1	CARHR165670
OG0001284	XP_002881679.1	CARHR134680
OG0001285	XP_020883041.1	CARHR266110
OG0001285	XP_020871564.1	CARHR266120
OG0001285	XP_002869542.1	CARHR235490
OG0001286	XP_020883370.1	CARHR131540
OG0001286	XP_002877909.1	CARHR289320
OG0001287	XP_020888708.1	CARHR108560
OG0001287	XP_020874362.1	CARHR244600
OG0001288	XP_002878766.1	CARHR117510
OG0001288	XP_002869325.1	CARHR239320
OG0001289	XP_020882650.1	CARHR139770
OG0001289	XP_002881964.1, XP_002881963.1	CARHR139760
OG0001290	XP_020888032.1	CARHR082110
OG0001290	XP_020887079.1	CARHR082120
OG0001291	XP_020889501.1	CARHR208060
OG0001292	XP_002883017.1	CARHR091910
OG0001292	XP_002883018.1	CARHR091920, CARHR150150, CARHR150160, CARHR091930
OG0001294	XP_002890061.2	CARHR173350, CARHR014550
OG0001295	XP_020868107.1	CARHR018120
OG0001295	XP_020891089.1	CARHR065660
OG0001296	XP_002870864.1	CARHR214500
OG0001296	XP_002870865.1	CARHR214580
OG0001297	XP_002877143.1, XP_002877144.1	CARHR152000
OG0001298	XP_002893438.1	CARHR026470
OG0001298	XP_002887152.1	CARHR060560
OG0001299	XP_002881339.1	CARHR128590
OG0001299	XP_002881014.1	CARHR122010
OG0001299	XP_002881338.1	CARHR128580
OG0001300	XP_020887261.1, XP_020878911.1	CARHR083870
OG0001300	XP_020888335.1	CARHR087090
OG0001301	XP_002863385.1	CARHR174530
OG0001303	XP_020882038.1	CARHR154250, CARHR156690
OG0001304	XP_020886744.1, XP_020884781.1	CARHR103350
OG0001304	XP_020883969.1	CARHR120280
OG0001304	XP_020865828.1	CARHR289810, CARHR102250
OG0001305	XP_020869341.1	CARHR015450
OG0001305	XP_002875082.1	CARHR144150
OG0001306	XP_020887847.1	CARHR076030
OG0001306	XP_020876572.1	CARHR197850
OG0001307	XP_020887565.1	CARHR075720
OG0001307	XP_020879196.1	CARHR198250
OG0001308	XP_002871462.1	CARHR288950
OG0001309	XP_020879519.1	CARHR215540, CARHR204980
OG0001309	XP_020877403.1	CARHR190400
OG0001310	XP_020867785.1	CARHR007710
OG0001310	XP_002880987.2	CARHR121500
OG0001311	XP_020867692.1	CARHR005410
OG0001311	XP_020878140.1, XP_020884120.1	CARHR125210
OG0001312	XP_002879480.1	CARHR128250
OG0001312	XP_020867609.1	CARHR028520
OG0001313	XP_002883250.2, XP_002862845.1, XP_002885384.1	CARHR292130
OG0001314	XP_002892802.1	CARHR014820
OG0001315	XP_020866589.1	CARHR014220
OG0001315	XP_002875208.1	CARHR145850
OG0001316	XP_002866458.1	CARHR275600
OG0001316	XP_020869053.1	CARHR027040
OG0001317	XP_002874143.1	CARHR189880
OG0001317	XP_020879955.1	CARHR157610
OG0001318	XP_020882498.1	CARHR273970
OG0001319	XP_020871232.1	CARHR273360
OG0001319	XP_002875766.1	CARHR154470
OG0001320	XP_002864482.2	CARHR270570
OG0001321	XP_020879798.1	CARHR268980
OG0001321	XP_020873306.1	CARHR234220
OG0001322	XP_020881571.1	CARHR171520
OG0001322	XP_002892041.1	CARHR000520
OG0001322	XP_020883590.1	CARHR118010, CARHR118000
OG0001323	XP_002873259.1	CARHR206710
OG0001323	XP_020888326.1	CARHR086340
OG0001324	XP_020875992.1	CARHR206930
OG0001324	XP_020888270.1	CARHR086120
OG0001325	XP_002871203.1	CARHR206900
OG0001325	XP_020888311.1	CARHR086100
OG0001326	XP_002873173.1	CARHR208410
OG0001326	XP_020886853.1	CARHR085240
OG0001327	XP_020874452.1	CARHR272970
OG0001327	XP_002886356.1	CARHR046710
OG0001328	XP_002887124.1	CARHR060070
OG0001328	XP_020890428.1	CARHR072600, CARHR072630
OG0001329	XP_002887683.1	CARHR022080, CARHR070960
OG0001329	XP_002890456.2	CARHR022090
OG0001330	XP_002893174.1	CARHR021910
OG0001330	XP_020890517.1	CARHR070710
OG0001331	XP_002894518.1	CARHR234030, CARHR045360
OG0001331	XP_002882817.1	CARHR087950
OG0001332	XP_020870918.1	CARHR044570
OG0001332	XP_002885001.1	CARHR088800
OG0001334	XP_020872623.1	CARHR220350
OG0001335	XP_020885909.1	CARHR221000, CARHR098870
OG0001336	XP_002868270.1	CARHR221020
OG0001336	XP_002883384.1	CARHR098850, CARHR098840
OG0001337	XP_020872273.1	CARHR221370
OG0001338	XP_002888909.1	CARHR066120
OG0001338	XP_002892967.1	CARHR018400
OG0001339	XP_002889996.1	CARHR013640
OG0001339	XP_020882051.1	CARHR146650
OG0001340	XP_020879198.1	CARHR176140
OG0001341	XP_020886167.1	CARHR176530
OG0001341	XP_020871903.1	CARHR176600
OG0001342	XP_020882070.1	CARHR176730
OG0001342	XP_020874975.1	CARHR226140
OG0001343	XP_020874997.1	CARHR226390
OG0001343	XP_020877464.1	CARHR177350
OG0001344	XP_002894316.1	CARHR041600
OG0001344	XP_002879579.1	CARHR130100
OG0001345	XP_002894388.1	CARHR042700
OG0001345	XP_002882959.1	CARHR090840
OG0001346	XP_020868052.1	CARHR043100
OG0001346	XP_020888633.1	CARHR090560
OG0001347	XP_020874304.1, XP_020874306.1	CARHR225780
OG0001348	XP_002877780.1	CARHR160490
OG0001348	XP_002866757.1	CARHR281300
OG0001349	XP_020876274.1	CARHR255440
OG0001349	XP_020873605.1	CARHR231150
OG0001350	XP_002867752.1	CARHR229740
OG0001350	XP_002872643.1	CARHR254140, CARHR184900, CARHR229750, CARHR254150
OG0001351	XP_002869923.1	CARHR227380
OG0001351	XP_002869924.1	CARHR227370
OG0001352	XP_002885685.1	CARHR101510
OG0001352	XP_002886246.1, XP_020889049.1	CARHR109540, CARHR105300
OG0001353	XP_002876682.2	CARHR172920
OG0001353	XP_020883983.1	CARHR142880
OG0001354	XP_002878451.1, XP_002886991.1	CARHR172670
OG0001354	XP_002862669.2	CARHR172720
OG0001355	XP_002882705.1	CARHR085530, CARHR129340
OG0001356	XP_002876537.2	CARHR170430
OG0001357	XP_002879999.1	CARHR137790
OG0001358	XP_002876390.1	CARHR167110
OG0001358	XP_002879915.1	CARHR136290
OG0001359	XP_020880008.1	CARHR159440, CARHR166820, CARHR159430, CARHR166840
OG0001360	XP_002868751.1	CARHR263790
OG0001362	XP_020865594.1	CARHR183280
OG0001362	XP_002882517.1	CARHR081850
OG0001364	XP_020868812.1	CARHR034010
OG0001364	XP_002893217.2	CARHR022680
OG0001365	XP_002891012.2	CARHR032190
OG0001365	XP_020877247.1	CARHR256010
OG0001366	XP_020887906.1	CARHR079760
OG0001366	XP_020876904.1	CARHR186160
OG0001368	XP_020880552.1	CARHR169240
OG0001368	XP_020883919.1	CARHR142140
OG0001369	XP_002862455.2	CARHR138890
OG0001371	XP_002884427.1	CARHR078210
OG0001371	XP_002873882.1	CARHR194770
OG0001372	XP_020889558.1	CARHR078700
OG0001373	XP_020876162.1	CARHR208230
OG0001373	XP_020887374.1	CARHR057350
OG0001373	XP_020886842.1	CARHR085320
