Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat
OG0002077	XP_002892430.1	AL1G18380
OG0002078	XP_020866809.1	AL1G15350
OG0002078	XP_002881209.1	AL4G27350
OG0002079	XP_020869721.1	AL1G15100
OG0002080	XP_002892185.1	AL1G13450
OG0002080	XP_020871949.1	AL8G15890
OG0002081	XP_002863736.1	AL8G18280
OG0002081	XP_020868232.1	AL1G53390
OG0002082	XP_002892801.1	AL1G26250
OG0002082	XP_002875146.1	AL5G12020
OG0002083	XP_020883788.1	AL8G44700
OG0002083	XP_020887642.1	AL3G51730
OG0002084	XP_020879863.1	AL5G29980
OG0002084	XP_002865003.2	AL8G43900
OG0002085	XP_002866300.1	AL8G35260, AL139U10010
OG0002085	XP_002864928.1	AL8G42380
OG0002086	XP_020879849.1	AL8G38550
OG0002086	XP_020875825.1	AL6G17610
OG0002087	XP_020880299.1	AL5G29400
OG0002087	XP_020879175.1	AL6G36250
OG0002088	XP_020878661.1	AL6G36360
OG0002088	XP_020878662.1	AL6G36400
OG0002089	XP_002877256.1	AL5G20980
OG0002089	XP_002873999.1	AL6G32040
OG0002090	XP_002874104.1	AL6G34070
OG0002090	XP_020879685.1	AL5G23410
OG0002091	XP_002875777.1	AL5G25190
OG0002091	XP_020885428.1	AL8G36220
OG0002092	XP_020873374.1	AL7G27030
OG0002092	XP_020872759.1	AL161U10010
OG0002092	XP_020880675.1	nbis-gene-2164
OG0002092	XP_020871460.1	AL8G33120
OG0002093	XP_020873580.1	AL7G26870
OG0002093	XP_002864489.1	AL8G32810
OG0002094	XP_020873623.1	AL7G26520
OG0002094	XP_020885990.1	AL8G31910
OG0002095	XP_002869594.1	AL7G26120
OG0002096	XP_002864361.1	AL8G30330
OG0002096	XP_002867528.1	AL7G25810
OG0002097	XP_020876277.1	AL6G50340
OG0002097	XP_020870643.1	AL1G12530
OG0002098	XP_020873147.1	AL7G16870
OG0002099	XP_002871180.1	nbis-gene-1471
OG0002100	XP_020878565.1	AL6G10960
OG0002100	XP_020887082.1	AL3G20070
OG0002101	XP_002882278.1	AL3G12790
OG0002101	XP_020878966.1	AL6G10660
OG0002102	XP_002877025.1	AL5G16310
OG0002102	XP_020872140.1	AL7G48700
OG0002103	XP_020890274.1	AL2G16880
OG0002103	XP_020870060.1	AL1G27290
OG0002104	XP_020870647.1	AL1G27860
OG0002104	XP_020889875.1	AL2G40980
OG0002105	XP_002890153.1	AL1G28320
OG0002105	XP_002889262.1	AL2G40340
OG0002106	XP_002890166.2	nbis-gene-93
OG0002106	XP_020891697.1	AL2G39850
OG0002107	XP_002889236.1	AL2G39680
OG0002107	XP_020868560.1	AL1G28620
OG0002108	XP_002889235.1	AL2G39640
OG0002108	XP_002890169.1	AL1G28660
OG0002109	XP_020866041.1	AL1G35590
OG0002109	XP_002889173.1	AL2G38290
OG0002110	XP_020867682.1	AL1G34520
OG0002111	XP_002893149.1	AL1G34120
OG0002111	XP_020891042.1	AL2G36810
OG0002112	XP_002894514.1	AL1G63680
OG0002112	XP_020886844.1	AL3G25230
OG0002113	XP_020867877.1	AL1G63560
OG0002113	XP_020887159.1	AL3G25290
OG0002114	XP_020888589.1	AL3G25480
OG0002114	XP_002891828.1	AL1G63350
OG0002115	XP_002888613.1	AL2G26310
OG0002115	XP_002890710.1	AL1G40540
OG0002116	XP_020874691.1	AL7G42640
OG0002116	XP_020886452.1	AL3G38820
OG0002117	XP_020873062.1	AL7G41850
OG0002117	XP_020885931.1	AL3G37920
OG0002118	XP_002870309.1	AL7G41630
OG0002118	XP_002885543.1	AL3G37520
OG0002119	XP_020875325.1	AL7G40520
OG0002119	XP_020887502.1	AL3G36310
OG0002120	XP_020870347.1	AL1G52050
OG0002120	XP_020869808.1	AL1G51930
OG0002120	XP_002869583.1	AL7G25820
OG0002121	XP_020873126.1	AL7G36380
OG0002121	XP_020872196.1	AL7G40180
OG0002121	XP_002863399.1	AL8G11810
OG0002122	XP_002870230.1	AL7G39950
OG0002122	XP_020886041.1	AL3G35610
OG0002123	XP_002868898.1	AL7G11270
OG0002124	XP_002890232.2	AL1G29830
OG0002124	XP_020891522.1	AL2G32430
OG0002125	XP_002886018.1	AL3G48360
OG0002125	XP_002867423.1	AL7G23310
OG0002126	XP_020881413.1, XP_020881398.1	AL5G18390, AL5G18410
OG0002127	XP_002870676.1	AL7G48910
OG0002128	XP_020868556.1	AL8G13060
OG0002128	XP_002867964.1	AL7G35140
OG0002129	XP_002894320.1	AL1G59390
OG0002129	XP_020885851.1	AL3G35030
OG0002130	XP_020888689.1	AL3G28350
OG0002130	XP_002894393.1	AL1G60940
OG0002131	XP_020885164.1	AL4G30680
OG0002131	XP_002865177.1	AL8G11820
OG0002132	XP_002877133.1	AL5G18540
OG0002132	XP_002877148.1	AL5G18840
OG0002133	XP_002867695.1	AL7G29690
OG0002133	XP_020873791.1	AL7G29680
OG0002134	XP_020872151.1	AL7G16810
OG0002134	XP_020889421.1	AL3G47480
OG0002135	XP_002884009.1	AL3G49230
OG0002135	XP_020874612.1	AL7G16340
OG0002136	XP_020873591.1	AL7G29400
OG0002136	XP_002874660.1	AL6G45060
OG0002137	XP_020873823.1	AL7G29490
OG0002138	XP_020872657.1	AL7G19310
OG0002138	XP_020882664.1	AL4G17060
OG0002139	XP_002893786.1	AL1G48290
OG0002139	XP_002891065.1	AL1G48270
OG0002139	XP_002869811.1	AL7G30890
OG0002140	XP_020873111.1	AL7G33950
OG0002141	XP_020872209.1	AL7G33940
OG0002141	XP_020868622.1	AL8G14690
OG0002142	XP_002863558.1	AL8G15060
OG0002142	XP_002869935.1	AL7G33530
OG0002143	XP_020872174.1	AL7G33040
OG0002143	XP_002872758.1	AL6G49040
OG0002144	XP_002872452.1	AL6G43150
OG0002144	XP_002891197.1	AL1G50560
OG0002145	XP_020882156.1	AL5G45570
OG0002145	XP_002880319.1	AL4G47260
OG0002146	XP_020884624.1	AL4G45720
OG0002146	XP_020880822.1	AL5G44210
OG0002147	XP_020882533.1	AL5G43930
OG0002147	XP_002880222.1	AL4G45420
OG0002148	XP_020880420.1	AL5G43220
OG0002148	XP_020885589.1	AL4G44640
OG0002149	XP_020880884.1	AL5G42500
OG0002149	XP_002878326.1	AL5G42490
OG0002150	XP_020880173.1	AL5G39720
OG0002150	XP_020885170.1	AL4G40320
OG0002151	XP_002879905.1	AL4G39030
OG0002151	XP_020880084.1	AL5G38250
OG0002152	XP_020880238.1	AL5G38110
OG0002152	XP_002879912.1	AL4G39120
OG0002153	XP_002878085.1	AL5G37760
OG0002153	XP_002881741.1	AL4G38690
OG0002154	XP_002881605.1	AL4G35900
OG0002154	XP_002877961.1	AL5G35230
OG0002155	XP_002881490.1	AL4G33470
OG0002155	XP_002877914.1	AL5G34280
OG0002156	XP_002865978.1	AL8G28270
OG0002156	XP_002869548.1	AL7G24980
OG0002157	XP_002885173.1	AL3G29830
OG0002157	XP_020872617.1	AL7G39050
OG0002158	XP_020876339.1	AL9U10320
OG0002158	XP_020886497.1	AL3G39890
OG0002159	XP_020884350.1	AL4G20430
OG0002159	XP_020881850.1	AL5G25940
OG0002159	XP_020881715.1	AL5G26410
OG0002160	XP_002888611.1	AL2G26270
OG0002160	XP_002890712.1	AL1G40570
OG0002161	XP_020865969.1	AL2G26850
OG0002161	XP_002890697.1	AL1G40210
OG0002162	XP_002884154.1	AL3G52120
OG0002162	XP_020874569.1	AL7G21810
OG0002163	XP_020885015.1	AL4G39240
OG0002163	XP_002879918.1	AL4G39260
OG0002164	XP_020885734.1	AL4G37660
OG0002165	XP_020885556.1	AL4G33890
OG0002166	XP_020877952.1	AL8G10930
OG0002167	XP_020885000.1	AL4G10380
OG0002167	XP_020875421.1	AL7G10800
OG0002168	XP_020883982.1	AL4G10600
OG0002168	XP_002866830.1	AL7G11010
OG0002169	XP_002868885.2	AL7G11050
OG0002169	XP_020884193.1	AL4G10660
OG0002170	XP_020884291.1	AL4G11490
OG0002170	XP_020885608.1	AL4G11110
OG0002171	XP_020876773.1	AL6G44160
OG0002172	XP_020876929.1	AL6G40350
OG0002172	XP_002882384.1	AL3G15240
OG0002174	XP_002862253.2	AL825U10020
OG0002174	XP_020883902.1	AL4G44930
OG0002174	XP_020870071.1	AL1G10510
OG0002175	XP_002869619.2	AL7G26710
OG0002175	XP_020878905.1	AL6G35060
OG0002176	XP_020887210.1, XP_020873809.1	AL88U10030, AL3G16390
OG0002176	XP_020878698.1	AL6G38920
OG0002177	XP_020888782.1	AL3G18100
OG0002177	XP_020890474.1	AL8G22390
OG0002178	XP_020871929.1	AL8G21740
OG0002178	XP_002882515.1	AL3G18420
OG0002179	XP_020887356.1	AL3G19640
OG0002179	XP_002882576.1	AL3G19620
OG0002180	XP_002884884.1	AL3G23760
OG0002180	XP_002873278.1	AL6G16880
OG0002181	XP_020868386.1	AL1G54830
OG0002181	XP_020889207.1	AL3G30520
OG0002182	XP_020888849.1	AL3G31330
OG0002182	XP_020867041.1	AL1G55300
OG0002183	XP_020870612.1	AL1G56000
OG0002183	XP_020887395.1	AL3G31700
OG0002184	XP_002885307.1	AL3G32720
OG0002184	XP_020866711.1	AL1G57200
OG0002185	XP_020882234.1	AL5G18710
OG0002185	XP_020872961.1	AL7G50540
OG0002186	XP_020886727.1	AL3G36840
OG0002186	XP_002862235.1, XP_002885301.1	AL3G32630
OG0002186	XP_002870278.1	AL7G41020
OG0002187	XP_020872210.1	nbis-gene-1894
OG0002187	XP_020890942.1	AL2G19730
OG0002188	XP_020867883.1	AL1G19400
OG0002188	XP_020869486.1	AL1G65290
OG0002189	XP_020881688.1	AL5G33020
OG0002189	XP_002879581.1	AL4G31970
OG0002190	XP_002881700.1	AL4G37890
OG0002191	XP_002892302.1	AL1G15470
OG0002191	XP_002879349.1	AL4G27210
OG0002192	XP_020867794.1	AL1G21080
OG0002192	XP_020885199.1	AL4G15180
OG0002193	XP_020890279.1	AL2G17280
OG0002193	XP_020866468.1	AL1G21160
OG0002194	XP_002886648.1	AL2G16810
OG0002194	XP_002892573.1	AL1G21260
OG0002195	XP_020890035.1	AL2G15560
OG0002195	XP_020866950.1	AL1G21910
OG0002196	XP_002886451.1	AL2G12950
OG0002196	XP_002892683.1	AL1G23640
OG0002197	XP_002890085.1	AL1G27100
OG0002197	XP_020882522.1	AL5G10210
OG0002197	XP_020880633.1	AL5G10330
OG0002198	XP_002890547.1	AL1G36560
OG0002198	XP_002888817.1	AL2G30620
OG0002199	XP_020891382.1	AL2G30590
OG0002199	XP_002890550.1	AL1G36600
OG0002200	XP_002887348.2	AL2G30720
OG0002200	XP_020891143.1	nbis-gene-594
OG0002201	XP_002888017.1	AL2G13300
OG0002201	XP_020890536.1	AL2G13310
OG0002201	XP_002888019.1	AL2G13320
OG0002202	XP_020874351.1	AL7G47140
OG0002202	XP_002887878.1	AL2G10250
OG0002203	XP_020873130.1	AL7G22890
OG0002203	XP_002883976.1	AL3G48570
OG0002204	XP_020885239.1	AL4G17500
OG0002205	XP_020889725.1	AL2G23720
OG0002207	XP_020884877.1	AL4G11070
OG0002207	XP_020891557.1	AL2G17670
OG0002207	XP_002866844.1	AL7G11360
OG0002208	XP_020875302.1	AL7G13340
OG0002208	XP_002878661.1	AL4G12970
OG0002209	XP_020874800.1	AL7G16970
OG0002209	XP_020873884.1	AL7G17490
OG0002210	XP_020872187.1	AL7G17010
OG0002210	XP_020889502.1	AL3G46800
OG0002211	XP_020874396.1	AL7G42720
OG0002211	XP_002883467.1	AL3G38840
OG0002212	XP_020867903.1	AL1G40770
OG0002212	XP_002890724.1	AL1G40760
OG0002213	XP_020873480.1	AL7G25990
OG0002213	XP_002862180.1, XP_002864375.1	AL8G30620
OG0002214	XP_002888560.1	AL2G25220
OG0002214	XP_020874197.1	AL7G52650
OG0002215	XP_020871384.1	AL7G44230, AL8G41540, AL6G42180, AL1G57370, AL9U11260, AL8G20420, AL3G37730, AL77U10050, AL5G23190, AL2G18430, AL5G19660, AL2G23310, AL1G61990, AL5G12210, AL6G50310, AL6G47400, AL3G40530, AL3G48080, AL8G45380, AL8G13670, AL3G51350, AL8G23100, AL1G65180, AL6G42720, AL3G40830, AL8G16100, AL1G62480, AL4G24160, AL3G38130, AL1G47480, AL9U10200, AL2G23330, AL3G38760, AL1G50400, AL1G67260, AL6G35790, AL3G44700, AL8G20710, AL5G20120, AL5G20760, AL7G34300, AL7G51890
OG0002216	XP_002869277.2	AL7G19460
OG0002216	XP_020875445.1	AL7G19470
OG0002221	XP_020870595.1	AL1G46820
OG0002221	XP_002862198.1, XP_002881383.1	AL941U10010, AL4G31280
OG0002222	XP_020869630.1	AL1G42330
OG0002222	XP_020866010.1	AL1G42320
OG0002223	XP_002873830.1	AL6G28540
OG0002223	XP_020871476.1	AL3G12980, AL288U10020
OG0002224	XP_020871229.1	AL8G24020
OG0002224	XP_002869709.1	AL7G28570
OG0002225	XP_020878482.1	AL6G25380
OG0002225	XP_020886217.1	AL3G10610
OG0002226	XP_002873629.1	AL6G24450
OG0002227	XP_020884183.1	AL4G21120
OG0002227	XP_002889692.1	AL1G18830
OG0002228	XP_002879183.2	nbis-gene-1031
OG0002228	XP_020869393.1	AL1G18080
OG0002229	XP_020882956.1	AL4G27310
OG0002229	XP_020869875.1	AL1G15440
OG0002230	XP_002892210.1	AL1G13940
OG0002230	XP_020871105.1	AL349U10010
OG0002231	XP_002892201.1	AL1G13820
OG0002232	XP_002863599.1	AL8G15720
OG0002232	XP_020869259.1	AL1G13320
OG0002233	XP_020869569.1	AL1G13160
OG0002234	XP_002867623.1	AL7G28000
OG0002234	XP_020882877.1	AL8G25520
OG0002235	XP_020873436.1	AL7G27930
OG0002235	XP_002890878.1	AL1G44600
OG0002236	XP_002865901.1	AL8G26580
OG0002237	XP_002893549.1	AL1G42870
OG0002237	XP_002881324.1	AL4G30030
OG0002238	XP_002884115.2	AL3G51290
OG0002238	XP_020867225.1	AL1G44150
OG0002239	XP_002881362.1	nbis-gene-1081
OG0002239	XP_002893647.1	AL1G44980
OG0002240	XP_002893845.1	AL1G49630
OG0002240	XP_002881406.1	AL4G31690
OG0002241	XP_020869919.1	AL1G46580
OG0002241	XP_002881394.1	AL4G31440
OG0002242	XP_002866718.1	AL8G44290
OG0002242	XP_002877738.1	AL5G30440
OG0002243	XP_020878612.1	AL6G17570
OG0002243	XP_002866456.1	AL8G38570
OG0002244	XP_002883607.1	AL3G41380
OG0002244	XP_020886045.1, XP_002862645.1	AL3G41390
OG0002244	XP_020871780.1	AL215U10060, AL269U10010
OG0002244	XP_020889025.1	AL3G41400
OG0002244	XP_020872197.1, XP_002866397.1	AL8G37440
OG0002244	XP_002862646.1	AL269U10030
OG0002244	XP_020871746.1	AL269U10040
OG0002245	XP_002874205.1	AL6G36130
OG0002246	XP_020878286.1	AL6G32110
OG0002247	XP_020875879.1	AL6G32310
OG0002247	XP_002877267.1	AL5G21230
OG0002248	XP_002863177.1	AL9U11100, AL9U11080
OG0002248	XP_002863180.1	AL9U11120
OG0002248	XP_020875961.1	AL9U11190
OG0002249	XP_002866345.1	AL8G36260
OG0002249	XP_002877458.1	AL5G24910
OG0002250	XP_002866284.1	nbis-gene-2169
OG0002250	XP_020886966.1	AL3G10800
OG0002251	XP_020868444.1	AL8G33610
OG0002251	XP_020873385.1	AL7G27240
OG0002252	XP_002869617.1	AL7G26690
OG0002252	XP_020880931.1	AL8G32460
OG0002253	XP_002866062.1	AL8G30240
OG0002253	XP_002869581.1	AL7G25730
OG0002254	XP_020869078.1	AL1G12520
OG0002254	XP_020877396.1	AL6G50380
OG0002255	XP_020888008.1	AL3G49330
OG0002255	XP_020873404.1	AL7G31960
OG0002256	XP_020888291.1	AL3G22830
OG0002256	XP_020876014.1	AL6G15720
OG0002257	XP_020887854.1	AL3G22520
OG0002257	XP_020875962.1	AL6G15220
OG0002258	XP_002879747.1	AL4G35730
OG0002258	XP_020876507.1	AL6G13070
OG0002259	XP_002870999.1	AL6G12190
OG0002259	XP_020877579.1	AL6G12220
OG0002259	XP_002871001.1	nbis-gene-1441
OG0002260	XP_002879732.1	AL4G35230
OG0002261	XP_020872456.1	AL7G48710
OG0002261	XP_002877027.1	AL5G16340
OG0002262	XP_002889306.1	AL2G41360
OG0002262	XP_002890101.1	AL1G27480
OG0002263	XP_020891379.1	AL2G41200
OG0002263	XP_020867926.1	AL1G27620
OG0002264	XP_002890132.1	AL1G28030
OG0002265	XP_020869441.1	AL1G35620
OG0002265	XP_002887715.1	AL2G38340
OG0002266	XP_020891016.1	AL2G37970
OG0002266	XP_020867046.1	AL1G35380, AL1G35190
OG0002267	XP_002889109.1	AL2G37070
OG0002267	XP_020869336.1	AL1G34410
OG0002268	XP_002890389.1, XP_002887628.1	AL1G33390
OG0002269	XP_020891357.1	AL2G35430
OG0002269	XP_002890352.1	AL1G32470
OG0002270	XP_020867332.1	AL1G32380
OG0002270	XP_020891185.1	AL2G35310
OG0002271	XP_002878314.1	AL5G42240
OG0002271	XP_002894516.1	AL1G63710
OG0002272	XP_002882822.2	AL3G25300
OG0002272	XP_002894508.1	AL1G63550
OG0002273	XP_002882828.1	AL3G25420
OG0002273	XP_020868902.1	AL1G63410
OG0002274	XP_002883421.1	AL3G37960
OG0002274	XP_002868289.1	AL7G41880
OG0002275	XP_002868281.1	AL7G41700
OG0002275	XP_002868282.1	AL7G41710
OG0002276	XP_002888928.1	AL2G33180
OG0002276	XP_002892974.1	AL1G30290
OG0002277	XP_020865978.1	AL2G28180
OG0002277	XP_002890666.1	AL1G39440
OG0002278	XP_020874883.1	AL7G24170
OG0002278	XP_002886294.1	AL3G53710
OG0002279	XP_020872483.1	AL7G23750
OG0002279	XP_002885991.1	AL3G47830
OG0002280	XP_020874720.1	AL7G49370
OG0002280	XP_002877065.1	AL5G17050
OG0002281	XP_020881211.1	AL5G16650
OG0002281	XP_020874926.1	AL7G49020
OG0002282	XP_020867865.1	AL1G25220
OG0002282	XP_002875297.1	AL5G14700
OG0002283	XP_020887132.1	AL3G33000
OG0002283	XP_002891540.1	AL1G57430
OG0002284	XP_020868003.1	AL1G60440
OG0002284	XP_020888096.1	AL3G28750
OG0002285	XP_020883126.1	AL4G30300
OG0002285	XP_020885763.1	AL4G30310
OG0002286	XP_020884644.1	AL4G19090
OG0002287	XP_020872208.1	AL7G38160
OG0002287	XP_002881409.1	AL4G31800
OG0002288	XP_020871588.1	AL8G11670
OG0002288	XP_002868030.1	AL7G36590
OG0002289	XP_002870109.1	AL7G37360
OG0002289	XP_020889763.1	AL8G10590
OG0002290	XP_002884799.1	AL3G22040
OG0002290	XP_002872443.2	AL6G43000
OG0002290	XP_002884800.1	AL3G22050
OG0002291	XP_020879769.1	AL5G30730
OG0002291	XP_020866548.1	AL1G52230
OG0002292	XP_020879999.1	AL5G30260
OG0002292	XP_002877730.1	AL5G30250
OG0002293	XP_002867714.1	AL7G30120
OG0002293	XP_002865853.1	AL8G25580
OG0002294	XP_020891554.1	AL8G14880
OG0002294	XP_020874727.1	AL7G33660
OG0002295	XP_002872359.1	AL6G41440
OG0002295	XP_002890069.1	AL1G26650
OG0002296	XP_002879567.1	AL4G31770
OG0002296	XP_002862393.2	AL575U10010
OG0002296	XP_020873153.1	AL7G37930
OG0002297	XP_020883654.1	AL4G47730
OG0002297	XP_002876705.1	AL5G45890
OG0002298	XP_020883116.1	AL4G45020
OG0002298	XP_020881562.1	AL5G43510
OG0002299	XP_002876402.2	AL5G38690
OG0002299	XP_020883888.1	AL4G39530
OG0002300	XP_020882576.1	AL5G37750
OG0002300	XP_002881740.2	AL4G38680
OG0002301	XP_020883942.1	AL4G37850
OG0002301	XP_020880437.1	AL5G37260
OG0002302	XP_020883744.1	AL4G36870
OG0002302	XP_020880106.1	AL5G36440
OG0002303	XP_020880443.1	AL5G36140
OG0002303	XP_020883274.1	AL4G36590
OG0002304	XP_002892818.1	AL1G26580
OG0002304	XP_002885714.1	AL3G41580, AL3G41420
OG0002305	XP_020890543.1	AL2G26920
OG0002306	XP_020870963.1	AL1G14740
OG0002306	XP_002872675.1	AL6G47740
OG0002307	XP_002878559.1	AL4G10790
OG0002307	XP_020872544.1	AL7G11180
OG0002308	XP_002866900.1	AL7G12250
OG0002308	XP_020883256.1	AL4G11860
OG0002309	XP_020868907.1	AL1G50880
OG0002309	XP_020868909.1	AL1G50870
OG0002310	XP_002888500.2	nbis-gene-543
OG0002310	XP_002872518.1	AL6G44530
OG0002310	XP_002872519.1	AL6G44540
OG0002311	XP_020872121.1	AL7G21380
OG0002312	XP_002870097.1	AL7G37060
OG0002312	XP_020868257.1	AL8G10840
OG0002313	XP_020888043.1	AL3G17850
OG0002313	XP_002865725.2	AL8G22900
OG0002314	XP_020882086.1	AL5G20160
OG0002315	XP_020889110.1	AL3G30750
OG0002315	XP_002891428.1	AL1G54970
OG0002316	XP_002894113.1	AL1G55060
OG0002316	XP_002885229.1	AL3G30930
OG0002317	XP_020866277.1	AL1G55140
OG0002317	XP_020889084.1	AL3G31010
OG0002318	XP_020888673.1	AL3G31550
OG0002318	XP_002891453.1	AL1G55500
OG0002319	XP_002877476.2	AL5G25170
OG0002319	XP_002877474.1	AL5G25150
OG0002320	XP_002892042.1	AL1G10550
OG0002320	XP_020876326.1	AL6G52810
OG0002321	XP_020870063.1	AL1G10600
OG0002321	XP_020878512.1	AL6G52760
OG0002322	XP_020878882.1	AL6G53000
OG0002323	XP_002872874.1	AL6G51480
OG0002323	XP_020868941.1	AL1G11860
OG0002323	XP_020868942.1	AL1G11870
OG0002324	XP_020870898.1	AL1G17620
OG0002325	XP_020866298.1	AL1G65100
OG0002325	XP_002868724.1	AL7G50990
OG0002325	XP_002892475.1	AL1G19310
OG0002326	XP_020867484.1	AL1G21090
OG0002326	XP_002888188.1	AL2G17170
OG0002327	XP_020881092.1	AL5G11460
OG0002327	XP_002892815.1	AL1G26500
OG0002328	XP_002890154.1	AL1G28340
OG0002328	XP_020891604.1	AL2G40320
OG0002329	XP_020869558.1	AL1G28430
OG0002329	XP_020891331.1	AL2G40140
OG0002330	XP_020867522.1	AL1G29760
OG0002330	XP_020865950.1	AL2G32340
OG0002331	XP_020866333.1	AL1G30880
OG0002332	XP_020891472.1	AL2G34450
OG0002332	XP_020870494.1	AL1G31310
OG0002333	XP_002887419.1	AL2G31830
OG0002333	XP_020869833.1	AL1G36060
OG0002334	XP_002890598.1	AL1G37620
OG0002334	XP_002888764.1	AL2G29590
OG0002335	XP_020885979.1	AL3G41520
OG0002335	XP_002890616.1	AL1G38260
OG0002335	XP_002888749.1	AL2G29230
OG0002336	XP_020889834.1	AL2G13660
OG0002336	XP_002886482.1	AL2G13650
OG0002337	XP_020890650.1	AL2G16790
OG0002337	XP_020891659.1	AL2G16800
OG0002338	XP_020884987.1	AL4G28250
OG0002338	XP_020888818.1	AL8G10420
OG0002339	XP_020887615.1	AL3G50060
OG0002339	XP_020887616.1	AL3G50050
OG0002340	XP_002886234.1	AL3G52690
OG0002340	XP_002867107.1	AL7G16490
OG0002341	XP_002867169.1	nbis-gene-1723
OG0002341	XP_020872808.1	nbis-gene-1722
OG0002342	XP_020887344.1	AL3G47260
OG0002342	XP_020874463.1	AL7G17340
OG0002343	XP_002867293.1	AL7G20450
OG0002343	XP_002880602.1	AL4G15300
OG0002344	XP_020874498.1	AL7G20460
OG0002344	XP_020885203.1	AL4G15170
OG0002345	XP_002878743.1	AL4G14640
OG0002346	XP_020871603.1	AL8G31100
OG0002346	XP_020873466.1	AL7G26230
OG0002352	XP_002869378.2	AL7G21730
OG0002353	XP_002871764.1	AL6G28460
OG0002353	XP_002882283.1	AL3G12910
OG0002354	XP_020878395.1	AL6G28080
OG0002354	XP_002882275.2	AL3G12730
OG0002355	XP_020877818.1, XP_002873805.1	AL3G44980
OG0002355	XP_002873808.1	AL6G28060
OG0002356	XP_020878205.1	AL6G27660
OG0002356	XP_020886852.1	AL3G12350
OG0002357	XP_002871693.2	AL6G26820
OG0002357	XP_020878429.1, XP_020884771.1	AL6G13700, AL4G42800
OG0002358	XP_020886903.1	AL3G11410
OG0002358	XP_002871671.1	AL6G26430
OG0002359	XP_002871661.1	AL6G26200
OG0002359	XP_002882198.1	AL3G11130
OG0002360	XP_020879300.1	AL6G23690
OG0002360	XP_020870383.1	AL1G40650
OG0002361	XP_020878484.1	AL6G36760
OG0002361	XP_020876737.1	AL6G21490
OG0002362	XP_020871117.1	AL8G42320
OG0002362	XP_002873431.1	AL6G20350
OG0002363	XP_002871349.1	AL6G19320
OG0002363	XP_002866567.1	AL8G40790
OG0002364	XP_020878155.1	AL6G18970
OG0002364	XP_002871342.1	AL6G19170
OG0002365	XP_020877019.1	AL6G18320
OG0002365	XP_020877014.1	AL6G18280
OG0002366	XP_020878326.1	AL6G50080
OG0002367	XP_002881037.1	AL4G23830
OG0002367	XP_002881035.1	AL4G23780
OG0002367	XP_002862602.1	AL295U10010
OG0002367	XP_020885298.1	AL4G23790
OG0002367	XP_020884931.1	AL4G23820
OG0002368	XP_020868215.1	AL1G14920
OG0002368	XP_020883156.1	AL4G27830
OG0002369	XP_020871044.1	AL8G16620
OG0002369	XP_002892202.1	AL1G13840
OG0002370	XP_020871730.1	AL8G16230
OG0002370	XP_002889493.1	AL1G13760
OG0002371	XP_002892180.1	AL1G13360
OG0002371	XP_020867815.1	AL8G15810
OG0002372	XP_002869660.1	AL7G27400
OG0002372	XP_002869661.1	AL7G27420
OG0002373	XP_020874193.1	AL7G51730
OG0002373	XP_020890314.1	AL2G17050
OG0002373	XP_020890311.1	AL2G17000
OG0002373	XP_020890328.1	AL2G17060
OG0002375	XP_002875219.1	AL5G13380
OG0002375	XP_020882378.1	AL5G13300
OG0002376	XP_002866412.1	AL8G37710
OG0002376	XP_020871404.1	AL299U10020
OG0002376	XP_020871473.1	AL8G37720
OG0002377	XP_020881231.1	AL5G21710
OG0002377	XP_020876823.1	AL6G32650
OG0002378	XP_020881513.1	AL5G22410
OG0002378	XP_020876661.1	AL6G33280
OG0002379	XP_020881660.1	AL5G25840
OG0002379	XP_002866318.1	AL8G35540
OG0002380	XP_020877509.1	AL8G33000
OG0002381	XP_002866095.1	AL8G30950
OG0002381	XP_002869596.1	AL7G26140
OG0002382	XP_002866053.1	AL8G30080
OG0002382	XP_002869573.1	AL7G25580
OG0002383	XP_002869563.1	AL7G25330
OG0002383	XP_002866028.1	AL1072U10010, AL8G29420
OG0002385	XP_020888294.1	AL3G22920
OG0002385	XP_002878024.1	AL5G36330
OG0002385	XP_020876016.1	nbis-gene-1475
OG0002386	XP_020888984.1	AL3G22000
OG0002386	XP_020877225.1	AL6G14280
OG0002387	XP_020878424.1	AL6G13680
OG0002387	XP_020886100.1	AL3G21540
OG0002388	XP_020874437.1	AL7G47710
OG0002388	XP_002886358.1	AL2G10820
OG0002389	XP_002890182.1	AL1G28860
OG0002389	XP_002889226.1	AL2G39470
OG0002390	XP_020872960.1	AL142U10020
OG0002390	XP_020890630.1	AL2G37820
OG0002390	XP_002890469.1	AL1G35070
OG0002391	XP_020890502.1	AL2G37510
OG0002391	XP_020867724.1	AL1G34750
OG0002392	XP_020890989.1	AL2G36350
OG0002392	XP_020868923.1	AL1G33480
OG0002393	XP_002867066.1	AL7G15590
OG0002393	XP_020887286.1	AL3G50530
OG0002394	XP_020874030.1	AL7G14960
OG0002394	XP_020887365.1	AL3G50950
OG0002395	XP_020889350.1	AL3G24790
OG0002395	XP_020870119.1	AL1G64210
OG0002396	XP_020887389.1	AL3G25820
OG0002396	XP_020870241.1	AL1G63130
OG0002397	XP_002885000.2	AL3G26170
OG0002397	XP_002891796.1	AL1G62920
OG0002398	XP_020888949.1	AL3G27360
OG0002398	XP_020867177.1	AL1G61640
OG0002399	XP_002884163.2	AL3G52400
