Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_arenosa
OG0001928	XP_002883881.1	jg27549
OG0001929	XP_020867120.1	jg28794
OG0001929	XP_020883868.1	jg18399
OG0001930	XP_002865382.1	jg20779
OG0001931	XP_002869670.1	jg9916
OG0001931	XP_020888693.1	jg21888
OG0001932	XP_020883111.1	jg20055
OG0001932	XP_020885603.1	jg20053
OG0001932	XP_020866879.1	jg31323
OG0001933	XP_002879456.1	jg18449
OG0001934	XP_020870296.1	jg31693
OG0001934	XP_002879530.1	jg18619
OG0001935	XP_020883778.1	jg18660
OG0001935	XP_002893726.1	jg31900
OG0001936	XP_020882940.1	jg18654
OG0001936	XP_020868032.1	jg31905
OG0001937	XP_020881753.1	jg14875
OG0001937	XP_002865015.1	jg23656
OG0001938	XP_020887450.1	jg25527
OG0001938	XP_002864709.1	jg23026
OG0001939	XP_020879059.1	jg6217, jg13926, jg6218
OG0001939	XP_020880785.1	jg14710
OG0001940	XP_002867242.1	jg9146
OG0001940	XP_002872165.1	jg6429
OG0001941	XP_020890337.1	jg22834
OG0001942	XP_002875702.1	jg14242
OG0001942	XP_002872023.1	jg6125
OG0001943	XP_002864689.1	jg22994
OG0001943	XP_002877395.1	jg14291
OG0001945	XP_020865866.1	jg927
OG0001945	XP_020890093.1	jg898
OG0001946	XP_020886393.1	jg22756
OG0001946	XP_002873297.1	jg4539
OG0001947	XP_002869654.1	jg9882
OG0001947	XP_002866213.1	jg22655
OG0001948	XP_020871807.1	jg22648
OG0001948	XP_020873432.1	jg9879
OG0001949	XP_020888532.1	jg27801
OG0001949	XP_020885923.1	jg27802
OG0001950	XP_020872946.1	jg12451
OG0001950	XP_020882200.1	jg13850
OG0001951	XP_020873642.1	jg9805
OG0001951	XP_020891023.1	jg22462
OG0001952	XP_020871691.1	jg22316
OG0001952	XP_002867529.1	jg9750
OG0001953	XP_020871292.1	jg22291
OG0001953	XP_020873316.1	jg9734
OG0001954	XP_020888283.1	jg25182
OG0001954	XP_020875781.1	jg4520
OG0001955	XP_020877614.1	jg4435, jg4456
OG0001955	XP_020888248.1	jg25140
OG0001956	XP_020886856.1	jg25004
OG0001956	XP_002873171.1	jg4233
OG0001957	XP_002882643.1	jg24916
OG0001957	XP_020878194.1	jg4094
OG0001958	XP_002890223.1, XP_002871024.1	jg4061
OG0001958	XP_020888372.1	jg24909
OG0001959	XP_020873185.1	jg9076
OG0001959	XP_002870930.1	jg3893
OG0001959	XP_020879269.1	jg3894
OG0001960	XP_002877047.1	jg13473
OG0001960	XP_002870688.1	jg12684
OG0001961	XP_002890124.1	jg30064
OG0001961	XP_002889288.1	jg3715
OG0001962	XP_002887809.1	jg3677
OG0001963	XP_020867562.1	jg30092
OG0001963	XP_002887805.1	jg3669
OG0001964	XP_020869557.1	jg30116
OG0001964	XP_020865604.1	jg3641
OG0001965	XP_020868621.1	jg30640
OG0001965	XP_020891505.1	jg3317
OG0001966	XP_002867063.1	jg8787
OG0001966	XP_020872242.1	jg8773
OG0001967	XP_020868624.1	jg30599
OG0001967	XP_002887633.1	jg3290
OG0001968	XP_020891453.1	jg3246
OG0001969	XP_002884045.1	jg27850
OG0001969	XP_020874548.1	jg8818
OG0001970	XP_020887282.1	jg27884
OG0001970	XP_020874384.1	jg8797
OG0001971	XP_020889004.1	jg27906
OG0001971	XP_020875296.1	jg8757
OG0001972	XP_020888349.1	jg27914
OG0001972	XP_020873050.1	jg8741
OG0001973	XP_020886751.1	jg25405
OG0001973	XP_002891794.1	jg33650
OG0001974	XP_002885062.1	jg25516
OG0001974	XP_020867175.1	jg33533
OG0001975	XP_002876178.1	jg15225
OG0001975	XP_002879617.1	jg18794
OG0001977	XP_002870371.2	jg11458
OG0001977	XP_020887972.1	jg26685
OG0001978	XP_020872163.1	jg11318
OG0001978	XP_020886895.1	jg24053
OG0001979	XP_002870306.1	jg11308
OG0001979	XP_002885542.1	jg26546
OG0001980	XP_020874648.1	jg11292
OG0001980	XP_020886048.1	jg26525
OG0001981	XP_020889139.1	jg25734
OG0001981	XP_020874798.1	jg11095
OG0001982	XP_020881139.1	jg15578
OG0001982	XP_020883884.1	jg19282
OG0001983	XP_002875778.1	jg14421
OG0001983	XP_002875779.1	jg14423
OG0001984	XP_002876987.1	jg13358
OG0001985	XP_002865237.1	jg20529
OG0001985	XP_020874524.1	jg10678
OG0001986	XP_002894213.1	jg33094
OG0001986	XP_020888577.1	jg26065
OG0001987	XP_020870654.1	jg33230
OG0001987	XP_002883258.1	jg26215
OG0001988	XP_002891646.1	jg33319
OG0001989	XP_020888447.1	jg25657
OG0001989	XP_020868005.1	jg33409
OG0001990	XP_020868852.1, XP_020886143.1	jg27583
OG0001991	XP_020876270.1	jg6526, jg6523
OG0001992	XP_020874649.1	jg10824
OG0001992	XP_002865164.1	jg20386
OG0001993	XP_020875892.1	jg8088
OG0001993	XP_002889391.2	jg28526
OG0001994	XP_020877715.1	jg7590
OG0001994	XP_020873670.1	jg10233
OG0001995	XP_020873671.1	jg10302
OG0001995	XP_020873713.1	jg10301
OG0001996	XP_002867813.1	jg10360
OG0001996	XP_020873434.1	jg10361
OG0001997	XP_002874836.1	jg7782
OG0001997	XP_020872909.1	jg10439
OG0001998	XP_002876699.1	jg16368
OG0001998	XP_020884478.1	jg20210
OG0001999	XP_002880180.1	jg19936
OG0001999	XP_020881142.1	jg16146
OG0002000	XP_002880155.1	jg19876
OG0002000	XP_002876566.1	jg16114
OG0002001	XP_002878341.1	jg16113
OG0002002	XP_020882460.1	jg16063
OG0002002	XP_002881956.1	jg19778
OG0002003	XP_020868833.1	jg29440
OG0002003	XP_020881540.1	jg15813
OG0002004	XP_002881783.1	jg19442
OG0002004	XP_020881524.1	jg15744
OG0002005	XP_002869547.1	jg9674
OG0002007	XP_020884416.1	jg19070
OG0002007	XP_002879773.1	jg19073
OG0002008	XP_020885741.1	jg19037
OG0002008	XP_020889574.1	jg27542
OG0002008	XP_020884354.1	jg19038
OG0002009	XP_020881623.1	jg15086
OG0002009	XP_020883680.1	jg18988, jg19001
OG0002010	XP_020885818.1	jg20277
OG0002010	XP_002863333.1	jg20279
OG0002011	XP_020884102.1	jg16532
OG0002011	XP_002866820.1	jg8353
OG0002012	XP_020879044.1	jg7318
OG0002012	XP_002891070.1	jg32069
OG0002013	XP_020886157.1	jg24478
OG0002013	XP_020876938.1	jg6603
OG0002014	XP_020880446.1	jg16350
OG0002014	XP_020883168.1	jg20181
OG0002015	XP_020885246.1	jg20171
OG0002015	XP_002878471.1	jg16336
OG0002016	XP_020889232.1	jg25801
OG0002017	XP_020884634.1	jg19506
OG0002017	XP_002876451.1	jg15822
OG0002018	XP_020886786.1	jg24426
OG0002020	XP_002883047.1	jg25802
OG0002021	XP_020889131.1	jg25819
OG0002021	XP_020868223.1	jg32878
OG0002022	XP_020889177.1	jg25847
OG0002022	XP_020868379.1	jg32900
OG0002023	XP_002877175.1	jg13772
OG0002023	XP_020872988.1	jg12495
OG0002024	XP_020865669.1	jg2043
OG0002024	XP_002870534.1	jg12191
OG0002025	XP_020886689.1	jg26453
OG0002025	XP_002868239.1	jg11240
OG0002026	XP_002871826.2	jg5711
OG0002026	XP_020878551.1	jg5710
OG0002027	XP_020878268.1	jg8103
OG0002027	XP_020868346.1	jg28466
OG0002028	XP_002875002.1	jg8132
OG0002028	XP_002892069.1	jg28491
OG0002029	XP_020877998.1	jg8133
OG0002029	XP_002892071.1	jg28493
OG0002030	XP_002892117.1	jg28575
OG0002030	XP_020877430.1	jg8003
OG0002031	XP_002892298.2	jg28894
OG0002031	XP_002892295.1	jg28890
OG0002032	XP_020870790.1	jg1360
OG0002032	XP_002889744.1	jg29297
OG0002033	XP_020867232.1	jg29452
OG0002033	XP_020890974.1	jg980
OG0002034	XP_002889857.1	jg29540
OG0002034	XP_002888093.1	jg836
OG0002035	XP_020866929.1	jg29607
OG0002035	XP_020890608.1	jg756
OG0002036	XP_002886438.1	jg591
OG0002036	XP_002892700.1	jg29714
OG0002037	XP_020882265.1	jg13322
OG0002037	XP_020867960.1	jg29763
OG0002038	XP_020867215.1	jg29949
OG0002038	XP_020880017.1	jg13002
OG0002039	XP_002890115.1	jg30049
OG0002039	XP_020870279.1	jg30048
OG0002040	XP_020869476.1	jg30671
OG0002041	XP_002890576.2	jg30888
OG0002041	XP_002888789.1	jg2685
OG0002042	XP_002868578.1	jg12799
OG0002042	XP_020890557.1	jg406
OG0002043	XP_020880860.1	jg14376
OG0002043	XP_020880858.1	jg14377
OG0002043	XP_020872872.1	jg8303, jg8296
OG0002044	XP_020874660.1	jg8856
OG0002044	XP_002886069.1	jg27763
OG0002044	XP_002886070.1	jg27764
OG0002045	XP_020872675.1	jg9078
OG0002045	XP_020884606.1	jg17297
OG0002046	XP_002880969.1, XP_002879136.1	jg17712, jg17714, jg17710, jg17709
OG0002047	XP_020881881.1	jg14916
OG0002047	XP_002876033.1	jg14915
OG0002047	XP_002876032.1	jg14914
OG0002048	XP_002872480.1	jg7327
OG0002048	XP_020878897.1	jg7322
OG0002056	XP_020891578.1	jg22795
OG0002056	XP_020881716.1	jg14511
OG0002057	XP_020880374.1	jg14613
OG0002057	XP_020890289.1	jg23250
OG0002058	XP_020876694.1	jg5658
OG0002058	XP_002882318.1	jg24248
OG0002059	XP_002873874.1	jg5655
OG0002059	XP_020877563.1	jg5283
OG0002060	XP_020877797.1	jg5649
OG0002060	XP_002873865.1	jg5633
OG0002061	XP_002882293.1	jg24185
OG0002062	XP_020879327.1	jg5509
OG0002062	XP_020888992.1	jg24124
OG0002063	XP_020889332.1	jg24099
OG0002063	XP_020878349.1	jg5469
OG0002064	XP_002871710.1	jg5448
OG0002064	XP_020886676.1	jg24082
OG0002065	XP_002884323.1	jg24069
OG0002065	XP_002873752.1	jg5429
OG0002066	XP_020886908.1	jg24061
OG0002067	XP_002873663.1	jg5258
OG0002067	XP_020885951.1	jg23925
OG0002068	XP_002873617.1	jg5167
OG0002068	XP_002884908.1	jg25206
OG0002069	XP_002871547.1	jg5125
OG0002069	XP_002893458.1	jg31249
OG0002070	XP_020877554.1	jg4999
OG0002071	XP_002865386.1	jg20791
OG0002072	XP_020876647.1	jg4810
OG0002072	XP_002866633.1	jg23483
OG0002073	XP_020877764.1	jg4768
OG0002073	XP_020877761.1	jg4769
OG0002074	XP_020871206.1	jg23070
OG0002074	XP_020877566.1	jg4624
OG0002075	XP_020876365.1	jg7899
OG0002075	XP_020870310.1	jg28653
OG0002076	XP_020883831.1	jg17733
OG0002076	XP_002879124.1	jg17735
OG0002077	XP_020885557.1	jg17791
OG0002077	XP_002892430.1	jg29164
OG0002078	XP_020866809.1	jg28888
OG0002078	XP_002881209.1	jg18267
OG0002079	XP_020869721.1	jg28866
OG0002079	XP_002879377.2	jg18297
OG0002080	XP_020871949.1	jg20780
OG0002081	XP_002863736.1	jg21021
OG0002081	XP_020868232.1	jg32752
OG0002082	XP_002892801.1	jg29911
OG0002082	XP_002875146.1	jg13079
OG0002083	XP_020883788.1	jg23714
OG0002083	XP_020887642.1	jg28006
OG0002084	XP_020879863.1	jg14856
OG0002084	XP_002865003.2	jg23637
OG0002085	XP_002864928.1	jg23496
OG0002086	XP_020875825.1	jg4572
OG0002087	XP_020880299.1	jg14810
OG0002087	XP_020879175.1	jg6332
OG0002088	XP_020878661.1	jg6344, jg6343
OG0002088	XP_020878662.1	jg6345
OG0002089	XP_002877256.1	jg13967
OG0002089	XP_002873999.1	jg5913
OG0002090	XP_002874104.1	jg6128
OG0002090	XP_020879685.1	jg14247
OG0002091	XP_002875777.1	jg14416
OG0002091	XP_020885428.1	jg22906
OG0002092	XP_020873374.1	jg9862
OG0002092	XP_020872759.1, XP_020880675.1	jg22616
OG0002093	XP_020873580.1	jg9847
OG0002093	XP_002864489.1	jg22583
OG0002094	XP_020873623.1	jg9812
OG0002094	XP_020885990.1	jg22478
OG0002096	XP_002864361.1	jg22313
OG0002096	XP_002867528.1	jg9748
OG0002097	XP_020876277.1	jg7942
OG0002097	XP_020870643.1	jg28622
OG0002098	XP_020873147.1	jg8916
OG0002099	XP_020888290.1	jg25074
OG0002099	XP_002871180.1	jg4334
OG0002100	XP_020878565.1	jg3905
OG0002100	XP_020887082.1	jg24822
OG0002101	XP_002882278.1	jg24149
OG0002101	XP_020878966.1	jg3883
OG0002102	XP_002877025.1	jg13424
OG0002102	XP_020872140.1	jg12707
OG0002103	XP_020890274.1	jg1013
OG0002103	XP_020870060.1	jg30007
OG0002104	XP_020870647.1	jg30063
OG0002104	XP_020889875.1	jg3718
OG0002105	XP_002890153.1	jg30108
OG0002105	XP_002889262.1	jg3656
OG0002106	XP_002890166.2	jg30129
OG0002106	XP_020891697.1	jg3613
OG0002107	XP_002889236.1	jg3607
OG0002108	XP_002889235.1	jg3603
OG0002108	XP_002890169.1	jg30135
OG0002109	XP_020866041.1	jg30774
OG0002109	XP_002889173.1	jg3473
OG0002110	XP_020890166.1	jg3367
OG0002110	XP_020867682.1	jg30688
OG0002111	XP_002893149.1	jg30650
OG0002111	XP_020891042.1	jg3329
OG0002112	XP_002894514.1	jg33725
OG0002112	XP_020886844.1	jg25317
OG0002113	XP_020867877.1	jg33711
OG0002113	XP_020887159.1	jg25322
OG0002114	XP_020888589.1	jg25340
OG0002114	XP_002891828.1	jg33690
OG0002115	XP_002888613.1	jg2301, jg2304
OG0002115	XP_002890710.1	jg31239
OG0002116	XP_020874691.1	jg11426
OG0002116	XP_020886452.1	jg26652
OG0002117	XP_020873062.1	jg11339
OG0002117	XP_020885931.1	jg26579
OG0002118	XP_002870309.1	jg11317
OG0002118	XP_002885543.1	jg26550
OG0002119	XP_020875325.1	jg11208
OG0002119	XP_020887502.1	jg26430
OG0002120	XP_020870347.1, XP_020869808.1	jg32507
OG0002120	XP_002869583.1	jg9749
OG0002121	XP_020873126.1	jg10803
OG0002121	XP_020872196.1	jg11178
OG0002121	XP_002863399.1	jg20406
OG0002122	XP_002870230.1	jg11151
OG0002122	XP_020886041.1	jg26346
OG0002124	XP_002890232.2	jg30278
OG0002124	XP_020891522.1	jg2910
OG0002125	XP_002886018.1	jg28181
OG0002125	XP_002867423.1	jg9521
OG0002126	XP_020881413.1, XP_020881398.1	jg13646, jg13647
OG0002127	XP_020880323.1	jg13450
OG0002127	XP_002870676.1	jg12702
OG0002128	XP_020868556.1	jg20523
OG0002128	XP_002867964.1	jg10686
OG0002129	XP_002894320.1	jg33308
OG0002129	XP_020885851.1	jg26283
OG0002130	XP_020888689.1	jg25615
OG0002130	XP_002894393.1	jg33457
OG0002131	XP_020885164.1	jg18584
OG0002131	XP_002865177.1	jg20409
OG0002132	XP_002877133.1	jg13661
OG0002132	XP_002877148.1	jg13701
OG0002133	XP_002867695.1	jg10128
OG0002133	XP_020873791.1	jg10127
OG0002134	XP_020872151.1	jg8911
OG0002134	XP_020889421.1	jg27603
OG0002135	XP_002884009.1	jg27751
OG0002136	XP_020873591.1	jg10095
OG0002136	XP_002874660.1	jg7451
OG0002137	XP_020873823.1	jg10103
OG0002138	XP_020872657.1	jg9143
OG0002138	XP_020882664.1	jg17141
OG0002139	XP_002893786.1	jg32041
OG0002139	XP_002891065.1	jg32044
OG0002139	XP_002869811.1	jg10259
OG0002140	XP_020873111.1	jg10574
OG0002141	XP_020872209.1	jg10572
OG0002141	XP_020868622.1	jg20651
OG0002142	XP_002863558.1	jg20687
OG0002142	XP_002869935.1	jg10533
OG0002143	XP_020872174.1	jg10461
OG0002143	XP_002872758.1	jg7809
OG0002144	XP_002872452.1	jg7266
OG0002144	XP_002891197.1	jg32239
OG0002145	XP_020882156.1	jg16345
OG0002145	XP_002880319.1	jg20184
OG0002146	XP_020884624.1	jg20043
OG0002146	XP_020880822.1	jg16232
OG0002147	XP_020882533.1	jg16211
OG0002147	XP_002880222.1	jg20016
OG0002148	XP_020880420.1	jg16148
OG0002148	XP_020885589.1	jg19939
OG0002149	XP_020880884.1	jg16085
OG0002149	XP_002878326.1	jg16084
OG0002150	XP_020880173.1	jg15825
OG0002150	XP_020885170.1	jg19493
OG0002151	XP_002879905.1	jg19384
OG0002151	XP_020880084.1	jg15700
OG0002152	XP_020880238.1	jg15716, jg15644
OG0002152	XP_002879912.1	jg19391
OG0002153	XP_002878085.1	jg15614
OG0002153	XP_002881741.1	jg19347
OG0002154	XP_002881605.1	jg19046
OG0002154	XP_002877961.1	jg15359
OG0002155	XP_002881490.1	jg18858
OG0002155	XP_002877914.1	jg15268
OG0002156	XP_002869548.1	jg9675
OG0002157	XP_002885173.1	jg25764
OG0002157	XP_020872617.1	jg11054
OG0002158	XP_020876339.1	jg11528
OG0002159	XP_020884350.1	jg17551
OG0002159	XP_020881850.1	jg14480
OG0002159	XP_020881715.1	jg14510
OG0002160	XP_002888611.1	jg2297
OG0002160	XP_002890712.1	jg31242
OG0002161	XP_020865969.1	jg2362
OG0002161	XP_002890697.1	jg31208
OG0002162	XP_002884154.1	jg28052
OG0002162	XP_020874569.1	jg9378
OG0002163	XP_020885015.1	jg19406
OG0002163	XP_002879918.1	jg19408
OG0002164	XP_020885734.1	jg19238
OG0002165	XP_020885556.1	jg18902
OG0002166	XP_020877952.1	jg20335
OG0002167	XP_020885000.1	jg16537
OG0002167	XP_020875421.1	jg8359
OG0002168	XP_020883982.1	jg16558
OG0002168	XP_002866830.1	jg8377
OG0002169	XP_002868885.2	jg8381
OG0002169	XP_020884193.1	jg16565
OG0002170	XP_020884291.1	jg16644
OG0002170	XP_020885608.1	jg16596
OG0002171	XP_020876773.1	jg7374
OG0002172	XP_020876929.1	jg6726
OG0002172	XP_002882384.1	jg24381
OG0002174	XP_002862253.2, XP_020883902.1	jg19970
OG0002174	XP_020870071.1	jg28438
OG0002175	XP_002869619.2	jg9829
OG0002175	XP_020878905.1	jg6228
OG0002176	XP_020887210.1, XP_020873809.1	jg24488
OG0002177	XP_020888782.1	jg24642
OG0002177	XP_020890474.1	jg21508
OG0002178	XP_020871929.1	jg21433
OG0002178	XP_002882515.1	jg24669
OG0002179	XP_020887356.1	jg24777
OG0002179	XP_002882576.1	jg24776
OG0002180	XP_002873278.1	jg4498
OG0002181	XP_020868386.1	jg32901
OG0002181	XP_020889207.1	jg25848
OG0002182	XP_020888849.1	jg25935
OG0002182	XP_020867041.1	jg32944
OG0002183	XP_020870612.1	jg33011
OG0002184	XP_002885307.1	jg26069
OG0002184	XP_020866711.1	jg33100
OG0002185	XP_020882234.1	jg13685
OG0002185	XP_020872961.1	jg12550
OG0002186	XP_020886727.1, XP_002862235.1, XP_002885301.1	jg26484
OG0002186	XP_002870278.1	jg11257
OG0002187	XP_020872210.1	jg12026
OG0002187	XP_020890942.1	jg1811
OG0002188	XP_020869486.1	jg1502
OG0002189	XP_020881688.1	jg15147
OG0002189	XP_002879581.1	jg18719
OG0002190	XP_002881700.1	jg19262
OG0002191	XP_002892302.1	jg28898
OG0002191	XP_002879349.1	jg18256
OG0002192	XP_020885199.1	jg16961
OG0002193	XP_020890279.1	jg1088
OG0002193	XP_020866468.1	jg29425
OG0002194	XP_002886648.1	jg1009
OG0002194	XP_002892573.1	jg29436
OG0002195	XP_020890035.1	jg888
OG0002195	XP_020866950.1	jg29503
OG0002196	XP_002886451.1	jg628
OG0002196	XP_002892683.1	jg29679
OG0002197	XP_002890085.1	jg29990
OG0002197	XP_020882522.1	jg12916
OG0002198	XP_002890547.1	jg30859
OG0002198	XP_002888817.1	jg2726
OG0002199	XP_020891382.1	jg2722
OG0002199	XP_002890550.1	jg30864
OG0002200	XP_002887348.2	jg2735
OG0002200	XP_020891143.1	jg2737
OG0002201	XP_002888017.1	jg665
OG0002201	XP_020890536.1	jg668
OG0002201	XP_002888019.1	jg669
OG0002202	XP_020874351.1	jg12854
OG0002202	XP_002887878.1	jg376
OG0002203	XP_020873130.1	jg9485
OG0002203	XP_002883976.1	jg28162
OG0002205	XP_020889725.1	jg2048
OG0002206	XP_020890805.1	jg3148
OG0002207	XP_020884877.1	jg16595
OG0002207	XP_020891557.1	jg1122
OG0002207	XP_002866844.1	jg8406
OG0002208	XP_020875302.1	jg8588
OG0002208	XP_002878661.1	jg16761
OG0002209	XP_020874800.1	jg8926
OG0002209	XP_020873884.1	jg8973
OG0002210	XP_020872187.1	jg8930
OG0002210	XP_020889502.1	jg27536
OG0002211	XP_020874396.1	jg11433
OG0002211	XP_002883467.1	jg26655
OG0002212	XP_020867903.1	jg31264
OG0002212	XP_002890724.1	jg31263
OG0002213	XP_020873480.1	jg9765
OG0002213	XP_002862180.1, XP_002864375.1	jg22336
OG0002214	XP_002888560.1	jg2196
OG0002214	XP_020874197.1	jg12334
OG0002215	XP_020871384.1	jg13284
OG0002216	XP_002869277.2	jg9155
OG0002216	XP_020872450.1	jg9157
OG0002221	XP_020870595.1	jg31909
OG0002221	XP_002862198.1, XP_002881383.1	jg18644
OG0002222	XP_020869630.1	jg31399
OG0002223	XP_020871476.1	jg24169
OG0002224	XP_020871229.1	jg21654
OG0002224	XP_002869709.1	jg10015
OG0002225	XP_020878482.1	jg5284
OG0002226	XP_002873629.1	jg5193
OG0002227	XP_020884183.1	jg17615
OG0002227	XP_002889692.1	jg29204
OG0002228	XP_020869393.1	jg29137
OG0002229	XP_020882956.1	jg18263
OG0002229	XP_020869875.1	jg28895
OG0002230	XP_002892210.1	jg28750
OG0002230	XP_020871105.1	jg20860
OG0002231	XP_002892201.1	jg28739
OG0002231	XP_020871032.1	jg20833
OG0002232	XP_002863599.1	jg20764
OG0002232	XP_020869259.1	jg28692
OG0002233	XP_020869569.1	jg19788, jg16077
OG0002233	XP_020866638.1	jg7842
OG0002234	XP_002867623.1	jg9955
OG0002234	XP_020882877.1	jg21786
OG0002235	XP_020873436.1	jg9948
OG0002235	XP_002890878.1	jg31614
OG0002236	XP_002865901.1	jg21912
OG0002237	XP_002893549.1	jg31428
OG0002237	XP_002881324.1	jg18515
OG0002238	XP_020867225.1	jg27958, jg31567, jg19253
OG0002239	XP_002881362.1	jg18605
OG0002239	XP_002893647.1	jg31652
OG0002240	XP_002893845.1	jg31770
OG0002240	XP_002881406.1	jg18692
OG0002241	XP_020869919.1	jg31889
OG0002241	XP_002881394.1	jg18662
OG0002242	XP_002866718.1	jg23675
OG0002242	XP_002877738.1	jg14894
OG0002243	XP_020878612.1	jg4569
OG0002243	XP_002866456.1	jg23128
OG0002244	XP_020888623.1, XP_020871754.1, XP_002883607.1, XP_020886045.1, XP_002862645.1, XP_020871780.1, XP_020889025.1, XP_020872197.1, XP_002866397.1, XP_002862648.1, XP_002862646.1, XP_020871746.1	jg23024
OG0002245	XP_002874205.1	jg6320
OG0002246	XP_020878286.1	jg5922
OG0002247	XP_020875879.1	jg5941
OG0002247	XP_002877267.1	jg13992
OG0002248	XP_002863177.1	jg11607
OG0002248	XP_002863176.1	jg11606
OG0002249	XP_002866345.1	jg22910
OG0002249	XP_002877458.1	jg14398
OG0002250	XP_002866284.1	jg22783
OG0002250	XP_020886966.1	jg23958
OG0002251	XP_020868444.1	jg22661
OG0002251	XP_020873385.1	jg9885
OG0002252	XP_002869617.1	jg9828
OG0002252	XP_020880931.1	jg22546
OG0002253	XP_002866062.1	jg22305
OG0002253	XP_002869581.1	jg9743
OG0002254	XP_020869078.1	jg28621
OG0002254	XP_020877396.1	jg7945
OG0002255	XP_020888008.1	jg27754
OG0002255	XP_020873404.1	jg10363
OG0002256	XP_020888291.1	jg25079
OG0002256	XP_020876014.1	jg4338
OG0002257	XP_020887854.1	jg25045
OG0002257	XP_020875962.1	jg4289
OG0002258	XP_002879747.1	jg19029
OG0002258	XP_020876507.1	jg4101
OG0002259	XP_002870999.1	jg4024
OG0002259	XP_002871001.1	jg4025
OG0002260	XP_002879732.1	jg18992
OG0002261	XP_020872456.1	jg12706
OG0002261	XP_002877027.1	jg13426
OG0002262	XP_002889306.1	jg3754
OG0002262	XP_002890101.1	jg30024
OG0002263	XP_020891379.1	jg3740
OG0002263	XP_020867926.1	jg30037
OG0002264	XP_002889277.1	jg3689
OG0002264	XP_002890132.1	jg30078
OG0002265	XP_020869441.1	jg30778
OG0002265	XP_002887715.1	jg3477
OG0002266	XP_020891016.1	jg3445
OG0002266	XP_020867046.1	jg30755
OG0002267	XP_002889109.1	jg3356
OG0002267	XP_020869336.1	jg30676
OG0002268	XP_002890389.1, XP_002887628.1	jg3278
OG0002269	XP_002890352.1	jg30500
OG0002270	XP_020867332.1	jg30491
OG0002270	XP_020891185.1	jg3194
OG0002271	XP_002878314.1	jg16060
OG0002271	XP_002894516.1	jg33734, jg33737
OG0002272	XP_002882822.2	jg25324
OG0002272	XP_002894508.1	jg33710
OG0002273	XP_002882828.1	jg25334
OG0002273	XP_020868902.1	jg33696
OG0002274	XP_002883421.1	jg26584
OG0002274	XP_002868289.1	jg11342
OG0002275	XP_002868281.1	jg11325
OG0002275	XP_002868282.1	jg11326
OG0002276	XP_002888928.1	jg2980
OG0002276	XP_002892974.1	jg30320
OG0002277	XP_020865978.1	jg2490
OG0002277	XP_002890666.1	jg31128
OG0002278	XP_020874883.1	jg9595
OG0002278	XP_002886294.1	jg28286
OG0002279	XP_020872483.1	jg9556
OG0002279	XP_002885991.1	jg28237
OG0002280	XP_020874720.1	jg12659
OG0002280	XP_002877065.1	jg13518
OG0002281	XP_020881211.1	jg13467
OG0002281	XP_020874926.1	jg12691
OG0002282	XP_020867865.1	jg29810
OG0002282	XP_002875297.1	jg13279
OG0002283	XP_020887132.1	jg26102
OG0002283	XP_002891540.1	jg33116
OG0002284	XP_020868003.1	jg33411
OG0002284	XP_020888096.1	jg25654
OG0002285	XP_020883126.1	jg18534
OG0002285	XP_020885763.1	jg18535
OG0002286	XP_020884644.1	jg17348
OG0002287	XP_020872208.1	jg10961
OG0002287	XP_002881409.1	jg18705
OG0002288	XP_020871588.1	jg20394
OG0002288	XP_002868030.1	jg10816
OG0002289	XP_002870109.1	jg10885
OG0002289	XP_020889763.1	jg20299
OG0002290	XP_002884799.1	jg27436, jg24998
OG0002290	XP_002872443.2	jg7251
OG0002291	XP_020879769.1	jg14928
OG0002291	XP_020866548.1	jg32608
OG0002292	XP_020879999.1	jg14881
OG0002292	XP_002877730.1	jg14880
OG0002293	XP_002867714.1	jg10171
OG0002293	XP_002865853.1	jg21792
OG0002294	XP_020891554.1	jg20668
OG0002294	XP_020874727.1	jg10550
OG0002295	XP_002872359.1	jg7223
OG0002295	XP_002890069.1	jg29948
OG0002296	XP_002879567.1	jg18702
OG0002296	XP_020873153.1	jg10941
OG0002297	XP_020883654.1	jg20228
OG0002297	XP_002876705.1	jg16378
OG0002298	XP_020883116.1	jg19978
OG0002298	XP_020881562.1	jg16176
OG0002299	XP_002876402.2	jg15721, jg15659
OG0002299	XP_020883888.1	jg19430
OG0002300	XP_002881740.2	jg19346, jg17835
OG0002301	XP_020883942.1	jg19258
OG0002301	XP_020880437.1	jg15566
OG0002302	XP_020883744.1	jg19168
OG0002302	XP_020880106.1	jg15469
OG0002303	XP_020880443.1	jg15440
OG0002303	XP_020883274.1	jg19126
OG0002304	XP_002892818.1	jg29942
OG0002304	XP_002885714.1	jg31019
OG0002305	XP_020875572.1	jg8321
OG0002306	XP_020870963.1	jg28830
OG0002306	XP_002872675.1	jg7681
OG0002307	XP_002878559.1	jg16576
OG0002307	XP_020872544.1	jg8391
OG0002308	XP_002866900.1	jg8501
OG0002308	XP_020883256.1	jg16664
OG0002309	XP_020868909.1	jg32276
OG0002310	XP_002888500.2, XP_002872518.1	jg7396
OG0002310	XP_002872519.1	jg7399
OG0002311	XP_020872121.1	jg9334
OG0002312	XP_002870097.1	jg10862
OG0002313	XP_020888043.1	jg24623
OG0002313	XP_002865725.2	jg21556
OG0002314	XP_020882086.1	jg13830
