Orthogroup	Arabidopsis_lyrata_NCBI	Rorippa_islandica
OG0003161	XP_020881723.1	Roisl.0020s0141.1.p
OG0003162	XP_020875439.1	Roisl.0075s0083.1.p
OG0003163	XP_002870291.1	Roisl.0002s0259.1.p
OG0003163	XP_020886054.1	Roisl.0115s0634.1.p
OG0003164	XP_002883306.1	Roisl.0115s0494.1.p
OG0003164	XP_020874968.1	Roisl.0002s0136.1.p
OG0003165	XP_020868145.1	Roisl.0007s0301.1.p
OG0003165	XP_002888929.1	Roisl.0019s0133.1.p
OG0003166	XP_002892991.1	Roisl.0007s0312.1.p
OG0003166	XP_020891407.1	Roisl.0019s0125.1.p
OG0003167	XP_020882452.1	Roisl.0025s0007.1.p
OG0003168	XP_002868719.1	Roisl.0070s0015.1.p
OG0003168	XP_002875495.1	Roisl.0184s0170.1.p
OG0003169	XP_020880903.1	Roisl.0011s0553.1.p
OG0003171	XP_020883247.1	Roisl.0005s0165.1.p
OG0003172	XP_002886956.1	Roisl.0209s0015.1.p
OG0003173	XP_002894209.2	Roisl.0006s0034.1.p
OG0003173	XP_020877168.1	Roisl.0028s0491.1.p
OG0003175	XP_020890613.1	Roisl.0214s0276.1.p
OG0003175	XP_002894011.1	Roisl.0066s0387.1.p
OG0003176	XP_002868056.1	Roisl.0091s0580.1.p, Roisl.0091s0581.1.p
OG0003177	XP_002865850.1, XP_020882882.1	Roisl.0189s0248.1.p, Roisl.0189s0247.1.p
OG0003178	XP_002864011.1	Roisl.0191s0684.1.p
OG0003178	XP_020867997.1	Roisl.0007s0695.1.p
OG0003179	XP_002870155.1	Roisl.0002s0014.1.p
OG0003179	XP_002881412.1	Roisl.0028s0999.1.p
OG0003180	XP_002870123.1	Roisl.0091s0633.1.p
OG0003180	XP_020883100.1	Roisl.0028s0933.1.p
OG0003181	XP_020882348.1	Roisl.0046s1050.1.p
OG0003182	XP_020882239.1	Roisl.0018s0168.1.p
OG0003182	XP_020887656.1	Roisl.0209s0316.1.p
OG0003183	XP_020880100.1	Roisl.0018s0089.1.p
OG0003183	XP_002880069.1	Roisl.0028s0210.1.p
OG0003184	XP_002878211.2, XP_020880516.1	Roisl.0026s0054.1.p
OG0003187	XP_002878059.1	Roisl.0046s1607.1.p
OG0003188	XP_002878054.1	Roisl.0046s1594.1.p
OG0003189	XP_002879788.1	Roisl.0017s0293.1.p
OG0003189	XP_002876279.1	Roisl.0046s1490.1.p
OG0003190	XP_020880332.1	Roisl.0046s1346.1.p
OG0003190	XP_020884543.1	Roisl.0017s0096.1.p
OG0003192	XP_020886292.1, XP_020877834.1	Roisl.0066s0121.1.p
OG0003193	XP_020880686.1	Roisl.0046s1672.1.p
OG0003193	XP_020884461.1	Roisl.0028s0527.1.p
OG0003194	XP_020873566.1, XP_020884364.1	Roisl.0002s0063.1.p, Roisl.0017s0291.1.p
OG0003195	XP_002869012.1	Roisl.0001s0315.1.p
OG0003196	XP_020883634.1	Roisl.0023s0022.1.p
OG0003197	XP_002874708.1	Roisl.0213s0554.1.p
OG0003197	XP_020877179.1, XP_002874707.1	Roisl.0046s0273.1.p, Roisl.0055s0031.1.p
OG0003198	XP_020876956.1	Roisl.0046s0402.1.p
OG0003198	XP_020888394.1	Roisl.0039s0052.1.p
OG0003199	XP_020887575.1	Roisl.0022s0523.1.p, Roisl.0214s0485.1.p
OG0003200	XP_002874434.1	Roisl.0046s0481.1.p
OG0003201	XP_020889286.1	Roisl.0039s0051.1.p
OG0003201	XP_020876965.1	Roisl.0046s0404.1.p
OG0003202	XP_020876091.1	Roisl.0210s1606.1.p
OG0003202	XP_020889514.1	Roisl.0079s0004.1.p
OG0003203	XP_002882518.1, XP_002882519.1	Roisl.0079s0113.1.p
OG0003206	XP_020889473.1	Roisl.0074s0723.1.p
OG0003207	XP_002885295.1	Roisl.0066s0019.1.p
OG0003207	XP_020888651.1	Roisl.0074s0531.1.p
OG0003208	XP_002885269.2	Roisl.0074s0067.1.p
OG0003210	XP_002868819.1	Roisl.0032s0012.1.p
OG0003211	XP_002892237.1	Roisl.0091s0713.1.p
OG0003213	XP_002889693.1	Roisl.0091s1129.1.p
OG0003214	XP_002886639.1	Roisl.0214s0630.1.p
OG0003214	XP_002892576.1	Roisl.0021s0120.1.p
OG0003215	XP_020869514.1	Roisl.0021s0364.1.p
OG0003216	XP_020873879.1	Roisl.0019s0243.1.p, Roisl.0004s0366.1.p
OG0003216	XP_002889990.1	Roisl.0021s0413.1.p
OG0003217	XP_020882401.1, XP_020873596.1	Roisl.0011s0112.1.p
OG0003217	XP_020870327.1	Roisl.0007s0682.1.p
OG0003218	XP_020871130.1	Roisl.0214s0225.1.p
OG0003218	XP_020868579.1	Roisl.0007s0401.1.p
OG0003219	XP_020866574.1	Roisl.0191s0092.1.p
OG0003220	XP_020865874.1	Roisl.0019s0316.1.p
OG0003220	XP_020867355.1	Roisl.0191s0099.1.p
OG0003221	XP_020869024.1	Roisl.0191s0123.1.p
OG0003221	XP_020869023.1	Roisl.0191s0124.1.p
OG0003222	XP_002887356.1	Roisl.0019s0399.1.p
OG0003222	XP_020869161.1	Roisl.0191s0128.1.p
OG0003223	XP_002888114.1, XP_020890145.1	Roisl.0214s0527.1.p
OG0003223	XP_020890137.1	Roisl.0214s0526.1.p
OG0003224	XP_002888193.1	Roisl.0214s0679.1.p
OG0003224	XP_020890334.1	Roisl.0214s0675.1.p
OG0003225	XP_002868166.1	Roisl.0002s0073.1.p
OG0003225	XP_002868169.2	Roisl.0002s0077.1.p
OG0003226	XP_002894087.1	Roisl.0013s0152.1.p
OG0003227	XP_002885945.1, XP_020873083.1	Roisl.0001s0028.1.p
OG0003228	XP_002862299.1, XP_002862297.1, XP_002869195.1	Roisl.0008s0317.1.p
OG0003229	XP_020868627.1, XP_020869051.1	Roisl.0191s0341.1.p
OG0003230	XP_002867490.1	Roisl.0022s0426.1.p
OG0003230	XP_020890911.1	Roisl.0195s0011.1.p
OG0003231	XP_020882139.1	Roisl.0011s0287.1.p
OG0003231	XP_002876894.1	Roisl.0011s0276.1.p
OG0003233	XP_002867021.1	Roisl.0001s0256.1.p
OG0003233	XP_020868290.1	Roisl.0008s0004.1.p
OG0003235	XP_020886648.1	Roisl.0074s0262.1.p
OG0003236	XP_002880449.1	Roisl.0046s0587.1.p
OG0003237	XP_002868752.2	Roisl.0213s0821.1.p
OG0003238	XP_020885814.1	Roisl.0209s0539.1.p
OG0003239	XP_002877402.1	Roisl.0020s0145.1.p, Roisl.0020s0149.1.p, Roisl.0020s0146.1.p, Roisl.0020s0148.1.p
OG0003241	XP_020873763.1	Roisl.0214s0903.1.p
OG0003241	XP_020873673.1	Roisl.0214s0899.1.p
OG0003247	XP_002877511.1	Roisl.0209s0382.1.p
OG0003247	XP_020886739.1	Roisl.0080s0357.1.p
OG0003248	XP_020880361.1, XP_020880360.1	Roisl.0046s0720.1.p
OG0003249	XP_020888647.1	Roisl.0005s0143.1.p
OG0003250	XP_002871651.1	Roisl.0210s1217.1.p
OG0003250	XP_020888147.1	Roisl.0009s0182.1.p
OG0003251	XP_002873645.1	Roisl.0210s1104.1.p
OG0003252	XP_002873544.1	Roisl.0210s0927.1.p
OG0003252	XP_020875901.1	Roisl.0046s0292.1.p
OG0003253	XP_020875230.1, XP_020888084.1	Roisl.0091s0472.1.p
OG0003254	XP_020884793.1	Roisl.0024s0392.1.p
OG0003254	XP_002873446.1	Roisl.0210s0741.1.p
OG0003255	XP_002873445.1	Roisl.0210s0740.1.p
OG0003255	XP_002873444.1	Roisl.0210s0739.1.p
OG0003256	XP_002873441.1, XP_020878014.1	Roisl.0210s0729.1.p
OG0003257	XP_002873413.1	Roisl.0210s0677.1.p
OG0003258	XP_020871289.1	Roisl.0024s0311.1.p
OG0003259	XP_020883502.1	Roisl.0082s0763.1.p
OG0003259	XP_020869365.1, XP_020876050.1	Roisl.0042s0098.1.p
OG0003260	XP_020883054.1	Roisl.0033s0067.1.p
OG0003261	XP_002881119.1	Roisl.0033s0078.1.p
OG0003262	XP_002892300.2	Roisl.0091s0814.1.p
OG0003263	XP_002894166.1, XP_020869379.1	Roisl.0013s0020.1.p
OG0003264	XP_020874598.1, XP_002870561.1, XP_002881256.1, XP_002862858.1	Roisl.0028s0686.1.p
OG0003265	XP_020876772.1	Roisl.0058s0102.1.p
OG0003266	XP_020867576.1	Roisl.0191s0304.1.p
OG0003267	XP_002890868.1	Roisl.0213s0300.1.p
OG0003268	XP_002864752.1, XP_020872000.1	Roisl.0040s0109.1.p, Roisl.0209s0102.1.p
OG0003269	XP_020877295.1	Roisl.0210s0641.1.p
OG0003269	XP_020882936.1	Roisl.0024s0287.1.p
OG0003270	XP_020871210.1	Roisl.0080s0135.1.p
OG0003273	XP_020879238.1	Roisl.0210s1957.1.p
OG0003274	XP_020887399.1	Roisl.0066s0072.1.p
OG0003275	XP_002884941.1	Roisl.0074s0691.1.p
OG0003275	XP_020889664.1	Roisl.0074s0689.1.p
OG0003276	XP_002866267.1, XP_002868499.1	Roisl.0080s0447.1.p, Roisl.0080s0448.1.p
OG0003277	XP_002864425.1	Roisl.0080s0732.1.p
OG0003277	XP_020873729.1	Roisl.0022s0314.1.p
OG0003278	XP_020881404.1	Roisl.0046s0905.1.p
OG0003278	XP_002864980.1	Roisl.0024s0477.1.p
OG0003279	XP_002864972.1, XP_020880282.1	Roisl.0024s0467.1.p
OG0003280	XP_002873099.1, XP_002873082.1	Roisl.0030s0040.1.p, Roisl.0006s0103.1.p
OG0003281	XP_002889929.1	Roisl.0021s0326.1.p, Roisl.0002s0033.1.p
OG0003282	XP_002893274.1, XP_002893039.1	Roisl.0191s0167.1.p
OG0003283	XP_020885080.1	Roisl.0189s0069.1.p
OG0003284	XP_002889296.1	Roisl.0115s0073.1.p
OG0003285	XP_020875114.1	Roisl.0091s0419.1.p
OG0003286	XP_002869968.1	Roisl.0091s0329.1.p
OG0003287	XP_020869192.1, XP_020866076.1	Roisl.0191s0059.1.p, Roisl.0191s0061.1.p, Roisl.0191s0060.1.p
OG0003288	XP_020891623.1, XP_020871969.1	Roisl.0014s0107.1.p
OG0003288	XP_020882083.1	Roisl.0018s0386.1.p
OG0003289	XP_020886714.1	Roisl.0115s0599.1.p
OG0003289	XP_020874249.1	Roisl.0002s0236.1.p
OG0003291	XP_002887948.1, XP_020889821.1	Roisl.0010s0183.1.p
OG0003292	XP_002890630.1	Roisl.0191s0321.1.p
OG0003293	XP_002894342.1	Roisl.0006s0250.1.p
OG0003293	XP_020874160.1, XP_020875353.1, XP_002868595.1	Roisl.0009s0084.1.p
OG0003294	XP_020887501.1	Roisl.0074s0400.1.p
OG0003295	XP_002868000.1	Roisl.0091s0483.1.p
OG0003297	XP_020871092.1, XP_020877374.1, XP_002862247.1	Roisl.0024s0199.1.p
OG0003298	XP_020875991.1, XP_020879016.1	Roisl.0042s0097.1.p
OG0003298	XP_002869973.2	Roisl.0091s0340.1.p
OG0003299	XP_020889657.1, XP_002865852.1	Roisl.0189s0245.1.p
OG0003300	XP_020891209.1	Roisl.0041s0061.1.p
OG0003300	XP_002894238.1	Roisl.0006s0083.1.p
OG0003301	XP_020871744.1	Roisl.0024s0671.1.p
OG0003301	XP_020880791.1	Roisl.0046s1087.1.p
OG0003302	XP_002878389.1	Roisl.0018s0280.1.p
OG0003302	XP_020884501.1	Roisl.0035s0133.1.p
OG0003303	XP_002876245.1	Roisl.0046s1396.1.p
OG0003304	XP_020873256.1	Roisl.0023s0030.1.p
OG0003304	XP_020872488.1	Roisl.0022s0384.1.p
OG0003305	XP_002863188.1, XP_002883602.2	Roisl.0082s0011.1.p
OG0003306	XP_002885739.1	Roisl.0053s0430.1.p
OG0003306	XP_020870886.1	Roisl.0014s0025.1.p
OG0003307	XP_020889986.1	Roisl.0019s0784.1.p
OG0003308	XP_002886267.1	Roisl.0066s0027.1.p
OG0003309	XP_002891820.1	Roisl.0006s0528.1.p
OG0003309	XP_002884977.1	Roisl.0074s0620.1.p
OG0003310	XP_002891295.2	Roisl.0179s0044.1.p
OG0003310	XP_002874528.1	Roisl.0020s0038.1.p
OG0003311	XP_002880289.1	Roisl.0035s0013.1.p
OG0003312	XP_020891076.1	Roisl.0004s0276.1.p
OG0003312	XP_020882962.1	Roisl.0028s0162.1.p
OG0003313	XP_020871752.1	Roisl.0012s0002.1.p
OG0003313	XP_002867109.1	Roisl.0001s0069.1.p
OG0003314	XP_002882393.1	Roisl.0039s0032.1.p, Roisl.0046s0445.1.p
OG0003315	XP_020878093.1	Roisl.0046s0306.1.p
OG0003316	XP_020878476.1	Roisl.0210s1608.1.p
OG0003317	XP_020886981.1	Roisl.0079s0106.1.p
OG0003317	XP_020868605.1	Roisl.0014s0127.1.p
OG0003318	XP_020889206.1, XP_002885081.1	Roisl.0074s0430.1.p
OG0003319	XP_002883029.1	Roisl.0074s0261.1.p
OG0003319	XP_002870186.1	Roisl.0002s0068.1.p
OG0003320	XP_020867827.1, XP_020867826.1	Roisl.0013s0008.1.p
OG0003321	XP_002867452.1	Roisl.0022s0513.1.p, Roisl.0044s0002.1.p
OG0003321	XP_002867241.1	Roisl.0003s0267.1.p
OG0003322	XP_002870821.2	Roisl.0213s0820.1.p
OG0003323	XP_002885493.1	Roisl.0115s0574.1.p
OG0003324	XP_002869392.1	Roisl.0003s0025.1.p
OG0003324	XP_002884180.1	Roisl.0011s0317.1.p
OG0003325	XP_020890658.1	Roisl.0019s0773.1.p
OG0003325	XP_020866536.1	Roisl.0036s0081.1.p
OG0003326	XP_020880250.1	Roisl.0046s1137.1.p
OG0003327	XP_020867498.1	Roisl.0210s0085.1.p
OG0003327	XP_020879193.1	Roisl.0191s0527.1.p
OG0003328	XP_002872915.1	Roisl.0191s0563.1.p
OG0003328	XP_020870173.1	Roisl.0210s0104.1.p
OG0003329	XP_002869367.1	Roisl.0189s0029.1.p
OG0003330	XP_002892393.2	Roisl.0091s1001.1.p
OG0003330	XP_020884881.1	Roisl.0082s0756.1.p
OG0003331	XP_020869690.1	Roisl.0091s1160.1.p
OG0003332	XP_020869165.1	Roisl.0007s0707.1.p
OG0003332	XP_020879963.1	Roisl.0011s0163.1.p
OG0003333	XP_020868127.1	Roisl.0007s0545.1.p
OG0003334	XP_020868413.1	Roisl.0007s0196.1.p
OG0003335	XP_020870360.1, XP_002893111.1	Roisl.0007s0091.1.p
OG0003336	XP_002890540.2	Roisl.0191s0121.1.p
OG0003336	XP_020865624.1	Roisl.0019s0376.1.p
OG0003337	XP_020868670.1	Roisl.0191s0158.1.p
OG0003338	XP_020867324.1	Roisl.0191s0270.1.p
OG0003338	XP_020890345.1	Roisl.0019s0528.1.p
OG0003339	XP_020871347.1	Roisl.0024s0614.1.p
OG0003340	XP_020874330.1, XP_020871924.1	Roisl.0005s0035.1.p
OG0003342	XP_020891358.1	Roisl.0209s0039.1.p, Roisl.0210s2224.1.p
OG0003343	XP_020873133.1, XP_020873139.1	Roisl.0044s0101.1.p
OG0003345	XP_020872777.1, XP_002870640.2	Roisl.0009s0089.1.p
OG0003346	XP_020874117.1	Roisl.0189s0218.1.p, Roisl.0059s0075.1.p
OG0003347	XP_020874911.1	Roisl.0001s0178.1.p
OG0003348	XP_002867064.1	Roisl.0001s0176.1.p
OG0003348	XP_020876592.1, XP_020875685.1	Roisl.0210s1698.1.p
OG0003349	XP_002862579.1, XP_020873869.1	Roisl.0001s0011.1.p
OG0003350	XP_020872078.1	Roisl.0003s0248.1.p
OG0003351	XP_020890857.1, XP_020890856.1	Roisl.0019s0300.1.p, Roisl.0019s0301.1.p
OG0003352	XP_002874986.1	Roisl.0191s0519.1.p
OG0003352	XP_020868348.1	Roisl.0210s0082.1.p
OG0003353	XP_020872612.1	Roisl.0022s0411.1.p
OG0003354	XP_020870004.1, XP_020866397.1	Roisl.0046s1193.1.p
OG0003356	XP_002893492.1	Roisl.0213s0046.1.p
OG0003360	XP_020885993.1	Roisl.0045s0099.1.p
OG0003360	XP_020877008.1, XP_002863124.1	Roisl.0075s0074.1.p, Roisl.0075s0042.1.p
OG0003361	XP_020871861.1, XP_002879129.2	Roisl.0031s0027.1.p, Roisl.0031s0026.1.p
OG0003363	XP_020880036.1, XP_020880034.1, XP_020880033.1	Roisl.0025s0080.1.p
OG0003363	XP_002875823.1	Roisl.0209s0410.1.p, Roisl.0209s0409.1.p
OG0003364	XP_002875354.1	Roisl.0011s0494.1.p
OG0003364	XP_002868621.1	Roisl.0009s0129.1.p
OG0003365	XP_002880792.1, XP_002876908.2	Roisl.0066s0292.1.p
OG0003366	XP_020868680.1	Roisl.0006s0449.1.p
OG0003366	XP_020889072.1	Roisl.0074s0526.1.p
OG0003367	XP_020885369.1	Roisl.0023s0056.1.p, Roisl.0023s0059.1.p, Roisl.0023s0055.1.p
OG0003367	XP_020888729.1	Roisl.0023s0057.1.p
OG0003372	XP_020881711.1	Roisl.0046s0713.1.p
OG0003373	XP_002893495.1	Roisl.0213s0051.1.p
OG0003373	XP_002890755.1	Roisl.0213s0060.1.p
OG0003374	XP_020870920.1	Roisl.0209s0147.1.p
OG0003375	XP_002864086.1	Roisl.0012s0019.1.p
OG0003375	XP_002887691.1	Roisl.0012s0018.1.p
OG0003376	XP_020874859.1	Roisl.0043s0017.1.p
OG0003376	XP_002883713.1	Roisl.0038s0065.1.p
OG0003377	XP_002873768.1	Roisl.0210s1334.1.p, Roisl.0014s0142.1.p
OG0003378	XP_020877574.1	Roisl.0210s1321.1.p
OG0003379	XP_020874969.1	Roisl.0009s0097.1.p
OG0003381	XP_020878342.1	Roisl.0210s0945.1.p
OG0003382	XP_002887334.2, XP_002887335.1, XP_020868106.1	Roisl.0214s0278.1.p
OG0003383	XP_020878464.1	Roisl.0046s0177.1.p
OG0003384	XP_020883076.1, XP_020883073.1, XP_020875167.1	Roisl.0001s0390.1.p
OG0003385	XP_002873346.1	Roisl.0210s0560.1.p
OG0003386	XP_002873323.2	Roisl.0210s0517.1.p
OG0003387	XP_020871175.1	Roisl.0214s0246.1.p
OG0003387	XP_020873618.1	Roisl.0022s0137.1.p
OG0003388	XP_020873379.1	Roisl.0022s0131.1.p
OG0003389	XP_002879398.1	Roisl.0028s0640.1.p
OG0003389	XP_002880840.1	Roisl.0010s0005.1.p
OG0003390	XP_020882988.1	Roisl.0033s0037.1.p
OG0003391	XP_002863662.1	Roisl.0012s0099.1.p
OG0003392	XP_020889551.1, XP_020889541.1	Roisl.0012s0229.1.p
OG0003393	XP_020885711.1	Roisl.0028s0898.1.p
OG0003393	XP_002890883.1	Roisl.0213s0325.1.p
OG0003394	XP_002893638.1	Roisl.0213s0326.1.p
OG0003395	XP_002862568.1, XP_002866694.1	Roisl.0024s0485.1.p
OG0003395	XP_002877702.1	Roisl.0046s0915.1.p
OG0003396	XP_020885853.1, XP_002873421.1	Roisl.0024s0349.1.p, Roisl.0210s0687.1.p
OG0003397	XP_002869205.1	Roisl.0008s0301.1.p
OG0003398	XP_002866539.1	Roisl.0024s0194.1.p
OG0003399	XP_020888635.1, XP_020871873.1	Roisl.0024s0167.1.p
OG0003400	XP_020880378.1	Roisl.0024s0157.1.p
OG0003401	XP_002874156.1, XP_002874157.1	Roisl.0046s0070.1.p
OG0003402	XP_020878866.1	Roisl.0210s1816.1.p
OG0003405	XP_002864474.1, XP_020871998.1, XP_020876108.1	Roisl.0021s0073.1.p, Roisl.0091s1119.1.p, Roisl.0080s0649.1.p
OG0003406	XP_020889956.1	Roisl.0206s0006.1.p
OG0003408	XP_020875938.1	Roisl.0042s0158.1.p
OG0003409	XP_002873102.1	Roisl.0030s0078.1.p
OG0003409	XP_020875870.1	Roisl.0030s0077.1.p
OG0003410	XP_002882613.1	Roisl.0079s0289.1.p
OG0003410	XP_002870955.1	Roisl.0034s0118.1.p
OG0003411	XP_020887193.1	Roisl.0079s0244.1.p
OG0003412	XP_002884700.1	Roisl.0079s0240.1.p
OG0003412	XP_020878914.1	Roisl.0034s0028.1.p
OG0003413	XP_020888259.1	Roisl.0074s0772.1.p
OG0003415	XP_002866831.1	Roisl.0115s0682.1.p
OG0003416	XP_002887644.1	Roisl.0004s0237.1.p
OG0003417	XP_002894517.2	Roisl.0021s0526.1.p, Roisl.0074s0658.1.p
OG0003419	XP_020867130.1, XP_020867129.1	Roisl.0006s0418.1.p
OG0003420	XP_020883204.1	Roisl.0054s0030.1.p
OG0003421	XP_020889002.1	Roisl.0053s0317.1.p
OG0003422	XP_020875667.1	Roisl.0001s0354.1.p
OG0003423	XP_020890526.1	Roisl.0019s0108.1.p
OG0003423	XP_020874627.1	Roisl.0188s0020.1.p, Roisl.0179s0031.1.p
OG0003424	XP_020881923.1	Roisl.0025s0079.1.p
OG0003424	XP_020881940.1	Roisl.0025s0075.1.p
OG0003425	XP_020868631.1	Roisl.0191s0340.1.p
OG0003426	XP_020889048.1	Roisl.0005s0199.1.p
OG0003427	XP_002891660.1	Roisl.0006s0232.1.p
OG0003428	XP_002891661.2	Roisl.0006s0233.1.p
OG0003428	XP_020888735.1	Roisl.0115s0476.1.p
OG0003429	XP_002894411.1	Roisl.0006s0357.1.p
OG0003429	XP_020887687.1	Roisl.0214s0501.1.p
OG0003431	XP_002870028.2	Roisl.0091s0442.1.p
OG0003432	XP_002870036.1	Roisl.0091s0456.1.p
OG0003432	XP_020880197.1	Roisl.0046s1235.1.p
OG0003433	XP_002877765.1	Roisl.0046s1015.1.p
OG0003434	XP_002864107.1	Roisl.0189s0240.1.p
OG0003434	XP_002864109.1	Roisl.0189s0238.1.p
OG0003435	XP_020882871.1	Roisl.0189s0253.1.p
OG0003437	XP_002862767.2, XP_002870314.2, XP_020872590.1, XP_002869960.1	Roisl.0200s0013.1.p
OG0003438	XP_020875107.1	Roisl.0091s0263.1.p
OG0003439	XP_002882700.2	Roisl.0074s0929.1.p, Roisl.0074s0989.1.p
OG0003440	XP_020873666.1	Roisl.0091s0134.1.p
OG0003441	XP_020873946.1, XP_002893827.1	Roisl.0056s0046.1.p
OG0003442	XP_020883493.1	Roisl.0028s0134.1.p
OG0003443	XP_002879998.1, XP_002876472.1	Roisl.0026s0020.1.p
OG0003444	XP_020884616.1	Roisl.0026s0177.1.p, Roisl.0028s0478.1.p
OG0003445	XP_002878125.1	Roisl.0026s0197.1.p, Roisl.0026s0198.1.p, Roisl.0012s0085.1.p, Roisl.0012s0084.1.p
OG0003446	XP_002879857.1	Roisl.0006s0001.1.p, Roisl.0013s0030.1.p, Roisl.0013s0002.1.p
OG0003447	XP_020888991.1	Roisl.0213s0721.1.p
OG0003447	XP_020881377.1	Roisl.0046s1274.1.p
OG0003448	XP_002883519.1, XP_002880717.1	Roisl.0053s0243.1.p
OG0003449	XP_020872566.1	Roisl.0001s0289.1.p
OG0003450	XP_020884532.1	Roisl.0001s0460.1.p, Roisl.0046s0598.1.p
OG0003452	XP_002874587.1	Roisl.0184s0134.1.p
OG0003453	XP_020884425.1	Roisl.0067s0075.1.p
OG0003454	XP_002882117.1, XP_002884016.2	Roisl.0067s0081.1.p
OG0003455	XP_020884939.1	Roisl.0035s0170.1.p
OG0003456	XP_020882884.1, XP_020870671.1	Roisl.0028s0106.1.p
OG0003457	XP_020885150.1	Roisl.0028s0194.1.p
OG0003458	XP_020885153.1	Roisl.0028s0197.1.p
OG0003461	XP_002884601.2	Roisl.0046s0440.1.p, Roisl.0046s0439.1.p, Roisl.0046s0438.1.p, Roisl.0079s0049.1.p
OG0003462	XP_020887583.1	Roisl.0079s0263.1.p
OG0003462	XP_020889068.1	Roisl.0079s0275.1.p
OG0003463	XP_002884846.2	Roisl.0011s0166.1.p
OG0003464	XP_020888313.1	Roisl.0074s0813.1.p
OG0003465	XP_020888817.1, XP_020888523.1	Roisl.0074s0627.1.p
OG0003466	XP_020888913.1, XP_002884984.1	Roisl.0074s0614.1.p
OG0003467	XP_020886990.1	Roisl.0045s0054.1.p
OG0003468	XP_020873688.1, XP_020873601.1	Roisl.0008s0251.1.p
OG0003469	XP_020875159.1	Roisl.0003s0099.1.p, Roisl.0003s0098.1.p
OG0003470	XP_002889723.1	Roisl.0091s1177.1.p
OG0003471	XP_020867702.1	Roisl.0091s1085.1.p
OG0003472	XP_020870240.1	Roisl.0091s1234.1.p
OG0003473	XP_002892539.2	Roisl.0021s0044.1.p
OG0003473	XP_002888220.1	Roisl.0214s0738.1.p
OG0003474	XP_020870220.1	Roisl.0021s0074.1.p
OG0003474	XP_002888200.1	Roisl.0214s0694.1.p
OG0003475	XP_020889869.1	Roisl.0010s0116.1.p
OG0003475	XP_002889936.1	Roisl.0021s0336.1.p
OG0003476	XP_002892720.1	Roisl.0021s0384.1.p
OG0003476	XP_002875329.1	Roisl.0011s0440.1.p
OG0003477	XP_002893817.1	Roisl.0007s0677.1.p
OG0003478	XP_002888774.2, XP_020889798.1	Roisl.0091s0632.1.p
OG0003479	XP_020872952.1	Roisl.0009s0245.1.p
OG0003480	XP_002885765.1	Roisl.0189s0171.1.p
OG0003481	XP_002863368.2	Roisl.0005s0003.1.p
OG0003481	XP_020872769.1	Roisl.0091s0623.1.p
OG0003482	XP_020886189.1, XP_002868148.1	Roisl.0074s0238.1.p
OG0003483	XP_002862549.2, XP_020883759.1, XP_002882056.1	Roisl.0035s0120.1.p
OG0003484	XP_020872870.1	Roisl.0115s0754.1.p
OG0003484	XP_002867467.1	Roisl.0022s0481.1.p, Roisl.0022s0482.1.p
OG0003485	XP_020872844.1	Roisl.0001s0386.1.p
OG0003485	XP_020872842.1	Roisl.0001s0387.1.p
OG0003486	XP_020873012.1	Roisl.0001s0201.1.p
OG0003487	XP_020886226.1	Roisl.0065s0002.1.p
OG0003487	XP_002869134.1	Roisl.0001s0066.1.p
OG0003488	XP_002878736.1	Roisl.0004s0004.1.p
OG0003489	XP_020867382.1	Roisl.0191s0150.1.p
OG0003490	XP_020869967.1	Roisl.0214s0223.1.p
OG0003490	XP_020869895.1	Roisl.0191s0152.1.p
OG0003491	XP_020866646.1	Roisl.0191s0319.1.p
OG0003494	XP_002894513.1	Roisl.0045s0073.1.p, Roisl.0066s0272.1.p, Roisl.0021s0533.1.p, Roisl.0036s0083.1.p, Roisl.0066s0271.1.p, Roisl.0045s0072.1.p, Roisl.0047s0021.1.p, Roisl.0045s0071.1.p
OG0003495	XP_002888316.1, XP_020890937.1, XP_002888317.1, XP_020890830.1, XP_020876987.1, XP_002888318.2	Roisl.0008s0106.1.p
OG0003496	XP_002887077.1, XP_020891385.1, XP_002888554.1, XP_002888551.1, XP_002888553.1	Roisl.0024s0051.1.p, Roisl.0024s0052.1.p
OG0003497	XP_020891116.1, XP_020889985.1	Roisl.0195s0018.1.p, Roisl.0019s0855.1.p
OG0003498	XP_020875900.1	Roisl.0046s0131.1.p
OG0003500	XP_020880266.1	Roisl.0027s0034.1.p, Roisl.0027s0001.1.p, Roisl.0027s0031.1.p, Roisl.0027s0037.1.p, Roisl.0037s0002.1.p, Roisl.0027s0004.1.p
OG0003502	XP_002864187.1	Roisl.0031s0032.1.p
OG0003503	XP_002875238.1, XP_002875237.1	Roisl.0016s0370.1.p, Roisl.0016s0373.1.p
OG0003504	XP_020886777.1, XP_020871976.1	Roisl.0053s0342.1.p
OG0003512	XP_020885344.1	Roisl.0036s0007.1.p, Roisl.0025s0078.1.p
OG0003514	XP_002871741.1	Roisl.0210s1393.1.p
OG0003515	XP_002873747.1	Roisl.0210s1286.1.p
OG0003516	XP_020878800.1	Roisl.0210s0864.1.p
OG0003517	XP_020886418.1	Roisl.0115s0290.1.p
OG0003518	XP_002871345.1, XP_002877859.1	Roisl.0210s0605.1.p
OG0003519	XP_002866432.1	Roisl.0080s0114.1.p
OG0003520	XP_020877610.1	Roisl.0210s0506.1.p
OG0003520	XP_020887563.1	Roisl.0074s0997.1.p
