Orthogroup	Arabidopsis_lyrata_NCBI	Brassica_rapa
OG0003047	XP_002888597.2	XP_009105284.1
OG0003048	XP_002887128.1	XP_009127558.1
OG0003048	XP_020866860.1	XP_018509341.2, XP_009103004.1
OG0003049	XP_002888632.1	XP_009105339.1, XP_009127585.1, XP_009105086.1
OG0003050	XP_020890920.1	XP_009127390.1
OG0003050	XP_002868460.1	XP_009144656.1
OG0003051	XP_020870685.1	XP_009103033.1
OG0003051	XP_020873678.1	XP_009138572.1
OG0003052	XP_002878537.1	XP_009117431.1
OG0003052	XP_020872801.1	XP_009109529.1
OG0003054	XP_020874256.1, XP_020875028.1	XP_018515003.1
OG0003055	XP_002873931.1	XP_009120917.1, XP_009126298.1, XP_009126299.1
OG0003056	XP_020887438.1, XP_020878272.1	XP_009124943.1
OG0003057	XP_020876187.1	XP_009111709.1
OG0003058	XP_020889399.1	XP_009134789.2, XP_009124200.1
OG0003059	XP_020884109.1	XP_033148022.1
OG0003060	XP_020869016.1	XP_033147582.1
OG0003061	XP_002880073.1	XP_009142232.1
OG0003062	XP_002881934.1	XP_009133643.1, XP_033145459.1, XP_009142299.2, XP_033145457.1
OG0003063	XP_002879950.1	XP_009142771.2, XP_009142772.1
OG0003064	XP_002882401.1	XP_009124069.1
OG0003064	XP_020876905.1	XP_009151208.1
OG0003065	XP_002882422.1	XP_009147227.1, XP_009134829.1, XP_009124018.1
OG0003066	XP_020886154.1	XP_033147705.1
OG0003066	XP_020888079.1	XP_009124859.1, XP_009147214.1
OG0003067	XP_020888024.1, XP_002863984.1	XP_009111879.1, XP_009129785.1
OG0003068	XP_020889525.1	XP_009135090.1, XP_009146980.1
OG0003069	XP_020889003.1, XP_002884818.1	XP_009135138.2, XP_009122559.1
OG0003070	XP_002891840.1	XP_009135304.1, XP_009146498.1, XP_009124744.1
OG0003071	XP_020889712.1	XP_018510802.1
OG0003071	XP_020887246.1	XP_009135845.1
OG0003072	XP_020886476.1	XP_009113573.2, XP_009135565.1
OG0003072	XP_020868450.1	XP_009145944.1
OG0003073	XP_020886618.1	XP_018514773.1
OG0003073	XP_020868677.1	XP_009144999.2
OG0003074	XP_002887043.1	XP_009105207.1, XP_009148657.1
OG0003075	XP_002871847.1	XP_009120935.1
OG0003076	XP_020878864.1	XP_009111466.1
OG0003076	XP_020870080.1	XP_009119731.1, XP_009118831.2
OG0003077	XP_020866660.1	XP_009119713.1
OG0003077	XP_002872952.1	XP_009111487.2
OG0003078	XP_002892124.1	XP_009118746.1, XP_009109724.1, XP_009109723.2, XP_009111183.1, XP_009119612.1
OG0003079	XP_020870322.1	XP_009119549.1
OG0003080	XP_002881146.1	XP_009141120.1
OG0003081	XP_002886604.2	XP_009103874.1
OG0003081	XP_020869791.1	XP_009148418.1
OG0003082	XP_002875083.1	XP_009129220.2, XP_018510015.1
OG0003083	XP_002892843.1	XP_009110512.1, XP_009148884.1, XP_009117859.1
OG0003084	XP_020865961.1	XP_009128064.1
OG0003084	XP_002892869.1	XP_009148940.1
OG0003085	XP_002890281.1	XP_009149293.1
OG0003085	XP_020891015.1	XP_009117611.1
OG0003086	XP_002889066.1	XP_009106276.1
OG0003086	XP_020866803.1	XP_009110223.1
OG0003087	XP_020868213.1	XP_009103331.1, XP_009149548.1, XP_009110216.1
OG0003088	XP_002890403.1	XP_009149550.1
OG0003089	XP_002875612.2, XP_020881776.1	XP_033129108.1, XP_033130983.1
OG0003090	XP_020869832.1	XP_009103234.1
OG0003092	XP_002865343.1, XP_002865344.2	XP_009110594.1
OG0003093	XP_002867011.1	XP_009144195.1, XP_009144127.1, XP_009138429.1, XP_009109314.1
OG0003094	XP_002869118.1	XP_009108695.1
OG0003094	XP_002869117.1	XP_033134063.1
OG0003095	XP_020877429.1	XP_033136780.1
OG0003095	XP_020874608.1	XP_009108028.2
OG0003096	XP_002867263.1	XP_009138067.1, XP_009130110.2, XP_009126385.2
OG0003097	XP_020866640.1	XP_009115415.1, XP_009110042.1
OG0003098	XP_020879122.1	XP_009134484.1, XP_009128513.1, XP_009151456.1, XP_009134481.1, XP_009134482.1
OG0003100	XP_002866860.1, XP_002886809.1, XP_002872377.1, XP_002879049.1, XP_002893899.1, XP_002863192.1, XP_020871405.1, XP_020880674.1	XP_033136256.1, XP_033141178.1, XP_033148560.1
OG0003101	XP_002886156.2, XP_020887974.1	XP_009150747.1
OG0003102	XP_002867334.1	XP_009127643.2, XP_018509273.2
OG0003102	XP_020884549.1	XP_009137959.1
OG0003103	XP_020882903.1	XP_009140956.1
OG0003104	XP_020871025.1	XP_033135290.1, XP_033142401.1
OG0003104	XP_002879268.1	XP_033145609.1
OG0003105	XP_002868658.2, XP_020866180.1, XP_020880697.1, XP_020876971.1, XP_020872478.1, XP_020881868.1, XP_020873016.1	XP_009120083.2
OG0003106	XP_002881483.1	XP_033148156.1, XP_033145881.1, XP_033143087.1
OG0003106	XP_020881950.1	XP_033131413.1, XP_033137118.1
OG0003116	XP_020885721.1	XP_009140505.2
OG0003117	XP_002871786.1	XP_009121042.1, XP_033143049.1
OG0003118	XP_002871696.2	XP_009121530.1
OG0003118	XP_020886892.1	XP_009134674.1
OG0003119	XP_020878034.1	XP_009131430.1, XP_009121622.1
OG0003120	XP_002871417.1	XP_009122063.1
OG0003120	XP_002864949.1	XP_009112174.1
OG0003121	XP_020884315.1, XP_002881250.1	XP_009143928.1, XP_009132904.2
OG0003122	XP_002869685.1	XP_009137503.1, XP_009138982.1
OG0003123	XP_002869348.1	XP_009108954.1, XP_009127279.1
OG0003124	XP_002893545.1	XP_009132972.2
OG0003125	XP_020866980.1	XP_009115010.1
OG0003125	XP_002892550.1	XP_009148337.1
OG0003126	XP_020866460.1	XP_009108111.1
OG0003127	XP_020883205.1	XP_009103487.1
OG0003128	XP_020878591.1	XP_009131882.1, XP_009120652.1
OG0003128	XP_002870516.1	XP_033132268.1
OG0003129	XP_020885884.1, XP_002875922.1	XP_009112088.2, XP_009150411.1
OG0003130	XP_020888136.1	XP_009112052.1
OG0003130	XP_002866528.1	XP_009112048.1
OG0003131	XP_002873308.1	XP_009122338.1
OG0003132	XP_020881666.1	XP_009149761.1
OG0003133	XP_020890141.1	XP_009113133.2
OG0003133	XP_020890046.1	XP_033133490.1, XP_009113135.1
OG0003134	XP_020886724.1	XP_009145389.1, XP_009135802.1
OG0003136	XP_002872005.1	XP_033134346.1
OG0003136	XP_002872006.1	XP_033140100.1
OG0003138	XP_020871713.1, XP_002864162.1	XP_009127250.1, XP_009132533.1
OG0003139	XP_002867588.1	XP_009120252.1
OG0003140	XP_020871821.1, XP_020867047.1, XP_020869804.1, XP_020869802.1	XP_009145385.1, XP_009103273.2
OG0003141	XP_020889192.1	XP_009146048.1, XP_009135509.1, XP_033143957.1
OG0003142	XP_020878222.1, XP_020866988.1	XP_033139976.1, XP_033134572.1
OG0003143	XP_002874910.1	XP_009111279.2
OG0003145	XP_002873164.1	XP_009130833.2
OG0003146	XP_020878126.1	XP_009122594.1
OG0003148	XP_002887955.1	XP_009112941.1, XP_009112750.1
OG0003150	XP_020890391.1	XP_033141834.1
OG0003150	XP_020868015.1	XP_009148946.1
OG0003152	XP_002892904.2	XP_009117767.1
OG0003153	XP_002889216.1	XP_009106600.1, XP_009104565.1
OG0003154	XP_002887659.1	XP_009104656.1
OG0003154	XP_020869362.1	XP_009149597.1, XP_009110193.1
OG0003155	XP_002887656.1	XP_033132089.1, XP_009128193.1
OG0003156	XP_002875292.1	XP_009103362.1, XP_009149497.1
OG0003157	XP_002887579.2	XP_009104713.1
OG0003157	XP_020870088.1	XP_009149434.1
OG0003158	XP_020887589.1	XP_009147615.1
OG0003158	XP_002894431.1	XP_009144782.1
OG0003159	XP_002881427.1	XP_033147443.1, XP_009133064.1, XP_009141561.1
OG0003160	XP_020884825.1, XP_002887089.1	XP_009133078.1, XP_009141587.1
OG0003161	XP_020881723.1	XP_009150068.1
OG0003162	XP_002885608.1	XP_009102560.1
OG0003163	XP_002870291.1	XP_009148357.1
OG0003164	XP_002883306.1	XP_033147469.1
OG0003165	XP_002888929.1	XP_009104808.1, XP_009127995.1
OG0003166	XP_002892991.1	XP_009149269.1
OG0003167	XP_020882452.1	XP_009151914.1, XP_033140676.1
OG0003168	XP_002868719.1	XP_018513970.1
OG0003168	XP_002875495.1	XP_009151808.1
OG0003169	XP_020880903.1	XP_018515514.1
OG0003172	XP_002886956.1, XP_020865619.1	XP_009140719.1
OG0003172	XP_020865697.1	XP_009105158.1
OG0003173	XP_002894209.2	XP_033128450.1
OG0003175	XP_020890613.1, XP_002894011.1	XP_009101819.1, XP_009123703.1
OG0003176	XP_002868057.1	XP_009136851.1, XP_009130677.1
OG0003177	XP_002865850.1, XP_020882882.1	XP_033138769.1, XP_033137903.1, XP_009119427.2, XP_009127317.1
OG0003178	XP_002864011.1	XP_009134025.1
OG0003178	XP_020867997.1	XP_033128037.1
OG0003179	XP_002870155.1	XP_009136775.1, XP_009145854.1
OG0003179	XP_002881412.1	XP_009141515.1
OG0003180	XP_002870123.1, XP_020883100.1	XP_009108293.1, XP_009145206.1
OG0003181	XP_020881927.1, XP_020882348.1	XP_009136578.1, XP_009115775.1
OG0003182	XP_020882239.1	XP_009116731.1
OG0003182	XP_020887656.1	XP_009104266.1
OG0003183	XP_020880100.1, XP_002880069.1	XP_009138892.1, XP_009116647.1, XP_009104225.1
OG0003184	XP_020880516.1	XP_009104132.1
OG0003186	XP_002877393.1	XP_033134380.1
OG0003187	XP_002878059.1	XP_009116302.2
OG0003189	XP_002876279.1	XP_009116195.2
OG0003190	XP_020884543.1	XP_009141670.1
OG0003191	XP_020891172.1	XP_009105361.1
OG0003192	XP_020886292.1, XP_020877834.1	XP_009150755.2
OG0003193	XP_020880686.1	XP_009139085.1
OG0003194	XP_020873566.1, XP_020884364.1	XP_009141793.2, XP_009133348.1, XP_009143336.1
OG0003195	XP_002880518.1	XP_033145482.1
OG0003195	XP_002869012.1	XP_009138463.1, XP_009140331.1
OG0003196	XP_020883634.1	XP_009117079.1
OG0003196	XP_020875270.1	XP_033135190.1
OG0003198	XP_020876956.1	XP_018508090.1
OG0003198	XP_020888394.1	XP_009134820.1
OG0003199	XP_020887575.1	XP_009112631.1, XP_009102004.2
OG0003199	XP_002869504.1	XP_009129641.1
OG0003200	XP_002874434.1	XP_009151260.1, XP_009129817.2
OG0003201	XP_020889286.1, XP_020876965.1	XP_009124072.1, XP_009147256.1, XP_009134819.1
OG0003202	XP_020876091.1	XP_009131712.1
OG0003203	XP_002882518.1, XP_002882519.1	XP_009147095.1
OG0003206	XP_020889473.1	XP_033142348.1, XP_033148869.1, XP_009146579.1
OG0003207	XP_002885295.1	XP_018514459.2
OG0003207	XP_020888651.1	XP_009128556.1, XP_009144993.1
OG0003208	XP_002885269.2	XP_009146116.1, XP_009112576.1
OG0003210	XP_002868819.1	XP_009125055.1
OG0003211	XP_002892237.1	XP_009119263.2, XP_009111086.2
OG0003211	XP_002889800.1	XP_033128735.1
OG0003212	XP_020871007.1	XP_033129011.1, XP_033132517.1
OG0003213	XP_002889693.1	XP_009110895.1
OG0003214	XP_002886639.1	XP_009103320.1
OG0003215	XP_020869514.1	XP_009118059.1, XP_009148571.1
OG0003216	XP_002889990.1	XP_009118018.1
OG0003217	XP_020882401.1, XP_020873596.1	XP_009101277.1
OG0003218	XP_020868579.1	XP_009110416.1, XP_009149175.1
OG0003219	XP_020866574.1	XP_033137104.1, XP_009103230.1
OG0003220	XP_020865874.1	XP_009105864.1
OG0003220	XP_020867355.1	XP_009115616.1
OG0003221	XP_020869024.1	XP_009115585.1
OG0003222	XP_020869161.1	XP_009103210.1, XP_009115580.1
OG0003223	XP_002888114.1, XP_020890145.1	XP_009104241.1, XP_009105031.1
OG0003224	XP_002888193.1	XP_009113287.1
OG0003224	XP_020890334.1	XP_009113286.1
OG0003225	XP_002868169.2	XP_033144816.1
OG0003226	XP_002894087.1	XP_009145033.1, XP_009148008.1
OG0003228	XP_002862299.1, XP_002862297.1, XP_002869195.1	XP_033144404.1, XP_033144515.1
OG0003229	XP_020868627.1, XP_020869051.1	XP_009110032.2
OG0003230	XP_002867490.1	XP_009143697.1
OG0003230	XP_020890911.1	XP_009127377.1
OG0003231	XP_020882139.1	XP_009152149.1
OG0003231	XP_002876894.1	XP_033139876.1
OG0003233	XP_002867021.1, XP_020868290.1	XP_009138418.2, XP_009109316.1
OG0003236	XP_002880449.1	XP_009140363.1, XP_009112519.1
OG0003239	XP_002877402.1	XP_009150075.1
OG0003240	XP_020872735.1	XP_033128071.1, XP_033128985.1, XP_033128072.1
OG0003240	XP_002868043.1	XP_018512744.2
OG0003246	XP_020880211.1	XP_009149968.1, XP_009150439.1
OG0003247	XP_002877511.1	XP_009149965.2
OG0003247	XP_020886739.1	XP_009150445.2
OG0003248	XP_020880361.1, XP_020880360.1	XP_009150821.1, XP_009150805.1, XP_018515530.2
OG0003249	XP_020888647.1	XP_009128879.1
OG0003250	XP_002871651.1	XP_009121605.1, XP_009131443.1
OG0003250	XP_020888147.1	XP_009134623.1
OG0003251	XP_002873645.1	XP_009131381.1
OG0003252	XP_020875901.1	XP_009130043.1
OG0003254	XP_020884793.1	XP_009150576.1
OG0003254	XP_002873446.1	XP_009131148.1
OG0003255	XP_002873445.1	XP_009122074.1
OG0003255	XP_002873444.1	XP_009122077.1
OG0003256	XP_002873441.1, XP_020878014.1	XP_009122081.1, NP_001288991.1, XP_009125323.1, XP_018512519.1
OG0003257	XP_002873413.1	XP_009131119.1, XP_009122531.1
OG0003258	XP_020871289.1	XP_009130448.1, XP_009150507.1
OG0003259	XP_020883502.1	XP_009144351.1
OG0003259	XP_020869365.1, XP_020876050.1	XP_009133841.1
OG0003260	XP_020883054.1	XP_009141068.2, XP_009132739.2
OG0003261	XP_002881119.1	XP_009141078.1, XP_009144290.1
OG0003262	XP_002892300.2	XP_033138573.1
OG0003262	XP_020873864.1, XP_002879352.1	XP_033147742.1
OG0003263	XP_002894166.1, XP_020869379.1	XP_009145067.1, XP_009144673.1, XP_033130304.1, XP_009147908.1
OG0003265	XP_002868681.1	XP_009140128.2, XP_009137246.3
OG0003266	XP_020867576.1	XP_009115433.1, XP_009110057.1
OG0003267	XP_002890869.1	XP_033137227.1
OG0003267	XP_002890868.1	XP_033130684.1
OG0003268	XP_002864752.1, XP_020872000.1	XP_009136511.1
OG0003269	XP_020882936.1	XP_009150477.1, XP_009130436.2
OG0003270	XP_020871210.1	XP_009130153.1, XP_033138938.1, XP_009136444.1
OG0003271	XP_002872062.1	XP_009141584.1, XP_009150886.1, XP_009130109.1
OG0003273	XP_002875706.1	XP_033140209.1
OG0003273	XP_020879238.1	XP_009131901.1
OG0003274	XP_020887399.1	XP_033132047.1
OG0003275	XP_002884941.1, XP_020889664.1	XP_009135282.2, XP_009135285.2, XP_009124708.2
OG0003276	XP_002866267.1, XP_002868499.1	XP_033141386.1, XP_009132279.1, XP_009120355.2
OG0003277	XP_020873729.1	XP_009142455.1, XP_009137600.1
OG0003278	XP_020881404.1	XP_009149712.1, XP_009152207.1
OG0003279	XP_020882187.1, XP_002864972.1, XP_020880282.1	XP_009150125.1
OG0003280	XP_002873099.1, XP_002873082.1	XP_009125487.1
OG0003281	XP_002889929.1, XP_020879427.1	XP_009122810.1, XP_009125438.1
OG0003282	XP_002893274.1, XP_002893039.1	XP_033144221.1, XP_009127815.1, XP_009104947.1
OG0003283	XP_020885080.1	XP_009127607.1
OG0003285	XP_020875114.1	XP_009136970.1, XP_009132304.1
OG0003286	XP_002869968.1	XP_009133184.1, XP_009133175.1, XP_009133165.2, XP_009137017.2
OG0003287	XP_020869192.1, XP_020866076.1	XP_009104585.1, XP_009106521.2
OG0003288	XP_020891623.1, XP_020871969.1, XP_020880292.1, XP_020881695.1, XP_020871400.1, XP_020882083.1	XP_033146009.1
OG0003289	XP_020886714.1	XP_009148046.1
OG0003289	XP_020874249.1	XP_009107806.1
OG0003290	XP_020886691.1	XP_009145416.2
OG0003290	XP_002870266.2	XP_033140821.1
OG0003291	XP_002887948.1, XP_020889821.1	XP_033144230.1
OG0003292	XP_002890630.1	XP_009110048.1, XP_033135140.1
OG0003293	XP_002894342.1	XP_009144960.1
OG0003293	XP_020874160.1, XP_020875353.1, XP_002868595.1	XP_033132426.1
OG0003294	XP_020887501.1	XP_009146231.1
OG0003295	XP_002868000.1	XP_009136926.1, XP_009131621.1
OG0003297	XP_020871092.1, XP_020877374.1, XP_002862247.1	XP_009150384.1
OG0003298	XP_002869973.2	XP_009132976.1
OG0003299	XP_020889657.1, XP_002865852.1	XP_009132612.1
OG0003300	XP_002894238.1	XP_009105314.1
OG0003301	XP_020871744.1	XP_009149079.1
OG0003301	XP_020880791.1	XP_009115817.1
OG0003302	XP_002878389.1	XP_009104317.1, XP_009116821.1
OG0003303	XP_002876245.1	XP_009139259.1
OG0003304	XP_020873256.1	XP_009143203.1
OG0003304	XP_020872488.1	XP_009137644.1
OG0003305	XP_002883602.2	XP_009112683.1
OG0003306	XP_002885739.1	XP_009102403.1
OG0003306	XP_020870886.1	XP_009151631.1
OG0003307	XP_002890706.1, XP_020889986.1	XP_018508212.1
OG0003308	XP_002886267.1	XP_009150721.1
OG0003309	XP_002891820.1	XP_009106898.1, XP_009147521.1
OG0003310	XP_002891295.2	XP_009123064.1
OG0003311	XP_002880289.1	XP_009118824.1, XP_009142549.1
OG0003312	XP_020891076.1	XP_009106272.1
OG0003312	XP_020882962.1	XP_009143011.1
OG0003313	XP_002867109.1	XP_009110778.1
OG0003314	XP_002882393.1	XP_009151231.1, XP_009147278.1, XP_009134810.1
OG0003315	XP_020878093.1	XP_009124948.1
OG0003316	XP_020888345.1	XP_009129650.1
OG0003316	XP_020878476.1	XP_009120929.1
OG0003317	XP_020868605.1	XP_009129743.1, XP_009151666.1
OG0003318	XP_020889206.1, XP_002885081.1	XP_009146263.1, XP_009115623.1
OG0003319	XP_002883029.1	XP_009146056.1, XP_009114175.2
OG0003320	XP_020886324.1	XP_009145845.1
OG0003321	XP_002867241.1	XP_009109097.1, XP_009144418.1
OG0003322	XP_002870821.2	XP_033145838.1
OG0003322	XP_020881615.1	XP_033129751.1
OG0003324	XP_002869392.1	XP_009137893.1
OG0003324	XP_002884180.1	XP_009128021.2
OG0003325	XP_020866536.1	XP_009111881.2
OG0003326	XP_020880250.1	XP_009115879.2, XP_009136634.2
OG0003327	XP_020879193.1	XP_009111444.1
OG0003328	XP_002872915.1	XP_033143211.1
OG0003329	XP_002869367.1	XP_009127692.1
OG0003330	XP_002892393.2	XP_009118447.2, XP_009118969.1
OG0003330	XP_020884881.1	XP_033145178.1
OG0003331	XP_020870304.1	XP_009113429.3
OG0003331	XP_020869690.1	XP_009148126.2, XP_033132317.1
OG0003332	XP_020869165.1	XP_009110543.1
OG0003332	XP_020879963.1	XP_009101242.1
OG0003333	XP_020868127.1	XP_009117798.2, XP_009149017.1
OG0003334	XP_020868413.1	XP_009149412.1, XP_009149407.1, XP_009117552.1, XP_009110282.2, XP_009110283.1
OG0003335	XP_020870360.1	XP_009103342.1, XP_009149525.1
OG0003336	XP_002890540.2	XP_009103215.1
OG0003336	XP_020865624.1	XP_009105806.2
OG0003337	XP_002888791.1	XP_009115557.1
OG0003337	XP_020868670.1	XP_009110113.1
OG0003338	XP_020867324.1, XP_020890345.1	XP_033130289.1, XP_009104968.1
OG0003339	XP_020871347.1	XP_033134119.1
OG0003340	XP_020874330.1	XP_009128970.1
OG0003341	XP_002874766.2	XP_009101692.2
OG0003342	XP_020891358.1	XP_009127454.1, XP_033129929.1, XP_009139711.1
OG0003343	XP_020873133.1, XP_020873139.1	XP_009128695.1
OG0003346	XP_020874117.1	XP_033138925.1
OG0003347	XP_020874911.1	XP_009109286.1, XP_009138380.1, XP_009151452.1, XP_018509315.1, XP_018513560.1
OG0003348	XP_002867064.1, XP_020876592.1, XP_020875685.1	XP_033133164.1, XP_009138379.1, XP_009151705.1, XP_009151594.1
OG0003349	XP_002893990.1	XP_009113403.1
OG0003349	XP_002862579.1, XP_020873869.1	XP_009138268.1
OG0003350	XP_020872078.1	XP_009138078.1, XP_018509150.1, XP_009108879.1
OG0003351	XP_020890857.1, XP_020890856.1	XP_009104877.1, XP_009127898.1
OG0003353	XP_020872612.1	XP_009109131.1, XP_009137666.1, XP_009143539.1
OG0003356	XP_002893492.1	XP_033147460.1, XP_033147459.1
OG0003358	XP_020880876.1, XP_002870603.1	XP_033147187.1, XP_033146393.1, XP_033143319.1, XP_033143445.1, XP_033129517.1, XP_033137727.1, XP_033147054.1, XP_033130644.1, XP_033134512.1, XP_033133706.1, XP_033138320.1, XP_033134828.1, XP_033135499.1, XP_033141149.1, XP_033139198.1, XP_033136415.1, XP_033134353.1, XP_033138755.1, XP_033143677.1
OG0003360	XP_020885993.1	XP_009136268.1
OG0003364	XP_002875354.1	XP_009129455.1
OG0003364	XP_002868621.1	XP_033130938.1
OG0003365	XP_002880792.1, XP_002876908.2	XP_009123845.1
OG0003366	XP_020868680.1	XP_033132359.1
OG0003366	XP_020889072.1	XP_009135377.1, XP_009146378.2, XP_033142979.1
OG0003367	XP_020885369.1	XP_018513114.1
OG0003367	XP_020888729.1	XP_033144845.1, XP_033136558.1, XP_033143275.1, XP_009124759.1
OG0003372	XP_020881711.1	XP_009150779.1, NP_001288820.1
OG0003373	XP_002893495.1	XP_033137133.1
OG0003373	XP_002890755.1	XP_009113714.1
OG0003374	XP_020870920.1	XP_009151453.1, XP_009114857.1
OG0003375	XP_002864086.1	XP_009145736.1, XP_009111476.1
OG0003376	XP_002883713.1	XP_009136197.1, XP_009102355.1
OG0003377	XP_002873768.1	XP_009126108.1, XP_033139556.1, XP_033139557.1, XP_033143170.1
OG0003378	XP_020877574.1	XP_009121503.1
OG0003378	XP_002882243.1	XP_009147347.1
OG0003379	XP_020874969.1	XP_033145432.1
OG0003381	XP_020878342.1	XP_009121869.1
OG0003383	XP_002871438.1	XP_009131179.1
OG0003383	XP_020878464.1	XP_009151022.1
OG0003384	XP_020883076.1, XP_020883073.1, XP_020875167.1	XP_009138503.1
OG0003385	XP_002873346.1	XP_009122429.1
OG0003386	XP_002873323.2	XP_009131008.2, XP_009125700.2
OG0003387	XP_020873618.1	XP_009138660.2
OG0003388	XP_020873379.1	XP_009138611.1
OG0003389	XP_002879398.1, XP_002880840.1	XP_009118163.1, XP_009148635.1
OG0003390	XP_020882988.1	XP_009144319.1, XP_009141050.1
OG0003392	XP_020889551.1, XP_020889541.1	XP_009123931.2, XP_009101736.1
OG0003393	XP_020885711.1	XP_033147214.1
OG0003393	XP_002890883.1	XP_009115120.1
OG0003395	XP_002862568.1, XP_002866694.1	XP_033129429.1
OG0003395	XP_002877702.1	XP_009115659.1
OG0003396	XP_020885853.1, XP_002873421.1	XP_009112146.1, XP_009131122.1
OG0003397	XP_002869205.1	XP_009108786.1, XP_009121158.1, XP_009138195.1, XP_018515249.1
OG0003398	XP_002866539.1	XP_009130244.1
OG0003399	XP_020888635.1, XP_020871873.1	XP_009130242.1, XP_033135739.1
OG0003400	XP_020872001.1	XP_009130238.1
OG0003400	XP_020880378.1	XP_033136610.1, XP_009151409.2
OG0003401	XP_002874156.1, XP_002874157.1	XP_033129570.1, XP_033140506.1
OG0003402	XP_020878866.1	XP_033141491.1, XP_033138618.1
OG0003404	XP_002864584.1, XP_020881342.1	XP_009132034.1
OG0003405	XP_002864474.1, XP_020871998.1	XP_009132187.1, XP_009120180.1
OG0003408	XP_020875938.1	XP_018513165.2, XP_009125582.1, XP_033138162.1, XP_009122548.1
OG0003409	XP_020875870.1	XP_009130764.1
OG0003410	XP_002882613.1	XP_009146936.1
OG0003410	XP_002870955.1	XP_009130684.1
OG0003411	XP_020878637.1, XP_020887193.1	XP_009123801.1
OG0003412	XP_002884700.1	XP_009135087.1, XP_009146976.2
OG0003413	XP_020888259.1	XP_009140150.1
OG0003414	XP_020890423.1	XP_009128320.1, XP_009106607.2
OG0003415	XP_002866831.1	XP_009101896.1, XP_033132994.1
OG0003416	XP_002887644.1	XP_009104670.1, XP_009128182.1, XP_009106321.1
OG0003417	XP_002894517.2	XP_009144738.1, XP_009106839.1, XP_009147491.1
OG0003418	XP_002891764.2	XP_009116933.1
OG0003419	XP_020867130.1, XP_020867129.1	XP_009144771.1
OG0003421	XP_020889002.1	XP_009106438.1, XP_009102595.1
OG0003422	XP_020885431.1	XP_018509956.2
OG0003422	XP_020875667.1	XP_009137459.2
OG0003423	XP_020890526.1	XP_009106028.1, XP_009104798.1
OG0003423	XP_020874627.1	XP_018513555.1
OG0003424	XP_020881940.1	XP_033136950.1, XP_009151868.2
OG0003425	XP_020868631.1	XP_009103106.1, XP_009115400.1
OG0003426	XP_002870049.1	XP_018508030.1, XP_009131645.1
OG0003427	XP_002891660.1	NP_001288913.1, XP_009147731.1
OG0003428	XP_002891661.2	XP_009144879.1
OG0003428	XP_020888735.1	XP_009145487.1
OG0003429	XP_002894411.1	XP_009147647.1
OG0003429	XP_020887687.1	XP_033131220.1
OG0003431	XP_002870028.2, XP_002870027.1	XP_033133282.1, XP_033144868.1
OG0003432	XP_002870036.1	XP_009131990.1
OG0003434	XP_002864107.1, XP_002864109.1	XP_009119432.1, XP_009132607.1
OG0003435	XP_020882871.1	XP_009119423.1, XP_033140987.1
OG0003437	XP_002870315.2	XP_009113887.2
OG0003438	XP_020875107.1	XP_033132463.1, XP_018515291.2
OG0003439	XP_002882700.2	XP_018511610.2
OG0003440	XP_020873666.1	XP_009137218.1, XP_009108535.1, XP_009135379.1, XP_009135393.2
OG0003441	XP_020873946.1, XP_002893827.1	XP_009107922.1, XP_018510041.1
OG0003442	XP_020883493.1	XP_009143043.1
OG0003443	XP_002879998.1, XP_002876472.1	XP_009116543.1, XP_009138946.1, XP_009104166.1
OG0003444	XP_020884616.1	XP_009141990.1, XP_009133486.1
OG0003445	XP_002878125.1	XP_009139050.2, XP_009139053.2
OG0003446	XP_002879857.1	XP_009143233.1, XP_009141877.1
OG0003447	XP_020888991.1	XP_033145019.1, XP_009102362.1
OG0003448	XP_002883519.1, XP_002880717.1	XP_009105912.1, XP_009135890.1, XP_009102511.1
OG0003449	XP_020872566.1	XP_009124616.1, XP_009109333.1, XP_033146472.1
OG0003450	XP_020884532.1	XP_009112530.1, XP_009140352.1
OG0003452	XP_002874587.1	XP_009113552.1
OG0003452	XP_002891076.2	XP_033136102.1
OG0003453	XP_020884425.1	XP_009142537.1
OG0003454	XP_002882117.1, XP_002884016.2	XP_009142542.1
OG0003455	XP_020884939.1	XP_033142437.1, XP_009142364.1, XP_009143170.1
OG0003456	XP_020882884.1, XP_020870671.1	XP_009143067.1
OG0003457	XP_020885150.1	XP_009133649.2
OG0003457	XP_002878300.1	XP_009142982.1
OG0003460	XP_002882462.1	XP_033147242.1
OG0003461	XP_002884601.2	XP_009134914.1
OG0003462	XP_020887583.1, XP_020889068.1	XP_009135075.1, XP_009146954.1
OG0003463	XP_020879962.1, XP_002884846.2	XP_009146722.1
OG0003464	XP_020888313.1	XP_009121027.1, XP_009146670.2, XP_009135195.1
OG0003465	XP_020888817.1, XP_020888523.1	XP_009117633.2, XP_009135312.1, XP_009146469.1, XP_009146520.1
OG0003466	XP_020888913.1, XP_002884984.1	XP_009117519.2, XP_009146459.2
OG0003467	XP_020886990.1	XP_009135462.2
OG0003468	XP_020873688.1, XP_020873601.1	XP_009137991.1, XP_009137982.1
OG0003469	XP_020875159.1	XP_009114608.1
OG0003470	XP_002889723.1	XP_009110866.2, XP_009118334.1, XP_009148151.1
OG0003471	XP_020867702.1, XP_020867703.1	XP_009110909.1
OG0003472	XP_020870240.1	XP_033133455.1, XP_009110824.1, XP_009118317.1, XP_009148248.1
