Orthogroup	Arabidopsis_lyrata_NCBI	Arabis_alpina
OG0001635	XP_020879951.1	Aa_G426060.h1.t1
OG0001636	XP_020880300.1, XP_002872121.1	Aa_G45250.h1.t1
OG0001638	XP_002871914.1	Aa_G68340.h1.t1, Aa_G68330.h1.t1
OG0001639	XP_020868419.1, XP_020885537.1	Aa_G21970.h1.t1, Aa_G21930.h1.t1
OG0001639	XP_020887203.1, XP_020885595.1, XP_020871992.1, XP_020885476.1, XP_020877313.1, XP_020871458.1	Aa_G21960.h1.t1
OG0001640	XP_002869598.1	Aa_G618290.h1.t1
OG0001640	XP_020871610.1	Aa_G48400.h1.t1
OG0001641	XP_020888483.1	Aa_G442010.h1.t1
OG0001641	XP_002867539.1	Aa_G86600.h1.t1
OG0001642	XP_002864371.1	Aa_G605090.h1.t1, Aa_G483080.h1.t1
OG0001643	XP_020875391.1	Aa_G107270.h1.t1
OG0001643	XP_002866033.1	Aa_G516260.h1.t1
OG0001644	XP_020888230.1	Aa_G102830.h1.t1
OG0001644	XP_002878346.2	Aa_G414710.h1.t1, Aa_G414730.h1.t1
OG0001645	XP_020888337.1	Aa_G216150.h1.t1, Aa_G216160.h1.t1, Aa_G813620.h1.t1
OG0001646	XP_020876028.1	Aa_G464230.h1.t1
OG0001646	XP_020888302.1	Aa_G195560.h1.t1
OG0001647	XP_002878133.1	Aa_G520460.h1.t1
OG0001647	XP_020877580.1	Aa_G259000.h1.t1
OG0001648	XP_020874901.1	Aa_G413260.h1.t1
OG0001648	XP_020882217.1	Aa_G263290.h1.t1
OG0001649	XP_020872137.1	Aa_G229820.h1.t1
OG0001649	XP_020880804.1	Aa_G508060.h1.t1
OG0001650	XP_002870638.1	Aa_G165340.h1.t1
OG0001650	XP_002887935.1	Aa_G65890.h1.t1
OG0001652	XP_002887781.1	Aa_G336990.h1.t1
OG0001652	XP_002887780.1	Aa_G336980.h1.t1
OG0001653	XP_002887774.1	Aa_G80480.h1.t1
OG0001655	XP_002886920.1	Aa_G437270.h1.t1
OG0001656	XP_020890552.1	Aa_G111110.h1.t1
OG0001656	XP_020870746.1	Aa_G334090.h1.t1
OG0001657	XP_020875126.1	Aa_G527890.h1.t1
OG0001657	XP_002884056.2	Aa_G314480.h1.t1
OG0001658	XP_020887826.1	Aa_G249570.h1.t1
OG0001659	XP_002894565.1	Aa_G205510.h1.t1
OG0001659	XP_002882787.1	Aa_G40100.h1.t1
OG0001660	XP_002891774.1	Aa_G127780.h1.t1
OG0001660	XP_020886846.1	Aa_G56310.h1.t1
OG0001661	XP_002894422.1	Aa_G396720.h1.t1
OG0001661	XP_002882932.1	Aa_G234920.h1.t1
OG0001662	XP_002879584.1	Aa_G354240.h1.t1
OG0001662	XP_020881979.1	Aa_G608150.h1.t1
OG0001663	XP_020879706.1	Aa_G100040.h1.t1
OG0001664	XP_020883203.1	Aa_G11750.h1.t1
OG0001664	XP_020881375.1	Aa_G395700.h1.t1
OG0001665	XP_002881452.1	Aa_G11740.h1.t1
OG0001666	XP_020872372.1	Aa_G31020.h1.t1
OG0001666	XP_020886682.1	Aa_G265520.h1.t1
OG0001667	XP_002870208.1	Aa_G565080.h1.t1
OG0001667	XP_002883013.1	Aa_G317060.h1.t1, Aa_G269910.h1.t1
OG0001668	XP_020889213.1	Aa_G617180.h1.t1
OG0001668	XP_020875330.1	Aa_G327180.h1.t1
OG0001669	XP_020874651.1	Aa_G520900.h1.t1
OG0001669	XP_020874650.1	Aa_G520910.h1.t1
OG0001670	XP_020865686.1	Aa_G30560.h1.t1
OG0001670	XP_020891316.1	Aa_G30570.h1.t1, Aa_G30580.h1.t1
OG0001671	XP_002862551.1, XP_002875455.1	Aa_G185360.h1.t1
OG0001671	XP_002868676.2	Aa_G151480.h1.t1
OG0001672	XP_002875327.1	Aa_G25660.h1.t1
OG0001672	XP_002892721.1	Aa_G26560.h1.t1
OG0001673	XP_020880066.1	Aa_G83420.h1.t1
OG0001673	XP_002892750.1	Aa_G398280.h1.t1
OG0001674	XP_002883188.1	Aa_G521620.h1.t1
OG0001674	XP_002891536.1	Aa_G92590.h1.t1
OG0001675	XP_002883212.1	Aa_G50680.h1.t1
OG0001676	XP_002894313.1	Aa_G582100.h1.t1
OG0001677	XP_020889133.1	Aa_G367470.h1.t1
OG0001677	XP_020868345.1	Aa_G685890.h1.t1
OG0001678	XP_020868065.1, XP_002894352.1, XP_020868064.1, XP_002894353.1	Aa_G364670.h1.t1
OG0001679	XP_020867820.1	Aa_G173620.h1.t1
OG0001679	XP_002885097.1	Aa_G507810.h1.t1
OG0001681	XP_002870095.1	Aa_G520140.h1.t1
OG0001681	XP_002863361.1	Aa_G213800.h1.t1
OG0001682	XP_002863360.1	Aa_G213790.h1.t1
OG0001683	XP_002886064.1	Aa_G323530.h1.t1
OG0001683	XP_020872748.1	Aa_G775730.h1.t1
OG0001684	XP_020887999.1	Aa_G70170.h1.t1
OG0001684	XP_002867095.1	Aa_G180390.h1.t1
OG0001685	XP_020877723.1	Aa_G320510.h1.t1
OG0001685	XP_002867787.2	Aa_G371050.h1.t1
OG0001686	XP_020873297.1	Aa_G371010.h1.t1
OG0001686	XP_002872689.1	Aa_G320540.h1.t1
OG0001687	XP_020878399.1	Aa_G257130.h1.t1
OG0001688	XP_002883597.1	Aa_G86440.h1.t1
OG0001689	XP_002893885.1	Aa_G211990.h2.t1, Aa_G211990.h1.t1
OG0001689	XP_020878840.1	Aa_G601720.h1.t1
OG0001690	XP_002876703.1	Aa_G163580.h1.t1, Aa_G163590.h1.t1
OG0001690	XP_020884784.1, XP_002867754.1	Aa_G13110.h1.t1
OG0001691	XP_002878482.1	Aa_G364320.h1.t1
OG0001691	XP_002880317.1	Aa_G206090.h1.t1
OG0001692	XP_002878472.1	Aa_G605820.h1.t1
OG0001692	XP_020882691.1	Aa_G12870.h1.t1
OG0001693	XP_002882098.1	Aa_G177970.h1.t1
OG0001693	XP_002876664.2, XP_020881998.1	Aa_G2440.h1.t1
OG0001695	XP_020880879.1	Aa_G103450.h1.t1
OG0001695	XP_020883907.1, XP_020870747.1	Aa_G252320.h1.t1
OG0001696	XP_020880877.1	Aa_G103440.h1.t1
OG0001696	XP_002881976.1	Aa_G265040.h1.t1
OG0001697	XP_020883355.1	Aa_G125560.h1.t1
OG0001697	XP_020880169.1	Aa_G568530.h1.t1
OG0001698	XP_002880005.1	Aa_G199980.h1.t1
OG0001698	XP_020880598.1	Aa_G114260.h1.t1
OG0001699	XP_020885016.1	Aa_G210110.h1.t1
OG0001699	XP_020881292.1	Aa_G494440.h1.t1
OG0001701	XP_020884203.1	Aa_G269480.h1.t1
OG0001702	XP_020879132.1	Aa_G47830.h1.t1
OG0001703	XP_002885759.1	Aa_G200.h1.t1, Aa_G246610.h1.t1
OG0001704	XP_020886184.1	Aa_G375660.h1.t1
OG0001705	XP_020877722.1	Aa_G320490.h1.t1
OG0001705	XP_002881686.1	Aa_G38340.h1.t1
OG0001706	XP_002868895.1	Aa_G352040.h1.t1
OG0001706	XP_002878564.2	Aa_G666760.h1.t1
OG0001707	XP_002874556.1	Aa_G97550.h1.t1
OG0001707	XP_020869400.1, XP_020870579.1, XP_020870581.1, XP_002891202.2	Aa_G717490.h1.t1
OG0001708	XP_020879136.1	Aa_G294820.h1.t1
OG0001708	XP_002890537.1	Aa_G121830.h1.t1
OG0001709	XP_002874626.1	Aa_G273610.h1.t1
OG0001709	XP_020869727.1	Aa_G107870.h1.t1
OG0001710	XP_020888768.1	Aa_G205780.h1.t1
OG0001710	XP_002872226.1	Aa_G40940.h1.t1
OG0001711	XP_020876899.1	Aa_G251070.h1.t1
OG0001711	XP_020886535.1, XP_020886886.1	Aa_G4900.h1.t1
OG0001712	XP_020886362.1	Aa_G4770.h1.t1
OG0001712	XP_002874403.1	Aa_G251170.h1.t1
OG0001713	XP_002880052.1	Aa_G761690.h1.t1
OG0001713	XP_002888546.1, XP_002880050.1	Aa_G761680.h2.t1, Aa_G761680.h1.t1, Aa_G581260.h1.t1, Aa_G581270.h1.t1
OG0001714	XP_020888154.1	Aa_G14760.h1.t1
OG0001716	XP_020866316.1	Aa_G442550.h1.t1
OG0001716	XP_002884450.1	Aa_G4180.h1.t1
OG0001717	XP_020889231.1	Aa_G617210.h1.t1, Aa_G242750.h1.t1
OG0001717	XP_020889016.1	Aa_G50960.h1.t1
OG0001718	XP_002862243.2	Aa_G333710.h1.t1, Aa_G218120.h1.t1, Aa_G218100.h1.t1
OG0001719	XP_002882460.1	Aa_G47700.h1.t1
OG0001719	XP_020878602.1	Aa_G726480.h1.t1
OG0001720	XP_020886389.1	Aa_G49770.h1.t1
OG0001720	XP_020878545.1	Aa_G372450.h1.t1
OG0001721	XP_020887528.1	Aa_G49860.h1.t1, Aa_G49870.h1.t1, Aa_G49890.h1.t1, Aa_G49900.h1.t1
OG0001723	XP_002884619.1	Aa_G49740.h1.t1
OG0001723	XP_020869482.1	Aa_G675480.h1.t1
OG0001724	XP_002872400.1	Aa_G12660.h1.t1
OG0001724	XP_020888377.1	Aa_G34550.h1.t1
OG0001725	XP_020888334.1	Aa_G216110.h1.t1
OG0001726	XP_020888127.1	Aa_G501340.h1.t1
OG0001726	XP_020868449.1	Aa_G403900.h1.t1
OG0001727	XP_020888674.1	Aa_G82110.h1.t1
OG0001727	XP_002891452.1	Aa_G161210.h1.t1
OG0001728	XP_020890355.1	Aa_G398460.h1.t1
OG0001729	XP_002876086.1, XP_020880080.1, XP_020880078.1	Aa_G122710.h1.t1
OG0001730	XP_002889367.1	Aa_G105880.h1.t1
OG0001730	XP_020876230.1	Aa_G67960.h1.t1
OG0001731	XP_002874998.1	Aa_G67910.h1.t1
OG0001731	XP_002892067.1	Aa_G105910.h1.t1
OG0001732	XP_020879084.1	Aa_G46560.h1.t1
OG0001732	XP_002889398.1	Aa_G452100.h1.t1
OG0001733	XP_020869119.1	Aa_G6580.h1.t1
OG0001733	XP_020878372.1	Aa_G191520.h1.t1
OG0001734	XP_002888227.1, XP_002888230.1	Aa_G100920.h1.t1
OG0001735	XP_002889842.1	Aa_G457540.h1.t1
OG0001736	XP_002888095.1	Aa_G735160.h1.t1
OG0001736	XP_002889854.1	Aa_G232670.h1.t1
OG0001737	XP_002893613.1	Aa_G418620.h1.t1
OG0001739	XP_020869012.1, XP_002875346.1	Aa_G587920.h1.t1
OG0001740	XP_020868616.1	Aa_G367250.h1.t1
OG0001741	XP_020873027.1	Aa_G237300.h1.t1
OG0001741	XP_020878899.1	Aa_G763500.h1.t1
OG0001742	XP_002887308.1	Aa_G17630.h1.t1
OG0001742	XP_002893280.1	Aa_G62460.h1.t1
OG0001743	XP_002890597.1, XP_020865608.1	Aa_G487290.h2.t1, Aa_G487290.h1.t1
OG0001744	XP_002886531.1, XP_020871093.1, XP_002886533.1	Aa_G546220.h1.t1, Aa_G546230.h1.t1, Aa_G546240.h1.t1
OG0001745	XP_020875633.1	Aa_G406840.h1.t1
OG0001745	XP_020885509.1	Aa_G91760.h1.t1
OG0001746	XP_020884255.1	Aa_G313860.h1.t1
OG0001746	XP_020874628.1	Aa_G294310.h1.t1
OG0001747	XP_020875663.1	Aa_G153230.h1.t1
OG0001747	XP_002880477.1	Aa_G157390.h1.t1
OG0001748	XP_020887363.1	Aa_G50630.h1.t1
OG0001748	XP_020868633.1	Aa_G334840.h1.t1
OG0001749	XP_020888019.1	Aa_G313570.h1.t1
OG0001749	XP_020874314.1	Aa_G557000.h1.t1
OG0001750	XP_020872458.1	Aa_G145040.h1.t1
OG0001750	XP_020872304.1	Aa_G241530.h1.t1
OG0001751	XP_020872516.1	Aa_G163960.h1.t1
OG0001751	XP_020866954.1, XP_020868571.1, XP_020867575.1	Aa_G458280.h1.t1
OG0001752	XP_002893309.1, XP_002893310.1, XP_002893308.1	Aa_G487300.h2.t1, Aa_G487300.h1.t1
OG0001753	XP_002882361.2, XP_002893739.1, XP_002882360.1	Aa_G4150.h1.t1
OG0001754	XP_002884156.1	Aa_G110380.h1.t1
OG0001755	XP_002877374.1, XP_020881696.1	Aa_G192020.h1.t1
OG0001756	XP_002870253.1	Aa_G351600.h1.t1
OG0001758	XP_020867873.1	Aa_G8110.h1.t1
OG0001763	XP_020888669.1	Aa_G220410.h1.t1, Aa_G1080630.h1.t1, Aa_G1080630.h2.t1, Aa_G47560.h1.t1, Aa_G416320.h1.t1
OG0001764	XP_020877770.1	Aa_G79100.h1.t1
OG0001764	XP_020887869.1	Aa_G111920.h1.t1
OG0001765	XP_002871718.1	Aa_G539750.h1.t1
OG0001765	XP_002884339.1	Aa_G250380.h1.t1
OG0001766	XP_002873770.1	Aa_G96730.h1.t1
OG0001767	XP_020866048.1, XP_002889866.1	Aa_G545500.h1.t1, Aa_G194520.h1.t1
OG0001768	XP_002888765.1	Aa_G189640.h1.t1
OG0001768	XP_002871634.1	Aa_G8080.h1.t1
OG0001769	XP_020878299.1	Aa_G258180.h1.t1
OG0001770	XP_020890383.1	Aa_G21440.h1.t1
OG0001770	XP_002893911.1, XP_020876336.1	Aa_G72800.h1.t1
OG0001771	XP_020877215.1	Aa_G408360.h1.t1
OG0001772	XP_020876720.1	Aa_G98290.h1.t1
OG0001772	XP_002864966.2, XP_020873382.1	Aa_G81400.h1.t1
OG0001773	XP_002866669.1	Aa_G292850.h1.t1
OG0001773	XP_020876763.1	Aa_G98170.h1.t1
OG0001774	XP_002871302.1	Aa_G541410.h1.t1
OG0001774	XP_020882839.1	Aa_G94860.h1.t1
OG0001775	XP_002873320.1	Aa_G471540.h1.t1
OG0001775	XP_020882393.1	Aa_G401170.h1.t1
OG0001776	XP_002889445.1	Aa_G135150.h1.t1
OG0001777	XP_002889652.1	Aa_G310530.h1.t1
OG0001777	XP_020883277.1	Aa_G425720.h1.t1
OG0001778	XP_002889647.1	Aa_G543890.h1.t1
OG0001779	XP_020883553.1	Aa_G142680.h1.t1, Aa_G199780.h1.t1
OG0001779	XP_002889643.1	Aa_G275760.h1.t1
OG0001780	XP_020867294.1	Aa_G429770.h1.t1
OG0001780	XP_002879257.1	Aa_G35500.h1.t1
OG0001781	XP_002892324.1	Aa_G517610.h1.t1
OG0001781	XP_020885824.1	Aa_G359430.h1.t1
OG0001782	XP_002885624.1	Aa_G363620.h1.t1, Aa_G363610.h1.t1
OG0001783	XP_020886793.1	Aa_G89490.h1.t1
OG0001783	XP_020870732.1	Aa_G134510.h1.t1
OG0001784	XP_020873398.1	Aa_G90860.h1.t1
OG0001784	XP_002864114.1	Aa_G675250.h1.t1
OG0001785	XP_020882984.1	Aa_G375210.h1.t1
OG0001785	XP_020873500.1	Aa_G29850.h1.t1
OG0001786	XP_020873750.1, XP_020873740.1, XP_020873735.1	Aa_G29820.h1.t1, Aa_G29810.h1.t1, Aa_G29830.h1.t1
OG0001787	XP_002865467.1	Aa_G492520.h1.t1
OG0001788	XP_002872405.2	Aa_G631110.h1.t1, Aa_G631120.h1.t1
OG0001789	XP_020866422.1	Aa_G156130.h1.t1, Aa_G389880.h1.t1
OG0001789	XP_020885605.1	Aa_G423410.h1.t1
OG0001790	XP_002866555.2	Aa_G75210.h1.t1
OG0001790	XP_002877615.1	Aa_G744770.h1.t1
OG0001791	XP_002864829.1	Aa_G406310.h1.t1
OG0001791	XP_002885463.1, XP_020888323.1	Aa_G102870.h1.t1
OG0001792	XP_002866520.1	Aa_G406210.h1.t1
OG0001792	XP_020880346.1	Aa_G331130.h1.t1
OG0001793	XP_020868723.1	Aa_G415670.h1.t1
OG0001793	XP_002893459.1	Aa_G415660.h1.t1
OG0001795	XP_002872196.1, XP_002872195.1	Aa_G112940.h1.t1, Aa_G112950.h1.t1
OG0001796	XP_020881775.1	Aa_G403320.h1.t1
OG0001796	XP_002874051.1	Aa_G8740.h1.t1
OG0001797	XP_002877329.1	Aa_G403380.h1.t1
OG0001797	XP_020876642.1	Aa_G8680.h1.t1
OG0001798	XP_002877399.1	Aa_G436380.h1.t1
OG0001798	XP_020883798.1	Aa_G362110.h1.t1
OG0001800	XP_002877515.1	Aa_G578540.h1.t1
OG0001802	XP_002866118.1, XP_020873343.1	Aa_G641220.h1.t1
OG0001803	XP_002884864.1	Aa_G102900.h1.t1
OG0001803	XP_020876282.1	Aa_G414680.h1.t1
OG0001804	XP_020876024.1	Aa_G526570.h1.t1
OG0001805	XP_002882680.1	Aa_G137230.h1.t1
OG0001805	XP_020877899.1	Aa_G73210.h1.t1
OG0001806	XP_002882659.1	Aa_G419540.h1.t1
OG0001806	XP_002871078.1	Aa_G140740.h1.t1
OG0001807	XP_002873136.1	Aa_G140780.h1.t1
OG0001807	XP_020886426.1	Aa_G419560.h1.t1
OG0001808	XP_020888371.1	Aa_G34600.h1.t1
OG0001809	XP_020880968.1	Aa_G263330.h1.t1
OG0001809	XP_002870678.1	Aa_G413270.h1.t1
OG0001810	XP_020872900.1, XP_020872899.1, XP_002867022.1	Aa_G179430.h1.t1
OG0001811	XP_020866551.1	Aa_G275030.h1.t1
OG0001811	XP_002887737.1	Aa_G470660.h1.t1
OG0001813	XP_002893156.1	Aa_G60800.h1.t1
OG0001814	XP_020889644.1	Aa_G418920.h1.t1
OG0001814	XP_020869250.1	Aa_G60730.h1.t1
OG0001815	XP_002889057.1	Aa_G87880.h1.t1
OG0001815	XP_020868655.1	Aa_G436660.h1.t1
OG0001816	XP_020890862.1	Aa_G396690.h1.t1
OG0001818	XP_002893043.1	Aa_G407740.h1.t1
OG0001818	XP_002889008.1	Aa_G259430.h1.t1
OG0001819	XP_020887283.1	Aa_G650580.h1.t1
OG0001819	XP_020875187.1	Aa_G426390.h1.t1
OG0001820	XP_002867042.1	Aa_G514600.h1.t1
OG0001820	XP_002886132.1	Aa_G249580.h1.t1
OG0001821	XP_020885224.1	Aa_G426250.h1.t1
OG0001821	XP_002876174.2	Aa_G395730.h1.t1
OG0001822	XP_020880096.1	Aa_G25750.h1.t1
OG0001822	XP_020883460.1	Aa_G25330.h1.t1
OG0001823	XP_020875320.1, XP_002870216.1	Aa_G428420.h1.t1
OG0001824	XP_020889762.1	Aa_G341740.h1.t1
OG0001824	XP_002890245.1	Aa_G454440.h1.t1
OG0001826	XP_020890838.1	Aa_G283730.h1.t1
OG0001826	XP_020867618.1	Aa_G119160.h1.t1
OG0001827	XP_020874616.1	Aa_G343420.h1.t1
OG0001827	XP_002883967.2	Aa_G64120.h1.t1
OG0001828	XP_020870103.1	Aa_G254950.h1.t1
OG0001829	XP_002870048.1	Aa_G423050.h1.t1
OG0001829	XP_020877652.1	Aa_G58250.h1.t1
OG0001830	XP_020874546.1	Aa_G78130.h1.t1
OG0001831	XP_002889644.2	Aa_G435880.h1.t1
OG0001831	XP_020869758.1	Aa_G275730.h1.t1
OG0001832	XP_020867788.1	Aa_G611070.h1.t1
OG0001833	XP_020887886.1	Aa_G241840.h1.t1
OG0001833	XP_002891683.1	Aa_G568100.h1.t1
OG0001834	XP_002879493.2	Aa_G12040.h1.t1
OG0001834	XP_002865913.1	Aa_G435740.h1.t1
OG0001835	XP_002868022.1, XP_002868021.1, XP_020875598.1	Aa_G165030.h1.t1
OG0001836	XP_020866942.1	Aa_G275770.h1.t1
OG0001837	XP_002883899.1	Aa_G541710.h1.t1
OG0001837	XP_020875289.1	Aa_G274360.h1.t1
OG0001838	XP_020887412.1	Aa_G542180.h1.t1
OG0001838	XP_002867081.1	Aa_G379280.h1.t1
OG0001839	XP_020878448.1	Aa_G686370.h1.t1
OG0001840	XP_020873620.1	Aa_G19940.h1.t1
OG0001840	XP_020877707.1	Aa_G225600.h1.t1
OG0001842	XP_020874252.1	Aa_G245360.h1.t1, Aa_G245350.h1.t1
OG0001843	XP_002872755.1	Aa_G41990.h1.t1
OG0001843	XP_020872172.1	Aa_G416730.h1.t1, Aa_G586790.h1.t1
OG0001844	XP_020876470.1	Aa_G373240.h1.t1
OG0001844	XP_020873746.1	Aa_G398630.h1.t1
OG0001845	XP_002892438.1	Aa_G369430.h1.t1
OG0001845	XP_020870859.1	Aa_G521280.h1.t1
OG0001846	XP_002879926.1	Aa_G238630.h1.t1, Aa_G124080.h1.t1
OG0001848	XP_020881581.1	Aa_G2450.h1.t1
OG0001848	XP_002880275.2	Aa_G177990.h1.t1
OG0001849	XP_020881462.1	Aa_G353970.h1.t1
OG0001849	XP_020884494.1	Aa_G443520.h1.t1
OG0001850	XP_002876545.1	Aa_G102460.h1.t1
OG0001851	XP_020880775.1	Aa_G103360.h1.t1
OG0001851	XP_020884934.1	Aa_G265120.h1.t1
OG0001852	XP_020882376.1	Aa_G218940.h1.t1
OG0001852	XP_020884112.1	Aa_G479520.h1.t1
OG0001853	XP_020884772.1, XP_020885315.1	Aa_G100580.h1.t1
OG0001853	XP_020879827.1	Aa_G349420.h1.t1
OG0001854	XP_002876521.2	Aa_G322950.h1.t1
OG0001855	XP_002881751.1	Aa_G144230.h1.t1
OG0001855	XP_002878099.1	Aa_G174990.h1.t1
OG0001856	XP_002862287.1, XP_002879822.1	Aa_G38080.h1.t1, Aa_G699510.h1.t1
OG0001856	XP_020880281.1	Aa_G213630.h1.t1
OG0001857	XP_020882499.1, XP_020882502.1	Aa_G349640.h1.t1, Aa_G381230.h1.t1
OG0001858	XP_020882364.1	Aa_G14200.h1.t1
OG0001858	XP_002879650.2	Aa_G531170.h1.t1
OG0001859	XP_020875558.1	Aa_G342330.h1.t1
OG0001859	XP_020887398.1	Aa_G221830.h1.t1, Aa_G415540.h1.t1
OG0001860	XP_002866990.1	Aa_G223210.h1.t1
OG0001860	XP_002886185.1	Aa_G426660.h1.t1
OG0001861	XP_002888457.1	Aa_G686000.h1.t1
OG0001862	XP_002874779.1, XP_002874778.1	Aa_G93580.h1.t1
OG0001863	XP_020878875.1, XP_020879380.1, XP_002874800.1, XP_002874801.1	Aa_G455650.h1.t1
OG0001864	XP_020882967.1	Aa_G375060.h1.t1
OG0001864	XP_020874282.1	Aa_G615870.h1.t1
OG0001865	XP_002893922.1	Aa_G239560.h1.t1
OG0001865	XP_020877462.1	Aa_G12650.h1.t1
OG0001866	XP_002892522.1	Aa_G160860.h1.t1
OG0001866	XP_020887330.1	Aa_G500900.h1.t1
OG0001867	XP_020884460.1, XP_002881859.1	Aa_G574050.h1.t1, Aa_G574060.h1.t1
OG0001869	XP_020868620.1	Aa_G33330.h1.t1
OG0001870	XP_020883740.1	Aa_G586630.h1.t1, Aa_G586600.h1.t1
OG0001871	XP_020886876.1	Aa_G42350.h1.t1
OG0001871	XP_020886877.1	Aa_G42340.h1.t1
OG0001872	XP_020887533.1	Aa_G293430.h1.t1
OG0001873	XP_002892782.1	Aa_G585790.h1.t1
OG0001874	XP_002880697.1	Aa_G35800.h1.t1
OG0001874	XP_020875746.1	Aa_G153890.h1.t1
OG0001875	XP_020882368.1	Aa_G486790.h1.t1
OG0001876	XP_002868712.1	Aa_G752880.h1.t1
OG0001876	XP_002868713.1	Aa_G245480.h1.t1
OG0001877	XP_002870852.1	Aa_G417800.h1.t1
OG0001877	XP_020891753.1	Aa_G63770.h1.t1
OG0001878	XP_020878502.1	Aa_G299900.h1.t1, Aa_G299890.h1.t1
OG0001878	XP_002889361.1	Aa_G291150.h1.t1
OG0001879	XP_002892589.1	Aa_G545750.h1.t1
OG0001879	XP_020873235.1	Aa_G240610.h1.t1
OG0001880	XP_002889832.1	Aa_G530670.h1.t1
OG0001880	XP_020890080.1	Aa_G318330.h1.t1
OG0001881	XP_002889907.1	Aa_G298930.h1.t1
OG0001881	XP_020891481.1	Aa_G739680.h1.t1
OG0001882	XP_020869241.1	Aa_G298900.h1.t1
OG0001882	XP_020865856.1	Aa_G488340.h1.t1
OG0001883	XP_002886433.1	Aa_G433420.h1.t1
OG0001883	XP_020869525.1	Aa_G328360.h1.t1
OG0001884	XP_002876920.1	Aa_G329000.h1.t1
OG0001884	XP_020869889.1	Aa_G584870.h1.t1
OG0001885	XP_020881098.1	Aa_G435360.h1.t1
OG0001885	XP_020867996.1	Aa_G117630.h1.t1
OG0001886	XP_020866764.1	Aa_G13540.h1.t1
OG0001886	XP_002894146.1, XP_002894147.1	Aa_G121270.h1.t1
OG0001888	XP_020889687.1	Aa_G347840.h1.t1
OG0001888	XP_002890217.1	Aa_G324100.h1.t1
OG0001889	XP_020867526.1	Aa_G188660.h1.t1
OG0001889	XP_020889740.1	Aa_G187210.h1.t1
OG0001890	XP_002875122.1	Aa_G323150.h1.t1
OG0001891	XP_020891199.1	Aa_G504900.h1.t1
OG0001891	XP_002893329.1	Aa_G281110.h1.t1
OG0001892	XP_002868953.1	Aa_G294410.h1.t1
OG0001892	XP_002868955.1	Aa_G294520.h1.t1
OG0001894	XP_020886831.1	Aa_G269030.h1.t1
OG0001894	XP_020874633.1	Aa_G614950.h1.t1
OG0001895	XP_002869331.1	Aa_G399000.h1.t1
OG0001895	XP_002878754.1	Aa_G310000.h1.t1
OG0001896	XP_020883908.1	Aa_G310020.h1.t1
OG0001896	XP_020874472.1	Aa_G420450.h1.t1
OG0001897	XP_002867322.1, XP_002867321.1	Aa_G190660.h1.t1
OG0001897	XP_002880560.1	Aa_G750950.h1.t1
OG0001900	XP_002870750.1	Aa_G756290.h1.t1
OG0001900	XP_002877136.1	Aa_G635220.h1.t1
OG0001910	XP_002867341.1	Aa_G432050.h1.t1
OG0001910	XP_002880536.1	Aa_G166810.h1.t1
OG0001911	XP_002878716.1	Aa_G537780.h1.t1
OG0001911	XP_020872862.1	Aa_G456130.h1.t1
OG0001912	XP_002873774.1	Aa_G539770.h1.t1
OG0001912	XP_020889331.1	Aa_G250420.h1.t1
OG0001913	XP_002867475.1	Aa_G733770.h1.t1
OG0001914	XP_002882223.1	Aa_G42590.h1.t1
OG0001914	XP_002871686.2	Aa_G383450.h1.t1
OG0001915	XP_020878507.1	Aa_G731180.h1.t1
OG0001915	XP_002884685.1	Aa_G302090.h1.t1
OG0001916	XP_020879404.1	Aa_G181400.h1.t1
OG0001916	XP_020878115.1	Aa_G623420.h1.t1
OG0001917	XP_002871512.1	Aa_G256470.h1.t1
OG0001917	XP_020878027.1	Aa_G112810.h1.t1
OG0001918	XP_020878028.1	Aa_G596570.h1.t1
OG0001919	XP_020878608.1	Aa_G169040.h1.t1
OG0001920	XP_020868724.1	Aa_G37210.h1.t1
OG0001920	XP_002871401.1	Aa_G458420.h1.t1
OG0001921	XP_020878803.1	Aa_G195990.h1.t1
OG0001922	XP_020882971.1	Aa_G165190.h1.t1
OG0001922	XP_020877282.1	Aa_G516760.h1.t1
OG0001923	XP_002871372.2	Aa_G637990.h1.t1
OG0001923	XP_002864892.1	Aa_G51650.h1.t1
OG0001924	XP_020878455.1	Aa_G611200.h1.t1, Aa_G499300.h1.t1
OG0001924	XP_002864724.1	Aa_G620750.h1.t1
OG0001925	XP_002892358.1	Aa_G22450.h1.t1
OG0001925	XP_020885041.1	Aa_G470380.h1.t1
OG0001926	XP_020883949.1	Aa_G374200.h1.t1
OG0001926	XP_020868595.1	Aa_G22470.h1.t1
OG0001927	XP_002892327.1	Aa_G469730.h1.t1
OG0001927	XP_020884815.1	Aa_G359510.h1.t1
OG0001928	XP_002883881.1	Aa_G675130.h1.t1
OG0001929	XP_020867120.1	Aa_G477740.h1.t1
OG0001929	XP_020883868.1	Aa_G183660.h1.t1
OG0001930	XP_020869767.1	Aa_G134570.h1.t1
OG0001931	XP_002869670.1	Aa_G29800.h1.t1
OG0001931	XP_020888693.1	Aa_G620240.h1.t1
OG0001933	XP_020866880.1	Aa_G48030.h1.t1
OG0001934	XP_020870296.1	Aa_G468660.h1.t1
OG0001934	XP_002879530.1	Aa_G263980.h1.t1
OG0001935	XP_020883778.1	Aa_G52060.h1.t1
OG0001936	XP_020882940.1	Aa_G52090.h1.t1
