Orthogroup	Arabidopsis_lyrata_NCBI	Capsella_rubella
OG0002518	XP_020889747.1	XP_023643739.1
OG0002518	XP_002890604.1	XP_006305670.1
OG0002519	XP_020874014.1	XP_006283015.1
OG0002519	XP_020890877.1	XP_006300649.1
OG0002520	XP_020865962.1	XP_006301665.1, XP_006301323.1
OG0002520	XP_002887070.1	XP_006301445.1
OG0002521	XP_002864317.1, XP_002864314.1	XP_023633460.1
OG0002521	XP_002880671.2	XP_006295533.1
OG0002521	XP_002864318.1, XP_002864315.1	XP_006279821.1
OG0002522	XP_020882147.1, XP_002877286.2	XP_023638880.1
OG0002522	XP_020883850.1	XP_023637356.1
OG0002523	XP_002872428.1, XP_020878781.1	XP_023636081.1, XP_006288100.1
OG0002523	XP_002872432.1	XP_006288029.1
OG0002524	XP_020890217.1, XP_020890233.1, XP_020890253.1	XP_006281444.2
OG0002524	XP_020870533.1	XP_023640865.1
OG0002525	XP_020890849.1, XP_020871856.1	XP_006279909.1
OG0002525	XP_020887509.1	XP_006279904.2
OG0002530	XP_002867336.1	XP_006284590.2
OG0002530	XP_020884908.1	XP_006295064.1
OG0002531	XP_020872879.1	XP_006283575.1
OG0002532	XP_020880068.1	XP_023638812.1
OG0002533	XP_020880104.1	XP_006290279.1
OG0002533	XP_020882761.1	XP_006282031.1
OG0002534	XP_020881046.1	XP_006290495.1
OG0002534	XP_020881044.1	XP_023638014.1
OG0002535	XP_002876790.1	XP_006292411.1
OG0002536	XP_020888664.1	XP_006297838.1
OG0002536	XP_002871766.1	XP_023637237.1
OG0002537	XP_020889646.1	XP_006302416.1
OG0002538	XP_020891406.1	XP_006287411.1
OG0002538	XP_020878647.1	XP_006287418.1
OG0002539	XP_020876584.1	XP_006286845.1
OG0002540	XP_020876589.1	XP_006287848.1
OG0002540	XP_002882213.1	XP_006296612.1
OG0002541	XP_020877572.1	XP_023637030.1
OG0002541	XP_002882183.1	XP_006282333.1
OG0002542	XP_002873671.1	XP_006287951.2
OG0002542	XP_020888156.1	XP_023641625.1
OG0002543	XP_020880619.1	XP_006290499.1
OG0002543	XP_002879660.2	XP_006293441.1
OG0002544	XP_020876158.1	XP_006291862.1, XP_006288676.1
OG0002545	XP_020885073.1	XP_006281280.1
OG0002546	XP_020881770.1	XP_006279699.1
OG0002546	XP_002871364.1	XP_006288632.1
OG0002547	XP_020876401.1	XP_006287647.2
OG0002547	XP_002892157.1	XP_023645348.1
OG0002548	XP_002892166.1	XP_006307501.1
OG0002548	XP_002872787.1	XP_006287734.1
OG0002549	XP_020868755.1	XP_006306950.1
OG0002549	XP_020885600.1	XP_023640132.1
OG0002550	XP_020882797.1	XP_006294043.1
OG0002550	XP_002892391.1	XP_006303983.1
OG0002551	XP_002881133.1	XP_006295800.1
OG0002551	XP_002889613.1	XP_006306172.2
OG0002552	XP_002879388.1	XP_006294322.1
OG0002552	XP_002892271.1	XP_023645114.1
OG0002553	XP_020883271.1	XP_023640678.1
OG0002553	XP_020870370.1	XP_023645863.1
OG0002554	XP_020867549.1	XP_023644461.1
OG0002554	XP_020865645.1	XP_023640699.1
OG0002555	XP_020886783.1	XP_023641796.1
OG0002556	XP_020885082.1	XP_006294161.1
OG0002556	XP_020867716.1	XP_006304410.1
OG0002557	XP_020885551.1	XP_006296145.1
OG0002557	XP_020869819.1	XP_006305266.1
OG0002558	XP_002879555.1	XP_006295261.1
OG0002558	XP_002893712.1	XP_006304313.1
OG0002559	XP_020880626.1	XP_006291367.1
OG0002559	XP_002866727.1	XP_023644266.1
OG0002560	XP_020883947.1	XP_006280377.1
OG0002561	XP_020868974.1	XP_006281388.1
OG0002561	XP_002871385.1	XP_006286405.1
OG0002562	XP_002864849.1	XP_006279720.1
OG0002562	XP_020880963.1	XP_006292149.1
OG0002563	XP_020871074.1	XP_006279906.1
OG0002563	XP_020879627.1	XP_023637782.1
OG0002564	XP_020871894.1	XP_006280889.1
OG0002564	XP_002873301.1	XP_006288325.1
OG0002565	XP_002873310.1	XP_006288607.2
OG0002565	XP_002864745.2	XP_006281045.1
OG0002566	XP_020878264.1	XP_006288227.1
OG0002566	XP_020882639.1	XP_006291525.1
OG0002567	XP_020881728.1	XP_023637959.1
OG0002567	XP_020882561.1	XP_006280697.1
OG0002568	XP_002864674.1	XP_006291626.2
OG0002568	XP_002877422.1	XP_006291625.1
OG0002569	XP_002864663.1	XP_006281907.1
OG0002569	XP_002877437.1	XP_006293112.1
OG0002570	XP_020880187.1	XP_023638050.1
OG0002570	XP_020887973.1, XP_020891114.1	XP_006281572.1
OG0002571	XP_020868088.1	XP_006303695.2
OG0002572	XP_020890710.1	XP_006300376.1
OG0002572	XP_020873070.1	XP_023634421.1
OG0002573	XP_020874514.1	XP_006298891.1
OG0002574	XP_020883273.1	XP_006279496.1
OG0002574	XP_020873650.1	XP_006284224.2
OG0002575	XP_002881951.1, XP_020882987.1	XP_006295817.2, XP_006295784.2
OG0002575	XP_020889010.1	XP_006280491.1
OG0002577	XP_002864390.1	XP_006281715.2
OG0002577	XP_020871612.1	XP_023642210.1
OG0002578	XP_002870403.1	XP_006285435.1
OG0002579	XP_002872846.1	XP_006289196.2
OG0002579	XP_020876087.1	XP_006287480.1
OG0002580	XP_020879448.1	XP_023639550.1, XP_023636888.1
OG0002580	XP_002882768.1	XP_006298351.1
OG0002581	XP_002876412.1	XP_006291349.1
OG0002582	XP_002882687.1	XP_006299116.1
OG0002582	XP_020875939.1	XP_006287349.1
OG0002583	XP_002873138.1	XP_023636385.1
OG0002583	XP_002884788.2	XP_006298080.2
OG0002584	XP_020886662.1	XP_006299427.1
OG0002584	XP_002873012.1	XP_006287547.1
OG0002585	XP_002877011.1	XP_023638084.1
OG0002585	XP_002870660.1	XP_006286072.1
OG0002586	XP_020868016.1	XP_006307055.1
OG0002586	XP_002889301.1	XP_006302032.1
OG0002587	XP_002889214.1	XP_006300474.1
OG0002587	XP_020890456.1	XP_006301927.1
OG0002588	XP_020890853.1	XP_006301092.1
OG0002588	XP_020870745.1	XP_006305403.1
OG0002589	XP_002890410.1	XP_006305726.1
OG0002589	XP_002887636.1	XP_006302914.1
OG0002590	XP_020890990.1	XP_006302478.1
OG0002590	XP_002890391.1	XP_006305225.1
OG0002591	XP_020867039.1	XP_006303780.1
OG0002592	XP_002893093.1	XP_006307354.1
OG0002592	XP_020891362.1	XP_006302193.1
OG0002593	XP_002874341.1	XP_006289398.1
OG0002595	XP_002872923.1	XP_023637311.1
OG0002595	XP_020866799.1	XP_006304909.1
OG0002596	XP_002891792.1	XP_023645977.1
OG0002596	XP_002885006.1	XP_006297073.1
OG0002597	XP_020866688.1	XP_006306969.1
OG0002597	XP_002885010.1	XP_006299840.1
OG0002598	XP_020869094.1	XP_006303234.1
OG0002599	XP_020889074.1, XP_020867403.1	XP_006303321.1, XP_006298446.1
OG0002600	XP_020882261.1	XP_006290378.1
OG0002600	XP_020883183.1	XP_006294849.1
OG0002601	XP_020888506.1	XP_006298237.1
OG0002601	XP_002868312.1	XP_006284242.1
OG0002602	XP_020874619.1	XP_006283669.1
OG0002602	XP_002883378.1, XP_020872696.1	XP_006297557.1
OG0002603	XP_002868197.1	XP_006282963.1, XP_006285715.1
OG0002604	XP_002887537.2	XP_006303095.2
OG0002605	XP_020870102.1	XP_006307339.1
OG0002605	XP_002888670.1	XP_006302169.1
OG0002606	XP_020891658.1	XP_023643189.1
OG0002606	XP_002893418.1	XP_006305123.1
OG0002607	XP_020885648.1	XP_023640923.1
OG0002607	XP_020877450.1	XP_006289192.1
OG0002608	XP_002863539.1, XP_002863540.1	XP_006280824.1
OG0002609	XP_020886580.1	XP_006296881.1
OG0002609	XP_002894203.1	XP_023632914.1
OG0002610	XP_020866727.1	XP_006303797.1
OG0002610	XP_002894230.1	XP_023632714.1
OG0002611	XP_002883254.1	XP_006296787.1
OG0002611	XP_020868237.1	XP_006306649.1
OG0002612	XP_002885090.1	XP_006298674.1
OG0002612	XP_002891720.1	XP_006305707.1
OG0002613	XP_020869201.1	XP_006305245.2
OG0002613	XP_002885088.1	XP_006299837.1
OG0002614	XP_020886298.1	XP_006298385.1
OG0002614	XP_002894413.1	XP_006304128.1
OG0002615	XP_020882251.1, XP_020882253.1	XP_006291317.1
OG0002616	XP_020882151.1, XP_020873346.1	XP_006290890.2
OG0002617	XP_020887385.1	XP_006300216.1
OG0002617	XP_002883854.2	XP_006297095.2
OG0002618	XP_002884160.1	XP_006299088.1
OG0002618	XP_002869143.1	XP_006284916.1
OG0002619	XP_020887996.1	XP_006296855.1
OG0002619	XP_020889089.1	XP_006296873.1
OG0002620	XP_002867094.1	XP_006283702.2
OG0002621	XP_002884019.1	XP_006298288.1
OG0002621	XP_020873159.1	XP_006284279.1
OG0002622	XP_002867769.1	XP_006289270.1
OG0002623	XP_002872575.1	XP_006289222.1
OG0002623	XP_002872576.1	XP_006287995.1
OG0002624	XP_002876706.1	XP_006291928.1
OG0002624	XP_020883659.1	XP_006295107.1
OG0002625	XP_020881570.1	XP_006291404.1
OG0002625	XP_020885422.1	XP_006294536.1
OG0002626	XP_002878296.1	XP_006293122.1
OG0002626	XP_002881933.1	XP_006294119.1
OG0002627	XP_020879884.1	XP_006291905.1
OG0002627	XP_020884977.1	XP_006296380.1
OG0002628	XP_020881346.1	XP_006292554.1
OG0002628	XP_002879978.1	XP_023639877.1
OG0002629	XP_020881525.1	XP_006292672.1
OG0002629	XP_020883739.1	XP_006295564.1
OG0002630	XP_002876351.1	XP_023637936.1
OG0002630	XP_020883741.1	XP_006293756.1
OG0002631	XP_002876286.1	XP_006292693.1
OG0002631	XP_020884011.1	XP_023640098.1
OG0002632	XP_020886005.1	XP_006297490.2
OG0002632	XP_020889298.1	XP_006298959.1, XP_006296643.1
OG0002633	XP_002879710.1	XP_006296185.1
OG0002633	XP_002876231.1	XP_023637877.1
OG0002634	XP_020872061.1	XP_006285678.1
OG0002634	XP_002864247.1	XP_006281882.1
OG0002635	XP_002883662.1	XP_006298887.1
OG0002635	XP_002868433.1	XP_006282472.2
OG0002636	XP_002868761.1	XP_023635361.1
OG0002636	XP_002888582.1	XP_006300569.1
OG0002637	XP_020873134.1	XP_006284758.1
OG0002637	XP_002883974.1	XP_023641162.1
OG0002638	XP_002881662.1	XP_006295084.1
OG0002638	XP_002881661.2	XP_006293391.1
OG0002639	XP_002878947.1, XP_002876803.1, XP_020869878.1	XP_023645582.1
OG0002640	XP_020866518.1	XP_006304344.1
OG0002640	XP_002872925.1	XP_023637394.1
OG0002641	XP_020885004.1	XP_006295408.1
OG0002642	XP_002868891.1	XP_006285920.1
OG0002642	XP_020884481.1	XP_023640006.1
OG0002643	XP_020878179.1	XP_006288572.2
OG0002644	XP_020886602.1	XP_006297453.1
OG0002644	XP_002869519.1	XP_006286249.1
OG0002645	XP_002878329.1	XP_006290567.1
OG0002645	XP_002881988.1	XP_006293435.1
OG0002646	XP_002881911.1	XP_006294764.1
OG0002646	XP_002881915.1	XP_006293508.1
OG0002647	XP_002873875.1	XP_006286695.1
OG0002647	XP_002884418.1	XP_006298595.1
OG0002648	XP_002882495.1	XP_006299740.1
OG0002648	XP_002865716.1	XP_006281463.1
OG0002649	XP_020886598.1	XP_006299099.1
OG0002649	XP_020878516.1	XP_006287725.1
OG0002650	XP_002884736.1	XP_006297745.1
OG0002651	XP_002882740.1	XP_006298334.1
OG0002652	XP_002884942.1	XP_023642748.1
OG0002652	XP_002884943.1	XP_006299726.1
OG0002653	XP_002891444.1	XP_006304555.1
OG0002653	XP_020887875.1	XP_006299051.1
OG0002654	XP_002880464.2	XP_006293461.1
OG0002654	XP_020873927.1	XP_006283522.1
OG0002655	XP_002877155.1	XP_006291813.1
OG0002655	XP_020872983.1	XP_006286094.1
OG0002656	XP_020875312.1	XP_006284476.1
OG0002656	XP_002883395.1	XP_006298251.2
OG0002657	XP_020887853.1	XP_006297914.1
OG0002657	XP_002868272.1	XP_006284017.1
OG0002658	XP_020886695.1	XP_006297190.1
OG0002658	XP_020886696.1	XP_006297246.1
OG0002659	XP_020885967.1	XP_006299656.2
OG0002659	XP_020885038.1	XP_006295991.1
OG0002659	XP_002894412.2	XP_006303591.2
OG0002660	XP_020873886.1	XP_006284197.1
OG0002660	XP_020890184.1	XP_006302625.1
OG0002661	XP_020876658.1, XP_020876655.1	XP_006282584.1
OG0002662	XP_002874967.1	XP_006289321.1
OG0002663	XP_020879812.1	XP_006296506.1
OG0002663	XP_020869288.1	XP_006304586.1
OG0002664	XP_020886019.1, XP_020886216.1	XP_023645285.1
OG0002665	XP_002889763.1	XP_006304324.1
OG0002665	XP_020868778.1	XP_006302998.2
OG0002666	XP_020870947.1	XP_006303157.1
OG0002666	XP_002888209.1	XP_006300402.1
OG0002667	XP_020890085.1	XP_006301658.1
OG0002667	XP_020870795.1	XP_006306091.1
OG0002668	XP_020866044.1	XP_023645609.1
OG0002669	XP_020869394.1	XP_006305964.1
OG0002669	XP_002889895.2	XP_006304944.1
OG0002670	XP_020869223.1	XP_006307032.1
OG0002670	XP_002875206.1	XP_023638984.1
OG0002671	XP_020866788.1	XP_023645989.1
OG0002671	XP_002890039.2	XP_006307291.2
OG0002672	XP_020880046.1	XP_023638148.1
OG0002672	XP_020869342.1	XP_006307228.1
OG0002673	XP_020867013.1	XP_006307353.1
OG0002674	XP_002868726.1	XP_006307605.1
OG0002674	XP_002889194.1	XP_006302333.1
OG0002675	XP_002888873.2	XP_006302774.1
OG0002675	XP_020867935.1	XP_006303348.1
OG0002677	XP_002879550.2	XP_006295657.2
OG0002677	XP_020872526.1	XP_023634483.1
OG0002678	XP_020885496.1	XP_006295960.1
OG0002678	XP_020874403.1	XP_006282738.1
OG0002679	XP_020874967.1	XP_006283953.1
OG0002679	XP_020883414.1	XP_006294471.1
OG0002680	XP_020883572.1	XP_023640942.1
OG0002680	XP_020874666.1	XP_006283349.1
OG0002681	XP_002867112.1	XP_023634382.1
OG0002681	XP_020888549.1	XP_006297321.2
OG0002682	XP_020875581.1	XP_023635298.1
OG0002682	XP_002884158.1	XP_006296595.1
OG0002683	XP_002867127.1	XP_006285308.2
OG0002683	XP_020889356.1	XP_023642713.1
OG0002684	XP_020885037.1	XP_006295082.1
OG0002684	XP_020872662.1	XP_023634235.1
OG0002685	XP_020883197.1	XP_006296251.1
OG0002685	XP_020874652.1	XP_006285517.1
OG0002686	XP_020872095.1	XP_006282972.1
OG0002687	XP_002885933.1	XP_006299800.1
OG0002687	XP_002867155.1	XP_006283361.1
OG0002688	XP_002878824.1	XP_006294920.1
OG0002688	XP_020872107.1	XP_006284464.1
OG0002689	XP_020882002.1, XP_020871812.1, XP_020871879.1	XP_006295436.2
OG0002689	XP_002878780.2	XP_023644142.1
OG0002690	XP_020867292.1, XP_020868725.1	XP_006307742.2, XP_023644643.1
OG0002693	XP_020868873.1	XP_023644567.1
OG0002693	XP_020873022.1	XP_023633936.1
OG0002695	XP_020871509.1, XP_002885005.1	XP_006299516.1, XP_006279044.2
OG0002697	XP_002863952.2, XP_002877659.1	XP_006292769.1
OG0002698	XP_020875087.1	XP_006284311.2
OG0002698	XP_020874992.1	XP_006285615.2
OG0002698	XP_020875437.1, XP_020872052.1	XP_023635016.1
OG0002699	XP_002865878.1	XP_023644519.1
OG0002699	XP_002862377.1, XP_020872012.1	XP_006281070.1
OG0002700	XP_002865896.1	XP_023645377.1
OG0002700	XP_002865898.2	XP_006281592.2
OG0002705	XP_002867515.2	XP_006285809.1
OG0002705	XP_020870903.1	XP_006279874.1
OG0002706	XP_020877780.1	XP_006289432.1
OG0002706	XP_020877785.1	XP_006289377.1
OG0002707	XP_020888515.1	XP_006297614.1
OG0002708	XP_020878026.1	XP_006288061.1
OG0002708	XP_020885968.1	XP_006297996.1
OG0002710	XP_020879378.1	XP_006301685.1
OG0002710	XP_002873546.1	XP_006288830.1
OG0002711	XP_002866625.1	XP_006280467.1
OG0002712	XP_020874849.1	XP_006293141.1, XP_023638913.1
OG0002713	XP_020884743.1	XP_006294684.2
OG0002713	XP_020877933.1	XP_006288144.1
OG0002714	XP_020884092.1	XP_006279856.1
OG0002714	XP_020877425.1	XP_006286959.1
OG0002715	XP_002880982.1	XP_006294248.1
OG0002716	XP_002880973.1, XP_020884688.1, XP_002880972.1	XP_006295264.1
OG0002717	XP_002881188.1	XP_006293514.1
OG0002717	XP_002889568.1	XP_006305597.1
OG0002718	XP_020868054.1	XP_006305424.1
OG0002718	XP_020883115.1	XP_006294681.1
OG0002719	XP_002873069.1	XP_006286360.1
OG0002719	XP_020871048.1, XP_020874921.1	XP_023639089.1
OG0002720	XP_020873315.1	XP_006283185.1
OG0002720	XP_002869669.1	XP_023635402.1
OG0002721	XP_020869274.1	XP_006307520.1
OG0002721	XP_020870574.1	XP_006279885.2
OG0002722	XP_020866162.1	XP_023644502.1
OG0002723	XP_020882792.1	XP_023639756.1
OG0002723	XP_020868055.1	XP_006307689.1
OG0002724	XP_020866098.1	XP_006303907.1
OG0002724	XP_020884508.1	XP_006293707.1
OG0002725	XP_002876662.1	XP_006290895.1, XP_006292419.1
OG0002726	XP_020872451.1	XP_006285786.2
OG0002726	XP_020879032.1	XP_023636432.1
OG0002727	XP_020882355.1	XP_006290612.1
OG0002727	XP_002874016.1	XP_006287059.2
OG0002728	XP_020882415.1	XP_006292450.1
OG0002728	XP_002864697.1	XP_006281214.1
OG0002729	XP_020881742.1	XP_023638683.1
OG0002729	XP_002866377.2	XP_006291734.1, XP_023645192.1
OG0002730	XP_020875728.1	XP_006285275.1, XP_006286322.2, XP_006285225.1
OG0002731	XP_002864427.1	XP_006279470.1
OG0002731	XP_002867561.1	XP_006283041.1
OG0002732	XP_020881543.1	XP_023639179.1
OG0002732	XP_020882163.1	XP_006290854.2
OG0002733	XP_002873299.1	XP_023636435.1
OG0002733	XP_020871539.1	XP_006279954.1
OG0002734	XP_002873250.1	XP_006286762.1
OG0002734	XP_020872156.1, XP_002884856.1	XP_006299502.1
OG0002735	XP_020883883.1	XP_006295943.1
OG0002735	XP_002871162.1	XP_006288108.1
OG0002736	XP_020875948.1	XP_006289946.1
OG0002736	XP_002882691.1	XP_006299080.1
OG0002737	XP_020879581.1	XP_006288040.1
OG0002738	XP_020875578.1	XP_006284606.1
OG0002738	XP_002886298.1	XP_006299016.1
OG0002739	XP_020876271.1, XP_020878183.1, XP_020869427.1	XP_006287350.1, XP_023637016.1
OG0002740	XP_020886044.1	XP_006300034.1, XP_023641246.1
OG0002740	XP_020877921.1	XP_006289419.1
OG0002741	XP_020868124.1	XP_006303390.1
OG0002741	XP_002889218.1	XP_006302915.1
OG0002742	XP_020889439.1	XP_006298711.1
OG0002743	XP_020873380.1	XP_006283319.2
OG0002743	XP_002866046.1	XP_006280192.1
OG0002744	XP_002882859.1	XP_006296845.1
OG0002744	XP_002894485.1	XP_006304604.1
OG0002745	XP_020867153.1	XP_006303543.1
OG0002745	XP_020888806.1	XP_023642439.1
OG0002746	XP_020887173.1	XP_006300132.1
OG0002746	XP_020867138.1	XP_006304781.1
OG0002747	XP_020881494.1	XP_006290528.1
OG0002747	XP_020872744.1	XP_006283040.1
OG0002748	XP_020879819.1	XP_006281009.1
OG0002748	XP_020873699.1	XP_006284194.2
OG0002749	XP_002892603.1	XP_006285215.2
OG0002749	XP_002868338.1	XP_006283141.1
OG0002750	XP_020891304.1	XP_006302911.1
OG0002750	XP_020891303.1	XP_006302932.1
OG0002751	XP_020873071.1	XP_006283673.1
OG0002751	XP_002870248.1	XP_006286210.1
OG0002752	XP_002885457.1	XP_006297394.1
OG0002752	XP_020875504.1	XP_006283548.1
OG0002753	XP_002888526.1	XP_006302479.2
OG0002754	XP_020889103.1	XP_023641535.1
OG0002755	XP_020869046.1	XP_006303729.1
OG0002756	XP_002880872.1	XP_006299708.1
OG0002757	XP_002867437.1	XP_006284299.1
OG0002757	XP_020887362.1	XP_006298317.1
OG0002758	XP_020887674.1	XP_006297610.2
OG0002758	XP_002869455.1	XP_006283684.2
OG0002759	XP_002888201.1	XP_006300525.1
OG0002759	XP_020891633.1	XP_023643965.1
OG0002760	XP_020872138.1	XP_006285078.1
OG0002761	XP_020890733.1	XP_006302053.1
OG0002762	XP_002866966.2	XP_006285868.1
OG0002762	XP_020884084.1	XP_023640792.1
OG0002763	XP_020869440.1	XP_006307656.1
OG0002763	XP_020886946.1	XP_006297799.2
OG0002764	XP_002894328.1	XP_006307155.1
OG0002764	XP_020889382.1	XP_006297366.1
OG0002765	XP_002894346.1, XP_002894345.1	XP_006304863.1
OG0002766	XP_002863174.1	XP_023634540.1
OG0002766	XP_020889367.1	XP_006298377.1
OG0002767	XP_002881407.1	XP_006295987.2
OG0002767	XP_020874280.1	XP_023634049.1
OG0002768	XP_020874373.1	XP_023635665.1
OG0002768	XP_020874372.1	XP_023635668.1
OG0002769	XP_020882622.1	XP_006281545.1
OG0002769	XP_020874564.1	XP_023634753.1
OG0002770	XP_020890829.1, XP_020871830.1	XP_006282082.1
OG0002770	XP_002870110.1	XP_006284410.1
OG0002771	XP_002877740.1	XP_006291253.1
OG0002771	XP_020871678.1	XP_006281664.1
OG0002772	XP_002881555.1	XP_006294111.1
OG0002772	XP_020880870.1	XP_023638316.1
OG0002773	XP_020873804.1	XP_006285025.2
OG0002774	XP_020873112.1	XP_023633870.1
OG0002775	XP_002873685.1	XP_006286790.1
OG0002775	XP_002884277.1	XP_006298938.1
OG0002776	XP_020879847.1	XP_006290836.1
OG0002777	XP_002881983.1	XP_006293711.1
OG0002777	XP_020880056.1	XP_006290620.1
OG0002778	XP_002878276.1	XP_006290629.2
OG0002778	XP_020884585.1	XP_006293654.1
OG0002779	XP_020883960.1	XP_023640055.1
OG0002779	XP_020879891.1	XP_023638957.1
OG0002780	XP_020881421.1	XP_006291701.1
OG0002780	XP_002876281.1	XP_006291724.1
OG0002781	XP_002885026.2	XP_023642378.1
OG0002782	XP_020883328.1	XP_006293952.1
OG0002782	XP_002876203.1	XP_006292269.1
OG0002783	XP_002876187.1	XP_006292674.1
OG0002784	XP_002885794.1	XP_006297077.1
OG0002784	XP_020875293.1	XP_006283233.1
OG0002785	XP_002885634.1	XP_006296773.1
OG0002785	XP_020886077.1	XP_006296802.1
OG0002786	XP_002884151.2	XP_006299428.1
OG0002786	XP_020889462.1	XP_006298125.1
OG0002787	XP_002889482.1	XP_023645712.1
OG0002787	XP_002879626.1	XP_006295857.1
OG0002788	XP_020882336.1	XP_006291462.1
OG0002789	XP_020888120.1	XP_006298210.1
OG0002790	XP_002879794.1	XP_006294629.1
OG0002790	XP_020883748.1	XP_006294630.1
OG0002791	XP_020872666.1	XP_006283963.1
OG0002792	XP_002874493.1	XP_006288873.1
OG0002792	XP_020868820.1	XP_006305761.1
OG0002793	XP_020868482.1	XP_006306204.1
OG0002793	XP_002887392.1	XP_006300879.1
OG0002794	XP_020880650.1	XP_006293312.2
OG0002795	XP_020887894.1	XP_023642215.1
OG0002795	XP_002872236.1	XP_006286399.2
OG0002796	XP_020876972.1	XP_006288403.2
OG0002796	XP_002884500.1	XP_006298552.2
OG0002797	XP_002876524.1	XP_006292783.1
OG0002798	XP_020883601.1	XP_006295410.1
OG0002799	XP_002868049.1	XP_023635656.1
OG0002800	XP_020886513.1	XP_006299843.1
OG0002800	XP_020887038.1, XP_020887040.1	XP_006299408.1
OG0002801	XP_002863498.1, XP_002863495.1	XP_023645247.1
OG0002801	XP_020886536.1	XP_023641235.1
OG0002802	XP_020876961.1	XP_006288342.1
OG0002802	XP_020886363.1	XP_006298191.1
OG0002803	XP_020886537.1	XP_006297256.1
OG0002803	XP_020878820.1	XP_023636633.1
OG0002804	XP_002882453.2	XP_023641421.1
OG0002805	XP_002872859.1	XP_006287526.1
OG0002805	XP_002883757.2	XP_023641297.1
OG0002806	XP_002875603.1, XP_020886991.1	XP_006281160.1, XP_006298690.1
OG0002807	XP_020889126.1	XP_023641063.1
OG0002807	XP_002868156.1	XP_006283433.1
OG0002808	XP_002894150.1	XP_006305831.1
OG0002808	XP_020887272.1	XP_006298635.1
OG0002809	XP_002864707.1, XP_020867446.1	XP_023632874.1
OG0002810	XP_020888971.1	XP_006296774.1
OG0002810	XP_002870312.2	XP_006286084.2
OG0002811	XP_020869282.1	XP_023632957.1
OG0002812	XP_020870806.1	XP_006304314.1
OG0002812	XP_002888124.1	XP_006301941.2
OG0002813	XP_002888072.1	XP_006301615.1
OG0002813	XP_002889871.1	XP_006303487.1, XP_006292280.1
OG0002814	XP_020870937.1	XP_006307580.2
OG0002814	XP_020890209.1	XP_006302377.1
OG0002815	XP_020890772.1	XP_006302066.1
OG0002815	XP_020867362.1	XP_023645238.1
OG0002816	XP_020868461.1	XP_023645215.1
OG0002816	XP_002888001.2	XP_006303055.2
OG0002817	XP_020868553.1	XP_006304920.2
OG0002818	XP_002887447.1	XP_006300656.1
OG0002818	XP_002890230.1	XP_006303887.1
OG0002819	XP_002888810.1	XP_006300987.1
OG0002819	XP_020869405.1	XP_006303371.1
OG0002820	XP_002893883.1	XP_006306007.1
OG0002820	XP_002877073.2	XP_023637475.1
OG0002820	XP_002867427.1	XP_006285287.1
OG0002821	XP_020872056.1	XP_023635084.1
OG0002821	XP_002887915.1	XP_006303011.1
OG0002822	XP_020866393.1, XP_002894168.1	XP_006304348.1, XP_006306289.1
OG0002823	XP_020872106.1, XP_020872105.1	XP_006285520.1
OG0002825	XP_002869067.1	XP_006285996.1
OG0002825	XP_002869069.1	XP_023635368.1
OG0002826	XP_020884290.1	XP_023639380.1
OG0002826	XP_020874071.1	XP_006285557.1
OG0002827	XP_020872688.1	XP_006283797.1
OG0002827	XP_020888845.1	XP_006297740.1
OG0002828	XP_002869315.1	XP_006284609.1
OG0002829	XP_020876994.1	XP_023637094.1, XP_023637654.1
OG0002830	XP_002894396.2, XP_020866654.1, XP_002894395.1	XP_023632707.1
OG0002830	XP_020870156.1	XP_023632659.1, XP_023632573.1, XP_023642935.1, XP_023642960.1, XP_023632597.1, XP_023632596.1
OG0002831	XP_020885811.1, XP_002879672.1	XP_006295964.1, XP_023640406.1
OG0002832	XP_002864048.1, XP_020866561.1	XP_006281653.2, XP_023633376.1
OG0002832	XP_020889159.1	XP_006299454.1
OG0002832	XP_020871552.1	XP_023644514.1, XP_023644513.1, XP_006306274.2
OG0002833	XP_020888880.1	XP_006299841.1
OG0002833	XP_020875301.1	XP_006285176.1
OG0002833	XP_020872903.1, XP_020884697.1	XP_006295622.1
OG0002833	XP_002869398.1	XP_006285399.1
OG0002834	XP_020881568.1	XP_023638840.1
OG0002835	XP_020879711.1	XP_006292616.1
OG0002835	XP_002877131.1	XP_023638816.1
OG0002836	XP_002863542.2	XP_023637624.1
OG0002836	XP_002869071.1	XP_006286100.1
OG0002837	XP_002864227.1	XP_006279661.2
OG0002839	XP_002875723.1	XP_006292638.1
OG0002839	XP_002875722.1	XP_006292395.1
OG0002844	XP_002875181.1	XP_006290659.1
OG0002844	XP_020877220.1	XP_006289823.1
OG0002845	XP_002884381.2	XP_006299060.1
OG0002845	XP_002873833.1	XP_006287847.2
OG0002846	XP_002882151.1	XP_006300265.2
OG0002846	XP_020877912.1	XP_006286781.1
OG0002848	XP_020875733.1	XP_023634879.1
OG0002850	XP_002873505.1	XP_006287786.1
OG0002850	XP_002874258.1	XP_006287744.1
OG0002851	XP_002873500.1	XP_023642859.1
OG0002852	XP_002872240.1	XP_006289423.1
OG0002853	XP_002872051.2	XP_023637718.1
OG0002853	XP_020877032.1	XP_006286568.1
OG0002854	XP_020884506.1	XP_006293453.1
OG0002854	XP_020883136.1	XP_006293454.1
OG0002855	XP_002892450.2	XP_006306431.1
OG0002855	XP_002880966.1	XP_006295904.1
OG0002856	XP_020869368.1	XP_006305208.1
OG0002857	XP_020869886.1	XP_023645090.1
