Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_glauca
OG0003363	XP_002875823.1	Cg002G0556800
OG0003367	XP_020888729.1	Cg005G1730300
OG0003372	XP_020881711.1	Cg002G0547400
OG0003373	XP_002890755.1	Cg006G1996100
OG0003374	XP_020870920.1	Cg006G1944100
OG0003375	XP_002864086.1	Cg003G0890900, Cg003G0891000
OG0003376	XP_002883713.1	Cg004G1347600
OG0003377	XP_002873768.1	Cg008G2727800
OG0003378	XP_020877574.1	Cg008G2726700
OG0003381	XP_020878342.1	Cg008G2688900
OG0003383	XP_020878464.1	Cg008G2805800
OG0003384	XP_020875167.1	Cg003G0893700, Cg001G0025800
OG0003385	XP_002873346.1	Cg008G2653700
OG0003386	XP_002873323.2	Cg008G2649400
OG0003387	XP_020871175.1	Cg003G0884400
OG0003387	XP_020873618.1	Cg001G0154600
OG0003388	XP_020873379.1	Cg001G0155000
OG0003389	XP_002879398.1	Cg005G1607500
OG0003389	XP_002880840.1	Cg005G1684400
OG0003390	XP_020882988.1	Cg005G1631100
OG0003391	XP_002863662.1	Cg008G2928600, Cg008G2928400
OG0003392	XP_020889551.1, XP_020889541.1	Cg008G2940900
OG0003393	XP_002890883.1	Cg006G1968200
OG0003394	XP_002893638.1	Cg006G1968100
OG0003395	XP_002862568.1, XP_002866694.1	Cg003G1051200
OG0003395	XP_002877702.1	Cg002G0530200
OG0003396	XP_020885853.1, XP_002873421.1	Cg008G2664300
OG0003397	XP_002869205.1	Cg001G0066100
OG0003398	XP_002866539.1	Cg003G1022700
OG0003399	XP_020888635.1, XP_020871873.1	Cg003G1020500
OG0003400	XP_020872001.1	Cg003G1019500
OG0003401	XP_002874156.1, XP_002874157.1	Cg008G2796200
OG0003402	XP_020878866.1	Cg008G2773600
OG0003405	XP_002864474.1, XP_020871998.1, XP_020876108.1	Cg003G0955800
OG0003406	XP_020889956.1	Cg009G2990000, Cg008G2888800
OG0003408	XP_020875938.1	Cg008G2621800
OG0003409	XP_002873102.1	Cg008G2606800
OG0003410	XP_002882613.1	Cg004G1152900
OG0003410	XP_002870955.1	Cg008G2593600
OG0003411	XP_020887193.1	Cg004G1148300
OG0003412	XP_002884700.1	Cg004G1148000
OG0003412	XP_020878914.1	Cg008G2585300
OG0003413	XP_020888259.1	Cg004G1182800
OG0003415	XP_002866831.1	Cg001G0009800
OG0003416	XP_002887644.1	Cg007G2536600
OG0003417	XP_002894517.2	Cg006G1785800, Cg004G1193600
OG0003419	XP_020867130.1, XP_020867129.1	Cg006G1801200
OG0003421	XP_020889002.1	Cg004G1306100
OG0003422	XP_020875667.1	Cg001G0028600
OG0003424	XP_020881923.1	Cg002G0636500
OG0003424	XP_020881940.1	Cg002G0636400
OG0003425	XP_020868631.1	Cg006G2018300
OG0003426	XP_020889048.1	Cg008G2970100
OG0003426	XP_002870049.1	Cg001G0218200
OG0003427	XP_002891660.1	Cg006G1817400
OG0003428	XP_002891661.2	Cg006G1817300
OG0003429	XP_020887687.1	Cg004G1445000
OG0003431	XP_002870028.2	Cg001G0214000
OG0003431	XP_002870027.1	Cg001G0214100
OG0003432	XP_002870036.1	Cg001G0215300
OG0003432	XP_020880197.1	Cg002G0501800
OG0003433	XP_002877765.1	Cg002G0521200
OG0003434	XP_002864107.1	Cg003G0895600
OG0003434	XP_002864109.1	Cg003G0895800
OG0003435	XP_020882871.1	Cg003G0894700
OG0003437	XP_002862767.2, XP_002870314.2, XP_020872590.1, XP_002869960.1	Cg008G2951300
OG0003437	XP_002870315.2	Cg008G2951700
OG0003438	XP_020875107.1	Cg001G0197300
OG0003439	XP_002882700.2	Cg004G1162800
OG0003441	XP_020873946.1, XP_002893827.1	Cg006G1922300
OG0003442	XP_020883493.1	Cg005G1484300
OG0003443	XP_002879998.1, XP_002876472.1	Cg002G0438900
OG0003444	XP_020884616.1	Cg005G1516200, Cg002G0452400
OG0003445	XP_002878125.1	Cg002G0454200, Cg002G0454300, Cg008G2927000
OG0003446	XP_002879857.1	Cg005G1529000
OG0003447	XP_020888991.1	Cg004G1339100
OG0003448	XP_002883519.1, XP_002880717.1	Cg004G1313900
OG0003449	XP_020872566.1	Cg001G0034400
OG0003450	XP_020884532.1	Cg001G0018500, Cg005G1764900
OG0003452	XP_002874587.1	Cg003G0783600
OG0003452	XP_002891076.2	Cg006G1926200
OG0003453	XP_020884425.1	Cg001G0367100, Cg003G0776300
OG0003454	XP_002882117.1, XP_002884016.2	Cg005G1455700
OG0003455	XP_020884939.1	Cg005G1471400
OG0003456	XP_020882884.1, XP_020870671.1	Cg005G1481800
OG0003457	XP_020885150.1	Cg005G1490100
OG0003458	XP_020885153.1	Cg005G1490400
OG0003459	XP_020887084.1	Cg004G1125000
OG0003462	XP_020889068.1	Cg004G1151400
OG0003463	XP_002884846.2	Cg002G0683100
OG0003464	XP_020888313.1	Cg004G1178900
OG0003465	XP_020888817.1, XP_020888523.1	Cg004G1196300
OG0003466	XP_020888913.1, XP_002884984.1	Cg004G1197600
OG0003467	XP_020886990.1	Cg004G1223100
OG0003468	XP_020873688.1, XP_020873601.1	Cg001G0160400
OG0003469	XP_020875159.1	Cg001G0094000
OG0003469	XP_020872932.1	Cg003G0892100
OG0003470	XP_002889723.1	Cg006G2174600
OG0003471	XP_020867702.1	Cg006G2183900
OG0003471	XP_020867703.1	Cg006G2184000
OG0003472	XP_020870240.1	Cg006G2169000
OG0003473	XP_002892539.2	Cg006G2163700
OG0003473	XP_002888220.1	Cg007G2316700
OG0003474	XP_020870220.1	Cg006G2161300
OG0003474	XP_002888200.1	Cg007G2312700
OG0003475	XP_020889869.1	Cg007G2274600
OG0003475	XP_002889936.1	Cg006G2138900
OG0003476	XP_002892720.1	Cg006G2134300
OG0003476	XP_002875329.1	Cg002G0660700
OG0003477	XP_002893817.1	Cg006G2117200
OG0003478	XP_002888774.2, XP_020889798.1	Cg001G0232100
OG0003479	XP_020872952.1	Cg001G0372800, Cg001G0372200
OG0003481	XP_002863368.2	Cg008G2987100
OG0003481	XP_020872769.1	Cg001G0231200
OG0003482	XP_020886189.1, XP_002868148.1	Cg004G1235200
OG0003483	XP_002862549.2, XP_020883759.1, XP_002882056.1	Cg005G1466400
OG0003484	XP_020872870.1	Cg001G0002800
OG0003485	XP_020872844.1	Cg001G0026200
OG0003485	XP_020872842.1	Cg001G0026100
OG0003486	XP_020873012.1	Cg001G0043200
OG0003487	XP_002869134.1	Cg001G0054800
OG0003488	XP_002878736.1	Cg005G1744100
OG0003488	XP_020873105.1	Cg001G0093400
OG0003489	XP_020867382.1	Cg006G2034600
OG0003491	XP_020866646.1	Cg006G2019700
OG0003496	XP_002887077.1, XP_020891385.1, XP_002888554.1, XP_002888551.1, XP_002888553.1	Cg007G2433200, Cg007G2433300
OG0003501	XP_002872095.1, XP_002872098.1, XP_002872096.2	Cg008G2798700
OG0003504	XP_020886777.1	Cg004G1303200, Cg004G1303900
OG0003504	XP_020871976.1	Cg004G1303500, Cg004G1304000
OG0003512	XP_002880809.1	Cg005G1706000
OG0003512	XP_020885344.1	Cg004G1305900
OG0003514	XP_002871741.1	Cg008G2732900
OG0003515	XP_002873747.1	Cg008G2723200
OG0003516	XP_020878800.1	Cg008G2681700
OG0003517	XP_020886418.1	Cg004G1263900
OG0003518	XP_002871345.1, XP_002877859.1	Cg008G2657600
OG0003519	XP_002866432.1	Cg003G1004800
OG0003520	XP_020877610.1	Cg008G2648500
OG0003520	XP_020887563.1	Cg004G1161900
OG0003521	XP_002880900.1	Cg005G1674200
OG0003522	XP_002880977.1, XP_002879143.1	Cg005G1660400
OG0003523	XP_002880933.1	Cg005G1653000
OG0003525	XP_020873008.1, XP_020885186.1	Cg005G1628400
OG0003526	XP_002879318.1, XP_020889919.1	Cg005G1619200
OG0003527	XP_020883260.1	Cg005G1618200
OG0003529	XP_020884594.1	Cg005G1610100
OG0003530	XP_020871046.1	Cg008G2934100
OG0003530	XP_020868853.1	Cg006G2224700
OG0003532	XP_020868094.1	Cg006G1966100, Cg006G1965400
OG0003533	XP_020880937.1	Cg003G1058000
OG0003534	XP_020871490.1	Cg003G1055800, Cg008G2891300
OG0003535	XP_002864956.1	Cg003G1046500
OG0003536	XP_020880558.1	Cg003G1012700, Cg008G2644000
OG0003537	XP_002866457.1	Cg003G1008800
OG0003538	XP_002885738.2, XP_020877849.1	Cg008G2813700, Cg008G2813600
OG0003540	XP_002872027.1	Cg008G2786900
OG0003542	XP_002872449.1	Cg003G0786300
OG0003543	XP_020871978.1, XP_020871980.1	Cg003G0985100
OG0003544	XP_002864630.1	Cg003G0984000
OG0003545	XP_020878292.1	Cg003G0972800
OG0003546	XP_020886257.1	Cg003G0967800
OG0003547	XP_020869625.1	Cg006G2183700
OG0003548	XP_002864404.1	Cg003G0945200
OG0003549	XP_002871257.1	Cg008G2644200
OG0003550	XP_020875928.1	Cg008G2631700
OG0003551	XP_020875913.1	Cg008G2624000
OG0003552	XP_002872415.1, XP_002883988.1	Cg004G1431700
OG0003554	XP_020880916.1	Cg002G0651000
OG0003554	XP_020875680.1	Cg001G0377700
OG0003555	XP_020889909.1	Cg007G2561200
OG0003556	XP_020867884.1	Cg007G2553300, Cg006G2042500
OG0003557	XP_002884046.1	Cg004G1407900
OG0003557	XP_020872793.1	Cg001G0048000
OG0003559	XP_002870318.2	Cg001G0268000
OG0003560	XP_002870305.2	Cg001G0265100
OG0003562	XP_020874492.1	Cg001G0247800
OG0003563	XP_020891682.1	Cg007G2502800, Cg007G2502900
OG0003564	XP_020870019.1	Cg006G2075700
OG0003565	XP_020880307.1, XP_002875277.1	Cg002G0670700
OG0003566	XP_020889786.1	Cg007G2465200
OG0003567	XP_002863463.1	Cg008G2963800
OG0003568	XP_020879286.1	Cg008G2922000
OG0003572	XP_002867920.1	Cg001G0203100
OG0003573	XP_002868128.1	Cg001G0239700
OG0003574	XP_020882553.1	Cg002G0509000
OG0003575	XP_002876696.1	Cg002G0401300
OG0003575	XP_002863057.1, XP_002880328.1	Cg005G1450700
OG0003576	XP_020871700.1	Cg002G0406500
OG0003577	XP_020885022.1	Cg005G1458500
OG0003577	XP_002878443.1	Cg002G0407400
OG0003578	XP_002871173.1, XP_002878395.1	Cg004G1105200, Cg006G2212200
OG0003579	XP_020891427.1	Cg007G2431400, Cg007G2431600
OG0003579	XP_002878347.1	Cg002G0421500
OG0003580	XP_020882623.1	Cg002G0463200
OG0003581	XP_002876456.1	Cg002G0443300
OG0003581	XP_020883485.1	Cg005G1507100
OG0003582	XP_002876432.1	Cg002G0447800
OG0003583	XP_020881993.1	Cg002G0475000
OG0003584	XP_020881332.1, XP_020881941.1	Cg006G2057000
OG0003585	XP_020865975.1	Cg003G0920100
OG0003586	XP_020872128.1	Cg001G0347700
OG0003586	XP_002887072.1	Cg007G2431700
OG0003587	XP_020879842.1	Cg002G0464500
OG0003587	XP_002879856.1	Cg005G1529100
OG0003589	XP_002879749.2	Cg005G1547200
OG0003590	XP_020882727.1	Cg005G1555800
OG0003591	XP_020883639.1	Cg005G1593000
OG0003591	XP_020879353.1	Cg008G2606200
OG0003592	XP_020883374.1, XP_020880394.1	Cg005G1710000
OG0003593	XP_020868508.1	Cg006G1927300
OG0003594	XP_002872581.1, XP_002872579.1	Cg003G0759600
OG0003595	XP_020876536.1, XP_002891400.2	Cg008G2820700
OG0003596	XP_002874393.1	Cg008G2830800
OG0003597	XP_002892198.1	Cg006G2225800
OG0003599	XP_020878832.1	Cg008G2746700
OG0003599	XP_020887048.1	Cg004G1101800
OG0003600	XP_020886538.1	Cg004G1124800, Cg004G1125400, Cg003G0890200
OG0003601	XP_020886410.1	Cg004G1185300
OG0003603	XP_020888095.1	Cg004G1225400
OG0003604	XP_002878742.1	Cg005G1744600
OG0003605	XP_002883260.1, XP_002883259.1	Cg004G1273100
OG0003606	XP_002894293.1	Cg006G1824100
OG0003606	XP_020889052.1	Cg004G1273500
OG0003608	XP_020885958.1	Cg004G1301600
OG0003609	XP_020879635.1	Cg002G0687600, Cg002G0687500
OG0003610	XP_020869497.1	Cg007G2358200
OG0003611	XP_002891914.1	Cg007G2347200, Cg007G2347100
OG0003612	XP_002876143.1	Cg002G0504200
OG0003613	XP_020869586.1	Cg006G2250200
OG0003614	XP_020866863.1, XP_020866864.1	Cg006G2236800
OG0003616	XP_002889585.1	Cg006G2204000
OG0003617	XP_020867774.1	Cg006G2202100
OG0003618	XP_002889686.1	Cg006G2180700
OG0003619	XP_002892547.1, XP_020867092.1, XP_020867088.1	Cg006G2162200
OG0003620	XP_020890275.1	Cg007G2309600
OG0003621	XP_020870804.1, XP_020867234.1	Cg006G2157500
OG0003622	XP_020870434.1	Cg006G2152000
OG0003623	XP_002889920.1	Cg006G2141200
OG0003627	XP_020870109.1	Cg006G2059600
OG0003628	XP_002865328.1	Cg008G2949400
OG0003629	XP_020874398.1	Cg001G0059600
OG0003630	XP_020875544.1	Cg001G0071600
OG0003630	XP_020883056.1	Cg005G1715200
OG0003631	XP_002867157.1	Cg001G0063800
OG0003632	XP_020882686.1	Cg013G3026500
OG0003632	XP_020873104.1	Cg001G0081000
OG0003633	XP_002893330.1	Cg006G2024700
OG0003634	XP_020876329.1	Cg003G0704300, Cg014G3051300
OG0003636	XP_020884597.1	Cg005G1642300
OG0003637	XP_020870137.1	Cg006G2030000
OG0003639	XP_002865814.1, XP_002865812.1, XP_002865810.1	Cg003G0882100, Cg003G0832800
OG0003640	XP_020878136.1, XP_002880623.1	Cg003G1026600
OG0003646	XP_020871254.1	Cg003G0903300
OG0003647	YP_009357275.1	Cg025G3077300, Cg040G3083800
OG0003657	XP_002875869.1	Cg002G0549300
OG0003658	XP_020874522.1	Cg001G0209700
OG0003659	XP_020887209.1, XP_002871668.1	Cg004G1082200
OG0003660	XP_020873410.1	Cg001G0180300
OG0003661	XP_002871505.1	Cg008G2686300
OG0003662	XP_002871482.1	Cg008G2683300
OG0003664	XP_020877279.1	Cg008G2663300
OG0003665	XP_020888544.1	Cg004G1167300
OG0003666	XP_002889626.2, XP_002881095.1	Cg005G1630700
OG0003668	XP_020873707.1	Cg001G0147900
OG0003669	XP_020875672.1, XP_002890789.1	Cg006G1986900
OG0003670	XP_002874139.1	Cg008G2792600
OG0003671	XP_002874214.1, XP_002874213.1	Cg008G2802900
OG0003672	XP_020877860.1	Cg008G2813900
OG0003673	XP_002871964.1	Cg008G2774500
OG0003674	XP_002875648.1	Cg002G0592900
OG0003674	XP_002871993.1	Cg008G2779700
OG0003675	XP_020867254.1	Cg003G0994800
OG0003676	XP_002866363.1	Cg003G0991100
OG0003677	XP_020885167.1, XP_020885651.1, XP_020885650.1	Cg005G1590400, Cg005G1590500
OG0003678	XP_002869613.1	Cg001G0139200
OG0003679	XP_020871608.1	Cg003G0944400
OG0003680	XP_002877684.2	Cg002G0532200
OG0003681	XP_002877622.1	Cg002G0540900
OG0003682	XP_020876135.1	Cg003G0721700, Cg014G3033600
OG0003683	XP_002873017.1	Cg008G2590200
OG0003684	XP_002875391.1	Cg002G0650300
OG0003685	XP_020868706.1	Cg006G2185700
OG0003686	XP_020873930.1	Cg001G0393300
OG0003686	XP_020890377.1	Cg007G2257700
OG0003688	XP_020889659.1, XP_002864104.1	Cg007G2574700
OG0003689	XP_020878073.1, XP_020890986.1	Cg007G2571600, Cg003G0897600
OG0003690	XP_020876967.1	Cg008G2831100
OG0003691	XP_002887571.1	Cg007G2521000, Cg007G2521100
OG0003692	XP_020869953.1	Cg006G1782100
OG0003693	XP_020867205.1	Cg006G1804100, Cg006G1804000
OG0003694	XP_020871335.1	Cg003G0873000, Cg016G3059900
OG0003695	XP_002870224.1, XP_020875487.1	Cg001G0250600
OG0003696	XP_020872220.1	Cg001G0116600
OG0003697	XP_020872650.1	Cg001G0112900
OG0003698	XP_002870721.1	Cg001G0373600
OG0003699	XP_002874994.1	Cg014G3048000, Cg003G0707500
OG0003700	XP_002863417.1	Cg008G2970300
OG0003701	XP_020889108.1, XP_002883080.1	Cg004G1242300
OG0003702	XP_020884058.1	Cg005G1493500
OG0003703	XP_020878170.1	Cg008G2952900
OG0003703	XP_002865303.1	Cg008G2953300
OG0003704	XP_020866344.1, XP_020866431.1, XP_020866203.1, XP_020867073.1	Cg006G1828400
OG0003705	XP_020871001.1	Cg004G1408600
OG0003706	XP_020867756.1	Cg006G2114800
OG0003707	XP_002894329.1	Cg006G1817900
OG0003708	XP_020873305.1, XP_020886828.1	Cg004G1374800
OG0003709	XP_020883192.1	Cg005G1596400
OG0003710	XP_002879578.1, XP_002879577.1	Cg005G1575000
OG0003711	XP_002883576.1, XP_002878005.1	Cg002G0477600
OG0003712	XP_020891674.1	Cg003G1063500, Cg003G1063400
OG0003713	XP_020865877.1, XP_020882222.1	Cg002G0406700
OG0003714	XP_020882704.1	Cg005G1462900
OG0003715	XP_020869453.1, XP_020881579.1	Cg002G0416500
OG0003716	XP_002876597.1	Cg002G0418700
OG0003717	XP_020880541.1, XP_020880542.1, XP_020880527.1	Cg002G0435000, Cg005G1719000, Cg002G0434900
OG0003718	XP_020879805.1	Cg002G0467400
OG0003719	XP_020883225.1	Cg005G1534400
OG0003720	XP_020876074.1, XP_020869876.1	Cg008G2736800
OG0003721	XP_020867103.1	Cg006G2004900
OG0003722	XP_002886178.1	Cg004G1421600
OG0003724	XP_002886243.1, XP_002886244.1	Cg004G1427500, Cg004G1427700, Cg004G1427000, Cg004G1427300, Cg004G1427100, Cg004G1427600
OG0003725	XP_020869480.1, XP_020886284.1	Cg004G1428100
OG0003726	XP_020872504.1	Cg001G0104300
OG0003727	XP_020874271.1	Cg001G0329900, Cg003G0874700, Cg003G0832600, Cg003G0881600, Cg003G0881800
OG0003730	XP_002882424.1	Cg004G1117300
OG0003731	XP_020884359.1	Cg005G1527300, Cg005G1690100
OG0003732	XP_020885429.1	Cg005G1478600
OG0003733	XP_002880081.1	Cg005G1489000
OG0003734	XP_020885154.1	Cg005G1490200
OG0003735	XP_002881931.1	Cg007G2324400, Cg005G1491600
OG0003736	XP_020887546.1	Cg004G1126800
OG0003737	XP_020889566.1	Cg004G1139700
OG0003738	XP_020887425.1	Cg004G1144700
OG0003739	XP_020886608.1	Cg004G1203300
OG0003740	XP_020888857.1	Cg004G1207400
OG0003741	XP_020866390.1	Cg006G2110900
OG0003742	XP_020887108.1	Cg004G1246800
OG0003742	XP_020885312.1	Cg005G1768300
OG0003743	XP_020891526.1, XP_002885263.2	Cg004G1251500
OG0003744	XP_002883316.1	Cg004G1285400
OG0003747	XP_020871011.1, XP_020871015.1	Cg006G2208900
OG0003749	XP_002889269.2, XP_020867568.1	Cg007G2569300
OG0003750	XP_002890193.1	Cg006G2094900
OG0003751	XP_020867934.1	Cg006G2091300
OG0003752	XP_002887358.1	Cg007G2483100, Cg007G2483200
OG0003753	XP_002887322.1	Cg007G2477000
OG0003754	XP_002883744.2	Cg004G1352600
OG0003755	XP_002887880.1, XP_002868564.1	Cg007G2259500
OG0003756	XP_002869916.1	Cg001G0194500
OG0003757	XP_002866154.1, XP_002894097.1	Cg006G1851300
OG0003758	XP_020885903.1, XP_020875753.1, XP_020885902.1, XP_002877070.1	Cg006G1846600
OG0003759	XP_020866043.1, XP_020870656.1	Cg006G1838800
OG0003760	XP_020875567.1, XP_020875569.1	Cg001G0004100
OG0003761	XP_002868921.1	Cg001G0014300, Cg001G0333300
OG0003762	XP_002866875.1	Cg001G0014900
OG0003763	XP_020885421.1, XP_002866911.1	Cg005G1764200
OG0003764	XP_020872765.1	Cg001G0035100
OG0003765	XP_002869645.2	Cg001G0144200
OG0003767	XP_002872895.2, XP_020879215.1	Cg003G0705800, Cg014G3049700
OG0003768	XP_020874857.1	Cg001G0119700
OG0003769	XP_002893633.1	Cg006G1969000
OG0003770	XP_020871590.1	Cg008G2932100
OG0003772	XP_002868527.2	Cg001G0335600
OG0003776	XP_020873993.1	Cg001G0239900
OG0003777	XP_020875425.1	Cg008G2930000, Cg008G2930200, Cg008G2929900, Cg008G2930300, Cg008G2930800, Cg008G2929800, Cg008G2930100
OG0003790	XP_002871761.1	Cg008G2736900
OG0003791	XP_020879301.1	Cg002G0584300
OG0003792	XP_002873757.2	Cg008G2725400
OG0003793	XP_002873620.1	Cg008G2878700, Cg008G2699900
OG0003794	XP_020886082.1, XP_020878335.1	Cg008G2685900
OG0003795	XP_020876721.1	Cg002G0564500
OG0003795	XP_002871436.1	Cg008G2674400
OG0003796	XP_002871384.1	Cg008G2664200
OG0003797	XP_002871322.2	Cg008G2655500
OG0003797	XP_020877437.1	Cg008G2791000
OG0003798	XP_020873540.1	Cg001G0155500, Cg002G0638700
OG0003799	XP_020883808.1, XP_020884683.1	Cg005G1654800
OG0003800	XP_020871544.1, XP_020884622.1	Cg005G1624000, Cg005G1619300
OG0003801	XP_002881191.1	Cg005G1615600
OG0003802	XP_020873923.1, XP_020884074.1	Cg005G1612700
OG0003803	XP_002879453.1	Cg005G1598200
OG0003803	XP_002892218.1	Cg006G2222200
OG0003804	XP_020867634.1, XP_020873402.1	Cg001G0151400
OG0003805	XP_002872362.1, XP_002870759.1	Cg001G0367700
OG0003806	XP_020866127.1, XP_002891132.2	Cg006G1957500
OG0003808	XP_020870218.1	Cg003G1057400
OG0003809	XP_020869726.1	Cg003G0844800, Cg003G0875900, Cg003G1027800
OG0003810	XP_020871967.1	Cg003G1022500
OG0003811	XP_020867357.1	Cg003G1016600
OG0003812	XP_002891694.1	Cg007G2439300, Cg001G0118500
OG0003813	XP_020878534.1	Cg003G0698000
OG0003813	XP_002864950.1	Cg003G1044800
OG0003814	XP_002874129.2, XP_020875811.1	Cg008G2791400
OG0003815	XP_002871479.1	Cg008G2682300
OG0003816	XP_002874046.2	Cg008G2778700
OG0003817	XP_020885782.1	Cg003G0997300
OG0003818	XP_020888162.1	Cg002G0412300, Cg003G0969800
OG0003819	XP_002869607.1	Cg001G0137800
OG0003821	XP_020883500.1	Cg003G0939200
OG0003822	XP_020870700.1	Cg003G0931900
OG0003824	XP_020875966.1	Cg008G2633700
OG0003825	XP_020881330.1	Cg003G0924700
OG0003826	XP_002863969.1	Cg008G2860500, Cg008G2845700
OG0003830	XP_020890441.1	Cg007G2560000
OG0003832	XP_020879867.1, XP_020879915.1	Cg002G0673000
OG0003833	XP_002894530.2	Cg006G1784800
OG0003834	XP_020867241.1, XP_020867645.1	Cg006G1791100
OG0003835	XP_020880433.1, XP_020879832.1	Cg002G0571400
OG0003836	XP_002875738.1, XP_020881746.1	Cg002G0572800, Cg002G0572400, Cg002G0572500
OG0003837	XP_020875714.1	Cg001G0299200
OG0003838	XP_020875507.1	Cg003G0914500
OG0003840	XP_002890282.1	Cg006G2080500
OG0003840	XP_002887522.1	Cg007G2511400
OG0003841	XP_002887226.1	Cg007G2463500
OG0003842	XP_002893372.2	Cg006G2020200
OG0003842	XP_002887256.1	Cg007G2467600
OG0003843	XP_020867973.1	Cg006G1828200
OG0003844	XP_002883243.1, XP_002891589.1	Cg004G1271200
OG0003845	XP_020883034.1	Cg005G1736400
OG0003846	XP_002877150.1	Cg002G0643800
OG0003849	XP_020873276.1	Cg001G0167000
OG0003850	XP_020873616.1	Cg001G0169600
OG0003851	XP_002885302.1	Cg004G1258700
OG0003851	XP_020888074.1	Cg004G1070900
OG0003852	XP_002884272.1	Cg004G1075200
OG0003852	XP_002890172.2	Cg006G2098800
OG0003854	XP_002894141.1, XP_020882788.1	Cg005G1476600
OG0003855	XP_002878264.1	Cg002G0433700
OG0003856	XP_020880162.1	Cg002G0443100
OG0003857	XP_020879682.1	Cg002G0444700
OG0003859	XP_020879715.1	Cg002G0486500
OG0003860	XP_020880769.1	Cg003G0889300
OG0003861	XP_002863315.1	Cg001G0305600
OG0003861	XP_002885749.1	Cg004G1327100
OG0003862	XP_002885641.1	Cg004G1313800
OG0003865	XP_020885182.1	Cg005G1560600
OG0003866	XP_002881481.1	Cg005G1564800
OG0003866	XP_020885841.1	Cg003G0832400, Cg003G0881200
OG0003867	XP_002878619.1	Cg005G1764100
OG0003868	XP_020890414.1, XP_020870125.1	Cg006G1875400
OG0003869	XP_002891059.1	Cg006G1934300
OG0003870	XP_020867037.1	Cg006G1934700
OG0003871	XP_020865860.1	Cg007G2270500
OG0003872	XP_020876685.1	Cg003G0759200
OG0003873	XP_020883708.1	Cg005G1572700
OG0003874	XP_020872500.1, XP_020885656.1	Cg005G1460500
OG0003875	XP_020884975.1	Cg005G1492800
OG0003876	XP_002891889.1	Cg007G2368400
OG0003876	XP_020884455.1	Cg005G1506000
OG0003877	XP_020885021.1	Cg005G1510900
OG0003878	XP_020889389.1	Cg005G1515200
OG0003879	XP_002873792.1	Cg008G2731900
OG0003879	XP_002884347.1	Cg004G1091400
OG0003880	XP_020886524.1	Cg004G1136700
OG0003881	XP_020887201.1	Cg004G1142600
OG0003882	XP_020888258.1	Cg004G1174000
OG0003883	XP_020876429.1, XP_020888011.1	Cg004G1400500
OG0003884	XP_020888770.1	Cg004G1221900
OG0003885	XP_002892089.1	Cg006G2243900
OG0003886	XP_020887232.1, XP_002864143.1	Cg003G0902500
OG0003887	XP_002876134.1	Cg002G0505200
OG0003888	XP_020868733.1	Cg006G2223600
OG0003889	XP_020868037.1	Cg006G2213300
OG0003890	XP_002877389.1	Cg002G0577900
OG0003891	XP_020867653.1	Cg006G2174700
OG0003892	XP_020867302.1, XP_020870445.1	Cg006G2173700
OG0003893	XP_002892503.2	Cg006G2170300
OG0003895	XP_002892689.1	Cg007G2315500, Cg007G2315400, Cg007G2315200, Cg007G2274700, Cg006G2139100
OG0003896	XP_002890266.1	Cg006G2083000
OG0003897	XP_002890295.1	Cg006G2078300
OG0003898	XP_020870017.1, XP_020870018.1	Cg006G2075500
OG0003899	XP_002893036.1	Cg006G2073100
OG0003900	XP_020878958.1	Cg003G0716400, Cg014G3039200
OG0003901	XP_002888014.1, XP_020890186.1	Cg007G2278300
OG0003902	XP_002886559.2	Cg007G2293900
OG0003903	XP_002888226.2	Cg007G2321300
OG0003905	XP_020884227.1	Cg008G2986000
OG0003906	XP_002880351.1	Cg005G1779300
OG0003907	XP_002877540.1	Cg002G0556400
OG0003908	XP_002867008.1	Cg001G0035800
OG0003909	XP_020874611.1	Cg006G2213200
OG0003910	XP_020875144.1	Cg001G0057900
OG0003911	XP_020873219.1	Cg001G0091600
OG0003912	XP_020866573.1, XP_020870490.1, XP_020870108.1	Cg006G2033700
OG0003913	XP_002869535.1	Cg001G0124100
OG0003914	XP_020870366.1, XP_020883517.1	Cg006G2209400
OG0003916	XP_020868241.1	Cg006G1916800
OG0003917	XP_002874563.1	Cg003G0789100
OG0003917	XP_020868985.1	Cg006G1913500
OG0003920	XP_002878621.1	Cg006G1949600, Cg006G1949700, Cg006G1949800, Cg005G1763600, Cg005G1763500
OG0003922	XP_020882335.1	Cg002G0620200
OG0003925	XP_020877227.1, XP_020889024.1	Cg003G0998600
OG0003931	XP_002865863.1	Cg003G0896700
OG0003941	XP_020879349.1	Cg008G2716500
OG0003942	XP_002871609.1	Cg008G2706400
OG0003943	XP_020877238.1	Cg008G2701100
OG0003944	XP_002871534.2	Cg008G2693100
OG0003945	XP_020877874.1	Cg008G2817100
OG0003946	XP_002870395.1, XP_002887249.1	Cg007G2466900
OG0003948	XP_002873502.1	Cg008G2679800
OG0003949	XP_002874369.1	Cg008G2828600
OG0003950	XP_002871313.1	Cg008G2654300
OG0003951	XP_002872039.1	Cg008G2788600
OG0003952	XP_020876800.1	Cg008G2653500
OG0003953	XP_020885606.1	Cg003G1005800
OG0003954	XP_020873291.1	Cg001G0155300
OG0003955	XP_020873331.1	Cg001G0157000
OG0003956	XP_002880924.1	Cg005G1666600
OG0003957	XP_002876387.1	Cg005G1665400
OG0003958	XP_002881085.1	Cg005G1632400
