Orthogroup	Camelina_sativa	Odontarrhena_muralis
OG0002537	XP_010422243.1, XP_010433092.1, XP_010496155.1	Om008G353650
OG0002537	XP_019091897.1, XP_010475175.1, XP_010484541.1	Om005G182210
OG0002538	XP_010435198.1	Om003G103530
OG0002539	XP_010435122.1, XP_010450038.1, XP_010440462.1	Om003G102700
OG0002539	XP_010450039.1, XP_010435123.1, XP_010440463.1	Om003G102710
OG0002540	XP_010434953.1, XP_010434494.1, XP_010434952.1, XP_010440288.1, XP_010434517.1	Om003G101390
OG0002541	XP_010518526.1, XP_010507809.1	Om008G318620
OG0002542	XP_010506615.1, XP_010508058.1, XP_010518282.1	Om008G321170
OG0002542	XP_010413382.1, XP_010512508.1, XP_010469092.1	Om003G126750
OG0002543	XP_010512452.1, XP_010469042.1, XP_010413448.1	Om003G126150
OG0002544	XP_010508368.1, XP_010506289.1	Om008G324390
OG0002544	XP_010469264.1, XP_010512267.1, XP_019082936.1	Om003G124160
OG0002545	XP_010505949.1, XP_010508694.1, XP_010517656.1	Om008G327780
OG0002545	XP_010516353.1, XP_010504665.1, XP_010427607.1	Om003G120490
OG0002546	XP_010430252.1, XP_010455914.1, XP_010422544.1, XP_010421837.1, XP_010455332.1, XP_010435850.1	Om005G223600, Om005G223580, Om005G223690
OG0002547	XP_010427588.1, XP_010516333.1, XP_010504643.1	Om003G120350
OG0002547	XP_010505925.2, XP_010512910.1, XP_019082317.1	Om008G327970
OG0002548	XP_010509119.1, XP_010517142.1, XP_010505470.1	Om007G278310, Om008G333730
OG0002548	XP_010423693.1, XP_010490844.1, XP_010452238.1	Om004G174130
OG0002550	XP_010420893.1, XP_010493159.1, XP_010454359.1	Om006G242290, Om002G082760
OG0002552	XP_010503500.1, XP_010515183.1, XP_010426359.1	Om005G189940, Om006G261690
OG0002552	XP_019093895.1, XP_019096108.1, XP_019088403.1	Om006G234150
OG0002553	XP_010464552.1, XP_010484556.1, XP_010444696.1	Om006G230380
OG0002553	XP_010503702.1, XP_010515391.1, XP_010426575.1	Om006G258940
OG0002554	XP_010465179.1, XP_010444767.1, XP_010484612.1, XP_010484619.1, XP_010465197.1	Om008G349110, Om006G229790, Om006G229770
OG0002555	XP_010428122.1, XP_010456166.1, XP_010422734.1	Om004G158540
OG0002555	XP_010480627.1, XP_010457160.1, XP_010474704.1	Om005G178760
OG0002556	XP_010422711.1, XP_010428386.1	Om004G158740
OG0002556	XP_010480738.1, XP_010474685.1, XP_010457184.1	Om005G178920
OG0002557	XP_019095032.1, XP_010475312.1, XP_010457705.2	Om005G183350
OG0002557	XP_010510194.1, XP_010414126.1, XP_010469712.1	Om007G280420
OG0002558	XP_010438668.1, XP_010438667.1	Om002G081980, Om004G142620
OG0002558	XP_010438670.1	Om001G019410
OG0002559	XP_010485410.1, XP_010496301.1, XP_010435627.1	Om002G042630
OG0002559	XP_010492283.1, XP_010420117.1, XP_010453598.1	Om007G301000
OG0002560	XP_010492365.1, XP_019083821.1	Om007G300020
OG0002560	XP_010463577.1, XP_019096620.1	Om002G043100
OG0002561	XP_010492579.1, XP_010420366.1, XP_010453828.1	Om007G297980
OG0002562	XP_010421672.1, XP_010455163.1, XP_010494072.1	Om007G293330
OG0002562	XP_010420228.1, XP_010485881.1, XP_010463980.1	Om002G046800
OG0002563	XP_019091521.1, XP_010478309.1	Om002G046950, Om002G046940
OG0002564	XP_019092094.1, XP_019093730.1, XP_019089851.1, XP_019097630.1, XP_019097166.1, XP_019097779.1, XP_019096632.1	Om002G048840, Om002G048850
OG0002565	XP_010505135.1, XP_010509515.1, XP_010516816.1	Om006G255810
OG0002566	XP_010505334.1, XP_010517017.1, XP_010509331.1	Om008G335590
OG0002567	XP_010476738.1, XP_010497772.1, XP_010459171.1	Om005G197230
OG0002568	XP_010428554.1, XP_010416414.1, XP_010471643.1	Om004G137960
OG0002568	XP_010498386.1, XP_010459636.1, XP_010477185.1	Om005G201600
OG0002569	XP_010477267.1, XP_010459715.1, XP_010498467.1	Om005G202460
OG0002570	XP_010477282.1, XP_010498476.1, XP_010459728.1	Om005G202540
OG0002571	XP_010428719.1, XP_010416574.1, XP_010471807.1	Om004G135920
OG0002571	XP_010459787.1, XP_010477349.1, XP_010498547.1	Om005G203100
OG0002572	XP_010416665.1, XP_010428806.1, XP_010471918.1	Om004G134930
OG0002572	XP_010459876.1, XP_019095425.1, XP_010496322.1, XP_010459869.1	Om005G203930
OG0002573	XP_010415688.1, XP_010474250.1, XP_010512092.1	Om005G208210
OG0002573	XP_010498940.1, XP_010460192.1, XP_010477739.1	Om004G144750
OG0002574	XP_010499077.1, XP_010460343.1, XP_010477890.1	Om004G146730
OG0002574	XP_010470827.1, XP_010415496.1	Om005G210500
OG0002575	XP_010477761.1	Om005G194880, Om005G194980, Om005G194910, Om005G195000, Om001G025040
OG0002577	XP_010487481.1, XP_019090925.1, XP_010475502.1, XP_010457923.1, XP_010475501.1, XP_010487469.2, XP_010475505.1, XP_019090965.1	Om005G185180
OG0002578	XP_010457762.2, XP_010486028.2	Om005G183810
OG0002580	XP_010510119.1, XP_010414053.1	Om007G279840
OG0002580	XP_010457639.1, XP_010485029.1, XP_010475247.1	Om005G182880
OG0002581	XP_010474693.1, XP_010476065.1	Om005G178870, Om007G305570
OG0002582	XP_010508884.1, XP_010517447.1, XP_010505755.1	Om008G330130
OG0002583	XP_010503618.1, XP_010515307.1, XP_010426471.1	Om006G260240
OG0002583	XP_010421304.1, XP_010454784.1	Om006G239330
OG0002584	XP_010454275.1, XP_010483486.1, XP_010443631.1	Om006G247270
OG0002585	XP_010443741.1, XP_010483613.1, XP_010455405.1	Om006G245810
OG0002586	XP_010514918.1, XP_010426022.1	Om006G267290
OG0002587	XP_010498397.1, XP_010459651.1, XP_010477198.1	Om005G201720
OG0002587	XP_010416436.1, XP_010428572.1, XP_010471659.1	Om004G138100
OG0002588	XP_010428412.1, XP_010471516.1	Om004G139700
OG0002588	XP_019086042.1, XP_019089151.1	Om005G200420, Om005G200430
OG0002589	XP_010428174.1, XP_010416042.1, XP_010471307.1	Om004G142230
OG0002590	XP_010465294.1, XP_010501630.1, XP_010487197.1	Om002G058800
OG0002590	XP_019099527.1, XP_010479988.1	Om003G091560
OG0002591	XP_010465193.1, XP_010487113.1, XP_010500673.1	Om002G057760
OG0002591	XP_019091861.1, XP_010501151.1, XP_010480071.1	Om003G090550
OG0002592	XP_010480004.1, XP_010501084.1	Om003G091390
OG0002592	XP_010465284.1, XP_010501576.1	Om005G219360, Om002G058660
OG0002593	XP_010462144.1, XP_010500914.1, XP_010479817.1	Om003G093810
OG0002593	XP_010465518.1, XP_010503044.1	Om002G060860
OG0002594	XP_010500889.1, XP_010462123.1, XP_010479792.1	Om003G094080
OG0002594	XP_010487393.1, XP_010503217.1, XP_010465533.1	Om002G061220
OG0002595	XP_010487455.1, XP_010465616.1, XP_010503795.1	Om002G061900
OG0002595	XP_010462064.1, XP_010500825.1, XP_010479732.1	Om003G094740
OG0002596	XP_010449880.1, XP_010434910.1, XP_010440236.1	Om003G100750
OG0002597	XP_010465754.1, XP_010487599.1, XP_010505177.1	Om002G063790
OG0002597	XP_010500315.1, XP_019095176.1, XP_010461603.1	Om003G099940
OG0002598	XP_010487683.1, XP_010506007.1, XP_010465844.1	Om002G064590
OG0002599	XP_010466436.1, XP_010420739.1, XP_010466433.1, XP_010510572.1, XP_010488197.1	Om002G069870
OG0002600	XP_010485484.1, XP_019101432.1, XP_010463645.1	Om002G043700
OG0002600	XP_010440456.1, XP_010450031.1	Om003G102660
OG0002601	XP_010472568.1, XP_010429557.1, XP_010423759.1	Om001G038450
OG0002601	XP_010445001.1, XP_019087303.1, XP_010447376.1, XP_010432708.1	Om001G029380
OG0002602	XP_010487050.1, XP_010499897.1, XP_010465108.1	Om002G057020
OG0002603	XP_010509566.1, XP_010466316.1, XP_010488084.1	Om002G068940, Om001G032110
OG0002603	XP_010479621.1, XP_010461969.1, XP_010500715.1	Om003G095950
OG0002604	XP_010479362.1, XP_010500471.1, XP_010461767.1	Om007G278920, Om001G026100, Om001G006080, Om007G278910
OG0002605	XP_010504550.1, XP_010516250.1, XP_010427464.1	Om003G119300
OG0002605	XP_010508803.1, XP_010505834.1, XP_019102571.1	Om008G329110
OG0002606	XP_010508610.1, XP_010517730.1, XP_010506024.1	Om008G326970
OG0002607	XP_010512320.1, XP_010413600.1, XP_010469230.1	Om003G117210, Om003G124640
OG0002608	XP_010488331.1, XP_010468396.2	Om001G031230
OG0002608	XP_010421995.1, XP_010468450.1	Om003G092420, Om002G073240
OG0002610	XP_010436510.1	Om001G000970
OG0002610	XP_010494789.1, XP_010441612.1, XP_010481484.1	Om008G359690
OG0002611	XP_019101252.1, XP_019102020.1, XP_019100513.1	Om008G332990, Om008G332980
OG0002612	XP_010451084.2, XP_010436294.2, XP_010445009.2, XP_019089017.1, XP_019086667.1, XP_010445010.2	Om001G029260
OG0002612	XP_019089018.1	Om001G029250
OG0002614	XP_010494688.1, XP_010458719.1, XP_010476261.1, XP_010514346.1, XP_010502624.1, XP_010425404.1	Om005G192350
OG0002615	XP_010477447.1, XP_010459918.1, XP_019097948.1, XP_019091516.1, XP_019094913.1	Om005G204320
OG0002616	XP_010514801.1, XP_010503125.1, XP_010480658.1, XP_010480497.1, XP_010462896.1, XP_010480657.1, XP_010501591.1, XP_010485493.1, XP_010421374.1, XP_010417161.1, XP_010463657.1, XP_010485554.1, XP_019092671.1, XP_010485494.1, XP_010467962.1, XP_010417283.1, XP_010463569.1, XP_010485535.1	Om007G290040
OG0002617	XP_010448154.1	Om003G105090
OG0002617	XP_019085672.1	Om003G091590
OG0002618	XP_019087998.1, XP_010484127.1, XP_019087689.1, XP_010484129.1, XP_019098627.1, XP_010460961.1	Om006G233830
OG0002622	XP_010416079.1, XP_010489072.1, XP_010495919.1	Om002G088000
OG0002622	XP_010438388.1, XP_010447920.1, XP_010433167.1	Om001G023370
OG0002623	XP_019083742.1, XP_010417177.1, XP_010417183.1, XP_010429399.1, XP_010472435.1, XP_010432913.1, XP_010438094.1, XP_010447630.1	Om001G027230
OG0002624	XP_010432661.1, XP_010447343.1, XP_010437852.1	Om001G029870
OG0002626	XP_010437613.1, XP_010447078.1, XP_010432412.1	Om001G032770
OG0002627	XP_010447057.1, XP_010437590.1	Om001G032930
OG0002627	XP_010516792.1, XP_010467360.1, XP_010489210.1	Om002G082410
OG0002628	XP_010447012.1, XP_010432358.1, XP_010437542.1	Om001G033610
OG0002629	XP_010509669.1, XP_019100450.1	Om008G339210
OG0002629	XP_010478555.1, XP_010460913.1, XP_010499663.1	Om007G291820
OG0002630	XP_010461024.1, XP_010478622.1, XP_010499749.1	Om007G277280
OG0002631	XP_010434772.1, XP_010449722.1, XP_010440104.1	Om007G276150
OG0002632	XP_010480255.1, XP_010511285.1, XP_010414989.1	Om005G218520, Om011G366000
OG0002632	XP_010489871.1, XP_010458206.1, XP_010475753.1	Om005G187310
OG0002633	XP_010475806.1, XP_010490222.1, XP_010458262.1	Om005G187900
OG0002634	XP_019083138.1, XP_010470242.1	Om005G219420
OG0002635	XP_010476070.1, XP_010492868.1, XP_010458544.1	Om005G190430
OG0002635	XP_010418141.1, XP_010430189.1	Om005G223400
OG0002636	XP_010458984.1, XP_010496455.1, XP_010476541.1	Om005G195180
OG0002636	XP_010424960.1, XP_010496847.1, XP_010513916.1	Om006G275000
OG0002637	XP_010495720.1, XP_010458874.1, XP_010476436.1	Om005G193990
OG0002637	XP_019085949.1, XP_019102160.1, XP_019100035.1	Om006G274080
OG0002638	XP_010425222.1, XP_010502449.1, XP_010514189.1	Om006G273050
OG0002638	XP_010476319.1, XP_010495138.1, XP_010458776.1	Om005G192960
OG0002639	XP_010507021.1, XP_019101820.1	Om006G271850
OG0002639	XP_010423818.1, XP_010490743.1, XP_010452126.1	Om004G175210
OG0002640	XP_010502883.1, XP_019102063.1, XP_010425664.1	Om006G270780
OG0002641	XP_010441066.1, XP_010435882.1, XP_010450802.1	Om007G315580
OG0002642	XP_010415289.1, XP_010470624.1, XP_010511640.1	Om005G212770
OG0002642	XP_010450885.1, XP_010440990.1	Om007G314960
OG0002643	XP_010435616.1, XP_010440886.1, XP_010435619.1, XP_010435617.1, XP_010450535.1	Om007G314320
OG0002643	XP_010415182.1, XP_010511464.1, XP_010470515.1	Om005G213670, Om008G349440
OG0002644	XP_010433346.1, XP_010438588.1, XP_010448109.1	Om001G020920, Om001G020880
OG0002645	XP_010451866.1, XP_010483223.1	Om006G249620
OG0002645	XP_010438816.1, XP_010448343.1, XP_010433568.1	Om001G018010
OG0002646	XP_010452302.1, XP_010423626.1, XP_010490905.1	Om004G173350
OG0002646	XP_010481811.1, XP_010486625.1, XP_010464694.1	Om002G053090
OG0002647	XP_010482261.1, XP_010442440.1, XP_010441006.1	Om003G107520
OG0002648	XP_010442871.1, XP_010445584.1, XP_010485096.1, XP_010433291.1, XP_010448063.1, XP_010438531.1	Om003G114570
OG0002649	XP_019086403.1, XP_019097314.1, XP_010442944.1, XP_019095631.1, XP_010446090.1	Om003G115280
OG0002650	XP_010443013.1, XP_010482844.1, XP_010446843.1	Om003G116030
OG0002651	XP_010482869.1, XP_010443040.1, XP_010448429.1	Om003G116250
OG0002652	XP_010452029.1, XP_019088453.1, XP_010483248.1	Om006G249410
OG0002652	XP_010414861.1, XP_019097099.1, XP_010467732.1	Om002G086410, Om002G086420
OG0002653	XP_010453126.1, XP_010419646.1, XP_010491779.1	Om004G164630
OG0002653	XP_010454834.1, XP_010493758.1	Om006G239790
OG0002654	XP_019088261.1, XP_010484395.1, XP_010463416.1	Om006G231550
OG0002654	XP_010422833.1, XP_010491731.1	Om004G165250
OG0002655	XP_010453023.1, XP_010422900.1, XP_010491657.1	Om004G166030, Om004G166000
OG0002655	XP_010444499.1, XP_010484325.1, XP_010462148.1	Om006G232090
OG0002656	XP_010444398.1, XP_010484246.1, XP_010462944.1	Om006G232810
OG0002656	XP_010491612.1, XP_010452970.1, XP_010422948.1	Om004G166430
OG0002657	XP_019086905.1, XP_010449508.1, XP_010439908.1	Om001G001370
OG0002657	XP_010426878.1	Om008G360850, Om008G360860, Om003G101600
OG0002658	XP_019086697.1, XP_010439550.1	Om001G006450
OG0002658	XP_010449140.1	Om001G006470, Om007G317650
OG0002659	XP_010448911.1, XP_010434063.1, XP_010439347.1	Om001G008860
OG0002660	XP_010433458.1, XP_010455684.1	Om008G353270
OG0002660	XP_010434016.1, XP_010448868.1, XP_010439311.1	Om001G009240
OG0002661	XP_010439170.1, XP_010448704.1, XP_010433903.1	Om001G010660
OG0002661	XP_010422092.1, XP_010455544.1, XP_010434997.1	Om008G351450
OG0002662	XP_010500048.1, XP_010461330.1, XP_010478955.1	Om001G014200
OG0002663	XP_010499305.1, XP_010460580.1, XP_010478165.1	Om007G288370
OG0002664	XP_010446890.1, XP_010444953.1, XP_010432241.1	Om001G035050
OG0002665	XP_010437380.1, XP_010446823.1	Om001G035740
OG0002665	XP_010489441.1, XP_010413224.1, XP_010467596.1	Om002G084860
OG0002666	XP_010432171.1, XP_010437342.1, XP_010446785.1	Om001G036230, Om002G068270, Om001G036220
OG0002667	XP_010432163.1, XP_010446771.1, XP_010437328.1	Om001G036470
OG0002667	XP_019098920.1, XP_010467647.1, XP_019096850.1	Om002G085650
OG0002668	XP_019087240.1, XP_010446708.1, XP_010432097.1	Om001G037260, Om001G037280, Om001G037270
OG0002669	XP_010417041.1, XP_010472280.1	Om004G154330
OG0002669	XP_010432033.1, XP_010437188.1, XP_010446627.1	Om001G038670, Om001G038640, Om001G038650
OG0002670	XP_010429080.1, XP_010416915.1, XP_010472156.1	Om004G155920
OG0002670	XP_010446453.1, XP_010437034.1, XP_010431887.1	Om001G040720
OG0002671	XP_010496973.1	Om008G334090
OG0002672	XP_010441084.1, XP_010435858.1, XP_010450779.1	Om007G315760
OG0002673	XP_010455321.1, XP_010421830.1, XP_010436004.1	Om008G343790
OG0002673	XP_010496379.1, XP_010458977.1, XP_010476530.1	Om005G195110
OG0002674	XP_010433369.1, XP_010455698.1, XP_010433379.1, XP_010422222.1, XP_010422224.1, XP_010455700.1, XP_010455699.1	Om002G074280
OG0002675	XP_010434231.1, XP_010449113.1, XP_010439515.1	Om001G006840
OG0002675	XP_010455865.1, XP_010422429.1, XP_010431445.1	Om008G355470
OG0002676	XP_010435332.1	Om003G104840
OG0002678	XP_019092128.1, XP_019096618.1, XP_019083371.1	Om003G104450
OG0002678	XP_019086433.1	Om003G103880
OG0002679	XP_010440448.1, XP_010450026.1, XP_010435110.1, XP_010512022.1, XP_010488346.1, XP_010466604.1	Om002G071590
OG0002680	XP_010466594.1, XP_010488332.1, XP_010511972.1	Om002G071470
OG0002681	XP_010518313.1, XP_010506642.1, XP_010508027.1	Om008G320940
OG0002681	XP_010512529.1, XP_010413367.1	Om003G126960
OG0002682	XP_010413029.1, XP_010507717.1, XP_010512883.1	Om008G325580
OG0002683	XP_010517694.1, XP_010508639.1, XP_010505996.1	Om008G327210, Om008G327190, Om008G327200
OG0002684	XP_010517655.1	Om008G327800
OG0002684	XP_010427605.1, XP_010516346.1	Om003G120460
OG0002685	XP_010464510.1, XP_010466520.1, XP_010486439.1	Om002G051330
OG0002686	XP_010452298.1, XP_010490903.1, XP_010423636.1	Om004G173370
OG0002687	XP_010425963.1, XP_010514873.1	Om001G029770
OG0002687	XP_010483683.1, XP_010443834.1, XP_010456317.1	Om006G245030
OG0002688	XP_010503191.1, XP_010514902.1, XP_010426008.1	Om006G267570
OG0002688	XP_010443792.1, XP_010455839.1	Om006G245440
OG0002689	XP_010443720.2, XP_010483600.1, XP_019092967.1	Om006G245930, Om006G245950
OG0002690	XP_010443718.1, XP_019095518.1, XP_019087898.1	Om006G267000, Om006G245960
OG0002691	XP_010426356.1, XP_010515180.1	Om006G261800
OG0002691	XP_010484088.1, XP_010444244.1	Om006G234180
OG0002692	XP_010427031.1, XP_010456286.1, XP_010419590.1	Om004G157620
OG0002692	XP_010457089.1, XP_010479896.1	Om005G178060
OG0002693	XP_010481914.1, XP_010474957.1, XP_010457342.1	Om005G180250
OG0002693	XP_010430531.1, XP_010455954.1, XP_010422516.1	Om004G160520
OG0002694	XP_019095580.1, XP_010494432.1, XP_010441907.1, XP_019095579.1	Om007G293050
OG0002695	XP_010510172.1, XP_010414098.1, XP_010469687.1	Om007G280230
OG0002695	XP_010457681.1, XP_010475301.1, XP_010485339.1	Om005G183210
OG0002696	XP_010488010.1, XP_010475555.1, XP_010457986.1	Om005G185640
OG0002696	XP_010510588.1, XP_010470051.1, XP_010414489.1	Om007G283290
OG0002697	XP_010486419.1, XP_010464132.1, XP_010464484.1	Om002G051150
OG0002697	XP_010464481.1, XP_010486417.1, XP_010463806.1	Om002G051140
OG0002698	XP_019099050.1, XP_010485664.1, XP_010463779.1	Om002G044740
OG0002698	XP_010453929.1, XP_010420453.1, XP_010492691.2	Om007G297130
OG0002699	XP_010509879.1, XP_010463789.1, XP_010485677.1	Om004G156870, Om002G044820
OG0002699	XP_010492697.1, XP_010453938.1	Om007G297080
OG0002700	XP_010463860.1, XP_010485757.1, XP_010515953.1	Om002G045560
OG0002701	XP_010464328.1, XP_010449510.1, XP_010486261.1, XP_010439435.1, XP_010482124.1	Om002G049880
OG0002702	XP_010427422.1, XP_010516216.1, XP_010504498.1	Om006G250810
OG0002702	XP_010508868.1, XP_019100546.1, XP_010517462.1	Om008G329930
OG0002703	XP_010499549.1, XP_010413922.1, XP_010467615.1, XP_010489508.1	Om002G085030
OG0002704	XP_010516951.1, XP_010509397.1	Om008G336140
OG0002705	XP_010427097.1, XP_010515945.1, XP_010504223.1	Om006G253600
OG0002705	XP_010505522.1, XP_010509167.1	Om008G333280
OG0002706	XP_010472803.1, XP_010429833.1, XP_010417608.1	Om004G131710
OG0002706	XP_010476744.1, XP_010459180.1, XP_010497794.1	Om005G197250
OG0002707	XP_010416145.1, XP_010471397.1, XP_010428262.1	Om004G141160
OG0002707	XP_010498171.1, XP_010459409.2, XP_010476957.2	Om005G199470
OG0002708	XP_010471645.1, XP_010416415.1, XP_019085013.1	Om004G137980
OG0002708	XP_010459638.1, XP_010498387.1, XP_010477186.1	Om005G201610
OG0002709	XP_010428760.1, XP_010471856.1, XP_010416620.1	Om004G135410
OG0002709	XP_010459838.1, XP_010477393.1, XP_010498581.1	Om005G203530
OG0002710	XP_019091230.1, XP_010477560.1	Om005G205410
OG0002710	XP_010471153.1, XP_010427970.1, XP_010415846.1	Om005G206380
OG0002711	XP_010498926.1, XP_010460177.1, XP_010477727.1	Om004G144560
OG0002712	XP_010415495.1, XP_010470826.1, XP_010499096.1, XP_010477909.1, XP_010460352.1	Om005G210530
OG0002713	XP_010511876.1, XP_010470823.1, XP_010415493.1	Om005G210560
OG0002713	XP_010477901.1	Om004G146990
OG0002714	XP_019091680.1, XP_010496855.1, XP_019095113.1	Om005G195780
OG0002715	XP_010502141.1, XP_010513890.1	Om008G335830, Om006G275190
OG0002715	XP_010459005.1, XP_010476567.1, XP_010496630.1	Om005G195500
OG0002716	XP_010475898.1, XP_010458381.1	Om005G188890
OG0002717	XP_010492530.1, XP_010453792.1, XP_010420326.1	Om007G298470
OG0002718	XP_010420448.1, XP_010453923.1, XP_010492684.1	Om007G297190
OG0002719	XP_019088181.1, XP_010456680.1, XP_019084647.1, XP_010454803.1, XP_010493724.1, XP_010421320.1	Om006G239420
OG0002720	XP_010503767.1, XP_010515474.1	Om006G257880
OG0002721	XP_010426445.1	Om006G260380
OG0002721	XP_010421270.1, XP_010454751.1, XP_010493601.1	Om006G239060
OG0002722	XP_010511952.1, XP_010470906.1, XP_019083262.1	Om005G209590
OG0002723	XP_010416778.1, XP_010428924.1, XP_010472010.1	Om004G133920
OG0002723	XP_010477481.1, XP_019095434.1	Om005G204700
OG0002724	XP_010477334.1, XP_010459771.1, XP_010498522.1	Om005G202940
OG0002724	XP_010416560.1, XP_010428700.1	Om004G136150
OG0002725	XP_010487056.1, XP_019101470.1	Om002G057080
OG0002725	XP_010499954.1, XP_010465113.1	Om002G057070
OG0002726	XP_010503033.1, XP_010487373.1, XP_010465517.1	Om002G060810
OG0002726	XP_010479823.1, XP_010500919.1, XP_010462146.1	Om003G093780
OG0002727	XP_010500811.1, XP_010479718.1, XP_010462056.1	Om003G094840
OG0002727	XP_010465638.1, XP_010487476.1, XP_010504014.1	Om002G062180
OG0002728	XP_010500508.1	Om003G097960
OG0002728	XP_010507479.1, XP_010487842.1, XP_019092795.1	Om002G066520
OG0002729	XP_010488034.1, XP_010466250.1, XP_010509046.1	Om002G068340
OG0002730	XP_010510483.2, XP_010466422.1	Om002G069810
OG0002731	XP_010466522.1, XP_010511345.1	Om002G070720
OG0002731	XP_010449972.1, XP_010435049.1	Om003G102190
OG0002732	XP_010500795.1, XP_019095250.1, XP_010462047.1	Om003G095090
OG0002733	XP_019094291.1, XP_019094292.1, XP_019097540.1, XP_019091355.1, XP_019091409.1, XP_010479364.1, XP_019097542.1	Om003G098420
OG0002734	XP_010504923.1, XP_010516607.1, XP_010509734.1	Om008G339900
OG0002735	XP_010512501.1, XP_019094016.1, XP_010413386.1, XP_010518200.1, XP_010412761.1, XP_010426969.1, XP_010515820.1, XP_010504088.1	Om006G254820
OG0002736	XP_010509241.1, XP_010517080.1, XP_010505408.1	Om008G334650
OG0002736	XP_019102344.1, XP_010427077.1	Om006G253880
OG0002737	XP_010508807.1, XP_010505833.1, XP_010497264.2, XP_010517519.1	Om008G329140
OG0002737	XP_010516249.1, XP_010504549.1, XP_010427462.1	Om003G119290
OG0002738	XP_010494997.1, XP_010497383.1, XP_010433198.1, XP_010438423.1, XP_010447952.1, XP_010481303.1, XP_010441436.1	Om008G362730, Om004G135450, Om008G362740
OG0002739	XP_010412679.1, XP_010426526.1, XP_010515361.2, XP_010503664.1	Om006G259500
OG0002739	XP_010444650.1, XP_010484499.1, XP_010464071.1	Om006G230820
OG0002740	XP_010413738.1, XP_010512152.1	Om003G123360, Om003G123350
OG0002740	XP_019093595.1, XP_019100978.1, XP_019100979.1	Om003G123370
OG0002741	XP_010511853.1, XP_010511852.1, XP_010470804.1, XP_010415474.1	Om005G201440
OG0002741	XP_010460374.1, XP_019094778.1	Om004G147080
OG0002743	XP_010432541.1, XP_010437745.1, XP_019087297.1, XP_010444985.1, XP_010444986.1, XP_010447220.1	Om001G031070
OG0002745	XP_010501432.2, XP_010476115.1	Om005G190950, Om005G190960
OG0002746	XP_010476413.1, XP_010495624.1, XP_019090989.1	Om005G193830
OG0002746	XP_010502360.1, XP_010425141.1, XP_010514117.1	Om006G273940
OG0002747	XP_010487446.2, XP_010503680.1	Om002G061840
OG0002748	XP_010422939.1, XP_010491623.1	Om004G166360
OG0002748	XP_010484254.1, XP_010462888.1	Om006G232730
OG0002749	XP_019095648.1, XP_010476677.1, XP_019088064.1, XP_010476665.1, XP_010483117.1, XP_019088447.1, XP_010476690.1	Om003G119030
OG0002750	XP_010496107.1, XP_010470575.1, XP_010415236.1, XP_019100692.1	Om005G213150
OG0002753	XP_010433238.1, XP_010438480.1, XP_010447999.1	Om001G022380
OG0002754	XP_010438356.1, XP_010433142.1, XP_010447896.1	Om001G023760
OG0002754	XP_010489089.1, XP_010416236.1, XP_010467933.1	Om002G087900
OG0002755	XP_010432822.1, XP_010447538.1, XP_010438000.1	Om001G028310
OG0002757	XP_010467346.1, XP_010432409.1, XP_010447074.1, XP_010444969.2	Om001G032800
OG0002758	XP_019096207.1, XP_010467415.1	Om001G033730
OG0002760	XP_010509626.1, XP_010516709.1, XP_019086224.1, XP_019098525.1	Om007G276790
OG0002761	XP_019083117.1, XP_019082579.1, XP_019082577.1, XP_019087446.1, XP_019087445.1, XP_019089156.1, XP_019084806.1, XP_019086283.1, XP_019101875.1, XP_019100957.1, XP_010470829.1	Om005G225420
OG0002762	XP_010418155.1, XP_010473399.1, XP_019085221.1	Om005G223750
OG0002762	XP_010476089.1, XP_010493043.1, XP_010458564.1	Om005G190640
OG0002763	XP_010459010.1, XP_010496659.1, XP_010476569.1	Om005G195540
OG0002764	XP_010476397.1, XP_010458834.1, XP_010495547.1	Om005G193700
OG0002764	XP_010425163.1, XP_010502383.1, XP_010514133.1	Om006G273760
OG0002765	XP_010425441.1, XP_010502664.1, XP_010514387.1	Om006G271710
OG0002765	XP_010491472.1, XP_010423099.1	Om004G167630
OG0002766	XP_010450528.1, XP_010440882.1, XP_010435610.1	Om007G314260
OG0002767	XP_010418332.1, XP_010430404.1, XP_010473551.1	Om005G225810
OG0002767	XP_010476256.1, XP_010494648.1	Om005G192280
OG0002768	XP_010443316.1, XP_010483142.1, XP_010451346.1	Om006G250360
OG0002769	XP_010486511.1, XP_010464589.1, XP_010472857.1, XP_019098423.1	Om002G051970, Om002G051980
OG0002769	XP_010486510.1, XP_010472663.1, XP_010464588.1	Om008G351510
OG0002770	XP_010442551.1, XP_010482372.1, XP_010442265.1	Om003G111920
OG0002771	XP_010484313.1, XP_010444484.1	Om006G232170
OG0002772	XP_010461109.1, XP_010444310.1	Om006G233690
OG0002772	XP_010423018.1, XP_010452903.1, XP_010491543.1	Om004G167030
OG0002773	XP_010491366.1, XP_010452716.1, XP_010423202.1	Om004G168820, Om004G168770
OG0002773	XP_010457583.1, XP_010443987.1, XP_010483845.1	Om006G236440
OG0002774	XP_010439634.1, XP_010434346.1, XP_010449275.1	Om001G005210
OG0002774	XP_010441817.1, XP_010481699.1, XP_019097192.1	Om008G356980
OG0002775	XP_010434331.1, XP_010449260.1, XP_010439624.1	Om001G005390
OG0002775	XP_010441826.1, XP_010481709.1, XP_010494530.1	Om008G356880
OG0002776	XP_010434168.1, XP_010439462.1, XP_010449046.1, XP_019092722.1	Om001G007460
