Orthogroup	Camelina_sativa	Aethionema_saxatile
OG0002969	XP_010457500.1, XP_010475112.1, XP_010483898.1	As008G196060
OG0002969	XP_010509904.1, XP_010469492.1, XP_010413888.1	As006G125390
OG0002970	XP_010509914.1	As006G125530
OG0002970	XP_010457515.1, XP_010475123.1	As008G195970
OG0002971	XP_010475122.1, XP_010457514.1, XP_019098820.1	As008G195980
OG0002972	XP_010484738.1, XP_010475189.1	As008G195210
OG0002972	XP_010413995.1, XP_010510018.1, XP_010469586.1	As006G126330
OG0002973	XP_010485841.1, XP_010457746.2, XP_010475347.1	As008G193960
OG0002974	XP_010414467.1, XP_019098662.1, XP_010470032.1, XP_010510566.1, XP_010475526.1, XP_010487754.1, XP_010457953.1	As006G129330
OG0002975	XP_010432656.1, XP_010447335.1, XP_019089016.1, XP_010417365.1	As006G132020
OG0002976	XP_019097258.1, XP_010420089.1, XP_010485396.1, XP_010435637.1, XP_010496290.1	As006G133020
OG0002977	XP_010496299.1, XP_010435628.1	As006G133120
OG0002977	XP_010420116.1, XP_010453597.1	As009G200420
OG0002978	XP_010483493.1, XP_010454334.1, XP_010443635.1, XP_010419660.1, XP_010491800.1, XP_010453145.1	As006G134070
OG0002979	XP_010443166.1, XP_010482984.1, XP_010449567.1, XP_010438710.1, XP_010448225.1, XP_010433452.1	As006G134610
OG0002980	XP_010464049.1, XP_010485964.1, XP_010425345.1	As006G138640
OG0002980	XP_010455114.1, XP_019083989.1, XP_010494003.1	As009G206310
OG0002981	XP_010492946.1	As006G139720
OG0002982	XP_010505161.1, XP_010509490.1	As006G144850
OG0002983	XP_010509448.1, XP_010505216.1, XP_010516891.1	As006G145220
OG0002983	XP_010515799.1, XP_010504069.1, XP_010426942.1	As012G276680
OG0002984	XP_010509442.1, XP_010505218.1, XP_010516895.1, XP_019100769.1, XP_010422119.1, XP_010513018.1	As006G145240
OG0002985	XP_010505292.1, XP_010509373.1, XP_010516974.1	As006G145790, As006G145780
OG0002986	XP_019090012.1	As006G146440, As006G146490, As012G283220, As012G283210
OG0002987	XP_010476713.1, XP_010459150.1, XP_010476715.1, XP_010497656.1, XP_010476714.1, XP_010497671.1, XP_019099030.1, XP_010476717.1	As007G152650
OG0002988	XP_010428563.1, XP_010416429.1, XP_010471652.1	As010G238160
OG0002988	XP_010477197.1, XP_010498394.1	As007G155970
OG0002989	XP_010474291.1, XP_010431489.1, XP_010419161.1, XP_010445145.1, XP_010436395.1, XP_010451204.1, XP_010433700.1, XP_010445146.1, XP_010448751.1, XP_019089523.1, XP_010451200.1, XP_010438918.1, XP_010433677.1, XP_010438945.1, XP_010433701.1, XP_010457520.1, XP_010484047.1, XP_010475129.2, XP_019094366.1	As007G160830, As007G160820
OG0002990	XP_010477925.1, XP_010499108.1	As010G229850, As007G161280
OG0002991	XP_010438869.1, XP_010448416.1, XP_010433622.1, XP_010433623.1, XP_010448417.1, XP_010445130.1	As007G165450
OG0002992	XP_010458551.1, XP_010492929.1, XP_010476078.1	As008G185970
OG0002993	XP_010490186.1, XP_010458258.1	As008G188150
OG0002994	XP_019094368.1, XP_010457576.2, XP_019094367.1, XP_010441146.1, XP_019089225.1	As008G195400
OG0002995	XP_019091957.1, XP_010474948.1, XP_010481812.1	As008G197220
OG0002996	XP_010493912.1, XP_010424349.1	As009G211470
OG0002996	XP_010455005.1	As009G205440
OG0002997	XP_010455206.2, XP_010421708.1, XP_010494115.1, XP_010494119.1, XP_010494118.1	As009G207200
OG0002998	XP_010452637.1, XP_010491276.1, XP_010423286.1	As009G211120
OG0002999	XP_010423471.1, XP_010491077.1, XP_010452447.1	As009G213270
OG0003000	XP_019097600.1, XP_019094605.1, XP_019096077.1, XP_019093281.1, XP_019088504.1	As009G217860
OG0003001	XP_010444058.1, XP_010483915.1, XP_010458423.1	As009G218700
OG0003002	XP_010503178.1, XP_010425984.1	As010G225190
OG0003003	XP_010476879.1, XP_010498078.1, XP_010415988.1, XP_010471271.1, XP_010428124.1	As010G241350
OG0003004	XP_010462238.1, XP_010500988.1, XP_010479906.1, XP_010465398.1, XP_010502183.1	As011G246950
OG0003005	XP_010487527.1, XP_010465685.1	As011G248900
OG0003006	XP_010449841.1, XP_010434871.1	As012G274340
OG0003006	XP_010504843.1	As011G249140
OG0003007	XP_010434857.1, XP_010449817.1, XP_010440185.1, XP_010504868.1, XP_010487568.1, XP_010465727.1	As011G249150
OG0003008	XP_010461702.1, XP_010479304.1, XP_010500417.1	As012G273130
OG0003008	XP_010465916.1, XP_019102507.1	As011G250370
OG0003009	XP_010479423.1, XP_010500543.1, XP_010461840.1	As012G272550
OG0003010	XP_010479573.1, XP_010500683.1, XP_010461946.1	As012G271740
OG0003010	XP_010466279.1, XP_010509292.1	As011G253010
OG0003011	XP_010488421.1, XP_010466699.1, XP_010488420.1, XP_010488417.1, XP_010466696.1	As011G255440
OG0003012	XP_010488526.1, XP_010466830.1, XP_010513375.1	As011G256320, As011G256300
OG0003013	XP_010516138.1, XP_010467407.1, XP_010489265.1, XP_010447004.1, XP_010437533.1, XP_010432345.1	As011G263620
OG0003014	XP_010467595.1, XP_010413244.1, XP_010489440.1, XP_010432820.1	As011G264920
OG0003015	XP_010495940.1, XP_010489137.1, XP_010416758.1	As011G266410
OG0003016	XP_010462003.1, XP_010500746.1, XP_010479663.1, XP_010509987.1, XP_010488122.1, XP_010466358.1	As012G271370
OG0003017	XP_010500735.1, XP_010479644.1	As012G271460
OG0003017	XP_010461991.1	As012G284290
OG0003018	XP_010516079.1, XP_010427279.1, XP_010504364.1, XP_010505609.1, XP_010517284.1, XP_010509021.1	As012G281520
OG0003019	XP_010487314.1, XP_019096800.1, XP_010502420.1, XP_010465436.1, XP_010489836.1, XP_010463450.1	As012G282450, As012G282290
OG0003020	XP_010517988.1, XP_010506310.1, XP_010508347.1, XP_010413623.1, XP_010512277.1	As012G285870
OG0003033	XP_010447919.1, XP_010433163.1, XP_010438387.1	As001G000700
OG0003033	XP_010416099.1, XP_010495917.1, XP_010489078.1	As011G266880
OG0003034	XP_019101013.1, XP_019093537.1, XP_010414450.1, XP_019098799.1	As001G002000, As001G001990, As001G001960, As001G001980, As001G001970
OG0003035	XP_010418004.1	As001G005220
OG0003036	XP_010447118.1, XP_010437653.1, XP_010432446.1, XP_010488951.1, XP_010518114.1, XP_010467291.1	As001G012870
OG0003037	XP_010447023.1, XP_010432367.1	As001G014600
OG0003038	XP_010460957.1, XP_010478578.1, XP_010499681.1, XP_010463038.1, XP_010463039.1, XP_010516756.1, XP_010505080.1	As001G015900
OG0003039	XP_010462622.1, XP_010480413.1, XP_010491157.1	As008G187230
OG0003039	XP_010511001.1, XP_010470182.1	As001G020340
OG0003040	XP_010510987.1, XP_010414623.1, XP_010470169.1, XP_010510986.1, XP_010470168.1, XP_010414621.1	As001G020420
OG0003041	XP_010418021.1, XP_010510909.1, XP_010513359.1	As001G021030
OG0003041	XP_010458430.1, XP_010491767.1, XP_010475948.1	As008G186920
OG0003042	XP_010425568.1, XP_010514498.1, XP_010502794.1	As001G026770
OG0003044	XP_010422205.1	As008G185100
OG0003044	XP_019093490.1, XP_010430348.1, XP_010418273.1	As001G031920
OG0003046	XP_010482735.1, XP_010442906.1, XP_010438533.1, XP_010448062.1, XP_010433292.1	As002G045170, As002G045180
OG0003047	XP_010422982.1, XP_010491573.1, XP_010452936.2	As002G053800
OG0003048	XP_019095471.1, XP_019093955.1	As005G116650
OG0003048	XP_010491501.1, XP_010452868.1, XP_010444282.1	As002G054230
OG0003049	XP_010434644.1, XP_010439982.1, XP_010449594.1	As003G055940
OG0003049	XP_010481363.1, XP_010494935.1, XP_010441497.1	As004G089930
OG0003050	XP_010433756.1	As004G085000
OG0003050	XP_010433995.1, XP_010439286.1, XP_010439288.1, XP_010448844.1	As003G060760
OG0003051	XP_010433957.1, XP_010448791.1, XP_010439244.1	As003G060980
OG0003051	XP_019084738.1, XP_010455596.1	As004G084740
OG0003052	XP_010421858.1, XP_010438288.1, XP_010455351.1	As004G080140
OG0003052	XP_010501780.1, XP_010461271.1, XP_010478879.1	As003G063420
OG0003053	XP_010438506.1, XP_010496541.1, XP_010455240.1	As004G080710
OG0003053	XP_010510258.1, XP_019083080.1, XP_010469771.1	As003G064290
OG0003054	XP_010461546.1, XP_010479152.1, XP_010500273.1	As003G065530
OG0003054	XP_010494212.1, XP_010481964.1, XP_010442131.1	As004G082430
OG0003055	XP_010460602.1, XP_010499331.1, XP_010478192.1	As003G068720
OG0003056	XP_010469426.1, XP_010413808.1, XP_010509832.1	As003G068860
OG0003057	XP_019088054.1, XP_019086527.1, XP_019089474.1	As003G071950
OG0003057	XP_019092020.1, XP_019096600.1, XP_019083708.1	As011G264610
OG0003058	XP_010472357.1, XP_010417106.1, XP_010429313.1	As007G179280
OG0003058	XP_010437285.1, XP_019086385.1	As003G073190
OG0003059	XP_010509663.1, XP_010507545.1, XP_010516679.1	As004G078830
OG0003059	XP_010494550.1, XP_010441807.1, XP_010481669.1	As004G087400
OG0003060	XP_010432036.1, XP_010422334.1, XP_010455807.1, XP_010439434.1	As004G085950
OG0003061	XP_010481328.1, XP_010494978.1, XP_010441462.1	As004G091040
OG0003062	XP_019088855.1, XP_010440711.1, XP_010435430.1, XP_010424666.1, XP_010490182.1, XP_019092550.1	As004G091700
OG0003063	XP_010513666.1, XP_010488576.1, XP_010466894.1	As011G256870
OG0003063	XP_010435301.1, XP_010440665.1, XP_010450305.1	As004G093720
OG0003064	XP_010466658.1, XP_010512371.1, XP_010488388.1	As004G095360
OG0003065	XP_019088020.1, XP_019098154.1, XP_019086525.1, XP_010449953.1, XP_010466454.1, XP_010488213.1, XP_019082952.1	As004G096320
OG0003066	XP_010473635.1, XP_010418429.1, XP_010430505.1	As005G098610
OG0003066	XP_010511039.1, XP_010470223.1	As012G288910
OG0003067	XP_010506482.1, XP_010518152.1, XP_010508176.1	As005G101750
OG0003067	XP_010413516.1, XP_010469144.1, XP_019101726.1	As012G286910
OG0003068	XP_010512256.1, XP_019093765.1, XP_019082950.1	As005G103410
OG0003069	XP_010505922.1	As005G106180
OG0003069	XP_010516324.1, XP_010504639.1, XP_010427582.1	As012G283700
OG0003070	XP_010503038.1, XP_010514720.1, XP_019085466.1	As010G226890
OG0003071	XP_010425942.1, XP_010514861.1, XP_010503169.1	As010G225530
OG0003072	XP_019093112.1, XP_010443819.1, XP_010483670.1	As005G114410
OG0003073	XP_010464134.1, XP_010486056.1, XP_010432302.1	As005G117990, As006G139190
OG0003074	XP_010426501.1, XP_010503642.1, XP_010515338.1, XP_010515339.1	As010G221490
OG0003074	XP_010484431.1, XP_010463652.1	As005G118890
OG0003075	XP_010444614.1, XP_010463781.1, XP_019095687.1	As005G118970
OG0003075	XP_010426507.1, XP_010515345.1, XP_010503648.1	As010G221440
OG0003076	XP_010484571.1, XP_010444716.1, XP_010464758.1, XP_010503719.1, XP_010515422.1, XP_010426592.1	As005G119750
OG0003079	XP_010419619.1, XP_019089866.1	As006G121290
OG0003079	XP_010474795.1, XP_010457085.1, XP_010479839.1	As008G199130
OG0003080	XP_010414104.1, XP_010510176.1, XP_010469689.1	As006G127070
OG0003080	XP_010485343.1, XP_019091700.1	As008G194380
OG0003081	XP_019088032.1, XP_019088035.1, XP_019095838.1	As009G218020
OG0003082	XP_010469851.1, XP_010414263.1, XP_010510361.1	As006G128060
OG0003083	XP_010475483.1	As008G192920
OG0003083	XP_019101425.1, XP_010469922.1	As006G128710
OG0003084	XP_010417919.1, XP_010473164.1, XP_010510744.1, XP_010510738.1, XP_010473159.1	As006G130370
OG0003085	XP_010473118.1, XP_010510790.1, XP_010417879.1	As006G130800
OG0003087	XP_010467981.2	As006G136280
OG0003087	XP_010492676.1, XP_010420443.1	As009G203210
OG0003088	XP_019088222.1, XP_010485882.1, XP_010463981.1, XP_010466541.1, XP_010466542.1, XP_010466543.1, XP_010488292.1, XP_010511497.1	As006G138140
OG0003089	XP_010486043.1, XP_010464117.1, XP_010431230.1, XP_010421557.1, XP_010493953.1, XP_010455067.1, XP_010486047.1	As006G139090
OG0003090	XP_010454146.1, XP_010492935.1, XP_010420670.1	As009G204770, As009G204780
OG0003090	XP_010486114.1, XP_010464191.1, XP_010437136.1	As006G139800, As006G139810
OG0003091	XP_010503877.1, XP_019085569.1	As012G278880
OG0003093	XP_010472953.1, XP_010417729.1, XP_010429986.1	As010G243940
OG0003093	XP_010497194.1, XP_010476638.1, XP_010459084.1	As007G152110
OG0003094	XP_010476839.1, XP_010459265.1, XP_010498045.1	As007G153470
OG0003095	XP_010459302.1, XP_010498071.1, XP_010476871.1, XP_010442530.1, XP_010442117.1, XP_010482356.1	As007G153700
OG0003096	XP_010442171.1, XP_010442172.1, XP_010481983.1, XP_010494187.1, XP_010477562.1	As007G159050
OG0003097	XP_010460207.1, XP_010477749.1, XP_010498954.1, XP_010415671.1, XP_010471000.1, XP_010512071.1	As007G160110
OG0003099	XP_010412693.1, XP_010431210.1, XP_010495284.1	As010G221090, As008G186160
OG0003101	XP_019084635.1, XP_019090300.1, XP_010492306.1	As009G200630
OG0003101	XP_010482123.1, XP_010442314.1	As009G206010
OG0003102	XP_010419992.1, XP_010492163.1, XP_010453485.1	As009G211480
OG0003103	XP_010483816.1, XP_019093327.1, XP_010423182.1, XP_010491384.1, XP_019090474.1	As009G218070
OG0003104	XP_019087680.1	As009G218270
OG0003104	XP_010483850.1, XP_010457652.1	As009G218280
OG0003105	XP_010503407.1, XP_010515104.1, XP_010426262.1, XP_010503405.1, XP_010426256.1, XP_010412621.1	As010G223280, As009G219090
OG0003106	XP_010426663.1, XP_010503803.1, XP_010515512.1	As010G220410
OG0003107	XP_010503347.1, XP_010515053.1	As010G223630
OG0003108	XP_010514716.1, XP_010503032.1, XP_010425810.1	As010G227010
OG0003109	XP_010428237.1, XP_010416116.1, XP_010471385.1, XP_010428238.2, XP_010428240.1, XP_010416122.1, XP_010428250.1, XP_010428249.1	As010G240450
OG0003110	XP_010480189.1, XP_010501256.1, XP_010462489.1	As010G243040
OG0003111	XP_010480094.1, XP_010462408.1	As012G268350
OG0003112	XP_010464444.1, XP_010460575.1, XP_010486375.1	As012G268700, As011G245490
OG0003113	XP_010465575.1, XP_010487423.1, XP_010503503.1, XP_010487422.1, XP_010503493.1, XP_010465574.1	As011G248020
OG0003114	XP_010500512.1, XP_010461810.1, XP_019094559.1	As012G272710
OG0003115	XP_010479656.1, XP_010461998.1	As012G271390, As011G253330
OG0003116	XP_010490069.2, XP_010466687.1, XP_010512493.1	As011G255420
OG0003117	XP_019098069.1, XP_010490123.2, XP_010468471.1, XP_010451605.1, XP_019088067.1, XP_019086545.1	As011G257560
OG0003118	XP_010467141.1, XP_019084474.1, XP_010456090.1, XP_010429078.1, XP_010422647.1	As011G259380
OG0003119	XP_010516721.1, XP_010489216.1, XP_010467373.1	As011G263390
OG0003120	XP_010516630.1, XP_010467377.1, XP_010489221.1	As011G263430
OG0003121	XP_010487170.1, XP_010465267.2, XP_010501105.1, XP_010462342.1, XP_019095245.1	As012G269010
OG0003122	XP_010516643.1, XP_010509701.1, XP_010478497.1	As012G274910
OG0003124	XP_010505400.1, XP_010517077.1, XP_010509245.1	As012G278130
OG0003139	XP_010438331.1, XP_010433126.1, XP_010447852.1, XP_010438298.1, XP_019086207.1	As001G001020
OG0003141	XP_010437624.1, XP_010432423.1, XP_010447094.1	As001G013880, As001G013890
OG0003142	XP_010444960.1, XP_010451043.1, XP_010436252.1	As001G015570
OG0003143	XP_010505094.1, XP_010516778.1, XP_010509569.1	As004G083010
OG0003143	XP_010440148.1, XP_010434813.1, XP_010449779.1	As001G018020
OG0003144	XP_010458452.1, XP_010475959.1, XP_010492012.1	As008G186710
OG0003144	XP_010510933.1, XP_010473243.1, XP_010418007.1	As001G021150
OG0003145	XP_010458460.1, XP_010492053.1, XP_010475956.1, XP_010473266.1, XP_010430072.1, XP_010418029.1	As001G021160
OG0003146	XP_010513997.1, XP_010502233.1, XP_010424999.1	As001G023390
OG0003147	XP_010436039.1, XP_010450578.1, XP_010441262.1	As005G112830
OG0003147	XP_010514385.1, XP_010502660.1, XP_010425438.1	As001G025910
OG0003148	XP_010502695.1	As001G026170
OG0003149	XP_010483851.1, XP_010457637.1, XP_010443993.1, XP_010483852.1	As001G027350
OG0003150	XP_010502866.1, XP_010514634.1, XP_010425720.1	As001G027700
OG0003150	XP_019087503.1	As004G078350
OG0003151	XP_010440787.1, XP_010435501.1, XP_019089819.1	As001G029590
OG0003152	XP_010430539.1, XP_010418473.1, XP_010473675.1	As001G030740
OG0003152	XP_010441331.1, XP_010447780.1, XP_010436115.1	As004G098120
OG0003153	XP_010418472.1, XP_010430538.1, XP_010473674.1, XP_010441330.1	As001G030750
OG0003154	XP_010418376.1, XP_010473599.1, XP_010430453.1	As001G031280
OG0003155	XP_010452396.2, XP_010423514.1, XP_010491024.1	As009G214140, As002G036180
OG0003156	XP_010461620.1, XP_010500330.1, XP_019094241.1	As002G042480
OG0003157	XP_010449330.1, XP_010443149.1, XP_010482962.1	As006G134590, As002G047110
OG0003158	XP_010453038.1, XP_010491668.1, XP_010422885.1	As002G053170
OG0003159	XP_010449175.1, XP_019087095.1, XP_010434285.1	As003G058570
OG0003161	XP_010496219.1	As003G074400
OG0003162	XP_010511523.1	As004G079140
OG0003163	XP_010432384.1, XP_010455775.1	As004G085770
OG0003164	XP_010440591.1, XP_010435273.1, XP_010450216.1	As004G094040
OG0003164	XP_010513404.1, XP_010466840.1	As011G256430
OG0003165	XP_010417493.1, XP_019093067.1, XP_010429744.1, XP_010417494.1, XP_010429745.1	As010G242190, As004G096240
OG0003166	XP_010506577.1, XP_010508088.1, XP_010518240.1	As005G101140
OG0003166	XP_010469075.1, XP_010413408.1	As012G287420
OG0003167	XP_010518171.1, XP_010508159.1, XP_010506505.1, XP_010518137.1, XP_010508196.1, XP_010506464.1, XP_019100639.1	As005G101620, As005G101630
OG0003168	XP_010486444.1, XP_010466909.1, XP_010464516.1, XP_010464517.1, XP_010486445.1, XP_010467071.1	As005G106450, As005G106500
OG0003169	XP_010468081.1, XP_010489727.1, XP_010418443.1, XP_010490733.2, XP_010424808.1, XP_010452118.2	As005G107740
OG0003170	XP_010444638.1, XP_010463972.1, XP_010484488.1	As005G119110
OG0003171	XP_010428327.1, XP_010422718.1, XP_010456155.1	As006G122380
OG0003172	XP_010428417.1, XP_010428489.1, XP_010456147.1, XP_010422710.1	As006G122440
OG0003174	XP_010422474.1, XP_010455902.1, XP_010430941.1, XP_010474977.1, XP_010482174.1, XP_010457360.1	As006G124110
OG0003175	XP_010475153.1, XP_019091856.1, XP_010484338.1	As008G195660
OG0003175	XP_010513106.1, XP_010418669.1	As006G125860
OG0003176	XP_010513102.1	As006G125980, As006G125970
OG0003177	XP_010510491.1, XP_010469954.1, XP_010414385.1	As006G128880
OG0003178	XP_010496426.1, XP_010485347.1	As006G133380
OG0003178	XP_010453528.1, XP_010420035.1, XP_010495184.1	As009G200280
OG0003179	XP_010435684.1, XP_010496416.1	As006G133480
OG0003179	XP_010492197.1, XP_010453516.1, XP_010420027.1	As009G200340
OG0003180	XP_010455191.1, XP_010421701.1, XP_010494105.1	As009G207110
OG0003180	XP_019097010.1, XP_010417830.1, XP_010463957.1	As006G137880
OG0003181	XP_010486005.1, XP_010428454.1, XP_010464079.1	As006G138760
OG0003182	XP_010486443.1, XP_010464514.1, XP_010466814.1	As006G142190
OG0003183	XP_010435975.1, XP_010450661.1, XP_010509060.1, XP_010505589.1, XP_010517258.1	As006G143710
OG0003184	XP_010516820.1, XP_010505142.1, XP_010509510.1	As006G144650
OG0003185	XP_010495684.1, XP_019102518.1, XP_010509210.1, XP_010505435.1, XP_010507607.1, XP_010517109.1, XP_010509207.1, XP_010517110.2, XP_010505439.1, XP_010509208.1	As006G148040
OG0003186	XP_010477031.1, XP_010498246.1, XP_010459471.1	As007G154910
OG0003186	XP_010471495.1, XP_010416235.1, XP_010428367.1	As010G239450
OG0003187	XP_019094167.1, XP_010428646.1, XP_010416506.1	As010G237510
OG0003187	XP_010477252.1, XP_010459703.1, XP_010498455.1	As007G156370
OG0003188	XP_010477319.1, XP_010498508.1, XP_010459760.1, XP_010498507.1, XP_010477318.1, XP_010459761.1	As007G156780
OG0003189	XP_010459762.1, XP_019094813.1, XP_010498509.1	As007G156790
OG0003190	XP_010497909.1, XP_010416698.1, XP_010471947.1, XP_010428833.1	As010G235870
OG0003190	XP_010477425.1, XP_010459898.1, XP_010498634.1	As007G157810
OG0003192	XP_019095066.1	As007G159840
OG0003193	XP_010460469.1, XP_010478032.1	As007G162010
OG0003194	XP_010447628.1, XP_010436318.1, XP_010438091.1, XP_010429401.1, XP_010472432.1	As007G178260
OG0003195	XP_010416973.1, XP_010472210.1, XP_010429130.1, XP_010472176.1, XP_019083464.1, XP_010490967.1	As007G180480
OG0003196	XP_010459017.1, XP_010476571.1, XP_010496710.1, XP_010496743.1	As008G182440
OG0003197	XP_019098963.1, XP_019090853.1, XP_019095294.1	As008G184830
OG0003199	XP_010467255.1, XP_010517675.1, XP_010488908.1, XP_010467256.1, XP_010488909.1, XP_010517708.1	As008G190490
OG0003200	NP_001289915.1, XP_010458079.1, XP_010475642.1	As008G190800
OG0003201	XP_010457530.1, XP_010484126.1, XP_010475136.1, XP_019091431.1	As008G194490
OG0003202	XP_010482740.1, XP_019091539.1, XP_010475023.1, XP_010507585.1, XP_010513012.1, XP_010412904.1	As008G197050
OG0003203	XP_010421673.1, XP_010455164.1, XP_010494074.1, XP_010485965.1, XP_010464050.1, XP_010425447.1	As009G206950
OG0003204	XP_010490957.1, XP_010452342.1, XP_010423575.1	As009G214600
OG0003205	XP_010434315.1	As011G256540
OG0003205	XP_010495499.1, XP_010456705.1	As009G215060
OG0003206	XP_010493791.1, XP_010421388.1	As009G215340
OG0003207	XP_010483739.1, XP_010443891.1, XP_010456769.1	As009G217560
OG0003208	XP_010428746.1, XP_010419230.1	As010G236670, As010G236680
OG0003209	XP_010489826.1, XP_010419131.1, XP_010489827.1	As011G246360
OG0003212	XP_010465581.1, XP_019096376.1, XP_010503542.1, XP_010465579.1	As011G248070
OG0003213	XP_010465630.1, XP_010487467.1, XP_010503894.1, XP_019091161.1, XP_010500814.1, XP_010479722.1	As011G248330
OG0003214	XP_010506283.1, XP_010465877.1, XP_019097104.1	As011G250070
OG0003215	XP_010479319.1, XP_010500434.1	As011G250690
OG0003216	XP_010468724.1, XP_010467631.1, XP_010414050.1	As011G265500
OG0003217	XP_010489013.1, XP_010467788.1	As011G267290
OG0003218	XP_010479841.1, XP_010462165.1, XP_010500935.1, XP_010462166.1, XP_010471433.1, XP_010500936.2, XP_010479842.1, XP_010436862.1	As012G270030
OG0003219	XP_010479639.1, XP_010500731.1, XP_010461988.1	As012G271490
OG0003220	XP_010500544.1, XP_010461841.1, XP_019094677.1	As012G272530
OG0003221	XP_019088384.1, XP_019088456.1, XP_019088461.1, XP_019087848.1, XP_019087849.1, XP_019086213.1, XP_019088385.1, XP_019095861.1, XP_019087847.1	As012G275000
OG0003222	XP_010504333.1, XP_010427237.1, XP_010504334.1, XP_010427238.1, XP_010516053.1	As012G281200
OG0003223	XP_010417332.1, XP_010472572.1, XP_010447374.1, XP_010437900.1, XP_010432704.1, XP_010429560.1	As012G282130
OG0003224	XP_010516189.1, XP_010504466.1, XP_010427400.1, XP_010505730.1, XP_010508910.1, XP_010517420.1	As012G282320, As012G282440
OG0003225	XP_019099740.1, XP_010504501.1, XP_019084892.1	As012G284760
OG0003226	XP_019082375.1, XP_019100612.1, XP_010508374.1	As012G285770
OG0003247	XP_010447694.1, XP_010432965.1, XP_010438154.1	As001G002660
OG0003247	XP_010472397.1, XP_010417141.1, XP_010429354.1	As007G178960
OG0003248	XP_019083717.1, XP_010472401.1, XP_010429358.1	As001G002810, As007G178580
OG0003249	XP_010432769.1, XP_010447436.1, XP_010437951.1, XP_010429526.1, XP_010417300.1, XP_010472533.1	As001G004570
OG0003250	XP_010432725.1, XP_019088170.1, XP_010447394.1, XP_010472554.2, XP_019085136.1	As001G004950
OG0003251	XP_019098127.1, XP_019087430.1, XP_010435045.1, XP_010449952.1, XP_019098146.1	As001G010070
OG0003252	XP_010447203.1, XP_010437726.1	As001G012160
OG0003253	XP_010441951.1, XP_010481774.1, NP_001289907.1	As006G124430, As006G124420, As001G012340
OG0003254	XP_010507692.1, XP_010413008.1, XP_019100722.1	As001G012950, As001G013440
OG0003255	XP_010490747.1, XP_010475875.1	As004G078910
OG0003256	XP_010495130.1, XP_010458775.1, XP_010476318.1, XP_010514183.1, XP_010425217.1, XP_010502455.1	As001G024690
OG0003257	XP_010514526.1, XP_010502816.1, XP_010425598.1, XP_019087513.1, XP_010496786.1, XP_010436825.1	As001G026920
OG0003258	XP_010441009.1, XP_010450863.1, XP_010435788.1	As004G077970
OG0003258	XP_010514688.1	As001G028150
OG0003259	XP_010430317.1, XP_010418247.1, XP_010473477.1, XP_010473478.1, XP_010430319.1, XP_010430320.1	As001G032020, As001G032030
OG0003260	XP_010427413.1, XP_010504489.1, XP_010516205.1, XP_010427412.1, XP_010504487.1, XP_010516203.1	As002G043840
OG0003261	XP_010442865.1	As002G044910
OG0003261	XP_010438552.1	As002G044920
OG0003262	XP_010446054.1, XP_010482782.1, XP_010442951.1	As002G045810
OG0003263	XP_019086124.1, XP_010438677.1	As006G134380
OG0003263	XP_010448890.1, XP_010443096.1	As002G046720
OG0003264	XP_010491850.1, XP_010419687.1, XP_010453174.1, XP_010493797.1, XP_010421392.1, XP_019090251.1	As002G051950
OG0003265	XP_010453108.1, XP_010491751.1, XP_010422817.1	As002G052510
OG0003266	XP_010421132.1, XP_010493452.1, XP_010454613.1	As009G217180
OG0003266	XP_010424727.1, XP_010423106.1, XP_010423104.1, XP_010491464.1	As002G054550
OG0003267	XP_010491442.1, XP_010423125.1, XP_010452795.1	As002G054690
OG0003268	XP_010449481.1, XP_010439824.1, XP_010434499.1	As003G057170
OG0003269	XP_019098526.1	As003G063720, As003G063650, As003G063670, As003G060450, As004G085330
OG0003270	XP_010501802.1, XP_010463165.1	As003G064000
OG0003271	XP_010478161.1, XP_010460577.1, XP_010499299.1, XP_010497764.1, XP_019099726.1, XP_010507474.1	As003G068290
OG0003272	XP_010460855.1, XP_010478471.1	As003G071130
OG0003273	XP_010516645.1	As012G274890
OG0003274	XP_010446924.1, XP_010432285.1, XP_010437475.1	As003G071680
OG0003275	XP_010514779.1, XP_010467540.1	As011G264570
OG0003275	XP_010446900.1, XP_010437444.1, XP_010432252.1	As003G071920
OG0003276	XP_010489515.1, XP_010467623.1, XP_010413989.1	As011G265520
OG0003277	XP_010446772.1, XP_010432160.1, XP_010437329.1	As003G072780
OG0003278	XP_010436976.1, XP_019086591.1, XP_010446395.1	As003G076070
OG0003279	XP_010431828.1, XP_010446394.1, XP_010436975.1	As003G076080
OG0003280	XP_010509591.1, XP_010505072.1, XP_010516740.1	As004G079190
OG0003282	XP_010440768.1, XP_010450419.1, XP_010435467.1, XP_010467062.1, XP_010488748.1, XP_010412561.1	As004G092460
OG0003283	XP_010450284.1, XP_010440651.1, XP_010495985.1	As004G093520
OG0003284	XP_010440534.1, XP_010450167.1, XP_010435229.1, XP_010488478.1	As004G094590
OG0003285	XP_010495831.1, XP_010450162.1, XP_010435225.1, XP_010496964.1, XP_010481086.1, XP_010513503.1, XP_019085219.1	As004G094820
OG0003286	XP_010440405.1, XP_010440404.1, XP_010450004.1, XP_010435079.1, XP_019096439.1	As004G095820
OG0003287	XP_010449974.1, XP_019087803.1, XP_010435053.1, XP_010511384.1, XP_010466525.1	As004G096020
OG0003288	XP_010518455.1, XP_010507880.1, XP_010506787.1	As005G099390
