Orthogroup	Eutrema_salsugineum	Raphanus_sativus
OG0001772	XP_006399552.1	XP_018475961.1
OG0001772	XP_006394007.1	XP_018491445.1
OG0001773	XP_024012423.1	XP_018468313.1
OG0001774	XP_006399289.1	XP_018473262.1, XP_018474781.1
OG0001774	XP_006394544.1	XP_018452312.1, XP_018486750.1
OG0001775	XP_006399244.1	XP_018446034.1
OG0001775	XP_006394491.1	XP_018483295.1
OG0001776	XP_006418254.1	XP_018441423.1
OG0001776	XP_006396512.1	XP_018459241.1
OG0001777	XP_006417796.1	XP_018492639.1
OG0001777	XP_006409951.1	XP_018439722.1
OG0001778	XP_006409985.1	XP_018477301.1, XP_018480546.1
OG0001778	XP_006417806.1	XP_018441825.1, XP_018448094.1
OG0001779	XP_006410014.1	XP_018441751.1
OG0001779	XP_006417809.1	XP_018493006.1, XP_018436197.1, XP_018489398.1
OG0001780	XP_006417853.2	XP_018434847.1
OG0001780	XP_006410089.1	XP_018478353.1, XP_018433289.1
OG0001781	XP_006417951.2	XP_018483070.1
OG0001781	XP_024003913.1	XP_018437135.1
OG0001782	XP_006410460.1, XP_006410461.1	XP_018473240.1, XP_018472692.1, XP_018433162.1
OG0001783	XP_006403140.1	XP_018455814.1
OG0001783	XP_006418189.1	XP_018486257.1, XP_018447501.1
OG0001784	XP_006413326.1	XP_018446266.1
OG0001784	XP_006401971.1	XP_018472938.1, XP_018452874.1
OG0001785	XP_006401881.1	XP_018476838.1, XP_018456761.1
OG0001786	XP_006413301.1	XP_018478408.1
OG0001787	XP_006403316.1	XP_018455090.1
OG0001787	XP_006393674.1	XP_018440722.1
OG0001788	XP_024008001.1	XP_018487540.1
OG0001788	XP_024013175.1	XP_018482443.1, XP_018462456.1, XP_018454160.1
OG0001789	XP_024008208.1	XP_018451043.1, XP_018451040.1, XP_018433080.1
OG0001789	XP_006410614.2	XP_018440018.1
OG0001790	XP_006394276.1	XP_018454237.1, XP_018489874.1, XP_018462984.1
OG0001790	XP_024013763.1	XP_018436926.1, XP_018489087.1
OG0001791	XP_006407415.1	XP_018436822.1, XP_018491096.1
OG0001792	XP_024006916.1	XP_018455035.1
OG0001793	XP_006415785.1	XP_018453422.1, XP_018447406.1
OG0001793	XP_006415784.1	XP_018453492.1
OG0001794	XP_006393558.2, XP_024006326.1	XP_018460741.1, XP_018461448.1, XP_018460153.1, XP_018460214.1, XP_018461452.1
OG0001795	XP_024007660.1	XP_018479310.1
OG0001795	XP_024014998.1	XP_018458240.1, XP_018458237.1
OG0001796	XP_006400721.1	XP_018475881.1, XP_018444945.1, XP_018454285.1
OG0001797	XP_006404478.1	XP_018444387.1, XP_018433120.1
OG0001797	XP_006400731.1	XP_018476918.1
OG0001798	XP_006419045.1	XP_018439584.1
OG0001798	XP_024011477.1	XP_018464996.1, XP_018471367.1, XP_018446895.1, XP_018446887.1, XP_018463809.1
OG0001799	XP_006400900.1, XP_006400901.1	XP_018461611.1, XP_018468366.1
OG0001800	XP_006418854.1	XP_018441527.1
OG0001800	XP_006400996.1	XP_018472314.1
OG0001801	XP_006401307.2	XP_018475486.1, XP_018475489.1
OG0001801	XP_024005129.1, XP_006401832.1, XP_024011244.1	XP_018455799.1, XP_018455828.1, XP_018455120.1, XP_018453969.1, XP_018461402.1, XP_018471296.1
OG0001802	XP_006401400.1	XP_018470368.1, XP_018456121.1, XP_018456289.1
OG0001802	XP_006413162.1	XP_018452163.1
OG0001803	XP_006407412.1	XP_018491094.1, XP_018440784.1
OG0001803	XP_024011798.1	XP_018464149.1, XP_018473454.1, XP_018473463.1
OG0001804	XP_006399024.1	XP_018464313.1, XP_018476359.1, XP_018445050.1
OG0001804	XP_006409112.1	XP_018434319.1
OG0001805	XP_006407548.1	XP_018432778.1, XP_018439229.1, XP_018440378.1
OG0001805	XP_006398910.1	XP_018442845.1, XP_018442850.1
OG0001806	XP_006407586.1	XP_018441818.1
OG0001806	XP_006398873.1	XP_018446908.1
OG0001807	XP_006398869.1	XP_018476288.1, XP_018471986.1, XP_018471989.1
OG0001807	XP_006407588.1	XP_018432924.1
OG0001808	XP_006407640.1	XP_018432668.1, XP_018432652.1, XP_018451551.1, XP_018443235.1, XP_018433095.1
OG0001809	XP_006395458.1	XP_018457955.1
OG0001809	XP_006405432.1	XP_018446673.1, XP_018459686.1
OG0001810	XP_006412013.1	XP_018470281.1, XP_018470280.1
OG0001811	XP_006416740.1	XP_018439644.1
OG0001811	XP_006389983.2	XP_018442687.1
OG0001812	XP_006390141.2	XP_018465452.1, XP_018443418.1
OG0001813	XP_024010980.1	XP_018463599.1, XP_018444122.1, XP_018445824.1, XP_018482382.1, XP_018480912.1
OG0001814	XP_006390163.2, XP_006390162.1	XP_018446322.1
OG0001814	XP_006416333.1	XP_018450026.1, XP_018462204.1, XP_018464139.1
OG0001815	XP_006390239.1	XP_018468361.1
OG0001815	XP_006416412.1	XP_018439919.1, XP_018439400.1
OG0001816	XP_006390699.1, XP_024012363.1	XP_018458704.1
OG0001816	XP_006390695.1	XP_018456081.1, XP_018456082.1
OG0001818	XP_006416512.1	XP_018451455.1, XP_018434508.1
OG0001818	XP_006390350.2	XP_018445356.1, XP_018445362.1
OG0001819	XP_024016621.1	XP_018486290.1, XP_018433535.1
OG0001819	XP_006412095.1	XP_018478489.1
OG0001820	XP_006412032.1	XP_018447330.1, XP_018467207.1
OG0001820	XP_006409236.1	XP_018435804.1
OG0001821	XP_006410819.1	XP_018464437.1, XP_018473204.1
OG0001821	XP_006403751.1	XP_018487363.1, XP_018442737.1
OG0001822	XP_006395549.1	XP_018484639.1, XP_018441067.1, XP_018441011.1
OG0001822	XP_006410854.1	XP_018484812.1
OG0001823	XP_006414469.2	XP_018436421.1, XP_018438831.1
OG0001824	XP_006390601.1	XP_018470256.1, XP_018470255.1, XP_018442347.1, XP_018438927.1
OG0001825	XP_006401552.2	XP_018450008.1
OG0001826	XP_006390433.1	XP_018445181.1, XP_018445134.1, XP_018466122.1, XP_018445111.1
OG0001826	XP_006416577.1	XP_018457343.1
OG0001827	XP_006412871.1	XP_018483516.1, XP_018483515.1, XP_018455458.1
OG0001827	XP_006408902.1	XP_018452988.1
OG0001828	XP_006415956.1	XP_018484970.1
OG0001828	XP_006391003.1	XP_018452854.1, XP_018472047.1
OG0001829	XP_006414111.1	XP_018472085.1
OG0001829	XP_006398302.1	XP_018485118.1
OG0001830	XP_006398217.1	XP_018457244.1, XP_018466844.1, XP_018480386.1
OG0001830	XP_006414009.1	XP_018484469.1, XP_018451174.1, XP_018447067.1
OG0001832	XP_024015460.1	XP_018458526.1, XP_018459584.1, XP_018485904.1
OG0001832	XP_024006157.1	XP_018493176.1, XP_018471094.1, XP_018473698.1
OG0001833	XP_006406874.1	XP_018486786.1
OG0001833	XP_006392943.2	XP_018447927.1, XP_018443415.1
OG0001834	XP_006410581.1	XP_018473006.1, XP_018436933.1
OG0001834	XP_006401822.1	XP_018453166.1, XP_018456854.1
OG0001835	XP_006416618.2, XP_006416692.2	XP_018434578.1, XP_018434577.1, XP_018463984.1
OG0001836	XP_006410015.1	XP_018460787.1
OG0001837	XP_006409548.1	XP_018438656.1
OG0001838	XP_006409349.1	XP_018441656.1
OG0001838	XP_024005546.1	XP_018450923.1, XP_018471287.1
OG0001839	XP_006413516.1	XP_018462572.1, XP_018447658.1
OG0001839	XP_006396959.1	XP_018457971.1, XP_018465315.1
OG0001840	XP_006413606.1	XP_018478914.1, XP_018467851.1, XP_018469811.1
OG0001840	XP_024009981.1	XP_018472916.1
OG0001841	XP_006413922.1	XP_018482149.1, XP_018479197.1, XP_018479804.1, XP_018479802.1, XP_018479908.1, XP_018479906.1
OG0001842	XP_024005658.1, XP_006392521.1	XP_018469000.1
OG0001843	XP_006396601.1	XP_018456780.1
OG0001843	XP_006413823.1	XP_018447089.1
OG0001844	XP_006396641.1	XP_018456421.1
OG0001844	XP_006413761.1	XP_018471234.1
OG0001845	XP_006417724.1	XP_018434349.1
OG0001846	XP_006402910.1	XP_018432970.1, XP_018488577.1
OG0001846	XP_006411402.1	XP_018465625.1
OG0001847	XP_006397962.1	XP_018485022.1
OG0001848	XP_006402413.1	XP_018489415.1, XP_018444640.1
OG0001848	XP_006397890.1	XP_018481748.1, XP_018481743.1
OG0001849	XP_006402563.1	XP_018467557.1, XP_018485145.1
OG0001849	XP_006397697.1	XP_018444958.1, XP_018476618.1
OG0001850	XP_006402598.1	XP_018482145.1, XP_018480169.1, XP_018480170.1, XP_018481770.1
OG0001851	XP_006402610.1	XP_018491414.1, XP_018464902.1, XP_018460723.1
OG0001851	XP_006397639.1	XP_018482193.1, XP_018481506.1
OG0001852	XP_024012778.1	XP_018461320.1, XP_018459087.1, XP_018459088.1
OG0001852	XP_024010714.1	XP_018477304.1
OG0001853	XP_006397597.1	XP_018474927.1
OG0001853	XP_006402633.1	XP_018462707.1, XP_018481619.1, XP_018491109.1, XP_018445553.1
OG0001854	XP_006402663.1	XP_018467023.1, XP_018480570.1, XP_018461570.1
OG0001855	XP_006411360.1	XP_018484004.1, XP_018439934.1
OG0001855	XP_006402962.1	XP_018459889.1, XP_018458565.1
OG0001856	XP_006411216.1	XP_018434126.1
OG0001856	XP_006403439.1	XP_018484532.1, XP_018484535.1
OG0001857	XP_006403541.1	XP_018483045.1, XP_018483772.1
OG0001858	XP_006403704.1	XP_018493236.1
OG0001858	XP_006410887.1	XP_018458999.1, XP_018481305.1
OG0001859	XP_006411986.1	XP_018469853.1, XP_018469840.1
OG0001859	XP_006409165.1	XP_018457342.1, XP_018452426.1, XP_018485404.1
OG0001860	XP_006411960.1	XP_018466680.1, XP_018449275.1, XP_018470424.1
OG0001860	XP_006409130.1	XP_018453261.1
OG0001861	XP_006391518.1	XP_018445888.1, XP_018445887.1
OG0001861	XP_024009613.1	XP_018454175.1
OG0001862	XP_006396750.1	XP_018473197.1, XP_018475109.1
OG0001863	XP_024010193.1	XP_018460946.1, XP_018462826.1
OG0001863	XP_024014028.1, XP_024009953.1, XP_024010525.1	XP_018455915.1
OG0001864	XP_006404744.1	XP_018439157.1, XP_018439154.1
OG0001864	XP_006411848.1	XP_018451759.1, XP_018448373.1
OG0001865	XP_006396016.1	XP_018439931.1
OG0001865	XP_006397292.1, XP_024010174.1	XP_018472585.1, XP_018472618.1
OG0001866	XP_006417539.1	XP_018460015.1, XP_018451676.1
OG0001866	XP_006407761.1	XP_018493571.1
OG0001867	XP_006411515.1, XP_006411512.1, XP_006411514.1	XP_018476437.1, XP_018476438.1
OG0001869	XP_024008125.1	XP_018490279.1, XP_018438875.1, XP_018470327.1, XP_018491321.1
OG0001871	XP_006408403.1	XP_018492613.1, XP_018489306.1
OG0001871	XP_006408402.1, XP_006393135.1	XP_018489301.1, XP_018489773.1
OG0001872	XP_006407982.1	XP_018488414.1
OG0001872	XP_006406005.2	XP_018436945.1, XP_018488880.1
OG0001873	XP_006417066.1	XP_018451082.1, XP_018441349.1
OG0001873	XP_006395722.1	XP_018438352.1
OG0001874	XP_006405237.1	XP_018441412.1
OG0001874	XP_024005798.1	XP_018478649.1, XP_018450824.1
OG0001875	XP_006414110.2, XP_006405609.1	XP_018480923.1
OG0001875	XP_006395312.1	XP_018454635.1, XP_018482683.1
OG0001876	XP_006405621.1	XP_018478934.1
OG0001876	XP_024014778.1	XP_018482807.1, XP_018480827.1, XP_018482809.1
OG0001877	XP_006405777.1	XP_018478592.1, XP_018478570.1
OG0001877	XP_006391463.1	XP_018469881.1, XP_018469882.1, XP_018442832.1
OG0001878	XP_006396240.1	XP_018456950.1
OG0001878	XP_006418438.1	XP_018492372.1, XP_018489980.1, XP_018474670.1
OG0001879	XP_006417431.1	XP_018472065.1, XP_018472076.1
OG0001879	XP_006413247.1	XP_018467755.1
OG0001880	XP_006417426.1	XP_018440934.1, XP_018486303.1
OG0001880	XP_006392117.1	XP_018438084.1, XP_018438083.1
OG0001881	XP_006417277.1	XP_018479568.1, XP_018463633.1
OG0001881	XP_006391897.1	XP_018457643.1
OG0001882	XP_006417273.1	XP_018465140.1, XP_018490369.1
OG0001882	XP_024004439.1	XP_018456831.1
OG0001883	XP_006391782.1	XP_018457733.1, XP_018452019.1
OG0001883	XP_006417204.1	XP_018483880.1, XP_018466656.1
OG0001884	XP_024007058.1	XP_018440402.1
OG0001884	XP_006417144.1	XP_018440381.1
OG0001885	XP_006395784.1	XP_018478386.1, XP_018452128.1
OG0001885	XP_006417003.1	XP_018447163.1, XP_018441853.1
OG0001886	XP_006393335.1	XP_018463669.1, XP_018464349.1, XP_018451799.1
OG0001888	XP_006416720.1	XP_018465403.1, XP_018466993.1, XP_018451908.1, XP_018451918.1
OG0001889	XP_024008360.1	XP_018434326.1, XP_018469125.1
OG0001889	XP_006390641.1	XP_018457408.1, XP_018468143.1
OG0001890	XP_006395791.1	XP_018483419.1
OG0001890	XP_006395792.1	XP_018433756.1
OG0001891	XP_006390926.2	XP_018456311.1
OG0001891	XP_006416019.1	XP_018439816.1, XP_018476126.1
OG0001892	XP_024005099.1	XP_018448106.1
OG0001892	XP_006411830.1	XP_018468545.1, XP_018448367.1, XP_018447561.1
OG0001893	XP_024015766.1	XP_018434523.1, XP_018484972.1
OG0001893	XP_006412474.1	XP_018447277.1, XP_018463224.1
OG0001894	XP_006409626.1	XP_018488801.1, XP_018452894.1, XP_018455728.1, XP_018461409.1
OG0001894	XP_006412302.1	XP_018482684.1, XP_018461092.1
OG0001895	XP_024005191.1	XP_018448513.1
OG0001895	XP_006404977.1	XP_018437638.1, XP_018434933.1, XP_018477433.1
OG0001896	XP_024014214.1	XP_018441559.1, XP_018434962.1
OG0001896	XP_006412603.1	XP_018448895.1, XP_018470667.1
OG0001897	XP_024005155.1	XP_018470478.1
OG0001897	XP_024014293.1	XP_018438421.1
OG0001900	XP_006405588.1	XP_018444202.1
OG0001900	XP_006395335.1	XP_018437882.1, XP_018438140.1
OG0001901	XP_024004307.1	XP_018438898.1, XP_018457973.1
OG0001901	XP_024012594.1	XP_018465328.1
OG0001902	XP_006418520.1	XP_018482524.1, XP_018482440.1, XP_018462075.1, XP_018482439.1, XP_018462074.1
OG0001910	XP_006412691.1	XP_018480485.1
OG0001910	XP_024014108.1	XP_018441712.1, XP_018484271.1
OG0001911	XP_006404903.1	XP_018461122.1, XP_018461118.1, XP_018478005.1
OG0001911	XP_024004422.1	XP_018485247.1
OG0001912	XP_006400178.1	XP_018453691.1
OG0001912	XP_006408388.1	XP_018435004.1, XP_018490614.1
OG0001913	XP_006414996.1	XP_018473256.1, XP_018447738.1
OG0001914	XP_006408425.1	XP_018460303.1, XP_018439271.1
OG0001914	XP_006400108.1	XP_018443297.1
OG0001915	XP_006399842.1	XP_018446192.1, XP_018467619.1, XP_018465122.1, XP_018476052.1
OG0001916	XP_006400503.1	XP_018473448.1
OG0001916	XP_006399746.1	XP_018476344.1
OG0001917	XP_006400511.1	XP_018442800.1
OG0001918	XP_006394746.1	XP_018481859.1
OG0001918	XP_024012317.1	XP_018471070.1, XP_018444368.1
OG0001919	XP_006394738.1	XP_018481753.1
OG0001919	XP_006399559.1	XP_018444293.1
OG0001920	XP_006394066.1	XP_018436519.1, XP_018486104.1, XP_018454931.1
OG0001921	XP_024011994.1, XP_024012442.1, XP_006399489.1	XP_018473271.1, XP_018471317.1, XP_018445428.1
OG0001922	XP_006404741.1	XP_018485334.1
OG0001922	XP_006399447.1	XP_018447029.1, XP_018470738.1
OG0001923	XP_006399422.1	XP_018442540.1
OG0001923	XP_006394173.1	XP_018461893.1, XP_018485988.1, XP_018458193.1, XP_018435089.1
OG0001924	XP_006399270.1	XP_018446712.1
OG0001924	XP_006394530.1	XP_018432814.1
OG0001925	XP_006417882.1	XP_018472652.1
OG0001925	XP_024003947.1	XP_018482349.1
OG0001926	XP_024016747.1	XP_018482348.1
OG0001926	XP_006417884.2	XP_018486111.1
OG0001927	XP_006417946.1	XP_018449719.1, XP_018437042.1
OG0001927	XP_006410242.1	XP_018473458.1
OG0001928	XP_006409598.1, XP_006409585.1	XP_018466614.1, XP_018488155.1, XP_018488154.1
OG0001929	XP_006410451.1	XP_018484926.1, XP_018461741.1, XP_018472784.1
OG0001930	XP_006418196.1	XP_018447276.1, XP_018486871.1, XP_018466555.1, XP_018484439.1, XP_018447336.1
OG0001931	XP_024011464.1	XP_018476452.1
OG0001932	XP_006397839.1	XP_018465189.1, XP_018481698.1
OG0001933	XP_006415702.1	XP_018449718.1
OG0001933	XP_006410494.1	XP_018478910.1, XP_018433978.1
OG0001934	XP_006415376.1	XP_018449357.1, XP_018458968.1
OG0001934	XP_006410658.1	XP_018440805.1
OG0001935	XP_006410695.1	XP_018442012.1, XP_018442010.1
OG0001935	XP_006415191.1	XP_018486100.1, XP_018451853.1, XP_018483681.1
OG0001936	XP_006403595.1, XP_006410691.1	XP_018441426.1
OG0001936	XP_006415179.1	XP_018435830.1
OG0001937	XP_006404064.1	XP_018471763.1
OG0001937	XP_006394452.1	XP_018438950.1, XP_018438949.1, XP_018456166.1
OG0001938	XP_024007423.1	XP_018467453.1, XP_018466287.1, XP_018441082.1, XP_018489338.1
OG0001939	XP_024006748.1	XP_018477580.1
OG0001939	XP_006404211.1	XP_018439347.1
OG0001940	XP_006412471.1	XP_018447953.1, XP_018468060.1
OG0001940	XP_006394798.1	XP_018438562.1
OG0001942	XP_006419090.1	XP_018469369.1
OG0001942	XP_006400799.2	XP_018469778.1
OG0001943	XP_006419056.1	XP_018437756.1
OG0001944	XP_006418898.1, XP_024012083.1	XP_018457026.1, XP_018455121.1, XP_018475840.1
OG0001945	XP_024004459.1	XP_018434834.1
OG0001945	XP_006392109.1	XP_018452981.1, XP_018452995.1
OG0001946	XP_024005717.1	XP_018445533.1, XP_018475651.1, XP_018474334.1
OG0001947	XP_024005051.1	XP_018462722.1, XP_018457229.1, XP_018457232.1, XP_018454787.1
OG0001948	XP_006401201.1	XP_018453310.1, XP_018456178.1
OG0001948	XP_006413265.1	XP_018470330.1
OG0001949	XP_024016606.1	XP_018489880.1
OG0001949	XP_024016576.1	XP_018490114.1, XP_018435912.1
OG0001950	XP_006405673.1	XP_018466083.1
OG0001950	XP_006395260.1	XP_018454836.1, XP_018478396.1, XP_018435086.1
OG0001951	XP_006413178.1	XP_018472153.1
OG0001951	XP_006401374.1	XP_018453566.1, XP_018452447.1, XP_018476066.1
OG0001952	XP_006413118.1	XP_018477167.1, XP_018483180.1, XP_018451726.1
OG0001953	XP_006401547.1	XP_018457709.1, XP_018457717.1, XP_018452175.1
OG0001953	XP_006413102.1	XP_018471787.1
OG0001954	XP_024014893.1	XP_018441341.1, XP_018493455.1, XP_018492727.1
OG0001954	XP_006399172.1	XP_018445327.1, XP_018445153.1
OG0001955	XP_024012039.1	XP_018446885.1
OG0001955	XP_006407403.1	XP_018485476.1
OG0001956	XP_006407525.1	XP_018489642.1, XP_018489643.1
OG0001956	XP_006398937.1	XP_018443822.1, XP_018476121.1
OG0001957	XP_024015502.1	XP_018491410.1
OG0001957	XP_006398802.1	XP_018472961.1, XP_018475985.1
OG0001958	XP_006398774.1	XP_018476602.1, XP_018446945.1
OG0001958	XP_006407634.1	XP_018490692.1
OG0001959	XP_006398630.1	XP_018446471.1, XP_018442240.1
OG0001960	XP_006395448.1	XP_018457872.1, XP_018477662.1, XP_018458730.1
OG0001961	XP_006416882.1	XP_018480025.1
OG0001961	XP_006389806.1	XP_018445966.1, XP_018455068.1
OG0001962	XP_006389836.1	XP_018444315.1, XP_018444437.1
OG0001962	XP_006416859.1	XP_018438513.1
OG0001963	XP_006416855.1	XP_018442651.1
OG0001963	XP_006389845.1	XP_018454970.1, XP_018448157.1
OG0001964	XP_024008148.1	XP_018468127.1
OG0001964	XP_006389879.1	XP_018443787.1, XP_018443837.1
OG0001965	XP_006416345.1	XP_018451296.1, XP_018441648.1
OG0001965	XP_006390180.1, XP_024008594.1	XP_018442105.1
OG0001966	XP_006412083.1	XP_018469571.1
OG0001966	XP_006409266.2, XP_024016557.1, XP_006412072.2	XP_018469467.1, XP_018467038.1
OG0001967	XP_006416382.1	XP_018447366.1, XP_018492978.1
OG0001967	XP_006390213.1	XP_018442775.1
OG0001968	XP_006390257.1	XP_018442838.1, XP_018444218.1
OG0001969	XP_024016597.1	XP_018439295.1
OG0001969	XP_006412122.1	XP_018449635.1, XP_018471684.1
OG0001970	XP_006409290.1	XP_018441385.1
OG0001970	XP_006412096.1	XP_018446668.1, XP_018477040.1
OG0001971	XP_006409254.1	XP_018440661.1
OG0001972	XP_006409246.2	XP_018457114.1, XP_018452919.1
OG0001972	XP_006412042.1	XP_018444002.1
OG0001973	XP_006407141.1	XP_018437422.1, XP_018466123.1, XP_018492508.1
OG0001974	XP_006407028.1	XP_018466695.1, XP_018487270.1, XP_018486991.1, XP_018486983.1
OG0001974	XP_006392804.1	XP_018487292.1
OG0001975	XP_006403741.2, XP_006410831.1	XP_018432568.1, XP_018442164.1, XP_018484937.1
OG0001977	XP_006414878.1	XP_018478291.1
OG0001977	XP_024009742.1	XP_018436682.1
OG0001978	XP_024015377.1	XP_018486663.1, XP_018441660.1, XP_018441705.1
OG0001979	XP_006406101.1	XP_018434635.1, XP_018486538.1, XP_018486509.1
OG0001980	XP_006414665.1	XP_018471605.1
OG0001980	XP_006406118.1	XP_018464314.1, XP_018492204.1
OG0001982	XP_006403023.1	XP_018446282.1, XP_018486775.1
OG0001982	XP_006411286.1	XP_018478286.1
OG0001983	XP_024009508.1	XP_018436983.1, XP_018437143.1, XP_018437469.1
OG0001984	XP_006395533.2	XP_018483058.1
OG0001984	XP_006417180.2	XP_018437872.1
OG0001985	XP_006398234.1	XP_018457027.1
OG0001985	XP_024005063.1	XP_018485347.1, XP_018472359.1
OG0001986	XP_006393222.1	XP_018451884.1, XP_018442121.1
OG0001987	XP_006393093.1	XP_018484377.1, XP_018489525.1
OG0001987	XP_006406369.1	XP_018490914.1, XP_018486619.1
OG0001988	XP_024006358.1	XP_018449143.1
OG0001988	XP_024015203.1	XP_018486781.1, XP_018458273.1
OG0001989	XP_024006290.1	XP_018460896.1, XP_018491607.1, XP_018443424.1, XP_018447928.1
OG0001992	XP_006414178.1	XP_018471791.1
OG0001992	XP_024010949.1	XP_018457039.1
OG0001993	XP_024010012.1	XP_018454700.1
OG0001993	XP_006418367.1	XP_018467117.1, XP_018463314.1
OG0001994	XP_006413601.1	XP_018471582.1
OG0001995	XP_006413672.1	XP_018483787.1, XP_018483788.1
OG0001996	XP_006413714.1	XP_018484107.1, XP_018460576.1, XP_018459190.1
OG0001997	XP_006396623.1	XP_018452121.1
OG0001997	XP_006413799.1	XP_018463668.1, XP_018468497.1
OG0001998	XP_006402319.1	XP_018489542.1
OG0001998	XP_006397990.1	XP_018481566.1, XP_018481567.1, XP_018475044.1
OG0001999	XP_006397726.1	XP_018484824.1, XP_018440275.1
OG0001999	XP_006402532.1	XP_018482956.1
OG0002000	XP_006397689.1	XP_018434168.1
OG0002000	XP_006402570.1	XP_018488808.1
OG0002001	XP_024010780.1	XP_018434953.1, XP_018465592.1, XP_018474450.1
OG0002002	XP_006402627.1	XP_018461310.1, XP_018459096.1
OG0002002	XP_006397605.1	XP_018434530.1, XP_018463212.1
OG0002003	XP_006417461.1	XP_018441127.1
OG0002003	XP_006402823.1	XP_018463902.1, XP_018491909.1
OG0002004	XP_006411424.1	XP_018483814.1, XP_018483812.1
OG0002004	XP_006402888.1	XP_018491936.1, XP_018492113.1, XP_018440877.1, XP_018442205.1
OG0002005	XP_006413038.1	XP_018470968.1
OG0002005	XP_006401693.1	XP_018468091.1, XP_018452412.1
OG0002007	XP_006411111.1	XP_018475117.1, XP_018435010.1
OG0002008	XP_006411069.1	XP_018482838.1
OG0002008	XP_006411067.1	XP_018478578.1, XP_018434351.1
OG0002009	XP_006403874.1	XP_018484813.1
OG0002009	XP_006411021.1	XP_018484263.1, XP_018441524.1
OG0002010	XP_006398456.2	XP_018481408.1, XP_018481432.1, XP_018480926.1, XP_018461752.1
OG0002011	XP_006404561.1	XP_018437717.1
OG0002011	XP_006411676.1	XP_018481236.1, XP_018457348.1
OG0002012	XP_006415051.1	XP_018447553.1, XP_018436422.1
OG0002012	XP_006397131.1	XP_018454721.1
OG0002013	XP_006408045.1	XP_018441516.1
OG0002013	XP_006394930.1	XP_018441185.1, XP_018452324.1
OG0002014	XP_006402337.1	XP_018445226.1, XP_018485021.1, XP_018464875.1, XP_018460347.1
OG0002014	XP_006397963.1	XP_018476079.1
OG0002015	XP_006397951.1	XP_018433205.1
OG0002015	XP_006402353.1	XP_018490535.1
OG0002016	XP_006406762.2	XP_018439671.1, XP_018438433.1, XP_018439658.1, XP_018439672.1, XP_018490704.1, XP_018488257.1
OG0002017	XP_006411474.1	XP_018436744.1, XP_018484268.1
OG0002017	XP_006402815.1	XP_018490410.1
OG0002018	XP_006408096.1	XP_018491652.1
OG0002018	XP_006392477.1	XP_018467391.1, XP_018459937.1, XP_018459936.1
OG0002019	XP_006407961.2	XP_018444237.1
OG0002019	XP_024011939.1	XP_018468608.1
OG0002020	XP_006406761.1	XP_018438782.1, XP_018439669.1, XP_018439666.1, XP_018438772.1, XP_018439670.1, XP_018434708.1, XP_018439667.1, XP_018438788.1
OG0002021	XP_006406748.1	XP_018492876.1
OG0002021	XP_006393492.1	XP_018463965.1
OG0002022	XP_006406731.1	XP_018439470.1
OG0002022	XP_006393465.1	XP_018447486.1, XP_018442830.1
OG0002023	XP_006395281.1	XP_018480578.1, XP_018452402.1
OG0002023	XP_006405640.1	XP_018459110.1
OG0002024	XP_024014619.1	XP_018483978.1, XP_018478797.1
OG0002025	XP_006406189.1	XP_018491656.1, XP_018491657.1, XP_018441117.1
OG0002025	XP_006414611.1	XP_018471481.1
OG0002026	XP_006400415.1	XP_018458596.1, XP_018466321.1, XP_018446508.1
OG0002026	XP_024012313.1	XP_018458609.1, XP_018446512.1
OG0002027	XP_024009988.1	XP_018465637.1, XP_018456895.1
OG0002027	XP_006418432.1	XP_018485950.1, XP_018440446.1
OG0002028	XP_006396310.1	XP_018453904.1, XP_018474391.1, XP_018474372.1
OG0002028	XP_006418416.1	XP_018440887.1, XP_018480292.1
OG0002029	XP_006418415.2	XP_018440868.1, XP_018489508.1, XP_018463167.1
OG0002030	XP_006418317.1	XP_018462078.1, XP_018480609.1
OG0002030	XP_006396423.1	XP_018474827.1
OG0002031	XP_006415092.1	XP_018444565.1
OG0002031	XP_006418014.2	XP_018491919.1, XP_018463367.1
OG0002032	XP_006392406.1	XP_018456314.1, XP_018456313.1
OG0002032	XP_006417581.1	XP_018490638.1, XP_018459390.1
OG0002033	XP_024007869.1	XP_018449965.1
OG0002033	XP_024016296.1	XP_018457340.1
OG0002034	XP_006417375.1	XP_018436056.1, XP_018449987.1, XP_018489973.1, XP_018490864.1
OG0002035	XP_006417328.1	XP_018451889.1
OG0002035	XP_006391952.1	XP_018457497.1, XP_018433386.1
OG0002036	XP_006391786.1	XP_018452135.1
OG0002036	XP_006417213.1	XP_018480723.1
OG0002037	XP_006417162.1	XP_018468723.1, XP_018447821.1, XP_018447840.1
OG0002038	XP_006416987.1	XP_018462952.1, XP_018443109.1, XP_018433121.1
OG0002039	XP_006416892.1	XP_018472493.1
OG0002040	XP_006416320.2	XP_018488249.1
OG0002041	XP_006416111.1	XP_018481459.1
OG0002041	XP_006390849.1	XP_018442630.1, XP_018457641.1
OG0002042	XP_006405314.1	XP_018482434.1, XP_018481812.1
OG0002042	XP_024015262.1	XP_018455588.1, XP_018455611.1, XP_018455543.1
OG0002043	XP_006411626.1	XP_018471504.1, XP_018477348.1
OG0002044	XP_006409405.1	XP_018486076.1
OG0002045	XP_006412396.1	XP_018447629.1, XP_018458034.1, XP_018468790.1
OG0002045	XP_024016002.1	XP_018484872.1
