Orthogroup	Eutrema_salsugineum	Camelina_sativa
OG0002160	XP_006391250.1	XP_010415338.1, XP_010470672.1, XP_010511708.1
OG0002160	XP_006415796.1	XP_010499183.1, XP_010460466.1, XP_010478026.1
OG0002161	XP_006415832.1	XP_019091233.1, XP_010477983.1, XP_010499143.1
OG0002162	XP_006409120.1	XP_010489588.1
OG0002162	XP_006412718.1	XP_019088955.1, XP_010438190.1, XP_010432998.1
OG0002163	XP_006411392.1	XP_010517615.1, XP_019100558.1, XP_010508738.1
OG0002164	XP_006411248.1	XP_010479089.1, XP_010461494.1, XP_019099401.1, XP_010508925.1, XP_019102553.1
OG0002165	XP_006410931.2	XP_019082712.1
OG0002165	XP_006410932.2	XP_010505334.1, XP_010517017.1, XP_010509331.1
OG0002166	XP_006393453.2, XP_024006476.1	XP_010474042.1
OG0002166	XP_006398413.1, XP_006398411.1	XP_010495806.1, XP_010484747.1, XP_019087951.1, XP_010481353.1, XP_019097695.1, XP_019095483.1, XP_010495805.1
OG0002167	XP_006404565.1	XP_010416867.1, XP_010472104.1, XP_010429023.1
OG0002167	XP_006411681.1	XP_010444881.1
OG0002168	XP_006404587.1	XP_010431556.1, XP_010472132.1
OG0002168	XP_006411705.1	XP_010437006.2, XP_010431861.1, XP_010446444.1
OG0002169	XP_006411710.1	XP_010446439.1, XP_010431866.1, XP_010437013.1
OG0002169	XP_024014060.1	XP_019093909.1, XP_019083715.1, XP_010429059.1
OG0002170	XP_024014204.1	XP_010429130.1, XP_010472210.1, XP_010416973.1
OG0002170	XP_024014173.1	XP_019083464.1, XP_010472176.1, XP_010490967.1
OG0002171	XP_006397077.1	XP_010424497.1, XP_010437235.1
OG0002171	XP_024010154.1, XP_006397079.1	XP_010437244.1, XP_010421950.1, XP_010455430.1
OG0002172	XP_006395005.1	XP_010494072.1, XP_010455163.1, XP_010421672.1
OG0002172	XP_006408134.1	XP_010485881.1, XP_010463980.1, XP_010420228.1
OG0002174	XP_024010836.1	XP_010518193.1, XP_010506524.1, XP_019101161.1
OG0002174	XP_006418462.1	XP_010474808.1, XP_010457074.1
OG0002175	XP_024004686.1	XP_010446623.1, XP_010437185.1, XP_010448303.1
OG0002176	XP_024014835.1	XP_010464113.1, XP_019096212.1, XP_010431049.1
OG0002176	XP_024007328.1	XP_010421559.1, XP_010493954.1, XP_010455069.1
OG0002177	XP_024015614.1	XP_010464285.1, XP_010446228.1, XP_010486222.1
OG0002177	XP_006395101.1	XP_010442362.1, XP_010442359.1
OG0002178	XP_024007333.1	XP_010482124.1, XP_010439435.1
OG0002178	XP_006407862.1	XP_010464328.1, XP_010486261.1, XP_010449510.1
OG0002179	XP_006407756.1	XP_010463101.1, XP_010486405.1, XP_010464472.1
OG0002179	XP_006407757.1	XP_019092792.1, XP_010463021.1, XP_010486401.1, XP_019100658.1
OG0002180	XP_006407365.1	XP_010498552.1, XP_010497629.2, XP_010464963.1
OG0002181	XP_006393464.1	XP_010479241.1, XP_010461637.1
OG0002181	XP_006406729.1	XP_010505302.1, XP_010487629.1, XP_010465793.1
OG0002182	XP_006406642.1	XP_010465898.1, XP_010506481.1, XP_010487727.1
OG0002182	XP_024006039.1	XP_010500402.1, XP_010461693.1, XP_010479289.1
OG0002183	XP_006406608.1	XP_010487766.1, XP_010506890.1, XP_010465940.1, XP_010461753.1, XP_010479341.1, XP_010500457.1
OG0002184	XP_006406513.1	XP_010487869.1, XP_010507626.1, XP_010466072.1
OG0002184	XP_006393218.1	XP_010461823.1, XP_010500525.1, XP_010479447.1
OG0002185	XP_006395326.1	XP_010425683.1, XP_010502894.1, XP_010514609.1
OG0002185	XP_006405598.1	XP_010441087.1, XP_010450775.1
OG0002186	XP_006406152.1	XP_010511470.1, XP_010466538.1, XP_010488283.1
OG0002187	XP_024006715.1	XP_010435485.1, XP_010496607.1, XP_019087098.1
OG0002187	XP_024010596.1	XP_010415048.1, XP_010511394.1, XP_019094052.1
OG0002188	XP_006392480.1	XP_010511222.1, XP_019094980.1, XP_010414926.1
OG0002189	XP_006410756.1	XP_010509549.1, XP_010516793.1, XP_010505110.1
OG0002190	XP_006411270.1	XP_010517432.1, XP_010508897.1
OG0002190	XP_006403879.1	XP_010503885.1
OG0002191	XP_006418010.1	XP_010485082.1, XP_010457647.1, XP_010475259.1
OG0002191	XP_006410325.1	XP_019093228.1, XP_010513144.1
OG0002193	XP_024004723.1	XP_019093965.1, XP_019093263.1, XP_010414681.1, XP_010511021.1
OG0002193	XP_006417471.1	XP_010491057.1, XP_010462621.1, XP_019094384.1
OG0002194	XP_006392216.1	XP_010510988.1, XP_010414625.1
OG0002194	XP_006417463.1	XP_010475909.1, XP_010458393.1, XP_010491281.1
OG0002195	XP_006392095.1	XP_019093052.1, XP_010418038.1, XP_019085268.1
OG0002195	XP_024008658.1	XP_010480423.1, XP_010458470.1
OG0002196	XP_024015584.1	XP_010430358.1, XP_010418281.1
OG0002196	XP_006417247.1	XP_010494060.1, XP_010476202.1, XP_010458661.1
OG0002197	XP_006416949.1	XP_010476581.1, XP_010459024.1, XP_010496788.1
OG0002197	XP_006398512.1	XP_010513839.1, XP_010502089.1, XP_010424861.1
OG0002198	XP_006390811.1	XP_010415801.1, XP_010471111.1, XP_010427920.1
OG0002199	XP_006390814.1	XP_010427916.1, XP_010415797.1, XP_010471108.2
OG0002199	XP_006416130.1	XP_019094433.1, XP_010498796.1, XP_010460079.1
OG0002200	XP_006390799.1	XP_010427938.1, XP_010415814.1, XP_010471122.1, XP_010415810.1, XP_010427944.1
OG0002201	XP_006391852.1	XP_010430320.1
OG0002201	XP_006391853.1	XP_010473478.1, XP_010430319.1, XP_010430317.1, XP_010418247.1, XP_010473477.1
OG0002202	XP_006405378.2	XP_010446984.1, XP_010447007.1, XP_010436160.1
OG0002203	XP_024004609.1	XP_010447845.1, XP_010438290.1, XP_010433089.1
OG0002203	XP_024016079.1	XP_010495935.1, XP_010416788.1, XP_010489141.1
OG0002205	XP_006391320.1	XP_019101584.1, XP_010470480.1
OG0002206	XP_006390366.1	NP_001306958.1, XP_010471596.1, NP_001290396.1
OG0002206	XP_024008473.1	XP_010498338.1, XP_010459587.1, XP_010477131.1
OG0002207	XP_024014226.1	XP_019083461.1, XP_010429099.1, XP_010472171.1
OG0002207	XP_006405782.1, XP_006411739.1	XP_010437054.1, XP_010431904.1
OG0002208	XP_006411887.2	XP_010446658.1, XP_010497558.1, XP_010432059.1, XP_010437228.1, XP_010472312.1, XP_010429258.1, XP_010417069.1
OG0002209	XP_024004415.1, XP_006412298.1	XP_010488667.1, XP_010437700.1, XP_010437701.1, XP_019089013.1, XP_010432497.1, XP_010447173.1
OG0002210	XP_006412248.1	XP_010437642.1, XP_010447110.1, XP_010432438.1
OG0002210	XP_024016504.1	XP_010488936.1, XP_010517959.1, XP_010467279.1
OG0002211	XP_006414854.1	XP_019086906.1, XP_010450158.1, XP_010495835.1
OG0002211	XP_006418829.1	XP_010488465.1, XP_010466748.1
OG0002212	XP_006415773.1	XP_010499210.1, XP_010478059.1
OG0002213	XP_006413133.1	XP_010448203.1, XP_010433431.1, XP_010438688.1
OG0002213	XP_006401493.1	XP_010482932.1, XP_010443119.1, XP_010449106.1
OG0002216	XP_006412481.2	XP_010436294.2, XP_010445009.2, XP_010451084.2, XP_019089017.1, XP_019086667.1, XP_010445010.2
OG0002218	XP_024016383.1	XP_010412397.1, XP_010463489.1
OG0002221	XP_006410684.1, XP_006409615.1	XP_010516697.1, XP_010505024.1
OG0002223	XP_006400286.1	XP_010420473.1, XP_010492701.1, XP_010453945.1
OG0002223	XP_006408313.1	XP_010510166.1, XP_010463790.1, XP_010485678.1
OG0002224	XP_006402194.1	XP_010482306.1, XP_010441416.1, XP_010442482.1
OG0002224	XP_006413408.2	XP_019086681.1
OG0002225	XP_024012675.1	XP_010492271.1, XP_010420107.1, XP_019090454.1
OG0002225	XP_006408522.1	XP_010485405.1, XP_010435631.1, XP_010496296.1
OG0002226	XP_006399883.1	XP_010492163.1, XP_010419992.1, XP_010453485.1
OG0002227	XP_024015823.1	XP_010473113.1
OG0002227	XP_006417691.1	XP_010488844.1, XP_019091569.1, XP_010475640.1
OG0002228	XP_006409906.1	XP_010470051.1, XP_010510588.1, XP_010414489.1
OG0002228	XP_006417779.1	XP_010488010.1, XP_010475555.1, XP_010457986.1
OG0002229	XP_006410331.1	XP_010510124.1, XP_010418713.1
OG0002229	XP_006418013.1	XP_010485061.1, XP_010475254.1, XP_019091784.1
OG0002230	XP_006409101.1, XP_006418139.1	XP_010475085.1, XP_010457476.1
OG0002230	XP_006403234.1	XP_010481857.1, XP_010494330.1, XP_010442018.1
OG0002231	XP_006418152.1	XP_010457458.1
OG0002231	XP_006403195.1	XP_010494354.1, XP_010481829.1
OG0002232	XP_024013289.1	XP_019095580.1, XP_019095579.1, XP_010441907.1, XP_010494432.1
OG0002232	XP_006418205.1	XP_010482496.1, XP_010457391.1, XP_010475005.1
OG0002233	XP_006418558.1	XP_019094360.1
OG0002234	XP_006413336.1	XP_010448471.1, XP_010433681.1, XP_010438922.1
OG0002234	XP_024011838.1	XP_010482458.1, XP_010442941.1, XP_019087228.1
OG0002235	XP_006413328.1	XP_010448459.1, XP_010438910.1, XP_019086623.1
OG0002235	XP_006415455.1	XP_010499594.1, XP_010460860.1, XP_010478478.1
OG0002236	XP_006401853.1	XP_010482567.1, XP_010444562.1, XP_010442742.1
OG0002236	XP_006413299.1	XP_010433618.1, XP_010448414.1, XP_010438865.1
OG0002237	XP_024003706.1	XP_010413775.1, XP_010469397.1
OG0002239	XP_024004138.1	XP_010509692.1, XP_019099747.1
OG0002239	XP_006415421.1	XP_010460891.1, XP_010478517.1
OG0002240	XP_006415332.1	XP_010460969.1, XP_010499691.1, XP_010478892.1
OG0002240	XP_006410725.1	XP_010509589.1, XP_010505076.1, XP_010516746.1
OG0002241	XP_006415206.1	XP_010461063.1, XP_010499787.1
OG0002241	XP_006410697.1	XP_010516717.1, XP_010505044.1, XP_010509621.1
OG0002242	XP_006393906.1	XP_010484556.1, XP_010464552.1, XP_010444696.1
OG0002242	XP_006404041.1	XP_010503702.1, XP_010515391.1, XP_010426575.1
OG0002243	XP_006399214.1	XP_010491336.1
OG0002243	XP_006394471.1	XP_010457733.1, XP_010483867.1, XP_010444008.1
OG0002244	XP_006394561.2	XP_010443891.1, XP_010483739.1, XP_010456769.1
OG0002246	XP_006400619.1	XP_010493159.1, XP_010420893.1, XP_010454359.1
OG0002247	XP_006419135.1	XP_010514709.1, XP_010503024.1, XP_010425806.1
OG0002248	XP_006414974.1	XP_019093713.1, XP_010450803.1, XP_010440650.1, XP_010496005.1
OG0002249	XP_006400923.1	XP_010443750.1, XP_019093009.1
OG0002249	XP_006418948.1	XP_010414458.1, XP_010426044.1, XP_010503228.1
OG0002250	XP_006408499.1	XP_010431524.1, XP_010485548.1, XP_010463527.1
OG0002251	XP_006401191.1	XP_010443447.1, XP_010483282.1, XP_010452498.1
OG0002252	XP_024005443.1	XP_010433528.1, XP_010438780.1
OG0002252	XP_006401300.1	XP_010443316.1, XP_010483142.1, XP_010451346.1
OG0002253	XP_006401534.1	XP_010482888.1, XP_010448660.1
OG0002253	XP_006413110.1	XP_010433408.1, XP_010438660.1, XP_010448179.1
OG0002254	XP_006418270.1	XP_010480329.1
OG0002255	XP_006409414.1	XP_010516492.1, XP_010489236.1, XP_010467393.1
OG0002255	XP_006413718.1	XP_010439405.1, XP_010434107.1, XP_010448972.1
OG0002256	XP_006407457.1	XP_010464838.1, XP_010486783.1, XP_010494961.1
OG0002256	XP_006399041.1	XP_010491127.1, XP_010423420.1, XP_010452490.1
OG0002257	XP_024015337.1	XP_010464790.1, XP_010490021.1, XP_010486720.1
OG0002257	XP_006398998.1	XP_010452440.1, XP_010423477.1, XP_010495076.1
OG0002258	XP_006411059.2	XP_010509119.1, XP_010517142.1, XP_010505470.1
OG0002258	XP_024012515.1	XP_010423693.1, XP_010452238.1, XP_010490844.1
OG0002259	XP_024012508.1	XP_010490762.1, XP_010423796.1
OG0002260	XP_006411025.1	XP_010509206.1, XP_010517111.1, XP_010505440.1
OG0002261	XP_006405420.2	XP_010450605.1, XP_010441250.1
OG0002261	XP_006395472.1	XP_010514411.1, XP_010502683.1, XP_010425459.1
OG0002262	XP_006389762.1	XP_010430000.1, XP_010417742.1, XP_010472977.1
OG0002262	XP_006416913.1	XP_010459070.1, XP_010497101.1, XP_010476624.1
OG0002263	XP_006389778.1	XP_010472951.1, XP_010429982.1, XP_010417726.1
OG0002263	XP_006416899.1	XP_010497204.1, XP_010476640.1
OG0002264	XP_006389828.1	XP_010417670.2, XP_010472884.1, XP_010429917.1
OG0002264	XP_006416868.1	XP_010459123.1, XP_010476686.1, XP_010497475.1
OG0002265	XP_006416223.1	XP_010477474.1, XP_010459955.1, XP_010498681.1
OG0002266	XP_006390060.1	XP_010416730.1, XP_010471971.1, XP_019085046.1
OG0002266	XP_006416241.1	XP_010480589.1, XP_010498657.1
OG0002267	XP_024007309.1	XP_010471856.1, XP_010416620.1, XP_010428760.1
OG0002267	XP_006416317.1	XP_010477393.1, XP_010498581.1, XP_010459838.1
OG0002268	XP_006390224.1	XP_010428670.1, XP_010416530.1, XP_010471769.1
OG0002268	XP_006416400.1	XP_010459728.1, XP_010498476.1, XP_010477282.1
OG0002269	XP_006390300.1	XP_010471659.1, XP_010416436.1, XP_010428572.1
OG0002269	XP_006416466.1	XP_010477198.1, XP_010459651.1, XP_010498397.1
OG0002270	XP_006416480.2	XP_010459638.1, XP_010498387.1, XP_010477186.1
OG0002270	XP_006390311.1	XP_019085013.1, XP_010471645.1, XP_010416415.1
OG0002271	XP_006402628.1	XP_010413607.1, XP_010469237.1, XP_010512304.1
OG0002271	XP_006392615.1	XP_010480105.1, XP_010501181.1, XP_010462417.1
OG0002272	XP_024014918.1	XP_010500491.1, XP_010465177.1, XP_010487098.1
OG0002272	XP_024006035.1	XP_010501167.1, XP_010462406.1, XP_010480093.1
OG0002273	XP_006407208.1	XP_010487113.1, XP_010465193.1, XP_010500673.1
OG0002273	XP_006392644.1	XP_010480071.1, XP_019091861.1, XP_010501151.1
OG0002274	XP_006406047.1	XP_010488387.1, XP_010512358.1, XP_010466657.1
OG0002274	XP_024004714.1	XP_010450052.1, XP_010440481.1, XP_010435138.1
OG0002275	XP_006414708.1	XP_010435122.1, XP_010450038.1, XP_010440462.1
OG0002275	XP_024005476.1	XP_010450039.1, XP_010435123.1, XP_010440463.1
OG0002276	XP_006390561.1	XP_010428262.1, XP_010471397.1, XP_010416145.1
OG0002276	XP_006416654.1	XP_010459409.2, XP_010476957.2, XP_010498171.1
OG0002277	XP_006391056.1	XP_010415539.1, XP_010511937.1, XP_010470885.1
OG0002277	XP_006415910.1	XP_010477869.1, XP_010460324.1, XP_010499054.1
OG0002278	XP_006408997.1	XP_010489010.1, XP_010467787.1
OG0002279	XP_024004412.1	XP_010433167.1, XP_010438388.1, XP_010447920.1
OG0002279	XP_024016004.1	XP_010495919.1, XP_010489072.1, XP_010416079.1
OG0002280	XP_006405491.1	XP_010435893.1, XP_010441192.1, XP_010450663.1
OG0002280	XP_006395413.1	XP_010514475.1, XP_010502767.1
OG0002281	XP_024006691.1	XP_010425482.1, XP_010502705.1, XP_010514435.1
OG0002281	XP_024014374.1	XP_010436009.1, XP_010441230.1, XP_010450627.1
OG0002282	XP_006417120.1	XP_010458797.1, XP_010476343.1, XP_010495328.1
OG0002282	XP_006395602.1	XP_010514231.1, XP_010502490.1, XP_010425263.1
OG0002283	XP_006393204.1	XP_010479423.1, XP_010500543.1, XP_010461840.1
OG0002284	XP_006392939.1	XP_010500825.1, XP_010462064.1, XP_010479732.1
OG0002284	XP_006406878.1	XP_010487455.1, XP_010503795.1
OG0002285	XP_006410578.1	XP_010516579.1, XP_010504887.1, XP_010509768.1
OG0002285	XP_006410579.1	XP_010504888.1, XP_010509767.1, XP_010516580.1
OG0002287	XP_006414324.1	XP_010434798.1, XP_010440126.2, XP_010449753.1
OG0002287	XP_006410740.1	XP_010516774.1, XP_010505091.1, XP_010509573.1
OG0002288	XP_006398363.2	XP_010495770.1, XP_010484763.1, XP_010445785.1
OG0002288	XP_006414172.1	XP_010436506.1, XP_010449539.1, XP_010439925.1
OG0002289	XP_006414240.1	XP_010440017.1, XP_010434680.1, XP_010449628.1
OG0002289	XP_024011041.1	XP_010481330.1, XP_010494975.1, XP_010441467.1
OG0002290	XP_024015273.1	XP_010486671.1, XP_010486370.1, XP_010468101.1, XP_010418602.1, XP_010468102.1
OG0002291	XP_024013581.1	XP_010515430.1, XP_010426600.1, XP_010503726.1
OG0002291	XP_024006625.1	XP_010496445.1, XP_010501821.1, XP_010500138.1
OG0002292	XP_006404051.1, XP_006404053.1	XP_010431199.1, XP_010503686.1
OG0002292	XP_006404054.1	XP_010426555.1, XP_010503685.1, XP_019101897.1
OG0002293	XP_006413562.1	XP_010439185.1, XP_010448718.1, XP_010433915.1
OG0002293	XP_006401990.1	XP_010485051.1, XP_010473231.1, XP_010446028.1
OG0002294	XP_006398091.1	XP_010494514.1, XP_010481723.1, XP_010441841.1
OG0002294	XP_006413894.1	XP_010434312.1, XP_010439609.1, XP_010449215.1
OG0002295	XP_024010059.1	XP_010436004.1, XP_010421830.1, XP_010455321.1
OG0002295	XP_006416989.1	XP_010476530.1, XP_010458977.1, XP_010496379.1
OG0002296	XP_006410738.1	XP_019102478.1
OG0002296	XP_006414306.1	XP_010440104.1, XP_010449722.1, XP_010434772.1
OG0002297	XP_006398008.1	XP_010518526.1, XP_010507809.1
OG0002297	XP_006402313.2	XP_019098606.1, XP_010468891.1, XP_010497016.2, XP_010512714.1, XP_019093187.1, XP_010413203.1
OG0002298	XP_024010708.1	XP_010506559.1, XP_010518223.1, XP_010508105.1
OG0002298	XP_006402503.1	XP_010512458.1, XP_010469048.1
OG0002299	XP_006396062.1, XP_006402898.1	XP_010504643.1, XP_010516333.1, XP_010427588.1
OG0002299	XP_006411411.1	XP_010505925.2, XP_010512910.1, XP_019082317.1
OG0002300	XP_006402988.2	XP_019099730.1, XP_019085853.1, XP_010412800.1
OG0002301	XP_006411267.1	XP_010505737.1, XP_010508901.1, XP_010517427.1
OG0002301	XP_006403038.1	XP_010427402.1, XP_010504473.1, XP_010516193.1
OG0002302	XP_006411177.1	XP_019102539.1
OG0002302	XP_006403472.1	XP_010427293.1, XP_010504382.1
OG0002303	XP_024013503.1	XP_010504339.1, XP_010516057.1, XP_010427242.1
OG0002303	XP_024004296.1	XP_019102538.1, XP_010505594.1, XP_010509039.1
OG0002304	XP_006416009.1	XP_010477761.1
OG0002305	XP_006411649.1	XP_010436948.1, XP_010446361.1
OG0002305	XP_006391195.1	XP_010511788.1, XP_010415416.1, XP_010470751.1
OG0002306	XP_006396724.1	XP_010433092.1, XP_010422243.1, XP_010496155.1
OG0002307	XP_024014305.1	XP_010429080.1, XP_010416915.1, XP_010472156.1
OG0002307	XP_024005293.1	XP_010437034.1, XP_010431887.1, XP_010446453.1
OG0002308	XP_006411799.1	XP_010446585.1, XP_010431981.1, XP_010437123.1
OG0002308	XP_006404691.1	XP_010416995.1, XP_010429155.1, XP_010472223.1
OG0002309	XP_024006702.1	XP_010500071.1, XP_019100885.1
OG0002310	XP_006397057.1	XP_010437070.1, XP_010455445.1
OG0002310	XP_006397055.1	XP_010421965.1, XP_010455446.1, XP_010437037.1
OG0002311	XP_006402474.1	XP_019087922.1, XP_010434235.1, XP_019088961.1, XP_010448545.1, XP_010433751.1, XP_019088264.1, XP_010448537.1, XP_010438999.1, XP_010448539.1, XP_019089589.1
OG0002312	XP_006414215.1	XP_010434648.1, XP_010449596.1, XP_010439986.1
OG0002312	XP_006398416.1	XP_010494948.1, XP_010481350.1, XP_010441489.1
OG0002313	XP_006395075.1	XP_010482207.1, XP_010442389.1
OG0002314	XP_006395264.1	XP_010502987.1, XP_010425764.1, XP_010514668.1
OG0002315	XP_006406708.1	XP_010487657.1, XP_010465820.1, XP_010505667.1
OG0002315	XP_006393421.1	XP_019099431.1, XP_010479258.1, XP_010461657.1
OG0002316	XP_006393408.1	XP_010500369.1, XP_010479266.1
OG0002316	XP_006406694.1	XP_010465835.1, XP_010487672.1, XP_010505870.1
OG0002317	XP_024006033.1	XP_010463282.1
OG0002317	XP_006406684.1	XP_010506007.1, XP_010487683.1, XP_010465844.1
OG0002318	XP_006406619.1	XP_010487746.1, XP_019092122.1, XP_019102516.1
OG0002318	XP_006393359.1	XP_010479307.1, XP_010461706.1, XP_010500419.1
OG0002320	XP_006418459.1, XP_006418458.1	XP_010479747.1, XP_010457078.1, XP_010474803.1
OG0002321	XP_024009079.1	XP_010457083.1, XP_019094355.1, XP_019098071.1
OG0002321	XP_006396266.1	XP_010427322.1
OG0002322	XP_006396244.2	XP_010427031.1, XP_010456286.1, XP_010419590.1
OG0002322	XP_006418447.1	XP_010479896.1, XP_010457089.1
OG0002323	XP_024010131.1	XP_010428797.1, XP_019084619.1
OG0002323	XP_006418332.1	XP_010474667.1, XP_010481058.1, XP_010457237.2
OG0002324	XP_006417799.1, XP_024008212.1	XP_019094752.1, XP_019098885.1, XP_019091363.1, XP_019094751.1, XP_010487504.1, XP_019091364.1
OG0002325	XP_006392493.1	XP_010511579.1, XP_010414915.1, XP_010470366.1
OG0002325	XP_024008309.1	XP_010475706.1
OG0002326	XP_006417476.1	XP_010475895.1, XP_010490965.1, XP_010458379.1
OG0002326	XP_006392245.1	XP_010470205.1, XP_010511032.1, XP_010414661.1
OG0002327	XP_006395802.1	XP_010513990.1, XP_010424992.1
OG0002327	XP_006417001.1	XP_010476507.1, XP_010458954.1
OG0002328	XP_006416840.1	XP_010459160.1, XP_010476727.1
OG0002328	XP_024011761.1	XP_010472827.1, XP_019100293.1, XP_010417633.1, XP_010429862.1
OG0002329	XP_006416829.2	XP_010476737.1, XP_010497767.1, XP_019091288.1
OG0002329	XP_006389880.1	XP_019093440.1, XP_010417617.1, XP_010429841.1
OG0002330	XP_006416699.1	XP_010476902.1, XP_010498100.1, XP_019091970.1
OG0002331	XP_006390493.1	XP_019084996.1
OG0002332	XP_006390407.2, XP_006390411.1	XP_010416314.1, XP_010428446.1, XP_010471547.1
OG0002332	XP_006416566.1	XP_010459523.1, XP_010477077.1, XP_010501519.1
OG0002333	XP_024008892.1	XP_010428083.1, XP_010471235.1
OG0002333	XP_006416190.1	XP_010477512.1, XP_010460009.1, XP_010498724.1
OG0002334	XP_006416048.1	XP_010477691.1, XP_010460163.1, XP_010498895.1
OG0002334	XP_006390900.1	XP_010415706.1, XP_010471024.1, XP_010427800.1
OG0002335	XP_006416011.1	XP_010460207.1, XP_010498954.1, XP_010477749.1
OG0002335	XP_006390935.1	XP_010512071.1, XP_010415671.1, XP_010471000.1
OG0002336	XP_006391912.1	XP_010430267.1, XP_010418202.1
OG0002336	XP_006391911.1	XP_010473443.1, XP_010418208.1, XP_010430269.1
OG0002337	XP_006392213.1, XP_024015920.1	XP_010510987.1, XP_010470169.1, XP_010414623.1
OG0002338	XP_006410408.1	XP_010513105.1, XP_010513103.1, XP_010473877.1, XP_019082528.1
OG0002340	XP_006409427.1	XP_010489221.1, XP_010467377.1, XP_010516630.1
OG0002340	XP_006412194.1	XP_010437573.1, XP_010432382.1, XP_010447041.1
OG0002341	XP_006412338.1	XP_010447220.1, XP_010432541.1, XP_019087297.1, XP_010444985.1, XP_010444986.1, XP_010437745.1
OG0002342	XP_006409547.1	XP_019092351.1, XP_010468619.1, XP_010488963.2, XP_010517398.1
OG0002342	XP_006412283.1	XP_019088717.1, XP_010432474.1, XP_010447158.1
OG0002343	XP_006412576.1	XP_010438020.1, XP_010432844.1, XP_010447519.1
OG0002343	XP_006404999.2	XP_010429444.1, XP_010417219.1, XP_010472471.1
OG0002344	XP_006412579.1	XP_010438021.1, XP_010447518.1, XP_010432845.1
OG0002344	XP_024014059.1	XP_010417215.1, XP_010472468.1, XP_010429442.1
OG0002345	XP_006404951.2	XP_019083742.1
OG0002346	XP_006401444.2	XP_010443192.1, XP_010449765.1, XP_010483006.1
OG0002346	XP_006413156.1	XP_010448232.1, XP_010438716.1, XP_010433462.1
OG0002352	XP_024004438.1	XP_010447720.1, XP_010438180.1, XP_010432988.1, XP_010436326.1, XP_010451104.2, XP_010438179.1
OG0002353	XP_006400276.1	XP_010453929.1, XP_010420453.1, XP_010492691.2
OG0002353	XP_006408319.1	XP_019099050.1, XP_010463779.1, XP_010485664.1
OG0002354	XP_006400243.1	XP_010453886.1, XP_010420414.1, XP_010492638.1
OG0002354	XP_006408340.1	XP_010506605.1, XP_010463760.1, XP_010485647.1
OG0002355	XP_006400242.1	XP_010424133.1, XP_010453885.1, XP_010492637.1, XP_010420413.1
OG0002356	XP_006400203.1	XP_010492579.1, XP_010420366.1, XP_010453828.1
OG0002356	XP_006408365.1	XP_010485622.1, XP_010503203.1, XP_010463723.1
OG0002357	XP_006417752.1	XP_010452298.1, XP_010490903.1, XP_010423636.1
OG0002358	XP_006408441.1	XP_010451879.1
OG0002358	XP_006400080.1	XP_010420222.1
OG0002359	XP_006400052.1	XP_010492365.1, XP_019083821.1
OG0002359	XP_006408464.1	XP_019096620.1, XP_010463577.1
OG0002360	XP_006399795.1	XP_010492051.1, XP_010453365.1, XP_010419874.1
OG0002360	XP_006415786.1	XP_010460477.1, XP_010499190.1
OG0002361	XP_006394759.1	XP_010454834.1, XP_010493758.1
OG0002361	XP_006399588.1	XP_010491779.1, XP_010453126.1, XP_010419646.1
OG0002362	XP_006394104.1	XP_010484281.1, XP_010444440.1
OG0002362	XP_006399478.1	XP_010491636.1, XP_010422923.1, XP_010453001.1
OG0002363	XP_006399366.1	XP_010423046.1, XP_010491506.1, XP_010452877.1
OG0002363	XP_006394252.1	XP_010484120.1, XP_010460858.1, XP_010444281.1
OG0002364	XP_024007398.1	XP_010454648.1, XP_010493480.1
OG0002364	XP_006399348.1	XP_010491489.1
OG0002365	XP_024012720.1, XP_006399283.1	XP_010491415.1, XP_010491414.1, XP_010423156.1, XP_010452762.1, XP_010452761.1, XP_010423155.1
OG0002367	XP_006409969.1	XP_019101451.1, XP_010414412.1
OG0002368	XP_006418058.1	XP_010457592.1, XP_010475188.1
OG0002368	XP_006410376.1	XP_010469585.1, XP_010413993.1, XP_010510015.1
OG0002369	XP_006403206.1	XP_010481836.1, XP_010441996.1
OG0002369	XP_024008437.1	XP_010457462.2, XP_010475074.1
OG0002370	XP_024013264.1	XP_010481807.2, XP_010441966.2
OG0002370	XP_006418159.1	XP_010475059.1
OG0002371	XP_006418202.1	XP_010457396.1, XP_010475009.1, XP_010482529.1
OG0002371	XP_006403128.1	XP_010441914.1, XP_010481767.1, XP_010494425.1
OG0002372	XP_006413282.1, XP_006413284.1	XP_010448389.1, XP_010433598.1, XP_010438841.1, XP_010448394.1, XP_010438844.1, XP_010433604.1
OG0002374	XP_024004781.1, XP_024004839.1	XP_010451479.1, XP_019088034.1
OG0002375	XP_024006830.1	XP_010502381.1, XP_010425159.1
OG0002377	XP_006400679.1	XP_010425833.1, XP_010514732.1, XP_010503051.1, XP_019097191.1, XP_010454429.1, XP_010420958.1
OG0002378	XP_006404476.1	XP_010514767.1, XP_010503080.1, XP_010425841.1
OG0002378	XP_006400733.1	XP_010421015.1, XP_010493301.1, XP_010454490.1
OG0002379	XP_006418853.1	XP_010426127.1, XP_010503300.1, XP_010515008.1
OG0002379	XP_006400995.1	XP_010483535.1, XP_010443664.1, XP_010454720.1
OG0002380	XP_006412586.1	XP_010438032.1, XP_010447502.1
OG0002381	XP_006401458.1	XP_010482984.1, XP_010443166.1, XP_010449567.1
OG0002381	XP_024005289.1	XP_010438710.1, XP_010433452.1, XP_010448225.1
