Orthogroup	Eutrema_salsugineum	Conringia_planisiliqua
OG0003006	XP_024010518.1	CP11_g32019_DN3_SP0_c.t1
OG0003007	XP_006408223.1	CP10_g42409_DN3_SP0_c.t1
OG0003008	XP_024007733.1, XP_024008988.1, XP_006402885.1, XP_024009010.1	CP3_g13612_DN3_SP0_c.t1
OG0003009	XP_006398726.1	CP11_g33609_DN3_SP0_c.t1
OG0003009	XP_006407663.1	CP10_g42920_DN3_SP0_c.t1
OG0003011	XP_006416236.1	CP7_g45581_DN3_SP4_c.t1
OG0003011	XP_006390044.1	CP9_g29429_DN3_SP1_c.t1
OG0003013	XP_006390079.1	CP9_g29398_DN3_SP3_c.t1
OG0003013	XP_006416266.1	CP7_g45599_DN2_SP0_c.t1
OG0003014	XP_006412081.2	CP5_g447_DN2_SP0_c.t1
OG0003014	XP_006409274.1	CP10_g43782_DN2_SP0_c.t1
OG0003015	XP_006409273.1	CP10_g43781_DN3_SP8_c.t1
OG0003017	XP_006414975.1	CP6_g8567_DN3_SP5_c.t1
OG0003018	XP_006414962.1	CP6_g8631_DN3_SP0_c.t1
OG0003019	XP_006414858.1	CP6_g7664_DN2_SP1_c.t1, CP6_g7663_DN3_SP2_c.t1
OG0003020	XP_006414845.1	CP6_g7604_DN3_SP8_c.t1
OG0003021	XP_006416606.1	CP7_g45915_DN3_SP1_c.t1
OG0003022	XP_024007767.1	CP7_g45255_DN3_SP7_c.t1
OG0003022	XP_006391101.1	CP9_g28463_DN3_SP8_c.t1
OG0003023	XP_024005535.1	CP5_g1081_DN3_SP0_c.t1
OG0003024	XP_006416325.2	CP7_g45655_DN3_SP5_c.t1
OG0003025	XP_006395376.2	CP13_g19208_DN3_SP0_c.t1
OG0003025	XP_024014383.1	CP5_g1409_DN2_SP0_c.t1
OG0003028	XP_024015009.1	CP12_g30302_DN3_SP8_c.t1
OG0003028	XP_006393203.1	CP1_g38112_DN3_SP8_c.t1
OG0003029	XP_006393108.1	CP1_g38038_DN3_SP5_c.t1
OG0003030	XP_024006391.1	CP1_g38174_DN3_SP8_c.t1
OG0003031	XP_024014888.1	CP12_g30470_DN3_SP0_c.t1
OG0003031	XP_006393013.1	CP1_g37961_DN3_SP0_c.t1
OG0003032	XP_006406867.1	CP12_g29970_DN3_SP0_c.t1
OG0003032	XP_024006374.1	CP1_g37903_DN3_SP0_c.t1
OG0003033	XP_024003933.1	CP4_g24905_DN3_SP0_c.t1
OG0003034	XP_006414440.1	CP6_g7293_DN2_SP0_c.t1
OG0003034	XP_006403990.1	CP3_g14290_DN1_SP0_c.t1
OG0003035	XP_024005729.1	CP6_g6791_DN3_SP4_c.t1
OG0003035	XP_024011037.1	CP13_g20146_DN3_SP1_c.t1
OG0003037	XP_006396621.1	CP11_g31911_DN3_SP7_c.t1
OG0003039	XP_006397719.1	CP4_g24192_DN3_SP6_c.t1
OG0003040	XP_006402582.1	CP3_g13346_DN3_SP0_c.t1, CP3_g13347_DN3_SP0_c.t1
OG0003041	XP_006402621.1	CP3_g13379_DN3_SP3_c.t1
OG0003043	XP_006402809.1	CP3_g13532_DN3_SP0_c.t1
OG0003044	XP_006410922.2	CP4_g24998_DN3_SP0_c.t1
OG0003044	XP_006403676.2	CP3_g14001_DN3_SP0_c.t1
OG0003045	XP_006408322.1	CP10_g42320_DN3_SP0_c.t1
OG0003046	XP_006391315.1	CP3_g14087_DN3_SP0_c.t1
OG0003047	XP_006391279.2	CP9_g28293_DN3_SP7_c.t1
OG0003048	XP_006415794.1	CP7_g45165_DN3_SP5_c.t1
OG0003049	XP_006391210.1	CP9_g28359_DN3_SP0_c.t1
OG0003050	XP_006395906.1	CP5_g2002_DN3_SP6_c.t1
OG0003051	XP_006413382.1	CP19_g18168_DN3_SP0_c.t1
OG0003052	XP_024004343.1	CP5_g58_DN3_SP7_c.t1
OG0003053	XP_024010644.1	CP21_g11185_DN3_SP0_c.t1, CP21_g11181_DN3_SP0_c.t1
OG0003053	XP_024008980.1	CP7_g44479_DN3_SP0_c.t1
OG0003054	XP_006413879.1	CP13_g20734_DN3_SP0_c.t1
OG0003055	XP_006400467.1	CP11_g32182_DN3_SP0_c.t1
OG0003056	XP_024012127.1	CP8_g54406_DN3_SP1_c.t1
OG0003057	XP_024007646.1	CP2_g48534_DN2_SP3_c.t1
OG0003058	XP_006408144.1, XP_024007144.1	CP10_g42470_DN3_SP8_c.t1
OG0003059	XP_006397946.1	CP4_g23970_DN3_SP7_c.t1
OG0003060	XP_006397713.1	CP4_g24199_DN3_SP6_c.t1
OG0003061	XP_006397561.1	CP4_g24338_DN3_SP0_c.t1
OG0003061	XP_006397560.1	CP4_g24339_DN3_SP8_c.t1
OG0003062	XP_006397558.1	CP4_g24341_DN3_SP0_c.t1
OG0003063	XP_006391400.1	CP11_g32092_DN3_SP0_c.t1, CP4_g24549_DN3_SP0_c.t1, CP2_g49094_DN3_SP0_c.t1
OG0003064	XP_024015345.1	CP10_g42508_DN3_SP8_c.t1
OG0003066	XP_024015616.1	CP10_g42566_DN3_SP1_c.t1
OG0003067	XP_006395061.1	CP2_g48693_DN3_SP8_c.t1
OG0003069	XP_006407494.1	CP10_g43056_DN3_SP1_c.t1
OG0003070	XP_006407226.1	CP7_g46403_DN3_SP4_c.t1, CP10_g43304_DN3_SP3_c.t1
OG0003072	XP_006406663.1	CP12_g30137_DN3_SP8_c.t1
OG0003073	XP_006406623.1	CP12_g30166_DN3_SP0_c.t1
OG0003074	XP_006405832.1	CP5_g1724_DN3_SP1_c.t1
OG0003074	XP_006391399.1	CP9_g28192_DN3_SP3_c.t1
OG0003076	XP_024010087.1	CP8_g54620_DN3_SP4_c.t1
OG0003078	XP_006418305.1	CP1_g36793_DN3_SP5_c.t1
OG0003079	XP_006418241.1	CP1_g36734_DN3_SP6_c.t1
OG0003080	XP_006417928.1	CP1_g36925_DN3_SP5_c.t1
OG0003080	XP_024004103.1	CP4_g25661_DN3_SP8_c.t1
OG0003082	XP_006395873.1	CP13_g19653_DN3_SP0_c.t1
OG0003083	XP_006398539.1	CP13_g19669_DN3_SP3_c.t1
OG0003083	XP_006416954.1	CP1_g37805_DN3_SP8_c.t1
OG0003084	XP_006390387.1	CP9_g29118_DN3_SP3_c.t1
OG0003084	XP_006416903.1	CP7_g46182_DN3_SP8_c.t1
OG0003085	XP_006416598.1	CP7_g45905_DN3_SP7_c.t1
OG0003085	XP_006390475.1	CP9_g29045_DN3_SP7_c.t1
OG0003086	XP_006390221.1	CP9_g29265_DN3_SP0_c.t1
OG0003086	XP_006416389.1	CP7_g45713_DN3_SP0_c.t1
OG0003087	XP_006416373.2	CP7_g45699_DN3_SP8_c.t1
OG0003088	XP_006416370.2	CP7_g45696_DN3_SP1_c.t1
OG0003088	XP_006416371.1	CP7_g45697_DN3_SP0_c.t1
OG0003089	XP_024008590.1	CP7_g45657_DN3_SP0_c.t1
OG0003090	XP_006390691.1	CP9_g28850_DN3_SP8_c.t1
OG0003090	XP_006416192.1	CP7_g45533_DN3_SP3_c.t1
OG0003091	XP_024011375.1	CP3_g16307_DN3_SP0_c.t1, CP9_g28095_DN3_SP0_c.t1, CP17_g5643_DN1_SP0_c.t1
OG0003092	XP_024011079.1	CP13_g20132_DN3_SP0_c.t1
OG0003093	XP_006411995.1	CP5_g368_DN3_SP0_c.t1, CP5_g367_DN3_SP0_c.t1
OG0003094	XP_006412173.1	CP5_g519_DN3_SP0_c.t1
OG0003094	XP_024005858.1	CP5_g518_DN3_SP0_c.t1
OG0003095	XP_006412175.1	CP5_g521_DN3_SP8_c.t1
OG0003096	XP_006416041.1	CP5_g794_DN3_SP0_c.t1
OG0003097	XP_006415970.1	CP7_g45321_DN3_SP8_c.t1
OG0003098	XP_006396346.1	CP8_g54537_DN3_SP0_c.t1, CP8_g54538_DN3_SP1_c.t1, CP8_g54536_DN3_SP0_c.t1
OG0003099	XP_024013860.1, XP_024013087.1, XP_024015985.1	CP12_g30954_DN1_SP0_c.t1, CP8_g52938_DN3_SP0_c.t1, CP9_g27921_DN1_SP0_c.t1, CP8_g52939_DN2_SP0_c.t1, CP2_g49561_DN3_SP0_c.t1, CP16_g55429_DN1_SP0_c.t1, CP6_g8756_DN1_SP0_c.t1, CP12_g30957_DN1_SP0_c.t1, CP15_g34436_DN2_SP0_c.t1, CP1_g39531_DN2_SP0_c.t1, CP24_g47485_DN2_SP0_c.t1, CP4_g26764_DN1_SP0_c.t1, CP3_g16187_DN2_SP0_c.t1, CP9_g27922_DN2_SP0_c.t1, CP15_g34970_DN2_SP0_c.t1, CP15_g34971_DN2_SP0_c.t1, CP12_g31447_DN3_SP0_c.t1, CP18_g11481_DN3_SP0_c.t1, CP24_g47486_DN1_SP0_c.t1, CP15_g34969_DN1_SP0_c.t1, CP6_g8755_DN1_SP0_c.t1, CP4_g26765_DN1_SP0_c.t1, CP9_g27923_DN2_SP0_c.t1, CP3_g16186_DN3_SP0_c.t1, CP3_g16188_DN1_SP0_c.t1, CP1_g39410_DN2_SP0_c.t1, CP12_g31452_DN1_SP0_c.t1
OG0003101	XP_024016603.1	CP10_g43698_DN3_SP4_c.t1, CP10_g43693_DN3_SP0_c.t1
OG0003102	XP_006404902.1	CP16_g55057_DN3_SP0_c.t1
OG0003103	XP_006409933.2, XP_024003751.1	CP4_g25844_DN3_SP0_c.t1
OG0003104	XP_024004245.1	CP4_g25701_DN3_SP0_c.t1, CP6_g8265_DN3_SP0_c.t1
OG0003106	XP_024004279.1	CP4_g25044_DN1_SP0_c.t1
OG0003116	XP_006404883.1	CP16_g55040_DN3_SP3_c.t1
OG0003116	XP_006412702.1	CP5_g950_DN3_SP2_c.t1
OG0003117	XP_006400334.1	CP11_g32183_DN3_SP5_c.t1
OG0003119	XP_024012689.1	CP11_g32475_DN3_SP0_c.t1
OG0003119	XP_006400011.1	CP11_g32476_DN3_SP0_c.t1
OG0003120	XP_006394054.1	CP2_g47770_DN3_SP8_c.t1
OG0003121	XP_006410424.1, XP_006410421.1	CP16_g55400_DN3_SP0_c.t1, CP10_g43831_DN3_SP0_c.t1, CP4_g25466_DN3_SP0_c.t1, CP4_g25465_DN3_SP0_c.t1, CP10_g43829_DN1_SP0_c.t1
OG0003122	XP_024005322.1	CP19_g18126_DN3_SP0_c.t1
OG0003123	XP_006412636.1	CP5_g890_DN3_SP1_c.t1
OG0003124	XP_006415619.1, XP_024003705.1	CP4_g25338_DN3_SP7_c.t1
OG0003125	XP_006415361.1	CP7_g44783_DN3_SP1_c.t1
OG0003125	XP_006417490.1	CP1_g37301_DN3_SP4_c.t1
OG0003126	XP_024008969.1, XP_006415313.1	CP7_g44746_DN3_SP3_c.t1
OG0003127	XP_006404015.1	CP3_g14311_DN3_SP0_c.t1
OG0003127	XP_006393872.1	CP2_g47604_DN2_SP0_c.t1
OG0003128	XP_006400754.1	CP8_g54149_DN3_SP6_c.t1
OG0003128	XP_006405905.1	CP5_g1816_DN3_SP5_c.t1
OG0003129	XP_006394261.1	CP2_g47951_DN3_SP8_c.t1
OG0003130	XP_006394326.2	CP2_g48006_DN3_SP8_c.t1
OG0003131	XP_006394483.1	CP2_g48137_DN3_SP1_c.t1
OG0003132	XP_006404172.1	CP3_g14463_DN3_SP7_c.t1
OG0003132	XP_006394663.2	CP2_g48323_DN3_SP1_c.t1
OG0003134	XP_006406183.1	CP12_g30601_DN3_SP8_c.t1
OG0003136	XP_006400759.1	CP8_g54146_DN1_SP0_c.t1
OG0003138	XP_006401837.2	CP8_g53186_DN3_SP0_c.t1
OG0003138	XP_006401839.1	CP8_g53185_DN3_SP0_c.t1
OG0003139	XP_024005325.1	CP19_g18051_DN3_SP2_c.t1
OG0003140	XP_006416245.2	CP7_g45586_DN1_SP1_c.t1
OG0003141	XP_024012244.1, XP_006406779.1	CP12_g30042_DN3_SP0_c.t1
OG0003142	XP_024008853.1	CP1_g36785_DN3_SP4_c.t1
OG0003143	XP_024010045.1	CP11_g32054_DN3_SP2_c.t1
OG0003143	XP_006396459.2	CP11_g32058_DN3_SP0_c.t1
OG0003144	XP_006415630.1	CP3_g13830_DN3_SP8_c.t1, CP3_g13828_DN3_SP0_c.t1
OG0003145	XP_006398925.1	CP11_g33424_DN3_SP8_c.t1
OG0003146	XP_006407559.2	CP10_g43013_DN3_SP0_c.t1
OG0003147	XP_006405428.1	CP5_g1333_DN3_SP8_c.t1
OG0003147	XP_024007366.1	CP13_g19281_DN3_SP6_c.t1
OG0003148	XP_006405374.1	CP19_g17899_DN3_SP5_c.t1
OG0003148	XP_006391738.1	CP2_g48930_DN3_SP8_c.t1
OG0003150	XP_006389777.1	CP9_g29688_DN3_SP0_c.t1
OG0003151	XP_006416826.1	CP7_g46108_DN3_SP4_c.t1
OG0003151	XP_006389882.1	CP9_g29586_DN3_SP7_c.t1
OG0003153	XP_006417289.1	CP1_g37496_DN1_SP0_c.t1
OG0003153	XP_006389952.1	CP9_g29521_DN3_SP0_c.t1, CP6_g7199_DN3_SP0_c.t1
OG0003154	XP_006416324.1	CP7_g45653_DN3_SP0_c.t1
OG0003155	XP_024012894.1	CP9_g29324_DN2_SP0_c.t1
OG0003156	XP_006416439.1, XP_024010931.1	CP7_g45759_DN3_SP7_c.t1
OG0003157	XP_006416502.1	CP7_g45810_DN3_SP0_c.t1
OG0003158	XP_006392809.1	CP7_g46245_DN3_SP0_c.t1
OG0003159	XP_006410782.1, XP_006410783.1	CP4_g25132_DN3_SP2_c.t1
OG0003161	XP_006419037.1	CP3_g14877_DN3_SP0_c.t1
OG0003162	XP_024004731.1	CP6_g7669_DN3_SP7_c.t1
OG0003162	XP_024009521.1	CP12_g30803_DN3_SP0_c.t1
OG0003163	XP_006414653.1	CP6_g7454_DN3_SP0_c.t1
OG0003164	XP_024015504.1	CP12_g30509_DN3_SP3_c.t1
OG0003165	XP_006390549.1	CP9_g28982_DN3_SP0_c.t1
OG0003166	XP_006416626.1	CP7_g45933_DN3_SP8_c.t1
OG0003166	XP_006390541.1	CP9_g28989_DN3_SP1_c.t1
OG0003167	XP_006395393.1	CP13_g19224_DN3_SP0_c.t1
OG0003167	XP_006405508.1	CP5_g1388_DN3_SP0_c.t1
OG0003168	XP_024014766.1	CP5_g1533_DN3_SP2_c.t1
OG0003168	XP_006395298.1	CP13_g19129_DN3_SP8_c.t1
OG0003169	XP_006405481.1	CP5_g1360_DN3_SP8_c.t1
OG0003169	XP_006395419.1	CP13_g19248_DN3_SP8_c.t1
OG0003171	XP_006404972.2	CP2_g50542_DN3_SP0_c.t1
OG0003173	XP_006393223.2	CP4_g24588_DN3_SP0_c.t1
OG0003173	XP_024004228.1	CP4_g24587_DN2_SP0_c.t1
OG0003174	XP_024013602.1	CP7_g46222_DN2_SP0_c.t1
OG0003174	XP_006392847.1, XP_024013165.1	CP7_g46223_DN2_SP0_c.t1, CP7_g46214_DN3_SP0_c.t1
OG0003175	XP_006403320.1	CP13_g20445_DN3_SP2_c.t1
OG0003177	XP_006401994.1	CP8_g53025_DN3_SP0_c.t1
OG0003178	XP_006417005.1	CP1_g37757_DN3_SP0_c.t1
OG0003179	XP_006414343.1	CP6_g7195_DN3_SP8_c.t1
OG0003180	XP_006414274.1	CP6_g7128_DN3_SP8_c.t1
OG0003181	XP_024013579.1	CP3_g14272_DN3_SP8_c.t1
OG0003183	XP_006402651.1	CP3_g13409_DN3_SP8_c.t1
OG0003188	XP_006411263.1	CP4_g24708_DN3_SP2_c.t1
OG0003189	XP_006411149.1	CP4_g24800_DN2_SP0_c.t1
OG0003189	XP_006403509.1	CP3_g13851_DN3_SP0_c.t1
OG0003190	XP_006403664.1	CP3_g13988_DN3_SP0_c.t1
OG0003190	XP_006410939.1	CP4_g24982_DN3_SP4_c.t1
OG0003191	XP_006415840.1	CP7_g45207_DN1_SP0_c.t1
OG0003191	XP_006391180.1	CP9_g28387_DN1_SP0_c.t1
OG0003192	XP_006409213.1	CP10_g43721_DN3_SP7_c.t1
OG0003193	XP_006402961.1	CP3_g13683_DN3_SP0_c.t1
OG0003194	XP_006411146.1	CP4_g24802_DN2_SP5_c.t1
OG0003195	XP_006411943.1	CP5_g315_DN3_SP5_c.t1
OG0003196	XP_006405114.1	CP16_g55247_DN3_SP8_c.t1
OG0003196	XP_024004425.1	CP5_g811_DN3_SP0_c.t1
OG0003197	XP_006396874.1	CP20_g4373_DN3_SP2_c.t1
OG0003198	XP_006394962.1	CP2_g48601_DN3_SP8_c.t1
OG0003201	XP_006394963.1	CP2_g48602_DN3_SP4_c.t1
OG0003203	XP_006407855.1	CP10_g42731_DN3_SP8_c.t1
OG0003206	XP_006407289.1	CP10_g43241_DN3_SP0_c.t1
OG0003207	XP_006407093.2	CP10_g43406_DN3_SP0_c.t1
OG0003208	XP_006406581.1	CP12_g30202_DN3_SP0_c.t1
OG0003210	XP_006405811.1, XP_024014472.1	CP5_g1688_DN2_SP0_c.t1, CP5_g1686_DN3_SP0_c.t1, CP5_g1687_DN3_SP0_c.t1
OG0003210	XP_006405814.1	CP5_g1705_DN3_SP0_c.t1
OG0003211	XP_024007816.1	CP1_g36604_DN3_SP0_c.t1
OG0003212	XP_006417839.1, XP_006417840.1	CP1_g36998_DN2_SP0_c.t1
OG0003213	XP_006417690.1	CP1_g37124_DN3_SP5_c.t1
OG0003214	XP_006417454.1	CP1_g37345_DN3_SP2_c.t1
OG0003215	XP_006391779.1	CP2_g48961_DN3_SP4_c.t1
OG0003215	XP_024008488.1	CP1_g37572_DN3_SP7_c.t1
OG0003216	XP_006394895.2	CP1_g39307_DN3_SP0_c.t1
OG0003216	XP_006417149.1	CP1_g37619_DN3_SP2_c.t1
OG0003217	XP_006395815.1, XP_006414755.1	CP13_g19600_DN3_SP1_c.t1
OG0003219	XP_006416183.1	CP7_g45526_DN3_SP0_c.t1
OG0003220	XP_006390718.2	CP9_g28819_DN3_SP4_c.t1
OG0003220	XP_006416176.1	CP7_g45520_DN3_SP6_c.t1
OG0003222	XP_006390791.1	CP9_g28751_DN3_SP7_c.t1
OG0003222	XP_006416142.1	CP7_g45491_DN3_SP8_c.t1
OG0003223	XP_006392071.1	CP2_g49192_DN2_SP0_c.t1
OG0003225	XP_006414404.2	CP6_g7269_DN1_SP0_c.t1
OG0003226	XP_006393503.1	CP1_g38348_DN3_SP6_c.t1
OG0003227	XP_006412243.1	CP5_g577_DN3_SP4_c.t1
OG0003228	XP_006412320.1	CP5_g640_DN3_SP0_c.t1
OG0003229	XP_024009934.1, XP_006415951.1	CP7_g45308_DN3_SP2_c.t1
OG0003230	XP_006413053.1	CP5_g1244_DN3_SP8_c.t1
OG0003231	XP_006395677.1	CP13_g19478_DN3_SP0_c.t1
OG0003231	XP_006395678.1	CP13_g19479_DN2_SP1_c.t1
OG0003233	XP_006414050.1	CP5_g381_DN3_SP2_c.t1
OG0003234	XP_006394795.1	CP2_g48451_DN1_SP0_c.t1
OG0003236	XP_006404709.1	CP16_g54882_DN2_SP0_c.t1
OG0003236	XP_006411818.1	CP6_g9287_DN1_SP0_c.t1
OG0003237	XP_006405699.2	CP5_g1603_DN3_SP0_c.t1
OG0003240	XP_024005830.1	CP6_g7056_DN3_SP0_c.t1, CP6_g7054_DN3_SP0_c.t1
OG0003246	XP_024009698.1, XP_024009519.1	CP3_g14735_DN3_SP0_c.t1
OG0003247	XP_006418866.1	CP3_g14730_DN3_SP8_c.t1
OG0003248	XP_006404298.1	CP3_g14576_DN3_SP0_c.t1
OG0003249	XP_024011145.1	CP13_g19850_DN3_SP0_c.t1, CP13_g20689_DN3_SP0_c.t1
OG0003250	XP_006400031.1	CP11_g32455_DN3_SP2_c.t1
OG0003251	XP_024015109.1	CP10_g42098_DN3_SP2_c.t1
OG0003251	XP_006399909.1	CP11_g32564_DN3_SP8_c.t1
OG0003252	XP_024006829.1	CP2_g48511_DN3_SP1_c.t1
OG0003253	XP_006414102.2	CP6_g6968_DN3_SP7_c.t1
OG0003254	XP_006394086.1	CP2_g47797_DN3_SP8_c.t1
OG0003254	XP_006399518.1	CP11_g32905_DN3_SP7_c.t1
OG0003255	XP_006399517.1	CP11_g32906_DN3_SP1_c.t1
OG0003255	XP_006399516.1	CP11_g32907_DN3_SP8_c.t1
OG0003256	XP_006399505.1	CP11_g32915_DN3_SP3_c.t1
OG0003257	XP_006399446.1	CP11_g32964_DN3_SP8_c.t1
OG0003258	XP_006394168.1	CP2_g47872_DN3_SP0_c.t1
OG0003259	XP_006410033.1	CP4_g25779_DN2_SP0_c.t1
OG0003259	XP_024012276.1	CP11_g33333_DN3_SP0_c.t1
OG0003260	XP_006410151.1	CP4_g25709_DN3_SP1_c.t1
OG0003260	XP_006410152.1	CP4_g25708_DN3_SP8_c.t1
OG0003261	XP_006410160.1	CP6_g8266_DN1_SP0_c.t1
OG0003262	XP_006410328.2	CP4_g25558_DN3_SP0_c.t1
OG0003263	XP_006393272.1	CP1_g38179_DN3_SP0_c.t1
OG0003264	XP_024003871.1	CP4_g25455_DN3_SP8_c.t1
OG0003265	XP_006405305.1	CP19_g17843_DN3_SP6_c.t1
OG0003267	XP_024007754.1	CP7_g44864_DN3_SP2_c.t1
OG0003267	XP_024007758.1	CP7_g44863_DN3_SP8_c.t1
OG0003268	XP_024007602.1	CP2_g47852_DN3_SP0_c.t1
OG0003269	XP_006394205.1	CP2_g47897_DN3_SP8_c.t1
OG0003270	XP_006394531.1	CP2_g48181_DN3_SP0_c.t1
OG0003271	XP_006418293.1	CP1_g36780_DN3_SP3_c.t1
OG0003273	XP_006400804.1	CP8_g54106_DN3_SP8_c.t1
OG0003274	XP_006409163.1	CP10_g43679_DN3_SP0_c.t1
OG0003275	XP_006407263.1	CP10_g43266_DN3_SP8_c.t1
OG0003276	XP_006401077.1	CP8_g53846_DN3_SP8_c.t1
OG0003277	XP_006413168.1	CP19_g17984_DN3_SP6_c.t1
OG0003278	XP_024013777.1	CP3_g14409_DN3_SP4_c.t1
OG0003279	XP_006404117.1	CP3_g14410_DN2_SP4_c.t1
OG0003281	XP_006398673.1	CP11_g33665_DN3_SP5_c.t1
OG0003282	XP_006416104.1	CP12_g30655_DN3_SP6_c.t1
OG0003283	XP_024007040.1, XP_006405254.2	CP1_g41367_DN3_SP4_c.t1
OG0003286	XP_006413939.1	CP6_g6844_DN3_SP7_c.t1
OG0003287	XP_006390012.1	CP9_g29460_DN3_SP2_c.t1
OG0003289	XP_006414628.1	CP6_g7432_DN3_SP8_c.t1
OG0003291	XP_006405990.2	CP2_g48922_DN2_SP0_c.t1
OG0003292	XP_024007889.1	CP7_g45325_DN3_SP1_c.t1
OG0003292	XP_006390990.1	CP9_g28565_DN3_SP0_c.t1
OG0003294	XP_006406957.1	CP12_g29891_DN1_SP0_c.t1
OG0003295	XP_024004616.1	CP6_g6976_DN2_SP0_c.t1
OG0003297	XP_006394298.1	CP2_g47984_DN2_SP0_c.t1
OG0003298	XP_006413952.1	CP6_g6853_DN3_SP1_c.t1
OG0003299	XP_006414750.1	CP6_g7531_DN3_SP0_c.t1
OG0003299	XP_006409296.1, XP_006401996.1	CP8_g53030_DN3_SP0_c.t1
OG0003300	XP_006409314.1	CP22_g17651_DN3_SP7_c.t1
OG0003300	XP_006391231.1	CP9_g28334_DN3_SP6_c.t1
OG0003301	XP_006403924.1	CP3_g14229_DN3_SP8_c.t1
OG0003302	XP_006402469.1	CP3_g13240_DN3_SP0_c.t1
OG0003302	XP_006397802.2	CP4_g24104_DN3_SP3_c.t1
OG0003303	XP_006403608.1	CP3_g13941_DN3_SP8_c.t1
OG0003305	XP_006414982.1	CP6_g9346_DN3_SP5_c.t1
OG0003305	XP_006418635.1	CP12_g30927_DN3_SP2_c.t1
OG0003306	XP_024009710.1	CP12_g31003_DN3_SP5_c.t1
OG0003306	XP_006395200.1	CP2_g48799_DN3_SP6_c.t1
OG0003307	XP_024009275.1	CP9_g28351_DN3_SP8_c.t1
OG0003310	XP_006393712.2	CP1_g39029_DN3_SP0_c.t1
OG0003311	XP_006397920.1	CP4_g23995_DN3_SP3_c.t1
OG0003311	XP_006397918.1	CP4_g23996_DN3_SP8_c.t1
OG0003312	XP_006390227.1	CP4_g24301_DN3_SP8_c.t1
OG0003313	XP_006412203.1	CP5_g544_DN3_SP0_c.t1
OG0003314	XP_006408112.1	CP10_g42496_DN3_SP6_c.t1
OG0003314	XP_006394996.1	CP2_g48634_DN3_SP3_c.t1
OG0003315	XP_006394877.1	CP2_g48526_DN3_SP1_c.t1
OG0003316	XP_006407973.1	CP10_g42619_DN3_SP4_c.t1
OG0003316	XP_006400452.1	CP8_g54441_DN3_SP8_c.t1
OG0003317	XP_006407860.1	CP10_g42726_DN3_SP6_c.t1
OG0003317	XP_006395148.1	CP2_g48759_DN2_SP3_c.t1
OG0003318	XP_006406985.1	CP10_g43502_DN3_SP0_c.t1
OG0003319	XP_006406802.1	CP12_g30027_DN3_SP8_c.t1
OG0003319	XP_006414395.1	CP6_g7263_DN3_SP6_c.t1
OG0003320	XP_006393261.1	CP1_g38170_DN3_SP7_c.t1
OG0003321	XP_006412965.1	CP5_g1165_DN2_SP0_c.t1
OG0003322	XP_006405701.1	CP5_g1605_DN1_SP0_c.t1
OG0003322	XP_006395248.1	CP2_g48846_DN2_SP0_c.t1
OG0003324	XP_006412738.1	CP5_g986_DN3_SP7_c.t1
OG0003325	XP_024007009.1	CP24_g47450_DN3_SP0_c.t1, CP17_g5841_DN3_SP0_c.t1, CP17_g5838_DN2_SP0_c.t1, CP2_g48690_DN3_SP8_c.t1
OG0003326	XP_006411032.1	CP4_g24896_DN3_SP2_c.t1
OG0003326	XP_006403883.1	CP3_g14193_DN3_SP8_c.t1
OG0003327	XP_006396282.1	CP8_g54600_DN3_SP0_c.t1
OG0003327	XP_006418431.1	CP1_g36466_DN3_SP2_c.t1
OG0003328	XP_006396313.1	CP8_g54571_DN3_SP8_c.t1
OG0003329	XP_006401419.1	CP5_g933_DN3_SP0_c.t1
OG0003330	XP_006417817.2	CP1_g37015_DN3_SP0_c.t1
OG0003331	XP_024015736.1	CP35_g52129_DN3_SP6_c.t1
OG0003331	XP_024008846.1	CP1_g37156_DN3_SP8_c.t1
OG0003333	XP_024008159.1	CP9_g29640_DN3_SP2_c.t1
OG0003333	XP_006416869.1	CP7_g46147_DN3_SP8_c.t1
OG0003334	XP_006416518.1	CP7_g45824_DN3_SP1_c.t1, CP7_g45823_DN2_SP0_c.t1
OG0003335	XP_024008146.1	CP7_g45723_DN3_SP0_c.t1
OG0003336	XP_006390777.1	CP9_g28764_DN3_SP6_c.t1
OG0003337	XP_006390847.1	CP9_g28694_DN3_SP7_c.t1
OG0003337	XP_006416116.1	CP7_g45464_DN3_SP8_c.t1
OG0003338	XP_006390928.1	CP9_g28613_DN3_SP3_c.t1
OG0003340	XP_024011028.1	CP13_g19748_DN2_SP7_c.t1
OG0003342	XP_024009848.1, XP_006405930.1	CP5_g1832_DN3_SP5_c.t1
OG0003343	XP_006412837.1	CP5_g1052_DN3_SP0_c.t1
OG0003344	XP_006404721.1	CP16_g54891_DN2_SP0_c.t1
OG0003345	XP_006405358.1	CP19_g17888_DN3_SP8_c.t1
OG0003347	XP_006412084.1	CP5_g450_DN3_SP0_c.t1
OG0003349	XP_006412261.1	CP5_g593_DN3_SP7_c.t1
OG0003352	XP_006396275.1	CP1_g36462_DN3_SP2_c.t1, CP8_g54606_DN3_SP8_c.t1
OG0003353	XP_024011998.1	CP8_g53349_DN3_SP0_c.t1
OG0003356	XP_006415721.1	CP7_g44607_DN3_SP0_c.t1, CP7_g44592_DN2_SP0_c.t1, CP7_g44606_DN2_SP0_c.t1, CP7_g44597_DN3_SP0_c.t1
OG0003360	XP_024016306.1	CP17_g5000_DN3_SP0_c.t1
OG0003364	XP_006395490.1, XP_006405408.1	CP13_g19307_DN1_SP0_c.t1
