Orthogroup	Eutrema_salsugineum	Cardamine_hirsuta
OG0002788	XP_006395841.1	CARHR144450
OG0002788	XP_006416982.2	CARHR015230
OG0002789	XP_006412823.1	CARHR237490
OG0002790	XP_024004193.1	CARHR134270
OG0002791	XP_006411706.1	CARHR247660
OG0002791	XP_006404590.1	CARHR112340
OG0002792	XP_006397435.1	CARHR286310
OG0002793	XP_006396077.1	CARHR033720
OG0002793	XP_006390738.2	CARHR290920
OG0002795	XP_024005497.1, XP_006408026.1	CARHR080260
OG0002798	XP_006397523.1	CARHR138630
OG0002799	XP_006398407.1	CARHR174270
OG0002800	XP_006408215.2	CARHR078310, CARHR078340, CARHR078330, CARHR078320
OG0002801	XP_024010982.1	CARHR079300
OG0002802	XP_006394988.1	CARHR185810
OG0002802	XP_006408120.1	CARHR079330
OG0002803	XP_006400461.1	CARHR193930
OG0002804	XP_024015534.1	CARHR080700
OG0002805	XP_006396402.1	CARHR249630
OG0002806	XP_006406984.1, XP_006391698.1, XP_006415224.1, XP_006415225.1	CARHR090340, CARHR090350, CARHR215320
OG0002807	XP_024015542.1	CARHR092220
OG0002807	XP_024005820.1	CARHR222520
OG0002808	XP_006406589.1	CARHR093960
OG0002809	XP_006393099.1, XP_006406371.1	CARHR040940, CARHR096330, CARHR040950, CARHR096310
OG0002810	XP_006414707.2	CARHR220660
OG0002812	XP_006417430.1	CARHR010870
OG0002812	XP_006392116.1	CARHR051790
OG0002813	XP_006417353.1	CARHR255430, CARHR011740
OG0002814	XP_006417337.1	CARHR011900
OG0002814	XP_006391961.1	CARHR050530
OG0002815	XP_006391826.1	CARHR049100
OG0002815	XP_006417250.1	CARHR012580
OG0002816	XP_006417239.1	CARHR012690
OG0002816	XP_006396730.1, XP_024015598.1	CARHR048860
OG0002817	XP_006390674.2	CARHR065230
OG0002818	XP_006390632.1	CARHR065620
OG0002818	XP_006416696.1	CARHR018100
OG0002819	XP_006390820.1	CARHR064260
OG0002819	XP_006416129.1	CARHR023430
OG0002820	XP_024004326.1	CARHR116300, CARHR034290, CARHR178680, CARHR034300
OG0002820	XP_006412887.1, XP_006402166.1	CARHR236760
OG0002821	XP_024014763.1	CARHR212880
OG0002821	XP_006391660.1	CARHR046740
OG0002822	XP_006393269.1	CARHR039300
OG0002823	XP_024005510.1	CARHR245450
OG0002825	XP_006412073.1	CARHR244040
OG0002826	XP_006405185.1	CARHR115870
OG0002826	XP_006412477.1	CARHR240330
OG0002827	XP_006412321.1	CARHR241790
OG0002827	XP_006409657.1	CARHR105250
OG0002828	XP_006412563.1	CARHR239620
OG0002829	XP_006396352.1	CARHR250120, CARHR250150, CARHR250130
OG0002833	XP_006412766.1, XP_006412765.1, XP_006412768.1	CARHR101110, CARHR101100, CARHR101090, CARHR164790
OG0002834	XP_024012909.1	CARHR171660, CARHR171670, CARHR219290
OG0002835	XP_024006859.1, XP_006395337.1	CARHR151830
OG0002836	XP_024004396.1	CARHR244020, CARHR244030
OG0002837	XP_006401738.1	CARHR266230
OG0002839	XP_006419054.1	CARHR150670
OG0002844	XP_006395748.2	CARHR212720
OG0002845	XP_006408300.1	CARHR077490
OG0002845	XP_006400291.1	CARHR195680
OG0002846	XP_006408564.1	CARHR074940
OG0002846	XP_006399912.1	CARHR199300
OG0002847	XP_006399896.1	CARHR199500
OG0002848	XP_024005359.1	CARHR219150
OG0002849	XP_024004427.1, XP_006404252.1, XP_006414739.2	CARHR102960
OG0002850	XP_006399631.1	CARHR201970
OG0002851	XP_024012176.1, XP_024012382.1	CARHR288960
OG0002852	XP_006394912.1	CARHR018670, CARHR186700
OG0002853	XP_006399324.1	CARHR204740
OG0002854	XP_006408663.1, XP_006408653.1	CARHR119470
OG0002855	XP_006409793.1	CARHR120520
OG0002856	XP_006410146.1	CARHR123900
OG0002856	XP_006417871.1	CARHR006560
OG0002857	XP_006410267.1	CARHR124980
OG0002858	XP_006410389.1	CARHR126430
OG0002858	XP_006418063.2	CARHR004540
OG0002859	XP_006410378.1	CARHR126280
OG0002860	XP_006418088.1	CARHR004250
OG0002861	XP_006410463.1	CARHR127240
OG0002861	XP_006418109.1	CARHR003960
OG0002862	XP_006417753.1	CARHR007720, CARHR249550
OG0002863	XP_006413283.1	CARHR233110
OG0002863	XP_006413281.1	CARHR233150
OG0002864	XP_006415703.1	CARHR027510
OG0002865	XP_006410720.1	CARHR129790
OG0002865	XP_024008798.1	CARHR031060
OG0002866	XP_006415281.1	CARHR031240
OG0002867	XP_006410715.1	CARHR129730
OG0002868	XP_006404100.1	CARHR158880
OG0002869	XP_024006915.1	CARHR279690
OG0002869	XP_024013776.1	CARHR158740
OG0002870	XP_006394250.1	CARHR278210
OG0002870	XP_006399363.2	CARHR204400
OG0002871	XP_024007626.1	CARHR277200
OG0002871	XP_006404246.1	CARHR157260
OG0002872	XP_024007520.1	CARHR275490
OG0002873	XP_024012379.1	CARHR118920
OG0002873	XP_006400685.1	CARHR191720
OG0002874	XP_006413146.1	CARHR234340
OG0002874	XP_006401473.1	CARHR268620
OG0002875	XP_006401470.1	CARHR268650
OG0002876	XP_006392239.1, XP_006404036.1	CARHR285970, CARHR288020, CARHR159860, CARHR159870, CARHR036770
OG0002878	XP_006398920.1, XP_006409474.2	CARHR208650
OG0002879	XP_006398867.1	CARHR209170
OG0002879	XP_006407591.1	CARHR084730
OG0002880	XP_006405362.1	CARHR212980
OG0002881	XP_024011131.1	CARHR118380, CARHR177910, CARHR177890
OG0002882	XP_006397159.1, XP_006405092.1	CARHR058570
OG0002883	XP_006389977.1	CARHR072030
OG0002883	XP_024008335.1	CARHR017570
OG0002884	XP_006393981.1	CARHR279830
OG0002884	XP_024013655.1	CARHR158830
OG0002885	XP_024014948.1	CARHR156370
OG0002886	XP_006410841.1	CARHR130970
OG0002886	XP_006391880.2, XP_006403723.1	CARHR162970
OG0002887	XP_006413440.1, XP_006413438.1	CARHR231800
OG0002888	XP_024005027.1, XP_006415005.1, XP_024004575.1	CARHR218090
OG0002889	XP_024009523.1	CARHR101010
OG0002890	XP_006414921.1	CARHR218930
OG0002890	XP_006418754.1	CARHR100460
OG0002891	XP_006416348.1	CARHR021350
OG0002891	XP_024015276.1	CARHR084020
OG0002892	XP_006390428.1	CARHR067700
OG0002893	XP_006398232.1	CARHR176470
OG0002894	XP_006404971.2	CARHR176950
OG0002895	XP_006406945.1	CARHR090700
OG0002895	XP_006392876.1	CARHR042870
OG0002896	XP_006413286.2	CARHR233080, CARHR233070
OG0002898	XP_006398410.1, XP_006398412.1, XP_006418523.1	CARHR174230
OG0002899	XP_006412189.1	CARHR243040
OG0002899	XP_006409423.1	CARHR106760
OG0002900	XP_006413592.1	CARHR230050
OG0002901	XP_006398069.1	CARHR178550
OG0002902	XP_006396671.2	CARHR252810
OG0002902	XP_006413717.1	CARHR228690
OG0002903	XP_006393834.1	CARHR281440
OG0002904	XP_006393800.1, XP_006393802.1	CARHR281600
OG0002905	XP_006403913.1	CARHR161040
OG0002906	XP_006402386.1	CARHR172650
OG0002907	XP_006402405.1	CARHR172490
OG0002907	XP_006397891.1	CARHR142370
OG0002908	XP_006397829.1	CARHR054060
OG0002909	XP_006397819.2	CARHR141610
OG0002911	XP_006402655.1	CARHR138980, CARHR170140
OG0002914	XP_024011791.1	CARHR266550
OG0002914	XP_006413014.1	CARHR235610
OG0002915	XP_024013033.1	CARHR217560
OG0002915	XP_006408978.1, XP_006396108.1	CARHR103840
OG0002916	XP_006411999.1	CARHR244780
OG0002917	XP_006401212.1	CARHR271160
OG0002919	XP_006400481.1	CARHR193720, CARHR193710, CARHR193730
OG0002920	XP_006397734.1	CARHR140700
OG0002921	XP_006408324.1	CARHR077270
OG0002922	XP_006408110.1	CARHR079440
OG0002923	XP_006408038.1	CARHR080160
OG0002924	XP_006407775.1	CARHR082720
OG0002924	XP_006407202.2	CARHR088200
OG0002925	XP_006407729.1, XP_006407731.1	CARHR083280
OG0002926	XP_006407619.1	CARHR084480
OG0002927	XP_006407240.1, XP_006407239.1	CARHR087910
OG0002928	XP_006407023.1	CARHR089960
OG0002929	XP_006406926.2	CARHR214390
OG0002930	XP_006406915.1	CARHR090920, CARHR090910
OG0002931	XP_006406658.1, XP_006406654.1	CARHR093400
OG0002932	XP_006406640.1	CARHR093500
OG0002933	XP_006406504.1	CARHR094790
OG0002935	XP_006406237.1	CARHR097710, CARHR097700
OG0002936	XP_024015191.1	CARHR097630
OG0002937	XP_006395898.1	CARHR056950
OG0002938	XP_006418437.1	CARHR000750
OG0002939	XP_006418351.1	CARHR001680
OG0002939	XP_006396366.1	CARHR249970
OG0002940	XP_006410243.1	CARHR124750
OG0002940	XP_006417948.1	CARHR005720
OG0002941	XP_024011031.1	CARHR143640
OG0002941	XP_024008348.1	CARHR015640
OG0002942	XP_006416465.1	CARHR020280
OG0002943	XP_006391736.1	CARHR047830, CARHR047840
OG0002944	XP_006392054.1	CARHR051570, CARHR051590, CARHR051610, CARHR051600
OG0002945	XP_006392356.2	CARHR054250, CARHR054240
OG0002946	XP_024014077.1, XP_006396169.1, XP_006404791.1, XP_006404798.2	CARHR114300
OG0002947	XP_006396654.1	CARHR252620
OG0002948	XP_006411695.1	CARHR247770
OG0002949	XP_024005518.1	CARHR247450
OG0002950	XP_006411841.1	CARHR246270
OG0002951	XP_006412077.1	CARHR244000
OG0002951	XP_006409271.1	CARHR107890
OG0002952	XP_006412478.1	CARHR240320
OG0002952	XP_006405184.1	CARHR115880
OG0002953	XP_006412376.1	CARHR241270
OG0002954	XP_006405219.1	CARHR116210
OG0002954	XP_006412511.1	CARHR240040
OG0002955	XP_006412528.2	CARHR239900
OG0002955	XP_006405129.1	CARHR116390
OG0002956	XP_006418806.1	CARHR100070
OG0002958	XP_006409005.1	CARHR111320
OG0002958	XP_024005659.1	CARHR236020
OG0002961	XP_006405934.2, XP_024014675.1	CARHR174360
OG0002962	XP_006411824.1	CARHR246440, CARHR056820
OG0002963	XP_006406771.1	CARHR092330
OG0002964	XP_006405791.1, XP_006405790.1	CARHR131070, CARHR131080
OG0002971	XP_006399006.1	CARHR207810
OG0002971	XP_006399007.1	CARHR211680
OG0002972	XP_006404875.1	CARHR184880
OG0002972	XP_006412703.1	CARHR238360
OG0002973	XP_024015236.1	CARHR082310
OG0002975	XP_006405042.1	CARHR294550
OG0002976	XP_006400231.1	CARHR196280
OG0002976	XP_006408352.1	CARHR077040
OG0002977	XP_006400131.2	CARHR197300
OG0002978	XP_024014301.1	CARHR075030
OG0002978	XP_006399921.1	CARHR199220
OG0002979	XP_006399823.1	CARHR200120
OG0002980	XP_024007912.1	CARHR147800
OG0002981	XP_006399528.1	CARHR202950
OG0002982	XP_006399466.1	CARHR203570
OG0002982	XP_006394125.1	CARHR278670
OG0002983	XP_006413541.1	CARHR050230, CARHR230940
OG0002984	XP_006399330.1	CARHR204660
OG0002985	XP_006417832.1, XP_024009038.1	CARHR006890
OG0002985	XP_006410050.1	CARHR123240
OG0002986	XP_006402852.1	CARHR168010
OG0002987	XP_006403143.1	CARHR179190
OG0002988	XP_006415744.1	CARHR134160
OG0002989	XP_006410626.1	CARHR128910
OG0002990	XP_006415431.1	CARHR030190
OG0002990	XP_006415432.1	CARHR030180
OG0002992	XP_006393933.1	CARHR280250
OG0002993	XP_006404085.1	CARHR159040
OG0002993	XP_006393941.1	CARHR280200
OG0002994	XP_024007527.1	CARHR280090
OG0002996	XP_006400781.1	CARHR190820
OG0002997	XP_006400865.2	CARHR273950, CARHR273940, CARHR273930
OG0002998	XP_024012469.1	CARHR272710, CARHR272690, CARHR272700
OG0002999	XP_024012245.1	CARHR271860, CARHR271980
OG0003000	XP_006401368.1	CARHR269570
OG0003002	XP_006401504.1	CARHR268310
OG0003003	XP_006413119.1	CARHR234600
OG0003003	XP_024011190.1	CARHR268260
OG0003004	XP_024007739.1, XP_006414685.2, XP_006417554.1, XP_024014388.1	CARHR040170, CARHR189180
OG0003005	XP_006399147.1	CARHR206470
OG0003005	XP_006399146.1	CARHR206480
OG0003006	XP_024008784.1	CARHR002480
OG0003006	XP_024010518.1	CARHR251140
OG0003007	XP_006408223.1	CARHR078230, CARHR121590
OG0003008	XP_024007733.1, XP_024008988.1, XP_006402885.1, XP_024009010.1	CARHR167560
OG0003009	XP_006398726.1	CARHR210650
OG0003009	XP_006407663.1	CARHR084000
OG0003010	XP_024014747.1	CARHR110430, CARHR213240, CARHR213250
OG0003011	XP_006416236.1	CARHR022400
OG0003011	XP_006390044.1	CARHR071360
OG0003012	XP_006397062.2	CARHR014590, CARHR056620
OG0003013	XP_006390079.1	CARHR071070
OG0003014	XP_006412081.2	CARHR243980
OG0003015	XP_024004644.1	CARHR243970
OG0003015	XP_006409273.1	CARHR107840
OG0003017	XP_006414975.1	CARHR101320
OG0003018	XP_006418694.1, XP_006414962.1	CARHR218660
OG0003019	XP_006414858.1	CARHR219650, CARHR219550, CARHR219630, CARHR219620
OG0003020	XP_006414845.1	CARHR179980, CARHR219820
OG0003021	XP_006416606.1	CARHR019030
OG0003021	XP_024007783.1	CARHR067010
OG0003022	XP_024007767.1	CARHR025810
OG0003022	XP_006391101.1	CARHR061570
OG0003023	XP_024005535.1	CARHR236910
OG0003023	XP_006412838.1	CARHR237270
OG0003024	XP_006416325.2	CARHR021630
OG0003025	XP_006395376.2	CARHR149790
OG0003025	XP_024014383.1	CARHR261940
OG0003026	XP_006395374.1	CARHR149810
OG0003028	XP_024015009.1	CARHR095040
OG0003029	XP_006393108.1	CARHR040840
OG0003029	XP_006406375.1	CARHR096270
OG0003030	XP_024006391.1	CARHR039330
OG0003031	XP_024014888.1	CARHR097100
OG0003032	XP_006406867.1	CARHR091340
OG0003033	XP_024003933.1	CARHR132800, CARHR132790, CARHR132810
OG0003034	XP_006414440.1	CARHR281190
OG0003034	XP_006403990.1	CARHR160400
OG0003037	XP_006396621.1	CARHR252360
OG0003039	XP_006402542.1	CARHR171190
OG0003040	XP_006402582.1	CARHR170740
OG0003041	XP_006402621.1	CARHR170440
OG0003042	XP_024004260.1	CARHR169650
OG0003043	XP_006402809.1	CARHR168450
OG0003044	XP_006403676.2	CARHR163450
OG0003045	XP_006408322.1	CARHR077280
OG0003046	XP_006391315.1	CARHR057640, CARHR057720, CARHR162620, CARHR158240
OG0003047	XP_006391279.2	CARHR059980
OG0003049	XP_006391210.1	CARHR060520
OG0003050	XP_006395906.1	CARHR216500
OG0003051	XP_006415806.1	CARHR026650
OG0003051	XP_006413382.1	CARHR232210
OG0003052	XP_024004343.1	CARHR247940
OG0003053	XP_024010644.1, XP_024008980.1	CARHR117560, CARHR120210
OG0003054	XP_006413879.1	CARHR227160
OG0003055	XP_006400467.1	CARHR193860
OG0003056	XP_024012127.1	CARHR193660
OG0003058	XP_006408144.1	CARHR079090
OG0003059	XP_006397946.1	CARHR142910
OG0003061	XP_006397561.1	CARHR139070
OG0003061	XP_006397560.1	CARHR139060
OG0003062	XP_006397558.1	CARHR199330, CARHR139040, CARHR199340, CARHR058880
OG0003063	XP_006391400.1	CARHR025870
OG0003064	XP_024015345.1	CARHR079530
OG0003064	XP_024006949.1	CARHR186010
OG0003065	XP_006408061.1	CARHR079920
OG0003066	XP_024015616.1	CARHR080190
OG0003066	XP_024015630.1	CARHR080200
OG0003067	XP_006395061.1	CARHR182040
OG0003068	XP_006407743.1	CARHR083060, CARHR083070, CARHR083080, CARHR083090
OG0003069	XP_006407494.1	CARHR085460
OG0003070	XP_006407226.1	CARHR088020, CARHR045240
OG0003072	XP_006406663.1	CARHR093340
OG0003073	XP_006406623.1	CARHR093630
OG0003074	XP_006405832.1	CARHR214960
OG0003074	XP_006391399.1	CARHR058510
OG0003076	XP_024010087.1	CARHR248810
OG0003076	XP_024009080.1	CARHR000570
OG0003078	XP_006418305.1	CARHR035210, CARHR002080
OG0003079	XP_006418241.1	CARHR002730
OG0003080	XP_006417928.1	CARHR006000
OG0003081	XP_006392138.1	CARHR052310
OG0003081	XP_006417410.1	CARHR011070
OG0003082	XP_006416960.1	CARHR015440
OG0003082	XP_006395873.1	CARHR144160
OG0003083	XP_006398539.1, XP_006416954.1	CARHR015510
OG0003084	XP_006416903.1	CARHR016010
OG0003085	XP_006416598.1	CARHR019120
OG0003085	XP_006390475.1	CARHR067180
OG0003086	XP_006390221.1	CARHR069770
OG0003086	XP_006416389.1	CARHR020990
OG0003087	XP_006416373.2	CARHR021130
OG0003088	XP_006416370.2	CARHR021160
OG0003088	XP_006416371.1	CARHR021150
OG0003089	XP_024008590.1	CARHR021590
OG0003090	XP_006416192.1	CARHR022860
OG0003092	XP_024011079.1	CARHR178350, CARHR178360
OG0003093	XP_006411995.1	CARHR244820
OG0003094	XP_006412173.1	CARHR243190
OG0003094	XP_024005858.1	CARHR243200
OG0003095	XP_006412175.1	CARHR243170
OG0003096	XP_006416041.1, XP_006412515.1	CARHR239990
OG0003097	XP_006415970.1	CARHR025050
OG0003098	XP_006396346.1	CARHR250220
OG0003101	XP_024016603.1	CARHR108650, CARHR219930, CARHR105920, CARHR108720, CARHR108710
OG0003102	XP_006404902.1	CARHR118300
OG0003103	XP_006409933.2, XP_024003751.1, XP_024003673.1	CARHR122150, CARHR122160
OG0003106	XP_024013355.1	CARHR163060
OG0003116	XP_006412702.1	CARHR238370
OG0003117	XP_006400334.1	CARHR195220
OG0003118	XP_006400128.1	CARHR197330
OG0003119	XP_024012689.1, XP_006400011.1	CARHR198400, CARHR198410
OG0003120	XP_006394054.1	CARHR279220
OG0003121	XP_006410424.1, XP_006410421.1	CARHR126810
OG0003122	XP_024005322.1	CARHR232610
OG0003123	XP_006412636.1	CARHR238960
OG0003124	XP_006415619.1	CARHR028240
OG0003125	XP_006415361.1	CARHR030680
OG0003125	XP_006417490.1	CARHR010260
OG0003126	XP_024008969.1, XP_006415313.1	CARHR286920
OG0003127	XP_006404015.1	CARHR160160
OG0003127	XP_006393872.1	CARHR280930
OG0003128	XP_006400754.1	CARHR191050
OG0003128	XP_006405905.1	CARHR215770
OG0003129	XP_006394261.1	CARHR277440
OG0003130	XP_006394326.2	CARHR276830
OG0003131	XP_006394483.1	CARHR275450
OG0003132	XP_006404172.1	CARHR157980
OG0003132	XP_006394663.2	CARHR189530
OG0003133	XP_024015711.1	CARHR051140
OG0003133	XP_006392004.2, XP_024015694.1	CARHR051210, CARHR051160
OG0003134	XP_006406183.1	CARHR098220
OG0003136	XP_006400761.1	CARHR191010
OG0003138	XP_006401837.2	CARHR119580
OG0003138	XP_006401839.1	CARHR259130, CARHR265280
OG0003139	XP_024005325.1	CARHR233360
OG0003140	XP_006416245.2	CARHR038350, CARHR022320
OG0003141	XP_024012244.1, XP_006406779.1	CARHR092260
OG0003142	XP_024008853.1	CARHR002180
OG0003143	XP_024010045.1	CARHR250810
OG0003143	XP_006396459.2	CARHR250780
OG0003144	XP_006415630.1	CARHR289060
OG0003145	XP_006398925.1	CARHR208610
OG0003146	XP_006407559.2	CARHR085020
OG0003147	XP_024007366.1	CARHR148540
OG0003148	XP_006405374.1	CARHR213070
OG0003148	XP_006391738.1	CARHR047870
OG0003150	XP_006389777.1	CARHR074210
OG0003151	XP_006389882.1	CARHR073160
OG0003152	XP_006389888.1	CARHR073110, CARHR016830
OG0003153	XP_006389952.1	CARHR072440, CARHR072430
OG0003154	XP_006416324.1	CARHR021650
OG0003155	XP_024012894.1	CARHR070310
OG0003156	XP_006416439.1, XP_024010931.1	CARHR146930, CARHR020540
OG0003157	XP_024006774.1, XP_006416502.1	CARHR068560
OG0003158	XP_006392809.1	CARHR043480
OG0003159	XP_006410782.1, XP_006410783.1	CARHR130330
OG0003160	XP_006410815.1	CARHR130680
OG0003161	XP_006419037.1	CARHR150230
OG0003162	XP_024009521.1	CARHR099910
OG0003163	XP_006414653.1	CARHR221200
OG0003163	XP_024015643.1	CARHR098680
OG0003164	XP_006414478.1	CARHR290040
OG0003165	XP_006390549.1	CARHR066520
OG0003166	XP_006416626.1	CARHR018810
OG0003166	XP_006390541.1	CARHR066590
OG0003167	XP_006395393.1	CARHR149390
OG0003167	XP_006405508.1	CARHR261760
OG0003168	XP_024014766.1	CARHR262920
OG0003168	XP_006395298.1	CARHR152340
OG0003169	XP_006405481.1	CARHR261440
OG0003169	XP_006395419.1	CARHR148940
OG0003171	XP_006404972.2	CARHR175210
OG0003172	XP_024010541.1, XP_006391530.2	CARHR057460
OG0003173	XP_024004228.1	CARHR136410, CARHR136420
OG0003175	XP_006403320.1	CARHR181060, CARHR036260
OG0003176	XP_006414220.1	CARHR224210
OG0003177	XP_006401994.1	CARHR256760
OG0003178	XP_006417005.1	CARHR014940
OG0003179	XP_006414343.1	CARHR222880
OG0003179	XP_006410743.2	CARHR129990
OG0003180	XP_006414274.1	CARHR223660
OG0003180	XP_006410676.2	CARHR129330
OG0003181	XP_024013579.1	CARHR160540, CARHR034760
OG0003182	XP_006402576.1	CARHR154600
OG0003183	XP_006402651.1	CARHR170150
OG0003184	XP_006402788.1	CARHR168830
OG0003186	XP_006404082.1	CARHR150380
OG0003187	XP_024012853.1	CARHR166130
OG0003188	XP_006403042.1	CARHR166040
OG0003189	XP_006403509.1	CARHR164980
OG0003190	XP_006403664.1	CARHR163590
OG0003190	XP_006410939.1	CARHR132090
OG0003191	XP_006415840.1	CARHR026290
OG0003192	XP_006409213.1	CARHR108470
OG0003192	XP_006395587.1	CARHR286350, CARHR239630
OG0003193	XP_006402961.1	CARHR166800
OG0003194	XP_006411146.1	CARHR222400, CARHR222410, CARHR133970, CARHR133960
OG0003195	XP_006411943.1	CARHR245350
OG0003196	XP_006405114.1	CARHR116490
OG0003197	XP_006396874.1	CARHR187180
OG0003198	XP_006394962.1	CARHR186090
OG0003199	XP_006408994.1	CARHR111240
OG0003199	XP_006412956.1	CARHR236190
OG0003200	XP_006408164.1	CARHR078920
OG0003200	XP_006395027.1	CARHR185290
OG0003201	XP_006408092.1	CARHR079620
OG0003202	XP_006400450.1	CARHR194040
OG0003202	XP_024014852.1	CARHR080750
OG0003203	XP_006407855.1	CARHR081870
OG0003204	XP_024015287.1	CARHR088400
OG0003206	XP_006407289.1	CARHR087360
OG0003207	XP_006407093.2	CARHR089470
OG0003208	XP_006406581.1	CARHR157630, CARHR283740, CARHR112470, CARHR094030
OG0003210	XP_006405814.1	CARHR214750
OG0003211	XP_024007816.1	CARHR004090
OG0003211	XP_024008652.1	CARHR010410
OG0003212	XP_006417840.1	CARHR006830
OG0003213	XP_006417690.1	CARHR008320, CARHR008310
OG0003214	XP_006392193.1	CARHR052940
OG0003214	XP_006417454.1	CARHR010700
OG0003215	XP_024008488.1	CARHR013030
OG0003216	XP_006394895.2	CARHR068650
OG0003216	XP_006417149.1	CARHR013530
OG0003217	XP_006395815.1, XP_006414755.1	CARHR144710
OG0003218	XP_006402095.1	CARHR257870
OG0003219	XP_006416183.1	CARHR022960, CARHR258050, CARHR022900, CARHR182150, CARHR182360
OG0003220	XP_006416176.1	CARHR023020
OG0003221	XP_006405969.2, XP_024008462.1	CARHR023270
OG0003221	XP_024011091.1	CARHR023250, CARHR178460
OG0003222	XP_006390791.1	CARHR064530
OG0003222	XP_006416142.1	CARHR023300
OG0003223	XP_006392073.1	CARHR052060
OG0003224	XP_006392255.1, XP_006392248.1	CARHR053490
OG0003225	XP_006414404.2	CARHR290630
OG0003226	XP_006393503.1	CARHR037600, CARHR037610
OG0003227	XP_006412243.1, XP_006409620.1	CARHR242480
OG0003228	XP_006412320.1	CARHR241810, CARHR241800
OG0003229	XP_024009934.1, XP_006415951.1	CARHR025230
OG0003230	XP_006413053.1	CARHR235330
OG0003231	XP_006395677.1	CARHR146250
OG0003231	XP_006395678.1	CARHR146130
OG0003233	XP_006414050.1, XP_006412012.2	CARHR244690
OG0003236	XP_006404709.1	CARHR113710
OG0003237	XP_006405699.2	CARHR263860
OG0003237	XP_006395249.1	CARHR153500
OG0003239	XP_024009675.1	CARHR150310
OG0003239	XP_006419042.1	CARHR150420, CARHR150390, CARHR150410, CARHR150350, CARHR150340
OG0003240	XP_006414196.1	CARHR181630, CARHR264030
OG0003247	XP_006418866.1	CARHR154930
OG0003248	XP_006404298.1	CARHR156820, CARHR156810
OG0003249	XP_024011145.1	CARHR175040, CARHR149580
OG0003250	XP_006400031.1	CARHR198170
OG0003251	XP_006399909.1	CARHR199320
OG0003252	XP_024006829.1	CARHR187430
OG0003253	XP_006414102.2	CARHR225270, CARHR224760
OG0003254	XP_006394086.1	CARHR293760
OG0003254	XP_006399518.1	CARHR203060
OG0003255	XP_006399516.1	CARHR203070
OG0003256	XP_006399505.1	CARHR203150
OG0003257	XP_006399446.1	CARHR203740
OG0003257	XP_006394147.1	CARHR278470
OG0003258	XP_006394168.1	CARHR278240
OG0003259	XP_006410033.1	CARHR123040
OG0003259	XP_024012276.1	CARHR207560
OG0003261	XP_006410160.1	CARHR124030
OG0003263	XP_006393272.1	CARHR039270, CARHR039280
OG0003266	XP_006415987.1	CARHR024910
OG0003267	XP_024007754.1	CARHR029800
OG0003267	XP_024007758.1	CARHR029790
OG0003269	XP_006394205.1	CARHR277980
OG0003270	XP_006394531.1	CARHR099960, CARHR274970
OG0003272	XP_024006884.1	CARHR146470
OG0003273	XP_006400804.1	CARHR190580
OG0003274	XP_006409163.1	CARHR108930
OG0003275	XP_006407263.1	CARHR087670
OG0003276	XP_006401077.1	CARHR272290
OG0003277	XP_006413168.1	CARHR234130
OG0003278	XP_024013777.1	CARHR158750
OG0003279	XP_006404117.1	CARHR158730
OG0003280	XP_006398767.1, XP_006408279.1	CARHR040500, CARHR210130
OG0003281	XP_006398673.1	CARHR012640
OG0003282	XP_006416104.1	CARHR023720
OG0003283	XP_024007040.1	CARHR115540
OG0003284	XP_024008512.1	CARHR074140
OG0003285	XP_006414041.1	CARHR225790
OG0003287	XP_006390012.1	CARHR022660, CARHR022600, CARHR022630
OG0003289	XP_006414628.1	CARHR221460
OG0003290	XP_024014922.1	CARHR098110
OG0003290	XP_024005684.1	CARHR221720
OG0003291	XP_006405990.2	CARHR047760
OG0003292	XP_024007889.1	CARHR025090
OG0003293	XP_006392979.2	CARHR042080
OG0003294	XP_006392860.1	CARHR043080
OG0003294	XP_006406957.1	CARHR090600
OG0003295	XP_024004616.1	CARHR225150
OG0003297	XP_006394298.1	CARHR277080
OG0003298	XP_006413952.1	CARHR226400
OG0003299	XP_006414750.1	CARHR009940
OG0003299	XP_006409296.1, XP_006401996.1	CARHR264060
OG0003300	XP_006391231.1	CARHR040310
OG0003301	XP_006403924.1	CARHR160970
OG0003302	XP_006397802.2	CARHR141460
OG0003303	XP_006411079.1	CARHR133290
OG0003303	XP_006403608.1	CARHR164080
OG0003305	XP_006414982.1, XP_006418635.1	CARHR218290
OG0003306	XP_024009710.1	CARHR102050
OG0003306	XP_006395200.1	CARHR183990
OG0003307	XP_024009275.1	CARHR060430
OG0003308	XP_006412720.1	CARHR109330
OG0003309	XP_006392672.1	CARHR044840
OG0003309	XP_006407185.1	CARHR088390
OG0003310	XP_024010517.1, XP_006393712.2	CARHR036040
OG0003311	XP_006397918.1	CARHR142630
OG0003312	XP_006390227.1	CARHR069720
OG0003313	XP_024016217.1	CARHR106690
OG0003313	XP_006412203.1	CARHR242940
OG0003314	XP_006408112.1	CARHR079420
OG0003314	XP_006394996.1	CARHR185710
OG0003315	XP_006394877.1	CARHR187050
OG0003316	XP_006400452.1	CARHR194020
OG0003317	XP_006407860.1	CARHR081830
OG0003317	XP_006395148.1	CARHR183250
OG0003318	XP_006406985.1	CARHR090330
OG0003319	XP_006406802.1	CARHR092090
OG0003319	XP_006414395.1	CARHR290700
OG0003320	XP_006393261.1	CARHR039400
OG0003321	XP_006412965.1	CARHR236100, CARHR240410
OG0003322	XP_006405701.1	CARHR264020
