Orthogroup	Eutrema_salsugineum	Arabidopsis_lyrata_Rawat
OG0000740	XP_006397430.1	AL1G49870
OG0000740	XP_006397240.1	AL6G41520
OG0000741	XP_006390443.1	AL2G34150
OG0000742	XP_006392967.2	AL1G60110
OG0000742	XP_006405667.1	AL6G36320, AL6G36500
OG0000743	XP_006391640.2	AL5G43830, AL5G44790, AL5G43650, AL5G29610, AL5G43690
OG0000744	XP_024010747.1	AL4G45050
OG0000745	XP_006412836.1	AL7G22910
OG0000745	XP_006413214.1	AL7G26760
OG0000745	XP_006408886.1	AL3G48560
OG0000746	XP_006397615.1	AL4G43380
OG0000746	XP_006391683.2	AL4G43370
OG0000747	XP_006414399.1	AL3G29700
OG0000747	XP_006396429.1	AL6G50900
OG0000747	XP_024008145.1	AL1G12150
OG0000749	XP_024014263.1	AL8G22690, AL7G42360, AL7G42980
OG0000750	XP_024004451.1	AL7G22510
OG0000751	XP_006396819.1, XP_006396668.1	AL1G54770
OG0000752	XP_006408437.1	AL3G11440
OG0000761	XP_006409640.1	AL5G20580
OG0000761	XP_006404177.1	AL5G28670
OG0000762	XP_006408308.2	AL3G13070
OG0000762	XP_006398844.1, XP_006418718.1	AL6G28550
OG0000763	XP_006399828.1	AL6G24000
OG0000763	XP_006399829.1	AL6G23990, AL6G23980
OG0000764	XP_006404680.1	AL4G11720
OG0000764	XP_024011737.1	AL6G20660
OG0000764	XP_006411777.2	AL7G12020
OG0000765	XP_024014404.1	nbis-gene-155
OG0000766	XP_006400774.1	AL6G33680
OG0000766	XP_024009551.1	AL5G22980
OG0000767	XP_006399163.1	AL6G17000
OG0000767	XP_006399162.1	AL6G16980
OG0000768	XP_024011858.1	AL6G14010
OG0000769	XP_006419173.1	AL5G20790
OG0000770	XP_006390246.1	AL2G36050
OG0000770	XP_006416417.1	AL7G10380
OG0000771	XP_006393864.1	AL8G44760
OG0000771	XP_006404009.1	AL5G30880
OG0000772	XP_024007679.1	AL2G25130
OG0000772	XP_024014757.1	AL7G52640
OG0000773	XP_006404833.1, XP_006404713.2	AL3G53950
OG0000774	XP_006413208.1	AL7G26650, AL5G11670
OG0000775	XP_006416392.2	AL1G33430
OG0000775	XP_006416396.1	AL1G33420
OG0000776	XP_006416328.1	AL1G34170, AL1G34180
OG0000777	XP_006409771.1, XP_006410728.1, XP_006402690.1	AL3G10900
OG0000781	XP_006409957.1	AL41U10020
OG0000781	XP_006409956.2	AL4G23670, AL41U10010
OG0000782	XP_006414783.1	AL7G42220
OG0000782	XP_006418018.1	AL1G15360
OG0000783	XP_024004116.1, XP_024004124.1	AL4G28640, AL4G28320
OG0000784	XP_006410518.2	AL4G29440
OG0000784	XP_006415682.1	AL1G41780
OG0000785	XP_006394567.1, XP_006394566.2	AL6G34140
OG0000786	XP_006400583.1	nbis-gene-1796, AL6G31710
OG0000787	XP_024011565.1	AL8G32720
OG0000787	XP_024004570.1	AL7G26830
OG0000787	XP_006403764.1	AL5G33610
OG0000788	XP_006412370.1	AL7G18240
OG0000788	XP_006398927.1	AL6G14380
OG0000789	XP_006410950.1, XP_006403658.1	AL4G34170
OG0000790	XP_006391196.1	AL2G26930
OG0000790	XP_024009125.1	AL2G26940
OG0000791	XP_024004031.1, XP_006397034.1	AL1G30130, AL4G15630, AL4G15510
OG0000792	XP_006392799.1	AL1G63830, AL1G62530, AL1G61860, nbis-gene-300
OG0000793	XP_006407030.1	AL3G27260
OG0000793	XP_006392801.2	AL1G61740
OG0000793	XP_024016817.1	AL4G41160
OG0000794	XP_006395357.2, XP_006395358.1	AL5G18140
OG0000795	XP_006415975.1	AL1G38760
OG0000795	XP_006395329.1	AL5G18680
OG0000796	XP_006395624.1	AL5G14380
OG0000796	XP_006417131.1	AL1G25080
OG0000796	XP_006415878.1	AL1G39810
OG0000797	XP_006404423.1	AL5G26220
OG0000797	XP_006404420.1	AL5G26290
OG0000799	XP_024006311.1	AL1G59900
OG0000799	XP_006392986.1	AL1G59880
OG0000800	XP_006414414.1, XP_024004574.1	AL9U12230
OG0000800	XP_024009651.1	AL3G42110
OG0000801	XP_024012880.1	AL5G45410
OG0000801	XP_024008656.1	AL1G12090
OG0000801	XP_006396418.1	nbis-gene-1664
OG0000802	XP_006408894.2	AL2G13260, AL5G36430
OG0000803	XP_006397555.1	AL4G42700
OG0000803	XP_006397556.1	AL4G42710
OG0000804	XP_006407695.1, XP_006407698.1, XP_006407697.1, XP_024010629.1	AL3G20370
OG0000805	XP_006407333.2	AL3G24100
OG0000805	XP_006407332.1	AL3G53960
OG0000805	XP_024015477.1	AL3G24070
OG0000807	XP_024014689.1, XP_006402716.2, XP_024012917.1, XP_024014538.1, XP_024013985.1	AL4G14610, AL4G15880, AL7G44420, AL8G20600, AL8G20540, AL2G10870, AL2G18670, AL6G35870, AL3G45010, AL4G19220, AL1G21610, AL4G17630, AL3G45870, AL7G35350, AL6G40740, AL6G42200, AL4G20210
OG0000808	XP_006397187.1, XP_006394267.1, XP_024012579.1	AL4G21270, AL8G27510, nbis-gene-2114, AL8G27490
OG0000812	XP_006404236.1	AL5G28020
OG0000813	XP_006405127.1	AL2G18730, AL2G18760
OG0000813	XP_006404711.1	AL2G23650, AL2G23660
OG0000815	XP_006394363.2, XP_006394372.1	AL8G39570, AL8G39540, AL8G39600, AL8G39590
OG0000816	XP_024005480.1	AL7G25670
OG0000816	XP_006392693.1	AL1G63050
OG0000817	XP_024012037.1	AL6G15700
OG0000817	XP_024014877.1	AL3G52710, AL3G22820
OG0000818	XP_006398605.1	AL6G10500
OG0000819	XP_006410809.1	AL4G32490
OG0000819	XP_024014511.1	AL7G47900
OG0000820	XP_024007130.1, XP_024007136.1	nbis-gene-1210
OG0000820	XP_024014197.1	AL5G14980, AL5G14970
OG0000821	XP_024016614.1	nbis-gene-2063
OG0000822	XP_006414312.1, XP_006391552.1	AL7G37320
OG0000823	XP_006403241.1	AL5G43440, AL2G27660
OG0000824	XP_006406417.1, XP_006406415.1	AL3G33860
OG0000826	XP_006417896.2	AL1G16660
OG0000827	XP_006392309.1	AL2G18370
OG0000827	XP_006417513.1	AL1G20570
OG0000828	XP_006415941.1	AL1G39100
OG0000828	XP_006417074.1	AL1G25790
OG0000828	XP_006391021.1, XP_024006243.1	AL2G28520
OG0000829	XP_024009737.1	AL2G20090, AL2G20110, AL2G20000
OG0000831	XP_006413674.1, XP_006411527.2, XP_024003689.1	AL7G31340
OG0000831	XP_024012922.1	AL5G40670
OG0000832	XP_006409908.1	AL4G23290
OG0000832	XP_006418896.1	AL5G25270
OG0000832	XP_006400977.1	AL8G35720
OG0000833	XP_006410035.1	nbis-gene-1037, nbis-gene-362
OG0000833	XP_006391444.1	nbis-gene-1615
OG0000834	XP_024010079.1	AL6G51960
OG0000834	XP_006418376.1	AL1G11450
OG0000835	XP_024016877.1	AL6G44660, nbis-gene-1375, AL6G44630
OG0000836	XP_006394843.1, XP_006394844.1	AL6G37910, AL6G37900
OG0000837	XP_006400722.1	AL6G33190, AL6G33150, AL6G33130
OG0000839	XP_006398743.1	AL6G12140
OG0000839	XP_006407657.1	AL3G20840
OG0000842	XP_024006180.1	AL1G57030
OG0000842	XP_006393230.1	AL1G57040
OG0000842	XP_006393229.1	AL1G57070
OG0000843	XP_006397860.1	AL4G46160
OG0000843	XP_006396326.1	AL6G52560
OG0000843	XP_006402430.1	AL5G44500
OG0000844	XP_006402996.2	AL5G37670
OG0000844	XP_006411327.1	AL4G38440, AL4G38360
OG0000845	XP_024010136.1, XP_006397064.1	AL6G44400
OG0000845	XP_006415123.2, XP_006415122.1	AL1G47490, AL1G47500
OG0000846	XP_006394872.1	AL6G38280
OG0000847	XP_024014392.1	AL7G49940
OG0000847	XP_024010861.1, XP_006413355.2	AL4G29550, AL4G11560
OG0000849	XP_006393054.1, XP_006400991.1	nbis-gene-2182, nbis-gene-422, nbis-gene-2050, nbis-gene-208
OG0000850	XP_024004105.1, XP_006392032.1, XP_006392043.1, XP_006392038.2	AL2G15160
OG0000851	XP_006411749.1	AL7G11490
OG0000851	XP_006404787.1	AL4G13060
OG0000852	XP_024011938.1	AL6G30130
OG0000857	XP_024007248.1, XP_006395944.1	AL5G23730
OG0000857	XP_006399621.2	AL2G19300, AL6G21840
OG0000858	XP_006403313.1	AL8G17760
OG0000859	XP_024011549.1	AL6G31960
OG0000860	XP_006400809.1	nbis-gene-1551
OG0000860	XP_006409144.2	nbis-gene-900, nbis-gene-2036, nbis-gene-2018
OG0000861	XP_006400813.1	AL8G37370
OG0000861	XP_006419072.1	AL5G23560
OG0000861	XP_006419073.1	AL5G23550
OG0000863	XP_006389877.1	AL2G40190
OG0000863	XP_006407295.1	AL3G24470
OG0000864	XP_006414545.1, XP_006414543.1	AL8G20140
OG0000865	XP_006419014.1	AL5G24340, AL5G24290
OG0000867	XP_006398418.1	AL8G10820
OG0000867	XP_006414219.1	AL7G37100
OG0000868	XP_006404055.1	AL5G30240
OG0000868	XP_006404052.2	AL5G30320
OG0000870	XP_024013003.1	AL5G37560
OG0000870	XP_006398924.1, XP_006407536.1	AL2G23950
OG0000871	XP_006410935.1	AL4G33940, AL4G33980
OG0000871	XP_006403665.1	AL5G34640
OG0000872	XP_006404233.1	AL8G14980, AL4G17120
OG0000872	XP_006397623.1	AL4G43460
OG0000873	XP_024015296.1	AL3G16050, AL3G16000, AL304U10040, AL304U10020
OG0000873	XP_024008100.1	AL3G17210, AL3G17230, AL1G13260
OG0000874	XP_006417119.1	AL1G25240
OG0000874	XP_006417117.1	AL1G25270
OG0000874	XP_006417118.1	AL1G25260
OG0000875	XP_006415126.1	AL1G47390
OG0000876	XP_006392015.1, XP_006392012.1, XP_024013461.1, XP_006392018.1, XP_024005254.1, XP_024005349.1, XP_006392258.2	AL2G15010, AL2G15000
OG0000882	XP_006417281.2	nbis-gene-73
OG0000882	XP_006415337.1	AL1G49690, AL4G31710
OG0000884	XP_006401530.1, XP_024011191.1	AL8G30260
OG0000884	XP_024011192.1, XP_006401532.1	AL5G20200
OG0000886	XP_006397906.1	AL4G46670
OG0000887	XP_006397441.2	AL1G50120
OG0000887	XP_024010654.1	AL1G50220
OG0000889	XP_006413756.1	AL7G32420
OG0000889	XP_024005216.1	AL7G32430
OG0000889	XP_006413755.1	AL7G32400
OG0000890	XP_006408213.1	AL3G14180
OG0000890	XP_006400383.1	AL6G29610
OG0000893	XP_006418749.1	AL6G22010, AL6G22040
OG0000894	XP_006404777.1	AL4G12890
OG0000894	XP_006393937.1	AL8G43950
OG0000894	XP_006404079.1	AL5G30060
OG0000895	XP_024011492.1	AL6G32420
OG0000895	XP_024005093.1	AL7G36470
OG0000896	XP_006403429.1	nbis-gene-1374, nbis-gene-1372, nbis-gene-773, nbis-gene-1368, nbis-gene-1367, nbis-gene-1373
OG0000897	XP_006399134.1	AL6G16690
OG0000897	XP_024015794.1	AL3G23490
OG0000898	XP_006399001.1, XP_006398977.1	AL6G15270
OG0000898	XP_006407498.1	AL3G22380
OG0000900	XP_006405575.1, XP_006405576.1	AL7G50140, AL7G50150
OG0000901	XP_006408228.1	AL5G37100, AL5G36880
OG0000902	XP_006415855.1	AL1G40040
OG0000903	XP_006412858.1	AL7G23180, nbis-gene-992, AL7G23190
OG0000903	XP_006412859.1	AL7G23200
OG0000904	XP_006406535.1	AL3G32500
OG0000904	XP_006393234.1	AL1G56970
OG0000905	XP_024004745.1	AL7G34640
OG0000906	XP_006413487.1	AL7G29330
OG0000907	XP_006408555.1	AL3G10260
OG0000907	XP_006395185.1	AL3G10250
OG0000907	XP_006397604.1	AL4G43220
OG0000908	XP_006402781.1	AL5G40270
OG0000908	XP_006411507.1	AL4G41040
OG0000911	XP_006411736.1	AL7G11320
OG0000911	XP_006404632.1	AL4G11010
OG0000912	XP_006408052.1	AL3G16220
OG0000912	XP_024007586.1	AL6G39090
OG0000913	XP_006405765.1	AL7G52090
OG0000913	XP_006400137.1	AL6G26930
OG0000913	XP_006408411.1	AL3G11880
OG0000914	XP_006396305.2	AL6G52290
OG0000914	XP_006418419.1	AL1G11030, AL1G11060
OG0000915	XP_024008398.1	AL1G11420, AL8G10250
OG0000915	XP_006408740.1	AL6G52650
OG0000916	XP_006409385.2	AL1G24890
OG0000917	XP_006416199.1	AL1G35960
OG0000917	XP_006416200.1	AL1G35950
OG0000918	XP_024010354.1	AL7G53050
OG0000920	XP_006413618.1	AL1G67480, AL1G67450
OG0000920	XP_024012370.1	AL5G14680
OG0000923	XP_006404313.1	AL5G27270
OG0000923	XP_006394362.1	AL8G39660
OG0000924	XP_006416032.1	AL1G37870
OG0000924	XP_006400152.2	AL6G27070
OG0000925	XP_006394749.2	AL6G36650
OG0000925	XP_006399573.1	AL6G21310
OG0000926	XP_006399530.1	AL9U11150, AL6G20860
OG0000927	XP_006410032.1	AL4G24470
OG0000927	XP_006399030.1	AL6G15630
OG0000928	XP_006410167.1	AL4G25510
OG0000928	XP_006417883.1	AL1G16770
OG0000929	XP_006417891.1	AL1G16710
OG0000929	XP_006410175.1	AL4G25640
OG0000930	XP_006419103.1	nbis-gene-1550
OG0000930	XP_024011430.1	AL6G33710
OG0000931	XP_006418894.1	AL5G25290
OG0000931	XP_006400976.1	AL8G35730
OG0000932	XP_024005464.1	AL7G24550
OG0000932	XP_024008320.1	AL1G35970
OG0000933	XP_006401192.1	nbis-gene-172, AL8G33570, AL8G33590, AL8G30980
OG0000934	XP_006401225.1	AL8G33210
OG0000935	XP_006401456.1, XP_006414126.1	AL8G30970, AL8G30990
OG0000936	XP_006412067.1	AL7G15370
OG0000938	XP_006389989.1	AL2G38750, AL60U10060
OG0000938	XP_006407077.1	AL3G26800
OG0000939	XP_006403044.2	AL1G50820
OG0000939	XP_006416221.1	AL1G35650
OG0000940	XP_006413016.1	AL7G24740
OG0000942	XP_006412513.1	nbis-gene-1731, nbis-gene-1733
OG0000943	XP_006404045.1	AL5G30400
OG0000943	XP_006404046.2	AL5G30390
OG0000944	XP_006404050.1	AL5G30340
OG0000947	XP_006397982.1	AL39U10040, AL4G47460
OG0000947	XP_006402322.1	AL5G45740
OG0000948	XP_006409033.1, XP_006396057.2	AL5G38730
OG0000949	XP_006411174.1	AL4G36850, AL463U10020
OG0000950	XP_006414387.1	AL7G39010
OG0000951	XP_006412056.1	AL7G15240
OG0000951	XP_006396145.1	AL3G43220, AL7G44430, AL3G43150
OG0000952	XP_006391084.1	AL1G20030
OG0000952	XP_006417567.1	AL1G20020
OG0000954	XP_024014397.1	AL3G13020
OG0000955	XP_006417089.1	AL1G25580, AL6G39170
OG0000956	XP_024012622.1	AL7G23390, AL2G29360
OG0000957	XP_006411756.2	AL7G11790
OG0000957	XP_006411757.1	AL7G11800
OG0000959	XP_024004752.1, XP_024016550.1, XP_024004597.1	AL2G11410, AL2G10960, AL2G12150, AL2G12180
OG0000959	XP_006391979.2	AL2G11610
OG0000962	XP_006395663.1	AL5G13750
OG0000963	XP_006399999.1	AL6G25630
OG0000963	XP_006409382.1	AL3G49610, AL3G49630
OG0000965	XP_006413288.1	AL7G27460
OG0000965	XP_006401819.2, XP_024012230.1	AL8G26910
OG0000966	XP_006404190.1	AL5G28530
OG0000966	XP_006394649.1	AL6G35210
OG0000967	XP_006394800.1, XP_006406671.1	AL6G37260, AL6G37270
OG0000968	XP_006400878.1	AL8G36730, AL8G36740
OG0000968	XP_024012341.1	AL8G36750
OG0000970	XP_006395398.1	AL5G17330
OG0000970	XP_006395399.1	AL5G17260
OG0000971	XP_006398285.1	AL8G12460
OG0000972	XP_024010221.1	AL7G42890
OG0000973	XP_006414216.1, XP_006398417.1	AL8G10830
OG0000974	XP_006407764.1, XP_006403036.1	AL3G19500
OG0000974	XP_006407470.1	AL3G22660
OG0000975	XP_006410988.1	AL4G34840
OG0000975	XP_006403634.1	AL5G34950
OG0000976	XP_024012034.1	AL8G26450
OG0000977	XP_024006557.1, XP_006410142.1	nbis-gene-893
OG0000977	XP_024014470.1	nbis-gene-875
OG0000978	XP_006408143.1, XP_006412198.1	AL7G16530
OG0000979	XP_006415145.2, XP_024004175.1, XP_006411326.1, XP_006411314.1	AL1G12990, AL1G13550
OG0000980	XP_006395267.1, XP_006390880.1	AL5G19700, AL5G19780
OG0000982	XP_024008022.1	AL1G24370, AL1G24290, AL4G42070
OG0000983	XP_006408405.1	AL3G11930
OG0000984	XP_006408433.1	AL3G11480
OG0000985	XP_006408669.1	AL4G20610
OG0000985	XP_006406351.1	AL3G34690
OG0000986	XP_006410286.1	AL4G26770
OG0000987	XP_006401834.1	AL8G26770
OG0000987	XP_024005825.1	AL7G27500
OG0000988	XP_024005577.1	AL7G26600
OG0000989	XP_006411427.1	AL4G39730
OG0000990	XP_024006812.1	nbis-gene-2193
OG0000992	XP_024012164.1	nbis-gene-1481
OG0000993	XP_006407680.2	AL3G20560
OG0000994	XP_006416878.1	AL1G27950
OG0000994	XP_006389815.1	AL2G40840
OG0000995	XP_006391159.1	AL2G27110
OG0000996	XP_024009387.1, XP_024010555.1, XP_024009385.1, XP_024009386.1, XP_024009574.1, XP_006418957.2, XP_006419000.2	AL5G24880, AL5G24500, AL5G24440
OG0000996	XP_024009394.1	AL5G24890
OG0000997	XP_006415877.1	AL1G39820
OG0000998	XP_006409247.2	AL3G50780
OG0000998	XP_024005340.1	AL7G15150
OG0000999	XP_006393174.2	AL1G57810
OG0001000	XP_006403788.1	AL4G32270
OG0001001	XP_006410817.1	AL4G32560
OG0001001	XP_006403753.1	AL5G33700
OG0001002	XP_006406103.1	AL3G37410
OG0001002	XP_006414692.2	AL7G41560
OG0001003	XP_006405831.1, XP_006405830.1	AL7G46710
OG0001003	XP_006405829.1	AL7G46720
OG0001004	XP_006395186.2	AL8G21230
OG0001005	XP_006398367.1	AL8G11640
OG0001005	XP_006414175.1	AL7G36620
OG0001007	XP_006413813.1	AL7G32960
OG0001007	XP_006396608.1	AL6G48940
OG0001008	XP_006391934.1	AL5G22460, AL5G22450, AL5G22430
OG0001009	XP_006403459.1	AL5G36580
OG0001009	XP_006411190.1	AL4G37050
OG0001010	XP_024005493.1	AL7G23090
OG0001010	XP_024016000.1	AL3G48470
OG0001011	XP_006394901.1	AL6G38560
OG0001011	XP_006408019.1	AL3G16610
OG0001012	XP_006413046.1	AL7G25010
OG0001012	XP_024012470.1	AL8G29290
OG0001012	XP_006401614.1	AL8G29300
OG0001013	XP_024011652.1	AL6G30350
OG0001013	XP_006407971.1	AL3G17050
OG0001014	XP_006414521.2	AL7G40220
OG0001014	XP_024005625.1, XP_024005627.1	AL5G19930
OG0001015	XP_024016056.1	AL3G48290, AL3G48310
OG0001015	XP_006408908.1	AL3G48270
OG0001016	XP_006417596.1	AL1G19700, AL1G19690
OG0001016	XP_006392436.1	AL1G66020
OG0001017	XP_006416118.1	AL1G36840
OG0001017	XP_006390841.1	AL2G30210
OG0001018	XP_006412136.1, XP_006412135.1	AL7G15970
OG0001019	XP_006391639.1	AL3G34230, AL3G34220, AL5G43820, AL5G43680, AL5G44780, AL73U10010, AL5G29530, AL5G44690
OG0001020	XP_024014347.1, XP_024014339.1	AL2G18040, AL2G18020, AL2G18600, AL1G61790, AL2G17380, AL2G17360, nbis-gene-432, AL2G18580
OG0001021	XP_006393900.1	AL8G44350
OG0001022	XP_024014859.1, XP_024016180.1	AL8G20010
OG0001031	XP_006399976.2	AL6G25400
OG0001031	XP_024006212.1	AL6G26240
OG0001032	XP_006399610.1	AL6G21720
OG0001032	XP_024006755.1	AL6G36970
OG0001033	XP_006414624.2	AL4G24980
OG0001033	XP_024003736.1	AL4G24960
OG0001034	XP_024009644.1, XP_006410439.2, XP_024003881.1	AL4G27730
OG0001034	XP_006418046.1	AL1G15050
OG0001035	XP_006404586.1	AL4G10570, AL4G10580
OG0001036	XP_006415528.1	AL5G24300, AL1G43830
OG0001037	XP_024014094.1	AL4G12270
OG0001037	XP_006410675.2	AL4G31180
OG0001038	XP_006395339.1	AL5G18530
OG0001038	XP_006395338.1	AL5G18560
OG0001039	XP_006394673.1	AL6G35540, AL6G35550
OG0001040	XP_006410101.1	AL4G11160, AL4G11150, AL4G11480
OG0001041	XP_024011180.1	nbis-gene-2151, AL8G32090
OG0001042	XP_006404210.1	AL5G24020, AL5G28380
OG0001042	XP_006402040.1	AL8G25110
OG0001044	XP_006407564.1	AL3G21860
OG0001044	XP_006398898.1	AL6G14020
OG0001045	XP_006390081.1	AL2G37710
OG0001045	XP_006416267.1	AL1G34950
OG0001046	XP_006416338.1	AL1G34080
OG0001046	XP_006390172.1	AL2G36740
OG0001047	XP_006416446.1	AL1G32700
OG0001047	XP_006390275.1	AL2G35750
OG0001048	XP_024012626.1, XP_024010443.1	AL4G41290
OG0001049	XP_006392744.1	AL1G62550
OG0001050	XP_006405926.1, XP_006405985.1	AL4G17170
OG0001051	XP_006402192.1	AL8G24040
OG0001052	XP_006398273.1	AL8G12680
OG0001052	XP_006414083.1	AL7G35670
OG0001053	XP_006406942.1, XP_006406941.1	AL3G28290
OG0001054	XP_006409392.1	AL3G49510
OG0001054	XP_024005704.1	AL7G16180
OG0001056	XP_006403453.2	AL5G36650
OG0001056	XP_006411198.1	AL4G37130
OG0001057	XP_006418614.1	AL3G41690, AL7G50560
OG0001058	XP_006413108.1	AL7G25710
OG0001059	XP_006410909.1	AL4G33650
OG0001059	XP_006407392.1	AL3G23530
OG0001060	XP_006408150.2	AL4G14760
OG0001060	XP_006390664.2, XP_006390668.1	AL2G32050
OG0001062	XP_024015492.1	AL3G30300
OG0001064	XP_006391393.1	AL2G24140, AL2G24160, AL2G24170
OG0001065	XP_006396209.1	AL6G53400
OG0001065	XP_006397710.1	AL4G44410
OG0001066	XP_006417053.1	AL1G26000
OG0001066	XP_006417054.1	AL1G25990
OG0001067	XP_024004264.1	AL2G30030
OG0001067	XP_006416103.1	AL1G37070
OG0001069	XP_006391959.1	AL2G14270
OG0001070	XP_006398072.1	AL66U10010, AL8G15230
OG0001071	XP_006393288.1	AL1G56090, AL1G56080
OG0001071	XP_006393294.1, XP_006393289.1	AL1G56070
OG0001073	XP_006398894.2	nbis-gene-1760
OG0001073	XP_006408689.1	nbis-gene-1628
OG0001076	XP_006400346.2	AL6G29160
OG0001076	XP_024010362.1	AL6G42950
OG0001077	XP_024004758.1	nbis-gene-1820
OG0001077	XP_024014362.1	AL7G52530, AL7G52540
OG0001078	XP_006396532.1	AL6G49890
OG0001078	XP_006396533.1	AL3G46690, AL6G49880
OG0001079	XP_006403560.1	AL5G35620
OG0001079	XP_006404525.1	AL3G43140
OG0001080	XP_006414498.1	AL7G40020
OG0001080	XP_006414502.1	AL7G40030, AL7G40050
OG0001081	XP_006390290.1	AL2G35570
OG0001081	XP_006416459.1, XP_006414980.1	AL1G32560
OG0001082	XP_006404428.2	AL3G48700, AL1G43670, AL5G26800
OG0001082	XP_006404362.1	AL5G26850
OG0001085	XP_024005508.1	AL7G35590
OG0001085	XP_006414930.2	AL9U10340
OG0001086	XP_006418835.1	AL3G38710
OG0001087	XP_006414407.2	AL7G39260
OG0001087	XP_006406812.1	AL3G29650
OG0001088	XP_006404792.2, XP_006404806.1, XP_006404801.1	AL4G13140
OG0001088	XP_006404807.1	AL4G13150
OG0001089	XP_006409417.2	AL5G18250
OG0001090	XP_006395516.1, XP_006395515.1	AL5G15810, AL5G15800, AL5G15770
OG0001091	XP_006390946.1	AL22U10050
OG0001092	XP_006398201.2	AL8G13930, AL8G13950
OG0001092	XP_006398177.2	AL378U10020, AL8G13880
OG0001094	XP_006392900.1	AL1G60880
OG0001095	XP_006414136.1	AL7G36230
OG0001095	XP_006414135.1	AL7G36220
OG0001096	XP_006417552.1	AL1G20180
OG0001096	XP_006392370.1	AL1G67420
OG0001097	XP_006402700.1	AL5G41190
OG0001097	XP_024012897.1	AL5G41200
OG0001098	XP_006410902.1	AL4G33590
OG0001098	XP_006403686.1	AL5G34380
OG0001099	XP_006418729.1	AL3G40090
OG0001101	XP_024004177.1, XP_006411369.1	AL4G38850
OG0001102	XP_024010114.1	AL6G48250
OG0001102	XP_024009987.1	AL6G48240
OG0001103	XP_006394905.1	AL6G38620
OG0001103	XP_006408022.1	AL3G16590
OG0001104	XP_006408111.1	AL3G15490
OG0001104	XP_024015475.1	AL3G15300
OG0001105	XP_006407926.1	AL3G17670
OG0001105	XP_024015168.1	AL3G17690, AL3G17680
OG0001106	XP_006407561.1, XP_006407563.1	AL3G21880, AL3G21870
OG0001107	XP_006393330.1	AL1G55750
OG0001107	XP_024015462.1	AL3G31920
OG0001111	XP_006393431.1	AL1G54940
OG0001111	XP_006406715.1	AL3G30650
OG0001112	XP_024005097.1	AL7G37560
OG0001112	XP_006412051.1	AL7G15210
OG0001113	XP_024015300.1	nbis-gene-557
OG0001115	XP_006404078.1, XP_006404073.1, XP_006404063.1, XP_006404075.1, XP_006404076.1, XP_006404077.1	AL5G30120, AL5G30140
OG0001120	XP_006410355.1	AL4G27610
OG0001120	XP_006410353.1	AL4G27600
OG0001121	XP_006399834.1, XP_006399835.1	AL6G24060, AL6G24050
OG0001122	XP_006394009.1	AL112U10010, AL8G43190
OG0001122	XP_024012414.1	AL6G21060
OG0001123	XP_006399541.1	AL6G20950
OG0001123	XP_024006938.1	AL8G43000
OG0001124	XP_006409965.1, XP_006409963.1, XP_006409962.2	AL4G23750, AL4G23700, AL4G23760, AL41U10040
OG0001125	XP_024004123.1	AL4G28550
OG0001127	XP_024008558.1, XP_006415633.1	AL1G42290, AL1G42280, AL1G42270
OG0001128	XP_006391152.1	AL2G27140
OG0001129	XP_006415326.1	AL1G49600
OG0001129	XP_006410723.1	AL4G31680
OG0001130	XP_006400515.1	AL6G31060
OG0001131	XP_006413134.1	AL6G48850, AL7G26000
OG0001131	XP_006401487.1, XP_006401485.1	AL8G30690
OG0001132	XP_006407545.1	AL3G21970
OG0001132	XP_006398914.1	AL6G14190
OG0001133	XP_024012411.1	AL6G13340
OG0001134	XP_006407635.1	AL3G21040
OG0001134	XP_006398773.1	AL6G12610
OG0001135	XP_024006553.1	AL2G24510
OG0001136	XP_006405310.1	AL7G47490
OG0001136	XP_024005839.1	AL8G12490, AL3G24970
OG0001137	XP_024016299.1	AL8G24280, AL1G60500
OG0001137	XP_006389848.1	AL2G40450
OG0001139	XP_006389951.1	AL2G39280
OG0001140	XP_006390167.1	AL2G36790
OG0001140	XP_006390168.1	AL4G37320, AL2G36780
OG0001141	XP_006395812.1	AL5G11310
OG0001141	XP_006416997.1	AL1G26550
OG0001142	XP_006416121.1	AL1G36800
OG0001142	XP_006390837.1	AL2G30250
OG0001143	XP_006416492.1	AL1G32300
OG0001143	XP_006390325.1	AL2G35200
OG0001144	XP_006392632.1	AL1G63540
OG0001144	XP_006407218.1	AL3G25350
OG0001145	XP_006390579.1	AL2G33000
OG0001145	XP_006416658.1	AL1G30240
OG0001146	XP_006412949.1	AL7G24080
OG0001147	XP_006391682.2	nbis-gene-367, AL6G43560
OG0001148	XP_006395251.1	AL5G20100
OG0001148	XP_006405697.1	AL7G51620
OG0001149	XP_006414148.1	AL8G11980
OG0001149	XP_006398337.1	nbis-gene-1822
OG0001150	XP_006402462.2	AL5G44020
OG0001150	XP_006397817.1	AL4G45610
OG0001151	XP_024010812.1	AL4G44210
OG0001151	XP_006402568.1	AL5G42890
OG0001152	XP_006397512.1, XP_006402678.1	AL5G41470
OG0001153	XP_006402998.1	AL5G37650
OG0001153	XP_024016664.1	AL4G38370
OG0001154	XP_006404615.1	AL4G10800
OG0001154	XP_006411724.1	AL7G11190
OG0001156	XP_006408135.1, XP_006395007.1	AL6G40370
OG0001157	XP_006418589.2, XP_006397866.1	AL4G46230
OG0001157	XP_006397865.1	AL4G46210
OG0001158	XP_024009342.1	AL5G25710
OG0001160	XP_006400366.1	AL6G29390
