Orthogroup	Eutrema_salsugineum	Euclidium_syriacum
OG0001713	XP_006397521.2, XP_024010704.1	ESY12_g51455_DN3_SP0_c0.t1
OG0001714	XP_006408477.1, XP_006408478.1	ESY3_g32588_DN3_SP0_c93.t1
OG0001715	XP_006408326.1, XP_006409226.2	ESY3_g32349_DN3_SP0_c0.t1
OG0001715	XP_006408327.2	ESY3_g32348_DN3_SP0_c0.t1
OG0001716	XP_006417664.1	ESY5_g3162_DN3_SP5_c0.t1
OG0001716	XP_006408182.1	ESY3_g32010_DN3_SP8_c0.t1
OG0001717	XP_006406818.1	ESY3_g29909_DN3_SP0_c0.t1
OG0001717	XP_006408060.2	ESY3_g31692_DN3_SP1_c0.t1
OG0001719	XP_006407963.1	ESY3_g31553_DN3_SP8_c0.t1
OG0001719	XP_006400443.1	ESY7_g16943_DN3_SP8_c0.t1
OG0001720	XP_006407951.1	ESY3_g31534_DN3_SP8_c0.t1
OG0001720	XP_006400411.1	ESY7_g17011_DN3_SP8_c0.t1
OG0001721	XP_006407943.1, XP_006407942.1	ESY3_g31525_DN3_SP0_c0.t1
OG0001722	XP_006400861.1	ESY3_g31426_DN3_SP8_c0.t1
OG0001723	XP_024015131.1	ESY3_g31468_DN3_SP7_c0.t1
OG0001723	XP_006395133.2	ESY15_g64405_DN3_SP7_c0.t1
OG0001724	XP_006397289.1	ESY19_g41777_DN3_SP5_c0.t1
OG0001724	XP_006407636.1	ESY3_g30991_DN3_SP8_c0.t1
OG0001725	XP_006404885.1	ESY8_g59516_DN3_SP8_c0.t1
OG0001725	XP_006407442.1	ESY7_g16295_DN2_SP0_c0.t1
OG0001726	XP_006406666.1	ESY3_g29729_DN3_SP8_c0.t1
OG0001726	XP_006393387.2	ESY2_g37976_DN3_SP8_c0.t1
OG0001727	XP_006406620.1	ESY3_g29690_DN3_SP2_c0.t1
OG0001727	XP_024006229.1	ESY2_g37928_DN3_SP0_c0.t1
OG0001728	XP_006413006.1	ESY4_g23867_DN3_SP8_c0.t1
OG0001728	XP_006401767.1	ESY6_g47126_DN3_SP8_c0.t1
OG0001729	XP_024013489.1	ESY1_g10096_DN3_SP0_c0.t1, ESY1_g10154_DN3_SP0_c0.t1
OG0001730	XP_006418421.1	ESY5_g5482_DN3_SP0_c0.t1
OG0001730	XP_006396302.1	ESY20_g13032_DN3_SP0_c0.t1
OG0001731	XP_006396306.1, XP_006418418.1	ESY5_g5479_DN3_SP3_c0.t1
OG0001732	XP_006396393.1	ESY20_g13164_DN2_SP0_c0.t1
OG0001732	XP_006418349.1	ESY5_g5350_DN3_SP0_c0.t1
OG0001733	XP_006396421.1	ESY20_g13192_DN3_SP0_c21.t1
OG0001734	XP_006392338.1	ESY2_g34124_DN3_SP8_c12.t1
OG0001734	XP_006417535.1	ESY5_g3365_DN3_SP8_c0.t1
OG0001735	XP_006392092.1	ESY2_g33922_DN3_SP5_c0.t1
OG0001735	XP_006417401.1	ESY5_g3574_DN3_SP8_c0.t1
OG0001736	XP_006392026.1	ESY2_g33871_DN3_SP8_c0.t1
OG0001736	XP_006417383.1	ESY5_g3615_DN3_SP8_c0.t1
OG0001737	XP_024005319.1	ESY16_g61538_DN3_SP0_c0.t1
OG0001737	XP_024008383.1	ESY5_g3741_DN3_SP4_c0.t1
OG0001738	XP_006391856.1, XP_006417266.1	ESY5_g3764_DN3_SP0_c0.t1
OG0001739	XP_024008364.1, XP_006417155.1	ESY5_g2588_DN3_SP0_c0.t1
OG0001740	XP_006390822.1, XP_006416127.1	ESY2_g35625_DN3_SP8_c0.t1
OG0001741	XP_006411834.1	ESY4_g26625_DN3_SP8_c0.t1
OG0001741	XP_006390781.1	ESY15_g64992_DN3_SP8_c0.t1
OG0001742	XP_006390872.2	ESY2_g35576_DN3_SP7_c0.t1
OG0001742	XP_006416094.2	ESY5_g2077_DN3_SP6_c0.t1
OG0001745	XP_006411773.1	ESY4_g26717_DN3_SP7_c0.t1
OG0001745	XP_006404674.2	ESY8_g59719_DN3_SP2_c0.t1
OG0001746	XP_006404700.1	ESY8_g59696_DN3_SP2_c0.t1
OG0001746	XP_006411810.1	ESY4_g26644_DN3_SP1_c0.t1
OG0001747	XP_006411873.1	ESY4_g26541_DN3_SP8_c0.t1
OG0001747	XP_006404772.1	ESY8_g59623_DN3_SP6_c0.t1
OG0001748	XP_024015049.1	ESY3_g29315_DN3_SP8_c0.t1
OG0001748	XP_024006005.1	ESY2_g37478_DN3_SP7_c0.t1
OG0001750	XP_024014544.1	ESY4_g24934_DN3_SP0_c0.t1
OG0001751	XP_024005882.1	ESY4_g24783_DN3_SP0_c0.t1
OG0001751	XP_024007881.1	ESY3_g32524_DN3_SP0_c0.t1
OG0001755	XP_006404477.1, XP_006419088.1	ESY9_g42673_DN3_SP0_c0.t1, ESY9_g45144_DN3_SP0_c0.t1
OG0001755	XP_006419089.1	ESY10_g14173_DN3_SP0_c0.t1, ESY3_g30332_DN2_SP0_c0.t1
OG0001756	XP_024005153.1, XP_024005841.1	ESY2_g38894_DN3_SP0_c36.t1
OG0001758	XP_024014739.1	ESY7_g16249_DN2_SP0_c100.t1
OG0001760	XP_024006516.1, XP_006419107.2, XP_024004835.1, XP_024014037.1, XP_024014408.1, XP_024004784.1, XP_024013399.1, XP_024013970.1, XP_006391123.2, XP_024015915.1, XP_006395900.2, XP_024014506.1, XP_006415492.2, XP_024004793.1, XP_024013217.1, XP_024014260.1, XP_024011344.1, XP_024009408.1, XP_024016522.1, XP_024005931.1, XP_024014483.1, XP_024005006.1, XP_024013921.1, XP_024013988.1, XP_024013998.1, XP_024011411.1, XP_024016523.1, XP_024010689.1, XP_024009968.1, XP_024009925.1, XP_024013170.1, XP_024010289.1, XP_024009321.1, XP_024009375.1, XP_006408802.2, XP_024004931.1, XP_024014350.1, XP_024009298.1, XP_024006595.1, XP_024014487.1, XP_024013045.1	ESY9_g44399_DN3_SP0_c0.t1, ESY10_g14066_DN3_SP0_c0.t1
OG0001763	XP_006400003.2, XP_006400295.1	ESY7_g17152_DN3_SP6_c0.t1
OG0001764	XP_006400214.1, XP_006408361.1	ESY7_g17259_DN3_SP0_c9.t1
OG0001765	XP_006400180.2	ESY7_g17303_DN3_SP8_c0.t1
OG0001765	XP_024014833.1	ESY3_g32442_DN3_SP8_c0.t1
OG0001766	XP_006400171.1	ESY7_g17317_DN3_SP0_c0.t1
OG0001768	XP_006390898.1	ESY2_g35537_DN3_SP8_c18.t1
OG0001769	XP_006408539.1	ESY3_g32653_DN3_SP0_c0.t1
OG0001769	XP_006399949.1	ESY7_g17621_DN3_SP0_c0.t1
OG0001770	XP_006389810.1	ESY2_g36596_DN3_SP8_c0.t1
OG0001770	XP_006399931.1	ESY7_g17642_DN3_SP8_c0.t1
OG0001771	XP_024009921.1	ESY11_g54758_DN3_SP0_c0.t1, ESY20_g13247_DN3_SP0_c0.t1, ESY11_g54769_DN3_SP0_c0.t1
OG0001771	XP_006415318.1	ESY16_g61881_DN3_SP0_c0.t1
OG0001772	XP_006399552.1	ESY7_g18057_DN3_SP8_c0.t1
OG0001772	XP_006394007.1	ESY6_g50474_DN3_SP7_c0.t1
OG0001773	XP_024007549.1	ESY6_g50506_DN3_SP0_c0.t1
OG0001774	XP_006399289.1	ESY7_g18632_DN3_SP0_c0.t1
OG0001774	XP_006394544.1	ESY6_g49567_DN3_SP4_c0.t1
OG0001775	XP_006399244.1	ESY7_g18566_DN3_SP0_c0.t1
OG0001775	XP_006394491.1	ESY6_g49481_DN3_SP0_c0.t1
OG0001776	XP_006418254.1	ESY5_g5202_DN3_SP0_c0.t1
OG0001776	XP_006396512.1	ESY8_g58346_DN3_SP0_c0.t1, ESY20_g13322_DN3_SP0_c0.t1
OG0001777	XP_006417796.1	ESY5_g4508_DN3_SP8_c0.t1
OG0001777	XP_006409951.1	ESY8_g58826_DN3_SP8_c0.t1
OG0001778	XP_006409985.1	ESY8_g58791_DN3_SP8_c0.t1
OG0001778	XP_006417806.1	ESY5_g4524_DN3_SP8_c0.t1
OG0001779	XP_006410014.1	ESY8_g58762_DN3_SP6_c0.t1
OG0001779	XP_006417809.1	ESY5_g4539_DN3_SP8_c0.t1
OG0001780	XP_006417853.2	ESY5_g4588_DN3_SP8_c0.t1
OG0001780	XP_006410089.1	ESY8_g58687_DN3_SP8_c0.t1
OG0001781	XP_006417951.2	ESY5_g4706_DN3_SP0_c0.t1
OG0001781	XP_024003913.1	ESY8_g58543_DN3_SP1_c0.t1
OG0001782	XP_006410460.1, XP_006410461.1	ESY20_g12802_DN3_SP6_c0.t1
OG0001783	XP_006403140.1	ESY8_g58172_DN3_SP8_c0.t1
OG0001783	XP_006418189.1	ESY5_g5156_DN3_SP4_c0.t1
OG0001784	XP_006413326.1	ESY13_g56757_DN3_SP8_c0.t1
OG0001784	XP_006401971.1	ESY6_g46333_DN3_SP3_c0.t1
OG0001785	XP_006401881.1	ESY6_g46664_DN3_SP7_c0.t1
OG0001786	XP_006413301.1	ESY11_g54640_DN3_SP0_c0.t1
OG0001787	XP_006403316.1	ESY1_g6183_DN3_SP0_c0.t1
OG0001787	XP_006393674.1	ESY4_g25071_DN3_SP0_c0.t1
OG0001788	XP_024008001.1, XP_024013175.1	ESY1_g5960_DN3_SP0_c0.t1
OG0001789	XP_024008208.1	ESY4_g23650_DN3_SP8_c0.t1
OG0001789	XP_006410614.2	ESY1_g5701_DN3_SP8_c0.t1
OG0001792	XP_024006916.1	ESY6_g49799_DN3_SP0_c0.t1
OG0001792	XP_006404302.1	ESY1_g8981_DN2_SP0_c0.t1
OG0001793	XP_006415785.1, XP_006415784.1	ESY13_g57895_DN3_SP0_c0.t1, ESY13_g57899_DN3_SP0_c0.t1
OG0001794	XP_006393558.2, XP_024006326.1	ESY6_g50052_DN3_SP0_c0.t1
OG0001795	XP_024007660.1, XP_024014998.1	ESY3_g29156_DN2_SP0_c0.t1
OG0001796	XP_006400721.1	ESY4_g25310_DN3_SP0_c0.t1, ESY5_g4039_DN3_SP0_c0.t1
OG0001797	XP_006404478.1, XP_006400731.1	ESY6_g49046_DN3_SP0_c0.t1
OG0001798	XP_006419045.1, XP_024011477.1	ESY6_g48919_DN3_SP6_c0.t1
OG0001799	XP_006400900.1, XP_006400901.1	ESY3_g30794_DN3_SP6_c0.t1
OG0001800	XP_006418854.1, XP_006400996.1	ESY6_g48682_DN3_SP8_c0.t1
OG0001801	XP_006401307.2, XP_024005129.1, XP_006401832.1, XP_024011244.1	ESY6_g48272_DN3_SP0_c0.t1
OG0001802	XP_006401400.1	ESY6_g48108_DN3_SP0_c0.t1
OG0001802	XP_006413162.1	ESY16_g62488_DN3_SP2_c0.t1
OG0001803	XP_006407412.1	ESY3_g31314_DN2_SP0_c0.t1
OG0001803	XP_024011798.1	ESY7_g18753_DN2_SP0_c0.t1
OG0001804	XP_006399024.1	ESY7_g18878_DN3_SP8_c0.t1
OG0001804	XP_006409112.1	ESY11_g54359_DN3_SP1_c0.t1
OG0001805	XP_006407548.1	ESY3_g31109_DN3_SP8_c0.t1
OG0001805	XP_006398910.1	ESY7_g19078_DN3_SP8_c0.t1
OG0001806	XP_006407586.1	ESY4_g22335_DN2_SP0_c0.t1, ESY3_g31066_DN3_SP7_c0.t1
OG0001806	XP_006398873.1	ESY7_g19155_DN3_SP5_c0.t1
OG0001807	XP_006398869.1	ESY7_g19160_DN3_SP0_c0.t1
OG0001807	XP_006407588.1	ESY3_g31060_DN3_SP8_c0.t1
OG0001808	XP_006407640.1	ESY3_g30988_DN3_SP0_c0.t1
OG0001809	XP_006395458.1	ESY10_g13720_DN3_SP8_c18.t1
OG0001809	XP_006405432.1	ESY8_g60227_DN3_SP8_c18.t1
OG0001810	XP_006412013.1	ESY4_g26200_DN3_SP0_c0.t1, ESY4_g26202_DN3_SP0_c0.t1, ESY4_g26199_DN3_SP0_c0.t1, ESY4_g26193_DN3_SP0_c0.t1
OG0001811	XP_006416740.1	ESY5_g4365_DN3_SP0_c0.t1
OG0001811	XP_006389983.2	ESY2_g36101_DN3_SP0_c0.t1
OG0001812	XP_006390141.2	ESY9_g43988_DN3_SP0_c0.t1, ESY1_g5709_DN3_SP0_c0.t1
OG0001813	XP_024010980.1	ESY2_g34689_DN3_SP8_c0.t1
OG0001814	XP_006390163.2, XP_006390162.1	ESY2_g34702_DN3_SP5_c0.t1
OG0001814	XP_006416333.1	ESY5_g2551_DN3_SP8_c0.t1
OG0001815	XP_006390239.1	ESY2_g34792_DN3_SP0_c0.t1
OG0001815	XP_006416412.1	ESY5_g3957_DN3_SP0_c0.t1
OG0001816	XP_006390699.1, XP_024012363.1, XP_006390695.1	ESY1_g12039_DN3_SP0_c34.t1
OG0001817	XP_024014760.1	ESY9_g42905_DN3_SP0_c0.t1, ESY9_g42909_DN3_SP0_c0.t1
OG0001818	XP_006416512.1	ESY5_g4078_DN3_SP5_c0.t1
OG0001818	XP_006390350.2	ESY2_g35979_DN3_SP0_c0.t1
OG0001819	XP_024016621.1	ESY11_g54062_DN2_SP0_c0.t1
OG0001819	XP_006412095.1	ESY4_g25361_DN2_SP0_c0.t1
OG0001820	XP_006412032.1	ESY4_g26127_DN3_SP5_c0.t1
OG0001820	XP_006409236.1	ESY11_g54152_DN1_SP0_c0.t1
OG0001821	XP_006410819.1	ESY9_g44393_DN3_SP5_c0.t1
OG0001821	XP_006403751.1	ESY1_g10502_DN3_SP8_c0.t1
OG0001822	XP_006395549.1, XP_006410854.1	ESY10_g13907_DN3_SP8_c0.t1
OG0001823	XP_006414469.2	ESY11_g54855_DN2_SP0_c0.t1, ESY11_g54856_DN3_SP0_c0.t1, ESY2_g37888_DN3_SP0_c0.t1, ESY11_g54785_DN3_SP0_c0.t1, ESY11_g54886_DN2_SP0_c0.t1, ESY11_g54887_DN3_SP0_c0.t1
OG0001824	XP_006390601.1	ESY2_g35879_DN3_SP8_c0.t1
OG0001824	XP_006416670.1	ESY5_g4279_DN3_SP0_c0.t1
OG0001825	XP_006401553.1, XP_006401552.2	ESY6_g47895_DN2_SP0_c0.t1, ESY6_g47892_DN3_SP0_c0.t1, ESY6_g47900_DN1_SP0_c0.t1, ESY6_g47894_DN3_SP0_c0.t1, ESY5_g2062_DN3_SP0_c0.t1, ESY6_g47898_DN2_SP0_c0.t1
OG0001826	XP_006390433.1	ESY2_g34962_DN3_SP0_c0.t1
OG0001826	XP_006416577.1	ESY5_g4165_DN3_SP0_c0.t1
OG0001827	XP_006412871.1	ESY4_g24300_DN3_SP8_c0.t1
OG0001827	XP_006408902.1	ESY11_g54705_DN3_SP0_c0.t1
OG0001828	XP_006415956.1, XP_006391003.1	ESY2_g35424_DN3_SP8_c0.t1
OG0001829	XP_006414111.1	ESY9_g42647_DN2_SP0_c0.t1
OG0001829	XP_006398302.1	ESY10_g15145_DN2_SP0_c0.t1
OG0001830	XP_006398217.1, XP_006414009.1	ESY9_g42880_DN3_SP8_c0.t1
OG0001832	XP_024015460.1	ESY3_g29094_DN3_SP4_c0.t1
OG0001832	XP_024006157.1	ESY2_g37230_DN3_SP8_c0.t1
OG0001833	XP_006406874.1	ESY3_g30000_DN3_SP8_c0.t1
OG0001833	XP_006392943.2	ESY2_g37103_DN3_SP8_c0.t1
OG0001834	XP_006410581.1	ESY6_g48268_DN3_SP3_c9.t1
OG0001834	XP_006401822.1	ESY6_g46814_DN3_SP5_c0.t1
OG0001835	XP_006416618.2, XP_006416692.2	ESY3_g31279_DN3_SP0_c0.t1
OG0001836	XP_006410015.1	ESY7_g18778_DN3_SP0_c9.t1
OG0001837	XP_006409548.1, XP_006412275.1	ESY4_g25768_DN3_SP3_c0.t1
OG0001838	XP_006409349.1	ESY11_g53957_DN3_SP8_c0.t1
OG0001838	XP_024005546.1	ESY4_g25432_DN3_SP8_c0.t1
OG0001839	XP_006413516.1, XP_006396959.1	ESY23_g236_DN3_SP0_c0.t1
OG0001840	XP_006413606.1	ESY26_g42343_DN3_SP3_c0.t1
OG0001840	XP_024009981.1	ESY18_g63073_DN3_SP7_c0.t1
OG0001841	XP_006413922.1	ESY11_g54669_DN2_SP0_c0.t1
OG0001842	XP_024005658.1, XP_006392521.1	ESY9_g43335_DN3_SP0_c0.t1, ESY9_g45710_DN2_SP0_c0.t1
OG0001843	XP_006396601.1	ESY7_g16519_DN3_SP8_c0.t1
OG0001843	XP_006413823.1	ESY9_g43295_DN1_SP0_c0.t1, ESY9_g43412_DN3_SP6_c0.t1
OG0001844	XP_006396641.1	ESY7_g16427_DN2_SP0_c0.t1
OG0001844	XP_006413761.1	ESY9_g43630_DN3_SP0_c0.t1
OG0001845	XP_006417724.1	ESY5_g3082_DN3_SP7_c0.t1
OG0001845	XP_024014436.1	ESY9_g42712_DN3_SP0_c0.t1, ESY7_g17685_DN3_SP0_c0.t1, ESY11_g54685_DN3_SP0_c0.t1, ESY9_g42711_DN3_SP0_c0.t1
OG0001846	XP_006402910.1	ESY77_g64221_DN3_SP0_c0.t1, ESY1_g11748_DN3_SP0_c0.t1
OG0001846	XP_006411402.1	ESY12_g51126_DN3_SP7_c0.t1
OG0001847	XP_024012883.1, XP_006397962.1	ESY12_g52256_DN3_SP8_c0.t1
OG0001848	XP_006402413.1, XP_006397890.1	ESY12_g51379_DN2_SP2_c0.t1
OG0001849	XP_006402563.1	ESY1_g12133_DN3_SP0_c0.t1
OG0001849	XP_006397697.1	ESY12_g51946_DN3_SP0_c0.t1
OG0001850	XP_006402598.1	ESY1_g12027_DN3_SP0_c0.t1, ESY1_g12028_DN3_SP0_c0.t1, ESY1_g12029_DN3_SP0_c0.t1
OG0001851	XP_006402610.1	ESY1_g12002_DN3_SP8_c0.t1
OG0001851	XP_006397639.1	ESY12_g52058_DN3_SP0_c0.t1
OG0001852	XP_024012778.1	ESY1_g11976_DN3_SP8_c0.t1
OG0001852	XP_024010714.1	ESY12_g52094_DN3_SP8_c0.t1
OG0001853	XP_006397597.1	ESY12_g52114_DN3_SP4_c0.t1
OG0001853	XP_006402633.1	ESY1_g11928_DN3_SP8_c0.t1
OG0001854	XP_006402663.1	ESY1_g11874_DN3_SP0_c3.t1
OG0001855	XP_006411360.1	ESY12_g51023_DN3_SP5_c0.t1, ESY12_g51063_DN2_SP0_c0.t1
OG0001855	XP_006402962.1	ESY1_g11822_DN3_SP0_c0.t1
OG0001856	XP_006411216.1	ESY9_g45605_DN3_SP1_c0.t1
OG0001856	XP_006403439.1	ESY1_g10704_DN3_SP0_c0.t1
OG0001857	XP_024013676.1, XP_006403541.1	ESY1_g10867_DN2_SP0_c0.t1, ESY1_g10827_DN3_SP0_c0.t1
OG0001858	XP_006403704.1	ESY1_g11124_DN3_SP0_c0.t1
OG0001858	XP_006410887.1	ESY9_g44718_DN3_SP0_c0.t1
OG0001859	XP_006411986.1	ESY4_g26253_DN3_SP1_c0.t1
OG0001859	XP_006409165.1	ESY11_g54272_DN3_SP8_c0.t1
OG0001860	XP_006411960.1	ESY4_g26314_DN3_SP8_c0.t1
OG0001860	XP_006409130.1	ESY11_g54324_DN3_SP0_c0.t1, ESY20_g12919_DN3_SP2_c0.t1
OG0001861	XP_006391518.1	ESY2_g35304_DN3_SP0_c0.t1
OG0001861	XP_024009613.1	ESY3_g30088_DN3_SP0_c0.t1, ESY2_g35302_DN3_SP0_c0.t1, ESY2_g35301_DN3_SP0_c0.t1
OG0001862	XP_006396750.1	ESY7_g16050_DN3_SP0_c0.t1, ESY7_g16048_DN3_SP0_c0.t1, ESY7_g16054_DN3_SP0_c0.t1, ESY7_g16027_DN3_SP0_c0.t1, ESY7_g16017_DN3_SP0_c0.t1, ESY7_g16026_DN3_SP0_c0.t1, ESY7_g16055_DN3_SP0_c0.t1
OG0001863	XP_024010193.1, XP_024014028.1, XP_024009953.1, XP_024010525.1	ESY7_g16283_DN2_SP2_c0.t1
OG0001864	XP_006404744.1	ESY8_g59646_DN3_SP0_c0.t1
OG0001864	XP_006411848.1	ESY4_g26583_DN3_SP0_c0.t1
OG0001865	XP_006396016.1	ESY14_g21401_DN3_SP0_c0.t1
OG0001865	XP_006397292.1, XP_024010174.1	ESY19_g41765_DN3_SP0_c0.t1
OG0001866	XP_006417539.1	ESY5_g3359_DN3_SP8_c0.t1
OG0001866	XP_006407761.1	ESY3_g30764_DN3_SP8_c12.t1
OG0001867	XP_006411515.1, XP_006411512.1, XP_006411514.1	ESY12_g51349_DN3_SP0_c0.t1
OG0001869	XP_024008125.1	ESY5_g4853_DN3_SP8_c0.t1
OG0001869	XP_024003676.1	ESY12_g51299_DN1_SP0_c0.t1
OG0001871	XP_006408403.1, XP_006408402.1, XP_006393135.1	ESY3_g32471_DN3_SP5_c0.t1
OG0001872	XP_006407982.1	ESY7_g16204_DN3_SP2_c0.t1
OG0001872	XP_006406005.2	ESY3_g28347_DN3_SP2_c0.t1
OG0001873	XP_006417066.1	ESY5_g2734_DN3_SP0_c0.t1
OG0001873	XP_006395722.1	ESY10_g14273_DN3_SP0_c0.t1
OG0001874	XP_006405237.1	ESY8_g59294_DN3_SP1_c0.t1
OG0001874	XP_024005798.1	ESY4_g25186_DN3_SP0_c0.t1
OG0001875	XP_006414110.2, XP_006405609.1	ESY8_g60800_DN3_SP3_c0.t1
OG0001875	XP_006395312.1	ESY2_g34549_DN3_SP2_c0.t1
OG0001876	XP_006405621.1	ESY8_g60809_DN3_SP0_c0.t1
OG0001876	XP_024014778.1	ESY8_g60810_DN3_SP0_c0.t1
OG0001877	XP_006405777.1	ESY8_g61128_DN3_SP0_c0.t1
OG0001877	XP_006391463.1	ESY2_g35196_DN3_SP0_c0.t1
OG0001878	XP_006396240.1, XP_006418438.1	ESY20_g12944_DN3_SP8_c0.t1
OG0001879	XP_006417431.1	ESY5_g3526_DN3_SP4_c6.t1, ESY5_g3527_DN3_SP0_c13.t1
OG0001879	XP_006413247.1	ESY13_g56259_DN3_SP8_c0.t1
OG0001880	XP_006417426.1	ESY5_g3533_DN3_SP8_c7.t1
OG0001880	XP_006392117.1	ESY2_g33942_DN3_SP8_c7.t1
OG0001881	XP_006417277.1	ESY5_g3755_DN3_SP5_c0.t1
OG0001881	XP_006391897.1	ESY2_g33685_DN3_SP7_c0.t1
OG0001882	XP_006417273.1	ESY5_g3758_DN3_SP0_c19.t1
OG0001882	XP_024004439.1	ESY2_g33675_DN3_SP0_c18.t1
OG0001883	XP_006391782.1	ESY2_g33566_DN3_SP3_c0.t1
OG0001883	XP_006417204.1	ESY5_g3849_DN3_SP0_c0.t1
OG0001885	XP_006395784.1	ESY3_g27132_DN1_SP0_c0.t1, ESY10_g14383_DN3_SP8_c0.t1
OG0001885	XP_006417003.1	ESY5_g2809_DN3_SP8_c0.t1
OG0001886	XP_006416923.2	ESY2_g38579_DN3_SP0_c0.t1, ESY6_g49826_DN3_SP0_c0.t1
OG0001886	XP_006393335.1	ESY5_g2904_DN3_SP8_c0.t1
OG0001887	XP_006416879.1	ESY5_g2967_DN3_SP0_c0.t1, ESY5_g2968_DN2_SP0_c0.t1, ESY5_g2966_DN3_SP0_c0.t1, ESY2_g36307_DN3_SP0_c0.t1
OG0001888	XP_024006656.1	ESY2_g35800_DN3_SP7_c0.t1
OG0001888	XP_006416720.1	ESY5_g4342_DN3_SP8_c0.t1
OG0001889	XP_024008360.1	ESY9_g42882_DN2_SP0_c0.t1
OG0001889	XP_006390641.1	ESY2_g35836_DN3_SP0_c0.t1
OG0001890	XP_006395791.1	ESY10_g14389_DN3_SP7_c0.t1
OG0001890	XP_006395792.1	ESY10_g14395_DN3_SP0_c0.t1, ESY10_g14398_DN2_SP0_c0.t1
OG0001891	XP_006390926.2	ESY2_g35501_DN3_SP0_c0.t1
OG0001891	XP_006416019.1	ESY5_g1803_DN2_SP0_c0.t1
OG0001892	XP_024005099.1	ESY4_g26618_DN3_SP0_c0.t1
OG0001892	XP_006411830.1	ESY4_g26620_DN3_SP0_c0.t1, ESY4_g26619_DN3_SP1_c0.t1
OG0001893	XP_024015766.1, XP_006412474.1	ESY4_g25224_DN3_SP0_c0.t1
OG0001894	XP_006409626.1	ESY11_g53518_DN3_SP0_c0.t1
OG0001894	XP_006412302.1	ESY4_g25781_DN3_SP0_c0.t1
OG0001895	XP_024005191.1	ESY4_g24872_DN3_SP0_c0.t1
OG0001895	XP_006404977.1	ESY8_g59432_DN3_SP0_c0.t1
OG0001896	XP_024014214.1	ESY8_g59435_DN3_SP0_c0.t1
OG0001896	XP_006412603.1	ESY4_g24869_DN3_SP1_c0.t1
OG0001897	XP_024005155.1	ESY4_g24757_DN3_SP8_c0.t1
OG0001897	XP_024014293.1	ESY8_g59492_DN3_SP7_c0.t1
OG0001899	XP_006401148.2	ESY9_g43537_DN3_SP0_c0.t1, ESY9_g43960_DN2_SP0_c0.t1
OG0001900	XP_006405588.1	ESY8_g60558_DN2_SP2_c0.t1
OG0001900	XP_006395335.1	ESY21_g55220_DN3_SP1_c0.t1
OG0001901	XP_024004307.1, XP_024012594.1, XP_006397528.1	ESY9_g42763_DN2_SP0_c0.t1
OG0001902	XP_006418520.1	ESY20_g12938_DN3_SP0_c0.t1
OG0001910	XP_006412691.1	ESY4_g24650_DN3_SP8_c0.t1
OG0001910	XP_024014108.1	ESY8_g59505_DN3_SP8_c11.t1
OG0001911	XP_006404903.1	ESY8_g59478_DN3_SP8_c0.t1
OG0001911	XP_024004422.1	ESY4_g24718_DN3_SP5_c0.t1
OG0001912	XP_006400178.1	ESY7_g17307_DN3_SP2_c0.t1
OG0001912	XP_006408388.1	ESY3_g32448_DN3_SP5_c0.t1
OG0001913	XP_006414996.1, XP_006407837.1	ESY3_g31376_DN2_SP0_c0.t1
OG0001914	XP_006408425.1	ESY3_g32498_DN1_SP0_c0.t1
OG0001914	XP_006400108.1	ESY7_g17399_DN3_SP0_c0.t1
OG0001915	XP_006399842.1, XP_006407762.1	ESY7_g17741_DN3_SP0_c0.t1, ESY3_g30763_DN3_SP8_c0.t1
OG0001916	XP_006400503.1	ESY6_g49877_DN3_SP1_c51.t1
OG0001916	XP_006399746.1	ESY7_g18335_DN3_SP0_c8.t1
OG0001917	XP_006400511.1	ESY6_g49890_DN3_SP0_c0.t1
OG0001918	XP_006394746.1, XP_024012317.1	ESY7_g18080_DN3_SP8_c0.t1
OG0001919	XP_006394738.1	ESY6_g50020_DN3_SP0_c0.t1
OG0001919	XP_006399559.1	ESY7_g18065_DN2_SP0_c0.t1
OG0001920	XP_006394066.1	ESY6_g50534_DN3_SP0_c0.t1
OG0001920	XP_006399494.1	ESY7_g17958_DN2_SP0_c0.t1, ESY7_g17959_DN3_SP0_c0.t1
OG0001921	XP_024011994.1	ESY5_g3788_DN2_SP0_c0.t1
OG0001921	XP_006399489.1	ESY7_g17947_DN3_SP0_c0.t1
OG0001922	XP_006404741.1	ESY8_g59649_DN3_SP8_c0.t1
OG0001922	XP_006399447.1	ESY7_g17894_DN3_SP8_c0.t1
OG0001923	XP_006399422.1	ESY7_g17845_DN3_SP0_c0.t1
OG0001923	XP_006394173.1	ESY6_g50708_DN3_SP0_c0.t1
OG0001924	XP_006399270.1	ESY7_g18610_DN3_SP0_c0.t1
OG0001924	XP_006394530.1	ESY6_g49540_DN3_SP6_c0.t1
OG0001925	XP_006417882.1	ESY5_g4630_DN3_SP0_c0.t1
OG0001925	XP_024003947.1	ESY8_g58600_DN3_SP0_c0.t1
OG0001926	XP_024016747.1	ESY8_g58596_DN3_SP8_c0.t1
OG0001926	XP_006417884.2	ESY5_g4632_DN3_SP7_c0.t1
OG0001927	XP_006417946.1	ESY5_g4703_DN3_SP7_c0.t1
OG0001927	XP_006410242.1	ESY8_g58528_DN3_SP6_c0.t1
OG0001928	XP_006409598.1, XP_006409585.1	ESY11_g53565_DN3_SP0_c0.t1
