Orthogroup	Eutrema_salsugineum	Arabidopsis_arenosa
OG0003005	XP_006399147.1	jg4493
OG0003005	XP_006399146.1	jg4492
OG0003006	XP_024008784.1	jg28629
OG0003007	XP_006408223.1	jg24273
OG0003008	XP_024007733.1, XP_024008988.1, XP_006402885.1, XP_024009010.1	jg24051
OG0003009	XP_006398726.1	jg4005
OG0003009	XP_006407663.1	jg24885
OG0003010	XP_024014747.1	jg12736, jg12733
OG0003011	XP_006416236.1	jg30763
OG0003011	XP_006390044.1	jg3461
OG0003013	XP_006390079.1	jg3423
OG0003013	XP_006416266.1	jg30731
OG0003014	XP_006412081.2	jg8785
OG0003014	XP_006409274.1	jg27894
OG0003015	XP_024004644.1	jg8784
OG0003015	XP_006409273.1	jg27895
OG0003017	XP_006414975.1	jg11605
OG0003017	XP_006418676.1	jg26842
OG0003018	XP_006414962.1	jg11577, jg11576
OG0003019	XP_006414858.1	jg11436
OG0003020	XP_006414845.1	jg11418, jg11414
OG0003021	XP_006416606.1	jg30365
OG0003021	XP_024007783.1	jg3033
OG0003022	XP_024007767.1	jg31148
OG0003022	XP_006391101.1	jg2450
OG0003023	XP_024005535.1	jg9516
OG0003023	XP_006412838.1	jg9490
OG0003024	XP_006416325.2	jg30659
OG0003025	XP_006395376.2	jg13576
OG0003025	XP_024014383.1	jg12620
OG0003026	XP_006395374.1	jg13580
OG0003028	XP_024015009.1	jg26104
OG0003028	XP_006393203.1	jg33119
OG0003029	XP_006406375.1	jg26209
OG0003030	XP_024006391.1	jg33038
OG0003031	XP_024014888.1	jg26303
OG0003032	XP_006406867.1	jg25663
OG0003032	XP_024006374.1	jg33399
OG0003033	XP_024003933.1	jg18990, jg18991
OG0003034	XP_006414440.1	jg21597
OG0003034	XP_006403990.1	jg14961
OG0003036	XP_024014284.1	jg17326
OG0003037	XP_006396621.1	jg7783
OG0003039	XP_006402542.1	jg16137
OG0003039	XP_006397719.1	jg19931
OG0003040	XP_006402582.1	jg16100
OG0003041	XP_006402621.1	jg16069
OG0003044	XP_006403676.2	jg15286
OG0003045	XP_006408322.1	jg24158
OG0003046	XP_006391315.1	jg2012, jg2011, jg15198
OG0003047	XP_006391279.2	jg2272
OG0003048	XP_006415794.1	jg31244
OG0003049	XP_006391210.1	jg2345, jg2343
OG0003050	XP_006395906.1	jg12039
OG0003051	XP_006415806.1	jg31229
OG0003051	XP_006413382.1	jg9991
OG0003052	XP_024004343.1	jg8346
OG0003054	XP_006413879.1	jg10536, jg10473
OG0003056	XP_024012127.1	jg5790
OG0003057	XP_024007646.1	jg6549
OG0003058	XP_006408144.1	jg24371
OG0003058	XP_024007144.1	jg6773
OG0003059	XP_006397946.1	jg20164
OG0003060	XP_024007891.1	jg29151
OG0003061	XP_006397560.1	jg19735
OG0003062	XP_006397558.1	jg19733
OG0003063	XP_006391400.1	jg19462
OG0003064	XP_024015345.1	jg24418
OG0003064	XP_024006949.1	jg6660
OG0003065	XP_006408061.1	jg24462
OG0003066	XP_024015630.1	jg24492
OG0003067	XP_006395061.1	jg21579
OG0003068	XP_006407743.1	jg24790
OG0003069	XP_006407494.1	jg25034, jg25035, jg25033
OG0003070	XP_006407226.1	jg25321, jg33714
OG0003072	XP_006406663.1	jg25921
OG0003073	XP_006406623.1	jg25951
OG0003074	XP_006405832.1	jg12250
OG0003074	XP_006391399.1	jg2106
OG0003075	XP_024012396.1	jg5740
OG0003076	XP_024010087.1	jg8173
OG0003076	XP_024009080.1	jg28445
OG0003078	XP_006418305.1	jg28588
OG0003079	XP_006418241.1	jg28652
OG0003080	XP_006417928.1	jg28989
OG0003081	XP_006392138.1	jg926
OG0003081	XP_006417410.1	jg29490
OG0003082	XP_006395873.1	jg12961
OG0003083	XP_006398539.1	jg12936
OG0003083	XP_006416954.1	jg29984
OG0003084	XP_006390387.1	jg3132
OG0003084	XP_006416903.1	jg30034
OG0003085	XP_006416598.1	jg30373
OG0003085	XP_006390475.1	jg3050
OG0003086	XP_006390221.1	jg3281
OG0003086	XP_006416389.1	jg30589, jg30592
OG0003088	XP_006416370.2	jg30615
OG0003088	XP_006416371.1	jg30614
OG0003089	XP_024008590.1	jg30656, jg14035, jg14039
OG0003090	XP_006416192.1	jg30813
OG0003092	XP_024011079.1	jg20678, jg20686
OG0003093	XP_006411995.1	jg8686
OG0003094	XP_006412173.1	jg8863
OG0003095	XP_006412175.1	jg8865
OG0003096	XP_006416041.1	jg9191
OG0003096	XP_006412515.1	jg9190
OG0003097	XP_006415970.1	jg31054
OG0003098	XP_006396346.1	jg8093
OG0003101	XP_024016603.1	jg27971, jg27972, jg27969
OG0003102	XP_006404902.1	jg16869
OG0003103	XP_006409933.2, XP_024003751.1	jg17886, jg17879
OG0003103	XP_024003673.1	jg17893
OG0003104	XP_006394509.1	jg23086
OG0003104	XP_024004245.1	jg18097
OG0003116	XP_006404883.1	jg16851
OG0003116	XP_006412702.1	jg9364
OG0003117	XP_006400334.1	jg5627
OG0003118	XP_006400128.1	jg5424
OG0003119	XP_006400011.1	jg5314
OG0003120	XP_006394054.1	jg23538
OG0003121	XP_006410424.1, XP_006410421.1	jg18367, jg18368
OG0003122	XP_024005322.1	jg13922, jg13924, jg9949
OG0003123	XP_006412636.1	jg9292
OG0003124	XP_006415619.1	jg31410
OG0003125	XP_006415361.1	jg31731
OG0003125	XP_006417490.1	jg29393
OG0003127	XP_006404015.1	jg14934
OG0003127	XP_006393872.1	jg23713
OG0003128	XP_006400754.1	jg6058
OG0003129	XP_006394261.1	jg23330
OG0003129	XP_006404223.1	jg14698
OG0003130	XP_006394326.2	jg23266
OG0003131	XP_006394483.1	jg23113
OG0003132	XP_006394663.2	jg6257
OG0003133	XP_024015711.1	jg827
OG0003133	XP_006392004.2, XP_024015694.1	jg828
OG0003134	XP_006406183.1	jg26459
OG0003136	XP_006400759.1	jg6063, jg6064
OG0003136	XP_006400761.1	jg6066
OG0003138	XP_006401839.1	jg21923
OG0003139	XP_024005325.1	jg9871
OG0003140	XP_006416245.2	jg30752
OG0003141	XP_024012244.1, XP_006406779.1	jg25779
OG0003142	XP_024008853.1	jg28596
OG0003143	XP_024010045.1	jg7965
OG0003143	XP_006396459.2	jg7968
OG0003144	XP_006415630.1	jg15460, jg15458
OG0003145	XP_006398925.1	jg4217
OG0003148	XP_006405374.1	jg12751
OG0003148	XP_006391738.1	jg525
OG0003149	XP_024012421.1	jg3777
OG0003150	XP_006389777.1	jg3743
OG0003151	XP_006416826.1	jg3638, jg30120
OG0003152	XP_006389888.1	jg30122
OG0003153	XP_006389952.1	jg3567
OG0003154	XP_006416324.1	jg30661
OG0003156	XP_006416439.1, XP_024010931.1	jg30534, jg13272
OG0003157	XP_006416502.1	jg30475
OG0003158	XP_006392809.1	jg33528
OG0003159	XP_006410782.1, XP_006410783.1	jg18742
OG0003160	XP_006410815.1	jg18773, jg2199, jg2194
OG0003161	XP_006419037.1	jg14311
OG0003162	XP_024009521.1	jg26669
OG0003163	XP_006414653.1	jg11284
OG0003163	XP_024015643.1	jg26517
OG0003164	XP_024015504.1	jg26340
OG0003164	XP_006414478.1	jg11139
OG0003165	XP_006390549.1	jg2989
OG0003166	XP_006416626.1	jg30347
OG0003166	XP_006390541.1	jg2996
OG0003167	XP_006395393.1	jg13546
OG0003167	XP_006405508.1	jg12641
OG0003168	XP_024014766.1	jg12508
OG0003168	XP_006395298.1	jg13735
OG0003169	XP_006405481.1	jg12667
OG0003169	XP_006395419.1	jg13512
OG0003172	XP_024010541.1, XP_006391530.2	jg1959
OG0003173	XP_006393223.2	jg33091
OG0003174	XP_024013602.1	jg32345, jg32347
OG0003174	XP_024013166.1	jg33499
OG0003175	XP_006403320.1	jg20972, jg32695
OG0003176	XP_006414220.1	jg10867
OG0003177	XP_006401994.1	jg21788, jg21787
OG0003178	XP_006417005.1	jg29928
OG0003179	XP_006414343.1	jg10996
OG0003179	XP_006410743.2	jg18707
OG0003180	XP_006414274.1	jg10910
OG0003180	XP_006410676.2	jg18636
OG0003181	XP_024013579.1	jg23753, jg14977
OG0003182	XP_006402576.1	jg25263
OG0003183	XP_006402651.1	jg16027
OG0003184	XP_006402788.1	jg15867
OG0003186	XP_006404082.1	jg14285
OG0003187	XP_024012853.1	jg15574
OG0003188	XP_006403042.1	jg15564
OG0003189	XP_006411149.1	jg19131
OG0003189	XP_006403509.1	jg15435
OG0003190	XP_006403664.1	jg15303
OG0003190	XP_006410939.1	jg18909
OG0003191	XP_006391180.1	jg2355
OG0003192	XP_006409213.1	jg27935, jg7308, jg7305
OG0003192	XP_006395587.1	jg9226
OG0003193	XP_006402961.1	jg15636
OG0003194	XP_006411146.1	jg19133
OG0003195	XP_006411943.1	jg8641
OG0003196	XP_006405114.1	jg17062
OG0003196	XP_024004425.1	jg9209
OG0003197	XP_006396874.1	jg7554
OG0003198	XP_006394962.1	jg6650
OG0003199	XP_006408994.1	jg28284
OG0003199	XP_006412956.1	jg9591
OG0003200	XP_006408164.1	jg24352
OG0003200	XP_006395027.1	jg6807
OG0003201	XP_006408092.1	jg24428
OG0003201	XP_006394963.1	jg6652
OG0003202	XP_006400450.1	jg5747
OG0003202	XP_024014852.1	jg24558
OG0003203	XP_006407855.1	jg24675, jg24679
OG0003206	XP_006407289.1	jg25239
OG0003208	XP_006406581.1	jg25996
OG0003210	XP_006405814.1	jg12282
OG0003211	XP_024007816.1	jg28793
OG0003211	XP_024008652.1	jg29413
OG0003213	XP_006417690.1	jg29205
OG0003214	XP_006392193.1	jg997
OG0003214	XP_006417454.1	jg29447
OG0003215	XP_006391779.1	jg574
OG0003215	XP_024008488.1	jg29729
OG0003216	XP_006394895.2	jg9252
OG0003216	XP_006417149.1	jg29777
OG0003217	XP_006395815.1, XP_006414755.1	jg16882, jg13021
OG0003218	XP_006402095.1	jg21713
OG0003219	XP_006416183.1	jg30819
OG0003220	XP_006390718.2	jg2829
OG0003220	XP_006416176.1	jg30825
OG0003222	XP_006390791.1	jg2747
OG0003222	XP_006416142.1	jg30851
OG0003223	XP_006392074.1	jg883, jg882, jg26937
OG0003223	XP_006392073.1	jg881
OG0003224	XP_006392255.1	jg1063, jg1065, jg1067
OG0003225	XP_006414404.2	jg11074
OG0003226	XP_006393503.1	jg32871, jg32850, jg32849, jg32872
OG0003227	XP_006412243.1	jg27530, jg8927
OG0003228	XP_006412320.1	jg8998, jg9000
OG0003229	XP_024009934.1, XP_006415951.1	jg31082, jg32197
OG0003230	XP_006413053.1	jg9682
OG0003231	XP_006395677.1	jg13187
OG0003231	XP_006395678.1	jg13177
OG0003232	XP_024009984.1	jg32174, jg14913
OG0003233	XP_006414050.1, XP_006412012.2	jg8700, jg1421
OG0003236	XP_006404709.1	jg16678
OG0003236	XP_006411818.1	jg8522
OG0003237	XP_006405699.2	jg12422
OG0003239	XP_024009675.1	jg14304
OG0003239	XP_006419042.1	jg14303
OG0003240	XP_006414196.1	jg10844
OG0003240	XP_024005830.1	jg10843
OG0003246	XP_024009698.1, XP_024009519.1	jg14452
OG0003247	XP_006418866.1	jg14460
OG0003248	XP_006404298.1	jg14615, jg14614
OG0003249	XP_024011145.1	jg20405
OG0003250	XP_006400031.1	jg5339
OG0003251	XP_024015109.1	jg23887
OG0003251	XP_006399909.1	jg5218
OG0003252	XP_024006829.1	jg6514
OG0003253	XP_006414102.2	jg10749, jg26569
OG0003254	XP_006394086.1	jg23508
OG0003254	XP_006399518.1	jg4854
OG0003255	XP_006399517.1	jg4853
OG0003255	XP_006399516.1	jg4852
OG0003256	XP_006399505.1	jg4839, jg4841, jg4842
OG0003257	XP_006399446.1	jg4781
OG0003258	XP_006394168.1	jg23422
OG0003259	XP_024012276.1	jg4329
OG0003261	XP_006410160.1	jg18098
OG0003262	XP_006410328.2	jg18260
OG0003263	XP_006393272.1	jg33028
OG0003264	XP_024003871.1	jg12221
OG0003265	XP_006405305.1	jg20511
OG0003266	XP_006415987.1	jg31040
OG0003267	XP_024007754.1	jg31587
OG0003267	XP_024007758.1	jg31586
OG0003269	XP_006394205.1	jg23398
OG0003270	XP_006394531.1	jg23066
OG0003273	XP_006400804.1	jg6130
OG0003274	XP_006409163.1	jg27995
OG0003275	XP_006407263.1	jg25278
OG0003276	XP_006401077.1	jg22758, jg12119
OG0003277	XP_006413168.1	jg9796
OG0003278	XP_024013777.1	jg14824
OG0003280	XP_006398767.1, XP_006408279.1	jg4092, jg4051
OG0003281	XP_006398673.1	jg12317, jg12318, jg30507, jg3938
OG0003282	XP_006416104.1	jg30896, jg30899
OG0003283	XP_024007040.1	jg17167
OG0003284	XP_024008512.1	jg3732
OG0003285	XP_006414041.1	jg10698
OG0003286	XP_006413939.1	jg10608
OG0003287	XP_006390012.1	jg30789, jg30791
OG0003289	XP_006414628.1	jg11252
OG0003290	XP_024014922.1	jg26445
OG0003290	XP_024005684.1	jg11237
OG0003291	XP_006405990.2	jg514, jg517, jg513, jg550
OG0003292	XP_024007889.1	jg31058
OG0003293	XP_006392979.2	jg33366
OG0003295	XP_024004616.1	jg10757
OG0003297	XP_006394298.1	jg23293, jg23294
OG0003298	XP_006413952.1	jg10618
OG0003299	XP_006409296.1, XP_006401996.1	jg1918, jg21791
OG0003300	XP_006391231.1	jg33155
OG0003301	XP_006403924.1	jg15023
OG0003302	XP_006402469.1	jg16212
OG0003302	XP_006397802.2	jg20017
OG0003303	XP_006403608.1	jg15358
OG0003305	XP_006418635.1	jg26877
OG0003306	XP_024009710.1	jg26915
OG0003306	XP_006395200.1	jg21362
OG0003307	XP_024009275.1	jg31221, jg2324
OG0003308	XP_006409116.1, XP_006412720.1	jg28053
OG0003309	XP_006392672.1	jg33680
OG0003309	XP_006407185.1	jg25357
OG0003310	XP_006393712.2	jg32643
OG0003311	XP_006397918.1	jg20132
OG0003312	XP_006390227.1	jg3276
OG0003313	XP_024016217.1	jg27701
OG0003313	XP_006412203.1	jg8887
OG0003314	XP_006408112.1, XP_006394996.1	jg24405
OG0003315	XP_006394877.1	jg6541
OG0003316	XP_006407973.1	jg24553
OG0003316	XP_006400452.1	jg5749
OG0003317	XP_006395148.1	jg21431
OG0003318	XP_006406985.1	jg25708, jg25566
OG0003319	XP_006406802.1	jg25760
OG0003319	XP_006414395.1	jg11058
OG0003320	XP_006393261.1	jg33054
OG0003320	XP_024015617.1	jg26024
OG0003321	XP_006412965.1	jg9601, jg9144
OG0003322	XP_006405701.1	jg12421
OG0003322	XP_006395248.1	jg13882
OG0003323	XP_006406195.1	jg26450
OG0003324	XP_006412738.1	jg28080
OG0003325	XP_024007009.1	jg21580
OG0003326	XP_006403883.1	jg15076
OG0003328	XP_006396313.1	jg8134
OG0003330	XP_006417817.2	jg29084
OG0003331	XP_024015736.1	jg1535
OG0003331	XP_024008846.1	jg29235
OG0003332	XP_006395762.1	jg13072
OG0003333	XP_006416869.1	jg30077
OG0003334	XP_006416518.1	jg17012, jg30458
OG0003335	XP_024008146.1	jg30581
OG0003335	XP_006416402.1	jg30580
OG0003336	XP_006390777.1	jg2768
OG0003337	XP_006390847.1	jg2687
OG0003337	XP_006416116.1	jg30881
OG0003338	XP_006390928.1	jg30994, jg2610
OG0003340	XP_024011028.1	jg10888
OG0003341	XP_006398084.1	jg20675
OG0003342	XP_024009848.1, XP_006405930.1	jg2007
OG0003343	XP_006412837.1	jg9489, jg9488
OG0003344	XP_006404721.1	jg16686, jg26689
OG0003347	XP_006412084.1	jg8788
OG0003349	XP_006412261.1	jg8943
OG0003350	XP_006412488.1	jg9161
OG0003351	XP_024012361.1, XP_006390702.2	jg2841
OG0003352	XP_006396275.1	jg8101, jg28464
OG0003356	XP_006415721.1	jg31305
OG0003360	XP_024016306.1	jg27559, jg27555
OG0003361	XP_006401803.2, XP_006401801.1, XP_006401800.1	jg21959, jg21965, jg17729, jg21963, jg21960, jg21962
OG0003362	XP_024003755.1	jg17894
OG0003372	XP_006404310.2	jg14600
OG0003373	XP_006415715.1	jg31311
OG0003373	XP_006415706.1	jg31320
OG0003374	XP_024008802.1	jg31932
OG0003375	XP_006406449.1	jg21754
OG0003377	XP_024011575.1	jg5456
OG0003378	XP_006400156.1	jg5447
OG0003379	XP_006405369.1, XP_024014753.1	jg12752
OG0003381	XP_006407374.1, XP_006399737.1	jg5062
OG0003384	XP_006411868.2	jg16748, jg8574
OG0003385	XP_006399304.1	jg4665
OG0003386	XP_024012093.1	jg4617
OG0003387	XP_006413368.1	jg9981
OG0003388	XP_006402109.2	jg21709
OG0003388	XP_006413374.1	jg9984
OG0003389	XP_006417291.1	jg18328, jg17520
OG0003390	XP_006410143.1	jg18061
OG0003392	XP_006403138.1	jg20781, jg20783, jg20782
OG0003393	XP_006415442.1	jg31620
OG0003394	XP_006410637.1	jg18601
OG0003395	XP_006393978.2	jg23608
OG0003395	XP_006404104.2	jg14834
OG0003396	XP_006394129.1, XP_006399460.1	jg23469, jg4791
OG0003397	XP_006412340.2, XP_024007034.1	jg9017
OG0003398	XP_006394305.1	jg23288
OG0003399	XP_024014285.1, XP_006394332.1	jg23256
OG0003400	XP_006394342.1	jg23244
OG0003400	XP_024013487.1	jg14612
OG0003401	XP_024007537.1	jg6248
OG0003402	XP_006400657.1	jg5957
OG0003404	XP_006404397.2	jg14518
OG0003405	XP_006401297.1	jg22548, jg2756
OG0003406	XP_006393089.2	jg32990
OG0003408	XP_006398950.1, XP_006398951.1	jg4244
OG0003409	XP_006398808.2	jg4097
OG0003410	XP_006398678.1	jg3943
OG0003411	XP_024015410.1	jg24801, jg3858
OG0003412	XP_006407739.1	jg24798
OG0003412	XP_006398582.1	jg3838
OG0003414	XP_006389940.1	jg3578, jg30172, jg30161, jg30184
OG0003415	XP_024005819.1	jg8386
OG0003416	XP_006390184.1	jg3315
OG0003417	XP_006392613.1	jg33740
OG0003418	XP_024006286.1	jg33593
OG0003419	XP_006392789.1	jg33552, jg33551, jg2920
OG0003420	XP_006414712.1	jg18789
OG0003421	XP_006418852.1	jg26626
OG0003421	XP_006414787.1	jg11371
OG0003422	XP_006404810.1	jg16785
OG0003422	XP_006411908.1	jg8608
OG0003423	XP_006396140.1	jg8935
OG0003424	XP_006395360.1	jg13618
OG0003425	XP_006415952.1	jg31081
OG0003426	XP_024010946.1, XP_024005492.1	jg10756
OG0003427	XP_006392998.1	jg33339
OG0003428	XP_006406285.1	jg26320
OG0003429	XP_006392852.1	jg33487
OG0003429	XP_006409014.1	jg28300
OG0003430	XP_006395315.1	jg13705
OG0003431	XP_006414070.1, XP_006414069.1	jg10719, jg10718
OG0003432	XP_006414085.1	jg10733
OG0003432	XP_006403783.1	jg15185
OG0003433	XP_006404007.1, XP_006404008.1	jg14943
OG0003434	XP_006401985.1	jg21799, jg21797, jg21808
OG0003438	XP_006398060.1	jg20707
OG0003438	XP_006413865.1	jg10508
OG0003439	XP_006407546.1, XP_006407549.1	jg25026, jg16888
OG0003440	XP_006413719.1	jg10364
OG0003441	XP_024008231.1	jg12000, jg32135
OG0003442	XP_006397633.1	jg19808
OG0003443	XP_006402762.1	jg19580, jg15893
OG0003444	XP_006411407.1, XP_024013024.1	jg19427
OG0003445	XP_006402922.1, XP_024013000.1	jg15683
OG0003446	XP_006411280.2	jg19275
OG0003447	XP_006396166.1	jg27033
OG0003447	XP_006403742.1	jg15224
OG0003448	XP_006418755.1	jg26745, jg17213
OG0003449	XP_006409139.1, XP_006411972.1	jg8668
OG0003450	XP_006404696.1	jg16669
OG0003452	XP_006397146.1	jg7292
OG0003452	XP_006415036.1	jg32087
OG0003453	XP_024010862.1, XP_024004903.1	jg6824, jg20155
OG0003454	XP_006397930.1	jg20149, jg27772
OG0003455	XP_006397758.1	jg19974
OG0003456	XP_006397659.1	jg19839
OG0003456	XP_024010854.1	jg19838
OG0003458	XP_024008776.1	jg19738, jg19741
OG0003459	XP_006407972.1	jg24552, jg19885
OG0003461	XP_006407920.1	jg24613
OG0003462	XP_006407707.2	jg24824, jg24842
OG0003463	XP_024011007.1	jg13075, jg25099
OG0003464	XP_006407394.1, XP_024015563.1	jg25145
OG0003465	XP_006407193.1	jg25515, jg25345
OG0003466	XP_006407177.1	jg25364, jg25365
OG0003467	XP_024015506.1	jg25631
OG0003468	XP_006413442.1	jg10044, jg10043
OG0003469	XP_006412649.1	jg9312
OG0003470	XP_024008595.1	jg29253
OG0003471	XP_024008896.1	jg29166, jg29165
OG0003472	XP_006417566.1	jg29317
OG0003473	XP_006417512.1	jg29372
OG0003475	XP_006391803.1	jg605
OG0003476	XP_006417175.1	jg29749
OG0003476	XP_006395537.1	jg13353
OG0003477	XP_006416992.1	jg32102
OG0003477	XP_024016849.1	jg29945
OG0003478	XP_006392182.1	jg986, jg2648
OG0003479	XP_024014754.1	jg12612
OG0003481	XP_006414262.1	jg10901
OG0003482	XP_006406774.2	jg28059
OG0003482	XP_006414374.1	jg11028
OG0003483	XP_006395439.1	jg20031, jg20030
OG0003484	XP_006411628.1	jg8305, jg8298
OG0003484	XP_024012086.1	jg9626
OG0003485	XP_006411875.1	jg8578
OG0003485	XP_006411874.1	jg8577
OG0003486	XP_006412060.1, XP_024004395.1, XP_006409259.1	jg8760
OG0003487	XP_006412206.1	jg8890
OG0003488	XP_006404929.1	jg16896
OG0003489	XP_006416120.1	jg30874
OG0003491	XP_006390989.1	jg2554, jg31056
OG0003494	XP_006392618.1	jg33722
OG0003497	XP_006391509.1	jg2248, jg2322
OG0003501	XP_006394676.1	jg6271, jg6274
OG0003502	XP_024011234.1	jg21972
OG0003502	XP_024012197.1	jg21976
OG0003512	XP_006408594.1	jg17380
OG0003513	XP_024013374.1	jg14486
OG0003514	XP_006400232.1	jg5519
OG0003515	XP_006400113.1	jg5414, jg18792
OG0003516	XP_024011169.1	jg4979
OG0003517	XP_024012207.1	jg4748
OG0003517	XP_024015528.1	jg26123
OG0003518	XP_006408891.2	jg4709, jg15145
OG0003519	XP_006394511.1	jg23085
OG0003521	XP_006408694.1	jg17631
OG0003522	XP_006409749.1	jg17694, jg17692
OG0003523	XP_006409859.1	jg17795
OG0003524	XP_006404819.2	jg16611
OG0003525	XP_006410098.2	jg18084
OG0003526	XP_024003918.1	jg18191, jg3196
OG0003527	XP_024016819.1	jg18201
OG0003528	XP_024004216.1	jg18221
OG0003529	XP_006410359.1	jg18296
OG0003530	XP_006403204.1	jg28740
OG0003531	XP_024008636.1	jg31515
OG0003532	XP_006415422.1	jg31651
OG0003533	XP_006393908.1	jg7618, jg21470, jg23673
OG0003535	XP_024012156.1	jg4875
OG0003535	XP_024007425.1	jg23557
OG0003536	XP_006399200.2, XP_006394422.1	jg23170
OG0003537	XP_024006837.1, XP_006394469.1	jg23129
OG0003538	XP_006394822.1, XP_006394821.1	jg26913, jg6452
OG0003539	XP_006391088.2	jg2464
OG0003540	XP_006400807.1, XP_006400806.1, XP_006400808.1	jg6133
OG0003541	XP_006400842.1	jg22989, jg22990
OG0003543	XP_024011894.1	jg22882, jg22883
OG0003544	XP_006400967.1	jg22871
OG0003545	XP_024014644.1, XP_006401107.1	jg22735
OG0003546	XP_006401167.1	jg22682
OG0003548	XP_006401431.1	jg22399
OG0003549	XP_024012265.1	jg4551
OG0003550	XP_006399059.1	jg4353
OG0003551	XP_006398979.1	jg4272
OG0003552	XP_024016158.1	jg28131
OG0003553	XP_006398731.1, XP_024007929.1	jg4012
OG0003554	XP_024007079.1	jg13491
OG0003555	XP_006389934.1	jg3586, jg31942
OG0003556	XP_006416202.1	jg30803
OG0003557	XP_006409330.1	jg27851, jg8817
OG0003558	XP_006393216.2	jg33103
OG0003559	XP_006414714.1	jg11336
OG0003559	XP_006406057.1	jg26578
OG0003560	XP_006414693.2	jg11307
OG0003561	XP_006402004.1	jg21779
OG0003562	XP_024005386.1	jg11106
OG0003563	XP_006390572.1	jg2969
OG0003564	XP_006416549.1	jg30421
OG0003565	XP_006395628.1	jg13240, jg13238
OG0003566	XP_006391005.2	jg2537
OG0003567	XP_024010965.1	jg20519
OG0003567	XP_006398245.2	jg20520
OG0003568	XP_006403324.1	jg20988, jg20989, jg1356
OG0003569	XP_006390536.1	jg3002
OG0003571	XP_006413847.1	jg10488
OG0003572	XP_006413935.1	jg10600
OG0003573	XP_006414338.1	jg10991
OG0003575	XP_006402323.1	jg16364
OG0003576	XP_006392431.1	jg17638
OG0003577	XP_024010735.1	jg20113
OG0003577	XP_006402399.1	jg16292
OG0003578	XP_006402461.1	jg4319, jg16221
OG0003579	XP_006402550.1	jg1905, jg16132
OG0003580	XP_006403017.1	jg15584
OG0003580	XP_006402783.1	jg15875
OG0003581	XP_024012854.1	jg15831
OG0003582	XP_024003910.1	jg19486
OG0003583	XP_006403490.1	jg15450
OG0003584	XP_006403710.1, XP_024011049.1	jg15259
OG0003586	XP_024014803.1	jg12308
OG0003586	XP_006391425.1	jg2164
OG0003587	XP_006403033.2	jg15571
OG0003588	XP_024006396.1	jg19611
OG0003589	XP_006411063.1	jg19033
OG0003590	XP_006410969.1	jg18940
OG0003591	XP_024016735.1	jg18499
OG0003592	XP_006408784.2	jg17313
OG0003592	XP_024013448.1	jg14082
OG0003593	XP_006415048.1	jg32072
OG0003594	XP_006396918.1	jg7591, jg7504, jg7503
OG0003595	XP_006394891.1	jg6552, jg32867, jg32854
OG0003596	XP_024007573.1	jg6689
OG0003597	XP_006418165.1	jg28730
OG0003598	XP_006404878.1, XP_006404876.1, XP_006404863.2, XP_006404886.2	jg22185
OG0003599	XP_024012306.1	jg5669
OG0003599	XP_006408229.1	jg24266
OG0003601	XP_006407313.1	jg25218
OG0003602	XP_006406963.1	jg25594
OG0003603	XP_024015139.1	jg25655
OG0003603	XP_006392940.1	jg33410
OG0003604	XP_006404933.1	jg16905
OG0003605	XP_006406366.1	jg26219, jg26218
OG0003606	XP_006406362.1	jg26225
OG0003607	XP_006414742.2	jg11349
OG0003608	XP_024004546.1	jg11341
OG0003609	XP_024016052.1	jg13014
OG0003611	XP_024003800.1	jg1500
OG0003612	XP_024013452.1, XP_024013440.1	jg15153
OG0003613	XP_006418436.1	jg30863, jg28461
OG0003614	XP_006418286.1	jg28606, jg28607
OG0003615	XP_006418000.1	jg28906, jg28907
OG0003616	XP_024008258.1	jg28957
OG0003617	XP_006417937.1	jg28982
OG0003617	XP_024008094.1	jg28983
OG0003619	XP_006398045.1	jg29387
OG0003620	XP_006392227.1	jg1020
OG0003621	XP_024009033.1	jg29454
OG0003622	XP_006417388.1	jg29522
OG0003623	XP_024005062.1	jg664
OG0003624	XP_006416967.1	jg29967
OG0003625	XP_006416799.1	jg3597
OG0003627	XP_024007819.1	jg30616
OG0003628	XP_006398096.1, XP_006398101.1	jg20663
OG0003629	XP_006412263.1	jg8948, jg14197
OG0003630	XP_006408846.1	jg17241
OG0003631	XP_006419126.1	jg14162, jg14164, jg14163
OG0003631	XP_006412311.1	jg8991
OG0003632	XP_006412506.1	jg17106, jg9181
OG0003633	XP_006390927.1	jg2616
OG0003633	XP_006416018.1	jg30993
OG0003634	XP_006396261.1	jg8178, jg8180
OG0003635	XP_006410232.1	jg18161
OG0003636	XP_006417798.1	jg29104
OG0003637	XP_006416070.2, XP_024010232.1	jg30931, jg30932
OG0003638	XP_006401809.1	jg24651
OG0003639	XP_006402087.1	jg21718
OG0003641	XP_024011104.1	jg17666
OG0003642	XP_024013597.1	jg12648, jg12649
OG0003645	XP_006413692.1	jg10329
OG0003646	XP_006401870.1	jg21889, jg21890
OG0003656	XP_006404261.1	jg14658
OG0003656	XP_006404260.1	jg14659
OG0003657	XP_006394376.1	jg23210
OG0003658	XP_006414015.1	jg10674
OG0003660	XP_006413664.1	jg10296
OG0003662	XP_006399671.2	jg4994
OG0003664	XP_006399443.1, XP_006399444.1, XP_006399445.1	jg4780
OG0003665	XP_006407505.1	jg25021
OG0003666	XP_006410137.1	jg18067
