Orthogroup	Eutrema_salsugineum	Rorippa_islandica
OG0001837	XP_006409548.1	Roisl.0045s0061.1.p
OG0001837	XP_006412275.1	Roisl.0008s0362.1.p
OG0001838	XP_006409349.1	Roisl.0066s0232.1.p
OG0001838	XP_024005546.1	Roisl.0001s0139.1.p
OG0001839	XP_006413516.1	Roisl.0008s0189.1.p
OG0001839	XP_006396959.1	Roisl.0213s0628.1.p
OG0001840	XP_006413606.1	Roisl.0091s0031.1.p
OG0001840	XP_024009981.1	Roisl.0213s0526.1.p
OG0001842	XP_024005658.1, XP_006392521.1	Roisl.0091s0255.1.p
OG0001843	XP_006396601.1	Roisl.0082s0302.1.p
OG0001843	XP_006413823.1	Roisl.0091s0222.1.p
OG0001844	XP_006396641.1	Roisl.0082s0260.1.p
OG0001844	XP_006413761.1	Roisl.0091s0174.1.p
OG0001845	XP_006417724.1	Roisl.0091s1094.1.p
OG0001845	XP_024014436.1	Roisl.0009s0210.1.p, Roisl.0213s0809.1.p
OG0001846	XP_006402910.1	Roisl.0026s0185.1.p
OG0001846	XP_006411402.1	Roisl.0028s0485.1.p
OG0001847	XP_024012883.1, XP_006397962.1	Roisl.0018s0420.1.p
OG0001848	XP_006402413.1	Roisl.0018s0340.1.p
OG0001848	XP_006397890.1	Roisl.0035s0039.1.p
OG0001849	XP_006402563.1	Roisl.0018s0186.1.p
OG0001849	XP_006397697.1	Roisl.0028s0068.1.p
OG0001850	XP_006402598.1	Roisl.0018s0143.1.p
OG0001851	XP_006402610.1	Roisl.0018s0130.1.p
OG0001852	XP_024012778.1	Roisl.0018s0120.1.p
OG0001852	XP_024010714.1	Roisl.0028s0155.1.p
OG0001853	XP_006402633.1	Roisl.0018s0110.1.p
OG0001854	XP_006402663.1	Roisl.0018s0081.1.p
OG0001855	XP_006411360.1	Roisl.0028s0528.1.p
OG0001855	XP_006402962.1	Roisl.0046s1670.1.p
OG0001856	XP_006411216.1	Roisl.0017s0355.1.p
OG0001856	XP_006403439.1	Roisl.0046s1551.1.p
OG0001857	XP_024013676.1, XP_006403541.1	Roisl.0046s1461.1.p, Roisl.0046s1462.1.p
OG0001858	XP_006403704.1	Roisl.0046s1308.1.p
OG0001858	XP_006410887.1	Roisl.0017s0046.1.p
OG0001859	XP_006411986.1	Roisl.0001s0275.1.p
OG0001859	XP_006409165.1	Roisl.0066s0074.1.p
OG0001860	XP_006411960.1	Roisl.0001s0300.1.p
OG0001860	XP_006409130.1	Roisl.0066s0040.1.p
OG0001861	XP_006391518.1	Roisl.0209s0032.1.p
OG0001862	XP_006396750.1	Roisl.0209s0250.1.p, Roisl.0082s0149.1.p
OG0001863	XP_024010193.1	Roisl.0082s0213.1.p
OG0001863	XP_024014028.1, XP_024009953.1, XP_024010525.1	Roisl.0082s0212.1.p
OG0001864	XP_006404744.1	Roisl.0046s0552.1.p
OG0001864	XP_006411848.1	Roisl.0001s0411.1.p
OG0001865	XP_006396016.1	Roisl.0072s0003.1.p
OG0001865	XP_006397292.1, XP_024010174.1	Roisl.0184s0023.1.p
OG0001866	XP_006417539.1	Roisl.0021s0018.1.p
OG0001866	XP_006407761.1	Roisl.0079s0215.1.p
OG0001867	XP_006411514.1	Roisl.0028s0362.1.p
OG0001869	XP_024008125.1	Roisl.0007s0036.1.p
OG0001871	XP_006408403.1	Roisl.0016s0191.1.p
OG0001872	XP_006407982.1	Roisl.0039s0158.1.p
OG0001872	XP_006406005.2	Roisl.0053s0326.1.p
OG0001873	XP_006417066.1	Roisl.0007s0756.1.p
OG0001873	XP_006395722.1	Roisl.0011s0215.1.p
OG0001874	XP_006405237.1	Roisl.0189s0082.1.p
OG0001874	XP_024005798.1	Roisl.0003s0281.1.p
OG0001875	XP_006414110.2, XP_006405609.1	Roisl.0009s0317.1.p
OG0001875	XP_006395312.1	Roisl.0188s0076.1.p
OG0001876	XP_006405621.1	Roisl.0070s0007.1.p
OG0001876	XP_024014778.1	Roisl.0070s0008.1.p
OG0001877	XP_006405777.1	Roisl.0046s0023.1.p
OG0001877	XP_006391463.1	Roisl.0024s0088.1.p
OG0001878	XP_006396240.1	Roisl.0191s0471.1.p
OG0001878	XP_006418438.1	Roisl.0210s0076.1.p
OG0001879	XP_006417431.1	Roisl.0021s0137.1.p
OG0001879	XP_006413247.1	Roisl.0022s0251.1.p
OG0001880	XP_006417426.1	Roisl.0021s0144.1.p
OG0001880	XP_006392117.1	Roisl.0214s0563.1.p
OG0001881	XP_006417277.1	Roisl.0021s0290.1.p
OG0001881	XP_006391897.1	Roisl.0209s0564.1.p
OG0001882	XP_006417273.1	Roisl.0021s0295.1.p
OG0001882	XP_024004439.1	Roisl.0209s0556.1.p
OG0001883	XP_006391782.1	Roisl.0010s0125.1.p
OG0001883	XP_006417204.1	Roisl.0021s0362.1.p
OG0001884	XP_024007058.1	Roisl.0011s0323.1.p
OG0001884	XP_006417144.1	Roisl.0021s0420.1.p
OG0001885	XP_006395784.1	Roisl.0011s0146.1.p
OG0001885	XP_006417003.1	Roisl.0007s0694.1.p
OG0001886	XP_006416923.2	Roisl.0007s0603.1.p
OG0001886	XP_006393335.1	Roisl.0013s0062.1.p
OG0001888	XP_024006656.1	Roisl.0019s0266.1.p
OG0001888	XP_006416720.1	Roisl.0007s0399.1.p
OG0001889	XP_024008360.1	Roisl.0007s0383.1.p
OG0001889	XP_006390641.1	Roisl.0019s0232.1.p
OG0001890	XP_006395791.1	Roisl.0011s0140.1.p
OG0001891	XP_006390926.2	Roisl.0019s0524.1.p
OG0001891	XP_006416019.1	Roisl.0191s0268.1.p
OG0001892	XP_024005099.1	Roisl.0001s0431.1.p
OG0001892	XP_006411830.1	Roisl.0001s0430.1.p
OG0001893	XP_024015766.1	Roisl.0023s0106.1.p
OG0001893	XP_006412474.1	Roisl.0003s0262.1.p
OG0001894	XP_006409626.1	Roisl.0047s0035.1.p
OG0001894	XP_006412302.1	Roisl.0008s0335.1.p
OG0001895	XP_024005191.1	Roisl.0003s0149.1.p
OG0001895	XP_006404977.1	Roisl.0051s0017.1.p
OG0001896	XP_024014214.1	Roisl.0051s0015.1.p
OG0001896	XP_006412603.1	Roisl.0003s0147.1.p
OG0001897	XP_024005155.1	Roisl.0003s0104.1.p
OG0001897	XP_024014293.1	Roisl.0021s0619.1.p
OG0001899	XP_006401148.2	Roisl.0063s0012.1.p
OG0001900	XP_006405588.1	Roisl.0009s0287.1.p
OG0001900	XP_006395335.1	Roisl.0188s0105.1.p
OG0001901	XP_024012594.1	Roisl.0210s1648.1.p
OG0001901	XP_006397528.1	Roisl.0028s0249.1.p
OG0001902	XP_006418520.1	Roisl.0214s0123.1.p
OG0001910	XP_006412691.1	Roisl.0003s0067.1.p
OG0001910	XP_024014108.1	Roisl.0021s0583.1.p
OG0001911	XP_006404903.1	Roisl.0021s0594.1.p
OG0001911	XP_024004422.1	Roisl.0003s0081.1.p
OG0001912	XP_006400178.1	Roisl.0210s1338.1.p
OG0001912	XP_006408388.1	Roisl.0016s0204.1.p
OG0001913	XP_006414996.1	Roisl.0016s0381.1.p
OG0001913	XP_006407837.1	Roisl.0079s0136.1.p
OG0001914	XP_006408425.1	Roisl.0016s0162.1.p
OG0001914	XP_006400108.1	Roisl.0210s1279.1.p
OG0001915	XP_006399842.1	Roisl.0210s1044.1.p
OG0001915	XP_006407762.1	Roisl.0079s0214.1.p
OG0001916	XP_006400503.1	Roisl.0210s1660.1.p
OG0001916	XP_006399746.1	Roisl.0210s0955.1.p
OG0001917	XP_006400511.1	Roisl.0210s1670.1.p
OG0001918	XP_006394746.1	Roisl.0046s0174.1.p
OG0001918	XP_024012317.1	Roisl.0210s0789.1.p
OG0001919	XP_006394738.1	Roisl.0046s0165.1.p
OG0001919	XP_006399559.1	Roisl.0210s0779.1.p
OG0001920	XP_006394066.1	Roisl.0024s0411.1.p
OG0001920	XP_006399494.1	Roisl.0210s0719.1.p, Roisl.0210s0718.1.p
OG0001921	XP_024011994.1	Roisl.0080s0814.1.p, Roisl.0052s0020.1.p
OG0001922	XP_006404741.1	Roisl.0046s0556.1.p
OG0001922	XP_006399447.1	Roisl.0210s0678.1.p
OG0001923	XP_006399422.1	Roisl.0210s0650.1.p
OG0001923	XP_006394173.1	Roisl.0024s0306.1.p
OG0001924	XP_006399270.1	Roisl.0210s0528.1.p
OG0001924	XP_006394530.1	Roisl.0080s0136.1.p
OG0001925	XP_006417882.1	Roisl.0091s0943.1.p
OG0001925	XP_024003947.1	Roisl.0082s0773.1.p
OG0001926	XP_024016747.1	Roisl.0033s0085.1.p
OG0001926	XP_006417884.2	Roisl.0091s0941.1.p
OG0001927	XP_006417946.1	Roisl.0091s0889.1.p
OG0001927	XP_006410242.1	Roisl.0033s0125.1.p
OG0001928	XP_006409601.2	Roisl.0047s0008.1.p
OG0001929	XP_024008362.1	Roisl.0091s0714.1.p
OG0001929	XP_006410451.1	Roisl.0028s0705.1.p
OG0001930	XP_006418196.1	Roisl.0210s0320.1.p
OG0001931	XP_024011464.1	Roisl.0189s0162.1.p, Roisl.0189s0161.1.p
OG0001932	XP_006397839.1	Roisl.0035s0092.1.p
OG0001933	XP_006415702.1	Roisl.0213s0065.1.p
OG0001934	XP_006415376.1	Roisl.0213s0381.1.p
OG0001934	XP_006410658.1	Roisl.0028s0917.1.p
OG0001935	XP_006410695.1	Roisl.0028s0955.1.p
OG0001935	XP_006415191.1	Roisl.0209s0175.1.p
OG0001936	XP_006403595.1, XP_006410691.1	Roisl.0028s0951.1.p
OG0001936	XP_006415179.1	Roisl.0209s0169.1.p
OG0001937	XP_006404064.1	Roisl.0046s0949.1.p
OG0001937	XP_006394452.1	Roisl.0024s0541.1.p
OG0001938	XP_024015143.1	Roisl.0074s0460.1.p
OG0001938	XP_024007423.1	Roisl.0080s0183.1.p
OG0001939	XP_024006748.1	Roisl.0210s2035.1.p
OG0001939	XP_006404211.1	Roisl.0046s0809.1.p
OG0001940	XP_006392333.1	Roisl.0023s0107.1.p
OG0001940	XP_006394798.1	Roisl.0046s0227.1.p
OG0001942	XP_006419090.1	Roisl.0027s0090.1.p
OG0001942	XP_006400799.2	Roisl.0210s1952.1.p
OG0001943	XP_006419056.1	Roisl.0019s0078.1.p
OG0001944	XP_006418898.1, XP_024012083.1	Roisl.0209s0342.1.p
OG0001945	XP_024004459.1	Roisl.0214s0580.1.p
OG0001945	XP_006392109.1	Roisl.0214s0550.1.p
OG0001946	XP_006401079.1	Roisl.0080s0451.1.p
OG0001946	XP_024005717.1	Roisl.0210s0447.1.p
OG0001947	XP_006401194.1	Roisl.0080s0545.1.p
OG0001947	XP_024005051.1	Roisl.0022s0233.1.p
OG0001948	XP_006401201.1	Roisl.0080s0553.1.p
OG0001948	XP_006413265.1	Roisl.0022s0236.1.p
OG0001949	XP_024016576.1	Roisl.0066s0250.1.p
OG0001950	XP_006405673.1	Roisl.0213s0840.1.p
OG0001951	XP_006413178.1	Roisl.0022s0307.1.p
OG0001951	XP_006401374.1	Roisl.0080s0714.1.p
OG0001952	XP_006401514.1	Roisl.0080s0847.1.p
OG0001952	XP_006413118.1	Roisl.0022s0367.1.p
OG0001953	XP_006401547.1	Roisl.0080s0873.1.p
OG0001953	XP_006413102.1	Roisl.0022s0383.1.p
OG0001954	XP_024014893.1	Roisl.0074s0779.1.p
OG0001954	XP_006399172.1	Roisl.0210s0431.1.p
OG0001955	XP_024012039.1	Roisl.0042s0006.1.p
OG0001955	XP_006407403.1	Roisl.0074s0818.1.p
OG0001956	XP_006398937.1	Roisl.0030s0209.1.p
OG0001957	XP_024015502.1	Roisl.0074s1035.1.p
OG0001957	XP_006398802.1	Roisl.0030s0073.1.p
OG0001958	XP_006398774.1	Roisl.0030s0048.1.p
OG0001958	XP_006407634.1	Roisl.0079s0342.1.p
OG0001959	XP_006398630.1	Roisl.0034s0071.1.p
OG0001960	XP_006395448.1	Roisl.0028s0378.1.p, Roisl.0011s0533.1.p
OG0001960	XP_006405448.1	Roisl.0009s0166.1.p
OG0001961	XP_006416882.1	Roisl.0007s0559.1.p
OG0001961	XP_006389806.1	Roisl.0115s0091.1.p
OG0001962	XP_006389836.1	Roisl.0115s0132.1.p
OG0001962	XP_006416859.1	Roisl.0007s0536.1.p
OG0001963	XP_006416855.1	Roisl.0007s0531.1.p
OG0001963	XP_006389845.1	Roisl.0115s0141.1.p
OG0001964	XP_024008148.1	Roisl.0007s0504.1.p
OG0001964	XP_006389879.1	Roisl.0115s0176.1.p
OG0001965	XP_006416345.1	Roisl.0007s0037.1.p
OG0001965	XP_006390180.1, XP_024008594.1	Roisl.0004s0235.1.p
OG0001966	XP_006412083.1, XP_006409266.2, XP_024016557.1, XP_006412072.2	Roisl.0001s0179.1.p
OG0001967	XP_006416382.1	Roisl.0007s0077.1.p
OG0001967	XP_006390213.1	Roisl.0004s0262.1.p
OG0001968	XP_006390257.1	Roisl.0004s0304.1.p
OG0001968	XP_024009688.1	Roisl.0004s0303.1.p
OG0001969	XP_024016597.1	Roisl.0066s0216.1.p
OG0001969	XP_006412122.1	Roisl.0001s0142.1.p
OG0001970	XP_006409290.1	Roisl.0066s0189.1.p
OG0001970	XP_006412096.1	Roisl.0001s0168.1.p
OG0001971	XP_006409254.1	Roisl.0066s0162.1.p
OG0001972	XP_006409246.2	Roisl.0066s0146.1.p
OG0001972	XP_006412042.1	Roisl.0001s0217.1.p
OG0001973	XP_006407141.1	Roisl.0074s0576.1.p
OG0001974	XP_006407028.1	Roisl.0074s0471.1.p
OG0001974	XP_006392804.1	Roisl.0006s0401.1.p
OG0001975	XP_006403741.2	Roisl.0046s1275.1.p
OG0001975	XP_006410831.1	Roisl.0054s0033.1.p
OG0001977	XP_006414878.1	Roisl.0075s0070.1.p
OG0001977	XP_024009742.1	Roisl.0053s0272.1.p
OG0001978	XP_024015377.1	Roisl.0016s0166.1.p
OG0001979	XP_006414694.1	Roisl.0075s0207.1.p
OG0001979	XP_006406101.1	Roisl.0053s0399.1.p
OG0001980	XP_006414665.1	Roisl.0002s0268.1.p
OG0001980	XP_006406118.1	Roisl.0115s0642.1.p
OG0001981	XP_006414428.1, XP_024015241.1	Roisl.0074s0282.1.p
OG0001982	XP_006403023.1	Roisl.0046s1611.1.p
OG0001982	XP_006411286.1	Roisl.0028s0607.1.p
OG0001983	XP_024009508.1	Roisl.0209s0339.1.p
OG0001984	XP_006395533.2	Roisl.0011s0444.1.p
OG0001984	XP_006417180.2	Roisl.0021s0381.1.p
OG0001985	XP_006398234.1	Roisl.0005s0292.1.p
OG0001985	XP_024005063.1	Roisl.0091s0404.1.p
OG0001986	XP_006393222.1	Roisl.0006s0035.1.p
OG0001987	XP_006393093.1	Roisl.0006s0154.1.p
OG0001987	XP_006406369.1	Roisl.0115s0385.1.p
OG0001988	XP_024006358.1	Roisl.0006s0215.1.p
OG0001988	XP_024015203.1	Roisl.0115s0455.1.p
OG0001989	XP_024006290.1	Roisl.0006s0288.1.p
OG0001991	XP_024014378.1, XP_024014377.1, XP_006405643.2, XP_006405501.2	Roisl.0009s0188.1.p
OG0001992	XP_006414178.1	Roisl.0091s0541.1.p
OG0001992	XP_024010949.1	Roisl.0005s0115.1.p
OG0001993	XP_024010012.1	Roisl.0191s0638.1.p
OG0001993	XP_006418367.1	Roisl.0210s0139.1.p
OG0001994	XP_006396832.1	Roisl.0213s0529.1.p
OG0001994	XP_006413601.1	Roisl.0091s0028.1.p
OG0001996	XP_006413714.1	Roisl.0091s0131.1.p
OG0001997	XP_006396623.1	Roisl.0082s0276.1.p
OG0001997	XP_006413799.1	Roisl.0091s0203.1.p
OG0001998	XP_006402319.1	Roisl.0018s0437.1.p
OG0001998	XP_006397990.1	Roisl.0067s0022.1.p
OG0001999	XP_006397726.1	Roisl.0028s0036.1.p
OG0001999	XP_006402532.1	Roisl.0018s0211.1.p
OG0002000	XP_006397689.1	Roisl.0028s0077.1.p
OG0002000	XP_006402570.1	Roisl.0018s0175.1.p
OG0002001	XP_024012873.1	Roisl.0018s0172.1.p
OG0002001	XP_024010780.1	Roisl.0028s0078.1.p
OG0002002	XP_006402627.1	Roisl.0018s0117.1.p
OG0002002	XP_006397605.1	Roisl.0028s0161.1.p
OG0002003	XP_006417461.1	Roisl.0021s0113.1.p
OG0002003	XP_006402823.1	Roisl.0026s0095.1.p
OG0002004	XP_006411424.1	Roisl.0028s0462.1.p
OG0002004	XP_006402888.1	Roisl.0026s0163.1.p
OG0002005	XP_006413038.1	Roisl.0022s0440.1.p
OG0002005	XP_006401693.1	Roisl.0031s0129.1.p
OG0002007	XP_006411111.1	Roisl.0017s0257.1.p
OG0002007	XP_024003973.1	Roisl.0017s0256.1.p
OG0002008	XP_006411069.1, XP_006411067.1	Roisl.0017s0220.1.p
OG0002009	XP_006403874.1	Roisl.0046s1148.1.p
OG0002009	XP_006411021.1	Roisl.0017s0181.1.p
OG0002010	XP_006398456.2	Roisl.0051s0003.1.p
OG0002011	XP_006404561.1	Roisl.0063s0043.1.p
OG0002011	XP_006411676.1	Roisl.0115s0714.1.p
OG0002012	XP_006397131.1	Roisl.0020s0047.1.p
OG0002013	XP_006408045.1	Roisl.0039s0095.1.p
OG0002013	XP_006394930.1	Roisl.0046s0365.1.p
OG0002014	XP_006402337.1	Roisl.0018s0419.1.p
OG0002014	XP_006397963.1	Roisl.0067s0052.1.p
OG0002015	XP_006397951.1	Roisl.0067s0060.1.p
OG0002015	XP_006402353.1	Roisl.0018s0402.1.p
OG0002016	XP_006406762.2	Roisl.0074s0604.1.p, Roisl.0080s0832.1.p, Roisl.0074s0227.1.p
OG0002017	XP_006411474.1	Roisl.0028s0410.1.p
OG0002017	XP_006402815.1	Roisl.0026s0086.1.p
OG0002018	XP_006408096.1	Roisl.0039s0049.1.p
OG0002018	XP_006392477.1	Roisl.0071s0008.1.p
OG0002019	XP_006407961.2, XP_024011939.1	Roisl.0210s1591.1.p
OG0002020	XP_006406761.1	Roisl.0074s0225.1.p
OG0002020	XP_006406759.1	Roisl.0074s0226.1.p
OG0002021	XP_006406748.1	Roisl.0074s0216.1.p
OG0002021	XP_006393492.1	Roisl.0013s0145.1.p
OG0002022	XP_006406731.1	Roisl.0074s0199.1.p
OG0002022	XP_006393465.1	Roisl.0013s0127.1.p
OG0002023	XP_006395281.1	Roisl.0184s0206.1.p
OG0002023	XP_006405640.1	Roisl.0022s0084.1.p
OG0002024	XP_024014619.1	Roisl.0210s2210.1.p
OG0002025	XP_006406189.1	Roisl.0115s0578.1.p
OG0002025	XP_006414611.1	Roisl.0002s0219.1.p
OG0002026	XP_006400415.1	Roisl.0210s1572.1.p, Roisl.0210s1574.1.p
OG0002027	XP_024009988.1	Roisl.0191s0521.1.p
OG0002027	XP_006418432.1	Roisl.0210s0084.1.p
OG0002028	XP_006396310.1	Roisl.0191s0561.1.p
OG0002028	XP_006418416.1	Roisl.0210s0102.1.p
OG0002029	XP_024009907.1	Roisl.0191s0562.1.p
OG0002029	XP_006418415.2	Roisl.0210s0103.1.p
OG0002030	XP_006418317.1	Roisl.0210s0195.1.p
OG0002030	XP_006396423.1	Roisl.0191s0660.1.p
OG0002031	XP_006415092.1	Roisl.0091s0808.1.p
OG0002032	XP_006392406.1	Roisl.0008s0060.1.p
OG0002032	XP_006417581.1	Roisl.0091s1218.1.p
OG0002033	XP_024007869.1	Roisl.0021s0123.1.p
OG0002033	XP_024016296.1	Roisl.0214s0618.1.p
OG0002034	XP_006417375.1	Roisl.0021s0201.1.p
OG0002034	XP_006392020.1	Roisl.0209s0724.1.p
OG0002035	XP_006417328.1	Roisl.0021s0249.1.p
OG0002035	XP_006391952.1	Roisl.0209s0638.1.p
OG0002036	XP_006391786.1	Roisl.0010s0100.1.p
OG0002036	XP_006417213.1	Roisl.0021s0352.1.p
OG0002037	XP_006417162.1	Roisl.0021s0401.1.p
OG0002038	XP_006416987.1	Roisl.0007s0673.1.p
OG0002038	XP_024007639.1	Roisl.0011s0101.1.p
OG0002039	XP_006416892.1	Roisl.0007s0569.1.p
OG0002041	XP_006416111.1	Roisl.0191s0161.1.p
OG0002041	XP_006390849.1	Roisl.0019s0458.1.p
OG0002042	XP_006405314.1	Roisl.0009s0054.1.p
OG0002042	XP_024015262.1	Roisl.0050s0068.1.p
OG0002043	XP_006411626.1	Roisl.0209s0298.1.p
OG0002044	XP_006409405.1	Roisl.0066s0286.1.p
OG0002045	XP_006412396.1	Roisl.0003s0341.1.p
OG0002045	XP_024016002.1	Roisl.0082s0468.1.p
OG0002047	XP_006404028.1	Roisl.0046s0987.1.p, Roisl.0046s0986.1.p, Roisl.0046s0988.1.p
OG0002048	XP_006397128.1	Roisl.0020s0051.1.p, Roisl.0020s0054.1.p
OG0002048	XP_024011256.1	Roisl.0020s0048.1.p, Roisl.0020s0049.1.p
OG0002056	XP_006401041.1	Roisl.0080s0408.1.p
OG0002056	XP_006404409.1	Roisl.0209s0431.1.p
OG0002057	XP_024013714.1	Roisl.0046s0719.1.p
OG0002057	XP_006394338.1	Roisl.0024s0162.1.p
OG0002058	XP_006400364.1	Roisl.0210s1525.1.p
OG0002058	XP_024015519.1	Roisl.0016s0331.1.p
OG0002059	XP_006400360.1	Roisl.0210s1522.1.p
OG0002059	XP_006399973.1	Roisl.0210s1161.1.p
OG0002060	XP_024011790.1	Roisl.0210s1514.1.p
OG0002060	XP_006400343.1	Roisl.0210s1502.1.p
OG0002061	XP_024015638.1	Roisl.0016s0279.1.p
OG0002061	XP_006400287.1	Roisl.0210s1446.1.p
OG0002062	XP_024011859.1	Roisl.0210s1384.1.p
OG0002063	XP_006408384.1	Roisl.0016s0208.1.p
OG0002063	XP_006400181.1	Roisl.0210s1342.1.p
OG0002064	XP_006408399.1	Roisl.0016s0194.1.p
OG0002065	XP_006408413.1	Roisl.0016s0183.1.p
OG0002065	XP_006400133.1	Roisl.0210s1302.1.p
OG0002066	XP_006408416.1	Roisl.0016s0175.1.p
OG0002066	XP_006400119.1	Roisl.0210s1291.1.p
OG0002067	XP_006399950.1	Roisl.0209s0202.1.p, Roisl.0210s1140.1.p
OG0002067	XP_006408538.2	Roisl.0016s0043.1.p
OG0002068	XP_006399849.1	Roisl.0210s1050.1.p
OG0002068	XP_006407327.1	Roisl.0074s0757.1.p
OG0002069	XP_006399798.1	Roisl.0210s0999.1.p
OG0002069	XP_006415787.1	Roisl.0015s0088.1.p
OG0002070	XP_006394837.1	Roisl.0046s0268.1.p
OG0002070	XP_006399678.1	Roisl.0210s0887.1.p
OG0002072	XP_024012204.1	Roisl.0210s0701.1.p
OG0002072	XP_006394115.1	Roisl.0024s0363.1.p
OG0002073	XP_024011944.1	Roisl.0210s0661.1.p
OG0002074	XP_024006999.1	Roisl.0080s0131.1.p
OG0002074	XP_006399265.1	Roisl.0210s0524.1.p
OG0002075	XP_006396527.1	Roisl.0082s0367.1.p
OG0002075	XP_006418240.1	Roisl.0210s0274.1.p
OG0002076	XP_006409812.1	Roisl.0082s0542.1.p
OG0002076	XP_006409813.2	Roisl.0082s0543.1.p
OG0002077	XP_006409854.1	Roisl.0082s0588.1.p
OG0002077	XP_006417735.1	Roisl.0091s1083.1.p
OG0002078	XP_006418019.1	Roisl.0091s0806.1.p
OG0002078	XP_006410335.1	Roisl.0017s0451.1.p
OG0002079	XP_006418042.1	Roisl.0091s0786.1.p
OG0002079	XP_006410360.1	Roisl.0017s0423.1.p
OG0002080	XP_006418194.1	Roisl.0210s0321.1.p
OG0002080	XP_006403136.1	Roisl.0012s0231.1.p
OG0002081	XP_006403347.1	Roisl.0214s0315.1.p
OG0002081	XP_006393606.1	Roisl.0066s0333.1.p
OG0002082	XP_006417022.1	Roisl.0007s0712.1.p
OG0002082	XP_006395756.1	Roisl.0011s0173.1.p
OG0002083	XP_006393871.1	Roisl.0024s0597.1.p
OG0002083	XP_024016490.1	Roisl.0066s0062.1.p
OG0002084	XP_006404086.1	Roisl.0046s0934.1.p
OG0002084	XP_006393943.1	Roisl.0024s0521.1.p
OG0002085	XP_006394100.2	Roisl.0024s0379.1.p
OG0002086	XP_006399217.1	Roisl.0210s0473.1.p
OG0002087	XP_006404129.1	Roisl.0046s0892.1.p
OG0002087	XP_006394720.1	Roisl.0046s0144.1.p
OG0002089	XP_006400613.1	Roisl.0210s1777.1.p
OG0002090	XP_006400802.1	Roisl.0210s1955.1.p
OG0002090	XP_006419086.1	Roisl.0027s0096.1.p
OG0002091	XP_006400927.1	Roisl.0080s0304.1.p
OG0002092	XP_006413246.1	Roisl.0022s0252.1.p
OG0002092	XP_006401234.1	Roisl.0080s0585.1.p
OG0002093	XP_024004358.1	Roisl.0022s0270.1.p
OG0002093	XP_006401263.1	Roisl.0080s0613.1.p
OG0002094	XP_006413183.1	Roisl.0022s0299.1.p
OG0002094	XP_024011879.1	Roisl.0080s0699.1.p
OG0002095	XP_006413147.1	Roisl.0022s0336.1.p
OG0002095	XP_006401471.1	Roisl.0080s0804.1.p
OG0002096	XP_006401517.1	Roisl.0080s0850.1.p
OG0002096	XP_006413116.1	Roisl.0022s0369.1.p
OG0002097	XP_006396483.1	Roisl.0082s0406.1.p
OG0002097	XP_006418268.1	Roisl.0210s0247.1.p
OG0002098	XP_006396490.1	Roisl.0001s0038.1.p
OG0002099	XP_006407461.1	Roisl.0074s0880.1.p
OG0002099	XP_006399036.1	Roisl.0042s0089.1.p
OG0002100	XP_006398642.1	Roisl.0034s0086.1.p
OG0002100	XP_006407717.1	Roisl.0079s0262.1.p
OG0002101	XP_006408332.1	Roisl.0016s0253.1.p
OG0002101	XP_024012489.1, XP_006395895.2	Roisl.0034s0061.1.p
OG0002102	XP_006395474.1	Roisl.0011s0510.1.p
OG0002103	XP_024011799.1	Roisl.0214s0654.1.p
OG0002103	XP_006416935.1	Roisl.0007s0613.1.p
OG0002104	XP_006416884.1	Roisl.0007s0560.1.p
OG0002104	XP_024009748.1	Roisl.0115s0088.1.p
OG0002105	XP_006416841.1	Roisl.0007s0515.1.p
OG0002105	XP_024008897.1	Roisl.0115s0156.1.p
OG0002106	XP_024008757.1	Roisl.0007s0491.1.p
OG0002106	XP_024012471.1	Roisl.0115s0200.1.p
OG0002108	XP_006389916.1	Roisl.0115s0209.1.p
OG0002108	XP_006416811.1	Roisl.0007s0485.1.p
OG0002109	XP_024008919.1	Roisl.0004s0097.1.p
OG0002110	XP_006390131.1	Roisl.0004s0191.1.p
OG0002110	XP_006416304.1	Roisl.0049s0048.1.p
OG0002111	XP_006416334.1	Roisl.0007s0021.1.p
OG0002111	XP_006390165.1	Roisl.0004s0222.1.p
OG0002112	XP_006392617.1	Roisl.0021s0532.1.p
OG0002112	XP_006407229.1	Roisl.0074s0655.1.p
OG0002113	XP_006392628.1	Roisl.0021s0542.1.p
OG0002113	XP_024015692.1	Roisl.0074s0650.1.p
OG0002114	XP_006407196.1	Roisl.0074s0632.1.p
OG0002114	XP_006392653.1	Roisl.0006s0541.1.p
OG0002115	XP_006391242.2, XP_024008049.1	Roisl.0019s0805.1.p
OG0002115	XP_006415799.1	Roisl.0015s0079.1.p
OG0002116	XP_024005118.1	Roisl.0075s0099.1.p
OG0002116	XP_006418832.1	Roisl.0053s0298.1.p
OG0002117	XP_024005665.1	Roisl.0075s0183.1.p
OG0002117	XP_024014927.1	Roisl.0053s0363.1.p
OG0002118	XP_006414699.1	Roisl.0075s0201.1.p
OG0002118	XP_006406092.1	Roisl.0053s0394.1.p
OG0002119	XP_006414559.1	Roisl.0002s0201.1.p
OG0002119	XP_006406209.1	Roisl.0115s0561.1.p, Roisl.0115s0554.1.p
OG0002120	XP_024008102.1	Roisl.0189s0252.1.p
OG0002120	XP_006413117.2	Roisl.0022s0368.1.p, Roisl.0189s0251.1.p
OG0002121	XP_024004730.1	Roisl.0091s0519.1.p
