Orthogroup	Eutrema_salsugineum	Arabidopsis_lyrata_NCBI
OG0004508	XP_006415648.1	XP_020869994.1
OG0004509	XP_006415614.1	XP_002890790.1
OG0004510	XP_006415579.1	XP_020868264.1, XP_020868263.1
OG0004511	XP_006415559.1	XP_002893572.1
OG0004512	XP_006415548.1	XP_020866681.1
OG0004513	XP_006415541.1	XP_020870731.1
OG0004514	XP_006405488.2, XP_024008840.1	XP_020885092.1
OG0004515	XP_006415512.1	XP_020868056.1
OG0004516	XP_006415434.1	XP_002890889.2
OG0004517	XP_006415352.2	XP_002891116.1
OG0004518	XP_024006669.1	XP_002875142.1
OG0004519	XP_006395737.1	XP_002875188.1
OG0004520	XP_006395682.2	XP_002876891.1, XP_002875224.1
OG0004521	XP_006393891.1	XP_002866726.1
OG0004522	XP_006394025.1	XP_002864959.1
OG0004523	XP_006394132.1	XP_002864910.1
OG0004524	XP_006394201.1	XP_002866594.1
OG0004525	XP_006394212.1	XP_002866588.1
OG0004526	XP_006391104.2, XP_006396932.1	XP_020869820.1, XP_020869792.1
OG0004527	XP_006394310.1	XP_002864839.1
OG0004529	XP_006394424.1	XP_002866476.1
OG0004530	XP_006394507.1	XP_002866434.1
OG0004531	XP_024007382.1	XP_020876103.1
OG0004532	XP_024006887.1	XP_020879741.1
OG0004533	XP_006394794.1	XP_002888423.1, XP_002874259.1
OG0004534	XP_006394816.2	XP_002874271.1
OG0004535	XP_006394817.1	XP_002874274.1
OG0004536	XP_006394865.1	XP_002874304.1
OG0004537	XP_006395903.1	XP_002870475.1
OG0004538	XP_006400587.1	XP_002871927.1
OG0004539	XP_024012311.1	XP_002874008.1
OG0004540	XP_006400653.1	XP_002874020.1
OG0004541	XP_006400655.1	XP_002874021.1
OG0004542	XP_006400669.1	XP_020878925.1
OG0004543	XP_006400683.1	XP_020878625.1
OG0004544	XP_006400703.2	XP_020878558.1
OG0004545	XP_006400736.1	XP_020879173.1
OG0004546	XP_006400777.1	XP_020878199.1
OG0004547	XP_006400879.1	XP_020888744.1, XP_020874048.1
OG0004549	XP_006400971.1	XP_020871648.1
OG0004550	XP_006400981.1	XP_020865935.1
OG0004551	XP_006401055.1	XP_020878744.1
OG0004552	XP_006401103.1	XP_020867112.1
OG0004553	XP_006417538.1	XP_020868167.1
OG0004555	XP_006401143.1	XP_020884322.1
OG0004556	XP_024005902.1	XP_002867924.1
OG0004557	XP_006401276.1	XP_002866169.1
OG0004558	XP_006401299.1	XP_020891543.1
OG0004559	XP_006418054.1	XP_020867626.1
OG0004560	XP_006401365.1	XP_020879471.1
OG0004561	XP_006401518.1, XP_006413112.1	XP_002867527.1
OG0004562	XP_006401541.2	XP_020866575.1
OG0004563	XP_006404149.1	XP_020881691.1
OG0004564	XP_006404162.2	XP_020881003.1
OG0004565	XP_006399208.1	XP_002873304.1
OG0004566	XP_006398929.1	XP_002873168.1
OG0004567	XP_006398902.1	XP_020876664.1
OG0004568	XP_024005907.1, XP_006414719.1, XP_006398860.1, XP_006402019.1, XP_006409429.2	XP_002873130.2
OG0004569	XP_006398801.1	XP_002871040.1
OG0004570	XP_006398730.1	XP_002870988.1
OG0004571	XP_006392093.1, XP_006407746.1, XP_006398568.1	XP_002884693.1
OG0004572	XP_006389773.1	XP_002889303.1
OG0004573	XP_024007085.1	XP_020890748.1
OG0004574	XP_024012782.1	XP_020891055.1
OG0004575	XP_006389872.1	XP_002889255.1
OG0004576	XP_006389971.1	XP_020890470.1
OG0004578	XP_006390005.1	XP_002889181.1
OG0004579	XP_006390049.1, XP_006390048.1	XP_020891220.1
OG0004580	XP_006390058.1	XP_002889158.1
OG0004583	XP_006390296.2	XP_002889030.1
OG0004584	XP_006390297.1	XP_002889029.1
OG0004585	XP_006415893.1	XP_002890678.1
OG0004586	XP_006392711.1	XP_002891793.1
OG0004587	XP_006395916.1	XP_020875022.1
OG0004588	XP_006392808.2	XP_020867170.1
OG0004589	XP_006410774.1	XP_002879589.1
OG0004590	XP_024008755.1	XP_002870392.2, XP_020882671.1
OG0004591	XP_024004605.1	XP_020872309.1
OG0004593	XP_006401765.1	XP_020871196.1
OG0004595	XP_006414914.2	XP_002863133.1, XP_020875823.1, XP_020876424.1
OG0004597	XP_006414711.1	XP_020872681.1, XP_020872680.1
OG0004598	XP_024005855.1	XP_020874500.1
OG0004599	XP_006390615.1	XP_002888894.2
OG0004600	XP_006413663.1	XP_020873546.1
OG0004601	XP_006390418.1	XP_002888980.1
OG0004602	XP_006391034.1	XP_002888713.1
OG0004603	XP_006412967.1	XP_002869270.1
OG0004604	XP_024005360.1	XP_020872045.1
OG0004606	XP_006402055.1	XP_002864080.1
OG0004607	XP_006395610.1	XP_002875291.1
OG0004608	XP_006390952.1	XP_002863112.1
OG0004609	XP_006398291.1, XP_024011153.1	XP_002865206.1
OG0004610	XP_006398207.1	XP_020882050.1
OG0004611	XP_006406364.2	XP_002885390.1
OG0004612	XP_024006283.1	XP_020868772.1, XP_020869450.1
OG0004613	XP_006393046.1	XP_002894321.1
OG0004616	XP_006392923.1, XP_006392917.1	XP_020867123.1
OG0004617	XP_006392849.1	XP_002894415.1
OG0004618	XP_006392848.1	XP_002891723.1
OG0004619	XP_006410737.1	XP_002881408.1
OG0004620	XP_024004614.1	XP_002870026.1
OG0004621	XP_006414103.1	XP_020872296.1
OG0004622	XP_006414895.1	XP_020874261.1, XP_020881255.1, XP_002868352.1
OG0004623	XP_006414122.1	XP_020875399.1
OG0004624	XP_006413542.1	XP_002869775.2
OG0004625	XP_006413564.1	XP_020873793.1
OG0004626	XP_006408927.1, XP_006409811.1	XP_002886232.2
OG0004627	XP_024016607.1	XP_002886095.1
OG0004628	XP_006413480.1	XP_002869742.1
OG0004629	XP_006413482.1	XP_002869744.2
OG0004630	XP_006413504.1	XP_002867686.2
OG0004631	XP_024005672.1	XP_002869764.2
OG0004633	XP_006413666.1	XP_020873683.1
OG0004635	XP_006413866.1	XP_002869929.1, XP_002869931.1
OG0004636	XP_006391754.1	XP_020890370.1, XP_002886411.1
OG0004637	XP_006397991.1	XP_020883163.1
OG0004638	XP_006402325.1	XP_020879777.1
OG0004640	XP_006402451.1	XP_002878404.1
OG0004641	XP_006402463.1	XP_020882197.1
OG0004642	XP_006402589.1	XP_020879637.1
OG0004643	XP_006402670.1	XP_020880265.1
OG0004644	XP_006413378.1	XP_002867641.1
OG0004645	XP_006402812.1	XP_002878183.1
OG0004646	XP_006402833.1	XP_002878176.1
OG0004647	XP_006402876.1	XP_002876421.1
OG0004648	XP_006402882.1	XP_020881414.1
OG0004650	XP_006402914.1	XP_020881678.1
OG0004651	XP_006402947.2	XP_020880088.1
OG0004652	XP_006402958.1	XP_002878104.1
OG0004653	XP_006402991.1	XP_020881682.1
OG0004654	XP_006403014.1	XP_020880894.1
OG0004655	XP_006403436.1	XP_002876316.1
OG0004656	XP_006403446.1	XP_002878039.1
OG0004657	XP_006403620.1	XP_020880254.1
OG0004658	XP_006403631.1	XP_002877951.1
OG0004659	XP_006401581.1	XP_020870694.1
OG0004660	XP_006401407.1, XP_006401650.1, XP_006401651.1	XP_020870403.1
OG0004661	XP_024006394.1	XP_002887143.1
OG0004662	XP_006391134.1	XP_002887183.1
OG0004663	XP_006409127.1	XP_002886186.1, XP_020886265.1
OG0004664	XP_006409081.1, XP_024014924.1	XP_020886559.1
OG0004665	XP_024016524.1	XP_020886097.1, XP_020886099.1
OG0004666	XP_006411323.1	XP_020884500.1
OG0004667	XP_024014142.1	XP_002880438.1
OG0004668	XP_006411279.1	XP_020885529.1
OG0004669	XP_006411253.1	XP_002881694.1, XP_020871378.1
OG0004670	XP_006411238.1	XP_020883141.1
OG0004671	XP_006411202.1	XP_002881672.1
OG0004672	XP_006411173.1	XP_020883747.1, XP_020890462.1
OG0004673	XP_006392022.2	XP_020883753.1
OG0004674	XP_006411132.1	XP_020885797.1
OG0004676	XP_006410997.1	XP_002879719.2
OG0004677	XP_024009821.1	XP_002874814.1, XP_020871122.1
OG0004678	XP_006396776.1	XP_020877736.1
OG0004679	XP_006393703.1	XP_020869581.1, XP_020869500.1
OG0004680	XP_006397158.1	XP_002874584.1
OG0004681	XP_006396947.1	XP_020878536.1
OG0004682	XP_006396864.1	XP_002872610.1, XP_020877949.1, XP_002887091.1
OG0004683	XP_006394897.1	XP_020876239.1
OG0004684	XP_006395000.1	XP_020876973.1
OG0004685	XP_006408954.1	XP_002884196.1
OG0004686	XP_006411945.1	XP_020872897.1
OG0004687	XP_006397744.1	XP_002882024.1
OG0004689	XP_006397642.1	XP_002881970.1
OG0004690	XP_006397511.1	XP_002881904.1
OG0004691	XP_006398399.1	XP_020887051.1, XP_020871144.1
OG0004692	XP_024015668.1	XP_020887570.1
OG0004693	XP_024015621.1	XP_020889328.1
OG0004694	XP_006408293.2	XP_002884391.1
OG0004695	XP_006408248.1	XP_020887036.1
OG0004696	XP_006394899.2	XP_002882440.1
OG0004696	XP_024015291.1	XP_020871987.1
OG0004697	XP_006408007.1	XP_020887157.1
OG0004698	XP_006407992.1	XP_002884553.1
OG0004699	XP_006407980.2	XP_002882450.1
OG0004700	XP_006407960.1	XP_020887549.1
OG0004701	XP_006407935.1	XP_020886771.1
OG0004702	XP_006407876.1, XP_006418688.1	XP_002884623.1
OG0004703	XP_024015752.1	XP_020889563.1
OG0004704	XP_006407808.1	XP_020889308.1
OG0004705	XP_006407749.1	XP_002882582.1
OG0004706	XP_006407683.1	XP_020887312.1
OG0004707	XP_006407404.1	XP_002882748.1
OG0004708	XP_024014891.1	XP_020888205.1
OG0004710	XP_006407304.1	XP_020887929.1
OG0004711	XP_006407282.1	XP_002884932.1
OG0004712	XP_024015042.1	XP_020887110.1
OG0004713	XP_006407145.1	XP_020885865.1
OG0004715	XP_006395234.1	XP_002863829.1
OG0004716	XP_006406975.1	XP_020886366.1
OG0004717	XP_006406968.1	XP_020886837.1
OG0004718	XP_006406846.1	XP_020888628.1
OG0004719	XP_006391336.1	XP_020889144.1
OG0004720	XP_024004387.1	XP_002883195.1
OG0004721	XP_006406598.1	XP_002885261.1
OG0004722	XP_006406588.1	XP_020887270.1
OG0004723	XP_006406332.1	XP_002885412.1
OG0004724	XP_024015026.1	XP_002885418.2
OG0004725	XP_006406310.1	XP_020888988.1
OG0004726	XP_006406299.1	XP_020886547.1
OG0004727	XP_006406298.1, XP_006406297.1, XP_006405197.2, XP_006406296.1	XP_002885429.1
OG0004728	XP_006405774.1	XP_002862327.2, XP_020874576.1, XP_020874584.1, XP_002868787.2
OG0004729	XP_006406068.1	XP_002883409.1
OG0004730	XP_024014952.1, XP_006406142.1	XP_002885515.1
OG0004731	XP_006406147.1	XP_002885512.1
OG0004732	XP_006412733.1	XP_002869386.1
OG0004733	XP_006400409.1	XP_002873906.1
OG0004734	XP_006400405.1	XP_002873902.2
OG0004735	XP_006400390.2	XP_020876827.1
OG0004736	XP_006403862.1	XP_020882550.1
OG0004737	XP_006403869.1	XP_002876110.2
OG0004738	XP_006401899.1	XP_002865880.1
OG0004739	XP_006413721.2, XP_006418493.2	XP_020868851.1
OG0004740	XP_006396301.1	XP_020877361.1
OG0004741	XP_006418284.1	XP_002892139.1
OG0004742	XP_006398449.1	XP_020871218.1
OG0004743	XP_024007887.1	XP_020870212.1
OG0004744	XP_006417963.1	XP_020867848.1
OG0004745	XP_024008251.1, XP_024004765.1	XP_020868590.1
OG0004746	XP_006417845.1	XP_020867492.1
OG0004747	XP_006417742.1	XP_002889677.1
OG0004748	XP_024008517.1	XP_020866855.1, XP_020866856.1
OG0004749	XP_024007824.1	XP_020866601.1
OG0004750	XP_006417680.1	XP_002892461.1
OG0004751	XP_006417620.1	XP_020868612.1
OG0004752	XP_006417616.1	XP_002889732.2
OG0004753	XP_006417515.1	XP_002892536.1
OG0004754	XP_006417578.1	XP_002892502.1
OG0004755	XP_006417547.2	XP_020868188.1
OG0004758	XP_006417499.1	XP_002889788.1
OG0004759	XP_006417496.1	XP_002889789.1
OG0004760	XP_006417486.1	XP_020867588.1
OG0004761	XP_006417444.1	XP_002887301.1
OG0004763	XP_006417260.1	XP_002889917.1
OG0004764	XP_006417221.1	XP_002889941.1
OG0004765	XP_024009817.1	XP_020877475.1, XP_020877478.1
OG0004766	XP_006417188.1	XP_020870522.1
OG0004767	XP_006417126.1	XP_020870551.1
OG0004769	XP_006416916.1	XP_020866765.1
OG0004770	XP_006416905.1	XP_020867320.1
OG0004772	XP_024009093.1	XP_020867776.1
OG0004773	XP_006416690.1	XP_002890233.1
OG0004774	XP_006416673.1	XP_020867479.1
OG0004776	XP_006416597.2	XP_002890283.2
OG0004777	XP_006416586.1	XP_020867621.1
OG0004778	XP_006416454.1	XP_020869349.1
OG0004780	XP_024009740.1	XP_020891270.1, XP_002862882.2
OG0004781	XP_006390760.2	XP_020891535.1
OG0004782	XP_006390840.1	XP_002888795.1
OG0004784	XP_024010934.1	XP_002887527.1
OG0004785	XP_006392392.1	XP_002891999.2
OG0004786	XP_006393383.1	XP_020870677.1
OG0004787	XP_006393382.1	XP_020866185.1, XP_020868410.1
OG0004788	XP_006404948.1	XP_020872888.1
OG0004789	XP_006411974.1	XP_020872399.1
OG0004790	XP_006411998.1	XP_002867013.1
OG0004791	XP_006412059.1	XP_020873011.1
OG0004792	XP_006412091.1	XP_002867068.1
OG0004793	XP_006412234.1	XP_020874007.1
OG0004794	XP_006412420.1	XP_020874462.1
OG0004795	XP_006412404.1	XP_020872444.1
OG0004796	XP_006412387.1	XP_002867198.1
OG0004797	XP_024005372.1	XP_002867163.1
OG0004798	XP_006412553.1	XP_020872893.1
OG0004799	XP_006418810.1	XP_002885613.1
OG0004800	XP_024009700.1	XP_020888451.1
OG0004801	XP_006390657.1	XP_002888874.1
OG0004802	XP_006390670.2	XP_002888870.1
OG0004803	XP_006390686.1	XP_002887422.1
OG0004804	XP_006390713.1	XP_002888857.1
OG0004805	XP_006416075.1	XP_020869258.1
OG0004806	XP_006415945.1	XP_020870507.1, XP_020875584.1
OG0004807	XP_006415937.1	XP_020867941.1
OG0004808	XP_006413464.1	XP_002867677.1
OG0004809	XP_006413008.1	XP_002867476.1
OG0004810	XP_006412976.1	XP_020875278.1
OG0004812	XP_006417909.1	XP_020867817.1
OG0004812	XP_006410195.2	XP_020882829.1
OG0004815	XP_006402328.1	XP_020882439.1
OG0004818	XP_006407804.1	XP_020886957.1
OG0004819	XP_006395816.1	XP_020882402.1
OG0004820	XP_006395328.1	XP_020882233.1
OG0004821	XP_006418922.1	XP_020880171.1
OG0004821	XP_006418921.1	XP_002877480.2
OG0004826	XP_006413234.1	XP_020873492.1
OG0004827	XP_006413419.1	XP_020873336.1
OG0004830	XP_006401769.1	XP_002865934.1, XP_020891450.1
OG0004833	XP_024016313.1, XP_024016320.1	XP_002890468.1
OG0004847	XP_006404430.2	XP_002877532.2
OG0004848	XP_006404395.1	XP_002877554.1
OG0004849	XP_024011199.1	XP_002864335.1
OG0004850	XP_006395883.1	XP_020881006.1
OG0004851	XP_006395800.1	XP_020881087.1
OG0004852	XP_006400323.1	XP_020877793.1
OG0004853	XP_024012571.1	XP_002873852.1
OG0004854	XP_024012632.1	XP_020878410.1
OG0004855	XP_006400263.1	XP_020879303.1
OG0004856	XP_006400253.1	XP_002873817.1
OG0004857	XP_006400194.1	XP_020878079.1
OG0004858	XP_024015524.1	XP_020889120.1
OG0004859	XP_006400169.1	XP_002871714.2
OG0004860	XP_006399875.1	XP_020879553.1
OG0004861	XP_006400078.1	XP_020876586.1
OG0004862	XP_006400032.1	XP_002873709.1
OG0004863	XP_006400027.1	XP_002873707.1
OG0004867	XP_006399953.1	XP_020878051.1
OG0004868	XP_006399923.1	XP_002873650.1
OG0004869	XP_006399903.1	XP_002873643.1
OG0004870	XP_006399894.1	XP_002873636.1
OG0004871	XP_006395099.1	XP_020871410.1, XP_020871409.1
OG0004872	XP_006399833.1	XP_020877589.1
OG0004873	XP_006399824.1	XP_020879309.1
OG0004874	XP_006399812.1	XP_020878353.1
OG0004875	XP_006399806.1	XP_002871551.1
OG0004876	XP_006407271.1	XP_020886314.1
OG0004877	XP_006399773.1	XP_002873583.1
OG0004878	XP_006399731.1	XP_020876263.1
OG0004879	XP_006399707.1	XP_020877228.1
OG0004880	XP_006399690.1	XP_002873529.2
OG0004881	XP_006399688.1	XP_002871497.1
OG0004882	XP_024012559.1	XP_020877553.1
OG0004883	XP_006399575.1	XP_020876755.1
OG0004884	XP_006399499.1	XP_002873437.1
OG0004885	XP_006399477.1	XP_020878188.1
OG0004886	XP_024012280.1	XP_002871371.1
OG0004887	XP_024011519.1	XP_002873391.2
OG0004888	XP_006399397.1	XP_020877311.1, XP_020877312.1
OG0004889	XP_006399351.1	XP_020877625.1
OG0004890	XP_006399342.1	XP_020878131.1, XP_020878167.1
OG0004891	XP_006399250.1	XP_020879222.1
OG0004893	XP_006396566.2	XP_020876368.1
OG0004894	XP_006413352.1	XP_020873603.1
OG0004895	XP_024005550.1	XP_002867630.1
OG0004896	XP_006413362.1	XP_020873332.1
OG0004897	XP_006413386.1	XP_002867645.1
OG0004898	XP_006408635.1	XP_020882806.1, XP_020872637.1
OG0004899	XP_006409880.1	XP_002879161.1
OG0004900	XP_006409881.1	XP_002879163.1
OG0004901	XP_006410002.1	XP_020884004.1, XP_020884700.1
OG0004902	XP_006410144.1	XP_002881089.2
OG0004903	XP_006410139.1	XP_002881094.1
OG0004904	XP_006410157.1	XP_002881118.1
OG0004905	XP_006410164.1	XP_002879270.1
OG0004906	XP_006410259.1	XP_020885738.1
OG0004907	XP_006410318.2	XP_002879347.1
OG0004908	XP_024003926.1	XP_020884231.1, XP_002879368.2
OG0004909	XP_006410490.1	XP_002881283.1
OG0004910	XP_006403150.1	XP_002865388.1
OG0004911	XP_006403117.1	XP_020886000.1
OG0004912	XP_024005701.1	XP_002869672.1
OG0004913	XP_006393550.1	XP_002894064.1
OG0004914	XP_006415689.1	XP_020869864.1
OG0004915	XP_006415688.1	XP_002893509.1
OG0004916	XP_006415654.1	XP_020867346.1
OG0004918	XP_006413170.1	XP_020873576.1, XP_020873581.1
OG0004919	XP_006415566.1	XP_020867239.1
OG0004920	XP_006415490.1	XP_020870723.1
OG0004921	XP_006395052.1	XP_002862194.1, XP_020890151.1
OG0004922	XP_006415354.1	XP_020867427.1, XP_020889642.1
OG0004923	XP_006415339.1	XP_020868814.1
OG0004924	XP_006415176.1	XP_002890995.1
OG0004925	XP_006393905.1	XP_002866719.1
OG0004926	XP_006393939.1	XP_002865005.1
OG0004927	XP_006393967.1	XP_002866696.1
OG0004928	XP_006393986.1	XP_002864981.1
OG0004930	XP_006394063.1	XP_002864946.1
OG0004931	XP_006401919.1	XP_020871151.1
OG0004932	XP_006394214.1	XP_002879705.2
OG0004933	XP_006394243.1	XP_020869831.1
OG0004934	XP_006394405.1	XP_002864789.1
OG0004935	XP_024006932.1	XP_002866402.1
OG0004936	XP_006394560.1	XP_002864708.1
OG0004937	XP_024007014.1	XP_002872048.1
OG0004938	XP_024007513.1	XP_020876253.1
OG0004939	XP_006405240.1	XP_020882731.1
OG0004940	XP_006400513.2	XP_002873952.1
OG0004941	XP_006400504.1	XP_002871885.1
OG0004942	XP_006400550.1	XP_002871910.1
OG0004943	XP_006400591.1	XP_020875850.1
OG0004944	XP_006400604.1	XP_020876786.1
OG0004945	XP_006400616.1	XP_020878988.1
OG0004946	XP_006400624.1	XP_002874007.1
OG0004947	XP_006400634.1	XP_020878231.1
OG0004948	XP_024011493.1	XP_002871956.1
OG0004949	XP_006400647.1	XP_002874015.2
OG0004950	XP_024010529.1, XP_006397250.1, XP_006400715.1	XP_002871987.2
OG0004951	XP_006400741.1	XP_002874066.1
OG0004952	XP_024012032.1	XP_002874067.1
OG0004953	XP_024012539.1	XP_020884146.1
OG0004955	XP_024012095.1	XP_002864599.1
OG0004956	XP_006401052.1	XP_002866286.1
OG0004957	XP_006401054.1	XP_020871321.1
OG0004958	XP_006401071.1	XP_020871836.1
OG0004959	XP_024011728.1	XP_020884171.1
OG0004960	XP_006401099.2	XP_020867065.1
OG0004961	XP_024012615.1	XP_020872016.1
OG0004962	XP_006401153.1	XP_002866238.1
OG0004963	XP_006401216.1	XP_002864512.1
OG0004964	XP_006401258.1	XP_020871848.1
OG0004965	XP_006401401.1	XP_020871161.1
OG0004966	XP_024012715.1	XP_020871203.1
OG0004967	XP_006401546.1	XP_020888968.1
OG0004970	XP_006396473.1	XP_002874907.1
OG0004971	XP_006399227.1	XP_020878006.1
OG0004972	XP_006406657.1	XP_020888613.1, XP_020879277.1
OG0004973	XP_006399089.1	XP_020875924.1
OG0004974	XP_006405406.1, XP_006392763.1	XP_002870659.1
OG0004975	XP_006399060.1	XP_002873232.1
OG0004976	XP_024011523.1	XP_020875904.1
OG0004977	XP_024012694.1	XP_020876006.1
OG0004978	XP_006398974.1	XP_020875975.1
OG0004979	XP_024012122.1	XP_020879593.1
OG0004980	XP_006398851.1	XP_002871063.1
OG0004982	XP_006398825.1	XP_002871053.1
OG0004983	XP_006398792.1	XP_020879483.1
OG0004984	XP_024014616.1	XP_020875314.1
OG0004985	XP_006405444.1	XP_020875547.1
OG0004986	XP_006405381.1	XP_002868607.1, XP_020874845.1
OG0004987	XP_006405347.1	XP_002870634.1
OG0004988	XP_006392817.1	XP_020867147.1
OG0004989	XP_006416920.1	XP_002892861.1
OG0004990	XP_006389785.1	XP_002887833.1
OG0004991	XP_006389795.1	XP_020890387.1
OG0004992	XP_006389805.1	XP_020890985.1
OG0004993	XP_006389816.1	XP_002862161.2, XP_020865766.1
OG0004994	XP_006389821.1	XP_020890868.1
OG0004995	XP_006389830.1	XP_002862367.2, XP_020891215.1
OG0004996	XP_006389847.1	XP_020890164.1
OG0004997	XP_006390015.1	XP_002887726.1
OG0004998	XP_006406972.1	XP_020872060.1, XP_020888774.1
OG0005000	XP_006390148.1	XP_002887660.1
OG0005001	XP_006390186.1	XP_002887643.2
OG0005002	XP_006390225.1	XP_002889065.1
OG0005003	XP_024009147.1	XP_002889053.1
OG0005004	XP_006390254.1	XP_020891280.1
OG0005005	XP_006390288.1	XP_002889034.1
OG0005006	XP_006390298.1	XP_020890647.1
OG0005007	XP_006390310.1	XP_002887591.1
OG0005008	XP_006409282.1	XP_020887285.1
OG0005009	XP_024012013.1	XP_020869344.1
OG0005009	XP_006407244.1	XP_002882813.1
OG0005010	XP_006392616.1	XP_020868476.1
OG0005011	XP_006407157.1	XP_002884994.1
OG0005012	XP_006392712.1	XP_020869983.1, XP_020866326.1
OG0005013	XP_006392724.1	XP_020870593.1
OG0005015	XP_006399609.1	XP_002891755.1
OG0005016	XP_006410775.1	XP_020883724.1
OG0005017	XP_006410790.1	XP_002881429.1
OG0005018	XP_024016688.1	XP_002879611.1
OG0005019	XP_006401814.1	XP_020884978.1
OG0005020	XP_006395310.1	XP_002875490.1
OG0005021	XP_024006851.1	XP_002870445.1
OG0005022	XP_006401757.1	XP_002865947.1, XP_002880896.1, XP_020868492.1
OG0005023	XP_024008987.1	XP_002893477.1
OG0005025	XP_006414901.2	XP_002865336.1, XP_020868768.1
OG0005026	XP_006414816.1	XP_020872311.1
OG0005027	XP_024015812.1, XP_006414605.2	XP_020874076.1
OG0005028	XP_006414319.1	XP_020872074.1
OG0005029	XP_006414430.2	XP_002870203.1
OG0005030	XP_006390616.1	XP_020891567.1
OG0005031	XP_006413531.1	XP_020873525.1
OG0005032	XP_006390577.1	XP_002887477.1
OG0005033	XP_006390479.1	XP_020865685.1
OG0005034	XP_006392082.1, XP_024012484.1	XP_002888985.1
OG0005035	XP_006391127.1	XP_020890585.1
OG0005036	XP_006391102.1	XP_020865661.1
OG0005037	XP_006391061.1	XP_020891195.1
OG0005038	XP_006412954.1	XP_002869502.1
OG0005039	XP_006412952.1	XP_020872436.1
OG0005040	XP_006412889.1	XP_002869457.2
OG0005042	XP_006405550.1	XP_020888051.1
OG0005043	XP_006395246.1	XP_002877230.1
OG0005044	XP_024007433.1	XP_002875382.2
OG0005045	XP_006417191.1	XP_002889972.1
OG0005046	XP_006395532.1	XP_020881189.1
OG0005047	XP_006395543.2	XP_020872319.1, XP_002876984.1
OG0005048	XP_006395603.2	XP_020880065.1
OG0005049	XP_006398324.1	XP_002863412.1
OG0005050	XP_006390737.2	XP_020865928.1
OG0005051	XP_006393072.2	XP_020868715.1
OG0005052	XP_006392898.1	XP_002894391.1
OG0005053	XP_006406935.1	XP_020888138.1
OG0005054	XP_006410515.1	XP_002881296.1
OG0005056	XP_006414060.1	XP_002870023.1
OG0005057	XP_006414138.1	XP_002870064.1
OG0005058	XP_006414159.1	XP_020873211.1
OG0005059	XP_006414218.1	XP_020872638.1
OG0005060	XP_006403957.1	XP_020882340.1
OG0005061	XP_006403590.1	XP_002877968.1
OG0005062	XP_006409627.1	XP_002883860.1
OG0005063	XP_006409356.1	XP_002884035.1
OG0005064	XP_006395203.1	XP_002863882.1
OG0005065	XP_006413597.2	XP_020873730.1
OG0005066	XP_006413613.1	XP_002867747.1
OG0005067	XP_006413620.1	XP_020873448.1
OG0005068	XP_006413621.1	XP_020873476.1
OG0005069	XP_006395294.1	XP_020880647.1
OG0005070	XP_006413819.1	XP_002869906.1
OG0005071	XP_006413779.1	XP_020873570.1
OG0005072	XP_006398523.1	XP_002875068.1
OG0005073	XP_006413731.1	XP_020873653.1
OG0005074	XP_006408273.1	XP_020888928.1
OG0005075	XP_006414360.1	XP_020873983.1
OG0005076	XP_006414344.2	XP_020873970.1
OG0005077	XP_024009212.1	XP_020870567.1
OG0005078	XP_006408503.2, XP_006409233.1	XP_002882182.1
OG0005079	XP_006393858.1	XP_020871566.1
OG0005080	XP_006402362.1	XP_002878467.1
OG0005081	XP_006402468.1	XP_002876622.1
OG0005082	XP_006402566.1	XP_020881697.1
OG0005083	XP_006402592.1	XP_020882411.1
OG0005084	XP_006408385.1	XP_020889325.1
OG0005085	XP_006395245.1	XP_002875560.1
OG0005086	XP_006402771.1	XP_002878228.1
OG0005087	XP_006402814.1	XP_020881120.1
OG0005088	XP_006402859.1	XP_002876428.1
OG0005089	XP_006402861.1	XP_002878164.1
OG0005090	XP_024012827.1	XP_020881317.1
OG0005091	XP_006403499.1	XP_002876283.1
OG0005092	XP_006403533.1	XP_020881225.1
OG0005093	XP_006403555.1	XP_002877990.1
OG0005094	XP_006403615.1	XP_002876241.1
OG0005096	XP_006415749.1	XP_020867753.1
OG0005097	XP_006418666.1	XP_020887623.1, XP_020879989.1
OG0005098	XP_024011070.1	XP_020877711.1
OG0005099	XP_006395118.1	XP_002865680.1
OG0005100	XP_006409208.1	XP_002884096.1
OG0005101	XP_006409170.1	XP_020888574.1
OG0005102	XP_006409085.1	XP_020887858.1
OG0005103	XP_006412814.1	XP_002867390.1
OG0005104	XP_006411357.1	XP_020885399.1
OG0005105	XP_006411291.1	XP_020885552.1
OG0005106	XP_006411205.1	XP_020883999.1
OG0005107	XP_006411169.1	XP_002879796.1
OG0005109	XP_024016448.1	XP_020888423.1
OG0005110	XP_006411029.1	XP_020884747.1, XP_002881576.2
OG0005111	XP_024003806.1	XP_002879730.1
OG0005112	XP_006411017.1	XP_020884538.1
OG0005113	XP_006410947.1	XP_020883177.1, XP_020883176.1
OG0005114	XP_006410938.1	XP_002881511.1
OG0005115	XP_006410870.1	XP_002879634.1
OG0005116	XP_006410858.2	XP_002881475.2
OG0005117	XP_006417955.1	XP_002888883.1
OG0005118	XP_006405053.1	XP_020883038.1
OG0005119	XP_006396693.1	XP_020877666.1
OG0005120	XP_006396673.1	XP_020878721.1
OG0005121	XP_006395658.1	XP_020881710.1, XP_020881655.1
OG0005122	XP_006396782.1	XP_020877641.1
OG0005123	XP_006396046.1	XP_002893826.1
