Orthogroup	Aethionema_saxatile	Alyssum_gmelinii
OG0001067	As007G153140	Ag004G325430
OG0001068	As007G153800	Ag005G484940
OG0001068	As010G241390	Ag003G239880
OG0001069	As010G238510	Ag003G227650
OG0001069	As007G155720	Ag004G332070
OG0001070	As007G161250	Ag003G247160
OG0001070	As010G231200	Ag005G415800
OG0001071	As008G183320	Ag004G319670
OG0001072	As009G216760	Ag005G457860, Ag004G381180, Ag002G184210, Ag006G495420, Ag008G723360
OG0001073	As011G250190	Ag002G121140, Ag002G115220, Ag007G581390, Ag005G456010
OG0001075	As012G270490	Ag001G007940, Ag005G462970
OG0001084	As011G267200	Ag005G403690
OG0001084	As001G000360	Ag003G254320
OG0001085	As011G266420	Ag005G405350
OG0001085	As001G001230	Ag003G257840
OG0001086	As001G010350	Ag003G276320
OG0001086	As006G139850, As011G262030	Ag003G276420, Ag003G276350
OG0001087	As001G014350	Ag003G282330
OG0001087	As001G014360	Ag003G282350
OG0001088	As001G026740	Ag008G671230, Ag001G058180
OG0001089	As001G027320	Ag008G728030, Ag004G349920
OG0001090	As001G027490, As001G027520, As001G027510	Ag002G176920, Ag007G587410, Ag001G063180
OG0001091	As010G222350	Ag008G691170
OG0001091	As002G042730	Ag008G677410
OG0001092	As002G047560	Ag006G505480
OG0001092	As009G210680	Ag006G505510, Ag006G504320, Ag006G505500, Ag006G505530, Ag006G505570, Ag006G504330, Ag006G505520
OG0001093	As005G109890	Ag008G719510
OG0001093	As002G051090	Ag007G609150
OG0001094	As002G053280	Ag007G604040
OG0001094	As005G118310	Ag008G732610
OG0001095	As004G093100, As004G093080, As004G093090	Ag001G020780, Ag001G020940
OG0001096	As012G284440	Ag001G086120
OG0001096	As005G105060	Ag002G192900
OG0001097	As010G224310	Ag001G023420
OG0001097	As005G115430	Ag008G707580
OG0001098	As005G118860	Ag008G733600
OG0001099	As006G122020	Ag003G271730, Ag004G298420, Ag006G515610
OG0001100	As006G125750	Ag007G589140, Ag007G589200, Ag007G589130, Ag007G589190
OG0001101	As009G200370	Ag007G614670
OG0001101	As006G133080	Ag002G125370, Ag005G476370, Ag008G708680
OG0001102	As006G135240	Ag005G489810
OG0001102	As009G201520	Ag007G619710
OG0001103	As009G207010	Ag007G638480
OG0001103	As006G137690	Ag005G485510
OG0001104	As006G138120, As009G206960	Ag007G637790, Ag005G484730
OG0001105	As010G243540	Ag003G209360
OG0001105	As007G152280	Ag004G323900
OG0001106	As007G153300	Ag004G325680
OG0001106	As010G242200	Ag003G212520
OG0001107	As007G154350	Ag004G328670
OG0001108	As007G155300	Ag004G331110
OG0001109	As010G235960	Ag003G217700, Ag003G217610, Ag003G217570
OG0001109	As007G157790	Ag004G337880
OG0001110	As010G232990	Ag004G347160, Ag004G347010
OG0001111	As010G228810	Ag004G355900
OG0001111	As007G162030	Ag008G726950
OG0001112	As009G207970	Ag002G130780
OG0001113	As009G210730	Ag006G505620
OG0001114	As009G211960	Ag006G504590, Ag006G504580
OG0001115	As010G241340	Ag003G239710, Ag004G327150
OG0001116	As012G271470	Ag001G010770
OG0001116	As011G253270	Ag005G442620, Ag005G443770
OG0001117	As012G274810, As012G274800	Ag001G032630, Ag001G032740, Ag001G032650, Ag001G032580, Ag001G032620
OG0001124	As011G265980	Ag005G407270, Ag005G403560
OG0001124	As012G276130, As001G000460	Ag003G251080
OG0001125	As001G015980	Ag007G579160
OG0001127	As008G182820	Ag004G321030
OG0001127	As001G023280	Ag003G225890
OG0001128	As008G183850	Ag004G318380
OG0001129	As001G027480	Ag006G514020
OG0001130	As001G028120	Ag008G674550
OG0001130	As004G077980	Ag007G647640
OG0001131	As002G048950	Ag008G702130
OG0001132	As005G107970	Ag006G494530
OG0001132	As002G034660	Ag005G476670
OG0001133	As002G047010	Ag003G250820, Ag008G694900
OG0001134	As002G050280, As002G050290	Ag007G611750, Ag007G611740
OG0001135	As005G117880	Ag008G731910
OG0001135	As002G053400	Ag007G603720
OG0001136	As003G056250	Ag006G576750
OG0001136	As004G089250	Ag002G120100
OG0001137	As004G087840	Ag002G103820
OG0001137	As003G057700	Ag006G571520
OG0001138	As003G060280	Ag006G553570, Ag005G490060, Ag003G279670, Ag002G140620
OG0001139	As003G067410	Ag007G583870
OG0001139	As007G162130	Ag003G247010, Ag004G374810
OG0001140	As003G072340, As011G264830	Ag003G287800
OG0001141	As010G224380	Ag001G052110
OG0001142	As004G095910	Ag001G035250
OG0001143	As012G286700	Ag002G201140
OG0001143	As005G102010	Ag001G093220
OG0001144	As012G286050	Ag001G092190
OG0001144	As005G102790	Ag002G199410
OG0001146	As005G105940	Ag008G730280, Ag002G191440
OG0001147	As005G110350	Ag008G719450, Ag004G381030
OG0001149	As010G220420	Ag001G067640
OG0001149	As005G120550	Ag001G099510
OG0001150	As009G202000	Ag007G621120
OG0001150	As006G135560	Ag005G489140
OG0001151	As006G140390	Ag005G480860
OG0001152	As012G282810	Ag001G081200
OG0001152	As006G142300	Ag002G187340
OG0001153	As006G144900	Ag002G166760
OG0001154	As010G238340	Ag003G227190
OG0001154	As007G155790	Ag004G332220
OG0001155	As007G156380	Ag004G333860
OG0001156	As007G159660	Ag003G242280
OG0001156	As010G233350	Ag004G345210
OG0001157	As008G186030	Ag004G313710, Ag004G313780, Ag004G313850, Ag007G620330, Ag004G313760, Ag004G313840, Ag004G313870, Ag004G313820, Ag004G313830
OG0001157	As008G186040	Ag004G313630
OG0001158	As010G233690	Ag004G344270, Ag003G241390
OG0001159	As010G236770, As010G236800, As010G236780, As010G236790	Ag003G219730, Ag003G219740
OG0001160	As011G245380	Ag001G001780
OG0001160	As012G268400	Ag005G469170, Ag005G469160
OG0001161	As011G253310	Ag005G443670, Ag005G442360
OG0001161	As012G271410	Ag001G010660
OG0001162	As012G273060	Ag001G021330, Ag001G021360
OG0001169	As002G045450, As002G045480	Ag003G290250, Ag008G688460, Ag008G690000
OG0001170	As022G292050, As022G292140, As048G294600, As012G279330, As012G280590, As009G206290, As001G015180	Ag005G484070
OG0001171	As001G021220	Ag004G373820
OG0001172	As001G024140	Ag008G662530
OG0001172	As008G183530	Ag004G319120
OG0001173	As002G032750	Ag007G619670, Ag004G399590
OG0001174	As002G036310	Ag005G474660
OG0001175	As002G047920	Ag008G698260
OG0001176	As005G118510	Ag008G733000
OG0001176	As002G052820	Ag007G604920
OG0001177	As002G054880	Ag007G600560
OG0001178	As002G055020	Ag007G600270
OG0001178	As009G217930	Ag008G725720, Ag008G725690, Ag008G725670, Ag008G725680
OG0001179	As003G057140	Ag006G574110
OG0001180	As003G057900	Ag006G570220
OG0001180	As004G087660	Ag002G103040
OG0001181	As003G059790	Ag006G566890
OG0001181	As004G085930	Ag002G138060, Ag002G134550
OG0001182	As004G081230	Ag002G160010
OG0001182	As003G069510	Ag007G582580
OG0001183	As003G072080	Ag003G286590
OG0001183	As011G264670, As010G236540	Ag005G414160
OG0001184	As012G287840	Ag001G095850
OG0001184	As005G100420	Ag002G203750
OG0001185	As012G287600	Ag001G095120
OG0001185	As005G100800	Ag002G203300
OG0001186	As012G285360	Ag001G090390
OG0001187	As006G126100	Ag007G589410
OG0001187	As008G195000	Ag004G303790
OG0001188	As006G128390	Ag001G003180, Ag007G593130
OG0001189	As006G132950	Ag001G100580
OG0001189	As009G200010	Ag007G614050
OG0001190	As006G137230	Ag005G486330
OG0001190	As009G204060	Ag007G631480
OG0001191	As009G206340	Ag007G637060
OG0001191	As006G138540	Ag005G484150
OG0001192	As012G274380	Ag001G030940, Ag001G029590
OG0001192	As006G140360	Ag005G480920
OG0001193	As012G282070	Ag001G079120
OG0001193	As006G143230	Ag002G183840
OG0001194	As012G282360	Ag001G080130, Ag001G080060
OG0001194	As006G143580	Ag005G478840
OG0001195	As007G153910	Ag004G327380
OG0001195	As010G241270	Ag003G239510
OG0001196	As010G238520	Ag003G227660
OG0001196	As007G155700	Ag004G332040
OG0001197	As008G186880	Ag008G715480, Ag001G075470
OG0001200	As009G212830	Ag008G719020
OG0001200	As012G268800	Ag001G002530, Ag001G002550, Ag001G002570, Ag001G002520
OG0001200	As012G268790	Ag001G002590, Ag001G002580
OG0001201	As009G216930	Ag008G723680
OG0001201	As010G222450	Ag008G690580
OG0001202	As010G221230	Ag001G060360
OG0001203	As010G226280	Ag001G083410
OG0001205	As011G247320	Ag005G464330
OG0001207	As012G274390	Ag001G029600, Ag001G030950
OG0001207	As011G249080	Ag005G459790
OG0001208	As012G273020	Ag001G021110
OG0001208	As011G250940	Ag005G452970
OG0001209	As011G251200	Ag005G451020
OG0001222	As001G003410	Ag003G268120
OG0001223	As001G013780	Ag003G273790
OG0001224	As008G188670	Ag004G309570
OG0001224	As001G019000	Ag004G366390
OG0001225	As001G025730	Ag008G667510, Ag004G374180
OG0001226	As001G026900	Ag002G117630, Ag002G117640
OG0001227	As002G034420	Ag005G476860
OG0001227	As005G107870	Ag006G494080
OG0001229	As002G049770, As002G049710, As002G049750, As002G047650, As002G047640, As002G048550, As002G048440, As002G048410, As002G048430	Ag004G384940, Ag004G385000, Ag004G385040, Ag004G384980, Ag004G385090, Ag004G384970, Ag008G722120, Ag008G722140, Ag008G722160, Ag008G722130
OG0001230	As009G218340	Ag008G726560
OG0001230	As002G055400	Ag006G507850
OG0001231	As009G218430	Ag008G726750
OG0001231	As002G055440	Ag006G507570
OG0001232	As003G057340	Ag006G572620
OG0001233	As003G060920	Ag006G550770
OG0001233	As004G084810	Ag003G263830, Ag003G263190, Ag008G694510, Ag002G143510
OG0001234	As010G238140	Ag003G226160
OG0001234	As003G065230	Ag007G584680
OG0001235	As010G228510, As011G264390	Ag005G416000
OG0001235	As003G071710	Ag003G285490
OG0001236	As004G096250	Ag001G034230
OG0001236	As006G125660	Ag001G002170, Ag007G589320
OG0001237	As005G101170	Ag002G202710
OG0001237	As012G287400	Ag001G094450
OG0001238	As012G287280	Ag002G202580
OG0001238	As005G101270	Ag001G094230
OG0001239	As012G285940	Ag001G091800
OG0001239	As005G103030	Ag002G198750
OG0001240	As005G103570	Ag002G197880, Ag002G197810, Ag002G197830
OG0001240	As005G103560	Ag002G197900
OG0001241	As005G103630	Ag002G197700, Ag002G197690
OG0001242	As005G108180	Ag006G495160
OG0001243	As005G110180	Ag008G719290, Ag004G356370, Ag008G719280
OG0001245	As010G220630	Ag001G063060
OG0001245	As005G120340	Ag004G353940, Ag001G099840
OG0001246	As006G122500	Ag006G513920
OG0001247	As006G123620	Ag007G599530
OG0001247	As006G141330	Ag005G479440
OG0001248	As006G129030, As006G129020, As008G192650	Ag007G594610, Ag007G594590
OG0001249	As006G130480, As006G148330, As006G148320	Ag008G725240, Ag002G176480, Ag002G176660
OG0001250	As009G201070	Ag007G618640
OG0001250	As006G135030	Ag005G490080
OG0001251	As006G135310	Ag005G489640
OG0001251	As009G201580	Ag007G619870
OG0001252	As009G202070	Ag005G489110
OG0001253	As006G138960	Ag005G483320
OG0001253	As009G205910, As007G182060	Ag007G636010
OG0001254	As012G271900	Ag001G011150
OG0001254	As006G148850	Ag002G164800
OG0001255	As010G241660	Ag003G214230
OG0001255	As007G153580	Ag004G326380
OG0001256	As010G241030	Ag003G238910
OG0001256	As007G153970	Ag004G327570
OG0001257	As010G240510	Ag003G237120
OG0001257	As007G154290	Ag004G328540
OG0001258	As007G155250	Ag004G331020
OG0001258	As010G238870	Ag003G229650
OG0001259	As007G155870	Ag004G332360, Ag004G332350
OG0001259	As010G238270	Ag003G226980
OG0001260	As007G163650	Ag012G741080, Ag003G246520
OG0001261	As008G183080	Ag004G320170, Ag008G661310
OG0001262	As008G183230	Ag004G319930, Ag004G320000, Ag004G319960, Ag004G319980, Ag004G319970, Ag004G319950
OG0001263	As008G185060	Ag004G315430, Ag004G380670
OG0001264	As011G245280	Ag005G469500
OG0001264	As012G268320	Ag001G001400
OG0001265	As012G271440	Ag001G010710
OG0001265	As011G253290	Ag005G442590, Ag004G323700, Ag005G443740
OG0001274	As007G178240	Ag006G524860
OG0001274	As001G003270	Ag003G267830
OG0001275	As007G156730	Ag004G334620
OG0001275	As001G014870	Ag003G283500
OG0001276	As001G021540	Ag004G374720
OG0001276	As008G186480	Ag004G313130
OG0001277	As001G021700	Ag004G376210, Ag004G376220
OG0001278	As001G026660, As001G026620	Ag008G670840
OG0001279	As009G200780	Ag007G617160
OG0001279	As006G134750	Ag005G490470
OG0001280	As001G027620	Ag007G605820, Ag001G076190
OG0001280	As004G078400	Ag005G473800
OG0001281	As003G061850	Ag004G398000
OG0001281	As004G098150, As001G030710	Ag005G451920, Ag004G354800, Ag004G322220, Ag007G656770
OG0001282	As002G032810, As002G048530, As008G190450	Ag008G700450
OG0001283	As012G283460	Ag001G083190
OG0001283	As002G033170	Ag002G189930
OG0001284	As002G040880	Ag001G040840
OG0001284	As009G219310	Ag008G728600
OG0001285	As002G046220	Ag001G057310
OG0001286	As002G046800, As002G046810	Ag008G694390
OG0001287	As002G047070	Ag008G694960
OG0001288	As002G051870	Ag007G607390
OG0001289	As003G055830	Ag006G577550
OG0001289	As004G090340	Ag002G114270, Ag002G121960, Ag002G121970
OG0001290	As004G084370	Ag002G146290
OG0001290	As003G061690	Ag006G546920, Ag006G542020
OG0001291	As003G062370	Ag006G540940
OG0001292	As006G128480	Ag007G593410
OG0001292	As003G068450, As006G132720	Ag005G490570
OG0001293	As012G285310, As003G069570	Ag001G090280
OG0001294	As007G180370	Ag006G522710
OG0001294	As003G074750	Ag003G293330
OG0001295	As004G077550, As004G077530, As004G077540, As004G077570	Ag001G025870
OG0001296	As004G079870	Ag006G523450, Ag002G206170, Ag008G733080
OG0001297	As004G085780	Ag002G138870, Ag002G138840
OG0001298	As004G095930	Ag001G035220, Ag005G437770
OG0001299	As005G100270	Ag002G204170, Ag002G204160, Ag002G204150
OG0001300	As012G284530	Ag001G086290
OG0001300	As005G104930	Ag002G193700
OG0001301	As012G284300	Ag001G085710
OG0001301	As005G105210	Ag002G193350
OG0001302	As005G119060	Ag008G733920
OG0001302	As010G221410	Ag001G058740
OG0001303	As006G121100	Ag006G519040
OG0001303	As008G199380	Ag004G297490
OG0001304	As006G129740	Ag004G307690, Ag007G595610
OG0001305	As006G138870	Ag005G483870
OG0001305	As009G206160	Ag007G636670
OG0001306	As009G205940	Ag007G636130
OG0001306	As006G138930	Ag005G483370
OG0001308	As006G144870	Ag002G166650
OG0001309	As006G147030	Ag002G174770
OG0001309	As012G278060	Ag001G074030
OG0001310	As007G153270	Ag004G325640
OG0001310	As010G242210	Ag003G212510
OG0001311	As009G206930	Ag007G579540
OG0001312	As009G209520	Ag007G643960
OG0001313	As010G229670	Ag004G353810
OG0001314	As011G245230	Ag005G469610
OG0001314	As012G268220, As012G268230	Ag001G001240
OG0001315	As011G247950	Ag005G462720, Ag001G008290
OG0001316	As012G273940	Ag001G026620
OG0001316	As011G249510	Ag005G458010
OG0001317	As012G272280	Ag001G015320, Ag005G447610
OG0001318	As012G274540	Ag001G030180
OG0001319	As012G276400, As012G276590	Ag002G167850
OG0001328	As001G003730	Ag003G268990, Ag006G527520
OG0001329	As001G011520, As384G298040, As010G228770, As010G228760	Ag001G050370
OG0001330	As011G264300	Ag005G416240
OG0001330	As001G015630	Ag003G284980
OG0001331	As001G019080	Ag003G259990, Ag004G366660, Ag004G367390, Ag004G386380
OG0001332	As001G019570	Ag004G367740
OG0001332	As008G187940	Ag004G310650
OG0001333	As001G021210	Ag004G373800
OG0001333	As008G186610	Ag004G312940
OG0001334	As008G182480	Ag004G322000
OG0001334	As001G022740	Ag008G659210, Ag008G658100
OG0001335	As009G214520	Ag006G498270
OG0001335	As002G035960	Ag005G475210
OG0001336	As002G037540	Ag005G472360, Ag006G504280
OG0001337	As002G045530	Ag008G688300, Ag008G690130
OG0001338	As002G045540	Ag008G690140, Ag008G688290
OG0001339	As002G047440	Ag008G696250
OG0001340	As002G052060, As002G052070, As010G238380	Ag007G606800
OG0001341	As009G215560	Ag008G721420
OG0001341	As002G052360	Ag007G605860
OG0001342	As002G053260	Ag007G604080
OG0001342	As005G118290	Ag008G732590
OG0001343	As002G054600	Ag007G601080
OG0001343	As009G217260	Ag008G724240
OG0001344	As003G056040	Ag006G577190
OG0001344	As004G089590	Ag002G115550, Ag002G120810
OG0001345	As003G057260	Ag006G573830
OG0001345	As004G088210	Ag002G105840
OG0001346	As003G058800	Ag006G562080
OG0001347	As003G061790	Ag001G100170
OG0001348	As011G264720	Ag005G414310
OG0001349	As011G265000	Ag005G412880
OG0001349	As003G072460	Ag003G288320, Ag003G288330
OG0001350	As003G074310	Ag003G292450
OG0001351	As004G076770	Ag008G692420, Ag007G599360
OG0001353	As004G087990	Ag002G104140, Ag006G572170, Ag006G572220, Ag006G572280, Ag006G572260, Ag002G104330
OG0001354	As012G288470	Ag001G097810
OG0001354	As005G099420	Ag002G205960
OG0001355	As012G287310	Ag002G192810, Ag004G391720, Ag001G094260
OG0001355	As005G101250	Ag002G202600
OG0001356	As012G284960	Ag001G088580
OG0001357	As005G105170	Ag002G193300
OG0001358	As005G105450	Ag002G191930
OG0001358	As012G284050	Ag001G085020
OG0001359	As010G224750	Ag001G051540
OG0001359	As005G114870	Ag008G709910
OG0001360	As006G125720	Ag007G589230
OG0001361	As006G125770	Ag007G589050
OG0001361	As008G195770	Ag004G302990
OG0001362	As011G253020	Ag005G444610
OG0001362	As006G130570	Ag007G597690
OG0001363	As006G132630, As006G132640	Ag007G607980
OG0001364	As009G200770	Ag007G617140
OG0001364	As006G134740	Ag005G490500, Ag005G490480
OG0001365	As006G134810	Ag005G490390
OG0001365	As009G201450	Ag007G617430
OG0001366	As009G201800	Ag007G620560
OG0001366	As006G135460	Ag005G489320
OG0001367	As009G207270, As006G140140	Ag005G481380
OG0001368	As006G147840	Ag002G164630
OG0001370	As007G157050	Ag004G335860
OG0001370	As010G236860	Ag003G219980
OG0001372	As009G202990	Ag005G488090, Ag007G624210
OG0001373	As012G273140	Ag001G024310
OG0001373	As011G250390, As010G231610	Ag005G455280
OG0001374	As010G238300	Ag003G227090, Ag004G332300
OG0001375	As010G243020	Ag003G210970
OG0001376	As011G246000	Ag005G467830
OG0001376	As012G269100	Ag001G003590
OG0001377	As011G248870	Ag005G460210, Ag005G460220, Ag005G460140
OG0001378	As012G273750	Ag001G025310, Ag001G024910
OG0001378	As011G249840	Ag005G457100
OG0001379	As011G252120	Ag005G433760
OG0001379	As012G272210	Ag001G015150
OG0001380	As011G252170	Ag005G446840
OG0001381	As012G274100	Ag004G314930, Ag001G027080, Ag002G126310, Ag001G027630
OG0001391	As004G095000, As004G094980, As004G095020, As001G001800, As004G095040, As004G094950, As004G094970, As004G094990	Ag005G471460, Ag005G471470
OG0001392	As001G014820	Ag003G283220
OG0001392	As011G263580	Ag005G417600
OG0001393	As011G264210	Ag005G416570
OG0001393	As001G015550	Ag003G285320
OG0001394	As001G016470, As001G016510, As001G016490	Ag003G215870, Ag006G573980
OG0001395	As001G018280	Ag003G248450
OG0001397	As008G187330	Ag004G311550
OG0001397	As001G020160	Ag004G369260
OG0001398	As001G022600	Ag008G659170, Ag008G658030, Ag004G322320
OG0001399	As001G023670	Ag008G660940, Ag004G320580
OG0001400	As001G024770	Ag008G664230
OG0001400	As008G183950	Ag004G317820
OG0001401	As001G027400	Ag007G649510
OG0001401	As009G201390, As009G201400	Ag007G617620
OG0001402	As004G078470	Ag007G648970
OG0001403	As001G031800	Ag004G381430
OG0001403	As008G184840	Ag004G315750
OG0001404	As001G032050	Ag004G380030
OG0001404	As008G185230	Ag004G315290
OG0001405	As002G036110	Ag006G499140
OG0001406	As003G074300	Ag003G292440
OG0001406	As002G039650	Ag004G343080
OG0001407	As002G044620	Ag008G684220
OG0001407	As007G166220	Ag003G253170
OG0001408	As002G052850	Ag007G604840, Ag007G604800
OG0001409	As002G054220	Ag008G729870, Ag007G601630
OG0001410	As004G089220	Ag003G262850, Ag002G120020
OG0001410	As003G056270	Ag006G576730
OG0001411	As003G056550	Ag006G575480
OG0001412	As003G057920	Ag006G569940
OG0001412	As004G087620	Ag002G103010
OG0001413	As003G059970	Ag006G556050, Ag006G567740, Ag006G567750
OG0001414	As003G062700, As003G062680, As003G062690	Ag006G540270
OG0001415	As004G081370	Ag002G159660
OG0001415	As003G069080	Ag007G583150
OG0001416	As003G070070	Ag007G581940
OG0001417	As003G073020	Ag003G289380
OG0001417	As007G179140	Ag006G524320
OG0001418	As003G075660	Ag003G295250
OG0001418	As007G180870	Ag006G521500
OG0001419	As007G162430, As007G154420, As004G077990	Ag007G647650, Ag001G081170, Ag002G171060
OG0001420	As004G085760	Ag002G138920, Ag006G555900, Ag006G555880
OG0001421	As004G095760	Ag001G036270, Ag005G436870
OG0001422	As006G138250	Ag005G484500
OG0001422	As009G206810, As005G098800	Ag007G637440
OG0001423	As005G102370	Ag002G200290
OG0001423	As012G286180	Ag001G092640
OG0001424	As005G108730	Ag006G496620
OG0001425	As010G227210	Ag008G678130
OG0001425	As005G112160	Ag008G717570
OG0001426	As010G231740, As010G231750, As010G231760	Ag004G350560
OG0001427	As008G198950	Ag004G298430
OG0001428	As008G197620	Ag004G299960
OG0001428	As006G123250	Ag006G510260
OG0001429	As006G123290	Ag006G510160
OG0001429	As012G288690	Ag001G098000
OG0001430	As006G125000	Ag004G302280
OG0001431	As008G195730	Ag004G303000
OG0001432	As006G127090	Ag007G590910
OG0001433	As008G193560	Ag004G305660
OG0001433	As006G127740	Ag007G591900
OG0001434	As006G128970	Ag006G502530, Ag006G502540, Ag007G594530, Ag007G594550
OG0001434	As009G212670	Ag006G502770, Ag006G502790
OG0001435	As006G129550	Ag006G521960, Ag007G595260
OG0001436	As009G203670	Ag007G626910
OG0001436	As009G203660, As006G136680	Ag005G487020
OG0001437	As009G203910	Ag007G628100
OG0001437	As006G136920	Ag005G486760
OG0001438	As009G206980	Ag007G637910
OG0001438	As006G138070	Ag005G484840
OG0001439	As010G239570	Ag003G233670
OG0001439	As007G154870	Ag004G329980
OG0001440	As007G157740	Ag004G337770
OG0001441	As010G235030	Ag003G240490
OG0001441	As007G158560	Ag004G339720
OG0001442	As007G159300	Ag004G344190, Ag003G226090
OG0001443	As010G232820	Ag004G348030
OG0001444	As007G165570, As007G165610, As007G165550, As007G165560, As007G165580	Ag007G585760, Ag007G585910, Ag007G585900, Ag007G585820, Ag007G585800
OG0001445	As009G214910, As009G214890, As009G214900	Ag004G312470
OG0001446	As009G217780	Ag007G600600, Ag008G725290
OG0001448	As012G268930	Ag001G002970
OG0001448	As011G245790	Ag005G468240
OG0001449	As011G246410	Ag005G466030
OG0001449	As012G269390	Ag001G004450
OG0001450	As011G246430, As012G269400	Ag001G004470
OG0001451	As012G270080	Ag001G007040
OG0001451	As011G247470	Ag005G463930
OG0001452	As012G270190	Ag001G007440
OG0001452	As011G247680	Ag005G463470
OG0001453	As012G270500	Ag001G007950
OG0001453	As011G247830	Ag005G462940
OG0001454	As011G248090	Ag005G462450
OG0001454	As012G270620	Ag001G008380
OG0001455	As011G248920	Ag005G460110
OG0001455	As012G274630	Ag001G030470, Ag001G031670
OG0001456	As011G252110	Ag005G447360
OG0001456	As012G272220	Ag001G015190
OG0001457	As011G252570	Ag005G446320
OG0001457	As012G272010	Ag001G014090
OG0001464	As001G001740	Ag003G259130
OG0001465	As011G265880	Ag005G408040
OG0001465	As001G001900	Ag003G260200
OG0001466	As001G003810	Ag003G269760
OG0001468	As001G014310	Ag003G273420, Ag003G273430
OG0001469	As001G016070	Ag007G579050
OG0001470	As004G083140	Ag002G164510
OG0001470	As001G017590	Ag001G101580
OG0001471	As001G021200	Ag004G373750
OG0001471	As008G186620	Ag004G312930
OG0001472	As008G182540	Ag004G321830
OG0001473	As001G023680	Ag008G660970, Ag004G320570
OG0001474	As002G032650, As001G030130	Ag004G314730, Ag004G314710
OG0001475	As008G185330	Ag004G315140
OG0001475	As001G032140	Ag004G379590
OG0001477	As002G032720, As002G032730, As002G032710	Ag006G506990
OG0001478	As002G034580, As002G034650, As002G034510	Ag005G476680
OG0001478	As005G107960	Ag006G494520
OG0001479	As004G079850, As009G213750, As002G036770, As005G102490	Ag001G092540
OG0001480	As002G042560	Ag007G598680
OG0001481	As002G050450	Ag003G276870, Ag003G263080, Ag002G125790, Ag002G130280, Ag003G227030, Ag007G611190, Ag007G611220, Ag003G263070, Ag007G611060
OG0001482	As002G052160	Ag007G606260
OG0001482	As009G215450	Ag008G721150
OG0001483	As009G215740	Ag008G721680
OG0001483	As002G052570	Ag007G605530
OG0001484	As002G052590	Ag007G605450
OG0001485	As002G054040	Ag007G602040
OG0001486	As002G054240	Ag007G601610
OG0001487	As002G054670	Ag008G724400
OG0001488	As003G055970	Ag006G577270
OG0001488	As004G089810	Ag002G115010, Ag002G121280
OG0001489	As004G085500	Ag002G140760
OG0001489	As003G060290	Ag006G553560
OG0001490	As003G069830	Ag007G582360
OG0001490	As004G081110	Ag002G160180
OG0001491	As003G070370	Ag007G581350, Ag007G581360
OG0001492	As007G180810	Ag006G521570
OG0001493	As008G195740, As004G082080	Ag002G158160
OG0001494	As004G085100	Ag002G143040
OG0001495	As004G090990	Ag002G123350, Ag002G123340
OG0001496	As004G094470, As011G256240	Ag005G431170, Ag001G038640
OG0001497	As004G096260	Ag001G034180, Ag001G034190
OG0001498	As004G098070	Ag004G302140, Ag003G267300, Ag005G416490, Ag001G080440
OG0001500	As005G099790	Ag002G204820
OG0001500	As012G288210	Ag001G096910
OG0001501	As005G100230	Ag002G204270
OG0001502	As005G102480	Ag002G199890
OG0001502	As012G286170	Ag001G092630
OG0001503	As012G285910	Ag001G091690
OG0001503	As005G103110	Ag002G198680
OG0001504	As005G103840	Ag002G197180
OG0001505	As012G285480	Ag004G387710
OG0001505	As005G103960	Ag002G196780
OG0001506	As006G142150	Ag005G478370
OG0001506	As005G106410	Ag006G491390
OG0001507	As005G115720	Ag008G708090
OG0001508	As005G116340	Ag008G729500
OG0001509	As010G221530	Ag001G058080
OG0001509	As005G118870	Ag008G733610
OG0001510	As006G127110	Ag007G590940
OG0001510	As008G194330	Ag004G304900
OG0001511	As008G191800	Ag004G307620
OG0001511	As006G129670	Ag007G595470
OG0001512	As006G130250	Ag007G596480
OG0001513	As006G134800	Ag005G490410
OG0001514	As006G137350	Ag005G486110, Ag007G631230
OG0001515	As006G139150, As006G139160	Ag005G482910
OG0001516	As006G140260	Ag005G481240
OG0001517	As012G282480	Ag001G080350
OG0001517	As006G142810	Ag002G185210
OG0001518	As006G142890	Ag002G184990, Ag001G080020
OG0001519	As010G239600	Ag003G233700
OG0001519	As007G154860	Ag004G329970
OG0001520	As010G223010	Ag001G054920
OG0001520	As007G155440	Ag004G331580
OG0001521	As007G157310	Ag003G219030
OG0001522	As007G159210	Ag004G341390
OG0001522	As010G233860	Ag004G343960
OG0001523	As007G159770, As007G159760	Ag004G345430
OG0001524	As007G162280	Ag002G106090
OG0001524	As009G218400	Ag008G726610
OG0001526	As007G177880, As012G287270	Ag008G691010, Ag001G094220
OG0001527	As009G200200	Ag007G613490
OG0001527	As010G243610	Ag003G209110
OG0001528	As009G200660	Ag007G616430
OG0001530	As009G208130, As009G208140	Ag003G295950, Ag003G295940, Ag003G295960
OG0001531	As009G212540	Ag006G503410
OG0001534	As010G242340, As010G242330	Ag003G212360, Ag003G213740
OG0001535	As012G268330	Ag001G001430
OG0001535	As011G245290	Ag005G469480
OG0001536	As012G268830	Ag001G002680
OG0001537	As012G270460	Ag001G007720
OG0001537	As011G247790	Ag005G463020
OG0001538	As011G248690	Ag005G461050
OG0001538	As012G271020	Ag001G009860
OG0001539	As011G257640	Ag005G455640, Ag005G455610, Ag006G566250
OG0001541	As012G288500	Ag001G097940
OG0001549	As008G189360, As001G000350	Ag003G274680, Ag005G403820, Ag005G403890
