Orthogroup	Aethionema_saxatile	Eutrema_salsugineum
OG0001779	As005G099320	XP_006397951.1
OG0001780	As005G102040	XP_006397689.1
OG0001780	As012G286670	XP_006402570.1
OG0001781	As012G286010	XP_024012778.1
OG0001781	As005G102880	XP_024010714.1
OG0001782	As005G104290	XP_024016857.1
OG0001784	As005G119200	XP_006393945.1
OG0001784	As010G221340	XP_006404087.1
OG0001785	As006G121560	XP_006396240.1
OG0001785	As008G198980	XP_006418438.1
OG0001786	As008G198930	XP_006418421.1
OG0001786	As006G122000	XP_006396302.1
OG0001787	As006G122800	XP_006396393.1
OG0001787	As008G197950	XP_006418349.1
OG0001788	As006G123000	XP_006396423.1, XP_006418317.1
OG0001790	As006G127300	XP_006410269.1
OG0001791	As006G127700	XP_006410196.1
OG0001792	As006G128330	XP_006410089.1
OG0001792	As008G193120	XP_006417853.2
OG0001793	As008G193020	XP_024008415.1
OG0001793	As006G128540	XP_006410049.1
OG0001794	As008G192750	XP_006417806.1
OG0001794	As006G128910	XP_006409985.1
OG0001795	As006G135530, As009G201960	XP_006408410.1, XP_006400139.1
OG0001796	As009G203040	XP_006400249.1
OG0001797	As009G203550	XP_024011427.1
OG0001797	As006G136600	XP_006408292.1
OG0001798	As009G205220	XP_006394871.1
OG0001798	As006G139450	XP_006408005.1
OG0001799	As006G139460	XP_006408004.1
OG0001800	As006G140000	XP_006407951.1
OG0001800	As009G204500	XP_006400411.1
OG0001801	As009G208280	XP_006395133.2
OG0001801	As006G140650	XP_024015131.1
OG0001802	As006G142180	XP_006391419.1, XP_006391421.1
OG0001803	As006G145030	XP_006410819.1
OG0001803	As012G276500	XP_006403751.1
OG0001804	As010G243090	XP_006389861.1
OG0001804	As007G152670	XP_024007868.1
OG0001805	As010G242220	XP_006389947.2
OG0001805	As007G153250	XP_006416772.1
OG0001806	As010G241430	XP_024006656.1
OG0001806	As007G153740	XP_006416720.1
OG0001807	As007G155820	XP_006410745.1, XP_006416499.1
OG0001808	As010G237420	XP_006390239.1
OG0001808	As007G156490	XP_006416412.1
OG0001809	As010G233120	XP_006390926.2
OG0001809	As007G160050	XP_006416019.1
OG0001810	As007G160680	XP_006415936.1
OG0001811	As007G161490	XP_006391177.2, XP_024008745.1
OG0001812	As010G229440	XP_006391189.1
OG0001812	As007G161600	XP_006415832.1
OG0001814	As007G180770	XP_006404620.1
OG0001815	As009G204510	XP_024012313.1
OG0001816	As009G206600	XP_006394978.1
OG0001817	As009G213110	XP_006399020.1, XP_006407467.1
OG0001818	As010G221840	XP_006404152.1
OG0001818	As009G216230	XP_006394699.1
OG0001819	As010G220640	XP_024007343.1, XP_006403982.1
OG0001820	As010G222410	XP_006404217.1
OG0001821	As012G270690	XP_006392924.1
OG0001821	As011G248150	XP_024015520.1
OG0001822	As011G253570	XP_006406278.1
OG0001822	As012G271070	XP_006392982.1
OG0001823	As011G267030	XP_006404072.2, XP_006408952.1
OG0001824	As012G277520	XP_006410942.1, XP_006403662.1
OG0001825	As012G282110	XP_006403432.1
OG0001826	As012G283200	XP_006402951.1
OG0001827	As012G283480, As012G283450	XP_006402927.1
OG0001828	As012G286120	XP_006397639.1, XP_006402610.1
OG0001844	As001G001080	XP_006412860.1
OG0001844	As011G266470	XP_006408895.1
OG0001846	As011G264180	XP_006409349.1
OG0001846	As001G015540	XP_024005546.1
OG0001847	As001G017560	XP_024004379.1
OG0001848	As001G020410	XP_006392216.1
OG0001848	As008G187140	XP_006417463.1
OG0001849	As001G021660	XP_006392004.2, XP_024015694.1, XP_006392006.1, XP_024015711.1
OG0001850	As001G025970	XP_006395486.1
OG0001850	As005G112810	XP_006405413.1
OG0001851	As001G026330, As004G097510	XP_006405448.1, XP_006395448.1
OG0001852	As004G078430	XP_006414110.2, XP_006405609.1
OG0001852	As001G027590	XP_006395312.1
OG0001853	As001G028700	XP_006391422.1
OG0001854	As001G029220, As001G029200, As001G029210, As012G276250	XP_006391322.1, XP_006391320.1
OG0001855	As001G029430	XP_006391553.1, XP_006390144.1, XP_006413873.1
OG0001856	As001G032090	XP_024004439.1
OG0001856	As008G185290	XP_006417273.1
OG0001857	As002G032760	XP_006413231.1
OG0001857	As002G048690	XP_024011461.1
OG0001858	As005G109210	XP_006398873.1
OG0001858	As002G035530	XP_006407586.1
OG0001859	As002G035950	XP_006407548.1
OG0001859	As009G214550	XP_006398910.1
OG0001860	As009G213100	XP_006399021.1
OG0001861	As002G037140	XP_006407457.1
OG0001861	As009G212960	XP_006399041.1
OG0001862	As009G211910	XP_024012039.1
OG0001862	As002G046460, As002G037820	XP_006407403.1
OG0001863	As007G164570	XP_006413326.1
OG0001863	As002G043410	XP_006401971.1
OG0001864	As002G046260	XP_006401566.1, XP_006413096.2
OG0001865	As002G046430	XP_006401547.1
OG0001865	As006G132520	XP_006413102.1
OG0001866	As002G046650	XP_006401517.1
OG0001866	As006G132650	XP_006413116.1
OG0001867	As002G049160	XP_006401201.1, XP_006413265.1
OG0001868	As002G051160, As005G109830	XP_006400511.1
OG0001869	As005G118670	XP_006394007.1
OG0001869	As002G052660	XP_006399552.1
OG0001870	As002G052840	XP_024007549.1
OG0001870	As005G118470	XP_024012423.1
OG0001871	As005G118300	XP_006394066.1
OG0001871	As002G053270	XP_006399494.1
OG0001872	As002G053430	XP_024012204.1
OG0001873	As004G079370, As010G237170, As002G053740	XP_024011944.1, XP_006399432.1
OG0001874	As002G054100	XP_006399384.1, XP_006399385.1
OG0001875	As002G054680	XP_006399306.1
OG0001875	As009G217400	XP_006394577.1
OG0001876	As002G054840	XP_006394544.1, XP_006399289.1
OG0001877	As002G055330	XP_006394480.1, XP_006399225.1
OG0001878	As003G055820	XP_024004766.1
OG0001878	As004G091220	XP_006398424.1
OG0001879	As004G089290, As003G056220	XP_006414172.1
OG0001879	As003G056320, As012G271310	XP_006398363.2
OG0001880	As003G056580, As003G056590	XP_006414134.1
OG0001881	As010G228130, As003G064030, As003G058940	XP_006413835.1, XP_006391784.1
OG0001882	As004G086070	XP_006396641.1
OG0001882	As003G059590	XP_006413761.1
OG0001883	As004G085890	XP_006396661.1
OG0001883	As003G059860	XP_006413729.1
OG0001884	As007G151870	XP_006416935.1
OG0001884	As003G060870	XP_024011799.1
OG0001885	As003G062560	XP_006415121.1
OG0001885	As004G083710	XP_024010099.1
OG0001886	As003G063880	XP_006397461.1
OG0001886	As004G080230	XP_006397189.1
OG0001887	As003G064240	XP_006397292.1, XP_024010174.1, XP_006396016.1
OG0001888	As003G069790, As004G081190	XP_024003706.1
OG0001889	As011G265390	XP_006409165.1
OG0001889	As003G072760, As003G072740	XP_006411986.1
OG0001890	As003G074350	XP_024005099.1
OG0001891	As004G079520	XP_006413247.1, XP_006417431.1
OG0001892	As004G082000	XP_006403295.1, XP_024008666.1
OG0001893	As004G083760, As004G083800	XP_006397057.1
OG0001894	As006G143010, As004G085550	XP_024004254.1, XP_024010103.1
OG0001895	As004G091210	XP_006398427.1
OG0001896	As004G093180	XP_006414996.1
OG0001896	As006G141160	XP_006407837.1
OG0001897	As011G255780	XP_006418832.1
OG0001897	As004G094870	XP_024005118.1
OG0001898	As011G254720	XP_006406128.1
OG0001898	As004G095870	XP_024005685.1
OG0001899	As004G096220	XP_006414559.1
OG0001900	As004G098200	XP_006405310.1
OG0001901	As005G099020	XP_006393442.1
OG0001901	As012G288710	XP_006402352.1
OG0001902	As012G288050	XP_006402414.2
OG0001903	As012G286750	XP_006402563.1
OG0001903	As005G101970	XP_006397697.1
OG0001904	As005G102050	XP_024010780.1
OG0001905	As012G285960	XP_006402633.1
OG0001905	As005G103020	XP_006397597.1
OG0001906	As012G285370	XP_024012762.1
OG0001906	As005G104090	XP_006397487.1
OG0001907	As010G222720	XP_006404257.1
OG0001907	As005G116190	XP_006394294.1
OG0001908	As009G208110, As005G116440, As005G116410, As005G116450	XP_006395293.1
OG0001909	As006G122730	XP_024010131.1
OG0001909	As008G198070	XP_006418332.1
OG0001910	As006G124200	XP_006396580.1
OG0001910	As008G196870	XP_024008760.1
OG0001911	As006G125080	XP_006403243.1
OG0001911	As008G196240	XP_006418136.1
OG0001912	As006G126470	XP_006410337.1
OG0001912	As008G194820	XP_006418023.1
OG0001913	As008G194510	XP_006417995.1
OG0001913	As006G127010	XP_024003772.1
OG0001915	As006G127440	XP_024003913.1
OG0001915	As008G194000	XP_006417951.2
OG0001916	As006G128760	XP_006410014.1
OG0001917	As006G129560	XP_006409900.1
OG0001918	As006G131460, As006G131480	XP_006408594.1
OG0001919	As009G200030	XP_006399949.1
OG0001919	As006G132900	XP_006408539.1
OG0001920	As006G135730	XP_006400178.1, XP_006408388.1
OG0001921	As009G202390	XP_006400180.2
OG0001921	As006G135780	XP_024014833.1
OG0001922	As006G139010	XP_006408045.1
OG0001922	As009G205870	XP_006394930.1
OG0001923	As006G143780	XP_024016873.1
OG0001923	As012G281320	XP_006403496.1
OG0001924	As006G145930	XP_024013778.1, XP_024003919.1, XP_006410910.1
OG0001925	As006G147060	XP_006410996.2
OG0001925	As012G278170	XP_006403619.2
OG0001926	As006G147410	XP_006411021.1
OG0001926	As012G278430	XP_006403874.1
OG0001927	As010G243720	XP_006389797.1
OG0001927	As007G152220	XP_006416887.1
OG0001928	As010G241680	XP_006389983.2
OG0001928	As007G153570	XP_006416740.1
OG0001929	As007G154160, As010G240740	XP_006390601.1
OG0001930	As007G155140	XP_006416577.1
OG0001930	As010G239150	XP_006390433.1
OG0001931	As010G238790	XP_006390395.1
OG0001931	As007G155320	XP_006416554.1
OG0001932	As007G155730	XP_006416512.1
OG0001932	As010G238480	XP_006390350.2
OG0001934	As007G158150	XP_024008720.1
OG0001935	As007G159310	XP_006416119.1
OG0001937	As007G160520	XP_006415956.1
OG0001937	As010G232650	XP_006391003.1
OG0001939	As007G180980	XP_006404587.1
OG0001941	As009G204950, As009G204960	XP_006400466.1, XP_006400468.1
OG0001942	As012G269080, As012G281590, As012G269060	XP_006407146.1
OG0001944	As009G212500	XP_006407433.2, XP_024011509.1
OG0001945	As010G221720	XP_006404130.1
OG0001946	As010G222400	XP_006404216.1
OG0001947	As010G225810	XP_006419089.1, XP_006404477.1, XP_006419088.1
OG0001948	As010G226330	XP_006400731.1, XP_006404478.1
OG0001949	As010G227300	XP_006414244.1
OG0001950	As011G245930	XP_006407148.1
OG0001950	As012G269040	XP_006392699.1
OG0001951	As011G247100	XP_006407028.1, XP_006392804.1
OG0001952	As012G274580	XP_006414407.2
OG0001952	As011G248940	XP_006406812.1
OG0001953	As011G251400	XP_006406513.1
OG0001953	As012G272660	XP_006393218.1
OG0001954	As011G253050	XP_006406348.1
OG0001955	As011G253690	XP_024006157.1, XP_024015460.1
OG0001956	As011G262750	XP_006409548.1
OG0001957	As012G275050	XP_006410621.1
OG0001958	As012G285290	XP_006409651.2
OG0001959	As012G285720	XP_006402663.1
OG0001971	As001G001000	XP_006412871.1
OG0001971	As011G266510	XP_006408902.1
OG0001972	As001G002350	XP_006412718.1
OG0001972	As011G265560	XP_006409120.1
OG0001973	As001G003210	XP_006412645.1
OG0001973	As007G178320	XP_006404930.1
OG0001974	As007G178030	XP_006404977.1
OG0001974	As001G003630	XP_024005191.1
OG0001975	As011G262160	XP_006409667.1
OG0001976	As001G014460	XP_006412187.1
OG0001976	As011G263480	XP_006409422.1
OG0001977	As004G083090	XP_006410740.1
OG0001977	As001G017810	XP_006414324.1
OG0001978	As001G021620	XP_006392020.1
OG0001978	As008G186230	XP_006417375.1
OG0001979	As001G023520	XP_006395784.1
OG0001979	As008G182890	XP_006417003.1
OG0001980	As001G023690	XP_006395756.1
OG0001980	As008G183040	XP_006417022.1
OG0001981	As008G184280	XP_006417162.1
OG0001981	As001G025280	XP_006395566.1
OG0001982	As001G025560	XP_006395533.2
OG0001982	As008G184440	XP_006417180.2
OG0001983	As001G026070	XP_006395474.1
OG0001983	As005G112750	XP_006405419.1
OG0001984	As001G026200	XP_006395458.1
OG0001984	As004G097590	XP_006405432.1
OG0001985	As003G060640, As001G031850	XP_006417247.1
OG0001986	As012G283190	XP_006402954.1
OG0001986	As002G033250	XP_024003946.1
OG0001987	As005G109150	XP_006398869.1
OG0001987	As002G035510	XP_006407588.1
OG0001988	As002G037170, As012G276490	XP_006407461.1
OG0001989	As002G037240, As002G037260	XP_006407446.1, XP_006399072.1
OG0001990	As002G046030	XP_006401599.1
OG0001990	As006G132420	XP_006413087.1
OG0001991	As002G046910	XP_006413129.1
OG0001992	As002G047670, As006G134320	XP_006413162.1
OG0001993	As002G047890	XP_006401374.1
OG0001993	As006G134180	XP_006413178.1
OG0001994	As002G049230	XP_006401194.1, XP_024005051.1
OG0001995	As002G051030	XP_024011882.1, XP_024012221.1
OG0001996	As002G051550	XP_006399687.1, XP_006394845.1
OG0001997	As002G053610	XP_006399447.1
OG0001997	As007G179950	XP_006404741.1
OG0001998	As002G053810	XP_006399422.1
OG0001998	As005G117250	XP_006394173.1
OG0001999	As002G055150	XP_006399244.1
OG0002000	As002G055410	XP_006399217.1
OG0002001	As004G089230	XP_024010949.1
OG0002001	As003G056260	XP_006414178.1
OG0002002	As003G058140	XP_006398116.1, XP_006398117.1
OG0002002	As004G087210	XP_006413917.1
OG0002003	As003G060220	XP_006413690.1
OG0002003	As004G085600	XP_006396701.1
OG0002004	As004G084930	XP_024009851.1
OG0002004	As003G060850	XP_006413612.1
OG0002005	As004G084290	XP_006396951.1
OG0002005	As003G061860	XP_006413521.1
OG0002006	As003G061930	XP_006413507.1
OG0002006	As004G084140	XP_006396970.1
OG0002007	As004G084150	XP_006396971.1
OG0002007	As003G061950	XP_006413505.1
OG0002008	As004G083850	XP_006397041.1
OG0002008	As003G062340	XP_006415146.1
OG0002009	As003G065730	XP_024006307.1, XP_024006292.1
OG0002011	As003G069960	XP_006415583.2
OG0002012	As011G264500	XP_006409290.1
OG0002012	As003G071790	XP_006412096.1
OG0002013	As011G264560	XP_006409275.1
OG0002013	As003G071910	XP_024005481.1
OG0002014	As003G072220	XP_006412042.1, XP_006409246.2
OG0002015	As003G073000	XP_006409130.1, XP_006411960.1
OG0002016	As007G179840	XP_006404757.1
OG0002016	As003G073990	XP_006411860.2
OG0002017	As003G074630	XP_024015358.1
OG0002017	As007G180300	XP_024014202.1
OG0002018	As007G180950	XP_024014060.1
OG0002018	As003G075740	XP_006411710.1
OG0002019	As004G079010, As004G079040	XP_006410729.1
OG0002021	As004G084130	XP_006413493.1, XP_006396985.1
OG0002022	As004G088650	XP_024008339.1, XP_024011012.1
OG0002023	As011G254830	XP_006406118.1
OG0002023	As004G095790	XP_006414665.1
OG0002024	As004G096090	XP_006414611.1
OG0002024	As011G254270	XP_006406189.1
OG0002026	As012G286200	XP_006402598.1
OG0002027	As012G283860	XP_006402888.1
OG0002027	As005G105970	XP_006411424.1
OG0002028	As005G114290	XP_006419045.1
OG0002029	As008G198670	XP_006418416.1
OG0002029	As006G122080	XP_006396310.1
OG0002030	As006G123400	XP_006396471.1
OG0002030	As008G197470	XP_006418274.1
OG0002031	As008G195950, As006G125520	XP_006418107.1, XP_006410462.1
OG0002032	As006G125680	XP_006410360.1
OG0002032	As008G194980	XP_006418042.1
OG0002033	As008G193380	XP_006417884.2
OG0002033	As006G127930	XP_024016747.1
OG0002034	As006G129090	XP_006417796.1, XP_006409951.1
OG0002035	As006G134600	XP_006401471.1
OG0002036	As009G201600	XP_006400107.1
OG0002037	As009G201610	XP_006400108.1
OG0002037	As006G135340	XP_006408425.1
OG0002038	As011G248890	XP_006406818.1
OG0002038	As006G138750	XP_006408060.2
OG0002039	As012G282060	XP_006403439.1
OG0002039	As006G143240	XP_006411216.1
OG0002040	As006G145140	XP_006410831.1
OG0002040	As012G276560	XP_006403741.2
OG0002041	As006G145740	XP_006410892.1
OG0002041	As012G277090	XP_006403699.1
OG0002042	As006G148500	XP_006411051.1
OG0002043	As007G151940	XP_006393335.1
OG0002044	As007G152130	XP_006416899.1
OG0002044	As010G243920	XP_006389778.1
OG0002045	As007G152270	XP_006416882.1
OG0002045	As010G243670	XP_006389806.1
OG0002046	As007G152480	XP_006416855.1
OG0002046	As010G243220	XP_006389845.1
OG0002047	As007G152970	XP_006416811.1
OG0002047	As010G242530	XP_006389916.1
OG0002048	As007G153870	XP_024008360.1
OG0002048	As010G241130, As010G241120	XP_006390641.1
OG0002049	As010G240580	XP_006390591.1
OG0002050	As007G156920	XP_006416353.1
OG0002050	As010G237010	XP_006390192.1
OG0002051	As007G157010	XP_024008125.1, XP_024003676.1
OG0002052	As007G157110	XP_006416333.1
OG0002052	As010G236740	XP_006390163.2, XP_006390162.1
OG0002053	As007G157350	XP_006416304.1
OG0002053	As010G236420	XP_006390131.1
OG0002054	As007G159150	XP_006416134.1
OG0002054	As010G234050	XP_006390800.1
OG0002055	As007G159360	XP_006416111.1
OG0002055	As010G233640	XP_006390849.1
OG0002056	As007G166910	XP_024015766.1
OG0002057	As007G167240	XP_006405132.2
OG0002058	As007G179060	XP_006404885.1
OG0002059	As008G195200	XP_006418055.1
OG0002060	As010G233260	XP_006390898.1
OG0002060	As009G200610	XP_024011554.1
OG0002061	As009G216670	XP_024013603.1
OG0002062	As009G217750	XP_006394541.1
OG0002063	As009G220000	XP_006399185.1, XP_006399186.1, XP_006399191.1, XP_006401088.1
OG0002064	As010G220250	XP_024013489.1
OG0002065	As010G234940, As010G234930	XP_006390705.1, XP_006390701.1, XP_006390703.1
OG0002066	As010G236630	XP_006390153.1
OG0002067	As010G237600	XP_006390257.1
OG0002068	As010G242610	XP_006414676.2, XP_006414675.1
OG0002069	As010G242720	XP_006389898.1
OG0002069	As010G242710	XP_006389899.1
OG0002070	As010G242940	XP_024008148.1, XP_006389879.1
OG0002071	As011G245310	XP_024015692.1
OG0002071	As012G268370	XP_006392628.1
OG0002072	As012G268720	XP_006392653.1
OG0002072	As011G245540	XP_006407196.1
OG0002073	As012G269780	XP_024005958.1
OG0002073	As011G247000	XP_006407036.1
OG0002075	As011G266590	XP_006408912.1
OG0002075	As011G266600, As011G266610	XP_006408911.1
OG0002076	As012G267730	XP_006392556.1
OG0002077	As012G271430	XP_024006358.1, XP_024015203.1
OG0002078	As012G282170	XP_006403426.1, XP_006403427.1
OG0002079	As012G289110	XP_024004686.1
OG0002092	As001G011000	XP_024016388.1
OG0002093	As011G262560	XP_024016504.1
OG0002093	As001G012790	XP_006412248.1
OG0002094	As001G014220	XP_006412218.1
OG0002095	As011G264280	XP_024016597.1
OG0002095	As001G015590	XP_006412122.1
OG0002096	As001G019160	XP_006392406.1
OG0002096	As008G188390	XP_006417581.1
OG0002097	As001G020040	XP_006392280.1
OG0002097	As008G187890	XP_006417492.1
OG0002098	As001G021050, As001G020990	XP_006392109.1, XP_024004459.1
OG0002099	As008G186590	XP_006417399.1
OG0002099	As001G021230	XP_006392089.1
OG0002100	As008G183510	XP_006417082.2
OG0002100	As001G024090	XP_024007584.1
OG0002101	As004G097680	XP_006405423.1
OG0002101	As001G026130	XP_006395467.1
OG0002102	As006G141360, As001G029120	XP_024015236.1
OG0002103	As001G030420	XP_006401475.1, XP_006405286.1, XP_006405378.2
OG0002104	As001G031080	XP_006391707.1
OG0002104	As004G097980	XP_006405356.1
OG0002105	As008G184590	XP_006417204.1
OG0002105	As001G031610	XP_006391782.1
OG0002106	As001G032220	XP_024003815.1
OG0002106	As008G185350	XP_006417282.1
OG0002107	As012G283100	XP_006402962.1
OG0002107	As002G033430	XP_006411360.1
OG0002108	As005G106800	XP_024011866.1
OG0002108	As002G033880	XP_006407721.1
OG0002109	As002G034790	XP_006407640.1
OG0002110	As002G034840	XP_006407634.1, XP_006398774.1
OG0002111	As005G109170	XP_006398872.1
OG0002112	As009G214170	XP_006398954.1
OG0002112	As002G036200	XP_006407513.1
OG0002114	As002G045310	XP_006401693.1
OG0002115	As006G134480	XP_006413133.1
OG0002115	As002G046920	XP_006401493.1
OG0002116	As006G134680	XP_006413154.1
OG0002117	As002G050550	XP_006399798.1, XP_006415787.1
OG0002118	As009G214970	XP_006394837.1
OG0002118	As002G051600	XP_006399678.1
OG0002119	As002G052490, As009G215680	XP_024012317.1, XP_006394746.1
OG0002120	As009G217000	XP_024007398.1
OG0002120	As002G054310	XP_006399348.1
OG0002121	As009G218370	XP_006394471.1
OG0002121	As002G055430	XP_006399214.1
OG0002122	As004G091050	XP_024011041.1
OG0002122	As003G055700	XP_006414240.1
OG0002123	As004G088050	XP_006398234.1
OG0002123	As003G057490	XP_024005063.1
OG0002124	As004G087910	XP_006398214.1
OG0002124	As003G057570	XP_006414005.1
OG0002125	As003G058390	XP_006413894.1
OG0002125	As004G087050	XP_006398091.1
OG0002126	As004G086210	XP_006396623.1
OG0002126	As003G059150	XP_006413799.1
OG0002127	As004G084210	XP_006396959.1
OG0002127	As003G061890	XP_006413516.1
OG0002128	As004G083870	XP_006397030.1
OG0002128	As003G062310	XP_006415148.1
OG0002129	As004G083170	XP_006397131.1
OG0002129	As003G063110	XP_006415051.1
OG0002131	As003G070530, As007G154020, As007G153030, As008G197820	XP_006396421.1
OG0002132	As003G071840	XP_006412087.1
OG0002132	As011G264530	XP_006409283.1
OG0002133	As003G071900	XP_006412083.1, XP_006409266.2, XP_006412072.2, XP_024016557.1
OG0002134	As003G072310	XP_006412032.1
OG0002135	As003G073010	XP_006409129.1, XP_006411959.1
OG0002136	As003G076020	XP_006411676.1
OG0002137	As004G078390	XP_024014778.1, XP_006405621.1
OG0002138	As004G081040	XP_006410579.1
OG0002138	As004G081050	XP_006410578.1
OG0002139	As004G082130	XP_006403316.1
OG0002140	As004G083590	XP_006415102.1, XP_006415104.1
OG0002141	As004G094840	XP_006414854.1
OG0002141	As011G255830	XP_006418829.1
OG0002142	As012G288880	XP_006402316.1
OG0002142	As005G098660	XP_006397996.1
OG0002143	As012G288840	XP_006402319.1
OG0002143	As005G098750	XP_006397990.1
OG0002145	As005G105110	XP_006411474.1, XP_006402815.1
OG0002146	As010G226030	XP_006419110.1
OG0002146	As005G113570	XP_006400768.1
OG0002147	As005G114740	XP_006400901.1, XP_006400900.1
OG0002149	As005G116000	XP_024007071.1
OG0002150	As005G119390	XP_006404064.1
OG0002151	As005G119890	XP_006393871.1
OG0002151	As011G265280	XP_024016490.1
OG0002152	As008G199170	XP_006418458.1, XP_006418459.1
OG0002153	As008G199090	XP_006418448.1
OG0002153	As006G121420, As006G121450, As006G121430, As006G121440	XP_006396249.2
OG0002154	As006G124450	XP_006403140.1
OG0002154	As008G197060	XP_006418189.1
OG0002155	As006G124840	XP_006403195.1
OG0002155	As008G196370	XP_006418152.1
OG0002157	As006G126130	XP_024003849.1
OG0002157	As008G195150	XP_006418050.1
OG0002158	As006G134420	XP_006413057.1, XP_006413056.1
OG0002159	As006G135630	XP_006408399.1
OG0002159	As009G202140	XP_006400157.1
OG0002161	As006G137820	XP_006395024.1
OG0002162	As011G255490	XP_006406005.2
OG0002162	As006G139680	XP_006407982.1
OG0002164	As006G140400	XP_006395081.1
OG0002165	As006G141860	XP_006399842.1, XP_006407762.1
OG0002166	As012G282620	XP_024012839.1
OG0002166	As006G142540	XP_006411294.1
OG0002167	As006G143510	XP_006411181.1
OG0002168	As006G144410	XP_006410756.1
OG0002168	As012G275860	XP_006403811.1
OG0002169	As006G147220	XP_024003704.1
OG0002170	As007G152430	XP_006416859.1
OG0002170	As010G243340	XP_006389836.1
OG0002171	As007G152690	XP_006416841.1
OG0002171	As010G243080	XP_024008897.1
OG0002172	As007G152710	XP_006416840.1
OG0002172	As010G243060	XP_024011761.1
OG0002174	As007G155630	XP_024008473.1
OG0002175	As007G157000	XP_006390180.1, XP_024008594.1, XP_006416345.1
OG0002176	As007G158590	XP_006416185.1
OG0002177	As007G159160	XP_024008753.1
OG0002177	As010G233980	XP_006390811.1
OG0002178	As010G233400	XP_024010992.1
OG0002178	As007G159520	XP_024008598.1
OG0002179	As010G228080	XP_024008049.1, XP_006391242.2
OG0002179	As007G161940	XP_006415799.1
OG0002181	As007G180290	XP_006412226.2, XP_024005760.1
OG0002182	As009G217880	XP_006394525.1
OG0002182	As008G183490	XP_006417079.1
OG0002183	As008G184110	XP_024009039.1, XP_024006721.1
OG0002184	As008G185390	XP_024005319.1, XP_024008383.1
OG0002185	As008G185450	XP_006391910.1
OG0002186	As008G186630	XP_006392095.1, XP_024008658.1
OG0002187	As008G187990, As008G187980	XP_006417539.1, XP_006407761.1
OG0002188	As008G194770	XP_006415092.1
OG0002189	As009G212710	XP_006407452.1, XP_006399062.1
OG0002190	As009G214050	XP_006407525.1, XP_006398937.1
OG0002191	As009G214800, As009G214810, As009G214820, As009G214830	XP_024014998.1, XP_024007660.1
OG0002192	As010G226340, As010G226370	XP_006400721.1
OG0002193	As010G227440	XP_006400565.1
OG0002194	As012G267860	XP_006392577.1
OG0002194	As011G244820	XP_006407276.1
OG0002195	As011G245320	XP_024014918.1
OG0002195	As012G268390, As012G268380	XP_024006035.1
OG0002196	As012G274610	XP_006414417.1
OG0002196	As011G248930	XP_006406814.1
OG0002197	As011G249530	XP_006406731.1
OG0002197	As012G273930	XP_006393465.1
OG0002198	As011G250040	XP_006406666.1
OG0002198	As012G273610	XP_006393387.2
OG0002199	As011G250200	XP_006406642.1
OG0002199	As012G273540	XP_024006039.1
OG0002200	As011G263110, As011G263100, As011G263120, As011G263140	XP_006409469.1
OG0002201	As011G263850	XP_024016606.1, XP_024016576.1
OG0002202	As011G264220	XP_024016397.1, XP_006412123.1
OG0002203	As011G265590	XP_006409112.1
OG0002204	As011G265910	XP_006409079.1, XP_024005499.1, XP_006409078.1
OG0002205	As012G272390	XP_006393182.1
OG0002206	As012G272700	XP_006393222.1
OG0002207	As012G274600	XP_006414584.2, XP_006414415.1
OG0002207	As012G274590	XP_006414587.1, XP_006414412.1
OG0002208	As012G283550, As012G283560, As012G283510	XP_006402921.1
OG0002209	As012G287010	XP_006397726.1, XP_006402532.1
OG0002219	As011G266500, As001G001030	XP_024004490.1
OG0002220	As001G001360	XP_024004609.1
OG0002220	As011G266370	XP_024016079.1
OG0002221	As001G001410	XP_006409035.1, XP_006412823.1
OG0002221	As011G266270	XP_006408874.2
OG0002222	As001G003170	XP_006412471.1
OG0002223	As001G003220	XP_024005882.1, XP_024007881.1
OG0002224	As007G177890	XP_024014059.1
OG0002224	As001G003870	XP_006412579.1
OG0002225	As001G004480, As007G167250	XP_006412524.1, XP_006405130.1
OG0002226	As001G013710	XP_006412283.1
OG0002226	As011G262760	XP_006409547.1
OG0002227	As011G264310	XP_006409326.1
OG0002228	As004G079560	XP_006410697.1
OG0002228	As001G016920	XP_006415206.1
OG0002229	As001G022380	XP_006398512.1
OG0002230	As008G182770	XP_006416990.1
OG0002230	As001G023120	XP_006395825.1
OG0002231	As001G024520	XP_006395650.1
OG0002231	As008G183860	XP_024008372.1
OG0002232	As001G025040	XP_006395602.1
OG0002232	As008G184120	XP_006417120.1
OG0002233	As001G027220	XP_006395348.1
OG0002234	As004G078540	XP_006405598.1
OG0002234	As001G027460	XP_006395326.1
OG0002235	As001G028650	XP_006391431.2
OG0002236	As004G077180	XP_024014619.1
OG0002237	As004G077070	XP_006405958.1
OG0002237	As001G029300	XP_006391539.1
OG0002238	As001G030680	XP_024015262.1, XP_006405314.1
OG0002239	As001G032110	XP_006391870.1
OG0002240	As002G048910	XP_006401230.1
OG0002240	As002G032600	XP_006413250.1
OG0002241	As005G106870	XP_006398642.1
OG0002241	As002G033920	XP_006407717.1
OG0002242	As002G035430	XP_006407596.1, XP_024011697.1
OG0002243	As002G035850	XP_006389749.1
OG0002244	As002G037570	XP_006407415.1, XP_006394330.1
OG0002245	As007G164410	XP_006413336.1
OG0002245	As002G043270	XP_024011838.1
OG0002246	As002G043800	XP_006401901.1
OG0002246	As002G043790	XP_006401902.1
