Orthogroup	Aethionema_saxatile	Cochlearia_excelsa
OG0003568	As012G285390	g18126
OG0003584	As001G001330	g47696
OG0003585	As004G094370, As001G001560	g2188, g4871
OG0003586	As001G002510	g47749, g23394
OG0003587	As001G004330	g32838
OG0003588	As009G214690, As009G214680	g29793
OG0003589	As001G013500	g23120, g47871
OG0003593	As001G023410	g16705
OG0003594	As001G023630	g10700, g27267
OG0003595	As001G027090, As001G027080	g10412
OG0003596	As001G028140	g10316
OG0003597	As008G184580	g49846
OG0003598	As002G034020	g12411
OG0003599	As002G036480	g12345, g7407
OG0003600	As002G037270	g7379
OG0003601	As002G038900	g25052, g25046, g25092, g5960
OG0003603	As002G045060	g41283
OG0003604	As002G045700	g47631, g23628, g28443
OG0003605	As002G046590	g11152
OG0003606	As006G134260	g47586, g23689
OG0003608	As002G052010	g31081
OG0003609	As002G053090, As002G053080	g5422
OG0003610	As005G117640, As002G053540	g214, g9752
OG0003611	As003G056740	g24190
OG0003612	As003G056880	g47272
OG0003613	As003G061640	g10107
OG0003614	As003G067760	g50440
OG0003615	As003G069250	g27670
OG0003616	As003G072090	g47935
OG0003617	As004G080040	g40272
OG0003618	As004G080680	g2367
OG0003619	As004G080810	g13107
OG0003620	As004G086980	g11044, g40499
OG0003621	As004G087120	g40511, g40510
OG0003622	As004G089020	g40634
OG0003624	As004G091020	g10866
OG0003625	As005G099540	g37723
OG0003626	As012G288200	g1766
OG0003627	As005G101300	g38246, g37628
OG0003628	As012G286090, As005G102640	g18855, g18844
OG0003629	As005G102860	g38231
OG0003630	As012G285840	g52144
OG0003631	As005G112390	g41382, g28910
OG0003632	As005G116550	g49911
OG0003633	As010G220870	g47, g2547
OG0003633	As005G119880	g46
OG0003634	As005G119910	g19651
OG0003635	As005G120780	g19314, g2478
OG0003636	As006G121740	g39489
OG0003637	As006G123230	g25468
OG0003638	As006G123700	g39607
OG0003639	As006G131900	g23211
OG0003640	As009G199910	g5181, g29304
OG0003641	As006G138200	g12574, g7718
OG0003644	As007G151930	g27297
OG0003644	As010G244340	g36636
OG0003645	As007G153070	g27347
OG0003646	As007G154850	g50043
OG0003647	As007G155620	g31831
OG0003648	As007G158410	g32033, g50243
OG0003650	As007G164430	g1976
OG0003652	As008G194280, As008G193860	g30992
OG0003653	As008G194560, As008G194590, As008G194680, As008G194690, As008G194540	g30946
OG0003654	As008G194630, As008G194620, As008G194610	g26962
OG0003655	As009G202850	g45741
OG0003656	As009G203220	g45748
OG0003657	As009G209290	g13143, g7294, g12274
OG0003658	As009G214410	g5683, g29777
OG0003659	As009G218240	g406
OG0003660	As009G219910	g1186, g28725
OG0003662	As010G224350	g2823, g19542
OG0003663	As010G232730	g44748, g32132
OG0003665	As010G241450	g45952
OG0003666	As010G243710	g44289
OG0003667	As011G244920	g7261
OG0003668	As011G245570	g12236, g7223
OG0003670	As012G269210, As011G246210, As011G246190	g13211
OG0003671	As011G247450	g7098
OG0003672	As011G249210	g6979
OG0003672	As012G274250	g24373, g24364
OG0003673	As011G256420	g13495, g11725
OG0003674	As011G258320	g13528
OG0003675	As011G260870	g1067
OG0003676	As011G262250	g12460
OG0003678	As012G271670	g11900
OG0003680	As012G275950	g19254
OG0003682	As012G282610	g11268
OG0003695	As001G000260	g47664, g23556
OG0003696	As001G002170	g16988
OG0003697	As001G013520	g23123, g18199
OG0003698	As001G014650	g47899
OG0003699	As003G063440	g38127, g874
OG0003700	As001G017940	g47167
OG0003701	As001G023150	g10737
OG0003702	As006G146620, As001G025510	g10559
OG0003703	As001G028680	g46760
OG0003704	As001G032010	g40891
OG0003705	As002G038400, As002G033540, As002G033530, As002G033330, As002G038420	g51961, g37370
OG0003706	As006G129200	g2895
OG0003706	As002G033350	g54235, g54243
OG0003707	As002G041790	g26795, g1414
OG0003708	As002G047410	g28524
OG0003709	As002G048350	g1079, g39340
OG0003710	As002G050330	g29360
OG0003712	As004G086990	g40500
OG0003713	As003G058930	g40483
OG0003715	As004G084520, As003G061370	g40371
OG0003717	As003G065150	g25375
OG0003718	As012G283390, As003G068900, As012G283000, As012G283420, As003G068910	g54247
OG0003719	As004G079960	g5765, g45343
OG0003720	As004G080650	g5799
OG0003721	As004G084480	g40362
OG0003723	As011G255400	g13469
OG0003724	As004G096690	g13391, g24445
OG0003726	As005G099480	g39241, g28052
OG0003727	As005G100910	g37648
OG0003728	As005G103260	g38224
OG0003729	As005G103280	g52143
OG0003730	As012G284400	g18969
OG0003731	As005G108120	g47315
OG0003732	As005G115590	g28743
OG0003733	As006G124860	g39715
OG0003735	As006G125180	g39733, g11118
OG0003736	As006G125840	g37937
OG0003737	As006G126080	g39760
OG0003738	As006G127030, As006G129750	g51263
OG0003739	As006G127380	g51239
OG0003740	As006G127670	g30996
OG0003741	As006G130380	g37804
OG0003742	As006G131050	g40156
OG0003744	As006G136120	g46647
OG0003746	As006G139770	g12502
OG0003747	As006G140970	g12957, g12448
OG0003748	As006G141550	g12983
OG0003749	As006G141820	g7551, g12421, g12423, g12422
OG0003750	As006G143250	g11277
OG0003752	As007G153770, As007G153790	g31696
OG0003753	As007G158090	g27510
OG0003754	As007G160060	g50323, g32075
OG0003755	As007G160580	g50351, g27585
OG0003756	As007G162820	g47503
OG0003758	As007G180320	g50896
OG0003759	As008G182680	g49920, g27283
OG0003760	As008G188230	g31189, g49624
OG0003761	As008G194990	g26955
OG0003762	As008G195820	g1203
OG0003763	As011G267040	g5912
OG0003763	As008G196490	g30854
OG0003764	As008G198650	g30748
OG0003765	As009G201670	g5080
OG0003766	As009G201910	g30090, g30097, g22343, g22274, g22486, g36091, g22507, g22468, g22287, g36092, g30096, g22485, g22271, g22467, g22506, g22286, g30089
OG0003767	As009G217110	g9962
OG0003768	As009G219380	g326
OG0003769	As009G220100	g28697, g1158
OG0003770	As010G223730	g11406
OG0003771	As010G223770	g1207
OG0003772	As010G226150	g47856
OG0003773	As010G232260	g45781
OG0003774	As010G232640	g44756
OG0003775	As010G241780, As010G241710	g44357
OG0003776	As010G242140	g46478
OG0003777	As010G242360	g44346
OG0003778	As012G272310	g6775
OG0003779	As011G252740	g6720
OG0003780	As011G253670	g54228
OG0003781	As011G256130	g6483
OG0003782	As011G260900	g13571
OG0003783	As011G261510	g13581
OG0003784	As012G268240	g54313
OG0003785	As012G268460	g36713
OG0003786	As012G271300	g36522
OG0003787	As012G272640	g36409
OG0003788	As012G278110	g19171
OG0003789	As012G281210	g11284
OG0003791	As012G283110	g19017
OG0003792	As012G283540, As012G283530	g11257
OG0003823	As001G000130	g17052
OG0003824	As001G003930	g47786, g23314
OG0003826	As001G013420	g50279, g29333
OG0003827	As001G014340	g23068
OG0003829	As001G016050	g32528
OG0003831	As008G187710, As001G019740	g31228
OG0003832	As001G022590	g10798
OG0003833	As001G029870	g51207
OG0003835	As001G031760	g40869
OG0003836	As002G034190	g13038
OG0003837	As002G035690	g29552
OG0003838	As002G043340	g1334
OG0003839	As002G046090	g28472, g950
OG0003840	As002G047330	g1019
OG0003841	As002G048100	g28556
OG0003842	As002G050720	g5297, g29387
OG0003843	As009G215300	g615
OG0003843	As002G051750	g29440
OG0003844	As004G088690, As003G056700	g10950, g40606
OG0003845	As004G088260	g17462
OG0003845	As003G057190	g47279
OG0003846	As003G061760, As003G061770	g23879, g47469
OG0003847	As003G061780	g47470
OG0003848	As003G062940, As003G062930	g32703
OG0003849	As004G083190, As003G063100	g27805, g32722
OG0003850	As003G066510	g28124, g53941
OG0003851	As003G070320	g24483, g32417
OG0003852	As003G072180	g22965, g47942
OG0003853	As003G073840	g47991
OG0003854	As004G077370	g46779
OG0003855	As004G080850	g40210
OG0003856	As004G080910	g28150
OG0003858	As004G082850	g26657, g18459, g36500
OG0003859	As004G084640	g25691
OG0003860	As004G085360, As005G102330	g52195
OG0003861	As004G088000	g18398
OG0003862	As004G088680	g10951
OG0003863	As004G090680	g40718, g10846
OG0003864	As012G288630, As005G099140	g18728
OG0003865	As005G100390	g1809, g38251
OG0003866	As005G101820	g37596
OG0003867	As005G106780, As005G106790	g45292
OG0003868	As005G114040	g832
OG0003869	As005G114220	g28823
OG0003870	As005G114300	g41324, g28818
OG0003871	As005G114600, As010G224930	g28788, g41313
OG0003872	As006G121350	g45270
OG0003873	As006G122480	g5079, g39510
OG0003874	As006G123540	g39604
OG0003875	As008G196530, As006G124610	g26924, g30850, g49444
OG0003876	As006G126090	g39832
OG0003877	As006G132510	g47622
OG0003878	As006G139920	g7652, g12926
OG0003880	As006G148820, As006G148810	g37949, g25033
OG0003881	As007G152470	g44301
OG0003882	As007G154510	g50037
OG0003883	As007G158890	g27398
OG0003884	As007G160570	g32148
OG0003885	As007G163750	g23810, g28282
OG0003887	As008G182590	g31558
OG0003889	As008G189240	g31149, g49652, g27058
OG0003890	As008G194200	g51250, g51247, g26965
OG0003891	As009G201620	g29216
OG0003893	As009G204140	g41477
OG0003894	As009G206320	g10145
OG0003895	As009G211380, As009G207230, As009G207290, As009G210320	g47963, g4983
OG0003896	As009G207440	g4661
OG0003897	As009G212730	g5615, g13116
OG0003898	As009G214230	g29756, g5649
OG0003899	As009G215120	g10074
OG0003900	As010G221610	g11376
OG0003901	As010G223350	g19498
OG0003902	As010G224000	g2805
OG0003903	As010G231110	g41506
OG0003904	As010G236930	g46286
OG0003908	As010G242240	g44350
OG0003910	As011G246310	g7175
OG0003911	As011G246660, As011G246610	g13219
OG0003913	As011G247940	g12109
OG0003914	As011G248290	g7042
OG0003916	As011G251860	g11953, g13345
OG0003917	As011G252470	g6752, g13361, g13362
OG0003918	As011G252890	g6715
OG0003919	As011G253850	g6627, g13397, g6625, g6624, g6613
OG0003920	As011G254760	g11788, g6567, g25753
OG0003921	As011G266120	g5957, g45357
OG0003922	As012G269750	g36631, g11532
OG0003923	As012G274150	g54028, g28110
OG0003924	As012G278770	g2457, g19291
OG0003925	As012G281550	g19113
OG0003926	As012G287150	g52275, g18686, g1874
OG0003948	As001G001850	g23447
OG0003948	As011G265930	g13920
OG0003949	As001G002710	g16974
OG0003950	As001G016530	g32553, g27766
OG0003952	As001G018840	g25482
OG0003953	As001G021240	g40986, g40987
OG0003954	As001G023250	g1516, g10735
OG0003955	As001G023780	g16695, g10685
OG0003956	As001G026420	g10486, g1620
OG0003957	As001G026450	g10479
OG0003958	As004G077260	g46794
OG0003958	As001G029020	g45017
OG0003959	As002G033730	g37365, g38148, g51950
OG0003960	As009G214470, As002G035970	g7424, g12367
OG0003961	As002G036570	g13110, g12342
OG0003962	As002G037220	g13118
OG0003965	As002G042610	g1366, g28295, g22598, g22599
OG0003966	As007G166260, As002G044520	g28393
OG0003967	As002G051060	g29402, g5320
OG0003968	As002G051630	g29433
OG0003969	As002G051810	g29444, g609
OG0003970	As002G052470	g5402
OG0003971	As002G054270	g5492
OG0003972	As002G055130	g45484, g29616
OG0003973	As003G055920	g10895
OG0003973	As004G089980	g40689
OG0003974	As003G057050	g19228
OG0003975	As003G058840	g24044, g17372
OG0003976	As003G060960	g23923
OG0003977	As012G276670, As003G066850	g2382
OG0003978	As006G144580, As003G069520	g27671
OG0003979	As003G071610, As003G071620, As003G071630	g50620, g27762
OG0003980	As003G072720	g22919
OG0003981	As003G072830	g47971
OG0003982	As003G073740	g22830
OG0003983	As003G074540	g36931
OG0003984	As004G083600	g40300
OG0003985	As004G085790	g40452
OG0003986	As004G088130	g18399
OG0003987	As011G257790	g6405
OG0003987	As004G093320	g24852
OG0003988	As004G095470	g17721
OG0003989	As004G096680	g17645, g24444
OG0003990	As004G097720	g16803
OG0003991	As005G099930	g37710
OG0003992	As005G100160	g37700
OG0003993	As005G101180, As006G126880	g1866
OG0003994	As005G103050, As007G160380	g44729, g44728
OG0003995	As005G103140	g37527
OG0003996	As005G103420	g37521
OG0003998	As005G107400	g45313
OG0003999	As005G109390	g12373
OG0004000	As005G114360	g850
OG0004001	As005G115180	g39238
OG0004002	As005G116460	g9813
OG0004004	As006G121940	g25394
OG0004005	As006G127760	g39886
OG0004006	As006G130440	g40098
OG0004007	As006G137920	g12816
OG0004008	As006G138240, As009G206850	g12576
OG0004009	As012G273990, As006G140960	g54049
OG0004010	As006G141640, As009G212110	g7560
OG0004011	As012G282540	g2173
OG0004012	As006G143040	g51836
OG0004013	As012G282260, As006G143070	g19049, g2185
OG0004014	As006G143270	g6473
OG0004015	As006G143670	g51758
OG0004016	As006G143900	g51772
OG0004017	As006G145950	g37205
OG0004021	As006G148300	g2464, g37279
OG0004022	As007G152020, As007G177620	g51031, g38353
OG0004025	As007G159370	g27545, g50280
OG0004026	As007G163630	g23814, g28264
OG0004027	As007G164540	g17177, g23782
OG0004028	As007G165260	g23752
OG0004029	As007G177730	g929
OG0004030	As007G178020	g38381, g50992
OG0004031	As011G245950, As007G180840, As007G180850	g51548
OG0004032	As007G182130	g18352
OG0004033	As008G185010	g31369
OG0004035	As008G191840	g31074
OG0004036	As008G194270	g1069
OG0004037	As008G197570	g49394
OG0004038	As009G201890, As009G201900	g29205
OG0004039	As009G205460	g10108
OG0004040	As009G206590	g4683, g10152
OG0004043	As009G208000	g4634, g10208
OG0004045	As009G215710	g570
OG0004046	As009G216920	g9986
OG0004047	As009G216980	g18585
OG0004048	As009G217550	g452
OG0004049	As009G218170	g416
OG0004050	As010G225880	g28857
OG0004051	As010G226350	g11469
OG0004052	As010G234160	g44658
OG0004053	As010G235210	g46432
OG0004054	As011G244730	g7273
OG0004055	As011G245670	g12221, g7217
OG0004056	As012G274720, As011G248850	g17620, g24418
OG0004057	As011G249280	g12055, g6973
OG0004058	As011G249290	g12051, g6968
OG0004060	As011G250180	g13298
OG0004061	As011G250270	g12018
OG0004062	As011G250550, As011G250570, As011G250600, As011G250560	g6870, g13308
OG0004063	As011G250770	g13316, g11994
OG0004064	As011G252680, As012G271950	g13357
OG0004065	As011G253220	g6691
OG0004066	As011G254320	g11823, g28969
OG0004067	As011G256390	g11399
OG0004068	As011G262720	g13689
OG0004069	As012G273000	g36387, g54123
OG0004070	As012G282310	g12157
OG0004071	As012G283350	g19005
OG0004072	As012G284150	g18977, g52017
OG0004073	As012G285330	g1642, g11201, g2011, g18899
OG0004092	As001G002580	g47750, g16984
OG0004093	As001G003020	g47760
OG0004094	As001G012290	g18182, g23156
OG0004095	As001G012460	g18183, g47859
OG0004096	As001G014080	g47876
OG0004097	As001G019550	g41075
OG0004099	As001G022420	g10808
OG0004100	As001G027270	g16488, g16486
OG0004101	As001G029080	g1016, g39371, g3761
OG0004102	As001G030300	g40740
OG0004102	As004G098370	g16761
OG0004103	As002G037810, As002G037800, As002G037790	g12307
OG0004104	As002G043900	g28358
OG0004105	As002G046100	g39426, g954
OG0004106	As002G046540, As009G207520	g39400, g973
OG0004107	As002G046780	g52237, g37584
OG0004108	As002G047980	g1058, g28551
OG0004109	As002G052000	g29448
OG0004110	As002G053550	g29547
OG0004111	As002G054640	g45496
OG0004112	As002G055140	g29617
OG0004112	As009G218120	g9897
OG0004113	As004G088410, As003G057000	g24178, g47275
OG0004114	As003G057030, As004G088400	g24177
OG0004115	As003G057230	g24160
OG0004116	As003G058820	g47353
OG0004117	As003G059100	g24031, g47369
OG0004118	As003G059740	g17851, g23989
OG0004119	As003G062860	g32690
OG0004120	As003G063760	g47363, g17394
OG0004121	As003G064620	g35943, g53793
OG0004122	As004G082890, As003G064780	g53741, g28200, g28203
OG0004123	As003G069730	g50498
OG0004124	As003G071390	g32494, g27716
OG0004125	As003G072870	g22912
OG0004126	As003G073720	g37190, g51612
OG0004127	As003G073890	g11289, g38477, g25574, g25572, g38454
OG0004128	As003G076290	g18353
OG0004129	As004G078290	g26049, g49582, g49580
OG0004130	As004G078500	g16887, g10378
OG0004131	As011G267420, As004G079300	g14183, g43060, g14177, g14168, g14114, g14140, g14133, g14188, g14171, g14156, g14151, g14185, g32545, g14130, g14126, g14117, g14144, g14153, g14136, g14160, g14127, g14165
OG0004133	As004G082180	g37050
OG0004134	As004G082540	g36266
OG0004135	As004G084160	g23863
OG0004136	As004G084940	g25671
OG0004137	As004G089940	g40687, g10897
OG0004138	As004G095680	g47061
OG0004139	As004G097850	g16795
OG0004140	As005G099510	g37727
OG0004141	As005G099950, As012G288140	g50810, g37708
OG0004142	As005G103000	g52161
OG0004143	As005G103610	g38218, g52124
OG0004144	As005G104410	g52092
OG0004145	As005G104470	g37468
OG0004146	As012G284840	g1984
OG0004146	As005G104830	g18945
OG0004147	As005G112540	g745
OG0004148	As005G113170	g28885, g773
OG0004149	As005G113840	g827, g826, g825
OG0004150	As005G114510, As010G225010	g28798
OG0004151	As005G115870	g39259, g1234
OG0004153	As006G121660	g25350
OG0004154	As006G122110	g25402, g45262
OG0004155	As006G122150	g25404
OG0004156	As006G123180	g39583
OG0004157	As006G123200	g25467
OG0004158	As006G124850	g39714
OG0004159	As008G196350	g30862
OG0004160	As006G126710	g39821
OG0004161	As006G126870	g51272
OG0004162	As006G128050	g39911
OG0004163	As006G128110	g39915
OG0004164	As006G128260	g5558, g37895
OG0004165	As006G129050	g40017, g31069, g49565
OG0004166	As006G131720	g38289
OG0004167	As006G132450	g50103, g31546, g25051, g24456, g23643
OG0004168	As009G200130	g45656
OG0004169	As006G136100	g12660
OG0004170	As006G137240	g7800, g12615
OG0004171	As006G137640	g10180
OG0004172	As006G138260	g7721, g12837
OG0004174	As006G141250	g12974, g12438
OG0004175	As006G142360	g51907
OG0004176	As006G146830	g51666, g38086
OG0004177	As006G147500	g51702
OG0004178	As007G152740	g49964
OG0004179	As007G155390	g50060
OG0004180	As010G237660, As007G156240	g31897
OG0004181	As007G156800	g27467
OG0004182	As010G233100, As007G158660	g45969
OG0004183	As007G163050	g17205, g23828
OG0004184	As007G163160	g23823
OG0004185	As007G163590	g23817
OG0004186	As007G163940	g40244
OG0004187	As007G164400	g17181, g23790, g47531
OG0004188	As007G179030, As007G179010	g1307
OG0004189	As008G184410	g31415, g10557
OG0004190	As008G184700, As008G184690	g31390, g49824
OG0004192	As008G197350	g19346, g49404
OG0004193	As009G201990	g45718, g3836
OG0004194	As009G202240	g5053
OG0004195	As009G203180	g29505, g4996
OG0004196	As009G205970	g10128, g51931, g51929, g51936, g4791
OG0004197	As009G211300	g5574, g5570, g2956
OG0004198	As009G214930	g10087, g18549, g14920, g18550
OG0004199	As009G215090, As009G215070	g41630, g41629
OG0004200	As009G216370	g18571
OG0004202	As009G217710	g441
OG0004203	As009G218930	g9856, g356
OG0004204	As009G219070	g9850, g344
OG0004205	As009G219810	g1198
OG0004206	As010G221690	g19394
OG0004207	As010G225090, As010G225080, As010G225100, As010G225060, As010G225070	g2944
OG0004208	As010G233390	g46093
OG0004209	As010G234300	g45927
OG0004210	As010G234490	g45934, g44642
OG0004211	As010G234890	g45968, g19479
OG0004212	As010G235670	g46387
OG0004213	As010G239270	g44541
OG0004214	As010G240480	g46053
OG0004215	As010G241600, As010G241620	g46442
OG0004216	As010G243430	g46556
OG0004217	As011G244640	g7289
OG0004218	As011G247420	g13233, g12143
OG0004219	As011G247730	g7073
OG0004220	As011G248180, As012G270710	g7046
OG0004221	As011G250150	g6903
OG0004223	As011G251120	g13327
OG0004224	As011G251370, As012G272690	g6815, g11961
OG0004225	As011G251650	g6789, g11956
OG0004226	As011G253300	g11877, g6687
OG0004227	As011G253800	g6630
OG0004228	As011G253810	g13396, g6629
OG0004229	As011G254240	g11832, g11831
OG0004230	As011G254340	g4678, g6590, g13422
OG0004231	As011G254780	g13441, g11787
OG0004232	As011G255480	g11753
OG0004233	As011G255710	g6505, g13475
OG0004234	As011G264880	g6035
OG0004235	As011G265830	g5975, g13925, g53828
OG0004236	As011G266690	g47684, g23521
OG0004237	As011G267270, As011G267280	g25108
OG0004239	As012G268080	g54361, g36735
OG0004240	As012G269260	g36681
OG0004241	As012G269460	g36663, g54304
OG0004242	As012G269770	g54291
OG0004243	As012G269900	g36614
OG0004244	As012G271830	g36493
OG0004245	As012G273560, As012G273570	g28099, g45806
OG0004246	As012G280620, As012G273950	g54052
OG0004247	As012G274970	g51470
OG0004248	As012G275400, As012G276260	g12936, g12481
OG0004249	As012G280760	g5346
OG0004250	As012G281060	g44291
OG0004251	As012G283920	g11242, g18988, g2091
OG0004252	As012G284390	g37437
OG0004253	As012G286840	g18714
OG0004254	As012G287640	g11165, g1834
OG0004255	As012G288240	g36017
OG0004275	As001G000870	g47688, g23511
OG0004276	As001G002160	g18202, g23107
OG0004277	As011G265640, As001G002210	g47737, g23424
OG0004279	As001G003660	g23331
OG0004280	As001G006810	g47839
OG0004281	As001G013770	g23141
OG0004282	As001G014300	g18209, g23074
OG0004283	As001G015050	g23021
OG0004285	As001G016710	g27775
OG0004286	As001G018890, As001G018880	g41123
OG0004287	As001G022460	g10806
OG0004289	As001G024600	g10626
OG0004290	As001G026120	g10507
OG0004291	As001G026380, As011G255770	g6500
OG0004292	As001G027050	g10414
OG0004293	As001G030010	g17888
OG0004294	As001G030160	g52056
OG0004295	As002G033190	g37381
OG0004297	As002G037050	g7390, g12329
OG0004298	As006G130640, As002G037710	g12308, g7349
OG0004299	As007G162270, As002G042660	g41158, g28297, g1365
OG0004300	As002G043250	g28327
OG0004301	As002G043300	g28328
OG0004302	As002G043550	g41171
OG0004303	As002G047780	g23692, g28537
OG0004304	As002G049650	g39285, g1142
OG0004305	As002G051210	g18531
OG0004306	As006G141850, As002G051270	g5270, g29354
OG0004307	As002G051350	g29424, g5343
OG0004309	As002G054450	g29585
OG0004310	As002G054710	g29598, g5513
OG0004311	As003G056500	g24210
OG0004312	As003G056690	g17480
OG0004313	As003G057420	g17452
OG0004314	As003G058230	g24074
OG0004315	As003G058610	g24057, g17379
OG0004316	As003G058920	g47357
OG0004317	As003G059020	g17393, g48347
OG0004318	As003G060620	g23947, g17284
OG0004319	As003G060790, As003G060800	g23941
OG0004321	As003G062130	g23851
OG0004322	As003G062240, As010G221830	g40329, g25780
OG0004324	As006G145530, As003G067450	g13431
OG0004325	As003G069760	g36612
OG0004326	As003G070110	g32405
OG0004327	As003G071060	g32469
OG0004328	As003G071160	g50546, g32475
OG0004330	As003G072100	g18234, g22972
OG0004331	As003G073090	g18260, g22890
OG0004332	As003G073170	g22884
OG0004333	As004G083380	g40289
OG0004335	As004G087240	g11022
OG0004336	As004G091550	g46902
OG0004337	As004G091730	g11658
OG0004338	As004G092930	g46942, g46811
OG0004339	As004G095500, As011G255130	g17720, g24529, g41858, g1827
OG0004341	As004G095920	g24498
OG0004343	As012G288780, As005G098860	g18745
OG0004344	As005G099940	g37709, g50812, g38255
OG0004345	As005G100750	g50778, g37658
OG0004347	As005G102940	g37538
OG0004348	As005G104170	g52108, g37487
OG0004349	As005G104940	g36157, g19942, g11215, g19943, g36158, g2038
OG0004350	As005G110660	g41418, g28970, g669, g33107
OG0004351	As006G142910, As005G111560	g51847
OG0004352	As005G111570	g37345
OG0004353	As010G226220, As010G226230, As005G113390	g41360
OG0004354	As005G115740	g1255
OG0004355	As005G116660	g9810
OG0004356	As005G117010	g9789
OG0004357	As005G118520	g9714, g29497
OG0004358	As005G119610	g63
OG0004359	As005G119720	g53, g9659
OG0004360	As008G199550	g49287, g30727
OG0004361	As006G121370	g38232
OG0004363	As006G125290	g37955, g39743, g51358
OG0004364	As008G196110, As006G125340	g51350
OG0004365	As006G127270, As008G194240	g49525
OG0004366	As006G127430	g51237, g39856
OG0004368	As006G128080	g39913, g51210
OG0004369	As006G128150	g39924, g51204
OG0004370	As006G128230, As006G128220	g51195, g39926
OG0004372	As009G206020, As006G132780	g19669, g54387
OG0004373	As006G135750	g7858, g12758, g12675
OG0004374	As006G138530	g7713, g12853
OG0004375	As009G206280, As006G138610, As006G138590	g4781
OG0004376	As006G138730	g53285, g7701, g12870
OG0004377	As006G139470	g12512, g7675
OG0004378	As006G139690	g7661
OG0004379	As006G140010	g7648, g12491
OG0004380	As006G141010	g12446, g7602
OG0004381	As006G144560	g37146, g51562
OG0004382	As006G144700	g37150
OG0004383	As006G145490	g51617
OG0004385	As007G152550, As007G152530	g49957, g31632
OG0004386	As010G240780, As007G154150	g50015, g31723, g27383
OG0004387	As007G154430	g44568
OG0004388	As007G154920	g50045
OG0004389	As007G155160	g50051
OG0004390	As007G157430	g31996
OG0004391	As010G234860	g45971
OG0004393	As007G160690, As007G160670	g50362, g32153
OG0004394	As007G161540	g32221, g27615
OG0004395	As007G163610	g13728, g13731
OG0004396	As007G178290	g38390
OG0004397	As008G184060	g27222
OG0004398	As008G184470	g49848, g31410
OG0004399	As008G184550	g49847, g31402
OG0004400	As008G185490	g49787, g31344
OG0004401	As008G186530	g49762
OG0004402	As008G186970	g31266
OG0004403	As008G187820	g49721
OG0004404	As008G189000	g49640, g31156
OG0004405	As008G191210	g31099
OG0004407	As009G201360	g5129
OG0004408	As009G202170	g45724, g5057
OG0004409	As009G202800	g5016, g29159
OG0004410	As009G204440	g29051, g29055, g4914
OG0004411	As009G204520	g41459
OG0004412	As009G205510	g10111, g4851
OG0004413	As009G206130	g4787, g10135
OG0004414	As009G209000	g10281
OG0004415	As009G212570	g5610
OG0004416	As009G215230	g610, g10064
OG0004418	As009G217040	g9971, g494
OG0004419	As009G217350	g464
OG0004420	As009G217950	g427
OG0004422	As010G229220, As010G229210	g41557
OG0004423	As010G232750	g45811
OG0004424	As010G233230	g45843
OG0004425	As010G233630	g45874, g44688
OG0004426	As010G234750	g45980
OG0004427	As010G234950	g44618
OG0004428	As010G237990	g44451, g46212
OG0004429	As010G238940, As010G238950	g17986
OG0004430	As010G238980	g46148, g46147
OG0004431	As010G240900	g44588
OG0004432	As010G241990	g46464
OG0004433	As010G242320	g46493
OG0004434	As010G242650	g46513
OG0004435	As010G243010	g44315
OG0004436	As011G244750	g13149, g12259
OG0004437	As011G246140	g13209
OG0004438	As011G246280	g7182
OG0004440	As011G247280	g7113, g12146
OG0004441	As011G247520	g13234, g7089
OG0004442	As011G247660	g12139
OG0004443	As011G248380	g13259
OG0004444	As011G250670	g6866, g12000
OG0004445	As011G251920	g11948
OG0004446	As011G252160	g13366
OG0004447	As011G253150	g11886
OG0004448	As011G253180, As012G271840	g11884, g6694
OG0004449	As011G253600	g6676
OG0004450	As011G253980	g11855
OG0004451	As011G255250	g13460
OG0004452	As011G263640	g38303
OG0004453	As011G265220	g13953
OG0004454	As011G265530	g13979, g6025
OG0004455	As011G265750	g5981
OG0004456	As011G267180	g13850
OG0004458	As012G271520	g36508, g54186
OG0004459	As012G272100	g54177
OG0004460	As012G273600	g36339, g28100
OG0004462	As012G275460	g2442
OG0004463	As012G278020	g2320
OG0004464	As012G281490	g11281
OG0004466	As012G283150	g19015
OG0004467	As012G283840	g912
OG0004468	As012G284460	g2043
OG0004469	As012G284540	g18961
OG0004470	As012G284870	g18944, g1987
OG0004471	As012G286860	g52223
OG0004472	As012G287440	g1859, g1860
OG0004474	As012G288860	g18753
OG0004498	As001G000170	g23565, g17050
OG0004499	As001G000420	g23545, g17037
OG0004500	As001G000790	g23520
OG0004501	As011G265920	g13921
OG0004501	As001G001860	g23446
OG0004502	As001G002140, As002G049030	g28635, g1100
OG0004503	As001G002250	g23421
OG0004504	As001G002530	g23392
OG0004505	As001G002630	g16982, g23386, g47751
OG0004506	As001G002870	g16971, g47756
OG0004507	As001G003820	g18959
OG0004507	As012G284650	g11214
OG0004508	As001G004070	g16943
OG0004510	As001G004650	g16931, g23283
OG0004511	As001G006600	g23212
OG0004512	As001G013860	g47878
OG0004513	As001G014180, As011G263170	g47881
OG0004514	As001G017770, As001G017780	g24328
OG0004515	As001G020380, As008G187160	g44099, g41042
OG0004516	As001G021640	g44173
OG0004518	As001G022660	g23880
OG0004519	As001G022670	g10792
OG0004520	As001G024360	g50387
OG0004521	As001G024900	g10603
OG0004522	As001G026910	g10439
