Orthogroup	Aethionema_saxatile	Brassica_oleracea
OG0003486	As011G257690	XP_013589607.1
OG0003487	As001G018480	XP_013586543.1, XP_013611858.1
OG0003488	As001G019520	XP_013593285.1
OG0003489	As001G020530	XP_013639274.1
OG0003490	As001G021530	XP_013589467.1
OG0003490	As008G186500	XP_013603226.1, XP_013584533.1
OG0003491	As001G026430	XP_013595321.1
OG0003492	As001G029250	XP_013618506.1, XP_013636454.1
OG0003493	As002G035090	XP_013583553.1
OG0003494	As002G039730	XP_013623218.1
OG0003495	As002G043280, As010G230860	XP_013615869.1, XP_013619601.1
OG0003496	As002G044500	XP_013618072.1
OG0003497	As002G048990	XP_013613066.1
OG0003498	As002G052050	XP_013591145.1
OG0003499	As002G053620	XP_013606296.1, XP_013622892.1
OG0003500	As005G117030	XP_013628721.1, XP_013618320.1
OG0003501	As002G053940	XP_013611569.1, XP_013638480.1
OG0003502	As003G059690	XP_013605943.1, XP_013630752.1
OG0003503	As003G061590	XP_013588448.1, XP_013596055.1
OG0003504	As004G080010	XP_013630238.1
OG0003504	As003G063140	XP_013592463.1, XP_013586070.1
OG0003505	As003G063630	XP_013625841.1, XP_013610176.1
OG0003506	As003G071210	XP_013638487.1
OG0003507	As003G071290	XP_013595510.1
OG0003508	As011G264580	XP_013623123.1
OG0003510	As007G179660	XP_013600634.1
OG0003510	As003G073500	XP_013595810.1
OG0003511	As004G077480	XP_013588442.1
OG0003512	As004G082150	XP_013637468.1, XP_013614074.1
OG0003513	As004G086220	XP_013613086.1
OG0003515	As004G090550	XP_013595275.1, XP_013618156.1
OG0003517	As011G258520, As004G092880	XP_013628813.1
OG0003518	As011G257380	XP_013595428.1
OG0003519	As004G094410	XP_013603691.1
OG0003520	As011G255310, As004G095400, As004G095420	XP_013597580.1, XP_013630337.1
OG0003521	As005G101360	XP_013632219.1
OG0003522	As005G102020, As012G286680	XP_013619958.1, XP_013635411.1, XP_013627924.1
OG0003523	As005G104950	XP_013590078.1, XP_013632253.1
OG0003525	As005G118370	XP_013612912.1
OG0003526	As010G221590	XP_013600017.1, XP_013601415.1
OG0003527	As005G119570	XP_013619376.1, XP_013598386.1
OG0003528	As006G128300	XP_013634405.1, XP_013634327.1
OG0003529	As006G132680	XP_013597518.1, XP_013617297.1
OG0003530	As009G201820	XP_013612574.1
OG0003530	As006G135480	XP_013622302.1
OG0003531	As006G139510	XP_013624256.1
OG0003532	As006G140580	XP_013630155.1, XP_013598297.1
OG0003533	As006G143930, As006G143600	XP_013635365.1
OG0003534	As012G281180, As006G143730	XP_013590878.1
OG0003535	As006G145120	XP_013634106.1
OG0003536	As007G153480	XP_013602436.1, XP_013603091.1, XP_013584140.1
OG0003537	As007G154540	XP_013586943.1
OG0003538	As007G155370	XP_013605693.1, XP_013599567.1, XP_013587162.1
OG0003539	As007G158680	XP_013590857.1
OG0003540	As007G159330	XP_013605807.1, XP_013587289.1
OG0003541	As010G233300	XP_013591744.1, XP_013592737.1
OG0003542	As007G161510	XP_013622350.1
OG0003544	As007G161850	XP_013596008.1, XP_013613906.1
OG0003545	As008G186910	XP_013637211.1, XP_013605035.1
OG0003546	As008G194740	XP_013634890.1, XP_013639047.1, XP_013585303.1
OG0003548	As009G204690	XP_013613670.1
OG0003549	As009G207460, As009G207450	XP_013612496.1
OG0003550	As009G209470	XP_013594178.1, XP_013618091.1
OG0003551	As009G215900	XP_013619320.1
OG0003553	As009G219420	XP_013611847.1, XP_013621902.1
OG0003554	As010G220780, As010G220790	XP_013594127.1, XP_013587102.1, XP_013596481.1
OG0003555	As010G222500	XP_013621992.1, XP_013605156.1
OG0003556	As010G234140	XP_013586243.1
OG0003557	As010G239860, As011G256410	XP_013598753.1
OG0003558	As010G242270	XP_013620374.1, XP_013592071.1
OG0003560	As012G269530	XP_013620397.1
OG0003561	As011G246970	XP_013625844.1, XP_013639813.1, XP_013583344.1, XP_013584125.1
OG0003562	As011G249020	XP_013609528.1, XP_013586220.1
OG0003563	As011G251010	XP_013638364.1
OG0003564	As012G271290	XP_013592882.1
OG0003567	As011G265090	XP_013609219.1, XP_013610768.1, XP_013596757.1
OG0003583	As001G000930	XP_013623039.1, XP_013623051.1, XP_013623028.1, XP_013603281.1
OG0003584	As001G001330	XP_013594086.1
OG0003586	As001G002510	XP_013597687.1
OG0003588	As009G214690, As009G214680	XP_013608542.1, XP_013608541.1, XP_013608543.1
OG0003588	As001G010330, As001G025770	XP_013623748.1
OG0003589	As001G013500	XP_013610866.1, XP_013598221.1
OG0003590	As001G015600	XP_013592997.1, XP_013606135.1, XP_013622114.1
OG0003591	As008G187420	XP_013637925.1
OG0003591	As001G020120	XP_013618818.1
OG0003592	As001G021480	XP_013614253.1, XP_013632812.1
OG0003593	As001G023410	XP_013593590.1, XP_013596011.1
OG0003594	As001G023630	XP_013595615.1, XP_013594619.1, XP_013602028.1
OG0003595	As001G027090, As001G027080	XP_013608843.1, XP_013593982.1
OG0003597	As008G184580	XP_013584903.1, XP_013601056.1
OG0003598	As002G034020	XP_013586893.1, XP_013629775.1
OG0003599	As002G036480	XP_013627295.1, XP_013589918.1
OG0003600	As002G037270	XP_013638201.1
OG0003601	As002G038900	XP_013633915.1
OG0003603	As002G045060	XP_013596723.1
OG0003604	As002G045700	XP_013601381.1, XP_013628074.1
OG0003605	As002G046590	XP_013632896.1
OG0003606	As006G134260	XP_013598721.1, XP_013637852.1
OG0003607	As002G051320	XP_013627072.1
OG0003608	As002G052010	XP_013605167.1, XP_013584052.1
OG0003609	As002G053090, As002G053080	XP_013609933.1
OG0003610	As005G117640, As002G053540	XP_013610910.1
OG0003611	As003G056740	XP_013596396.1, XP_013593683.1
OG0003612	As003G056880	XP_013594010.1, XP_013615348.1, XP_013619138.1, XP_013623148.1
OG0003613	As003G061640	XP_013608672.1, XP_013591645.1, XP_013620998.1
OG0003614	As003G067760	XP_013585733.1
OG0003615	As003G069250	XP_013622331.1
OG0003616	As003G072090	XP_013622572.1, XP_013617943.1, XP_013595465.1
OG0003617	As004G080040	XP_013612184.1
OG0003618	As004G080680	XP_013590118.1
OG0003620	As004G086980	XP_013600460.1
OG0003621	As004G087120	XP_013613594.1
OG0003623	As004G089520	XP_013616824.1
OG0003625	As005G099540	XP_013632171.1, XP_013634235.1
OG0003626	As005G099800	XP_013613923.1
OG0003626	As012G288200	XP_013633692.1, XP_013599722.1
OG0003627	As005G101300	XP_013627673.1, XP_013637319.1, XP_013634901.1
OG0003628	As005G102640	XP_013633988.1
OG0003629	As005G102860	XP_013635276.1
OG0003630	As012G285840	XP_013633583.1
OG0003630	As005G103250	XP_013628877.1
OG0003631	As005G112390	XP_013620479.1, XP_013608983.1
OG0003632	As005G116550	XP_013604177.1, XP_013586480.1
OG0003633	As005G119880	XP_013598692.1
OG0003634	As005G119910	XP_013611722.1
OG0003635	As005G120780	XP_013606872.1
OG0003636	As006G121740	XP_013623337.1
OG0003637	As006G123230	XP_013610982.1, XP_013616119.1
OG0003638	As006G123700	XP_013612696.1
OG0003639	As006G131900	XP_013595314.1
OG0003640	As009G199910	XP_013621218.1
OG0003641	As009G206890	XP_013597363.1
OG0003641	As006G138200	XP_013622822.1
OG0003643	As006G143260	XP_013636228.1
OG0003644	As010G244340	XP_013591718.1, XP_013635786.1
OG0003645	As010G242480	XP_013587558.1, XP_013604940.1
OG0003645	As007G153070	XP_013604750.1
OG0003646	As007G154850	XP_013587214.1
OG0003647	As007G155620	XP_013603823.1, XP_013585060.1
OG0003648	As007G158410	XP_013586722.1, XP_013599612.1, XP_013588000.1
OG0003649	As007G161780	XP_013584388.1, XP_013588345.1
OG0003651	As008G184180	XP_013605689.1
OG0003652	As008G194280, As008G193860	XP_013586587.1, XP_013586589.1
OG0003653	As008G194560, As008G194590, As008G194680, As008G194690, As008G194540	XP_013614797.1, XP_013586746.1, XP_013614788.1, XP_013614790.1
OG0003655	As009G202850	XP_013611091.1, XP_013629877.1, XP_013620312.1
OG0003656	As009G203220	XP_013619236.1, XP_013590801.1, XP_013610327.1
OG0003657	As009G209290	XP_013638131.1, XP_013607998.1, XP_013635474.1, XP_013624444.1, XP_013622469.1, XP_013597489.1
OG0003658	As009G214410	XP_013626036.1, XP_013626839.1
OG0003659	As009G218240	XP_013594198.1
OG0003660	As009G219910	XP_013616950.1, XP_013623849.1, XP_013608263.1
OG0003661	As010G220530	XP_013601605.1, XP_013595038.1
OG0003662	As010G224350	XP_013603198.1, XP_013628916.1
OG0003663	As010G232730	XP_013613621.1, XP_013588500.1
OG0003664	As010G236810	XP_013594118.1, XP_013596194.1
OG0003665	As010G241450	XP_013591185.1
OG0003666	As010G243710	XP_013591452.1, XP_013621254.1
OG0003667	As011G244920	XP_013611055.1, XP_013629035.1, XP_013629003.1
OG0003668	As011G245570	XP_013627979.1, XP_013638036.1, XP_013619976.1
OG0003669	As012G268950	XP_013629646.1
OG0003669	As011G245800	XP_013588381.1
OG0003670	As012G269210, As011G246210, As011G246190	XP_013625305.1, XP_013583367.1, XP_013610644.1
OG0003671	As011G247450	XP_013617790.1, XP_013638705.1
OG0003672	As011G249210	XP_013585553.1, XP_013628810.1
OG0003673	As011G256420	XP_013616644.1, XP_013625697.1, XP_013593497.1
OG0003674	As011G258320	XP_013599181.1
OG0003676	As011G262250	XP_013629903.1
OG0003677	As012G270250	XP_013590367.1, XP_013584644.1, XP_013590010.1
OG0003678	As012G271670	XP_013611596.1, XP_013583653.1
OG0003679	As012G275890	XP_013595345.1, XP_013631882.1
OG0003680	As012G275950	XP_013637181.1, XP_013598976.1, XP_013602511.1, XP_013604318.1
OG0003682	As012G282610	XP_013591151.1, XP_013637025.1
OG0003683	As012G289380	XP_013604676.1
OG0003695	As001G000260	XP_013603993.1, XP_013592610.1
OG0003696	As001G002170	XP_013596126.1
OG0003697	As001G013520	XP_013598220.1, XP_013625053.1, XP_013603797.1
OG0003698	As001G014650	XP_013622102.1
OG0003699	As003G063440	XP_013604864.1, XP_013589812.1
OG0003700	As001G017940	XP_013600801.1
OG0003701	As001G023150	XP_013610030.1, XP_013618859.1
OG0003702	As006G146620, As001G025510	XP_013597646.1, XP_013625308.1, XP_013613397.1
OG0003703	As001G028680	XP_013590763.1
OG0003704	As001G032010	XP_013612982.1
OG0003705	As002G038400, As002G033540, As002G033530, As002G033330, As002G038420	XP_013636770.1, XP_013635018.1
OG0003706	As002G033350	XP_013634978.1, XP_013639750.1
OG0003707	As002G041790	XP_013610010.1, XP_013618933.1, XP_013591547.1, XP_013626070.1
OG0003708	As002G047410	XP_013613197.1
OG0003709	As002G048350	XP_013628295.1, XP_013612471.1
OG0003710	As002G050330	XP_013606484.1, XP_013620838.1, XP_013623632.1
OG0003711	As003G055860	XP_013597715.1, XP_013638389.1
OG0003712	As003G058500	XP_013628649.1, XP_013598434.1
OG0003713	As003G058930	XP_013598669.1, XP_013612174.1
OG0003715	As004G084520, As003G061370	XP_013608651.1, XP_013629079.1, XP_013620744.1
OG0003716	As012G283080	XP_013592794.1, XP_013592838.1, XP_013599703.1
OG0003717	As003G065150	XP_013610510.1
OG0003719	As004G079960	XP_013628716.1, XP_013609493.1, XP_013616473.1
OG0003720	As004G080650	XP_013606293.1, XP_013620134.1
OG0003721	As004G084480	XP_013626269.1, XP_013634284.1, XP_013609245.1
OG0003723	As011G255400	XP_013607060.1
OG0003723	As004G095300	XP_013629872.1
OG0003724	As004G096690	XP_013638428.1, XP_013601296.1
OG0003726	As005G099480	XP_013635744.1, XP_013635095.1
OG0003728	As005G103270	XP_013634875.1
OG0003728	As005G103260	XP_013634421.1
OG0003729	As005G103280	XP_013632410.1, XP_013633857.1, XP_013636708.1
OG0003730	As012G284400	XP_013614180.1, XP_013599991.1
OG0003731	As005G108120	XP_013618798.1
OG0003733	As006G124860	XP_013618213.1, XP_013593741.1
OG0003734	As006G124980	XP_013594789.1
OG0003735	As006G125180	XP_013609924.1, XP_013618869.1
OG0003736	As006G125840	XP_013621940.1, XP_013635282.1, XP_013631598.1, XP_013634753.1
OG0003737	As006G126080	XP_013625481.1
OG0003738	As006G127030	XP_013634944.1, XP_013634973.1, XP_013625663.1
OG0003739	As006G127380	XP_013634616.1, XP_013634160.1
OG0003740	As006G127670	XP_013636345.1
OG0003741	As006G130380	XP_013631710.1
OG0003742	As006G131050	XP_013604312.1, XP_013585438.1
OG0003743	As009G201030, As006G135070	XP_013586970.1
OG0003744	As006G136120	XP_013636237.1
OG0003746	As009G204820, As006G139770	XP_013614318.1
OG0003747	As006G140970	XP_013637974.1, XP_013613345.1
OG0003748	As006G141550	XP_013587070.1, XP_013628954.1
OG0003749	As006G141820	XP_013585018.1, XP_013628389.1, XP_013628386.1, XP_013638112.1
OG0003750	As006G143250	XP_013603032.1
OG0003751	As008G198320, As006G146890	XP_013586612.1, XP_013639066.1
OG0003752	As007G153770, As007G153790	XP_013599597.1, XP_013601808.1, XP_013600850.1, XP_013587400.1
OG0003753	As007G158090	XP_013585277.1
OG0003754	As007G160060	XP_013585806.1, XP_013593011.1, XP_013587782.1
OG0003755	As007G160580	XP_013604042.1, XP_013584937.1
OG0003756	As007G162820	XP_013599457.1, XP_013614065.1
OG0003758	As007G180320	XP_013602018.1, XP_013634568.1
OG0003759	As008G182680	XP_013585150.1, XP_013603356.1, XP_013603482.1
OG0003760	As008G188230	XP_013602072.1, XP_013585357.1, XP_013604192.1
OG0003761	As008G194990	XP_013601886.1, XP_013602965.1, XP_013639104.1
OG0003762	As008G195820	XP_013619989.1, XP_013620029.1
OG0003763	As011G267040	XP_013612015.1
OG0003763	As008G196490	XP_013585462.1
OG0003765	As009G201670	XP_013612153.1, XP_013619394.1, XP_013639270.1
OG0003766	As009G201910	XP_013608430.1
OG0003767	As009G217110	XP_013613037.1, XP_013618523.1
OG0003768	As009G219380	XP_013610352.1, XP_013590630.1, XP_013618921.1
OG0003769	As009G220100	XP_013606110.1, XP_013622006.1, XP_013621673.1
OG0003770	As010G223730	XP_013597074.1
OG0003771	As010G223770	XP_013606559.1, XP_013622712.1
OG0003772	As010G226150	XP_013622617.1, XP_013596623.1
OG0003773	As010G232260	XP_013616038.1, XP_013588236.1, XP_013591410.1, XP_013591407.1
OG0003774	As010G232640	XP_013592789.1, XP_013588095.1, XP_013592484.1
OG0003775	As010G241780, As010G241710	XP_013589711.1
OG0003776	As010G242140	XP_013618770.1, XP_013590590.1, XP_013590448.1
OG0003777	As010G242360	XP_013590548.1, XP_013590839.1
OG0003778	As012G272320	XP_013591367.1
OG0003779	As011G252740	XP_013584639.1
OG0003780	As011G253670	XP_013628707.1, XP_013588234.1
OG0003781	As011G256130	XP_013627961.1, XP_013591978.1
OG0003782	As011G260900	XP_013626784.1, XP_013594223.1
OG0003783	As011G261510	XP_013593096.1, XP_013625258.1
OG0003785	As012G268460	XP_013622139.1, XP_013587963.1
OG0003786	As012G271300	XP_013592589.1, XP_013588555.1
OG0003787	As012G272640	XP_013584887.1, XP_013591155.1
OG0003788	As012G278110	XP_013634963.1, XP_013603347.1, XP_013634972.1, XP_013590513.1
OG0003789	As012G281210	XP_013589955.1, XP_013604778.1
OG0003790	As012G282770	XP_013635456.1, XP_013635552.1, XP_013635549.1, XP_013632982.1, XP_013632984.1, XP_013614441.1
OG0003791	As012G283110	XP_013637505.1
OG0003823	As001G000130	XP_013600740.1, XP_013584235.1, XP_013598044.1
OG0003824	As001G003930	XP_013622019.1, XP_013620573.1, XP_013620588.1, XP_013620545.1
OG0003826	As001G013420	XP_013605753.1
OG0003827	As001G014340	XP_013617435.1
OG0003829	As004G079150	XP_013634071.1
OG0003829	As001G016050	XP_013604889.1, XP_013587553.1
OG0003830	As001G018400	XP_013605107.1
OG0003831	As008G187710, As001G019740	XP_013602918.1, XP_013584456.1
OG0003832	As001G022590	XP_013595961.1, XP_013620889.1
OG0003833	As001G029870	XP_013634151.1
OG0003834	As001G030450	XP_013615332.1, XP_013608683.1, XP_013608727.1
OG0003836	As002G034190	XP_013638731.1, XP_013625554.1
OG0003837	As002G035690	XP_013618819.1, XP_013611532.1, XP_013611531.1
OG0003838	As002G043340	XP_013607205.1, XP_013622636.1
OG0003839	As002G046090	XP_013623555.1, XP_013609426.1, XP_013612384.1
OG0003840	As002G047330	XP_013609448.1, XP_013616601.1, XP_013626382.1, XP_013591270.1
OG0003841	As002G048100	XP_013629587.1, XP_013611621.1
OG0003842	As002G050720	XP_013610204.1, XP_013609869.1, XP_013618503.1
OG0003843	As009G215300	XP_013599247.1
OG0003843	As002G051750	XP_013621674.1, XP_013630186.1
OG0003844	As004G088690, As003G056700	XP_013599040.1, XP_013621438.1, XP_013612527.1
OG0003845	As004G088260	XP_013597062.1
OG0003845	As003G057190	XP_013593071.1
OG0003846	As003G061760, As003G061770	XP_013626633.1, XP_013584770.1, XP_013595735.1
OG0003847	As003G061780	XP_013595569.1, XP_013595568.1, XP_013625787.1
OG0003848	As003G062940, As003G062930	XP_013585072.1, XP_013591180.1, XP_013603749.1
OG0003849	As004G083190, As003G063100	XP_013586078.1, XP_013591473.1, XP_013600430.1
OG0003850	As003G066510	XP_013586448.1, XP_013600338.1, XP_013589934.1
OG0003851	As003G070320	XP_013584088.1, XP_013628339.1, XP_013596050.1
OG0003852	As003G072180	XP_013621719.1, XP_013598855.1, XP_013605776.1
OG0003853	As003G073840	XP_013600744.1, XP_013600752.1
OG0003854	As004G077370	XP_013634632.1, XP_013588836.1, XP_013637651.1, XP_013631852.1
OG0003855	As004G080850	XP_013587823.1
OG0003857	As004G082830	XP_013618092.1
OG0003858	As004G082850	XP_013591583.1
OG0003859	As004G084640	XP_013616719.1
OG0003860	As004G085360, As005G102330	XP_013634209.1
OG0003861	As004G088000	XP_013595707.1, XP_013620385.1
OG0003862	As004G088680	XP_013598581.1, XP_013620913.1
OG0003863	As004G090680	XP_013611125.1, XP_013620410.1, XP_013595632.1
OG0003864	As012G288630, As005G099140	XP_013637418.1, XP_013604117.1, XP_013588158.1
OG0003865	As012G287860	XP_013600519.1
OG0003865	As005G100390	XP_013636778.1
OG0003868	As005G114040	XP_013612427.1, XP_013611543.1, XP_013623089.1
OG0003869	As005G114220	XP_013610467.1, XP_013610454.1
OG0003870	As005G114300	XP_013619122.1, XP_013628787.1, XP_013611418.1
OG0003871	As005G114600, As010G224930	XP_013625907.1, XP_013616923.1
OG0003872	As006G121350	XP_013612641.1
OG0003873	As006G122480	XP_013596591.1, XP_013614055.1
OG0003874	As006G123540	XP_013600745.1, XP_013627688.1, XP_013627741.1, XP_013615656.1, XP_013612249.1, XP_013629985.1
OG0003875	As008G196530, As006G124610	XP_013604241.1
OG0003876	As006G126090	XP_013632043.1, XP_013623909.1
OG0003877	As006G132510	XP_013599271.1
OG0003878	As006G139920	XP_013624051.1, XP_013638851.1, XP_013629268.1
OG0003879	As006G141000	XP_013618500.1
OG0003880	As006G148820, As006G148810	XP_013634871.1
OG0003881	As007G152470	XP_013590147.1
OG0003882	As007G154510	XP_013584960.1, XP_013603336.1, XP_013615860.1, XP_013603626.1
OG0003883	As007G158890	XP_013600945.1, XP_013603339.1
OG0003884	As007G160570	XP_013597600.1
OG0003885	As007G163750	XP_013618742.1
OG0003887	As008G182590	XP_013604682.1, XP_013586062.1
OG0003889	As008G189240	XP_013583970.1, XP_013604976.1, XP_013602086.1
OG0003890	As008G194200	XP_013633494.1, XP_013637395.1
OG0003891	As009G201620	XP_013625169.1, XP_013623806.1, XP_013627967.1, XP_013618656.1, XP_013610381.1
OG0003893	As009G204140	XP_013609487.1
OG0003894	As009G206320	XP_013612614.1
OG0003895	As009G211380, As009G207230, As009G207290, As009G210320	XP_013615421.1, XP_013614442.1, XP_013632983.1, XP_013627815.1
OG0003896	As009G207440	XP_013612669.1
OG0003897	As009G212730	XP_013606366.1, XP_013587635.1
OG0003898	As009G214230	XP_013625289.1, XP_013612831.1, XP_013621643.1
OG0003899	As009G215120	XP_013598863.1
OG0003901	As010G223350	XP_013623263.1, XP_013626416.1
OG0003902	As010G224000	XP_013629037.1, XP_013623514.1
OG0003903	As010G231110	XP_013590749.1
OG0003905	As010G237050	XP_013590613.1, XP_013616135.1, XP_013589696.1, XP_013589695.1, XP_013590814.1
OG0003906	As010G237540	XP_013594689.1, XP_013638006.1
OG0003908	As010G242240	XP_013592491.1, XP_013592067.1, XP_013621023.1
OG0003910	As011G246310	XP_013584031.1
OG0003912	As012G269980	XP_013590926.1
OG0003913	As011G247940	XP_013627302.1, XP_013638569.1, XP_013583889.1
OG0003914	As012G270820	XP_013592574.1
OG0003914	As011G248290	XP_013603855.1
OG0003915	As011G251160	XP_013627179.1, XP_013608514.1, XP_013638979.1, XP_013586561.1
OG0003916	As011G251860	XP_013628310.1, XP_013608350.1, XP_013637711.1
OG0003917	As011G252470	XP_013615280.1, XP_013637860.1
OG0003918	As011G252890	XP_013583483.1, XP_013626042.1
OG0003919	As011G253850	XP_013584832.1, XP_013584195.1
OG0003920	As011G254760	XP_013626613.1, XP_013619034.1, XP_013585302.1
OG0003921	As011G266120	XP_013606829.1
OG0003922	As012G269750	XP_013613493.1
OG0003923	As012G274150	XP_013584912.1, XP_013590751.1
OG0003924	As012G278770	XP_013595325.1, XP_013617029.1, XP_013604395.1
OG0003925	As012G281550	XP_013623183.1
OG0003926	As012G287150	XP_013588573.1, XP_013600176.1
OG0003948	As001G001850	XP_013600095.1
OG0003949	As001G002710	XP_013621574.1
OG0003950	As001G016530	XP_013586668.1, XP_013587115.1, XP_013605171.1
OG0003952	As001G018840	XP_013608761.1, XP_013628044.1, XP_013626054.1, XP_013620704.1
OG0003954	As001G023250	XP_013610062.1, XP_013618544.1, XP_013596230.1
OG0003955	As001G023780	XP_013593495.1, XP_013609821.1, XP_013616378.1
OG0003956	As001G026420	XP_013616143.1
OG0003957	As001G026450	XP_013609276.1, XP_013595664.1
OG0003958	As004G077260	XP_013637343.1
OG0003959	As002G033730	XP_013632039.1, XP_013634928.1, XP_013626858.1
OG0003960	As009G214470, As002G035970	XP_013611979.1, XP_013629479.1
OG0003961	As009G213780	XP_013609296.1
OG0003962	As002G037220	XP_013638300.1, XP_013586388.1, XP_013623413.1
OG0003963	As002G040080	XP_013612426.1
OG0003964	As002G040140	XP_013615863.1, XP_013602009.1
OG0003965	As002G042610	XP_013619623.1, XP_013627349.1, XP_013610437.1
OG0003966	As007G166260, As002G044520	XP_013613160.1, XP_013622783.1
OG0003968	As002G051630	XP_013607287.1, XP_013618889.1
OG0003969	As002G051810	XP_013626846.1, XP_013606187.1, XP_013607518.1
OG0003970	As002G052470	XP_013622688.1, XP_013598733.1
OG0003971	As002G054270	XP_013609731.1, XP_013604078.1
OG0003972	As002G055130	XP_013608505.1, XP_013616274.1
OG0003973	As004G089980	XP_013610860.1, XP_013598918.1, XP_013618449.1
OG0003974	As003G057050	XP_013619547.1
OG0003975	As003G058840	XP_013618808.1, XP_013625638.1, XP_013595088.1, XP_013615309.1
OG0003976	As003G060960	XP_013593487.1, XP_013609490.1
OG0003977	As012G276670, As003G066850	XP_013592246.1, XP_013636894.1
OG0003981	As003G072830	XP_013626450.1, XP_013638818.1, XP_013595920.1
OG0003982	As003G073740	XP_013593742.1, XP_013634270.1, XP_013622174.1
OG0003983	As003G074540	XP_013599729.1, XP_013627139.1
OG0003985	As004G085790	XP_013611978.1
OG0003986	As004G088130	XP_013612248.1
OG0003987	As011G257790	XP_013596415.1
OG0003988	As004G095470	XP_013634816.1, XP_013596834.1
OG0003989	As004G096680	XP_013600776.1, XP_013595435.1
OG0003990	As004G097720	XP_013590909.1, XP_013635505.1
OG0003991	As005G099930	XP_013635981.1
OG0003993	As005G101180, As006G126880	XP_013605471.1, XP_013639672.1, XP_013636669.1
OG0003994	As005G103050, As007G160380	XP_013619866.1
OG0003995	As005G103140	XP_013633719.1, XP_013623547.1, XP_013623531.1
OG0003996	As005G103420	XP_013633779.1, XP_013625786.1
OG0003997	As005G106470	XP_013624161.1, XP_013617637.1
OG0003998	As005G107400	XP_013628709.1, XP_013614858.1, XP_013609794.1, XP_013620070.1
OG0003999	As005G109390	XP_013590591.1
OG0004000	As005G114360	XP_013619353.1, XP_013610741.1
OG0004001	As005G115180	XP_013626860.1, XP_013608293.1, XP_013618245.1
OG0004002	As005G116460	XP_013612812.1, XP_013622158.1
OG0004004	As006G121940	XP_013622593.1, XP_013606793.1, XP_013618311.1, XP_013585300.1
OG0004005	As006G127760	XP_013637462.1, XP_013625340.1
OG0004006	As006G130440	XP_013627274.1
OG0004007	As006G137920	XP_013626871.1, XP_013626428.1
OG0004008	As006G138240, As009G206850	XP_013593624.1
OG0004009	As006G140960	XP_013588876.1
OG0004011	As012G282540	XP_013604692.1
OG0004012	As006G143040	XP_013628733.1, XP_013637210.1, XP_013636489.1, XP_013636490.1
OG0004013	As012G282260, As006G143070	XP_013603606.1, XP_013589348.1
OG0004014	As006G143270	XP_013592901.1
OG0004015	As006G143670	XP_013628421.1, XP_013628420.1, XP_013626441.1
OG0004016	As006G143900	XP_013635535.1, XP_013634122.1, XP_013622432.1
OG0004017	As006G145950	XP_013631172.1, XP_013626425.1
OG0004019	As006G147200	XP_013634067.1
OG0004021	As006G148300	XP_013615266.1, XP_013604832.1
OG0004022	As007G152020, As007G177620	XP_013604104.1
OG0004023	As007G152360	XP_013613825.1
OG0004024	As007G162480, As007G152540, As007G162470, As007G152880	XP_013637673.1
OG0004025	As007G159370	XP_013584360.1, XP_013595567.1, XP_013600287.1
OG0004026	As007G163630	XP_013616979.1
OG0004027	As007G164540	XP_013605755.1, XP_013593135.1
OG0004028	As007G165260	XP_013593006.1
OG0004029	As007G177730	XP_013617033.1, XP_013630569.1
OG0004030	As007G178020	XP_013631924.1, XP_013602790.1, XP_013630289.1
OG0004031	As011G245950, As007G180840, As007G180850	XP_013631767.1
OG0004032	As007G182130	XP_013603030.1, XP_013597984.1
OG0004033	As008G185010	XP_013638591.1, XP_013600472.1
OG0004034	As008G187450	XP_013607808.1
OG0004035	As008G191840	XP_013585383.1, XP_013604455.1
OG0004036	As008G194270	XP_013619778.1, XP_013597665.1
OG0004037	As008G197570	XP_013584553.1
OG0004038	As009G201890, As009G201900	XP_013625651.1, XP_013606635.1, XP_013621202.1
OG0004039	As009G205460	XP_013608673.1, XP_013620999.1, XP_013597243.1, XP_013626052.1
OG0004040	As009G206590	XP_013616277.1, XP_013614412.1, XP_013593136.1
OG0004042	As009G207060	XP_013617873.1
OG0004043	As009G208000	XP_013618587.1, XP_013593847.1
OG0004045	As009G215710	XP_013593824.1
OG0004046	As009G216920	XP_013595358.1
OG0004047	As009G216980	XP_013612594.1, XP_013606353.1, XP_013599098.1
OG0004048	As009G217550	XP_013596090.1, XP_013610743.1, XP_013617941.1
OG0004049	As009G218170	XP_013596282.1, XP_013610025.1, XP_013610760.1, XP_013619378.1
OG0004050	As010G225880	XP_013616296.1, XP_013611642.1
OG0004051	As010G226350	XP_013625378.1
OG0004052	As010G234160	XP_013591533.1, XP_013590036.1
OG0004053	As010G235210	XP_013591792.1, XP_013620921.1, XP_013592086.1
OG0004054	As011G244730	XP_013593370.1, XP_013585068.1, XP_013627538.1
OG0004055	As011G245670	XP_013638762.1, XP_013637068.1
OG0004056	As012G274720, As011G248850	XP_013601609.1, XP_013595639.1
OG0004057	As011G249280	XP_013623175.1, XP_013639005.1
OG0004058	As011G249290	XP_013627389.1, XP_013589550.1, XP_013584626.1
OG0004059	As011G250020	XP_013592131.1
OG0004060	As011G250180	XP_013613955.1
OG0004061	As011G250270	XP_013627440.1, XP_013591655.1
OG0004062	As011G250550, As011G250570, As011G250600, As011G250560	XP_013608623.1, XP_013586655.1, XP_013630218.1
OG0004063	As011G250770	XP_013587425.1
OG0004064	As011G252680, As012G271950	XP_013629487.1
