Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_Rawat
OG0004105	As002G046100	AL8G29640
OG0004106	As002G046540, As009G207520	AL8G30200
OG0004107	As002G046780	AL4G38180
OG0004108	As002G047980	AL8G31870, AL191U10030
OG0004109	As002G052000	AL6G21890
OG0004110	As002G053550	AL6G20160
OG0004112	As009G218120	AL8G38190
OG0004113	As004G088410, As003G057000	AL7G35750, AL7G35720
OG0004114	As003G057030, As004G088400	AL7G35710
OG0004115	As003G057230	AL7G35480
OG0004116	As003G058820	AL7G33290
OG0004117	As003G059100	AL7G32910
OG0004118	As003G059740	AL7G32230
OG0004119	As003G062860	AL1G48090
OG0004120	As003G063760	AL7G33010
OG0004121	As003G064620	AL1G52150
OG0004122	As004G082890, As003G064780	nbis-gene-237
OG0004123	As003G069730	AL1G42850
OG0004124	As003G071390	AL1G44970
OG0004125	As003G072870	AL7G14340
OG0004126	As003G073720	AL4G33130, AL8G24670
OG0004127	As003G073890	AL7G13160
OG0004128	As003G076290	AL7G10420, AL7G10430
OG0004129	As004G078290	AL1G17840
OG0004130	As004G078500	AL5G18880
OG0004131	As011G267420, As004G079300	AL3G54010
OG0004133	As004G082180	AL1G66580
OG0004134	As004G082540	AL1G54250
OG0004135	As004G084160	AL6G45080, AL7G29430
OG0004136	As004G084940	AL6G46840
OG0004137	As004G089940	AL8G10950
OG0004139	As004G097850	AL7G48240
OG0004140	As005G099510	AL4G46960
OG0004141	As005G099950, As012G288140	AL4G46540
OG0004142	As005G103000	AL4G43160
OG0004143	As005G103610	AL4G42460
OG0004145	As005G104470	AL4G41480, AL713U10010
OG0004147	As005G112540	AL6G32570, AL5G21610
OG0004148	As005G113170	AL6G33060
OG0004150	As005G114510, As010G225010	AL3G41010, AL71U10070, AL8G36720
OG0004151	As005G115870	AL139U10040, AL8G35330, AL3G40420
OG0004152	As005G117090	AL8G41390
OG0004153	As008G198700	nbis-gene-19
OG0004154	As006G122110	AL6G52410
OG0004155	As006G122150	AL6G52470
OG0004156	As006G123180	AL6G50740
OG0004157	As006G123200	AL6G50720
OG0004158	As006G124850	AL6G12230, AL8G16520, AL37U10030
OG0004159	As008G196350	AL1G13850
OG0004160	As006G126710	AL4G27330, AL80U10090
OG0004161	As006G126870	AL4G27170
OG0004162	As006G128050	AL4G25380
OG0004163	As006G128110	AL136U10010, AL4G25270
OG0004164	As006G128260	AL1G17000, AL4G25110
OG0004165	As006G129050	AL4G23680
OG0004166	As006G131720	AL5G21960
OG0004167	As006G132450	AL7G25510
OG0004168	As009G200130	AL6G24950
OG0004168	As006G133220	AL3G10360
OG0004170	As006G137240	AL6G29410, AL3G13870
OG0004171	As006G137640	AL3G14420
OG0004172	As006G138260	AL3G15390
OG0004174	As006G141250	AL3G18900
OG0004175	As006G142360	AL4G38320
OG0004176	As006G146830	AL4G34700
OG0004178	As007G152740	AL1G28370
OG0004179	As007G155390	AL1G31530, AL1G31540
OG0004181	As007G156800	AL1G33710
OG0004184	As007G163160	AL7G28510
OG0004185	As007G163590	AL7G28360
OG0004186	As007G163940	AL7G50490, AL6G41500
OG0004187	As007G164400	AL7G28010
OG0004188	As007G179030, As007G179010	AL792U10010, AL8G32330, AL8G26290
OG0004189	As008G184410	AL1G24550, AL5G15480
OG0004190	As008G184700, As008G184690	AL1G23900
OG0004192	As008G197350	AL1G12610
OG0004194	As009G202240	AL6G27200
OG0004195	As009G203180	AL6G28330, AL6G28350
OG0004196	As009G205970	AL6G39120
OG0004197	As009G211300	AL6G17160
OG0004198	As009G214930	AL6G37870
OG0004200	As009G216370	AL6G35710
OG0004201	As009G217150	AL6G34640
OG0004202	As009G217710	AL8G37640
OG0004203	As009G218930	AL1G60620
OG0004204	As009G219070	AL8G39510
OG0004205	As009G219810	AL8G34800
OG0004206	As010G221690	AL5G29420, AL5G29410
OG0004207	As010G225090, As010G225080, As010G225100, As010G225060, As010G225070	AL5G24270, AL5G24280
OG0004208	As010G233390	AL2G33600, AL6G43100
OG0004209	As010G234300	AL2G31110
OG0004210	As010G234490	AL2G31280
OG0004211	As010G234890	AL2G31680
OG0004212	As010G235670	AL2G37990
OG0004213	As010G239270	AL2G34100
OG0004214	As010G240480	AL2G32990
OG0004215	As010G241600, As010G241620	AL2G38690, AL2G38720
OG0004216	As010G243430	AL2G40690
OG0004217	As011G244640	AL3G24380
OG0004218	As011G247420	AL3G27740, AL7G45340
OG0004219	As011G247730	AL3G28160
OG0004220	As011G248180, As012G270710	AL3G28640
OG0004223	As011G251120	AL3G32380
OG0004224	As011G251370, As012G272690	AL3G32690
OG0004225	As011G251650	AL3G33010
OG0004226	As011G253300	AL3G35180
OG0004227	As011G253800	AL3G35820
OG0004228	As011G253810	AL3G35830
OG0004229	As011G254240	AL3G36500
OG0004230	As011G254340	AL3G36660
OG0004231	As011G254780	AL3G37180
OG0004233	As011G255710	AL3G38670
OG0004234	As011G264880	AL3G50980
OG0004235	As011G265830	AL1G54170, AL3G52820
OG0004236	As011G266690	AL7G23610, AL7G23620
OG0004237	As011G267270, As011G267280	AL7G45110
OG0004238	As012G267910	AL1G64070
OG0004240	As012G269260	AL1G62760
OG0004241	As012G269460	AL1G62440
OG0004242	As012G269770	AL1G61880
OG0004243	As012G269900	AL1G61610
OG0004245	As012G273570	AL3G31300
OG0004246	As012G280620, As012G273950	AL1G54790
OG0004247	As012G274970	AL4G30760
OG0004248	As012G275400, As012G276260	AL3G17740
OG0004251	As012G283920	AL5G38920
OG0004252	As012G284390	AL5G39630
OG0004253	As012G286840	AL5G43050, AL2G22100
OG0004254	As012G287640	AL6G15510, AL5G44050
OG0004255	As012G288240	AL2G23500, AL5G45060
OG0004275	As001G000870	AL7G23440
OG0004276	As001G002160	AL5G14080, AL3G52920
OG0004277	As011G265640, As001G002210	AL7G21940
OG0004279	As001G003660	AL7G20690
OG0004280	As001G006810	AL7G18350
OG0004281	As001G013770	AL7G17410
OG0004282	As001G014300	AL7G16620
OG0004283	As001G015050	AL7G16020
OG0004284	As001G015880	AL1G49760
OG0004285	As001G016710	AL1G46330
OG0004286	As001G018890, As001G018880	AL1G65870
OG0004287	As001G022460	AL5G10300
OG0004288	As001G023610	AL5G11910
OG0004289	As001G024600	AL5G14100
OG0004290	As001G026120	AL5G16400
OG0004290	As004G097690	AL7G48890, AL7G48790
OG0004291	As001G026380, As011G255770	AL8G10730
OG0004292	As001G027050	AL5G18080
OG0004294	As001G030160	AL1G64650, AL4G41050
OG0004295	As002G033190	AL4G39160
OG0004296	As002G035220	AL3G21380
OG0004297	As002G037050	AL3G22750
OG0004298	As006G130640, As002G037710	AL3G23390
OG0004299	As007G162270, As002G042660	AL8G25020
OG0004300	As002G043250	AL8G25510
OG0004301	As002G043300	AL2G22290, AL8G25570
OG0004302	As002G043550	AL130U10010, AL8G25870
OG0004303	As002G047780	AL7G26410
OG0004304	As002G049650	AL8G34070
OG0004305	As002G051210	AL6G38210
OG0004306	As006G141850, As002G051270	AL6G24070
OG0004307	As002G051350	AL3G26740, AL6G22640
OG0004308	As002G052440	AL6G21350
OG0004309	As002G054450	AL6G18890
OG0004310	As002G054710	AL6G18550
OG0004311	As003G056500	AL7G36290
OG0004312	As003G056690	AL7G36050
OG0004313	As003G057420	AL7G35180
OG0004314	As003G058230	AL7G33810
OG0004315	As003G058610	AL7G33470
OG0004316	As003G058920	AL7G33180
OG0004317	As003G059020	AL7G33020
OG0004318	As003G060620	AL7G30900
OG0004319	As003G060790, As003G060800	AL7G30720
OG0004320	As003G061430, As003G061420	AL7G30030
OG0004321	As003G062130	AL7G29220
OG0004322	As003G062240, As010G221830	AL6G43890, AL6G44740, AL6G44760
OG0004323	As003G063810	AL6G42920
OG0004324	As006G145530, As003G067450	AL3G36960
OG0004325	As003G069760	AL1G61600
OG0004326	As003G070110	AL1G43470
OG0004327	As003G071060	AL1G44480
OG0004328	As003G071160	AL1G44620
OG0004329	As003G071370, As003G071360	AL4G10100
OG0004330	As003G072100	AL7G15280
OG0004331	As003G073090	AL7G14050
OG0004332	As003G073170	AL7G13980
OG0004333	As004G083380	AL6G43860
OG0004334	As004G084920	AL6G46820
OG0004335	As004G087240	AL7G34090, AL176U10010, AL7G41730
OG0004336	As004G091550	AL7G44130
OG0004337	As004G091730	AL3G41980, AL9U12210
OG0004338	As004G092930	AL9U11810
OG0004339	As004G095500, As011G255130	AL7G41740, AL7G41770
OG0004341	As004G095920	AL7G41060
OG0004342	As012G267840, As011G267630, As004G098550	AL1G62420
OG0004343	As012G288780, As005G098860	AL5G45710
OG0004344	As005G099940	AL4G46550
OG0004345	As005G100750	AL4G45660
OG0004347	As005G102940	AL4G43230, AL2G36230
OG0004348	As005G104170	AL4G41800
OG0004349	As005G104940	AL5G39800
OG0004350	As005G110660	AL6G31340
OG0004352	As005G111570	AL4G37700, AL301U10020
OG0004353	As010G226220, As010G226230, As005G113390	AL6G33400
OG0004354	As005G115740	AL8G35660
OG0004355	As005G116660	AL8G40840
OG0004356	As005G117010	AL8G41300
OG0004357	As005G118520	AL8G43010, AL6G20960
OG0004358	As005G119610	AL8G44310
OG0004359	As005G119720	AL8G44470
OG0004360	As008G199550	AL1G10140
OG0004361	As006G121370	AL6G52850
OG0004362	As006G123980	AL6G49730
OG0004363	As006G125290	AL4G29080
OG0004364	As008G196110, As006G125340	AL4G29030
OG0004365	As006G127270, As008G194240	AL1G15910
OG0004366	As006G127430	AL4G26450
OG0004367	As006G127590	AL4G26240, nbis-gene-42
OG0004368	As006G128080	AL4G25350
OG0004369	As006G128150	AL4G25220
OG0004370	As006G128230, As006G128220	AL4G25160
OG0004371	As006G128560	AL4G24730
OG0004372	As009G206020, As006G132780	AL3G10760
OG0004373	As006G135750	AL3G12160
OG0004374	As006G138530	AL3G15650
OG0004375	As009G206280, As006G138610, As006G138590	AL6G39460
OG0004376	As006G138730	AL3G16160
OG0004377	As006G139470	AL3G16780
OG0004378	As006G139690	AL3G16970
OG0004379	As006G140010	AL3G17360
OG0004380	As006G141010	AL3G18580
OG0004381	As006G144560	AL4G32110, AL970U10020
OG0004382	As006G144700	AL4G32290
OG0004383	As006G145490	AL4G33190
OG0004385	As007G152550, As007G152530	AL1G28210
OG0004386	As010G240780, As007G154150	AL1G30070
OG0004387	As010G240180, As007G154430	AL2G33220, AL2G33230
OG0004388	As007G154920	AL1G30950, nbis-gene-598
OG0004389	As007G155160	AL1G31160
OG0004390	As010G236300	AL2G37310
OG0004391	As010G234860	AL2G31650
OG0004392	As007G159020	AL1G36440, AL1G36450, AL8G15180
OG0004393	As007G160690, As007G160670	AL1G39120
OG0004394	As007G161540	AL1G40100
OG0004395	As007G163610	AL3G15410, AL7G28340
OG0004396	As007G178290	AL4G14630, AL7G21070
OG0004397	As008G184060	AL1G25130
OG0004398	As008G184470	AL1G24480
OG0004399	As008G184550	AL1G24350
OG0004400	As008G185490	AL1G23060
OG0004401	As008G186530	AL1G22060
OG0004402	As008G186970	nbis-gene-583
OG0004403	As008G187820	AL1G20770
OG0004404	As008G189000	AL1G19490, AL1G19480
OG0004405	As008G191210	AL1G18390, AL1G18400
OG0004406	As008G191790	AL1G18170
OG0004407	As009G201360	AL6G26070
OG0004408	As009G202170	AL6G27160
OG0004409	As009G202800	AL6G27860
OG0004410	As009G204440	AL6G29830
OG0004411	As009G204520	AL6G29920
OG0004412	As009G205510	AL6G38530
OG0004413	As009G206130	AL6G39360
OG0004414	As009G209000	AL8G21000
OG0004415	As009G212570	AL6G16130
OG0004416	As009G215230	AL6G37440
OG0004417	As009G216590	AL6G35360
OG0004418	As009G217040	AL6G34810, AL4G15050
OG0004419	As009G217350	nbis-gene-1553
OG0004420	As009G217950	AL8G38000
OG0004421	As010G221640	AL7G47510
OG0004422	As010G229220, As010G229210	AL2G27230
OG0004423	As010G232750	AL2G28850, AL7G43580
OG0004424	As010G233230	AL2G29550
OG0004425	As010G233630	AL2G30130
OG0004426	As010G234750	AL2G31520, AL106U10030
OG0004427	As010G234950	AL2G31750, AL2G31740
OG0004428	As010G237990	AL2G35510
OG0004429	As010G238940, As010G238950	AL2G34480
OG0004430	As010G238980	AL2G34440, AL2G34420
OG0004431	As010G240900	AL2G32610
OG0004432	As010G241990	AL2G39000
OG0004433	As010G242310	AL2G39390
OG0004433	As010G242320	AL2G39400
OG0004434	As010G242650	AL2G39870
OG0004435	As010G243010	AL2G40250
OG0004436	As011G244750	AL3G24600
OG0004437	As011G246140	AL3G26310
OG0004438	As011G246280	AL3G26460
OG0004440	As011G247280	AL3G27560
OG0004441	As011G247520	AL3G27830
OG0004442	As011G247660	AL3G28050
OG0004444	As011G250670	AL451U10010, AL3G31880
OG0004445	As011G251920	AL3G33340, AL1G57850
OG0004447	As011G253150	AL3G34860
OG0004448	As011G253180, As012G271840	AL3G34880
OG0004449	As011G253600	AL3G35380
OG0004450	As011G253980	AL3G36020
OG0004451	As011G255250	AL3G37900
OG0004452	As011G263640	AL4G18210, AL7G18690
OG0004453	As011G265220	AL3G51840
OG0004454	As011G265530	AL3G51360
OG0004455	As011G265750	AL3G52860, AL3G52870
OG0004456	As011G267180	AL3G53520, AL4G32160
OG0004457	As012G270680	AL1G60660
OG0004458	As012G271520	AL1G59400
OG0004459	As012G272100	AL1G58200, AL1G58180
OG0004460	As012G273600	AL1G55270
OG0004461	As012G275430	AL4G30380, AL1G43740
OG0004462	As012G275460	AL5G32400
OG0004463	As012G278020	AL5G34990
OG0004465	As012G282680	AL4G38240
OG0004466	As012G283150	AL5G38080
OG0004467	As012G283840	AL8G27920, AL8G27910
OG0004468	As012G284460	AL2G40280
OG0004469	As012G284540	AL5G39820
OG0004470	As012G284870	AL5G40370
OG0004471	As012G286860	AL4G44400, AL1G55650
OG0004472	As012G287440	AL3G42240, AL5G43740
OG0004473	As012G288260	AL2G23480, AL2G23470
OG0004474	As012G288860	AL5G45800
OG0004498	As001G000170	AL7G24330
OG0004499	As001G000420	AL7G24020
OG0004500	As001G000790	AL7G23600
OG0004501	As011G265920, As001G001860	AL7G22280
OG0004502	As001G002140, As002G049030	AL8G33290
OG0004503	As001G002250	AL7G21910
OG0004504	As001G002530	AL4G13970, AL7G21640
OG0004505	As001G002630	AL7G21550
OG0004506	As001G002870	AL7G21370
OG0004508	As001G004070	AL7G20210
OG0004510	As001G004650	AL7G19680, AL4G16790
OG0004511	As001G006600	AL7G18680
OG0004512	As001G013860	AL7G16890
OG0004513	As001G014180, As011G263170	AL7G16770
OG0004514	As001G017770, As001G017780	nbis-gene-1840
OG0004515	As001G020380, As008G187160	AL2G16860
OG0004516	As001G021640	AL2G14980, AL1G22280
OG0004517	As001G021780	AL2G14580
OG0004518	As001G022660	AL7G29680
OG0004519	As001G022670	AL5G10560
OG0004520	As001G024360	AL6G31240
OG0004521	As001G024900	AL5G14520
OG0004522	As001G026910	AL5G17640, AL7G49820
OG0004523	As001G027440	AL5G18690
OG0004524	As001G027910	AL5G19620
OG0004525	As001G029530	AL2G20300
OG0004526	As001G031770, As008G184770	AL1G23780
OG0004529	As002G038860	AL3G23940
OG0004530	As004G088910	AL8G36360
OG0004531	As002G047610	AL8G31420
OG0004532	As002G047950	AL8G31830
OG0004533	As002G048330, As002G048320	AL8G32470
OG0004534	As002G048480	AL8G32620
OG0004535	As002G049210	AL8G33520
OG0004536	As002G049590	AL8G33980
OG0004537	As002G050170	AL8G19880
OG0004538	As002G050780	AL6G23430
OG0004539	As002G050870	AL6G23200
OG0004540	As002G051190	AL6G22840
OG0004542	As002G052120	AL6G21740
OG0004543	As002G052580	AL6G21180
OG0004545	As002G054050	AL6G19540
OG0004546	As002G054780	AL6G18460
OG0004547	As002G055310	AL6G17740
OG0004548	As004G088510	AL7G35860
OG0004549	As003G056980	AL7G35770
OG0004550	As003G057550	AL7G34970
OG0004552	As003G061560	AL7G29880
OG0004553	As003G061580	AL7G29860
OG0004554	As003G062110	AL7G29240
OG0004555	As010G223860, As010G223820, As010G223840, As010G223870, As003G062910	AL5G26430
OG0004556	As003G063970	AL1G50600, AL1G50580
OG0004557	As003G066240	AL1G52860
OG0004558	As003G068490	AL1G41660
OG0004559	As004G081350, As003G069100	AL1G42070
OG0004560	As003G069170	AL1G42100
OG0004561	As003G070250	AL1G43600
OG0004562	As003G070690	AL1G44010
OG0004563	As003G071430	AL1G45110
OG0004564	As003G071740	AL7G15690
OG0004565	As003G071820	AL7G15610
OG0004566	As003G072650	AL7G14570
OG0004567	As003G075090	AL7G11780
OG0004568	As004G076930	AL7G45190
OG0004569	As004G077080	AL7G45850
OG0004570	As004G078450	AL7G50660, AL1G19610
OG0004571	As004G078690	AL5G26920
OG0004572	As004G078860	AL4G31130
OG0004573	As004G089620	AL8G11250
OG0004574	As004G079990	AL4G31760
OG0004575	As004G081570	AL4G29410
OG0004576	As004G084010	nbis-gene-549, AL6G44910
OG0004577	As004G084320	AL6G45340
OG0004578	As004G086090	AL6G48630, AL7G32580
OG0004579	As004G086580, As004G086630	AL8G15470
OG0004580	As004G086670	AL8G15400
OG0004581	As004G088710	AL8G12230
OG0004582	As004G089650	AL8G11180, AL8G11200
OG0004583	As004G092640	AL9U12230
OG0004584	As004G094230, As004G094130, As004G094150, As004G094120	AL9U10190, AL9U10180
OG0004585	As004G095110	AL7G42340
OG0004586	As011G254200, As004G096140	AL3G36410
OG0004588	As005G101990	AL4G44250
OG0004589	As005G102570	AL4G43660
OG0004590	As005G102580	AL4G43650
OG0004592	As005G103900	AL4G42170
OG0004593	As005G107390	AL6G11550
OG0004594	As005G108270	AL6G12710
OG0004595	As005G112110	AL6G32240
OG0004596	As005G112490	AL6G32540
OG0004597	As005G113240	AL6G33270
OG0004598	As005G113640	AL6G33730
OG0004599	As005G116060	AL8G40220
OG0004600	As005G116670	AL8G40850
OG0004601	As005G117060, As005G117070	AL8G41370
OG0004602	As005G117530	AL8G41920
OG0004603	As005G118490	AL8G42980
OG0004604	As005G118570	AL8G43060
OG0004605	As005G119500	AL8G44190
OG0004605	As005G119490	AL8G44200
OG0004606	As005G120070	AL8G44840
OG0004607	As005G120720, As005G120700	AL5G31700
OG0004608	As006G121010	AL6G53500, AL8G42840
OG0004609	As006G123070	AL6G50890
OG0004610	As006G125090	AL8G16970, AL8G16960
OG0004611	As006G125600	AL4G28590
OG0004612	As006G127160	AL4G26760
OG0004613	As006G129290	AL4G23450
OG0004614	As006G130790	AL4G21170
OG0004615	As006G130930	AL8G17300, AL4G21480
OG0004616	As006G133000, As006G132980	AL1G28720, AL3G10540
OG0004617	As006G133180	AL3G10400, AL6G24990
OG0004618	As006G133500	AL6G24690
OG0004619	As006G133560	AL3G32730
OG0004620	As006G141990, As006G133730	AL3G19710
OG0004621	As006G135760, As009G202400	AL3G12170
OG0004622	As006G135970	AL6G27810, AL3G12410
OG0004623	As006G137260	AL3G13890
OG0004624	As006G139180	AL3G16540
OG0004625	As006G139360	AL3G16690
OG0004626	As006G139540	AL3G16870
OG0004627	As009G205070	AL6G30650
OG0004627	As006G139570	AL3G16900
OG0004628	As006G139900	AL3G17260
OG0004629	As006G141110, As006G141120	AL3G18690
OG0004630	As006G141420	nbis-gene-675
OG0004631	As006G141470	AL3G19090
OG0004632	As006G141630	AL3G19250
OG0004633	As006G141660	AL3G19280
OG0004634	As006G142290	AL4G38380
OG0004635	As006G142670	AL4G37980
OG0004636	As006G142710	AL4G37950
OG0004637	As006G142850	AL4G37780
OG0004638	As006G143330	AL4G37180
OG0004639	As006G144970	AL4G32520
OG0004640	As006G145040	AL4G32600
OG0004641	As006G145410	AL4G33080
OG0004642	As006G146400	AL4G34090, AL4G34160
OG0004643	As006G147190	AL4G35930
OG0004644	As007G152340	AL1G28040
OG0004645	As007G154210, As007G152410	AL1G28100
OG0004646	As007G154330	AL1G30220
OG0004647	As007G154990	AL1G31010
OG0004648	As007G156100	AL1G32630
OG0004649	As010G236360, As007G157390	AL1G34570, AL1G34150
OG0004650	As007G158000	AL264U10030, AL1G35230, AL1G35210
OG0004651	As007G159490	AL1G37150
OG0004652	As007G159630, As007G159640	AL1G37320
OG0004653	As007G159650	AL1G37290
OG0004654	As007G160410	AL1G38720
OG0004655	As007G163000, As007G165660	AL7G28700
OG0004657	As007G163600	AL7G28350
OG0004658	As007G165800	AL6G48970
OG0004659	As007G177700	AL4G16380
OG0004660	As007G178490, As007G178460	AL4G15910
OG0004661	As008G184680	AL1G23910
OG0004662	As008G187370	AL1G20920
OG0004664	As008G188000	AL1G20320
OG0004665	As008G188240	AL1G20060
OG0004666	As008G188780	nbis-gene-53
OG0004667	As008G189020	AL1G19450
OG0004668	As008G190320	AL1G18940
OG0004669	As008G191130	AL1G18330
OG0004670	As008G193050	AL1G17230
OG0004671	As008G195650	AL1G14600
OG0004672	As009G200150	AL6G24930
OG0004673	As009G202420	AL6G27410
OG0004674	As009G203750	AL6G28890
OG0004675	As009G203800	AL6G28970, AL8G11210
OG0004676	As009G204380	AL6G29790, nbis-gene-1942
OG0004677	As009G204480	AL6G29870
OG0004678	As009G205010	AL6G30560
OG0004679	As009G205800	AL6G38820
OG0004680	As009G206920	AL6G40160
OG0004681	As009G207210	AL6G40940
OG0004682	As009G207670, As009G207660, As009G207710, As009G207700	AL8G22970
OG0004683	As009G208820	AL8G21370
OG0004684	As009G208870	AL8G21330
OG0004685	As009G209640	AL6G24370
OG0004686	As009G212060	AL8G20290
OG0004687	As009G212090	AL5G41480
OG0004688	As009G212420, As009G212410	AL6G16300
OG0004689	As009G213660	AL6G15210
OG0004690	As009G214620	AL6G14070
OG0004691	As009G215110	AL6G37600
OG0004692	As009G215150	AL6G37490
OG0004693	As009G215480	AL6G36850
OG0004694	As009G217250	AL6G34490
OG0004695	As009G218500	AL8G38730
OG0004696	As009G218640	AL8G38970
OG0004697	As009G218750	AL8G39100
OG0004698	As009G218840	AL8G39210
OG0004699	As009G218920	AL8G39360
OG0004700	As009G219250	AL8G39850
OG0004701	As010G220550	AL5G31420
OG0004702	As010G222340	AL5G28390
OG0004703	As010G222740	AL5G27830
OG0004704	As010G224140	AL4G20270
OG0004705	As011G257540, As010G226740	AL3G40570
OG0004706	As010G226830	AL5G21520, AL5G21420
OG0004707	As010G232320	AL2G28400
OG0004708	As010G232500	AL2G28530
OG0004709	As010G232900	AL22U10110
OG0004710	As010G234800	AL2G31570
OG0004711	As010G235100	AL2G31880
OG0004712	As010G237140	AL2G36460
OG0004713	As010G237780	AL2G35700, AL1G32690
OG0004714	As010G238010	AL2G35480
OG0004715	As010G238050, As010G238040	AL1G39670
OG0004716	As010G239010	AL2G34390
OG0004717	As010G239890	AL1G30430
OG0004718	As010G242420	nbis-gene-619
OG0004719	As010G243200	AL2G40460
OG0004720	As010G243480	AL2G40770
OG0004721	As010G243680	AL2G40960
OG0004722	As010G243730	AL2G41040
OG0004723	As010G243830	AL2G41120
OG0004724	As010G243840	AL2G41130
OG0004725	As010G244010	AL1G27550
OG0004726	As011G244610	AL3G24330
OG0004727	As011G244720	AL3G24560
OG0004729	As011G245400	AL3G25390
OG0004730	As011G245970	AL3G26150
OG0004732	As011G247150	AL3G27380
OG0004733	As011G247580	AL3G27950
OG0004734	As011G248970	AL3G29690
OG0004735	As011G249420	AL1G54680, AL3G30380
OG0004736	As011G250360	AL3G31510
OG0004737	As011G250700	AL3G31910
OG0004738	As011G250930	AL3G32190
OG0004739	As012G272860, As011G251110	AL3G32370
OG0004740	As011G252030	AL3G33500
OG0004741	As011G253470	AL3G35530
OG0004742	As011G254510	AL3G36830
OG0004743	As011G254540	AL3G36870
OG0004744	As011G255150	AL3G37810
OG0004745	As011G255330	AL3G38040
OG0004746	As011G256090	AL3G39100
OG0004747	As011G256630	nbis-gene-783
OG0004748	As011G262550, As011G262540	AL2G33270, AL8G21860
OG0004749	As011G263460	AL6G49210, AL3G49110
OG0004750	As011G266140	AL3G48770
OG0004751	As011G267050	AL3G53320
OG0004752	As012G268020	AL1G63970
OG0004754	As012G272120	AL1G58160, AL1G58810, AL1G58840
OG0004755	As012G272400	AL1G57650
OG0004756	As012G273590	AL1G55280
OG0004757	As012G273670	AL3G38380
OG0004758	As012G277580	AL5G12770
OG0004759	As012G279310	AL5G35240
OG0004760	As012G279450	AL5G31990
OG0004761	As012G279480	AL5G32040
OG0004762	As012G281540	AL4G19400
OG0004763	As012G282030	AL5G36730
OG0004764	As012G282670	AL5G37500
OG0004765	As012G283070	AL5G37990
OG0004766	As012G283240	AL5G38190
OG0004767	As012G283940	AL5G38930
OG0004768	As012G284140	AL5G39290
OG0004769	As012G284280	AL5G39530
OG0004770	As012G289140	AL2G11990, AL2G11930
OG0004801	As011G267360, As001G000190	AL7G24300
OG0004802	As001G000200	AL7G24290
OG0004803	As001G000240	AL7G19330
OG0004804	As001G000330	AL7G24130
OG0004805	As001G000920	AL7G23350
OG0004806	As001G002130	AL7G22030
OG0004807	As001G002880	AL7G21360
OG0004808	As001G004040	AL7G20230
OG0004809	As001G004150	AL7G20140
OG0004810	As001G004320	AL954U10010, AL8G23340
OG0004811	As001G005970	AL7G18860
OG0004812	As001G006400	AL7G19010
OG0004813	As001G007090	AL7G18630
OG0004814	As001G013570	AL7G17220
OG0004815	As001G014410	AL7G16500
OG0004817	As004G083110, As001G017700	AL7G38100
OG0004818	As001G017790	AL7G38150
OG0004819	As001G018060	AL7G38540
OG0004820	As001G018530	AL1G65060
OG0004821	As001G018760	AL1G65470, AL1G19430
OG0004822	As008G186200	AL1G22330
OG0004822	As001G021650	nbis-gene-404
OG0004823	As001G021690	AL2G14730
OG0004824	As001G022350	AL5G10170, AL5G17030
OG0004825	As008G182410, As001G022410	AL5G10250
OG0004826	As001G023400	AL5G11500
OG0004827	As001G025020	AL5G14660
OG0004828	As001G025450	AL5G15350
OG0004829	As001G025570	AL5G15540
OG0004830	As004G097530, As001G026310	AL7G49070
OG0004831	As001G026350	AL5G16750
OG0004832	As001G026590, As005G119760	AL5G17070
OG0004833	As001G027610	AL5G18960
OG0004834	As001G027630	AL5G18980
OG0004835	As001G027750	AL5G19150
OG0004836	As001G027800	AL5G19350
OG0004837	As001G028020	AL5G19840
OG0004838	As001G028180	AL5G20420
OG0004839	As001G028190	AL5G20480, AL6G43080
OG0004840	As001G028760	AL2G24320, AL2G23030, nbis-gene-545
OG0004842	As001G031750	AL2G12690, AL1G23820
OG0004843	As008G185240, As001G032070	AL1G23350
OG0004844	As002G033080	AL4G39290
OG0004845	As002G034250	AL3G20520
OG0004846	As002G035570	AL3G21670, AL6G13850
OG0004847	As002G035930	AL3G21910
OG0004848	As002G037420	AL3G23130
OG0004849	As002G038820	AL3G23920
OG0004850	As007G164360, As002G042970	AL8G25380
OG0004851	As002G043200	AL8G25460, AL268U10010, AL8G25450, AL8G25480
OG0004852	As002G043810, As009G209900	AL8G26190
OG0004853	As002G044150	AL271U10030, AL8G26690
OG0004854	As002G044600	AL453U10010, AL8G27330
OG0004855	As002G044650	AL8G27370
OG0004856	As002G044980	AL8G27670
OG0004858	As002G046440	AL8G30130
OG0004859	As006G132620	AL7G25790
OG0004860	As002G048650	AL8G32890
OG0004861	As002G049390	AL8G33760
OG0004862	As002G049870, As010G227590	AL8G34170
OG0004863	As002G050320	AL6G23950
OG0004864	As002G050440	AL6G23830
OG0004865	As002G050480	AL6G23790
OG0004866	As002G050490	AL6G23770
OG0004867	As002G051840	AL6G22100
OG0004868	As002G051860, As009G201870	AL6G26410
OG0004869	As002G052150	AL6G21690
OG0004870	As002G052750	AL6G21030
OG0004872	As002G053820	AL6G19820
OG0004873	As003G055900	AL7G37070
OG0004874	As004G089050	AL8G11780
OG0004876	As003G056620, As004G088760	AL8G12170
OG0004877	As003G057300	AL7G35390
OG0004878	As003G057320	AL7G35300
OG0004879	As003G057800	AL7G34660
OG0004880	As003G058210	AL7G33840
