Orthogroup	Aethionema_saxatile	Arabis_alpina
OG0002477	As011G267110	Aa_G422330.h1.t1, Aa_G387140.h1.t1
OG0002478	As012G282460	Aa_G1300.h1.t1
OG0002478	As012G269880	Aa_G501470.h1.t1
OG0002479	As012G275080	Aa_G465870.h1.t1
OG0002480	As012G282910	Aa_G281300.h1.t1
OG0002494	As011G267440	Aa_G505060.h1.t1, Aa_G440770.h1.t1
OG0002495	As001G000720	Aa_G301830.h1.t1, Aa_G301810.h1.t1, Aa_G301850.h1.t1, Aa_G23920.h1.t1, Aa_G839890.h1.t1, Aa_G23910.h1.t1
OG0002496	As007G180720, As001G002930	Aa_G352070.h1.t1
OG0002497	As002G048780	Aa_G168010.h1.t1
OG0002497	As001G003770	Aa_G59770.h1.t1
OG0002498	As001G003890	Aa_G241440.h1.t1, Aa_G41490.h1.t1
OG0002499	As001G012010, As001G010780, As005G113250	Aa_G8650.h1.t1
OG0002499	As010G226320	Aa_G403390.h1.t1
OG0002500	As001G013480	Aa_G570520.h1.t1, Aa_G246820.h1.t1
OG0002502	As004G079730	Aa_G16510.h1.t1, Aa_G652130.h1.t1
OG0002503	As008G189320, As001G018590, As001G018580	Aa_G80650.h1.t1
OG0002504	As001G019510	Aa_G57020.h1.t1
OG0002504	As008G187560	Aa_G463970.h1.t1
OG0002505	As008G187280	Aa_G318560.h1.t1
OG0002505	As001G020220	Aa_G281530.h1.t1
OG0002506	As001G020640	Aa_G182590.h1.t1
OG0002506	As008G187030	Aa_G427980.h1.t1
OG0002507	As008G182970	Aa_G484300.h1.t1
OG0002507	As001G023550	Aa_G117700.h1.t1
OG0002508	As008G183400	Aa_G585790.h1.t1
OG0002510	As008G184420	Aa_G26540.h1.t1
OG0002510	As001G025530	Aa_G25630.h1.t1
OG0002511	As001G027330	Aa_G138660.h1.t1
OG0002512	As001G030940	Aa_G349470.h1.t1
OG0002513	As002G036190	Aa_G137030.h1.t1
OG0002513	As009G214160	Aa_G303940.h1.t1
OG0002514	As009G213190, As002G036840	Aa_G333230.h1.t1
OG0002515	As002G037470	Aa_G397590.h1.t1
OG0002516	As002G044340, As007G164890	Aa_G29620.h1.t1
OG0002517	As002G045300	Aa_G212590.h1.t1, Aa_G349260.h1.t1
OG0002518	As002G047320	Aa_G48440.h1.t1
OG0002518	As006G134700	Aa_G618270.h1.t1
OG0002519	As002G047340	Aa_G69810.h1.t1, Aa_G48460.h1.t1
OG0002520	As002G047720	Aa_G441210.h1.t1
OG0002521	As002G051220	Aa_G233040.h1.t1, Aa_G233050.h1.t1, Aa_G233070.h1.t1
OG0002522	As005G117400	Aa_G51470.h1.t1
OG0002523	As003G055760	Aa_G96130.h1.t1
OG0002523	As004G091100	Aa_G162910.h1.t1
OG0002524	As004G084950	Aa_G35140.h1.t1
OG0002524	As003G060810	Aa_G429190.h1.t1
OG0002525	As004G080270	Aa_G334340.h1.t1
OG0002525	As003G063820	Aa_G322430.h1.t1
OG0002526	As003G071140	Aa_G138810.h1.t1
OG0002526	As007G164530	Aa_G90830.h1.t1
OG0002527	As003G071590	Aa_G476190.h1.t1
OG0002528	As011G264850	Aa_G249520.h1.t1
OG0002528	As003G072370	Aa_G285840.h1.t1
OG0002529	As003G073400	Aa_G590090.h1.t1
OG0002529	As007G179540	Aa_G396340.h1.t1
OG0002530	As003G073920	Aa_G561540.h1.t1
OG0002531	As003G074720	Aa_G407270.h1.t1, Aa_G486260.h1.t1
OG0002532	As007G180670	Aa_G279320.h1.t1
OG0002533	As003G076500	Aa_G219330.h1.t1
OG0002534	As004G080330, As004G080320	Aa_G61170.h1.t1
OG0002535	As004G084730	Aa_G409260.h1.t1, Aa_G171530.h1.t1
OG0002536	As004G085350	Aa_G300090.h1.t1
OG0002537	As004G085480	Aa_G561140.h1.t1
OG0002538	As004G095080	Aa_G367850.h1.t1, Aa_G367880.h1.t1
OG0002539	As004G095560	Aa_G670970.h1.t1
OG0002539	As004G095510	Aa_G55060.h1.t1
OG0002540	As004G096620	Aa_G608520.h1.t1
OG0002541	As012G288940	Aa_G163630.h1.t1
OG0002541	As005G098580	Aa_G13220.h1.t1
OG0002542	As005G100920	Aa_G16810.h1.t1, Aa_G572570.h1.t1
OG0002543	As005G101310	Aa_G15830.h1.t1
OG0002543	As012G287170	Aa_G57890.h1.t1, Aa_G31040.h1.t1
OG0002544	As005G103360	Aa_G551990.h1.t1
OG0002544	As008G195470	Aa_G132730.h1.t1
OG0002545	As005G105890, As005G105610, As005G105930	Aa_G546850.h1.t1
OG0002545	As012G283910	Aa_G461190.h1.t1
OG0002547	As012G283750	Aa_G614500.h1.t1
OG0002547	As005G106150	Aa_G188460.h1.t1
OG0002548	As005G108450	Aa_G509380.h1.t1
OG0002549	As005G111540	Aa_G666020.h1.t1, Aa_G693860.h1.t1, Aa_G224300.h1.t1, Aa_G693850.h1.t1
OG0002550	As010G227270	Aa_G15480.h1.t1
OG0002550	As005G111860	Aa_G439630.h1.t1
OG0002551	As005G115520	Aa_G28200.h1.t1
OG0002552	As010G222510	Aa_G588190.h1.t1
OG0002552	As005G116390	Aa_G75140.h1.t1
OG0002553	As005G119590	Aa_G482340.h1.t1
OG0002553	As010G221160	Aa_G379450.h1.t1
OG0002554	As005G120110, As005G120120, As005G120130	Aa_G43610.h1.t1
OG0002555	As006G122230	Aa_G78370.h1.t1
OG0002555	As008G198480	Aa_G290670.h1.t1
OG0002556	As006G122430	Aa_G347420.h1.t1
OG0002556	As008G198330	Aa_G211770.h1.t1
OG0002557	As006G127180	Aa_G139980.h1.t1, Aa_G292020.h1.t1, Aa_G889290.h1.t1, Aa_G889290.h2.t1, Aa_G509080.h1.t1
OG0002558	As006G132660	Aa_G363800.h1.t1
OG0002559	As006G133130	Aa_G553370.h1.t1
OG0002559	As009G200430	Aa_G7850.h1.t1
OG0002560	As009G201240	Aa_G321110.h1.t1
OG0002560	As006G134910	Aa_G14640.h1.t1
OG0002561	As009G202670	Aa_G447880.h1.t1
OG0002561	As006G135920	Aa_G111950.h1.t1
OG0002562	As009G206940	Aa_G598360.h1.t1
OG0002562	As006G138150, As006G138130	Aa_G4620.h1.t1
OG0002563	As006G138330	Aa_G518270.h1.t1, Aa_G4710.h1.t1
OG0002564	As006G139890	Aa_G47740.h2.t1, Aa_G257360.h1.t1, Aa_G257360.h2.t1, Aa_G47740.h1.t1
OG0002565	As006G144620	Aa_G550050.h1.t1
OG0002566	As006G146200	Aa_G249340.h1.t1, Aa_G249350.h1.t1
OG0002567	As007G152810	Aa_G65560.h1.t1, Aa_G145440.h1.t1
OG0002568	As010G238200	Aa_G348690.h1.t1
OG0002568	As007G155930	Aa_G93390.h1.t1
OG0002569	As010G237410	Aa_G87870.h1.t1
OG0002569	As007G156520	Aa_G436670.h1.t1
OG0002570	As007G156590	Aa_G622610.h1.t1
OG0002571	As010G236920	Aa_G111040.h1.t1
OG0002571	As007G156990	Aa_G33350.h1.t1
OG0002572	As007G157610	Aa_G104260.h1.t1, Aa_G520890.h1.t1, Aa_G86890.h1.t1
OG0002573	As010G233140	Aa_G221870.h1.t1
OG0002573	As007G160020	Aa_G281140.h1.t1
OG0002574	As007G161070	Aa_G283490.h1.t1
OG0002574	As010G231590	Aa_G159590.h1.t1
OG0002575	As008G182790	Aa_G352660.h1.t1
OG0002576	As008G184220	Aa_G587940.h1.t1, Aa_G587950.h1.t1
OG0002577	As008G192700	Aa_G310610.h1.t1, Aa_G310620.h1.t1
OG0002578	As008G193730, As008G193760	Aa_G22910.h1.t1
OG0002579	As008G194090, As008G194110	Aa_G706780.h1.t1, Aa_G706760.h1.t1
OG0002580	As008G194790	Aa_G154600.h1.t1, Aa_G79360.h1.t1
OG0002581	As008G198400, As008G198390	Aa_G211840.h1.t1, Aa_G632120.h1.t1, Aa_G632110.h1.t1
OG0002582	As009G213250	Aa_G170390.h1.t1, Aa_G340370.h1.t1
OG0002583	As010G221700	Aa_G122860.h1.t1
OG0002583	As009G215910	Aa_G45220.h1.t1
OG0002584	As009G219490	Aa_G148060.h1.t1
OG0002585	As010G224650	Aa_G448330.h1.t1, Aa_G550770.h1.t1
OG0002586	As010G231040	Aa_G110430.h1.t1, Aa_G318850.h1.t1
OG0002587	As010G238060	Aa_G544390.h1.t1, Aa_G198520.h1.t1
OG0002588	As010G239220	Aa_G639700.h2.t1, Aa_G639700.h1.t1
OG0002589	As010G241020	Aa_G433580.h1.t1
OG0002590	As011G246160	Aa_G237560.h1.t1
OG0002590	As010G241320, As012G269200	Aa_G610390.h1.t1
OG0002591	As011G245450	Aa_G463600.h1.t1
OG0002591	As012G268620	Aa_G231420.h1.t1
OG0002592	As012G269150	Aa_G118300.h1.t1
OG0002592	As011G246080	Aa_G237640.h1.t1
OG0002593	As012G270160	Aa_G173460.h1.t1
OG0002593	As011G247650	Aa_G467660.h1.t1, Aa_G471360.h1.t1
OG0002594	As012G270470	Aa_G173630.h1.t1
OG0002594	As011G247800	Aa_G507800.h1.t1
OG0002595	As012G270810, As011G248280	Aa_G241880.h1.t1
OG0002596	As011G248880	Aa_G617200.h1.t1, Aa_G197420.h1.t1
OG0002596	As012G274650	Aa_G327160.h1.t1
OG0002597	As011G249380	Aa_G107730.h1.t1
OG0002597	As012G274080	Aa_G57510.h1.t1
OG0002598	As011G249910	Aa_G310250.h1.t1, Aa_G110690.h1.t1
OG0002599	As011G253930, As011G253870, As011G253880, As011G253900, As011G253920, As011G253910	Aa_G399620.h1.t1
OG0002600	As011G255050	Aa_G42550.h1.t1, Aa_G362610.h1.t1
OG0002601	As011G263820	Aa_G35870.h1.t1, Aa_G9760.h1.t1
OG0002602	As012G267890	Aa_G290220.h1.t1
OG0002603	As012G271860	Aa_G136590.h1.t1, Aa_G582090.h1.t1
OG0002604	As012G273030	Aa_G865900.h1.t1, Aa_G865900.h2.t1, Aa_G453620.h1.t1
OG0002605	As012G282930	Aa_G373070.h1.t1, Aa_G281320.h1.t1
OG0002606	As012G284350	Aa_G345870.h1.t1, Aa_G230740.h1.t1
OG0002607	As012G286060, As012G286070	Aa_G103290.h1.t1, Aa_G218970.h1.t1, Aa_G218980.h1.t1
OG0002622	As011G266930	Aa_G166520.h1.t1
OG0002622	As001G000680	Aa_G182760.h1.t1
OG0002623	As001G003260	Aa_G163910.h1.t1, Aa_G569070.h1.t1
OG0002624	As006G132160	Aa_G515730.h1.t1
OG0002624	As001G006190	Aa_G440510.h1.t1
OG0002625	As289G297790, As160G296640, As419G298080, As205G296950, As240G297400	Aa_G156150.h1.t1
OG0002626	As011G263160	Aa_G110370.h1.t1
OG0002626	As001G014170	Aa_G59800.h1.t1, Aa_G144850.h1.t1
OG0002627	As001G014270	Aa_G547720.h1.t1
OG0002627	As011G263300	Aa_G110280.h1.t1
OG0002628	As011G263570	Aa_G70180.h1.t1
OG0002628	As001G014800	Aa_G180400.h1.t1
OG0002629	As004G078820	Aa_G263930.h1.t1
OG0002629	As001G015750	Aa_G468700.h1.t1
OG0002630	As004G079350	Aa_G502590.h1.t1
OG0002631	As004G083150	Aa_G24720.h1.t1
OG0002631	As001G017580	Aa_G296080.h1.t1
OG0002632	As001G019060	Aa_G365910.h1.t1, Aa_G19030.h1.t1
OG0002633	As008G188110	Aa_G161030.h1.t1
OG0002633	As001G019360	Aa_G361970.h1.t1
OG0002634	As001G019900	Aa_G450920.h1.t1
OG0002634	As008G187830	Aa_G171380.h1.t1
OG0002635	As001G021860	Aa_G688380.h1.t1, Aa_G400750.h1.t1
OG0002636	As001G022990	Aa_G242480.h1.t1
OG0002637	As008G183390	Aa_G585780.h1.t1
OG0002637	As001G023970	Aa_G536750.h1.t1
OG0002638	As001G024740	Aa_G409780.h1.t1
OG0002638	As008G183930	Aa_G616320.h1.t1
OG0002639	As001G025840	Aa_G247930.h1.t1
OG0002639	As005G107930	Aa_G260750.h1.t1
OG0002640	As001G027310	Aa_G142520.h1.t1
OG0002641	As004G078380	Aa_G245490.h1.t1
OG0002642	As001G028250	Aa_G685650.h1.t1
OG0002643	As004G077380	Aa_G505910.h1.t1
OG0002643	As001G028850	Aa_G211000.h1.t1
OG0002645	As002G048900	Aa_G69060.h1.t1
OG0002645	As002G032620	Aa_G146830.h1.t1
OG0002646	As002G035470	Aa_G322150.h1.t1
OG0002647	As007G163080, As007G163060	Aa_G394560.h1.t1
OG0002648	As002G044830	Aa_G94220.h1.t1
OG0002649	As004G083470, As002G045400	Aa_G47830.h1.t1
OG0002650	As002G046120	Aa_G54550.h1.t1
OG0002651	As002G046390	Aa_G123420.h1.t1
OG0002651	As006G132490	Aa_G129630.h1.t1
OG0002652	As002G049070	Aa_G307410.h1.t1
OG0002652	As011G265690	Aa_G190100.h1.t1, Aa_G190090.h2.t1, Aa_G190090.h3.t1, Aa_G190090.h1.t1
OG0002653	As002G052290	Aa_G168850.h1.t1
OG0002653	As009G215520	Aa_G398090.h1.t1
OG0002654	As005G118680	Aa_G81390.h1.t1
OG0002654	As002G052650	Aa_G98300.h1.t1
OG0002655	As002G053250	Aa_G458440.h1.t1, Aa_G37170.h1.t1
OG0002656	As005G117600	Aa_G21080.h1.t1
OG0002656	As002G053570	Aa_G309250.h1.t1
OG0002657	As003G056450	Aa_G817610.h1.t1
OG0002657	As004G089010	Aa_G160470.h1.t1, Aa_G295180.h1.t1
OG0002658	As003G058870	Aa_G580400.h1.t1, Aa_G621190.h1.t1
OG0002659	As003G060340	Aa_G517300.h1.t1
OG0002660	As004G085180	Aa_G522440.h1.t1
OG0002660	As003G060580	Aa_G42780.h1.t1
OG0002661	As003G061470	Aa_G537920.h1.t1
OG0002661	As004G084490	Aa_G39350.h1.t1
OG0002662	As003G063950	Aa_G260090.h1.t1
OG0002662	As004G080190	Aa_G537500.h1.t1
OG0002663	As003G068530	Aa_G48090.h1.t1, Aa_G48060.h1.t1
OG0002664	As003G072000, As003G071990	Aa_G157060.h1.t1
OG0002665	As011G264930	Aa_G197410.h1.t1
OG0002666	As003G072660	Aa_G179580.h1.t1
OG0002667	As003G072790	Aa_G342300.h1.t1
OG0002668	As003G073280, As003G073270	Aa_G214270.h1.t1, Aa_G454920.h1.t1
OG0002669	As007G179900	Aa_G389590.h1.t1
OG0002669	As003G074060	Aa_G95180.h1.t1
OG0002670	As007G180820	Aa_G537380.h1.t1
OG0002670	As003G075640	Aa_G351990.h1.t1
OG0002672	As004G078520	Aa_G308790.h1.t1
OG0002673	As004G080350	Aa_G61160.h1.t1
OG0002674	As004G085250	Aa_G93580.h1.t1
OG0002675	As004G086350	Aa_G37580.h1.t1, Aa_G41970.h1.t1
OG0002676	As004G093110	Aa_G435580.h1.t1, Aa_G435590.h1.t1
OG0002676	As011G258120, As011G258130	Aa_G680650.h1.t1, Aa_G326550.h1.t1
OG0002677	As004G093500	Aa_G356320.h1.t1, Aa_G356320.h2.t1
OG0002678	As004G094510	Aa_G199080.h1.t1, Aa_G79970.h1.t1
OG0002679	As004G095650	Aa_G658530.h1.t1
OG0002679	As011G254990	Aa_G423890.h1.t1
OG0002680	As004G095740	Aa_G408700.h1.t1
OG0002680	As011G254910	Aa_G51840.h1.t1
OG0002681	As005G100710	Aa_G196850.h1.t1
OG0002681	As012G287670	Aa_G33400.h1.t1
OG0002682	As012G285320	Aa_G271310.h1.t1
OG0002683	As012G284450	Aa_G221100.h1.t1
OG0002684	As005G105950	Aa_G546870.h1.t1, Aa_G546880.h1.t1, Aa_G461240.h1.t1
OG0002685	As006G142160, As005G106640	Aa_G54090.h1.t1
OG0002686	As009G201790, As009G201760	Aa_G140820.h1.t1, Aa_G56520.h1.t1, Aa_G56500.h1.t1
OG0002687	As010G225290	Aa_G280090.h1.t1
OG0002687	As005G114330	Aa_G362150.h1.t1
OG0002688	As010G224920	Aa_G699380.h1.t1
OG0002688	As005G114620	Aa_G33950.h1.t1
OG0002689	As005G115500	Aa_G28250.h1.t1, Aa_G28230.h1.t1, Aa_G28240.h1.t1
OG0002690	As010G224390	Aa_G656930.h1.t1
OG0002690	As005G115510	Aa_G28220.h1.t1
OG0002691	As010G222530	Aa_G737490.h1.t1
OG0002691	As005G116360	Aa_G75190.h1.t1
OG0002692	As006G121510	Aa_G299850.h1.t1, Aa_G299850.h2.t1
OG0002692	As008G199080	Aa_G745780.h1.t1
OG0002693	As008G197190	Aa_G135060.h1.t1
OG0002693	As006G123750	Aa_G189040.h1.t1
OG0002694	As006G124270	Aa_G95890.h1.t1
OG0002694	As008G196950	Aa_G134660.h1.t1
OG0002695	As006G127050	Aa_G460450.h1.t1
OG0002695	As008G194410	Aa_G220710.h1.t1
OG0002696	As006G129490	Aa_G638120.h1.t1, Aa_G69260.h1.t1
OG0002697	As006G142000, As006G133830	Aa_G271800.h1.t1
OG0002698	As009G203310	Aa_G264870.h1.t1
OG0002699	As006G136410	Aa_G267820.h1.t1, Aa_G972820.h1.t1
OG0002699	As009G203390	Aa_G192850.h1.t1
OG0002700	As009G204050, As006G137200	Aa_G185590.h1.t1
OG0002701	As006G140860	Aa_G78760.h1.t1
OG0002702	As006G142520	Aa_G560420.h1.t1
OG0002703	As011G265040	Aa_G417030.h1.t1
OG0002704	As006G145710	Aa_G531160.h1.t1
OG0002705	As006G148860	Aa_G277040.h1.t1, Aa_G742110.h1.t1, Aa_G594460.h1.t1
OG0002706	As010G242850	Aa_G145400.h1.t1
OG0002706	As007G152830	Aa_G65540.h1.t1
OG0002707	As010G240220	Aa_G303470.h1.t1
OG0002707	As007G154380	Aa_G557400.h1.t1
OG0002708	As007G155940	Aa_G348680.h1.t1, Aa_G628500.h1.t1
OG0002709	As007G157250	Aa_G447420.h1.t1
OG0002710	As007G158990	Aa_G121900.h1.t1
OG0002710	As010G234240	Aa_G297530.h1.t1
OG0002711	As007G159880	Aa_G274010.h1.t1
OG0002712	As007G161180	Aa_G596320.h1.t1
OG0002713	As007G161210	Aa_G596280.h1.t1
OG0002715	As008G182490	Aa_G640080.h1.t1
OG0002716	As008G187170	Aa_G318530.h1.t1, Aa_G318540.h1.t1, Aa_G318550.h1.t1
OG0002717	As009G202340	Aa_G539800.h1.t1, Aa_G410830.h1.t1
OG0002718	As009G203250, As009G203380	Aa_G264800.h1.t1
OG0002719	As009G215820	Aa_G719360.h1.t1
OG0002721	As010G221870, As010G221880	Aa_G97820.h1.t1
OG0002722	As010G232310	Aa_G317480.h1.t1
OG0002723	As010G235340	Aa_G197880.h1.t1, Aa_G637380.h1.t1
OG0002725	As011G244940	Aa_G378970.h1.t1, Aa_G378980.h1.t1
OG0002726	As011G247620	Aa_G471390.h1.t1
OG0002726	As012G270130	Aa_G396640.h1.t1
OG0002727	As011G248410	Aa_G223450.h1.t1
OG0002728	As012G272740	Aa_G362400.h1.t1
OG0002728	As011G251250	Aa_G240020.h1.t1
OG0002729	As011G252830	Aa_G250620.h1.t1
OG0002729	As012G271580	Aa_G563580.h1.t1
OG0002730	As011G253790	Aa_G171680.h1.t1, Aa_G171670.h1.t1, Aa_G171690.h1.t1
OG0002731	As011G254440	Aa_G96550.h1.t1
OG0002732	As012G271000	Aa_G364670.h1.t1
OG0002733	As012G273010	Aa_G95980.h1.t1
OG0002734	As012G275240	Aa_G229260.h1.t1
OG0002736	As012G278190	Aa_G150860.h1.t1, Aa_G266050.h1.t1
OG0002737	As012G282920	Aa_G373080.h1.t1
OG0002753	As001G000210	Aa_G18410.h1.t1
OG0002753	As011G267350	Aa_G627440.h1.t1
OG0002754	As011G266760	Aa_G228570.h1.t1
OG0002757	As011G263180	Aa_G110360.h1.t1
OG0002757	As001G014190	Aa_G47650.h1.t1
OG0002758	As011G263700	Aa_G70090.h1.t1
OG0002759	As004G078810	Aa_G616000.h1.t1
OG0002759	As001G015740	Aa_G468680.h1.t1, Aa_G468690.h1.t1
OG0002760	As001G017010, As007G159080	Aa_G16430.h1.t1
OG0002761	As011G262270, As001G019870, As001G019840, As001G017230, As001G019880, As001G019890	Aa_G5900.h1.t1, Aa_G11190.h1.t1
OG0002762	As001G021940	Aa_G706910.h1.t1
OG0002762	As008G185820	Aa_G594250.h1.t1
OG0002763	As008G182460	Aa_G368720.h1.t1
OG0002763	As001G022710	Aa_G736670.h1.t1
OG0002764	As008G183640	Aa_G118630.h1.t1
OG0002764	As001G024270	Aa_G281920.h1.t1
OG0002765	As001G025940	Aa_G120860.h1.t1
OG0002766	As004G077360	Aa_G505930.h1.t1
OG0002768	As002G032910	Aa_G115130.h1.t1
OG0002769	As002G034270	Aa_G403570.h1.t1, Aa_G403590.h1.t1
OG0002770	As002G042380	Aa_G292910.h1.t1
OG0002771	As002G053190	Aa_G579960.h1.t1
OG0002771	As005G118190	Aa_G585350.h1.t1
OG0002772	As005G116840	Aa_G76140.h1.t1
OG0002772	As002G054010	Aa_G130450.h1.t1
OG0002773	As009G218230	Aa_G583380.h1.t1
OG0002774	As004G087290	Aa_G362970.h1.t1
OG0002775	As003G058200	Aa_G204050.h1.t1, Aa_G123670.h1.t1
OG0002776	As003G059570	Aa_G398670.h1.t1
OG0002777	As003G059960	Aa_G213420.h1.t1
OG0002778	As003G061140	Aa_G448110.h1.t1
OG0002779	As003G063190, As003G063150, As003G063170	Aa_G545120.h1.t1, Aa_G27130.h1.t1
OG0002780	As003G064140	Aa_G514200.h1.t1
OG0002781	As007G179830	Aa_G671720.h1.t1
OG0002781	As003G073970	Aa_G661970.h1.t1
OG0002783	As003G075620	Aa_G314660.h1.t1
OG0002784	As004G089990	Aa_G542460.h1.t1, Aa_G352370.h1.t1
OG0002785	As004G091710	Aa_G70840.h1.t1
OG0002785	As011G259610	Aa_G194470.h1.t1
OG0002786	As004G091990	Aa_G611590.h1.t1
OG0002787	As004G092210	Aa_G44170.h1.t1
OG0002788	As011G255120	Aa_G312930.h1.t1
OG0002789	As011G254740	Aa_G265560.h1.t1
OG0002789	As004G095840	Aa_G562250.h1.t1
OG0002790	As011G254310, As004G096070	Aa_G326770.h1.t1
OG0002791	As004G096460	Aa_G171720.h1.t1
OG0002792	As004G097100	Aa_G505760.h1.t1, Aa_G1002090.h1.t1, Aa_G46990.h1.t1, Aa_G506720.h1.t1, Aa_G558230.h1.t1
OG0002793	As005G099990	Aa_G178000.h1.t1
OG0002793	As012G288160	Aa_G2510.h1.t1
OG0002794	As005G101850	Aa_G289700.h1.t1
OG0002794	As012G286850	Aa_G48650.h1.t1
OG0002795	As005G102310	Aa_G467080.h1.t1, Aa_G77400.h1.t1
OG0002796	As005G103720, As005G103730	Aa_G909880.h2.t1, Aa_G909880.h3.t1, Aa_G909880.h1.t1, Aa_G909880.h4.t1, Aa_G89290.h1.t1
OG0002797	As012G284220	Aa_G494420.h1.t1
OG0002797	As005G105270	Aa_G210120.h1.t1
OG0002798	As005G105660	Aa_G145760.h1.t1, Aa_G401960.h1.t1
OG0002800	As005G108500	Aa_G520030.h1.t1, Aa_G109720.h1.t1, Aa_G509370.h1.t1, Aa_G509360.h1.t1
OG0002801	As005G112300, As010G227050	Aa_G252740.h1.t1
OG0002802	As005G112600	Aa_G337610.h1.t1
OG0002803	As010G224010	Aa_G88970.h1.t1
OG0002803	As005G115960	Aa_G246270.h1.t1
OG0002804	As005G119640	Aa_G649300.h1.t1
OG0002804	As010G221140	Aa_G177120.h1.t1
OG0002806	As006G122540	Aa_G46840.h1.t1
OG0002807	As006G123850	Aa_G189190.h1.t1
OG0002808	As006G126320	Aa_G243610.h1.t1
OG0002808	As008G195220	Aa_G235360.h1.t1
OG0002809	As006G127320	Aa_G167520.h1.t1, Aa_G509220.h1.t1, Aa_G706800.h1.t1
OG0002810	As006G127830	Aa_G22550.h1.t1
OG0002812	As008G190700	Aa_G368400.h1.t1
OG0002813	As006G132910	Aa_G52700.h1.t1
OG0002814	As009G200910	Aa_G421090.h1.t1
OG0002814	As006G135200	Aa_G71610.h1.t1
OG0002815	As006G136420	Aa_G746170.h1.t1
OG0002815	As009G203420	Aa_G192770.h1.t1
OG0002817	As006G137530	Aa_G304990.h1.t1
OG0002817	As009G204350	Aa_G449390.h1.t1
OG0002818	As006G138270	Aa_G4750.h1.t1
OG0002819	As009G204860	Aa_G83650.h1.t1
OG0002819	As006G139750	Aa_G524330.h1.t1, Aa_G524330.h2.t1
OG0002820	As006G140110	Aa_G49860.h1.t1, Aa_G49890.h1.t1, Aa_G49870.h1.t1, Aa_G49900.h1.t1
OG0002821	As006G140460	Aa_G47060.h1.t1
OG0002822	As006G144050	Aa_G653020.h1.t1
OG0002823	As006G144770	Aa_G100060.h1.t1, Aa_G282190.h1.t1
OG0002824	As006G146920	Aa_G582260.h1.t1, Aa_G115320.h1.t1
OG0002825	As010G243950	Aa_G85640.h1.t1, Aa_G497450.h1.t1
OG0002825	As007G152100	Aa_G317070.h1.t1
OG0002826	As010G243210	Aa_G293590.h1.t1
OG0002826	As007G152490	Aa_G179750.h1.t1
OG0002827	As007G153850	Aa_G188640.h1.t1, Aa_G187260.h1.t1
OG0002828	As007G153940	Aa_G528310.h1.t1
OG0002828	As010G241060	Aa_G187310.h1.t1
OG0002829	As007G154360	Aa_G428870.h1.t1
OG0002830	As010G238970	Aa_G548300.h1.t1, Aa_G548320.h1.t1
OG0002830	As007G155230	Aa_G548310.h1.t1, Aa_G548310.h2.t1
OG0002831	As010G238770	Aa_G64520.h1.t1
OG0002832	As007G156660	Aa_G148860.h1.t1
OG0002832	As010G237250	Aa_G315420.h1.t1
OG0002833	As007G156670	Aa_G148870.h1.t1, Aa_G148880.h1.t1
OG0002833	As010G237240	Aa_G315410.h1.t1
OG0002834	As007G159790	Aa_G562070.h1.t1, Aa_G189620.h1.t1
OG0002835	As010G232250	Aa_G733640.h1.t1
OG0002835	As007G160850	Aa_G92140.h1.t1
OG0002836	As007G161170	Aa_G304200.h1.t1, Aa_G596330.h1.t1
OG0002837	As007G161340	Aa_G81860.h1.t1, Aa_G442220.h1.t1
OG0002838	As007G162790	Aa_G135710.h1.t1, Aa_G165320.h1.t1
OG0002840	As007G180880	Aa_G351950.h1.t1, Aa_G287860.h1.t1
OG0002841	As008G195240	Aa_G243570.h1.t1, Aa_G235340.h1.t1
OG0002842	As008G197280, As008G197290, As008G197270	Aa_G617740.h1.t1, Aa_G617730.h1.t1
OG0002843	As008G197610	Aa_G6820.h1.t1
OG0002844	As009G200670	Aa_G500060.h1.t1
OG0002845	As009G204620	Aa_G126170.h1.t1
OG0002846	As009G207360	Aa_G500500.h1.t1, Aa_G576490.h1.t1
OG0002847	As009G211870, As009G211860	Aa_G205650.h1.t1
OG0002848	As009G216240	Aa_G45400.h1.t1, Aa_G315150.h1.t1
OG0002849	As010G221970	Aa_G102520.h1.t1
OG0002849	As009G216340	Aa_G46020.h1.t1
OG0002850	As009G218290	Aa_G435200.h1.t1
OG0002851	As009G216910	Aa_G578250.h1.t1
OG0002851	As010G222370	Aa_G106900.h1.t1
OG0002852	As009G216990	Aa_G143190.h1.t1
OG0002853	As009G218380	Aa_G435130.h1.t1
OG0002854	As009G219520, As009G219510, As009G219570, As009G219550	Aa_G148040.h1.t1, Aa_G148030.h1.t1
OG0002855	As009G219680	Aa_G326920.h1.t1, Aa_G147910.h1.t1
OG0002856	As009G219710, As010G223780	Aa_G41610.h1.t1
OG0002858	As010G222090, As010G222100, As010G222110	Aa_G102610.h1.t1
OG0002859	As010G224720	Aa_G620110.h1.t1
OG0002860	As010G226110, As011G263240	Aa_G110320.h1.t1
OG0002862	As010G239100	Aa_G824370.h1.t1
OG0002863	As010G243440	Aa_G21660.h1.t1, Aa_G497210.h1.t1
OG0002864	As011G245390	Aa_G176120.h1.t1
OG0002865	As012G268900	Aa_G793790.h1.t1
OG0002865	As011G245720	Aa_G327440.h1.t1
OG0002866	As011G245990	Aa_G118240.h1.t1, Aa_G118230.h1.t1
OG0002867	As011G246110	Aa_G237600.h1.t1
