Orthogroup	Aethionema_saxatile	Brassica_rapa
OG0002352	As007G178130	XP_033145434.1, XP_018509991.1
OG0002352	As001G003450	XP_009137999.1
OG0002353	As001G015080, As001G015070	XP_009108679.1, XP_009138346.1, XP_009138347.1
OG0002354	As004G079070	XP_009133027.1, XP_033147583.1, XP_009141502.1
OG0002355	As001G018710	XP_009119565.1, XP_009147260.1
OG0002356	As008G188060	XP_009148272.1
OG0002356	As001G019650	XP_009113330.1, XP_009102727.2
OG0002357	As001G020450	XP_009116490.1
OG0002357	As008G187120	XP_009144437.1
OG0002358	As008G182760, As001G023080	XP_009148851.1, XP_009110521.2
OG0002359	As008G182860	XP_009148833.1
OG0002359	As001G023380	XP_009114200.1, XP_009129164.1
OG0002360	As001G023460, As001G023470	XP_009129150.1, XP_009114199.1, XP_009101261.1
OG0002361	As004G097560	XP_033131894.1
OG0002361	As001G026270	XP_009129424.1, XP_009151972.1
OG0002362	As001G026570	XP_009151939.1, XP_009111578.1
OG0002362	As004G097290	XP_033145720.1
OG0002363	As001G026840	XP_009129387.1, XP_033137197.1, XP_009151902.1, XP_009140238.1
OG0002364	As001G029260	XP_033139428.1, XP_009105164.2
OG0002365	As001G029650	XP_009127384.1
OG0002365	As004G076890	XP_033148478.1, XP_009124241.1
OG0002366	As001G031630	XP_009148576.1, XP_009113025.1
OG0002367	As002G048220	XP_009120164.1, XP_033144613.1, XP_009126935.1
OG0002367	As002G033030	XP_009142192.1
OG0002368	As002G033500, As002G033510	XP_009141969.1
OG0002369	As002G033860	XP_009142699.1, XP_009141923.2
OG0002370	As002G034170	XP_033137566.1
OG0002371	As002G034980	XP_033147904.1
OG0002371	As005G108380	XP_009130762.1
OG0002372	As002G036740	XP_009146786.1
OG0002372	As009G213590	XP_033138828.1
OG0002373	As002G038720	XP_009120938.1
OG0002374	As002G040940	XP_009109242.1, XP_009138303.1, XP_009134039.1
OG0002375	As003G061380	XP_009137350.1, XP_009140478.1
OG0002375	As002G043310	XP_009127316.1
OG0002376	As007G165370	XP_033143313.1
OG0002376	As002G044030	XP_009132547.1, XP_009106864.1
OG0002377	As006G132320	XP_009137660.1, XP_009143453.2
OG0002377	As002G045900	XP_009119954.1
OG0002378	As006G132580	XP_009143075.2
OG0002378	As002G046560	XP_033139732.1, XP_009132426.1
OG0002379	As002G048600	XP_009120208.1
OG0002380	As005G117870	XP_009130478.1
OG0002380	As002G053410	XP_009122110.1
OG0002381	As002G054200	XP_009131093.1, XP_009122476.1
OG0002381	As005G116610	XP_009150418.1
OG0002382	As002G054990	XP_033138442.1
OG0002382	As009G217890	XP_009136456.1
OG0002383	As004G088440	XP_009128828.1
OG0002383	As003G056960	XP_009136933.1, XP_009131778.1
OG0002384	As003G058560	XP_009108467.1
OG0002385	As003G059010	XP_009134344.1, XP_009108515.1
OG0002386	As004G085290	XP_009114615.1, XP_009134276.1
OG0002387	As007G179590	XP_009140458.1
OG0002388	As003G073710	XP_009135615.1
OG0002389	As003G075930	XP_009101955.2, XP_009125879.1
OG0002390	As004G079660	XP_009143682.1, XP_009114874.1
OG0002391	As004G083620	XP_009113604.1, XP_033134277.1
OG0002392	As004G086380	XP_009108514.1, XP_009114481.1
OG0002393	As004G093590	XP_018514090.2
OG0002393	As011G257490	XP_009102451.2, XP_018513179.2
OG0002394	As004G094020	XP_009107690.1
OG0002394	As011G256530	XP_009135895.1, XP_009102507.1
OG0002396	As011G255320	XP_009102631.1
OG0002396	As004G095390	XP_009109579.1, XP_009147066.1
OG0002397	As004G097460	XP_033145711.1, XP_009129415.1
OG0002398	As005G098570	XP_009118088.1, XP_033147148.1
OG0002398	As012G288950	XP_009104412.1, XP_009138691.1
OG0002400	As005G100690	XP_009142644.1
OG0002400	As012G287710	XP_018510353.1
OG0002401	As005G101260	XP_009142369.1
OG0002401	As012G287290	XP_009104295.1, XP_033134584.1
OG0002402	As005G101600	XP_018514619.2
OG0002402	As012G287030	XP_033146686.1, XP_009116768.2
OG0002403	As005G103330, As010G239880	XP_009106026.1
OG0002404	As005G103860	XP_009142195.1
OG0002404	As009G216560	XP_009150933.1
OG0002406	As005G111770	XP_009120801.2, XP_009126446.1, XP_033129004.1
OG0002407	As005G112260	XP_018511009.1
OG0002408	As005G114180	XP_009120587.1
OG0002410	As010G221420	XP_009101486.1
OG0002410	As005G119040	XP_009112207.1, XP_009150691.1
OG0002411	As007G154010	XP_009117651.1
OG0002411	As010G240950, As006G120970	XP_009104842.1, XP_009105949.1, XP_009127954.1
OG0002412	As006G121270	XP_018511154.1, XP_009134536.2, XP_009111467.1
OG0002413	As006G121580	XP_009128484.1, XP_009111490.2
OG0002413	As008G198970	XP_009118821.2, XP_009119710.1
OG0002414	As008G197140	XP_009119548.1
OG0002414	As006G123790	XP_009111241.1
OG0002415	As006G124690	XP_009119327.1, XP_009118662.1
OG0002416	As006G125040	XP_009113985.1
OG0002416	As008G196270	XP_009111112.1
OG0002417	As006G125930	XP_009143926.2
OG0002417	As008G195600	XP_033138201.1
OG0002418	As006G126740	XP_009144023.2
OG0002418	As008G194760	XP_033138568.1
OG0002419	As006G127970	XP_009141081.1, XP_009144288.2
OG0002420	As006G130200	XP_009108744.1
OG0002421	As006G130420	XP_009148083.1
OG0002422	As006G132600	XP_009120009.1
OG0002423	As006G135160	XP_009147373.1, XP_009134651.1, XP_009126058.1, XP_009121560.2
OG0002424	As009G201660	XP_009126073.2
OG0002424	As006G135400	XP_018514776.1
OG0002425	As006G135440	XP_009134670.1
OG0002425	As009G201750	XP_033140089.1
OG0002426	As009G201930	XP_009121524.1
OG0002427	As006G136130	XP_009119081.1, XP_009130335.1
OG0002427	As009G202970	XP_009121418.1
OG0002428	As006G137190	XP_009102088.1
OG0002428	As009G204040	XP_009121005.1
OG0002429	As006G139200	XP_033132517.1, XP_033129011.1
OG0002430	As006G141940, As011G249920	XP_009123906.1
OG0002431	As012G281710	XP_009139181.2
OG0002431	As006G143550	XP_009143311.2, XP_009133368.2
OG0002432	As006G143880	XP_009141804.2
OG0002433	As010G243470	XP_033132712.1, XP_033140097.1
OG0002433	As007G152330	XP_009117798.2, XP_009149017.1
OG0002434	As007G153130	XP_009149106.1
OG0002435	As010G240000	XP_009106020.1
OG0002435	As007G154550	NP_001288814.1
OG0002436	As007G157780	XP_009149695.1
OG0002436	As010G235980	XP_009106404.1
OG0002437	As007G158170	XP_033130847.1
OG0002438	As007G158300	XP_009145357.1, XP_009103248.1, XP_009103585.1
OG0002439	As010G235050	XP_009104869.1, XP_009105874.1
OG0002439	As007G158550	XP_009110134.1
OG0002440	As007G158900, As007G163640	XP_033131672.1, XP_009105077.2, XP_033131671.1, XP_009104416.3, XP_009127328.2
OG0002441	As007G159190	XP_009115567.2, XP_009103205.1
OG0002441	As010G233950	XP_009105770.1
OG0002442	As010G233340	XP_009105706.2
OG0002442	As007G159670	XP_009103165.1, XP_009115512.1
OG0002443	As007G160590	XP_009115397.1
OG0002443	As010G232560	XP_009105489.1
OG0002444	As010G231580	XP_009105419.1, XP_009105022.2
OG0002444	As007G161090	XP_009103078.2
OG0002445	As007G165530	XP_009139275.1, XP_009109205.1
OG0002446	As007G166970	XP_009137686.1, XP_009143884.1
OG0002447	As007G167050	XP_009125785.1, XP_009108865.2, XP_009117043.1
OG0002448	As007G180990, As010G220930	XP_033129911.1, XP_018513128.1, XP_009107614.2
OG0002449	As008G184400	XP_009110612.1, XP_009121464.1
OG0002450	As008G190820	XP_009118391.1, XP_009148073.1
OG0002451	As008G191270	XP_009148057.1
OG0002452	As008G192830	XP_009110952.1
OG0002453	As008G197420	XP_033139729.1, XP_009119572.1
OG0002454	As008G197430	XP_033138277.1, XP_009118717.2, XP_033142014.1
OG0002455	As009G202980	XP_009126157.1
OG0002456	As009G203970, As011G262850	XP_009121019.1
OG0002457	As009G205150	XP_018510746.1, XP_018512105.1, XP_018512122.1
OG0002458	As009G207430	XP_009139211.2, XP_009139214.2
OG0002459	As009G219300	XP_033136608.1, XP_009112037.2
OG0002460	As009G219940	XP_009130978.1, XP_009122369.1, XP_009120351.2
OG0002461	As010G220310	XP_009136613.2
OG0002462	As010G236970	XP_009106319.1
OG0002463	As010G237210	XP_009106286.1
OG0002464	As010G239170	XP_009106098.1
OG0002465	As010G244070	XP_009110487.1, XP_009148927.1, XP_009128447.1
OG0002466	As011G246020	XP_009146422.1, XP_009117268.1, XP_009147534.1
OG0002467	As011G246390	XP_009106957.1, XP_009147577.1, XP_009123646.1
OG0002468	As012G269940	XP_009144791.1
OG0002468	As011G247340	XP_009146277.1
OG0002469	As012G274440	XP_009146493.2
OG0002469	As011G249070	XP_009114205.1
OG0002470	As011G249540	XP_009135530.1
OG0002471	As011G249710	XP_009135543.2, XP_009113863.1
OG0002472	As011G249830	XP_009145978.2
OG0002472	As012G273760	XP_009107357.1
OG0002473	As011G250030	XP_009135561.2, XP_009145950.1, XP_009107346.1
OG0002474	As011G254520	XP_009145320.1
OG0002475	As011G255010	XP_009107776.2, XP_009145238.1, XP_009108264.1
OG0002476	As011G260890	XP_033139268.1, XP_033139171.1, XP_033129056.1, XP_033148069.1, XP_018511441.2, XP_033138852.1, XP_033139412.1
OG0002477	As011G267110	XP_009102112.3, XP_009117493.1, XP_033134772.1
OG0002478	As012G269880	XP_009106989.1, XP_009147616.2, XP_033146880.1
OG0002479	As012G275080	XP_009132997.1, XP_009128867.1
OG0002480	As012G282910	XP_009116345.1
OG0002494	As011G267440	XP_018508262.1
OG0002494	As001G000070	XP_009137768.2, XP_009144240.1
OG0002495	As001G000720	XP_033142323.1, XP_009129259.2
OG0002496	As007G180720, As001G002930	XP_009117371.1, XP_009140300.1
OG0002497	As001G003770	XP_018508955.2, XP_033144957.1, XP_033133895.1
OG0002498	As001G003890	XP_009126841.2, XP_009117109.1
OG0002499	As001G012010, As001G010780, As005G113250	XP_009126533.1, XP_009131869.2
OG0002499	As010G226320	XP_009123304.1
OG0002500	As001G013480	XP_009108743.1, XP_009138270.2, XP_009115555.2
OG0002501	As001G016400	XP_009108004.1
OG0002502	As004G079730	XP_009143687.1, XP_009141475.1
OG0002503	As008G189320, As001G018590, As001G018580	XP_009148143.1, XP_009110869.1
OG0002504	As008G187560	XP_033133421.1, XP_009148291.1
OG0002505	As008G187280	XP_018514490.1
OG0002505	As001G020220	XP_009113284.2
OG0002506	As001G020640	XP_009113217.1
OG0002506	As008G187030	XP_009148385.1
OG0002507	As008G182970	XP_009129139.1
OG0002507	As001G023550	XP_009148821.1
OG0002508	As008G183400	XP_009117947.1, XP_009110567.2
OG0002510	As008G184420	XP_009148556.2, XP_009118048.2
OG0002510	As001G025530	XP_009152035.2
OG0002511	As001G027330	XP_009109589.2, XP_009115148.1
OG0002512	As001G030940	XP_009138882.1
OG0002512	As012G268260	XP_009147494.1
OG0002513	As002G036190	XP_009122673.1, XP_009135128.1
OG0002513	As009G214160	XP_009130851.1
OG0002514	As009G213190	XP_009122158.2
OG0002514	As002G036840	XP_033147886.1, XP_009122379.2
OG0002515	As009G212380	XP_033137766.1
OG0002515	As002G037470	XP_033144159.1, XP_009146696.1, XP_018511823.1
OG0002516	As002G044340, As007G164890	XP_009109194.1, XP_009139388.1, XP_009139416.1
OG0002517	As002G045300	XP_009143920.1, XP_009132469.1, XP_009119900.1
OG0002518	As002G047320	XP_009132374.1
OG0002518	As006G134700	XP_033133285.1, XP_009137608.1
OG0002519	As002G047340	XP_009142587.1, XP_009137606.2, XP_033133001.1, XP_009132371.1
OG0002520	As002G047720	XP_009132344.1, XP_009120112.1
OG0002521	As002G051220	NP_001288818.1, XP_009125845.1, XP_009121890.1
OG0002522	As002G053700	XP_009122524.1
OG0002522	As005G117400	XP_009150518.1, XP_009112134.1
OG0002523	As003G055760	XP_009144520.1, XP_009144529.1
OG0002523	As004G091100	XP_009128964.1
OG0002524	As003G060810	XP_033144312.1, XP_033143989.1
OG0002525	As003G063820	XP_009114710.1, XP_009145131.1, XP_033132365.1
OG0002526	As003G071140	XP_033133506.1
OG0002526	As007G164530	XP_033144027.1
OG0002527	As004G078670	XP_009141412.1
OG0002527	As003G071590	XP_009115026.1
OG0002528	As011G264850	XP_033134487.1, XP_009150757.2
OG0002528	As003G072370	XP_009147693.1
OG0002529	As003G073400	XP_009138478.1
OG0002529	As007G179540	XP_009117282.1
OG0002530	As003G073920	XP_009138514.2, XP_018509295.2
OG0002531	As003G074720	XP_009140346.1
OG0002533	As003G076500	XP_009124092.1, XP_009101947.1
OG0002534	As004G080330, As004G080320	XP_009134135.1
OG0002535	As004G084730	XP_009128650.2, XP_009102715.1, XP_033143964.1
OG0002536	As004G085350	XP_009114611.1
OG0002537	As004G085480	XP_009114589.1
OG0002538	As004G095080	XP_009139566.2, XP_033132271.1, XP_033132269.1, XP_009139568.1, XP_009108086.1
OG0002539	As004G095560	XP_009139510.1
OG0002539	As004G095510	XP_009107772.1
OG0002541	As012G288940	XP_009138689.1, XP_009104411.1
OG0002542	As005G100920	XP_009142682.1, XP_009104316.1
OG0002543	As005G101310	XP_009142362.1, XP_009143169.1
OG0002543	As012G287170	XP_009116780.1
OG0002544	As008G195470	XP_009116651.1, XP_009104226.1
OG0002545	As005G105890, As005G105610, As005G105930	XP_009142760.1
OG0002545	As012G283910	XP_009116441.1
OG0002547	As012G283750	XP_009116427.1
OG0002547	As005G106150	XP_018514172.1
OG0002548	As005G108450	XP_009143384.1, XP_033145041.1
OG0002549	As005G111540	XP_033143899.1, XP_009143259.1
OG0002550	As010G227270	XP_009126455.1, XP_009131801.1, XP_009120796.1
OG0002551	As010G224410	XP_009137255.2
OG0002551	As005G115520	XP_009126692.1, XP_009131988.1, XP_009120465.1
OG0002552	As010G222510	XP_009149804.1, XP_009151486.1, XP_009150183.1
OG0002552	As005G116390	XP_033148873.1
OG0002553	As005G119590	XP_009103457.2
OG0002553	As010G221160	XP_009101744.1, XP_009115702.1
OG0002555	As008G198480	XP_009118795.1, XP_009119676.1
OG0002556	As006G122430	XP_018510102.1
OG0002556	As008G198330	XP_009119660.1
OG0002557	As006G127180	XP_009118569.1, XP_018512677.1
OG0002558	As006G132660	XP_009142988.1
OG0002559	As006G133130	XP_009147440.1
OG0002559	As009G200430	XP_009125991.1, XP_033137828.1
OG0002560	As009G201240	XP_009131459.1, XP_009121583.1
OG0002560	As006G134910	XP_009134627.1, XP_009147398.1
OG0002561	As009G202670	XP_009121466.1, XP_018513145.1
OG0002561	As006G135920	XP_033141165.1
OG0002562	As009G206940	XP_009151238.1
OG0002562	As006G138150, As006G138130	XP_009124212.1
OG0002563	As006G138330	XP_009147296.1
OG0002564	As006G139890	XP_033141918.1, XP_033137730.1, XP_009131698.1
OG0002565	As006G144620	XP_009115953.1
OG0002566	As006G146200	XP_009141663.2, XP_009143490.1, XP_009133180.2, XP_009141664.1
OG0002567	As007G152810	XP_009149068.1, XP_009104527.1
OG0002568	As010G238200	XP_009104709.1
OG0002568	As007G155930	XP_033129205.1
OG0002569	As010G237410	XP_009106261.1
OG0002569	As007G156520	XP_009149518.3, XP_009110234.1
OG0002570	As007G156590	XP_009149526.1
OG0002571	As010G236920	XP_009106320.1
OG0002571	As007G156990	XP_009103316.1
OG0002572	As007G157610	XP_009104627.1, XP_033141863.1, XP_009106395.1
OG0002573	As010G233140	XP_009105690.1
OG0002573	As007G160020	XP_033134495.1
OG0002574	As007G161070	XP_009115350.1
OG0002574	As010G231590	XP_009105418.1, XP_033131654.1
OG0002575	As008G182790	XP_009110533.1, XP_009103767.2
OG0002576	As008G184230	XP_009148546.1
OG0002576	As008G184220	XP_009118025.1, XP_009148545.1, XP_009150729.1
OG0002577	As008G192700	XP_009118960.1
OG0002578	As008G193730, As008G193760	XP_009110994.2, XP_009119068.1, XP_009110993.1, XP_009119066.1
OG0002580	As008G194790	XP_009141204.1, XP_009119147.1
OG0002581	As008G198400, As008G198390	XP_009118788.1, XP_009119665.2, XP_009118789.2
OG0002582	As009G213250	XP_009141881.2, XP_009133428.1, XP_009143227.1
OG0002583	As010G221700	XP_009149730.1
OG0002583	As009G215910	XP_009150989.1
OG0002584	As009G219490	XP_009132028.1
OG0002585	As010G224650	XP_009149977.1, XP_033137085.1, XP_009120484.1
OG0002587	As010G238060	XP_009149460.1, XP_009128104.1
OG0002588	As010G239220	XP_009106088.1
OG0002589	As010G241020	XP_009105942.1, XP_009127950.1
OG0002590	As010G241320, As012G269200	XP_033133847.1, XP_009147552.1
OG0002591	As011G245450	XP_009146483.1
OG0002591	As012G268620	XP_009106881.1
OG0002592	As012G269150	XP_009147541.1
OG0002592	As011G246080	XP_009146420.1
OG0002593	As012G270160	XP_009107017.1, XP_009147646.1
OG0002593	As011G247650	XP_009146241.1
OG0002594	As012G270470, As011G247800	XP_009147669.1, XP_009144818.1
OG0002595	As012G270810, As011G248280	XP_009107142.1, XP_009147699.1
OG0002596	As011G248880	XP_009114642.1, XP_033143199.1, XP_033131286.1
OG0002596	As012G274650	XP_009136729.1
OG0002597	As011G249380	XP_009146028.1
OG0002597	As012G274080	XP_009148003.1
OG0002598	As011G249910	XP_009113699.2, XP_009145967.1, XP_009107349.1
OG0002599	As011G253930	XP_033142801.1
OG0002600	As011G255050	XP_009134668.1, XP_009147355.1, XP_009117990.1
OG0002601	As011G263820	XP_009117222.1, XP_009125933.1
OG0002602	As012G267890	XP_009147459.1, XP_009124707.1, XP_009135281.1
OG0002603	As012G271860	XP_033147098.1, XP_009147770.1
OG0002604	As012G273030	XP_033130304.1, XP_009145067.1, XP_009144673.1, XP_009147908.1
OG0002605	As012G282930	XP_009116347.1, XP_009141942.1
OG0002606	As012G284350	XP_033146404.1, XP_009116492.1, XP_009142804.1
OG0002607	As012G286060, As012G286070	XP_009138869.1, XP_009104245.1, XP_009116689.1, XP_009116691.1
OG0002622	As001G000680	XP_009129307.1, XP_009109070.1
OG0002623	As001G003260	XP_009127303.1, XP_009108956.1, XP_033144497.1
OG0002624	As006G132160	XP_009140700.1
OG0002624	As001G006190	XP_033142516.1, XP_033141948.1, XP_009108829.1
OG0002625	As289G297790, As160G296640, As419G298080, As205G296950, As240G297400	XP_033129882.1, XP_033138928.1
OG0002626	As011G263160	XP_009121225.1
OG0002626	As001G014170	XP_009112399.1, XP_009108729.1
OG0002627	As001G014270	XP_033144274.1, XP_033142460.1
OG0002627	As011G263300	XP_018513386.1
OG0002628	As011G263570	XP_009136325.1
OG0002628	As001G014800	XP_033145005.1
OG0002629	As004G078820	XP_009143705.1
OG0002629	As001G015750	XP_018509458.1
OG0002630	As004G079350	XP_009143658.1
OG0002631	As004G083150	XP_009133037.1
OG0002631	As001G017580	XP_009145495.2
OG0002632	As001G019060	XP_009122975.1, XP_009113387.1
OG0002633	As008G188110	XP_009110813.1
OG0002634	As001G019900	XP_033143862.1, XP_033133497.1
OG0002634	As008G187830	XP_018514483.1
OG0002635	As001G021860	XP_009148482.1, XP_009110723.1, XP_009105127.1
OG0002636	As001G022990	XP_009117879.1
OG0002637	As008G183390	XP_009110564.1
OG0002637	As001G023970	XP_033136412.1
OG0002638	As001G024740	XP_009114116.1, XP_009152117.1
OG0002638	As008G183930	XP_009110593.2, XP_009148533.1
OG0002639	As001G025840	XP_009152004.1, XP_033141776.1
OG0002639	As005G107930	XP_009125464.1
OG0002640	As001G027310	XP_009151841.1
OG0002641	As004G078380	XP_009125107.1, XP_009124506.1
OG0002641	As001G027640	XP_009111783.1
OG0002642	As001G028250	XP_009105132.2, XP_009105261.2, XP_009127538.1
OG0002643	As004G077380	XP_009140162.1
OG0002643	As001G028850	XP_009105203.1
OG0002645	As002G048900	XP_009121298.1
OG0002645	As002G032620	XP_009139758.1
OG0002646	As002G035470	XP_009123043.1, XP_018514864.1
OG0002647	As007G163080, As007G163060	XP_009137462.1, XP_009109243.1, XP_009138265.1
OG0002648	As002G044830	XP_033141806.1, XP_009132498.1, XP_009119857.1, XP_009144044.1
OG0002650	As002G046120	XP_009127094.2
OG0002651	As002G046390	XP_009127078.2
OG0002651	As006G132490	XP_009143234.1
OG0002652	As011G265690	XP_009102209.1, XP_009102211.1, XP_009102208.1
OG0002653	As002G052290	XP_009122012.2
OG0002653	As009G215520	XP_009151037.1
OG0002654	As005G118680	XP_009150652.1
OG0002654	As002G052650	XP_033145210.1, XP_009131170.2
OG0002655	As002G053250	XP_009131138.1, XP_009125330.1
OG0002656	As005G117600	XP_009112143.1
OG0002656	As002G053570	XP_009122536.1
OG0002657	As003G056450	XP_009136898.1
OG0002657	As004G089010	XP_033136812.1
OG0002658	As003G058870	XP_009134095.1, XP_033130185.1, XP_009134117.2
OG0002659	As003G060340	XP_009137247.1, XP_009135776.1
OG0002660	As003G060580	XP_009137266.1, XP_009136013.1
OG0002661	As003G061470	XP_009137353.1
OG0002661	As004G084490	XP_009108173.1
OG0002662	As003G063950	XP_009145120.1
OG0002662	As004G080190	XP_009134149.2
OG0002663	As004G081750	XP_009143848.1
OG0002663	As003G068530	XP_009113703.1, XP_009109757.1
OG0002664	As003G072000, As003G071990	XP_009151156.2, XP_033133995.1
OG0002665	As011G264930	XP_009102292.1, XP_009150753.1
OG0002666	As003G072660	XP_009144195.1, XP_009144127.1, XP_009138429.1, XP_009109314.1
OG0002667	As003G072790	XP_009143412.1
OG0002667	As011G265360	XP_009150734.1
OG0002669	As007G179900	XP_009140398.1
OG0002669	As003G074060	XP_009133477.1
OG0002670	As007G180820	XP_009140291.1
OG0002670	As003G075640	XP_009101891.1
OG0002672	As004G078520	XP_009125114.1
OG0002673	As004G080350	XP_009134133.1
OG0002674	As004G085250	XP_009134275.1, XP_009134274.1
OG0002675	As004G086350	XP_009134406.2, XP_009114483.1
OG0002676	As004G093110	XP_009139654.1
OG0002676	As011G258120, As011G258130	XP_009102414.1
OG0002677	As004G093500	XP_009135205.1, XP_009135204.1
OG0002678	As004G093530	XP_033133915.1
OG0002678	As004G094510	XP_033137785.1, XP_018513670.1
OG0002679	As004G095650	XP_009107777.1
OG0002680	As004G095740	XP_009148494.1
OG0002680	As011G254910	XP_009145248.1, XP_009135840.1
OG0002681	As005G100710	XP_009133779.1, XP_009142417.1, XP_009142649.2
OG0002682	As012G285320	XP_009117196.2
OG0002684	As005G105950	XP_009142001.1, XP_009116437.1
OG0002686	As005G109060	XP_009122637.1
OG0002686	As009G201790, As009G201760	XP_018512499.1
OG0002687	As005G114330	XP_009126614.1, XP_009120570.1
OG0002688	As010G224920	XP_009150059.1
OG0002688	As005G114620	XP_009126629.2
OG0002689	As005G115500	XP_033142238.1, XP_033139181.1, XP_009120469.1
OG0002690	As010G224390	XP_009149967.1
OG0002690	As005G115510	XP_009150431.1
OG0002691	As010G222530	XP_009149806.1
OG0002691	As005G116360	XP_009150400.1
OG0002692	As006G121510	XP_009134549.1, XP_009111482.1
OG0002693	As006G123750	XP_009111250.1, XP_009134385.1
OG0002694	As006G124270	XP_009101725.1, XP_018509639.2
OG0002695	As006G127050	XP_009144057.1, XP_009132810.1
OG0002695	As008G194410	XP_009118574.1
OG0002696	As006G129490	XP_033135886.1, XP_033145183.1
OG0002697	As006G142000, As006G133830	XP_009146986.1
OG0002698	As006G136330	XP_009130592.2
OG0002698	As009G203310	XP_033138427.1
OG0002699	As009G203390	XP_009107516.1, XP_009126186.1
OG0002700	As009G204050, As006G137200	XP_009102087.1
OG0002701	As006G140860	XP_009134954.1, XP_009147099.1, XP_033129713.1
OG0002702	As012G282650	XP_009103981.1
OG0002702	As006G142520	XP_009141889.1
OG0002703	As006G142840	XP_018510218.1
OG0002703	As011G265040	XP_009115179.1, XP_009109605.1
OG0002704	As006G145710	XP_009133115.1, XP_009141626.1
OG0002705	As006G148860	XP_009116111.1, XP_009139253.1
OG0002706	As010G242850	XP_009106669.1
OG0002706	As007G152830	XP_009149069.1
OG0002707	As010G240220	XP_033131773.1
OG0002707	As007G154380	XP_009149249.1
OG0002708	As007G155940	XP_009128096.1, XP_009149449.1
OG0002709	As007G157250	XP_009106356.1, XP_009149608.1, XP_009103299.1
OG0002710	As007G158990	XP_009103215.1
OG0002710	As010G234240	XP_009105806.2
OG0002711	As007G159880	XP_009103138.2, XP_009115478.1
OG0002712	As007G161180	XP_033130124.1
OG0002713	As007G161210	XP_009103073.1, XP_009109888.1, XP_009115331.1
OG0002714	As008G182320	XP_009148897.1
OG0002715	As008G182490	XP_009101330.2, XP_009129220.2, XP_018510015.1
OG0002716	As008G187170	XP_009148363.1, XP_009118258.1
OG0002717	As009G202340	XP_033143161.1, XP_009128147.1
OG0002718	As009G203250, As009G203380	XP_009126179.1, XP_033138380.1
OG0002719	As009G215820	XP_009130001.1
OG0002720	As010G220600, As010G220610	XP_009149357.3
OG0002721	As010G221870, As010G221880	XP_009151976.1
OG0002722	As010G232310	XP_009127717.1
OG0002723	As010G235340	XP_009128274.1, XP_009106458.1
OG0002724	As010G237080	XP_009149558.1
OG0002725	As011G244940	XP_009146550.1, XP_009124680.2
OG0002726	As011G247620	XP_009146244.2, XP_009115530.2
OG0002726	As012G270130	XP_009147645.1
OG0002727	As011G248410	XP_009114826.2, XP_009135480.2, XP_009146158.1
OG0002728	As012G272740	XP_009147876.1
OG0002728	As011G251250	XP_009112103.1, XP_009135620.1
OG0002729	As011G252830	XP_009145617.1
OG0002729	As012G271580	XP_009144938.1
OG0002730	As011G253790	XP_009135765.1, XP_009145464.1, XP_009109403.2, XP_009109391.2, XP_009145463.1
OG0002731	As011G254440	XP_009145329.3
OG0002733	As012G273010	XP_009107309.1, XP_009147907.1, XP_009102051.1
OG0002734	As012G275240	XP_009115191.1, XP_009109616.1
OG0002736	As012G278190	XP_009133223.1, XP_009141712.1, XP_009116096.1
OG0002737	As012G282920	XP_009116346.1
OG0002753	As001G000210	XP_009144375.1
OG0002753	As011G267350	XP_009102000.1, XP_033136500.1
OG0002755	As001G004000	XP_009126691.1
OG0002757	As011G263180	XP_033134127.1
OG0002758	As011G263700	XP_009138343.1
OG0002759	As001G015740	XP_009102673.1, XP_009108140.1, XP_018508480.1
OG0002760	As001G017010, As007G159080	XP_009151434.1
OG0002762	As001G021940	XP_009105258.1
OG0002762	As008G185820	XP_033136604.1
OG0002763	As008G182460	XP_009114228.2, XP_009101333.1
OG0002764	As008G183640	XP_018514981.1
OG0002764	As001G024270	XP_009152157.1
OG0002765	As001G025940	XP_033129178.1
OG0002766	As004G077360	XP_009139744.1
OG0002767	As001G031510	XP_009112971.2, XP_009124339.1
OG0002768	As002G032910	XP_009124813.1
OG0002769	As002G034270	XP_009146930.1
OG0002770	As002G042380	XP_009132697.1
OG0002771	As002G053190	XP_009125328.1, XP_009131144.1
OG0002771	As005G118190	XP_009150591.1
OG0002772	As005G116840	XP_009150453.1
OG0002772	As002G054010	XP_009122502.1
OG0002773	As002G055290	XP_009122336.1
OG0002773	As009G218230	XP_033143271.1
OG0002774	As004G087290	XP_009101630.1
OG0002775	As003G058200	XP_009137032.1, XP_009101638.1
OG0002776	As003G059570	XP_009137195.2, XP_009108497.1
OG0002777	As003G059960	XP_009137218.1, XP_009108535.1, XP_009135393.2, XP_009135379.1
OG0002779	As003G063190, As003G063150, As003G063170	XP_009107936.1
OG0002780	As003G064140	XP_009148001.1, XP_009107907.1
OG0002781	As003G073970	XP_033142581.1, XP_009134121.1
OG0002782	As003G074780, As007G180390	XP_009112537.1
OG0002783	As003G075620	XP_009117425.3, XP_009109989.1
OG0002784	As004G089990	XP_009108335.1, XP_009114289.1, XP_009101442.1
OG0002785	As004G091710	XP_009108026.1
OG0002785	As011G259610	XP_009123668.1
OG0002786	As004G091990	XP_009108020.2, XP_009108022.1
OG0002787	As004G092210	XP_009124259.1
OG0002788	As004G095570	XP_033146653.1
OG0002788	As011G255120	XP_009135850.1, XP_018508327.1
OG0002789	As004G095840	XP_009107798.1, XP_009148323.1
