Orthogroup	Aethionema_saxatile	Arabidopsis_thaliana
OG0004720	As010G243480	AT1G80670.1
OG0004721	As010G243680	AT1G80510.1
OG0004722	As010G243730	AT1G80460.1
OG0004723	As010G243830	AT1G80380.2
OG0004724	As010G243840	AT1G80370.1
OG0004725	As010G244010	AT1G15430.1
OG0004726	As011G244610	AT3G12660.1
OG0004727	As011G244720	AT3G12890.1
OG0004729	As011G245400	AT3G13480.1
OG0004730	As011G245970	AT3G13960.1
OG0004732	As011G247150	AT3G15040.1
OG0004733	As011G247580	AT3G15400.1
OG0004734	As011G248970	AT3G16770.1
OG0004735	As011G249420	AT1G48110.1, AT3G17330.1
OG0004736	As011G250360	AT3G18280.2
OG0004737	As011G250700	AT3G18600.1
OG0004738	As011G250930	AT3G18810.1
OG0004739	As012G272860, As011G251110	AT3G18990.2
OG0004740	As011G252030	AT3G19930.1
OG0004741	As011G253470	AT3G21460.1
OG0004742	As011G254510	AT3G22520.1
OG0004743	As011G254540	AT3G22550.1
OG0004744	As011G255150	AT3G23180.1
OG0004745	As011G255330	AT3G23380.1
OG0004746	As011G256090	AT3G24160.1
OG0004747	As011G256630	AT3G24508.1, AT3G24513.1, AT3G24510.1
OG0004748	As011G262550, As011G262540	AT1G73510.1
OG0004749	As011G263460	AT1G72590.1, AT2G16530.3
OG0004750	As011G266140	AT2G19480.1
OG0004751	As011G267050	AT2G20360.1
OG0004752	As012G268020	AT1G55850.1
OG0004753	As012G269500	AT5G41010.1
OG0004754	As012G272120	AT1G50500.2
OG0004755	As012G272400	AT1G50060.1, AT1G50050.1
OG0004756	As012G273590	AT1G48620.1
OG0004757	As012G273670	AT3G23640.3
OG0004758	As012G277580	AT2G03120.1
OG0004759	As012G279310	AT3G54200.1
OG0004760	As012G279450	AT3G51550.1
OG0004761	As012G279480	AT3G51600.1
OG0004762	As012G281540	AT2G26540.1
OG0004763	As012G282030	AT3G55560.1
OG0004764	As012G282670	AT3G56180.2
OG0004765	As012G283070	AT3G56620.1
OG0004766	As012G283240	AT3G56810.1
OG0004767	As012G283940	AT3G57400.1, AT5G52500.1
OG0004768	As012G284140	AT3G57670.1
OG0004769	As012G284280	AT3G57870.1
OG0004770	As012G289140	AT5G26110.1
OG0004801	As011G267360, As001G000190	AT4G28300.1
OG0004802	As001G000200	AT4G28310.1, AT1G52270.1
OG0004803	As001G000240	AT4G32480.1
OG0004804	As001G000330	AT4G28440.1
OG0004805	As001G000920	AT4G29100.1
OG0004806	As001G002130	AT4G30160.2
OG0004807	As001G002880	AT4G30780.1
OG0004808	As001G004040	AT4G31780.3
OG0004809	As001G004150	AT4G31840.1
OG0004810	As001G004320	AT5G49550.1
OG0004811	As001G005970	AT4G32860.1
OG0004812	As001G006400	AT4G32730.2
OG0004813	As001G007090	AT4G33040.1
OG0004814	As001G013570	AT4G34150.1
OG0004815	As001G014410	AT4G34700.1
OG0004817	As004G083110, As001G017700	AT4G16650.1
OG0004818	As001G017790	AT4G16610.1
OG0004819	As001G018060	AT4G16447.1
OG0004820	As001G018530	AT1G54630.1, AT1G54580.1
OG0004821	As001G018760	AT1G54960.1, AT1G09000.1
OG0004822	As001G021650	AT1G61360.1
OG0004823	As001G021690	AT1G61560.1
OG0004824	As001G022350	AT2G01220.2, AT3G27610.1
OG0004825	As008G182410, As001G022410	AT2G01290.1
OG0004826	As001G023400	AT2G02230.1
OG0004827	As001G025020	AT3G26000.1
OG0004828	As001G025450	AT3G26560.1
OG0004829	As001G025570	AT3G26700.1
OG0004830	As004G097530, As001G026310	AT5G40670.1
OG0004831	As001G026350	AT3G27400.2
OG0004832	As001G026590, As005G119760	AT3G27650.1
OG0004833	As001G027610	AT3G29070.1
OG0004834	As001G027630	AT3G29090.1
OG0004835	As001G027750	AT3G29240.1
OG0004836	As001G027800	AT3G29310.1
OG0004837	As001G028020	AT2G10440.1
OG0004838	As001G028180	AT3G30775.1
OG0004839	As001G028190	AT3G30841.1, AT4G09520.1
OG0004840	As001G028760	AT5G43620.1, AT1G66500.1
OG0004841	As001G031130	AT1G63770.3
OG0004842	As001G031750	AT1G62960.1
OG0004843	As008G185240, As001G032070	AT1G12080.2
OG0004844	As002G033080	AT2G41310.1, AT2G07440.1
OG0004845	As002G034250	AT3G09370.3
OG0004846	As002G035570	AT3G10340.1, AT5G04230.2
OG0004847	As002G035930	AT3G10525.1
OG0004848	As002G037420	AT3G11580.3
OG0004849	As002G038820	AT3G12260.1
OG0004850	As007G164360, As002G042970	AT5G51120.2
OG0004851	As002G043200	AT5G51190.1
OG0004852	As002G043810, As009G209900	AT5G51890.1
OG0004853	As002G044150	AT5G52300.1
OG0004854	As002G044600	AT5G52870.1
OG0004855	As002G044650	AT5G52900.1
OG0004856	As002G044980	AT5G53045.1
OG0004857	As002G045730	AT5G53870.1
OG0004858	As002G046440	AT5G54680.1
OG0004859	As006G132620	AT4G27040.1
OG0004860	As002G048650	AT5G57000.1
OG0004861	As002G049390	AT5G57720.1
OG0004862	As002G049870, As010G227590	AT5G58070.1
OG0004863	As002G050320	AT5G13330.1
OG0004864	As002G050440	AT5G13220.7
OG0004865	As002G050480	AT5G13180.1
OG0004866	As002G050490	AT5G13170.1
OG0004867	As002G051840	AT5G11440.1
OG0004868	As002G051860, As009G201870	AT5G15550.1
OG0004869	As002G052150	AT5G11070.1
OG0004870	As002G052750	AT5G10510.3
OG0004872	As002G053820	AT5G09430.1
OG0004873	As003G055900	AT4G17550.1
OG0004874	As004G089050	AT5G46570.1
OG0004875	As003G056530	AT4G18170.1
OG0004876	As003G056620, As004G088760	AT5G46290.3
OG0004877	As003G057300	AT4G18830.1
OG0004878	As003G057320	AT4G18880.1
OG0004879	As003G057800	AT4G19450.1
OG0004880	As003G058210	AT4G20020.1
OG0004881	As003G058480	AT4G20270.1
OG0004882	As003G058730	AT4G20780.1
OG0004883	As003G059030	AT4G21120.1
OG0004884	As003G059460	AT4G21440.1
OG0004885	As003G059780	AT5G19440.1
OG0004886	As003G059800	AT4G21760.2
OG0004887	As003G059840	AT4G21790.1
OG0004888	As003G060430	AT4G22360.1
OG0004889	As003G060940	AT4G22950.1
OG0004890	As003G061450	AT4G23450.2
OG0004891	As003G061960	AT4G23880.1
OG0004892	As003G062150	AT4G24080.1
OG0004894	As003G065660	AT1G47380.1
OG0004895	As003G067740	AT1G27950.1
OG0004896	As003G068660	AT1G28160.1
OG0004897	As003G068770	AT1G28270.1
OG0004898	As012G275180	AT1G30270.1
OG0004899	As003G070960	AT5G04010.1
OG0004900	As003G072940	AT4G36740.2
OG0004901	As003G073810	AT4G37520.1, AT4G37530.1
OG0004902	As003G074050	AT4G37750.1
OG0004904	As003G076520	AT4G38420.1
OG0004905	As004G079710	AT2G35270.1
OG0004906	As004G086100	AT4G05030.1
OG0004907	As004G086370	AT4G21130.1, AT4G05410.1
OG0004908	As004G087110, As004G089370, As004G089390	AT5G44710.1
OG0004910	As004G088520	AT5G46020.1
OG0004911	As011G262950, As004G088540	AT5G46030.1
OG0004912	As004G089270	AT5G46800.1
OG0004913	As004G090260	AT5G47620.4
OG0004914	As004G090350	AT5G47220.1
OG0004915	As004G090850	AT5G47520.1
OG0004916	As004G093460	AT3G25120.1
OG0004917	As012G270330	AT1G52825.1
OG0004918	As004G096130	AT4G15040.1
OG0004919	As004G097840	AT5G41240.1, AT5G41220.1, AT5G41210.1
OG0004920	As004G098270	AT5G67630.1
OG0004921	As012G288850	AT3G63000.1
OG0004921	As005G098730	AT2G47970.1
OG0004922	As005G099440, As012G288450	AT3G62630.1
OG0004923	As005G100860	AT1G26530.1
OG0004924	As005G100960	AT1G14620.1
OG0004925	As012G287450, As005G101030	AT3G61460.1
OG0004926	As005G101090	AT2G46000.1
OG0004927	As005G101280	AT2G45790.1
OG0004928	As005G101340	AT2G45740.1
OG0004929	As005G102400	AT2G44740.1
OG0004930	As005G103650	AT2G43600.2
OG0004932	As005G104320	AT2G43000.1
OG0004933	As005G104880	AT2G42430.1
OG0004936	As005G107480	AT5G02420.1
OG0004937	As005G108370	AT5G03510.1
OG0004938	As005G108800	AT2G44510.1
OG0004939	As005G109120	AT5G04110.2
OG0004940	As005G111070	AT5G20190.1
OG0004941	As005G111180	AT5G19875.1
OG0004942	As005G112060	AT5G20635.1
OG0004943	As005G112360	AT5G20890.1
OG0004944	As005G113020	AT5G21280.1
OG0004945	As005G113300	AT5G22330.1
OG0004946	As005G113780	AT5G22890.1
OG0004947	As005G113910	AT1G43600.1, AT1G43610.1
OG0004948	As005G114610	AT5G60020.1
OG0004949	As005G115090	AT5G59350.1
OG0004950	As005G115760	AT5G59030.1
OG0004951	As005G115840	AT5G52370.1, AT5G58990.1
OG0004952	As005G116130	AT5G63190.1, AT3G48390.1
OG0004953	As005G116150	AT2G46490.1
OG0004954	As005G116380	AT5G63490.1
OG0004955	As005G117550	AT5G64550.1
OG0004956	As005G118410	AT5G65300.1
OG0004957	As005G118630	AT5G65560.1
OG0004958	As005G118700	AT5G65660.1
OG0004959	As005G118850	AT5G65790.1
OG0004960	As005G119160	AT5G67450.1
OG0004961	As005G119230	AT5G67390.1
OG0004962	As005G119600	AT5G67070.1
OG0004963	As005G119980	AT5G66700.1
OG0004965	As006G121990	AT4G01100.2
OG0004966	As006G124550	AT5G44020.1
OG0004967	As008G196340	AT1G04260.1
OG0004968	As006G125250	AT2G33450.1
OG0004969	As006G126170	AT2G27402.1
OG0004970	As006G127960	AT2G30590.1
OG0004971	As006G128010	AT2G30540.1
OG0004972	As006G128270	AT2G30250.1
OG0004973	As006G128640	AT2G29710.1, AT2G29730.1
OG0004974	As006G128740	AT2G29590.1
OG0004975	As006G129710	AT2G28520.1
OG0004976	As006G130190	AT2G28000.1
OG0004977	As006G130530	AT2G27020.2
OG0004978	As006G133540, As009G199820	AT5G13990.1
OG0004979	As006G133750, As006G141960	AT3G08670.1
OG0004980	As006G142010	AT3G08740.1
OG0004981	As006G134770	AT3G01280.1
OG0004982	As009G202500, As006G135830	AT3G02830.1
OG0004983	As006G136020	AT5G16830.1
OG0004986	As009G205410, As006G139410	AT5G26742.2
OG0004988	As006G139830, As009G204740	AT3G06260.1
OG0004989	As006G140070, As012G283670	AT3G57150.1
OG0004990	As006G140740	AT3G07050.1
OG0004991	As006G141260	AT3G07565.4
OG0004992	As006G141680	AT3G07940.1
OG0004993	As006G141950	AT3G08650.2
OG0004994	As006G142580	AT2G40330.1
OG0004995	As006G142980	AT2G39990.1
OG0004996	As006G143310	AT2G39730.1
OG0004997	As006G143760	AT3G55030.1
OG0004998	As006G144480	AT2G35930.1
OG0004999	As006G144570	AT2G36020.1
OG0005000	As006G144590	AT1G29070.1
OG0005001	As006G147050	AT2G37970.1
OG0005002	As006G147700	AT2G38090.1
OG0005003	As006G147990	AT2G38180.1
OG0005005	As007G151970	AT1G15340.1
OG0005006	As007G153190	AT1G16760.2
OG0005007	As007G154040, As007G153880	AT1G17450.2
OG0005008	As007G153990	AT1G17550.1
OG0005009	As007G154750	AT1G17980.1
OG0005010	As007G154930	AT1G18520.1
OG0005011	As007G155560	AT1G19180.1
OG0005012	As007G156050	AT1G19850.1
OG0005013	As007G158050	AT1G77840.1
OG0005014	As007G158130	AT1G22110.1
OG0005015	As007G158650	AT1G22640.1
OG0005016	As007G160000	AT1G24147.1
OG0005018	As007G160180	AT1G27150.1
OG0005019	As007G160320	AT1G26945.1
OG0005020	As010G232330, As007G160760	AT1G26480.1
OG0005021	As007G161470, As007G163920	AT1G25280.1
OG0005022	As007G161710	AT1G24620.1
OG0005023	As007G161950	AT1G24360.1
OG0005024	As007G162060, As010G228460	AT1G67340.1
OG0005025	As007G163520	AT4G24770.1
OG0005026	As007G164830	AT4G25410.1
OG0005027	As007G176570	AT4G33150.1
OG0005028	As008G182510	AT1G76020.1
OG0005029	As008G183630	AT1G13750.1
OG0005030	As008G184850	AT1G80710.1
OG0005031	As008G184860	AT1G12380.1
OG0005032	As008G185200	AT1G12120.1
OG0005033	As008G185880	AT5G28237.1
OG0005034	As008G187000	AT1G10590.3
OG0005035	As008G187350	AT1G10270.1
OG0005036	As008G187850	AT1G10095.1
OG0005037	As008G188970	AT1G09070.1
OG0005038	As008G190460	AT3G02270.1, AT4G18300.1, AT2G34970.1
OG0005039	As008G190580	AT1G08160.1
OG0005040	As008G190680	AT1G08465.1
OG0005041	As008G193840	AT1G06320.1
OG0005042	As008G193930, As008G193940	AT1G06230.1
OG0005043	As008G194160	AT1G06040.1
OG0005044	As008G195190	AT1G05190.1
OG0005045	As008G195270, As008G195280	AT1G05120.2
OG0005046	As008G197560	AT1G02950.5
OG0005047	As008G198960	AT1G01370.1
OG0005048	As008G199030	AT1G01670.1
OG0005049	As008G199040	AT1G01680.1
OG0005050	As009G200820	AT5G15120.1
OG0005051	As009G201840	AT1G72550.1
OG0005052	As009G201920	AT5G16030.3
OG0005053	As009G202060	AT5G16170.1
OG0005054	As009G202510	AT5G16550.1
OG0005055	As009G203120	AT5G17230.3
OG0005056	As009G203200	AT5G17300.1
OG0005057	As009G203710	AT5G17760.1
OG0005058	As009G204170	AT5G18270.1
OG0005059	As009G204310	AT5G18450.1
OG0005060	As009G204730	AT5G18930.1
OG0005061	As009G205060	AT5G19190.1
OG0005062	As009G205390	AT5G26667.1
OG0005063	As009G206840	AT3G05040.2
OG0005064	As009G206910	AT5G27980.1
OG0005065	As009G207370	AT5G49520.1
OG0005066	As009G207390	AT5G49010.1
OG0005067	As009G208350	AT5G48850.1
OG0005068	As009G209370	AT5G48170.1
OG0005069	As009G210130	AT5G48230.2
OG0005070	As009G211070	AT3G54300.1
OG0005071	As009G212280	AT5G06350.1, AT5G27010.1
OG0005072	As009G214020	AT5G05070.1
OG0005073	As009G216020	AT3G49490.1
OG0005074	As009G216210, As009G216220	AT5G24420.1
OG0005075	As009G217570	AT5G60850.1
OG0005076	As009G217600	AT5G60910.1
OG0005077	As009G217940	AT5G61330.2
OG0005078	As009G218030	AT5G61420.2
OG0005079	As009G218730	AT5G62260.1
OG0005080	As009G219690	AT5G58670.1
OG0005081	As009G219900	AT5G58470.1
OG0005082	As009G220060	AT5G58330.1
OG0005083	As009G220070	AT5G58320.2
OG0005084	As010G221270	AT3G50070.1
OG0005085	As010G221790	AT3G49430.1
OG0005086	As010G221820	AT3G49390.1
OG0005087	As010G222060	AT3G49250.1
OG0005088	As010G222240	AT3G49000.1
OG0005089	As010G223760	AT3G47340.1
OG0005090	As010G227320	AT5G20350.1
OG0005091	As010G227690	AT1G67750.1
OG0005092	As010G230480	AT1G68490.1
OG0005093	As010G230830	AT1G68550.1
OG0005094	As010G231100	AT1G68570.1
OG0005095	As010G231510	AT2G01110.1
OG0005097	As010G232030	AT1G69050.1
OG0005098	As010G232760	AT1G69690.1
OG0005099	As010G234810	AT1G71970.1
OG0005100	As010G235320	AT1G78110.1
OG0005101	As010G235560, As010G235550	AT1G77885.1
OG0005102	As010G235970	AT5G48240.3
OG0005103	As010G236600	AT1G76880.1
OG0005104	As010G237160	AT1G76340.1
OG0005105	As010G237330	AT1G76180.1
OG0005106	As010G238190	AT1G75390.1
OG0005107	As010G242810	AT1G79430.2
OG0005108	As010G243740	AT1G80450.1
OG0005109	As010G243850	AT1G80360.1
OG0005110	As011G248220	AT3G16040.1
OG0005110	As010G244380	AT1G15270.1
OG0005111	As011G245140	AT3G13230.1
OG0005112	As011G245560	AT3G13600.1
OG0005113	As011G245600	AT3G13670.1
OG0005114	As011G245840	AT3G13870.1
OG0005116	As011G246550, As012G269560	AT3G14440.1
OG0005117	As011G247300	AT3G15190.1
OG0005118	As011G247570	AT3G15390.1
OG0005119	As011G247670	AT3G15500.1
OG0005120	As011G247850	AT3G15670.1
OG0005121	As011G248190	AT3G16000.1
OG0005122	As011G248500	AT3G16330.1
OG0005123	As011G248720	AT3G16500.1
OG0005124	As011G250650	AT3G18550.3
OG0005125	As011G251080	AT3G18950.1
OG0005126	As011G252180	AT3G20070.1
OG0005127	As011G252870	AT3G20570.1
OG0005128	As011G252920	AT3G20640.1
OG0005129	As011G252980	AT3G20740.1
OG0005130	As011G253260	AT3G21110.1
OG0005131	As011G253360	AT3G21230.1
OG0005133	As011G253680	AT3G21270.1
OG0005134	As011G253700	AT3G21250.4
OG0005135	As011G254010	AT4G15240.1
OG0005136	As011G254750	AT3G22830.1
OG0005137	As011G256120	AT3G24140.1
OG0005138	As011G256170	AT3G24090.1
OG0005139	As011G262510	AT2G14900.1
OG0005140	As011G265140	AT2G18570.1, AT2G18560.1
OG0005142	As011G265810	AT2G19080.1
OG0005143	As011G265870	AT2G19160.1
OG0005144	As011G266960	AT2G20300.1
OG0005145	As012G268090	AT1G55775.1
OG0005146	As012G268410	AT1G55510.1, AT3G13450.1
OG0005148	As012G271810	AT1G51340.2
OG0005150	As012G275500	AT3G51950.1
OG0005151	As012G275980	AT3G52450.1
OG0005152	As012G276380	AT3G52850.1
OG0005153	As012G278160	AT3G54080.1
OG0005154	As012G278270	AT3G54110.1
OG0005155	As012G278420	AT3G51850.1
OG0005156	As012G280450	AT3G54800.1
OG0005157	As012G280490	AT3G54810.1
OG0005158	As012G280950	AT3G54900.1
OG0005159	As012G282630	AT3G56120.1
OG0005160	As012G282710	AT3G56220.1
OG0005161	As012G282890	AT3G56400.1
OG0005162	As012G284100	AT3G57610.1
OG0005163	As012G285650	AT1G54250.1, AT3G59600.1
OG0005164	As012G285670	AT3G59650.2
OG0005165	As012G287130	AT3G61140.1
OG0005166	As012G287510	AT2G46110.1
OG0005167	As012G287550	AT3G61580.1
OG0005168	As012G287590	AT3G61620.1
OG0005192	As001G000030	AT4G28140.1
OG0005193	As001G000450	AT4G28540.1
OG0005194	As001G000820	AT4G28940.1
OG0005195	As001G000860	AT4G29010.1
OG0005196	As001G001460	AT4G29680.1
OG0005197	As011G265330, As001G001510	AT2G18390.1
OG0005198	As001G001540	AT4G29735.2
OG0005199	As001G001750	AT4G29870.1
OG0005200	As001G001880	AT1G69190.1
OG0005201	As001G002200	AT4G30200.2
OG0005202	As001G002220	AT4G30220.2
OG0005204	As001G002730, As001G002720	AT4G30660.1
OG0005205	As001G003030	AT4G30890.1
OG0005206	As001G003180	AT4G30960.1
OG0005207	As001G003510	AT4G31300.2
OG0005209	As001G004470	AT4G32915.1
OG0005210	As001G006380	AT4G32760.2
OG0005211	As001G013560	AT4G34160.1
OG0005212	As001G013840	AT4G34410.1
OG0005213	As001G013850	AT4G34390.1
OG0005214	As001G014850	AT4G35070.1
OG0005215	As001G016310	AT1G31812.1
OG0005216	As001G019480, As001G016550	AT1G32080.1
OG0005217	As001G017460	AT4G16850.1
OG0005218	As001G019600	AT1G58120.1
OG0005219	As001G021490	AT1G61130.1
OG0005220	As001G021830	AT1G61670.1
OG0005221	As001G022830	AT2G01690.2
OG0005222	As001G023020	AT2G01880.1
OG0005223	As001G023090	AT2G01940.3
OG0005225	As001G023510	AT2G02450.2
OG0005226	As001G024000	AT3G11810.1, AT2G03330.1
OG0005227	As001G024070	AT2G03440.1
OG0005228	As001G024300	AT2G03680.1
OG0005229	As001G024310	AT2G03690.1
OG0005230	As001G025120	AT3G26110.1
OG0005231	As008G184490, As001G025700	AT1G12810.2
OG0005232	As001G025830	AT3G26935.1
OG0005233	As002G050110, As001G026680	AT5G47840.1
OG0005234	As001G026780	AT3G27890.1
OG0005235	As001G027570	AT3G29030.1
OG0005236	As001G028240	AT1G67260.1
OG0005237	As001G031580	AT1G63110.1, AT1G12730.1
OG0005238	As001G031860	AT1G62810.1, AT3G43670.1
OG0005239	As002G032740	AT4G26080.1
OG0005240	As002G033370	AT2G40900.1
OG0005241	As002G035650	AT3G10410.1
OG0005242	As002G037520	AT3G11680.2
OG0005243	As002G038200	AT3G12030.1, AT5G06660.1
OG0005244	As002G040220	AT5G49740.1, AT5G49730.1
OG0005245	As002G044780	AT5G53210.1
OG0005246	As002G044790	AT5G53200.1
OG0005247	As002G046190	AT4G24380.3
OG0005248	As002G047450	AT5G55670.1
OG0005249	As002G047550	AT3G60360.1
OG0005250	As002G047570	AT5G55810.2
OG0005251	As002G049350	AT5G57685.1
OG0005252	As002G049940	AT5G58140.1
OG0005253	As002G050050	AT4G06746.1, AT1G46768.1
OG0005254	As002G050270	AT5G13420.1
OG0005255	As002G050710	AT5G12960.1, AT5G12950.1
OG0005256	As002G050800	AT5G12840.1
OG0005257	As002G051180	AT5G12080.1
OG0005258	As002G051280	AT5G11970.1
OG0005259	As002G051440	AT5G11810.1
OG0005260	As002G052400	AT5G25060.1, AT5G10800.1
OG0005261	As002G052420	AT5G10780.2
OG0005262	As002G053420	AT5G09920.1
OG0005263	As002G054560	AT5G08330.1
OG0005264	As002G054620	AT5G08280.1
OG0005265	As002G054940	AT5G07890.1
OG0005266	As002G055500	AT5G07250.1
OG0005267	As003G056420	AT4G18030.1
OG0005268	As003G056520	AT4G18160.1
OG0005269	As004G087090, As003G058360	AT4G20150.1
OG0005270	As003G060400	AT4G22330.1
OG0005271	As003G062220	AT4G24120.1
OG0005272	As003G063090, As003G063080	AT1G33970.1
OG0005273	As003G064100	AT1G36070.1
OG0005274	As003G064590, As004G080920	AT1G44160.1
OG0005275	As003G067440	AT3G22680.1
OG0005276	As003G067920	AT1G27740.1
OG0005277	As003G068670	AT1G28190.1
OG0005278	As003G068760	AT1G28260.1
OG0005279	As003G069010	AT1G28360.1
OG0005280	As004G081400, As003G069020	AT1G28370.2
OG0005281	As003G070060	AT1G29520.1
OG0005282	As003G070120	AT1G29660.1
OG0005283	As003G070550, As003G070630, As003G070540	AT1G30040.1
OG0005284	As003G070820	AT1G30280.1
OG0005285	As003G073530	AT4G37295.1
OG0005286	As003G073790, As007G179760	AT2G23090.1
OG0005287	As003G073950	AT4G37650.1
OG0005288	As007G180210, As003G074510	AT2G22500.1
OG0005289	As003G074790	AT4G39900.1
OG0005290	As003G075710	AT4G39140.1
OG0005291	As004G076710	AT3G62800.1
OG0005292	As004G078110	AT5G53000.1
OG0005293	As004G078660	AT2G34930.1
OG0005294	As004G079840	AT2G35190.1
OG0005295	As012G278310, As010G237850	AT1G75660.1
OG0005296	As004G083990	AT4G10810.1
OG0005297	As004G084530	AT4G23330.1
OG0005298	As004G085110	AT4G12340.1
OG0005299	As004G086400, As005G113080	AT4G05440.1
OG0005300	As004G086500	AT5G44310.2
OG0005301	As004G088600	AT5G46090.1
OG0005302	As004G089670	AT5G47070.1
OG0005303	As004G092590	AT4G14540.1
OG0005304	As004G093480	AT3G25100.1
OG0005306	As004G094400	AT4G13510.1
OG0005307	As004G095160	AT4G14145.1
OG0005308	As004G097330	AT2G44860.1
OG0005309	As004G098310	AT1G26665.1, AT5G41910.1
OG0005310	As005G101900	AT2G45220.1
OG0005311	As005G101940	AT2G45190.1
OG0005312	As005G102030	AT1G65680.1
OG0005313	As005G102990	AT2G44210.2
OG0005314	As005G103830	AT5G40520.2
OG0005316	As005G104140	AT2G43160.1
OG0005317	As005G104740	AT2G42610.1
OG0005318	As005G105010	AT2G41940.1
OG0005319	As005G105050	AT2G41970.1
OG0005320	As005G105080	AT2G42040.1
OG0005321	As005G105830	AT2G41660.1
OG0005322	As005G106390	AT5G01630.1, AT4G00020.2
OG0005323	As005G107120	AT5G02030.1
OG0005324	As005G107610	AT5G02550.1
OG0005325	As005G107770	AT5G02760.1
OG0005326	As005G108100	AT5G03210.2
OG0005327	As005G108310	AT5G03430.1
OG0005329	As005G109100	AT3G45800.1, AT2G11620.1, AT2G29850.1, AT2G29605.1, AT2G11623.1, AT4G07675.1, AT1G49700.1
OG0005330	As005G109560	AT5G26170.1
OG0005331	As005G110880	AT5G20240.1
OG0005332	As005G111210	AT5G20270.1
OG0005333	As005G111980	AT5G20630.1
OG0005334	As005G112100	AT5G20670.1
OG0005335	As005G112280	AT5G20820.1
OG0005336	As005G112520	AT4G24190.1
OG0005337	As005G112640	AT5G21130.1
OG0005338	As005G113040, As010G226430	AT5G22000.1
OG0005339	As005G113270	AT5G22310.1
OG0005340	As005G113290	AT5G19900.1
OG0005341	As010G226240, As005G113340	AT5G22360.1
OG0005342	As005G113890	AT5G60800.2
OG0005343	As005G114460	AT5G60200.1
OG0005344	As005G114910	AT5G59730.1
OG0005345	As005G115620	AT5G59460.1
OG0005346	As005G116070	AT5G63150.1
OG0005347	As005G116700	AT5G63720.1
OG0005348	As005G116970	AT1G32880.1, AT5G52000.1, AT5G49305.1
OG0005349	As005G116990	AT2G37720.1, AT5G64020.1
OG0005350	As005G117270	AT5G64270.1
OG0005351	As005G117780	AT5G64750.1
OG0005352	As005G117820	AT5G64810.1
OG0005353	As005G118500	AT5G65420.3
OG0005354	As005G118650	AT5G65590.1
OG0005355	As005G119000	AT5G67620.1
OG0005356	As005G119020	AT5G67600.1
OG0005357	As005G119650	AT5G66990.1
OG0005358	As005G120230	AT5G66550.2
OG0005359	As006G135260, As005G120420	AT5G66380.1
OG0005360	As008G199610	AT4G09320.1
OG0005361	As006G121060	AT4G00050.1
OG0005362	As006G121210	AT4G00755.1
OG0005363	As006G122260	AT4G00830.1
OG0005364	As008G198420, As006G122320	AT1G01090.1
OG0005365	As006G122550	AT4G01650.1
OG0005366	As006G123900	AT4G03120.1
OG0005368	As006G125730	AT2G32235.1
OG0005369	As006G125790	AT2G32710.1
OG0005370	As006G127060	AT2G31660.1
OG0005371	As006G127310	AT2G31360.1
OG0005372	As006G127400	AT2G31270.1
OG0005373	As006G130030	AT2G28160.1
OG0005374	As006G130880	AT2G27430.1
OG0005375	As006G131170	AT2G26750.1, AT2G26740.1
OG0005376	As006G132090	AT4G32870.1
OG0005377	As006G133310	AT1G63290.1, AT3G01850.1
OG0005378	As006G136010	AT3G02990.1
OG0005379	As006G136190	AT3G03170.1
OG0005380	As006G137130, As009G203990	AT5G18110.1
OG0005381	As006G138810	AT3G05490.1
OG0005382	As006G139330	AT3G05900.1
OG0005383	As006G139670	AT5G13710.1
OG0005384	As006G140170	AT3G06530.4
OG0005385	As006G140490	AT3G06860.1
OG0005386	As006G141090	AT3G07360.1
OG0005387	As006G141390	AT3G07650.1
OG0005388	As006G142900	AT2G40090.1
OG0005389	As012G282400, As006G142930	AT2G40060.1
OG0005390	As006G143390	AT2G39660.1
OG0005391	As006G143790	AT2G39340.1
OG0005392	As006G144000	AT2G39080.1
OG0005393	As006G144220	AT3G54620.1
OG0005394	As006G144290	AT2G38800.1
OG0005395	As006G144490	AT2G35940.1
OG0005396	As006G145630	AT2G37030.1
OG0005397	As006G146190	AT2G37440.1
OG0005398	As006G146370	AT2G37580.1
OG0005400	As006G147530, As012G278560	AT2G38120.1
OG0005401	As007G163120, As006G147870	AT3G07510.3
OG0005402	As006G148690	AT2G38310.1
OG0005403	As007G152380	AT1G15910.1, AT4G00380.1
OG0005404	As007G153370	AT1G16920.1
OG0005405	As007G155080	AT1G18640.2
OG0005406	As007G155200	AT1G18750.3
OG0005407	As007G155290	AT1G18860.1
OG0005408	As007G155310	AT1G18880.1
OG0005409	As007G155490	AT1G19110.1
OG0005410	As007G155980, As010G238120	AT1G19715.3
OG0005411	As007G156250	AT1G20070.1
OG0005412	As007G156740	AT1G20640.1
OG0005413	As007G157620	AT1G21630.2
OG0005414	As010G235650, As007G158030	AT1G77770.1
OG0005415	As007G158210	AT1G22220.1
OG0005417	As010G234630, As007G158760	AT1G71840.1
OG0005418	As007G158920	AT1G71530.1
OG0005419	As007G160140	AT1G27120.1
OG0005420	As007G160270	AT1G27000.1
OG0005421	As007G160420	AT1G26850.1
OG0005422	As007G160840	AT1G26370.1
OG0005423	As007G161750	AT1G67856.1, AT1G24580.1
OG0005424	As007G161800	AT1G24530.1
OG0005425	As007G161820	AT1G24520.1
OG0005426	As007G164240	AT4G25040.1
OG0005427	As007G165270	AT4G25550.1
