Orthogroup	Aethionema_saxatile	Odontarrhena_muralis
OG0000997	As008G184100	Om005G193290
OG0000998	As006G143360	Om008G331510, Om006G251870
OG0001000	As009G200600	Om007G300700, Om007G300710, Om007G300750
OG0001001	As009G214920	Om006G240650
OG0001002	As012G268250, As011G245250	Om002G057480
OG0001003	As011G247910	Om002G061360
OG0001004	As011G266800, As011G266810, As011G266820, As011G266860, As011G266830, As011G266870	Om008G331010, Om008G331290, Om008G330570, Om008G330550
OG0001008	As001G001100	Om001G024130, Om001G024080, Om001G024040
OG0001008	As001G001090	Om001G024050
OG0001009	As001G001490	Om001G024750, Om001G024770
OG0001009	As001G001470	Om001G024740
OG0001010	As003G068260, As001G016390	Om007G292680
OG0001010	As004G079320	Om008G338500
OG0001011	As001G016600, As001G016620, As001G016630, As001G016640, As001G016610, As001G016590, As001G016580, As001G016560, As004G079380	Om007G277180, Om007G277230, Om007G277190, Om007G277170
OG0001012	As001G019280	Om005G217930, Om011G365520
OG0001012	As008G188200	Om005G187750
OG0001013	As001G029630, As001G029620	Om005G202510
OG0001014	As002G035480	Om003G097630
OG0001015	As007G165030	Om005G196870, Om007G286650
OG0001016	As002G052140	Om004G164330
OG0001016	As009G215410	Om006G240010
OG0001017	As002G052670, As002G052700	Om006G231580, Om007G290280, Om003G122900, Om007G290270, Om004G165290
OG0001018	As002G054290	Om006G238180, Om006G238170, Om004G167360
OG0001019	As003G056000	Om001G000610
OG0001020	As003G056290	Om001G001040
OG0001020	As004G089150	Om008G361270
OG0001021	As012G288810	Om003G128720
OG0001022	As005G099680	Om008G319700
OG0001022	As012G288250	Om003G127940
OG0001023	As005G113850, As005G114020	Om008G329680, Om008G329690, Om006G244550, Om004G175290
OG0001024	As006G127250, As006G127210, As006G127200	Om007G280450, Om002G066900
OG0001026	As006G134780	Om002G042950
OG0001026	As009G200810	Om007G300350
OG0001028	As006G143850	Om008G332050
OG0001028	As012G281510	Om006G252270
OG0001029	As006G146260, As007G157960	Om005G204290
OG0001029	As010G235770	Om004G134460
OG0001030	As007G156040	Om005G201880
OG0001030	As010G237920	Om004G138390
OG0001031	As007G156170	Om005G202080
OG0001031	As010G237740	Om004G137500
OG0001032	As010G236850	Om004G135840
OG0001032	As007G157060	Om005G203240
OG0001033	As007G161440	Om002G060000, Om006G269020
OG0001034	As010G233610	Om004G143630, Om005G207300
OG0001035	As010G235450	Om005G227970, Om005G228070
OG0001036	As010G242060	Om004G132850
OG0001036	As010G242050	Om004G132860
OG0001037	As010G243190	Om002G051910
OG0001038	As011G244860	Om002G056970
OG0001039	As011G249640	Om002G064180
OG0001040	As012G271380	Om003G095600
OG0001040	As011G253350	Om002G069240
OG0001041	As011G266160	Om006G264620
OG0001042	As012G270980	Om004G167580, Om003G094970
OG0001043	As012G271170	Om003G095340
OG0001043	As012G271100, As012G271110	Om003G095330
OG0001044	As012G281870	Om006G251940
OG0001051	As011G263630, As005G110590	Om002G082920
OG0001051	As001G014830	Om001G033650
OG0001052	As001G015110, As001G015130, As001G015150	Om001G034140, Om001G033870
OG0001053	As001G019720	Om005G218880
OG0001054	As001G021960, As001G021950	Om005G223780, Om005G223830, Om005G223880, Om005G223800, Om003G098880, Om005G223870
OG0001055	As003G068590, As001G024380	Om005G206280
OG0001056	As002G035820	Om002G053390
OG0001057	As002G045470	Om001G021190, Om003G115800, Om008G321080
OG0001058	As003G055590	Om001G000030
OG0001058	As003G072150	Om001G035410
OG0001059	As004G087590	Om008G357520
OG0001060	As004G094900	Om003G103620
OG0001060	As011G255760	Om002G072890
OG0001061	As011G254950	Om002G071530
OG0001061	As004G095690	Om003G102610
OG0001062	As005G119250	Om006G230770
OG0001063	As006G139260	Om005G212620, Om003G093110
OG0001064	As006G145650	Om008G336220, Om006G254930
OG0001065	As006G145860	Om008G335950
OG0001065	As012G277190	Om006G254630
OG0001066	As006G145870	Om008G335940
OG0001066	As012G277200	Om006G254620
OG0001067	As010G242380	Om004G132270
OG0001067	As007G153140	Om005G197660
OG0001068	As007G153800	Om002G046590
OG0001068	As010G241390	Om004G142650
OG0001069	As010G238510	Om004G138890
OG0001069	As007G155720	Om005G201270
OG0001070	As007G161250	Om002G055400
OG0001070	As010G231200	Om002G084080
OG0001071	As008G183320	Om005G194160, Om001G020980
OG0001072	As009G216760	Om006G261020, Om006G238440
OG0001073	As011G250190	Om007G290400, Om002G064950, Om002G064980
OG0001075	As012G270490	Om003G094180, Om002G061260
OG0001084	As011G267200	Om002G088350
OG0001084	As001G000360	Om001G022740
OG0001085	As011G266420	Om002G087420
OG0001085	As001G001230	Om001G024410
OG0001086	As001G010350	Om001G030820
OG0001087	As001G014350	Om001G033020, Om001G033000
OG0001087	As001G014360	Om002G067760, Om001G033030
OG0001088	As001G026740	Om006G270910, Om006G270920
OG0001089	As001G027320	Om003G100560
OG0001090	As001G027490, As001G027520, As001G027510	Om006G257890, Om004G143350, Om007G276540, Om007G277750, Om006G257910
OG0001091	As010G222350	Om006G261270
OG0001091	As002G042730	Om003G111530
OG0001092	As002G047560	Om006G254090, Om003G117920
OG0001092	As009G210680	Om004G169810
OG0001093	As005G109890	Om006G241070
OG0001093	As002G051090	Om004G162590
OG0001094	As002G053280	Om004G166070
OG0001094	As005G118310	Om006G232040
OG0001095	As004G093100, As004G093080, As004G093090	Om003G104930, Om003G098310
OG0001096	As012G284440	Om003G121440
OG0001096	As005G105060	Om008G327170
OG0001097	As010G224310	Om003G127180, Om003G098920
OG0001097	As005G115430	Om006G246780
OG0001098	As010G221570	Om006G260010
OG0001098	As005G118860	Om006G231290
OG0001099	As006G122020	Om005G178490, Om004G158290
OG0001100	As006G125750	Om007G279170
OG0001101	As009G200370	Om007G301060
OG0001101	As006G133080	Om008G356620
OG0001102	As006G135240	Om002G043570
OG0001102	As009G201520	Om007G299380
OG0001103	As009G207010	Om007G302690
OG0001105	As010G243540	Om004G130780
OG0001105	As007G152280	Om005G196580
OG0001106	As007G153300	Om005G197880
OG0001106	As010G242200	Om006G270430
OG0001107	As007G154350	Om005G199420
OG0001108	As007G155300	Om005G200740
OG0001109	As010G235960	Om004G134660
OG0001109	As007G157790	Om005G204170
OG0001110	As010G232990	Om005G208460
OG0001111	As010G228810	Om005G212400
OG0001111	As007G162030	Om006G235930
OG0001112	As009G207970	Om005G201500, Om005G201320
OG0001113	As009G210730	Om004G169750
OG0001114	As009G211960	Om001G014630, Om004G153880
OG0001115	As010G241340	Om004G142580, Om005G198490
OG0001116	As012G271470	Om003G095740
OG0001116	As011G253270	Om002G069120
OG0001117	As012G274810, As012G274800	Om003G101000, Om003G101110, Om003G101050, Om003G100990, Om006G262870
OG0001124	As011G265980	Om002G086830
OG0001124	As012G276130, As001G000460	Om001G019470
OG0001125	As001G015980	Om007G292200
OG0001125	As002G043210, As004G079080	Om008G338370
OG0001126	As003G070440, As011G256560, As003G070420, As003G070430, As003G070400, As001G020030	Om001G006460
OG0001127	As008G182820	Om005G194820
OG0001127	As001G023280	Om006G274830
OG0001128	As008G183850	Om005G193420
OG0001129	As001G027480	Om006G269590
OG0001130	As001G028120	Om006G268210
OG0001131	As002G048950	Om006G249570
OG0001132	As005G107970	Om004G174860
OG0001132	As002G034660	Om002G052350
OG0001133	As002G047010	Om001G018910, Om001G014980, Om003G117020
OG0001134	As002G050280, As002G050290	Om004G161390
OG0001135	As005G117880	Om006G232510
OG0001135	As002G053400	Om004G166180
OG0001136	As003G056250	Om001G000980
OG0001136	As004G089250	Om008G361480
OG0001137	As004G087840	Om008G358120
OG0001137	As003G057700	Om001G003870
OG0001138	As003G060280	Om001G008770, Om005G215100, Om002G043320, Om008G353710
OG0001139	As003G067410	Om007G288230
OG0001140	As003G072340, As011G264830	Om001G035650
OG0001141	As010G224380	Om006G251500, Om006G266990
OG0001141	As004G077490	Om007G314500
OG0001142	As004G095910	Om003G102330
OG0001143	As012G286700	Om008G322550
OG0001143	As005G102010	Om003G125560
OG0001144	As005G102790	Om008G323400
OG0001146	As005G105940	Om008G327790
OG0001147	As005G110350	Om006G241130, Om005G225200, Om006G242020
OG0001149	As010G220420	Om006G257580
OG0001149	As005G120550	Om006G229310
OG0001150	As009G202000	Om007G298860
OG0001150	As006G135560	Om002G043860
OG0001151	As006G140390	Om002G049430
OG0001151	As009G208040	Om007G303840
OG0001152	As012G282810	Om006G250520
OG0001152	As006G142300	Om008G329540
OG0001153	As006G144900	Om008G337320
OG0001154	As010G238340	Om004G137780
OG0001154	As007G155790	Om005G201420
OG0001155	As007G156380	Om005G202350
OG0001156	As007G159660	Om004G143890
OG0001156	As010G233350	Om005G207750
OG0001157	As008G186030	Om005G190350, Om005G190370, Om005G190400, Om005G190380
OG0001157	As008G186040	Om005G190210
OG0001158	As010G233690	Om005G207150, Om004G143390
OG0001159	As010G236770, As010G236800, As010G236780, As010G236790	Om004G135720, Om004G135760, Om004G135740
OG0001160	As011G245380	Om003G090340
OG0001160	As012G268400	Om002G057670, Om002G057680
OG0001161	As011G253310	Om002G069190
OG0001161	As012G271410	Om003G095640
OG0001162	As012G273060	Om003G098510, Om003G098520
OG0001169	As002G045450, As002G045480	Om003G115820
OG0001170	As022G292050, As022G292140, As048G294600, As012G279330, As012G280590, As009G206290, As001G015180	Om002G047380, Om002G047370
OG0001171	As001G021220	Om005G221900
OG0001172	As001G024140	Om006G273870
OG0001172	As008G183530	Om005G193820
OG0001173	As002G032750	Om001G018260, Om005G194890, Om005G228160
OG0001174	As002G036310	Om002G053840
OG0001175	As002G047920	Om003G118430
OG0001176	As005G118510	Om006G231760
OG0001176	As002G052820	Om004G165430
OG0001177	As002G054880	Om004G168130, Om004G168100
OG0001178	As002G055020	Om004G168330
OG0001178	As009G217930	Om006G236820, Om006G236830, Om006G236840
OG0001179	As003G057140	Om001G002710
OG0001179	As011G256550	Om002G074090
OG0001180	As003G057900	Om001G004420
OG0001180	As004G087660	Om008G357690
OG0001181	As003G059790	Om001G007890
OG0001181	As004G085930	Om008G354480
OG0001182	As004G081230	Om008G340520
OG0001182	As003G069510	Om007G289260
OG0001183	As003G072080	Om001G035210
OG0001183	As011G264670, As010G236540	Om002G084370
OG0001184	As012G287840	Om003G127310
OG0001184	As005G100420	Om008G320610
OG0001185	As012G287600	Om003G126820
OG0001185	As005G100800	Om008G321040
OG0001187	As006G126100	Om007G279310
OG0001187	As008G195000	Om005G182570
OG0001188	As006G128390	Om007G281960
OG0001189	As006G132950	Om002G042490
OG0001189	As009G200010	Om007G301350
OG0001190	As006G137230	Om002G045600
OG0001191	As009G206340	Om007G293620
OG0001191	As006G138540	Om002G047290
OG0001192	As012G274380	Om003G100360
OG0001192	As006G140360	Om002G049400
OG0001193	As012G282070	Om006G251660
OG0001193	As006G143230	Om008G331060
OG0001194	As012G282360	Om006G251130, Om006G251160
OG0001194	As006G143580	Om002G050930
OG0001195	As007G153910	Om005G198660
OG0001196	As010G238520	Om004G138870
OG0001196	As007G155700	Om005G201250
OG0001197	As008G186880	Om006G253160
OG0001200	As009G212830	Om006G241520
OG0001200	As012G268800	Om003G090810, Om003G090720
OG0001200	As012G268790	Om003G090790
OG0001201	As009G216930	Om006G238190
OG0001201	As010G222450	Om006G261620
OG0001202	As010G221230	Om006G259060, Om006G260190
OG0001203	As010G226280	Om003G119970
OG0001204	As010G226550	Om003G101670
OG0001205	As011G247320	Om002G060410
OG0001207	As012G274390	Om003G100370
OG0001207	As011G249080	Om002G063290
OG0001208	As012G273020	Om003G098430
OG0001208	As011G250940	Om002G065980
OG0001209	As011G251200	Om002G066390
OG0001222	As001G003410	Om001G027470
OG0001222	As007G178150	Om004G153200, Om018G373910
OG0001223	As011G262960	Om002G082000
OG0001223	As001G013780	Om001G031810
OG0001224	As008G188670	Om005G187250
OG0001225	As001G025730	Om006G271930
OG0001226	As001G026900	Om006G269860
OG0001227	As002G034420	Om002G052210
OG0001227	As005G107870	Om004G175150
OG0001228	As002G036230, As002G036270, As002G036250, As002G036610, As002G034750, As002G034740, As002G034770, As002G034600, As002G034530, As002G036820, As002G036590, As002G036810	Om006G259380, Om001G007680, Om006G259320, Om006G259420
OG0001229	As002G049770, As002G049710, As002G049750, As002G047650, As002G047640, As002G048550, As002G048440, As002G048410, As002G048430	Om006G249980, Om006G240530, Om006G250030, Om006G249950
OG0001230	As009G218340	Om006G236280
OG0001230	As002G055400	Om004G169010
OG0001231	As009G218430	Om006G236150
OG0001231	As002G055440	Om004G169080
OG0001232	As003G057340	Om001G040030, Om001G003010, Om001G003020
OG0001233	As003G060920	Om001G009770
OG0001233	As004G084810	Om008G352720
OG0001234	As010G238140	Om004G138070
OG0001234	As003G065230	Om007G287480
OG0001235	As010G228510, As011G264390	Om002G083990
OG0001235	As003G071710	Om001G034630
OG0001236	As006G125660	Om008G342170
OG0001237	As005G101170	Om008G321460
OG0001237	As012G287400	Om005G208750, Om003G126420
OG0001238	As012G287280	Om008G321570
OG0001238	As005G101270	Om003G126200
OG0001239	As012G285940	Om003G124340
OG0001239	As005G103030	Om008G323910
OG0001240	As005G103570	Om008G324700, Om008G324730, Om008G324740, Om008G324750, Om008G324760, Om008G324720
OG0001240	As005G103560	Om008G324680
OG0001241	As005G103630	Om008G324900, Om008G324890
OG0001242	As005G108180	Om004G174520
OG0001243	As005G110180	Om006G241260, Om005G212570, Om006G241270
OG0001245	As010G220630	Om006G258010
OG0001245	As005G120340	Om006G229530
OG0001246	As006G122500	Om004G158830
OG0001247	As006G123620	Om004G160440
OG0001247	As006G141330	Om002G050370
OG0001248	As006G129030, As006G129020, As008G192650	Om007G282850, Om007G282830, Om007G282860
OG0001249	As006G130480, As006G148330, As006G148320	Om008G333840, Om008G333770
OG0001250	As009G201070	Om007G299800
OG0001250	As006G135030	Om002G043300
OG0001251	As006G135310	Om002G043620
OG0001251	As009G201580	Om007G299300
OG0001252	As009G202070	Om002G043920
OG0001253	As006G138960	Om002G047790
OG0001253	As009G205910, As007G182060	Om007G294040
OG0001254	As012G271900	Om003G095910
OG0001254	As006G148850	Om008G338050
OG0001255	As010G241660	Om004G133240
OG0001255	As007G153580	Om005G198260
OG0001256	As010G241030	Om004G142260
OG0001256	As007G153970	Om005G198820
OG0001257	As010G240510	Om004G141760
OG0001257	As007G154290	Om005G199300
OG0001258	As007G155250	Om005G200690
OG0001258	As010G238870	Om004G139120
OG0001259	As007G155870	Om005G201530
OG0001259	As010G238270	Om004G137860
OG0001261	As008G183080	Om005G194440
OG0001262	As008G183230	Om005G194320, Om005G194340, Om005G194330
OG0001263	As008G185060	Om005G191580
OG0001264	As011G245280	Om002G057540
OG0001264	As012G268320	Om003G090210
OG0001265	As012G271440	Om003G095680
OG0001265	As011G253290	Om002G069140
OG0001274	As007G178240	Om004G153070, Om018G373760
OG0001274	As001G003270	Om001G027260
OG0001275	As007G156730	Om005G202690
OG0001275	As001G014870	Om001G033720
OG0001276	As001G021540	Om005G222670
OG0001276	As008G186480	Om005G189920
OG0001277	As001G021700	Om005G222970
OG0001278	As001G026660, As001G026620	Om002G076590
OG0001279	As009G200780	Om007G300380
OG0001279	As006G134750	Om002G042920
OG0001280	As001G027620	Om006G269500
OG0001280	As004G078400	Om002G054490
OG0001281	As003G061850	Om005G227890
OG0001281	As004G098150, As001G030710	Om007G318310
OG0001282	As002G032810, As002G048530, As008G190450	Om006G250090
OG0001283	As012G283460	Om003G119930
OG0001283	As002G033170	Om008G328480
OG0001284	As002G040880	Om003G108870
OG0001284	As009G219310	Om006G234900
OG0001285	As002G046220	Om003G116080
OG0001285	As006G132440	Om001G020050
OG0001286	As002G046800, As002G046810	Om003G116830
OG0001287	As006G134550	Om001G018860
OG0001287	As002G047070	Om003G117080, Om004G145930
OG0001288	As002G051870	Om004G163800
OG0001289	As003G055830	Om001G000320
OG0001289	As004G090340	Om008G362210
OG0001290	As004G084370	Om008G351210
OG0001290	As003G061690	Om001G010830
OG0001291	As003G062380	Om001G011760, Om003G100450
OG0001291	As003G062370	Om001G011750
OG0001292	As006G128480	Om007G282020
OG0001292	As003G068450, As006G132720	Om002G042860
OG0001293	As012G285310, As003G069570	Om003G123470
OG0001294	As007G180370	Om004G153730
OG0001294	As003G074750	Om001G039610
OG0001296	As004G079870	Om004G154220, Om006G229750
OG0001297	As004G085780	Om008G354250
OG0001298	As004G095930	Om002G070950
OG0001299	As005G100270	Om008G320350
OG0001300	As012G284530	Om003G121550
OG0001300	As005G104930	Om008G326760
OG0001301	As012G284300	Om003G121140
OG0001301	As005G105210	Om008G326930
OG0001302	As005G119060	Om006G231010
OG0001302	As010G221410	Om006G259630
OG0001303	As006G121100	Om004G157140
OG0001303	As008G199380	Om005G177770
OG0001304	As006G129740	Om005G185790, Om007G283550
OG0001305	As006G138870	Om002G047540
OG0001305	As009G206160	Om007G293740
OG0001306	As009G205940	Om007G294020
OG0001306	As006G138930	Om002G047760
OG0001309	As006G147030	Om008G334740
OG0001309	As012G278060	Om006G253780
OG0001310	As007G153270	Om005G197840
OG0001310	As010G242210	Om004G132480
OG0001311	As009G206930	Om007G293340
OG0001312	As009G209520	Om007G306710, Om009G363690
OG0001313	As010G229670	Om005G211210
OG0001314	As011G245230	Om002G057470
OG0001314	As012G268220, As012G268230	Om003G090100
OG0001315	As011G247950	Om002G061400, Om003G094330
OG0001316	As012G273940	Om003G099760
OG0001316	As011G249510	Om002G064010
OG0001317	As012G272280	Om003G097220, Om002G067410
OG0001328	As001G003730	Om001G027840, Om004G154830
OG0001330	As011G264300	Om002G083840
OG0001330	As001G015630	Om001G035780, Om001G034460
OG0001331	As001G019080	Om005G183170, Om011G365940, Om005G218380, Om011G365640, Om020G374530
OG0001332	As001G019570	Om011G364990, Om020G374420
OG0001332	As008G187940	Om005G188110
OG0001333	As001G021210	Om005G221890
OG0001333	As008G186610	Om005G189740
OG0001334	As008G182480	Om005G195510
OG0001334	As001G022740	Om006G275200
OG0001335	As009G214520	Om004G172750
OG0001335	As002G035960	Om002G053520
OG0001336	As002G037540	Om002G055270, Om004G170320
OG0001337	As002G045530	Om003G115730
OG0001338	As002G045540	Om003G115720
OG0001339	As002G047440	Om003G117680
OG0001341	As009G215560	Om006G239760
OG0001341	As002G052360	Om004G164720
OG0001342	As002G053260	Om004G166010, Om004G166040
OG0001342	As005G118290	Om006G232060
OG0001343	As002G054600	Om004G167750
OG0001343	As009G217260	Om006G237720
OG0001344	As003G056040	Om001G000650
OG0001344	As004G089590	Om008G361820
OG0001345	As003G057260	Om001G002870
OG0001345	As004G088210	Om008G358760
OG0001346	As003G058800	Om001G006330
OG0001347	As006G132770	Om002G042790
OG0001348	As011G264720	Om002G084400
OG0001349	As011G265000	Om002G084970
OG0001349	As003G072460	Om001G035890, Om001G035900
OG0001350	As003G074310	Om001G039050
OG0001351	As004G076770	Om008G323820, Om004G160700
OG0001353	As004G087990	Om008G358330, Om008G358340, Om008G358400, Om008G358390
OG0001354	As012G288470	Om003G128220
OG0001354	As005G099420	Om008G319360
OG0001355	As012G287310	Om003G126260
OG0001355	As005G101250	Om008G321560
OG0001356	As012G284960	Om003G122470
OG0001358	As005G105450	Om008G327570
OG0001358	As012G284050	Om003G120700
OG0001359	As010G224750	Om006G267220
OG0001359	As005G114870	Om006G245720
OG0001360	As006G125720	Om007G279210
OG0001361	As006G125770	Om007G279070
OG0001361	As008G195770	Om005G181940
OG0001362	As011G253020	Om002G068640
OG0001362	As006G130570	Om007G285120
OG0001363	As006G132630, As006G132640	Om001G019430
OG0001364	As009G200770	Om007G300390
OG0001364	As006G134740	Om002G042910
OG0001365	As006G134810	Om002G043000
OG0001365	As009G201450	Om007G300260
OG0001366	As009G201800	Om007G299050
OG0001366	As006G135460	Om002G043770
OG0001367	As009G207270, As006G140140	Om002G049120
OG0001368	As006G147840	Om008G338180
OG0001370	As007G157050	Om005G203190
OG0001370	As010G236860	Om004G135860
OG0001372	As009G202990	Om002G044560, Om007G297490
OG0001373	As012G273140	Om003G099110
OG0001373	As011G250390, As010G231610	Om002G065230
OG0001374	As010G238300	Om004G137820, Om005G201480
OG0001375	As010G243020	Om004G131490
OG0001376	As011G246000	Om002G058580
OG0001376	As012G269100	Om003G091280
OG0001377	As011G248870	Om006G273910, Om006G273900
OG0001378	As012G273750	Om003G099550
OG0001378	As011G249840	Om002G064510
OG0001379	As011G252120	Om002G067520
OG0001379	As012G272210	Om003G097120
OG0001380	As011G252170	Om002G067680
OG0001381	As012G274100	Om005G190250, Om003G099980, Om003G100020, Om008G323730
OG0001391	As004G095000, As004G094980, As004G095020, As001G001800, As004G095040, As004G094950, As004G094970, As004G094990	Om002G055930
OG0001392	As001G014820	Om001G033620
OG0001392	As011G263580	Om002G082830
OG0001393	As011G264210	Om002G083710
OG0001393	As001G015550	Om001G034290
OG0001394	As001G016470, As001G016510, As001G016490	Om001G002780
OG0001395	As001G018280	Om001G017560
OG0001395	As006G134290, As002G047740	Om003G118160
OG0001397	As008G187330	Om005G188800
OG0001397	As001G020160	Om005G219700
OG0001398	As001G022600	Om006G275330, Om005G195600
OG0001399	As001G023670	Om006G274430, Om005G194500
OG0001400	As008G183950	Om005G192980
OG0001401	As001G027400	Om007G316150
OG0001401	As009G201390, As009G201400	Om007G300200
OG0001402	As004G078470	Om007G315710
OG0001403	As001G031800	Om005G225360
OG0001403	As008G184840	Om005G191810
OG0001404	As001G032050	Om005G224870
OG0001404	As008G185230	Om005G191440
OG0001405	As002G036110	Om004G172430
OG0001406	As003G074300	Om001G039040
OG0001406	As002G039650	Om005G206430
OG0001407	As002G044620	Om003G114110
OG0001407	As007G166220	Om001G021830
OG0001408	As002G052850	Om004G165480, Om004G165510
OG0001409	As002G054220	Om006G233910, Om004G167300
OG0001410	As004G089220	Om008G361440
OG0001410	As003G056270	Om001G001020
OG0001411	As003G056550	Om001G001800
OG0001411	As003G056560, As003G056570	Om001G001790
OG0001412	As003G057920	Om001G004560
OG0001412	As004G087620	Om008G357580, Om002G088670
OG0001413	As003G059970	Om001G008190, Om001G008170
OG0001414	As003G062700, As003G062680, As003G062690	Om001G012140, Om001G012130
OG0001415	As004G081370	Om008G340660
OG0001415	As003G069080	Om007G288810, Om005G220630, Om002G077170
OG0001416	As003G070070	Om007G289920
OG0001417	As003G073020	Om001G036800
OG0001417	As007G179140	Om004G155350, Om004G152970
OG0001418	As003G075660	Om001G040730
OG0001418	As007G180870	Om004G155940
OG0001419	As007G162430, As007G154420, As004G077990	Om006G250550, Om003G120220
OG0001420	As004G085760	Om008G354210, Om001G008240, Om001G008280
OG0001421	As004G095760	Om003G102560, Om002G071350
OG0001422	As006G138250	Om002G047000
OG0001422	As009G206810, As005G098800	Om007G293430
OG0001423	As005G102370	Om008G322990
OG0001423	As012G286180	Om003G124870
OG0001425	As010G227210	Om006G268320
OG0001425	As005G112160	Om006G242430
OG0001427	As006G122030	Om004G158300
OG0001427	As008G198950	Om005G178500
OG0001428	As008G197620	Om005G179670
OG0001428	As006G123250	Om004G159920
OG0001429	As006G123290	Om004G159960
OG0001429	As012G288690	Om003G128350
OG0001430	As006G125000	Om005G181350
OG0001431	As008G195730	Om005G181950
OG0001432	As006G127090	Om007G280280
OG0001433	As008G193560	Om005G184040
OG0001433	As006G127740	Om007G281110
OG0001434	As006G128970	Om007G282800
OG0001434	As009G212670	Om004G170770
OG0001435	As006G129550	Om007G283330
OG0001436	As009G203670	Om007G296660
OG0001436	As009G203660, As006G136680	Om002G045150
OG0001437	As009G203910	Om007G296370
OG0001437	As006G136920	Om002G045350
OG0001438	As009G206980	Om007G293250
OG0001438	As006G138070	Om002G046680
OG0001439	As010G239570	Om004G140270
OG0001439	As007G154870	Om005G200110
OG0001440	As007G157740	Om005G204130
OG0001441	As010G235030	Om004G142990
OG0001441	As007G158560	Om005G205040
OG0001442	As007G159300	Om005G207110, Om004G143360
OG0001443	As010G232820	Om005G208910
OG0001444	As007G165570, As007G165610, As007G165550, As007G165560, As007G165580	Om007G286480, Om007G286460, Om007G286440, Om007G286470, Om007G286450
OG0001446	As009G217780	Om004G168070, Om006G237030
OG0001448	As012G268930	Om003G090990
OG0001448	As011G245790	Om002G058270
OG0001449	As011G246410	Om002G059130
OG0001449	As012G269390	Om003G091940
OG0001450	As011G246430, As012G269400	Om003G091950
OG0001451	As012G270080	Om003G093630
OG0001452	As012G270190	Om003G093850
OG0001452	As011G247680	Om002G060900
OG0001453	As012G270500	Om003G094190
OG0001453	As011G247830	Om002G061280
OG0001454	As011G248090	Om002G061580
OG0001454	As012G270620	Om003G094410
OG0001455	As011G248920	Om002G063020
OG0001455	As012G274630	Om003G100700
OG0001456	As011G252110	Om002G067510
OG0001456	As012G272220	Om003G097130
OG0001457	As011G252570	Om002G068010
OG0001457	As012G272010	Om003G096780
OG0001464	As001G001740	Om001G025060
OG0001465	As011G265880	Om002G086750
OG0001465	As001G001900	Om001G025360
OG0001466	As001G003810	Om001G027980
OG0001467	As001G012940	Om007G293930
OG0001468	As001G014310	Om001G032010
OG0001469	As001G016070	Om007G292300
OG0001470	As004G083140	Om008G338210
OG0001470	As001G017590	Om007G276130
OG0001471	As008G186620	Om005G189730
OG0001472	As008G182540	Om005G195390
OG0001473	As001G023680	Om006G274420, Om005G194490
OG0001474	As002G032650, As001G030130	Om005G191010, Om005G190990, Om005G191000
OG0001475	As008G185330	Om005G191310
OG0001475	As001G032140	Om005G224670
OG0001477	As002G032720, As002G032730, As002G032710	Om004G169220
OG0001478	As002G034580, As002G034650, As002G034510	Om002G052340
OG0001478	As005G107960	Om004G174870
OG0001480	As002G042560	Om007G285890
OG0001481	As002G050450	Om004G161670
OG0001482	As002G052160	Om004G164380
OG0001482	As009G215450	Om006G239940
OG0001483	As009G215740	Om006G239530
OG0001483	As002G052570	Om004G165050
OG0001484	As002G052590	Om004G165080
OG0001485	As002G054040	Om004G167070
OG0001486	As002G054240	Om004G167310
OG0001486	As005G116630, As005G116640	Om006G233960
OG0001487	As002G054670	Om006G237600
OG0001488	As003G055970	Om001G000580
OG0001488	As004G089810	Om008G362000
OG0001489	As004G085500	Om008G353670
OG0001489	As003G060290	Om001G008780
OG0001490	As003G069830	Om007G289490
OG0001490	As004G081110	Om008G340460
OG0001491	As003G070370	Om007G296320, Om007G292820, Om007G290420, Om001G003260
OG0001493	As008G195740, As004G082080	Om008G341470
OG0001494	As004G085100	Om008G352950, Om008G352970
OG0001495	As004G090990	Om008G362610, Om008G362600
OG0001496	As004G094470, As011G256240	Om002G073340, Om003G103910
OG0001497	As004G096260	Om003G101750, Om005G195880, Om003G101790, Om003G101760
OG0001498	As004G098070	Om005G181210
OG0001499	As012G288560, As005G099220	Om008G319160
OG0001500	As005G099790	Om008G319880
OG0001500	As012G288210	Om003G127900
OG0001501	As005G100230	Om008G320300, Om003G094850
OG0001502	As005G102480	Om008G323120
OG0001502	As012G286170	Om003G124860
OG0001503	As012G285910	Om003G124290
OG0001503	As005G103110	Om008G323980
OG0001504	As005G103840	Om008G325120
OG0001505	As012G285480	Om003G123720
OG0001505	As005G103960	Om008G325410
OG0001506	As006G142150	Om002G051310
OG0001506	As005G106410	Om004G176920
OG0001507	As005G115720	Om006G246570
OG0001508	As010G222610	Om006G261900
OG0001508	As005G116340	Om006G234200
OG0001509	As010G221530	Om006G259970
OG0001509	As005G118870	Om006G231280
OG0001510	As006G127110	Om007G280310
OG0001510	As008G194330	Om005G183290
OG0001511	As008G191800	Om005G185720
OG0001511	As006G129670	Om007G283470
OG0001512	As006G130250	Om007G284260
OG0001513	As006G134800	Om002G042980
OG0001514	As006G137350	Om002G045810, Om007G295970
OG0001515	As006G139150, As006G139160	Om002G048100
OG0001516	As006G140260	Om002G049260
OG0001517	As012G282480	Om006G251060
OG0001517	As006G142810	Om008G330500
OG0001518	As006G142890	Om008G330630, Om006G251210
OG0001519	As010G239600	Om004G140300
