Orthogroup	Aethionema_saxatile	Erysimum_linariifolium
OG0002043	As007G151940	El002G132700
OG0002044	As007G152130	El002G099590
OG0002044	As010G243920	El004G234220
OG0002045	As007G152270	El002G099790
OG0002045	As010G243670	El004G233900
OG0002046	As007G152480	El002G100080
OG0002046	As010G243220	El004G233420
OG0002047	As007G152970	El002G100480
OG0002047	As010G242530	El006G318640, El004G232630
OG0002048	As007G153870	El002G101570
OG0002048	As010G241130, As010G241120	El004G224720
OG0002049	As010G240580	El004G225240
OG0002049	As007G154260	El002G101920
OG0002050	As007G156920	El002G105240
OG0002050	As010G237010	El004G229390
OG0002051	As007G157010	El002G105340, El006G286880
OG0002052	As007G157110	El002G105480
OG0002052	As010G236740	El004G229650
OG0002053	As007G157350	El002G105860
OG0002053	As010G236420	El004G230010
OG0002054	As007G159150	El002G108190
OG0002054	As010G234050	El004G223020
OG0002055	As007G159360	El002G108520
OG0002055	As010G233640	El004G222370
OG0002056	As007G166910	El006G314210
OG0002057	As007G167240	El006G315130
OG0002059	As008G195200	El002G087320
OG0002060	As010G233260	El004G221830
OG0002060	As009G200610	El001G066630
OG0002061	As009G216670	El001G018860, El001G018870
OG0002062	As009G217750	El007G329820, El007G329830, El007G329810
OG0002063	As009G220000	El001G074760, El007G333100
OG0002064	As010G220250	El001G021680, El001G021690
OG0002065	As010G234940, As010G234930	El004G214730, El004G214740, El004G224040
OG0002066	As010G236630	El004G229800
OG0002067	As010G237600	El004G228660
OG0002068	As010G242610	El004G233130, El004G233160
OG0002069	As010G242720	El004G232850
OG0002069	As010G242710	El004G232820
OG0002070	As010G242940	El002G100290, El004G233050
OG0002071	As011G245310	El005G249360
OG0002071	As012G268370	El002G140580
OG0002072	As012G268720	El002G140310
OG0002072	As011G245540	El005G249510
OG0002073	As012G269780	El002G138200
OG0002073	As011G247000	El005G251220
OG0002074	As012G274260	El003G171430
OG0002074	As011G249220	El005G253920
OG0002075	As011G266590	El005G278430
OG0002075	As011G266600, As011G266610	El005G278420
OG0002076	As012G267730	El002G141500
OG0002077	As012G271430	El002G135980, El005G259250
OG0002078	As012G282170	El001G026910, El001G026900
OG0002079	As012G289110	El003G189980, El003G190010, El003G158210
OG0002091	As007G165330	El001G010150
OG0002091	As007G164550	El002G125430
OG0002093	As011G262560	El005G272590
OG0002093	As001G012790	El003G148210
OG0002094	As001G014220	El003G147920
OG0002094	As011G263260, As011G263270, As011G263250	El005G273560
OG0002095	As011G264280	El005G274540
OG0002095	As001G015590	El003G146990
OG0002096	As001G019160	El004G206830
OG0002096	As008G188390	El002G092130
OG0002097	As001G020040	El004G202840
OG0002097	As008G187890	El002G093120
OG0002098	As001G021050, As001G020990	El004G200370, El004G200750
OG0002099	As008G186590	El002G094030
OG0002099	As001G021230	El004G200220
OG0002100	As008G183510	El002G097520
OG0002100	As001G024090	El001G038540
OG0002101	As004G097680	El003G191870
OG0002101	As001G026130	El001G042000
OG0002102	As008G193520	El007G355110, El005G242970, El007G355130, El007G353200, El007G352390, El005G242960, El008G369920, El003G182590, El007G353230
OG0002103	As001G030420	El004G194030, El003G193580
OG0002104	As001G031080	El004G195460
OG0002104	As004G097980	El003G192650
OG0002105	As008G184590	El002G096250
OG0002105	As001G031610	El004G196800
OG0002106	As001G032220	El004G198260
OG0002106	As008G185350	El002G095380
OG0002107	As012G283100	El001G028010
OG0002107	As002G033430	El002G094300, El006G288480
OG0002108	As005G106800	El001G081440
OG0002108	As002G033880	El005G244140
OG0002109	As002G034790	El001G079700, El005G244980
OG0002110	As002G034840	El005G245030, El001G079580
OG0002111	As005G109170	El001G078450
OG0002112	As009G214170	El001G077370
OG0002114	As002G045310	El007G339520
OG0002115	As006G134480	El003G157470
OG0002115	As002G046920	El007G337190
OG0002116	As002G047280	El007G336630
OG0002116	As006G134680	El003G157700
OG0002117	As002G050550	El001G068620, El002G112830
OG0002118	As009G214970	El001G052280
OG0002118	As002G051600	El001G069930
OG0002119	As002G052490, As009G215680	El001G071180, El001G054300
OG0002120	As009G217000	El001G056460
OG0002120	As002G054310	El001G073230
OG0002121	As009G218370	El007G328990, El007G329010
OG0002121	As002G055430	El001G074490
OG0002122	As004G091050	El007G366550
OG0002122	As003G055700	El003G169760
OG0002123	As004G088050	El007G363710
OG0002123	As003G057490	El003G167170
OG0002124	As004G087910	El007G363370
OG0002124	As003G057570	El003G167020
OG0002125	As003G058390	El003G165630
OG0002125	As004G087050	El007G361500
OG0002126	As004G086210	El001G004750
OG0002126	As003G059150	El003G164790
OG0002127	As004G084210	El001G007950
OG0002127	As003G061890	El003G161170
OG0002128	As004G083870	El001G008460
OG0002128	As003G062310	El002G120320
OG0002129	As004G083170	El001G009630
OG0002129	As003G063110	El002G122170
OG0002130	As003G063540	El004G208500
OG0002131	As003G070530, As007G154020, As007G153030, As008G197820	El001G002660, El002G084390
OG0002132	As003G071840	El003G146700
OG0002132	As011G264530	El005G275040
OG0002133	As003G071900	El003G146650, El003G146550
OG0002134	As003G072310	El003G146150
OG0002135	As003G073010	El005G277020, El003G145380
OG0002136	As003G076020	El003G142310
OG0002137	As004G078390	El003G189310, El003G189280, El003G189320
OG0002138	As004G081040	El006G296960
OG0002138	As004G081050	El006G296970
OG0002139	As004G082130	El007G358090
OG0002140	As004G083590	El001G009130, El002G121050, El001G009140
OG0002141	As004G094840	El003G176640
OG0002141	As011G255830	El005G265930
OG0002142	As012G288880	El001G035340
OG0002142	As005G098660	El003G162780
OG0002143	As005G098750	El006G279840
OG0002144	As005G104820	El006G286500, El006G286490
OG0002145	As005G105110	El006G287090, El001G029530
OG0002146	As010G226030	El001G013180
OG0002146	As005G113570	El001G057700
OG0002147	As005G114740	El007G331070, El007G331080
OG0002148	As005G114970, As010G224580	El001G015630
OG0002149	As005G116000	El007G327490
OG0002150	As005G119390	El001G020150
OG0002151	As005G119890	El007G322920
OG0002151	As011G265280	El005G276810
OG0002152	As006G121340	El001G000740
OG0002152	As008G199170	El002G082860
OG0002153	As008G199090	El002G083030
OG0002153	As006G121420, As006G121450, As006G121430, As006G121440	El001G000610
OG0002154	As006G124450	El007G360140
OG0002154	As008G197060	El002G085740
OG0002155	As006G124840	El007G359650
OG0002155	As008G196370	El002G086120
OG0002156	As006G125510	El006G298820
OG0002156	As011G256260	El005G267200
OG0002157	As006G126130	El006G299850
OG0002157	As008G195150	El002G087390
OG0002158	As006G134420	El003G156540, El003G156530
OG0002159	As006G135630	El005G236860
OG0002159	As009G202140	El001G065090
OG0002161	As006G137820	El005G239230
OG0002162	As011G255490	El005G265250
OG0002162	As006G139680	El005G241270
OG0002164	As006G140400	El007G346030
OG0002165	As006G141860	El001G068190, El005G243620
OG0002166	As012G282620	El001G027410
OG0002166	As006G142540	El006G289200
OG0002167	As006G143510	El006G290320
OG0002168	As006G144410	El006G295090
OG0002168	As012G275860	El001G022720
OG0002169	As006G147220	El006G291560
OG0002170	As007G152430	El002G100030
OG0002170	As010G243340	El004G233510
OG0002171	As007G152690	El002G100200
OG0002171	As010G243080	El004G233240
OG0002172	As007G152710	El002G100220
OG0002172	As010G243060	El004G233220
OG0002174	As007G155630	El002G103540
OG0002175	As007G157000	El004G229480, El002G105330
OG0002176	As007G158590	El002G107680
OG0002177	As007G159160	El002G108210
OG0002177	As010G233980	El004G222920
OG0002178	As010G233400	El004G222120
OG0002178	As007G159520	El002G108710
OG0002179	As010G228080	El004G218050, El004G211970
OG0002179	As007G161940	El002G112740
OG0002181	As007G180290	El003G148070
OG0002182	As009G217880	El007G329620
OG0002182	As008G183490	El002G097780, El002G097610
OG0002183	As008G184110	El002G097090, El001G040130
OG0002184	As008G185390	El002G116610, El002G095320
OG0002185	As008G185450	El004G198340
OG0002186	As008G186630	El004G200250, El002G093990
OG0002187	As008G187990, As008G187980	El002G092580, El005G243640
OG0002188	As008G194770	El002G087750, El002G087760
OG0002189	As009G212710	El005G246920, El001G076220
OG0002190	As009G214050	El005G246030, El001G077670
OG0002191	As009G214800, As009G214810, As009G214820, As009G214830	El005G258840, El001G051810
OG0002192	As010G226340, As010G226370	El001G012460, El001G058390
OG0002194	As012G267860	El002G141260
OG0002194	As011G244820	El005G248840
OG0002195	As011G245320	El005G249370
OG0002195	As012G268390, As012G268380	El002G140570
OG0002196	As012G274610	El003G172030
OG0002196	As011G248930	El005G253460
OG0002197	As011G249530	El005G254360
OG0002197	As012G273930	El002G131660
OG0002198	As011G250040	El005G255000
OG0002198	As012G273610	El002G132290
OG0002199	As011G250200	El005G255290
OG0002199	As012G273540	El002G132350
OG0002200	As011G263110, As011G263100, As011G263120, As011G263140	El005G273420
OG0002201	As011G263850	El005G274290, El005G274300
OG0002202	As011G264220	El005G274610, El005G274620
OG0002203	As011G265590	El005G277210
OG0002204	As011G265910	El003G153160, El005G277590
OG0002205	As012G272390	El002G134400
OG0002206	As012G272700	El002G133890, El005G256700
OG0002207	As012G274600	El003G172010
OG0002207	As012G274590	El003G172000
OG0002208	As012G283550, As012G283560, As012G283510	El001G028400
OG0002209	As012G287010	El006G282980, El001G032860
OG0002219	As011G266500, As001G001030	El003G154520
OG0002220	As001G001360	El003G153860
OG0002221	As001G001410	El003G153730
OG0002221	As011G266270	El005G278030
OG0002222	As001G003170	El003G150310
OG0002223	As001G003220	El003G151970, El001G015650
OG0002224	As007G177890	El006G316730
OG0002224	As001G003870	El003G151380
OG0002225	As001G004480, As007G167250	El003G150840, El006G315160
OG0002226	As001G013710	El008G370540, El003G148490
OG0002226	As011G262760	El005G272910
OG0002227	As011G264310	El005G274490
OG0002228	As004G079560	El006G295710
OG0002228	As001G016920	El002G119770
OG0002229	As001G022380	El001G036150
OG0002230	As001G023120	El001G036960
OG0002231	As001G024520	El001G039180
OG0002231	As008G183860	El002G097200
OG0002232	As001G025040	El001G040240
OG0002232	As008G184120	El002G097100
OG0002233	As004G096740, As001G027220	El001G044040
OG0002234	As004G078540	El003G189650
OG0002234	As001G027460	El001G044400
OG0002236	As004G077180	El003G185480
OG0002237	As004G077070	El003G184770
OG0002237	As001G029300	El004G214050
OG0002238	As001G030680	El004G194400, El003G193230
OG0002239	As001G032110	El004G198120
OG0002240	As002G048910	El007G334560
OG0002240	As002G032600	El003G158530
OG0002241	As005G106870	El001G081350
OG0002241	As002G033920	El005G244200
OG0002242	As002G035430	El005G245530, El001G078550
OG0002243	As002G035850	El004G234460
OG0002244	As002G037570	El007G327650, El005G247440
OG0002245	As007G164410	El003G159480
OG0002245	As002G043270	El007G342810
OG0002246	As002G043800	El007G341880, El007G341840
OG0002246	As002G043790	El007G341890, El007G341850
OG0002247	As002G043870	El007G341700
OG0002248	As002G046280	El007G337910
OG0002248	As006G132480	El003G157050
OG0002249	As002G046860	El007G337230
OG0002249	As006G134430	El003G157420
OG0002250	As006G134310	El003G157820
OG0002251	As002G048040	El007G335860
OG0002251	As006G134130	El003G158040
OG0002252	As003G068140, As003G068150, As002G049250	El007G334040, El003G158680
OG0002253	As002G050570, As007G162200	El002G112860
OG0002254	As002G050950	El001G060910, El001G069200
OG0002255	As005G109480	El001G051670
OG0002255	As002G051240	El001G069520
OG0002256	As004G088090	El007G363770
OG0002256	As003G057450	El003G167250
OG0002257	As003G060360	El003G163270
OG0002257	As003G060350	El003G163280
OG0002258	As003G071400	El002G117560, El006G296290
OG0002259	As003G072530	El003G145880, El003G145890
OG0002260	As003G073150	El001G010470, El003G184440, El003G162820, El003G184980, El003G184950, El003G185020
OG0002261	As003G073200	El003G145190
OG0002262	As003G073490	El003G144880
OG0002262	As007G179650	El006G318710
OG0002263	As003G074930	El003G143360
OG0002263	As007G180440	El006G320120
OG0002264	As003G076150	El006G321640, El006G297160, El003G142130
OG0002265	As004G078230	El003G189110, El001G045450
OG0002266	As004G082310	El007G357680
OG0002267	As004G094550	El003G176890, El003G180880
OG0002267	As011G256140	El005G266960
OG0002268	As011G255280	El005G264580
OG0002268	As004G095460	El003G175120
OG0002269	As004G095670	El003G174860
OG0002269	As011G254970	El005G263150
OG0002270	As004G095780	El005G262350
OG0002271	As011G254180	El005G260990
OG0002271	As004G096150	El003G173930
OG0002273	As012G287020	El001G032880
OG0002273	As005G101670	El006G282950
OG0002274	As005G102930	El006G284460
OG0002274	As012G285990	El001G031790
OG0002275	As005G103040	El006G284670
OG0002276	As005G103070	El006G284680
OG0002276	As012G285930	El001G031600
OG0002277	As012G284270	El001G029360
OG0002277	As005G105240	El006G286890
OG0002278	As012G283950	El001G028850
OG0002278	As005G105690	El006G287540
OG0002279	As005G106590	El001G081630
OG0002279	As006G136200	El005G237470
OG0002280	As010G225820	El001G013710
OG0002280	As005G113800	El001G057330
OG0002281	As010G225790	El001G013790
OG0002281	As005G113820	El001G057290
OG0002282	As005G114390	El007G330640, El007G330630
OG0002283	As005G118460	El007G324760
OG0002284	As006G121770	El002G083260
OG0002285	As006G124180	El001G004210, El001G004190, El001G004200
OG0002285	As008G196900	El002G136810, El002G086190
OG0002286	As006G124410	El007G360160
OG0002287	As008G194720	El002G087810
OG0002287	As006G126840	El006G300410, El006G300400
OG0002288	As006G127520	El006G301350, El002G088600
OG0002289	As008G192670, As006G143160, As006G129000	El002G090020, El002G090050
OG0002290	As006G130740	El006G307480
OG0002291	As006G131820	El003G149630, El006G312770
OG0002292	As009G199850	El001G066870
OG0002292	As006G133070	El005G235470
OG0002293	As006G135020	El005G236150
OG0002293	As009G201080	El001G065990
OG0002294	As009G202150	El001G065080
OG0002294	As006G135640	El005G236870
OG0002295	As006G135770	El001G064580, El005G237020
OG0002296	As006G135950	El005G237220
OG0002297	As009G202760	El001G064150
OG0002297	As006G136000	El005G237270
OG0002298	As006G136540	El005G237820
OG0002299	As009G205760	El001G050710
OG0002299	As006G139080	El005G240660
OG0002300	As009G208050	El007G345980, El007G345990
OG0002301	As006G140570	El005G242210, El007G346550
OG0002302	As006G145700	El006G293460
OG0002302	As012G276990	El001G023920
OG0002303	As010G243690	El004G233970
OG0002303	As007G152260	El002G099780
OG0002304	As007G152800	El002G100300
OG0002304	As010G242920	El004G233040
OG0002305	As010G242620	El004G232750
OG0002305	As007G152910	El002G100420
OG0002306	As007G153120	El002G100650
OG0002306	As010G242410	El004G232480
OG0002307	As007G155170	El002G102920
OG0002307	As010G239080	El004G226980
OG0002308	As007G157100	El002G105470
OG0002308	As010G236750	El004G229620
OG0002309	As007G157880	El002G106340
OG0002309	As010G235820	El004G230680
OG0002310	As007G158020	El002G106460
OG0002310	As010G235690	El004G230850
OG0002311	As007G159800	El002G109270
OG0002311	As010G233250	El004G221800
OG0002312	As010G233170	El004G221700
OG0002313	As007G160900	El002G110910
OG0002313	As010G232070	El004G220160
OG0002314	As007G161970	El002G112760
OG0002314	As010G228200	El004G217990
OG0002315	As007G179120	El003G152630
OG0002317	As008G191700	El002G090560, El007G343380, El002G090590
OG0002320	As009G203290, As008G198660	El002G083470
OG0002321	As009G210450	El005G248290, El001G068110
OG0002325	As011G245000	El005G249080
OG0002325	As012G267960	El002G141030
OG0002326	As011G245270	El005G249320
OG0002326	As012G268280	El002G140680
OG0002327	As012G269490	El002G139200
OG0002327	As011G246480	El005G250670
OG0002328	As011G247870	El005G252340
OG0002328	As012G270520	El002G137520, El002G137510
OG0002329	As011G250400	El005G255500
OG0002329	As012G273150	El002G132570
OG0002330	As012G273200	El005G255710, El002G133030
OG0002331	As011G253230	El005G259080
OG0002331	As012G271530	El002G135840
OG0002333	As011G262900	El003G148020
OG0002334	As011G267380	El005G279220, El003G155660
OG0002335	As012G270830	El002G136920, El005G252850
OG0002336	As012G270850	El002G136900
OG0002337	As012G276000	El001G022820
OG0002338	As012G282580	El001G027390, El006G289280
OG0002339	As012G283640	El006G287990, El001G028500
OG0002348	As001G000290	El005G279150, El003G155500
OG0002349	As001G000470	El003G155320
OG0002349	As011G267120	El005G278880
OG0002350	As011G266520	El003G154580
OG0002350	As001G000960	El005G278330
OG0002351	As007G178570	El006G317660
OG0002351	As001G002790	El003G152290
OG0002352	As007G178130	El006G317030
OG0002352	As001G003450	El003G151730
OG0002353	As001G015080, As001G015070	El003G147220
OG0002354	As001G015950	El002G118680
OG0002354	As004G079070	El006G295420
OG0002355	As001G018710	El004G209620, El005G240150
OG0002356	As008G188060	El002G092510
OG0002356	As001G019650	El004G204590
OG0002357	As001G020450	El001G029440
OG0002357	As008G187120	El002G093460
OG0002359	As008G182860	El002G098550
OG0002359	As001G023380	El001G037270
OG0002361	As004G097560	El003G191760
OG0002361	As001G026270	El001G042240
OG0002362	As001G026570	El001G042600
OG0002362	As004G097290	El003G191330
OG0002363	As001G026840	El001G043020, El003G190900
OG0002364	As001G029260	El004G214540
OG0002365	As001G029650	El004G211800
OG0002365	As004G076890	El003G183930
OG0002366	As001G031630	El002G096130, El004G196940
OG0002367	As002G048220	El007G335420
OG0002367	As002G033030	El003G158140
OG0002368	As002G033500, As002G033510	El006G288350
OG0002369	As002G033860	El006G288930
OG0002370	As005G107180	El001G081010
OG0002371	As002G034980	El005G245120
OG0002371	As005G108380	El001G079260
OG0002372	As002G036740	El005G246400
OG0002372	As009G213590	El001G076930
OG0002373	As002G038720	El005G247940
OG0002374	As002G040940	El003G160090, El007G344620
OG0002375	As003G061380	El003G161880
OG0002375	As002G043310	El007G342740
OG0002376	As007G165370	El003G158980
OG0002376	As002G044030	El007G341440
OG0002377	As006G132320	El003G156770
OG0002377	As002G045900	El007G338380
OG0002378	As006G132580	El003G157250
OG0002378	As002G046560	El007G337590
OG0002379	As002G048600	El007G334930
OG0002380	As005G117870	El007G325470
OG0002380	As002G053410	El001G072110
OG0002381	As002G054200	El001G073090
OG0002381	As005G116610	El007G326910
OG0002382	As002G054990	El001G073990
OG0002382	As009G217890	El007G329610
OG0002383	As004G088440	El007G364250
OG0002383	As003G056960	El003G168040
OG0002384	As004G086770	El007G361090
OG0002384	As003G058560	El003G165450
OG0002385	As004G086410	El001G004480
OG0002385	As003G059010	El003G164980
OG0002386	As004G085290	El001G006050
OG0002387	As007G179590	El006G318600
OG0002389	As003G075930	El003G141700, El006G295660, El006G295670
OG0002390	As004G079660	El006G295770, El002G119960
OG0002392	As004G086380	El003G164970, El001G004530
OG0002393	As004G093590	El003G178570
OG0002393	As011G257490	El005G268410
OG0002394	As004G094020	El003G177800
OG0002394	As011G256530	El005G267670
OG0002395	As011G256330, As004G094350	El003G177520
OG0002396	As011G255320	El005G264740
OG0002396	As004G095390	El003G175150
OG0002397	As004G097460	El003G191590, El001G042350
OG0002398	As005G098570	El006G279660
OG0002398	As012G288950	El001G035390
OG0002399	As005G099170	El006G280110
OG0002400	As005G100690	El006G281650
OG0002400	As012G287710	El001G033850
OG0002401	As005G101260	El006G282480
OG0002401	As012G287290	El001G033130
OG0002402	As005G101600	El006G282880
OG0002402	As012G287030	El001G032900
OG0002403	As005G103330, As010G239880	El004G226070
OG0002404	As005G103860	El006G285390
OG0002404	As009G216560	El001G055880
OG0002405	As005G105420, As005G105440, As005G105430	El004G204430
OG0002406	As005G111770	El001G059550, El001G046900
OG0002407	As010G227090	El001G011720
OG0002408	As010G225340	El001G014100
OG0002408	As005G114180	El007G330400
OG0002409	As005G117920	El007G325410, El007G325420
OG0002410	As010G221420	El001G019790
OG0002410	As005G119040	El007G323940
OG0002411	As007G154010	El002G101710
OG0002411	As010G240950, As006G120970	El004G224930
OG0002412	As006G121270	El002G082990, El001G000800
OG0002413	As008G198970	El002G083180
OG0002414	As008G197140	El002G085210
OG0002414	As006G123790	El001G003680
OG0002415	As006G124690	El007G359810, El002G086080
OG0002416	As006G125040	El007G359070
OG0002416	As008G196270	El002G086280
OG0002417	As006G125930	El006G299220
OG0002417	As008G195600	El002G087020
OG0002418	As006G126740	El006G300310
OG0002418	As008G194760	El002G087780
OG0002419	As008G193350	El002G089160
OG0002419	As006G127970	El006G302060
OG0002420	As006G130200	El006G305970
OG0002421	As006G130420	El002G090990
OG0002422	As006G132600	El007G337560
OG0002423	As006G135160	El005G236330, El001G065800
OG0002424	As009G201660	El001G065490
OG0002424	As006G135400	El005G236560
OG0002425	As006G135440	El005G236610
OG0002425	As009G201750	El001G065410
OG0002426	As006G135510	El005G236680
OG0002426	As009G201930	El001G065300
OG0002427	As006G136130	El005G237400
OG0002427	As009G202970	El001G063900
OG0002428	As006G137190	El005G238480
OG0002428	As009G204040	El001G062490
OG0002430	As006G141940, As011G249920	El005G243730
OG0002431	As012G281710	El001G026210
OG0002433	As010G243470	El004G233690
OG0002433	As007G152330	El002G099940
OG0002434	As010G242390	El004G232460
OG0002434	As007G153130	El002G100670
OG0002435	As010G240000	El004G225960
OG0002435	As007G154550	El002G102360, El004G206980
OG0002436	As007G157780	El002G106230
OG0002436	As010G235980	El004G230570
OG0002437	As007G158170	El002G107110, El002G106790
OG0002438	As007G158300	El002G107220
OG0002439	As010G235050	El004G224090
OG0002439	As007G158550	El002G107610
OG0002440	As007G158900, As007G163640	El001G035970
OG0002441	As007G159190	El002G108260
OG0002441	As010G233950	El004G222870
OG0002442	As010G233340	El004G222020
OG0002442	As007G159670	El002G108880
OG0002443	As007G160590	El002G111370
OG0002443	As010G232560	El004G220580
OG0002444	As010G231580	El004G219550
OG0002444	As007G161090	El002G111750
OG0002445	As007G165530	El003G159010
OG0002446	As007G166970	El003G156370
OG0002447	As007G167050	El003G150140, El006G313990
OG0002448	As007G180990, As010G220930	El001G020660, El002G127920
OG0002449	As008G184400	El002G096500, El001G041040
OG0002450	As008G190820	El002G090830
OG0002451	As008G191270	El002G090710
OG0002452	As008G192830	El002G089860
OG0002453	As008G197420	El001G003270, El002G084870
OG0002454	As008G197430	El002G084860, El001G003240
OG0002455	As009G202980	El001G063910
OG0002456	As009G203970, As011G262850	El001G062570
OG0002458	As009G207430	El001G025520
OG0002459	As009G219300	El001G017590, El001G017580
OG0002460	As009G219940	El001G074710, El007G333050
OG0002462	As010G236970	El004G229430
OG0002463	As010G237210	El004G229130
OG0002464	As010G239170	El004G226900
OG0002465	As010G244070	El002G099440, El004G234350
OG0002466	As011G246020	El005G250120, El002G139820
OG0002467	As011G246390	El005G250560, El002G139450
OG0002468	As012G269940	El002G138520, El002G138640
OG0002468	As011G247340	El005G251690
OG0002469	As012G274440	El003G171620
OG0002469	As011G249070	El005G253690
OG0002470	As011G249540	El005G254370
OG0002471	As011G249710	El005G254560
OG0002471	As012G273810	El002G131870
OG0002472	As011G249830	El005G254680
OG0002472	As012G273760	El002G132000
OG0002473	As011G250030	El005G254990, El002G132280
OG0002474	As011G254520	El005G261440
OG0002475	As011G255010	El003G174970, El005G263640
OG0002477	As011G267110	El005G278870, El003G155310
OG0002478	As012G282460	El005G251420
OG0002478	As012G269880	El002G138420
OG0002479	As012G275080	El006G296500
OG0002480	As012G282910	El006G288700
OG0002494	As011G267440	El005G279490
OG0002494	As001G000070	El003G155770
OG0002496	As007G180720, As001G002930	El006G320630
OG0002497	As001G003770	El003G151460
OG0002498	As001G003890	El003G151370, El006G316700
OG0002499	As001G012010, As001G010780, As005G113250	El001G058250
OG0002500	As001G013480	El003G148300, El005G272750
OG0002502	As004G079730	El006G295840
OG0002503	As008G189320, As001G018590, As001G018580	El002G091630, El004G210050
OG0002504	As001G019510	El004G205240
OG0002504	As008G187560	El002G092800
OG0002505	As008G187280	El002G093310
OG0002505	As001G020220	El004G202180
OG0002506	As001G020640	El004G201320
OG0002506	As008G187030	El002G093580
OG0002507	As008G182970	El001G037710
OG0002508	As001G023960	El001G038290, El001G038360
OG0002508	As008G183400	El002G097870
OG0002510	As008G184420	El002G096480
OG0002510	As001G025530	El001G041110
OG0002511	As001G027330	El001G044210, El001G044190, El001G044490
OG0002512	As001G030940	El001G031800
OG0002512	As012G268260	El002G140700
OG0002513	As002G036190	El005G246100
OG0002513	As009G214160	El001G077390, El001G077380, El001G077400
OG0002514	As009G213190	El001G076750
OG0002515	As009G212380	El001G075860
OG0002515	As002G037470	El005G247310
OG0002516	As002G044340, As007G164890	El003G158820, El003G158850
OG0002517	As002G045300	El003G156320, El007G339560, El007G339590
OG0002518	As002G047320	El007G336590
OG0002518	As006G134700	El003G157720
OG0002519	As002G047340	El003G157740, El007G336550
OG0002520	As002G047720	El007G336170
OG0002521	As002G051220	El001G069500
OG0002522	As005G117400	El007G326040
OG0002523	As003G055760	El003G169650
OG0002524	As004G084950	El001G006770
OG0002524	As003G060810	El003G162670
OG0002525	As004G080270	El001G010210
OG0002525	As003G063820	El002G123890
OG0002526	As003G071140	El002G117200
OG0002526	As007G164530	El003G159400
OG0002527	As004G078670	El006G296150
OG0002527	As003G071590	El002G117670
OG0002528	As011G264850	El005G275510
OG0002528	As003G072370	El003G146060
OG0002529	As003G073400	El003G144970
OG0002529	As007G179540	El006G318530
OG0002530	As003G073920	El003G144600
OG0002531	As003G074720	El006G319950, El003G143610
OG0002532	As007G180670	El006G320540
OG0002532	As003G075500	El002G128460
OG0002533	As003G076500	El001G015030, El001G015020, El003G141860
OG0002534	As004G080330, As004G080320	El001G010270, El001G010260
OG0002535	As004G084730	El001G007110, El003G162450
OG0002536	As004G085350	El001G005980
OG0002537	As004G085480	El001G005800
OG0002538	As004G095080	El003G175970, El003G175980
OG0002539	As004G095560	El003G175060
OG0002539	As004G095510	El003G175070
OG0002540	As004G096620	El003G172750, El003G172760
OG0002541	As012G288940	El001G035380
OG0002541	As005G098580	El006G279670
OG0002542	As005G100920	El006G281940, El001G033580
OG0002543	As005G101310	El006G282560
OG0002543	As012G287170	El001G033060
OG0002544	As005G103360	El006G284960
OG0002544	As008G195470	El001G031430
OG0002545	As005G105890, As005G105610, As005G105930	El006G287730
OG0002547	As012G283750	El001G028670
OG0002547	As005G106150	El006G287920
OG0002548	As005G108450	El006G291740, El001G079150
OG0002549	As005G111540	El002G128910, El008G369100, El006G289730
OG0002550	As010G227270	El001G059480, El001G046890
OG0002551	As010G224410	El001G015900
OG0002551	As005G115520	El007G331580
OG0002552	As005G116390	El007G327080
OG0002553	As005G119590	El007G323340
OG0002553	As010G221160	El001G020410
OG0002555	As006G122230	El001G001470
OG0002555	As008G198480	El002G083720
OG0002556	As006G122430	El001G001710
OG0002556	As008G198330	El002G083870
OG0002557	As006G127180	El002G088270, El006G300960
OG0002559	As006G133130	El005G235510
OG0002559	As009G200430	El001G066790
OG0002560	As009G201240	El001G066120
OG0002560	As006G134910	El005G236030
OG0002561	As009G202670	El001G064310
OG0002561	As006G135920	El005G237190
OG0002562	As009G206940	El001G048660
OG0002562	As006G138150, As006G138130	El005G239710
OG0002564	As006G139890	El005G241490
OG0002565	As006G144620	El006G294800
OG0002566	As006G146200	El006G292910
OG0002567	As007G152810	El002G100310, El004G233020
OG0002568	As010G238200	El004G227920
OG0002568	As007G155930	El002G103940
OG0002569	As010G237410	El004G228890
OG0002569	As007G156520	El002G104640
OG0002570	As007G156590	El002G104770
OG0002571	As010G236920	El004G229470
OG0002571	As007G156990	El002G105310
OG0002572	As007G157610	El004G230370, El002G106060
OG0002573	As010G233140	El004G221650
OG0002573	As007G160020	El002G109580
OG0002574	As007G161070	El002G111730
OG0002574	As010G231590	El004G219530
OG0002575	As008G182790	El002G098630, El002G109730, El005G267440
OG0002576	As008G184230	El002G096680
OG0002576	As008G184220	El002G096690, El006G302490, El006G302460, El001G006380, El003G179980
OG0002577	As008G192700	El002G089980
OG0002578	As008G193730, As008G193760	El002G088730, El002G088740
OG0002580	As008G194790	El006G300270, El002G087730
OG0002581	As008G198400, As008G198390	El002G083820, El002G094730
OG0002582	As009G213250	El004G200330, El006G289290
OG0002583	As010G221700	El001G019480
OG0002583	As009G215910	El001G055030
OG0002584	As009G219490	El007G332610
OG0002585	As010G224650	El001G015510, El007G331300
OG0002586	As010G231040	El004G219360, El001G014990
OG0002587	As010G238060	El037G374570, El002G104040, El004G228030
OG0002588	As010G239220	El004G226850
