Orthogroup	Aethionema_saxatile	Euclidium_syriacum
OG0002796	As005G103720, As005G103730	ESY1_g9641_DN2_SP0_c0.t1, ESY12_g52205_DN2_SP0_c0.t1
OG0002797	As012G284220	ESY1_g11574_DN3_SP0_c0.t1
OG0002797	As005G105270	ESY12_g51304_DN3_SP0_c0.t1
OG0002798	As005G105660	ESY12_g51222_DN3_SP8_c0.t1, ESY1_g11678_DN3_SP7_c0.t1
OG0002799	As005G106610	ESY7_g19600_DN3_SP0_c0.t1
OG0002800	As005G108500	ESY7_g19261_DN3_SP3_c0.t1, ESY7_g19262_DN3_SP0_c0.t1
OG0002801	As005G112300, As010G227050	ESY2_g33947_DN3_SP0_c0.t1, ESY6_g49164_DN3_SP8_c0.t1
OG0002802	As005G112600	ESY6_g49134_DN3_SP8_c0.t1
OG0002803	As010G224010	ESY1_g8305_DN3_SP6_c0.t1
OG0002803	As005G115960	ESY6_g48652_DN3_SP7_c0.t1
OG0002804	As005G119640, As010G221140	ESY1_g9904_DN2_SP0_c0.t1
OG0002805	As006G121540, As006G128670	ESY8_g58739_DN3_SP1_c0.t1
OG0002806	As008G198160	ESY5_g5384_DN3_SP4_c0.t1
OG0002806	As006G122540	ESY20_g13126_DN3_SP0_c0.t1, ESY20_g13125_DN3_SP6_c0.t1
OG0002807	As006G123850	ESY8_g58320_DN3_SP7_c0.t1, ESY5_g5169_DN3_SP0_c0.t1
OG0002808	As006G126320	ESY20_g12679_DN3_SP2_c0.t1
OG0002808	As008G195220	ESY5_g4869_DN3_SP8_c0.t1
OG0002809	As006G127320	ESY8_g58484_DN3_SP8_c0.t1, ESY5_g4714_DN3_SP5_c0.t1
OG0002810	As006G127830	ESY5_g4647_DN3_SP0_c0.t1
OG0002811	As006G128950, As006G128980	ESY8_g58811_DN2_SP0_c0.t1
OG0002812	As006G130890	ESY8_g59043_DN3_SP0_c0.t1
OG0002812	As008G190700	ESY5_g3127_DN3_SP3_c0.t1
OG0002813	As006G132910	ESY3_g32652_DN3_SP7_c0.t1
OG0002814	As009G200910	ESY7_g17426_DN3_SP3_c0.t1
OG0002814	As006G135200	ESY3_g32530_DN3_SP0_c0.t1
OG0002815	As006G136420	ESY3_g32328_DN2_SP0_c0.t1
OG0002815	As009G203420	ESY7_g17165_DN1_SP0_c0.t1, ESY7_g17162_DN2_SP0_c0.t1
OG0002816	As006G137410	ESY3_g32083_DN3_SP0_c0.t1, ESY3_g32084_DN3_SP0_c0.t1, ESY3_g32082_DN3_SP0_c0.t1, ESY3_g32081_DN3_SP0_c0.t1, ESY11_g53906_DN3_SP0_c0.t1
OG0002817	As006G137530	ESY3_g32043_DN3_SP2_c0.t1
OG0002817	As009G204350	ESY7_g17027_DN3_SP8_c0.t1
OG0002818	As006G138270	ESY3_g31826_DN3_SP8_c0.t1
OG0002818	As009G206780	ESY10_g15668_DN3_SP0_c0.t1
OG0002819	As009G204860	ESY7_g16915_DN1_SP1_c0.t1
OG0002819	As006G139750	ESY3_g31573_DN3_SP0_c0.t1
OG0002820	As006G140110	ESY3_g31525_DN3_SP0_c0.t1
OG0002821	As006G140460	ESY3_g31446_DN3_SP0_c0.t1, ESY15_g64350_DN3_SP0_c0.t1
OG0002822	As006G144050	ESY3_g31991_DN3_SP7_c0.t1
OG0002823	As006G144770	ESY1_g10458_DN3_SP5_c0.t1, ESY1_g10454_DN3_SP8_c0.t1
OG0002824	As006G146920	ESY1_g11028_DN3_SP1_c0.t1, ESY9_g45120_DN3_SP1_c0.t1
OG0002825	As010G243950	ESY2_g36548_DN3_SP0_c0.t1
OG0002825	As007G152100	ESY5_g2928_DN3_SP0_c0.t1
OG0002826	As010G243210	ESY2_g36649_DN3_SP0_c0.t1
OG0002826	As007G152490	ESY5_g3003_DN3_SP2_c0.t1
OG0002827	As007G153850	ESY5_g4320_DN3_SP8_c0.t1, ESY2_g35839_DN3_SP7_c0.t1
OG0002829	As007G154360	ESY2_g35909_DN2_SP0_c0.t1
OG0002830	As010G238970	ESY2_g34983_DN3_SP5_c0.t1
OG0002830	As007G155230	ESY5_g4154_DN3_SP6_c0.t1
OG0002831	As010G238770	ESY2_g35007_DN3_SP0_c0.t1
OG0002831	As007G155350	ESY5_g4139_DN3_SP0_c0.t1
OG0002832	As007G156660	ESY5_g3936_DN3_SP8_c0.t1
OG0002832	As010G237250	ESY2_g34764_DN3_SP8_c0.t1
OG0002833	As007G156670	ESY5_g3935_DN3_SP8_c0.t1
OG0002833	As010G237240	ESY2_g34763_DN3_SP8_c0.t1
OG0002834	As007G159790	ESY5_g1924_DN3_SP8_c0.t1, ESY2_g35536_DN3_SP3_c0.t1
OG0002835	As010G232250	ESY2_g35378_DN3_SP8_c0.t1
OG0002835	As007G160850	ESY5_g1291_DN3_SP4_c0.t1
OG0002836	As007G161170	ESY2_g34403_DN3_SP0_c0.t1
OG0002837	As007G161340	ESY2_g34461_DN3_SP0_c0.t1
OG0002840	As007G180880	ESY4_g26824_DN3_SP2_c0.t1, ESY8_g59832_DN3_SP8_c0.t1
OG0002841	As008G195240	ESY20_g12682_DN3_SP0_c0.t1, ESY5_g4873_DN3_SP0_c0.t1
OG0002842	As008G197280, As008G197290, As008G197270	ESY5_g5210_DN3_SP0_c0.t1, ESY5_g5209_DN3_SP0_c0.t1, ESY5_g5212_DN3_SP0_c0.t1, ESY5_g5211_DN3_SP0_c0.t1
OG0002843	As008G197610	ESY5_g5288_DN3_SP3_c0.t1
OG0002843	As009G217030	ESY6_g50159_DN3_SP8_c0.t1
OG0002844	As009G200670	ESY7_g17538_DN3_SP0_c0.t1
OG0002845	As009G204620	ESY7_g16955_DN3_SP8_c0.t1, ESY3_g31550_DN3_SP5_c0.t1
OG0002846	As009G207360	ESY3_g32600_DN3_SP0_c0.t1, ESY10_g15887_DN3_SP0_c0.t1
OG0002847	As009G211870, As009G211860	ESY2_g36408_DN3_SP8_c0.t1
OG0002848	As009G216240	ESY6_g50058_DN3_SP0_c0.t1, ESY1_g9658_DN3_SP0_c0.t1
OG0002849	As010G221970	ESY1_g9624_DN2_SP3_c0.t1
OG0002849	As009G216340	ESY6_g50079_DN3_SP0_c0.t1
OG0002850	As009G218290	ESY6_g49453_DN3_SP0_c0.t1, ESY2_g34122_DN3_SP0_c0.t1
OG0002850	As009G216690	ESY6_g49460_DN3_SP0_c0.t1
OG0002851	As009G216910	ESY6_g50143_DN3_SP0_c0.t1
OG0002851	As010G222370	ESY1_g9311_DN3_SP7_c0.t1
OG0002852	As009G216990	ESY6_g50154_DN3_SP4_c15.t1
OG0002853	As009G218380	ESY6_g49443_DN3_SP0_c0.t1, ESY6_g49438_DN3_SP0_c0.t1
OG0002854	As009G219520, As009G219510, As009G219570, As009G219550	ESY6_g48640_DN3_SP0_c0.t1
OG0002855	As009G219680	ESY3_g32626_DN3_SP0_c0.t1, ESY6_g48628_DN3_SP0_c0.t1
OG0002856	As009G219710, As010G223780	ESY6_g48621_DN3_SP0_c0.t1
OG0002857	As010G221240	ESY1_g12108_DN2_SP0_c0.t1, ESY1_g12100_DN3_SP0_c0.t1, ESY1_g9865_DN3_SP0_c0.t1, ESY1_g9864_DN3_SP0_c0.t1
OG0002858	As010G222090, As010G222100, As010G222110	ESY2_g36309_DN3_SP0_c0.t1
OG0002859	As010G224720	ESY1_g8026_DN3_SP7_c0.t1
OG0002860	As010G226110, As011G263240	ESY4_g25589_DN3_SP0_c0.t1, ESY29_g13597_DN3_SP0_c0.t1
OG0002861	As010G233890	ESY1_g10969_DN3_SP0_c0.t1, ESY2_g35628_DN1_SP0_c0.t1
OG0002862	As010G239100	ESY2_g34968_DN3_SP4_c15.t1, ESY2_g34967_DN2_SP1_c16.t1
OG0002863	As010G243440	ESY2_g36622_DN3_SP0_c0.t1, ESY5_g2980_DN3_SP0_c0.t1
OG0002864	As012G268420	ESY2_g36295_DN3_SP0_c0.t1
OG0002864	As011G245390	ESY3_g30219_DN3_SP1_c0.t1
OG0002865	As012G268900	ESY2_g36251_DN3_SP6_c0.t1
OG0002865	As011G245720	ESY3_g30270_DN3_SP8_c0.t1
OG0002866	As011G245990	ESY2_g36234_DN3_SP7_c0.t1
OG0002867	As011G246110	ESY3_g30333_DN1_SP0_c0.t1
OG0002867	As012G269170	ESY2_g36218_DN3_SP0_c0.t1
OG0002868	As011G247630, As012G270140	ESY3_g30581_DN3_SP7_c0.t1, ESY2_g36983_DN3_SP5_c0.t1
OG0002869	As012G271540	ESY2_g37381_DN3_SP1_c0.t1
OG0002869	As011G252800	ESY3_g29215_DN3_SP7_c0.t1
OG0002872	As011G263520	ESY9_g43541_DN3_SP0_c0.t1
OG0002873	As011G265610	ESY11_g54397_DN3_SP7_c0.t1
OG0002874	As011G267620	ESY11_g55003_DN3_SP8_c0.t1, ESY4_g23918_DN3_SP0_c0.t1
OG0002875	As012G271600	ESY2_g37393_DN3_SP3_c0.t1, ESY3_g29210_DN3_SP2_c0.t1
OG0002876	As012G271660	ESY2_g37347_DN3_SP1_c0.t1
OG0002876	As012G272980	ESY2_g37696_DN3_SP8_c0.t1
OG0002877	As012G281230	ESY1_g10801_DN3_SP6_c0.t1, ESY9_g45478_DN3_SP0_c0.t1
OG0002878	As012G282870	ESY1_g10530_DN3_SP7_c0.t1
OG0002879	As012G283630	ESY1_g11752_DN2_SP0_c0.t1, ESY12_g51119_DN3_SP0_c0.t1
OG0002880	As012G283930	ESY1_g11706_DN3_SP0_c0.t1, ESY7_g18862_DN3_SP0_c0.t1
OG0002881	As012G284190	ESY1_g11830_DN3_SP0_c22.t1
OG0002890	As011G267320	ESY11_g54959_DN3_SP8_c5.t1
OG0002890	As001G000270	ESY4_g23988_DN3_SP3_c0.t1
OG0002891	As007G179070	ESY8_g59518_DN3_SP7_c0.t1
OG0002891	As001G002500	ESY4_g24637_DN3_SP8_c0.t1
OG0002892	As007G176760	ESY8_g59367_DN3_SP1_c0.t1
OG0002892	As001G004370	ESY4_g25045_DN3_SP0_c0.t1
OG0002893	As001G004560	ESY4_g25070_DN3_SP8_c0.t1, ESY8_g59355_DN3_SP3_c0.t1
OG0002894	As010G226250, As001G005380	ESY4_g25179_DN3_SP8_c0.t1
OG0002895	As006G131970	ESY8_g59262_DN3_SP7_c0.t1
OG0002895	As001G005770	ESY4_g25110_DN3_SP2_c0.t1
OG0002896	As001G012130	ESY4_g25824_DN3_SP8_c15.t1
OG0002896	As011G262260	ESY11_g53375_DN3_SP8_c0.t1
OG0002897	As001G014440	ESY4_g25557_DN3_SP0_c0.t1
OG0002897	As011G263470	ESY11_g53837_DN3_SP0_c0.t1
OG0002898	As001G014610	ESY11_g53860_DN1_SP0_c0.t1
OG0002899	As001G016720	ESY16_g61748_DN3_SP8_c0.t1
OG0002900	As004G079980	ESY9_g43993_DN2_SP0_c0.t1
OG0002900	As001G017470	ESY16_g61553_DN2_SP0_c0.t1
OG0002901	As001G021000	ESY2_g33938_DN3_SP8_c0.t1
OG0002902	As001G021920	ESY2_g33803_DN3_SP0_c0.t1
OG0002903	As001G022250	ESY5_g2887_DN3_SP0_c0.t1
OG0002904	As008G182720	ESY5_g2839_DN3_SP0_c0.t1, ESY13_g57091_DN2_SP0_c0.t1
OG0002904	As001G023030	ESY10_g14532_DN3_SP1_c0.t1
OG0002905	As001G026940	ESY21_g55504_DN3_SP0_c0.t1
OG0002906	As001G031240	ESY2_g33450_DN3_SP6_c0.t1, ESY8_g60112_DN3_SP0_c0.t1
OG0002907	As002G049140	ESY6_g48435_DN3_SP8_c0.t1
OG0002907	As002G032540	ESY8_g61239_DN1_SP0_c0.t1, ESY13_g56300_DN3_SP3_c0.t1
OG0002908	As002G034870, As002G049680	ESY5_g4643_DN1_SP0_c0.t1
OG0002909	As002G036070	ESY3_g31131_DN2_SP8_c0.t1
OG0002909	As009G214320	ESY7_g19024_DN3_SP7_c0.t1
OG0002910	As009G212330	ESY7_g18768_DN3_SP0_c0.t1
OG0002910	As002G037490	ESY3_g31289_DN3_SP0_c0.t1
OG0002911	As002G039050	ESY3_g30070_DN2_SP0_c0.t1, ESY7_g17688_DN3_SP0_c0.t1
OG0002912	As002G045830	ESY6_g47504_DN3_SP8_c0.t1
OG0002912	As006G132290	ESY5_g1443_DN3_SP3_c0.t1
OG0002913	As002G046250	ESY6_g47872_DN3_SP0_c0.t1, ESY16_g62281_DN2_SP0_c0.t1
OG0002914	As002G047770, As006G134250	ESY6_g48149_DN3_SP5_c10.t1
OG0002916	As002G050530	ESY13_g57993_DN3_SP0_c0.t1, ESY13_g57991_DN3_SP0_c0.t1
OG0002917	As002G051300	ESY7_g18280_DN3_SP8_c0.t1
OG0002918	As002G054630	ESY6_g50192_DN3_SP0_c0.t1, ESY7_g18665_DN3_SP0_c0.t1
OG0002919	As002G055050	ESY7_g18591_DN3_SP1_c0.t1
OG0002920	As002G055540	ESY7_g18508_DN3_SP2_c0.t1
OG0002921	As003G055710	ESY9_g42433_DN3_SP7_c0.t1
OG0002921	As004G091060	ESY10_g14808_DN3_SP8_c0.t1
OG0002922	As004G089490, As003G056070	ESY9_g42490_DN3_SP8_c0.t1
OG0002924	As004G085010	ESY18_g63004_DN3_SP8_c0.t1
OG0002924	As003G060750	ESY26_g42288_DN2_SP8_c0.t1
OG0002925	As003G060930	ESY26_g42346_DN3_SP7_c0.t1
OG0002926	As003G062430, As004G083750	ESY14_g19724_DN3_SP0_c0.t1, ESY14_g19728_DN3_SP0_c0.t1
OG0002927	As004G083280, As004G083270, As003G062980	ESY14_g20192_DN3_SP7_c0.t1
OG0002929	As003G063510	ESY5_g2322_DN3_SP8_c0.t1
OG0002930	As003G069000	ESY3_g32042_DN3_SP0_c0.t1
OG0002931	As003G071890	ESY4_g25344_DN3_SP0_c0.t1
OG0002932	As003G073230	ESY4_g26392_DN3_SP0_c0.t1
OG0002932	As007G179420	ESY8_g59567_DN3_SP0_c0.t1
OG0002933	As003G073620	ESY4_g26502_DN3_SP8_c48.t1
OG0002934	As003G074190	ESY4_g26595_DN3_SP0_c14.t1
OG0002934	As007G180010	ESY8_g59659_DN2_SP0_c23.t1
OG0002935	As007G180910, As003G075690	ESY7_g19654_DN2_SP0_c0.t1, ESY4_g26822_DN3_SP0_c4.t1
OG0002936	As003G075770	ESY4_g26806_DN3_SP6_c0.t1, ESY4_g21766_DN2_SP0_c0.t1, ESY6_g48252_DN1_SP0_c0.t1
OG0002937	As003G075880, As003G075870	ESY4_g26847_DN3_SP0_c0.t1, ESY4_g26848_DN3_SP0_c0.t1
OG0002938	As003G076270	ESY4_g26920_DN3_SP0_c0.t1
OG0002938	As007G182120	ESY8_g59935_DN3_SP0_c0.t1
OG0002939	As004G080670	ESY19_g41757_DN3_SP0_c75.t1
OG0002940	As004G080970	ESY19_g41724_DN3_SP7_c0.t1
OG0002942	As004G095150	ESY15_g65495_DN3_SP8_c0.t1
OG0002942	As011G255680	ESY3_g28280_DN3_SP8_c0.t1
OG0002943	As004G097800	ESY8_g60140_DN3_SP0_c37.t1
OG0002944	As012G288390	ESY1_g12468_DN3_SP0_c0.t1
OG0002944	As005G099470	ESY12_g52221_DN3_SP5_c0.t1
OG0002945	As011G262010, As005G099620	ESY6_g48577_DN3_SP0_c0.t1
OG0002946	As005G100780	ESY12_g51716_DN3_SP8_c0.t1
OG0002946	As012G287630	ESY1_g12336_DN3_SP1_c0.t1
OG0002947	As012G286270	ESY1_g12045_DN3_SP2_c0.t1
OG0002947	As005G102260	ESY12_g52011_DN3_SP0_c0.t1
OG0002948	As005G102730, As005G102740	ESY12_g52076_DN3_SP0_c0.t1
OG0002949	As005G102770	ESY12_g52079_DN3_SP0_c0.t1, ESY12_g52078_DN3_SP0_c0.t1
OG0002950	As005G102900, As005G120840	ESY6_g50757_DN3_SP2_c0.t1
OG0002951	As005G103310	ESY12_g52161_DN3_SP1_c0.t1, ESY12_g52155_DN3_SP0_c0.t1
OG0002952	As005G103620	ESY12_g52191_DN3_SP0_c0.t1, ESY1_g11862_DN3_SP0_c0.t1
OG0002953	As005G103850	ESY12_g51464_DN3_SP6_c0.t1
OG0002953	As012G285610	ESY1_g11853_DN3_SP0_c0.t1
OG0002954	As005G103920, As012G285590	ESY1_g11197_DN3_SP0_c0.t1
OG0002955	As005G106570	ESY7_g19607_DN3_SP7_c0.t1
OG0002957	As010G225170	ESY1_g7824_DN3_SP8_c0.t1
OG0002957	As005G114440	ESY6_g48897_DN3_SP0_c0.t1
OG0002958	As007G178300, As005G115210, As005G115130, As005G115110	ESY8_g60713_DN1_SP0_c0.t1
OG0002959	As005G118360	ESY6_g50519_DN3_SP8_c0.t1
OG0002960	As005G119270	ESY6_g50401_DN3_SP0_c31.t1
OG0002961	As005G120200	ESY6_g50279_DN3_SP3_c0.t1, ESY1_g10074_DN3_SP0_c0.t1
OG0002962	As006G120960	ESY8_g58558_DN3_SP0_c0.t1
OG0002963	As006G122220	ESY20_g13073_DN1_SP0_c0.t1
OG0002963	As008G198490	ESY5_g5453_DN1_SP0_c0.t1
OG0002964	As006G123120	ESY20_g13219_DN3_SP0_c13.t1
OG0002965	As006G124330	ESY8_g58208_DN3_SP0_c0.t1
OG0002966	As008G197040	ESY5_g5158_DN3_SP2_c0.t1
OG0002966	As006G124460	ESY8_g58164_DN3_SP8_c0.t1
OG0002967	As006G124650	ESY8_g58128_DN3_SP0_c0.t1
OG0002967	As008G196470	ESY5_g5064_DN3_SP5_c0.t1
OG0002968	As008G196450	ESY5_g5062_DN3_SP8_c0.t1
OG0002968	As006G124680	ESY8_g58121_DN3_SP8_c0.t1
OG0002969	As008G196060	ESY5_g4989_DN3_SP7_c0.t1
OG0002969	As006G125390	ESY20_g12830_DN2_SP3_c0.t1
OG0002970	As006G125530	ESY20_g12805_DN3_SP0_c0.t1
OG0002970	As008G195970	ESY5_g4970_DN3_SP8_c0.t1
OG0002971	As008G195980	ESY5_g4972_DN3_SP3_c0.t1
OG0002971	As006G125540	ESY20_g12808_DN3_SP0_c0.t1
OG0002972	As008G195210	ESY5_g4868_DN3_SP8_c0.t1
OG0002972	As006G126330	ESY20_g12678_DN3_SP3_c12.t1
OG0002973	As008G193960	ESY5_g4704_DN3_SP0_c0.t1
OG0002973	As006G127510	ESY8_g58533_DN3_SP0_c0.t1
OG0002974	As006G129330	ESY8_g58860_DN3_SP5_c0.t1, ESY5_g4496_DN3_SP3_c0.t1
OG0002975	As006G132020	ESY4_g25140_DN3_SP8_c0.t1, ESY8_g59268_DN3_SP6_c0.t1
OG0002976	As006G133020	ESY7_g17599_DN3_SP8_c0.t1, ESY3_g32642_DN3_SP1_c0.t1
OG0002977	As006G133120	ESY3_g32635_DN3_SP0_c0.t1
OG0002977	As009G200420	ESY7_g17571_DN3_SP8_c0.t1
OG0002978	As006G134070	ESY6_g48649_DN3_SP0_c0.t1, ESY7_g18129_DN3_SP1_c0.t1
OG0002979	As006G134610	ESY6_g48030_DN3_SP8_c0.t1, ESY16_g62425_DN3_SP0_c0.t1
OG0002980	As006G138640	ESY3_g31782_DN3_SP6_c0.t1
OG0002980	As009G206310	ESY10_g15571_DN3_SP7_c0.t1
OG0002981	As006G139720	ESY3_g31580_DN3_SP0_c0.t1
OG0002982	As006G144850	ESY18_g63544_DN1_SP0_c0.t1
OG0002983	As006G145220, As012G276680	ESY1_g11167_DN3_SP7_c0.t1
OG0002985	As006G145790, As006G145780	ESY1_g11116_DN3_SP8_c0.t1
OG0002986	As006G146440, As006G146490, As012G283220, As012G283210	ESY7_g18320_DN3_SP0_c0.t1
OG0002987	As007G152650	ESY5_g3022_DN3_SP0_c0.t1, ESY5_g3050_DN3_SP0_c0.t1, ESY5_g3017_DN3_SP0_c0.t1, ESY5_g3020_DN3_SP0_c0.t1
OG0002988	As010G238160	ESY2_g36038_DN3_SP0_c0.t1
OG0002988	As007G155970	ESY5_g4037_DN3_SP6_c0.t1
OG0002990	As010G229850, As007G161280	ESY2_g34450_DN3_SP8_c0.t1
OG0002991	As007G165450	ESY13_g56804_DN3_SP6_c0.t1, ESY13_g56802_DN3_SP3_c0.t1
OG0002992	As008G185970	ESY7_g19108_DN2_SP0_c0.t1, ESY5_g3676_DN3_SP0_c0.t1
OG0002993	As008G188150	ESY3_g31651_DN2_SP0_c0.t1, ESY1_g12520_DN3_SP0_c0.t1, ESY5_g5356_DN2_SP0_c0.t1, ESY5_g3332_DN2_SP0_c1.t1
OG0002995	As008G197220	ESY5_g5192_DN3_SP0_c0.t1
OG0002996	As009G211470	ESY6_g49865_DN2_SP0_c0.t1
OG0002996	As009G205440	ESY10_g15295_DN2_SP2_c0.t1
OG0002997	As009G207200	ESY10_g15834_DN3_SP5_c0.t1, ESY10_g15830_DN3_SP7_c0.t1
OG0002998	As009G211120	ESY7_g18467_DN3_SP0_c0.t1
OG0002999	As009G213270	ESY7_g18915_DN3_SP0_c0.t1
OG0003000	As009G217860	ESY6_g49538_DN3_SP0_c0.t1, ESY2_g33530_DN3_SP0_c0.t1
OG0003001	As009G218700	ESY6_g49384_DN3_SP8_c17.t1
OG0003002	As010G225190	ESY6_g48898_DN3_SP0_c0.t1
OG0003003	As010G241350	ESY5_g4334_DN3_SP7_c0.t1, ESY2_g35810_DN3_SP7_c0.t1
OG0003004	As011G246950	ESY2_g36882_DN3_SP1_c0.t1, ESY2_g36891_DN3_SP2_c0.t1, ESY2_g36899_DN3_SP0_c0.t1
OG0003005	As012G274670	ESY2_g38580_DN3_SP7_c0.t1
OG0003005	As011G248900	ESY3_g29910_DN3_SP8_c0.t1
OG0003006	As012G274340	ESY2_g38379_DN3_SP8_c0.t1
OG0003006	As011G249140	ESY3_g29876_DN3_SP8_c0.t1
OG0003007	As011G249150	ESY2_g38363_DN3_SP8_c0.t1, ESY3_g29873_DN3_SP6_c0.t1, ESY3_g29875_DN3_SP0_c0.t1
OG0003008	As012G273130	ESY2_g37931_DN2_SP0_c0.t1, ESY2_g37929_DN1_SP0_c0.t1
OG0003008	As011G250370	ESY3_g29692_DN3_SP0_c0.t1
OG0003009	As011G251640	ESY3_g29398_DN3_SP0_c0.t1
OG0003009	As012G272550	ESY2_g37569_DN3_SP8_c0.t1
OG0003011	As011G255440	ESY3_g28382_DN3_SP3_c0.t1
OG0003012	As011G256320, As011G256300	ESY2_g34711_DN3_SP0_c0.t1
OG0003013	As011G263620	ESY11_g53893_DN3_SP4_c0.t1, ESY4_g25489_DN3_SP6_c0.t1
OG0003014	As011G264920	ESY11_g54178_DN3_SP7_c0.t1, ESY4_g24993_DN2_SP0_c0.t1
OG0003015	As011G266410	ESY11_g54672_DN3_SP8_c0.t1
OG0003016	As012G271370	ESY2_g37231_DN3_SP5_c0.t1, ESY3_g29101_DN3_SP1_c0.t1
OG0003017	As012G271460, As012G284290	ESY1_g11555_DN3_SP0_c0.t1
OG0003018	As012G281520	ESY1_g10777_DN3_SP0_c0.t1, ESY9_g45509_DN3_SP0_c0.t1
OG0003019	As012G282450, As012G282290	ESY3_g30512_DN3_SP4_c0.t1, ESY2_g36925_DN3_SP0_c0.t1
OG0003020	As012G285870	ESY12_g52132_DN3_SP6_c0.t1, ESY1_g11911_DN3_SP6_c0.t1
OG0003033	As001G000700	ESY4_g24190_DN3_SP3_c0.t1
OG0003033	As011G266880	ESY11_g54839_DN3_SP0_c0.t1
OG0003034	As002G038300, As001G002000, As001G001990, As001G001960, As001G001980, As001G001970	ESY11_g54835_DN3_SP0_c0.t1
OG0003036	As001G012870	ESY4_g25721_DN3_SP0_c0.t1, ESY11_g53641_DN3_SP0_c0.t1
OG0003037	As001G014600	ESY4_g25542_DN3_SP0_c0.t1
OG0003038	As001G015900	ESY16_g61955_DN3_SP0_c0.t1
OG0003039	As008G187230, As001G020340	ESY2_g34047_DN3_SP8_c0.t1
OG0003040	As001G020420	ESY2_g34037_DN3_SP0_c0.t1, ESY2_g34036_DN3_SP0_c0.t1
OG0003041	As001G021030	ESY2_g33941_DN2_SP0_c0.t1
OG0003041	As008G186920	ESY5_g3528_DN3_SP0_c0.t1
OG0003042	As001G026770	ESY21_g55705_DN3_SP0_c0.t1
OG0003043	As001G029520, As004G076940	ESY2_g34379_DN3_SP8_c0.t1
OG0003044	As008G185100	ESY5_g3789_DN3_SP4_c0.t1
OG0003044	As001G031920	ESY2_g33632_DN3_SP7_c0.t1
OG0003045	As002G037950, As002G037960	ESY3_g31297_DN3_SP0_c0.t1
OG0003046	As002G045170, As002G045180	ESY6_g47408_DN3_SP8_c0.t1, ESY4_g23857_DN3_SP2_c0.t1
OG0003047	As002G053800	ESY7_g17846_DN3_SP0_c0.t1
OG0003048	As005G116650	ESY6_g49643_DN3_SP8_c0.t1
OG0003048	As002G054230	ESY7_g17769_DN3_SP7_c0.t1
OG0003049	As003G055940	ESY9_g42464_DN3_SP1_c0.t1
OG0003049	As004G089930	ESY10_g14873_DN3_SP8_c0.t1
OG0003050	As004G085000	ESY18_g63006_DN3_SP0_c0.t1
OG0003050	As003G060760	ESY26_g42290_DN3_SP0_c0.t1
OG0003051	As003G060980	ESY26_g42362_DN3_SP8_c0.t1
OG0003051	As004G084740	ESY18_g63154_DN3_SP7_c0.t1
OG0003052	As004G080140	ESY19_g41596_DN3_SP0_c0.t1
OG0003052	As003G063420	ESY14_g20595_DN3_SP3_c0.t1
OG0003053	As004G080710	ESY1_g6741_DN3_SP8_c0.t1
OG0003053	As003G064290	ESY14_g21233_DN3_SP6_c0.t1
OG0003054	As003G065530, As004G082430	ESY1_g6203_DN3_SP1_c0.t1
OG0003055	As004G081510	ESY5_g3418_DN3_SP0_c0.t1
OG0003055	As003G068720	ESY4_g22809_DN3_SP7_c0.t1
OG0003056	As003G068860	ESY4_g22668_DN3_SP0_c0.t1
OG0003057	As003G071950	ESY4_g25316_DN3_SP0_c0.t1
OG0003057	As011G264610	ESY11_g54084_DN3_SP0_c0.t1
OG0003058	As007G179280, As003G073190	ESY8_g59550_DN3_SP4_c0.t1
OG0003059	As004G078830	ESY9_g43863_DN3_SP5_c0.t1
OG0003059	As004G087400	ESY7_g16707_DN3_SP1_c0.t1
OG0003060	As004G085950	ESY7_g16368_DN3_SP8_c0.t1
OG0003061	As004G091040	ESY10_g14803_DN3_SP4_c0.t1
OG0003062	As004G091700	ESY17_g39122_DN3_SP0_c0.t1, ESY11_g52793_DN3_SP0_c12.t1
OG0003063	As011G256870	ESY3_g27834_DN3_SP7_c0.t1
OG0003063	As004G093720	ESY7_g19373_DN3_SP7_c0.t1
OG0003064	As004G095360	ESY3_g28475_DN3_SP8_c0.t1
OG0003065	As004G096320	ESY2_g38888_DN3_SP0_c0.t1
OG0003066	As005G098610, As012G288910	ESY2_g33381_DN3_SP8_c20.t1
OG0003068	As005G103410	ESY12_g52169_DN3_SP8_c0.t1
OG0003069	As005G106180	ESY12_g51139_DN2_SP6_c0.t1
OG0003069	As012G283700	ESY1_g11737_DN3_SP0_c0.t1
OG0003070	As010G226890, As005G112350	ESY6_g49158_DN3_SP0_c0.t1
OG0003071	As010G225530, As005G114060	ESY6_g48948_DN3_SP0_c0.t1
OG0003073	As005G117990, As006G139190	ESY3_g31637_DN3_SP2_c0.t1
OG0003074	As010G221490	ESY1_g9758_DN3_SP0_c0.t1
OG0003074	As005G118890	ESY6_g50442_DN3_SP0_c0.t1
OG0003075	As005G118970, As010G221440	ESY1_g9784_DN3_SP0_c0.t1
OG0003076	As005G119750	ESY6_g50340_DN3_SP8_c0.t1, ESY1_g9941_DN3_SP8_c0.t1
OG0003077	As005G120640	ESY6_g50226_DN2_SP0_c0.t1
OG0003078	As005G120710, As005G120690	ESY1_g10132_DN3_SP8_c0.t1
OG0003079	As006G121290	ESY20_g12983_DN3_SP0_c0.t1
OG0003079	As008G199130	ESY5_g5526_DN3_SP7_c0.t1
OG0003080	As006G127070	ESY8_g58434_DN3_SP0_c8.t1
