Orthogroup	Aethionema_saxatile	Arabidopsis_arenosa
OG0003749	As006G141820	jg24762
OG0003750	As006G143250	jg33642, jg15505
OG0003752	As007G153770, As007G153790	jg30258
OG0003753	As007G158090	jg30763
OG0003754	As007G160060	jg30993, jg2616
OG0003755	As007G160580	jg31082, jg32197
OG0003756	As007G162820	jg10043, jg10044
OG0003758	As007G180320	jg16669
OG0003759	As008G182680	jg29960
OG0003762	As008G195820	jg18398
OG0003763	As008G196490	jg28730
OG0003764	As008G198650	jg28494
OG0003765	As009G201670	jg18792, jg5414
OG0003766	As009G201910	jg5427
OG0003767	As009G217110	jg6192, jg5775
OG0003768	As009G219380	jg23256
OG0003769	As009G220100	jg22735
OG0003770	As010G223730	jg14521, jg14520
OG0003771	As010G223770	jg14518, jg22778
OG0003772	As010G226150	jg8991, jg14162, jg14164, jg14163
OG0003773	As010G232260	jg2504
OG0003774	As010G232640	jg2536, jg2537
OG0003775	As010G241780, As010G241710	jg3523
OG0003776	As010G242140	jg3563
OG0003777	As010G242360	jg3586, jg31942
OG0003778	As011G251910, As012G272310, As012G272320	jg26129
OG0003779	As011G252740	jg26203
OG0003780	As011G253670	jg26315, jg33330
OG0003781	As011G256130	jg5750, jg26682
OG0003782	As011G260900	jg27033
OG0003784	As012G268240	jg33740
OG0003785	As012G268460	jg33702, jg33703, jg33701
OG0003786	As012G271300	jg33339
OG0003788	As012G278110	jg15340
OG0003790	As012G282770	jg15598
OG0003791	As012G283110	jg15636, jg19372
OG0003792	As012G283540, As012G283530	jg15683
OG0003823	As001G000130	jg9612
OG0003824	As001G003930	jg9241
OG0003826	As001G013420	jg27035
OG0003827	As001G014340	jg8887, jg27701
OG0003829	As004G079150	jg18690
OG0003829	As001G016050	jg31788
OG0003830	As001G018400	jg1540
OG0003831	As008G187710, As001G019740	jg29372, jg1157, jg1159
OG0003832	As001G022590	jg21726, jg12935
OG0003833	As006G128100, As001G029870	jg18084
OG0003834	As001G030450	jg378
OG0003835	As001G031760	jg605
OG0003836	As002G034190	jg24855, jg3943
OG0003837	As002G035690	jg4780
OG0003838	As002G043340	jg21808, jg21799, jg21797
OG0003839	As002G046090	jg22223
OG0003840	As002G047330	jg22391
OG0003841	As006G134090	jg9817
OG0003842	As002G050720	jg5106
OG0003843	As002G051750	jg4985
OG0003844	As004G088690, As003G056700	jg20449
OG0003846	As003G061760, As003G061770	jg10126
OG0003847	As003G061780	jg10125
OG0003848	As003G062940, As003G062930	jg32035
OG0003849	As004G083190, As003G063100	jg32068
OG0003850	As003G066510	jg32743
OG0003851	As003G070320	jg31526
OG0003852	As003G072180	jg8745
OG0003853	As003G073840	jg8577, jg8578
OG0003854	As004G077370	jg12240
OG0003855	As004G080850	jg32643, jg7059
OG0003856	As004G080910	jg2288, jg32606
OG0003858	As004G082850	jg21138, jg33155
OG0003859	As004G084640	jg7556, jg7554
OG0003860	As004G085360, As005G102330	jg19843
OG0003861	As004G088000	jg20535
OG0003862	As004G088680	jg20451, jg10756
OG0003863	As004G090680	jg20271
OG0003864	As012G288630	jg16343
OG0003864	As005G099140	jg20187
OG0003865	As005G100390	jg20068
OG0003868	As005G114040	jg23009
OG0003869	As005G114220	jg22989, jg22990
OG0003870	As005G114300	jg22982
OG0003871	As005G114600, As010G224930	jg22942, jg3189
OG0003872	As006G121350	jg8178, jg8180
OG0003873	As006G122480	jg8079
OG0003874	As006G123540	jg7849
OG0003876	As006G126090	jg18221
OG0003878	As006G139920	jg24569
OG0003880	As006G148820, As006G148810	jg33748, jg33775, jg33800
OG0003881	As007G152470	jg3670
OG0003881	As010G243230	jg30091
OG0003882	As007G154510	jg30350
OG0003883	As007G158890	jg29302
OG0003884	As007G160570	jg31081
OG0003885	As007G163750	jg9981, jg21728
OG0003886	As007G178360	jg9305
OG0003887	As008G182590	jg29970
OG0003888	As008G189140	jg30876
OG0003889	As008G189240	jg29252
OG0003890	As008G194200	jg18201
OG0003891	As009G201620	jg5408
OG0003892	As009G202890	jg24563
OG0003893	As009G204140	jg5669
OG0003894	As009G206320	jg6653
OG0003895	As009G211380, As009G207230, As009G207290, As009G210320	jg16357
OG0003896	As009G207440	jg21580, jg2347
OG0003897	As009G212730	jg4353
OG0003898	As009G214230	jg4252
OG0003899	As009G215120	jg26913, jg6452
OG0003900	As010G221610	jg14822, jg23586
OG0003902	As010G224000	jg14505
OG0003903	As010G231110	jg8463
OG0003904	As010G236930	jg3315
OG0003905	As010G237050	jg3305
OG0003907	As010G237560, As010G237570	jg3248
OG0003908	As010G242240	jg3574
OG0003909	As010G242780	jg3630
OG0003910	As011G246310	jg25432
OG0003912	As011G247410	jg25555
OG0003912	As012G269980	jg33516
OG0003914	As012G270820	jg33410
OG0003914	As011G248290	jg25655
OG0003916	As011G251860	jg26122
OG0003917	As011G252470	jg26173
OG0003918	As011G252890	jg26219, jg26218
OG0003919	As011G253850	jg26377
OG0003920	As011G254760	jg26519
OG0003921	As011G266120	jg28131, jg7180
OG0003922	As012G269750	jg33552, jg2920, jg33551
OG0003923	As012G274150	jg32849, jg32872, jg32871, jg32850
OG0003924	As012G278770	jg15079
OG0003925	As012G281550	jg15460, jg15458
OG0003926	As012G287150	jg16167
OG0003948	As001G001850	jg9424
OG0003948	As011G265930	jg28111
OG0003949	As001G002710	jg9346
OG0003950	As001G016530	jg31838
OG0003951	As001G018200, As001G018180, As011G264680	jg11012
OG0003952	As001G018840	jg1448
OG0003953	As001G021240	jg881
OG0003954	As001G023250	jg13020
OG0003955	As001G023780	jg13096
OG0003956	As001G026420	jg20031, jg20030
OG0003957	As001G026450	jg13508
OG0003958	As004G077260	jg12205
OG0003958	As001G029020	jg2058
OG0003959	As002G033730	jg19340
OG0003960	As009G214470, As002G035970	jg4208
OG0003961	As002G036570	jg25039
OG0003961	As009G213780	jg4285
OG0003962	As002G037220	jg25093
OG0003963	As002G040080	jg539
OG0003964	As002G040140	jg10674
OG0003965	As002G042610	jg21742
OG0003967	As002G051060	jg5062
OG0003968	As002G051630	jg4994
OG0003969	As002G051810	jg4979
OG0003970	As002G052470	jg4904
OG0003971	As002G054270	jg4709, jg15145
OG0003972	As002G055130	jg24963, jg4607
OG0003973	As003G055920, As004G089980	jg20330
OG0003974	As003G057050	jg15185, jg10733
OG0003975	As003G058840	jg10486
OG0003976	As003G060960	jg10228
OG0003977	As012G276670, As003G066850	jg15242
OG0003978	As006G144580, As003G069520	jg31416
OG0003979	As003G071610, As003G071620, As003G071630	jg32420
OG0003980	As003G072720	jg8682
OG0003981	As003G072830	jg8673
OG0003982	As003G073740	jg8586
OG0003983	As003G074540	jg16675
OG0003984	As004G083600	jg7370, jg7373
OG0003985	As004G085790	jg20755, jg7731
OG0003986	As004G088130	jg20519
OG0003986	As004G088120	jg20520
OG0003987	As011G257790	jg26874
OG0003987	As004G093320	jg11634
OG0003988	As004G095470	jg11336, jg26578
OG0003989	As004G096680	jg11141
OG0003990	As004G097720	jg12729
OG0003991	As005G099930	jg16292, jg20113
OG0003993	As005G101180, As006G126880	jg32488, jg16188
OG0003994	As005G103050, As007G160380	jg31049
OG0003995	As005G103140	jg19752
OG0003996	As005G103420	jg19725
OG0003997	As005G106470	jg3858
OG0003998	As005G107400	jg3966
OG0004000	As010G225280	jg14300
OG0004001	As005G115180	jg22871
OG0004002	As005G116460	jg23326
OG0004003	As006G130470, As005G117650	jg17667
OG0004004	As006G121940	jg8116
OG0004006	As006G130440	jg17674
OG0004007	As006G137920	jg24357, jg24356
OG0004008	As006G138240, As009G206850	jg24401
OG0004010	As006G141640, As009G212110	jg24746
OG0004011	As006G142700	jg19274
OG0004011	As012G282540	jg15571
OG0004012	As006G143040	jg19226
OG0004013	As012G282260, As006G143070	jg15534, jg31018, jg20332
OG0004014	As006G143270	jg1912, jg32449, jg32458
OG0004015	As006G143670	jg19134
OG0004016	As006G143900	jg19160
OG0004017	As006G145950	jg18879
OG0004019	As006G147200	jg19050
OG0004021	As006G148300	jg15050, jg19033
OG0004022	As007G152020, As007G177620	jg17021
OG0004024	As007G162480, As007G152540	jg30126
OG0004025	As007G159370	jg30889
OG0004026	As007G163630	jg9984, jg21709
OG0004027	As007G164540	jg9946, jg21814
OG0004028	As007G165260	jg9909
OG0004030	As007G178020	jg16928
OG0004031	As011G245950, As007G180840, As007G180850	jg18716
OG0004032	As007G182130	jg16496, jg16499
OG0004033	As008G185010	jg29663, jg664
OG0004034	As008G187450	jg29433
OG0004035	As008G191840	jg29138, jg29121
OG0004036	As008G194270	jg21275
OG0004037	As008G197570	jg28606, jg28607
OG0004038	As009G201890, As009G201900	jg5426
OG0004039	As009G205460	jg6553
OG0004040	As009G206590	jg6670, jg6669
OG0004041	As009G217840, As009G206830	jg23061, jg23063
OG0004043	As009G208000	jg21541
OG0004045	As009G215710	jg6365
OG0004046	As009G216920	jg6216, jg14707
OG0004047	As009G216980	jg6210
OG0004048	As009G217550	jg4661, jg23023
OG0004049	As009G218170	jg23102
OG0004050	As010G225880	jg14238
OG0004051	As010G226350	jg14134
OG0004052	As010G234160	jg2749
OG0004053	As010G235210	jg3501
OG0004054	As011G244730	jg25245
OG0004055	As011G245670	jg25365, jg25364
OG0004056	As012G274720, As011G248850	jg11106
OG0004057	As011G249280	jg25799
OG0004058	As011G249290	jg25800
OG0004060	As011G250180	jg25933, jg16629
OG0004061	As011G250270	jg25940
OG0004062	As011G250550, As011G250570, As011G250600, As011G250560	jg25980
OG0004063	As011G250770	jg26001
OG0004064	As012G271950	jg33207
OG0004065	As011G253220	jg26282
OG0004066	As011G254320	jg26459
OG0004067	As011G256390	jg26742
OG0004068	As011G262720	jg27568, jg27569
OG0004069	As012G273000	jg33031, jg33036
OG0004070	As012G282310	jg25519
OG0004071	As012G283350	jg15692, jg15162
OG0004072	As012G284150	jg19486
OG0004073	As012G285330	jg15971
OG0004092	As001G002580	jg9357
OG0004093	As001G003020	jg9312
OG0004094	As001G012290	jg8993
OG0004095	As001G012460	jg8981
OG0004096	As001G014080	jg8924
OG0004097	As001G019550	jg1209, jg1211
OG0004098	As001G019910, As008G187860	jg29389
OG0004099	As001G022420	jg12921
OG0004100	As001G027270	jg13658
OG0004101	As001G029080	jg22382
OG0004102	As001G030300	jg367
OG0004102	As004G098370	jg12847
OG0004103	As002G037810, As002G037800, As002G037790	jg25138
OG0004104	As002G043900	jg21889, jg21890
OG0004105	As002G046100	jg22226, jg22224
OG0004106	As002G046540, As009G207520	jg22301
OG0004107	As002G046780	jg3959, jg3957, jg15207, jg19292
OG0004108	As002G047980	jg22473
OG0004109	As002G052000	jg4954
OG0004110	As002G053550	jg4790
OG0004112	As009G218120	jg23097
OG0004113	As004G088410, As003G057000	jg10739, jg10736
OG0004114	As003G057030, As004G088400	jg10735
OG0004115	As003G057230	jg10711
OG0004116	As003G058820	jg10488
OG0004117	As003G059100	jg10447, jg10446
OG0004118	As003G059740	jg10388
OG0004119	As003G062860	jg32023
OG0004120	As003G063760	jg10458
OG0004121	As003G064620	jg32601
OG0004122	As004G082890, As003G064780	jg32536
OG0004123	As003G069730	jg31426
OG0004124	As003G071390	jg31651
OG0004125	As003G072870	jg8670
OG0004126	As003G073720	jg18831
OG0004127	As003G073890	jg8574, jg16748
OG0004128	As003G076290	jg8317, jg8318
OG0004129	As004G078290	jg29117
OG0004130	As004G078500	jg13706
OG0004131	As011G267420, As004G079300	jg28315
OG0004133	As004G082180	jg20989, jg1356
OG0004134	As004G082540	jg32828
OG0004135	As004G084160	jg7454
OG0004136	As004G084940	jg7605
OG0004137	As004G089940	jg20337
OG0004139	As004G097850	jg12746
OG0004140	As005G099510	jg20152
OG0004141	As005G099950, As012G288140	jg20110, jg20111
OG0004142	As005G103000	jg19771
OG0004143	As005G103610	jg19705
OG0004145	As005G104470	jg19609
OG0004147	As005G112540	jg5967, jg14042
OG0004148	As005G113170	jg6011
OG0004150	As005G114510, As010G225010	jg22953
OG0004151	As005G115870	jg22819
OG0004152	As005G117090	jg23403
OG0004153	As006G121660	jg8218
OG0004154	As006G122110	jg8136
OG0004155	As006G122150	jg8142
OG0004156	As006G123180	jg7980
OG0004157	As006G123200	jg7978
OG0004158	As006G124850	jg4027, jg20838
OG0004159	As008G196350	jg28742
OG0004160	As006G126710	jg18265
OG0004161	As006G126870	jg18253
OG0004162	As006G128050	jg18091
OG0004163	As006G128110	jg18082
OG0004164	As006G128260	jg29048, jg18067
OG0004165	As006G129050	jg29104
OG0004166	As006G131720	jg14082
OG0004167	As006G132450	jg9723
OG0004168	As009G200130	jg5242
OG0004168	As006G133220	jg23917
OG0004169	As006G136100	jg24138
OG0004170	As006G137240	jg5662, jg24258
OG0004171	As006G137640	jg24320
OG0004172	As006G138260	jg24395
OG0004174	As006G141250	jg24711
OG0004175	As006G142360	jg19311
OG0004176	As006G146830	jg18940
OG0004177	As006G147500	jg18983
OG0004178	As007G152740	jg30112
OG0004179	As007G155390	jg30423, jg30424
OG0004180	As010G237660, As007G156240	jg30534
OG0004181	As007G156800	jg30616
OG0004184	As007G163160	jg10007
OG0004185	As007G163590	jg9989
OG0004186	As007G163940	jg12555, jg7217
OG0004187	As007G164400	jg9956
OG0004188	As007G179030, As007G179010	jg22534, jg21879
OG0004189	As008G184410	jg13353
OG0004190	As008G184700, As008G184690	jg29698
OG0004192	As008G197350	jg31680, jg28630
OG0004194	As009G202240	jg5453
OG0004195	As009G203180	jg5554, jg7040, jg5555
OG0004196	As009G205970	jg6613
OG0004197	As009G211300	jg4526, jg4527
OG0004198	As009G214930	jg6486
OG0004199	As009G215090, As009G215070	jg9200
OG0004200	As009G216370	jg6281, jg6279
OG0004201	As009G217150	jg6186
OG0004202	As009G217710	jg23043
OG0004203	As009G218930	jg33427
OG0004204	As009G219070	jg23214
OG0004205	As009G219810	jg22768
OG0004206	As010G221690	jg14813, jg14812
OG0004207	As010G225090, As010G225080, As010G225100, As010G225060, As010G225070	jg14339
OG0004208	As010G233390	jg3020, jg7261
OG0004209	As010G234300	jg2777
OG0004210	As010G234490	jg2793
OG0004211	As010G234890	jg2834
OG0004212	As010G235670	jg3447
OG0004213	As010G239270	jg3076
OG0004214	As010G240480	jg2964, jg18182, jg18181
OG0004215	As010G241600, As010G241620	jg3511
OG0004216	As010G243430	jg3688
OG0004217	As011G244640	jg25226
OG0004218	As011G247420	jg25561, jg12054, jg12085
OG0004219	As011G247730	jg25599
OG0004220	As011G248180, As012G270710	jg25640
OG0004223	As011G251120	jg26037
OG0004224	As011G251370, As012G272690	jg26066
OG0004225	As011G251650	jg26103
OG0004226	As011G253300	jg26299
OG0004227	As011G253800	jg26369
OG0004228	As011G253810	jg26370
OG0004229	As011G254240	jg26450
OG0004230	As011G254340	jg26466
OG0004231	As011G254780	jg26520
OG0004233	As011G255710	jg26640
OG0004234	As011G264880	jg27931
OG0004235	As011G265830	jg28093
OG0004236	As011G266690	jg9544
OG0004237	As011G267270, As011G267280	jg12031
OG0004238	As012G267910	jg33774
OG0004239	As012G268080	jg33757, jg33758
OG0004240	As012G269260	jg33636
OG0004241	As012G269460	jg33600
OG0004242	As012G269770	jg33548
OG0004243	As012G269900	jg33525
OG0004245	As012G273560, As012G273570	jg25934
OG0004246	As012G280620, As012G273950	jg32897
OG0004248	As012G275400, As012G276260	jg24613
OG0004250	As012G281060	jg3717, jg8187
OG0004251	As012G283920	jg15750
OG0004252	As012G284390	jg15817
OG0004253	As012G286840	jg16132, jg1905
OG0004254	As012G287640	jg4319, jg16221
OG0004255	As012G288240	jg16300
OG0004275	As001G000870	jg9531
OG0004276	As001G002160	jg13217, jg28081
OG0004277	As011G265640, As001G002210	jg9390
OG0004279	As001G003660	jg9264
OG0004280	As001G006810	jg9063
OG0004281	As001G013770	jg8968
OG0004282	As001G014300	jg8893
OG0004283	As001G015050	jg8833
OG0004284	As001G015880	jg31743
OG0004285	As001G016710	jg31861
OG0004286	As001G018890, As001G018880	jg1437, jg1438
OG0004287	As001G022460	jg12924
OG0004288	As001G023610	jg13070
OG0004289	As001G024600	jg13219
OG0004290	As001G026120	jg13449
OG0004290	As004G097690	jg12703
OG0004291	As001G026380, As011G255770	jg20313
OG0004292	As001G027050	jg13615
OG0004294	As001G030160	jg1585, jg19567
OG0004295	As002G033190	jg19395
OG0004296	As002G035220	jg24936
OG0004297	As002G037050	jg25070
OG0004298	As006G130640, As002G037710	jg25137
OG0004299	As007G162270, As002G042660	jg21744
OG0004301	As002G043300	jg1918, jg21791
OG0004302	As002G043550	jg21830
OG0004303	As002G047780	jg9800
OG0004304	As002G049650	jg22702
OG0004305	As002G051210	jg6531
OG0004306	As006G141850, As002G051270	jg5158
OG0004307	As002G051350	jg25451, jg5026
OG0004308	As002G052440	jg4908
OG0004309	As002G054450	jg4693
OG0004310	As002G054710	jg4663
OG0004312	As003G056690	jg10762
OG0004313	As003G057420	jg10690
OG0004314	As003G058230	jg10563
OG0004315	As003G058610	jg10513, jg10510
OG0004316	As003G058920	jg10476
OG0004317	As003G059020	jg10459
OG0004318	As003G060620	jg10260
OG0004319	As003G060790, As003G060800	jg10248
OG0004320	As003G061430, As003G061420	jg10161
OG0004321	As003G062130	jg10077
OG0004322	As003G062240, As010G221830	jg7419, jg7422
OG0004323	As003G063810	jg7242
OG0004324	As006G145530, As003G067450	jg26497
OG0004325	As003G069760	jg33524
OG0004326	As003G070110	jg31497
OG0004327	As003G071060	jg31600
OG0004328	As003G071160	jg31616
OG0004329	As003G071370, As003G071360	jg16503
OG0004330	As003G072100	jg8759
OG0004331	As003G073090	jg8648
OG0004332	As003G073170	jg8643
OG0004333	As004G083380	jg7344
OG0004334	As004G084920	jg7603
OG0004335	As004G087240	jg11643, jg10588
OG0004336	As004G091550	jg11921
OG0004337	As004G091730	jg26940, jg11711
OG0004338	As004G092930	jg11675
OG0004339	As004G095500, As011G255130	jg11329
OG0004340	As004G095810	jg11287
OG0004341	As004G095920	jg11262
OG0004342	As012G267840, As011G267630, As004G098550	jg33598
OG0004343	As012G288780, As005G098860	jg16362
OG0004344	As005G099940	jg20112
OG0004347	As005G102940	jg19777, jg3276
OG0004348	As005G104170	jg19639
OG0004349	As005G104940	jg15831
OG0004350	As005G110660	jg17273, jg5843
OG0004352	As005G111570	jg19244
OG0004353	As010G226220, As010G226230, As005G113390	jg6049
OG0004354	As005G115740	jg22854
OG0004355	As005G116660	jg23346
OG0004356	As005G117010	jg23395
OG0004357	As005G118520	jg23557, jg4875
OG0004358	As005G119610	jg23677
OG0004359	As005G119720	jg23696
OG0004360	As008G199550	jg28408
OG0004361	As006G121370	jg8182
OG0004363	As006G125290	jg18440
OG0004364	As008G196110, As006G125340	jg18436
OG0004365	As006G127270, As008G194240	jg28945
OG0004366	As006G127430	jg18178
OG0004367	As006G127590	jg18161, jg28973
OG0004368	As006G128080	jg18088
OG0004369	As006G128150	jg18077
OG0004370	As006G128230, As006G128220	jg18071
OG0004371	As006G128560	jg18032
OG0004372	As009G206020, As006G132780	jg21502, jg23956
OG0004373	As006G135750	jg24097
OG0004374	As006G138530	jg24421
OG0004375	As009G206280, As006G138610, As006G138590	jg6647
OG0004376	As006G138730	jg24464
OG0004377	As006G139470	jg24527
OG0004378	As006G139690	jg24543
OG0004379	As006G140010	jg24576
OG0004380	As006G141010	jg24681
OG0004381	As006G144560	jg18734
OG0004382	As006G144700	jg18750
OG0004383	As006G145490	jg18837
OG0004385	As007G152550, As007G152530	jg30095
OG0004386	As010G240780, As007G154150	jg30297
OG0004387	As010G240180, As007G154430	jg2984, jg2985
OG0004388	As007G154920	jg30374, jg3054, jg3051
OG0004389	As007G155160	jg30394
OG0004390	As010G236300	jg3380
OG0004391	As010G234860	jg2831
OG0004393	As007G160690, As007G160670	jg31095
OG0004394	As007G161540	jg31196
OG0004395	As007G163610	jg24397, jg9987
OG0004396	As007G178290	jg16905, jg9299
OG0004397	As008G184060	jg29802
OG0004398	As008G184470	jg29743
OG0004399	As008G184550	jg29732
OG0004400	As008G185490	jg29628
OG0004401	As008G186530	jg29517
OG0004402	As008G186970	jg2653
OG0004403	As008G187820	jg29385
OG0004404	As008G189000	jg29263, jg29262
OG0004405	As008G191210	jg29165, jg29166
OG0004406	As008G191790	jg29146
OG0004407	As009G201360	jg5348
OG0004408	As009G202170	jg5450
OG0004409	As009G202800	jg5514
OG0004410	As009G204440	jg5702
OG0004411	As009G204520	jg5712
OG0004412	As009G205510	jg6558
OG0004413	As009G206130	jg6637
OG0004414	As009G209000	jg21359
OG0004415	As009G212570	jg4378
OG0004416	As009G215230	jg6447
OG0004417	As009G216590	jg6253
OG0004417	As009G216580	jg6254, jg6256
OG0004418	As009G217040	jg16943, jg6203
OG0004419	As009G217350	jg6159
OG0004420	As009G217950	jg23078
OG0004421	As010G221640	jg21513
OG0004422	As010G229220, As010G229210	jg2401
OG0004423	As010G232750	jg27086, jg2560
OG0004424	As010G233230	jg2637
OG0004425	As010G233630	jg2684
OG0004427	As010G234950	jg2841
OG0004428	As010G237990	jg3209
OG0004429	As010G238940, As010G238950	jg3111
OG0004430	As010G238980	jg3108, jg3107
OG0004431	As010G240900	jg2929
OG0004432	As010G241990	jg3539
OG0004434	As010G242650	jg3615
OG0004435	As010G243010	jg3649
OG0004436	As011G244750	jg25250
OG0004437	As011G246140	jg25416
OG0004438	As011G246280	jg25429
OG0004440	As011G247280	jg25540
OG0004441	As011G247520	jg25570
OG0004442	As011G247660	jg25594
OG0004444	As011G250670	jg25988
OG0004445	As011G251920	jg26130, jg33157
OG0004447	As011G253150	jg26260
OG0004448	As011G253180, As012G271840	jg26262
OG0004449	As011G253600	jg26321
OG0004450	As011G253980	jg26391
OG0004451	As011G255250	jg26574
OG0004452	As011G263640	jg17239, jg9088
OG0004453	As011G265220	jg28012
OG0004454	As011G265530	jg27963
OG0004455	As011G265750	jg28089, jg28088
OG0004456	As011G267180	jg28270, jg18739
OG0004457	As012G270680	jg33432, jg33431
OG0004458	As012G271520	jg33309
OG0004459	As012G272100	jg33189, jg33191
OG0004461	As012G275430	jg18543, jg31530
OG0004462	As012G275460	jg15095
OG0004463	As012G278020	jg15335
OG0004465	As012G282680	jg19301
OG0004466	As012G283150	jg15640
OG0004467	As012G283840	jg22047, jg22046
OG0004469	As012G284540	jg15833
OG0004470	As012G284870	jg15887
OG0004471	As012G286860	jg19923, jg32970
OG0004472	As012G287440	jg26976, jg16200
OG0004473	As012G288260	jg16302, jg17638
OG0004474	As012G288860	jg16370
OG0004498	As001G000170	jg9609
OG0004499	As001G000420	jg9579
OG0004500	As001G000790	jg9543
OG0004501	As011G265920, As001G001860	jg9423
OG0004502	As001G002140, As002G049030	jg22632
OG0004503	As001G002250	jg9387
OG0004504	As001G002530	jg16853, jg9361
OG0004505	As001G002630	jg9351
OG0004506	As001G002870	jg9333
OG0004508	As001G004070	jg9221
OG0004510	As001G004650	jg9181, jg17106
OG0004511	As001G006600	jg9087
OG0004512	As001G013860	jg8918
OG0004513	As001G014180, As011G263170	jg8906
OG0004514	As001G017770, As001G017780	jg10959
OG0004515	As001G020380, As008G187160	jg1012
OG0004516	As001G021640	jg831, jg29541
OG0004517	As001G021780	jg788
OG0004518	As001G022660	jg10127
OG0004519	As001G022670	jg12943
OG0004520	As001G024360	jg5834, jg2393
OG0004521	As001G024900	jg13261
OG0004522	As001G026910	jg13575, jg12621
OG0004523	As001G027440	jg13679
OG0004524	As001G027910	jg13808
OG0004525	As001G029530	jg1860
OG0004526	As001G031770, As008G184770	jg29687
OG0004529	As002G038860	jg25185
OG0004530	As004G088910	jg22918
OG0004531	As002G047610	jg22423
OG0004532	As002G047950	jg22469
OG0004533	As002G048330, As002G048320	jg22547
OG0004534	As002G048480	jg22561
OG0004535	As002G049210	jg22653
OG0004536	As002G049590	jg22693
OG0004537	As002G050170	jg21276
OG0004538	As002G050780	jg5097
OG0004539	As002G050870	jg5081
OG0004540	As002G051190	jg5045
OG0004542	As002G052120	jg4941
OG0004543	As002G052580	jg4896
OG0004545	As002G054050	jg4734
OG0004546	As002G054780	jg4654
OG0004547	As002G055310	jg4585
OG0004548	As004G088510	jg10750
OG0004549	As003G056980	jg10741
OG0004550	As003G057550	jg10666
OG0004551	As003G060550, As004G085190	jg7648
OG0004552	As003G061560	jg10144
OG0004553	As003G061580	jg10142
OG0004554	As003G062110	jg10079
OG0004555	As010G223860, As010G223820, As010G223840, As010G223870, As003G062910	jg14513
OG0004556	As003G063970	jg32242, jg32292
OG0004557	As003G066240	jg32700
OG0004558	As003G068490	jg31333
OG0004559	As004G081350, As003G069100	jg31373
OG0004560	As003G069170	jg31378, jg31376
OG0004561	As003G070250	jg31518
OG0004562	As003G070690	jg31553
OG0004563	As003G071430	jg31656
OG0004564	As003G071740	jg8799
OG0004565	As003G071820	jg8792
OG0004566	As003G072650	jg8687
OG0004567	As003G075090	jg8460, jg8453, jg8446, jg8433
OG0004568	As004G076930	jg12045
OG0004569	As004G077080	jg12116
OG0004570	As004G078450	jg29273, jg12537
OG0004571	As004G078690	jg14567, jg19893
OG0004572	As004G078860	jg18628
OG0004573	As004G089620	jg20359
OG0004574	As004G079990	jg18701
OG0004575	As004G081570	jg18473
OG0004576	As004G084010	jg2167, jg7438
OG0004577	As004G084320	jg7480
OG0004578	As004G086090	jg7764, jg10416
OG0004579	As004G086580, As004G086630	jg20730
OG0004580	As004G086670	jg20721
OG0004581	As004G088710	jg20446
OG0004582	As004G089650	jg20356
OG0004583	As004G092640	jg11720
OG0004584	As004G094230, As004G094130, As004G094150, As004G094120	jg11515, jg11512, jg11513
OG0004585	As004G095110	jg11384
OG0004586	As011G254200, As004G096140	jg26443
OG0004588	As005G101990	jg19901
OG0004589	As005G102570	jg19819
OG0004590	As005G102580	jg19818
OG0004592	As005G103900	jg19677
OG0004593	As005G107390	jg3964
OG0004594	As005G108270	jg4076
OG0004595	As005G112110	jg5933
OG0004596	As005G112490	jg5964
OG0004597	As005G113240	jg6035
OG0004598	As005G113640	jg6095
OG0004599	As005G116060	jg23285
OG0004600	As005G116670	jg23347
OG0004601	As005G117060, As005G117070	jg23401
OG0004602	As005G117530	jg23457
OG0004603	As005G118490	jg23554
OG0004604	As005G118570	jg23560
OG0004605	As005G119500	jg23665
OG0004605	As005G119490	jg23666
OG0004606	As005G120070	jg23726
OG0004607	As005G120720, As005G120700	jg15011
OG0004608	As006G121010	jg8245, jg23539
OG0004609	As006G123070	jg7993
OG0004610	As006G125090	jg20883, jg20881
OG0004611	As006G125600	jg18388
OG0004612	As006G127160	jg18214
OG0004613	As006G129290	jg17871
OG0004614	As006G130790	jg17626
OG0004615	As006G130930	jg20921, jg17661
OG0004616	As006G133000, As006G132980	jg30140, jg23934
OG0004617	As006G133180	jg23920
OG0004618	As006G133500	jg5217
OG0004620	As006G141990, As006G133730	jg24785
OG0004621	As006G135760, As009G202400	jg24098
OG0004622	As006G135970	jg24121
OG0004623	As006G137260	jg24260
OG0004624	As006G139180	jg24504
OG0004625	As006G139360	jg24518
OG0004627	As009G205070	jg5781
OG0004627	As006G139570	jg24538, jg16606
OG0004628	As006G139900	jg24568
OG0004630	As006G141420	jg24726
OG0004631	As006G141470	jg24731
OG0004632	As006G141630	jg24745
OG0004633	As006G141660	jg24748
OG0004634	As006G142290	jg19317
OG0004635	As006G142670	jg19276
OG0004636	As006G142710	jg19273, jg5900
OG0004637	As006G142850	jg19251
OG0004638	As006G143330	jg19193
OG0004639	As006G144970	jg18771
OG0004640	As006G145040	jg18777
OG0004641	As006G145410	jg18826
OG0004642	As006G146400	jg18917
OG0004643	As006G147190	jg19049
OG0004644	As007G152340	jg30079
OG0004645	As007G154210, As007G152410	jg30085
OG0004646	As007G154330	jg30311
OG0004647	As007G154990	jg30380
OG0004648	As007G156100	jg30516
OG0004649	As010G236360, As007G157390	jg30693
OG0004650	As007G158000	jg30752
