Orthogroup	Aethionema_saxatile	Noccaea_praecox
OG0002041	As012G277090	Np001G056210
OG0002042	As006G148500	Np006G335520
OG0002043	As007G151940	Np004G198750
OG0002044	As007G152130	Np004G240780
OG0002045	As007G152270	Np004G240580
OG0002045	As010G243670	Np002G070980
OG0002046	As007G152480	Np004G240230
OG0002046	As010G243220	Np002G071560
OG0002047	As007G152970	Np004G239690
OG0002047	As010G242530	Np002G072520
OG0002048	As007G153870	Np004G238590
OG0002048	As010G241130, As010G241120	Np002G082180, Np002G082190
OG0002049	As010G240580	Np002G081470
OG0002049	As007G154260	Np004G238210
OG0002050	As007G156920	Np004G234560
OG0002050	As010G237010	Np002G076410
OG0002051	As007G157010	Np004G234470, Np004G227090, Np003G173400, Np006G328800
OG0002052	As007G157110	Np004G234280
OG0002052	As010G236740	Np002G075980
OG0002053	As007G157350	Np002G113670
OG0002053	As010G236420	Np002G075500
OG0002054	As007G159150	Np004G231140
OG0002054	As010G234050	Np002G083990
OG0002055	As007G159360	Np004G230630
OG0002055	As010G233640	Np002G084710
OG0002056	As007G166910	Np006G363730
OG0002057	As007G167240	Np006G364190
OG0002059	As008G195200	Np004G254910
OG0002060	As010G233260	Np002G085520
OG0002060	As009G200610	Np003G141760
OG0002061	As009G216670	Np001G049960
OG0002062	As009G217750	Np001G009630, Np005G316760, Np005G316750
OG0002063	As009G220000	Np003G132810, Np003G132800, Np003G154590
OG0002064	As010G220250	Np001G053210
OG0002065	As010G234940, As010G234930	Np002G082980
OG0002066	As010G236630	Np002G075790
OG0002067	As010G237600	Np002G077200
OG0002068	As010G242610	Np005G304660
OG0002069	As010G242720	Np002G072320
OG0002069	As010G242710	Np002G072330
OG0002070	As010G242940	Np004G239980, Np002G072070
OG0002071	As011G245310	Np007G407620
OG0002071	As012G268370	Np004G190950
OG0002072	As011G245540	Np007G407340
OG0002073	As012G269780	Np004G193040, Np004G193080
OG0002073	As011G247000	Np007G404970
OG0002074	As012G274260	Np005G307220, Np005G307210
OG0002074	As011G249220	Np007G391890
OG0002075	As011G266590	Np007G372580
OG0002075	As011G266600, As011G266610	Np007G372590
OG0002076	As012G267730	Np004G190110
OG0002077	As012G271430	Np004G195440, Np007G381050
OG0002078	As012G282170	Np001G059630, Np001G059610
OG0002079	As012G289110	Np005G279620
OG0002092	As001G011000	Np005G298010
OG0002093	As011G262560	Np007G378490
OG0002093	As001G012790	Np005G264540
OG0002094	As001G014220	Np005G264860
OG0002094	As011G263260, As011G263270, As011G263250	Np007G377480
OG0002095	As011G264280	Np007G376080
OG0002095	As001G015590	Np005G266150
OG0002096	As001G019160	Np002G111330
OG0002096	As008G188390	Np004G249790
OG0002097	As001G020040	Np002G114130
OG0002097	As008G187890	Np004G248720, Np004G248730
OG0002098	As001G021050, As001G020990	Np002G116830, Np002G116370
OG0002099	As008G186590	Np004G247620
OG0002099	As001G021230	Np002G117140
OG0002100	As008G183510	Np004G242990
OG0002100	As001G024090	Np001G024600
OG0002101	As004G097680	Np005G318300
OG0002101	As001G026130	Np001G021130
OG0002102	As006G141360, As001G029120	Np007G415230
OG0002102	As008G193520	Np004G227540
OG0002103	As001G030420	Np002G124450, Np005G320270
OG0002104	As001G031080	Np002G123250
OG0002104	As004G097980	Np005G319350
OG0002105	As008G184590	Np004G244890
OG0002105	As001G031610	Np002G121470
OG0002106	As001G032220	Np002G119790
OG0002106	As008G185350	Np004G246020
OG0002107	As012G283100	Np001G060920
OG0002107	As002G033430	Np006G330790
OG0002108	As002G033880	Np007G413890
OG0002109	As002G034790	Np007G412910
OG0002110	As002G034840	Np007G412830, Np003G127500
OG0002111	As005G109170	Np003G128640
OG0002112	As002G036200	Np007G411360
OG0002113	As010G226410, As002G055080, As009G211550, As002G036950	Np001G015400
OG0002114	As002G045310	Np003G163740
OG0002115	As006G134480	Np005G278700
OG0002116	As002G047280	Np003G159560
OG0002116	As006G134680	Np005G278930
OG0002117	As002G050550	Np003G139780, Np004G210200
OG0002118	As009G214970	Np001G013500
OG0002118	As002G051600	Np003G138360
OG0002119	As002G052490, As009G215680	Np003G137110, Np001G012270
OG0002120	As009G217000	Np001G010730
OG0002120	As002G054310	Np003G134880
OG0002121	As009G218370	Np001G008690
OG0002121	As002G055430	Np003G133250
OG0002122	As003G055700	Np005G295520
OG0002123	As004G088050	Np001G037080
OG0002123	As003G057490	Np005G290410
OG0002124	As004G087910	Np001G037310
OG0002124	As003G057570	Np005G290260
OG0002125	As003G058390	Np005G288590
OG0002125	As004G087050	Np001G039270
OG0002126	As004G086210	Np003G184720
OG0002126	As003G059150	Np005G287650
OG0002127	As004G084210	Np003G179920
OG0002127	As003G061890	Np005G283200
OG0002128	As004G083870	Np003G178710
OG0002128	As003G062310	Np004G205710
OG0002129	As004G083170	Np003G177550
OG0002129	As003G063110	Np004G208340
OG0002131	As003G070530, As007G154020, As007G153030, As008G197820	Np003G187010, Np004G257730
OG0002132	As003G071840	Np005G266730
OG0002132	As011G264530	Np007G375720
OG0002133	As003G071900	Np005G267010, Np005G267110, Np005G267160
OG0002134	As003G072310	Np005G267590
OG0002135	As003G073010	Np007G374250, Np005G268500
OG0002136	As003G076020	Np005G260730
OG0002137	As004G078390	Np005G315580, Np005G318680, Np005G318670, Np005G315620
OG0002138	As004G081040	Np006G342500
OG0002138	As004G081050	Np006G342520
OG0002139	As004G082130	Np001G041970
OG0002140	As004G083590	Np003G178130, Np004G206250
OG0002141	As004G094840	Np005G306930
OG0002141	As011G255830	Np007G385620
OG0002142	As012G288880	Np001G069460
OG0002142	As005G098660	Np006G320550
OG0002143	As012G288840	Np001G069390
OG0002143	As005G098750	Np006G320660
OG0002144	As005G104820	Np006G328320
OG0002145	As005G105110	Np006G329010, Np001G062840
OG0002146	As010G226030	Np001G044390
OG0002146	As005G113570	Np003G150740
OG0002147	As005G114740	Np003G152410
OG0002148	As005G114970, As010G224580	Np003G152760
OG0002149	As005G116000	Np001G006560
OG0002150	As005G119390	Np001G051280
OG0002151	As005G119890	Np001G001160
OG0002152	As008G199170	Np004G259420, Np004G259430
OG0002153	As008G199090	Np004G259330
OG0002153	As006G121420, As006G121450, As006G121430, As006G121440	Np003G189240
OG0002154	As006G124450	Np001G040330
OG0002154	As008G197060	Np004G256460
OG0002155	As006G124840	Np001G040830
OG0002155	As008G196370	Np004G256060
OG0002156	As011G256260	Np007G386230
OG0002157	As006G126130	Np006G356660
OG0002157	As008G195150	Np004G254860
OG0002158	As006G134420	Np005G277490, Np005G277480
OG0002159	As006G135630	Np007G423200
OG0002159	As009G202140	Np003G143270
OG0002161	As006G137820	Np001G015750
OG0002162	As011G255490	Np007G384980
OG0002162	As006G139680	Np007G417520
OG0002163	As006G140350	Np007G416600
OG0002164	As006G140400	Np001G016610
OG0002165	As006G141860	Np003G140300, Np007G414440
OG0002166	As012G282620	Np001G060120
OG0002166	As006G142540	Np006G331720
OG0002168	As006G144410	Np006G339890
OG0002168	As012G275860	Np001G054420
OG0002169	As006G147220	Np006G335130
OG0002170	As010G243340	Np002G071410
OG0002171	As007G152690	Np004G240060
OG0002171	As010G243080	Np002G071710
OG0002172	As007G152710	Np004G240050
OG0002172	As010G243060	Np002G071730
OG0002173	As010G242570	Np004G239730
OG0002174	As007G155630	Np004G236410
OG0002175	As007G157000	Np002G076220, Np004G234480
OG0002176	As007G158590	Np004G232030
OG0002177	As007G159160	Np004G231110
OG0002178	As010G233400	Np002G085210
OG0002178	As007G159520	Np004G230370
OG0002179	As010G228080	Np002G091230
OG0002179	As007G161940	Np004G209900
OG0002181	As007G180290	Np005G264690
OG0002182	As009G217880	Np001G009450
OG0002182	As008G183490	Np004G242950
OG0002183	As008G184110	Np004G243650, Np001G023090
OG0002184	As008G185390	Np005G301870
OG0002185	As008G185450	Np002G119730
OG0002186	As008G186630	Np002G117070, Np004G247670
OG0002187	As008G187990, As008G187980	Np004G249290, Np007G414430
OG0002188	As008G194770	Np006G351240, Np004G254410
OG0002189	As009G212710	Np007G410470, Np003G131240
OG0002190	As009G214050	Np007G411480, Np003G129480
OG0002191	As009G214800, As009G214810, As009G214820, As009G214830	Np007G380550, Np001G013680
OG0002192	As010G226340, As010G226370	Np001G043840, Np003G150160
OG0002194	As012G267860	Np004G190370
OG0002194	As011G244820	Np007G408300
OG0002195	As011G245320	Np005G311990, Np007G407610
OG0002195	As012G268390, As012G268380	Np004G190960
OG0002196	As012G274610, As011G248930	Np005G301610
OG0002197	As011G249530	Np007G392590
OG0002197	As012G273930	Np004G199750
OG0002198	As011G250040	Np007G393540
OG0002198	As012G273610	Np004G199250
OG0002199	As011G250200	Np007G393870
OG0002199	As012G273540	Np004G199180
OG0002200	As011G263110, As011G263100, As011G263120, As011G263140	Np007G377630, Np003G162450
OG0002201	As011G263850	Np007G376510, Np007G376500
OG0002202	As011G264220	Np007G376190, Np005G266140
OG0002203	As011G265590	Np007G374090
OG0002204	As011G265910	Np007G373690, Np007G373680
OG0002206	As012G272700	Np004G197780, Np007G396020
OG0002207	As012G274600	Np005G301580
OG0002207	As012G274590	Np005G301540
OG0002209	As012G287010	Np006G324350, Np006G324310, Np001G066730
OG0002219	As011G266500, As001G001030	Np005G275410
OG0002220	As001G001360	Np005G275020
OG0002221	As001G001410	Np005G274920
OG0002221	As011G266270	Np007G373210
OG0002222	As001G003170	Np005G270210
OG0002223	As001G003220	Np005G272480, Np006G333140
OG0002224	As007G177890	Np006G365520
OG0002224	As001G003870	Np005G271630
OG0002225	As001G004480, As007G167250	Np005G271000, Np006G364250
OG0002226	As001G013710	Np005G264260
OG0002226	As011G262760	Np007G378160
OG0002227	As001G015640	Np005G266230, Np007G398030
OG0002227	As011G264310	Np007G376040
OG0002228	As004G079560	Np006G340640
OG0002228	As001G016920	Np004G205160
OG0002229	As001G022380	Np001G027960
OG0002230	As008G182770	Np004G241830
OG0002230	As001G023120	Np001G026300
OG0002231	As001G024520	Np001G023750
OG0002231	As008G183860	Np004G243410
OG0002232	As001G025040	Np001G023070
OG0002232	As008G184120	Np004G243610
OG0002233	As004G096740, As001G027220	Np001G019630
OG0002234	As004G078540	Np003G169610, Np005G315950
OG0002234	As001G027460	Np001G019350
OG0002235	As001G028650	Np005G304490
OG0002236	As004G077180	Np005G311790
OG0002236	As001G029110	Np002G096360
OG0002237	As004G077070	Np005G311130
OG0002237	As001G029300	Np002G097520
OG0002238	As001G030680	Np002G124030, Np005G319950, Np005G319810
OG0002239	As001G032110	Np002G119960
OG0002240	As002G048910	Np003G156310
OG0002240	As002G032600	Np005G279940
OG0002241	As005G106870	Np003G125750
OG0002241	As002G033920	Np007G413830
OG0002242	As002G035430	Np007G412110, Np003G128540
OG0002243	As002G035850	Np002G070500
OG0002244	As002G037570	Np001G006690, Np007G409940
OG0002245	As007G164410	Np005G281150
OG0002245	As002G043270	Np003G184460
OG0002246	As002G043800	Np003G167400
OG0002247	As002G043870	Np003G167080
OG0002248	As002G046280	Np003G163080, Np003G159840
OG0002248	As006G132480	Np005G278270
OG0002249	As002G046860	Np003G160620
OG0002251	As002G048040	Np003G158100
OG0002251	As006G134130	Np005G279240
OG0002252	As003G068140, As003G068150, As002G049250	Np003G155760, Np005G280180
OG0002253	As002G050570, As007G162200	Np004G210190
OG0002254	As002G050950	Np003G147380, Np003G139150
OG0002255	As005G109480	Np001G013760
OG0002255	As002G051240	Np003G138840
OG0002256	As004G088090	Np001G033960, Np001G037000
OG0002256	As003G057450	Np005G290440
OG0002257	As003G060360	Np005G285600
OG0002257	As003G060350	Np005G285620
OG0002258	As003G071400	Np003G184160
OG0002259	As003G072530	Np005G267960, Np005G267950
OG0002260	As003G073150	Np005G284880, Np005G284890
OG0002261	As003G073200	Np005G268670
OG0002262	As003G073490	Np005G269090
OG0002262	As007G179650	Np006G367520
OG0002263	As003G074930	Np005G261990
OG0002264	As003G076150	Np006G371200, Np005G260540
OG0002265	As004G078230	Np005G315110, Np001G018810
OG0002266	As004G082310	Np001G042260
OG0002267	As004G094550	Np005G307150
OG0002267	As011G256140	Np007G386030
OG0002268	As011G255280	Np007G384450
OG0002268	As004G095460	Np005G305410
OG0002269	As004G095670	Np005G304970
OG0002269	As011G254970	Np007G383990
OG0002270	As004G095780	Np005G304520, Np007G383830
OG0002271	As004G096150	Np005G303590
OG0002272	As004G096630, As011G253440	Np007G381540
OG0002273	As012G287020	Np001G066760
OG0002273	As005G101670	Np006G324250
OG0002274	As005G102930	Np006G325820
OG0002274	As012G285990	Np001G065350
OG0002275	As005G103040	Np006G325950
OG0002276	As005G103070	Np006G325960
OG0002276	As012G285930	Np001G065260
OG0002277	As012G284270	Np001G062650
OG0002277	As005G105240	Np006G328810, Np004G227080
OG0002278	As012G283950	Np001G062030
OG0002279	As005G106590	Np003G125440
OG0002279	As006G136200	Np007G422520
OG0002280	As010G225820	Np003G151110
OG0002280	As005G113800	Np003G151100
OG0002281	As010G225790	Np001G044660
OG0002281	As005G113820	Np003G151160
OG0002282	As005G114390	Np003G151960
OG0002283	As005G118460	Np001G003130
OG0002284	As006G121770	Np004G259060, Np003G188880
OG0002287	As008G194720	Np004G254330
OG0002287	As006G126840	Np006G355720
OG0002288	As006G127520	Np006G348240, Np006G354680, Np004G253560
OG0002289	As008G192670, As006G143160, As006G129000	Np004G252050, Np004G252030
OG0002291	As006G131820	Np005G263170, Np006G362890
OG0002292	As009G199850	Np003G141540
OG0002292	As006G133070	Np007G424860
OG0002293	As006G135020	Np007G424090
OG0002293	As009G201080	Np003G142380
OG0002294	As009G202150	Np003G143280
OG0002294	As006G135640	Np003G187980, Np007G423190
OG0002295	As006G135770	Np003G143500, Np007G423050
OG0002296	As006G135950	Np007G422840
OG0002297	As009G202760	Np003G143960
OG0002297	As006G136000	Np007G422780
OG0002298	As006G136540	Np007G422080
OG0002299	As009G205760	Np001G014500
OG0002300	As009G208050	Np001G016550
OG0002301	As006G140570	Np007G416270, Np001G016790
OG0002302	As006G145700	Np006G337860
OG0002302	As012G276990	Np001G056130
OG0002303	As010G243690	Np002G070950
OG0002303	As007G152260	Np004G240610
OG0002304	As007G152800	Np004G239970
OG0002304	As010G242920	Np002G072080
OG0002305	As010G242620	Np002G072390
OG0002305	As007G152910	Np004G239800, Np004G239830
OG0002306	As007G153120	Np004G239520
OG0002306	As010G242410	Np002G072680
OG0002307	As007G155170	Np004G236980
OG0002308	As007G157100	Np004G234290
OG0002308	As010G236750	Np002G076050
OG0002309	As007G157880	Np004G233300
OG0002309	As010G235820	Np002G074720
OG0002310	As007G158020	Np004G232850
OG0002310	As010G235690	Np002G074500
OG0002311	As007G159800	Np004G229470
OG0002311	As010G233250	Np002G085560
OG0002312	As010G233170	Np002G085720
OG0002313	As010G232070	Np002G087560
OG0002314	As007G161970	Np004G209920
OG0002314	As010G228200	Np002G091280
OG0002315	As007G179120	Np005G273280, Np006G366660
OG0002316	As008G189100	Np004G250260
OG0002320	As009G203290, As008G198660	Np004G258770
OG0002321	As009G210450	Np007G408920, Np003G140360
OG0002322	As009G213810	Np003G130140
OG0002324	As010G234070, As010G234060	Np002G083980
OG0002325	As011G245000	Np007G407990
OG0002325	As012G267960	Np004G190530
OG0002326	As011G245270	Np007G407680
OG0002326	As012G268280	Np004G190840
OG0002327	As012G269490	Np004G192510
OG0002327	As011G246480	Np007G405630
OG0002328	As011G247870	Np007G402800
OG0002328	As012G270520	Np004G194190
OG0002329	As011G250400	Np007G394150
OG0002329	As012G273150	Np004G199000
OG0002330	As011G250470	Np007G394320
OG0002331	As011G253230	Np007G380830
OG0002331	As012G271530	Np004G195560
OG0002333	As011G262900	Np005G264750
OG0002334	As011G267380	Np007G371750, Np005G276630
OG0002335	As012G270830	Np004G194660, Np007G390360
OG0002336	As012G270850	Np004G194680
OG0002337	As012G276000	Np001G054590
OG0002338	As012G282580	Np001G060100, Np006G331840
OG0002339	As012G283640	Np006G330260, Np001G061630
OG0002348	As001G000290	Np007G371840, Np005G276480
OG0002349	As001G000470	Np005G276260
OG0002349	As011G267120	Np007G372070
OG0002350	As001G000960	Np007G372730
OG0002351	As007G178570	Np006G366410
OG0002352	As007G178130	Np006G365780
OG0002352	As001G003450	Np005G272230
OG0002353	As001G015080, As001G015070	Np005G266000
OG0002354	As001G015950, As004G079070	Np004G215910
OG0002355	As001G018710	Np002G106320, Np007G419130
OG0002356	As008G188060	Np004G249370
OG0002357	As001G020450	Np001G062730
OG0002357	As008G187120	Np004G248260
OG0002359	As008G182860	Np004G242120
OG0002359	As001G023380	Np001G025890
OG0002360	As001G023460, As001G023470	Np001G025650, Np001G025640
OG0002361	As004G097560	Np005G318190
OG0002361	As001G026270	Np001G020930
OG0002362	As001G026570	Np001G020570
OG0002362	As004G097290	Np005G317680
OG0002363	As001G026840	Np001G020200
OG0002364	As001G029260	Np002G097210, Np002G089910, Np002G097280
OG0002365	As001G029650	Np002G099790
OG0002365	As004G076890	Np005G310670
OG0002366	As001G031630	Np004G245070, Np002G121370
OG0002367	As002G048220	Np003G157490
OG0002367	As002G033030	Np005G279400
OG0002368	As002G033500, As002G033510	Np006G330680
OG0002369	As002G033860	Np006G331340
OG0002371	As002G034980	Np007G412750, Np007G423920
OG0002371	As005G108380	Np003G127820
OG0002372	As002G036740	Np007G411030
OG0002372	As009G213590	Np003G130360
OG0002373	As002G038720	Np007G409320
OG0002374	As002G040940	Np003G174130
OG0002375	As003G061380	Np005G283800
OG0002375	As002G043310	Np003G184490
OG0002376	As007G165370	Np005G280650
OG0002376	As002G044030	Np003G166460
OG0002377	As006G132320	Np005G277980
OG0002378	As006G132580	Np005G278460
OG0002378	As002G046560	Np003G163440
OG0002379	As002G048600	Np003G156760
OG0002380	As005G117870	Np001G003880
OG0002380	As002G053410	Np003G136200
OG0002381	As002G054200	Np003G135080
OG0002381	As005G116610	Np001G005620
OG0002382	As002G054990	Np003G133860
OG0002382	As009G217890	Np001G009440
OG0002383	As003G056960	Np005G291540
OG0002384	As004G086770	Np001G039550
OG0002384	As003G058560	Np005G288370
OG0002385	As004G086410	Np003G184930
OG0002385	As003G059010	Np005G287430
OG0002386	As004G085290	Np003G182650, Np003G182640
OG0002387	As007G179590	Np006G367470
OG0002389	As003G075930	Np005G292540
OG0002390	As004G079660	Np006G340690, Np004G205330
OG0002392	As004G086380	Np005G287440, Np003G184900
OG0002393	As004G093590	Np005G308240
OG0002393	As011G257490	Np007G387610
OG0002394	As004G094020	Np005G308810
OG0002394	As011G256530	Np007G386990
OG0002396	As011G255320	Np007G384490
OG0002396	As004G095390	Np005G305570
OG0002397	As004G097460	Np005G318020, Np001G020830
OG0002398	As005G098570	Np006G320370
OG0002398	As012G288950	Np001G069510
OG0002399	As005G099170	Np006G320970
OG0002400	As005G100690	Np006G322910
OG0002400	As012G287710	Np001G067680, Np001G067700
OG0002401	As005G101260	Np006G323630
OG0002401	As012G287290	Np001G067030
OG0002402	As005G101600	Np006G324180
OG0002402	As012G287030	Np001G066780
OG0002403	As005G103330, As010G239880	Np002G080440
OG0002404	As009G216560	Np006G326940
OG0002405	As005G105420, As005G105440, As005G105430	Np006G329510
OG0002406	As005G111770	Np003G148770, Np001G043070
OG0002407	As010G227090	Np001G043140
OG0002408	As010G225340	Np001G044940
OG0002409	As005G117920	Np001G003820
OG0002410	As010G221420	Np001G050980
OG0002410	As005G119040	Np001G002380
OG0002411	As010G240950, As006G120970	Np002G081870
OG0002412	As006G121270	Np004G259370, Np003G189100
OG0002413	As006G121580	Np003G189400
OG0002413	As008G198970	Np004G259150
OG0002414	As008G197140	Np004G257040
OG0002414	As006G123790	Np003G185740
OG0002415	As006G124690	Np004G256100
OG0002416	As006G125040	Np001G041240
OG0002416	As008G196270	Np004G255950
OG0002417	As006G125930	Np006G357420
OG0002417	As008G195600	Np004G255260
OG0002418	As006G126740	Np006G355890
OG0002418	As008G194760	Np004G254360
OG0002419	As008G193350	Np004G252960
OG0002419	As006G127970	Np006G353580, Np006G347200
OG0002420	As006G130200	Np006G358600
OG0002421	As006G130420	Np004G251080
OG0002422	As006G132600	Np003G161230
OG0002423	As006G135160	Np007G423800, Np003G142510
OG0002424	As009G201660	Np003G142790
OG0002424	As006G135400	Np007G423490
OG0002425	As006G135440	Np007G423420, Np007G423410
OG0002425	As009G201750	Np003G142930
OG0002426	As006G135510	Np007G423350
OG0002426	As009G201930	Np003G143040
OG0002427	As006G136130	Np007G422540
OG0002427	As009G202970	Np003G144260
OG0002428	As006G137190	Np007G421390
OG0002428	As009G204040	Np003G145670
OG0002429	As006G139200	Np004G252490
OG0002430	As006G141940, As011G249920	Np007G414380
OG0002431	As012G281710	Np001G058890
OG0002431	As006G143550	Np006G333700
OG0002432	As006G143880	Np006G333820
OG0002433	As010G243470	Np002G071200
OG0002433	As007G152330	Np004G240420
OG0002435	As010G240000	Np002G080860
OG0002435	As007G154550	Np004G237650
OG0002436	As007G157780	Np004G233460
OG0002436	As010G235980	Np002G074910
OG0002437	As007G158170	Np004G232620
OG0002438	As007G158300	Np004G232500
OG0002439	As010G235050	Np002G082820
OG0002439	As007G158550	Np004G232070
OG0002440	As007G158900, As007G163640	Np004G189980, Np005G307140
OG0002441	As007G159190	Np004G231070
OG0002441	As010G233950	Np002G084170, Np003G172720
OG0002442	As007G159670	Np004G230110
OG0002443	As007G160590	Np004G226380
OG0002443	As010G232560	Np002G087020
OG0002444	As010G231580	Np002G088710
OG0002444	As007G161090	Np004G208880
OG0002445	As007G165530	Np005G280670
OG0002446	As007G166970	Np005G277350
OG0002447	As007G167050	Np005G270010, Np006G363610
OG0002448	As007G180990, As010G220930	Np001G052080, Np004G202650
OG0002449	As008G184400	Np004G244560, Np001G022360
OG0002450	As008G190820	Np004G251240
OG0002451	As008G191270	Np004G251370
OG0002452	As008G192830	Np004G252200
OG0002453	As008G197420	Np003G186220, Np004G257330
OG0002454	As008G197430	Np004G257340, Np003G186250
OG0002455	As009G202980	Np005G302130, Np003G144230, Np003G144240
OG0002456	As009G203970, As011G262850	Np003G145560
OG0002458	As009G207430	Np001G057960, Np001G057930
OG0002459	As009G219300	Np001G006830, Np001G006740
OG0002460	As009G219940	Np003G132870, Np003G154530
OG0002462	As010G236970	Np002G076370
OG0002464	As010G239170	Np002G079350
OG0002465	As010G244070	Np004G240950
OG0002466	As011G246020	Np004G191820
OG0002467	As011G246390	Np004G192320
OG0002468	As012G269940	Np004G193420
OG0002469	As012G274440	Np005G301260
OG0002469	As011G249070	Np007G391620
OG0002470	As011G249540	Np007G392600
OG0002471	As011G249710	Np007G392840
OG0002472	As011G249830	Np007G393040
OG0002472	As012G273760	Np004G199480
OG0002473	As011G250030	Np007G393530, Np004G199260
OG0002474	As011G254520	Np007G383310
OG0002475	As011G255010	Np005G305090, Np007G384030
OG0002476	As011G260890	Np009G432640, Np004G224230, Np007G401350, Np002G109880, Np002G110290, Np002G108830, Np007G401400
OG0002476	As011G260880	Np007G400660, Np002G100950
OG0002477	As011G267110	Np007G372080, Np005G276250
OG0002478	As012G282460	Np007G404780
OG0002478	As012G269880	Np004G193300
OG0002479	As012G275080	Np006G341690, Np001G035150
OG0002480	As012G282910	Np001G060590, Np006G331070
OG0002494	As011G267440	Np007G371610
OG0002494	As001G000070	Np005G276740
OG0002495	As001G000720	Np005G275890
OG0002496	As007G180720, As001G002930	Np006G370130, Np005G261370
OG0002497	As002G048780	Np003G156460
OG0002497	As001G003770	Np005G273650, Np005G271710
OG0002498	As001G003890	Np005G271620, Np006G365470
OG0002499	As001G012010, As001G010780, As005G113250	Np003G150290
OG0002499	As010G226320	Np001G043930
OG0002500	As001G013480	Np005G264460, Np007G378280
OG0002502	As001G017090	Np004G205440
OG0002502	As004G079730	Np006G340770
OG0002503	As008G189320, As001G018590, As001G018580	Np002G105110
OG0002504	As008G187560	Np004G249190
OG0002505	As008G187280	Np004G248490
OG0002505	As001G020220	Np002G114670
OG0002506	As001G020640	Np002G105510, Np002G115760, Np003G171450
OG0002506	As008G187030	Np004G248170
OG0002507	As008G182970	Np001G025360
OG0002507	As001G023550	Np004G242250
OG0002508	As001G023960	Np001G024780
OG0002508	As008G183400	Np004G242820
OG0002510	As008G184420	Np004G244580
OG0002510	As001G025530	Np001G022280
OG0002511	As001G027330	Np004G213820
OG0002512	As001G030940	Np001G065340
OG0002512	As012G268260	Np004G190810
OG0002513	As002G036190	Np007G411370
OG0002513	As009G214160	Np003G129710
OG0002514	As009G213190	Np004G195410
OG0002515	As009G212380	Np003G131670
OG0002515	As002G037470	Np007G410140
OG0002516	As002G044340, As007G164890	Np005G280310, Np005G280330
OG0002517	As002G045300	Np005G277310, Np003G163760
OG0002518	As002G047320	Np003G159520
OG0002518	As006G134700	Np005G278950
OG0002519	As002G047340	Np005G278960, Np003G159430
OG0002520	As002G047720	Np003G158550
OG0002521	As002G051220	Np003G138860
OG0002522	As002G053700	Np003G135770
OG0002522	As005G117400	Np001G004530
OG0002523	As003G055760	Np005G295390
OG0002524	As004G084950	Np003G181760
OG0002524	As003G060810	Np005G284710
OG0002525	As004G080270	Np003G176410
OG0002525	As003G063820	Np004G204340
OG0002526	As003G071140	Np004G214030
OG0002526	As007G164530	Np005G281080
OG0002527	As004G078670	Np006G322150, Np006G341070
OG0002527	As003G071590	Np004G214800
OG0002528	As011G264850	Np007G375180
OG0002528	As003G072370	Np005G267680
OG0002529	As003G073400	Np005G268930
OG0002529	As007G179540	Np006G367250
OG0002530	As003G073920	Np005G269580
OG0002531	As003G074720	Np006G369020, Np005G262240
OG0002533	As003G076500	Np005G260200
OG0002534	As004G080330, As004G080320	Np003G176330, Np003G176340, Np003G176350
OG0002535	As004G084730	Np003G181440, Np005G284440
OG0002536	As004G085350	Np003G182710
OG0002537	As004G085480	Np003G182990
OG0002538	As004G095080	Np005G306360, Np005G306370
OG0002539	As004G095560	Np005G305330
OG0002539	As004G095510	Np005G305340, Np004G228750
OG0002540	As004G096620	Np005G302750, Np005G302700, Np005G302530, Np005G302710
OG0002541	As005G098580	Np006G320380
OG0002542	As005G100920	Np006G323160, Np001G067430
OG0002543	As005G101310	Np006G323690
OG0002543	As012G287170	Np001G066950
OG0002544	As005G103360	Np006G326380
OG0002544	As008G195470	Np001G065100
OG0002545	As005G105890, As005G105610, As005G105930	Np006G329850
OG0002546	As005G105700, As005G105720	Np006G329710, Np004G225580
OG0002547	As012G283750	Np001G061750
OG0002547	As005G106150	Np006G330130
OG0002548	As005G108450	Np006G335400, Np003G127990
OG0002549	As005G111540	Np001G056730
OG0002550	As010G227270	Np003G148830, Np001G043100
OG0002551	As010G224410	Np001G046370
OG0002551	As005G115520	Np003G152850
OG0002552	As010G222510	Np001G049220
OG0002552	As005G116390	Np001G005880
OG0002553	As005G119590	Np001G001680
OG0002553	As010G221160	Np001G051690
OG0002555	As006G122230	Np003G188190
OG0002555	As008G198480	Np004G258550
OG0002556	As006G122430	Np003G187900
OG0002556	As008G198330	Np004G258380
OG0002557	As006G127180	Np004G253800, Np006G355200
OG0002558	As006G132660	Np005G278570
OG0002559	As006G133130	Np007G424830
OG0002559	As009G200430	Np003G141610
OG0002560	As009G201240	Np003G142260
OG0002560	As006G134910	Np007G424320
OG0002561	As009G202670	Np003G143780
OG0002561	As006G135920	Np007G422890
OG0002562	As009G206940	Np001G015530
OG0002562	As006G138150, As006G138130	Np007G419610
OG0002563	As006G138330	Np007G419490
OG0002564	As006G139890	Np003G146640, Np007G417280
OG0002565	As006G144620	Np001G054710
OG0002566	As006G146200	Np006G337160, Np006G337170, Np010G434700, Np007G401530
OG0002567	As007G152810	Np004G239960, Np002G072090
OG0002568	As010G238200	Np002G078080
OG0002568	As007G155930	Np004G235860
OG0002569	As010G237410	Np002G076970
OG0002569	As007G156520	Np004G235170
OG0002570	As007G156590	Np004G235040
OG0002571	As010G236920	Np002G076320
OG0002571	As007G156990	Np004G234490
