Orthogroup	Aethionema_saxatile	Capsella_rubella
OG0004557	As003G066240	XP_006304691.1
OG0004558	As003G068490	XP_006286048.1, XP_006303207.1
OG0004559	As004G081350, As003G069100	XP_006306677.1
OG0004560	As003G069170	XP_006304138.1
OG0004561	As003G070250	XP_006304077.1
OG0004562	As003G070690	XP_023644892.1
OG0004563	As003G071430	XP_006307602.2
OG0004564	As003G071740	XP_006285317.1
OG0004565	As003G071820	XP_023633784.1
OG0004566	As003G072650	XP_006283951.1
OG0004567	As003G075090	XP_006285574.2
OG0004568	As004G076930	XP_006285953.1
OG0004569	As004G077080	XP_006282446.1
OG0004570	As004G078450	XP_006285870.1
OG0004571	As004G078690	XP_006293147.1
OG0004572	As004G078860	XP_006295389.1, XP_006286593.1
OG0004573	As004G089620	XP_006281122.1
OG0004574	As004G079990	XP_006294551.1
OG0004575	As004G081570	XP_006296063.1
OG0004576	As004G084010	XP_006289873.1
OG0004577	As004G084320	XP_006288586.1
OG0004578	As004G086090	XP_023637044.1, XP_006285107.1
OG0004579	As004G086580, As004G086630	XP_006280276.1
OG0004580	As004G086670	XP_006280794.2
OG0004581	As004G088710	XP_023644210.1
OG0004582	As004G089650	XP_023638894.1
OG0004583	As004G092640	XP_006282689.1
OG0004584	As004G094230, As004G094130, As004G094150, As004G094120	XP_006285453.1
OG0004585	As004G095110	XP_006282877.1
OG0004586	As011G254200, As004G096140	XP_023641088.1
OG0004588	As005G101990	XP_023639649.1
OG0004589	As005G102570	XP_006295245.1
OG0004590	As005G102580	XP_006294994.1
OG0004592	As005G103900	XP_006294556.1
OG0004593	As005G107390	XP_006287879.2
OG0004594	As005G108270	XP_006287947.1
OG0004595	As005G112110	XP_006287414.1
OG0004596	As005G112490	XP_006289179.1
OG0004597	As005G113240	XP_006289299.1
OG0004598	As005G113640	XP_006287471.1
OG0004599	As005G116060	XP_006279645.1
OG0004600	As005G116670	XP_006279598.2
OG0004601	As005G117060, As005G117070	XP_006280792.1
OG0004602	As005G117530	XP_006281164.1
OG0004603	As005G118490	XP_006280898.1
OG0004604	As005G118570	XP_006279503.1
OG0004605	As005G119490	XP_006280479.1
OG0004606	As005G120070	XP_006280818.1
OG0004607	As005G120720, As005G120700	XP_006290347.1
OG0004608	As006G121010	XP_006282145.1
OG0004609	As006G123070	XP_023637345.1
OG0004610	As006G125090	XP_006279531.1
OG0004611	As006G125600	XP_006294591.1
OG0004612	As006G127160	XP_006296276.1
OG0004613	As006G129290	XP_006295741.1
OG0004614	As006G130790	XP_006304143.1
OG0004615	As006G130930	XP_006294987.1
OG0004616	As006G133000, As006G132980	XP_023645066.1, XP_006296995.1
OG0004617	As006G133180	XP_006299087.1
OG0004618	As006G133500	XP_023636395.1
OG0004619	As006G133560	XP_023641228.1
OG0004620	As006G141990, As006G133730	XP_006298777.1
OG0004621	As006G135760, As009G202400	XP_006296955.1
OG0004622	As006G135970	XP_023636688.1, XP_023641725.1
OG0004623	As006G137260	XP_006298314.1
OG0004624	As006G139180	XP_006296737.1
OG0004625	As006G139360	XP_006298515.1
OG0004626	As006G139540	XP_006298596.1
OG0004627	As009G205070	XP_006288201.1
OG0004627	As006G139570	XP_006298131.1
OG0004628	As006G139900	XP_006297692.1
OG0004629	As006G141110, As006G141120	XP_006298437.1
OG0004630	As006G141420	XP_006298554.1
OG0004631	As006G141470	XP_006297469.2
OG0004632	As006G141630	XP_006298443.1
OG0004633	As006G141660	XP_006298911.1
OG0004634	As006G142290	XP_006295288.1
OG0004635	As006G142670	XP_006294294.1
OG0004636	As006G142710	XP_006295748.1
OG0004637	As006G142850	XP_006295484.1
OG0004638	As006G143330	XP_006294361.1
OG0004639	As006G144970	XP_023639682.1
OG0004640	As006G145040	XP_006294194.1
OG0004641	As006G145410	XP_006294559.2
OG0004642	As006G146400	XP_006294619.1
OG0004643	As006G147190	XP_023639874.1
OG0004644	As007G152340	XP_006303351.1
OG0004645	As007G154210, As007G152410	XP_023645091.1
OG0004646	As007G154330	XP_006304577.1
OG0004647	As007G154990	XP_006305192.1
OG0004648	As007G156100	XP_006304793.1
OG0004649	As010G236360, As007G157390	XP_006305555.1
OG0004650	As007G158000	XP_006303559.1
OG0004651	As007G159490	XP_006304707.1
OG0004652	As007G159630, As007G159640	XP_006305312.1
OG0004653	As007G159650	XP_023644791.1
OG0004654	As007G160410	XP_006305507.1
OG0004655	As007G163000, As007G165660	XP_006285937.1
OG0004657	As007G163600	XP_006283604.1
OG0004659	As007G177700	XP_006296174.1
OG0004661	As008G184680	XP_006303220.1
OG0004662	As008G187370	XP_006304195.1
OG0004664	As008G188000	XP_023644690.1
OG0004665	As008G188240	XP_006305129.1
OG0004666	As008G188780	XP_023645203.1
OG0004667	As008G189020	XP_023645329.1
OG0004668	As008G190320	XP_006304902.1
OG0004669	As008G191130	XP_006305894.1
OG0004670	As008G193050	XP_023644576.1
OG0004671	As008G195650	XP_006303497.2
OG0004672	As009G200150	XP_006287815.1
OG0004673	As009G202420	XP_006288951.1
OG0004674	As009G203750	XP_006286529.1
OG0004675	As009G203800	XP_006288938.2
OG0004676	As009G204380	XP_006287752.1
OG0004677	As009G204480	XP_006288956.1
OG0004678	As009G205010	XP_006288577.1
OG0004679	As009G205800	XP_006286486.1
OG0004680	As009G206920	XP_006288621.2
OG0004681	As009G207210	XP_023633890.1, XP_006289338.1
OG0004682	As009G207670, As009G207660, As009G207710, As009G207700	XP_006280725.1
OG0004683	As009G208820	XP_006281210.1
OG0004684	As009G208870	XP_006279691.2
OG0004685	As009G209640	XP_006286669.1
OG0004686	As009G212060	XP_006280444.1
OG0004687	As009G212090	XP_006290264.1
OG0004688	As009G212420, As009G212410	XP_006288909.1
OG0004689	As009G213660	XP_006288218.1
OG0004690	As009G214620	XP_006288156.1
OG0004691	As009G215110	XP_006286737.2
OG0004692	As009G215150	XP_006287768.2
OG0004693	As009G215480	XP_006288525.2
OG0004694	As009G217250	XP_023637034.1
OG0004695	As009G218500	XP_006290761.1, XP_006280201.1
OG0004696	As009G218640	XP_023640210.1
OG0004697	As009G218750	XP_006279685.2
OG0004698	As009G218840	XP_006280728.1
OG0004699	As009G218920	XP_006280703.1
OG0004700	As009G219250	XP_006281467.1
OG0004701	As010G220550	XP_006291410.2
OG0004702	As010G222340	XP_006291500.2
OG0004703	As010G222740	XP_023637886.1
OG0004705	As011G257540, As010G226740	XP_006297663.2
OG0004706	As010G226830	XP_006290832.1, XP_006291257.1
OG0004707	As010G232320	XP_006302775.1
OG0004708	As010G232500	XP_006302036.1
OG0004709	As010G232900	XP_006302005.1
OG0004710	As010G234800	XP_006301540.2
OG0004711	As010G235100	XP_006302555.1
OG0004712	As010G237140	XP_006302239.1
OG0004713	As010G237780	XP_006301294.1
OG0004714	As010G238010	XP_006302285.2
OG0004715	As010G238050, As010G238040	XP_006307027.1
OG0004716	As010G239010	XP_006302263.1
OG0004717	As010G239890	XP_006307218.1, XP_023645410.1
OG0004718	As010G242420	XP_006302974.1
OG0004719	As010G243200	XP_006302927.1
OG0004720	As010G243480	XP_006302480.1
OG0004721	As010G243680	XP_006301449.1
OG0004722	As010G243730	XP_006302137.1
OG0004723	As010G243830	XP_006302248.1
OG0004724	As010G243840	XP_006300989.1
OG0004725	As010G244010	XP_006303283.1
OG0004726	As011G244610	XP_006298989.1
OG0004727	As011G244720	XP_006300038.1
OG0004729	As011G245400	XP_006300168.2
OG0004730	As011G245970	XP_006297825.2
OG0004732	As011G247150	XP_006298423.1
OG0004733	As011G247580	XP_023642051.1
OG0004734	As011G248970	XP_006298489.1
OG0004735	As011G249420	XP_006306985.1, XP_006297204.1
OG0004736	As011G250360	XP_006299714.1
OG0004737	As011G250700	XP_006297326.1
OG0004738	As011G250930	XP_023642277.1
OG0004739	As012G272860, As011G251110	XP_006299472.1
OG0004740	As011G252030	XP_023642041.1
OG0004741	As011G253470	XP_006299130.1
OG0004742	As011G254510	XP_006297264.1
OG0004743	As011G254540	XP_006298348.1
OG0004744	As011G255150	XP_006299394.1
OG0004745	As011G255330	XP_006299893.1
OG0004746	As011G256090	XP_006297998.1
OG0004747	As011G256630	XP_023641379.1
OG0004748	As011G262550, As011G262540	XP_023644026.1, XP_006301106.1
OG0004749	As011G263460	XP_006300067.1
OG0004750	As011G266140	XP_006297805.2
OG0004751	As011G267050	XP_023642096.1
OG0004752	As012G268020	XP_006303808.1
OG0004753	As012G269500	XP_006284887.2
OG0004754	As012G272120	XP_006306404.1
OG0004755	As012G272400	XP_006306376.1, XP_006304441.1
OG0004756	As012G273590	XP_006307404.1
OG0004757	As012G273670	XP_006296884.1
OG0004758	As012G277580	XP_006291429.1
OG0004759	As012G279310	XP_006291779.1
OG0004760	As012G279450	XP_006290584.1
OG0004761	As012G279480	XP_006292062.1
OG0004762	As012G281540	XP_023642600.1, XP_006294650.1
OG0004763	As012G282030	XP_006293018.1
OG0004764	As012G282670	XP_023637966.1
OG0004765	As012G283070	XP_023638985.1
OG0004766	As012G283240	XP_006291470.1
OG0004767	As012G283940	XP_006290337.2
OG0004768	As012G284140	XP_006291292.1
OG0004769	As012G284280	XP_006291969.1
OG0004770	As012G289140	XP_006291800.2, XP_023636957.1
OG0004801	As011G267360, As001G000190	XP_006283593.1
OG0004802	As001G000200	XP_006284909.1
OG0004803	As001G000240	XP_006284165.2
OG0004804	As001G000330	XP_006284686.1
OG0004805	As001G000920	XP_006283829.1
OG0004806	As001G002130	XP_023634113.1
OG0004807	As001G002880	XP_006283391.1
OG0004808	As001G004040	XP_006285020.1
OG0004809	As001G004150	XP_006284591.2
OG0004810	As001G004320	XP_006281302.2
OG0004811	As001G005970	XP_006286133.1
OG0004812	As001G006400	XP_006283062.1
OG0004813	As001G007090	XP_023635069.1
OG0004814	As001G013570	XP_006284369.1
OG0004815	As001G014410	XP_006284711.2
OG0004817	As004G083110, As001G017700	XP_006283475.1
OG0004818	As001G017790	XP_006284444.2
OG0004819	As001G018060	XP_006286116.1
OG0004820	As001G018530	XP_006302863.2, XP_006302984.1
OG0004821	As001G018760	XP_006300832.1, XP_023644824.1
OG0004823	As001G021690	XP_023633332.1, XP_006302048.1
OG0004824	As001G022350	XP_023638286.1, XP_006291691.2, XP_006291221.2
OG0004825	As008G182410, As001G022410	XP_006292359.1
OG0004826	As001G023400	XP_006291389.2
OG0004827	As001G025020	XP_006291109.1
OG0004828	As001G025450	XP_006290254.1
OG0004829	As001G025570	XP_006291298.1
OG0004830	As004G097530, As001G026310	XP_006284149.2
OG0004831	As001G026350	XP_006291220.1
OG0004832	As001G026590, As005G119760	XP_006292048.2
OG0004833	As001G027610	XP_006293035.1
OG0004834	As001G027630	XP_006291515.1
OG0004835	As001G027750	XP_006291514.1
OG0004836	As001G027800	XP_006292942.1
OG0004837	As001G028020	XP_023638692.1
OG0004838	As001G028180	XP_006290958.1
OG0004839	As001G028190	XP_006287477.2
OG0004840	As001G028760	XP_006302299.1
OG0004841	As001G031130	XP_023643114.1
OG0004842	As001G031750	XP_006302086.1, XP_023645062.1
OG0004843	As008G185240, As001G032070	XP_023633149.1
OG0004844	As002G033080	XP_006294950.1
OG0004845	As002G034250	XP_023641463.1
OG0004846	As002G035570	XP_006297083.1
OG0004847	As002G035930	XP_006299273.1
OG0004848	As002G037420	XP_006298312.1
OG0004849	As002G038820	XP_006298796.1
OG0004850	As007G164360, As002G042970	XP_006281051.1
OG0004851	As002G043200	XP_006281047.1, XP_006281570.1
OG0004852	As002G043810, As009G209900	XP_006280819.1
OG0004853	As002G044150	XP_006281549.1
OG0004854	As002G044600	XP_006280723.1
OG0004855	As002G044650	XP_006280969.2
OG0004856	As002G044980	XP_006281380.1
OG0004857	As002G045730	XP_006280562.2
OG0004858	As002G046440	XP_023637746.1
OG0004859	As006G132620	XP_006284412.1
OG0004860	As002G048650	XP_006281142.1
OG0004861	As002G049390	XP_023633150.1
OG0004862	As002G049870, As010G227590	XP_006281161.1
OG0004863	As002G050320	XP_006288550.2
OG0004864	As002G050440	XP_023636850.1
OG0004865	As002G050480	XP_006289127.1
OG0004866	As002G050490	XP_006289174.1
OG0004867	As002G051840	XP_006289739.1
OG0004868	As002G051860, As009G201870	XP_006287791.1
OG0004869	As002G052150	XP_006289960.1
OG0004870	As002G052750	XP_023635960.1
OG0004872	As002G053820	XP_006288272.1
OG0004873	As003G055900	XP_006283497.1
OG0004874	As004G089050	XP_006280369.1
OG0004875	As003G056530	XP_006284116.1
OG0004876	As003G056620, As004G088760	XP_006280411.1
OG0004877	As003G057300	XP_006283967.1
OG0004878	As003G057320	XP_006283847.1
OG0004879	As003G057800	XP_006283421.1
OG0004880	As003G058210	XP_006283913.1
OG0004881	As003G058480	XP_006283067.1
OG0004882	As003G058730	XP_006285272.1
OG0004883	As003G059030	XP_006285137.2
OG0004884	As003G059460	XP_023634919.1
OG0004885	As003G059780	XP_006287932.2
OG0004886	As003G059800	XP_023635418.1
OG0004887	As003G059840	XP_006284232.1
OG0004888	As003G060430	XP_006283894.1
OG0004889	As003G060940	XP_023634924.1
OG0004890	As003G061450	XP_006282835.1
OG0004891	As003G061960	XP_006284559.1
OG0004892	As003G062150	XP_023635008.1
OG0004894	As003G065660	XP_023645198.1
OG0004895	As003G067740	XP_006305638.1
OG0004896	As003G068660	XP_006306281.1
OG0004897	As003G068770	XP_023632752.1
OG0004898	As012G275180	XP_006306367.1
OG0004899	As003G070960	XP_006289944.1
OG0004900	As003G072940	XP_006285103.1
OG0004901	As003G073810	XP_006282666.1, XP_006284112.1, XP_006285849.1
OG0004902	As003G074050	XP_023634644.1
OG0004904	As003G076520	XP_006283464.1
OG0004905	As004G079710	XP_006296261.1
OG0004906	As004G086100	XP_023637571.1
OG0004907	As004G086370	XP_006287564.1
OG0004908	As004G087110, As004G089370, As004G089390	XP_006304260.2, XP_006281370.1
OG0004909	As004G087860	XP_023637476.1
OG0004910	As004G088520	XP_023642657.1
OG0004911	As011G262950, As004G088540	XP_006281330.1
OG0004912	As004G089270	XP_006280877.1
OG0004913	As004G090260	XP_006280514.1
OG0004914	As004G090350	XP_006279696.1
OG0004915	As004G090850	XP_023635001.1
OG0004916	As004G093460	XP_006298627.1
OG0004917	As012G270330	XP_006306483.1
OG0004918	As004G096130	XP_006285171.1, XP_006282786.2
OG0004919	As004G097840	XP_006282694.1
OG0004920	As004G098270	XP_006282280.1
OG0004921	As012G288850	XP_006291216.1
OG0004922	As005G099440, As012G288450	XP_023638186.1
OG0004924	As005G100960	XP_006306556.1
OG0004925	As012G287450, As005G101030	XP_006291934.1
OG0004926	As005G101090	XP_006295673.1
OG0004927	As005G101280	XP_006294875.1
OG0004928	As005G101340	XP_006294921.1
OG0004929	As005G102400	XP_023640196.1
OG0004930	As005G103650	XP_006293536.2
OG0004932	As005G104320	XP_006294694.2
OG0004933	As005G104880	XP_006296375.1
OG0004936	As005G107480	XP_023637182.1
OG0004937	As005G108370	XP_006288382.1
OG0004938	As005G108800	XP_006294601.1
OG0004939	As005G109120	XP_006287481.1
OG0004940	As005G111070	XP_006288350.1
OG0004941	As005G111180	XP_006288905.1
OG0004942	As005G112060	XP_006286670.1
OG0004943	As005G112360	XP_006287488.1
OG0004944	As005G113020	XP_006289681.1
OG0004945	As005G113300	XP_006287714.1
OG0004946	As005G113780	XP_006289136.1
OG0004947	As005G113910	XP_006299347.1, XP_006303784.2
OG0004948	As005G114610	XP_006280235.1
OG0004949	As005G115090	XP_006280849.1
OG0004950	As005G115760	XP_006281216.1
OG0004951	As005G115840	XP_006281272.1
OG0004952	As005G116130	XP_006281666.1, XP_006290693.1
OG0004953	As005G116150	XP_006295227.1
OG0004954	As005G116380	XP_006281875.1
OG0004955	As005G117550	XP_023637975.1
OG0004956	As005G118410	XP_006281251.1
OG0004957	As005G118630	XP_006279977.1
OG0004958	As005G118700	XP_006281291.1
OG0004959	As005G118850	XP_006281553.1
OG0004960	As005G119160	XP_006279684.1
OG0004961	As005G119230	XP_006281206.1
OG0004962	As005G119600	XP_006281307.1
OG0004963	As005G119980	XP_006281022.1
OG0004965	As006G121990	XP_006288044.1
OG0004966	As006G124550	XP_023640730.1
OG0004967	As008G196340	XP_006303636.1
OG0004968	As006G125250	XP_006305792.2, XP_006295121.2
OG0004969	As006G126170	XP_006293438.1
OG0004970	As006G127960	XP_006294407.1
OG0004971	As006G128010	XP_006296283.1
OG0004972	As006G128270	XP_006295580.1
OG0004973	As006G128640	XP_006296093.2
OG0004974	As006G128740	XP_006295147.1
OG0004975	As006G129710	XP_006293692.1
OG0004976	As006G130190	XP_006293462.1
OG0004977	As006G130530	XP_006294674.2
OG0004978	As006G133540, As009G199820	XP_006289381.1
OG0004979	As006G133750, As006G141960	XP_006297329.1
OG0004980	As006G142010	XP_006298456.1
OG0004981	As006G134770	XP_006298185.2
OG0004982	As009G202500, As006G135830	XP_006296584.2
OG0004983	As006G136020	XP_006288409.1
OG0004986	As009G205410, As006G139410	XP_006290010.1
OG0004988	As006G139830, As009G204740	XP_006296751.1
OG0004989	As006G140070, As012G283670	XP_023638224.1
OG0004990	As006G140740	XP_006297312.1
OG0004991	As006G141260	XP_023642318.1
OG0004992	As006G141680	XP_006297895.1
OG0004993	As006G141950	XP_023641679.1
OG0004994	As006G142580	XP_006294985.1
OG0004995	As006G142980	XP_006295396.1
OG0004996	As006G143310	XP_006294132.1
OG0004997	As006G143760	XP_006292231.1
OG0004998	As006G144480	XP_006295808.1
OG0004999	As006G144570	XP_006295620.1
OG0005000	As006G144590	XP_006303384.1
OG0005001	As006G147050	XP_006295430.2
OG0005002	As006G147700	XP_006294698.1
OG0005003	As006G147990	XP_023640149.1
OG0005005	As007G151970	XP_006305150.1
OG0005006	As007G153190	XP_006304388.2
OG0005007	As007G154040, As007G153880	XP_006301678.1, XP_006303881.1
OG0005008	As007G153990	XP_023645047.1
OG0005009	As007G154750	XP_023633174.1
OG0005010	As007G154930	XP_006304432.2
OG0005011	As007G155560	XP_006305530.1
OG0005012	As007G156050	XP_006306729.1
OG0005013	As007G158050	XP_006302283.1
OG0005014	As007G158130	XP_006303556.1
OG0005015	As007G158650	XP_023645186.1
OG0005016	As007G160000	XP_006307741.2, XP_006304400.1
OG0005017	As007G160010	XP_023642588.1
OG0005018	As007G160180	XP_023645224.1
OG0005019	As007G160320	XP_006303467.1
OG0005020	As010G232330, As007G160760	XP_006303557.1
OG0005021	As007G161470, As007G163920	XP_006307530.1
OG0005022	As007G161710	XP_006304603.1
OG0005023	As007G161950	XP_006305383.1
OG0005024	As007G162060, As010G228460	XP_023643183.1
OG0005025	As007G163520	XP_006284198.1
OG0005026	As007G164830	XP_006285349.1
OG0005027	As007G176570	XP_023634060.1, XP_006283045.1
OG0005028	As008G182510	XP_006302795.1
OG0005029	As008G183630	XP_023636722.1, XP_006279607.1
OG0005030	As008G184850	XP_006302151.1
OG0005031	As008G184860	XP_006304458.1
OG0005032	As008G185200	XP_006307256.2
OG0005033	As008G185880	XP_006307441.2
OG0005034	As008G187000	XP_006305763.1
OG0005035	As008G187350	XP_006304865.1
OG0005036	As008G187850	XP_023633126.1
OG0005037	As008G188970	XP_006305375.1
OG0005038	As008G190460	XP_006282452.1, XP_006293737.2
OG0005039	As008G190580	XP_006304187.1
OG0005040	As008G190680	XP_006303358.1
OG0005041	As008G193840	XP_006303558.1
OG0005042	As008G193930, As008G193940	XP_006306810.1
OG0005043	As008G194160	XP_006303301.1
OG0005044	As008G195190	XP_006304184.1
OG0005045	As008G195270, As008G195280	XP_006306775.1
OG0005046	As008G197560	XP_006305553.1
OG0005047	As008G198960	XP_006304244.1
OG0005048	As008G199030	XP_006307571.1
OG0005049	As008G199040	XP_006305388.1
OG0005050	As009G200820	XP_023636879.1
OG0005051	As009G201840	XP_006302050.1
OG0005052	As009G201920	XP_006288176.1
OG0005053	As009G202060	XP_006287845.1
OG0005054	As009G202510	XP_006288319.2
OG0005055	As009G203120	XP_006287812.1
OG0005056	As009G203200	XP_006287913.1
OG0005057	As009G203710	XP_006287563.1
OG0005058	As009G204170	XP_006286525.1
OG0005059	As009G204310	XP_006289041.1
OG0005060	As009G204730	XP_006290030.1
OG0005061	As009G205060	XP_006288843.1
OG0005062	As009G205390	XP_006288650.1
OG0005063	As009G206840	XP_006299942.1, XP_006286919.1
OG0005065	As009G207370	XP_006280525.2
OG0005066	As009G207390	XP_006281014.2, XP_006279693.1
OG0005067	As009G208350	XP_006279665.1
OG0005068	As009G209370	XP_006281224.1
OG0005069	As009G210130	XP_006280568.1
OG0005070	As009G211070	XP_006291777.1
OG0005071	As009G212280	XP_006287041.1
OG0005072	As009G214020	XP_006290160.1
OG0005073	As009G216020	XP_006292796.1
OG0005074	As009G216210, As009G216220	XP_006288521.1
OG0005075	As009G217570	XP_006280855.1
OG0005076	As009G217600	XP_006281003.1
OG0005077	As009G217940	XP_006282146.1
OG0005078	As009G218030	XP_006281711.1
OG0005079	As009G218730	XP_006279635.1
OG0005080	As009G219690	XP_006280254.1
OG0005081	As009G219900	XP_023643478.1
OG0005082	As009G220060	XP_023636915.1
OG0005083	As009G220070	XP_006281943.1
OG0005084	As010G221270	XP_006291328.1
OG0005085	As010G221790	XP_006291560.1
OG0005086	As010G221820	XP_006291345.1
OG0005087	As010G222060	XP_023638004.1
OG0005088	As010G222240	XP_006295961.1, XP_006290808.1
OG0005089	As010G223760	XP_006290806.1
OG0005090	As010G227320	XP_006287281.1
OG0005091	As010G227690	XP_006302330.1
OG0005092	As010G230480	XP_006302884.1
OG0005093	As010G230830	XP_006301554.1
OG0005094	As010G231100	XP_006302031.1
OG0005095	As010G231510	XP_006291419.1
OG0005097	As010G232030	XP_006303048.1
OG0005098	As010G232760	XP_006302537.1
OG0005099	As010G234810	XP_006302793.1
OG0005100	As010G235320	XP_023643573.1
OG0005101	As010G235560, As010G235550	XP_006300576.1
OG0005102	As010G235970	XP_006280839.1
OG0005103	As010G236600	XP_006302034.1
OG0005104	As010G237160	XP_006302419.1
OG0005105	As010G237330	XP_006302854.1
OG0005106	As010G238190	XP_006302882.1
OG0005107	As010G242810	XP_006302459.1
OG0005108	As010G243740	XP_006302813.1
OG0005109	As010G243850	XP_006300504.1
OG0005110	As010G244380	XP_023645624.1
OG0005111	As011G245140	XP_006298536.1
OG0005112	As011G245560	XP_006297251.1
OG0005113	As011G245600	XP_006297084.1
OG0005114	As011G245840	XP_023642602.1
OG0005116	As011G246550, As012G269560	XP_006297265.1
OG0005117	As011G247300	XP_006298594.1
OG0005118	As011G247570	XP_023642046.1
OG0005119	As011G247670	XP_006298161.1
OG0005120	As011G247850	XP_006300048.1
OG0005121	As011G248190	XP_006297067.1
OG0005122	As011G248500	XP_006298541.1
OG0005123	As011G248720	XP_006298335.1
OG0005124	As011G250650	XP_023642531.1
OG0005125	As011G251080	XP_006297564.1
OG0005126	As011G252180	XP_006298273.1
OG0005127	As011G252870	XP_006298570.1
OG0005128	As011G252920	XP_006297611.2
OG0005129	As011G252980	XP_006297945.1
OG0005130	As011G253260	XP_006279243.2, XP_023645179.1, XP_006300263.2, XP_006279259.2, XP_006279032.1, XP_023642655.1, XP_006300274.2
OG0005131	As011G253360	XP_006297290.2
OG0005133	As011G253680	XP_006298589.1
OG0005134	As011G253700	XP_006299594.2, XP_006296829.1
OG0005135	As011G254010	XP_023634097.1, XP_006297529.1
OG0005136	As011G254750	XP_006297773.1
OG0005137	As011G256120	XP_006297786.1
OG0005138	As011G256170	XP_006299645.1
OG0005139	As011G262510	XP_006298856.1
OG0005140	As011G265140	XP_006297598.1, XP_006296755.2
OG0005142	As011G265810	XP_023641696.1
OG0005143	As011G265870	XP_006297851.1
OG0005144	As011G266960	XP_006300044.1
OG0005145	As012G268090	XP_023645891.1
OG0005146	As012G268410	XP_006305217.1
OG0005148	As012G271810	XP_006306101.1, XP_023632694.1
OG0005150	As012G275500	XP_006292618.1
OG0005151	As012G275980	XP_006293176.1
OG0005152	As012G276380	XP_006290748.1
OG0005154	As012G278270	XP_006291550.1
OG0005155	As012G278420	XP_006290893.1
OG0005156	As012G280450	XP_006292259.1
OG0005157	As012G280490	XP_006291493.1
OG0005158	As012G280950	XP_006291931.1
OG0005159	As012G282630	XP_023637952.1
OG0005160	As012G282710	XP_006291977.1
OG0005161	As012G282890	XP_006291218.2
OG0005162	As012G284100	XP_006290927.2
OG0005163	As012G285650	XP_006305757.1, XP_006292007.1
OG0005164	As012G285670	XP_006292060.1
OG0005165	As012G287130	XP_006291146.1
OG0005166	As012G287510	XP_006294514.1
OG0005167	As012G287550	XP_023638465.1
OG0005168	As012G287590	XP_023639169.1, XP_006286552.1
OG0005192	As001G000030	XP_006282662.2
OG0005193	As001G000450	XP_006282920.1
OG0005194	As001G000820	XP_006284040.1
OG0005195	As001G000860	XP_006283211.1
OG0005196	As001G001460	XP_023634812.1
OG0005197	As011G265330, As001G001510	XP_006298651.1
OG0005198	As001G001540	XP_023634880.1
OG0005199	As001G001750	XP_023639786.1
OG0005201	As001G002200	XP_006283218.1
OG0005202	As001G002220	XP_023634929.1
OG0005203	As001G002680, As001G002700, As001G002690	XP_006292938.2, XP_006292504.1
OG0005204	As001G002730, As001G002720	XP_006282768.1
OG0005205	As001G003030	XP_006283288.1
OG0005206	As001G003180	XP_006285443.1
OG0005207	As001G003510	XP_006284457.1
OG0005209	As001G004470	XP_006284676.1
OG0005210	As001G006380	XP_006283262.1
OG0005211	As001G013560	XP_006283905.1
OG0005212	As001G013840	XP_006282971.1
OG0005213	As001G013850	XP_006285436.1
OG0005214	As001G014850	XP_006284334.1
OG0005215	As001G016310	XP_006303193.1
OG0005216	As001G019480, As001G016550	XP_006307262.1
OG0005217	As001G017460	XP_006284141.1
OG0005218	As001G019600	XP_006301429.1
OG0005219	As001G021490	XP_006301480.1
OG0005220	As001G021830	XP_006302148.1
OG0005221	As001G022830	XP_023638378.1
OG0005222	As001G023020	XP_006292199.1
OG0005223	As001G023090	XP_006291139.1
OG0005225	As001G023510	XP_006291205.1
OG0005226	As001G024000	XP_006291439.1
OG0005227	As001G024070	XP_006292753.1
OG0005228	As001G024300	XP_006291946.2
OG0005229	As001G024310	XP_006291803.1
OG0005230	As001G025120	XP_006292632.1
OG0005231	As008G184490, As001G025700	XP_006303568.1
OG0005232	As001G025830	XP_006291141.1
OG0005233	As002G050110, As001G026680	XP_006280816.2
OG0005234	As001G026780	XP_006292233.1, XP_023638634.1, XP_006291878.1
OG0005235	As001G027570	XP_006291705.1
OG0005236	As001G028240	XP_023644287.1
OG0005237	As001G031580	XP_023643184.1, XP_023645659.1
OG0005238	As001G031860	XP_006300795.1
OG0005239	As002G032740	XP_006283766.1
OG0005240	As002G033370	XP_006294359.1
OG0005241	As002G035650	XP_006299685.1
OG0005242	As002G037520	XP_006299615.2
OG0005243	As002G038200	XP_006299808.1, XP_006289079.1
OG0005244	As002G040220	XP_006282058.1
OG0005245	As002G044780	XP_006280670.1
OG0005246	As002G044790	XP_006281356.1
OG0005248	As002G047450	XP_023637642.1
OG0005249	As002G047550	XP_006291797.1
OG0005250	As002G047570	XP_023638693.1, XP_006292756.1, XP_023642465.1
OG0005251	As002G049350	XP_006281908.1
OG0005252	As002G049940	XP_023633499.1
OG0005253	As002G050050	XP_006305842.1
OG0005254	As002G050270	XP_006287760.1
OG0005255	As002G050710	XP_006287046.1
OG0005256	As002G050800	XP_006288441.1
OG0005257	As002G051180	XP_006287139.1
OG0005258	As002G051280	XP_006290018.1
OG0005259	As002G051440	XP_006288317.1
OG0005260	As002G052400	XP_006286729.1, XP_023637585.1
OG0005261	As002G052420	XP_023637587.1
OG0005262	As002G053420	XP_006288864.1
OG0005263	As002G054560	XP_006288561.1
OG0005264	As002G054620	XP_006287933.1
OG0005265	As002G054940	XP_023637480.1
OG0005266	As002G055500	XP_006288091.1
