Orthogroup	Aethionema_saxatile	Raphanus_sativus
OG0002692	As006G121510	XP_018461978.1, XP_018474906.1, XP_018454652.1
OG0002693	As006G123750	XP_018452792.1, XP_018456567.1, XP_018472517.1
OG0002694	As006G124270	XP_018477113.1, XP_018457023.1
OG0002695	As006G127050	XP_018474669.1
OG0002695	As008G194410	XP_018489547.1
OG0002696	As006G129490	XP_018490110.1, XP_018471615.1, XP_018463192.1, XP_018475408.1
OG0002697	As006G142000, As006G133830	XP_018490951.1
OG0002698	As006G136330	XP_018490457.1
OG0002698	As009G203310	XP_018460052.1
OG0002699	As009G203390	XP_018442415.1, XP_018459142.1, XP_018449485.1
OG0002700	As009G204050, As006G137200	XP_018435070.1
OG0002701	As006G140860	XP_018486869.1, XP_018492830.1, XP_018478758.1
OG0002702	As012G282650	XP_018460790.1, XP_018464373.1
OG0002702	As006G142520	XP_018477290.1
OG0002703	As006G142840	XP_018487497.1
OG0002703	As011G265040	XP_018492722.1, XP_018451921.1
OG0002704	As006G145710	XP_018473247.1
OG0002705	As006G148860	XP_018485479.1, XP_018484589.1
OG0002706	As010G242850	XP_018452311.1
OG0002706	As007G152830	XP_018433499.1
OG0002707	As010G240220	XP_018458011.1
OG0002707	As007G154380	XP_018477174.1
OG0002708	As007G155940	XP_018472402.1, XP_018492856.1, XP_018492826.1
OG0002709	As007G157250	XP_018444212.1, XP_018462298.1, XP_018463236.1, XP_018481179.1, XP_018459126.1
OG0002710	As010G234240	XP_018452835.1
OG0002711	As007G159880	XP_018465627.1
OG0002713	As007G161210	XP_018447715.1, XP_018479263.1, XP_018479256.1
OG0002715	As008G182490	XP_018483874.1, XP_018441505.1
OG0002716	As008G187170	XP_018489894.1, XP_018456772.1, XP_018486576.1
OG0002717	As009G202340	XP_018475802.1, XP_018470036.1
OG0002718	As009G203250, As009G203380	XP_018469291.1, XP_018466659.1, XP_018444786.1, XP_018442345.1
OG0002719	As009G215820	XP_018462829.1
OG0002720	As010G220600, As010G220610	XP_018467653.1
OG0002721	As010G221870, As010G221880	XP_018468441.1, XP_018464528.1
OG0002722	As010G232310	XP_018446158.1
OG0002723	As010G235340	XP_018468098.1, XP_018452721.1, XP_018437824.1
OG0002724	As010G237080	XP_018469261.1, XP_018467568.1
OG0002725	As011G244940	XP_018491424.1, XP_018439515.1, XP_018439514.1
OG0002726	As011G247620	XP_018491127.1, XP_018439252.1
OG0002726	As012G270130	XP_018446318.1
OG0002727	As011G248410	XP_018441147.1, XP_018442001.1, XP_018492997.1, XP_018487081.1
OG0002728	As012G272740	XP_018442013.1
OG0002728	As011G251250	XP_018465606.1
OG0002729	As011G252830	XP_018491979.1
OG0002729	As012G271580	XP_018492812.1
OG0002730	As011G253790	XP_018486023.1, XP_018488430.1, XP_018462186.1, XP_018462185.1, XP_018460619.1
OG0002731	As011G254440	XP_018489070.1, XP_018487107.1
OG0002732	As012G271000	XP_018491604.1, XP_018491605.1
OG0002733	As012G273010	XP_018450043.1, XP_018466104.1, XP_018448796.1, XP_018487274.1, XP_018490191.1, XP_018490189.1
OG0002734	As012G275240	XP_018474560.1, XP_018442388.1, XP_018458088.1, XP_018447050.1
OG0002736	As012G278190	XP_018482497.1, XP_018482743.1, XP_018490642.1
OG0002737	As012G282920	XP_018489160.1
OG0002753	As001G000210	XP_018471961.1
OG0002753	As011G267350	XP_018441651.1
OG0002755	As001G004000	XP_018471844.1
OG0002757	As011G263180	XP_018455921.1
OG0002758	As011G263700	XP_018477062.1
OG0002759	As001G015740	XP_018448546.1
OG0002760	As001G017010, As007G159080	XP_018493018.1
OG0002762	As001G021940	XP_018441817.1
OG0002762	As008G185820	XP_018458293.1
OG0002763	As008G182460	XP_018456905.1, XP_018483997.1
OG0002764	As008G183640	XP_018467794.1
OG0002764	As001G024270	XP_018477995.1
OG0002765	As001G025940	XP_018478687.1
OG0002766	As004G077360	XP_018483676.1
OG0002768	As002G032910	XP_018467256.1, XP_018481224.1
OG0002769	As002G034270	XP_018486834.1
OG0002770	As002G042380	XP_018474610.1
OG0002771	As002G053190	XP_018469634.1, XP_018475587.1, XP_018473590.1
OG0002771	As005G118190	XP_018488886.1
OG0002772	As005G116840	XP_018493307.1
OG0002772	As002G054010	XP_018443889.1
OG0002773	As002G055290	XP_018446820.1
OG0002774	As003G058130	XP_018469252.1, XP_018469251.1
OG0002774	As004G087290	XP_018477598.1
OG0002775	As003G058200	XP_018483766.1, XP_018483765.1, XP_018478192.1
OG0002776	As003G059570	XP_018481924.1, XP_018481923.1, XP_018450875.1
OG0002777	As003G059960	XP_018462382.1, XP_018479184.1, XP_018459197.1, XP_018448486.1, XP_018468874.1
OG0002779	As003G063190, As003G063150, As003G063170	XP_018450646.1
OG0002780	As003G064140	XP_018476880.1, XP_018468760.1, XP_018450355.1
OG0002781	As003G073970	XP_018485260.1, XP_018454867.1
OG0002782	As003G074780, As007G180390	XP_018433211.1
OG0002783	As003G075620	XP_018436218.1, XP_018447697.1, XP_018447696.1
OG0002784	As004G089990	XP_018449178.1, XP_018478141.1, XP_018478150.1
OG0002785	As004G091710	XP_018447757.1, XP_018448630.1
OG0002786	As004G091990	XP_018459924.1, XP_018460154.1
OG0002787	As004G092210	XP_018458118.1
OG0002788	As004G095570	XP_018484174.1, XP_018481649.1
OG0002788	As011G255120	XP_018486922.1
OG0002789	As004G095840	XP_018447447.1, XP_018471931.1
OG0002790	As011G254310, As004G096070	XP_018491744.1, XP_018441313.1
OG0002791	As004G096460	XP_018432878.1, XP_018493316.1
OG0002792	As004G097100	XP_018487437.1
OG0002793	As005G099990	XP_018484614.1, XP_018441942.1
OG0002793	As012G288160	XP_018445446.1
OG0002794	As005G101850	XP_018440032.1
OG0002794	As012G286850	XP_018492328.1, XP_018492371.1, XP_018483786.1
OG0002795	As005G102310	XP_018476152.1, XP_018488067.1, XP_018483888.1
OG0002796	As005G103720, As005G103730	XP_018467169.1
OG0002797	As005G105270	XP_018478891.1, XP_018434593.1
OG0002798	As005G105660	XP_018440161.1, XP_018476107.1
OG0002799	As005G106610	XP_018484737.1
OG0002800	As005G108500	XP_018466960.1, XP_018476541.1, XP_018476381.1
OG0002801	As005G112300, As010G227050	XP_018445730.1, XP_018476240.1
OG0002802	As005G112600	XP_018472049.1, XP_018472633.1, XP_018446393.1, XP_018446392.1
OG0002803	As010G224010	XP_018440498.1
OG0002803	As005G115960	XP_018456362.1
OG0002804	As005G119640	XP_018437791.1
OG0002804	As010G221140	XP_018456415.1
OG0002805	As006G121540, As006G128670	XP_018433009.1
OG0002806	As008G198160	XP_018460533.1
OG0002806	As006G122540	XP_018460598.1, XP_018474967.1, XP_018473237.1
OG0002807	As006G123850	XP_018476464.1, XP_018489822.1
OG0002808	As006G126320	XP_018435085.1
OG0002808	As008G195220	XP_018471215.1
OG0002809	As006G127320	XP_018436902.1, XP_018487267.1, XP_018487939.1
OG0002810	As006G127830	XP_018472496.1
OG0002812	As006G130890	XP_018479801.1, XP_018479812.1
OG0002812	As008G190700	XP_018464082.1, XP_018481738.1, XP_018466384.1
OG0002813	As006G132910	XP_018438892.1
OG0002814	As006G135200	XP_018486416.1, XP_018485790.1
OG0002815	As006G136420	XP_018438620.1
OG0002815	As009G203420	XP_018459150.1, XP_018442723.1
OG0002817	As006G137530	XP_018434646.1
OG0002817	As009G204350	XP_018476744.1
OG0002818	As006G138270	XP_018486518.1, XP_018463430.1
OG0002818	As009G206780	XP_018457188.1
OG0002819	As009G204860	XP_018443282.1
OG0002819	As006G139750	XP_018440345.1, XP_018466489.1
OG0002820	As006G140110	XP_018436960.1, XP_018487371.1
OG0002821	As006G140460	XP_018490281.1, XP_018490272.1, XP_018440330.1
OG0002822	As006G144050	XP_018486181.1, XP_018433551.1
OG0002823	As006G144770	XP_018493567.1, XP_018477047.1
OG0002824	As006G146920	XP_018484632.1, XP_018476704.1
OG0002825	As010G243950	XP_018446300.1
OG0002825	As007G152100	XP_018435402.1
OG0002826	As010G243210	XP_018446483.1
OG0002826	As007G152490	XP_018438758.1
OG0002827	As007G153850	XP_018437110.1, XP_018457469.1
OG0002828	As007G153940	XP_018439461.1
OG0002828	As010G241060	XP_018456893.1, XP_018471083.1
OG0002829	As007G154360	XP_018452186.1, XP_018452192.1
OG0002830	As007G155230	XP_018447737.1, XP_018450883.1
OG0002831	As010G238770	XP_018443441.1
OG0002831	As007G155350	XP_018436397.1
OG0002832	As007G156660	XP_018440424.1
OG0002832	As010G237250	XP_018445885.1
OG0002833	As007G156670	XP_018440411.1
OG0002833	As010G237240	XP_018445883.1
OG0002834	As007G159790	XP_018451090.1, XP_018470751.1, XP_018470748.1
OG0002835	As010G232250	XP_018469434.1
OG0002835	As007G160850	XP_018448170.1, XP_018448300.1
OG0002836	As007G161170	XP_018468331.1, XP_018447844.1, XP_018460371.1, XP_018458192.1
OG0002837	As007G161340	XP_018448182.1, XP_018453331.1
OG0002838	As007G162790	XP_018483732.1, XP_018449039.1, XP_018449040.1, XP_018472041.1
OG0002840	As007G180880	XP_018451517.1, XP_018477867.1
OG0002841	As008G195240	XP_018441880.1, XP_018465405.1, XP_018490961.1
OG0002842	As008G197280, As008G197290, As008G197270	XP_018486498.1
OG0002845	As009G204620	XP_018461584.1, XP_018476251.1, XP_018468247.1, XP_018443966.1
OG0002846	As009G207360	XP_018483025.1, XP_018435633.1
OG0002848	As009G216240	XP_018439164.1, XP_018472419.1
OG0002849	As010G221970	XP_018434927.1
OG0002849	As009G216340	XP_018478382.1
OG0002850	As009G218290	XP_018481679.1
OG0002850	As009G216690	XP_018477563.1
OG0002851	As009G216910	XP_018477580.1
OG0002851	As010G222370	XP_018439347.1
OG0002852	As009G216990	XP_018437012.1, XP_018438838.1, XP_018482695.1, XP_018455974.1
OG0002853	As009G218380	XP_018463062.1, XP_018439423.1, XP_018458746.1
OG0002854	As009G219520, As009G219510, As009G219570, As009G219550	XP_018468958.1, XP_018468959.1, XP_018468955.1, XP_018468957.1, XP_018476550.1, XP_018476549.1
OG0002855	As009G219680	XP_018468952.1, XP_018472113.1
OG0002856	As009G219710, As010G223780	XP_018437729.1
OG0002857	As010G221240	XP_018479274.1
OG0002860	As010G226110, As011G263240	XP_018449580.1, XP_018441222.1
OG0002861	As010G233890	XP_018487886.1, XP_018461376.1, XP_018455333.1
OG0002862	As010G239100	XP_018468444.1
OG0002863	As010G243440	XP_018453075.1, XP_018490145.1
OG0002864	As011G245390	XP_018486092.1, XP_018459558.1, XP_018440588.1, XP_018492223.1
OG0002865	As011G245720	XP_018493150.1, XP_018466048.1, XP_018491013.1
OG0002866	As011G245990	XP_018483923.1, XP_018487471.1
OG0002867	As011G246110	XP_018491672.1
OG0002867	As012G269170	XP_018451018.1
OG0002868	As011G247630, As012G270140	XP_018490715.1, XP_018459450.1, XP_018491125.1
OG0002869	As012G271540	XP_018479221.1, XP_018472822.1
OG0002869	As011G252800	XP_018490921.1, XP_018492669.1
OG0002870	As011G260220, As011G260320, As011G260230, As011G260250	XP_018451110.1
OG0002872	As011G263520	XP_018451068.1, XP_018433685.1
OG0002874	As011G267620	XP_018452571.1, XP_018439193.1, XP_018481227.1
OG0002875	As012G271600	XP_018436352.1, XP_018491980.1
OG0002876	As012G272980	XP_018491498.1, XP_018491512.1, XP_018433019.1
OG0002877	As012G281230	XP_018491882.1, XP_018458144.1, XP_018483886.1
OG0002878	As012G282870	XP_018489959.1, XP_018459230.1
OG0002879	As012G283630	XP_018487169.1, XP_018482373.1
OG0002880	As012G283930	XP_018488021.1, XP_018491743.1, XP_018446737.1
OG0002881	As012G284190	XP_018460383.1
OG0002890	As011G267320	XP_018467088.1
OG0002890	As001G000270	XP_018447430.1
OG0002891	As007G179070	XP_018478480.1
OG0002891	As001G002500	XP_018477715.1
OG0002892	As007G176760	XP_018477334.1
OG0002892	As001G004370	XP_018468868.1, XP_018461714.1
OG0002893	As001G004560	XP_018451271.1, XP_018436674.1
OG0002894	As010G226250	XP_018440319.1
OG0002894	As001G005380	XP_018471095.1
OG0002895	As006G131970	XP_018437085.1
OG0002895	As001G005770	XP_018471356.1
OG0002896	As001G012130	XP_018470794.1
OG0002896	As011G262260	XP_018493391.1
OG0002897	As001G014440	XP_018470600.1
OG0002897	As011G263470	XP_018433269.1
OG0002898	As001G014610	XP_018491614.1, XP_018492098.1
OG0002899	As001G016720	XP_018479974.1, XP_018466405.1, XP_018459299.1, XP_018447908.1
OG0002900	As004G079980	XP_018476796.1, XP_018464746.1
OG0002901	As001G021000	XP_018455626.1
OG0002902	As001G021920	XP_018441845.1, XP_018458084.1
OG0002903	As001G022250	XP_018469810.1, XP_018433423.1
OG0002904	As008G182720	XP_018447755.1
OG0002904	As001G023030	XP_018460334.1, XP_018459531.1
OG0002905	As001G026940	XP_018451977.1, XP_018434048.1, XP_018434065.1
OG0002906	As001G031240	XP_018457069.1, XP_018466017.1
OG0002907	As002G049140	XP_018456232.1
OG0002907	As002G032540	XP_018477949.1
OG0002909	As009G214320	XP_018473561.1
OG0002910	As002G037490	XP_018467570.1, XP_018434069.1, XP_018486294.1
OG0002911	As002G039050	XP_018490424.1, XP_018487055.1, XP_018446247.1
OG0002912	As002G045830	XP_018457668.1
OG0002912	As006G132290	XP_018473914.1
OG0002913	As002G046250	XP_018468047.1, XP_018452273.1, XP_018452272.1, XP_018448645.1
OG0002914	As002G047770, As006G134250	XP_018466069.1, XP_018467762.1, XP_018465139.1
OG0002915	As002G049850	XP_018466015.1, XP_018455656.1, XP_018469759.1
OG0002916	As002G050530	XP_018450268.1, XP_018450267.1
OG0002917	As002G051300	XP_018470810.1, XP_018443835.1, XP_018454472.1
OG0002918	As002G054630	XP_018482857.1, XP_018485344.1, XP_018445872.1
OG0002919	As002G055050	XP_018470406.1, XP_018476072.1
OG0002920	As002G055540	XP_018442100.1, XP_018437754.1
OG0002921	As003G055710	XP_018451211.1
OG0002921	As004G091060	XP_018485073.1
OG0002922	As004G089490	XP_018480936.1
OG0002922	As003G056070	XP_018456052.1
OG0002923	As003G059680	XP_018481920.1, XP_018471360.1, XP_018468529.1, XP_018460837.1
OG0002924	As004G085010	XP_018455800.1
OG0002924	As003G060750	XP_018450713.1
OG0002926	As003G062430, As004G083750	XP_018473259.1, XP_018452540.1, XP_018460927.1
OG0002927	As003G062980	XP_018459720.1, XP_018490491.1, XP_018463049.1
OG0002928	As010G234620	XP_018446947.1, XP_018453092.1, XP_018455471.1
OG0002929	As003G063510	XP_018450844.1
OG0002930	As003G069000	XP_018432592.1
OG0002931	As003G071890	XP_018450117.1, XP_018450063.1, XP_018453496.1, XP_018450115.1, XP_018450116.1, XP_018449179.1, XP_018477189.1
OG0002932	As003G073230	XP_018470836.1, XP_018451796.1
OG0002932	As007G179420	XP_018480288.1
OG0002933	As003G073620	XP_018451081.1
OG0002934	As003G074190	XP_018449474.1, XP_018449471.1, XP_018469677.1
OG0002936	As003G075770	XP_018472249.1, XP_018451579.1
OG0002937	As003G075880, As003G075870	XP_018483848.1, XP_018454220.1
OG0002938	As003G076270	XP_018450225.1
OG0002938	As007G182120	XP_018460611.1, XP_018474364.1, XP_018439192.1
OG0002939	As004G080670	XP_018435863.1, XP_018476441.1
OG0002940	As004G080970	XP_018475897.1, XP_018476242.1
OG0002941	As004G092810	XP_018481259.1, XP_018469213.1, XP_018466529.1
OG0002942	As004G095150	XP_018447939.1
OG0002942	As011G255680	XP_018486738.1
OG0002943	As004G097800	XP_018448703.1, XP_018481092.1
OG0002944	As012G288390	XP_018485984.1
OG0002944	As005G099470	XP_018478333.1, XP_018462814.1, XP_018435154.1
OG0002945	As011G262010, As005G099620	XP_018457066.1, XP_018485553.1, XP_018492408.1
OG0002946	As005G100780	XP_018441929.1, XP_018441890.1, XP_018474633.1
OG0002947	As012G286270	XP_018484140.1
OG0002947	As005G102260	XP_018480323.1
OG0002949	As005G102770	XP_018436408.1, XP_018463310.1, XP_018481374.1, XP_018434157.1
OG0002950	As005G102900, As005G120840	XP_018452125.1
OG0002951	As005G103310	XP_018438755.1, XP_018482345.1, XP_018433890.1, XP_018479997.1
OG0002952	As005G103620	XP_018477097.1, XP_018487297.1
OG0002953	As005G103850	XP_018441268.1, XP_018477349.1
OG0002953	As012G285610	XP_018493144.1
OG0002954	As005G103920, As012G285590	XP_018488037.1
OG0002956	As005G112690	XP_018443266.1, XP_018461660.1, XP_018470148.1, XP_018444518.1
OG0002957	As010G225170	XP_018472167.1
OG0002957	As005G114440	XP_018472500.1
OG0002958	As007G178300, As005G115210, As005G115130, As005G115110	XP_018443257.1, XP_018474241.1, XP_018474242.1, XP_018474240.1
OG0002960	As005G119270	XP_018440106.1, XP_018452932.1, XP_018452811.1, XP_018441684.1, XP_018441696.1
OG0002961	As005G120200	XP_018440217.1, XP_018436247.1, XP_018437918.1
OG0002962	As006G120960	XP_018456382.1, XP_018456381.1, XP_018489616.1
OG0002963	As008G198490	XP_018486865.1
OG0002964	As006G123120	XP_018456028.1
OG0002965	As006G124330	XP_018437782.1
OG0002966	As008G197040	XP_018486704.1, XP_018488560.1
OG0002966	As006G124460	XP_018455817.1, XP_018484361.1
OG0002967	As008G196470	XP_018450694.1, XP_018450697.1, XP_018492501.1
OG0002968	As008G196450	XP_018486415.1
OG0002968	As006G124680	XP_018483435.1, XP_018455524.1
OG0002969	As008G196060	XP_018479838.1
OG0002969	As006G125390	XP_018442041.1
OG0002970	As006G125530	XP_018438316.1
OG0002970	As008G195970	XP_018487611.1, XP_018489607.1
OG0002971	As008G195980	XP_018449190.1
OG0002971	As006G125540	XP_018476900.1, XP_018436338.1
OG0002972	As008G195210	XP_018479055.1
OG0002972	As006G126330	XP_018434193.1
OG0002973	As008G193960	XP_018437021.1
OG0002973	As006G127510	XP_018475964.1
OG0002974	As006G129330	XP_018436849.1, XP_018441699.1
OG0002975	As006G132020	XP_018447808.1, XP_018442865.1
OG0002976	As006G133020	XP_018473514.1, XP_018490994.1
OG0002977	As006G133120	XP_018486920.1, XP_018463042.1
OG0002977	As009G200420	XP_018446342.1
OG0002978	As006G134070	XP_018472526.1, XP_018469808.1
OG0002979	As006G134610	XP_018476591.1, XP_018450246.1
OG0002980	As006G138640	XP_018487073.1
OG0002980	As009G206310	XP_018477910.1, XP_018456361.1
OG0002981	As006G139720	XP_018442801.1
OG0002982	As006G144850	XP_018433576.1
OG0002983	As006G145220	XP_018434669.1
OG0002983	As012G276680	XP_018480434.1
OG0002984	As006G145240	XP_018433707.1
OG0002986	As006G146440, As006G146490, As012G283220, As012G283210	XP_018470809.1, XP_018446608.1
OG0002987	As007G152650	XP_018436055.1, XP_018438757.1, XP_018439927.1
OG0002988	As007G155970	XP_018491924.1, XP_018491935.1
OG0002989	As007G160830, As007G160820	XP_018464503.1
OG0002990	As007G161280	XP_018486969.1
OG0002991	As007G165450	XP_018451403.1
OG0002993	As008G188150	XP_018491413.1, XP_018483207.1
OG0002994	As008G195400	XP_018491696.1, XP_018485231.1
OG0002995	As008G197220	XP_018464304.1, XP_018442209.1
OG0002996	As009G211470	XP_018456924.1
OG0002996	As009G205440	XP_018438256.1
OG0002997	As009G207200	XP_018452648.1, XP_018440041.1, XP_018434098.1, XP_018483508.1
OG0002999	As009G213270	XP_018446756.1
OG0003000	As009G217860	XP_018432816.1, XP_018466699.1, XP_018440358.1
OG0003001	As009G218700	XP_018486862.1
OG0003003	As010G241350	XP_018489817.1, XP_018480219.1, XP_018453017.1, XP_018453485.1
OG0003004	As011G246950	XP_018457230.1, XP_018486541.1, XP_018466516.1
OG0003005	As012G274670	XP_018477625.1, XP_018477365.1
OG0003005	As011G248900	XP_018440905.1, XP_018493533.1
OG0003006	As012G274340	XP_018444380.1
OG0003006	As011G249140	XP_018432743.1
OG0003007	As011G249150	XP_018458677.1, XP_018450153.1
OG0003008	As011G250370	XP_018490132.1
OG0003009	As011G251640	XP_018461327.1, XP_018438097.1
OG0003009	As012G272550	XP_018435917.1, XP_018487459.1
OG0003010	As012G271740	XP_018469927.1, XP_018488681.1
OG0003011	As011G255440	XP_018441234.1, XP_018441231.1, XP_018441429.1
OG0003012	As011G256320, As011G256300	XP_018437479.1, XP_018462072.1, XP_018489830.1
OG0003013	As011G263620	XP_018457430.1, XP_018435916.1
OG0003014	As011G264920	XP_018492704.1
OG0003015	As011G266410	XP_018440415.1
OG0003016	As012G271370	XP_018491989.1
OG0003017	As012G271460, As012G284290	XP_018445795.1, XP_018445769.1, XP_018483674.1
OG0003018	As012G281520	XP_018489890.1, XP_018487996.1, XP_018484319.1
OG0003019	As012G282450, As012G282290	XP_018491514.1, XP_018491536.1, XP_018489342.1, XP_018435399.1
OG0003020	As012G285870	XP_018473419.1, XP_018478962.1, XP_018478971.1
OG0003033	As001G000700	XP_018455758.1
OG0003033	As011G266880	XP_018440369.1
OG0003035	As001G005220	XP_018458057.1, XP_018462392.1, XP_018476813.1, XP_018463370.1, XP_018479527.1
OG0003036	As001G012870	XP_018470647.1, XP_018457092.1
OG0003037	As001G014600	XP_018470922.1
OG0003038	As001G015900	XP_018489666.1, XP_018489614.1
OG0003039	As008G187230	XP_018491721.1
OG0003039	As001G020340	XP_018440361.1
OG0003040	As001G020420	XP_018463781.1, XP_018457742.1
OG0003041	As001G021030	XP_018455622.1, XP_018466631.1
OG0003041	As008G186920	XP_018481375.1
OG0003042	As001G026770	XP_018437459.1
OG0003043	As004G076940	XP_018478429.1, XP_018478440.1
OG0003044	As001G031920	XP_018456252.1
OG0003045	As002G037950, As002G037960	XP_018466018.1, XP_018464816.1, XP_018491055.1, XP_018466759.1
OG0003046	As002G045170, As002G045180	XP_018457567.1
OG0003048	As005G116650	XP_018433902.1
OG0003048	As002G054230	XP_018462546.1, XP_018476392.1
OG0003049	As004G089930	XP_018457558.1, XP_018433998.1
OG0003050	As004G085000	XP_018468253.1
OG0003050	As003G060760	XP_018448944.1
OG0003051	As003G060980	XP_018465112.1
OG0003051	As004G084740	XP_018452044.1, XP_018455376.1
OG0003052	As003G063420	XP_018438397.1, XP_018451145.1, XP_018466430.1
OG0003053	As004G080710	XP_018485044.1, XP_018466142.1, XP_018476711.1
OG0003054	As003G065530	XP_018476523.1, XP_018476514.1
OG0003054	As004G082430	XP_018457663.1
OG0003055	As004G081510	XP_018481376.1, XP_018481373.1
OG0003055	As003G068720	XP_018448319.1, XP_018465274.1, XP_018449204.1, XP_018461858.1, XP_018470047.1, XP_018485582.1
OG0003056	As003G068860	XP_018482611.1
OG0003057	As011G264610	XP_018432875.1, XP_018455251.1, XP_018438015.1
OG0003058	As007G179280	XP_018480297.1
OG0003058	As003G073190	XP_018472353.1, XP_018472343.1, XP_018481804.1
OG0003060	As004G085950	XP_018457644.1, XP_018470031.1
OG0003061	As004G091040	XP_018485074.1
OG0003062	As004G091700	XP_018448629.1, XP_018488139.1
OG0003063	As011G256870	XP_018488523.1
OG0003063	As004G093720	XP_018481953.1
OG0003064	As004G095360	XP_018480887.1, XP_018489170.1, XP_018489279.1
OG0003065	As004G096320	XP_018438218.1
OG0003066	As005G098610	XP_018454279.1
OG0003066	As012G288910	XP_018483329.1
OG0003067	As005G101750	XP_018434482.1
OG0003067	As012G286910	XP_018480556.1, XP_018480567.1, XP_018486404.1
OG0003068	As005G103410	XP_018443611.1
OG0003069	As005G106180	XP_018473066.1
OG0003069	As012G283700	XP_018473067.1
OG0003070	As010G226890	XP_018443042.1, XP_018470511.1, XP_018461949.1, XP_018474631.1
OG0003071	As005G114060	XP_018447681.1
OG0003072	As005G114410	XP_018454434.1, XP_018455479.1, XP_018457079.1, XP_018469018.1, XP_018465755.1, XP_018472915.1
OG0003073	As005G117990, As006G139190	XP_018456686.1, XP_018478127.1, XP_018465783.1
OG0003074	As010G221490	XP_018435133.1
OG0003074	As005G118890	XP_018457012.1, XP_018453033.1
OG0003075	As005G118970	XP_018452845.1
OG0003075	As010G221440	XP_018472328.1
OG0003076	As005G119750	XP_018439146.1, XP_018439147.1, XP_018477145.1
OG0003079	As006G121290	XP_018456215.1
OG0003079	As008G199130	XP_018466807.1, XP_018489852.1, XP_018434878.1
OG0003080	As006G127070	XP_018477199.1
OG0003080	As008G194380	XP_018492033.1
OG0003081	As009G218020	XP_018452352.1, XP_018466407.1
OG0003082	As006G128060	XP_018477840.1, XP_018476746.1, XP_018440533.1, XP_018478768.1
OG0003083	As008G192920	XP_018489408.1, XP_018461520.1, XP_018487414.1, XP_018434778.1
OG0003084	As006G130370	XP_018488895.1, XP_018464634.1
OG0003085	As006G130800	XP_018477859.1, XP_018464894.1
OG0003087	As006G136280	XP_018432817.1, XP_018436643.1
OG0003087	As009G203210	XP_018473021.1
OG0003088	As006G138140	XP_018464607.1, XP_018490073.1, XP_018459669.1
OG0003089	As006G139090	XP_018486474.1, XP_018434649.1
OG0003090	As009G204770, As009G204780	XP_018476471.1
OG0003091	As006G147120, As006G147140	XP_018475467.1, XP_018441406.1
OG0003091	As012G278880	XP_018440634.1, XP_018484974.1, XP_018484961.1
OG0003093	As010G243940	XP_018471536.1
OG0003093	As007G152110	XP_018435395.1
OG0003094	As007G153470	XP_018453956.1
OG0003095	As007G153700	XP_018451048.1, XP_018447220.1, XP_018472196.1
OG0003096	As007G159050	XP_018484120.1
OG0003097	As007G160110	XP_018438676.1, XP_018454834.1
OG0003098	As008G182610, As008G182620	XP_018437079.1
OG0003099	As010G221090, As008G186160	XP_018469703.1, XP_018464793.1, XP_018463962.1, XP_018468578.1
OG0003101	As009G200630	XP_018443030.1, XP_018470823.1
OG0003101	As009G206010	XP_018439121.1
OG0003102	As009G211480	XP_018443306.1, XP_018443308.1, XP_018467623.1
OG0003103	As009G218070	XP_018485062.1, XP_018472208.1
OG0003104	As009G218270	XP_018482012.1, XP_018478993.1
OG0003104	As009G218280	XP_018482136.1
OG0003106	As010G220410	XP_018434499.1
OG0003107	As010G223630	XP_018440052.1
OG0003109	As010G240450	XP_018444352.1, XP_018454353.1, XP_018454357.1
OG0003111	As012G268350	XP_018485793.1, XP_018488500.1, XP_018467193.1, XP_018434061.1
OG0003112	As012G268700, As011G245490	XP_018493187.1
OG0003113	As011G248020	XP_018493296.1, XP_018439535.1, XP_018464670.1, XP_018492472.1, XP_018492473.1
OG0003114	As011G251340, As011G251350, As012G272710	XP_018491738.1, XP_018488527.1, XP_018433837.1
OG0003115	As012G271390, As011G253330	XP_018459592.1
OG0003116	As011G255420	XP_018486673.1, XP_018486682.1, XP_018491474.1, XP_018491472.1
OG0003117	As011G257560	XP_018455230.1, XP_018480033.1
OG0003118	As011G259380	XP_018475954.1, XP_018454501.1, XP_018454516.1
OG0003119	As011G263390	XP_018491689.1, XP_018486169.1, XP_018453944.1, XP_018488981.1, XP_018491690.1
OG0003120	As011G263430	XP_018440451.1
OG0003121	As012G269010	XP_018492902.1, XP_018486730.1
OG0003122	As012G274910	XP_018482308.1, XP_018475518.1, XP_018466572.1
OG0003123	As012G277270	XP_018433294.1
OG0003124	As012G278130	XP_018479928.1, XP_018481199.1, XP_018465552.1, XP_018437769.1
OG0003139	As001G001020	XP_018482069.1, XP_018467796.1
OG0003141	As001G013880, As001G013890	XP_018470044.1
OG0003142	As001G015570	XP_018490300.1, XP_018482399.1, XP_018452607.1
OG0003143	As004G083010	XP_018481811.1
OG0003143	As001G018020	XP_018470857.1, XP_018470869.1
OG0003144	As008G186710	XP_018490039.1
OG0003144	As001G021150	XP_018433155.1
OG0003145	As001G021160	XP_018490030.1, XP_018452166.1
OG0003146	As001G023390	XP_018434521.1, XP_018484363.1
OG0003147	As005G112830	XP_018478364.1
OG0003147	As001G025910	XP_018457055.1
OG0003148	As001G026170	XP_018444388.1, XP_018454764.1
OG0003148	As004G097620	XP_018477513.1
OG0003149	As001G027350	XP_018465229.1, XP_018477565.1
OG0003150	As001G027700	XP_018458470.1, XP_018483893.1
