Orthogroup	Aethionema_saxatile	Brassica_napus
OG0003857	As004G082830	XP_013751522.1, XP_013729902.1
OG0003858	As004G082850	XP_013649252.2, XP_048591952.1
OG0003859	As004G084640	XP_048612796.1, XP_013688803.3
OG0003860	As004G085360, As005G102330	XP_048610809.1, XP_048636709.1, XP_013690440.1, XP_013747981.1
OG0003861	As004G088000	XP_048618319.1, XP_013677055.2, XP_013677085.2
OG0003862	As004G088680	XP_022543741.2, XP_013733257.2, XP_048601430.1, XP_048638273.1
OG0003863	As004G090680	XP_013728326.1, XP_013714294.1, XP_013716013.2, XP_013697071.2, XP_013703887.1, XP_013693454.2
OG0003864	As012G288630, As005G099140	XP_013741877.2, XP_013671887.2, XP_048620879.1, XP_013716849.2, XP_048616272.1, XP_022544674.2
OG0003865	As012G287860	NP_001303175.1, XP_013708268.2
OG0003865	As005G100390	XP_013711578.2, XP_013747614.2
OG0003868	As005G114040	XP_013680521.2, XP_048602536.1, XP_022567745.1, XP_048598994.1, XP_013675790.2, XP_048590751.1
OG0003869	As005G114220	XP_013659055.2, XP_013666208.2, XP_048623284.1, XP_013665855.2
OG0003870	As005G114300	XP_013726737.2, XP_013681238.2, XP_013681226.2, XP_013682171.1, XP_013695402.3, XP_013665854.1
OG0003871	As005G114600, As010G224930	XP_013680548.1, XP_022568830.2, XP_048606060.1, XP_013642462.1
OG0003872	As006G121350	XP_048625455.1, XP_013660401.1
OG0003873	As006G122480	XP_022561371.1, XP_048626306.1, XP_013731185.1, XP_013719467.1
OG0003874	As006G123540	XP_013711389.1, XP_048625522.1, XP_013722956.2, XP_048595189.1, XP_013688419.1, XP_048607461.1, XP_022571581.2, XP_048607459.1, XP_013736168.2
OG0003875	As008G196530, As006G124610	XP_013696257.2, XP_048626628.1, XP_048621952.1
OG0003876	As006G126090	XP_013687062.1, XP_013742750.2, XP_013734121.1
OG0003877	As006G132510	XP_048619112.1, XP_013738181.3
OG0003878	As006G139920	XP_013685394.1, XP_048602209.1, XP_048636052.1, XP_013693655.2, XP_048606086.1, XP_013735904.2
OG0003879	As006G141000	XP_013675195.1, XP_013721296.1
OG0003881	As007G152470	XP_013650313.2, XP_013726951.2
OG0003882	As007G154510	XP_013646683.2, XP_013723305.1, XP_013660234.1, XP_048621117.1, XP_013660232.2
OG0003883	As007G158890	XP_013640298.2, XP_013655333.1, XP_048597597.1
OG0003884	As007G160570	XP_022546721.2, XP_013731942.1, XP_048592666.1
OG0003885	As007G163750	XP_013739577.1, XP_048600125.1
OG0003887	As008G182590	XP_013730984.2, XP_048621220.1, XP_048638267.1, XP_048614052.1
OG0003888	As008G189140	XP_048622489.1
OG0003889	As008G189240	XP_048613862.1, XP_048638030.1, XP_013672612.1, XP_013716174.1, XP_013657667.1, XP_013750892.1
OG0003890	As008G194200	XP_048634328.1, XP_013675703.1, XP_013677459.2, XP_048636774.1, XP_048610425.1
OG0003891	As009G201620	XP_022553803.1, XP_048626512.1, XP_013738735.1, XP_013740180.1, XP_048604617.1, XP_013659921.2, XP_013666026.2, XP_048625099.1, XP_013720907.1, XP_048625101.1
OG0003893	As009G204140	XP_048608000.1, XP_048627181.1, XP_022570791.2, XP_013690736.2
OG0003894	As009G206320	XP_022561430.2, XP_048601902.1, XP_048603952.1
OG0003895	As009G211380, As009G207230, As009G207290, As009G210320	XP_013745317.1, XP_013696791.1, XP_013695946.1, XP_048605995.1, XP_013740865.2
OG0003896	As009G207440	XP_022559245.2, XP_022548003.1
OG0003897	As009G212730	XP_048598546.1, XP_013728475.2, XP_022559284.1, XP_013750138.2
OG0003898	As009G214230	XP_048607764.1, XP_013724329.1, XP_013737837.1, XP_013715492.2, XP_013718979.1
OG0003899	As009G215120	XP_013644026.1, XP_013643762.2
OG0003901	As010G223350	XP_013703564.2, XP_013642622.1, XP_013639888.1
OG0003902	As010G224000	XP_013647819.2, XP_013666867.1, XP_013642757.1, XP_013707557.1, XP_013706273.2, XP_013716765.2
OG0003903	As010G231110	XP_048616184.1, XP_013700895.3, XP_013649318.3
OG0003905	As010G237050	XP_013721149.1, XP_048591729.1, XP_013676763.1, XP_013693642.2, XP_048617447.1, XP_013717852.1, XP_022560207.1, XP_048617446.1, XP_013717880.1
OG0003906	As010G237540	XP_048592700.1, XP_013698148.2, XP_013662874.3
OG0003908	As010G242240	XP_048617541.1, XP_013650113.1, XP_013701646.1, XP_013648642.1, XP_048629887.1, XP_013676904.1, XP_013676805.2
OG0003909	As010G242780	XP_048592381.1
OG0003910	As011G246310	XP_048612931.1, XP_013733092.1, NP_001302596.1, XP_013741057.1, XP_013705572.1
OG0003911	As011G246660, As011G246610	XP_022555247.1
OG0003912	As012G269980	XP_013646321.1, XP_013701447.1
OG0003913	As011G247940	XP_013741025.1, XP_013701360.1, XP_048612952.1, XP_048635763.1, XP_048612951.1, XP_048635761.1, XP_048627974.1
OG0003914	As012G270820	XP_048606510.1, XP_013655523.2, XP_013702381.2, XP_013640364.1
OG0003915	As011G251160	XP_013741072.1, XP_022553915.1, XP_013721445.1, XP_022569673.1, XP_013639915.2, XP_048630753.1, XP_048614607.1, XP_013669685.1, XP_013744130.1
OG0003916	As011G251860	XP_048600464.1, XP_048628695.1, XP_048635375.1, XP_013641162.1, XP_022572192.1, XP_013721298.2
OG0003917	As011G252470	XP_048593787.1, XP_013674960.2, XP_048600455.1, XP_048600453.1, XP_048615091.1, XP_048635313.1, XP_022575285.1
OG0003918	As011G252890	XP_013695281.2, XP_013674893.1, XP_013681202.1, XP_013720652.2
OG0003919	As011G253850	XP_013701139.1, XP_013746738.2, XP_013746737.1, XP_013743103.2, XP_013700919.1
OG0003920	As011G254760	XP_013736560.3, XP_022555358.1, XP_048609213.1, XP_013712948.2, XP_013732920.1, XP_013662978.1, XP_048626453.1, XP_013696120.1
OG0003921	As011G266120	XP_013703384.1, XP_048595614.1, XP_048598627.1
OG0003922	As012G269750	XP_048627147.1, XP_013749005.2, XP_048616663.1
OG0003923	As012G274150	XP_013659886.1, XP_013659887.1, XP_022570826.2, XP_013646480.2
OG0003924	As012G278770	XP_013745683.1, XP_013737131.2, XP_013734386.1, XP_013644402.1, XP_013662959.2, XP_022561160.2
OG0003925	As012G281550	XP_013647456.1, XP_013729580.1
OG0003926	As012G287150	XP_022544650.2, XP_013750215.1, XP_022546982.1, XP_013712054.1
OG0003948	As001G001850	XP_048601297.1, XP_013685752.2
OG0003949	As001G002710	XP_013667995.1, XP_048601264.1
OG0003950	As001G016530	XP_048630457.1, XP_048627359.1, XP_013749178.2, XP_013749180.2, XP_013731477.2, XP_048615041.1, XP_013714998.2, XP_013677341.1
OG0003951	As001G018200, As001G018180, As011G264680	XP_048602200.1, XP_013743640.1
OG0003952	As001G018840	XP_048595192.1, XP_048625524.1, XP_048604130.1, XP_048607021.1, XP_022571905.2, XP_048607462.1
OG0003954	As001G023250	XP_048596658.1, XP_048628716.1, XP_048624473.1, XP_013693582.1, XP_048599784.1, XP_013691812.2, XP_013736155.1, XP_013664978.2
OG0003955	As001G023780	XP_013660323.2, XP_013703986.1, XP_013713985.1, XP_013690748.1, XP_013734726.2, XP_048600084.1, XP_048627382.1
OG0003956	As001G026420	XP_013697873.1, XP_048628265.1, XP_013724870.1, XP_013644643.1
OG0003957	As001G026450	XP_013725043.2, XP_013687856.1, XP_013647494.2, XP_048618069.1
OG0003958	As004G077260	XP_022570587.1, XP_013741952.2
OG0003959	As002G033730	XP_048611169.1, XP_048634621.1, XP_013752097.2, XP_022557992.1, XP_013680889.2, XP_013740575.2
OG0003960	As009G214470, As002G035970	XP_048598576.1, XP_048623247.1, XP_048600691.1, XP_013730906.2, XP_013684729.1, XP_013648151.2
OG0003961	As009G213780	XP_013741477.1, XP_013715463.2
OG0003962	As002G037220	XP_022575523.2, XP_048615227.1, XP_013729574.1, XP_013732092.2, XP_013662029.1, XP_013648177.2
OG0003963	As002G040080	XP_013687919.1, XP_013736897.1
OG0003964	As002G040140	XP_022549622.1
OG0003965	As002G042610	XP_013654898.1, XP_013701494.1, XP_013681096.1, XP_013681307.2, XP_013659276.1, XP_022573946.2
OG0003966	As007G166260, As002G044520	XP_013687753.1, XP_013738360.1, XP_048598727.1, XP_013733915.1, XP_013686838.1
OG0003967	As002G051060	XP_048625693.1
OG0003968	As002G051630	XP_013668058.1, XP_013720725.1, XP_013712561.1, XP_013680441.1
OG0003969	As002G051810	XP_013659446.1, XP_048625454.1, XP_022549331.2, XP_013720707.1, XP_022565514.2
OG0003970	As002G052470	XP_013740127.1, XP_013680253.1, XP_013643714.1, XP_013706151.1
OG0003971	As002G054270	XP_013715385.1, XP_022566147.1, XP_013732485.3, XP_013660352.2
OG0003972	As002G055130	XP_013715741.2, XP_013719037.2, XP_013718993.1
OG0003973	As004G089980	XP_013726234.1, XP_013713051.1, XP_013703521.2, XP_013693450.1, XP_013696486.1, XP_048628775.1, XP_013677264.1
OG0003974	As003G057050	XP_013671021.1, XP_013721759.1
OG0003975	As003G058840	XP_013735134.2, XP_022563796.1, XP_022571103.1, XP_013685691.2, XP_048618936.1, XP_013737532.1
OG0003976	As003G060960	XP_013737594.1, XP_048618721.1, XP_048596925.1, XP_013671207.2
OG0003977	As012G276670, As003G066850	XP_013750006.2, XP_022553276.2, XP_013684777.1, XP_013698123.2
OG0003981	As003G072830	XP_048629039.1, XP_013656636.2, XP_048607300.1, XP_013681457.1, XP_048601013.1, XP_013639948.1, XP_013705565.1
OG0003982	As003G073740	XP_048631214.1, XP_048619401.1, XP_022572840.1, XP_048609312.1, XP_048636369.1, XP_022555736.1, XP_013656596.2
OG0003983	As003G074540	XP_013712086.1, XP_048597474.1, XP_048605796.1, XP_013681411.2, XP_013655002.2
OG0003984	As004G083600	XP_013732858.1
OG0003985	As004G085790	XP_013662016.2, XP_013711159.1
OG0003986	As004G088130	XP_013714461.2, XP_013661863.1
OG0003987	As011G257790	XP_022570727.1, XP_013698769.2
OG0003988	As004G095470	XP_013746623.2, XP_013686729.1, XP_022545232.2, XP_022561121.1
OG0003989	As004G096680	XP_048594595.1, XP_013703254.1, XP_013742912.1, XP_013737069.2
OG0003990	As004G097720	XP_013701074.1, XP_013651867.2, XP_013746840.2, XP_013731590.3
OG0003991	As005G099930	XP_013685960.1, XP_048635413.1
OG0003993	As005G101180, As006G126880	XP_013712021.1, XP_013711192.2, XP_013741930.1, XP_048609860.1
OG0003994	As005G103050, As007G160380	XP_013652219.1
OG0003995	As005G103140	XP_022574259.2, XP_013686227.1, XP_048608645.1, XP_048631787.1, XP_013686651.1
OG0003996	As005G103420	XP_013744405.1, XP_022571744.1, XP_013683847.1, XP_013654775.1
OG0003997	As005G106470	XP_013650954.1, XP_048632311.1, XP_013724052.2, XP_048600777.1
OG0003998	As005G107400	XP_013746055.2, XP_013725240.2, XP_048624372.1, XP_048631056.1, XP_013720234.2
OG0003999	As005G109390	XP_013652558.2, XP_048592423.1
OG0004000	As005G114360	XP_013728000.1, XP_013703371.2, XP_013696232.2, XP_013665849.1
OG0004001	As005G115180	XP_013740296.1, XP_013713662.2, XP_022564302.2, XP_013682384.2, XP_013657095.2
OG0004002	As005G116460	XP_013706718.1, XP_013661229.2, XP_048637872.1, XP_048606669.1
OG0004004	As006G121940	XP_013735313.2, XP_013684340.2, XP_013660552.1, XP_048625478.1, XP_013718435.2, XP_048612282.1, XP_013694795.1
OG0004005	As006G127760	XP_013739766.1, XP_013748738.2, XP_013733931.1, XP_013683229.1
OG0004006	As006G130440	XP_013735031.1, XP_013696001.1
OG0004007	As006G137920	XP_013750441.1, XP_013735781.1, XP_048632223.1, XP_013640228.1
OG0004008	As006G138240, As009G206850	XP_048591158.1, XP_022552881.2
OG0004009	As006G140960	XP_048629769.1, XP_013681413.2
OG0004010	As006G141640, As009G212110	XP_022555178.1, XP_013736000.1
OG0004011	As012G282540	XP_013655939.1
OG0004012	As006G143040	XP_013734562.2, XP_013734559.1, XP_013748042.2, XP_013692319.1, XP_013744823.2, XP_013687699.2, XP_013744824.1, XP_013687700.1
OG0004013	As012G282260, As006G143070	XP_013711018.3, XP_013654750.2, XP_013704214.1, XP_013651000.2
OG0004014	As006G143270	XP_048590860.1, XP_048617646.1, XP_048612798.1, XP_013749105.2, XP_048637038.1
OG0004015	As006G143670	XP_013734611.2, XP_013732079.1, XP_048608551.1, XP_013734614.1, XP_013732083.2, XP_048631712.1
OG0004016	As006G143900	XP_048611400.1, XP_013675003.1, XP_022574131.2, XP_013687629.1, XP_013752222.2, XP_048608557.1, XP_013734595.2
OG0004017	As006G145950	XP_013747340.1, XP_013682665.1, XP_013716418.1, XP_048608479.1, XP_022557401.1, XP_048636514.1
OG0004019	As006G147200	XP_013752214.2, XP_048609432.1
OG0004020	As384G298050	XP_048629551.1, XP_048630859.1, XP_048629547.1, YP_005089956.1, XP_048630935.1, XP_048627011.1, XP_048630365.1, XP_048629667.1, XP_048629006.1, XP_048629672.1, XP_048629546.1, XP_048629017.1, XP_048630196.1, XP_048630148.1, XP_048628594.1, XP_048626968.1, XP_048630856.1
OG0004021	As006G148300	XP_013662946.1, XP_013663041.2, XP_013663039.2, XP_013662940.2
OG0004022	As007G152020, As007G177620	XP_048597405.1, XP_048620969.1, XP_048612376.1, XP_022574557.2
OG0004023	As007G152360	XP_022564392.1
OG0004024	As007G162480, As007G152540, As007G162470, As007G152880	NP_001303157.1, XP_013641661.2
OG0004025	As007G159370	XP_013693973.2, XP_013738223.1, XP_013653339.1, XP_048618656.1, XP_013712329.1, XP_048593996.1
OG0004026	As007G163630	XP_013739537.2, XP_013671250.2
OG0004027	As007G164540	XP_013656507.2, XP_013684830.1, XP_013707776.2, XP_013656993.1
OG0004028	As007G165260	XP_013707027.1, XP_013738068.1
OG0004029	As007G177730	XP_048629622.1, XP_048608306.1
OG0004030	As007G178020	XP_013747035.2, XP_013747048.2, XP_013659073.2, XP_013660049.2, XP_013697063.1, XP_048631888.1
OG0004031	As011G245950, As007G180840, As007G180850	XP_022557145.1, XP_013662089.2
OG0004032	As007G182130	XP_013709997.1, XP_013660130.1, XP_013644889.1, XP_013707244.1
OG0004033	As008G185010	XP_013693411.2, XP_013697008.2, XP_013708496.2
OG0004035	As008G191840	XP_013696365.2, XP_013750567.2, XP_048597859.1, XP_048621395.1, XP_013716271.2
OG0004036	As008G194270	XP_013725205.1, XP_048591258.1, XP_022562018.1
OG0004037	As008G197570	XP_013719269.1, XP_048613636.1, XP_013695682.2
OG0004038	As009G201890, As009G201900	XP_048626602.1, XP_013729451.2, XP_013720964.2, XP_013667808.2, XP_013649861.1, XP_048602351.1
OG0004039	As009G205460	XP_013660840.2, XP_013737450.2, XP_013678157.1, XP_048602174.1, XP_048604005.1, XP_013647269.2, XP_013647302.1, XP_048600227.1
OG0004040	As009G206590	XP_048601843.1, XP_013663780.1, XP_013742811.2, XP_048631080.1, XP_048603947.1, XP_048601864.1, XP_048591155.1, XP_013643900.2
OG0004043	As009G208000	XP_013642729.1, XP_013699432.1, XP_013644152.2, XP_013707702.2
OG0004044	As009G213930	XP_022575544.2
OG0004045	As009G215710	XP_013703618.2, XP_048591072.1
OG0004046	As009G216920	XP_013643488.3
OG0004047	As009G216980	XP_048605208.1, XP_048602570.1, XP_048628275.1, XP_048604343.1, XP_013700653.2, XP_013724684.2, XP_013661048.2, XP_013643491.2, XP_022543367.2
OG0004048	As009G217550	XP_048617966.1, XP_048632656.1, XP_013659178.2, XP_013654644.2, XP_022551334.2, XP_048602696.1
OG0004049	As009G218170	XP_048632988.1, XP_022571269.2, XP_048595422.1, XP_048595421.1, XP_022551336.2, XP_013675385.1
OG0004050	As010G225880	XP_013679919.2, XP_013667168.2, XP_013724031.2
OG0004051	As010G226350	XP_013642730.1, XP_013721218.2
OG0004052	As010G234160	XP_013696449.1, XP_013677084.2, XP_013698992.2, XP_013649460.1
OG0004053	As010G235210	XP_013648657.2, XP_013676334.1, XP_048630565.1, XP_013693925.1, XP_013714444.2, XP_013650166.2, XP_048627422.1, XP_013649985.1
OG0004054	As011G244730	XP_013670440.2, XP_022567353.1, XP_013640074.2, XP_013682147.1, XP_013696179.1, XP_013677568.1
OG0004055	As011G245670	XP_013640053.2, XP_013737786.1, XP_013646355.1, XP_013646267.2
OG0004056	As011G248840	XP_013654716.1
OG0004056	As012G274720, As011G248850	XP_013686768.1, XP_022574238.2, XP_013737066.2, XP_013742921.1
OG0004057	As011G249280	XP_013736524.1, XP_013684884.1, XP_048631320.1, XP_022570984.2, XP_013693503.1
OG0004058	As011G249290	XP_013741045.1, XP_013681169.1, XP_013695927.1, XP_022545265.1, XP_013639999.1, XP_048635679.1, XP_013651925.1
OG0004059	As011G250020	XP_022555544.1, XP_048637962.1
OG0004060	As011G250180	XP_013685974.1, XP_048626514.1, XP_048614398.1, XP_048626838.1
OG0004061	As011G250270	XP_013741091.1, XP_013675363.1, XP_013642120.1, XP_022543227.2, XP_022576262.2, XP_048616174.1
OG0004062	As011G250550, As011G250570, As011G250600, As011G250560	XP_013641931.1, XP_013686178.1, XP_048635607.1, XP_013658553.2, XP_013656046.1
OG0004063	As011G250770	XP_013744090.1, XP_013712098.1
OG0004064	As011G252680, As012G271950	XP_013684938.1, XP_048632495.1
OG0004065	As011G253220	XP_013640348.1, XP_013702016.1, XP_013749317.1, XP_048635270.1, XP_013693298.1, XP_013685030.1, XP_048632502.1
OG0004066	As011G254320	XP_013714169.1, XP_048629069.1, XP_013651895.1, XP_013736576.1, XP_013662075.1
OG0004067	As011G256390	XP_048608926.1, XP_048632549.1, XP_013736530.2, XP_048592488.1
OG0004068	As011G262720	XP_013742691.1, XP_013667076.1, XP_013705421.1, XP_013747109.2
OG0004069	As012G273000	NP_001303011.1, NP_001302898.1, XP_013700815.1, XP_013646399.2
OG0004070	As012G282310	XP_022569166.1, XP_048634000.1, XP_022559134.1, XP_013719802.1, XP_048635783.1, XP_013736285.1, XP_013684854.1
OG0004071	As012G283350	XP_013742999.2, XP_022546894.2, XP_013663377.2, XP_013742217.1, XP_022573642.1, XP_013700744.1
OG0004072	As012G284150	XP_022573619.1, XP_013690971.1, XP_048597185.1, XP_013681059.1
OG0004073	As012G285330	XP_048597225.1, XP_013663750.1, XP_013742111.1, XP_022569448.1, XP_022572068.2, XP_013666098.1
OG0004091	As001G002470	XP_013667971.2
OG0004092	As001G002580	XP_013705100.2, XP_048619215.1, XP_013720418.2, XP_048606435.1, XP_013689141.2, XP_048636907.1
OG0004093	As001G003020	XP_013676954.2, XP_013661127.2
OG0004094	As001G012290	XP_013700923.2, XP_013654867.1
OG0004095	As001G012460	XP_013654864.1, XP_048594819.1
OG0004096	As001G014080	XP_013656187.2, XP_013730787.2, XP_022571928.1, XP_013689974.3
OG0004097	As001G019550	XP_048623399.1
OG0004098	As001G019910, As008G187860	XP_013640289.1, XP_013655340.2, XP_013640939.1, XP_048627715.1, XP_048638064.1, XP_013645941.1, XP_013716120.1, XP_048621358.1
OG0004099	As001G022420	XP_013714087.1, XP_013677307.1, XP_048637304.1, XP_013644875.2
OG0004100	As001G027270	XP_048627520.1, XP_048631459.1, XP_048605173.1, XP_013646132.2, XP_022561877.1
OG0004101	As001G029080	XP_022568486.2, XP_013646333.2, XP_013666934.1, XP_013714630.1
OG0004102	As004G098370	XP_022567629.1, XP_048592936.1
OG0004103	As002G037810, As002G037800, As002G037790	XP_013711215.2, XP_013750099.1, XP_048607521.1, XP_013747496.1, XP_013695853.2, XP_013651956.2
OG0004104	As002G043900	XP_013732620.2, XP_013710723.2, XP_013642869.1, XP_048598714.1, XP_013683347.1, XP_048630044.1
OG0004105	As002G046100	XP_013733897.1, XP_013733569.1, XP_013676243.2, XP_013685978.2, XP_013719419.2, XP_048598769.1
OG0004106	As002G046540, As009G207520	XP_013717216.1, XP_013661465.1, XP_013666738.2, XP_048624580.1, XP_013642283.1, XP_013640700.1, XP_048629483.1
OG0004107	As002G046780	XP_013734790.2, XP_013683704.2, XP_013747961.1, XP_013692241.1
OG0004108	As002G047980	XP_013734049.2, XP_013680503.1, XP_048607082.1, XP_013725381.2, XP_022569903.2, XP_013682737.2
OG0004109	As002G052000	XP_013687403.1, XP_013668083.1, XP_013679061.1, XP_048602769.1
OG0004110	As002G053550	XP_048598411.1, XP_048625363.1, XP_013680303.1, XP_013726824.1, XP_048603526.1, XP_013678536.2, XP_048602713.1
OG0004111	As002G054640	XP_013715467.2, XP_013700755.1
OG0004112	As002G055140	XP_048602674.1, XP_013719038.2
OG0004112	As009G218120	XP_013697836.1, XP_013736916.1
OG0004113	As004G088410, As003G057000	XP_013741306.1, XP_013671018.1, XP_048638358.1, XP_048607236.1, XP_048594689.1
OG0004114	As003G057030, As004G088400	XP_013733539.2, XP_013707170.2, XP_048594690.1, XP_013697652.2, XP_013721581.2, XP_013671019.1
OG0004115	As003G057230	XP_013710783.2, XP_048630038.1, XP_048633011.1
OG0004116	As003G058820	XP_013671119.2, XP_013735190.2, XP_013669229.2, XP_048596193.1
OG0004117	As003G059100	XP_013734923.2, XP_013702544.2, XP_048607376.1, XP_048594730.1, XP_013717406.1, XP_048618947.1, XP_013717230.2
OG0004118	As003G059740	XP_013697352.2, XP_022570861.1, XP_013642981.1, XP_048607380.1, XP_048607367.1, XP_022557871.2
OG0004119	As003G062860	XP_013717450.1, XP_013711340.2
OG0004120	As003G063760	XP_013735010.1, XP_013671124.1, XP_013656148.1, XP_013685695.2, XP_048618937.1, XP_013717276.1, XP_013737538.2
OG0004121	As003G064620	XP_013705728.1, XP_048598663.1
OG0004122	As004G082890, As003G064780	XP_013706433.1, XP_022566427.2, XP_013711179.1, NP_001303010.1, XP_013743431.1, XP_013681894.3, XP_013640400.2
OG0004123	As003G069730	XP_013659677.1, XP_013695947.1, XP_048626638.1, XP_013655103.1, XP_022554001.1, XP_048592598.1, XP_013710522.1
OG0004124	As003G071390	XP_048622048.1, XP_022543934.2, XP_013691490.2, XP_013710633.1
OG0004125	As003G072870	XP_048607302.1, XP_013680058.1, XP_013654284.2, XP_048629036.1, XP_013749421.1, XP_013706808.1, XP_013739402.1, XP_013747934.1
OG0004126	As003G073720	XP_048610548.1, XP_013752264.3
OG0004127	As003G073890	XP_013703202.1, XP_013728990.1
OG0004128	As003G076290	XP_013707242.1, XP_013644886.1
OG0004129	As004G078290	XP_013712146.2, XP_048637989.1
OG0004130	As004G078500	XP_013746758.3, XP_048623029.1, XP_013674288.1, XP_048630506.1
OG0004132	As004G081620	XP_048634390.1, XP_013669893.2
OG0004133	As004G082180	XP_048595928.1, XP_013700123.1, XP_013691027.2, XP_013647561.1
OG0004134	As004G082540	XP_013731497.1, XP_048631160.1, XP_048627814.1, XP_013698868.1, XP_013746880.1, XP_022560931.1
OG0004135	As004G084160	XP_048600071.1, XP_013711971.2
OG0004136	As004G084940	XP_013662167.2, XP_013714656.1, XP_048606936.1, XP_013744450.1, XP_048604534.1, XP_048612723.1, XP_013692880.1
OG0004137	As004G089940	XP_013677268.1, XP_048614964.1, XP_013696455.1, XP_048637339.1, XP_013707664.1, XP_013726225.1, XP_013712804.1
OG0004138	As004G095680	XP_048631741.1, XP_013644416.2, XP_013697437.2, XP_048630271.1, XP_048626894.1, XP_022560605.2, XP_013711334.1
OG0004140	As005G099510	XP_013734896.1, XP_048631832.1, XP_013749263.1, XP_048634820.1, XP_013747532.2, XP_013700657.2
OG0004141	As005G099950, As012G288140	XP_013690880.2, XP_048635414.1, XP_013740661.2, XP_013739118.3, XP_013688169.1, XP_013747677.2
OG0004142	As005G103000	XP_013734765.2, XP_013692843.1, XP_013691868.1
OG0004143	As005G103610	XP_013686615.1, XP_013725499.1, XP_013654777.1, XP_013683845.1, XP_022571743.2, XP_013725498.1, XP_013687993.1
OG0004145	As005G104470	XP_048627408.1, XP_013747431.1, XP_013690622.1, XP_013680845.1, XP_013724334.1, XP_013690602.1, XP_013752053.1
OG0004146	As005G104830	XP_013663497.2, XP_013692126.2
OG0004147	As005G112540	XP_013682260.2, XP_013731365.2
OG0004148	As005G113170	XP_048602495.1, XP_013682235.2, XP_013716030.2, XP_013667207.2, XP_013717669.1
OG0004149	As005G113840	XP_013680609.2, XP_013705515.2, XP_048602531.1
OG0004151	As005G115870	XP_013743784.2, XP_022560578.2, XP_013716771.1, XP_013702166.2, XP_013682394.2, XP_013732454.2
OG0004152	As005G117090	XP_048603246.1, XP_013701033.2, XP_013643185.1, XP_013642931.1
OG0004153	As006G121660	XP_048612204.1, XP_013732165.2, XP_013683675.1
OG0004154	As006G122110	XP_048595127.1, XP_048625487.1, XP_013735327.2, XP_048605946.1
OG0004155	As006G122150	XP_048595138.1, XP_013732718.2, XP_022551980.1, XP_048612324.1, XP_013681942.1, XP_013740779.2
OG0004156	As006G123180	XP_013735373.2, XP_013731966.3, XP_013674967.1, XP_048612435.1, XP_048629434.1, XP_048595066.1, XP_013741007.1
OG0004158	As006G124850	XP_013707177.2, XP_013676943.1
OG0004159	As008G196350	XP_013664824.1, XP_013666390.2, XP_048613678.1, XP_022547234.2, XP_048621958.1
OG0004160	As006G126710	XP_013752378.1, XP_013691149.1, XP_013734099.1, XP_013683396.1, XP_013695673.2, XP_013747183.2
OG0004161	As006G126870	XP_048634345.1, XP_013697108.1, XP_013744280.2, XP_013697020.1, XP_013734109.1, XP_013683401.2
OG0004162	As006G128050	XP_048608368.1, XP_013733948.2
OG0004163	As006G128110	XP_048630433.1, XP_013680777.1, XP_048636797.1, XP_013748808.2, XP_048636821.1, XP_013647180.2, XP_013746923.2
OG0004164	As006G128260	XP_013721109.1, XP_048636806.1, XP_048630575.1
OG0004165	As006G129050	XP_022566088.1, XP_013744249.1, XP_013716491.1, XP_022547318.1, XP_048594255.1, XP_013655294.1
OG0004166	As006G131720	XP_013697671.1, XP_048633726.1
OG0004167	As006G132450	XP_013742897.1, XP_013671592.1, XP_013708379.1, XP_013709852.2, XP_013738183.1, XP_013703633.2
OG0004169	As006G136100	XP_048632193.1, XP_048606034.1, XP_048614226.1, XP_048636204.1, XP_048595758.1, XP_048601961.1
OG0004170	As006G137240	XP_013735756.2, XP_013745044.2, XP_048636186.1, XP_048615150.1, XP_013742283.1, XP_048591903.1
OG0004171	As006G137640	XP_022568427.1, XP_048595300.1, XP_048617825.1, XP_013644055.2
OG0004172	As006G138260	XP_013750679.1, XP_013750751.1, XP_013684436.2, XP_013735795.2, XP_013732416.2, XP_013732415.1
OG0004173	As009G206620	XP_048625652.1, XP_022548035.2
OG0004173	As006G138350	XP_013750757.2, XP_013750673.1
OG0004174	As006G141250	XP_013684530.1, XP_013684643.2, XP_013750584.2, XP_013696523.1
OG0004175	As006G142360	XP_048608577.1, XP_013740581.1, XP_013690454.2, XP_013752103.1, XP_013687740.2, XP_013744917.2
OG0004176	As006G146830	XP_013748364.2, XP_013729582.2, XP_048610509.1, XP_013748362.2, XP_048631660.1, XP_013723929.2
OG0004177	As006G147500	XP_013725530.1, XP_022574900.2, XP_013673208.1, XP_013749619.1, XP_048600006.1, XP_013746257.1
OG0004178	As007G152740	XP_013712529.1, XP_013698777.1, XP_013682922.2
OG0004179	As007G155390	XP_013647137.1, XP_013660189.2, XP_013696703.1, XP_022544127.1
OG0004180	As010G237660, As007G156240	XP_013705376.1, XP_013681376.1, XP_013646746.1, XP_013669886.1
OG0004181	As007G156800	XP_022543050.2, XP_013717545.1
OG0004182	As010G233100, As007G158660	XP_013691327.2, XP_013691629.2, XP_013649526.1, XP_013672400.1
OG0004184	As007G163160	XP_013656496.2, XP_013723579.1, XP_013737966.2, XP_048619069.1, XP_013739391.2, XP_013671224.2
OG0004185	As007G163590	XP_048619071.1, XP_013737962.2, XP_013656502.1, XP_048621897.1, XP_013671247.2, XP_013739511.1
OG0004186	As007G163940	XP_013732027.1, XP_013740746.2, XP_013695289.1, XP_022569848.1
