Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_NCBI
OG0001912	As008G194820	XP_020869673.1
OG0001913	As008G194510	XP_002889560.1
OG0001913	As006G127010	XP_020883447.1
OG0001914	As006G127230	XP_020882798.1
OG0001915	As006G127440	XP_020885824.1
OG0001915	As008G194000	XP_002892324.1
OG0001916	As006G128760	XP_020883553.1
OG0001917	As006G129560	XP_020885139.1
OG0001918	As006G131460, As006G131480	XP_020885344.1, XP_002880809.1
OG0001919	As009G200030	XP_020878299.1
OG0001919	As006G132900	XP_020885952.1
OG0001920	As006G135730	XP_002873774.1, XP_020889331.1
OG0001921	As009G202390	XP_002871718.1
OG0001921	As006G135780	XP_002884339.1
OG0001922	As006G139010	XP_020886157.1
OG0001922	As009G205870	XP_020876938.1
OG0001923	As006G143780	XP_020882807.1
OG0001923	As012G281320	XP_020881542.1
OG0001924	As006G145930	XP_020880619.1, XP_002879660.2
OG0001925	As006G147060	XP_002881556.1
OG0001925	As012G278170	XP_020880256.1
OG0001926	As006G147410	XP_020883680.1
OG0001926	As012G278430	XP_020881623.1
OG0001927	As007G152220	XP_002890120.1
OG0001928	As010G241680	XP_002887737.1
OG0001928	As007G153570	XP_020866551.1
OG0001929	As007G154160, As010G240740	XP_020889762.1
OG0001930	As007G155140	XP_020867618.1
OG0001930	As010G239150	XP_020890838.1
OG0001931	As010G238790	XP_020865799.1
OG0001931	As007G155320	XP_002893022.1
OG0001932	As007G155730	XP_002893043.1
OG0001932	As010G238480	XP_002889008.1
OG0001933	As007G157160	XP_002893156.1
OG0001934	As007G158150	XP_020866041.1
OG0001934	As010G235460	XP_002889173.1
OG0001935	As007G159310	XP_002890566.1
OG0001936	As007G160030	XP_020873928.1
OG0001937	As007G160520	XP_020870103.1
OG0001937	As010G232650	XP_020891242.1
OG0001939	As007G180980	XP_020883982.1
OG0001940	As009G200550	XP_020878252.1
OG0001942	As012G269080, As012G281590, As012G269060	XP_002863151.1, XP_002882862.1, XP_002862273.1
OG0001943	As009G212210	XP_002878346.2
OG0001944	As009G212500	XP_020888270.1, XP_020875992.1
OG0001945	As010G221720	XP_020880300.1
OG0001946	As010G222400	XP_020879955.1
OG0001947	As010G225810	XP_020881696.1, XP_002877374.1
OG0001948	As010G226330	XP_002877329.1
OG0001949	As010G227300	XP_020880295.1
OG0001950	As011G245930	XP_020888793.1
OG0001950	As012G269040	XP_020869140.1
OG0001951	As011G247100	XP_002885062.1, XP_020867175.1
OG0001952	As012G274580	XP_002870193.2
OG0001952	As011G248940	XP_020889198.1
OG0001953	As011G251400	XP_002885307.1
OG0001953	As012G272660	XP_020866711.1
OG0001954	As011G253050	XP_002885405.1
OG0001955	As011G253690	XP_020867788.1, XP_002883294.1
OG0001956	As011G262750	XP_002883899.1
OG0001957	As012G275050	XP_020884308.1
OG0001958	As012G285290	XP_002885925.2, XP_002885924.1
OG0001959	As012G285720	XP_002876521.2
OG0001971	As001G001000	XP_020874616.1
OG0001971	As011G266510	XP_002883967.2
OG0001972	As001G002350	XP_020874569.1
OG0001972	As011G265560	XP_002884154.1
OG0001973	As001G003210	XP_020875086.1
OG0001973	As007G178320	XP_002880568.1
OG0001974	As007G178030	XP_002878754.1
OG0001974	As001G003630	XP_002869331.1
OG0001975	As011G262160	XP_020887196.1
OG0001976	As001G014460	XP_020874314.1
OG0001976	As011G263480	XP_020888019.1
OG0001977	As004G083090	XP_002881409.1
OG0001977	As001G017810	XP_020872208.1
OG0001978	As001G021620	XP_002888093.1
OG0001978	As008G186230	XP_002889857.1
OG0001979	As001G023520	XP_020881098.1
OG0001979	As008G182890	XP_020867996.1
OG0001980	As001G023690	XP_002875146.1
OG0001980	As008G183040	XP_002892801.1
OG0001981	As008G184280	XP_020867960.1
OG0001981	As001G025280	XP_020882265.1
OG0001982	As001G025560	XP_002876987.1
OG0001982	As008G184440	XP_020867859.1
OG0001983	As001G026070	XP_002877025.1
OG0001983	As005G112750	XP_020872140.1
OG0001984	As001G026200	XP_020880968.1
OG0001984	As004G097590	XP_002870678.1
OG0001985	As003G060640, As001G031850	XP_002892683.1
OG0001986	As012G283190	XP_020880238.1
OG0001986	As002G033250	XP_002879912.1
OG0001987	As005G109150	XP_002873136.1
OG0001987	As002G035510	XP_020886426.1
OG0001988	As002G037170, As012G276490	XP_020888290.1
OG0001989	As002G037240, As002G037260	XP_020888337.1, XP_020879359.1
OG0001990	As002G046030	XP_002866033.1
OG0001990	As006G132420	XP_020875391.1
OG0001991	As002G046910	XP_020873788.1
OG0001992	As002G047670, As006G134320	XP_020873343.1
OG0001993	As002G047890	XP_020891023.1
OG0001993	As006G134180	XP_020873642.1
OG0001994	As002G049230	XP_002866213.1, XP_002869654.1
OG0001995	As002G051030	XP_020878344.1, XP_020878198.1
OG0001996	As002G051550	XP_002871492.1, XP_002872192.1, XP_002872191.1
OG0001997	As002G053610	XP_020877282.1
OG0001997	As007G179950	XP_020882971.1
OG0001998	As002G053810	XP_002871372.2
OG0001998	As005G117250	XP_002864892.1
OG0001999	As002G055150	XP_002873320.1
OG0002000	As009G218350	XP_020879849.1
OG0002000	As002G055410	XP_020875825.1
OG0002001	As004G089230	XP_002865164.1
OG0002001	As003G056260	XP_020874649.1
OG0002002	As004G087210	XP_020872209.1
OG0002003	As003G060220	XP_020873297.1
OG0002003	As004G085600	XP_002872689.1
OG0002004	As004G084930	XP_020877695.1
OG0002004	As003G060850	XP_002867746.1
OG0002005	As004G084290	XP_020876274.1
OG0002005	As003G061860	XP_020873605.1
OG0002006	As003G061930	XP_020873365.1
OG0002006	As004G084140	XP_002872543.1
OG0002007	As003G061950	XP_020873823.1
OG0002008	As004G083850	XP_020877247.1
OG0002008	As003G062340	XP_002891012.2
OG0002009	As003G065730	XP_002891356.1, XP_002891355.1, XP_002891357.1
OG0002010	As003G069430	XP_020884233.1
OG0002010	As003G069440	XP_020866792.1
OG0002011	As003G069960	XP_002890808.1, XP_002879489.1
OG0002012	As011G264500	XP_020887282.1
OG0002012	As003G071790	XP_020874384.1
OG0002013	As011G264560	XP_002884071.1
OG0002013	As003G071910	XP_020873085.1
OG0002014	As003G072220	XP_020873050.1, XP_020888349.1
OG0002015	As003G073000	XP_002886185.1, XP_002866990.1
OG0002016	As007G179840	XP_020883855.1
OG0002016	As003G073990	XP_002868971.1
OG0002017	As007G180300	XP_020884533.1
OG0002018	As007G180950	XP_020884193.1
OG0002018	As003G075740	XP_002868885.2
OG0002020	As004G084030	XP_002892644.2, XP_002892645.1
OG0002021	As004G084130	XP_020873591.1, XP_002874660.1
OG0002022	As004G088650	XP_020868338.1, XP_020877684.1
OG0002023	As011G254830	XP_020886048.1
OG0002023	As004G095790	XP_020874648.1
OG0002024	As004G096090	XP_002868239.1
OG0002024	As011G254270	XP_020886689.1
OG0002026	As005G102350	XP_002880137.1
OG0002026	As012G286200	XP_002876545.1
OG0002027	As012G283860	XP_020881524.1
OG0002027	As005G105970	XP_002881783.1
OG0002028	As006G129780, As005G114290	XP_002877399.1
OG0002029	As008G198670	XP_002892069.1, XP_020866205.1
OG0002029	As006G122080	XP_002875002.1
OG0002030	As006G123400	XP_020878315.1
OG0002030	As008G197470	XP_020867758.1
OG0002031	As008G195950, As006G125520	XP_020867468.1, XP_020884055.1
OG0002032	As006G125680	XP_002879377.2
OG0002032	As008G194980	XP_020869721.1
OG0002033	As008G193380	XP_020868595.1
OG0002033	As006G127930	XP_020883949.1
OG0002034	As006G129090	XP_002889652.1, XP_020883277.1
OG0002035	As006G134600	XP_002866085.1
OG0002036	As009G201600	XP_020876571.1
OG0002036	As006G135320	XP_002882222.1
OG0002037	As009G201610	XP_002871686.2
OG0002037	As006G135340	XP_002882223.1
OG0002038	As011G248890	XP_020889231.1
OG0002038	As006G138750	XP_020889016.1
OG0002039	As012G282060	XP_020880281.1
OG0002039	As006G143240	XP_002862287.1, XP_002879822.1
OG0002040	As006G145140	XP_002879617.1
OG0002040	As012G276560	XP_002876178.1
OG0002041	As006G145740	XP_002881490.1
OG0002041	As012G277090	XP_002877914.1
OG0002042	As006G148500	XP_020884754.1, XP_002879742.1, XP_020882754.1
OG0002043	As007G151940	XP_002894146.1, XP_002894147.1
OG0002044	As007G152130	XP_020867926.1
OG0002044	As010G243920	XP_020891379.1
OG0002045	As007G152270	XP_002890124.1
OG0002045	As010G243670	XP_002889288.1
OG0002046	As007G152480	XP_020867562.1
OG0002046	As010G243220	XP_002887805.1
OG0002047	As007G152970	XP_002890169.1
OG0002047	As010G242530	XP_002889235.1
OG0002048	As007G153870	XP_020867526.1
OG0002048	As010G241130, As010G241120	XP_020889740.1
OG0002049	As010G240580	XP_002887473.1
OG0002049	As007G154260	XP_020868970.1
OG0002050	As007G156920	XP_020870746.1
OG0002050	As010G237010	XP_020890552.1
OG0002051	As007G157010	XP_020868620.1, XP_020885219.1
OG0002052	As007G157110	XP_020869250.1
OG0002052	As010G236740	XP_020889644.1
OG0002053	As007G157350	XP_020867682.1
OG0002053	As010G236420	XP_020890166.1
OG0002054	As007G159150	XP_020866096.1
OG0002054	As010G234050	XP_020865801.1
OG0002055	As007G159360	XP_002890576.2
OG0002055	As010G233640	XP_002888789.1
OG0002056	As007G166910	XP_020884889.1
OG0002059	As008G195200	XP_020867624.1
OG0002060	As010G233260	XP_002888765.1
OG0002060	As009G200610	XP_002871634.1
OG0002061	As009G216670	XP_020881951.1
OG0002062	As009G217750	XP_020871404.1, XP_020871473.1, XP_002866412.1
OG0002063	As009G220000	XP_002873295.1, XP_020882218.1
OG0002064	As010G220250	XP_002876086.1, XP_020880080.1, XP_020880078.1
OG0002065	As010G234940, As010G234930	XP_020890860.1
OG0002066	As010G236630	XP_020890173.1
OG0002067	As010G237600	XP_020865863.1
OG0002069	As010G242720	XP_002887781.1
OG0002069	As010G242710	XP_002887780.1
OG0002070	As010G242940	XP_020869557.1, XP_020865604.1
OG0002071	As011G245310	XP_020887159.1
OG0002071	As012G268370	XP_020867877.1
OG0002072	As012G268720	XP_002891828.1
OG0002072	As011G245540	XP_020888589.1
OG0002073	As012G269780	XP_020867155.1
OG0002073	As011G247000	XP_020888813.1
OG0002074	As012G274260	XP_002868149.1
OG0002074	As011G249220	XP_020889203.1
OG0002075	As011G266590	XP_020886939.1
OG0002075	As011G266600, As011G266610	XP_002883961.1
OG0002076	As012G267730	XP_002894565.1
OG0002077	As012G271430	XP_002891646.1, XP_020889064.1
OG0002078	As012G282170	XP_002876328.1, XP_020881536.1, XP_020882496.1
OG0002079	As012G289110	XP_020878905.1, XP_002869619.2
OG0002092	As001G011000	XP_020865780.1, XP_020888556.1
OG0002093	As011G262560	XP_020889502.1
OG0002093	As001G012790	XP_020872187.1
OG0002094	As001G014220	XP_002869142.1
OG0002094	As011G263260, As011G263270, As011G263250	XP_002884163.2
OG0002095	As011G264280	XP_002884045.1
OG0002095	As001G015590	XP_020874548.1
OG0002096	As001G019160	XP_020870790.1
OG0002096	As008G188390	XP_002889744.1
OG0002097	As001G020040	XP_020890310.1
OG0002097	As008G187890	XP_020868764.1
OG0002098	As001G021050, As001G020990	XP_020890093.1, XP_020865866.1
OG0002099	As008G186590	XP_002892612.1
OG0002099	As001G021230	XP_002886573.1
OG0002100	As008G183510	XP_020869268.1
OG0002100	As001G024090	XP_020881977.1
OG0002101	As004G097680	XP_002870676.1
OG0002101	As001G026130	XP_020880323.1
OG0002102	As008G193520	XP_020883120.1, XP_002882538.2
OG0002103	As001G030420	XP_002887878.1, XP_020874351.1
OG0002104	As001G031080	XP_002887935.1
OG0002104	As004G097980	XP_002870638.1
OG0002105	As008G184590	XP_020869525.1
OG0002105	As001G031610	XP_002886433.1
OG0002106	As001G032220	XP_002886475.1
OG0002106	As008G185350	XP_020868464.1
OG0002107	As012G283100	XP_002878099.1
OG0002107	As002G033430	XP_002881751.1
OG0002108	As005G106800	XP_002870933.2
OG0002108	As002G033880	XP_020888739.1
OG0002109	As002G034790	XP_020877380.1, XP_020888371.1
OG0002110	As002G034840	XP_020888372.1, XP_002871024.1, XP_002890223.1
OG0002111	As005G109170	XP_002873138.1
OG0002112	As009G214170	XP_002873178.1
OG0002112	As002G036200	XP_002884809.1
OG0002113	As010G226410, As002G055080, As009G211550, As002G036950	XP_020882147.1, XP_002877286.2
OG0002114	As002G045310	XP_002865977.1
OG0002115	As006G134480	XP_002862180.1, XP_020873480.1
OG0002115	As002G046920	XP_002864375.1
OG0002116	As002G047280	XP_020871610.1
OG0002116	As006G134680	XP_002869598.1
OG0002117	As002G050550	XP_002871547.1, XP_002893458.1
OG0002118	As002G051600	XP_020877554.1
OG0002119	As002G052490, As009G215680	XP_020876740.1, XP_020878028.1
OG0002120	As009G217000	XP_020876252.1
OG0002120	As002G054310	XP_020878155.1, XP_002871342.1
OG0002121	As009G218370	XP_002866456.1
OG0002121	As002G055430	XP_020878612.1
OG0002122	As004G091050	XP_020889763.1
OG0002122	As003G055700	XP_002870109.1
OG0002123	As004G088050	XP_002865237.1
OG0002123	As003G057490	XP_020874524.1
OG0002124	As004G087910	XP_020867528.1
OG0002124	As003G057570	XP_002867952.1
OG0002125	As003G058390	XP_020874727.1
OG0002125	As004G087050	XP_020891554.1
OG0002126	As004G086210	XP_002874836.1
OG0002126	As003G059150	XP_020872909.1
OG0002127	As004G084210	XP_020878448.1
OG0002127	As003G061890	XP_020873465.1
OG0002128	As004G083870	XP_020878669.1
OG0002128	As003G062310	XP_020868992.1
OG0002129	As004G083170	XP_020879044.1
OG0002129	As003G063110	XP_002891070.1
OG0002130	As003G063540	XP_002879136.1, XP_002880969.1
OG0002131	As003G070530, As007G154020, As007G153030, As008G197820	XP_020878372.1, XP_020869119.1
OG0002132	As003G071840	XP_002867066.1
OG0002132	As011G264530	XP_020887286.1
OG0002133	As003G071900	XP_002867063.1, XP_020872242.1
OG0002134	As003G072310	XP_002867042.1
OG0002135	As003G073010	XP_020888924.1, XP_020873013.1
OG0002136	As003G076020	XP_002866820.1
OG0002137	As004G078390	XP_002868713.1, XP_002868712.1
OG0002138	As004G081040	XP_020885763.1
OG0002138	As004G081050	XP_020883126.1
OG0002139	As004G082130	XP_002865467.1
OG0002140	As004G083590	XP_002872503.1, XP_002874615.1
OG0002141	As004G094840	XP_020874396.1
OG0002141	As011G255830	XP_002883467.1
OG0002142	As012G288880	XP_002876703.1
OG0002142	As005G098660	XP_020884784.1, XP_002867754.1
OG0002143	As012G288840	XP_002876699.1
OG0002143	As005G098750	XP_020884478.1
OG0002144	As005G104820	XP_020884460.1, XP_002881859.1
OG0002145	As005G105110	XP_020884634.1, XP_002876451.1
OG0002146	As010G226030	XP_020881322.1
OG0002146	As005G113570	XP_002872013.1
OG0002147	As005G114740	XP_002866356.1, XP_002866355.1
OG0002149	As005G116000	XP_002866535.1
OG0002150	As005G119390	XP_020881753.1
OG0002151	As005G119890	XP_020883788.1
OG0002151	As011G265280	XP_020887642.1
OG0002152	As006G121340	XP_020876326.1
OG0002152	As008G199170	XP_002892042.1
OG0002153	As008G199090	XP_020870069.1
OG0002153	As006G121420, As006G121450, As006G121430, As006G121440	XP_020879542.1
OG0002154	As006G124450	XP_020886793.1
OG0002154	As008G197060	XP_020870732.1
OG0002155	As006G124840	XP_020871032.1
OG0002155	As008G196370	XP_002892201.1
OG0002156	As006G125510	XP_002881268.1
OG0002156	As011G256260	XP_002885624.1
OG0002157	As006G126130	XP_020885307.1
OG0002157	As008G195150	XP_020870784.1
OG0002158	As006G134420	XP_020875088.1, XP_002867491.1
OG0002159	As006G135630	XP_020886676.1
OG0002159	As009G202140	XP_002871710.1
OG0002161	As006G137820	XP_002884455.1
OG0002162	As011G255490	XP_020887533.1
OG0002162	As006G139680	XP_020889393.1
OG0002164	As006G140400	XP_002865722.1
OG0002165	As006G141860	XP_020878507.1, XP_002884685.1
OG0002166	As012G282620	XP_002878068.1
OG0002166	As006G142540	XP_020883743.1
OG0002167	As006G143510	XP_002881662.1
OG0002168	As006G144410	XP_002879581.1
OG0002168	As012G275860	XP_020881688.1
OG0002169	As006G147220	XP_002881605.1
OG0002170	As010G243340	XP_002887809.1
OG0002171	As007G152690	XP_002890153.1
OG0002171	As010G243080	XP_002889262.1
OG0002172	As007G152710	XP_002890154.1
OG0002172	As010G243060	XP_020891604.1
OG0002173	As007G162550, As007G152940	XP_020868560.1
OG0002175	As007G157000	XP_020891505.1, XP_020868621.1
OG0002176	As007G158590	XP_020866448.1
OG0002177	As007G159160	XP_002890547.1
OG0002177	As010G233980	XP_002888817.1
OG0002178	As010G233400	XP_020889993.1
OG0002178	As007G159520	XP_020870554.1
OG0002179	As010G228080	XP_002888613.1
OG0002179	As007G161940	XP_002890710.1
OG0002181	As007G180290	XP_020873147.1
OG0002182	As009G217880	XP_020871208.1
OG0002182	As008G183490	XP_020869266.1
OG0002183	As008G184110	XP_002892750.1, XP_020880066.1
OG0002184	As008G185390	XP_002893613.1, XP_002892663.1
OG0002185	As008G185450	XP_020891571.1
OG0002186	As008G186630	XP_020890035.1, XP_020866950.1
OG0002187	As008G187990, As008G187980	XP_002892522.1, XP_020887330.1
OG0002188	As008G194770	XP_002892295.1
OG0002189	As009G212710	XP_020888308.1, XP_020876037.1
OG0002190	As009G214050	XP_020886856.1, XP_002873171.1
OG0002191	As009G214800, As009G214810, As009G214820, As009G214830	XP_020886172.1, XP_002872196.1, XP_002872195.1
OG0002192	As010G226340, As010G226370	XP_020881775.1, XP_002874051.1
OG0002193	As010G227440	XP_002871914.1
OG0002194	As012G267860	XP_020870666.1
OG0002194	As011G244820	XP_002884935.1
OG0002195	As011G245320	XP_002882822.2
OG0002195	As012G268390, As012G268380	XP_002894508.1
OG0002196	As012G274610	XP_020874334.1
OG0002196	As011G248930	XP_020889216.1
OG0002197	As011G249530	XP_020889177.1
OG0002197	As012G273930	XP_020868379.1
OG0002198	As011G250040	XP_020888127.1
OG0002198	As012G273610	XP_020868449.1
OG0002199	As011G250200	XP_020888849.1
OG0002199	As012G273540	XP_020867041.1
OG0002200	As011G263110, As011G263100, As011G263120, As011G263140	XP_002884156.1, XP_002886203.1
OG0002201	As011G263850	XP_020888532.1, XP_020885923.1
OG0002202	As011G264220	XP_020887615.1, XP_020887616.1
OG0002203	As011G265590	XP_020886506.1
OG0002204	As011G265910	XP_020888643.1, XP_020887811.1
OG0002205	As012G272390	XP_002894230.1
OG0002206	As012G272700	XP_002894213.1, XP_020888577.1
OG0002207	As012G274600	XP_020874651.1
OG0002207	As012G274590	XP_020874650.1
OG0002209	As012G287010	XP_002880180.1, XP_020881142.1
OG0002219	As011G266500, As001G001030	XP_020874204.1
OG0002220	As001G001360	XP_020873130.1
OG0002220	As011G266370	XP_002883976.1
OG0002221	As011G266270	XP_020888120.1
OG0002222	As001G003170	XP_002867242.1
OG0002223	As001G003220	XP_020872516.1, XP_020866954.1, XP_020868571.1, XP_020867575.1
OG0002224	As007G177890	XP_020885203.1
OG0002224	As001G003870	XP_020874498.1
OG0002225	As001G004480, As007G167250	XP_020873212.1, XP_002878840.1
OG0002226	As001G013710	XP_020874463.1
OG0002226	As011G262760	XP_020887344.1
OG0002227	As011G264310	XP_002886108.1
OG0002228	As004G079560	XP_002881394.1
OG0002228	As001G016920	XP_020869919.1
OG0002229	As001G022380	XP_020880633.1, XP_020882522.1
OG0002230	As001G023120	XP_002876790.1
OG0002231	As008G183860	XP_020866966.1
OG0002232	As001G025040	XP_002875297.1
OG0002232	As008G184120	XP_020867865.1
OG0002234	As004G078540	XP_020872961.1
OG0002234	As001G027460	XP_020882234.1
OG0002235	As001G028650	XP_020890000.1
OG0002236	As004G077180	XP_002870534.1
OG0002237	As004G077070	XP_002870497.1
OG0002237	As001G029300	XP_002888443.1
OG0002238	As001G030680	XP_020890557.1, XP_002868578.1
OG0002239	As001G032110	XP_020865871.1
OG0002240	As002G048910	XP_002864505.1
OG0002240	As002G032600	XP_002867587.1
OG0002241	As005G106870	XP_020878565.1
OG0002241	As002G033920	XP_020887082.1
OG0002242	As002G035430	XP_020886100.1, XP_020878424.1
OG0002243	As002G035850	XP_020890710.1
OG0002244	As002G037570	XP_002864829.1, XP_020888323.1, XP_002885463.1
OG0002245	As007G164410	XP_002867623.1
OG0002245	As002G043270	XP_020882877.1
OG0002246	As002G043800	XP_002862377.1, XP_020872012.1
OG0002246	As002G043790	XP_002865878.1
OG0002247	As002G043870	XP_020882984.1
OG0002248	As002G046280	XP_002866046.1
OG0002248	As006G132480	XP_020873380.1
OG0002249	As002G046860	XP_020883500.1
OG0002249	As006G134430	XP_020873459.1
OG0002250	As006G134310	XP_020873293.1
OG0002251	As002G048040	XP_020885990.1
OG0002251	As006G134130	XP_020873623.1
OG0002252	As003G068140, As003G068150, As002G049250	XP_020868444.1, XP_020873385.1
OG0002253	As002G050570, As007G162200	XP_020870383.1
OG0002254	As002G050950	XP_020879404.1, XP_020878115.1
OG0002255	As005G109480	XP_020875901.1
OG0002255	As002G051240	XP_002873544.1
OG0002256	As004G088090	XP_020868556.1
OG0002256	As003G057450	XP_002867964.1
OG0002257	As003G060360	XP_020873713.1
OG0002257	As003G060350	XP_020873671.1
OG0002258	As003G071400	XP_002893647.1, XP_002881362.1
OG0002259	As003G072530	XP_002867022.1, XP_020872899.1, XP_020872900.1
OG0002260	As003G073150	XP_002869811.1, XP_002891065.1, XP_002893786.1
OG0002261	As003G073200	XP_020872239.1, XP_002869010.1
OG0002262	As003G073490	XP_020875668.1
OG0002262	As007G179650	XP_020885434.1
OG0002263	As003G074930	XP_020875350.1
OG0002263	As007G180440	XP_020884845.1
OG0002264	As003G076150	XP_020884626.1, XP_002868854.1
OG0002265	As004G078230	XP_020872988.1, XP_002877175.1
OG0002266	As004G082310	XP_002863736.1
OG0002267	As004G094550	XP_002868346.1
OG0002267	As011G256140	XP_002883484.1
OG0002268	As011G255280	XP_020885931.1
OG0002268	As004G095460	XP_020873062.1
OG0002269	As004G095670	XP_002870306.1
OG0002269	As011G254970	XP_002885542.1
OG0002270	As004G095780	XP_002883384.1
OG0002271	As011G254180	XP_020886692.1
OG0002271	As004G096150	XP_002868226.1
OG0002272	As004G096630, As011G253440	XP_020886041.1
OG0002273	As012G287020	XP_020880420.1
OG0002273	As005G101670	XP_020885589.1
OG0002274	As005G102930	XP_002881956.1
OG0002274	As012G285990	XP_020882460.1
OG0002275	As005G103040	XP_020883339.1
OG0002276	As005G103070	XP_002881949.1
OG0002276	As012G285930	XP_020880247.1
OG0002277	As012G284270	XP_002876442.1
OG0002277	As005G105240	XP_002881829.1
OG0002278	As012G283950	XP_020880872.1
OG0002278	As005G105690	XP_020883757.1
OG0002279	As005G106590	XP_020878966.1
OG0002279	As006G136200	XP_002882278.1
OG0002280	As010G225820	XP_002875702.1
OG0002280	As005G113800	XP_002872023.1
OG0002281	As010G225790	XP_020879685.1
OG0002281	As005G113820	XP_002874104.1
OG0002282	As005G114390	XP_020882498.1, XP_020882572.1
OG0002283	As005G118460	XP_020883947.1
OG0002284	As006G121770	XP_020868346.1, XP_020878268.1
OG0002285	As006G124180	XP_020876384.1, XP_020866638.1
OG0002285	As008G196900	XP_020869569.1
OG0002286	As006G124410	XP_020871949.1
OG0002287	As008G194720	XP_002892302.1
OG0002287	As006G126840	XP_002879349.1
OG0002288	As006G127520	XP_020884815.1, XP_002892327.1
OG0002289	As008G192670, As006G143160, As006G129000	XP_020870896.1, XP_020870898.1
OG0002290	As006G130740	XP_020884183.1
OG0002291	As006G131820	XP_020872675.1, XP_020884606.1
OG0002292	As009G199850	XP_020878482.1
OG0002292	As006G133070	XP_020886217.1
OG0002293	As006G135020	XP_002884296.1
OG0002293	As009G201080	XP_020876609.1
OG0002294	As009G202150	XP_020877575.1
OG0002294	As006G135640	XP_020886677.1
OG0002295	As006G135770	XP_020878349.1, XP_020889332.1
OG0002296	As006G135950	XP_020887869.1
OG0002297	As009G202760	XP_020879327.1
OG0002297	As006G136000	XP_020888992.1
OG0002298	As006G136540	XP_020888669.1
OG0002299	As009G205760	XP_020878698.1
OG0002299	As006G139080	XP_020887210.1, XP_020873809.1
OG0002300	As009G208050	XP_002865725.2
OG0002301	As006G140570	XP_020888782.1, XP_020890474.1
OG0002302	As006G145700	XP_002879650.2
OG0002302	As012G276990	XP_020882364.1
OG0002303	As010G243690	XP_020889875.1
OG0002303	As007G152260	XP_020870647.1
OG0002304	As007G152800	XP_020869558.1
OG0002304	As010G242920	XP_020891331.1
OG0002305	As010G242620	XP_020891697.1
OG0002305	As007G152910	XP_002890166.2
OG0002306	As007G153120	XP_020867778.1
OG0002306	As010G242410	XP_020891354.1
OG0002307	As007G155170	XP_002893011.1
OG0002308	As007G157100	XP_002893149.1
OG0002308	As010G236750	XP_020891042.1
OG0002309	As007G157880	XP_002890469.1
OG0002309	As010G235820	XP_020890630.1, XP_020872960.1
OG0002310	As007G158020	XP_020867046.1
OG0002310	As010G235690	XP_020891016.1
OG0002311	As007G159800	XP_020867768.1
OG0002311	As010G233250	XP_002888763.1
OG0002312	As010G233170	XP_002887284.1
OG0002313	As007G160900	XP_002890666.1
OG0002313	As010G232070	XP_020865978.1
OG0002314	As007G161970	XP_002890712.1
OG0002314	As010G228200	XP_002888611.1
OG0002315	As007G179120	XP_002867349.1
OG0002317	As008G191700	XP_020867784.1, XP_020879140.1, XP_020874157.1, XP_020873082.1, XP_002868555.1
OG0002320	As009G203290, As008G198660	XP_002892071.1
OG0002321	As009G210450	XP_002884908.1, XP_002873617.1
OG0002324	As010G234070, As010G234060	XP_002887348.2, XP_020891143.1
OG0002325	As011G245000	XP_020887396.1
OG0002325	As012G267960	XP_020868475.1
OG0002326	As011G245270	XP_020886844.1
OG0002326	As012G268280	XP_002894514.1
OG0002327	As012G269490	XP_002891767.2
OG0002327	As011G246480	XP_002885040.1
OG0002328	As011G247870	XP_020888689.1
OG0002328	As012G270520	XP_002894393.1
OG0002329	As011G250400	XP_020888673.1
OG0002329	As012G273150	XP_002891453.1
OG0002330	As012G273200	XP_020870612.1
OG0002330	As011G250470	XP_020887395.1
OG0002331	As011G253230	XP_020885851.1
OG0002331	As012G271530	XP_002894320.1
OG0002332	As011G259980	XP_020888743.1, XP_020885922.1, XP_020866428.1, XP_020872583.1, XP_020874194.1, XP_020865690.1, XP_020880710.1, XP_020871463.1, XP_020879223.1, XP_020884718.1
OG0002333	As011G262900	XP_020872151.1
OG0002334	As011G267380	XP_002886298.1, XP_020875578.1
OG0002335	As012G270830	XP_020868005.1, XP_020888447.1
OG0002336	As012G270850	XP_002891683.1
OG0002337	As012G276000	XP_020881979.1
OG0002338	As012G282580	XP_020881139.1, XP_020883884.1
OG0002339	As012G283640	XP_002879926.1, XP_002876397.1
OG0002348	As001G000290	XP_002886294.1, XP_020874883.1
OG0002349	As001G000470	XP_002869494.1
OG0002349	As011G267120	XP_002886279.1
OG0002350	As011G266520	XP_002867423.1
OG0002350	As001G000960	XP_002886018.1
OG0002351	As007G178570	XP_002878716.1
OG0002351	As001G002790	XP_020872862.1
OG0002352	As007G178130	XP_020884158.1
OG0002352	As001G003450	XP_002867309.1
OG0002353	As001G015080, As001G015070	XP_002867087.1
OG0002354	As001G015950	XP_002893845.1
OG0002354	As004G079070	XP_002881406.1
OG0002355	As001G018710	XP_020866379.1, XP_020886786.1
OG0002356	As008G188060	XP_020868169.1
OG0002356	As001G019650	XP_020890874.1
OG0002357	As001G020450	XP_020881540.1
OG0002357	As008G187120	XP_020868833.1
OG0002358	As008G182760, As001G023080	XP_020880017.1
OG0002359	As008G182860	XP_002892815.1
OG0002359	As001G023380	XP_020881092.1
OG0002360	As001G023460, As001G023470	XP_002875123.1, XP_002875122.1
OG0002361	As004G097560	XP_020874926.1
OG0002361	As001G026270	XP_020881211.1
OG0002362	As001G026570	XP_002877065.1
