Orthogroup	Cardamine_hirsuta	Arabidopsis_thaliana
OG0002595	CARHR044320, CARHR045850, CARHR043880, CARHR045840, CARHR045830	AT4G00872.1
OG0002596	CARHR044480	AT1G54130.1
OG0002596	CARHR088880	AT3G14050.1
OG0002597	CARHR044460	AT1G54115.1
OG0002597	CARHR088920	AT3G14070.1
OG0002598	CARHR044340	AT1G54000.1, AT1G54010.1
OG0002599	CARHR089220	AT3G14290.1, AT1G53850.1
OG0002600	CARHR162640	AT3G52760.1
OG0002600	CARHR130570	AT2G36300.1
OG0002601	CARHR099720	AT3G23730.1
OG0002601	CARHR220150	AT4G14130.1
OG0002602	CARHR221220	AT4G14740.1
OG0002602	CARHR098670	AT3G22810.1
OG0002604	CARHR067620	AT1G74360.1
OG0002605	CARHR026010	AT1G25450.1
OG0002605	CARHR061310	AT1G68530.1
OG0002606	CARHR061480	AT1G68670.1
OG0002606	CARHR025900	AT1G25550.1
OG0002607	CARHR128310	AT2G34210.1
OG0002607	CARHR259450	AT4G08350.1
OG0002608	CARHR177950	AT5G44860.1
OG0002608	CARHR226710	AT4G19950.1
OG0002609	CARHR094570	AT3G19170.1
OG0002609	CARHR039670	AT1G49630.1
OG0002610	CARHR040160	AT1G50110.1
OG0002611	CARHR096300	AT3G20540.2
OG0002611	CARHR040890	AT1G50840.2
OG0002612	CARHR043140	AT1G52910.1
OG0002613	CARHR043150	AT1G52930.1
OG0002613	CARHR090510	AT3G15460.1
OG0002614	CARHR090500	AT3G15450.1
OG0002616	CARHR184140, CARHR153680	AT3G50930.1
OG0002618	CARHR106510	AT2G16280.1
OG0002618	CARHR242910	AT4G34510.1
OG0002619	CARHR106860	AT2G16640.1
OG0002619	CARHR091860	AT3G16620.1
OG0002620	CARHR107030	AT2G16780.1
OG0002620	CARHR243330	AT4G35050.1
OG0002621	CARHR243380	AT4G35100.1
OG0002622	CARHR253640	AT4G22460.1
OG0002623	CARHR255270, CARHR255260	AT4G11310.1
OG0002624	CARHR173380	AT3G63080.1
OG0002624	CARHR143540	AT2G48150.1
OG0002625	CARHR171760	AT3G61415.1
OG0002625	CARHR141220	AT2G45950.2
OG0002626	CARHR170170	AT3G59830.1
OG0002626	CARHR139030	AT2G43850.1
OG0002627	CARHR168260	AT3G57950.1
OG0002628	CARHR137350	AT2G42310.1
OG0002629	CARHR167540, CARHR254100	AT3G57350.1
OG0002629	CARHR136710	AT2G41620.1
OG0002630	CARHR166290	AT3G56140.1
OG0002630	CARHR135480	AT2G40400.1
OG0002631	CARHR165200	AT3G55180.1
OG0002631	CARHR134250	AT2G39400.1
OG0002632	CARHR099470, CARHR099450, CARHR099460	AT3G23550.1
OG0002632	CARHR099480	AT3G23560.1
OG0002633	CARHR163820	AT3G53930.2
OG0002634	CARHR235450	AT4G27730.1
OG0002634	CARHR266650	AT5G53510.1
OG0002635	CARHR102770	AT2G04795.1
OG0002635	CARHR216910	AT5G35732.2
OG0002636	CARHR214090	AT5G38650.1
OG0002636	CARHR059720	AT1G67250.1, AT1G62920.1
OG0002637	CARHR237250	AT4G29430.1
OG0002637	CARHR110170	AT2G19720.1
OG0002638	CARHR134410	AT2G39518.1
OG0002639	CARHR026340	AT1G25220.2, AT5G57890.1
OG0002639	CARHR028690	AT1G25155.1, AT1G25083.1, AT1G24909.1, AT1G24807.1
OG0002640	CARHR001300	AT1G01170.1
OG0002640	CARHR249470	AT4G00860.1
OG0002641	CARHR112100	AT2G21237.1
OG0002642	CARHR247550	AT4G39180.1
OG0002642	CARHR112480	AT2G21540.1
OG0002643	CARHR032370, CARHR256160	AT4G10480.1
OG0002643	CARHR032360	AT1G33040.1
OG0002644	CARHR111630	AT2G20900.1
OG0002644	CARHR235840	AT4G28130.1
OG0002645	CARHR170670	AT2G14635.1, AT3G60350.1
OG0002645	CARHR140140	AT2G44900.1
OG0002646	CARHR138700	AT2G43570.1
OG0002647	CARHR194880	AT5G18180.1
OG0002647	CARHR078040	AT3G03920.1
OG0002648	CARHR081440	AT3G06830.1
OG0002648	CARHR182480	AT5G49180.1
OG0002649	CARHR083660	AT3G09300.1
OG0002649	CARHR211260	AT5G02100.1
OG0002650	CARHR083830	AT3G09410.1
OG0002651	CARHR086180	AT3G11630.1
OG0002651	CARHR207030, CARHR207020	AT5G06290.1
OG0002652	CARHR087680	AT3G13090.1
OG0002652	CARHR087690	AT3G13100.1
OG0002653	CARHR038190	AT1G48590.2
OG0002653	CARHR093300	AT3G17980.1
OG0002654	CARHR114130	AT2G22830.1
OG0002654	CARHR246150	AT4G37760.1
OG0002655	CARHR152300	AT3G29100.3
OG0002655	CARHR262820	AT5G39510.1
OG0002656	CARHR220760	AT4G14550.2
OG0002657	CARHR098910	AT3G22970.1
OG0002657	CARHR220870	AT4G14620.1
OG0002658	CARHR098230	AT3G22330.1
OG0002658	CARHR098210	AT3G22310.1
OG0002660	CARHR215120	AT5G37720.1
OG0002660	CARHR058200	AT1G66260.1
OG0002661	CARHR185380	AT5G28900.1, AT5G28850.2
OG0002662	CARHR250030	AT4G01630.1
OG0002663	CARHR002340	AT1G03230.1, AT1G03220.1
OG0002664	CARHR007320	AT2G14510.2, AT2G14440.1
OG0002664	CARHR007340	AT1G07550.1
OG0002665	CARHR009620	AT1G09645.1
OG0002665	CARHR054450	AT1G57765.2
OG0002666	CARHR010190	AT1G10090.1
OG0002666	CARHR283920	AT1G58520.1
OG0002667	CARHR051820	AT1G60810.1
OG0002668	CARHR011580	AT1G11330.2
OG0002669	CARHR000370	AT1G01980.1
OG0002669	CARHR012110	AT1G11770.1
OG0002670	CARHR014230	AT1G13860.1
OG0002670	CARHR145830	AT2G03480.1
OG0002671	CARHR036430, CARHR014480	AT1G14100.1
OG0002672	CARHR144120	AT2G01570.1
OG0002672	CARHR059470, CARHR015460	AT1G14920.1
OG0002673	CARHR015690	AT1G15180.1, AT1G15170.1, AT1G15160.1, AT1G15150.1
OG0002674	CARHR017580	AT1G17050.1
OG0002674	CARHR072000	AT1G78510.1
OG0002675	CARHR065320	AT1G72420.1
OG0002675	CARHR017950	AT1G17350.2
OG0002676	CARHR252230	AT4G05050.1
OG0002676	CARHR210110	AT1G55060.1
OG0002677	CARHR294000	AT4G38220.2
OG0002678	CARHR111960	AT2G21130.1
OG0002678	CARHR294440	AT4G38740.1
OG0002679	CARHR246790	AT2G22310.1
OG0002680	CARHR114220	AT2G22910.1
OG0002680	CARHR246040	AT4G37670.2
OG0002681	CARHR242830	AT4G34570.1
OG0002681	CARHR106610	AT2G16370.1
OG0002682	CARHR242290	AT4G34450.1
OG0002683	CARHR242570	AT4G34220.1
OG0002683	CARHR105670	AT2G15300.1
OG0002685	CARHR286470	AT2G25940.1
OG0002685	CARHR240950	AT4G32940.1
OG0002686	CARHR241820, CARHR156580	AT4G33720.1
OG0002687	CARHR286410	AT2G14690.1
OG0002687	CARHR241900	AT4G33810.2
OG0002687	CARHR146060	AT4G33820.1
OG0002688	CARHR116630	AT2G25080.1
OG0002689	CARHR180790, CARHR184030, CARHR103730, CARHR258700, CARHR029530, CARHR057550, CARHR100710	AT1G66235.1
OG0002690	CARHR026790, CARHR027020	AT1G27430.1, AT1G24300.1
OG0002693	CARHR221770	AT4G15075.1
OG0002694	CARHR053340	AT1G59722.1
OG0002694	CARHR053280	AT1G60040.1, AT1G59810.1
OG0002695	CARHR258940, CARHR082590, CARHR082560, CARHR082550, CARHR219870	AT3G14040.1, AT3G07850.1
OG0002696	CARHR114330	AT4G11930.1, AT4G11940.1
OG0002697	CARHR293060, CARHR158230, CARHR158220	AT3G49307.1
OG0002697	CARHR158210	AT3G49270.3, AT3G49305.1, AT3G49300.1
OG0002698	CARHR134010	AT5G41830.2, AT4G00320.1
OG0002698	CARHR103640	AT5G41630.1
OG0002699	CARHR264770	AT5G51870.3
OG0002700	CARHR265060	AT5G52140.1
OG0002700	CARHR265070	AT5G52155.1
OG0002705	CARHR234940	AT4G27280.1
OG0002705	CARHR267770	AT5G54490.1
OG0002706	CARHR195430	AT5G17740.1
OG0002706	CARHR195420	AT5G17750.1
OG0002707	CARHR106670	AT2G16430.2
OG0002708	CARHR075650	AT3G01330.1
OG0002710	CARHR201100	AT5G12030.1
OG0002711	CARHR203660	AT5G09740.1
OG0002711	CARHR278580	AT5G64610.1
OG0002712	CARHR214610	AT5G38130.1
OG0002712	CARHR159770	AT3G50300.1
OG0002713	CARHR204340	AT5G08640.1
OG0002714	CARHR275220	AT5G61460.1
OG0002714	CARHR205510	AT5G07660.1
OG0002715	CARHR120220	AT2G27600.1
OG0002716	CARHR120390	AT2G27720.2
OG0002717	CARHR125310	AT2G31680.1
OG0002717	CARHR005340	AT1G05810.2
OG0002718	CARHR003860	AT1G04520.1
OG0002718	CARHR127330	AT2G33330.1
OG0002719	CARHR210350	AT5G02940.2
OG0002719	CARHR179740	AT5G43745.1
OG0002720	CARHR232930, CARHR232920	AT4G25520.1, AT4G25515.1
OG0002721	CARHR037070	AT1G47500.1, AT1G47490.1
OG0002722	CARHR036650, CARHR036660	AT1G46984.1, AT1G46912.1, AT1G46840.1
OG0002723	CARHR128690	AT2G34590.1
OG0002723	CARHR029290	AT1G30120.1
OG0002724	CARHR030600	AT1G31120.1
OG0002724	CARHR129230	AT2G35060.2
OG0002725	CARHR172460	AT3G62120.1
OG0002726	CARHR240250	AT4G32342.2
OG0002726	CARHR188080	AT5G25360.3
OG0002727	CARHR192020	AT5G20830.1
OG0002728	CARHR150750	AT3G45210.1
OG0002728	CARHR274360	AT5G60680.1
OG0002729	CARHR150050	AT3G45577.1, AT3G45590.1
OG0002731	CARHR269410	AT5G56040.2
OG0002731	CARHR234120	AT4G26540.1
OG0002732	CARHR158070	AT3G49210.1
OG0002733	CARHR205970	AT5G07180.1
OG0002733	CARHR276010	AT5G62230.1
OG0002734	CARHR207070	AT5G05657.1, AT5G06330.1
OG0002734	CARHR086210	AT3G11660.1
OG0002735	CARHR135360, CARHR103760	AT2G40290.1
OG0002736	CARHR208300	AT5G04960.1
OG0002736	CARHR085290	AT3G10710.1
OG0002737	CARHR209690	AT5G03610.1
OG0002738	CARHR235990	AT4G28280.2
OG0002738	CARHR111340	AT2G20700.1
OG0002739	CARHR211370	AT5G01050.1, AT5G01040.1
OG0002740	CARHR083270	AT3G08940.2
OG0002740	CARHR211890	AT5G01530.1
OG0002741	CARHR017290	AT1G16825.1
OG0002741	CARHR072480	AT1G78895.1
OG0002742	CARHR243730	AT4G35410.2
OG0002742	CARHR107540	AT2G17380.1
OG0002743	CARHR234900	AT4G27260.1
OG0002743	CARHR267790	AT5G54510.1
OG0002744	CARHR088710	AT3G13900.1
OG0002744	CARHR044640	AT1G54280.1
OG0002745	CARHR043670	AT1G53450.1
OG0002745	CARHR089770	AT3G14830.1
OG0002746	CARHR090210	AT3G15220.1
OG0002746	CARHR043390	AT1G53165.3
OG0002747	CARHR104530	AT3G44340.1
OG0002747	CARHR240610	AT4G32640.1
OG0002748	CARHR259070	AT5G49710.3
OG0002748	CARHR231990	AT4G24590.4
OG0002749	CARHR219660	AT4G13780.1
OG0002750	CARHR057920	AT1G65980.1
OG0002751	CARHR221990	AT4G15260.1
OG0002752	CARHR222150	AT4G15415.1
OG0002753	CARHR058700	AT1G66650.1
OG0002753	CARHR058710	AT1G66660.2
OG0002754	CARHR091880	AT3G16630.1
OG0002755	CARHR018780	AT1G18200.1
OG0002755	CARHR066700	AT1G73640.1
OG0002756	CARHR013480	AT1G13110.1
OG0002757	CARHR236560	AT4G28770.2
OG0002757	CARHR110720	AT2G20230.1
OG0002758	CARHR110650	AT2G20140.1
OG0002758	CARHR236780	AT4G29040.1
OG0002759	CARHR047070	AT1G59560.1
OG0002760	CARHR213550	AT5G40880.1, AT5G49200.1
OG0002761	CARHR062930	AT1G69850.1
OG0002761	CARHR025000, CARHR024880	AT1G27040.1
OG0002762	CARHR245570	AT4G36940.1
OG0002762	CARHR293030	AT2G23420.1
OG0002764	CARHR041840, CARHR103680	AT1G51680.1
OG0002764	CARHR097140	AT3G21240.1
OG0002765	CARHR042140	AT1G51970.1
OG0002766	CARHR218570	AT4G13100.2
OG0002766	CARHR101310	AT3G25030.1
OG0002767	CARHR129910	AT2G35658.2
OG0002767	CARHR223470	AT4G16840.1
OG0002768	CARHR224970	AT4G18220.1, AT4G18210.1
OG0002769	CARHR173960	AT5G47420.1
OG0002769	CARHR224020	AT4G17420.1
OG0002770	CARHR173920	AT5G47450.1
OG0002770	CARHR223950	AT4G17340.1
OG0002771	CARHR159800	AT3G50340.1
OG0002771	CARHR280640	AT5G67020.1
OG0002772	CARHR132510	AT2G37960.1
OG0002773	CARHR229510, CARHR229520	AT4G22640.2
OG0002773	CARHR229530	AT4G22650.1
OG0002774	CARHR226730	AT4G19970.1
OG0002775	CARHR198620	AT5G14690.1
OG0002775	CARHR075420	AT3G01516.1
OG0002776	CARHR142830	AT2G47440.1
OG0002776	CARHR172820	AT3G62570.1
OG0002777	CARHR170640	AT3G60320.1
OG0002778	CARHR138490	AT2G43410.2
OG0002779	CARHR135780	AT2G40670.2
OG0002780	CARHR165000	AT3G55000.1
OG0002780	CARHR165010	AT3G55005.1
OG0002781	CARHR089170, CARHR089180	AT3G14250.1
OG0002782	CARHR131670	AT2G37160.2
OG0002782	CARHR163280	AT3G53390.1
OG0002784	CARHR103060	AT2G05250.1, AT2G05230.1
OG0002784	CARHR216800	AT5G35753.1
OG0002785	CARHR100380	AT3G24290.1
OG0002786	CARHR109270	AT2G18690.1
OG0002787	CARHR003250	AT1G03910.2
OG0002788	CARHR144450	AT2G01890.1
OG0002788	CARHR015230	AT1G14700.1
OG0002790	CARHR134260	AT2G39410.2
OG0002790	CARHR134270	AT2G39420.1
OG0002791	CARHR247660	AT4G39090.1
OG0002791	CARHR112340	AT2G21430.1
OG0002792	CARHR260090	AT4G09030.1
OG0002792	CARHR286310	AT1G35230.1
OG0002793	CARHR033720	AT1G34210.1
OG0002793	CARHR290920	AT1G71830.1
OG0002794	CARHR144650	AT2G02030.1
OG0002795	CARHR080260	AT3G05810.1
OG0002796	CARHR184990	AT5G28050.3
OG0002796	CARHR079640	AT3G05300.1
OG0002797	CARHR138970	AT2G43790.1
OG0002798	CARHR138620, CARHR138640	AT1G47540.2
OG0002798	CARHR138630	AT2G43520.1
OG0002799	CARHR174270	AT5G47120.1
OG0002799	CARHR224300, CARHR224290	AT5G47130.2
OG0002800	CARHR078310	AT3G04170.1
OG0002800	CARHR078340, CARHR078330, CARHR078320	AT3G04180.1, AT3G04190.1
OG0002801	CARHR079300	AT4G03645.1
OG0002802	CARHR185810	AT5G27210.1
OG0002802	CARHR079330	AT3G05010.1
OG0002803	CARHR080670	AT3G06150.1
OG0002803	CARHR193930	AT5G19060.1
OG0002804	CARHR080700	AT3G06180.1
OG0002804	CARHR193980	AT5G19025.2
OG0002805	CARHR249630	AT4G02050.1
OG0002806	CARHR090340	AT3G15351.1
OG0002807	CARHR092220	AT3G16950.2
OG0002807	CARHR222520	AT4G16155.1
OG0002808	CARHR038940	AT1G48940.1
OG0002808	CARHR093960	AT3G18590.1
OG0002809	CARHR040940, CARHR096330, CARHR040950, CARHR096310	AT1G50900.1
OG0002810	CARHR099110	AT3G23170.1
OG0002810	CARHR220660	AT4G14450.1
OG0002811	CARHR013520	AT1G13150.1
OG0002812	CARHR010870	AT1G10690.1
OG0002812	CARHR051790	AT1G60783.1
OG0002813	CARHR255430, CARHR011740	AT1G11475.1
OG0002814	CARHR050530	AT1G61800.2
OG0002815	CARHR049100	AT1G62740.1
OG0002815	CARHR012580	AT1G12270.1
OG0002816	CARHR012690	AT1G12400.3
OG0002816	CARHR048860	AT1G62886.1
OG0002817	CARHR065230	AT1G17300.2
OG0002818	CARHR065620	AT1G72700.1
OG0002818	CARHR018100	AT1G17500.1
OG0002819	CARHR064260	AT1G70985.1
OG0002819	CARHR023430	AT1G23050.1
OG0002820	CARHR034300	AT1G35537.1
OG0002820	CARHR049960	AT3G27831.1, AT3G27835.1
OG0002820	CARHR236760	AT4G29033.1
OG0002821	CARHR212880	AT5G41650.1
OG0002821	CARHR046740	AT1G64185.1
OG0002822	CARHR039300	AT1G49310.1
OG0002823	CARHR245450	AT4G37070.2
OG0002825	CARHR244040	AT4G35690.1
OG0002826	CARHR115870	AT2G25540.1
OG0002826	CARHR240330	AT4G32410.1
OG0002827	CARHR241790	AT4G33700.1
OG0002827	CARHR105250	AT2G14520.1
OG0002829	CARHR250120, CARHR250150, CARHR250130	AT4G01550.1
OG0002830	CARHR042830, CARHR179860, CARHR107260	AT1G52695.1
OG0002833	CARHR101110, CARHR101100, CARHR101090, CARHR164790	AT2G20208.1, AT4G30067.1, AT2G29045.1, AT4G30064.1
OG0002834	CARHR171670, CARHR219290	AT3G61340.2
OG0002835	CARHR151830	AT3G28840.1
OG0002835	CARHR151780	AT3G28780.1
OG0002836	CARHR244020	AT4G35670.1
OG0002836	CARHR244030	AT5G27530.1
OG0002837	CARHR266230	AT5G53160.2
OG0002839	CARHR179970, CARHR150620	AT3G45275.1, AT3G45285.1, AT2G25312.1, AT3G44428.1
OG0002839	CARHR150670	AT3G45245.1, AT3G45243.1
OG0002844	CARHR145370	AT1G42615.1, AT2G02955.1
OG0002845	CARHR077490	AT3G03460.1
OG0002845	CARHR195680	AT5G17510.1
OG0002846	CARHR074940	AT3G02020.1
OG0002846	CARHR199300	AT5G14060.1
OG0002847	CARHR199500	AT5G13930.1
OG0002848	CARHR219150	AT4G13520.1
OG0002848	CARHR100370	AT3G24280.1
OG0002849	CARHR102960	AT2G39320.1
OG0002850	CARHR201970	AT5G11300.1
OG0002850	CARHR188120	AT5G25380.4
OG0002851	CARHR288960	AT5G11180.2, AT5G11210.5
OG0002852	CARHR186700	AT5G26830.1
OG0002853	CARHR190220	AT5G23320.2
OG0002853	CARHR204740	AT5G08335.1
OG0002854	CARHR119470	AT2G27100.1
OG0002855	CARHR008080	AT1G08250.1
OG0002855	CARHR120520	AT2G27820.1
OG0002856	CARHR123900	AT2G30460.1
OG0002856	CARHR006560	AT1G06890.1
OG0002857	CARHR005630	AT1G06130.1
OG0002857	CARHR124980	AT2G31350.1
OG0002858	CARHR126430	AT2G32580.1
OG0002858	CARHR004540	AT1G05070.1
OG0002859	CARHR004600	AT1G05150.1
OG0002859	CARHR126280	AT2G32450.1
OG0002860	CARHR126680	AT2G32780.1
OG0002860	CARHR004250	AT1G04860.1
OG0002861	CARHR127240	AT2G33230.1
OG0002861	CARHR003960	AT1G04610.1
OG0002862	CARHR249550	AT1G07910.2
OG0002863	CARHR233110	AT4G25670.1
OG0002863	CARHR233150	AT4G25690.1
OG0002864	CARHR027510	AT1G28060.1
OG0002865	CARHR129790	AT2G35605.1
OG0002865	CARHR031060	AT1G31760.1
OG0002866	CARHR031240	AT1G31885.1
OG0002868	CARHR279930	AT5G65920.1
OG0002868	CARHR158880	AT3G49810.1
OG0002869	CARHR279690	AT5G65700.1
OG0002869	CARHR158740	AT3G49670.1
OG0002870	CARHR278210	AT5G63670.1
OG0002870	CARHR204400	AT5G08565.1
OG0002871	CARHR277200	AT5G63370.1
OG0002872	CARHR275490	AT5G61730.2
OG0002873	CARHR118920	AT5G21030.2
OG0002873	CARHR191720	AT5G21150.1
OG0002874	CARHR234340	AT4G26720.1
OG0002874	CARHR268620	AT5G55260.2
OG0002875	CARHR268650	AT5G55300.2
OG0002876	CARHR285970, CARHR288020, CARHR159860, CARHR159870, CARHR036770	AT5G51360.1, AT3G50373.1
OG0002878	CARHR208650	AT1G46408.1, AT5G04640.1
OG0002879	CARHR209170	AT5G04090.6
OG0002879	CARHR084730	AT3G10250.1
OG0002880	CARHR212980	AT5G41340.1
OG0002880	CARHR047400	AT1G63800.1
OG0002881	CARHR118380, CARHR177910, CARHR177890	AT1G80220.1, AT2G26050.1
OG0002882	CARHR058570	AT1G66550.1
OG0002883	CARHR072030	AT1G78540.2
OG0002883	CARHR017570	AT1G17040.2
OG0002884	CARHR279830	AT5G65830.1
OG0002884	CARHR158830	AT3G49750.1
OG0002885	CARHR156370	AT3G22961.1
OG0002885	CARHR100120, CARHR252650	AT3G24093.1
OG0002886	CARHR130970	AT2G36680.1
OG0002886	CARHR162970	AT3G53120.1
OG0002887	CARHR231800	AT4G24390.1
OG0002888	CARHR218090	AT4G12770.1, AT4G12780.1
OG0002889	CARHR101010	AT3G24670.1
OG0002890	CARHR218930	AT4G13360.1
OG0002890	CARHR100460	AT3G24360.1
OG0002891	CARHR021350	AT1G20920.1
OG0002891	CARHR084030, CARHR084020	AT3G09620.2
OG0002892	CARHR067700	AT1G74430.1
OG0002893	CARHR176470	AT5G45550.1
OG0002893	CARHR034140	AT5G20440.1
OG0002895	CARHR090700	AT3G15610.1
OG0002895	CARHR042870	AT1G52730.1
OG0002898	CARHR174230	AT5G47150.1
OG0002899	CARHR243040	AT4G34740.1
OG0002899	CARHR106760	AT2G16570.1
OG0002900	CARHR230050	AT4G22990.2
OG0002900	CARHR254500	AT4G11810.1
OG0002901	CARHR178550	AT5G44560.1
OG0002902	CARHR252810	AT4G04745.1
OG0002902	CARHR228690	AT4G21902.1
OG0002903	CARHR281440	AT5G66270.1
OG0002904	CARHR281600	AT5G66140.1
OG0002904	CARHR160840	AT3G51260.1
OG0002905	CARHR281740	AT5G66020.1
OG0002905	CARHR161040	AT3G51460.1
OG0002906	CARHR142650	AT2G47250.1
OG0002906	CARHR172650	AT3G62310.1
OG0002907	CARHR172490	AT3G62150.1
OG0002907	CARHR142370	AT2G47000.1
OG0002908	CARHR141690	AT2G46410.1
OG0002909	CARHR141610	AT2G46330.1
OG0002910	CARHR171140	AT3G60750.1
OG0002911	CARHR138980	AT2G43795.2
OG0002911	CARHR170140	AT3G59800.1
OG0002913	CARHR164420	AT3G54530.1
OG0002914	CARHR266550	AT5G53430.1
OG0002914	CARHR235610	AT4G27910.1
OG0002915	CARHR217560, CARHR103840	AT2G06520.1
OG0002916	CARHR244780	AT4G36450.1
OG0002916	CARHR108690	AT2G18170.1
OG0002917	CARHR271160	AT5G57360.2
OG0002919	CARHR193720, CARHR193710	AT5G19230.1, AT5G19240.1
OG0002919	CARHR193730	AT5G19250.1
OG0002920	CARHR140700	AT2G45510.1
OG0002921	CARHR077270	AT3G03250.2
OG0002922	CARHR079440	AT3G05120.1
OG0002923	CARHR080160	AT3G05710.2
OG0002923	CARHR186560	AT5G26980.1
OG0002924	CARHR082720	AT3G07980.1
OG0002924	CARHR088200	AT3G13530.1
OG0002925	CARHR083280	AT3G08943.1, AT3G08947.1
OG0002926	CARHR084470	AT3G09960.1
OG0002926	CARHR084480	AT3G09970.1
OG0002927	CARHR087910	AT3G13300.1, AT3G13290.1
OG0002928	CARHR089960	AT3G15000.1, AT1G53260.1
OG0002930	CARHR090920	AT3G15830.1
OG0002930	CARHR090910	AT3G15820.1
OG0002931	CARHR093390	AT3G18070.1
OG0002931	CARHR093400	AT3G18080.1
OG0002932	CARHR093510	AT3G18180.1
OG0002932	CARHR093500	AT3G18170.2
OG0002933	CARHR094800	AT3G19400.1
OG0002933	CARHR094790	AT3G19390.1
OG0002935	CARHR097700	AT3G21760.1
OG0002936	CARHR097630	AT3G21690.1
OG0002937	CARHR056940, CARHR056960	AT1G65290.1
OG0002938	CARHR000750	AT1G01600.1
OG0002939	CARHR001680	AT1G02360.3
OG0002939	CARHR249970	AT4G01700.1
OG0002940	CARHR124750	AT2G31150.1
OG0002940	CARHR005720	AT1G06190.5
OG0002941	CARHR015640	AT2G01090.1, AT1G15120.2
OG0002942	CARHR020280	AT1G19770.1
OG0002943	CARHR047830, CARHR047840	AT1G63540.1, AT1G63530.3
OG0002944	CARHR051570	AT1G61120.1
OG0002945	CARHR054250	AT1G57980.1
OG0002945	CARHR054240	AT1G57990.1, AT1G57943.1
OG0002946	CARHR114300	AT2G23200.1
OG0002947	CARHR252620	AT4G04910.1
OG0002948	CARHR247770	AT4G39000.1
OG0002949	CARHR247450	AT4G39240.1
OG0002950	CARHR246270	AT4G37880.1
OG0002950	CARHR113990	AT2G22690.1
OG0002951	CARHR244000	AT4G35655.1
OG0002951	CARHR107890	AT2G17660.1
OG0002952	CARHR240320	AT4G32400.1
OG0002953	CARHR241270	AT4G33230.1
OG0002954	CARHR116210	AT2G25310.1
OG0002954	CARHR240040	AT4G32130.1
OG0002955	CARHR239900	AT4G32000.3
OG0002955	CARHR116390	AT2G25220.2
OG0002956	CARHR100070	AT5G18990.1
OG0002958	CARHR111320	AT2G20680.1
OG0002958	CARHR236020	AT4G28320.1
OG0002961	CARHR174360	AT4G00920.1, AT2G02770.1, AT1G30060.1, AT2G01800.1, AT4G00580.1
OG0002962	CARHR246440	AT4G38030.1
OG0002963	CARHR092330	AT3G17080.1
OG0002964	CARHR131070, CARHR131080	AT2G36724.1
OG0002971	CARHR207810	AT5G05450.1
OG0002971	CARHR211680	AT1G71370.1, AT1G71280.1
OG0002972	CARHR184880	AT2G23910.1
OG0002972	CARHR238360	AT4G30470.1
OG0002973	CARHR082310	AT3G07610.3
OG0002975	CARHR294550	AT5G25780.1, AT5G27640.2
OG0002976	CARHR196280	AT5G16880.1
OG0002977	CARHR197300	AT5G16020.1
OG0002978	CARHR075030	AT3G01930.2
OG0002978	CARHR199220	AT5G14120.1
OG0002979	CARHR023600	AT1G23160.1
OG0002979	CARHR200120	AT5G13320.2
OG0002980	CARHR147800, CARHR147780, CARHR220790, CARHR156510, CARHR147790	AT4G38870.1
OG0002981	CARHR202950	AT5G10350.1
OG0002981	CARHR279210	AT5G65260.1
OG0002982	CARHR203570	AT5G09830.1
OG0002983	CARHR050230, CARHR230940	AT3G42153.1, AT4G09740.1, AT4G23560.1
OG0002984	CARHR204660	AT5G08391.1
OG0002985	CARHR006890	AT1G07175.1
OG0002985	CARHR123240	AT2G29995.1
OG0002987	CARHR179190	AT5G44090.2
OG0002988	CARHR181430	AT5G42820.1
OG0002988	CARHR134160	AT1G27650.1
OG0002989	CARHR128910	AT2G34750.1
OG0002990	CARHR030190	AT1G30730.1
OG0002990	CARHR030180	AT1G30720.1
OG0002991	CARHR031940	AT1G32490.1
OG0002992	CARHR280250	AT5G67360.1
OG0002993	CARHR159040	AT3G49960.1
OG0002994	CARHR280090	AT5G67500.1
OG0002995	CARHR113110	AT5G60900.1
OG0002996	CARHR190820	AT5G22780.1, AT5G22770.1
OG0002997	CARHR273950, CARHR273940, CARHR273930	AT5G60270.1
OG0002998	CARHR272710	AT5G58782.2
OG0002998	CARHR272700	AT5G58780.1
OG0002999	CARHR271860, CARHR271980	AT5G58050.1, AT5G58170.1
OG0003000	CARHR269570	AT5G56170.1
OG0003001	CARHR005980	AT1G06360.2
OG0003002	CARHR268310	AT5G54970.1
OG0003002	CARHR234560	AT4G26960.1
OG0003003	CARHR234600	AT4G26990.1
OG0003003	CARHR268260	AT5G54920.2
OG0003004	CARHR040170, CARHR189180	AT1G09620.1
OG0003005	CARHR206470	AT5G06730.1
OG0003005	CARHR206480	AT5G06720.1
OG0003006	CARHR002480	AT1G03130.1
OG0003006	CARHR251140	AT4G02770.1
OG0003007	CARHR078230, CARHR121590	AT3G04100.1
OG0003008	CARHR167560	AT3G57360.1, AT3G02370.2
OG0003009	CARHR210650	AT5G02730.1
OG0003009	CARHR084000	AT3G09590.1
OG0003010	CARHR110430, CARHR213240	AT5G41130.3
OG0003010	CARHR213250	AT5G41120.3
OG0003011	CARHR022400	AT1G22050.1
OG0003011	CARHR071360	AT1G77870.1
OG0003012	CARHR014590	AT4G10457.1
OG0003012	CARHR056620	AT1G65113.1
OG0003013	CARHR071070	AT1G77540.1
OG0003014	CARHR243980	AT4G35630.1
OG0003015	CARHR243970	AT4G35640.1
OG0003015	CARHR107840	AT2G17640.1
