Orthogroup	Cardamine_hirsuta	Raphanus_sativus
OG0003390	CARHR123520	XP_018435197.1, XP_018435196.1, XP_018479842.1
OG0003392	CARHR179150	XP_018484881.1
OG0003393	CARHR030100	XP_018478912.1, XP_018477035.1
OG0003394	CARHR030110	XP_018489486.1, XP_018487747.1, XP_018473034.1, XP_018477929.1
OG0003395	CARHR158850	XP_018438447.1
OG0003396	CARHR278620	XP_018457904.1, XP_018474951.1
OG0003397	CARHR241680	XP_018461792.1, XP_018449377.1, XP_018468025.1, XP_018480782.1, XP_018493346.1
OG0003398	CARHR277020	XP_018458211.1
OG0003399	CARHR276760	XP_018458184.1, XP_018458201.1, XP_018452513.1
OG0003400	CARHR276670	XP_018466241.1
OG0003401	CARHR189580	XP_018458680.1
OG0003402	CARHR191930	XP_018468395.1, XP_018470597.1, XP_018442741.1
OG0003405	CARHR270370, CARHR000660	XP_018475934.1, XP_018465492.1, XP_018457395.1
OG0003406	CARHR037090, CARHR039020	XP_018483715.1
OG0003408	CARHR208320	XP_018475446.1, XP_018469509.1, XP_018461907.1, XP_018443901.1, XP_018446364.1
OG0003409	CARHR209780	XP_018475987.1, XP_018475342.1
OG0003410	CARHR083690	XP_018491679.1
OG0003410	CARHR211240	XP_018472605.1
OG0003411	CARHR083200	XP_018434966.1
OG0003412	CARHR083160	XP_018491826.1, XP_018491493.1
OG0003413	CARHR086870	XP_018480608.1
OG0003414	CARHR072520, CARHR017240	XP_018472283.1, XP_018448615.1, XP_018456237.1
OG0003415	CARHR112440, CARHR106820, CARHR247590, CARHR106830	XP_018484165.1, XP_018454040.1, XP_018451025.1
OG0003416	CARHR070070, CARHR070080	XP_018463696.1, XP_018477284.1, XP_018446995.1
OG0003418	CARHR089370	XP_018491922.1
OG0003418	CARHR043950	XP_018434857.1
OG0003419	CARHR043660	XP_018492252.1
OG0003420	CARHR130840	XP_018454016.1
OG0003421	CARHR099650	XP_018464052.1
OG0003422	CARHR245650	XP_018470452.1
OG0003424	CARHR292470	XP_018454494.1, XP_018477414.1
OG0003425	CARHR025220	XP_018482125.1
OG0003426	CARHR225160	XP_018454968.1, XP_018454824.1
OG0003427	CARHR041920	XP_018432588.1, XP_018473903.1
OG0003428	CARHR041930	XP_018488118.1, XP_018490244.1
OG0003429	CARHR043130	XP_018441445.1
OG0003430	CARHR152100	XP_018478824.1
OG0003430	CARHR262560	XP_018463036.1
OG0003431	CARHR225550, CARHR225540	XP_018480798.1
OG0003433	CARHR160250	XP_018468978.1, XP_018481461.1
OG0003434	CARHR264100	XP_018453344.1, XP_018476226.1
OG0003435	CARHR256790	XP_018462246.1, XP_018473833.1, XP_018472316.1, XP_018470136.1
OG0003437	CARHR177980	XP_018454148.1
OG0003438	CARHR227270	XP_018446744.1, XP_018485256.1
OG0003440	CARHR228660	XP_018479184.1, XP_018462382.1, XP_018459197.1, XP_018448486.1, XP_018468874.1
OG0003441	CARHR033890	XP_018451147.1, XP_018449609.1, XP_018458431.1
OG0003442	CARHR139740	XP_018435158.1
OG0003443	CARHR169060	XP_018486283.1, XP_018446672.1
OG0003445	CARHR167160, CARHR163700	XP_018446163.1, XP_018458563.1
OG0003446	CARHR135290	XP_018458719.1, XP_018480853.1
OG0003447	CARHR103030	XP_018491377.1, XP_018489558.1, XP_018489566.1
OG0003448	CARHR100450	XP_018433912.1, XP_018491298.1, XP_018491297.1, XP_018486189.1, XP_018486229.1
OG0003449	CARHR245030	XP_018457662.1, XP_018451621.1, XP_018471964.1, XP_018471950.1
OG0003452	CARHR033540	XP_018462170.1
OG0003453	CARHR142820	XP_018481687.1, XP_018436474.1, XP_018477954.1
OG0003454	CARHR142750	XP_018456026.1, XP_018434164.1, XP_018483573.1
OG0003455	CARHR141040	XP_018466875.1, XP_018481797.1, XP_018480837.1, XP_018437700.1
OG0003456	CARHR140000	XP_018437287.1
OG0003457	CARHR139120	XP_018480307.1, XP_018480284.1
OG0003458	CARHR139100	XP_018478046.1, XP_018478048.1, XP_018433820.1
OG0003459	CARHR194010	XP_018462417.1, XP_018489090.1
OG0003460	CARHR080820, CARHR080810	XP_018435305.1
OG0003461	CARHR213130, CARHR176030, CARHR176040, CARHR213100, CARHR213110, CARHR213090, CARHR213140, CARHR081210	XP_018488313.1
OG0003462	CARHR083390, CARHR083530	XP_018486251.1, XP_018492595.1
OG0003463	CARHR145210, CARHR086010	XP_018485438.1
OG0003464	CARHR086460, CARHR086470	XP_018434854.1, XP_018491055.1, XP_018466759.1, XP_018464816.1, XP_018466018.1
OG0003465	CARHR088310	XP_018490167.1, XP_018433012.1, XP_018486387.1
OG0003466	CARHR105710, CARHR088450	XP_018434667.1, XP_018488698.1
OG0003467	CARHR090980	XP_018492116.1
OG0003468	CARHR231770	XP_018472483.1, XP_018472484.1
OG0003469	CARHR238770	XP_018454475.1, XP_018454521.1
OG0003470	CARHR008840	XP_018451210.1, XP_018493230.1, XP_018481900.1
OG0003471	CARHR007850, CARHR007840	XP_018451514.1
OG0003472	CARHR009490	XP_018450100.1, XP_018460009.1, XP_018450060.1, XP_018459388.1, XP_018486546.1, XP_018441520.1, XP_018464428.1
OG0003473	CARHR010070	XP_018487299.1, XP_018480513.1
OG0003474	CARHR283810	XP_018434009.1
OG0003475	CARHR012750	XP_018434946.1
OG0003477	CARHR015140	XP_018435452.1, XP_018450831.1
OG0003478	CARHR223680	XP_018441400.1
OG0003479	CARHR018210, CARHR262030	XP_018484189.1
OG0003480	CARHR264880	XP_018453104.1
OG0003481	CARHR173550, CARHR223760	XP_018433596.1
OG0003482	CARHR092300	XP_018491448.1
OG0003483	CARHR141560	XP_018435083.1, XP_018433977.1, XP_018483859.1
OG0003484	CARHR294150	XP_018480212.1
OG0003485	CARHR245950	XP_018472091.1
OG0003485	CARHR245960	XP_018472090.1
OG0003486	CARHR244150	XP_018468385.1, XP_018470842.1, XP_018463340.1, XP_018448401.1, XP_018448399.1, XP_018450579.1, XP_018450546.1, XP_018463336.1, XP_018441115.1
OG0003487	CARHR242800	XP_018468715.1, XP_018449258.1, XP_018484957.1
OG0003488	CARHR117900	XP_018438415.1, XP_018438417.1
OG0003489	CARHR023550, CARHR023570, CARHR023560, CARHR023580, CARHR024050, CARHR024040	XP_018434657.1, XP_018471299.1, XP_018447727.1, XP_018434682.1, XP_018434652.1, XP_018434659.1
OG0003494	CARHR045300	XP_018438637.1, XP_018450178.1, XP_018479053.1, XP_018466704.1, XP_018466209.1
OG0003497	CARHR220460, CARHR056340, CARHR059750	XP_018442803.1, XP_018462399.1
OG0003498	CARHR002680	XP_018489128.1
OG0003501	CARHR189320	XP_018469405.1
OG0003502	CARHR265660	XP_018475295.1
OG0003503	CARHR146290	XP_018482121.1, XP_018482255.1
OG0003505	CARHR223000	XP_018486805.1, XP_018489906.1, XP_018475430.1, XP_018486806.1
OG0003513	CARHR254120, CARHR252640, CARHR122340	XP_018472673.1, XP_018465138.1, XP_018474931.1, XP_018474281.1
OG0003515	CARHR197440	XP_018446039.1
OG0003515	CARHR018880	XP_018470009.1, XP_018473094.1
OG0003516	CARHR201750	XP_018489939.1, XP_018442284.1
OG0003517	CARHR204070	XP_018445453.1
OG0003517	CARHR095280	XP_018487588.1, XP_018492718.1
OG0003518	CARHR204450	XP_018433634.1, XP_018433619.1, XP_018445283.1
OG0003519	CARHR275170	XP_018465184.1, XP_018466009.1
OG0003521	CARHR119810	XP_018477859.1, XP_018464894.1
OG0003522	CARHR120330	XP_018465507.1
OG0003523	CARHR121270	XP_018458844.1, XP_018441963.1
OG0003525	CARHR123850	XP_018465787.1, XP_018465045.1
OG0003526	CARHR068770	XP_018462792.1, XP_018483904.1, XP_018434879.1
OG0003527	CARHR125030	XP_018483638.1
OG0003528	CARHR125230, CARHR008820	XP_018474141.1, XP_018435061.1
OG0003529	CARHR126050	XP_018433575.1, XP_018475498.1, XP_018466808.1
OG0003530	CARHR179900, CARHR003560	XP_018477517.1
OG0003531	CARHR029110	XP_018437396.1
OG0003532	CARHR030270	XP_018448126.1, XP_018483778.1, XP_018479777.1
OG0003534	CARHR181420, CARHR280300, CARHR053680, CARHR181410	XP_018435149.1
OG0003535	CARHR279420	XP_018486249.1, XP_018462026.1
OG0003536	CARHR205950	XP_018474978.1, XP_018475657.1
OG0003537	CARHR275580	XP_018463062.1, XP_018439423.1, XP_018458746.1
OG0003538	CARHR289290	XP_018484501.1
OG0003540	CARHR190550	XP_018468739.1
OG0003541	CARHR274170	XP_018444694.1, XP_018444496.1
OG0003543	CARHR285860	XP_018462058.1, XP_018456198.1, XP_018472004.1
OG0003544	CARHR285750	XP_018454617.1, XP_018456099.1, XP_018454296.1, XP_018475196.1, XP_018476978.1
OG0003545	CARHR272100	XP_018451967.1, XP_018473732.1, XP_018476979.1, XP_018470321.1
OG0003546	CARHR271540	XP_018445952.1, XP_018452473.1, XP_018474908.1
OG0003547	CARHR269770	XP_018466328.1
OG0003547	CARHR007870	XP_018491685.1
OG0003548	CARHR268940, CARHR268950	XP_018472981.1, XP_018464982.1, XP_018437322.1, XP_018457792.1
OG0003549	CARHR205930	XP_018475513.1, XP_018469579.1, XP_018443368.1
OG0003550	CARHR207240	XP_018442778.1
OG0003551	CARHR208090	XP_018476049.1, XP_018470429.1
OG0003552	CARHR109910	XP_018443239.1, XP_018452902.1, XP_018452931.1, XP_018452927.1
OG0003554	CARHR148830	XP_018483860.1
OG0003555	CARHR072650	XP_018454804.1, XP_018444007.1
OG0003556	CARHR071730	XP_018453012.1
OG0003558	CARHR039830, CARHR039820, CARHR039840	XP_018464501.1, XP_018488206.1
OG0003559	CARHR220600	XP_018477621.1
OG0003560	CARHR220780	XP_018451425.1, XP_018446839.1, XP_018449349.1
OG0003561	CARHR256820, CARHR102080, CARHR256830	XP_018462047.1, XP_018456145.1
OG0003563	CARHR066270, CARHR066280	XP_018454357.1, XP_018454353.1, XP_018444352.1
OG0003564	CARHR068100	XP_018438541.1
OG0003564	CARHR019580	XP_018451529.1
OG0003565	CARHR146670	XP_018481456.1, XP_018482835.1, XP_018456114.1
OG0003566	CARHR062460	XP_018453100.1
OG0003567	CARHR176340	XP_018457016.1, XP_018457002.1
OG0003568	CARHR181160	XP_018454985.1, XP_018481256.1
OG0003569	CARHR023920, CARHR023930	XP_018487953.1
OG0003571	CARHR227430, CARHR227410	XP_018472077.1, XP_018468532.1
OG0003573	CARHR222920	XP_018460244.1, XP_018458728.1, XP_018478175.1, XP_018482089.1
OG0003574	CARHR161610	XP_018436101.1
OG0003575	CARHR173240	XP_018489933.1, XP_018481489.1
OG0003577	CARHR142420	XP_018440349.1
OG0003578	CARHR078640	XP_018491001.1, XP_018491002.1
OG0003579	CARHR171130	XP_018484164.1
OG0003580	CARHR166300	XP_018490924.1
OG0003581	CARHR168460	XP_018446311.1, XP_018445163.1
OG0003582	CARHR167870	XP_018489924.1
OG0003583	CARHR165140, CARHR165150	XP_018459161.1, XP_018444148.1, XP_018491624.1
OG0003584	CARHR163170	XP_018453210.1, XP_018452705.1, XP_018487974.1
OG0003585	CARHR266800	XP_018476702.1
OG0003586	CARHR214630	XP_018446576.1, XP_018459563.1
OG0003586	CARHR058840	XP_018453211.1
OG0003587	CARHR166100	XP_018491344.1
OG0003588	CARHR146300	XP_018479983.1
OG0003589	CARHR161250	XP_018439814.1, XP_018439812.1
OG0003590	CARHR131760	XP_018465613.1, XP_018439903.1, XP_018439904.1, XP_018473170.1
OG0003592	CARHR115110	XP_018483587.1, XP_018483586.1
OG0003594	CARHR255210	XP_018474723.1, XP_018480463.1, XP_018454430.1
OG0003595	CARHR186940	XP_018440387.1, XP_018456919.1
OG0003596	CARHR185830	XP_018484814.1
OG0003596	CARHR054200	XP_018457185.1, XP_018454054.1, XP_018454053.1, XP_018454049.1
OG0003597	CARHR003460	XP_018457737.1
OG0003597	CARHR003470	XP_018493556.1
OG0003598	CARHR112950, CARHR041480, CARHR040260	XP_018475030.1
OG0003599	CARHR194810	XP_018444029.1
OG0003601	CARHR087140	XP_018486469.1, XP_018465541.1, XP_018491302.1, XP_018433526.1
OG0003602	CARHR090530	XP_018490141.1
OG0003604	CARHR117820	XP_018485267.1
OG0003605	CARHR096380	XP_018491369.1, XP_018436680.1
OG0003606	CARHR096460	XP_018434915.1, XP_018486528.1
OG0003607	CARHR099410	XP_018441233.1
OG0003608	CARHR099270	XP_018492739.1, XP_018493291.1, XP_018491190.1
OG0003609	CARHR144620	XP_018456546.1, XP_018438307.1
OG0003610	CARHR055610	XP_018477388.1
OG0003612	CARHR162200	XP_018484390.1, XP_018484820.1, XP_018440691.1
OG0003613	CARHR023400, CARHR000760	XP_018465151.1
OG0003614	CARHR002270	XP_018482135.1
OG0003616	CARHR005610	XP_018487269.1, XP_018490390.1, XP_018483166.1
OG0003617	CARHR005870	XP_018440957.1
OG0003618	CARHR008170	XP_018448210.1
OG0003619	CARHR010210	XP_018478446.1, XP_018455825.1, XP_018456690.1
OG0003620	CARHR053270	XP_018440361.1
OG0003621	CARHR010750	XP_018489352.1, XP_018489762.1, XP_018487203.1
OG0003622	CARHR011320	XP_018469185.1
OG0003623	CARHR012510	XP_018487258.1, XP_018441088.1
OG0003624	CARHR015360	XP_018437079.1
OG0003625	CARHR017080	XP_018451707.1
OG0003627	CARHR021170	XP_018441525.1
OG0003628	CARHR178180	XP_018483840.1
OG0003629	CARHR242660, CARHR242670	XP_018471506.1, XP_018484476.1
OG0003630	CARHR241020	XP_018470519.1
OG0003631	CARHR241880	XP_018447803.1, XP_018478019.1
OG0003632	CARHR059710, CARHR240100	XP_018467456.1, XP_018451447.1, XP_018451454.1
OG0003633	CARHR024560	XP_018433066.1
OG0003634	CARHR248770, CARHR248240	XP_018457503.1, XP_018457500.1
OG0003635	CARHR005760	XP_018489473.1, XP_018453313.1
OG0003635	CARHR124630	XP_018482424.1
OG0003636	CARHR122420	XP_018480678.1
OG0003636	CARHR007270	XP_018484966.1, XP_018449835.1
OG0003637	CARHR024020, CARHR024030	XP_018437579.1, XP_018433981.1, XP_018433983.1
OG0003638	CARHR181530, CARHR052320, CARHR098280	XP_018490525.1, XP_018490514.1
OG0003641	CARHR251910	XP_018455180.1, XP_018488246.1
OG0003641	CARHR177810, CARHR152180	XP_018479484.1, XP_018471903.1
OG0003642	CARHR261700	XP_018488195.1
OG0003642	CARHR158400	XP_018436127.1, XP_018438750.1, XP_018438680.1
OG0003645	CARHR228920, CARHR228930	XP_018465437.1, XP_018479179.1, XP_018461424.1
OG0003646	CARHR264990	XP_018464639.1, XP_018472561.1, XP_018450670.1
OG0003647	CARHR282080	YP_009046922.1
OG0003648	CARHR241170	XP_018479892.1
OG0003656	CARHR157180	XP_018439998.1
OG0003656	CARHR157190	XP_018458317.1
OG0003657	CARHR156530, CARHR276360	XP_018437151.1, XP_018488789.1, XP_018488788.1
OG0003659	CARHR076050	XP_018493263.1, XP_018441362.1
OG0003661	CARHR216280	XP_018443094.1, XP_018476280.1
OG0003661	CARHR201230	XP_018474317.1
OG0003662	CARHR201590	XP_018444075.1, XP_018444071.1, XP_018468664.1
OG0003663	CARHR038490	XP_018490096.1
OG0003665	CARHR085350	XP_018490056.1, XP_018438555.1, XP_018461711.1, XP_018489721.1
OG0003666	CARHR123580	XP_018441602.1
OG0003667	CARHR230550, CARHR230600	XP_018464878.1
OG0003668	CARHR265250	XP_018469127.1, XP_018464822.1
OG0003668	CARHR232990	XP_018477351.1
OG0003670	CARHR189970	XP_018437012.1, XP_018438838.1, XP_018482695.1, XP_018455974.1
OG0003671	CARHR188800	XP_018439026.1, XP_018435600.1
OG0003672	CARHR187640	XP_018433307.1, XP_018433306.1, XP_018437659.1, XP_018456155.1, XP_018456154.1
OG0003673	CARHR191840	XP_018472693.1
OG0003674	CARHR152680	XP_018437696.1
OG0003675	CARHR274070	XP_018445839.1, XP_018466590.1, XP_018467543.1, XP_018476176.1
OG0003676	CARHR068680	XP_018470220.1, XP_018473511.1
OG0003677	CARHR128330, CARHR128320	XP_018436344.1, XP_018436343.1
OG0003679	CARHR268870	XP_018473480.1, XP_018469784.1, XP_018454818.1, XP_018454997.1, XP_018455042.1
OG0003681	CARHR157450	XP_018432857.1, XP_018462175.1, XP_018468490.1
OG0003683	CARHR211640, CARHR211650	XP_018475239.1, XP_018475241.1
OG0003684	CARHR148890	XP_018467085.1, XP_018454433.1, XP_018467077.1, XP_018483920.1
OG0003685	CARHR007640	XP_018490751.1, XP_018465857.1
OG0003686	CARHR212570	XP_018463845.1
OG0003687	CARHR059850	XP_018453395.1
OG0003687	CARHR067420, CARHR067320	XP_018462508.1
OG0003687	CARHR067360, CARHR183930, CARHR218490	XP_018464286.1, XP_018445184.1
OG0003689	CARHR074020	XP_018453057.1
OG0003691	CARHR288980, CARHR068370, CARHR288990	XP_018442931.1, XP_018442924.1
OG0003693	CARHR043350	XP_018489407.1
OG0003694	CARHR258420	XP_018468303.1, XP_018461415.1, XP_018473678.1
OG0003695	CARHR290030	XP_018481466.1, XP_018449408.1
OG0003696	CARHR236290	XP_018471971.1, XP_018447048.1
OG0003697	CARHR236660	XP_018460048.1, XP_018480819.1
OG0003698	CARHR149780	XP_018478139.1, XP_018481785.1
OG0003699	CARHR249130	XP_018474654.1, XP_018454811.1, XP_018466073.1, XP_018460316.1, XP_018469687.1
OG0003700	CARHR175580	XP_018457638.1, XP_018457627.1, XP_018440137.1
OG0003701	CARHR093050	XP_018466141.1, XP_018434192.1, XP_018469450.1
OG0003703	CARHR177710	XP_018433173.1
OG0003704	CARHR041020, CARHR040530	XP_018493182.1, XP_018485092.1
OG0003705	CARHR092160, CARHR092940, CARHR222480, CARHR100830	XP_018462161.1
OG0003706	CARHR227050	XP_018436151.1, XP_018439793.1
OG0003707	CARHR041870	XP_018449139.1, XP_018437594.1
OG0003708	CARHR042020	XP_018478469.1
OG0003708	CARHR284810	XP_018474308.1
OG0003709	CARHR127670, CARHR035200	XP_018481729.1
OG0003710	CARHR130090, CARHR130080	XP_018479899.1, XP_018484985.1
OG0003711	CARHR164890	XP_018443134.1, XP_018461007.1, XP_018488752.1
OG0003713	CARHR172640	XP_018484129.1, XP_018492066.1, XP_018492069.1, XP_018460290.1, XP_018443580.1
OG0003714	CARHR172200	XP_018486419.1
OG0003714	CARHR141950	XP_018441152.1, XP_018441167.1
OG0003715	CARHR171710	XP_018492413.1, XP_018492402.1, XP_018477182.1
OG0003716	CARHR171450	XP_018444879.1, XP_018486082.1
OG0003718	CARHR165890	XP_018489755.1, XP_018489732.1
OG0003719	CARHR134630	XP_018485291.1, XP_018476724.1
OG0003720	CARHR195900	XP_018444485.1
OG0003721	CARHR026610	XP_018450503.1, XP_018474071.1
OG0003722	CARHR109120	XP_018434059.1, XP_018452371.1
OG0003723	CARHR242500	XP_018451722.1
OG0003724	CARHR109570	XP_018489760.1
OG0003725	CARHR109620	XP_018492253.1, XP_018440504.1
OG0003726	CARHR237740	XP_018451164.1, XP_018470693.1
OG0003727	CARHR215860	XP_018435766.1, XP_018443755.1, XP_018457290.1
OG0003728	CARHR114320	XP_018437346.1, XP_018437355.1
OG0003729	CARHR187010	XP_018455354.1, XP_018455413.1
OG0003730	CARHR079950	XP_018434965.1
OG0003730	CARHR186270	XP_018484834.1
OG0003731	CARHR115520, CARHR135440	XP_018476833.1, XP_018440050.1
OG0003733	CARHR114110	XP_018440927.1, XP_018440926.1, XP_018475946.1, XP_018475952.1
OG0003734	CARHR139110	XP_018481263.1
OG0003735	CARHR138960	XP_018436671.1, XP_018476499.1, XP_018474454.1
OG0003736	CARHR080870	XP_018440835.1, XP_018492148.1
OG0003737	CARHR082240	XP_018465454.1
OG0003738	CARHR082780	XP_018439078.1, XP_018493503.1, XP_018464459.1
OG0003739	CARHR088990, CARHR089010	XP_018440812.1, XP_018440772.1, XP_018486588.1
OG0003740	CARHR089250	XP_018489260.1
OG0003741	CARHR015790	XP_018440613.1, XP_018479824.1
OG0003742	CARHR093440, CARHR113170	XP_018489686.1
OG0003743	CARHR093950	XP_018489166.1, XP_018488975.1, XP_018490221.1, XP_018490219.1
OG0003744	CARHR097690	XP_018466013.1, XP_018490506.1
OG0003745	CARHR161430, CARHR159310	XP_018477289.1, XP_018484988.1, XP_018471966.1, XP_018441236.1
OG0003746	CARHR002470, CARHR182160	XP_018493128.1, XP_018451242.1
OG0003747	CARHR005200	XP_018447249.1, XP_018447261.1
OG0003748	CARHR007180	XP_018467958.1
OG0003749	CARHR016510	XP_018443994.1
OG0003751	CARHR017930	XP_018436065.1, XP_018445421.1
OG0003752	CARHR064570, CARHR064550	XP_018454257.1, XP_018445043.1
OG0003753	CARHR063920, CARHR063940	XP_018444032.1, XP_018453157.1, XP_018461030.1, XP_018461031.1, XP_018468569.1
OG0003754	CARHR103910, CARHR217350	XP_018488779.1
OG0003756	CARHR178810	XP_018457409.1, XP_018484205.1
OG0003757	CARHR037790	XP_018464370.1, XP_018451618.1
OG0003758	CARHR038270	XP_018448572.1, XP_018452406.1, XP_018452420.1
OG0003759	CARHR039310	XP_018447238.1, XP_018450280.1, XP_018488939.1, XP_018488943.1, XP_018468805.1
OG0003760	CARHR294270	XP_018480214.1
OG0003761	CARHR247100, CARHR215520	XP_018483981.1, XP_018480478.1
OG0003762	CARHR247060	XP_018453281.1, XP_018453445.1, XP_018482264.1, XP_018459486.1
OG0003763	CARHR113670	XP_018465236.1, XP_018481103.1
OG0003764	CARHR244980	XP_018451497.1, XP_018449461.1
OG0003765	CARHR233370	XP_018468194.1, XP_018468196.1, XP_018471947.1, XP_018471946.1, XP_018471948.1, XP_018470521.1
OG0003768	CARHR235950	XP_018467156.1, XP_018451346.1, XP_018471743.1, XP_018480670.1
OG0003769	CARHR030000	XP_018492283.1, XP_018492286.1
OG0003769	CARHR029990	XP_018451657.1, XP_018451656.1
OG0003770	CARHR268020, CARHR268030, CARHR268010	XP_018475399.1
OG0003772	CARHR215360	XP_018485086.1
OG0003773	CARHR112990	XP_018435432.1, XP_018435420.1, XP_018459484.1
OG0003774	CARHR124280	XP_018467034.1, XP_018488632.1, XP_018438494.1, XP_018438571.1
OG0003775	CARHR125710	XP_018460738.1
OG0003776	CARHR222900	XP_018467671.1, XP_018460242.1, XP_018465130.1
OG0003778	CARHR124660, CARHR124670	XP_018438699.1, XP_018482374.1, XP_018482376.1, XP_018475457.1
OG0003780	CARHR072250	XP_018475547.1, XP_018458478.1, XP_018459198.1, XP_018450092.1
OG0003790	CARHR195890	XP_018473501.1, XP_018442346.1, XP_018475220.1
OG0003791	CARHR195930, CARHR154520, CARHR154530	XP_018446022.1, XP_018472727.1
OG0003792	CARHR197200	XP_018445336.1, XP_018443294.1
OG0003793	CARHR184010, CARHR199820	XP_018443311.1, XP_018443312.1, XP_018469279.1, XP_018467621.1
OG0003794	CARHR201280	XP_018472678.1, XP_018446741.1
OG0003795	CARHR202600	XP_018442308.1, XP_018473120.1, XP_018471068.1
OG0003796	CARHR203640	XP_018442983.1, XP_018476968.1, XP_018472039.1
OG0003797	CARHR204710	XP_018454071.1
OG0003798	CARHR232220	XP_018439132.1, XP_018472479.1, XP_018484846.1
OG0003799	CARHR121100	XP_018455172.1, XP_018455168.1, XP_018475162.1, XP_018437670.1
OG0003800	CARHR124910, CARHR124390	XP_018475709.1, XP_018434722.1
OG0003801	CARHR005290	XP_018481633.1
OG0003801	CARHR125350	XP_018474533.1
OG0003802	CARHR125730	XP_018437408.1, XP_018481394.1, XP_018476806.1, XP_018476802.1, XP_018464876.1
OG0003803	CARHR127460	XP_018462137.1, XP_018483170.1
OG0003804	CARHR232640	XP_018477112.1, XP_018450962.1
OG0003805	CARHR262430	XP_018474600.1
OG0003806	CARHR286960	XP_018459287.1, XP_018459269.1
OG0003807	CARHR032990	XP_018468004.1
OG0003808	CARHR280490, CARHR280470	XP_018454905.1
OG0003809	CARHR277610	XP_018454249.1, XP_018454244.1, XP_018457298.1
OG0003811	CARHR156570	XP_018433910.1
OG0003812	CARHR060900, CARHR236070	XP_018434442.1, XP_018486708.1, XP_018464077.1
OG0003813	CARHR248040	XP_018432660.1, XP_018488951.1
OG0003814	CARHR190090	XP_018434218.1, XP_018448469.1, XP_018448464.1, XP_018479025.1, XP_018452660.1, XP_018465235.1
OG0003815	CARHR201690	XP_018462713.1, XP_018460573.1, XP_018471473.1
OG0003816	CARHR191440	XP_018470514.1, XP_018470516.1, XP_018472738.1, XP_018463715.1, XP_018444620.1
OG0003817	CARHR274370	XP_018454374.1, XP_018446535.1
OG0003817	CARHR150760	XP_018434000.1
OG0003818	CARHR271800	XP_018472930.1, XP_018466925.1
OG0003819	CARHR234100	XP_018471403.1
OG0003820	CARHR268800	XP_018475548.1, XP_018456680.1
OG0003821	CARHR268420	XP_018450325.1, XP_018450195.1, XP_018462280.1
OG0003822	CARHR267590, CARHR267600	XP_018475704.1, XP_018475705.1, XP_018460450.1, XP_018460449.1, XP_018448089.1
OG0003824	CARHR206870	XP_018462531.1, XP_018474945.1, XP_018447149.1
OG0003825	CARHR287360, CARHR267130	XP_018440127.1
OG0003826	CARHR182460	XP_018477808.1, XP_018436675.1, XP_018440334.1
OG0003828	CARHR244560	XP_018471328.1
OG0003829	CARHR213190	XP_018446233.1, XP_018453270.1, XP_018480522.1
OG0003830	CARHR072490	XP_018442114.1, XP_018445802.1, XP_018457811.1, XP_018456179.1, XP_018471620.1, XP_018457218.1
OG0003831	CARHR071850	XP_018455045.1
OG0003832	CARHR146420	XP_018438720.1
OG0003833	CARHR045500	XP_018484736.1, XP_018463925.1, XP_018450838.1, XP_018449894.1
OG0003834	CARHR044670	XP_018489456.1
OG0003836	CARHR149980	XP_018436490.1
OG0003837	CARHR085170, CARHR218080	XP_018478065.1, XP_018478003.1
OG0003838	CARHR058610, CARHR058620, CARHR187980, CARHR222160	XP_018480601.1, XP_018464043.1
OG0003839	CARHR290170, CARHR290150, CARHR056520, CARHR260120	XP_018448555.1
OG0003840	CARHR019130	XP_018440911.1
OG0003841	CARHR062130	XP_018443872.1, XP_018445481.1, XP_018444559.1, XP_018456434.1, XP_018456435.1
OG0003842	CARHR062820	XP_018455011.1
OG0003843	CARHR040560	XP_018480062.1, XP_018480135.1, XP_018480051.1, XP_018480132.1
OG0003844	CARHR050370, CARHR287710	XP_018490912.1
OG0003845	CARHR116820	XP_018438792.1
OG0003846	CARHR152110	XP_018463037.1, XP_018478826.1, XP_018452450.1, XP_018435654.1
OG0003848	CARHR280960	XP_018457129.1
OG0003849	CARHR231090	XP_018460379.1, XP_018483002.1, XP_018470344.1, XP_018470343.1, XP_018448139.1
OG0003850	CARHR230760	XP_018453953.1
OG0003851	CARHR074890	XP_018438893.1
OG0003852	CARHR075310, CARHR017030	XP_018491458.1, XP_018490988.1
OG0003853	CARHR172040	XP_018489807.1
OG0003853	CARHR172050	XP_018462762.1, XP_018480191.1
OG0003854	CARHR140500	XP_018483891.1
OG0003855	CARHR169660	XP_018460830.1, XP_018488714.1, XP_018461492.1, XP_018461204.1, XP_018443946.1
OG0003856	CARHR168490	XP_018445169.1
OG0003857	CARHR168310, CARHR137210	XP_018478330.1, XP_018491999.1
OG0003858	CARHR168290, CARHR168300, CARHR137220	XP_018463686.1, XP_018491992.1
OG0003859	CARHR163940	XP_018458883.1, XP_018458884.1, XP_018487436.1, XP_018444458.1, XP_018488765.1, XP_018458890.1
OG0003860	CARHR143990, CARHR257330	XP_018480228.1, XP_018437095.1, XP_018434232.1
OG0003861	CARHR102120	XP_018491521.1
OG0003862	CARHR100440	XP_018491280.1, XP_018493531.1
OG0003863	CARHR061120	XP_018468484.1
OG0003865	CARHR132290	XP_018484716.1, XP_018484677.1
OG0003866	CARHR257860	XP_018439282.1
OG0003867	CARHR113680	XP_018439592.1
OG0003868	CARHR035840	XP_018447819.1, XP_018486042.1, XP_018493342.1
