Orthogroup	Cardamine_hirsuta	Eutrema_salsugineum
OG0002834	CARHR171660, CARHR171670, CARHR219290	XP_024012909.1
OG0002835	CARHR151830	XP_024006859.1, XP_006395337.1
OG0002836	CARHR244020, CARHR244030	XP_024004396.1
OG0002837	CARHR266230	XP_006401738.1
OG0002839	CARHR150670	XP_006419054.1
OG0002844	CARHR212720	XP_006395748.2
OG0002845	CARHR077490	XP_006408300.1
OG0002845	CARHR195680	XP_006400291.1
OG0002846	CARHR074940	XP_006408564.1
OG0002846	CARHR199300	XP_006399912.1
OG0002847	CARHR199500	XP_006399896.1
OG0002848	CARHR219150	XP_024005359.1
OG0002849	CARHR102960	XP_024004427.1, XP_006404252.1, XP_006414739.2
OG0002850	CARHR201970	XP_006399631.1
OG0002851	CARHR288960	XP_024012176.1, XP_024012382.1
OG0002852	CARHR018670, CARHR186700	XP_006394912.1
OG0002853	CARHR204740	XP_006399324.1
OG0002854	CARHR119470	XP_006408663.1, XP_006408653.1
OG0002855	CARHR120520	XP_006409793.1
OG0002856	CARHR123900	XP_006410146.1
OG0002856	CARHR006560	XP_006417871.1
OG0002857	CARHR124980	XP_006410267.1
OG0002858	CARHR126430	XP_006410389.1
OG0002858	CARHR004540	XP_006418063.2
OG0002859	CARHR126280	XP_006410378.1
OG0002860	CARHR004250	XP_006418088.1
OG0002861	CARHR127240	XP_006410463.1
OG0002861	CARHR003960	XP_006418109.1
OG0002862	CARHR007720, CARHR249550	XP_006417753.1
OG0002863	CARHR233110	XP_006413283.1
OG0002863	CARHR233150	XP_006413281.1
OG0002864	CARHR027510	XP_006415703.1
OG0002865	CARHR129790	XP_006410720.1
OG0002865	CARHR031060	XP_024008798.1
OG0002866	CARHR031240	XP_006415281.1
OG0002867	CARHR129730	XP_006410715.1
OG0002868	CARHR158880	XP_006404100.1
OG0002869	CARHR279690	XP_024006915.1
OG0002869	CARHR158740	XP_024013776.1
OG0002870	CARHR278210	XP_006394250.1
OG0002870	CARHR204400	XP_006399363.2
OG0002871	CARHR277200	XP_024007626.1
OG0002871	CARHR157260	XP_006404246.1
OG0002872	CARHR275490	XP_024007520.1
OG0002873	CARHR118920	XP_024012379.1
OG0002873	CARHR191720	XP_006400685.1
OG0002874	CARHR234340	XP_006413146.1
OG0002874	CARHR268620	XP_006401473.1
OG0002875	CARHR268650	XP_006401470.1
OG0002876	CARHR285970, CARHR288020, CARHR159860, CARHR159870, CARHR036770	XP_006392239.1, XP_006404036.1
OG0002878	CARHR208650	XP_006398920.1, XP_006409474.2
OG0002879	CARHR209170	XP_006398867.1
OG0002879	CARHR084730	XP_006407591.1
OG0002880	CARHR212980	XP_006405362.1
OG0002881	CARHR118380, CARHR177910, CARHR177890	XP_024011131.1
OG0002882	CARHR058570	XP_006397159.1, XP_006405092.1
OG0002883	CARHR072030	XP_006389977.1
OG0002883	CARHR017570	XP_024008335.1
OG0002884	CARHR279830	XP_006393981.1
OG0002884	CARHR158830	XP_024013655.1
OG0002885	CARHR156370	XP_024014948.1
OG0002886	CARHR130970	XP_006410841.1
OG0002886	CARHR162970	XP_006391880.2, XP_006403723.1
OG0002887	CARHR231800	XP_006413440.1, XP_006413438.1
OG0002888	CARHR218090	XP_024005027.1, XP_006415005.1, XP_024004575.1
OG0002889	CARHR101010	XP_024009523.1
OG0002890	CARHR218930	XP_006414921.1
OG0002890	CARHR100460	XP_006418754.1
OG0002891	CARHR021350	XP_006416348.1
OG0002891	CARHR084020	XP_024015276.1
OG0002892	CARHR067700	XP_006390428.1
OG0002893	CARHR176470	XP_006398232.1
OG0002894	CARHR176950	XP_006404971.2
OG0002895	CARHR090700	XP_006406945.1
OG0002895	CARHR042870	XP_006392876.1
OG0002896	CARHR233080, CARHR233070	XP_006413286.2
OG0002898	CARHR174230	XP_006398410.1, XP_006398412.1, XP_006418523.1
OG0002899	CARHR243040	XP_006412189.1
OG0002899	CARHR106760	XP_006409423.1
OG0002900	CARHR230050	XP_006413592.1
OG0002901	CARHR178550	XP_006398069.1
OG0002902	CARHR252810	XP_006396671.2
OG0002902	CARHR228690	XP_006413717.1
OG0002903	CARHR281440	XP_006393834.1
OG0002904	CARHR281600	XP_006393800.1, XP_006393802.1
OG0002905	CARHR161040	XP_006403913.1
OG0002906	CARHR172650	XP_006402386.1
OG0002907	CARHR172490	XP_006402405.1
OG0002907	CARHR142370	XP_006397891.1
OG0002908	CARHR054060	XP_006397829.1
OG0002909	CARHR141610	XP_006397819.2
OG0002911	CARHR138980, CARHR170140	XP_006402655.1
OG0002914	CARHR266550	XP_024011791.1
OG0002914	CARHR235610	XP_006413014.1
OG0002915	CARHR217560	XP_024013033.1
OG0002915	CARHR103840	XP_006408978.1, XP_006396108.1
OG0002916	CARHR244780	XP_006411999.1
OG0002917	CARHR271160	XP_006401212.1
OG0002919	CARHR193720, CARHR193710, CARHR193730	XP_006400481.1
OG0002920	CARHR140700	XP_006397734.1
OG0002921	CARHR077270	XP_006408324.1
OG0002922	CARHR079440	XP_006408110.1
OG0002923	CARHR080160	XP_006408038.1
OG0002924	CARHR082720	XP_006407775.1
OG0002924	CARHR088200	XP_006407202.2
OG0002925	CARHR083280	XP_006407729.1, XP_006407731.1
OG0002926	CARHR084480	XP_006407619.1
OG0002927	CARHR087910	XP_006407240.1, XP_006407239.1
OG0002928	CARHR089960	XP_006407023.1
OG0002929	CARHR214390	XP_006406926.2
OG0002930	CARHR090920, CARHR090910	XP_006406915.1
OG0002931	CARHR093400	XP_006406658.1, XP_006406654.1
OG0002932	CARHR093500	XP_006406640.1
OG0002933	CARHR094790	XP_006406504.1
OG0002935	CARHR097710, CARHR097700	XP_006406237.1
OG0002936	CARHR097630	XP_024015191.1
OG0002937	CARHR056950	XP_006395898.1
OG0002938	CARHR000750	XP_006418437.1
OG0002939	CARHR001680	XP_006418351.1
OG0002939	CARHR249970	XP_006396366.1
OG0002940	CARHR124750	XP_006410243.1
OG0002940	CARHR005720	XP_006417948.1
OG0002941	CARHR143640	XP_024011031.1
OG0002941	CARHR015640	XP_024008348.1
OG0002942	CARHR020280	XP_006416465.1
OG0002943	CARHR047830, CARHR047840	XP_006391736.1
OG0002944	CARHR051570, CARHR051590, CARHR051610, CARHR051600	XP_006392054.1
OG0002945	CARHR054250, CARHR054240	XP_006392356.2
OG0002946	CARHR114300	XP_024014077.1, XP_006396169.1, XP_006404791.1, XP_006404798.2
OG0002947	CARHR252620	XP_006396654.1
OG0002948	CARHR247770	XP_006411695.1
OG0002949	CARHR247450	XP_024005518.1
OG0002950	CARHR246270	XP_006411841.1
OG0002951	CARHR244000	XP_006412077.1
OG0002951	CARHR107890	XP_006409271.1
OG0002952	CARHR240320	XP_006412478.1
OG0002952	CARHR115880	XP_006405184.1
OG0002953	CARHR241270	XP_006412376.1
OG0002954	CARHR116210	XP_006405219.1
OG0002954	CARHR240040	XP_006412511.1
OG0002955	CARHR239900	XP_006412528.2
OG0002955	CARHR116390	XP_006405129.1
OG0002956	CARHR100070	XP_006418806.1
OG0002958	CARHR111320	XP_006409005.1
OG0002958	CARHR236020	XP_024005659.1
OG0002961	CARHR174360	XP_006405934.2, XP_024014675.1
OG0002962	CARHR246440, CARHR056820	XP_006411824.1
OG0002963	CARHR092330	XP_006406771.1
OG0002964	CARHR131070, CARHR131080	XP_006405791.1, XP_006405790.1
OG0002971	CARHR207810	XP_006399006.1
OG0002971	CARHR211680	XP_006399007.1
OG0002972	CARHR184880	XP_006404875.1
OG0002972	CARHR238360	XP_006412703.1
OG0002973	CARHR082310	XP_024015236.1
OG0002975	CARHR294550	XP_006405042.1
OG0002976	CARHR196280	XP_006400231.1
OG0002976	CARHR077040	XP_006408352.1
OG0002977	CARHR197300	XP_006400131.2
OG0002978	CARHR075030	XP_024014301.1
OG0002978	CARHR199220	XP_006399921.1
OG0002979	CARHR200120	XP_006399823.1
OG0002980	CARHR147800	XP_024007912.1
OG0002981	CARHR202950	XP_006399528.1
OG0002982	CARHR203570	XP_006399466.1
OG0002982	CARHR278670	XP_006394125.1
OG0002983	CARHR050230, CARHR230940	XP_006413541.1
OG0002984	CARHR204660	XP_006399330.1
OG0002985	CARHR006890	XP_006417832.1, XP_024009038.1
OG0002985	CARHR123240	XP_006410050.1
OG0002986	CARHR168010	XP_006402852.1
OG0002987	CARHR179190	XP_006403143.1
OG0002988	CARHR134160	XP_006415744.1
OG0002989	CARHR128910	XP_006410626.1
OG0002990	CARHR030190	XP_006415431.1
OG0002990	CARHR030180	XP_006415432.1
OG0002992	CARHR280250	XP_006393933.1
OG0002993	CARHR159040	XP_006404085.1
OG0002993	CARHR280200	XP_006393941.1
OG0002994	CARHR280090	XP_024007527.1
OG0002996	CARHR190820	XP_006400781.1
OG0002997	CARHR273950, CARHR273940, CARHR273930	XP_006400865.2
OG0002998	CARHR272710, CARHR272690, CARHR272700	XP_024012469.1
OG0002999	CARHR271860, CARHR271980	XP_024012245.1
OG0003000	CARHR269570	XP_006401368.1
OG0003002	CARHR268310	XP_006401504.1
OG0003003	CARHR234600	XP_006413119.1
OG0003003	CARHR268260	XP_024011190.1
OG0003004	CARHR040170, CARHR189180	XP_024007739.1, XP_006414685.2, XP_006417554.1, XP_024014388.1
OG0003005	CARHR206470	XP_006399147.1
OG0003005	CARHR206480	XP_006399146.1
OG0003006	CARHR002480	XP_024008784.1
OG0003006	CARHR251140	XP_024010518.1
OG0003007	CARHR078230, CARHR121590	XP_006408223.1
OG0003008	CARHR167560	XP_024007733.1, XP_024008988.1, XP_006402885.1, XP_024009010.1
OG0003009	CARHR210650	XP_006398726.1
OG0003009	CARHR084000	XP_006407663.1
OG0003010	CARHR110430, CARHR213240, CARHR213250	XP_024014747.1
OG0003011	CARHR022400	XP_006416236.1
OG0003011	CARHR071360	XP_006390044.1
OG0003012	CARHR014590, CARHR056620	XP_006397062.2
OG0003013	CARHR071070	XP_006390079.1
OG0003014	CARHR243980	XP_006412081.2
OG0003015	CARHR243970	XP_024004644.1
OG0003015	CARHR107840	XP_006409273.1
OG0003017	CARHR101320	XP_006414975.1
OG0003018	CARHR218660	XP_006418694.1, XP_006414962.1
OG0003019	CARHR219650, CARHR219550, CARHR219630, CARHR219620	XP_006414858.1
OG0003020	CARHR179980, CARHR219820	XP_006414845.1
OG0003021	CARHR019030	XP_006416606.1
OG0003021	CARHR067010	XP_024007783.1
OG0003022	CARHR025810	XP_024007767.1
OG0003022	CARHR061570	XP_006391101.1
OG0003023	CARHR236910	XP_024005535.1
OG0003023	CARHR237270	XP_006412838.1
OG0003024	CARHR021630	XP_006416325.2
OG0003025	CARHR149790	XP_006395376.2
OG0003025	CARHR261940	XP_024014383.1
OG0003026	CARHR149810	XP_006395374.1
OG0003028	CARHR095040	XP_024015009.1
OG0003029	CARHR040840	XP_006393108.1
OG0003029	CARHR096270	XP_006406375.1
OG0003030	CARHR039330	XP_024006391.1
OG0003031	CARHR097100	XP_024014888.1
OG0003032	CARHR091340	XP_006406867.1
OG0003033	CARHR132800, CARHR132790, CARHR132810	XP_024003933.1
OG0003034	CARHR281190	XP_006414440.1
OG0003034	CARHR160400	XP_006403990.1
OG0003037	CARHR252360	XP_006396621.1
OG0003039	CARHR171190	XP_006402542.1
OG0003040	CARHR170740	XP_006402582.1
OG0003041	CARHR170440	XP_006402621.1
OG0003042	CARHR169650	XP_024004260.1
OG0003043	CARHR168450	XP_006402809.1
OG0003044	CARHR163450	XP_006403676.2
OG0003045	CARHR077280	XP_006408322.1
OG0003046	CARHR057640, CARHR057720, CARHR162620, CARHR158240	XP_006391315.1
OG0003047	CARHR059980	XP_006391279.2
OG0003049	CARHR060520	XP_006391210.1
OG0003050	CARHR216500	XP_006395906.1
OG0003051	CARHR026650	XP_006415806.1
OG0003051	CARHR232210	XP_006413382.1
OG0003052	CARHR247940	XP_024004343.1
OG0003053	CARHR117560, CARHR120210	XP_024010644.1, XP_024008980.1
OG0003054	CARHR227160	XP_006413879.1
OG0003055	CARHR193860	XP_006400467.1
OG0003056	CARHR193660	XP_024012127.1
OG0003058	CARHR079090	XP_006408144.1
OG0003059	CARHR142910	XP_006397946.1
OG0003061	CARHR139070	XP_006397561.1
OG0003061	CARHR139060	XP_006397560.1
OG0003062	CARHR199330, CARHR139040, CARHR199340, CARHR058880	XP_006397558.1
OG0003063	CARHR025870	XP_006391400.1
OG0003064	CARHR079530	XP_024015345.1
OG0003064	CARHR186010	XP_024006949.1
OG0003065	CARHR079920	XP_006408061.1
OG0003066	CARHR080190	XP_024015616.1
OG0003066	CARHR080200	XP_024015630.1
OG0003067	CARHR182040	XP_006395061.1
OG0003068	CARHR083060, CARHR083070, CARHR083080, CARHR083090	XP_006407743.1
OG0003069	CARHR085460	XP_006407494.1
OG0003070	CARHR088020, CARHR045240	XP_006407226.1
OG0003072	CARHR093340	XP_006406663.1
OG0003073	CARHR093630	XP_006406623.1
OG0003074	CARHR214960	XP_006405832.1
OG0003074	CARHR058510	XP_006391399.1
OG0003076	CARHR248810	XP_024010087.1
OG0003076	CARHR000570	XP_024009080.1
OG0003078	CARHR035210, CARHR002080	XP_006418305.1
OG0003079	CARHR002730	XP_006418241.1
OG0003080	CARHR006000	XP_006417928.1
OG0003081	CARHR052310	XP_006392138.1
OG0003081	CARHR011070	XP_006417410.1
OG0003082	CARHR015440	XP_006416960.1
OG0003082	CARHR144160	XP_006395873.1
OG0003083	CARHR015510	XP_006398539.1, XP_006416954.1
OG0003084	CARHR016010	XP_006416903.1
OG0003085	CARHR019120	XP_006416598.1
OG0003085	CARHR067180	XP_006390475.1
OG0003086	CARHR069770	XP_006390221.1
OG0003086	CARHR020990	XP_006416389.1
OG0003087	CARHR021130	XP_006416373.2
OG0003088	CARHR021160	XP_006416370.2
OG0003088	CARHR021150	XP_006416371.1
OG0003089	CARHR021590	XP_024008590.1
OG0003090	CARHR022860	XP_006416192.1
OG0003092	CARHR178350, CARHR178360	XP_024011079.1
OG0003093	CARHR244820	XP_006411995.1
OG0003094	CARHR243190	XP_006412173.1
OG0003094	CARHR243200	XP_024005858.1
OG0003095	CARHR243170	XP_006412175.1
OG0003096	CARHR239990	XP_006416041.1, XP_006412515.1
OG0003097	CARHR025050	XP_006415970.1
OG0003098	CARHR250220	XP_006396346.1
OG0003101	CARHR108650, CARHR219930, CARHR105920, CARHR108720, CARHR108710	XP_024016603.1
OG0003102	CARHR118300	XP_006404902.1
OG0003103	CARHR122150, CARHR122160	XP_006409933.2, XP_024003751.1, XP_024003673.1
OG0003106	CARHR163060	XP_024013355.1
OG0003116	CARHR238370	XP_006412702.1
OG0003117	CARHR195220	XP_006400334.1
OG0003118	CARHR197330	XP_006400128.1
OG0003119	CARHR198400, CARHR198410	XP_024012689.1, XP_006400011.1
OG0003120	CARHR279220	XP_006394054.1
OG0003121	CARHR126810	XP_006410424.1, XP_006410421.1
OG0003122	CARHR232610	XP_024005322.1
OG0003123	CARHR238960	XP_006412636.1
OG0003124	CARHR028240	XP_006415619.1
OG0003125	CARHR030680	XP_006415361.1
OG0003125	CARHR010260	XP_006417490.1
OG0003126	CARHR286920	XP_024008969.1, XP_006415313.1
OG0003127	CARHR160160	XP_006404015.1
OG0003127	CARHR280930	XP_006393872.1
OG0003128	CARHR191050	XP_006400754.1
OG0003128	CARHR215770	XP_006405905.1
OG0003129	CARHR277440	XP_006394261.1
OG0003130	CARHR276830	XP_006394326.2
OG0003131	CARHR275450	XP_006394483.1
OG0003132	CARHR157980	XP_006404172.1
OG0003132	CARHR189530	XP_006394663.2
OG0003133	CARHR051140	XP_024015711.1
OG0003133	CARHR051210, CARHR051160	XP_006392004.2, XP_024015694.1
OG0003134	CARHR098220	XP_006406183.1
OG0003136	CARHR191010	XP_006400761.1
OG0003138	CARHR119580	XP_006401837.2
OG0003138	CARHR259130, CARHR265280	XP_006401839.1
OG0003139	CARHR233360	XP_024005325.1
OG0003140	CARHR038350, CARHR022320	XP_006416245.2
OG0003141	CARHR092260	XP_024012244.1, XP_006406779.1
OG0003142	CARHR002180	XP_024008853.1
OG0003143	CARHR250810	XP_024010045.1
OG0003143	CARHR250780	XP_006396459.2
OG0003144	CARHR289060	XP_006415630.1
OG0003145	CARHR208610	XP_006398925.1
OG0003146	CARHR085020	XP_006407559.2
OG0003147	CARHR148540	XP_024007366.1
OG0003148	CARHR213070	XP_006405374.1
OG0003148	CARHR047870	XP_006391738.1
OG0003150	CARHR074210	XP_006389777.1
OG0003151	CARHR073160	XP_006389882.1
OG0003152	CARHR073110, CARHR016830	XP_006389888.1
OG0003153	CARHR072440, CARHR072430	XP_006389952.1
OG0003154	CARHR021650	XP_006416324.1
OG0003155	CARHR070310	XP_024012894.1
OG0003156	CARHR146930, CARHR020540	XP_006416439.1, XP_024010931.1
OG0003157	CARHR068560	XP_024006774.1, XP_006416502.1
OG0003158	CARHR043480	XP_006392809.1
OG0003159	CARHR130330	XP_006410782.1, XP_006410783.1
OG0003160	CARHR130680	XP_006410815.1
OG0003161	CARHR150230	XP_006419037.1
OG0003162	CARHR099910	XP_024009521.1
OG0003163	CARHR221200	XP_006414653.1
OG0003163	CARHR098680	XP_024015643.1
OG0003164	CARHR290040	XP_006414478.1
OG0003165	CARHR066520	XP_006390549.1
OG0003166	CARHR018810	XP_006416626.1
OG0003166	CARHR066590	XP_006390541.1
OG0003167	CARHR149390	XP_006395393.1
OG0003167	CARHR261760	XP_006405508.1
OG0003168	CARHR262920	XP_024014766.1
OG0003168	CARHR152340	XP_006395298.1
OG0003169	CARHR261440	XP_006405481.1
OG0003169	CARHR148940	XP_006395419.1
OG0003171	CARHR175210	XP_006404972.2
OG0003172	CARHR057460	XP_024010541.1, XP_006391530.2
OG0003173	CARHR136410, CARHR136420	XP_024004228.1
OG0003175	CARHR181060, CARHR036260	XP_006403320.1
OG0003176	CARHR224210	XP_006414220.1
OG0003177	CARHR256760	XP_006401994.1
OG0003178	CARHR014940	XP_006417005.1
OG0003179	CARHR222880	XP_006414343.1
OG0003179	CARHR129990	XP_006410743.2
OG0003180	CARHR223660	XP_006414274.1
OG0003180	CARHR129330	XP_006410676.2
OG0003181	CARHR160540, CARHR034760	XP_024013579.1
OG0003182	CARHR154600	XP_006402576.1
OG0003183	CARHR170150	XP_006402651.1
OG0003184	CARHR168830	XP_006402788.1
OG0003186	CARHR150380	XP_006404082.1
OG0003187	CARHR166130	XP_024012853.1
OG0003188	CARHR166040	XP_006403042.1
OG0003189	CARHR164980	XP_006403509.1
OG0003190	CARHR163590	XP_006403664.1
OG0003190	CARHR132090	XP_006410939.1
OG0003191	CARHR026290	XP_006415840.1
OG0003192	CARHR108470	XP_006409213.1
OG0003192	CARHR286350, CARHR239630	XP_006395587.1
OG0003193	CARHR166800	XP_006402961.1
OG0003194	CARHR222400, CARHR222410, CARHR133970, CARHR133960	XP_006411146.1
OG0003195	CARHR245350	XP_006411943.1
OG0003196	CARHR116490	XP_006405114.1
OG0003197	CARHR187180	XP_006396874.1
OG0003198	CARHR186090	XP_006394962.1
OG0003199	CARHR111240	XP_006408994.1
OG0003199	CARHR236190	XP_006412956.1
OG0003200	CARHR078920	XP_006408164.1
OG0003200	CARHR185290	XP_006395027.1
OG0003201	CARHR079620	XP_006408092.1
OG0003202	CARHR194040	XP_006400450.1
OG0003202	CARHR080750	XP_024014852.1
OG0003203	CARHR081870	XP_006407855.1
OG0003204	CARHR088400	XP_024015287.1
OG0003206	CARHR087360	XP_006407289.1
OG0003207	CARHR089470	XP_006407093.2
OG0003208	CARHR157630, CARHR283740, CARHR112470, CARHR094030	XP_006406581.1
OG0003210	CARHR214750	XP_006405814.1
OG0003211	CARHR004090	XP_024007816.1
OG0003211	CARHR010410	XP_024008652.1
OG0003212	CARHR006830	XP_006417840.1
OG0003213	CARHR008320, CARHR008310	XP_006417690.1
OG0003214	CARHR052940	XP_006392193.1
OG0003214	CARHR010700	XP_006417454.1
OG0003215	CARHR013030	XP_024008488.1
OG0003216	CARHR068650	XP_006394895.2
OG0003216	CARHR013530	XP_006417149.1
OG0003217	CARHR144710	XP_006395815.1, XP_006414755.1
OG0003218	CARHR257870	XP_006402095.1
OG0003219	CARHR022960, CARHR258050, CARHR022900, CARHR182150, CARHR182360	XP_006416183.1
OG0003220	CARHR023020	XP_006416176.1
OG0003221	CARHR023270	XP_006405969.2, XP_024008462.1
OG0003221	CARHR023250, CARHR178460	XP_024011091.1
OG0003222	CARHR064530	XP_006390791.1
OG0003222	CARHR023300	XP_006416142.1
OG0003223	CARHR052060	XP_006392073.1
OG0003224	CARHR053490	XP_006392255.1, XP_006392248.1
OG0003225	CARHR290630	XP_006414404.2
OG0003226	CARHR037600, CARHR037610	XP_006393503.1
OG0003227	CARHR242480	XP_006412243.1, XP_006409620.1
OG0003228	CARHR241810, CARHR241800	XP_006412320.1
OG0003229	CARHR025230	XP_024009934.1, XP_006415951.1
OG0003230	CARHR235330	XP_006413053.1
OG0003231	CARHR146250	XP_006395677.1
OG0003231	CARHR146130	XP_006395678.1
OG0003233	CARHR244690	XP_006414050.1, XP_006412012.2
OG0003236	CARHR113710	XP_006404709.1
OG0003237	CARHR263860	XP_006405699.2
OG0003237	CARHR153500	XP_006395249.1
OG0003239	CARHR150310	XP_024009675.1
OG0003239	CARHR150420, CARHR150390, CARHR150410, CARHR150350, CARHR150340	XP_006419042.1
OG0003240	CARHR181630, CARHR264030	XP_006414196.1
OG0003247	CARHR154930	XP_006418866.1
OG0003248	CARHR156820, CARHR156810	XP_006404298.1
OG0003249	CARHR175040, CARHR149580	XP_024011145.1
OG0003250	CARHR198170	XP_006400031.1
OG0003251	CARHR199320	XP_006399909.1
OG0003252	CARHR187430	XP_024006829.1
OG0003253	CARHR225270, CARHR224760	XP_006414102.2
OG0003254	CARHR293760	XP_006394086.1
OG0003254	CARHR203060	XP_006399518.1
OG0003255	CARHR203070	XP_006399516.1
OG0003256	CARHR203150	XP_006399505.1
OG0003257	CARHR203740	XP_006399446.1
OG0003257	CARHR278470	XP_006394147.1
OG0003258	CARHR278240	XP_006394168.1
OG0003259	CARHR123040	XP_006410033.1
OG0003259	CARHR207560	XP_024012276.1
OG0003261	CARHR124030	XP_006410160.1
OG0003263	CARHR039270, CARHR039280	XP_006393272.1
OG0003266	CARHR024910	XP_006415987.1
OG0003267	CARHR029800	XP_024007754.1
OG0003267	CARHR029790	XP_024007758.1
OG0003269	CARHR277980	XP_006394205.1
OG0003270	CARHR099960, CARHR274970	XP_006394531.1
OG0003272	CARHR146470	XP_024006884.1
OG0003273	CARHR190580	XP_006400804.1
OG0003274	CARHR108930	XP_006409163.1
OG0003275	CARHR087670	XP_006407263.1
OG0003276	CARHR272290	XP_006401077.1
OG0003277	CARHR234130	XP_006413168.1
OG0003278	CARHR158750	XP_024013777.1
OG0003279	CARHR158730	XP_006404117.1
OG0003280	CARHR040500, CARHR210130	XP_006398767.1, XP_006408279.1
OG0003281	CARHR012640	XP_006398673.1
OG0003282	CARHR023720	XP_006416104.1
OG0003283	CARHR115540	XP_024007040.1
OG0003284	CARHR074140	XP_024008512.1
OG0003285	CARHR225790	XP_006414041.1
OG0003287	CARHR022660, CARHR022600, CARHR022630	XP_006390012.1
OG0003289	CARHR221460	XP_006414628.1
OG0003290	CARHR098110	XP_024014922.1
OG0003290	CARHR221720	XP_024005684.1
OG0003291	CARHR047760	XP_006405990.2
OG0003292	CARHR025090	XP_024007889.1
OG0003293	CARHR042080	XP_006392979.2
OG0003294	CARHR043080	XP_006392860.1
OG0003294	CARHR090600	XP_006406957.1
OG0003295	CARHR225150	XP_024004616.1
OG0003297	CARHR277080	XP_006394298.1
OG0003298	CARHR226400	XP_006413952.1
OG0003299	CARHR009940	XP_006414750.1
OG0003299	CARHR264060	XP_006409296.1, XP_006401996.1
OG0003300	CARHR040310	XP_006391231.1
OG0003301	CARHR160970	XP_006403924.1
OG0003302	CARHR141460	XP_006397802.2
OG0003303	CARHR133290	XP_006411079.1
OG0003303	CARHR164080	XP_006403608.1
OG0003305	CARHR218290	XP_006414982.1, XP_006418635.1
OG0003306	CARHR102050	XP_024009710.1
OG0003306	CARHR183990	XP_006395200.1
OG0003307	CARHR060430	XP_024009275.1
OG0003308	CARHR109330	XP_006412720.1
OG0003309	CARHR044840	XP_006392672.1
OG0003309	CARHR088390	XP_006407185.1
OG0003310	CARHR036040	XP_024010517.1, XP_006393712.2
OG0003311	CARHR142630	XP_006397918.1
OG0003312	CARHR069720	XP_006390227.1
OG0003313	CARHR106690	XP_024016217.1
OG0003313	CARHR242940	XP_006412203.1
OG0003314	CARHR079420	XP_006408112.1
OG0003314	CARHR185710	XP_006394996.1
OG0003315	CARHR187050	XP_006394877.1
OG0003316	CARHR194020	XP_006400452.1
OG0003317	CARHR081830	XP_006407860.1
OG0003317	CARHR183250	XP_006395148.1
OG0003318	CARHR090330	XP_006406985.1
OG0003319	CARHR092090	XP_006406802.1
OG0003319	CARHR290700	XP_006414395.1
OG0003320	CARHR039400	XP_006393261.1
OG0003321	CARHR236100, CARHR240410	XP_006412965.1
OG0003322	CARHR264020	XP_006405701.1
OG0003323	CARHR098150	XP_006406195.1
OG0003324	CARHR146550	XP_006412738.1
OG0003325	CARHR182030	XP_024007009.1
OG0003326	CARHR161400	XP_006403883.1
OG0003327	CARHR249030	XP_006396282.1
OG0003328	CARHR249330	XP_006396313.1
OG0003329	CARHR238520	XP_006401419.1
OG0003330	CARHR007020	XP_006417817.2
OG0003330	CARHR122980	XP_024016746.1
OG0003331	CARHR214520	XP_024008846.1
OG0003332	CARHR145170	XP_006395762.1
OG0003333	CARHR016380	XP_006416869.1
OG0003334	CARHR019910	XP_006416518.1
OG0003335	CARHR020900	XP_024008146.1, XP_006416402.1
OG0003336	CARHR064650	XP_006390777.1
OG0003337	CARHR063990	XP_006390847.1
OG0003337	CARHR023640	XP_006416116.1
OG0003338	CARHR063160	XP_006390928.1
OG0003340	CARHR173910	XP_024011028.1
OG0003341	CARHR178310, CARHR178300	XP_006398084.1
OG0003342	CARHR215890	XP_006405930.1
OG0003343	CARHR237300	XP_006412837.1
OG0003344	CARHR113770, CARHR113800, CARHR113790, CARHR113780	XP_006404721.1
OG0003345	CARHR183180	XP_006405358.1
OG0003346	CARHR282350	XP_024006068.1
OG0003347	CARHR243940	XP_006412084.1
OG0003348	CARHR243920, CARHR193120	XP_024005601.1
OG0003349	CARHR242630	XP_006412261.1
OG0003350	CARHR240230	XP_006412488.1
OG0003351	CARHR064940	XP_024012361.1, XP_006390702.2
OG0003352	CARHR000800, CARHR248970	XP_006396275.1
OG0003356	CARHR152810	XP_006415721.1
OG0003361	CARHR265600, CARHR265610	XP_006401803.2, XP_006401801.1, XP_006401800.1
OG0003364	CARHR148240	XP_006395490.1
OG0003364	CARHR213400	XP_006405408.1
OG0003366	CARHR089420	XP_024015418.1
OG0003369	CARHR101350	XP_024009552.1, XP_024010062.1, XP_024009497.1
OG0003372	CARHR156710	XP_006404310.2
OG0003373	CARHR027370	XP_006415715.1
OG0003373	CARHR027460	XP_006415706.1
OG0003374	CARHR032160	XP_024008802.1
OG0003375	CARHR257230, CARHR257250	XP_006406449.1
OG0003376	CARHR103470	XP_006396131.1
OG0003377	CARHR196900, CARHR196920, CARHR062790, CARHR196930, CARHR196950, CARHR289010	XP_024011575.1
OG0003378	CARHR197080	XP_006400156.1
OG0003379	CARHR213040	XP_006405369.1, XP_024014753.1
OG0003381	CARHR200910	XP_006399737.1
OG0003384	CARHR245990	XP_006411868.2
OG0003385	CARHR067100	XP_006390485.1
OG0003385	CARHR205000	XP_006399304.1
OG0003386	CARHR205410	XP_024012093.1
OG0003387	CARHR232340	XP_006413368.1
OG0003388	CARHR232290	XP_006413374.1
OG0003389	CARHR126420	XP_006417291.1
OG0003390	CARHR123520	XP_006410143.1
