Raphanus_sativus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_018448566.1	168	AT4G21310.1	AT4G21310.1	orthologue	GO:0009855;GO:0048366;GO:0005783;GO:0003674;GO:0005789;GO:0012505;GO:0016020	Protein DESIGUAL 2;Transmembrane protein, putative (DUF1218)
XP_018448567.1	159	AT4G14815.1	AT4G14815.1	orthologue	GO:0016020;GO:0008289;GO:0006869;GO:0005886;GO:0006508;GO:0008233;GO:0098552	Non-specific lipid transfer protein GPI-anchored 26 (AtLTPG-26) (Protein LTP-GPI-ANCHORED 26) (Xylogen like protein 8) (AtXYLP8) (AtXYP14)
XP_018448568.1	451	AT4G14650.1	AT4G14650.1	orthologue	GO:0005634;GO:0003674	At4g14650
XP_018448569.1	213	AT4G14746.1	AT4G14746.1	orthologue	GO:0016020;GO:0003674	Neurogenic locus notch-like protein
XP_018448570.1	477	AT3G58930.1	AT3G58930.1	other	GO:0005575;GO:0005515;	F-box/LRR-repeat protein At3g58930;F-box/RNI-like superfamily protein
XP_018448571.1	106	AT1G24735.2	AT1G24735.2	other	GO:0008757;GO:0008150;GO:0005829;GO:0008171;GO:0032259	F5A9.20 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein);S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
XP_018448572.1	425	AT3G27740.1	AT3G27740.1	orthologue	GO:0009507;GO:0009570;GO:0016036;GO:0044205;GO:0006207;GO:0006526;GO:0004088;GO:0005951;GO:0005737;GO:0004359;GO:0005524;GO:0006541;GO:0006807	Carbamoyl phosphate synthase small chain, chloroplastic (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain) (Protein VENOSA 6);Carbamoyl phosphate synthetase A
XP_018448573.1	953					
XP_018448574.1	158	AT1G30870.1	AT1G30870.1	other	GO:0009505;GO:0004601;GO:0006979;GO:0020037;GO:0005576;GO:0140825;GO:0006950;GO:0042744;GO:0046872	Peroxidase 7 (Atperox P7) (EC 1.11.1.7) (ATP30)
XP_018448575.1	241	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1	AT1G33020.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g31080;F-box protein At1g67130;F-box protein At3g57580;F-box protein At3g57590;Putative F-box protein At1g30920;Putative F-box protein At1g30925;Putative F-box protein At1g30930;Putative F-box protein At1g31090;Putative F-box protein At1g33010;Putative F-box protein At1g33020;Putative F-box protein At5g38810;Putative F-box protein At5g42430
XP_018448576.1	367	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1	AT1G33020.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g31080;F-box protein At1g67130;F-box protein At3g57580;F-box protein At3g57590;Putative F-box protein At1g30920;Putative F-box protein At1g30925;Putative F-box protein At1g30930;Putative F-box protein At1g31090;Putative F-box protein At1g33010;Putative F-box protein At1g33020;Putative F-box protein At5g38810;Putative F-box protein At5g42430
XP_018448577.1	473	AT1G78880.1	AT1G78880.1	orthologue	GO:2001007;GO:0005886;GO:0003674;GO:0006508;GO:0008233	F9K20.7 protein (Ubiquitin-specific protease family C19-related protein)
XP_018448578.1	767	AT4G13780.1	AT4G13780.1	other	GO:0006431;GO:0004825;GO:0005829;GO:0017101;GO:0005737;GO:0000049;GO:0005524;GO:0009791;GO:0048608;GO:0000166;GO:0004812;GO:0006418	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
XP_018448579.1	1718				GO:0003824	
XP_018448580.1	142	AT4G13720.2	AT4G13720.2	orthologue	GO:0005737;GO:0047429;GO:0009143;GO:0000166;GO:0009117;GO:0009204;GO:0035870;GO:0036220;GO:0036222;GO:0046872	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (XTP/dITP diphosphatase)
XP_018448581.1	910					
XP_018448582.1	466	AT1G77480.1	AT1G77480.1	other	GO:0003674;GO:0005575;GO:0004190;GO:0006508;GO:0016020	Aspartic proteinase Asp1 (Nucellin-like protein)
XP_018448584.1	551	AT4G13510.1	AT4G13510.1	orthologue	GO:0010311;GO:0008519;GO:0005886;GO:0051258;GO:0080181;GO:0072488;GO:0009506;GO:0009413;GO:0097272;GO:0005515;GO:0110067;GO:0016020	Ammonium transporter 1 member 1 (AtAMT1;1)
XP_018448585.1	178					
XP_018448586.1	197	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448587.1	203	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448588.1	203	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448589.1	203	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448590.1	203	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448591.1	203	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448592.1	153	AT1G78870.2	AT1G78870.2	orthologue	GO:0009507;GO:0006511;GO:0005515;GO:0006301;GO:0005739;GO:0061631;GO:0005634;GO:0010053;GO:0070534;GO:0016567;GO:0004842;GO:0031372;GO:0010039;GO:0005524;GO:0016740	Ubiquitin-conjugating enzyme 35;Ubiquitin-conjugating enzyme E2 35 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 35) (Ubiquitin carrier protein 35)
XP_018448593.1	203	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448594.1	203	AT1G55600.1	AT1G55600.1	other	GO:0005515;GO:0009960;GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0046872	Probable WRKY transcription factor 10 (Protein MINISEED 3) (WRKY DNA-binding protein 10)
XP_018448595.1	274					
XP_018448596.1	554					
XP_018448597.1	816	AT4G10200.1	AT4G10200.1	orthologue	GO:0046983;GO:0005634;GO:0008150	TTF-type zinc finger protein with HAT dimerization domain-containing protein
XP_018448598.1	266	AT1G22640.1	AT1G22640.1	orthologue	GO:0006355;GO:0000976;GO:0005515;GO:0000987;GO:0009892;GO:0005634;GO:0009611;GO:0009800;GO:0003700;GO:0003677	Myb domain protein 3;Transcription factor MYB3 (Myb-related protein 3) (AtMYB3)
XP_018448599.1	360				GO:0003676;GO:0008270	
XP_018448600.1	804	AT1G31480.1	AT1G31480.1	orthologue	GO:0009959;GO:0008970;GO:0009590;GO:0009630;GO:0009705;GO:0005737;GO:0005773;GO:0009660;GO:0046872;GO:0009506;GO:0004620;GO:0016042	Phospholipase SGR2 (EC 3.1.1.-) (Protein SHOOT GRAVITROPISM 2)
XP_018448601.1	250	AT4G31700.1	AT4G31700.1	orthologue	GO:0022627;GO:0005739;GO:0003729;GO:0009506;GO:0022626;GO:0006412;GO:0003735;GO:0005634;GO:0005730;GO:0005886;GO:0005840;GO:1990904	Ribosomal protein S6;Small ribosomal subunit protein eS6z (40S ribosomal protein S6-1)
XP_018448602.1	230	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_018448603.1	117	AT1G54230.1, AT1G54240.1	AT1G54240.1	orthologue	GO:0003691;GO:0006334;GO:0000786;GO:0005634	Winged helix-turn-helix transcription repressor DNA-binding protein;Winged-helix DNA-binding transcription factor family protein
XP_018448604.1	456	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51690.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_018448605.1	1253	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51690.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737	PIF1 helicase
XP_018448606.1	413	AT3G31925.1	AT3G31925.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Replication protein A 70 kDa DNA-binding subunit B-like protein
XP_018448607.1	194	ATMG00750.1	ATMG00750.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0003676;GO:0015074	Uncharacterized mitochondrial protein AtMg00750 (ORF119)
XP_018448608.1	293	AT2G11035.1	AT2G11035.1	other	GO:0003674;GO:0005634;GO:0003964	Reverse transcriptase zinc-binding protein
XP_018448609.1	155					
XP_018448610.1	195					
XP_018448611.1	1037					
XP_018448612.1	139	AT4G29090.1, AT2G34320.1	AT4G29090.1	other	GO:0004523;GO:0003676;GO:0009507;GO:0008150;GO:0005575;GO:0003964	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (Putative non-LTR retroelement reverse transcriptase);Putative reverse transcriptase/RNA-dependent DNA polymerase (Ribonuclease H-like superfamily protein)
XP_018448613.1	529	AT1G36510.1, AT3G32260.1	AT1G36510.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677;GO:0006260;GO:0006281;GO:0005634;GO:0006310	Nucleic acid-binding proteins superfamily
XP_018448614.1	369					
XP_018448615.1	805	AT1G78920.1, AT1G16780.1	AT1G78920.1	orthologue	GO:0005794;GO:0005768;GO:0005886;GO:0005802;GO:0000137;GO:0009678;GO:0005773;GO:0004427;GO:0008150;GO:0000139;GO:0046872;GO:0016020;GO:1902600	Pyrophosphate-energized membrane proton pump 2 (EC 7.1.3.1) (AVP1-like protein 1) (Pyrophosphate-energized inorganic pyrophosphatase 2) (H(+)-PPase 2) (Vacuolar proton pyrophosphatase 2);Pyrophosphate-energized membrane proton pump 3 (EC 7.1.3.1) (AVP1-like protein 2) (Pyrophosphate-energized inorganic pyrophosphatase 3) (H(+)-PPase 3)
XP_018448616.1	570	AT1G11420.1	AT1G11420.1	orthologue	GO:0005634;GO:0008150;GO:0003674	DUF724 domain-containing protein 2 (AtDUF2)
XP_018448617.1	549	AT1G11420.1	AT1G11420.1	orthologue	GO:0005634;GO:0008150;GO:0003674	DUF724 domain-containing protein 2 (AtDUF2)
XP_018448618.1	124	AT5G36225.1	AT5G36225.1	other	GO:0003674;GO:0005575;GO:0008150	Zinc knuckle protein
XP_018448619.1	308	AT4G31800.1	AT4G31800.1	orthologue	GO:0050691;GO:0003700;GO:0050832;GO:0005634;GO:0009751;GO:0005515;GO:0005737;GO:0042802;GO:0042742;GO:0006355;GO:0031347;GO:0002237;GO:0043565	WRKY DNA-binding protein 18;WRKY transcription factor 18 (WRKY DNA-binding protein 18) (AtWRKY18)
XP_018448620.1	124	AT5G36225.1	AT5G36225.1	other	GO:0003674;GO:0005575;GO:0008150	Zinc knuckle protein
XP_018448621.1	145	AT5G37380.1	AT5G37380.1	orthologue	GO:0005515;GO:0005737;GO:0045892;GO:0003682;GO:0003714	AT5g37380/MNJ8_170 (Chaperone DnaJ-domain superfamily protein) (Similarity to DnaJ protein)
XP_018448622.1	118	AT5G37340.2	AT5G37340.2	other	GO:0005634;GO:0005737;GO:0008150;GO:0008270	At5g37340 (ZPR1 zinc-finger domain protein);ZPR1 zinc-finger domain protein
XP_018448623.1	380	AT5G66640.5	AT5G66640.5	other	GO:0043130;GO:0005634;	DA1-related protein 3;Protein DA1-related 3
XP_018448624.1	181				GO:0008270	
XP_018448625.1	247	AT5G35090.1	AT5G35090.1	orthologue	GO:0005739;GO:0003674;GO:0008150	At5g35090
XP_018448626.1	298				GO:0003677;GO:0046983	
XP_018448627.1	565	AT5G35170.1	AT5G35170.1	orthologue	GO:0009536;GO:0009507;GO:0009941;GO:0004017;GO:0009535;GO:0005737;GO:0009534;GO:0008150;GO:0005524;GO:0006139;GO:0019205;GO:0016776	Adenylate kinase 5, chloroplastic (EC 2.7.4.3) (ATP-AMP transphosphorylase 5) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase 5) (AMK5);adenylate kinase (EC 2.7.4.3) (ATP:AMP phosphotransferase)
XP_018448628.1	880	AT3G49400.1	AT3G49400.1	orthologue	GO:0006384;GO:0000127;GO:0004402;GO:0005634;GO:0005515	Transducin/WD40 repeat-like superfamily protein
XP_018448629.1	706	AT5G35380.1	AT5G35380.1	orthologue	GO:0006468;GO:0005524;GO:0004672;GO:0005886;GO:0016310;GO:0016301;GO:0016787	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_018448630.1	409	AT5G35390.1	AT5G35390.1	orthologue	GO:0045177;GO:0006468;GO:0044024;GO:0005515;GO:0004674;GO:0016324;GO:0016301;GO:0005524;GO:0106310;GO:0004672	Pollen receptor-like kinase 1 (AtPRK1) (EC 2.7.11.1) (LRR receptor-like serine/threonine-protein kinase RLK)
XP_018448631.1	313	AT5G35660.1	AT5G35660.1	orthologue	GO:0003674;GO:0008150;GO:0005575	Glycine-rich protein family
XP_018448632.1	224	AT5G35700.1	AT5G35700.1	other	GO:0009860;GO:0051639;GO:0030036;GO:0051015;GO:0051017;GO:0009846;GO:0005737;GO:0005884;GO:0032432;GO:0005856;GO:0005515	Fimbrin-5 (AtFIM5) (Fimbrin-like protein 2) (Fimbrin5)
XP_018448633.1	288	AT2G07200.1, AT2G07190.1	AT2G07190.1	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0008234;GO:0005739;GO:0006508;GO:0016020	Cysteine proteinases superfamily protein;Transmembrane protein, putative (DUF1985)
XP_018448634.1	633	AT3G46800.1, AT3G46810.1	AT3G46810.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0005576;GO:0008270	Cysteine/Histidine-rich C1 domain family protein
XP_018448635.1	496	AT5G10190.1	AT5G10190.1	orthologue	GO:0016020;GO:0055085;GO:0022857;GO:0009507;GO:0005739;GO:0005215	Major facilitator superfamily protein
XP_018448636.1	531	AT1G35750.1, AT1G35730.2	AT1G35730.2	orthologue	GO:0010608;GO:0003729;GO:0005737;GO:1902039;GO:0003723;GO:0006417	Pumilio 9;Pumilio homolog 9 (APUM-9) (AtPUM9);Putative pumilio homolog 10 (APUM-10) (AtPUM10)
XP_018448637.1	468					
XP_018448638.1	524	AT1G31970.1	AT1G31970.1	orthologue	GO:0006364;GO:0003724;GO:0005634;GO:0005730;GO:0003729;GO:0003723;GO:0005524;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 5 (EC 3.6.4.13)
XP_018448639.1	363	AT1G32430.1	AT1G32430.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	Putative F-box/kelch-repeat protein At1g32430
XP_018448641.1	207	AT2G17905.1, AT5G36225.1	AT1G35730.2	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634	Ta11-like non-LTR retrotransposon;Zinc knuckle protein
XP_018448643.1	691				GO:0008270;GO:0003676	
XP_018448644.1	246	AT1G37140.1	AT1G37140.1	orthologue	GO:1990904;GO:0003723;GO:0010187;GO:0005634;GO:0003676;GO:0005739	MEI2 C-terminal RRM only like 1 (Putative RNA-binding protein);MEI2 C-terminal RRM only like 1 (RNA-binding protein)
XP_018448645.1	127	AT4G27280.1	AT4G27280.1	orthologue	GO:0071456;GO:0005509;GO:0005886;GO:0009733;GO:0005515	Calcium-binding protein KRP1 (KIC-related protein 1)
XP_018448646.1	951	AT5G40060.1	AT5G40060.1	orthologue	GO:0005737;GO:0006952;GO:0043531;GO:0016887;GO:0009507;GO:0016787;GO:0007165	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)
XP_018448647.1	191					
XP_018448648.1	570				GO:0006508;GO:0008234	
XP_018448649.1	1495				GO:0003824	
XP_018448650.1	569				GO:0008270	
XP_018448651.1	221	AT1G32585.1	AT1G32585.1	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0006952	VQ motif-containing protein 5 (AtVQ5)
XP_018448652.1	188	AT3G51690.1	AT3G51690.1	other	GO:0005634;GO:0032508;GO:0006260;GO:0005657;GO:0003677;GO:0004386;GO:0005737	PIF1 helicase
XP_018448653.1	116	AT4G27270.1	AT4G27270.1	other	GO:0005886;GO:0005737;GO:0009506;GO:0010181;GO:0003955;GO:0005829;GO:0016020;GO:0008753;GO:0050136;GO:0016491	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2);Probable NAD(P)H dehydrogenase (quinone) FQR1-like 1 (EC 1.6.5.2)
XP_018448654.1	295	AT1G51990.1	AT1G51990.1	other	GO:0009058;GO:0005829;GO:0009507;GO:0046983;GO:0008171;GO:0008757;GO:0032259;GO:0008168	F5F19.5 protein (O-methyltransferase family protein);O-methyltransferase family protein
XP_018448655.1	111	AT1G35670.1	AT1G35670.1	other	GO:0009789;GO:0080092;GO:0005634;GO:0004683;GO:0005515;GO:0004672;GO:0006468;GO:0035556;GO:0004674;GO:0005886;GO:0005509;GO:0009931;GO:0046777;GO:0005737;GO:0005829;GO:0005516;GO:0005524;GO:0106310;GO:1901979	Calcium-dependent protein kinase 11 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK2) (AtCDPK2)
XP_018448656.1	575					
XP_018448657.1	173	AT1G17180.1	AT1G17180.1	other	GO:0046256;GO:0009507;GO:0006749;GO:0009407;GO:0004364;GO:0005737;GO:0005829	Glutathione S-transferase U25 (AtGSTU25) (EC 2.5.1.18) (GST class-tau member 25)
XP_018448658.1	538	AT1G42430.1	AT1G42430.1	orthologue	GO:2000904;GO:0005982;GO:0062052;GO:0009570;GO:0032948;GO:0043036;GO:0009959;GO:2001070;GO:0009958;GO:0048316	Inactive purple acid phosphatase-like protein;Protein EARLY STARVATION 1, chloroplastic (AtESV1) (Protein REDUCED GRAVITROPIC 1)
XP_018448659.1	108	AT1G34000.1	AT1G34000.1	other	GO:0009507;GO:0009535;GO:0009534;GO:0010207;GO:0005634;GO:0009642;GO:0003674	Light-harvesting complex-like protein OHP2, chloroplastic (One-helix protein 2) (Protein LIGHT-HARVESTING LIKE 6)
XP_018448660.1	511	AT4G17220.1	AT4G17220.1	orthologue	GO:0005874;GO:0008017;GO:0007010;GO:0005737;GO:0010051;GO:0009832;GO:0071555	Microtubule-associated protein 70-5 (AtMAP70-5) (70 kDa microtubule-associated protein 5)
XP_018448661.1	216				GO:0003676;GO:0008270	
XP_018448662.1	597				GO:0045927	
XP_018448663.1	650				GO:0003824	
XP_018448664.1	159	AT3G29645.1	AT3G29645.1	orthologue	GO:0008150;GO:0003674;GO:0005634	Uncharacterized protein
XP_018448666.1	360	AT2G11035.1	AT2G11035.1	other	GO:0003674;GO:0005634;GO:0003964	Reverse transcriptase zinc-binding protein
XP_018448667.1	188				GO:0003676;GO:0008270	
XP_018448668.1	514				GO:0008270	
XP_018448669.1	355	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
XP_018448670.1	239	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
XP_018448671.1	156	AT4G17215.1	AT4G17215.1	orthologue	GO:0003674;GO:0005739	Pollen Ole e 1 allergen and extensin family protein
XP_018448672.1	150	AT2G07800.1	AT2G07800.1	other	GO:0005575;GO:0008150;GO:0003674;;GO:0008270	Transmembrane protein
XP_018448673.1	345	AT1G18050.1, AT3G30370.1, AT5G15685.1	AT5G15685.1	other	GO:0003723;GO:0005686;GO:0071004;GO:0045292;GO:0071013;GO:0005634;GO:0003674;GO:0008150	MuDR family transposase;Mutator transposase MUDRA protein;SWAP/surp RNA-binding domain protein
XP_018448674.1	434	AT1G31960.1, AT1G36970.1, AT2G07280.1, AT3G31560.1, AT4G05555.1	AT1G36970.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0016020	Transmembrane protein, putative (DUF1985);Uncharacterized protein;Uncharacterized protein F5M6.4 (Uncharacterized protein T12O21.13)
XP_018448675.1	218				GO:0008270	
XP_018448676.1	408					
XP_018448677.1	139	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964	Non-LTR retroelement reverse transcriptase
XP_018448678.1	653					
XP_018448679.1	495	AT1G65840.1	AT1G65840.1	orthologue	GO:0006598;GO:1903602;GO:0046208;GO:0046592;GO:0005777;GO:0046203;GO:0052901;GO:0016491	Probable polyamine oxidase 4 (AtPAO4) (EC 1.5.3.16) (Amine oxidase 2)
XP_018448680.1	247	AT2G11035.1	AT2G11035.1	other	GO:0003674;GO:0005634;GO:0003964	Reverse transcriptase zinc-binding protein
XP_018448681.1	146					
XP_018448682.1	94	AT4G13395.1	AT4G13395.1	orthologue	GO:0048367;GO:0071456;GO:0005739;GO:0003674;GO:0008285;GO:0005886	Small polypeptide DEVIL 10 (Small polypeptide ROTUNDIFOLIA LIKE 12) (Small polypeptide ROT-FOUR-LIKE 12)
XP_018448683.1	299	AT4G13370.1	AT4G13370.1	other	GO:0005874;GO:0008017;GO:0005634	At4g13370 (Serine/arginine repetitive matrix protein, putative (DUF936))
XP_018448684.1	337	AT1G74100.1	AT1G74100.1	orthologue	GO:0005737;GO:0047364;GO:0051923;GO:0019761;GO:0032260;GO:0005739;GO:0008146	Cytosolic sulfotransferase 16 (AtSOT16) (EC 2.8.2.24) (Aromatic desulfoglucosinolate sulfotransferase) (Desulfoglucosinolate sulfotransferase A) (AtST5a) (Protein CORONATINE INDUCED 7)
XP_018448685.1	188	ATMG00240.1	ATMG00240.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00240 (ORF111a)
XP_018448686.1	258	AT4G13370.1	AT4G13370.1	other	GO:0005874;GO:0008017;GO:0005634	At4g13370 (Serine/arginine repetitive matrix protein, putative (DUF936))
XP_018448687.1	219	AT1G02770.1, AT1G19060.1, AT1G23950.2, AT1G23960.1, AT1G23970.2, AT1G27860.1, AT1G28500.1, AT3G19520.3	AT1G02770.1	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0005737	Putative UPF0725 protein At1g28500;UPF0725 protein At1g02770;UPF0725 protein At1g19060;UPF0725 protein At1g23950;UPF0725 protein At1g23960;UPF0725 protein At1g23970;UPF0725 protein At1g27860;UPF0725 protein At3g19520;Uncharacterized protein
XP_018448688.1	763	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
XP_018448689.1	287	AT1G75220.1	AT1G75220.1	other	GO:0009705;GO:0051119;GO:0005794;GO:0055085;GO:0000325;GO:0010030;GO:0015144;GO:0016020;GO:0022857;GO:0042593;GO:0005739	Sugar transporter ERD6-like 6
XP_018448690.1	596				GO:0003824	
XP_018448691.1	1244	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	ATMG01250.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964;GO:0003824	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_018448692.1	478	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_018448693.1	284	AT5G11030.2	AT5G11030.2	other	GO:0005634;GO:0005737;GO:1990110;GO:0055105;GO:0009507;GO:0005515	Aberrant root formation protein;Aberrant root formation protein 4
XP_018448694.1	861				GO:0006508;GO:0008234	
XP_018448695.1	117	AT5G15690.1, AT4G04775.1	AT5G15690.1	orthologue	GO:0008270;GO:0005575;GO:0008150	Uncharacterized protein At4g04775;Zinc ion binding protein
XP_018448696.1	330				GO:0008270	
XP_018448697.1	861				GO:0006508;GO:0008234	
XP_018448698.1	117	AT5G15690.1, AT4G04775.1	AT5G15690.1	orthologue	GO:0008270;GO:0005575;GO:0008150	Uncharacterized protein At4g04775;Zinc ion binding protein
XP_018448699.1	330				GO:0008270	
XP_018448700.1	501	AT4G15290.1	AT4G15290.1	other	GO:0048767;GO:0009833;GO:0030244;GO:0016757;GO:0016760;GO:0005886;GO:0005794;GO:0016759;GO:0051753;GO:0000139;GO:0071555;GO:0016020	Cellulose synthase-like protein B5 (AtCslB5) (EC 2.4.1.-)
XP_018448701.1	183					
XP_018448702.1	299	AT5G18880.1	AT5G18880.1	other	GO:0008150;GO:0005575;GO:0003674;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein
XP_018448703.1	707	AT5G41120.3, AT5G41130.3	AT5G41120.3	orthologue	GO:0009507;GO:0016020;GO:0003674;GO:0004144;GO:0019432;GO:0008374	Esterase/lipase/thioesterase family protein;Esterase/lipase/thioesterase family protein (Gb|AAC64874.1)
XP_018448704.1	529					
XP_018448705.1	125	AT1G14300.2	AT1G14300.2	other	GO:0003674;GO:0005634	Protein HGH1 homolog
XP_018448706.1	191	AT5G54610.1, AT5G54620.1	AT5G54620.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0045087;GO:0009751;GO:0005886;GO:0016020;GO:0005515	Ankyrin repeat family protein;Ankyrin repeat-containing protein BDA1 (Protein BIAN DA 1)
XP_018448707.1	247	AT1G29530.1	AT1G29530.1	orthologue	GO:0005634;GO:0003674	At1g29530
XP_018448708.1	376	AT5G25180.1	AT5G25180.1	other	GO:0005506;GO:0009507;GO:0020037;GO:0016705;GO:0004497;GO:0016020	Cytochrome P450 71B14 (EC 1.14.-.-)
XP_018448709.1	349					
