Euclidium_syriacum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
ESY1_g10753_DN2_SP0_c0.t1	215	AT3G55420.1	AT3G55420.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein At3g55420 (Uncharacterized protein T22E16.80)
ESY1_g10754_DN3_SP8_c0.t1	1016	AT3G55410.1	AT3G55410.1	orthologue	GO:0004591;GO:0050897;GO:0045252;GO:0030976;GO:0008270;GO:0005829;GO:0006099;GO:0005739;GO:0005759;GO:0016624	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1)
ESY1_g10755_DN1_SP0_c14.t1	227					
ESY1_g10757_DN2_SP0_c0.t1	114	AT5G47160.1	AT5G47160.1	other	GO:0005634;GO:0042054;GO:0003690	YDG domain-containing protein At5g47160
ESY1_g10758_DN3_SP4_c0.t1	613	AT3G55400.1	AT3G55400.1	orthologue	GO:0009507;GO:0009570;GO:0004825;GO:0006431;GO:0005739;GO:0048481;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Methionine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase) (AtcpMetRS) (MetRS) (Protein OVULE ABORTION 1);methionine--tRNA ligase (EC 6.1.1.10)
ESY1_g10759_DN3_SP8_c0.t1	194	AT3G55390.1	AT3G55390.1	orthologue	GO:0005575;GO:0003674;GO:0005886	CASP-like protein 4C1 (AtCASPL4C1)
ESY1_g10761_DN2_SP0_c0.t1	361	AT3G55370.3	AT3G55370.3	orthologue	GO:0000976;GO:0005634;GO:0003700;GO:0006355;GO:0045893;GO:0009640;GO:0003677;GO:0008270	Dof zinc finger protein;Dof zinc finger protein DOF3.6 (AtDOF3.6) (OBF-binding protein 3)
ESY1_g10762_DN3_SP8_c0.t1	310	AT3G55360.1	AT3G55360.1	orthologue	GO:0005515;GO:0010025;GO:0005789;GO:0019166;GO:0006665;GO:0009923;GO:0102758;GO:0160062;GO:0006633;GO:1905499;GO:0005783;GO:0016491;GO:0010091;GO:0042761;GO:0005829;GO:0009922;GO:0042335;GO:0006629;GO:0016627	Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Enoyl-CoA reductase) (AtECR) (Protein ACQUIRED OSMOTOLERANCE-DEFECTIVE 2) (Protein ECERIFERUM 10) (Synaptic glycoprotein SC2-like protein)
ESY1_g10763_DN3_SP0_c0.t1	403	AT3G55350.1	AT3G55350.1	orthologue	GO:0000118;GO:0005634;GO:0008150;GO:0005515;GO:0004518;GO:0046872	Protein ALP1-like (EC 3.1.-.-)
ESY1_g10764_DN3_SP0_c0.t1	667	AT3G55340.1	AT3G55340.1	orthologue	GO:0000914;GO:0005515;GO:0009524;GO:0003729;GO:0009920;GO:0008270;GO:0003723;GO:0005634;GO:0005856;GO:0005886;GO:0019898;GO:0003676	Phragmoplastin interacting protein 1
ESY1_g10765_DN3_SP5_c0.t1	228	AT3G55330.1	AT3G55330.1	orthologue	GO:0031977;GO:0098807;GO:0042651;GO:0015979;GO:0009543;GO:0009507;GO:0009654;GO:0005829;GO:0019898;GO:0005509;GO:0009579;GO:0009523	PsbP-like protein 1, chloroplastic (OEC23-like protein 4) (PsbP-related thylakoid lumenal protein 2)
ESY1_g10766_DN3_SP8_c0.t1	1403	AT3G55320.1	AT3G55320.1	orthologue	GO:0055085;GO:0005886;GO:0005829;GO:0042626;GO:0140359;GO:0009507;GO:0016887;GO:0005524;GO:0016020	ABC transporter B family member 20 (ABC transporter ABCB.20) (AtABCB20) (Multidrug resistance protein 14) (AtMDR14) (P-glycoprotein 20) (Probable auxin exporter ABCB20)
ESY1_g10768_DN3_SP0_c0.t1	154	AT2G39460.1, AT3G55280.1	AT2G39460.1	other	GO:0005737;GO:0005829;GO:0022625;GO:0019843;GO:0009409;GO:0009644;GO:0006979;GO:0003729;GO:0003735;GO:0022626;GO:0006412;GO:0015934;GO:0009506;GO:0009505;GO:0005794;GO:0005730;GO:0005840;GO:1990904	Large ribosomal subunit protein uL23y (60S ribosomal protein L23a-2);Large ribosomal subunit protein uL23z (60S ribosomal protein L23a-1) (AtRPL23A-1);Ribosomal protein L23AB
ESY1_g10769_DN3_SP5_c0.t1	756	AT3G55270.1	AT3G55270.1	orthologue	GO:0010225;GO:0006470;GO:0017017;GO:0005634;GO:1902065;GO:0010224;GO:0009651;GO:0004725;GO:0005829;GO:0006952;GO:0016311	Protein-tyrosine-phosphatase MKP1 (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 1) (AtMKP1)
ESY1_g10770_DN3_SP8_c6.t1	543	AT3G55260.1	AT3G55260.1	orthologue	GO:0006491;GO:0004563;GO:0099503;GO:0005975;GO:0005773;GO:0000325;GO:0009507;GO:0016020;GO:0030203;GO:0015929;GO:0004553	Beta-hexosaminidase 1 (EC 3.2.1.52) (Beta-GlcNAcase 1) (Beta-N-acetylhexosaminidase 1) (Beta-hexosaminidase 2) (AtHEX2) (N-acetyl-beta-glucosaminidase 1)
ESY1_g10771_DN3_SP8_c0.t1	280	AT3G55250.1	AT3G55250.1	orthologue	GO:0009535;GO:0098572;GO:0005515;GO:0009507;GO:0048564;GO:0009941;GO:0005829;GO:0005739;GO:0009570;GO:0005634	Photosystem I assembly factor PSA3, chloroplastic (Protein PHOTOSYSTEM I ASSEMBLY 3) (Protein PIGMENT DEFECTIVE 329)
ESY1_g10772_DN3_SP8_c0.t1	95	AT3G55240.1	AT3G55240.1	orthologue	GO:0009299;GO:0005634;GO:0010380;GO:0009507;GO:1902326;GO:0032502;GO:0003674;GO:0005515;GO:0001222	Uncharacterized protein At3g55240 (Uncharacterized protein T26I12.120)
ESY1_g10773_DN3_SP0_c0.t1	317	AT3G55230.1	AT3G55230.1	orthologue	GO:0003674;GO:0008150;GO:0005576;GO:0009699;GO:0048046	Dirigent protein 24 (AtDIR24)
ESY1_g10774_DN3_SP8_c0.t1	1216	AT3G55220.1, AT3G55200.1	AT3G55220.1	orthologue	GO:0009555;GO:0003676;GO:0005634;GO:0009506;GO:0048481;GO:0005829;GO:0055046;GO:0009846;GO:0000398;GO:0030620;GO:0005686;GO:0005515	Spliceosome-associated protein 130 A (AtSAP130a) (SAP 130 A) (Pre-mRNA-splicing factor SF3b 130 kDa subunit A) (SF3b130 A);Spliceosome-associated protein 130 B (AtSAP130b) (SAP 130 B) (Pre-mRNA-splicing factor SF3b 130 kDa subunit B) (SF3b130 B)
ESY1_g10775_DN3_SP1_c0.t1	1216	AT3G55220.1, AT3G55200.1	AT3G55220.1	orthologue	GO:0009555;GO:0003676;GO:0005634;GO:0009506;GO:0048481;GO:0005829;GO:0055046;GO:0009846;GO:0000398;GO:0030620;GO:0005686;GO:0005515	Spliceosome-associated protein 130 A (AtSAP130a) (SAP 130 A) (Pre-mRNA-splicing factor SF3b 130 kDa subunit A) (SF3b130 A);Spliceosome-associated protein 130 B (AtSAP130b) (SAP 130 B) (Pre-mRNA-splicing factor SF3b 130 kDa subunit B) (SF3b130 B)
ESY1_g10776_DN3_SP1_c0.t1	312	AT3G55190.1	AT3G55190.1	orthologue	GO:0005737;GO:0016298;GO:0016020;GO:0005783;GO:0008150;GO:0005794	Alpha/beta-Hydrolases superfamily protein (Esterase/lipase/thioesterase family protein) (Lipase-like protein)
ESY1_g10777_DN3_SP0_c0.t1	312	AT3G55180.1	AT3G55180.1	orthologue	GO:0047372;GO:0005829;GO:0016020;GO:0008150;GO:0005737;GO:0016298	Alpha/beta-Hydrolases superfamily protein (Lipase-like protein)
ESY1_g10779_DN3_SP0_c0.t1	638	AT3G55150.1	AT3G55150.1	orthologue	GO:0006887;GO:0005546;GO:0031982;GO:0005515;GO:0005829;GO:1900426;GO:0005634;GO:0009620;GO:0009617;GO:0000145;GO:0002237;GO:0006952;GO:0012505;GO:0016020;GO:0045335	Exocyst complex component EXO70H1 (AtExo70h1) (Exocyst subunit Exo70 family protein H1)
ESY1_g10780_DN3_SP8_c0.t1	331	AT3G55140.1	AT3G55140.1	orthologue	GO:0005576;GO:0016829;GO:0030570;GO:0045490;GO:0046872	Pectate lyase (EC 4.2.2.2)
ESY1_g10781_DN2_SP0_c0.t1	57					
ESY1_g10784_DN3_SP0_c0.t1	286	AT3G55150.1	AT3G55150.1	orthologue	GO:0006887;GO:0005546;GO:0031982;GO:0005515;GO:0005829;GO:1900426;GO:0005634;GO:0009620;GO:0009617;GO:0000145;GO:0002237;GO:0006952;GO:0012505;GO:0016020;GO:0045335;GO:0016872	Exocyst complex component EXO70H1 (AtExo70h1) (Exocyst subunit Exo70 family protein H1)
ESY1_g10786_DN3_SP0_c0.t1	245	AT3G55130.1, AT3G55110.1, AT3G55100.1, AT3G55090.1, AT2G39350.1, AT5G13580.1	AT3G55130.1	orthologue	GO:0005886;GO:0140359;GO:0042626;GO:0016887;GO:0010208;GO:0016020;GO:0055085;GO:0005515;GO:0007034;GO:0005775;GO:0005739;GO:1903825;GO:0010345;GO:0009624;GO:0005524;GO:0005774	ABC transporter G family member 1 (ABC transporter ABCG.1) (AtABCG1) (White-brown complex homolog protein 1) (AtWBC1);ABC transporter G family member 16 (ABC transporter ABCG.16) (AtABCG16) (Probable white-brown complex homolog protein 16) (AtWBC16);ABC transporter G family member 17 (ABC transporter ABCG.17) (AtABCG17) (Probable white-brown complex homolog protein 17) (AtWBC17);ABC transporter G family member 18 (ABC transporter ABCG.18) (AtABCG18) (Probable white-brown complex homolog protein 18) (AtWBC18);ABC transporter G family member 19 (ABC transporter ABCG.19) (AtABCG19) (White-brown complex homolog protein 19) (AtWBC19);ABC transporter G family member 6 (ABC transporter ABCG.6) (AtABCG6) (White-brown complex homolog protein 6) (AtWBC6)
ESY1_g10790_DN3_SP0_c0.t1	123	AT5G32613.1	AT5G32613.1	other	GO:0005634;GO:0008150;GO:0003676;GO:0008270	Zinc knuckle (CCHC-type) family protein
ESY1_g10791_DN3_SP1_c0.t1	251	AT3G55120.1	AT3G55120.1	orthologue	GO:0009733;GO:0009813;GO:0005634;GO:0009507;GO:0005515;GO:0005783;GO:0045430;GO:0010224;GO:0009705;GO:0005829;GO:0009411;GO:0042406;GO:0016872	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6) (Protein TRANSPARENT TESTA 5)
ESY1_g10795_DN3_SP0_c0.t1	468	AT3G55080.1	AT3G55080.1	orthologue	GO:0016279;GO:0009507;GO:0008168;GO:0032259;GO:0005515;GO:0018026;GO:0018022	At3g55080 (SET domain-containing protein);SET domain-containing protein;SET domain-containing protein (mRNA, clone: RAFL25-03-G23)
ESY1_g10796_DN3_SP8_c0.t1	414	AT3G55070.1	AT3G55070.1	orthologue	GO:0043161;GO:0061630;GO:0005634;GO:0004842;GO:0034657;GO:0005737;GO:0005515;GO:0008270	LisH/CRA/RING-U-box domains-containing protein;Protein MAEA homolog
ESY1_g10797_DN3_SP0_c0.t1	889	AT3G55060.1	AT3G55060.1	orthologue	GO:0003674;GO:0005737	CAP-gly domain linker;CAP-gly domain linker (Centromere protein-like)
ESY1_g10798_DN3_SP6_c0.t1	387	AT3G55050.1	AT3G55050.1	orthologue	GO:0017018;GO:0004722;GO:0005575;GO:1902531;GO:0046872;GO:0006470;GO:0043169	Probable protein phosphatase 2C 48 (AtPP2C48) (EC 3.1.3.16) (Protein phosphatase 2C 6)
ESY1_g10799_DN3_SP0_c0.t1	302	AT3G55040.1	AT3G55040.1	orthologue	GO:0009570;GO:0010731;GO:0004364;GO:0005777;GO:0005829;GO:0009507;GO:0009636	Glutathione S-transferase L2, chloroplastic (AtGSTL2) (EC 2.5.1.18) (GST class-lambda member 2)
ESY1_g10800_DN3_SP8_c0.t1	237	AT3G55030.1	AT3G55030.1	orthologue	GO:0009941;GO:0046474;GO:0030145;GO:0006655;GO:0008444;GO:0043231;GO:0005789;GO:0045995;GO:0008654;GO:0016020;GO:0016780	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 2 (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 2) (PGP synthase 2)
ESY1_g10801_DN3_SP6_c0.t1	832	AT3G55020.1	AT3G55020.1	orthologue	GO:0005634;GO:0005096;GO:0031267;GO:0043087	Ypt/Rab-GAP domain of gyp1p superfamily protein
ESY1_g10802_DN3_SP0_c0.t1	388	AT3G55010.1	AT3G55010.1	other	GO:0005739;GO:0006164;GO:0004637;GO:0004641;GO:0009507;GO:0005524;GO:0005507;GO:0006189;GO:0046084;GO:0009570;GO:0005829	Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)
ESY1_g10803_DN3_SP7_c0.t1	388	AT3G55010.1	AT3G55010.1	other	GO:0005739;GO:0006164;GO:0004637;GO:0004641;GO:0009507;GO:0005524;GO:0005507;GO:0006189;GO:0046084;GO:0009570;GO:0005829	Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)
ESY1_g10804_DN3_SP1_c0.t1	756	AT3G48770.1	AT3G48770.1	other	GO:0008150;GO:0003677;GO:0009507;GO:0008270	ATP/DNA binding protein
ESY1_g10805_DN3_SP0_c0.t1	909	AT3G48770.1	AT3G48770.1	orthologue	GO:0008150;GO:0003677;GO:0009507;GO:0008270	ATP/DNA binding protein
ESY1_g10806_DN3_SP5_c0.t1	254	AT3G55005.1	AT3G55005.1	orthologue	GO:0030981;GO:0005634;GO:0000913;GO:0000226;GO:0005515;GO:0030865;GO:0005737	Protein TONNEAU 1b
ESY1_g10807_DN3_SP1_c0.t1	245	AT3G55000.1	AT3G55000.1	orthologue	GO:0000226;GO:0005515;GO:0005737;GO:0030863;GO:0030981;GO:0009574;GO:0000913;GO:0005634;GO:0030865;GO:0005938;GO:0005829	Protein TONNEAU 1a (Protein TONNEAU 1)
ESY1_g10808_DN3_SP5_c0.t1	340	AT3G54990.1, AT2G39250.1	AT3G54990.1	orthologue	GO:0003700;GO:0006355;GO:0000976;GO:0009658;GO:0003677;GO:0005634;GO:0005515;GO:0005730;GO:0009873	AP2-like ethylene-responsive transcription factor SMZ (Protein SCHLAFMUTZE);AP2-like ethylene-responsive transcription factor SNZ (Protein SCHNARCHZAPFEN);Integrase-type DNA-binding superfamily protein
ESY1_g10809_DN2_SP0_c0.t1	96	AT1G74150.1	AT1G74150.1	orthologue	GO:0005634;GO:0005737;GO:0003674	Galactose oxidase/kelch repeat superfamily protein
ESY1_g10810_DN2_SP0_c15.t1	831	AT3G54980.1	AT3G54980.1	orthologue	GO:0003729;GO:0005739;GO:0008150;GO:0005515;GO:0009507;GO:0010019;GO:0031930	Pentatricopeptide repeat-containing protein At3g54980, mitochondrial
ESY1_g10811_DN3_SP0_c0.t1	356	AT3G54970.1	AT3G54970.1	orthologue	GO:0009507;GO:0005634;GO:0003674;GO:0008483;GO:0003824	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein
ESY1_g10812_DN3_SP7_c0.t1	577	AT3G54960.1	AT3G54960.1	orthologue	GO:0099503;GO:0006457;GO:0005829;GO:0034976;GO:0003756;GO:0005783;GO:0000325;GO:0009507;GO:0005788	Protein disulfide isomerase-like 1-3 (AtPDIL1-3) (EC 5.3.4.1) (Protein disulfide isomerase 1) (AtPDI1) (Protein disulfide isomerase-like 2-1) (AtPDIL2-1)
ESY1_g10813_DN3_SP8_c0.t1	520	AT3G54950.1	AT3G54950.1	orthologue	GO:0006644;GO:0047617;GO:0051707;GO:0019374;GO:0004620;GO:0005886;GO:0016042;GO:0006629	Patatin-like protein 7 (AtPLP7) (EC 3.1.1.-) (Patatin-related phospholipase A IIIbeta) (pPLAIIIb) (Phospholipase A IIIA) (AtPLAIIIA)
ESY1_g10814_DN2_SP0_c0.t1	72					
ESY1_g10815_DN3_SP0_c0.t1	368	AT3G54940.2	AT3G54940.2	orthologue	GO:0005615;GO:0005576;GO:0051603;GO:0006508;GO:0005764;GO:0004197;GO:0008234	Papain family cysteine protease;Probable cysteine protease RD19D (EC 3.4.22.-)
ESY1_g10817_DN2_SP0_c0.t1	96	AT3G54920.1	AT3G54920.1	other	GO:0016020;GO:0045490;GO:0005886;GO:0098542;GO:0042547;GO:0016829;GO:0030570;GO:0046872;GO:0098552	Probable pectate lyase 13 (EC 4.2.2.2) (Powdery mildew susceptibility protein) (Powdery mildew-resistant mutant 6)
ESY1_g10818_DN3_SP3_c0.t1	414	AT3G54920.1	AT3G54920.1	orthologue	GO:0016020;GO:0045490;GO:0005886;GO:0098542;GO:0042547;GO:0016829;GO:0030570;GO:0046872;GO:0098552	Probable pectate lyase 13 (EC 4.2.2.2) (Powdery mildew susceptibility protein) (Powdery mildew-resistant mutant 6)
ESY1_g10819_DN2_SP0_c0.t1	73					
ESY1_g10820_DN2_SP0_c0.t1	73					
ESY1_g10821_DN3_SP0_c0.t1	179	AT3G54900.1	AT3G54900.1	orthologue	GO:0009507;GO:0015038;GO:0006812;GO:0009941;GO:0015297;GO:0009570;GO:0046872;GO:0051537	Monothiol glutaredoxin-S14, chloroplastic (AtGRXcp) (AtGrxS14) (CAX-interacting protein 1) (CXIP1)
ESY1_g10822_DN3_SP8_c0.t1	241	AT3G54890.1	AT3G54890.1	orthologue	GO:0009768;GO:0009409;GO:0009416;GO:0009534;GO:0009507;GO:0005515;GO:0009535;GO:0009941;GO:0010287;GO:0009765;GO:0009644;GO:0009579;GO:0016168;GO:0009645;GO:0003729;GO:0009522;GO:0019904;GO:0046872;GO:0009523;GO:0016020	Chlorophyll a-b binding protein 6, chloroplastic (LHCI-730) (LHCII type III CAB-6) (Light-harvesting complex protein Lhca1);Chlorophyll a-b binding protein, chloroplastic
ESY1_g10823_DN3_SP0_c0.t1	231	AT1G45063.1, AT3G53330.1, AT4G01380.1	AT1G45063.1	other	GO:0005576;GO:0005886;GO:0008150;GO:0009055	Copper ion binding / electron carrier protein;Plastocyanin-like domain-containing protein;Plastocyanin-like domain-containing protein (Putative copper-containing glycoprotein)
ESY1_g10824_DN3_SP7_c0.t1	111	AT3G54880.1	AT3G54880.1	orthologue	GO:0003674;GO:0005634	At3g54880 (Zinc finger protein)
ESY1_g10825_DN3_SP8_c0.t1	1049	AT3G54870.2	AT3G54870.2	orthologue	GO:0048768;GO:0005871;GO:0030705;GO:0031110;GO:0008017;GO:0005874;GO:0003777;GO:0003779;GO:0009507;GO:0005737;GO:0048765;GO:0007018;GO:0008574;GO:0016887;GO:0005524;GO:0005819;GO:0009524;GO:0005515;GO:0005876;GO:0051231;GO:0072686;GO:0090307	Kinesin-like protein;Kinesin-like protein KIN-UC (AtKINUc) (Protein ARMADILLO REPEAT KINESIN1) (Protein ARMADILLO REPEAT-CONTAINING KINESIN 1) (Protein CA-ROP2 ENHANCER 1) (Protein MORPHOGENESIS OF ROOT HAIR 2)
ESY1_g10826_DN3_SP8_c0.t1	592	AT3G54860.2	AT3G54860.2	orthologue	GO:0016192;GO:0009705;GO:0032991;GO:0005773;GO:0006886;GO:0033263;GO:0030897;GO:0003674;GO:0007033;GO:0005774;GO:0012505;GO:0016020	Sec1/munc18-like (SM) proteins superfamily;Vacuolar protein-sorting-associated protein 33 homolog (AtVPS33)
ESY1_g10827_DN3_SP0_c0.t1	892	AT3G54760.1	AT3G54760.1	orthologue	GO:0003676;GO:0080188;GO:0005886;GO:0005634;GO:0005515	Dentin sialophosphoprotein-like protein
ESY1_g10828_DN2_SP0_c0.t1	111					
ESY1_g10829_DN3_SP2_c0.t1	636	AT3G54850.1	AT3G54850.1	orthologue	GO:0070696;GO:0005634;GO:0004842;GO:0005515;GO:0016567;GO:0005737	U-box domain-containing protein 14 (EC 2.3.2.27) (E3 ubiquitin-protein ligase PUB14) (Plant U-box protein 14) (Prototypical U-box domain protein 14) (RING-type E3 ubiquitin transferase PUB14)
ESY1_g10830_DN3_SP8_c0.t1	220	AT3G54840.1	AT3G54840.1	orthologue	GO:0005769;GO:0003924;GO:0005768;GO:0045022;GO:0006499;GO:0030139;GO:0012505;GO:0005525;GO:0005829;GO:0010009;GO:0005515;GO:0006886;GO:0009507;GO:0005783;GO:0005886;GO:0006897;GO:0031901	Ras-related protein RABF1 (AtRABF1) (Ras-related protein Ara-6) (Ras-related protein Rab5C) (AtRab5C);Ras-related small GTP-binding family protein
ESY1_g10832_DN2_SP0_c0.t1	260					
ESY1_g10833_DN1_SP0_c0.t1	76					
ESY1_g10841_DN2_SP0_c0.t1	99					
ESY1_g10846_DN3_SP0_c27.t1	323	AT3G58200.1	AT3G58200.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	MATH domain and coiled-coil domain-containing protein At3g58200 (RTM3-like protein At3g58200)
ESY1_g10848_DN3_SP4_c0.t1	535	AT3G54830.1	AT3G54830.1	orthologue	GO:0005634;GO:0015171;GO:0003333;GO:0016020;GO:0031090;GO:0005774;GO:0015179	Amino acid transporter AVT1B (AtAvt1B)
ESY1_g10849_DN3_SP0_c0.t1	190	AT3G54826.1	AT3G54826.1	orthologue	GO:0030150;GO:0006457;GO:0008270;GO:0005739;GO:0050821;GO:0051087	Zim17-type zinc finger protein
ESY1_g10850_DN3_SP8_c0.t1	286	AT3G54820.1	AT3G54820.1	orthologue	GO:0005886;GO:0005515;GO:0055085;GO:0006833;GO:0015250;GO:0015267;GO:0016020	Probable aquaporin PIP2-5 (Plasma membrane intrinsic protein 2-5) (AtPIP2;5) (Plasma membrane intrinsic protein 2d) (PIP2d)
ESY1_g10851_DN1_SP0_c0.t1	147	AT1G09650.1, AT1G11270.1, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1, AT5G16285.1	AT1G11270.1	other	GO:0003674;GO:0005634;GO:0010286;GO:0008150;GO:0005575;GO:0009789;GO:0005515;GO:0050821;GO:0031146;GO:0004842;GO:0005739	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g11270;F-box protein At2g34280;F-box protein At5g10340;F-box/LRR-repeat/kelch-repeat protein At1g09650;Putative F-box protein At5g16285
ESY1_g10852_DN3_SP0_c0.t1	223	AT1G09650.1, AT1G11270.1, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1, AT5G16285.1	AT1G11270.1	other	GO:0003674;GO:0005634;GO:0010286;GO:0008150;GO:0005575;GO:0009789;GO:0005515;GO:0050821;GO:0031146;GO:0004842;GO:0005739	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g11270;F-box protein At2g34280;F-box protein At5g10340;F-box/LRR-repeat/kelch-repeat protein At1g09650;Putative F-box protein At5g16285
ESY1_g10853_DN3_SP5_c0.t1	325	AT3G54810.1	AT3G54810.1	orthologue	GO:0009845;GO:0005634;GO:0000976;GO:0030154;GO:0005515;GO:0045893;GO:0008270;GO:0007623;GO:0006357;GO:0003700;GO:0006355;GO:0043565;GO:0003677	GATA transcription factor 8
ESY1_g10854_DN3_SP6_c0.t1	720	AT3G54800.1	AT3G54800.1	orthologue	GO:0007165;GO:0005575;GO:0008289;GO:0035091;GO:0005783	AT3G54800 protein (Pleckstrin homology (PH) and lipid-binding START domains-containing protein)
ESY1_g10855_DN3_SP0_c0.t1	515	AT2G33000.1, AT2G33010.1	AT2G33010.1	orthologue	GO:0005783;GO:0005634;GO:0036503;GO:0043130;GO:0005515	Ubiquitin-associated (UBA) protein;Ubiquitin-associated (UBA)/TS-N domain-containing protein-like protein
ESY1_g10856_DN2_SP0_c0.t1	316	AT4G29060.1	AT4G29060.1	other	GO:0043253;GO:0009793;GO:0009507;GO:0009570;GO:0005886;GO:0003729;GO:0070125;GO:0003746;GO:0009941;GO:0061770;GO:0005739;GO:0003676;GO:0003735;GO:0006412	Polyprotein of EF-Ts, chloroplastic (150 kDa pro-protein) (Protein EMBRYO DEFECTIVE 2726) [Cleaved into: Plastid-specific ribosomal protein-7, chloroplastic; Elongation factor Ts, chloroplastic (EF-Ts)]
ESY1_g10858_DN3_SP0_c0.t1	244					
ESY1_g10860_DN3_SP6_c0.t1	742	AT3G54790.1	AT3G54790.1	orthologue	GO:0005737;GO:0004842;GO:0005634;GO:0016567;GO:0061630;GO:0005515	RING-type E3 ubiquitin transferase (EC 2.3.2.27);U-box domain-containing protein 3 (EC 2.3.2.27) (Plant U-box protein 3) (RING-type E3 ubiquitin transferase PUB3)
ESY1_g10861_DN2_SP0_c0.t1	80					
ESY1_g10862_DN2_SP0_c0.t1	68					
ESY1_g10866_DN3_SP2_c0.t1	254	AT3G54770.1	AT3G54770.1	orthologue	GO:0010029;GO:0009651;GO:0009414;GO:0005634;GO:0003729;GO:0009737;GO:0005737;GO:0003723;GO:0003676	Probable RNA-binding protein ARP1 (ABA-regulated RNA-binding protein 1);RNA-binding (RRM/RBD/RNP motifs) family protein
ESY1_g10867_DN2_SP0_c0.t1	886	AT3G54760.1	AT3G54760.1	orthologue	GO:0003676;GO:0080188;GO:0005886;GO:0005634;GO:0005515	Dentin sialophosphoprotein-like protein
ESY1_g10868_DN2_SP0_c0.t1	113					
ESY1_g10869_DN3_SP0_c0.t1	579	AT3G54750.3	AT3G54750.3	orthologue	GO:0033260;GO:0005634;GO:0003674	AT3G54750 protein (Downstream neighbor of Son);Downstream neighbor of Son
ESY1_g10870_DN3_SP0_c0.t1	430	AT3G54740.2	AT3G54740.2	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0016020;GO:0080115	GTD-binding domain-containing protein;Uncharacterized protein T5N23_100
ESY1_g10871_DN3_SP0_c0.t1	114	AT3G54740.2	AT3G54740.2	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0016020;GO:0080115	GTD-binding domain-containing protein;Uncharacterized protein T5N23_100
ESY1_g10873_DN2_SP0_c0.t1	67					
ESY1_g10874_DN3_SP0_c0.t1	710	AT3G54720.1	AT3G54720.1	orthologue	GO:0009793;GO:0009910;GO:0060965;GO:0004180;GO:0090693;GO:0005886;GO:0010305;GO:0009640;GO:0048364;GO:0009908;GO:0048507;GO:0005515;GO:0005783;GO:0004181;GO:0005789;GO:0006508;GO:0010080;GO:0010081;GO:0010082;GO:0016020;GO:0046872	Probable glutamate carboxypeptidase AMP1 (EC 3.4.17.21) (Probable glutamate carboxypeptidase 2) (Probable glutamate carboxypeptidase II) (Protein ALTERED MERISTEM PROGRAM 1) (AtAMP1) (Protein CONSTITUTIVE MORPHOGENESIS 2) (Protein HAUPTLING) (Protein MULTIFOLIA) (Protein PRIMORDIA TIMING)
ESY1_g10876_DN3_SP0_c0.t1	505	AT3G54710.1	AT3G54710.1	orthologue	GO:0030174;GO:0071163;GO:0003677;GO:0005515;GO:0000076;GO:0005634;GO:0070182;GO:0004693;GO:0048229;GO:0009658;GO:0000278;GO:0006260;GO:0051276	CDT1-like protein b (AtCDT1b)
ESY1_g10877_DN3_SP0_c0.t1	535	AT3G54700.1	AT3G54700.1	orthologue	GO:0005886;GO:0005737;GO:1901684;GO:0005315;GO:1901683;GO:0006817;GO:0015293;GO:0022857;GO:0016020;GO:0055085	Probable inorganic phosphate transporter 1-7 (AtPht1;7) (H(+)/Pi cotransporter)
ESY1_g10878_DN3_SP8_c0.t1	352	AT3G54690.1	AT3G54690.1	orthologue	GO:0009507;GO:0005975;GO:0019146;GO:1901135;GO:0005524;GO:0097367;GO:0016853	Probable arabinose 5-phosphate isomerase (API) (EC 5.3.1.13) (CBS domain-containing protein CBSSIS1)
ESY1_g10879_DN1_SP0_c0.t1	216	AT3G54680.1	AT3G54680.1	orthologue	GO:0005634;GO:0003674	AT3g54680/T5N23_40 (Proteophosphoglycan-like protein)
