Eutrema_salsugineum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006401052.1	594	AT5G58700.1	AT5G58700.1	orthologue	GO:0051209;GO:0035556;GO:0004435;GO:0005739;GO:0005886;GO:0048015;GO:0005829;GO:0016042;GO:0006629;GO:0007165;GO:0008081	Phosphoinositide phospholipase C 4 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC4) (AtPLC4) (PI-PLC4)
XP_006401053.1	587	AT5G58690.1	AT5G58690.1	orthologue	GO:0048015;GO:0004435;GO:0051209;GO:0005739;GO:0035556;GO:0005886;GO:0005829;GO:0016042;GO:0006950;GO:0006629;GO:0008081;GO:0007165	Phosphoinositide phospholipase C (EC 3.1.4.11);Phosphoinositide phospholipase C 5 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC5) (AtPLC5) (AtPLCx) (PI-PLC5)
XP_006401054.1	561	AT5G58670.1	AT5G58670.1	orthologue	GO:0048015;GO:0051209;GO:0009738;GO:0009409;GO:0004629;GO:0035556;GO:0005886;GO:0009651;GO:0009414;GO:0004435;GO:0009737;GO:0005634;GO:0016042;GO:0046872;GO:0006629;GO:0007165;GO:0008081	Phosphoinositide phospholipase C 1 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC1) (AtPLC1) (AtPLC1S) (PI-PLC1)
XP_006401055.1	350	AT5G58660.1	AT5G58660.1	orthologue	GO:0005737;GO:0045487;GO:0045543;GO:0046872	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (Gibberellin oxidase-like protein)
XP_006401057.1	74	AT5G58650.1	AT5G58650.1	orthologue	GO:0048767;GO:0005576;GO:0048765;GO:0009658;GO:0003674;GO:0042127;GO:0043476;GO:0008083	Protein PSY1 [Cleaved into: Tyrosine-sulfated glycopeptide 1]
XP_006401058.1	226	AT5G58640.1	AT5G58640.1	orthologue	GO:0045454;GO:0005783;GO:0005789;GO:0004791;GO:0005886;GO:0009507	AT5g58640/mzn1_90 (Selenoprotein, Rdx type);Selenoprotein, Rdx type
XP_006401059.1	383	AT5G58630.1	AT5G58630.1	orthologue	GO:0003674;GO:0009507	DUF3741 domain-containing protein
XP_006401060.1	616	AT5G58620.1	AT5G58620.1	orthologue	GO:0006412;GO:0003723;GO:0005515;GO:0006355;GO:0000932;GO:0009507;GO:0003700;GO:0010494;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 66 (AtC3H66)
XP_006401061.2	1097	AT5G58610.3	AT5G58610.3	orthologue	GO:0016747;GO:0005634;GO:0006357;GO:0003714;GO:0008270;GO:0045892;GO:0140110	Gb|AAC80581.1 (PHD finger transcription factor);PHD finger transcription factor
XP_006401062.1	398	AT5G58600.1	AT5G58600.1	orthologue	GO:0005794;GO:0016413;GO:0009620;GO:0005783;GO:0006952;GO:0016020;GO:0016740	Protein PMR5 (Powdery mildew resistance protein 5) (Protein trichome birefringence-like 44)
XP_006401063.1	218	AT5G58590.1	AT5G58590.1	orthologue	GO:0006606;GO:0009536;GO:0005829;GO:0005515;GO:0005096;GO:0005643;GO:0005737;GO:0005634;GO:0051028;GO:0046907;GO:0006913	Ran-binding protein 1 homolog c
XP_006401065.1	313	AT5G58580.1	AT5G58580.1	orthologue	GO:0031625;GO:0071470;GO:0005634;GO:1903426;GO:0030100;GO:0005798;GO:0005768;GO:0016567;GO:1901000;GO:0005886;GO:0005769;GO:0008270;GO:0016740	RING-H2 finger protein ATL63 (EC 2.3.2.27) (Protein ARABIDOPSIS TOXICOS EN LEVADURA 63) (Protein ATL63) (RING-type E3 ubiquitin transferase ATL63)
XP_006401066.1	180	AT5G58575.1	AT5G58575.1	orthologue	GO:0071819;GO:0005634;GO:0008150;GO:0140936;GO:0070461;GO:0005654;GO:0006325;GO:0008270	SAGA-associated factor 11
XP_006401067.1	308	AT5G58560.1	AT5G58560.1	orthologue	GO:0052671;GO:0052668;GO:0006720;GO:0009507;GO:0016301;GO:0048440;GO:0010189;GO:0009737;GO:0016487;GO:0102243;GO:0052670;GO:0102237;GO:0052672;GO:0031969;GO:0102238	Farnesol kinase, chloroplastic (EC 2.7.1.216)
XP_006401068.2	100	AT5G58570.1	AT5G58570.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
XP_006401070.1	928	AT5G58550.1	AT5G58550.1	orthologue	GO:0010364;GO:0005515;GO:0005575;GO:0009873;GO:0010105;GO:0016567	ETO1-like protein 2 (Ethylene overproducer 1-like protein 2)
XP_006401071.1	265	AT5G58530.1	AT5G58530.1	orthologue	GO:0003729;GO:0005634	At5g58530 (Emb|CAB72177.1) (Glutaredoxin family protein)
XP_006401072.1	603	AT5G58520.1	AT5G58520.1	orthologue	GO:0004712;GO:0006468;GO:0005634;GO:0007165;GO:0005524;GO:0004674;GO:0004672	Protein kinase like protein (Protein kinase superfamily protein)
XP_006401073.1	962	AT5G58510.1	AT5G58510.1	orthologue	GO:0005737;GO:2000786;GO:0005096;GO:0009507;GO:0043547	Rab3 GTPase-activating protein catalytic subunit
XP_006401074.1	323	AT5G58490.1	AT5G58490.1	orthologue	GO:0016616;GO:0005829	Cinnamoyl-CoA reductase-like protein (Dihydroflavonol 4-reductase-like) (NAD(P)-binding Rossmann-fold superfamily protein) (Putative cinnamoyl-CoA reductase)
XP_006401075.1	183	AT5G58500.1	AT5G58500.1	orthologue	GO:0009416;GO:0009299;GO:0005634;GO:0090698;GO:0003674;GO:0003677	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5 (Protein ORGAN BOUNDARY 5)
XP_006401077.1	858	AT5G58460.1, AT5G37060.1	AT5G37060.1	orthologue	GO:0012505;GO:0006885;GO:0098662;GO:0015385;GO:0006812;GO:1902600;GO:0006813;GO:0015297;GO:0016020;GO:0055085	Cation/H(+) antiporter 24 (Protein CATION/H+ EXCHANGER 24) (AtCHX24);Cation/H(+) antiporter 25 (Protein CATION/H+ EXCHANGER 25) (AtCHX25)
XP_006401078.1	171	AT5G37055.1	AT5G37055.1	orthologue	GO:0000812;GO:0005515;GO:0005634;GO:0042742;GO:0009909;GO:0031491;GO:0006338;GO:0048638;GO:0042802;GO:0008270;GO:0009908;GO:0016607;GO:0030154	SWR1 complex subunit 6 (Protein SERRATED LEAVES AND EARLY FLOWERING)
XP_006401079.1	590	AT5G58440.1	AT5G58440.1	orthologue	GO:0005515;GO:0005829;GO:0005634;GO:0032585;GO:0090351;GO:0032502;GO:0035091;GO:0051604;GO:0009536;GO:0030904;GO:0007165;GO:0005794;GO:0015031	Sorting nexin 2A
XP_006401082.1	1002	AT5G58450.1	AT5G58450.1	orthologue	GO:0005737;GO:0003674;GO:0031416;GO:0009506;GO:0005634;GO:0007010;GO:0010698;GO:0005515;GO:0017196	N-terminal acetyltransferase B complex auxiliary subunit NAA25 (N-terminal acetyltransferase B complex auxiliary subunit TCU2) (NatB N-alpha-terminal acetylation complex non-catalytic subunit) (Protein TRANSCURVATA 2);Tetratricopeptide repeat (TPR)-like superfamily protein
XP_006401083.1	624	AT5G58430.1	AT5G58430.1	orthologue	GO:1901332;GO:0042742;GO:0031982;GO:0009414;GO:0005515;GO:0052542;GO:0009789;GO:0006887;GO:0005737;GO:0090333;GO:0050832;GO:0006955;GO:0006952;GO:0070062;GO:0000145;GO:0005886;GO:0005546;GO:0005829;GO:0012505;GO:0045335	Exocyst complex component EXO70B1 (AtExo70b1) (Exocyst subunit Exo70 family protein B1)
XP_006401085.1	1863	AT5G58410.1	AT5G58410.1	orthologue	GO:0072344;GO:0008270;GO:0043023;GO:1990116;GO:0009507;GO:0016567;GO:0061630;GO:0005829;GO:1990112	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase listerin)
XP_006401086.1	326	AT5G58400.1	AT5G58400.1	orthologue	GO:0005576;GO:0140825;GO:0020037;GO:0006979;GO:0042744;GO:0046872;GO:0004601	Peroxidase 68 (Atperox P68) (EC 1.11.1.7)
XP_006401088.1	458	AT5G58380.1	AT5G58380.1	orthologue	GO:0007165;GO:0004674;GO:0005634;GO:0005515;GO:0005524;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 10 (EC 2.7.11.1) (SNF1-related kinase 3.8) (SOS2-like protein kinase PKS2) (SOS3-interacting protein 1)
XP_006401090.1	85	AT5G58375.1	AT5G58375.1	orthologue	GO:0003674;GO:0005576;GO:0008168;GO:0032259	At5g58375 (Methyltransferase-related protein)
XP_006401092.2	306	AT5G58360.1	AT5G58360.1	orthologue	GO:0005634;GO:0003677;GO:0045892	Transcription repressor OFP3 (Ovate family protein 3) (AtOFP3)
XP_006401093.2	129	AT2G42395.1	AT2G42395.1	orthologue	GO:0005575;GO:0003674	At2g42395
XP_006401095.2	714	AT5G58350.1	AT5G58350.1	orthologue	GO:0004674;GO:0006468;GO:0004672;GO:0046777;GO:0005737;GO:0005634;GO:0035556;GO:0005524;GO:0106310	Probable serine/threonine-protein kinase WNK4 (AtWNK4) (EC 2.7.11.1) (Protein kinase with no lysine 4)
XP_006401097.2	539	AT5G58340.1	AT5G58340.1	other	GO:0005575;GO:0003674;GO:0005634	Myb-like HTH transcriptional regulator family protein
XP_006401099.2	551	AT5G58320.2	AT5G58320.2	orthologue	GO:0005737;GO:0005774;GO:0005576;GO:0005884;GO:0003779	Protein NETWORKED 4A
XP_006401103.1	442	AT5G58330.1	AT5G58330.1	orthologue	GO:0030060;GO:0009570;GO:0009507;GO:0009941;GO:0006099;GO:0009579;GO:0005737;GO:0006734;GO:0048046;GO:0051775;GO:0005739;GO:0006108;GO:0006107;GO:0009536;GO:0046554;GO:0003824;GO:0016616;GO:0016615;GO:0016491	Malate dehydrogenase (EC 1.1.1.37);Malate dehydrogenase [NADP], chloroplastic (EC 1.1.1.82) (NADP-MDH)
XP_006401105.1	650	AT5G58300.1	AT5G58300.1	orthologue	GO:0016301;GO:0009898;GO:0004672;GO:0005886;GO:0005515;GO:0016328;GO:0005524;GO:0006468	Probable inactive receptor kinase At5g58300
XP_006401106.1	263	AT5G58310.1	AT5G58310.1	orthologue	GO:0080032;GO:0080030;GO:0080031;GO:0009696;GO:0005575;GO:0016788;GO:0009694	Methylesterase 18 (AtMES18) (EC 3.1.1.-)
XP_006401107.1	404	AT5G58290.1	AT5G58290.1	orthologue	GO:0009507;GO:0043161;GO:0008540;GO:0006511;GO:0009506;GO:0009505;GO:0036402;GO:0016887;GO:0000502;GO:0005634;GO:0005524;GO:0005737	26S proteasome regulatory subunit 6B homolog (26S protease subunit 6B homolog) (26S proteasome AAA-ATPase subunit RPT3) (Protein BMAA insensitive morphology 409) (Regulatory particle triple-A ATPase subunit 3)
XP_006401108.1	725	AT5G58270.1	AT5G58270.1	orthologue	GO:0006777;GO:0009941;GO:0009507;GO:0005739;GO:0055085;GO:0010380;GO:0042626;GO:0006879;GO:0048364;GO:0010288;GO:0005743;GO:0009536;GO:0140359;GO:0022857;GO:0051276;GO:0009658;GO:0046686;GO:0009555;GO:0040014;GO:0016887;GO:0005524;GO:0006826;GO:0050790;GO:0016020	ABC transporter B family member 25, mitochondrial (ABC transporter ABCB.25) (AtABCB25) (ABC transporter of the mitochondrion 3) (AtATM3) (Iron-sulfur clusters transporter ATM3) (Protein STARIK 1)
XP_006401109.1	210	AT5G58250.1	AT5G58250.1	orthologue	GO:0009579;GO:0005515;GO:0009507;GO:0015995;GO:0048529;GO:0009536	Protein YCF54, chloroplastic (Protein LOW CHLOROPHYLL ACCUMULATION)
XP_006401112.1	207	AT5G58260.1	AT5G58260.1	orthologue	GO:0009535;GO:0016655;GO:0010258;GO:0009941;GO:0009507;GO:0009536;GO:0010598;GO:0048038;GO:0050832;GO:0016020	NAD(P)H-quinone oxidoreductase subunit N, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit N) (NDH subunit N) (NDH-N) (NADH-plastoquinone oxidoreductase subunit N)
XP_006401114.1	424	AT5G58230.1	AT5G58230.1	orthologue	GO:0009555;GO:0045787;GO:0006355;GO:0031507;GO:0005515;GO:0016480;GO:0009793;GO:0007275;GO:0080008;GO:0070176;GO:0005634;GO:0010214;GO:0010026;GO:0048316;GO:0032991;GO:0070828;GO:0005677;GO:0009909;GO:0048366;GO:0042393;GO:0001222;GO:0006338;GO:0006260;GO:0006281;GO:0009908	Histone-binding protein MSI1 (CAF-1 p48 homolog) (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Protein MULTICOPY SUPPRESSOR OF IRA 1) (AtMSI1) (Protein medicis) (WD-40 repeat-containing protein MSI1)
XP_006401116.1	320	AT5G58220.1	AT5G58220.1	orthologue	GO:0051997;GO:1900140;GO:0001560;GO:1900457;GO:0019628;GO:0033971;GO:0006144;GO:0005829;GO:0009742;GO:0005777;GO:0042802;GO:0005515;GO:0005576;GO:0019428;GO:0009741;GO:0009631;GO:0031234;GO:0051262;GO:0009898	Uric acid degradation bifunctional protein TTL (Transthyretin-like protein) [Includes: 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97); 5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17)]
XP_006401117.1	323	AT5G58210.1	AT5G58210.1	orthologue	GO:0005634;GO:0008150;GO:0003674	AT5G58210 protein (Hydroxyproline-rich glycoprotein family protein)
XP_006401118.2	336	AT5G58200.2	AT5G58200.2	orthologue	GO:0005737;GO:0016787	At5g58200 (Calcineurin-like metallo-phosphoesterase superfamily protein) (Putative phosphoesterase);Calcineurin-like metallo-phosphoesterase superfamily protein
XP_006401125.1	774	AT5G58150.1	AT5G58150.1	orthologue	GO:0045088;GO:0005886;GO:0004672;GO:0000325;GO:0005524;GO:0005515;GO:0006468	Probably inactive leucine-rich repeat receptor-like protein kinase At5g58150
XP_006401127.1	639	AT5G58130.1	AT5G58130.1	orthologue	GO:0003723;GO:0005634;GO:0060966;GO:0003727;GO:0005730;GO:0005654;GO:0031047;GO:0003676	Protein REPRESSOR OF SILENCING 3
XP_006401128.1	942	AT5G58100.1	AT5G58100.1	orthologue	GO:0010584;GO:0005886;GO:0005783;GO:0005739;GO:0005794;GO:0003674	Transmembrane protein
XP_006401129.1	478	AT5G58090.1	AT5G58090.1	orthologue	GO:0016020;GO:0005886;GO:0009506;GO:0005576;GO:0009536;GO:0005975;GO:0042973;GO:0006952;GO:0098552;GO:0004553	Glucan endo-1,3-beta-glucosidase 6 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 6) ((1->3)-beta-glucanase 6) (Beta-1,3-endoglucanase 6) (Beta-1,3-glucanase 6)
XP_006401130.2	360	AT5G58080.1	AT5G58080.1	other	GO:0009736;GO:0003700;GO:0006355;GO:0000976;GO:0005737;GO:0000156;GO:0000160;GO:0003677;GO:0005634	Two-component response regulator ARR18
XP_006401132.2	644	AT5G58080.1	AT5G58080.1	orthologue	GO:0009736;GO:0003700;GO:0006355;GO:0000976;GO:0005737;GO:0000156;GO:0000160;GO:0003677;GO:0005634	Two-component response regulator ARR18
XP_006401133.1	199	AT5G58060.2	AT5G58060.2	orthologue	GO:0016192;GO:0005515;GO:0006888;GO:0000149;GO:0031201;GO:0005737;GO:0005794;GO:0006906;GO:0005484;GO:0009536;GO:0031982;GO:0005886;GO:0015031;GO:0016020	SNARE-like superfamily protein;VAMP-like protein YKT61 (AtYKT61) (Geranylgeranylated protein 1) (AtGP1)
XP_006401134.1	187	AT5G58070.1	AT5G58070.1	orthologue	GO:0006883;GO:0080181;GO:0005829;GO:0009506;GO:0009644;GO:0000302;GO:0016918;GO:0000325;GO:0009408;GO:0071456;GO:0005794;GO:0010286;GO:0010431;GO:0042538;GO:0030644;GO:0050826;GO:1902884;GO:0009941;GO:0009898;GO:0009409;GO:0006629;GO:1901002;GO:0005737;GO:0005783;GO:0009414;GO:0009536;GO:0005576;GO:0005739;GO:0009416;GO:1901562;GO:0005886;GO:0031969;GO:0045735	Temperature-induced lipocalin-1 (AtTIL1)
XP_006401137.1	195	AT5G58030.1	AT5G58030.1	orthologue	GO:0005794;GO:1990071;GO:0048193;GO:0003674;GO:1990070;GO:0006888;GO:0009536;GO:0030008;GO:1990072;GO:0005783	Trafficking protein particle complex subunit
XP_006401138.1	354	AT5G58020.1	AT5G58020.1	orthologue	GO:1902979;GO:0000380;GO:0003674;GO:0005634;GO:0006274	At5g58020 (RTF2 RING-finger protein)
XP_006401139.1	303	AT5G58010.1	AT5G58010.1	orthologue	GO:0006355;GO:0006357;GO:0000981;GO:0000978;GO:0046983;GO:0080147;GO:0003700;GO:0000976;GO:0005634	Transcription factor LRL3 (Basic helix-loop-helix protein 82) (AtbHLH82) (bHLH 82) (Protein DEFECTIVE REGION OF POLLEN 3) (Protein LJRHL1- LIKE 3) (AtLRL3) (Transcription factor EN 96) (Transcription factor bHLH82) (bHLH transcription factor bHLH082)
XP_006401140.1	116	AT5G58005.1	AT5G58005.1	orthologue	GO:0005634;GO:0005829;GO:0008150;GO:0045277;GO:0003674;GO:0005739	AT5G58005 protein (Cytochrome c oxidase, subunit Vib family protein)
XP_006401141.1	467	AT5G58003.1	AT5G58003.1	other	GO:0017018;GO:0005634;GO:0008420;GO:0009651;GO:0005515;GO:0003723;GO:0046872;GO:0070940;GO:0004721	RNA polymerase II C-terminal domain phosphatase-like (EC 3.1.3.16);RNA polymerase II C-terminal domain phosphatase-like 4 (FCP-like 4) (EC 3.1.3.16) (Carboxyl-terminal phosphatase-like 4) (AtCPL4) (CTD phosphatase-like 4)
XP_006401142.1	608	AT5G58000.2	AT5G58000.2	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0005789	Reticulon-like protein;Reticulon-like protein B21 (AtRTNLB21)
XP_006401143.1	1002	AT5G57990.1	AT5G57990.1	orthologue	GO:0031647;GO:0004843;GO:0005634;GO:0005829;GO:0005730;GO:0006508;GO:0016579	Ubiquitin carboxyl-terminal hydrolase 23 (EC 3.4.19.12) (Deubiquitinating enzyme 23) (AtUBP23) (Ubiquitin thioesterase 23) (Ubiquitin-specific-processing protease 23)
XP_006401144.1	210	AT5G57980.1	AT5G57980.1	orthologue	GO:0005666;GO:0042797;GO:0001055;GO:0006362;GO:0006366;GO:0003899;GO:0006351;GO:0005634;GO:0001056;GO:0001054;GO:0003677;GO:0005665;GO:0005736	DNA-directed RNA polymerase subunit 5-like protein 1
XP_006401145.1	543	AT5G57960.1	AT5G57960.1	orthologue	GO:0005737;GO:0009507;GO:0003729;GO:0043022;GO:0005525;GO:0046872	GTP binding protein-like (GTP-binding protein, HflX);GTP-binding protein, HflX
XP_006401147.2	226	AT5G57950.2	AT5G57950.2	orthologue	GO:0005515;GO:0005739;GO:0005634;GO:0070682;GO:0005737;GO:0005622;GO:0005829;GO:0000502	26S proteasome regulatory subunit;26S proteasome regulatory subunit (At5g57950)
XP_006401148.2	797				GO:0003676;GO:0008270	
XP_006401149.1	718	AT5G57940.1	AT5G57940.1	orthologue	GO:0005739;GO:0005262;GO:0035618;GO:0005223;GO:0005516;GO:0005886;GO:0030552;GO:0030553;GO:0005216;GO:0006811;GO:0016020;GO:0055085	Probable cyclic nucleotide-gated ion channel 5 (AtCNGC5) (Cyclic nucleotide- and calmodulin-regulated ion channel 5)
XP_006401151.1	446	AT5G57930.2	AT5G57930.2	orthologue	GO:0009793;GO:0003723;GO:0009507	APO protein 2, chloroplastic (Accumulation of photosystem I protein 2) (Protein EMBRYO DEFECTIVE 1629)
XP_006401152.1	186	AT5G57920.3	AT5G57920.3	orthologue	GO:0009055;GO:0005886;GO:0005739;GO:0098552	Early nodulin-like protein 10;Early nodulin-like protein 10 (AtENODL10) (Phytocyanin-like protein ENODL10)
XP_006401153.1	212	AT5G57910.1	AT5G57910.1	orthologue	GO:0005634;GO:0005739;GO:0003674;GO:0031011;GO:0008168;GO:0032259	At5g57910 (Ribosomal RNA small subunit methyltransferase G);Emb|CAB79781.1 (Ribosomal RNA small subunit methyltransferase G)
XP_006401155.1	302	AT5G57900.1	AT5G57900.1	orthologue	GO:0005515;GO:0005634;GO:0031146;GO:0016567;GO:0019005	F-box protein SKIP1 (SKP1-interacting partner 1)
XP_006401156.1	84	AT5G57887.1	AT5G57887.1	orthologue	GO:0003674;GO:0005575	Transmembrane protein
XP_006401157.1	376	AT5G57880.1	AT5G57880.1	orthologue	GO:0007140;GO:0042138;GO:0051026;GO:0007059;GO:0000212;GO:0009553;GO:0009555;GO:0048236;GO:0005575;GO:0003674;GO:0005634;GO:0005737;GO:0005819	Protein MULTIPOLAR SPINDLE 1 (Protein PUTATIVE RECOMBINATION INITIATION DEFECTS 2) (AtPRD2)
XP_006401158.1	780	AT5G57870.1	AT5G57870.1	orthologue	GO:0009536;GO:0003743;GO:0006413;GO:0005634;GO:0003729;GO:0016281;GO:0005737;GO:0006417;GO:0003723;GO:0005515	Eukaryotic translation initiation factor isoform 4G-1 (eIF(iso)4G-1)
XP_006401159.1	95	AT5G57860.1	AT5G57860.1	orthologue	GO:0009536;GO:0005829;GO:0005515	At5g57860 (Ubiquitin-like protein) (Ubiquitin-like superfamily protein);Ubiquitin-like superfamily protein
XP_006401162.2	386	AT5G57850.1	AT5G57850.1	orthologue	GO:0008696;GO:0009507;GO:0009570;GO:0008153;GO:0019752;GO:0046654;GO:0047810;GO:0008483;GO:0008652;GO:0046394;GO:0003824	D-amino-acid transaminase, chloroplastic (EC 2.6.1.21) (EC 4.1.3.38) (Aminodeoxychorismate lyase) (AtADCL) (Branched-chain-amino-acid aminotransferase-like protein 3);D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein
XP_006401163.1	443	AT5G57840.1	AT5G57840.1	orthologue	GO:0016747;GO:0050734;GO:0005737;GO:0030339	AT5g57840/MTI20_9 (HXXXD-type acyl-transferase family protein) (N-hydroxycinnamoyl/benzoyltransferase)
XP_006401164.1	149	AT5G57820.1	AT5G57820.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0008270	Zinc ion binding protein
XP_006401166.1	309	AT5G57810.1	AT5G57810.1	orthologue	GO:0009506;GO:0009734;GO:0005886;GO:0003674;GO:0016020	Tetraspanin-15
XP_006401167.1	631	AT5G57800.1	AT5G57800.1	orthologue	GO:0043447;GO:0010143;GO:0005886;GO:0005515;GO:0016491;GO:0071771;GO:0005506;GO:0010025;GO:0016020;GO:0048235;GO:0009611;GO:0005789;GO:0006723;GO:0008610	Very-long-chain aldehyde decarbonylase CER3 (EC 4.1.99.5) (Protein ECERIFERUM 3) (Protein FACELESS POLLEN 1) (Protein WAX2) (Protein YORE-YORE)
XP_006401170.1	163	AT5G57780.1	AT5G57780.1	orthologue	GO:0006355;GO:0003674;GO:0005739	At5g57780 (Emb|CAB79759.1) (Transcription factor)
XP_006401171.1	411	AT5G57770.1	AT5G57770.1	orthologue	GO:0003674;GO:0005634	Auxin canalization protein (DUF828)
XP_006401172.1	79	AT5G57760.1	AT5G57760.1	orthologue	GO:0003674;GO:0005739	At5g57760
XP_006401173.1	230	AT5G57750.1	AT5G57750.1	orthologue	GO:0005575;GO:0016567;GO:0003674;GO:0008270;GO:0016020;GO:0016740	Putative RING-H2 finger protein ATL50 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL50)
XP_006401175.1	504	AT5G57740.1	AT5G57740.1	orthologue	GO:0010311;GO:0006511;GO:0010366;GO:0004842;GO:0016567;GO:0051865;GO:0009733;GO:0005575;GO:0005515;GO:0008270	E3 ubiquitin-protein ligase XBAT32 (EC 2.3.2.27) (Ankyrin repeat domain and RING finger-containing protein XBAT32) (Protein XB3 homolog 2) (RING-type E3 ubiquitin transferase XBAT32)
XP_006401176.1	298	AT5G57720.1	AT5G57720.1	orthologue	GO:0005634;GO:0003674;GO:0003677	B3 domain-containing protein At5g57720
XP_006401177.1	991	AT5G57710.1	AT5G57710.1	orthologue	GO:0080167;GO:0005737;GO:0009845;GO:0005515;GO:0005524;GO:0016887;GO:0090351;GO:0005634;GO:1902347	Protein SUPPRESSOR OF MAX2 1 (AtSMXL1)
XP_006401179.1	489	AT5G57690.1	AT5G57690.1	orthologue	GO:0004143;GO:0007200;GO:0016020;GO:0046486;GO:0035556;GO:0005524;GO:0005783;GO:0005829;GO:0006952;GO:0007165;GO:0016301	Diacylglycerol kinase 4 (AtDGK4) (DAG kinase 4) (EC 2.7.1.107) (Diglyceride kinase 4) (DGK 4)
XP_006401181.2	583	AT5G57670.2	AT5G57670.2	orthologue	GO:0004674;GO:0005634;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Probable receptor-like serine/threonine-protein kinase At5g57670 (EC 2.7.11.1)
XP_006401182.1	359	AT5G57660.1	AT5G57660.1	orthologue	GO:0006355;GO:0009909;GO:0008270;GO:0003700;GO:0000976;GO:0005634;GO:0005515	Zinc finger protein CONSTANS-LIKE 5
XP_006401183.1	482	AT5G57655.2	AT5G57655.2	orthologue	GO:0000325;GO:0005783;GO:0099503;GO:0009536;GO:0005737;GO:0009045;GO:0005794;GO:0042732;GO:0046872;GO:0005975	Xylose isomerase (EC 5.3.1.5)
XP_006401184.1	145	AT5G57640.1, AT5G57570.1	AT5G57570.1	orthologue	GO:0003674;GO:0005634;GO:0008150	GCK domain-containing protein (Gb|AAD39291.1);GCK domain-containing protein (Gb|AAD39291.1|AC007576_14)
XP_006401186.1	416	AT5G57565.4, AT5G57630.1	AT5G57630.1	orthologue	GO:0004672;GO:0005524;GO:0009507;GO:0004674;GO:0006468;GO:0009705;GO:0071472;GO:0071470;GO:0005515;GO:0005634;GO:0005829;GO:0007165;GO:0106310	At5g57565 (Protein kinase superfamily protein);CBL-interacting serine/threonine-protein kinase 21 (EC 2.7.11.1) (SNF1-related kinase 3.4) (SOS2-like protein kinase PKS23);Protein kinase superfamily protein;non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006401187.1	204	AT5G57625.1	AT5G57625.1	orthologue	GO:0005615;GO:0005576;GO:0003674;GO:0098542	Pathogenesis-related protein 1
XP_006401188.1	334	AT5G57620.1	AT5G57620.1	orthologue	GO:0045893;GO:0045892;GO:0003700;GO:0035987;GO:0000976;GO:0005634;GO:2000067;GO:0048226;GO:0045597;GO:0030154;GO:0050801;GO:0008285	Transcription factor MYB36 (Myb-related protein 36) (AtMYB36)
XP_006401189.1	1082	AT5G57610.1	AT5G57610.1	orthologue	GO:0004712;GO:0004672;GO:0007165;GO:0006468;GO:0005634;GO:0005737;GO:0004674;GO:0005524;GO:0009734;GO:0010928;GO:0005515	Kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein (Similarity to protein kinase)
XP_006401190.1	844	AT5G57590.1	AT5G57590.1	orthologue	GO:0004015;GO:0000287;GO:0005759;GO:0004141;GO:0005739;GO:0009102;GO:0030170;GO:0042803;GO:0005524	Bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase, mitochondrial (Bifunctional BIO3-BIO1 protein) [Includes: Dethiobiotin synthetase (EC 6.3.3.3) (DTB synthetase) (DTBS) (Protein BIOTIN AUXOTROPH 3); 7,8-diamino-pelargonic acid aminotransferase (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Adenosylmethionine-8-amino-7-oxononanoate aminotransferase) (EC 2.6.1.62) (Diaminopelargonic acid synthase) (Protein BIOTIN AUXOTROPH 1)]
XP_006401191.1	642	AT5G57580.1	AT5G57580.1	orthologue	GO:0005634;GO:0043565;GO:0080142;GO:0003700;GO:0005516;GO:0003677	Calmodulin-binding protein 60 B
